GEN.1.1	Kuwaripatjara mulapa Godalu ilkaṟi munu manta palyaṉu uwankara wiyangka. 
HEB.12.19+HEB.12.20	Munuya kuliningi tuṟampata puḻkaṟa wangkatjingannyangka. Munuya Godaku wangka kuḻu kuliningi, panya paluṟu tjananya puḻkaṟa wangkangu alatji, “Puḻi nyangatjaya pampulwiyangku wantima. Munu kutjupangku pampunnyangka nyakulampaya palunya atuṟa iluntanama, munu tjinguṟu kukangku pampunnyangka nyakulaya palunya kuḻu atuṟa iluntanama.” Kaya aṉangu tjuṯangku kuliṟa puḻkaṟa nguḻuringkula wangkangu, “Wiya, nyangatja wituwitu puḻka mulapa. Wanyu piṟuku nganaṉala wangkanytja wiyangku wantima.” 
HEB.12.21	Ka Moselu kuḻu nyanganpa uwankara nyakula wangkangu, “Tjititinganyiṉa puḻkaṟa nguḻuringkula.”
HEB.12.22	Uwa, puḻi panya palulakutu nyura kuwari ankunytja wiyaṯu, palu nyura wirkanu puḻi kutjupangka puḻi ini Tjayanta, panya God wankaku ngurangka, ini kutjupa Jerusalemala ngura panya ilkaṟitjangka. Ka ngura nyara palula panya angelpa winki mulapa pukuḻpa alatjiṯu nyinara waṉinyi uṯuḻu kutju. 
HEB.12.23	Uwa, ngura pala palula nyura wirkanu Godaku walytja kutjupa tjuṯangka tjunguringkunytjikitja. Panya nyara palunya tjananya Godalu ngurkantaṟa ini tjuṯa walkatjunu ngura panya ilkaṟitjangka tiṯutjara nyinanytjaku. Uwa, nyura pitjangu God Ngurkantankupailakutu panya paluṟu aṉangu uwankara tjukaṟurungku ngurkantaṟa tjaralku. Ka ngura nyara palula miri tjuṯa kurunpa nyinanyi panya tjana mantangka Godalawanu tjukaṟuru nyinangi munuya ilungu, ka Godalu tjananya wiṟu mulapa palyaṉu. 
HEB.12.24	Uwa, nyura pitjangu Jesulakutu panya paluṟu nganampa ngalkilarira aṟa kuwaritja palyaṉu paluṟu milkaḻi tjutira. Panya paluṟu nganaṉanya palumpa milkaḻingka paltjiṉu Godanya nganampa kalyparingkunytjaku. Uwa, Jesuku milkaḻingku wiṟu mulapa palyaṉu, Abelku milkaḻingku puṟunytju wiya.
HEB.12.25	Ka palulanguṟu nyura uti tungunpungkuwiyangku kulinma Godalu wangkanyangka. Panya iriti paluṟu mantangka Israelkunu tjuṯangka wangkangi, kaya tungunpungkula palunya kuliṟa wantingi, ka nyanga palunya tjananya Godalu pikantanangi, kaya puṯu kumpiningi wankakitja. Ka panya Godalu nganaṉala ilkaṟinguṟu wangkanyangka uti nganaṉa wangaṉarangku kulinma. Panya ilkaṟinguṟu wangkanyangka nganaṉa kuliṟa wantirampa, ka paluṟu mulapa nganaṉanya puḻkaṟa pikantankuku, kala puṯu alatjiṯu kumpilku palulanguṟu. 
HEB.12.26	Panya iriti puḻi nyara Tjaniyala Godalu manta uritjingaṉu wangkangku wangkara. Palu kuwari nyanga paluṟu kalkuṉu alatji wangkara, “Ngayuluṉa kutju-aṟalta piṟuku manta ilkaṟi kuḻu uritjingalku.” 
HEB.12.27	Kala nyanga palulanguṟulta kulini, “Mulapa Godalu kutjupa kutjupa uwankara paluṟu paluntja uritjingaṟa wiyalku. Ka panya puṯu uritjingalpai tjuṯa tiṯutjara ngaṟaku wiyaringkunytja wiya panya paluṟu kalkuntja munu palumpa ngura kuḻu ngaṟaku tiṯutjara.”
HEB.12.28+HEB.12.29	Ka kutjupangku Godanya puṯu uritjingaṟa wiyalku munu palumpa walytja tjuṯa kuḻu puṯu wiyalku. Panya Godalu ngura ngaṉmanytju palyaṟa wantingu nganampa palula tiṯutjara nyinanytjaku. Palulanguṟu nganaṉa uti Godaku puḻkaṟa pukuḻarima, munula palunya tjukaṟurungku waḻkuṟa puḻkanmanama palumpa nguḻuringkula, panya paluṟu puḻka mulapa munu waṟu puḻka puṟunytju kura uwankara kampara wiyalpai.
HEB.13.1	Uti nyura Jesuku walytja nyinarampa nyuranku rawa puḻkaṟa mukuringama watarkurinytja wiya. 
HEB.13.2	Munu nyura uti aṉangu ngura kutjupitja pitjanyangka nyakula papulankunytja wiyangku mantjiṟa nyurampa ngurangka pukuḻṯu kanyinma. Panya iriti aṉangu kutjupangku aṉangu-palku angelpa mantjiṟa kanyiningi palumpa ngurangka.
HEB.13.3	Munu nyura uti tjailangka nyinapai tjuṯa kuḻu watarkuriwiyangku kulinma munu tjanampa ngaḻṯuringkula tjarpara tjananya alpamilanma.
HEB.13.4	Munu nyura uti kuritjarangku tjukaṟurungku kulinma munu palyanyku nyinama, munuya kuri aḻṯira wiṟuṟa kanyinma. Uti nyura kuri walytjangka kutju ngarima walytjatjarangka ngarinytja wiya. Panya Godalu kura nyanga palu puṟunypa palyannyangka nyakula ngurkantaṟa wiyalku. Panya paluṟu aṉangu kampangkaṯu ngaripai uwankaraku pukuḻaripai wiya munu tjananya ngurkantaṟa wiyalku.
HEB.13.5	Munuya maniku puḻkaṟa mukuringkuwiyangku wantima. Palu panya nyura kanyintjitjakuya pukuḻarima, munuya piṟuku waintaṟa mantjintjikitjangku kulintja wiyangku wantima. Panya Godalu wangkangu alatji,
HEB.13.5	“Ngayuluṉa nyuranya wantikatinytja wiya nyurala tjungu tiṯutjara nyinaku.
HEB.13.5	Munuṉa nyuranya watarkurinytja wiyangku tiṯutjarangku kanyilku.” 
HEB.13.5	Nyara palulanguṟu Godalu nyuranya rawangku kanyinnyangkaya maniku puḻkaṟa mukuringkunytja wiyangku wantima. 
HEB.13.6	Munu alatji wangkama kurunpa raparingkula,
HEB.13.6	“Mayatjalu ngayunya aṯunymaṟa kanyilpai
HEB.13.6	kaṉa nguḻu wiya nyinanyi,
HEB.13.6	Kaṉi ngayunya aṉangungku puṯu kuraṉi.” 
HEB.13.7	Kaya kulinma wanyu tjana panya nyuranya aṯunymaṟa kanyilpai tjuṯa, panya tjanaya nyurala tjakultjunu Godaku tjukurpa. Uwa, aṟa tjanampa kulinma panya tjana mantangka nyinaralpi Jesunya tungun-tunguntu waṉaningi munu panyaya rapa alatjiṯu ilungu. Ka nyura nyangatja kuliṟa uti tjananya arkanma munuya Jesunya tiṯutjarangku waṉanma tjana puṟunytju. 
HEB.13.8	Panya Jesunya Christanya kutjupariwiya kuwari paluṟuṯu alatjiṯu nyinanyi. Panya paluṟu iriti mulapa nyinangi, munu kuwari paluṟuṯu nyinanyi, munu paluṟuṯu tiṯutjara nyinaku wiyaringkunytja wiya alatjiṯu.
HEB.13.9	Palu kutjupa tjuṯangku nyurala tjukurpa kutjupa kutjupa tjuṯa ngunti wangkara nintinnyangkaya kuliṟa wantima ngunti iwara kutjupangka katinytjaku-tawara. Panya nganaṉa kurunpa kuṉpuringkupai Godalu nganaṉanya ngaḻṯunytjungku rapannyangka kutju. Palu nganaṉa kuka mai kutjupa tjara ngalkula kutjupa tjara wantira puṯu kurunpa raparingkupai. Panya kutjupa tjuṯangkuya aṟa nyanga palunya tjananya waṉaningi munuya kurunpa kuṉpuringkunytja wiya alatjiṯu.
HEB.13.10	Kaya tiinta miḻmiḻṯa waṟkaripai tjuṯa puṯu nganaṉala tjunguringkupai Godanya waḻkuntjikitja. Panya nganaṉa Jesuku mulamularingkula kutju Godanya rapangku waḻkulpai, panya Jesunya nganampa ilura milkaḻi tjutingu. Kala palulanguṟu kuka katira ungkunytja wiyangku palumpa mulamularingkula palunya waḻkulpai. 
HEB.13.11	Panya kuḻi kutjupa kuḻi kutjupa wati tjukurtjara puḻkangku kukaku milkaḻingka para-kurpilpai ngura miḻmiḻpa mulapa panya tiinta unngutja Godalu nyakula aṉangu uwankara kura tjuṯa palyantjitjanguṟu kalypangku pungkuwiyangku wantinytjaku. Palu iltjanpaya uṟilta katira ngurangka paṯu nguwanpa kutjalpai kampara mulururira tjuṉparingkunytjaku. 
HEB.13.12	Ka panyaya palu puṟunypa Jesunya uṟilta katira ngurangka paṯu nguwanpa iluntanu. Palu paluṟu nganampa anga-ilungu nganaṉanya palumpa milkaḻingka paltjintjikitja nganaṉa Godala miṟangka palya mulapa nyinanytjaku.
HEB.13.13	Uwa, Jesunya nganampa pikatjararingu ngurangka uṟilta paṯu, kala uti palu puṟunypa aṟa ngaṉmanyitja tjuṯa wantikatira Jesula tjunguringkula nyinama, kalanya tjana palyalta palunya nganaṉanya ananma. 
HEB.13.14	Panya mantangka ngura wiṟu ngaṟanytja wiya nganaṉa palula tjungu wanka tiṯutjara nyinanytjaku. Palu nganaṉa panya ngura kutjupaku paṯaṟa aḻa-aḻa nyinanyi, munula ngura nyara palula Godala tjungu tiṯutjara nyinaku.
HEB.13.15+HEB.13.16	Palulanguṟula uti Jesulawanungku Godanya rawangku waḻkunma puntu winkingku, panya Jesunya alatjiṯu nganampa ilungu. Ka nyura uti watarkurinytja wiyangku palyanyku nyinara aṉangu kutjupa tjuṯa kuḻu alpamilanma intjanungku ungkula. Panya alatjingannyangka Godanya puḻkaṟa pukuḻaripai.
HEB.13.17	Ka nyura uti wangaṉarangku kulinma aṉangu panya nyuranya aṯunymaṟa kanyilpai tjuṯangka. Panya paluṟu tjana nyuranya rawangku aṯunymananyi nyura Jesunya tjukaṟurungku waṉantjaku. Panya Godalu tjananya ungu waṟka nyanga palunya, munu tjananya nyanganyi nyuranya wiṟuṟa kanyintjaku. Ka nyura tjanala wangaṉarangku kulinma tungunpungkuwiyangku, ka tjana nyuranya pukuḻṯu wiṟuṟa kanyilku. Palu tjinguṟu nyura tungunpungkunyangka tjana tjituṟu-tjituṟurira nyuranya puṯu wiṟuṟa kanyilku.
HEB.13.18	Palu wanyuya rawangku nganampa Godala tjapinma. Panya nganaṉa palumpa waṟka tjukaṟurungku palyaṉi kuṉṯa wiyangku, munula nganaṉa tiṯutjara mukuringanyi tjukaṟuru palyanyku nyinanytjikitja. 
HEB.13.19	Ka ngayulu nyuranya puḻkaṟa ngatjini nyura ngayuku Godala tjapintjaku paluṟu ngayunya nyuralakutu kuwari nguwanpa maḻakungku iyantjaku.
HEB.13.20+HEB.13.21	Uwa, Mama Godalu aṉangu tjuṯa palumpa kalypa nyinanytjaku palyalpai. Munu paluṟu Mayatja Jesunya pakaltjingaṉu ilunytjitjanguṟu. Panya paluṟu tjapata puḻkangku nganaṉanya tjiipi puṟunypa aṯunymaṟa kanyilpai. Munu paluṟu alatjiṯu walytja puntu winki intjanuringu munu ilura milkaḻi tjutingu nganampa uwankaraku. Ka nyara palulanguṟu Godalu Jesunya pakaltjingaṉu milkaḻi tjutinytjitjanguṟu, ka aṟa panya Godalu ngaṉmanytju kalkuntjitjalta utiringu, munu tiṯutjara ngaṟaku wiyaringkunytja wiya. Kaṉa nyurampa tjapini nyanga alatji,
HEB.13.20+HEB.13.21	“Mama God, nyanga tjananya nintinma wiṟu tjuṯa palyantjaku, panya nyuntu mukuringkunytja uwankara wangaṉarangku kuliṟa palyantjaku. Ka Mayatja Jesu, nyuntu tjananya kuṉpunma tjukaṟuru nyinara Godanya kutju pukuḻmankunytjaku.”
HEB.13.20+HEB.13.21	Alatjiṉa nyurampa tjapilpai. Kala wanyu uwankarangku Jesunya Christanya tiṯutjarangku mirawaṉima! Uwa, mulapa.
HEB.13.22	Walytja tjuṯa, tjukurpa nyanga ngayulu nyurampa walkatjunkunytjaya purkaṟangku palyanyku kulinma. Panya ngayulu alatji walkatjunu nyuranya rapantjikitjangku tjukurpa muṯumuṯu.
HEB.13.23	Ka nganampa panya maḻpa Timitjinya tjailanguṟu pakaṉu, ka nyura kulinu? Ka tjinguṟu paluṟu ngayula nyangangka warpungkula wirkaṟa tjunguringkunyangka ngali kutjaraṯu ma-pitjaku nyuranya nyakunytjikitja.
HEB.13.24	Palu nyura tjakultjura aṉangu panya nyuranya aṯunymaṟa kanyilpai tjuṯangka munu Godaku walytja kutjupa uwankarangka kuḻu, panya nganaṉa tjananya kulini tjanampa pukuḻarira. Ka panya Italinya nguraṟa tjuṯangku kuḻu palu puṟunypaṯu nyuranya kulini.
HEB.13.25	Uwa, alatjiṯuṉa wangkanyi. Ka Godalu nyuranya pukuḻtjungku wiṟuṟa kanyinma.
JAS.1.1	Ngayuluṉa Jamesanya panya Mama Godaku Mayatja Jesuku Christaku waṟkaripai nyinanyi. Munuṉa lita nyangatja nyurampa walkatjunanyi Godaku walytja tjuṯaku, panya nyura ngura kutjupa kutjupa tjuṯangka parari nyinanyi.
JAS.1.2+JAS.1.3	Walytja tjuṯa, kura kutjupa kutjupa tjuṯa nyurala wirkankunyangkampa nyura uti pukuḻarima. Munu kutjupa tjuṯangku nyuranya kurantjikitja ngunti wituwitunnyangkampa nyura uti tjananya kuliṟa wantima, munuya tjituṟu-tjituṟurinytja wiya pukuḻpa nyinama. Panya nyuranya kurannyangka nyura nintiringkuku Jesunya kutju tungun-tunguntu waṉantjikitja. 
JAS.1.4	Munu nyura uti pakuringkunytja wiyangku tiṯutjarangku waṉanma munu nyara palulanguṟu nyura paluṟu mukuringkunytja uwankara rawangku palyaṟa ma-kuṉpuringkula witu ngaṟaku.
JAS.1.5	Tjinguṟu kutjupa-aṟa nyurala alatjirinyangka nyura puṯu kulilku alatji, “Nyaalkuṉa? Yaaltjingaṟaṉa palyalku?” Palu utin puṯu kulintja wiyangku Godala tjapinma panya paluṟu tjapinnyangka wantinytja wiyangku wangaṉarangku kulilpai munu alpamilalpai. 
JAS.1.6+JAS.1.7+JAS.1.8	Ka nyura Mama Godala tjapiṟampa uti palumpa mulamularingama alatjiṯu kampa kutjara kulintja wiya munu kulinma alatji, “Godaluṉi mulapa alpamilalku.” Panya kampa kutjara kulilpai tjuṯa uṟu puṟunypa, panya waḻpangku uṉṯunnyangka para-uripai tiṯutjara, nyara palu puṟunypa kampa kutjara kulilpai tjuṯa nyinanyi, tjukaṟuru wiya, kaḻikaḻi. Munu tjinguṟu tjana kulilpai alatji, “Ngayulu Godala tjapinnyangka mulapa paluṟu ngayunya alpamilalku.” Palu wiya, kampa kutjara kulinnyangka Godalu puṯu alpamilalpai.
JAS.1.9	Tjinguṟu Jesuku walytja kutjupa tiṯutjara mani wiya nyinanyi, munu uti paluṟu pukuḻarima tjituṟu-tjituṟurinytja wiya, panya Godalu palunya Christala tjunguṟa walytjanmanu. 
JAS.1.10	Ka palu puṟunypa Jesuku walytja kutjupa tjinguṟu mani puḻkatjara nyinanyi munu uti paluṟu pukuḻarima Godalu palunya Christala tjunguṟa walytjanmankunyangka kutju maninguṟu wiya. Tjinguṟu Godalu palumpa mani winki wiyalku, ka paluṟu ngaḻṯutjara nyinaku mani tjukutjukutjara. Palu uti paluṟu maniwiya pukuḻpaṯu nyinama, panya paluṟu mani puḻkatjara pukuḻpa nyinangi, palu puṟunypaṯu uti paluṟu pukuḻpa nyinama. Panya mani puḻkangku puṯu Godaku walytjaringkunytjaku palyaṉi. Palu panya aṉangu mani puḻkatjara nyinanytjatjanu inuntji puṟunypa ilura wiyaringkupai. 
JAS.1.11	Panya tjiṉṯungku pakaṟa katuringkula uwankara kampapai. Ka palulanguṟu inuntji panya wiṟu tjuṯa piḻṯiringkula punkalpai kampanyangka. Nyara palu puṟunypa aṉangu mani puḻkatjara wiyaringkuku watarku waṟkarinytjatjanu.
JAS.1.12	Uwa, kutjupa tjuṯangku nyuranya kuraṟa pungkunyangka nyura uti kuliṟa wantima munu tungun-tunguntu Godanya waṉanma. Ka Godanya nyakula nyurampa puḻkaṟa pukuḻariku, munu nyuranya wanka tiṯutjara nyinanytjaku wangkaku, panya alatji paluṟu kalkuṉu palumpa mukuringkupai tjuṯangka.
JAS.1.13	Ka tjinguṟu kutjupa tjuṯangku nyuranya kura palyantjaku wituwitunnyangka nyura uti ngunti wangkawiyangku wantima alatji, “Godaluṉi uṉṯuṉi kura palyantjaku.” Panya Godalu kura palyantjaku uṉṯulpai wiya, panya kutjupangku puṯu Godanya arkaṉi kura palyantjaku. 
JAS.1.14	Panya aṉangu nyara paluṟu alatjiṯu kura palyantjikitja mukuringkupai, paluṟu kutju, munu paluṟu unngu kuliṟa mukuringkula palyalpai alatjiṯu. 
JAS.1.15	Uwa, paluṟu alatjiṯu mukuringkula kura palyalpai, munu palulanguṟu kura tiṯutjarangku palyalkatinyi wantinytja wiyangku munu kurangka kutju tjakaringanyi. Ka Godalu palunya ngula paiṟa iyalku palula tjungu nyinanytja wiya, ngura kurangka nyinanytjaku.
JAS.1.16	Ngayuku walytja tjuṯa, aṉangu kutjupa tjuṯangku ngunti kurannyangka nyura uti kulilwiyangku wantima, munu ngayulu panya wangkanytja kutju tjukaṟurungku kulinma. 
JAS.1.17	Uwankara panya Godalu nganampa palyantja palya alatjiṯu ngaṟanyi, kura wiya. Godalu panya tjiṉṯu, piṟa, kililpi palulpaingku wiṟu tjuṯa nganampa palyalpai. Munu paluṟu kutjuparinytja wiya paluṟuṯu alatjiṯu nyinanyi, munulanya tiṯutjarangku wiṟuṟa kanyilpai wantinytja wiyangku. 
JAS.1.18	Panya paluṟu nganampa puḻkaṟa mukuringangi nganaṉa palumpa walytja mulapa nyinanytjaku. Munu panya palulanguṟu tjukurpa tjukaṟuru Christanyatjara nganaṉala utinu nganaṉa mulamularingkula palumpa walytja mulapa nyinanytjaku.
JAS.1.19	Walytja tjuṯa, wanyuya kulinma. Aṉangu kutjupangku wangkanyangkaya mapalku waṟuringkula mirpaṉarinytja wiyangku wantima. Palu purkaṟangkuya kulinma munu mapalku wangkanytjikitjangku kulintja wiyangku wantima. 
JAS.1.20	Tjinguṟu nyura mirpaṉarirampa Godaku tjukurpa puṯu tjukaṟurungku palyalku. 
JAS.1.21	Nyura uti kura kutjupa kutjupa uwankara wantima nyura unngu kulintja uwankara. Panya Godalu nyurala unngu tjunu palumpa tjukurpa kutju nyura tjukaṟurungku kulintjaku, panya watingku uṉinypa tjunkupai mantangka pakantjaku, palu puṟunypa Godalu tjukurpa nyurala unngu tjunu. Ka nyura palula kutjungka wangaṉarangku kulinnyangkampa paluṟu nyuranya wankaṟunkuku palula tjungu tiṯutjara nyinanytjaku. Palulanguṟuya kura kutjupa kutjupa uwankara nyura unngu kulintja wantima alatjiṯu.
JAS.1.22	Nyura uti Godaku tjukurpa wangaṉarangku kuliṟa palyanma, pinangku kutju kulintja wiyangku. Panya nyura pinangku kutju kuliṟa nyuranku Godaku walytjanmankupai, palu wiya, nyura alatji ngunti wangkapai. 
JAS.1.23+JAS.1.24	Tjinguṟu aṉangungku paluṟunku yunpa walytjangku kalawatjangka purkaṟangku nyakupai. Munu palulanguṟu paluṟu ankula mapalku watarkuripai palumpa yunpaku. Ka nyara palu puṟunypa aṉangu kutjupa tjuṯangku Godaku tjukurpa nyakula wangkara purkaṟangku kulilpai munuya palulanguṟu ankula mapalku watarkurira palyantja wiyangku wantipai. Nyanga alatji tjana pinangku kutju kulini wangaṉarangku kuliṟa palyantja wiyangku. 
JAS.1.25	Panya Godaku tjukurpa kalawatja puṟunypa, munu nganaṉanya nintilpai yaaltjingaṟa Godalu nganaṉanya kuranguṟu wankaṟunu nganaṉa palula wangaṉarangku kulintjaku. Ka aṉangungku palumpa tjukurpa rawangku nyakula wangkara purkaṟangku kulinnyangka munu wangaṉarangku kuliṟa palyannyangka kuḻu Godalu palunya puḻkaṟa pukuḻmankuku.
JAS.1.26	Tjinguṟu aṉangungku kulilpai alatji, “Ngayulu Jesuku walytja mulapa tjana puṟunypa wiya, tjukaṟurungku palyalpai.” Palu tjinguṟu tjaḻinypa kurangku wangkara paluṟunku ngunti rawangku mirawaṉipai tjukaṟurungku-palku. 
JAS.1.27	Palu nyanga alatji Jesuku walytja mulatu palyalpai panya tjitji tjiṯula, minyma wanakaḻa tjuṯa munu ngaḻṯutjara tjuṯa kuḻu mukulyangku alpamilaṟa aṯunymankupai, munu kura tjuṯangka tjunguringkupai wiya mauṉṯalpa nyinapai. Nyara palu puṟunyku Godanya nyakula pukuḻaripai.
JAS.2.1	Walytja tjuṯa, nyura uti aṉangu uwankaraku mukulya nyinama tjara wantinytja wiya, panya nganaṉa uwankara Jesuku walytjapiti, ka paluṟu nganampa Mayatja witulya puḻka mulapa. Wanyuya kulila, kaṉa aṟa nyangatja nyurala wangka nyura kulintjaku. 
JAS.2.2	Nyura tjinguṟu tjunguringkula nyinaku Godanya waḻkuntjikitja, ka wati kutjara pitjaku nyuralakutu nyurala tjunguringkula waḻkuntjikitja. Kutju mantara wiṟu mulartjara munu manyirkitja wiṟutjara panya gold-nguṟu palyantjitja. Palu panya wati kutjupa ngaḻṯutjara mulapa, mantara kurakuratjara. 
JAS.2.3	Ka tjinguṟu aṉangu kutjungku nyuralanguṟu pukuḻarira wangkaku wati panya mantara wiṟutjarangka, “Pitjala nyangangka nyinakati wiṟungka nyanga.” Munu wati panya ngaḻṯutjarangka kuraṟa wangkaku, “Nyuntu nyarangka wati-pitjala ngaṟama nyara paṯu.” Ka alatji palya wiya. 
JAS.2.4	Panya paluṟu wiṟutjaraku kutju ngurkantaṟa pukuḻarinyi munu wati ngaḻṯutjara papulaṟa paini. Ka nyura nyanga alatji palyaṟa puṯu tjukaṟurungku ngurkantananyi, palu nyura uti pulampaṯu puḻkaṟa mukuringama kutju kurantja wiya.
JAS.2.5+JAS.2.6+JAS.2.7	Uwa, walytja tjuṯa, kulilaya. Nyaaku nyura Jesuku walytja tjuṯangku ngaḻṯutjara tjuṯa ngunti mirpaṉṯu kuraṉi? Panya nyura mani puḻkatjara tjuṯa pitjanyangka nyakula pukuḻarira aḻṯira kuranyu nyinatjunkupai wiṟungka. Palu aṉangu nyara paluṟu tjana nyuranya pauntjingaṟa wangkapai, munuya nyuranya ngaḻṯuringkuwiyangku witiṟa kuutpakutu katipai munu wati ngurkantankupaingka kuranyu ngaṟatjunkula nyuranya kuranmankupai. Wiya, aṉangu nyara paluṟu tjana panya nyurampa mayatja analpai, Jesunya panya. Palu panya Godalu aṉangu ngaḻṯutjara tjuṯa ngurkantanu paluṟu tjana palumpa puḻkaṟa mulamularingkunytjaku. Munu paluṟu tjananya walytjanmaṟa wiṟuṟa aṯunymaṟa kanyini palula tjungu, panya paluṟu alatji kalkuṉu palumpa mukuringkupai tjuṯa wiṟuṟa kanyintjikitjangku. Ka nyura palu puṟunypaṯu ngaḻṯutjara tjuṯa kurantja wiyangku wiṟuṟa kanyinma.
JAS.2.8	Panya Godalu tjukurpa puḻka tjuṯa iriti walkatjunkunytja ngarinyi nyiringka, palu tjukurpa kutju puḻka mulapa uwankarangka waintarinytja nyanga alatji,
JAS.2.8	“Aṉangu kutjupa uwankaraku puḻkaṟa mukuringama, panya nyuntunkun walytja mukuringkupai, palu puṟunypa.” 
JAS.2.8	Ka tjukurpa nyanga palunya wangaṉarangku kuliṟa palyaṟampa nyura tjukaṟuru palyanyku nyinaku. 
JAS.2.9	Tjinguṟu nyura aṉangu kutjupa tjaraku kutju nyakula pukuḻarinyi munu tjara kutjupa nyakula wantinyi, ka alatji palya wiya. Panya nyura tjukurpa nyara palunya kulintja wiyangku wantira kuraṉi.
JAS.2.10	Uwa, Godalu tjukurpa paintjitja tjuṯa nganampa wangkara tjunu. Ka tjinguṟu aṉangu kutjupangku tjukurpa kutju kulilwiyangku wantinyi, ka aṉangu kutjupangku tjukurpa uwankara kulilwiyangku wantinyi. Palu Godalu palunya pulanyaṯu tjungu kura ngurkantananyi munu paini. 
JAS.2.11	Panya Godalu wangkangu alatji, “Aṉangu kutjupangka kampangkaṯu ngariwiyangku wantima, munu kuri walytjangka kutju ngarima.” Munu piṟuku kutjupa kuḻu wangkangu nyanga alatji, “Aṉangu iluntankunytja wiyangku wantima.” Ka tjinguṟu nyupali kuriṟara tjungu ngarinyi palatja palya, palu nyuntu piṟuku aṉangu kutjupa iluntankunyangkampa Godalu nyuntunya paini alatjiṯu wantinytja wiyangku, panya tjukurpa palumpa nyuntu kuraṉu alatjiṯu.
JAS.2.12	Panya Godalu nyuranya kurangka nyinanyangka mantjinu nyura palumpa tjukurpa kutju kulintjaku. Munu tjukurpa nyara palulanguṟu paluṟu nyuranya ngula ngurkantankuku, tjinguṟu nyura palumpa tjukurpa kulinu, munta tjinguṟu wiya. Kaya palulanguṟu purkaṟangku kulinma nyura wangkanytja, munu kulintja, munu palyantja uwankara, panya ngula Godalu nyuranya kutju-kutju ngurkantananyi. 
JAS.2.13	Tjinguṟu nyura aṉangu kutjupaku nyakula ngaḻṯuringkunytja wiya nyinanyi, ka Godanya ngapartji nyurampa ngaḻṯuringkunytja wiyaringkuku tjiṉṯu panya maḻatjangka. Palu tjinguṟu nyura aṉangu tjuṯaku ngaḻṯunytju nyinanyangkampa Godalu ngapartji palu puṟunytjuṯu nyuranya ngaḻṯunytjungku aḻṯiku, ka nyura palula miṟangka nguḻu wiya rapa ngaṟaku.
JAS.2.14	Kulilaya tjukurpa nyangatja. Panya aṉangu kutjupa tjinguṟu mukulya wiya nyinanyi munu paluṟu tjinguṟu wangkaku alatji, “Ngayulu mulamularinganyi Godaku.” Palu wiya, paluṟu alatji ngunti wangkanyi panya paluṟu Godaku tjukurpa tjukaṟurungku kulilpai wiya munu aṉangu tjuṯaku ngaḻṯuringkupai wiya. Paluṟu tjaangku kutju ngunti wangkanyi. Ka Godalu wanyu palunya wankalku alatji wangkanyangka? Wiya alatjiṯu.
JAS.2.15+JAS.2.16	Wanyu kaṉa tjukurpa nyangatja nyurala wangka nyura uti kulintjaku. Tjinguṟu Jesuku walytja kutjupa mantara wiya mai wiya nyinanyi. Ka tjinguṟu nyuntu palunya nyakula pukuḻmankuku alatji wangkara, “Pukuḻpa nyinama, panya Godalunta mai ungkuku mantara kuḻu unytjunpa nyinanytjaku.” Palu nyuntu alatji wangkangku kutju wangkanyangka paluṟu paḻtjaringkunytja wiya munu unytjunarinytja wiya. Kulila, nyuntu palunya pukuḻmankunytjikitja mukuringkula mai mantara ungama tjukurpa kutju wangkanytja wiyangku. Nyara palulanguṟu kutju paluṟu pukuḻariku. 
JAS.2.17	Uwa, uti nyura Godaku mulamularingkunytjatjanungku wiṟu tjuṯa palyanma aṉangu tjuṯaku. Panya wiṟu tjuṯa palyantja wiyangku wantirampa nyuranku ngunti Godaku walytjanmananyi.
JAS.2.18	Palu aṉangu kutjupangku tjinguṟu alatji wangkaku, “Wiya, palya nyuntu wiṟu tjuṯa palyalpai, palu ngayulu mulamularingkupai kutju.” Palu wiya, panya ngayulu Godaku mulamularingkunytjatjanungku wiṟu tjuṯa palyalpai alatjiṯu pukuḻtju puḻkangku. Ka nyara palulanguṟu wiṟu tjuṯa palyannyangka nyakulaya ngayunya ngurkantaṟa kulilpai, “Ai, nyara paluṟu Godaku walytja mulapa, panya paluṟu wiṟu tjuṯa pukuḻtjungku palyalpai.”
JAS.2.19	Uwa, nyuntu mulamularinganyi Godaku, panya paluṟu kutju puḻka mulapa nyinanyi. Palu kulila, mamu tjuṯa kuḻu Godaku mulamularingkupai, palu nyara paluṟu tjana Godala wangaṉarangku kulilpai wiya munuya puḻkaṟa nguḻuringkula tjititingkupai. Ka nyuntu mulamularingkunytjatjanungku wiṟu tjuṯa palyantja wiya nyinarampa mamu palunya tjananya puṟunypaṯu nyinanyi. 
JAS.2.20+JAS.2.21+JAS.2.22	Uwa, nyuntu ngunti wangkapai nyinanyi.
