MRK.1.1	Kutatika kwa Uthenga Uweme wa Yesu Kristu, Mwana wa Mulungu. 
MRK.13.25	nipo mphamvu za Kululu zizezisungʼuzyiwe.
MRK.13.27	Tetyo yove azetume angelo ŵake kuti akasonkhanishe wosalulika ŵake kufuma ku mbali zonse, kutatikila ku nsilililo iyakine ya chalo cha pansi kufwikila ku nsilililo iyakine soti.”
MRK.13.28	Yesu epitilizya kunena kuti, “Sambililankoni ku chimuti cha nkhuyu. Mukawona kuti misambo yatatika kumela nipo vitepo viyakine vatatika kutumba, muziŵe kuti mainza afwika. 
MRK.13.29	Tetyo mukazowona zala zanalaŵila zuchitika muzemuziŵe kuti Mwana wa Munthu ali pafupi, ali pa mulyango pene–pene. 
MRK.13.30	Nukuuzyani vyendi kuti zonse izi zizewoneke ŵanthu a luko ino akaliyomwalila wonse. 
MRK.13.31	Kululu na chalo cha pansi zikasile, koma malizu ŵangu akasilelini mphamvu.”
MRK.13.32	“Paliye oziŵa za nsiku yake na nsita yake. Angankhale angelo a Kululu oziŵalini. Angankhale newo ŵamene nuziŵalini, oziŵa na Atata tyala. 
MRK.13.33	Tetyo ŵani menso, ŵani chelu pakuti muziŵalini nsita pa itiikakwanile. 
MRK.13.34	Pakuti chili ngani asikulu wamene akuya pa ulwendo, kufuma ku ngʼanda kwake. Osiya zinthu zonse mu manja mwa nyanchito ŵake, nipo ouzya malonda wa pa mulyango kuti aŵekuŵa menso.
MRK.13.35	“Na mwewo soti mwakuŵa menso, pakuti muziŵalini nsita mwine wa ngʼanda yati akawelelemo, keno ni mu chingulo, keno ni pakati pa usiku, keno ni kombwe wotatika, keno ku matemwakucha. 
MRK.13.36	Angawele movundumukizya, tetyo osati akamfwaneni muli mutulo. 
MRK.13.37	Izi zanulaŵila nuuzyalini mwewo mweka yayi, koma nuuzya ŵanthu wonse kuti, ‘Ŵani menso.’”
MRK.14.1	Kwenze kwisala tyala masiku aŵili kuti chifwike chisangalalo cha Pasaka na chisangalalo cha masiku akulya mkate uliye chofufumisha. Akulu ŵa ansembe na asambizyi a Malamulo enzopangwa njila yofisika yakuti amukatilemo Yesu nomupaya. 
MRK.14.2	Koma emvwana kuti, “Tisachite zoteti pa nsita ya chisangalalo, pangazochitika vyongo pa winji wa ŵanthu.”
MRK.14.3	Nsiku iyakine Yesu enze ku Betaniya, mu ngʼanda ya Simoni woitiwa wa Mambombo. Penzokulya kwiwela mwanakazi muyakine enze na nsupa ya mafuta onunkhila a nada amtengo wapatali. Mwanakazi wala efwaya nsupa yala nozoleka mafuta ŵala pa mutu pa Yesu.
MRK.14.4	Ŵanthu ayakine pameneapo eipilwa nonena kuti, “Chikomo ni chinji kucheneka mafuta onunkhila teti? 
MRK.14.5	Mafuta amene aŵa sembe esitishiwa pa mtengo wa ndalama zinyinji zokwanila mazana atatu za siliva
MRK.14.6	Koma Yesu enena kuti, “Mulekeni mwanakazi uyu. Mumsaushilanji? Vawanichitila ni viweme ngako. 
MRK.14.7	Ŵanthu wozingwa muli nawo nsita zonse. Tetyo pamupangwa kuŵachitila za lusungu mungaŵachitile. Koma newo muzenkhalelini nane nsita zonse. 
MRK.14.8	Uyu wachita zenzowamila kuchita. Wazolekelatu muŵili wangu na mafuta onunkhila, kuti auŵamyiletu paukaliyoikiwa mu manda. 
MRK.14.9	Nukuuzyani vyendi kuti kuli konse kwamene ŵanthu okoŵilizya Uthenga Uweme pa chalo chonse cha pansi, okolaŵilapo pa zawachita mwanakazi uyu, kuti ŵanthu okomukumbukila.”
MRK.14.10	Pa vuli pake, Yudasi Iskalioti, yumo mwa asambili kumi na aŵili, eluta kwa akulu ŵa ansembe kuti akamutwale Yesu kuli wove. 
MRK.14.11	Akulu ŵa ansembe pechimvwa izi esangalala ngako nipo emulonjeza kuti azempase ndalama. Tetyo yove etatika kusakila mpata wakuti amutwalilemo kwa wove.
MRK.14.12	Pa nsiku yotatika ya chisangalalo cha masiku akulya mkate uliye chofufumisha, pamene ŵanthu penzopaya mbelele zochitila chisangalalo cha Pasaka, asambili ŵa Yesu echizomukonsha kuti, “Kansi tikawamyile kuni malo olyelamo chisangalalo cha Pasaka?”
MRK.14.13	Yesu etuma asambili aŵili, noŵauzya kuti, “Nkhoyani mu mzinda. Mukakumane na mwanalume alutwike nongo ya manzi. Mukamukonkhe. 
MRK.14.14	Mu ngʼanda mwamene mwatiakaloŵe, mukamuuzye mwine wa ngʼanda kuti, ‘Asambizyi okonsha kuti, chipinda cha alwendo chakuti Asambizyi azelyelemo chisangalalo cha Pasaka na asambili ŵake chili kuni?’ 
MRK.14.15	Yove akakuwonesheni chipinda chikulu chapalulu, mwamene mwawamyiwa zonse zupangwika. Mwamene umo niye mwamuti mukawamyile vakulya.”
MRK.14.16	Asambili ŵala esiya Yesu noloŵa mu mzinda wala nipo efwana ngani mwechiŵauzyila Yesu. Nipo ewamya chisangalalo cha Pasaka.
MRK.14.17	Pekwifipa Yesu ewela na asambili ŵake ŵala kumi na aŵili. 
MRK.14.18	Wonse pechinkhala pansi notatika kulya, Yesu echiti, “Nukuuzyani vyendi kuti yumo wa mwewo wanikulya naye anitwale kwa alwani ŵangu.”
MRK.14.19	Asambili ŵala echimvwa chitinthi, etatika kumkonsha kuti, “Kansi ningaŵe newo?”
MRK.14.20	Yesu eŵayasuka kuti, “Ni yumo wa mwewo otoŵela nane mu mbale imo. 
MRK.14.21	Mwana wa Munthu akuyopayiwa kulingana na mwakulaŵilila Malembo pa za yove. Koma anashamu munthu wamene atiakatwale Mwana wa Munthu. Chenze chiweme kuti munthu woteti aliyovyalike.”
MRK.14.22	Wove penzokulya, Yesu etola mkate, notembezya Mulungu, nousuna–suna, noyaŵila asambili ŵake ŵala na kuti, “Aneni, uyu ni muŵili wangu.”
MRK.14.23	Etola soti cheso, notembezya Mulungu, nochitwala kwa asambili ŵake, na kumwa wonse.
MRK.14.24	Nipo eŵauzya kuti, “Uyu ni mlopa wangu wosimikizyila chipangano cha Mulungu. Mlopa wamene uyu nuutaya chikomo cha ŵanthu anyinji. 
MRK.14.25	Nukuuzyani vyendi kuti nikamwepolini soti vinyo wa mpesa kufwikila pa nsiku yamene nizamwe walomba mu Ufumu wa Mulungu.”
MRK.14.26	Pechiimba nzimbo efuma na kuya ku Lupili ya Olivi.
MRK.14.27	‘Nipaye chiŵeta,
MRK.14.27	kuti mbelele zangu zikamwazike.’
MRK.14.28	Koma nikazouka kwa akufwa nizenitangule ni newo kuya ku Galileya.”
MRK.14.29	Petulo echiti, “Ngakhale wonse autuke nomusiyani, newo neka yai.”
MRK.14.30	Yesu emuuzya kuti, “Nukuuzyani vyendi kuti lelo yamene na usiku wamene uno, kombwe akaliyolila kachiŵili, unikane katatu kuti uniziŵalini.”
MRK.14.31	Petulo elaŵila soti mosimikizyila kuti, “Ngankhale anipayile pamo na mwewo, newo nikamkanenilini” Asambili ayakine wonse ŵala elaŵila chimozi–mozi.
MRK.14.32	Yesu na asambili wake echiya ku malo ayakine, oitiwa Gesemani. Tetyo eŵauzya asambili ŵala kuti, “Mwewo nkhalani pano. Newo nikuyolomba.” 
MRK.14.33	Etola Petulo, Yakobe na Yohane. Yesu ekatiwa na chitinthi novutika mu mtima. 
MRK.14.34	Eŵauzya kuti, “Mu mtima mwangu muli chitinthi chikulu ngako chakufwa nacho. Mwewo nkhalani pamene pano, nipo ŵani menso.”
MRK.14.35	Eluta pa nthangu patontho, noliponya pansi, notatika kulomba. Echiti, “Keno ni chololewa nsita yoyofya ino inipitilile.” 
MRK.14.36	Enena soti kuti, “Abba, Atata, mwewo mungachite chilichonse; munifumyilepo cheso ichi chamatamano. Koma muchite cha mupangwa mwewo, osati chanupangwa newo.”
MRK.14.37	Pechiwelela kwa asambili ŵala eŵafwana ali mtulo. Tetyo ekonsha Petulo kuti, “Simoni, kansi uli mtulo na wewo? Kansi wakangiwa kunkhala menso pa kansita katontho teti? 
MRK.14.38	Ŵani menso mwewo mwakulomba, kuti mungapone mu mayezyelo. Mtima upangwisisha, koma muŵili ni woŵeŵa.”
MRK.14.39	Efumapo soti na kuyolomba na malizu amene wala. 
MRK.14.40	Pechiwelela soti, eŵafwana ali mtulo, chikomo vikope vawo venze voŵeŵa na tulo. Tetyo wove esoŵa choyasuka.
MRK.14.41	Pechiwelako kachitatu, echiti, “Kansi mukalilele nopumula? Kwasila. Koma lomba, nsita yala yafwika. Mwana wa Munthu otwaliwa ku ŵanthu wochimwa. 
MRK.14.42	Ukani, tiyeni takuya. Uyu wazonitwala wala wafwika.”
MRK.14.43	Yesu akalulaŵila teti, nsita yamene iyo nipechifwika Yudasi, yumo wa asambili wake kumi na aŵili wala. Ewela na winji wa ŵanthu alunyamule vingwandali na nkholi. Ŵala ŵanthu eŵatuma na akulu ŵa ansembe, Asambizyi a Malamulo, na akulu a mpingo.
MRK.14.44	Wamene enzokuzo mutwala eŵauzya mwati akamziŵile kuti, “Wamene wati ni kafyofyone, ni wamene uyo. Mukamukate na kuya naye, osamutaya.” 
MRK.14.45	Pechiwela Yudasi, eingofwikila pa Yesu, nonena kuti, “Asambizyi!” Pechichita tetyo emufyofyona. 
MRK.14.46	Ŵala ŵanthu emukata Yesu nomumanga. 
MRK.14.47	Koma muyakine wa asambili esolola chingwandali notema wanchito wa Mkulu wa ansembe, mpaka nomutenda kwatu.
MRK.14.48	Yesu eŵakonsha ŵala ŵanthu kuti, “Chikomo ni chinji mwachito nitolela vingwandali na nkholi, ngani kuti nine nyankapondo? 
MRK.14.49	Nsiku na nsiku nenze namwe mu ngʼanda ya Mulungu nosambizya, mwewo muliyowele kuti munikate? Koma izi zuchitika teti kuti zikwanishile Malembo mwechinenela.” 
MRK.14.50	Pameneapo asambili ŵake ŵala wonse eutuka nomsiya yeka.
MRK.14.51	Mulumbwana muyakine enzokonkha Yesu, enze evwinikila nyula yeka, aliye chovwala chiyakine. Ŵanthu ŵala epangwa kumkata. 
MRK.14.52	Koma yove eingoikolopola nyula yala noutuka chinthaku.
MRK.14.53	Tetyo ŵala ŵanthu eluta naye Yesu kwa Mkulu wa ansembe. Kwamene kwala kwiungana wonse Akulu ŵa ansembe, akulu ŵa Ayuda, na Asambizyi a Malamulo. 
MRK.14.54	Petulo enzomukonkhelela Yesu patali, mpaka kunja kwa ngʼanda ya Mkulu wa ansembe wala. Enkhala pansi pamo na amalonda enzoyota nawo mulilo.
MRK.14.55	Akulu ŵa ansembe ŵala na wonse a mu Kaupo Kakulu ka Ayuda enzosakila umboni wonenela Yesu kuti amupaye, koma aliyoufwane. 
MRK.14.56	Ŵanthu anyinji enzomulaŵilila za wenye, umboni wawo uliyokatizyane.
MRK.14.57	Ayakine epanama notatika kumunenela za wenye. 
MRK.14.58	Echiti, “Uyu munthu sewo timumvwa kulaŵila kuti, ‘Newo nizenipasule Ngʼanda iyi ya Mulungu, yomangiwa na ŵanthu tyala nipo pakayopita masiku atatu nizenimange iyakine yosamangiwa na ŵanthu.’” 
MRK.14.59	Koma angankhale ni tetyo zolaŵila zawo zenzelini zokatizyana.
MRK.14.60	Mkulu wa ansembe wonse epanama pa menso pawo, nomkonsha Yesu kuti, “Kansi wewo uliye choyasuka? Ni zotyani aŵa ŵanthu zakukunenela?” 
MRK.14.61	Yesu eingonkhala chelele, osayasuka kanthu.
MRK.14.61	Pameneapo Mkulu wa ansembe wala emukonsha soti kuti, “Kansi ni wewo chendi Messiya, Mpulumushi Wolonjezewa, Mwana wa Mulungu wochinzikiwa?”
MRK.14.62	Yesu eyasuka kuti, “Eee, ninewo. Nipo muzemuwone Mwana wa Munthu ali nkhezi ku kwanja kwendi ya Mulungu wamphamvu zonse. Muzemumuwone akuza mu mikumbi.”
MRK.14.63	Tetyo Mkulu wa ansembe wala ekezula vovwala vake, na kuti, “Kansi pamene apa tingapangwe soti mboni ziyakine? 
MRK.14.64	Mwazimvwila mweka kunyoza Mulungu. Mulingilila tyani?”
MRK.14.64	Wonse elamula kuti owamila kupayiwa. 
MRK.14.65	Ayakine etatika kumtila mata, nomuvwinikila ku menso, nomunyata mbama, nonena kuti, “Lotela, ni ŵani wakunyata?” Amalonda ŵala nawo etatika kumunyata.
MRK.14.66	Petulo enze kunja kwa mpanda. Msimbi muyakine nyanchito wa Mkulu wa ansembe efwika pameneapo. 
MRK.14.67	Pechiwona Petulo oyota mulilo, emulolesha, nonena kuti, “Na mwewo mwenze na Yesu wa ku Nazaleti.”
MRK.14.68	Koma Petulo ekana kuti, “Zamene izo newo nuziziŵalini, nipo nuzimvwishalini.” Nipo efuma na kuya cha ku mulyango. Pameneapo kombwe elila.
MRK.14.69	Koma msimbi wala emuona, nouzyake amene enze pameneapo kuti, “Uyu naye enze mu umba imo.” 
MRK.14.70	Koma Petulo ekana soti.
MRK.14.70	Pepepita ka nsita, ŵanthu enze pameneapo emuuzya Petulo kuti, “Ni chendi nawe soti niwe wa umba yamene yala. Kansi kwanu wewo ni ku Galileyalini?”
MRK.14.71	Koma Petulo etatika kulishamika nolapa, “Ni chendi, munthu wa munena newo numziŵalini.”
MRK.14.72	Nsita yamene iyo, kombwe elila kachiŵili. Tetyo Petulo ekumbuka malizu ŵala a Yesu onena kuti, “Kombwe akaliyolila kachiŵili, unikane katatu kuti uniziŵalini.” Pameneapo Petulo etatika kulila.
MRK.15.1	Mu mamawa akulu ŵa ansembe na akulu ŵa Ayuda na Asambizyi a Malamulo, pamo na ayakine wonse a mu Kaupo Kakulu ka Ayuda emvwana. Emumanga Yesu na kuya naye kwa Bwanamkubwa Pilato.
MRK.15.2	Pilato emukonsha Yesu kuti, “Kansi wewo niwe mfumu ya Ayuda?”
MRK.15.2	Yesu emuyasuka kuti, “Mwalaŵila mweka.”
MRK.15.3	Akulu ŵa ansembe ŵala emunenela zinyinji. 
MRK.15.4	Pilato emukonsha soti kuti, “Kansi uliye choyasuka? Ona zonse izi zakukulaŵilila.”
MRK.15.5	Koma aliyoŵayasuke soti kali konse, tetyo Pilato ekanganishiwa.
MRK.15.6	Pa nsita ya chisangalalo cha Pasaka, Pilato enzoŵamangululila yumo wa akaidi wamene wa angasenge Ayuda. 
MRK.15.7	Penze munthu muyakine, zina yake Balaba, amene enze mu ndende pamo na ŵanthu ayakine chikomo choukila Boma nopaya ŵanthu. 
MRK.15.8	Tetyo winji ŵanthu wechizosenga Pilato kuti aŵachitile chamene chechiyoŵelela.
MRK.15.9	Pilato aŵakonsha kuti, “Kansi mupangwa kuti nikumasulileni mfumu ya Ayuda iyi?” 
MRK.15.10	Echita tetyo chikomo eziŵa Akulu ŵa ansembe kuti Yesu akuzo mutwala chikomo cha nsanje tyala. 
MRK.15.11	Koma Akulu ŵa ansembe enze euzya ŵanthu ŵala kuti aŵamasulile Balaba.
MRK.15.12	Tetyo Pilato eŵakonsha soti kuti, “Lomba mupangwa kuti tichite naye vinji uyu wamene wamukuti ni mfumu ya Ayuda?”
MRK.15.13	Eŵilikizya ngako kuti, “Mpachikeni pa mtanda!”
MRK.15.14	Pilato eŵakonsha kuti, “Waifyanji?”
MRK.15.14	Koma wove ekuwa ngako kuti, “Mpachikeni pa mtanda!”
MRK.15.15	Tetyo Pilato, popangwa kutemwesha ŵanthu, eŵamasulila Balaba, nolamula kuti Yesu akwapuliwe. Pa vuli pake emutwala kuti akapachikiwe pa mtanda.
MRK.15.16	Pameneapo asilikali eloŵesha Yesu ku msumba wa linga wa bwanamkubwa, noleta gulu yonse ya asilikali ayao. 
MRK.15.17	Emuvwalika chovwala chisweta cha mfumu, noluka chisote cha minga noika pa mutu pake. 
MRK.15.18	Tetyo etatika kumupasa moni kuti, “Timuwoneni, mfumu ya Ayuda.” 
MRK.15.19	Enzomunyata mu mutu na ndodo, nomtila mata, nomfukamila momufweya. 
MRK.15.20	Pechiseŵela naye mwankhanza tetyo, emuvula chovwala chala, nomuvwalika soti vovwala vake. Emutola, na kuya naye kuti akampachike pa mtanda.
MRK.15.21	Pa mseu ekumana na munthu muyakine, enzolumpha pameneapo kufuma ku minzi. Uyo munthu enze Simoni wa ku Kileniya, na usuwake ŵa Alekizanda na Lufu. Tetyo asilikali wala emkakamizya kuti anyamule mtanda wa Yesu. 
MRK.15.22	Wove echiya naye ku malo oitiwa Gologota, (niye kuti Malo a Chibade Chamutu). 
MRK.15.23	Epangwa kumupasa vinyo woyavizya na mule
MRK.15.24+MRK.15.25	Empachika pa mtanda pa nsita ya 9 koloko mu mawa. Eyaŵana vovwala vake nochita maele kuti awone aliyense vangatolepo. 
MRK.15.26	Malizu owonesha mulandu wompayila, elemba moteti, “Mfumu ya Ayuda.”
MRK.15.27	Yesu epachikiwa pamo na vinyamkapondo viŵili chiyakine ku kwanja kwendi, na chiyakine ku kwanja ya manzyele. [
MRK.15.28	Tetyo zichitika chendi zechinena Malembo kuti, “Emuyesa muyawo wa ŵanthu ofwaya malamulo.”]
MRK.15.29	Ŵanthu enzopita pameneapo enzomunena. Enzopukusa mitu nonena kuti, “Ha, siwewo wenze kuti, ‘Nikapasule Ngʼanda ya Mulungu noimanga soti pa masiku atatu’? 
MRK.15.30	Zipulumushe weka, seluka pa mtanda apo!” 
MRK.15.31	Nawo soti akulu ŵa ansembe enzomuseka, ouzyana na Asambizyi a Malamulo kuti, “Epulumusha ŵanthu ayakine, okwanishalini kulipulumusha yove yeka! 
MRK.15.32	Wala enze kuti, ‘Nine Messiya, Mpulumushi Wolonjezewa, Mfumu ya Aisilayeli,’ aseluke lomba pa mtanda, kuti tiwone nomuchetekela!” Nipo amene epachikiwa naye pamo wala enzomunyoza.
MRK.15.33	Nsita peikwana 12 koloko mu zuŵa, pepona chimfinzi pa chalo chonse cha pansi kufwika nsita ya 3 koloko. 
MRK.15.34	 Pa nsita ya 3 koloko, Yesu eŵilikizya ngako kuti, “Eloi, eloi, lama sabakatani?” (niye kuti, “Mulungu wangu, Mulungu wangu, mwanisiyilanji?”)
MRK.15.35	Pechimvwa malizu awo ayakine amene enze epanama pameneapo echiti, “Mvwani, oita Eliya.”
MRK.15.36	Tetyo muyakine ewutuka nosunsika nkhupule mu vinyo wosasa, nosomeka ku tete nompasa kuti amwe. Ayakine echiti, “Panama, tiwone keno Eliya wamene uyo awele kuzomuselusha.”
MRK.15.37	Koma Yesu eŵilikizya ngako nosilizyika.
MRK.15.38	Chinyula chochingilizya cha mu Ngʼanda ya Mulungu chingʼambika pakati kufumila kululu nofwika pansi. 
MRK.15.39	Mkulu wa asilikali wamene enze epanama pameneapo kuloleshana naye, ewona kuti Yesu wasilizyika moŵilikizya teti, echiti, “Ni chendi uyu munthu enze Mwana wa Mulungu.”
MRK.15.40	Patali teti penze pepanama anakazi, enzoingololesha. Ayakine mwa wove enze Maliya Magadalena, na Salomi, na Maliya anyina a Yakobe mtontho na Yosefe. 
MRK.15.41	Aŵa anakazi enzomukonkha Yesu penze ku Galileya nomutumikila. Penze soti anakazi ayakine ewela naye kufuma ku Yelusalemu.
MRK.15.42+MRK.15.43	Pechifwika chingulo kwiwela Yosefe wa ku Alimatiya. Enze munthu wochinzikiwa wa Kaupo Kakulu ka Ayuda, wamene enzolindila Ufumu wa Mulungu. Yenze nsiku ya chisano, yokonzekela nsiku ya Sabata ya Ayuda
MRK.15.44	Pilato edabwa kumvwa kuti Yesu wafwa kale. Tetyo eita mkulu wa asilikali wala, nomkonsha kuti, “Kansi ni chendi kuti Yesu wafwa kale?” 
MRK.15.45	Mkulu wa asilikali wala pechivomela, Pilato emulola Yosefe kuti angatole mtembo wala. 
MRK.15.46	Yosefe wala esita nyula ituŵa yosalala, noselusha mtembo wala nouvwinikila nyula yamene iyo. Ewuika mu manda wochitosema mu mwala, nokankhilapo chimwala pa mulyango kuvala pa manda. 
MRK.15.47	Maliya Magadalena, na Maliya anyina a Yosefe, ewona kwechimuika Yesu.
MRK.16.1	Nsiku ya Sabata peipita, Maliya Magadalena, na Maliya anyina ŵa Yakobe, pamo na Salomi echiyosita mafuta onunkhila kuti akazoleke mtembo wa Yesu. 
MRK.16.2	Mu mamawa, zuŵa ikaliyofuma, pa nsiku yokonkhapo Sabata iyo, echiya ku manda kwala. 
MRK.16.3	Enzokonshana kuti, “Kansi ni ŵani atiakatifumyile chimwala pa mulyango pa manda ŵala?”
MRK.16.4	Koma pololesha ewona kuti chimwala chikulu ngako chala chakankhiwa kale. 
MRK.16.5	Pechiloŵa mu manda mwala ewona mulumbwana enze nkhezi pansi ku mbali ya ku kwanja kwendi, enzovwale mkanjo utuŵa. Ŵala anakazi ezizimuka.
MRK.16.6	Koma mulumbwana wala eŵauzya kuti, “Musachite mwezo. Nuziŵa mupangwa Yesu wa ku Nazaleti, wala wechipachika pa mtanda. Wauka, muliye muno. Onani, ni apa pechimuika. 
MRK.16.7	Koma mwewo nkhoyani mukauzye asambili ŵake, makamaka Petulo kuti, ‘Yove wathangula kuya ku Galileya. Mukamuone kwamene uko, ngani mwechimuuzyilani.’”
MRK.16.8	Anakazi ŵala enze ekatiwa na mwezo, tetyo eutuka kufuma ku manda. Chikomo cha mwezo aliyouzyeko munthu aliyense.
MRK.16.8	[
MRK.16.9	Yesu pechiuka kwa akufwa, mu mawa nsiku yokonkha Sabata ya Ayuda, potatikila ewonekela kwa Maliya Magadalena wala wechifumya viŵanda visanu na viŵili. 
MRK.16.10	Maliya wamene uyu echiyouzya ŵala enzonkhala na Yesu, enzolila. 
MRK.16.11	Ngankhale echimvwa kuti Yesu ali moyo, na kuti Maliya wamuwona, wove aliyochetekele.
MRK.16.12	Pa vuli pake Yesu, penze wa mawonekelo wosiyana, ewonekela kwa asambili ŵake ayakine aŵili, amene awo enze pa ulwendo kunja kwa mzinda wa Yelusalemu. 
MRK.16.13	Asambili ŵala ewelela kuyouzya ayawo, koma nawo aliyoŵachetekele.
MRK.16.14	Posilizyila Yesu ewonekela kwa asambili kumi na yumo penzokulya. Eŵakalipila chikomo chosachetekeleka noyuma mitima kwawo chikomo aliyochetekele ŵala emuwona kuti yove wauka.
MRK.16.15	Tetyo eŵauzya kuti, “Nkhoyani ku chalo chonse cha pansi, mukaŵilizye ku ŵanthu wonse Uthenga Uweme. 
MRK.16.16	Amene atiazechetekele nobatiziwa, azepulumuke, koma amene atiazechetekelelini azepezewe ni wochimwa. 
MRK.16.17	Ochetekela azochita zodabwisha zoteti: okofumya viŵanda potomola zina yangu, akolaŵila malulimi alomba. 
MRK.16.18	Nipo akakate njoka, keno kumwa chakumwa chingaŵapaye akachenekekelini, akaika manja pa ŵanthu olwala, akochila.”
MRK.16.19	Asikulu Yesu pechilaŵila nawo, etolewa kuya Kululu, nonkhala ku kwanja kwendi kwa Mulungu. 
MRK.16.20	Tetyo asambili ŵala eluta noŵilizya kulikonse. Asikulu enzoseŵenza nawo pamo, nipo enzowonesha kuti venzoŵilizya venze vyendi na vodabwisa venzochita.]
