MAT.1.1	Baa arrittiaa Yeesu Krĩstõ halaangatõõ cĩ habu Daavide
GEN.36.30	hĩ Dithon hĩ Ẽthẽr hĩ Dithan. Baa akannoothĩk hattũũgẽt cĩg Hõõrĩ ꞌthaarrioha cĩg makayyiook cĩggĩĩng, ꞌcĩg baag aattĩg looccaa cĩ Theiri.
GEN.36.31	Baa nga haꞌnyahit eeta cĩg Ĩꞌthĩraẽlĩ habuẽẽt cĩggĩĩng, baa aattĩg habuẽẽta ũgẽẽgĩ ꞌcĩg baag aggam looc cĩ Edomĩ. Nẽ ꞌthaarriok cĩggĩĩng ko cieegi:
GEN.36.32	Baa habu ꞌcĩ haĩ ꞌBẽẽla, ngeertĩ Beorĩ ꞌcĩ baa ĩĩn habu Edoma ĩĩcĩ oou. Baa aaĩ nẽẽ ꞌtaaũnaa ꞌcĩ haĩ Dinhaba.
GEN.36.33	Ma baa adaak ꞌBẽẽla, ikia irigith habuui ꞌcĩ haĩ ꞌJõbaab ngeertĩ ꞌThẽẽra cĩ looc cĩ Bõthõra ĩnõõnnõ.
GEN.36.34	Ma baa tarĩ adaak ꞌJõbaabĩ, ikia irigith ĩnõõnnõ habuui ꞌcĩ haĩ Hutham cĩ eet ꞌcĩg haĩ Tẽẽma.
GEN.36.35	Ma urutaa cĩ daahĩth cĩ Huthamĩ, ikia irigith ĩnõõnnõ habuui ꞌcĩ haĩ Hadad ꞌcĩ ĩĩn ngeertĩ eet ꞌcĩ haĩ Bẽdaad. Baa iiggia Hadadĩ eet cĩg Midianĩ jora looccaa cĩ Mõabĩ. Baa haĩ ꞌtaaũn ꞌcĩ aayyi nẽẽ Avith.
GEN.36.36	Ma baa tarĩ adaak Hadadĩ, ikia ĩĩ ẽẽtĩ ꞌcĩ haĩ Thamla habu. Baa ĩĩn Thamla eet cĩ looc ꞌcĩ haĩ Mathẽrẽka.
GEN.36.37	Ma baa adaak Thamla, ikia irigith ĩnõõnnõ habuui ꞌcĩ haĩ ꞌThaaulo cĩ looc ꞌcĩ haĩ Rehoboth ꞌcĩ õbõhõõ hĩ hidioo.
GEN.36.38	Nẽ tarĩ baa ikia adaak ꞌThaaulo, ikia ĩĩ ẽẽtĩ ꞌcĩ haĩ ꞌBaal Hanan habu. Baa ĩĩn ꞌBaal Hananĩ ngeertĩ eet ꞌcĩ haĩ Acbor.
GEN.36.39	Ma baa urutaa cĩ daahĩth cĩ ꞌBaal Hananĩ, ikia irigith habuui ꞌcĩ haĩ Hadad cĩ looc ꞌcĩ haĩ Pau. Baa haĩ ngaa cĩnnĩ Mehetabel tĩnaatĩ eet ꞌcĩ haĩ Matereed ꞌcĩ ĩĩn tĩnaatĩ eet ꞌcĩ haĩ Methahab.
GEN.36.40	Baa habuẽẽt ꞌcĩg au hattũũgaa cĩ Eꞌthaau cieegi:
GEN.36.40	Tĩmĩna hĩ Alava hĩ ꞌJetheth, 
GEN.36.41	hĩ Oholibama hĩ Ela hĩ Pinon, 
GEN.36.42	hĩ Kẽnaath hĩ Teman hĩ Mibthar, 
GEN.36.43	hĩ Magdiel hĩ Iram. Baa habuẽẽt cĩg Edomĩ cieeg vẽlẽk. Baa aattĩg nẽẽg cũũmõ cũũmõ ꞌgoolliohĩĩ cĩg ꞌthaarriok cĩg loonyin cĩggĩĩng.
GEN.36.43	Baa hattũũg cĩ õlõ cĩ Eꞌthaau maaꞌnyĩ eet cĩg Edomĩ cieeni.
GEN.37.1	Baa õlõman Yakobo ligaa cĩ maacõnĩ Iꞌthaako looccaa cĩ Kanaanĩ.
GEN.37.2	Nẽẽthĩ, nyeemuut cĩ õlõ cĩnnĩ cieeni.
GEN.37.2	Ma baa ĩĩtõ Yothebo irkiꞌnyia õmmõtõ hĩ tũrkĩramma, baa gõõng ũũha nẽẽ hĩ ꞌgõtõõnõgĩ cĩg ꞌcieethi ũgĩ hẽlẽggĩ cĩg maacõnĩ. Baa lõhõlĩ cĩg Bĩlha hĩ ꞌThĩlpa ũgẽẽgĩ. Baa gõõng aku aduhaak Yothebo maaꞌnyĩ thooꞌthiok ꞌcĩg abathĩ vẽlẽk ꞌcĩg adĩman ꞌgotoonoggia.
GEN.37.3	Baa ammĩnan Ĩꞌthĩraẽlĩ ngeerĩnĩ Yothebo gẽrrẽẽt hĩllõõan lõhõlĩ cĩgĩnnĩg vẽlẽk, hĩnĩngĩtĩ baa arrittiaa Yothebo baa atahaany nẽẽnĩ. Baa aaꞌnyĩk nẽẽ Yothebo cẽrẽm ꞌcĩ ẽllẽẽmĩth gẽrrẽẽt. 
GEN.37.4	Ma baa õrõõta ꞌgotoonoggia cieeg ngaatĩ ammĩnanĩ maaꞌnyia Yothebo ho, iita ongoongoyyieek nẽẽg Yothebo gẽrrẽẽt nẽ iittiõõ hõllõngaa õthõõthõõ hĩ ĩnõõnnõ jurrung.
GEN.37.5	Ma baalin umwa, õhõnõõthĩ Yothebo nẽ ikia uduhaak ꞌgõtõõnõgĩ honoothi cĩnnĩ ho 
GEN.37.6	ĩĩnnĩk, “Ĩthĩhĩt nõõ honoothinit caannĩ. 
GEN.37.7	Hohonooꞌthi naa aabaal haluc naag vẽlẽk haal manatõõ. Ma hĩdĩĩkoothong, ikia ĩbĩl lucciaahiniti caannĩ ĩĩ maka nẽ iita akattieek lucciaaha cugguung vẽlẽk caannĩ ho huruꞌnyia.” Ma athĩhĩ ꞌgotoonoggia thõõth icci ho, iita aaburrieek ĩnõõnnõ gẽrrẽẽt.
GEN.37.8	Nĩngĩtĩ ajini ĩnõõnnõ annẽẽkĩ, “Ma haaꞌnyeet õlõng ẽlẽ, ammuhi nii aini occa hatĩ akuu ĩĩnĩ habu cĩnaang?” Ma ngaati, iita aaburrieek nẽẽg Yothebo gẽrrẽẽt, hĩllõõan ꞌgõõl baa aaburrẽẽkĩ ĩĩcĩ oou.
GEN.37.9	Ma uruta, ikia õhõnõõthĩ Yothebo tarĩ. Ohonooꞌthi aattĩ aĩ, “Hadtuuha au akanneeka kõrra hĩ nyĩlõk hĩ mũnyũny õmmõtõ hĩ hõdẽĩ huruꞌnyia.” Ma nĩngaata, ũũk uduhaak ꞌgõtõõnõgĩ tarĩ ĩĩnnĩk, “Hõlõ lõggõõ cieeg ĩthĩhĩt nõõ, iyyia aattĩ hohonooꞌthi naa tarĩ, aku kõrra hĩ nyĩlõk hĩ mũnyũny õmmõtõ hĩ hõdẽĩ nẽ akattieeha huruꞌnyia.”
GEN.37.10	Ma baa õkõ aduhaak maaꞌnyĩ ho, eggerꞌnyeek hinnia maaꞌnyia ĩnõõnnõ anneek, “Õdõranneet thõng ẽlẽ! Honoothinit gõõng ꞌcĩ ĩĩn ne nicciee? Ĩcca ꞌyioko hatĩ haattiyyia naag hĩ ngaanu hĩ ꞌgotoonogu ĩꞌthõng nẽ hakattieehi nganiit huruꞌnyia?” 
GEN.37.11	Nĩngĩtĩ aaburrẽẽkĩ ꞌgotoonoggia cieeg ĩnõõnnõ gẽrrẽẽt, ĩko thĩ nẽẽ ara ammuk maaꞌnyia thõõth icci ꞌthĩnĩtatõõ.
GEN.37.12	Ma kõr umwa, baa aꞌngĩd ꞌgõtõõnõgĩ Yothebo hẽlẽggĩ cĩg maacõnĩ õõ õlõmaneek ngaatĩ õbõhõõ hĩ ꞌThẽkẽm. 
GEN.37.13	Nĩngĩtĩ annẽẽkĩ Ĩꞌthĩraẽlĩ Yothebo, “Hadiimmii naa nganiit mũdoothĩk ꞌgotoonogu. Ũũha nẽẽg aꞌtha ngaatĩ õbõhõõ hĩ ꞌThẽkẽm.”
GEN.37.13	Nĩngĩtĩ airaanĩ Yothebo hĩdĩĩkoothong nẽ ẽdẽc ĩĩ, “Abũnnaa.”
GEN.37.14	Ma nĩngaata, ikia ĩꞌthõ maaꞌnyia ĩnõõnnõ ĩĩnnĩk, “Mũdoothĩk dako ꞌgotoonogu icciag aattĩg hõrgga hata, hatĩ aattĩg lõꞌngõõc nẽ ikia uduhaahaanĩ.” Baa aaĩ õlõ cĩ Yakobo nohota Heborona.
GEN.37.14	Ma baa õdõlan Yothebo ꞌThẽkẽm ko, 
GEN.37.15	ikia arahan nẽẽ gẽrrẽẽt, nĩngĩtĩ õmmõtõõnĩ hĩ eet umwa nẽ ijin ẽẽtĩ tĩho ĩnõõnnõ ĩĩnnĩk, “Ne thĩnõ ꞌcĩ adiimi ho nyahaappan?”
GEN.37.16	Ẽdẽcĩ Yothebo anneek, “Hadiimi lõggõõ ũgĩ ꞌcĩg ĩĩn ꞌgotoonoga ꞌcĩg ũũhayyi lokoraa cĩ. Aga occa nĩngĩtĩ aayyi hõrõõgĩ cĩnĩĩng?”
GEN.37.17	Ẽdẽcĩ ẽẽtĩ tĩho anneek, “Iittiõõ nẽẽg hõllõngaa aattĩg lokora cĩ. Baa hathihi aduha nẽẽg aĩ haluugga hatĩ hooyyia Dõthana.”
GEN.37.17	Nĩngĩtĩ õkõ ammũdaanĩ Yothebo ꞌgõtõõnõgĩ ngaatĩ õbõhõõ hĩ Dõthan. 
GEN.37.18	Ma baa adtuuha ꞌgotoonoggia Yothebo ngaatĩ aliittianĩ lõmẽrra hoti ho, otongomit ĩnõõnnõ ĩĩtõ,
GEN.37.19	“Ikia mĩĩ honooꞌthiahiti.” Nĩngĩtĩ aꞌnyahĩ muhẽẽnĩt cĩ adiim aruhi ĩnõõnnõ. 
GEN.37.20	Ma hĩdĩĩkoothong, othoothito ĩĩtõ, “Hiita huruhit nẽ hudhukteek ꞌwooratõõ, nẽ hõõt huduktaak eet õlõ hĩĩttĩk, adak ꞌgii cĩ moru. Nẽ da hatĩ hĩcĩnĩt ꞌgii ꞌcĩ attihaakeet honoothiniti cĩnnĩ ho.”
GEN.37.21	Ma baa athĩhĩ ꞌRuubenĩ thõõth ꞌcĩ adiim aruhi ꞌgotoonoggia cieeg Yothebo ho, ikia ĩttĩman ngaatĩ ẽẽlanĩ ꞌgõtõnĩ ꞌcĩ hidici ho. Nĩngĩtĩ ẽdẽcõõthĩkĩ ĩhõõggõ noho annẽẽkĩ, “Hõllõngaa occa haruk ĩnõõnnõ thõng. 
GEN.37.22	Adakeet hatĩ biyyieeta. Hudhukteek ĩnõõnnõ ꞌwooratõõ umwaanĩ battaalaa nĩĩcĩ, nẽẽthĩ, ma hahummu ĩnõõnnõ ũdũt.” Baa õthõõth ꞌRuubenĩ hoti aĩ, hátĩ hẽẽla Yothebo nẽ õbõdĩ õlõ.
GEN.37.23	Ma baa õdõlan Yothebo ꞌgõtõõnõgĩ ho, ĩtĩngaacõ ꞌthẽk lõggõõ cieeg ngaati noho, uppuruccia ꞌgõõnĩ cẽrẽm baa alũũllak maaꞌnyia ho, 
GEN.37.24	nĩngĩtĩ adhuhẽẽkĩ ĩnõõnnõ ꞌwooratõõ.
GEN.37.25	Ma nĩngaata, iita uduhit nẽẽ nẽẽg ꞌgẽẽn cĩnĩĩng. Ma baa abbuudi ho, acĩn hinnia tuuyyiok cĩg eet cĩg Ithimaĩlĩ au ĩĩcĩ ꞌGileadĩ. Baa õvvõ eeta tĩko nyaakaalnyanĩĩ cĩg irriongan mĩlĩlla ꞌcĩg abbiiri hĩ ngõõrrõ cĩ udẽẽttõ ꞌcĩ õꞌngõlĩ ẽmmẽdĩ gẽrrẽẽt hĩ kadĩkadĩngĩ cĩg ꞌgeenniok ꞌcĩg õꞌngõlĩ ẽmmẽdĩ õõyyĩ Ijjiba.
GEN.37.26	Ma adtuuha ꞌJuuda tuuyyiok niccig ngaatĩ attĩlanniaakĩ ĩhõõggõ ho, ijin ꞌgõtõõnõgĩ ĩĩnnĩk, “Hõlõ, ne ꞌyioko occa hatĩ ꞌcĩ hammũda naag hatĩ huruhit ꞌgotooneet nẽ hummuttieek biyyi cĩgĩnnĩg ꞌthẽẽmĩtõõ? 
GEN.37.27	Hutuuyyiõõĩ baaĩ nuun ĩnõõnnõ hĩ eet cĩg Ithimaĩlĩ ho hĩllõõan ngaatĩ haruhi thõng. Má huruhit dẽẽdẽ, hattik hatĩ daahĩth cĩnnĩ hĩ otto.” Ma athĩhĩ ꞌgotoonoggia hoti ho, elemit noho.
GEN.37.28	Ma baa au obokii tuuyyioha cĩg eet cĩg Midianĩ ho, õõt utugurria nẽẽg Yothebo ꞌwooratõõ nẽ iita utuuyyiõĩ hĩ eet cĩg Ithimaĩlĩ ho maccĩrẽẽn hẽẽn ꞌramma haaga. Ma nĩngaata noho, ootti tuuyyioha niccieeg Yothebo Ijjiba.
GEN.37.29	Baa nga aayyiaa ꞌRuubenĩ ngadiiha kõr ꞌcĩ auuni tuuyyioha tĩko ho. Ma baa õbõda nẽẽ aĩ hũũk hĩcĩn Yothebo ꞌwooratõõ ho, ammũdoothĩk hinnia aitiõõ tõõ, nĩngĩtĩ ẽrrẽẽcĩ ceremwa cĩgĩnnĩg lĩlĩẽẽtta. 
GEN.37.30	Ma nĩngaata, ũũk uduhaak ꞌgõtõõnõgĩ ĩĩnnĩk, “Hõlõ! Iꞌnginõõthĩ hatĩ buuleniti aangaani. Hõkõ occa ꞌthẽk naa hutuno?”
GEN.37.31	Ẽbẽk lõggõõ niccieeg muguruur noho, nĩngĩtĩ agurraanĩ hõõny umwa noho nẽ ucuhanita. Ma hoti ho, itikta cẽrẽm cĩ Yothebo nẽ udduuttik biyyi cĩg hõõny nicci hibbiir ꞌtõl. 
GEN.37.32	Ma uruta, aꞌnyaktoothĩk cẽrẽm tĩho maaꞌnyĩ nẽ ĩĩttĩk, “Baa hammũdaanna naag cẽrẽm icci thõng, gaa da hatĩ ĩĩn cĩ ngeeruni.”
GEN.37.33	Ma baa aga maaꞌnyia cẽrẽm ho, urruuo ĩĩ, “Cẽrẽm bẽrẽ cĩ loholeec caannĩ cieeni! Adaheeha bẽrẽ loholeec caannĩ Yothebo ꞌgii cĩ moru.” 
GEN.37.34	Nĩngĩtĩ ẽrrẽẽcĩ Yakobo ceremwa ẽllaa cĩnnĩ nẽ urruuo gẽrrẽẽt, nĩngĩtĩ aayyi hatiꞌtheeta waathinniook ꞌcĩg mẽẽlĩg. 
GEN.37.35	Au lohollia cĩgĩnnĩg aĩ hiita hamammaayatta ĩnõõnnõ, abũrĩ pad. Aĩ hinnia, “Halu loholeec caannĩ ĩꞌthõng hadaoothĩk ꞌlook tilaalõnĩ noho.”
GEN.37.36	Ma tarĩ tuuyyioha cĩg eet cĩg Midianĩ ngaati, õõt utuuyyiõĩ Yothebo Ijjiba hĩ eet umwa cobbi ꞌcĩ haĩ Potivarẽ, eet ꞌcĩ baa ĩĩn ꞌgaalac ꞌcĩ ẽbẽk õlõ cĩ habuuo.
GEN.38.1	Ma waathinniook nicciag, ũtũngeek ꞌJuuda ꞌgõtõõnõgĩ looccaa ꞌcĩ ĩĩn muurriok, nẽ õõt ũrũmtĩ hĩ ꞌgõõnĩ ꞌcĩ haĩ Hĩĩra cĩ looc ꞌcĩ haĩ Adullam. 
GEN.38.2	Ma nĩngaata, ikia õtõrõõta ꞌJuuda bũhẽẽc umwa cĩ looc cĩ Kanaanĩ, tĩnaatĩ eet ꞌcĩ haĩ ꞌThũũa, nĩngĩtĩ aꞌthũwanĩ ĩnõõnnõ. 
GEN.38.3	Ikia aꞌnyahõ tĩnaatĩ ꞌThũa ho nẽ ũtũhũwa loholeec ꞌcĩ maacĩ, nĩngĩtĩ akannẽẽkĩ ꞌthaar ꞌcĩg haĩ Ẽẽr. 
GEN.38.4	Ma uruta, ikia aꞌnyahõ tarĩ nẽ ũtũhũwa buulenit ꞌcĩ haĩ Õnaan. 
GEN.38.5	Ma baa uruta, ikia ũtũhũwa buulenit umwa tarĩ ꞌcĩ haĩ ꞌThẽẽla. Baa aaĩ õlõ cĩ ꞌJuuda ngaatĩ haĩ Kethib baa nohota.
GEN.38.6	Nĩngĩtĩ aku aꞌthũwanaakĩ ꞌJuuda ngeerĩnĩ Ẽẽr bũhẽẽc ꞌcĩ haĩ Tamar. 
GEN.38.7	Nẽẽthĩ, baa aharreek Makayyioohiti Nyekuci Ẽẽr, ngeertĩ ꞌJuuda ꞌcĩ oou, hĩnĩngĩtĩ baa ĩĩn nẽẽ eet ꞌcĩ adĩman hẽlẽggĩ ꞌcĩg abathĩ dtẽc, nĩngĩtĩ aruhi Makayyioohiti ĩnõõnnõ.
GEN.38.8	Ma urutaa cĩ daahĩth cĩ Ẽẽrĩ, ikia ĩĩnnĩk ꞌJuuda ngeerĩnĩ Õnaan, “Ũrũmtĩ mĩĩ hĩ ngagotonoonu, hátĩ hikia haꞌnyak ꞌgotonu buúk lõhõlĩ.” 
GEN.38.9	Abũrĩ hinnia Õnaanĩ ngaatĩ õlõmĩ ngagõtõnõõnĩ, hĩnĩngĩtĩ agaoothi aĩ, aitiõõ hatĩ loholeec ꞌcĩ arrittiaa hõllõngaa ĩĩn cĩnnĩ. Nẽ ma adiim oogin hĩ ngaa nicci, attumaniini hinnia ĩnõõnnõ haaga hõllõngaa arritaak loholeec ũdũt.
GEN.38.10	Ma baa adtuuha Makayyioohiti ngaatĩ attumaniini Õnaanĩ ngagõtõnõõnĩ haaga ho, ikia ĩlĩĩlĩ Makayyioohiti gẽrrẽẽt, nĩngĩtĩ aruhi Õnaan buúk.
GEN.38.11	Ma ngaati, ũtũvvũ ꞌJuuda alaannĩnĩ Tamar nẽ ĩĩnnĩk, “Bodooth mĩĩ nuun nõõ ĩĩcĩ õlõ cĩ maaconu. Bĩĩt nõõ ꞌthẽk au ĩĩ ngaatĩbõyyĩ ĩĩca ĩꞌthõng hĩtĩlĩtha ꞌThẽẽla, nẽ iita ũrũmteeu hĩ ĩnõõnnõ.” Baa aduhaak ꞌJuuda Tamar hoti, hĩnĩngĩtĩ baa iꞌngolli nẽẽ aĩ, aku mõnõ hatĩ adaahĩ ꞌThẽẽla buúk hĩ baa ꞌgotoonoggia tarĩ thõng. Nĩngĩtĩ õkõõĩ Tamarĩ ĩĩcĩ õlõ cĩ maacõnĩ.
GEN.38.12	Ma baa urutaa cĩ irkiꞌnyia ũgĩ, ikia aggama lõõcĩ ꞌJuuda ngaa cĩnnĩ tĩnaatĩ ꞌThũũa. Ma baa itiwiili lõõcĩ, ĩtĩngaacõ nẽẽ hĩ ꞌgõõnĩ ꞌcĩ haĩ Hĩĩra eet cĩ Adullamĩ, õõt ĩꞌthõng nĩngĩtĩ haĩ Tĩmĩna ꞌcĩ baa aꞌthudanĩ eeta ĩma cĩg aꞌtha cĩgĩnnĩg.
GEN.38.13	Ma baa udukiaak Tamar aĩ, “Ũũk uꞌthudan mohonuni ĩma cĩg aꞌtha cĩgĩnnĩg looccaa cĩ Tĩmĩna,” 
GEN.38.14	ikia ũppũrũca ceremwa cĩg ulwaanak nẽ itihim ꞌcĩg ꞌrĩĩng nẽ ũmũmmũũran õõ.
GEN.38.15	Ma baa aku ẽttẽẽd ꞌJuuda nĩngaata ho, ammũdaak hinnia ĩnõõnnõ aaĩ ꞌgõõla ngadiiha nẽ ummuk ĩĩ, “ꞌWaaꞌngiahit baaĩ ꞌyioko nuun umwa haaga.” Ammuk nẽẽ hoti, hĩnĩngĩtĩ baa ammũt Tamarĩ muum cẽrẽma. 
GEN.38.16	Nĩngĩtĩ ammũdõõthĩkĩ ꞌJuuda Tamar nẽ idiim atagguutho hĩ ĩnõõnnõ.
GEN.38.16	Ma nĩngaata, ajin hinnia Tamarĩ ĩnõõnnõ anneek, “Ne hatĩ ꞌcĩ aaꞌnyaa nii nganĩĩt hatĩ hẽlẽma thõõth cunni ho?”
GEN.38.17	Ẽdẽcĩ ꞌJuuda anneek, “Haggameekii hatĩ mĩꞌnyõõn.”
GEN.38.17	Ẽdẽcĩ tarĩ Tamarĩ aĩ, “Ĩcca occa nõõ aaꞌnyaa ꞌgiimwa hẽrẽẽõĩ ĩꞌthõng ꞌgameehaa mĩꞌnyõõn tĩho?”
GEN.38.18	Ma ho, ijin ꞌJuuda ĩnõõnnõ ĩĩnnĩk, “Adiimi ꞌyioko nii neegi?”
GEN.38.18	Ẽdẽcĩ Tamarĩ ĩnõõnnõ anneek, “Aꞌnyaa dihidohit hĩ nyerikooc ꞌcĩ aꞌnyahi iꞌnyiaawa hataa, hĩ hĩbahĩt.” Nĩngĩtĩ ooginni hõdẽĩ nẽ ikia aꞌnyahõ nẽẽnĩ. 
GEN.38.19	Ma nĩngaata, õbõdõõthĩ Tamarĩ ĩcĩ olu nẽ ũũk itihim ceremwa baag ulwaanak tarĩ.
GEN.38.20	Ma baa urutaa cĩnnĩ, ikia ĩꞌthõ ꞌJuuda ꞌgõõnĩ Hĩĩra hutugur mĩꞌnyõõn hũũk haꞌnyahoothĩk ngaa baa oogin hĩ ĩnõõnnõ, hátĩ hõbõdaaĩ ijjio baag ũũnnĩkĩ ngaa nicci. Õkõ hinnia adiimi Hĩĩra ĩꞌthõng nẽ hõllõngaa ammũda ngaa tĩho buúk. 
GEN.38.21	Ma ho, ijin eet ũgĩ nĩngaata ĩĩnnĩk, “Ũũk ꞌwaaꞌngiahiti baa aaĩ Enaima ꞌgõõla ngaati ibiaali ĩĩna?”
GEN.38.21	Ẽdẽcĩ hinnia eeta niccieeg aĩ, “Nga haꞌnyakta ngaa ꞌcĩ ĩĩn ꞌwaaꞌngiahit ngaati ũdũt.”
GEN.38.22	Ma nĩngaata, õbõdõõthĩ Hĩĩra ũũk uduhaak ꞌJuuda ĩĩnnĩk, “Aitiõõ ngaa tĩho tõõ. Nẽ aduha maajihi lootu buúk aĩ, ‘Nga haꞌnyakta ngaa ꞌcĩ ĩĩn ꞌwaaꞌngiahit ngaati ũdũt.’ ” 
GEN.38.23	Ma ho ẽdẽc ꞌJuuda ĩĩ, “Ac, aꞌnyĩĩk baaĩ hũũhĩ nĩĩca ẽlẽ. Haburi naa ngaatĩ au aranneet eeta. Baa thĩ hadiimi naa hadũmani ĩnõõnnõ, ma tarĩ thĩ hõllõngaa ammuddiaa ho.”
GEN.38.24	Ma urutaa cĩ nyĩlõhĩ iyyio, ikia uduhaak ẽẽtĩ umwaa ꞌJuuda ĩĩnnĩk, “Ũũk tarĩ õtõ alaannuni Tamarĩ hĩ ꞌwaaꞌngiahiti haaga nẽ tarĩ ꞌyioko, aꞌnyahõ thõng buúk.”
GEN.38.24	Ma baa athĩhĩ ꞌJuuda ho, uduhaak eet nicci ĩĩnnĩk, “Õõt utugurriaak ĩnõõnnõ battaalaa cĩ ꞌtaaũnõõ nẽ utuuꞌthu hadaak!”
GEN.38.25	Ma baa nga agurut eeta Tamar õõĩ battaala, ĩꞌthõ nõõ hinnia nẽẽ eet umwa hũũk huduhaak ꞌJuuda hĩĩnnĩk, “Baattĩ hĩbahĩt icci hĩ dihidohit hĩ nyerikooc icci ꞌcĩ arritoothĩkaa nganĩĩt ko.”
GEN.38.26	Ma nĩngaata, aga hinnia ꞌJuuda hẽlẽggĩ niccig ngaatĩ ĩĩnnĩ cĩgĩnnĩg thõng. Ma ho ĩĩ, “Ammĩrĩ Tamarĩ, nganĩĩt ꞌcĩ hẽꞌthẽcana, occa baa ꞌthẽk haaꞌnyĩha ꞌThẽẽla hõlõm ĩnõõnnõ.
GEN.38.27	Ma kõr cĩ tuhuyyiaattõ, ũũkca hinnia nẽẽ lõhõlĩ ꞌcĩg ĩĩn heengti. 
GEN.38.28	Baa uwwattaanĩ loholeec ꞌcĩ oou aꞌthiit nẽ ẽdẽc ngaa ꞌcĩ alaama Tamar ko hecebeek joonniac ꞌcĩ marihi nẽ ĩĩ, “ꞌCĩ uwwattaa cieeni.” 
GEN.38.29	Ma baa õbõdĩ loholeec baa oou aꞌthiit cĩnnĩ hẽẽngatõõ tarĩ ho, aku hinnia ꞌgotonnia ꞌcĩ uruto hikia hutuhuyyiaa. Ẽdẽcĩ tarĩ ngaa nicciee alaama ꞌgõõnĩ ho hõthõõth hĩĩ, “Ĩko ꞌgõõl ꞌcĩ akĩĩnyanĩ ho cieeni?
GEN.38.30	Ma uruta, ikia utuhuyyiaa ꞌgotonnia baa eceboothĩk joonniacĩ ꞌcĩ marihi ho uruta, nĩngĩtĩ akannõõthĩkĩ ꞌthaara ꞌcĩg haĩ ꞌThẽẽra.
GEN.39.1	Ma baa ootti eeta cĩg Ithimaĩlĩ Yothebo Ijjiba, õõt utuuyyiõĩ nẽẽg ĩnõõnnõ hĩ eet ꞌcĩ haĩ Potivarẽ ꞌcĩ ĩĩn makayyioohit cĩ ũũrũta ꞌcĩg ẽbẽk habu cĩ Ijjibi.
GEN.39.2	Nẽ baa aaĩ Makayyioohiti hĩ Yothebo nẽ aaꞌnyĩk ĩnõõnnõ habalõ, baa aaĩ nẽẽ ꞌcieethaa cĩ ꞌgaalac cĩnnĩ cobbi cĩ Ijjibi. 
GEN.39.3	Ma baa adtuuha ꞌgaalacĩ ciee ngaatĩ aꞌthũũnnĩ Makayyioohiti Nyekuci Yothebo gẽrrẽẽt ngaatĩ aaꞌnyĩkĩ hĩĩ buulenit ꞌcĩ alalĩ ꞌthĩnĩt kũc ko, 
GEN.39.4	ikia aꞌnyĩĩk nẽẽ Yothebo hĩĩ bekioohit cĩnnĩ nẽ aaꞌnyĩk hũꞌthũũtĩ ijjio cĩg halang cĩnnĩ vẽlẽk. 
GEN.39.5	Nganĩngĩtĩ kõr ꞌcĩ aaꞌnyĩhõõthĩkĩ Yothebo makaaꞌthĩt cĩ õlõ cĩnnĩ hĩ ijjio baagĩnnĩg, iꞌthianaaĩ aggatan Makayyioohiti õlõ cĩ Potivarẽ, hĩnĩngĩtĩ Yothebo. Baa akũmanoothĩk hẽlẽggĩ cĩg õlõ cĩnnĩ vẽlẽk jurrung nẽ ittirit manẽẽna hĩ hẽlẽggĩ cĩgĩnnĩg vẽlẽk jurrung. 
GEN.39.6	Ma baa ikia aꞌnyĩĩk Potivarẽ Yothebo makaaꞌthĩt ꞌcĩ aꞌthũũnnĩ halang cĩnnĩ, baa aallak Potivarẽ ꞌgẽẽn ꞌcĩ adak thõng diooni nẽ ĩĩ Yothebo ꞌcĩ aga autheꞌnya cĩg õlõ cĩnnĩ vẽlẽk.
GEN.39.6	Ma baa irkiꞌnyia nicciag, ikia ĩtĩlĩtha Yothebo ĩĩ eet ꞌcĩ vikahĩ nẽ ẽllẽẽm gẽrrẽẽt, 
GEN.39.7	nĩngĩtĩ aku abũranẽẽkĩ ngaa cĩ makayyioohit cĩnnĩ ho nẽ allaba ĩnõõnnõ kõr umwa waath ĩĩnnĩk, “Ijjia baaĩ hõõt hatagguuth hõdẽĩ.”
GEN.39.8	Abũrĩ hinnia Yothebo thõõth nicci nĩngĩtĩ ẽdẽcĩ ngaa nicci annẽẽkĩ, “Hattiha occa gõõng ꞌthĩnĩt ꞌcĩ occa hadĩmanĩĩ thõõth ꞌcĩ aaĩ noho ho ngaana? 
GEN.39.9	Haga ngaatĩ ũũnnĩka baattĩ olu makaaꞌthĩt ꞌcĩ haggamĩ ꞌgii vẽlẽk cĩ õlõ icci, nẽẽthĩ hinnia, nga haaꞌnya makaaꞌthĩt cĩ occa hooginni hĩ nganiita. Hõllõngaa occa hadĩmani thõõth ꞌcĩ aaĩ hoti, hĩnĩngĩtĩ ĩĩn ꞌthẽccan hĩ Nyekuc.” 
GEN.39.10	Baa ĩĩdĩ ngaa cĩ ꞌgaalacõ ho Yothebo waathinniook ꞌcĩg mẽẽlĩg ꞌrĩng nẽ aalla abũrĩ Yothebo thõõth cĩnnĩ ho noho nẽ tarĩ ũtũbũr ngaatĩ occa õbõhõõnĩ hĩ ngaa nicci haaga buúk.
GEN.39.11	Ma kõr umwa, ũũk idticanõõ Yothebo ꞌcieethaa cĩ makayyioohit cĩnnĩ nẽ baa nga aattiyyiaa dticcianniooha ꞌcĩg gõõng adticanni hĩ ĩnõõnnõ hõdẽĩ battaala. 
