MAT.1.1	Ã ndei Jesucristo i ñiinda ã. David rei ei tuchɨ. Abraham abe no.
REV.7.17	Jesucristo quia ra eteaquiatu beɨ mingo. Sã oveja raarõsa riqui oveja reaquiatute no. Sã eriqui oveja rerao rao mbiu no. Eɨ̃ sɨ ra Jesucristo ũquɨ̃ ndeaquiatu mingo. Dios ra echeseo mbutiba beɨ cote, ɨ que ameɨ ñee seje ra.
REV.8.1	Jesucristo que sello nongue ndoso libro sɨ cote ra. Séptimo sello. Mbae ibatenda que quɨrɨrɨ tuchɨ sello ndoso mose ra. Quɨrɨrɨ arete que ra. Media hora chee. 
REV.8.2	Siete ángeles chɨ quia Dios ruba quiti nae, ũquɨ̃ ndese que amaembe cuu ra. Emo ngue trompeta mee ja ja ũquɨ̃ je ra. Siete que trompetas ra. 
REV.8.3	Angel mo ngue tu incienso riru mo nderu ra. Oro ao ji. Tiba que uã altar jii ra. Emo ngue incienso tubɨrɨã mondo ee cuu ra. Altar mo ngue chɨ̃ oro ao ji ra. Aque arõ ngue ángel incienso ñono nda. Dios ruba quiti. Ae Dios quiato ñee ñee nguia Dios je nae, ũquɨ̃ ñee ngue ngasẽ nguia Dios je ra. Incienso rei jí shɨmbu turã ndese. 
REV.8.4	Incienso retashĩ ngue nyuɨ oso quia ángel o sɨ ra. Dios quiato cheẽ mbirõ ngue eriqui oso ngasẽ Dios je ra. 
REV.8.5	Angel que incienso riru mombisẽ tata reteɨ̃ je ra. Altar jenda je. Ichusẽ ngue ibi quiti cuu ra. Ama ngue sieu tuchɨ cote ra. Pirirã pirirã ɨ tuchɨ que ra. Ibi abe que nyere cuu no nda.
REV.8.6	Ae siete ángeles trompetas quereco nae, ũquɨ̃ ngue ɨcoquiatu cote ra. Trompeta mbucheẽ sacuã.
REV.8.7	Emo ngue trompeta mbucheẽ cote ra. Iquitã ngue ngoɨ ngoɨ tuchɨ íbii cote ra. Tata abe que ngoɨ ngoɨ ra. I ɨreɨ̃ tuchɨ que cote ra. Mbae ruqui rã. Ibi tercera parte que oquieɨ tuchɨ ra. Ira tercera parte abe que oquieɨ ra. Mbae ruri abe que oquieɨ ja no nda.
REV.8.8	Segundo ángel que trompeta mbucheẽ cote no nda. Aque mose tuchɨ que mbae mo ndu ngoɨ ama ndɨsha ye ra. Ecuasu tuchɨ que ra. Sɨta ibate rã. Sendi que u ama ndɨsha ite re ra. Ama ndɨsha tercera parte ɨreɨ̃ tuchɨ que cote ra. Mbae ruqui rã. 
REV.8.9	Ama ndɨsha rɨɨnda tercera parte que mano ja ra. Ae ngata quia ama ndɨsha ruɨ barcos nae, ũquɨ̃ tercera parte abe que ñɨɨmɨ ɨmɨ ja no nda.
REV.8.10	Tercer ángel que trompeta mbucheẽ cote no nda. Aque mose que nyasitata cuasu mo ndu ngoɨ íbii ra. Tata rendi rã ngue erendi ra. Ngoɨ que ama tercera parte ye ra. Eriecua tercera parte ye ja abe que ngoɨ no nda. I mbɨɨcuã tuchɨ que ra. 
REV.8.11	Eteɨ, ɨ que equia aque nyasitata je ra. Nyasitata que ama tercera parte mboteɨ tuchɨ ra. Iteɨ tuchɨ que cot e ra. Nyeb e mbia riqui nguiã mano mano tuchɨ iu mose cuu.
REV.8.12	Cuarto ángel que trompeta mbucheẽ cote no nda. Aque mose que mbae mo tenda mbuchecuayãte tercera parte ra. Nyasi tercera parte abe. Nyasitata tercera parte abe no. Nyebe mbae checuayã tuchɨ riqui nguiã mbia je nyaashĩ mose tercera parte. Isa mose abe nyasi mbae tesae eã tercera parte. Nyasitata abe no.
REV.8.13	Nguira rɨsha rese que amae cuu cote ra. Mbebe que equia ibate tuchɨ searõ nda. Ñeemombo mombo que equia ra: —Aba mbia eã tuchɨ mbia ibi jenda. Mbae rasi ra esaã tuchɨ cote. Angeles ataque nyuihuí mose. Angeles tres trompetas mbucheẽ mose, mbia ra mbae rasi saã tuchɨ cote, ɨ que nguira rɨsha ñee nda.
REV.9.1	Quinto ángel que trompeta mbucheẽ cote no nda. Aque mose que nyasitata mo ngoɨ u íbii seje cuu ra. Mbia raãte que aque nyasitata ra. Nyasitata que ibicua atiquia jea ra. Abismo, ɨ que hue ibicua je ra. 
REV.9.2	Eequia mose que tatashĩ usẽ tuchɨ ra. Sã tata riqui nyuuta rosot e tetashĩ no. Tatashĩ ngue tenda choote ra. Mbae mbuchecuayã jate que ra. 
REV.9.3	Tatashĩ sɨ que tucu mbuae ngaẽ tuchɨ usẽ cote ra. Tucu mbuae que ibi mboo ja tuchɨ nyoɨ mangue chooñoa nda. Mbia ɨ ɨ tuchɨ que equia ra. Quiraẽ ndasi rã tuchɨ que eriqui mbia je ra. 
REV.9.4	Emo ngue ñee tucu mbuae je ra: —Ira mo nda jẽuchɨ̃ jẽ. Ira ruri j a abe. Mbae ruri ja abe no. Quiata abe no. Mbia Dios quiatoã achõ ño jembasi mbasi quia. Ae Dios mbae marca quereco eã nguia nguba rese nae, ũquɨ̃. 
REV.9.5	Ũquɨ̃ je mbae rasi jẽsaanguquia tuchɨ cinco meses. Jẽɨquia eã ño, ɨ que ñee tucu mbuae je ra. Quiraẽ ndasi rã tuchɨ que tucu rasi riqui mbia je ra. 
REV.9.6	Aque mose ra mbia “nandemano” ɨ tuchɨ rei nguiã nyue. Mano aroneate rae.
REV.9.7	Caballo rã tuchɨ que tucu mbuae ra. Sã caballo riqui ɨcoquiatu guerra raã naa sacuã no. Corona naanguia que siqui tucu mbuae ãquĩ ndese ja ja ra. Oro ao ji ereae. Mbia ruba raãte que tucu mbuae ruba ra. 
REV.9.8	Cuña a raãte que ea ra. Nyacuareɨ̃ naate que ereɨ̃ nda. 
REV.9.9	Eɨshɨa ãtã tuchɨ que ra. Hierro rã. Mbia eiõ aronea. Guerra ndieu rã tuchɨ que ebebe mose ra. 
REV.9.10	Sã quiraẽ ndiqui mbia ɨ ngocoɨ je no. Eɨ̃ sɨ que equia mbia ɨ ɨ ngocoɨ je ra. Mbia mbasi mbasi que equia cinco meses ra. 
REV.9.11	Angel ɨcuã mo ngue tucu mbuae rerecua ra. Ae ibicua atiquia jea nae, aque que ererecua ra. Abadón, ɨ que hebreo cheẽ nguia ee ra. Apolión, ɨ que griego cheẽ nguia ee no nda. —Mbia ɨquiasa, ɨ chõ nguiã embae nombres je.
REV.9.12	Tucu mbuae que ua chee cote ra. Mbae rasi ñiinda chõ ũquɨ̃ nde. Mbae rasi nyeremo tasenei jẽje cote.
REV.9.13	Sexto ángel que trompeta mbucheẽ cote no nda. Aque mose que emo ñee altar jii Dios mbae ra. Oro ao ji rei altar. 
REV.9.14	Ñee ngue ángel je ra. Ae trompeta mbucheẽ namo nae, aque je. —Cuatro ángeles embuɨ rã mondo. Aecua jí chɨ Ama Eufrates nae, ũquɨ̃ embuɨ rã mondo, ɨ que ee ra. 
REV.9.15	Cuatro ángeles que embuɨ mondo cote ra. Aque mose sacuã ngue Dios ũquɨ̃ nderecoquiatu ra. Ũquɨ̃ ngue mbia ɨquia ɨquia tuchɨ tercera parte cuu ra. 
REV.9.16	Soldados tubɨrɨã tuchɨ que ũquɨ̃ ángeles nimba cuu ra. Doscientos millones tuchɨ que ra, ɨ que achandu ra. 
REV.9.17	Caballo átoo que soldados chɨ ja ra. Eɨshɨa riquisã ja ja que mbae ãtã ñɨ nda. Eɨshɨa aosa mbiitã jí que ra. Eɨreɨ̃. Erubi. Echo. Nyacua ãquĩ na ngue caballos seje cuu ra. Tata que emombo mombo ja quia uchuru rɨ̃ nda. Tatashĩ abe. Azufre abe no. 
REV.9.18	Ũquɨ̃ tres que mbae rasi tuchɨ ra. Tata. Tatashĩ. Azufre. Ae caballos mombo mombo quia uchuru rɨ̃ nae, ũquɨ̃. Ũquɨ̃ ngue mbia ɨquia ɨquia tuchɨ quia tercera parte ra. 
REV.9.19	Ngocoɨ je que eriqui mbia mbasi mbasi tuchɨ ra. Mbeɨ tasi je rã tuchɨ que erocoɨ ra. Uchuru je abe que eriqui mbia mbasi mbasi tuchɨ ra.
REV.9.20+REV.9.21	Nyebe mbia riqui nguiã mano mano tuchɨ ũquɨ̃ ndasi je. Mbia ataque quiatu que siqui beɨte quia huɨɨcuã ndese ra. Eɨcuã ɨcuã mbeɨ nyue. Nyɨɨquia ɨquia. Brujería raã naa mbeɨ. Siqui ɨcuã ɨcuã cuña mo ndese. Mbae mbuquiachã quiachã mbeɨ. Uchɨsaã ɨcuã sɨ huɨ eã mbeɨ. Siqui beɨte que equia aba checuayã ndese ra. Uchɨao Dios abareã ndese abe no. Oro ao ji. Plata ao ji. Bronce ao ji. Sɨta ao ji. Ira ao ji abe no. Ũquɨ̃ ja rese chõ ngue eriqui ra. Ũquɨ̃ mae aroneate raque Dios abareã. Mbae andu aroneate raque. Ngata aroneate raque no.
REV.10.1	Angel mo ngue nguichi ibei sɨ seje cuu ra. Equirãcuãte que ra. Ibeishĩ ngue equeru huɨɨraorã nda. Ibei asa que chɨ̃ eãquĩ mama nda. Eruba nininyate que tenda rã sɨ́ ra. Etima abe nininyate que ra. Sã tata nininyate riqui no. 
REV.10.2	Libro ñetẽ mo ngue equereco oo ra. Eequia ji que equereco ra. Utima ndɨbɨsho que emɨɨ ama ndɨsha ye ra. Utima ndɨbɨsho que emɨɨ íbii no nda. 
REV.10.3	Tasẽ tuchɨ que ra. Sã nyacua riqui curu curu no. Erasẽ mose que ama ñee siete veces ra. 
REV.10.4	—Ae rese ama ndieu sembiirandu nae, aque tambesa rã, ae rei que se cote ra. Ibatenda mo ngue ñee ño seje ra. —Ae ama ñee erechandu nae, ũquɨ̃ nda erembesachɨ̃. Eresenei seneichɨ̃ nda emo je. Echeẽ emocoño ño, ɨ que seje ra. 
REV.10.5	Ae ángel tima ndɨbɨsho chɨ̃ ama ndɨsha ye nae, aque que oo uquiatocutinda mee ibate quiti ra. 
REV.10.6	Ñee ngue cote ra: —Dios que sembu ra. Ae siqu i beɨte quia co nae. Ae ibei chao nae. Ae ibi chao nae. Ae ama ndɨsha chao nae. Ae mbae chao ja tuchɨte nae. Aque que sembu co renei nenei sacuã nda. Achɨte mbae ja ñɨ ua a cote. 
REV.10.7	Séptimo ángel nda nyuɨhuɨ́ cote. Trompeta mbucheẽ. Dios cheẽ ɨque ja mose r a nyuihuí cote. Ae Dios ñee uquiato ñiinda je nae, ũquɨ̃ nda ɨque ja echeẽ cote. Mbia rerecuarã tuchɨ ra Jesús cote, ɨ que ángel quirãcuã ñee seje cuu ra.
REV.10.8	Ae cheẽ achandu ibatenda nyii nae, aque que ñeembe seje ra. —Eso rã libro ñetẽ isi. Ae tima chɨ̃ ama ndɨsha ye nae, ae tima ndɨbɨsho chɨ̃ íbii nae, aque sɨ libro ñetẽ eisi rã. Eequia ji eisi, ɨ que seje ra. 
REV.10.9	Ae aso nguiã ñee ángel je. —Libro ñetẽ emee na seje, ae que ee ra. Ae emee nguiã ñee seje cote. —Co libro ñetẽ jẽ. Eu ja. Irao raãte raque ra eachã namo mose. Eteɨ tuchɨte quiatu ra nderíe je cote, ɨ que seje ra. 
REV.10.10	Angel que libro ñetẽ mee seje cote ra. Au que se ra. Eturã tuchɨ que sechuru je ra. Irao rã. Se eu tuchɨ mose quiatu que eteɨte seríe je cote ra. 
REV.10.11	Emo ngue ñee seje cote ra. —Dios cheẽ nda eresenei senei sɨ́ mbia ja je. “Co ra Dios saã. Ã nda Dios saã no”, ere ra mbia je. Ishonda abe je. Mangue chooñoa jenda abe je. Mbia cheẽ ñumumbara abe je. Mbia rerecua jate abe je, ɨ que seje cuu ra.
REV.11.1	Dios que uu mo mondo séoo cuu ra. Ñee ngue seje ra. —Eso Dios chuchua mbuchecha checha. Altar abe embuchecha. Ae mbia chɨ huee ñee ñee Dios je nae, ũquɨ̃ abe je contar ere rã. 
REV.11.2	Itaicuee ra erembuchechachɨ̃ jẽ. Patio ra erembuchechachɨ̃ jẽ. Ũquɨ̃ ngue amee mbia sequiatoã je ra. Sequiatoã nda irõ irõ Jerusalén ndese cuarenta y dos meses chee. 
REV.11.3	Sequiato nyeremo je ra sequirãcuã amee. Ũquɨ̃ nda secheẽ senei senei tuchɨ quia mbia je 1,260 días chee. Tiru rondeɨ ra ũquɨ̃ quereco quia, ɨ que seje ra.
REV.11.4	Dios quiato nyeremo ndei olivos i nyeremo na sɨ́. Candeleros nyeremo na sɨ́ no. Sã Dios mbae reaquiatu ja no. Uquiato nyeremo abe ra eteaquiatu no. 
REV.11.5	Dios ra uquirãcuã mee ũquɨ̃ nyeremo je. Emo embasi serɨ̃ mose, tata ra embu embu uchuru sɨ. Ucuãyãsa mbasi tuchɨ sacuã. Eɨ̃ nda mbia mano mano, ũquɨ̃ Dios quiato nyeremo ucuãyã mose. 
REV.11.6	Ũquɨ̃ Dios quiato nyeremo ama mbuchaaqui eã arõte, Dios cheẽ nenei nenei mbeɨ mose mbia je. Mbae ruqui rã nda ama naa. Mbia ra embasi mbasi arõte uquirãcuã je. Ibi jend a mbasise mose, mbasi tuchɨ rae. 
REV.11.7	Ũquɨ̃ Dios quiato nyeremo Dios cheẽ nenei nenei ja mose mbia ja je, icuã nda tu ɨcuãte ee cote. Ibicua yenda. Icuã nda Dios quiato nyeremo ɨquia cote. 
REV.11.8+REV.11.9	Emo ũquɨ̃ Dios quiato raaque nyati aroneate. Erete tiquia iríã nda chɨchõ itaicuee rɨ̃. Mbia mangue chooñoa jenda abe tuchɨ r a mae ja eraaque rese. Tres días y medio chee rae. Jerusalén ndei ra ũquɨ̃. Ae mbia Jesucristo mbucha ira rese nae, huee. Hue jenda quiarei eɨcuã tuchɨ mbia. Sodoma jenda rã. Egipto jenda rã abe no. 
REV.11.10	Ae mbia siqui quia ibi rɨ̃ nae, ũquɨ̃ ia tuchɨ rae. Dios quiato nyeremo mano mose. —Ae nandechɨao ɨcuã siquisã quisã nguia nae, ũquɨ̃ ngue mano cote ra, ɨ r a eyate ñee nyue. Nyebe ra eriqui mbae mondo mondo tuchɨ nyue. 
REV.11.11	Dios quiato nyeremo ndaaque que chɨ tres días y medio cuu ra. Aquere que Dios embuquera sɨ́ seque re cuu ra. Júã ngue cuu ra. Mbia que siquiche ja tuchɨ mae erese ra. 
REV.11.12	Ibatenda que ñee nyecua ũquɨ̃ Dios quiato nyeremo je cote ra. —Jenyu aa quiatu ibate, ɨ que Dios ñee ee ra. Nyoɨ que ibate ibei ye cuu ra. Eucuãyãsa que mae mbeɨte u echuɨ rese ra. 
REV.11.13	Aque mose tuchɨ que ibi nyere ɨcuã nda. Sucha tubɨrɨã ndɨbɨsho que ngoɨ ngoɨ jate ra. Mbia tubɨrɨãte que mano nda. Siete mil que mbia mano nda. Mbia ataque que siquichete ra. Ñee turã turãte que equia Dios ibatenda je cote ra. 
REV.11.14	Segundo mbae rasi chõ ã nde. Tercero quia tasenei jẽje cote.
REV.11.15	Séptimo ángel que trompeta mbucheẽ cote no nda. Ũquɨ̃ mose que mbia ñeemombo ja ja ibatenda ra. Eɨ̃ ngue tasẽ tasẽ nda:
REV.11.15	Mbia mo ibi jenda mo nda siquíã ererecuarã cote.
REV.11.15	Dios ae chõ nda siqui ererecuarã cote. Nguiirĩ ndese.
REV.11.15	Ae ae chõ nda siqui ererecuarã mbeɨ cote,
REV.11.15	ɨ que ibatenda tasẽ tasẽ cuu ra.
REV.11.16	Ae ameɨ veinticuatro siqui beɨte quia Dios jii nae, ũquɨ̃ ngue ngoi ngũíã ndese ñee Dios je cuu ra. Eɨ̃ ño ngue ñee nguiã:
REV.11.17	Gracias ure tuchɨ quia ndeje co, Dios.
REV.11.17	Ndequirãcuã mbae saã ja arõte quia co.
REV.11.17	Ereɨco beɨte que equia nyii ra. Namo abe no. Ereɨco beɨte ra eno.
REV.11.17	Ereɨco ndequirãcuã naanguquiate mbia je co cote.
REV.11.17	Ereɨco mbia rerecuarã tuchɨ co cote.
REV.11.18	Mbia rerecua que paama ɨte ndeje ra.
REV.11.18	Co mose ra ndequiatoã erembasi cote.
REV.11.18	Ndequiatoã mano je abe ra erembasi cote.
REV.11.18	Ndequiato abe ra erembuquera cote.
REV.11.18	Mbae turã mee mee sacuã ee.
REV.11.18	Ae ndecheẽ senei senei mbeɨte quia mbia je nae.
REV.11.18	Ae ñee turã turã nguia ndeje nae.
REV.11.18	Ndequiato cuasu je. Ndequiato ñetẽ je abe no.
REV.11.18	Ndequiato ja je ra mbae turã eremee mee cote.
REV.11.18	Ae mbia mbɨɨcuã ɨcuã nguia nae, ũquɨ̃ nda erembutiã co mose cote,
REV.11.18	ɨ que veinticuatro ameɨ ñee turã Dios je cuu ra. 
REV.11.19	Dios chuchua ibatenda ɨquesa que quiata seje cuu ra. Caja Dios chuchua jenda que nyecua seje cuu ra. Aque rei contrato riru Dios mbae aque. Aquere que ama pirirã pirirã ɨ ra. Ama ngue sieute ra. Ama ngue ñeete ra. Ibi que nyere ra. Iquitã abe que ngoɨ ngoɨ chee ra.
REV.12.1	Mbia mae sayã mo ndese que amae ibate cuu ra. Cuña nguasu tuchɨ mo ngue ra. Tenda que eɨrao ra. Nyasi que chɨ̃ ei quiti ra. Corona ngue equereco uãquĩ ndese ra. Nyasitata doce que chɨ̃ corona ndese ra. 
REV.12.2	Nañimbae que cuña nda. Tasẽ tasẽ tuchɨ que equia nguiirĩ ndasi je ra. 
REV.12.3	Aquere que amae mbia mae sayã mo ndese ibate no nda. Dragón ɨreɨ̃ mo ndese que amae nda. Siete que aque dragón ãquĩ cuu ra. Diez que erambashĩ nda. Corona ngue chɨ̃ eãquĩ ja rese ra. 
REV.12.4	Dragón ngue nyasitata tubɨrɨã siichã tuchɨ ɨmbu íbii ngocoɨ je ra. Cuña ji que eñɨ eraarõ cote ra. —Sã nyaacuquia. Eriirĩ tau, ɨ que huɨ̃ ejii ra. 
REV.12.5	Nyaacuquia que cote ra. Erãcoẽ ngue ra. Mbia ja rerecuarã tuchɨ ra aque. Emo ngue eriirĩ isi ra. Querao que Dios je ibátee ra. 
REV.12.6	Cuña ngue uchã oso turuquia ñɨ nda. Dios echuchua saã ño nguia huee reaẽ. Huee que eriqui 1,260 días ra. Huee que emo ndiqui embuquiaru quiaru ra.
REV.12.7	Amae ngue guerra rese ibate cuu ra. Dragón ɨcuã ɨcuãte que ángeles je ra. Miguel nimba ángeles abe que ucua ucu a dragón nimba ángeles rese no nda. Nyɨɨquia serɨ̃ jate que cuu ra. 
REV.12.8	Dragón ngue ganar ɨ aroneate umbae ángeles rese ra. Nyebe eriqui aroneate nguiã ibate cote. 
REV.12.9	Dios que dragón mombo beɨ ibate sɨ cote ra. Mbeɨ ɨma ndei dragón. Diablo. Satanás, ɨ abe que ee ra. Ae chõ mbia mangue chooñoa jenda mbɨɨrɨ̃ ɨrɨ̃ mbeɨte nguiã co. Dios que ae mombo íbii cuu ra. Ngũimba rese. 
REV.12.10	Ibatenda ia tuchɨ que Dios emombo mose ra. Ibatenda mo ñee ngue achandu cuu ra: —Coche ñene. Dios riqui mbia rirõ mbeɨ huɨɨcuã sɨ co cote. Namo tuchɨ mbia riqui mae Dios quirãcuã ndese co. Cristo riqui mbia rerecua tuchɨ co cote. Dios quiatu que diablo mombo nguiã. Ae Dios mbuqueta queta beɨte quia equiato rɨɨ̃ nyii. 
REV.12.11	Ũquɨ̃ Dios quiato que diablo siquisãte quia Jesús ruqui je ra. Jesús cheẽ je abe no. Ae ũquɨ̃ senei mbeɨte quia mbia je Jesús cheẽ nae, ũquɨ̃ je chõ eriqui nguiã eriquisã quisã. Ũquɨ̃ Dios quiato que siquicheãte quia umano sɨ ra. “Tamano ndei Dios je”, ɨ jate que equia ra. 
REV.12.12	Mbia ibatenda ia tuchɨte cote. Mbia ibi jenda quiatuchɨ̃ eya eãte. Mbia ama ndɨsha yenda abe no. Diablo quiatu que nguichichɨ̃ u nguiã jẽje, ibi jenda. Paama ɨ tuchɨte equia co. Achɨte quiatu Dios ñɨ nguiã embasi a cote, ɨ que ibatenda mo ñee cuu ra.
REV.12.13	Dios dragón mombo mose íbii, dragón ɨcuã ɨcuã ngue cuña je cote ra. Ae eriirĩ nacuẽ nyaacuquia nae, aque cuña je que dragón ɨcuã ɨcuã cote ra. 
REV.12.14	Emo ngue mbae jeo nyeremo mondo cuña je ejeorã nda. Nguira rɨsha jeo raanguia. Cuña mbebe sacuã. Eso chee sacuã turuquia rɨ̃. Ae Dios saã echuchuarã turúquiaa nyii nae, huee eso chee sacuã diablo sɨ. Mbeɨ sɨ. Emo embuquiaru sacuã tres años y medio huee. 
REV.12.15	Mbeɨ que i mombo tuchɨ uchuru rɨ̃ nda. Iãcuana. Cuña ɨquia sacuã ndaque chõ ũquɨ̃ ɨãcuã nde. 
REV.12.16	Ibi ia eãte que cuña ndese ra. Nyebe ibi nyɨequia nguiã i mocõ ja dragón nyuru jenda. 
REV.12.17+REV.12.18	Nyebe dragón paama ɨ tuchɨ nguiã cuña je. Eɨcuã ɨcuã mbeɨte que eriqui cuña ndiirĩ ataque ja je cote ra. Ae Dios cheẽ mumba eãte quia nae, ũquɨ̃ je chõ eriqui nguiã cuña ndiirĩ ɨ. Ae siqui beɨte quia Jesús cheẽ nduɨ nae, ũquɨ̃ je dragón ɨcuã ɨcuã mbeɨte riqui co.
REV.13.1	Ama ndɨsha rimia ndese que aɨ̃ juã cuu ra. Mbae mo ndese abe que amae huee ra. Icuã mo ngue usẽ u quia ama ndɨsha sɨ seje cuu ra. Siete que eãquĩ nda. Diez que erambashɨ̃ nda. Corona ngue chɨ̃ erambashɨ̃ ndese ja ra. Eãquĩ ndese que nombre mo mbesa ji ñɨ nda. Aque nombre ɨcuãte que Dios je ra. 
REV.13.2	Nyacua rɨsha rã ngue icuã nda. Oso i rã tuchɨ que ei ra. Echuru que nyacua churu rã nda. Dragón ngue uquirãcuã mee tuchɨ icuã je ra. —Ererecuarã nde, ɨ tuchɨ que dragón icuã je ra. 
REV.13.3	Icuã ãquĩ mo sia ji tuchɨ rei ngue re. Manombi chõ ndei ngue re. Nyerõ ñochɨ̃ ngue re. Nyebe mbia mangu e chooñoa jenda nyuruɨra jate nguiã mae erese cote. Mbia que siqui jate eruɨ cote ra. 
REV.13.4	Mbia que ñee turã turãte quia dragón je ra. Uquirãcuã mee mose icuã je. Icuã je abe que eriqui ñee turã turãte ra: —Co icuã turã na eãte mbia mo. Ae mɨɨ ño equirãcuã ndiqui nguiã mbia sɨ co, ɨ jate que mbia quia ee ra.
REV.13.5	Icuã ngue ucuasu saã saã tuchɨ quia Dios je ra. —Dios tuchɨ chõ se re, ɨ tuchɨ que equia mbia je ra. Dragón ngue emɨɨ mbia rerecuarã cuarenta y dos meses ra. 
REV.13.6	Aque mose beɨ que eriqui ñee ɨcuã ɨcuã Dios rɨɨ̃ nda. Echuchua rɨɨ̃ abe no. Dios rimba ibatenda rɨɨ̃ abe no. 
REV.13.7	Dragón ngue uquirãcuã mee tuchɨ icuã je ra. Icuã ɨcuã ɨcuãte que eriqui Dios quiato je cote ra. Dios quiato ɨquia ɨquia cheete que equia ra. Icuã ngue mbia mangue chooñoa jenda rerecua tuchɨ cote ra. Mbia cheemo abe rerecua tuchɨ que cote ra. 
REV.13.8	Mbia Dios quiatoã ja tuchɨ que siqui icuã ndese ra. Ae embae nombre mbesa iriãte riqui Jesús mbae libro rese nae, ũquɨ̃ ngue siqui jate icuã ndese ra. Dios quiato mbae nombre que Jesús mbesa mbae ao ja nond e coose ra. Jesús mano nonde erɨɨ̃. 
REV.13.9	Jẽisa mose, secheẽ jeñandu rã. 
REV.13.10	Dios mbae ɨcua ja chõ nguiã, mbae tã ɨ nonde equiato je. —Co sequiato ra mbia ɨquia tiquise je, ɨ mose Dios, mbia ra eɨquia tiquise je. —Co sequiato ra mbia tarõ, ɨ mose Dios, mbia ra etarõ no. Sã Jesucristo rimba ñɨmbirãcuã ño. Sã Jesucristo ɨcua tuchɨ. Icuã ɨcuã ɨcuã mose ee. 
REV.13.11	Aquere que amae icuã mo ndese no nda. Ibi sɨ qu e co icuã ndu ra. Erambashɨ̃ nyeremo ngue ra. Cordero nambashɨ̃ na sɨ que ra. Dragón ñee na sɨ que echeẽ no nda. 
REV.13.12	Equirãcuã tuchɨ que ra. Icuã ñiinda rã sɨ́. —Icuã ñiinda rimbarã ño jẽɨngo, ɨ tuchɨ que equia mbia mingo ja icuã ñiinda rese ra. Ae ãquĩ sia ji nyerõ nguia nae, aque. 
REV.13.13	Mbia mae sayã ngue esaã saã tuchɨ quia ra. Tata que embucoɨ ibei sɨ mbia resa rae ra. 
REV.13.14	Mbia mae sayã ngue esaã saã tuchɨ icuã ñiinda rese eɨco mose ra. Eɨ̃ ngue equia mbia mbɨɨrɨ̃ ɨrɨ̃ tuchɨ ra. —Icuã ñiinda raanguia mo mbae mo jenyao jẽ, ɨ que ñee mbia je ra. Mbia que echao ra. Ae ãquĩ sia ji tiquise je nae, ae nyerõ nguia nae, aque raanguia que mbia chao ra. 
REV.13.15	Icuã ngue ereco mee mbae ao ji je ra. Mbucuata que ra. Mbucheẽ ngue ra. Mbia rã ngue eriqui cote ra. Ae ngoi sereãte quia ngũíã ndese mbae ao ji résaa nae, mbae ao ji que ũquɨ̃ ɨquia cote ra. 
REV.13.16	Icuã ngue umbae marca mɨɨ jate mbia rese ra. Mbia ruba rese. Mbia o rese equiatocutinda. Mbia riirĩ ndese. Mbia cuasu rese. Mbaecha rese. Mbaecha reã abe rese. Mbia rimba rese. Mbia rimba eã ndese abe no. Icuã ngue marcar ɨ ja mbia ja je cuu ra. 
REV.13.17	Mbia mo marcar ɨriã mose, ũquɨ̃ mbae mo isi aroneate. Mbae mo je vender ɨ aroneate no. Icuã mbae marca nderequia eã mose. Icuã mbae número abe rerequia eã mose no. 
REV.13.18	Ae ndua tuchɨ eãte quia nae, ũquɨ̃ nda ã ɨcua eã. Ae mbae ɨcuate quia nae, sã ũquɨ̃ icuã mbae número ɨcua. Mbia mo nɨɨ ño ñene. Embae número rei 666.
REV.14.1	Mbae mo ndese abe que amae cuu ra. Jesucristo que chɨ̃ juã Ibi Ibate Sión seje cuu ra. Ae je eriqui Cordero ɨ. Mbia cuabẽ tuchɨ que chɨ erese ra, 144-000 que mbia chɨ erese ra. Ũquɨ̃ nduba rese ja ja que Jesucristo mbae nombre mbesa ji ñɨ nda. Dios mbae nombre mbesa ji abe no. 
REV.14.2	Mbae rieu que achandu beɨ quia ibatenda ra. Tororomba ata ata rieu raãte que ra. Ama ndieu abe raãte que ra. Sã mbia tubɨrɨãte riqui arpas mbucheẽ ñee no jẽ, ũquɨ̃ naate que erieu riqui ra. 
REV.14.3	Ũquɨ̃ mbia cuabẽte que ɨraseɨ raseɨ quia Dios résaa ra. Mbae reco cuatro résaa abe no. Ameɨ veiticuatro résaa abe que eriqui ɨraseɨ raseɨ no nda. Eɨraseɨ raseɨ yasu que ra. Mbia mo ngue ñɨmbaaquiatu aroneate quia eɨraseɨ raseɨ yasu je ra. Mbia 144,000 achõ ño ngue ñɨmbaaquiatu aque ɨraseɨ raseɨ yasu je ra. Dios ũquɨ̃ sirõ nguiatu quia mbae ɨcuã sɨ reaẽ. 
REV.14.4	Ũquɨ̃ ngue ñɨmbɨɨcuã eãte quia mbae ɨcuã je ra. Ñɨmbɨɨcuã eã siqui cuña mo ndese no. Siqui turã mbeɨ equia Jesucristo rese ũquɨ̃. Dios que esirõ mbeɨ mbia ibi jenda sɨ ra. Ofrenda turã na tuchɨ chõ ũquɨ̃ Dios je re. Jesucristo abe je. 
REV.14.5	Ũquɨ̃ nguiarei ñee ñooño eã tuchɨ ũquɨ̃. Ũquɨ̃ turã tuchɨte eriqui Dios je ã.
