GEN.1.1	Tɔɔzeizu mɔunpa GALA ge geeɠɔlɔgi ta zooi ɓɛtɛni. 
PRO.31.7	É kpɔle, é yeema ná-baladai ma,
PRO.31.7	é mina ɠitoo ná-maanɔɠɔi zu.
PRO.31.8	Laalao è ɓɔɛ, è naati maalobo, niiti ti la zooga ti ʋa ɓɔɛ,
PRO.31.8	è naati kpein maalogi wo, niiti kɛlɛbai wogai ga tiye.
PRO.31.9	Laalao è ɓɔɛ, è tukpɔi ɠaaleʋe ga telebodai,
PRO.31.9	è maanɔɠɔi nui maalobo ta bala nui.
PRO.31.10	Undaanɛɛ nu ɠa ga naa, nii a anzanu zɔɓelamai zɔlɔɔ,
PRO.31.10	tosuʋɛ wɔɔlɔʋɛ kɔbu ani ʋagɔiti sɔngɔi ʋa.
PRO.31.11	Sinigi laaʋɛ da,
PRO.31.11	ani ʋagɔ nɔpɛ ge la ʋalaga ná-pɛlɛi wu.
PRO.31.12	É la ɗa ga kazemazu vaa nɔpɛ kɛ ga sinigi,
PRO.31.12	kɛni faa ʋagɔi nɔ, sii ma voloiti pɛ su.
PRO.31.13	Toɠa ɗa baala deɠai ɠaiziɛ ta gezei,
PRO.31.13	é ɗa boti ɠɛ ga zeeiti ga koozunɛɛi.
PRO.31.14	Eɠɛ yaaɠo ɓatoi,
PRO.31.14	toɠa ɗa zeɠe ga ɠɔnɔgi ɠoozama.
PRO.31.15	Toɠa ɗa wuzeɠe ga kpidiɓidigi,
PRO.31.15	é daamianigi ve ná-pɛlɛyeɠei ya,
PRO.31.15	é ná-deveiti fe ná-botiɠɛ anzanuiti zea.
PRO.31.16	É ɠisiɛ kpalagi ta zu, é geya,
PRO.31.16	é leezɛn ɓelei leʋe ba, ga ná-botii zulɔnɔgi.
PRO.31.17	Toɠa ɗa botii ɠɛ ga suvikɛi pɛ,
PRO.31.17	zea la ʋalaga ɠɔ.
PRO.31.18	Toɠa pɛtɛsu ga zeavaiti su ɠa ɓɛtɛzu,
PRO.31.18	toɠa ɗa ɠaazuɓa, é ɗa botii ɠɛ kpidii, abu zezei ɠa.
PRO.31.19	Toɠa ɗa kenagi zo ga yeei, é ɗa gezei ɓali,
PRO.31.19	é kena kpakui zo ga yeeɓeɠaiti.
PRO.31.20	Zeei maalegɛ maanɔɠɔ nuiti ta-ɓɔba vai ma,
PRO.31.20	toɠa ga faanɛɛ ɠɛ nu bala nuiti bɛ.
PRO.31.21	É la lua kɔɔlɛ ʋa, é ʋilɛ ná-pɛlɛi ʋa,
PRO.31.21	tɔɔzei seɠe ʋagɔiti ta ti pɛ zea.
PRO.31.22	Toɠa ɗa dasuzeɠeiti kpɛtɛ tɔ ɓɔɠɔi,
PRO.31.22	geze ɓɔi seɠeiti ta
PRO.31.23	Sinigi ɠa ga seizumaanɛɛgi ɛsɛ pɛ ge kwɛɛ, ti ɗa unfe ma,
PRO.31.23	tiya ɠa ta ɗa zei taa vaawo bosuʋɛti.
PRO.31.24	Toɠa ɗa seɠeiti fɛlɛ, é ɗa ti ʋɔdi,
PRO.31.24	é ɗa saamaɠiligiti fe yaaɠoiti zea.
PRO.31.25	Zɛbɛi ta unfemai, ta bɛ ga maaɠili zɔɔlai,
PRO.31.25	toɠa ɗa ɲɛɛ laa ɠakama, a ɠɛna ɠisiaa ʋelela ʋele vaiti su.
PRO.31.26	Toɠa ɗa ɓɔɛ ga ɠimalai,
PRO.31.26	soogɛ kalagi wosu ga wooɠɛɠiladai.
PRO.31.27	Toɠa ɗa wɛlɛ fai kpein ma, é ziɛzu ná-pɛlɛyeɠei wu,
PRO.31.27	é la looɠoga botii ʋa.
PRO.31.28	Ná-dointi ta ɗa wuzeɠe, ti ʋa ti ɗa maamusɛ.
PRO.31.28	Maamusɛ vai ɠa ɗa ɠɛ ga guyei sinigi la.
PRO.31.29	É ɠɛ ma: «Anzanui mɔinʋɛ, ti-losuʋɛti bɔɔlɔai,
PRO.31.29	kɛlɛ ɗɔun ɗa, è ɓudɛʋɛ ti pɛ maazu.»
PRO.31.30	Zaalai ɠa ga yaava ani, padai ɠa ɗa leʋe,
PRO.31.30	kɛlɛ anzanui é luazu Ɠɔoɠɔ GALAGI ʋa, naa ɠa maanɛai ga é maamusɛi zɔlɔɔ.
PRO.31.31	À kpɔlɔzuʋɛ ma lɔnɔgi ve zea!
PRO.31.31	Wo maamusɛ vaiti bo, taazuʋɛ ɲɛgɛlɛin é ʋilɛ kɛɛwotiiti pɛ ba!
MIC.1.1	Wooiti ka ga niiti Ɠɔoɠɔ GALAGI ti laazeelini Mɔleesɛte nui Misee ma, Zuda masa saʋagɔiti ta-yeeɠɛɠalaiti, Yɔtame, ta Aɠaze ta Ezeekiase. Kulakɛlɛmai naati ti ʋilɛni taa wolaiti ba, ti ga, Samali ta Zeeluzalɛme.
MIC.1.2	Nuɓusɛiti pɛ à woilo!
MIC.1.2	Zooi ta wɔiti wo zooi ɠa, à ɠida bu!
MIC.1.2	Maliɠii Ɠɔoɠɔ GALAGI ɠa yɛsu seizu ɲadegai,
MIC.1.2	é zeele wooi wo wo laalɔɠɔma!
MIC.1.3	Wɛlɛ Maliɠii ɠana ɠula seizuʋɛ,
MIC.1.3	é yei, é ɗa ɠɔɠɔziɛ zalaɠa ɠula adaʋɛti su.
MIC.1.4	Gizeiti ti ɗa ɓusɛ kɔɠɔwu,
MIC.1.4	pɛtugiti sulaa ɗa lao,
MIC.1.4	eɠɛ kedoi ɠaa ɠa ɠɛ wuunsu abui ɠa,
MIC.1.4	eɠɛ ziɛ a ɠɛ gizei yeizu.
MIC.1.5	Naa pɛ ka ga Zakɔɓe mavofodaiti ta-lɔ koloɠologi,
MIC.1.5	Izelayɛle ʋɛlɛyeɠei ná-kotoi maaʋele ma.
MIC.1.5	Ɓɛ ɠa é Zakɔɓe liizu tɔ koloɠologi ma?
MIC.1.5	Ná-taa wolai Samali laade ɓaa?
MIC.1.5	Ɓɛ ɠa é Zuda liizu ani ɠɔɔ vaiti ma?
MIC.1.5	Zeeluzalɛme laade ɓaa?
MIC.1.6	Maliɠii ɠɛni ma: «Naa ma, nà Samali ɠɛɛzu ga kɔtu ziɠigi dɔɓɔi zu,
MIC.1.6	ti ɗa leezɛn ɓelei la ma,
MIC.1.6	nà ná-kɔtuiti kilikili, ti la nɛmɛi zu,
MIC.1.6	gè kpale ná, ma wuulaagiti ti maaɠala.
MIC.1.7	Ná-kɔɔɠɔ gani kpɛtɛaiti su ɠa ɠaleɠale,
MIC.1.7	ná-tɔnɔ ɲɔiti pɛ ti ɠala.
MIC.1.7	Ná-vololiba zaɠaaiti, gè naati suɓulukpulu,
MIC.1.7	tɔɔzei naati ti ɓɛtɛni ga ná-koloɠologi ma ɠulanumai,
MIC.1.7	ta ʋaazu ɠɛɛzu ga koloɠologi taɠiligaa ma ɠulanumai.»
MIC.1.8	Naa ɠa é kɛɛzu gè ɠaalɛizu, gè ɗa wɔlɔ,
MIC.1.8	gè ɗa ziɛ ga ɠɔɠɔa ɲakai, kɔ̀ba ɲakai,
MIC.1.8	gè ɗa kpeei loo eɠɛ koʋei,
MIC.1.8	gè ɗa kpalagi wo eɠɛ saa wɔnigi.
MIC.1.9	Mazɔlɔɔ maanɔɠɔi seeliai Samali ma, é la ɠulaa su pɛ.
MIC.1.9	É zeelia Zuda yooi ma ta Zeeluzalɛme taa ziɠidaʋɛ,
MIC.1.9	ʋɛ nà-nuɓusɛiti ti zeini ná.
MIC.1.10	À mina daazeeli Gate taazuʋɛ, à mina wɔlɔ!
MIC.1.10	Ɓɛte-Leafela nuiti à ɠilikili fufiligi zu!
MIC.1.11	Safiil nuiti, à leʋe ga ɠɔba ɲakai ta wa-unfegi!
MIC.1.11	Saanan nuiti ti la zoosu ti ʋa ɠula taa ʋa.
MIC.1.11	Gɔlɔi ɠa wosu Ɓɛte-Ɠayɛsɛle taazuʋɛ,
MIC.1.11	kpɔba zobo ge la mɔ ná.
MIC.1.12	Malɔte taaʋeaiti sasu ɠa ɓalizu ta-ɠulanumaiti ma vaa zu.
MIC.1.12	Mazɔlɔɔ nimiza vai Ɠɔoɠɔ GALAGI teʋegai
MIC.1.12	é zeelia Zeeluzalɛme taa ziɠidaʋɛ ma.
MIC.1.13	Lakise laaʋeaiti, à wa-ɠɔɔɠɔ wotoloiti ta sooiti kɛʋele ɓɛtɛ.
MIC.1.13	Wo ʋokɔɠɔni Izelayɛle ná-wooʋaladai ma,
MIC.1.13	wo Zeeluzalɛme lɔ tɔ koloɠologiti su.
MIC.1.14	Naa ma, Zuda nuɓusɛiti à bali ma wa Mɔleesɛte-Gate nuiti.
MIC.1.14	Akeziɓe taa wolai la ɠɛa ga
MIC.1.14	kula faa zu ani Izelayɛle nuɓusɛiti ta-masagiti bɛ.
MIC.1.15	Maliɠii ɠa wo lɔɔzu nu niinɛ yeezu Maleesa nuiti.
MIC.1.15	Izelayɛle ɠundiɠiiti ti-lɔɠɔ ɠulaai,
MIC.1.15	ta ʋelazuʋɛ ɠaiziɛ Adulame ʋugi zu.
MIC.1.16	À wɔungiti bo, wo ti ɓuye ma, Zeeluzalɛme taaʋeaiti,
MIC.1.16	kpaanagi ɠɛ wo unma, eɠɛ ɗuai nɔungi,
MIC.1.16	à wo yiima lointi ta-wɔlɔi wo,
MIC.1.16	mazɔlɔɔ ta liizu ga tiye duɔlai zu, ti maaɠooza wo ʋa.
MIC.2.1	Maanɔɠɔ ɠa naati tuɠɔ, niiti ti telebotala vai ɠɛʋele ɓɛtɛzu,
MIC.2.1	ti ɗa ɠisiɛ faa ɲɔi zu, ta ɠɛna laani kpidii!
MIC.2.1	Geelaa a laona, ti ʋilɛ kɛɛ vai ʋolu,
MIC.2.1	siɛgi zu ma zobogi ti ʋɛ la.
MIC.2.2	Ti ɗa ɠaazuɠula kpalagiti ba, ti ɗa ti zeɠe,
MIC.2.2	ta pɛlɛiti, ti ɗa ti zeɠe.
MIC.2.2	Ti ɗa loo nuiti ma, ti ɗa ta-ʋɛlɛ wu zɔɔlaiti seɠe,
MIC.2.2	ti ɗa ta-yooiti kula ti ya.
MIC.2.3	Naa ɠa é ba, Ɠɔoɠɔ GALAGI wooi ɠaa:
MIC.2.3	«Nà maanɔɠɔi ɠɛʋele ɓɛtɛzu niima nu ziiti daalɔɠɔma,
MIC.2.3	wo la zooga wo ʋa ɠɔgi ɠula bu,
MIC.2.3	wa ɠɛna ziaa, kɛni wo wɔungi ʋilɛ,
MIC.2.3	mazɔlɔɔ yeeɠɛɠalai é ʋaazu toɠa ga nimiza ziɛgi.»
MIC.2.4	Naama volo ná, ta wo laalɔ guyei zu,
MIC.2.4	ti ɗa maawɔin wuyei loo wo ma ga:
MIC.2.4	«Giya ɠa gi ɠoloɠologai mɛtu!
MIC.2.4	Gá-nuɓusɛiti ti ʋalaga ta-yooiti ma!
MIC.2.4	Zɔiti ta gi ɓɛɛzu gá-ɓalagaʋɛti,
MIC.2.4	ti ɗa ti ɠaaɠwɛ ɓɔɠɔ ʋa!
MIC.2.4	Leeni vaa zu ti loozu gi ma?»
MIC.2.5	Tama, wo tanɔpɛ ge la mɔ nɔnɔ zɔlɔɔga zooi zu,
MIC.2.5	nii Ɠɔoɠɔ GALAGI ná-nuɓusɛiti ti gaaɠwɛɛzu.
MIC.2.6	Ta zɛɛ ɓɔɛi wosu, ti ɗa ɠɛ ma:
MIC.2.6	«À mina zɛɛ ɓɔɛi wo fuun.
MIC.2.6	Nu mina zɛɛ ɓɔɛi wo ga naama zii, ga:
MIC.2.6	Ɓaaɠulama vai la zeɠea ma!
MIC.2.7	Anɛɛ naa ʋe, leeni ɠa é wosu Zakɔɓe ná-nuɓusɛiti saama?
MIC.2.7	Ɠɔoɠɔ GALAGI yiiɠaawana fala ɓaa?
MIC.2.7	Ná-faa ɠɛʋele ɠa nɛi ɓaa?»
MIC.2.7	GALA ge ɠɛ ma: «Dàawooiti ti la zolooni ga pagɔ,
MIC.2.7	naama nui ʋɛ, nii é telebodai ɠɛɛzu ɓaa?
MIC.2.8	Kɛlɛ wogi mɔnɔ, wo nà-nuɓusɛiti kɛɛni ga wo zili nuiti.
MIC.2.8	Wa seɠe wolai ɠulazu seɠewuzeɠeiti maazu,
MIC.2.8	naati kɔba ti leʋesu wo ɠoba ziilɛigi zu, ti ɗa zeɠe kɔɔmaʋɛ.
MIC.2.9	Wa nà-nuɓusɛiti ti-anzaiti kpɛɛzu ti zaama,
MIC.2.9	wo ti ɠula ti yiima ʋɛlɛiti bu,
MIC.2.9	lɛbiya ʋoganii gè feai ti ya,
MIC.2.9	wa naa ɠulazu ti ya, ti la sɔlɔɔga pɛ.
MIC.2.10	À wuzeɠe! À liina!
MIC.2.10	Mazɔlɔɔ niima yooi la ga dooɠo bosu,
MIC.2.10	tɔɔzei ná-kɔzɔi maaʋele ma, toɠa ʋaazu ɠoloɠolosu ga gola.
MIC.2.11	Nui ta a ʋaana, é ɗa kpizɛ ɲakai wo,
MIC.2.11	é ɗa zɛɛ ɓɔɛiti bo, ga:
MIC.2.11	‹Nà bosu wo ma,
MIC.2.11	wa ʋaazu dɔɔi zɔlɔɔsu ta gaazulati ganiiti.›
MIC.2.11	Zɛɛ ɓɔɛ wo nui naa ɠa soloogai niima nuɓusɛiti ma!»
MIC.2.12	«Nà ʋaazu wo pɛ wo ɠaalɛɛzu ba, Zakɔɓe mavofodaiti,
MIC.2.12	nà ʋaazu wo ɠaalɛɛzu ba, Izelayɛle nu vului mɔtaiti,
MIC.2.12	nà wo ɠaalɛ ba, eɠɛ baalagiti ti sasa ɠilagi zu,
MIC.2.12	eɠɛ baala kpulugiti ti laamiizu ada ɠila.
MIC.2.12	Nu ɠa ɠɛ bɛbɛ wolai zɔngɔ wooi mɛnisu.»
MIC.2.13	Zɔi é pelei ɠulazu, naa ɠa lo ti luɠɔ.
MIC.2.13	Ta pelei ɠula, ti ɠaaɓa,
MIC.2.13	ti leʋe siɠidaʋɛ, ti ɠula ga naa ʋelei.
MIC.2.13	Ta-masagi ɠa lo ti luɠɔ,
MIC.2.13	Ɠɔoɠɔ GALAGI ɠa a ɠɛ ti untuɠɔ.
MIC.3.1	Gè ɠɛ ma:
MIC.3.1	«À woilo, Zakɔɓe mavofodai ma ɠundiɠiiti,
MIC.3.1	wɔi wo zeini Izelayɛle nuɓusɛiti unda!
MIC.3.1	Wo-losuʋɛ la ga wo ʋa ziɛ ga sɔledai ɓaa?
MIC.3.2	Wa ɠɛlɛzu faa ʋagɔi ʋa,
MIC.3.2	faa ɲɔi ɠa nɛai wo ʋɛ,
MIC.3.2	wa nuiti kɔlɔgi ɠulazu ti ma,
MIC.3.2	wo ti ma zuai ɠula ti-ɠaeiti ma.»
MIC.3.3	Ti-laamianigi ɠa nɔnɔ ga nà-nuɓusɛiti ma zuai.
MIC.3.3	Ta ti-ɠɔlɔgi ɠulazu ti ma,
MIC.3.3	ti ti-ɠaeiti galeɠale.
MIC.3.3	Ti ti zuɓulukpulu,
MIC.3.3	eɠɛ suai, nu gilizu kɔlu liɠii zu.
MIC.3.4	Naa ɠa é ba, ta wooɠulana Ɠɔoɠɔ GALAGI ma ga é ɓɔ ti ʋa,
MIC.3.4	Maliɠii la ti wooɠaaʋotega pɛ,
MIC.3.4	kɛlɛ toɠa ʋoluave ti ʋa,
MIC.3.4	tɔɔzei faa ɲɔi ʋa, ti kɛɛni.
MIC.3.5	Ɠɔoɠɔ GALAGI wooi ɠaa, é ga nii,
MIC.3.5	GALA goo wo nuiti ta-vaa zu,
MIC.3.5	niiti ti ná-nuɓusɛiti kakasu, é ɠɛ ma:
MIC.3.5	«Ni ta ani lɔɔna ti-la,
MIC.3.5	ta ɗa ɠɛ ma naazu fai pɛ ge zolooga,
MIC.3.5	kɛlɛ ta ɗa kɔɔi ʋɛɛ naati ba,
MIC.3.5	zɔiti ti la ani lɔɔni ti-la.
MIC.3.6	Wa ɠɛ niina kpidii zu,
MIC.3.6	wo la mɔ kulakɛlɛma ɠaa!
MIC.3.6	Ʋelela ʋele vaiti bo fai ɓega!
MIC.3.6	Kpidii ɠa ʋɛɛ niina wo ma, eɠɛ foloi a daana,
MIC.3.6	foloi zu ɠa ɓidi wo ʋɛ.»
MIC.3.7	Zɔiti ti faiti bosu ma yeeluɠɔ, ɓaa ɠa ɠula ti ma,
MIC.3.7	adɔɓɛɛ nuiti ta unfe!
MIC.3.7	Ti pɛ ta ɠaazulɔɔɠu,
MIC.3.7	mazɔlɔɔ GALA ge la ti wooɠaaʋotega pɛ.
MIC.3.8	Kɛlɛ nɔ̀un, dàavegɛ ga gaaɓaai ta Ɠɔoɠɔ GALAGI ná-Zɛnvui,
MIC.3.8	ta sɔledai, ta zɛbɛi,
MIC.3.8	ga gè Zakɔɓe mavofodai ná-tɔ koloɠologiti dɛɛ la,
MIC.3.8	ta gè Izelayɛle ná-kotoi lɛɛ la.
MIC.3.9	À woilo deɠɛmu nii ma,
MIC.3.9	Zakɔɓe mavofodai ma ɠundiɠiiti,
MIC.3.9	wɔi wo zeini Izelayɛle nuɓusɛiti unda!
MIC.3.9	Wa sɔle fai wɔinzeɠezu,
MIC.3.9	wo telebodai maaʋe.
MIC.3.10	Wa Siyɔn losu ga nu ʋaai,
MIC.3.10	wo Zeeluzalɛme lo ga suɲɔi.
MIC.3.11	Ta-ɠundiɠiiti ta tukpɔi ɠaaleʋezu lobɛanii maazu.
MIC.3.11	Kɛni ti ta-zalaɠa ɠula nuiti sala pɛ, ti ʋa nuiti kala ga tɔ gooi.
MIC.3.11	Kɛni ti ta-ƓALA goo wo nuiti sala pɛ ga walii, ti ʋa ʋelela ʋele vaa wo.
MIC.3.11	Ti ɗa ʋoluzei Ɠɔoɠɔ GALAGI ʋa, ti ɗa ɠɛ ma:
MIC.3.11	«Ɠɔoɠɔ GALAGI la gi zaama ɓaa?
MIC.3.11	Ɗa ma, maanɔɠɔ nɔpɛ ge la zeelia gi ma.»
MIC.3.12	Naa ɠa é ba, wo maaʋele ma,
MIC.3.12	Siyɔn ɠa woli, eɠɛ kpalagi,
MIC.3.12	Zeeluzalɛme ɠa ɠɛ ga kɔtu ziɠigi,
MIC.3.12	dɔɓɔi ɠa GALA pɛlɛi ma ɠizei maaɓɔɔle.
MIC.4.1	Yeeɠɛɠala ɠaaɓelagiti ta zeelina,
MIC.4.1	Ɠɔoɠɔ GALAGI ná-Pɛlɛi ma ɠizei ɠaa ɠa ɠooza, é lo gizeiti pɛ maazu,
MIC.4.1	toɠa lo gize goiti pɛ maazu,
MIC.4.1	nuɓusɛ ʋɛbɛi ɠa ɠɛ liizu pɔ bɛ.
MIC.4.2	Zii ɠiligiti ta ɠɛ liizu ná, ti ɗa ɠɛ ma:
MIC.4.2	«À ʋa ade lɛ Ɠɔoɠɔ GALAGI ná-gizei ma,
MIC.4.2	Zakɔɓe ná-GALAGI ná-Pɛlɛi wu,
MIC.4.2	naa ɠa a kɛ, é ná-peleiti dɛɛ ga adeye,
MIC.4.2	ade ʋa ziɛ ga ná-peleiti.»
MIC.4.2	Mazɔlɔɔ Siyɔn ɠa tɔgi a zeɠe ná,
MIC.4.2	ta Ɠɔoɠɔ GALAGI laawooi ɠa zɔlɔɔ Zeeluzalɛme nɔ.
MIC.4.3	Toɠa zaamazu logi wo nuɓusɛ mɔinmɔin zɔɠɔzu,
MIC.4.3	toɠa ɠɛ ga zii wolaiti ta-lukpɔɠaaleʋe nui, anɛɛ zɔiti ti maaɠoozaai.
MIC.4.3	Ta ta-ɠɔɔɠɔ woɠa zɔkpɔiti kɛ ga kaliiti,
MIC.4.3	ti ta-ɓɛɛinti kɛ ga molo leʋe woɠaiti.
MIC.4.3	Zii la mɔ valaa zii ʋa,
MIC.4.3	nu la mɔ kɔɔɠɔ vaa ma ɠala boga.
MIC.4.4	Ɛsɛ ka ná-leezɛn ɓele la ziilɛigi zu, ta ná-kooleɠoole gulu ɓelei,
MIC.4.4	nu nɔpɛ ge la bɔɔla maalua mɔnɔ,
MIC.4.4	mazɔlɔɔ Ɠɔoɠɔ GALAGI, Fai-Pɛ-Maliɠii, ɠa é boga.
MIC.4.5	Zɔɔma nuɓusɛiti ta ziɛzu ta-ɠalagiti daaseigi zu,
MIC.4.5	kɛlɛ giya ma, gá yɛ ziɛzu Ɠɔoɠɔ GALAGI ada-ƓALAGI laaseigi zu, eyɛsu ɠɔ.
MIC.4.6	Ɠɔoɠɔ GALAGI wooi ɠaa:
MIC.4.6	«Naama volo ná, nà nà-baalagiti gaalɛ ba,
MIC.4.6	zɔiti ti maalɛɠɛfɛgai, ta zɔiti ti zuvazagai,
MIC.4.6	niiti gè ti zopele ɲɔuni.
MIC.4.7	Zɔiti ti maalɛɠɛfɛgai, nà naa mɔtaiti makɛ,
MIC.4.7	zɔiti ti maaɠoozani, gè naati kɛ ga zii wola.
MIC.4.7	Ɠɔoɠɔ GALAGI ɠa masadai ɠɛ ti unda, Siyɔn gizei ma,
MIC.4.7	é zo názuʋɛ ma, eyɛsu ɠɔ.
MIC.4.8	Ɗa ʋe, Zeeluzalɛme ɠizei, è wɛlɛzu nuɓusɛiti ma,
MIC.4.8	eɠɛ baala makɛ nui é wɛlɛ baala kpulugi ma,
MIC.4.8	ɗa ga ʋa ɗa-masadai zɔlɔɔsu ʋolu, nii é ɠɛni è ya mɔungi.
MIC.4.8	Zeeluzalɛme ɠa ɠɛ ʋolu ga masadai ma laa wolai.»
MIC.4.9	Lee ɓee ɠa wo toozu niizu, niizu Zeeluzalɛme nuɓusɛiti?
MIC.4.9	Masa ge la mɔ wo ʋɛ ɓaa?
MIC.4.9	Wo lɛnɛ nui zaa ɓaa,
MIC.4.9	taɓai wo zosu ɠani, eɠɛ anzanu a ɠɛ doun zɔlɔɔsu?
MIC.4.10	Siyɔn laaʋeaiti, à ɓɔɠɔ zuɓili ga taɓai,
MIC.4.10	wo kpalagi wo, eɠɛ anzanui é doin zɔlɔɔsu!
MIC.4.10	Mazɔlɔɔ wa ɠulazu taai ʋa,
MIC.4.10	wo zei dɔɓɔ wolai zu,
MIC.4.10	wa liizu, eyɛsu wo zeeli Ɓaɓilɔne.
MIC.4.10	Kɛlɛ miná ɠa wa unmɔɔgi zɔlɔɔ ná,
MIC.4.10	Ɠɔoɠɔ GALAGI ɠa wo ɠeya ʋolu,
MIC.4.10	é wo ɠula wo zili nuiti zea.
MIC.4.11	Kɛlɛ niizuʋɛ, zii mɔinmɔin ge ɠaalɛa ba wo laalɔɠɔma,
MIC.4.11	ti ɗa ɠɛ ma:
MIC.4.11	«Ɓaaɠula faan wa-laai ma!
MIC.4.11	Ade Siyɔn taai tɛi koloɠolosuʋɛ ɠa!»
MIC.4.12	Kɛlɛ ti la Ɠɔoɠɔ GALAGI ná-devei ɠwɛɛ,
MIC.4.12	ti la kisu vaiti gaaɠaazu,
MIC.4.12	ti la kwɛɛ ga é ti ɠaalɛɛʋɛ ba,
MIC.4.12	eɠɛ molo ɠiliiti, é ti ʋu ti-loɠazuʋɛ.
MIC.4.13	Siyɔn nuiti, à wuzeɠe, wo moloi loɠa!
MIC.4.13	Nà minɛi losu wo ʋa, é ga kɔlui,
MIC.4.13	gè wo-ʋolokagi ɠɛ eɠɛ kɔlu ɓɔigi,
MIC.4.13	wa nuɓusɛ mɔinmɔin dɛɛvɛ ɠɔɠɔwu,
MIC.4.13	wa ti-yeaɠɔligi kpein kɛ ga Ɠɔoɠɔ GALAGI nɔnɔ,
MIC.4.13	ta-naavoloi kpein ka ɠɛ ga Ɠɔoɠɔ GALAGI nɔnɔ, eteai pɛ Maliɠii.
MIC.4.14	Kɛlɛ niizu, à wa-ɠɔɔɠɔ nuiti gaalɛ ba, Siyɔn nuiti!
MIC.4.14	Ta ga ade zei kɛlɛ su,
MIC.4.14	ti Izelayɛle ná-kundiɠii loɠa gaazuʋɛ ga tukpɔi.
MIC.5.1	Ɗa ʋe, Ɓɛteleyɛme Efelata,
MIC.5.1	ɗɛi è ga taa goi Zuda laa wolaiti saama,
MIC.5.1	è ʋɔ bɛ ɠa nu ɠulazu ná bɛ̀,
MIC.5.1	zɔi a zei Izelayɛle nuɓusɛiti unda,
MIC.5.1	nii ná-fai lɔɔzeizuʋɛ ɠulaai wɔlɔwɔlɔi ma ziɛgi zu,
MIC.5.1	yeeɠɛɠalaiti ti leʋegai kaite.
MIC.5.2	Naa ɠa é ba, Ɠɔoɠɔ GALAGI ɠa dɛ a ɠaazuzeɠe ná-nuɓusɛiti ba,
MIC.5.2	eyɛsu naama yeei zeeli, yeei anzanui naa,
MIC.5.2	nii maanɛai é doin zɔlɔɔ, naa sɔlɔɔ.
MIC.5.2	Kɛɛɠɛleai mɔtaiti ti yɛsu duɔlai zu,
MIC.5.2	naati ti ʋa ʋolu, ti ʋu Izelayɛle nui zɔiti ma.
MIC.5.3	Tɔun ka zei ga pagɔ,
MIC.5.3	é lo ná-baala kpulugiti tuɠɔ ga Ɠɔoɠɔ GALAGI ná-zobogi,
MIC.5.3	ga Ɠɔoɠɔ GALAGI maaɲiagi, nii é ga ná-GALAGI.
MIC.5.3	Ná-nuɓusɛiti ta zɛnvui wo ziilɛigi zu,
MIC.5.3	mazɔlɔɔ ɛsɛ pɛ ka bɔɔlɔ adaʋɛ pɛ,
MIC.5.3	eyɛsu zou ɓela ga ná pɛ.
MIC.5.4	Naa ɠa ɠɛ ga ziilɛigi!
MIC.5.4	Siɛgi zu Asiili nuiti ta ʋaa la, ti lɔ gá-yooi zu,
MIC.5.4	ti lɔ gá-ʋɛlɛ ʋagɔiti bu,
MIC.5.4	gá totuɠɔiti ta kundiɠi mɔinmɔin teʋe ti laalɔɠɔma.
MIC.5.5	Ta-ɠɔɔɠɔ zɔɔlaiti saɓui zu,
MIC.5.5	ta-zobogi ɠa ɠɛ Asiili yooi ma, Nimelɔde yooi.
MIC.5.5	Tɔ ɓɔɠɔi toɠa gi ɠula Asiili nuiti zeezu,
MIC.5.5	siɛgi zu ta gá-you ɠwɛpelemaʋɛ maazuɓudɛna la, ti lɔ gá-yooi zu.
MIC.5.6	Izelayɛle nuɓusɛi mɔtaiti ta yɛ nuɓusɛ mɔinmɔin saama,
MIC.5.6	ta ɠɛ eɠɛ nɔɗa pagɔi Ɠɔoɠɔ GALAGI teʋesu,
MIC.5.6	ɓa eɠɛ sabalagi é ʋuuzu tufai ɠa,
MIC.5.6	zee la laani nu nɔpɛ ma,
MIC.5.6	ki ge la loni nuɓusɛ ʋa.
MIC.5.7	Izelayɛle nuɓusɛi mɔtaiti ta yɛ ziiti saama,
MIC.5.7	nuɓusɛ mɔinmɔin saama,
MIC.5.7	ti zu ɠa ɓaa, eɠɛ zalai é dɔɓɔ zuaiti saama,
MIC.5.7	ɓaa eɠɛ zala ɓokpagi é toganiiti saama.
MIC.5.7	Siɛgi zu é leʋesu da, é ɗa ɠɔɠɔlo ti ma, é ɗa ti ʋali ga,
MIC.5.7	nu nɔpɛ ge la kulaa zea.
MIC.5.8	À yeeʋɛɛ wo-ɓɔɛɲɔɠɔiti ma,
MIC.5.8	ta mɔnɔ wo zili nuiti pɛ ti ɠoloɠolo!
MIC.5.9	Ɠɔoɠɔ GALAGI wooi ɠaa:
MIC.5.9	«Naama volo ná,
MIC.5.9	nà wa-ɠɔɔɠɔ zooiti pɛ kula zooi ʋa,
MIC.5.9	gè wa-ɠɔɔɠɔ wotoloiti pɛ koloɠolo.
MIC.5.10	Nà wa-yooi ma laa wolaiti pɛ koloɠolo,
MIC.5.10	gè ada ɓiingiti suvaza, ʋɛti wo ʋoluzeiɗai naati ba.
MIC.5.11	Nà zoɠo vaiti pɛ kula wo zaama,
MIC.5.11	ungaiziɛ nu nɔpɛ ge la mɔ ɠɛa wo yeema.
MIC.5.12	Nà kɔɔɠɔ ganigiti kula wo zaama,
