MAT.1.1	O le tala lenei i le gafa o Iesu Keriso le atali‘i o Tavita, le atali‘i o Aperaamo.
HEB.11.13	Na oti i latou nei uma lava a o fa‘atuatua, e le‘i maua mea na folafolaina, a ‘ua na ‘ona va‘aia mamao atu e i latou, ma talia ma le fiafia, ma ‘ua ta‘utino mai fo‘i o tagata ‘ese i latou ma le aumau i le lalolagi. 
HEB.11.14	Auā o i latou o ē e fai ‘upu fa‘apenā, ‘ua matuā fa‘ailoa mai lava o lo‘o sā‘ili e i latou lo latou lava nu‘u. 
HEB.11.15	Auā fo‘i ana manatua e i latou le nu‘u na ō mai ai, po ‘ua mafai e i latou ‘ona toe fo‘i atu i ai; 
HEB.11.16	a o lenei, ‘ua naunau lava i latou i le nu‘u e sili ‘ona lelei, o le nu‘u fa‘alelagi lea; o le mea lea e lē ma ai le Atua ‘iā te i latou, ‘ina ‘ia ta‘ua o ia o lo latou Atua; auā ‘ua sauni e ia le ‘a‘ai mo i latou.
HEB.11.17	O le fa‘atuatua na faitaulaga ai Aperaamo ia Isaako, ‘ina ‘ua tofotofoina o ia; o lē na tu‘uina mai i ai le folafolaga, ‘ua matuā nofo sauni lava e avatu lona atali‘i e to‘atasi e fai ma taulaga. 
HEB.11.18	Sa fetalai mai fo‘i le Atua ‘iā te ia, “E vala‘auina lau fānau ia Isaako.” 
HEB.11.19	‘Ua manatu o ia e mafaia e le Atua ‘ona toe fa‘atūina mai tagata nai ē ‘ua oti, o lea fo‘i la ‘ua toe maua mai ai o ia. O se fa‘atusa lea.
HEB.11.20	O le fa‘atuatua na fa‘amanuia atu ai Isaako ia Iakopo ma Esau i mea o le a o‘o mai.
HEB.11.21	O le fa‘atuatua na fa‘amanuia ta‘itasi ai e Iakopo atali‘i o Iosefa, ‘ina o le a oti o ia, na ifo fo‘i o ia ma toto‘o i le ulu o lona to‘oto‘o.
HEB.11.22	O le fa‘atuatua na fa‘amanatu mai ai e Iosefa, ‘ina o le a oti o ia, e ō ‘ese atu le fānauga a Isaraelu, ma ‘ua poloa‘i atu ai fo‘i o ia ‘iā i latou e uiga i ona ivi.
HEB.11.23	O le fa‘atuatua sa natia ai Mose i masina e tolu e ona mātua, ‘ina ‘ua fānau mai o ia, auā na iloa e i lā‘ua o ia o le tama tino lelei; sa lē fefefe fo‘i i lā‘ua i le poloa‘iga a le tupu.
HEB.11.24	O le fa‘atuatua na lē mafai ai Mose, ‘ina ‘ua matua o ia, ‘ona ia ta‘ua o ia o le tama a le afafine o Farao, 
HEB.11.25	‘ua filifili e ia ‘ia agaleagaina o ia fa‘atasi ma tagata o le Atua e lelei ai, ‘ae ‘aua ne‘i ‘iā te ia le fiafia i le agasala e vave mavae. 
HEB.11.26	‘Ua manatu o ia i le ‘upu fāifāi ‘ona o Keriso, o le ‘oa lea e sili i fa‘aputugā‘oa a Aikupito; auā sa fa‘amoemoe o ia i le taui.
HEB.11.27	O le fa‘atuatua na tu‘ua ai e ia Aikupito, ‘ua lē fefe i le ita o le tupu; auā na lototele e pei o se ‘ua na iloa atu lē e lē o va‘aia. 
HEB.11.28	O le fa‘atuatua na fai ai e ia le paseka, ma le sausauina atu o le toto, ‘ina ‘ia le papa‘i ane ia i latou lē na fano ai ulumatua.
HEB.11.29	O le fa‘atuatua na ui ai i latou i le Sami ‘ula‘ula e pei o le ‘ele‘ele matūtū; na taumafai fo‘i tagata Aikupito e sopo‘ia, a ‘ua malelemo ai i latou.
HEB.11.30	O le fa‘atuatua na solo ai pa o Ieriko, ‘ina ‘ua fa‘ata‘amilo ai i latou i aso e fitu. 
HEB.11.31	O le fa‘atuatua na lē oti ai Raava, le fafine talitane, fa‘atasi ma tagata fa‘alogogatā, auā sa talia lelei e Raava tagata na asiasi atu i lona nu‘u.
HEB.11.32	O le ā ‘ea se isi a‘u tala a fai atu? Auā ‘ua le lava le taimi ‘ou te fa‘amatalaina atu ai mea e uiga ia Kitiona, ma Parako, ma Samasoni, ma Iefata, ma Tavita, ma Samuelu, ma le ‘au perofeta.
HEB.11.33	O i latou ia na fa‘ato‘ilaloina mālō i le fa‘atuatua, ma fa‘amalosia le amiotonu, ma maua ai mea na folafolaina mai, ma ‘ua tapunia fo‘i gutu o leona, 
HEB.11.34	ma tineia le malosi o le afi, na fa‘asaoina fo‘i mai le mata o le pelu, ma ‘ua fa‘amalosia ai i latou sa vāivāi, ma ‘ua ‘avea ai ma fitafita mo le tau‘a, na tulia ai ‘au a nu‘u ‘ese. 
HEB.11.35	Na maua mai e fafine o latou tagata oti ‘ina ‘ua toe tutū mai.
HEB.11.35	Na fa‘ataugāina nisi, ‘ua lē talia e i latou le olataga, ‘ina ‘ia maua ai e i latou le toetū mai e sili ‘ona lelei. 
HEB.11.36	O isi na mafatia i tauemuga, ma sasaina, ma noanoatia ma tu‘uina i falepuipui. 
HEB.11.37	Na fetogia i latou i ma‘a, ma ta‘ivaeluaina i ili, ma fasiotia i le pelu; na feoa‘i solo ma ‘o‘ofu i pa‘u mamoe ma pa‘u ‘oti; na matitiva i latou ma puapuagātia ma fa‘asauāina 
HEB.11.38	(e lē aogā le lalolagi ia i latou) na feoa‘i solo i latou i vao, ma mauga, ma ana, ma lua i le ‘ele‘ele.
HEB.11.39	O i latou uma ia o ē na ta‘uleleia ‘ona o le fa‘atuatua, na lē maua e i latou le mea na folafolaina, 
HEB.11.40	auā ‘ua saunia e le Atua le isi mea e sili ‘ona lelei mo i tatou, ‘ina ‘ia lē fa‘a‘ato‘atoaina i latou pe a lē i ai i tatou.
HEB.12.1	O lenei, o i tatou o ē o lo‘o si‘omia e le fa‘apotopotoga tele o tagata molimau, ‘ia tatou tu‘u‘eseina mea mamafa uma, ‘atoa ma le agasala o lo‘o pipi‘i mai, a ‘ia tatou taufetuli ma le ‘onosa‘i i le tausiniōga ‘ua feagai ma i tatou. 
HEB.12.2	Ma ‘ia va‘ava‘ai atu ‘iā Iesu, lē na te ta‘ita‘iina, ma o ia fo‘i e fa‘a‘ato‘atoaina lo tatou fa‘atuatua. O lē na ‘onosa‘i i le satauro, na fa‘atauva‘a ‘iā te ia le ma ‘ona o le ‘oli‘oli sa i ona luma; ‘ua nofo fo‘i o ia i le itū taumatau o le nofoāli‘i o le Atua.
HEB.12.3	‘Ia ‘outou manatu i lē na ‘onosa‘i i le fa‘atū‘i‘ese mai o tagata agasala ‘iā te ia, ‘ina ‘ia lē fa‘avaivai o ‘outou loto ma ‘outou lē lavātia. 
HEB.12.4	E o‘o mai lava i aso nei, tou te le‘i fa‘amasa‘aina le toto a o ‘outou tete‘e atu i le agasala. 
HEB.12.5	‘Ua galo ‘ea ‘iā te ‘outou le apoapoa‘iga na tu‘uina atu ‘iā te ‘outou e pei ‘ona tu‘uina atu i le fānau?
HEB.12.5	“Lo‘u atali‘i e, ‘aua le fa‘atauva‘a i lou manatu le a‘oa‘iga a le Ali‘i;
HEB.12.5	‘aua fo‘i le fa‘avaivai pe a a‘oa‘iina oe e ia.
HEB.12.6	Auā o lē ‘ua alofagia e le Ali‘i,
HEB.12.6	‘ua a‘oa‘i atu o ia ‘iā te ia;
HEB.12.6	‘ua sasaina fo‘i e ia atali‘i uma ‘ua talia e ia.”
HEB.12.7	E tatau lava ‘ona ‘outou ‘onosa‘i i le a‘oa‘iga. O lo‘o tausia ‘outou e le Atua e pei ‘ona tausia e ia atali‘i; auā o ai se atali‘i e alofa i ai lona tamā ‘ae lē a‘oa‘iina? 
HEB.12.8	‘Ae ‘āfai e aunoa ‘outou ma le a‘oa‘iga ‘ua tofusia ai le fānau uma lava, o lona uiga, o ‘outou o fānau fa‘apouliuli ‘ae lē o ni atali‘i. 
HEB.12.9	Auā fo‘i sa i ai o tatou tamā fa‘aletino o ē na a‘oa‘iina i tatou, ma sa tatou usiusita‘i i ai; e lē sili ‘ea ‘ona tatou usita‘i i le Tamā o tatou agaga tatou te ola ai? 
HEB.12.10	Auā o i latou na a‘oa‘i mai ia i tatou i nai aso itiiti i lo latou faitalia; peita‘i, o ia ‘ua a‘oa‘i mai ia i tatou ‘ina ‘ia lelei ai i tatou, ma ‘ia tatou ‘auai i lana amio lelei. 
HEB.12.11	O a‘oa‘iga fo‘i pe a tu‘uina mai, e lē manatu i ai o se mea e ‘oli‘oli ai, a o le mea e fa‘anoanoa ai; ‘ae mulimuli ane e fua mai ai le fua o le amiotonu e manuia ai ē ‘ua a‘oa‘iina ai.
HEB.12.12	O le mea lea ‘ia ‘outou fa‘amalosi ai i lima ‘ua gagase ma tulivae ‘ua vāivāi;
HEB.12.13	i le ma lea, ‘ia ‘outou faia ala lelei mo ‘outou vae, ‘ina ne‘i mapeva le vae ‘ua pipili, ‘ae lelei ‘ona fa‘amālōlōina.
HEB.12.14	‘Ia ‘outou tausisi i le filemū ma tagata uma lava, i le ma le amio lelei; a aunoa ma lea uiga, e leai se isi na te iloa atu le Ali‘i. 
HEB.12.15	‘Ia ‘outou fa‘aeteete; ‘ina ne‘i i ai se isi na te lē maua le alofa tunoa o le Atua; ‘ina ne‘i i ai se a‘a ‘o‘ona e tupu a‘e e fa‘atupu ai fa‘alavelave ‘iā te ‘outou, ma leaga ai nisi e to‘atele; 
HEB.12.16	ne‘i i ai se faita‘aga, po‘o se fa‘atalalē i mea pa‘ia, e pei o Esau, lē na tu‘uina atu lona tofi ulumatua e fa‘atau a‘i le ‘ai e tasi. 
HEB.12.17	Auā ‘ua ‘outou iloa, e mulimuli ane, ‘ina ‘ua mana‘o o ia ‘ia maua le fa‘amanuiaga, ‘ua te‘ena e ia; auā e ui lava ‘ina ‘ai‘oi o ia ma loimata, e le‘i maua e ia se mea e liliu ai le loto o lona tamā.
HEB.12.18	Auā ‘ua ‘outou lē o‘o mai i le mea e mafai ‘ona pa‘i i ai, ma le afi mumū, ma ao uliuli ma le pogisā, ma le afā, 
HEB.12.19	ma le ta‘alili o le pū, ma le si‘ufofoga ‘ua fetalai mai, ‘ua ‘ai‘oi atu ai fo‘i ē na fa‘alogo ai, ‘ina ‘ia lē toe fa‘aopoopoina i ai se isi ‘upu. 
HEB.12.20	Auā na lē lavātia e i latou le mea na poloa‘i mai ai: “ ‘Āfai fo‘i o se manu e papa‘i atu i le mauga e fetogiina i ma‘a.” 
HEB.12.21	Na fa‘apea fo‘i ‘ona mata‘utia le mea na iloa, na fai mai ai Mose, “ ‘Ou te fefe lava ma ‘ou gatete.”
HEB.12.22	A ‘ua ‘outou o‘o i le mauga o Siona ma le ‘a‘ai o le Atua soifua, o Ierusalema fa‘alelagi, ma agelu e matuā to‘atele i le fa‘atasiga fiafia, 
HEB.12.23	ma le fa‘apotopotoga o le ‘au ulumatua. O ē ‘ua tusia i le lagi, ma le Atua o le fa‘amasino aoao, ma agaga o ē ‘ua amiotonu ‘ua fa‘a‘ato‘atoaina, 
HEB.12.24	ma Iesu le puluvaga o le feagaiga fou, ma le toto e sausau ai, o lo‘o tala mai i mea e sili ‘ona lelei i lo le toto o Apelu.
HEB.12.25	‘Ia ‘outou fa‘aeteete ‘ina ne‘i ‘outou liliu ‘ese mai lē o lo‘o fetalai mai. Auā ‘āfai na lē sao i latou o ē na liliu ‘ese mai lē na fetalai i le lalolagi, e matuā lē sao lava i tatou pe a liliu ‘ese mai lē o lo‘o fetalai mai le lagi.
HEB.12.26	O lona si‘ufofoga na lūlūina ai le lalolagi i ia aso, a ‘ua folafola mai nei e ia, fai mai, “E toe tasi le lūlūga ‘ou te lūlūina ai e lē gata i le lalolagi, ‘ae fa‘apea fo‘i ma le lagi.” 
HEB.12.27	O le ‘upu fo‘i lenei, “E toe tasi,” ‘ua fa‘ailoa mai ai le ‘ave‘esega o mea e mafai ‘ona lūlūina, e pei o mea ‘ua faia, ‘ina ‘ia tumau pea mea e lē mafai ‘ona lūlūina.
HEB.12.28	O lenei, ‘ua tatou maua le mālō e lē mafai ‘ona lūlūina, e ao ‘ona tatou fa‘afetai ai, tatou te ‘au‘auna ai ma le migao ma le mata‘u i le Atua. 
HEB.12.29	Auā o lo tatou Atua o le afi mumū ‘a‘asa o ia.
HEB.13.1	‘Ia tumau le fealofani o le ‘au uso. 
HEB.13.2	‘Aua le galo le alofa i le tagata ‘ese; auā o le ala lea na talia ai e nisi o agelu ma le lē iloa.
HEB.13.3	‘Ia ‘outou manatua ē ‘ua noanoatia, e peiseaī ‘ua noanoatia ‘outou fa‘atasi ma i latou; ia manatua fo‘i ē ‘ua agaleagaina, auā o lo‘o i le tino fo‘i ‘outou.
HEB.13.4	‘Ia fa‘amamaluina le fa‘aipoipoga e tagata uma, ia leai se mea e leaga ai le moega o le ulugali‘i; auā e fa‘amasinoina e le Atua i latou o ē e faita‘aga, ma ē e mulilulua.
HEB.13.5	‘Ia aunoa o ‘outou olaga ma le tu‘inanau i tupe, ma ‘ia ‘outou loto malilie i mea ‘ua ‘outou maua; auā ‘ua fetalai mai o ia, “ ‘Ou te lē tu‘ua lava oe, ‘ou te lē tu‘ulafoa‘iina oe.”
HEB.13.6	O le mea lea tatou te mafaia ai ‘ona fai atu ma le lototele,
HEB.13.6	“O le Ali‘i o lo‘u fesoasoani o ia,
HEB.13.6	‘ou te lē fefe lava i se mea e faia e tagata ‘iā te a‘u.”
HEB.13.7	‘Ia ‘outou manatua o ‘outou ta‘ita‘i, o ē ‘ua folafolaina atu le afioga a le Atua ‘iā te ‘outou; ‘ia ‘outou fa‘aa‘oa‘o i lo latou fa‘atuatua, ma ‘ia mafaufau i le taunu‘uga o a latou amio. 
HEB.13.8	O Iesu Keriso e lē liu lava o ia, o ananafi, ma le asō, e o‘o lava i le fa‘avavau. 
HEB.13.9	‘Aua le fe‘avea‘iina ‘outou i a‘oa‘oga ‘ese ma uiga ‘ese‘ese; auā e lelei ‘ona fa‘atumauina o le loto i le alofa tunoa, e lē o mea e ‘ai, ‘ua leai se aogā i ē o lo‘o tāofi i ai.
HEB.13.10	‘Ua ia i tatou le fatafaitaulaga, e lē tatau ‘ona ‘a‘ai i mea o i ai ē o lo‘o ‘au‘auna i le fale fetāfa‘i. 
HEB.13.11	Auā o manu ia, ‘ua ‘ave o latou toto i le mea pa‘ia e le ositaulaga sili e fai ma taulaga mo agasala, ‘ua susunu o latou tino i tua o le to‘agalauapi. 
HEB.13.12	O lea na puapuagātia ai Iesu i tua o le faitoto‘a o le ‘a‘ai, ‘ina ‘ia fa‘apa‘iaina ai e ia le nu‘u i lona lava toto. 
HEB.13.13	O le mea lea, ‘ia tatou ō atu ai ‘iā te ia i tua o le to‘agalauapi, ma ‘ia tatou ‘onosa‘i i le ‘upu fāifāi ‘ua fāifāiina ai o ia; 
HEB.13.14	auā e leai so tatou ‘a‘ai tumau ‘i‘inei, a ‘ua tatou sā‘ili i le ‘a‘ai o le a o‘o mai. 
HEB.13.15	O lenei, o ia tatou te avatu so‘o ai le taulaga o le vi‘iga i le Atua, o le fua lea o tatou laugutu, o lo‘o fa‘afetai atu i lona suafa. 
HEB.13.16	‘Aua le galo ‘iā te ‘outou ‘ona agalelei ma alolofa atu; auā o taulaga fa‘apenā e fiafia ai le Atua.
HEB.13.17	‘Ia ‘outou usiusita‘i i o ‘outou ta‘ita‘i ma ‘outou gaua‘i i ai; auā o lo‘o leoleo i latou mo o ‘outou agaga, e ta‘u atu i ai e i latou le tala, ‘ina ‘ia faia ma le ‘oli‘oli ‘ae ‘aua le faia ma le tigā, auā e lē aogā lea mea ‘iā te ‘outou.
HEB.13.18	‘Ia ‘outou tatalo mo i matou; auā o lo‘o matou tāofi ‘ua ia i matou le loto fuatiaifo lelei, matou te loto fo‘i e amio lelei i mea uma lava. 
HEB.13.19	‘Ua atili ai ‘ona ‘ou ‘ai‘oi atu ‘iā te ‘outou e fai lenā mea, ‘ina ‘ia vave ‘ona toe tu‘uina atu ai o a‘u ‘iā te ‘outou.
HEB.13.20	A o le Atua e ona le manuia, o lē na toe fa‘atūina mai nai ē ‘ua oti le leoleo mamoe sili, o lo tatou Ali‘i o Iesu, ‘ona o le toto o le feagaiga e fa‘avavau. 
HEB.13.21	Ia fa‘a‘ato‘atoaina ‘outou e ia i galuega lelei uma lava, ‘ina ‘ia ‘outou faia lona finagalo, ia galuea‘iina e ia i totonu ‘iā te ‘outou le mea e mālie i ona luma, ‘ona o Iesu Keriso; ia ‘iā te ia le vi‘iga e fa‘avavau fa‘avavau lava. Amene.
HEB.13.22	Uso e, ‘ou te ‘ai‘oi atu ‘iā te ‘outou, ‘ia ‘outou talia lenei ‘upu apoapoa‘i; auā fo‘i ‘ua ‘ou tusi fa‘apu‘upu‘u atu ‘iā te ‘outou. 
HEB.13.23	‘Ia ‘outou iloa ‘ua tu‘uina atu lo tatou uso o Timoteo, ‘āfai e vave sau o ia, ma te asiasi atu ‘iā te ‘outou fa‘atasi ma ia.
HEB.13.24	‘Ou te alofa atu i o ‘outou ta‘ita‘i uma, ‘atoa ma le ‘au pa‘ia uma lava. O lo‘o alolofa atu i latou o i Italia ‘iā te ‘outou.
HEB.13.25	‘Ia ‘iā te ‘outou uma le alofa tunoa o le Atua. Amene.
2PE.1.1	O le tusi lenei a Simona Peteru, o le ‘au‘auna ma le ‘aposetolo a Iesu Keriso, ia i latou o ē ‘ua maua le fa‘atuatua e tutusa lona lelei ma lo matou fa‘atuatua, ‘ona o le amiotonu a lo tatou Atua ma lo tatou Fa‘aola o Iesu Keriso:
2PE.1.2	‘Ia fa‘ateleina ‘iā te ‘outou le alofa tunoa ma le manuia, ‘ona o lo ‘outou iloa lelei o le Atua ma Iesu lo tatou Ali‘i.
2PE.1.3	‘Ua foa‘iina ‘iā te i tatou mea uma lava e o‘o ai i le ola ma le amio Atua, ‘ona o le iloa lelei o lē na vala‘auina i tatou i lona mamalu ma lona lelei silisili. 
2PE.1.4	‘Ona o lea mea na tu‘uina mai ai e ia ia i tatou le folafolaga tāua ma le silisili, ‘ina ‘ia tofusia ai ‘outou i uiga o le Atua, ‘ina ‘ua sosola ‘ese ‘outou i le amioleaga o i le lalolagi, ‘ona o le tu‘inanau. 
2PE.1.5	O le mea lea ‘ia ‘outou matuā fa‘amalosi ai ‘ina ‘ia fa‘aopoopo le amiolelei i lo ‘outou fa‘atuatua, ma ‘ia fa‘aopoopo atu fo‘i le iloa i le amiolelei.
2PE.1.6	Ia fa‘aopoopo atu le amio pulea i lo ‘outou iloa, ia fa‘aopoopo atu le ‘onosa‘i i le amio pulea, ia fa‘aopoopo atu le amio Atua i le ‘onosa‘i. 
2PE.1.7	Ia fa‘aopoopo atu le fealofani o le ‘au uso i le amio Atua, ia fa‘aopoopo atu fo‘i le alofa i le fealofani o le ‘au uso. 
2PE.1.8	Auā a ‘outou maua ia mea ma ‘ua fa‘ateleina, ‘ona lē toe ‘avea ai lea o ‘outou ma tagata paiē, a o tagata e fua mai i le iloa lelei o lo tatou Ali‘i o Iesu Keriso. 
2PE.1.9	O le tagata na te lē o maua ia mea ‘ua tauaso o ia, e lē mafai fo‘i ‘ona va‘ai. ‘Ua galo fo‘i ‘iā te ia ‘ua fa‘amāgaloina ana agasala tuai.
2PE.1.10	O le mea lea uso e, ia matuā taumafai e fa‘amaonia na vala‘auina ma filifilia ‘outou. ‘Āfai tou te faia ia mea, tou te lē i‘uvale lava. 
2PE.1.11	O le mea lea e tu‘uina atu ai ‘iā te ‘outou le avanoa e ulufale atu ai i le Mālō e fa‘avavau o lo tatou Ali‘i ma le Fa‘aola o Iesu Keriso.
2PE.1.12	O le mea lea ‘ua ‘ou manatu ai e fa‘amanatu atu pea ‘iā te ‘outou nei mea, e ui lava ‘ina ‘ua ‘outou iloa ma ‘ua atiina a‘e ai i le ‘upu moni ‘ua ‘iā te ‘outou. 
2PE.1.13	‘Ou te manatu e tatau lava ‘iā te a‘u ‘ona ‘ou fa‘amalosi atu ‘iā te ‘outou i nei mea i aso uma ‘ou te ola ai,
2PE.1.14	auā ‘ua ‘ou iloa e mulimuli ane ‘ona uma lea o a‘u ma lenei tino. ‘Ua fa‘ailoa mai ‘iā te a‘u e lo tatou Ali‘i o Iesu Keriso lenā mea. 
2PE.1.15	‘Ou te matuā taumafai fo‘i ‘ina ‘ia ‘outou mafai ‘ona manatua pea nei mea pe a mavae lo‘u oti.
2PE.1.16	Auā matou te le‘i fa‘alagolago i tala fatu e fa‘ailoa atu ai ‘iā te ‘outou le afio mai ma le mana o lo tatou Ali‘i o Iesu Keriso. Na va‘aia e o matou mata lona silisili ‘ese. 
2PE.1.17	Na fa‘amamaluina ma vi‘ia o ia e le Atua le Tamā, ‘ina ‘ua tulei mai le si‘ufofoga ‘iā te ia mai lē e ona le mamalu silisili ‘ese, ‘ua fa‘apea mai, “O lo‘u atali‘i pele lenā, ‘ou te fiafia lava ‘iā te ia.”
2PE.1.18	Na matou fa‘alogo lava i lenā si‘ufofoga mai le lagi, a o matou fa‘atasi ma ia i le mauga pa‘ia.
2PE.1.19	O le mea lea, ‘ua mausalī lo matou talitonu i ‘upu a perofeta. O le a lelei ai ‘outou pe ‘āfai tou te tausia lenā ‘upu. E pei lava o se molī o lo‘o susulu atu i le pogisā se‘ia o‘o i le tafa mai o ata, se‘ia ali a‘e fo‘i le fetū ao i o ‘outou loto. 
2PE.1.20	‘Ae peita‘i, ia muamua i mea uma ‘ona iloa e ‘outou e lē mafai e se isi ‘iā te ia lava ‘ona fa‘amatala valo‘aga o i le Tusi; 
2PE.1.21	auā e le‘i faia se valo‘aga ‘ona ‘ua mana‘o i ai le tagata; ‘ae peita‘i na tautala tagata pa‘ia o le Atua ‘ina ‘ua osofia i latou e le Agaga Pa‘ia.
2PE.2.1	Sa i ai perofeta pepelo i le nu‘u e pei fo‘i ‘ona i ai ‘iā te ‘outou a‘oa‘o pepelo. O le a ‘aumaia fa‘alilolilo e i latou a‘oa‘oga e fa‘aumatia ai, ma fa‘afitia le Matai na lavea‘iina i latou, ma ‘aumaia ‘iā te i latou lava le malaia e vave o‘o mai.
2PE.2.2	E to‘atele fo‘i o le a mulimuli atu i o latou ala leaga, ma ‘upuleagaina ai le ‘upu moni. 
2PE.2.3	O lo latou matape‘ape‘a ‘iā te ‘outou, latou te ta‘u atu ai tala pepelo ‘iā te ‘outou ‘ina ‘ia maua ai e i latou tupe fa‘asili. E lē tuai mai ‘iā te i latou le sala na fetalai mai anamuā, e lē moe fo‘i lo latou malaia.
2PE.2.4	E le‘i fa‘asaoina e le Atua agelu na agasala, a ‘ua tu‘uina i latou e ia i le lua pogisā, o seoli, e fa‘atali ai mo le aso o le fa‘amasinoga. 
2PE.2.5	E le‘i fa‘asaoina fo‘i e ia le lalolagi tuai, ‘ina ‘ua aumai e ia le lolo i le lalolagi o tagata fa‘alēmata‘u; na o Noa, o lona to‘avalu lea o tagata na fa‘aolaina, o lē na tāla‘i le amiotonu. 
2PE.2.6	Na fa‘asalaina fo‘i e le Atua nu‘u o Sotoma ma Komoro, ‘ua liulefulefu i latou ma ‘ua fa‘aumatia; ‘ua ‘avea fo‘i i latou ma a‘oa‘oga mo ē e fa‘alēmata‘u i aso mulimuli. 
2PE.2.7	‘Ae peita‘i na fa‘asaoina e ia Lota, auā o ia o le tagata lelei, ma ‘ua matuā tigā i le amioleaga a tagata lē taupulea. 
2PE.2.8	Na mau fo‘i lenei tagata lelei ma i latou i lea aso ma lea aso. Sa va‘ai ma fa‘alogo o ia i mea sa tutupu, o a latou amio lē taupulea sa fa‘atigā i lona loto. 
2PE.2.9	‘Ua silafia e le Ali‘i le mea e lavea‘iina mai ai ē e amio Atua nai le tofotofoga, ‘ae tāofi i ē e amiolētonu se‘ia o‘o i le aso fa‘amasino e fa‘asalaina ai; 
2PE.2.10	‘ae maise lava i latou o ē e mulimuli i mana‘o leaga o latou tino, ma le manatu fa‘atauva‘a i le pule.
2PE.2.10	‘Ua lototetele ma fa‘amaualuluga nei a‘oa‘o pepelo, ma ‘ua lē fa‘aaloalo i le mamalu o ē o i lugā. 
2PE.2.11	‘Ae peita‘i, e o‘o lava i agelu o ē e sili lo latou malosi ma le mana i lo nei a‘oa‘o pepelo, latou te le‘i molia i latou i ni ‘upuleaga i luma o le Ali‘i. 
2PE.2.12	A o i latou nei, e pei o meaola, na faia ‘ina ‘ia pu‘ea ma fasimatea, latou te fāifāi i mea latou te lē iloa. E fa‘aumatia i latou e pei o manu fe‘ai; 
2PE.2.13	e maua e i latou le taui o le amiolētonu. E fiafia i latou i le pisapisaō i le ao. E mamā ma ta‘uvalea i latou a o fa‘atasi atu i latou ia ‘outou faiga‘ai, e fiafia i latou i o latou lava ala leaga. 
2PE.2.14	Latou te lē fia va‘ai i se isi lava mea na‘o fafine amioleaga, ‘ua lē mālōlō o latou mata mai le agasala. Latou te maileia tagata vāivāi. ‘Ua a‘oa‘oina o latou loto i le matape‘ape‘a. ‘Ua fa‘amalaiaina i latou e le Atua. 
2PE.2.15	‘Ua tu‘ua e i latou le ala sa‘o ‘ae ō atu i ala sesē, ‘ua mulimuli atu i ala o Palaamo, le atali‘i o Peoro, o lē na mana‘o i tupe na maua e ia i le faia o mea sesē, 
2PE.2.16	ma ‘ua a‘oa‘iina o ia ‘ona o lana agasala, ‘ua tautala mai i le leo o le tagata le manu lē tautala, ma ‘ua vavao atu e ia le valea o le perofeta.
2PE.2.17	O nei tagata ‘ua pei i latou o punāvai e lē o i ai se vai, e pei fo‘i o ao ‘ua lelea i le afā, ‘ua tu‘u mo i latou le nofoaga i le pogisā o le pouliuli. 
2PE.2.18	Auā o lo‘o tautala i latou i ‘upu fa‘asausili lē aogā, ‘ua fa‘aaogāina fo‘i e i latou mana‘o leaga o le tino e mailei ai tagata amiotonu, o ē ‘ua sosola ‘ese mai le lalolagi fa‘apaupau. 
2PE.2.19	Na folafola atu e i latou le sa‘olotoga ‘iā te i latou, a o i latou lava ‘ua fai ma pologa a le leaga, auā a to‘ilalo le tasi i le isi, ‘ua nofo pologa o ia. 
2PE.2.20	Auā ‘āfai e sosola ‘ese tagata i le leaga o le lalolagi ‘ona o le iloa o lo tatou Ali‘i ma le Fa‘aola o Iesu Keriso, ‘ae toe fa‘alavelaveina ma fa‘ato‘ilaloina i na mea, ‘ona tele ai lea o le leaga o lo latou i‘uga i lo latou amataga. 
2PE.2.21	E lelei pe ana lē iloa e i latou le ala o le amiotonu, ‘ae leaga ‘ina ‘ua latou iloa, ma toe liliu ‘ese ma lafoa‘iina le poloa‘iga pa‘ia na tu‘uina atu ‘iā te i latou. 
2PE.2.22	A ‘ua fa‘amaonia ‘iā te i latou le moni o le ‘upu fa‘atusa, “ ‘Ua toe fo‘i le ta‘ifau i ona pua‘iga,” o lo‘o i ai fo‘i le tasi ‘upu, “O le pua‘a na fa‘atā‘eleina ‘ua toe fo‘i o ia e ta‘afili i le palapala.”
2PE.3.1	A‘u uō e, o la‘u tusi e lua lenei ‘iā te ‘outou. O ia tusi e lua na ‘ou taumafai ai e fa‘atupu mafaufauga mamā i o ‘outou mafaufau, i lo‘u fa‘amanatu atu ‘iā te ‘outou o nei mea. 
2PE.3.2	‘Ina ‘ia ‘outou manatu ai i ‘upu na fai atu e perofeta pa‘ia, ma le poloa‘iga mai le Ali‘i ma le Fa‘aola na tu‘uina atu ‘iā te ‘outou e o ‘outou ‘aposetolo. 
2PE.3.3	‘Ia muamua i mea uma lava ‘ona ‘outou iloa lenei mea, o aso mulimuli, e ō mai ai i latou o ē o lo‘o ola i o latou lava tu‘inanau ma fa‘atauemu ‘iā te ‘outou. 
2PE.3.4	E fai ane i latou, “O fea ‘ea le folafolaga o lona afio mai? ‘Ua oti o tatou tamā, a o lo‘o tumau pea mea uma e pei ‘ona i ai i le amataga o le foafoaga.” 
2PE.3.5	‘Ua lē amana‘ia e i latou lenei mea. Na faia le lagi anamua i le afioga a le Atua, na faia fo‘i le lau‘ele‘ele mai le vai fa‘atasi ma le vai, 
