GEN.1.1	Mbere na mbere Imana yaremye ijuru n'isi. 
LUK.7.42	Ariko kuko bari babuze ubwishyu azibaharira bombi. Mbese muri abo bombi uwarushije undi kumukunda ni nde?”
LUK.7.43	Simoni aramusubiza ati “Ngira ngo ni uwo yahariye inyinshi.”
LUK.7.43	Na we aramubwira ati “Uvuze neza.” 
LUK.7.44	Akebuka uwo mugore abwira Simoni ati “Urareba uyu mugore? Ninjiye mu nzu yawe ntiwampa amazi yo koza ibirenge, ariko uyu we antonyangirije amarira ku birenge, abihanaguza umusatsi we. 
LUK.7.45	Ntiwansomye, ariko aho ninjiriye uyu ntiyahwemye kunsoma ibirenge. 
LUK.7.46	Ntiwansīze amavuta mu mutwe, ariko uyu we ansīze amavuta meza ku birenge. 
LUK.7.47	Ni cyo gitumye nkubwira yuko ababariwe bya byaha bye byinshi, kuko yagize urukundo rwinshi. Ariko ubabarirwa bike, akunda buke.”
LUK.7.48	Abwira umugore ati “Ubabariwe ibyaha byawe.”
LUK.7.49	Nuko abasangiraga na we batangira kubazanya bati “Uyu ni nde, ubabarira n'ibyaha?”
LUK.7.50	Abwira uwo mugore ati “Kwizera kwawe kuragukijije, genda amahoro.”
LUK.8.1	Hanyuma ajya mu midugudu n'ibirorero yigisha, avuga ubutumwa bwiza bw'ubwami bw'Imana ari kumwe n'abigishwa be cumi na babiri, 
LUK.8.2	 n'abagore bamwe bakijijwe abadayimoni n'indwara, barimo Mariya witwaga Magadalena wirukanywemo abadayimoni barindwi, 
LUK.8.3	na Yowana muka Kuza igisonga cya Herode, na Suzana n'abandi bagore benshi babafashishaga ibyabo.
LUK.8.4	Nuko abantu benshi bamusanga bavuye mu midugudu yose, bamaze guterana abacira umugani ati 
LUK.8.5	“Umubibyi yasohoye imbuto, akibiba zimwe zigwa mu nzira barazikandagira, inyoni zo mu kirere zirazitoragura. 
LUK.8.6	Izindi zigwa ku kāra, zimaze kumera ziruma kuko zihabuze amazi. 
LUK.8.7	Izindi zigwa mu mahwa, amahwa amerana na zo araziniga. 
LUK.8.8	Izindi zigwa mu butaka bwiza ziramera, zera imbuto imwe ijana, indi ijana, bityo bityo.”
LUK.8.8	Amaze kuvuga ibyo avuga ijwi rirenga ati “Ufite amatwi yumva niyumve.”
LUK.8.9	Nuko abigishwa be bamusobanuza uwo mugani. 
LUK.8.10	 Arababwira ati “Mwebweho mwahawe kumenya ubwiru bw'ubwami bw'Imana, ariko abandi bo babibwirirwa mu migani, kugira ngo kureba babirebe ariko be kubibona, no kumva babyumve ariko be kubisobanukirwa.
LUK.8.11	“Dore iby'uwo mugani ni ibi: imbuto ni ijambo ry'Imana. 
LUK.8.12	Izo mu nzira, abo ni bo bumva ijambo hanyuma Umwanzi akaza agakura ijambo mu mitima yabo, kugira ngo batizera ngo bakizwe. 
LUK.8.13	Izaguye ku kāra, abo ni bo bumva ijambo bakaryemera banezerewe, ariko ntibagire imizi. Bīzera umwanya muto, maze ibibagerageza byabageraho bagasubira inyuma. 
LUK.8.14	Izaguye mu mahwa ni bo bumva ijambo, maze bakigenda amaganya n'ubutunzi n'ibinezeza byo muri ubu bugingo bikabaniga, ntibere imbuto nziza. 
LUK.8.15	Izo mu butaka bwiza, abo ni bo bumva ijambo bakarifata neza mu mitima inyuzwe myiza, bakera imbuto ku bwo kwihangana.
LUK.8.17	 kuko ari nta cyahishwe kitazagaragara, cyangwa icyakorewe mu rwiherero kitazerekanirwa mu mucyo.
LUK.8.19	Nuko nyina na bene se baza aho ari, ariko ntibabasha kumugeraho kuko abateraniye aho ari benshi. 
LUK.8.20	Abantu baramubwira bati “Nyoko na bene so bahagaze hanze baragushaka.”
LUK.8.21	Na we arabasubiza ati “Mama na bene Data ni aba bumva ijambo ry'Imana bakarikomeza.”
LUK.8.22	Nuko ku munsi umwe, yikirana mu bwato n'abigishwa be arababwira ati “Twambuke tujye hakurya y'inyanja.” Baratsuka. 
LUK.8.23	Bakigenda arasinzira, mu nyanja hamanuka umuyaga urimo ishuheri ubwato bwenda kurengerwa n'amazi, bajya mu kaga. 
LUK.8.24	Baraza baramukangura bati “Databuja, Databuja! Turapfuye.”
LUK.8.24	Akangutse acyaha umuyaga n'amazi yihindurije birahosha, haba ituze. 
LUK.8.25	Arababaza ati “Kwizera kwanyu kuri he?”
LUK.8.25	Na bo baratinya, barumirwa baravugana bati “Mbega uyu ni muntu ki, utegeka umuyaga n'amazi bikamwumvira?”
LUK.8.26	Nuko bafata hakurya mu gihugu cy'Abagadareni, giteganye n'i Galilaya. 
LUK.8.27	Yomotse imusozi, umuntu utewe n'abadayimoni wavuye mu mudugudu ahura na we. Uwo yari amaze iminsi myinshi yambaye ubusa, nta nzu yabagamo ahubwo yabaga mu mva. 
LUK.8.28	Abonye Yesu arataka, amwikubita imbere avuga ijwi rirenga ati “Duhuriye he, Yesu Mwana w'Imana Isumbabyose? Ndakwinginze ntunyice urupfu n'agashinyaguro.” 
LUK.8.29	(Icyatumye abivuga atyo ni uko Yesu yari ategetse dayimoni kumuvamo. Dayimoni yajyaga amutera kenshi, ni cyo gituma bamurindaga bamubohesheje iminyururu y'amaboko n'ingoyi y'amaguru akabicagagura, dayimoni akamwirukana mu butayu.)
LUK.8.30	Yesu aramubaza ati “Witwa nde?”
LUK.8.30	Aramusubiza ati “Ingabo ni ryo zina ryanjye”, kuko abadayimoni bamurimo bari benshi. 
LUK.8.31	Baramwinginga ngo atabategeka kujya ikuzimu.
LUK.8.32	Kuri uwo musozi hari umugana w'ingurube nyinshi zirisha, nuko baramwinginga ngo abakundire kuzinjiramo, 
LUK.8.33	arabemerera. Abadayimoni bava muri uwo muntu binjira muri izo ngurube, umugana wirukira ku gacuri, zīsuka mu nyanja zihotorwa n'amazi.
LUK.8.34	Abungeri bazo babibonye barahunga, babwira abo mu midugudu no mu mihana ibyabaye. 
LUK.8.35	Barahaguruka bajya kubireba, baza aho Yesu ari basanga uwo muntu wavanywemo abadayimoni yicaye ku birenge bya Yesu yambaye, azi ubwenge nk'abandi, baratinya. 
LUK.8.36	Ababonye uko uwari watewe n'abadayimoni yakijijwe, babibwira abandi. 
LUK.8.37	Abantu bose bo mu gihugu cy'Abagadareni gihereranye n'aho, baramusaba ngo abavire mu gihugu kuko bari batewe n'ubwoba bwinshi. Nuko Yesu yikira mu bwato asubirayo. 
LUK.8.38	N'uwo muntu wavanywemo abadayimoni, amwingingira kujyana na we.
LUK.8.38	Ariko Yesu aramusezerera ati 
LUK.8.39	“Witahire ujye iwawe, ubatekerereze ibyo Imana igukoreye byose.”
LUK.8.39	Aragenda yamamaza ibyo Yesu yamukoreye byose, abyogeza mu mudugudu wose.
LUK.8.40	Yesu akigaruka abantu baramwakira, kuko bose bari bamutegereje. 
LUK.8.41	Nuko haza umuntu witwaga Yayiro, umutware w'isinagogi, araza yikubita imbere y'ibirenge bya Yesu aramwinginga ngo aze iwe, 
LUK.8.42	kuko yari afite umukobwa w'ikinege wari umaze imyaka nka cumi n'ibiri avutse, kandi yari agiye gupfa.
LUK.8.42	Akigenda abantu benshi baramubyiga. 
LUK.8.43	Haza umugore uri mu mugongo wari ubimaranye imyaka cumi n'ibiri, kandi wari warahaye abavūzi ibintu bye byose, nyamara ntihagira n'umwe ubasha kumuvura. 
LUK.8.44	Nuko amuturuka inyuma akora ku nshunda z'umwenda we, uwo mwanya amaraso arakama. 
LUK.8.45	Yesu arabaza ati “Ni nde unkozeho?”
LUK.8.45	Bose bamaze guhakana, Petero na bagenzi be baravuga bati “Erega Databuja, abantu barakugose, barakubyiga nawe ukabaza uti ‘Ni nde unkozeho?’ ”
LUK.8.46	Yesu aramubwira ati “Hariho unkozeho, kuko menye ko imbaraga imvuyemo.” 
LUK.8.47	Nuko uwo mugore abonye ko adahishwa, aza ahinda umushyitsi amwikubita imbere, amubwirira mu maso ya bose icyatumye amukoraho, n'uko akize muri ako kanya. 
LUK.8.48	Yesu aramubwira ati “Mwana wanjye, kwizera kwawe kuragukijije, genda amahoro.”
LUK.8.49	Nuko akivuga haza umuntu uvuye mu nzu ya wa mutware w'isinagogi ati “Umukobwa wawe yapfuye, wikwirirwa urushya umwigisha.”
LUK.8.50	Ariko Yesu abyumvise aramusubiza ati “Witinya, izere gusa arakira.”
LUK.8.51	Ageze mu muryango w'inzu ntiyagira undi muntu akundira kwinjiranamo na we, keretse Petero na Yohana na Yakobo, na se w'umukobwa na nyina. 
LUK.8.52	Asanga bose barira bamuborogera. Arababwira ati “Mwirira ntapfuye, ahubwo arasinziriye.”
LUK.8.53	Baramuseka cyane kuko bari bazi ko yapfuye. 
LUK.8.54	Amufata ukuboko avuga cyane ati “Mukobwa, byuka!” 
LUK.8.55	Umwuka we uragaruka uwo mwanya arahaguruka, Yesu abategeka ko bamufungurira. 
LUK.8.56	Ababyeyi be baratangara cyane, ariko arabihanangiriza ngo batagira uwo babwira ibibaye.
LUK.9.1	Ahamagara abigishwa be cumi na babiri arabateranya, abaha ubushobozi n'ubutware bwo gutegeka abadayimoni bose no gukiza indwara. 
LUK.9.2	Abatuma kubwiriza abantu iby'ubwami bw'Imana no gukiza abarwayi, 
LUK.9.3	 ati “Ntimujyane ikintu cy'urugendo, ari inkoni cyangwa imvumba, cyangwa umutsima cyangwa ifeza, kandi ntimujyane amakanzu abiri. 
LUK.9.4	Inzu yose mucumbikamo abe ari yo mugumamo, kandi muzagenda ari yo muvuyemo. 
LUK.9.5	Kandi abatazabemera bose, nimuva muri uwo mudugudu mukunkumure umukungugu wo mu birenge byanyu, ngo bibabere ikimenyetso cyo kubahamiriza.”
LUK.9.6	Nuko barahaguruka bajya mu birorero byose, babwira abantu ubutumwa bwiza kandi hose barabakiza.
LUK.9.8	abandi bati “Ni Eliya wabonetse”, abandi bati “Ni umwe mu bahanuzi ba kera wazutse.” 
LUK.9.9	Herode we ati “Yohana sinamuciye igihanga? None se uwo ni nde numvaho ibimeze bityo?” Nuko ashaka kumureba.
LUK.9.10	Intumwa zigarutse zitekerereza Yesu ibyo zakoze byose, arazijyana azīhererana ahegereye umudugudu witwa Betsayida. 
LUK.9.11	Abantu babimenye baramukurikira, arabākira avugana na bo iby'ubwami bw'Imana, n'abashaka gukizwa arabakiza.
LUK.9.12	Nuko umunsi ukuze abo cumi na babiri baramwegera bati “Sezerera abantu ngo bajye mu birorero no mu ngo biri hafi, bacumbike babone ibyokurya kuko aho turi ari mu kidaturwa.”
LUK.9.13	Arababwira ati “Mube ari mwe mubagaburira.”
LUK.9.13	Bati “Dusigaranye imitsima itanu n'ifi ebyiri, keretse twagenda tukagurira aba bantu bose ibyokurya.” 
LUK.9.14	Bari abagabo nk'ibihumbi bitanu.
LUK.9.14	Nuko abwira abigishwa be ati “Nimwicaze abantu inteko, inteko yose ibemo abantu mirongo itanu mirongo itanu.”
LUK.9.15	Babigenza batyo barabicaza bose. 
LUK.9.16	Yenda ya mitsima itanu n'ifi ebyiri, arararama areba mu ijuru, arabishimira, arabimanyagura abiha abigishwa be ngo na bo babīshyire abo bantu. 
LUK.9.17	Nuko bararya bose barahaga, bateranya ubuvungukira busigaye bwuzura intonga cumi n'ebyiri.
LUK.9.18	Nuko ubwo yasengaga yiherereye, abigishwa be bari kumwe na we arababaza ati “Mbese abantu bagira ngo ndi nde?”
LUK.9.20	Petero aramusubiza ati “Uri Kristo w'Imana.”
LUK.9.21	Arabihanangiriza, arabategeka ngo batagira undi babibwira 
LUK.9.22	ati “Umwana w'umuntu akwiriye kubabazwa uburyo bwinshi, akazangwa n'abakuru n'abatambyi bakuru n'abanditsi, akicwa, akazurwa ku munsi wa gatatu.”
LUK.9.24	 kuko ushaka kurengera ubugingo bwe azabubura, ariko utīta ku bugingo bwe ku bwanjye ni we uzabukiza. 
LUK.9.25	Umuntu byamumarira iki gutunga ibintu byose byo mu isi narimbuza ubugingo bwe, cyangwa nabwakwaho indishyi? 
LUK.9.26	Kuko umuntu wese ugira isoni zo kunyemera no kwemera amagambo yanjye, Umwana w'umuntu na we azagira isoni zo kumwemera, ubwo azaza afite ubwiza bwe n'ubwa se, n'ubw'abamarayika bera. 
LUK.9.27	Ariko ndababwira ukuri yuko muri aba bahagaze hano, harimo bamwe batazumva ubusharire bw'urupfu batari babona ubwami bw'Imana.”
LUK.9.29	Agisenga ishusho yo mu maso he ihinduka ukundi, n'imyenda ye iba imyeru irarabagirana. 
LUK.9.30	Abantu babiri bavugana na we, ari bo Mose na Eliya, 
LUK.9.31	baboneka bafite ubwiza bavuga iby'urupfu rwe, urwo agiye kuzapfira i Yerusalemu. 
LUK.9.32	Petero n'abo bari bari kumwe barahunikiraga, bakangutse rwose babona ubwiza bwe burabagirana, n'abo bantu babiri bahagararanye na we. 
LUK.9.33	Nuko bagiye gutandukana na we Petero abwira Yesu ati “Databuja, ni byiza ubwo turi hano. Reka duce ingando eshatu, imwe yawe, indi ya Mose, n'indi ya Eliya.” Yabivugiye atyo kuko atari azi icyo avuga.
LUK.9.34	Akibivuga igicu kiraza kirabakingiriza, bakinjiyemo baratinya. 
LUK.9.35	 Ijwi rivugira muri icyo gicu riti “Nguyu Umwana wanjye natoranije mumwumvire.”
LUK.9.36	Iryo jwi ricecetse babona Yesu ari wenyine, barabizigama ntibagira uwo babwira ikintu cyose mu byo babonye.
LUK.9.37	Nuko bukeye bwaho, bamanutse ku musozi abantu benshi baramusanganira. 
LUK.9.38	Nuko umugabo wo muri bo avuga ijwi rirenga ati “Mwigisha, ndakwinginze ndebera uyu muhungu wanjye, kuko namubyaye ari ikinege. 
LUK.9.39	Dayimoni iyo amufashe aramwanisha, akamutigisa akamubirisha ifuro, kandi amaze kumutera imibyimba myinshi akamuvamo bimuruhije cyane. 
LUK.9.40	Ninginze abigishwa bawe ngo bamwirukane, ariko ntibabibasha.”
LUK.9.41	Yesu arabasubiza ati “Yemwe bantu b'iki gihe biyobagiza, nzageza he kubana namwe no kubihanganira? Zana hano umuhungu wawe.”
LUK.9.42	Umuhungu akīza dayimoni amutura hasi, aramutigisa cyane. Yesu acyaha dayimoni, akiza umwana amusubiza se. 
LUK.9.43	Bose batangazwa n'igitinyiro cy'Imana.
LUK.9.43	Ariko bose bagitangarira ibyo Yesu yakoze byose, abwira abigishwa be ati 
LUK.9.44	“Nimutegere amatwi aya magambo: Umwana w'umuntu agiye kuzagambanirwa, afatwe n'abantu.” 
LUK.9.45	Ariko ntibamenya iryo jambo kuko bari barihishwe ngo batarimenya, ndetse batinya kumubaza iryo ari ryo.
LUK.9.47	Ariko Yesu amenya ibyo bibwira mu mitima yabo, azana umwana muto amuhagarika iruhande rwe, 
LUK.9.48	 arababwira ati “Uwemera uyu mwana muto mu izina ryanjye ni jye aba yemeye, kandi unyemera aba yemeye n'Uwantumye, kuko uworoheje muri mwe hanyuma y'abandi bose ari we mukuru.”
LUK.9.49	Yohana aramusubiza ati “Databuja, twabonye umuntu wirukana abadayimoni mu izina ryawe turamubuza kuko atadukurikira.”
LUK.9.50	Yesu aramubwira ati “Ntimumubuze kuko utari umwanzi wanyu aba ari mu ruhande rwanyu.”
LUK.9.51	Nuko iminsi ye yo kuzamurwa mu ijuru yenda gusohora, agambirira kujya i Yerusalemu abikomeje cyane. 
LUK.9.52	Atuma integuza imbere ye, ziragenda zijya mu kirorero cy'Abasamariya kumuteguriza. 
LUK.9.53	Ariko ntibamwakira kuko yari yerekeye i Yerusalemu. 
LUK.9.54	 Abigishwa be, Yakobo na Yohana, babibonye baramubaza bati “Databuja, urashaka ko dutegeka umuriro ngo uve mu ijuru, ubarimbure nk'uko Eliya yabikoze?”
LUK.9.55	Ariko arahindukira arabacyaha ati “Ntimuzi umwuka ubarimo uwo ari wo, kuko Umwana w'umuntu ataje kurimbura abantu, ahubwo yaje kubakiza.” 
LUK.9.56	Nuko bajya mu kindi kirorero.
LUK.9.57	Bakiri mu nzira umuntu aramubwira ati “Ndagukurikira aho ujya hose.”
LUK.9.58	Yesu aramubwira ati “Ingunzu zifite imyobo n'ibiguruka mu kirere bifite ibyari, ariko Umwana w'umuntu ntafite aho kurambika umusaya.”
LUK.9.59	Maze abwira undi muntu ati “Nkurikira.”
LUK.9.59	Na we ati “Databuja, reka mbanze ngende mpambe data.”
LUK.9.60	Yesu ati “Reka abapfuye bihambire abapfuye babo, ariko wowe ho genda ubwirize abantu iby'ubwami bw'Imana.”
LUK.9.62	Ariko Yesu aramubwira ati “Nta muntu ufashe isuka ureba inyuma, ukwiriye ubwami bw'Imana.”
LUK.10.1	Hanyuma y'ibyo Umwami Yesu atoranya abandi mirongo irindwi, atuma babiri babiri ngo bamubanzirize, bajye mu midugudu yose n'aho yendaga kujya hose. 
LUK.10.2	 Arababwira ati “Ibisarurwa ni byinshi ariko abasaruzi ni bake, nuko mwinginge nyir'ibisarurwa ngo yohereze abasaruzi mu bisarurwa bye. 
LUK.10.3	 Nimugende, dore mbatumye mumeze nk'abana b'intama hagati y'amasega. 
LUK.10.4	 Ntimujyane uruhago rurimo ifeza, cyangwa imvumba, cyangwa inkweto, kandi ntimugire uwo muramutsa muri mu nzira. 
LUK.10.5	Nimujya mugira inzu yose mwinjiramo, mubanze muvuge muti ‘Amahoro abe muri iyi nzu.’ 
LUK.10.6	Niba harimo umunyamahoro, amahoro yanyu azaba kuri we. Natahaba, amahoro yanyu azabagarukira. 
LUK.10.7	 Kandi iyo nzu abe ari yo mugumamo, musangire na bo ibyokurya n'ibyokunywa, kuko umukozi akwiriye guhembwa. Ntimuzacumbukure mu nzu ngo muraraguze. 
LUK.10.8	Kandi umudugudu wose mujyamo bakabākīra murye ibyo babahaye, 
LUK.10.9	mukize abarwayi bawurimo mubabwire muti ‘Ubwami bw'Imana burabegereye.’ 
LUK.10.10	 Ariko umudugudu wose mujyamo ntibabākire, musohoke mujye mu nzira zawo muti 
LUK.10.11	‘Umukungugu wo mu mudugudu wanyu wari ufashe mu birenge byacu, turawubakunkumuriye. Ariko mumenye ibi yuko ubwami bw'Imana bubegereye.’ 
LUK.10.12	 Ndababwira yuko ku munsi w'amateka, i Sodomu hazahanwa igihano cyakwihanganirwa kuruta icy'uwo mudugudu.
LUK.10.14	Ariko ku munsi w'amateka, i Tiro n'i Sidoni hazahanwa igihano cyakwihanganirwa kuruta icyanyu. 
LUK.10.15	 Nawe Kaperinawumu, ushyizwe hejuru ndetse ugeze ku ijuru? Uzamanuka ugere ikuzimu.
LUK.10.17	Nuko abo mirongo irindwi bagaruka bishīma bati “Databuja, abadayimoni na bo baratwumvira mu izina ryawe.”
LUK.10.18	Arababwira ati “Nabonye Satani avuye mu ijuru, agwa asa n'umurabyo. 
LUK.10.19	 Dore mbahaye ubutware bwo kujya mukandagira inzoka na sikorupiyo, n'imbaraga z'Umwanzi zose, kandi nta kintu kizagira icyo kibatwara rwose. 
LUK.10.20	Ariko ntimwishimire yuko abadayimoni babumvira, ahubwo mwishimire yuko amazina yanyu yanditswe mu ijuru.”
LUK.10.21	Muri uwo mwanya yishimira cyane mu Mwuka Wera aravuga ati “Ndagushima Data, Mwami w'ijuru n'isi, kuko ibyo wabihishe abanyabwenge n'abahanga, ukabimenyesha abana bato. Ni koko Data, kuko ari ko wabishatse.
LUK.10.23	Ahindukirira abigishwa, ababwira biherereye ati “Hahirwa amaso areba ibyo mureba, 
LUK.10.24	kandi ndababwira yuko abahanuzi benshi n'abami bifuje kureba ibyo mureba ntibabireba, no kumva ibyo mwumva ntibabyumva.”
LUK.10.26	Na we aramubaza ati “Byanditswe bite mu mategeko? Icyo uyasomamo ni iki?”
LUK.10.29	Ariko uwo ashatse kwigira shyashya abaza Yesu ati “Harya mugenzi wanjye ni nde?”
LUK.10.30	Yesu aramusubiza ati “Hariho umuntu wavaga i Yerusalemu amanuka i Yeriko, agwa mu gico cy'abambuzi baramwambura, baramukubita, barigendera bamusiga ashigaje hato agapfa. 
LUK.10.31	Nuko umutambyi amanuka muri iyo nzira, amubonye arakikira arigendera. 
LUK.10.32	N'Umulewi ahageze na we abigenza atyo, amubonye arakikira arigendera. 
LUK.10.33	 Ariko Umusamariya wari mu rugendo na we amugeraho, amubonye amugirira impuhwe 
LUK.10.34	aramwegera amupfuka inguma, amwomoza amavuta ya elayo na vino, amushyira ku ndogobe ye amujyana mu icumbi ry'abashyitsi aramurwaza. 
LUK.10.35	Bukeye bwaho yenda idenariyo ebyiri aziha nyir'icumbi ati ‘Umurwaze kandi ibyo uzatanga byose birenze ku byo ngusigiye, nzabikwishyura ngarutse.’
LUK.10.36	“Noneho utekereza ute? Muri abo batatu ni nde wabaye mugenzi w'uwo waguye mu bambuzi?”
LUK.10.37	Aramusubiza ati “Ni uwamugiriye imbabazi.”
LUK.10.37	Yesu aramubwira ati “Genda nawe ugire utyo.”
LUK.10.39	Uwo yari afite mwene se witwaga Mariya, yari yicaye hafi y'ibirenge by'Umwami Yesu yumva ijambo rye. 
LUK.10.40	Ariko Marita yari yahagaritswe umutima n'imirimo myinshi yo kuzimāna. Aho bigeze aramwegera aramubaza ati “Databuja, ntibikubabaje yuko mwene data yampariye imirimo? Wamubwiye akamfasha?”
LUK.10.41	Umwami Yesu aramusubiza ati “Marita, Marita, uriganyira wirushya muri byinshi 
LUK.10.42	ariko ngombwa ni kimwe, kandi Mariya ahisemo umugabane mwiza atazakwa.”
LUK.11.1	Nuko ari ahantu hamwe asenga, arangije umwe mu bigishwa be aramubwira ati “Databuja, twigishe gusenga nk'uko Yohana yigishije abigishwa be.”
LUK.11.2	Arababwira ati “Nimusenga mujye muvuga muti
LUK.11.2	‘Data wa twese,
LUK.11.2	Izina ryawe ryubahwe,
LUK.11.2	Ubwami bwawe buze.
LUK.11.3	Uko bukeye ujye uduha ibyokurya byacu by'uwo munsi.
LUK.11.4	Utubabarire ibyaha byacu,
LUK.11.4	Kuko natwe duharira abarimo imyenda yacu bose,
LUK.11.4	Kandi ntuduhāne mu bitwoshya.’
LUK.11.5	Arababwira ati “Ni nde muri mwe ufite incuti, wayisanga mu gicuku akayibwira ati ‘Ncuti yanjye, nzimānira imitsima itatu 
LUK.11.6	kuko incuti yanjye impingutseho ivuye mu rugendo, none nkaba ntafite icyo nyizimānira’, 
LUK.11.7	uwo mu nzu akamusubiza ati ‘Windushya namaze kugarira, ndaryamye n'abana banjye na bo ni uko, sinshoboye kubyuka ngo nyiguhe.’ 
LUK.11.8	Ndababwira yuko nubwo atabyukijwe no kuyimuhera ko ari incuti ye, ariko kuko amutitirije biramubyutsa amuhe ibyo ashaka byose.
LUK.11.9	“Nanjye ndababwira nti ‘Musabe muzahabwa, mushake muzabona, mukomange ku rugi muzakingurirwa, 
LUK.11.10	kuko umuntu wese usaba ahabwa, ushatse abona, n'ukomanga agakingurirwa.’ 
LUK.11.11	Mbese ni nde muri mwe ufite umwana, yamusaba umutsima akamuha ibuye? Cyangwa ifi akamuha inzoka? 
LUK.11.12	Cyangwa yamusaba igi akamuha sikorupiyo? 
LUK.11.13	None se ko muzi guha abana banyu ibyiza kandi muri babi, So wo mu ijuru ntazarushaho rwose guha Umwuka Wera abamumusabye?”
LUK.11.14	Yesu yirukanye dayimoni utera uburagi mu muntu, dayimoni amaze kuva mu kiragi kiravuga, abantu baratangara. 
LUK.11.15	 Ariko bamwe muri bo baravuga bati “Ni Belizebuli umutware w'abadayimoni umuha kwirukana abadayimoni.”
LUK.11.17	Ariko amenya ibyo bibwira arababwira ati “Ubwami bwose iyo bwigabanije ubwabwo burarimbuka, n'inzu ikagwira indi. 
LUK.11.18	Na Satani niba yigabanije ubwe ubwami bwe bwakomeza bute, ko muvuga yuko ari Belizebuli umpa kwirukana abadayimoni? 
LUK.11.19	Ariko jyewe niba Belizebuli ari we umpa kwirukana abadayimoni, abana banyu ni nde ubaha kubirukana? Ni cyo gituma abo ari bo babacira urubanza. 
LUK.11.20	Ariko urutoki rw'Imana niba ari rwo rumpa kwirukana abadayimoni, noneho ubwami bw'Imana bubaguye gitumo.
LUK.11.21	“Umunyamaboko ufite intwaro iyo arinze urugo rwe, ibintu bye biba amahoro. 
LUK.11.22	Ariko umurusha amaboko iyo amuteye akamunesha, izo ntwaro ze zose yari yizigiye arazimwambura, n'ibyo amunyaze akabigaba.
LUK.11.24	“Dayimoni iyo avuye mu muntu, azerera ahadafite amazi ashaka uburuhukiro, akabubura akavuga ati ‘Reka nisubirire mu nzu yanjye navuyemo.’ 
LUK.11.25	Yagerayo agasanga ikubuye kandi iteguye, 
LUK.11.26	akagenda akazana abandi badayimoni barindwi bamurusha kuba babi, bakinjira bakayibamo. Nuko ibyo hanyuma by'uwo muntu bikarusha ibya mbere kuba bibi.”
LUK.11.27	Akivuga ibyo, umugore wari muri iryo teraniro ashyira ejuru aramubwira ati “Hahirwa inda yakubyaye n'amabere yakonkeje.”
LUK.11.28	Na we aramusubiza ati “Ahubwo hahirwa abumva ijambo ry'Imana bakaryitondera.”
LUK.11.30	 Nk'uko Yona yabereye ab'i Nineve ikimenyetso, ni ko Umwana w'umuntu azakibera ab'iki gihe. 
LUK.11.31	 Umugabekazi w'igihugu cy'ikusi, azahagurukana n'ab'iki gihe ku munsi w'amateka abatsindishe, kuko yavanywe ku mpera y'isi no kumva ubwenge bwa Salomo, kandi dore uruta Salomo ari hano. 
LUK.11.32	 Kandi ab'i Nineve bazahagurukana n'ab'iki gihe ku munsi w'amateka babatsindishe, kuko bihannye ubwo bumvaga kwigisha kwa Yona, kandi dore uruta Yona ari hano.
LUK.11.34	Itabaza ry'umubiri ni ijisho. Nuko rero ijisho ryawe iyo rirebye neza, n'umubiri wawe wose ugira umucyo. Ariko iyo ribaye ribi, umubiri wawe wose ugira umwijima. 
LUK.11.35	Witonde rero umucyo ukurimo utaba umwijima. 
LUK.11.36	Niba umubiri wawe wose usābwa n'umucyo, ari nta mwanya n'umwe ufite umwijima, umubiri wose uzaba ufite umucyo nk'uko itabaza rikumurikishiriza umucyo waryo.”
LUK.11.37	Akivuga ibyo Umufarisayo aramurarika ngo aze iwe basangire, arinjira, aricara arafungura. 
LUK.11.38	Umufarisayo abibonye atyo, aratangara kuko atabanje kujabika intoki mu mazi ngo abone kurya. 
LUK.11.39	Umwami Yesu aramubwira ati “Mwebwe Abafarisayo mwoza inyuma y'igikombe n'imbehe, ariko mu nda yanyu huzuyemo ubwambuzi n'ububi. 
LUK.11.40	Mwa bapfu mwe, iyaremye inyuma si yo yaremye no mu nda? 
LUK.11.41	Ahubwo ibiri imbere abe ari byo mutangana ubuntu, ni bwo byose bizabatunganira.
LUK.11.43	“Muzabona ishyano Bafarisayo, kuko mukunda intebe z'icyubahiro mu masinagogi, no kuramukirizwa mu maguriro! 
LUK.11.44	Muzabona ishyano kuko mumeze nk'ibituro bitagaragara, abantu bakabigendaho batabizi!”
LUK.11.45	Umwe mu bigishamategeko aramusubiza ati “Mwigisha, ubwo uvuze utyo natwe uradututse.”
LUK.11.46	Aramubwira ati “Namwe abigishamategeko muzabona ishyano, kuko mwikoreza abantu imitwaro idaterurwa, namwe ubwanyu ntimuyikozeho n'urutoki! 
LUK.11.47	Muzabona ishyano kuko mwubaka ibituro by'abahanuzi, ba sogokuruza banyu ari bo babīshe! 
LUK.11.48	Uko ni ko mwihamije ko mushima ibyo ba sogokuruza banyu bakoze, kuko ari bo babīshe namwe mukabubakira ibituro. 
LUK.11.49	Ni cyo cyatumye Imana ivugisha ubwenge bwayo iti ‘Nzabatumaho abahanuzi n'intumwa bamwe muri bo bazabica, abandi bazabarenganya’, 
LUK.11.50	kugira ngo amaraso y'abahanuzi bose yavuye uhereye ku kuremwa kw'isi abazwe ab'iki gihe, 
LUK.11.51	 uhereye ku maraso ya Abeli ukageza ku maraso ya Zakariya wiciwe hagati y'igicaniro n'urusengero. Ni koko ndababwira yuko azabazwa ab'iki gihe.
