MAT.1.1	Naunaekhimayun Jesus Christim hivullingita atingit, tamna Davidim kingullia, Abrahamlu kingullia. 
JHN.19.31	Talva Sabbath kaglilengman Jewmiut tukhiagvigiyaat Pilate kikiaktuktauhimayun niungit navgukuvlugit timaillu piektaukuvlugillu. Taimaliyun kikiaktuktauhimayun nivingakunagit haniagutimingni Sabbathguktillugu, uvlua tamna nagugiyauyukhauman 
JHN.19.32	Talva anguyaktit kaiyun hivullium niugik navgukhugik, aipatatauk kikiaktuktaukatauyum. 
JHN.19.33	Upagamitkuli Jesus tamna tukuhimagaluangman niugik navgugngitaik. 
JHN.19.34	Anguyaktilli ilangata Jesusim haniagun kapiyagaluanga nauligagmun, tayyainaglu auk imeglu kuviyuk. 
JHN.19.35	Inuk ilaa tamainik kungniagami uniuyyiyuk, uniuyyivaktuk ilumuktumik ilipfi ukpekuvluhi. Itkumayumik uniuyyivangman God ilihimayuk. 
JHN.19.36	Anguyaktit taimalivaktun Godim ukauhiit ilumukuvlugit, “Tapfuma hauningit atauhinaklunin naviktaungitugaluak.” 
JHN.19.37	Aahin tiitigakhimayuk imaatun, “Tamna kapihimayaat tautugniaktaat.”
JHN.19.38	Kinguagun Joseph Arimatheamiutak, maliguhuktuk Jesusmun ukakhimaitumik tapfumuna ekhigigamigit Jewmiut, tukhiaktuk Pilatemun Jesusim timaa tutkukuvlugu. Pilatem pipkaktaa tamna. 
JHN.19.39	Nicodemuslu, kangayuak kailgakpaktuk Jesusmun unuktillugu, kaiyuk natkakhuni tipigiktumik, nanunmik aloemiglu, ukumaitilakhainik 100 lbnik. 
JHN.19.40	Tapkua Jesusim timaa tigugamikku nimektaa kalikumik tipalaakhivlugu malikhugit Jewmiut pitkuhiit tukungayunun iluvektaupata. 
JHN.19.41	Aahin Jesusim kikiaktuktauvianin nauttivik kanitumiituk. Taikanilu iluvekhak iluliukhimayuk ituk atukhimaitumik. 
JHN.19.42	Sabbathlu tikiyyukilengman iluvek kaninman iluanun Jesus iliyaat.
JHN.20.1	Uvlumi hivullekpangani kaulgaktinagu Mary Magdalamiutak iluvgaanungaktuk iluvengmin uyagak akhaluakhimayuk tautukhugu. 
JHN.20.2	Talva akpahiyuk Simon Petermun allamunlu, Jesusim nagugiyaanun, ukautivlugik, “Atanek aullautiyaat iluvgaanin, namunlunin ilimangayyuk naluyugut.” 
JHN.20.3	Talva Peter, aipalu anigamik iluvgaanungaktuk 
JHN.20.4	Tamangmik akpahiyuk aipali kaiyumitkiyaugami Petermin iluvek tikitta hivulliuvluni. 
JHN.20.5	Ukuvluni iluanun kungniaktuk annugain iliyauyun tautuktain, itegngitugaluak. 
JHN.20.6	Simon Peterlu kaimiyuk malikhugu, tamnali iluanun itegami annugainik iliyauhimayunik tautukhuni. 
JHN.20.7	Kalikuli atukhimayugaluak niakuanun annugainilli allani itngitpiaktuk aahini iliyauvluni nimekhimayumik. 
JHN.20.8	Talva maliguta aipa, tikilgaktuk iluvgaanun, itektainaktuk tamainik tautukhuni ukpekhunilu. 
JHN.20.9	Tapfumanili Jesus makittukhauman iluvgaanin tiitigakhimangmata Godim Ukauhiani kangekhimangitugaluit. 
JHN.20.10	Taima maligutait angilgaktun.
JHN.20.11	Mary iluvium hilataani nangektuk kiavluni. Kiatillugu ukuyuk kungniakuvlugu iluanun. 
JHN.20.12	Talva angnak ihagulingnik malgunik annugalingnik kakuktanik tautuktuk. Tamangmik ikhivayuk aipa Jesusim nallaviata niakuani, aipanga itigaini. 
JHN.20.13	Tapkuak ukallautiyaak, “Angnak hug kialekkin?” Kiuyaik, “Inuit aullautimayyuk ataniga namunlunin ilimangayyuk nalugama.” 
JHN.20.14	Taima ukagami kiviaktuk tautukhugu Jesus ilitakhingitugaluak tapfuminga. 
JHN.20.15	Jesusim ukallautiyaa, “Angnak hug kialekkin? Kina kenilekkiuk?” Marym tamna nauttiyekhiyiunahugigamiuk kiuyaa, “Atanek aahinun aullautivagungni namun iliyautilakhaanik ukautinga, uvanga piniakuvlugu.” 
JHN.20.16	Jesusim taivlugu ukaktuk, “Mary”. Kiviagamilu angnak kiuvluni ukaktuk, “Rabboni”, Jewmiutun (immatun – ilihauyyi). 
JHN.20.17	Jesusim ukallautiyaa, “Tayya tigutailunga Angutimun maiyukhimangnginama, maligutimnulli aigiagin ukallautikuvlugit imaatun, 'Maiyugahualekkunga Angutimun Angutipfingnunlu, Godimnun, Godipfingnullu.' ” 
JHN.20.18	Talva Mary Magdalamiutak aivluni uniutiyait maligutait ukakhuni, “Atanek tautukakhugu”, ukautigivugit ukakhimayain.
JHN.20.19	Tapfumani, uvlut hivulliani, unuktinagu, maligutait iglumi ikatigiktun ukuak kilutakhimayuk Jewmiut ekhinangmata. Talva Jesus hagyaektuk akungani nangekhuni ukallautiyain, “Naamakpagluhi”. 
JHN.20.20	Taimatun ukagami takupkaktitain algaminik hanigaminiglu. Maligutaitalu Atanek takugamitku kuviataktun. 
JHN.20.21	Jesusim tapkua ukallautimiyain, “Naamakpagluhi. Angutima tilivagmanga taimatun tiliyapfi uvanga.” 
JHN.20.22	Taima ukagami Jesusim anekhagvigiyain ukautivlugit, “Anengnek Naguyuk pihiuk. 
JHN.20.23	Inuit huinekutait ihumagiyunaegupfigit, tapkua ihumagiyauyunaektun, allat huinekutait ihumagiyunaegngitkupfigit, talva ihumagiyauyunaeglimaitugaluit.”
JHN.20.24	Thomaslu, 12m ilangat, Maligiyumik taiyauyuk maligutainiitngituk Jesusim tikinmagit. 
JHN.20.25	Maligutaita allat ukallautiyaat, “Atanek tautukpaktakkut uvagut.” Tapfuma kiuyain, “Uvanga tautugngitkupkit kikiaktugnigit algaini, aktuglugik tikimnun, algagalu ilingitkupku hanigaanun ukpegunaitpiaktunga.”
JHN.20.26	Talvangaanin uvlut 8n nungukaktillugit maligutait katimavagmiyun iglumi Thomas tapkunaniitillugu. Ukuak kilutakhimakaluaktillugu Jesus hagyaektuk nangekhuni akungani ukautivlugit, “Naamakpagluhi” 
JHN.20.27	Talva Thomas ukallautiyaa “Tikin nauk, algatka tautuglugit, algaktillu ihakit ililugit hanikamnun, ukpegpaglutillu ukpeguekhimaitumik.” 
JHN.20.28	Thomasim kiuyaa, “Ataniga Godigalu.” 
JHN.20.29	Jesusim ukallautiyaa, “Tautugangma ukpekpin? Kuviahukiyauyun tapkua ukpegluaktun uvamnik tautugngitkaluaktillugit.”
JHN.20.30	Jesus naunaikutanik allanik amigaitunik pivaktuk maligutaita takuangni, tapkuali tiitigakhimangngitpiaktun umani makpigagmi. 
JHN.20.31	Ilangilli ukua tiitigakhimayugaluit ilipfi ukpekuvluhi Jesusmun Christiuman, Godim engnigmagu, aahin, ukpegupfi inunikakuvluhi tapfuma atkagun.
JHN.21.1	Kinguagun Jesus maligutiminun hagyaegmiyuk tahium taiyauyum Tiberiasmik hinaanitillugit. Imaatun hagyaektuk. 
JHN.21.2	Simon Peter, Thomaslu taiyauyuk Maligiyumik, Nathanael Canamiutak Galileemin, Zebedeem engningillu, maligutaillu malguk ikatigiktun. 
JHN.21.3	Simon Peterm ukallautiyain, “Ikalukhiugiaktugniaktunga.” Tapkua kiuyaat, “Uvagut uktukataunialektugutauk.” Anigamik umiagmun ikiyun, unugaalugli ikalugngitpiaktugaluit. 
JHN.21.4	Kaulgaktilluguli Jesus hinaani ituk, maligutaitali ilitagingitagaluangat. 
JHN.21.5	Jesusim ukallautiyain, “Ilannatka ikalukpakpihi?” Kiuyaat, “Imanak”. 
JHN.21.6	Tapfuma ukallautiyain, “Kuvyakhi ningitihiuk umiapfi avataanun ikalukuvluhi.” Tayyainak ningitigamitku ikaluit amigaitpallaamata amuaguminaitpiaktuk. 
JHN.21.7	Maliguta, Jesusim nagugihimayaa, Petermun ukallaktuk, “Atanikput tamna” Simon Peterlu tuhaagami, ataniuman, atigiyuk, atigihimainami, imangmun mihiktuk. 
JHN.21.8	Maligutailli allat umiakun kaiyun kuvyatik kalitugu ikalungnik tatatpiangman, hinaanin kanilgulmiinamik. 
JHN.21.9	Umiak itkalgiiman tikinamik ingnengmik tautuktun taikani, ikalugmiglu uhumaiyumik, mukpauyamiglu. 
JHN.21.10	Jesusim ukallautiyain, “Ikaluktahi ilait kagitihigit.” 
JHN.21.11	Simon Peter umiagmun ikimigami kuvyak nunamungautiyaa ikalungnik angiyunik tatatpiaktillugu. Tapkua ikaluit 153guyun, kuvyagli navingngitugaluak. 
JHN.21.12	Jesusim ukallautiyain, “Takki negiaktugumaaktuhi.” Maligutailli kanguhukpallaagamik apekhuiyumangngitpiaktun tapfuminga “Kinauvin?” ataniuman ilihimagamik. 
JHN.21.13	Jesuslu tiguhivluni ikalungnik, mukpauyamiglu tuniyain tapkuninga.
JHN.21.14	Taima Jesus hagyaekpaktuk pingahuektukhuni maligutiminun tukungayunin makikaaktillugu.
JHN.21.15	Tapkua negihuemata Jesusim Peter ukallautiyaa, “Simon, Johnim engniga, nagugikiyagivinga allanin tamainin?” Peterm kiuyaa, “Ilaa, atanek, nagugigapkin ilihimayutin.” Ukallautiyaa, “Imnainuatka negipkakkit.” 
JHN.21.16	Jesusim ukallautimiyaa aahin, “Simon, Johnim engiga, nagugivinga uvanga?” Kiuyaa, “Ilaa, Atanek, nagugigapkin ilihimayutin.” Ukallautiyaa, “Imnaitka munagilugit.” 
JHN.21.17	Pingahuektukhuni Jesusim ukallautiyaa, “Simon, Johnim engniga, nagugivinga?” Peterm kiuyaa, “Atanek tamainik ilihimagavin nagugigapkin ilihimakpiaktutin.” Jesusim ukallautiyaa, “Imnaitka negipkakkit. 
JHN.21.18	Ilumuktumik ukautigipkin, inengninguklihaktillutin ilingnik tapfivaktutin pihuglutin kuyagingnaklutin ilaa; inuakuaguvilli ihagniaktutin alla kileghugniaktaatin tapfimun aullautivlutin pipkaingitgaluaktillutin.” 
JHN.21.19	Taima Jesus ukaktuk Peterm tukuniagutaa, God pivlugu, naunaekhugu. Ukaguegami ukallagmiyuk Petermun, “Malinga”.
JHN.21.20	Peter kiviakhuni tautuktaa tamna maligutaa, Jesusim nagugihimayaa, maliktillugu. (Tamna hivungani Jesusim hanianiitpaktuk negikatigiktillugit tukutautinagu, apekhuivaktuk, “Atanek, kia niuvgutiginiaktaatin?”) 
JHN.21.21	Peterm tamna tautukamiuk ukaktuk, “Atanek, tamnatauk kanuk piniakka?” 
JHN.21.22	Jesusim ukallautiyaa, “Tukutailigupku tamna kaitkiktinanga ihumagitailugu. Ilvit malinga.” 
JHN.21.23	Taima katangutaini ukaktauyuk maliguta tamna tukuyunainman. Tukuyunaitumik Jesus ukangngitugaluak tapfumuna, imaatun kihimi, “Tukutailigupku tamna kaitkiktinanga ihumagitailugu.”
JHN.21.24	Tamna maliguta hapkuninga ukauyyilektuk tamainik tiitigakhuni, ilumugman ilihimayugut.
JHN.21.25	Allaniglu amigaitumik Jesus pivaktuk. Tamaita atuni tiitigaktaupata, ihumayunga, nunat tatangniagunakhiyun makpigainik.
ACT.1.1	Makpigamni hivullengmi, Theophilus, tiitigautigiyatka Jesusim havaangit, ilihauyyutaillu hivunganin 
ACT.1.2	maiyugviata uvlua naatugu, pitkuivangman apostlenun pilluakhimayunun. Anengnikun Naguyukun. 
ACT.1.3	Tapkununga inminik takupkaivaktuk umayumik, tukukaktillugu, naunaikutilingmiglu hagyaegvigigamigit uvluni 40ni Godim atanguvia ukautigivlugulu tapkununga. 
ACT.1.4	Jesus tapkunaniitillugu Jerusalemin aullaktailivagain utakikuvlugit Godim engnilgum aitutaanun, ukakhuni, “Tamna tuhaavaktagaluakhi uvamnin. 
ACT.1.5	John baptaiekhivaktuk imengmun, ilipfili baptaiektauyumaaktuhi Anengnikun Naguyukun kakugunuak.”
ACT.1.6	Talva tapkua katimalegamik apegiyaat, “Atanek, tayya ilvit tunihikigniakkin atanguvingmik Israelmiunun?” 
ACT.1.7	Jesusim kiuyain, “Angutima piyakhaita tikiniagutainik ilihimangngitkaluaktuhi inminik ataniuman. 
ACT.1.8	Ilipfili hakugignekakhunguyuhi Anengnim Naguyum tikitpahi uniuyyiniaktuhilu pivlunga Jerusalemiuni, Judaemiunilu Samariamilu nunaum kiglingaanun tikilluhi.” 
ACT.1.9	Taima ukagami, tapkua kungniaktillugit, maiyuktitauyuk iyektitauvluni nuvuyagmun tapkunanga. 
ACT.1.10	Aahin kungmun kungniaktillugit, maiyuktillugu Jesus, tayyainak angutik atigihimayuk kakuktanik nangekatigiyain. 
ACT.1.11	Tapkuak ukaktuk, “Galileemiuyuhi, hug kungmun aaglulekkihi? Tamna Jesus, kilangmun aullaktitauyuk, kaitkigniaktuk aullavikhaminik takuyapfingnik tayya atuglugu.”
ACT.1.12	Talva tapkua manilgulmin Olivelingmin Jerusalem kanitumun utektun Jerusalemun, pihugnaktukhauman Sabbathmi. 
ACT.1.13	Iglugiektumun tikinamik igluhagmun kulaaniitumun itektun atugamitku tamna. Tapkua Peter, Johnlu Jameslu, Andrewlu, Philiplu, Thomaslu, Bartholomewlu, Matthewlu, Jameslu Aphaeusim engniga, Simonlu Zealotiuyuk, Judaslutauk, Jamesim engniga ikatigiktun. 
ACT.1.14	Tapkua tamangmik kengakatigiktun akhun; angnallu ilait, Marylu Jesusim angnanga, katangutaillu ilauyun tapkununga.
ACT.1.15	Tapfumanilu ukpeguhuktuni Peter nangektuk, tapkua atautimun 120guyun. Ukaktuk, 
ACT.1.16	“Katangutitka, Godim ukauhiit tiitigakhimayun ilumuktukhauyugaluit kangagaaluk Davidkun Anengnim Naguyum Judas ukautigimagu tapfuma hivulliumagit tapkua pinahualektaat Jesus. 
ACT.1.17	Judas uvaptingni ilauhimayugaluak havakhaptingni ikayukuyauvluni.” (
ACT.1.18	Ilaa tamna inuk huinekutimi akiagun nauttivikhivaktuk. Tapfumanilu katakpiagami tukuyuk naanga ahigukhuni. 
ACT.1.19	Tamna tuhaanakpiaktuk Jerusalemiunun tamainun, talvuna tamna nauttivik taiyauyuk “Akeldamamik” tapkunaatun, imaatun-ituk, “Nauttivik auktalik.”) 
ACT.1.20	Psalmsmi tiitigakhimangman,
ACT.1.20	'Tapfuma iglua inuektukhak, allatauk iglugitailugu,' imaatuntauk,
ACT.1.20	'Allam himmautigilugu tamna.'
ACT.1.21+ACT.1.22	Taima uvagut inugmik piyumayugut uvaptitun tautukpan Atanek Jesusmik makikaktillugu, aahin pilluaktauyukhak inungnin malikpagmatigut Atanek uvaptingniitillugu, tamna John baptaiektaukaktillugu maiyugvia naatugu.” 
ACT.1.23	Talva piyaik malguk, Jospeh, atikaktuk Barsabbasmik, Justusmiglu, Matthiaslu. 
ACT.1.24	Talva kengaktun ukakhuni, “O Atanek, tamaita umatain ilihimayatin. Uvaptingnun naunaeglugu ukunanga nalliak pilluakpagan ilvit, 
ACT.1.25	himmautigikuvlugu Judas, tamna naguyumik havaguegman inikhaminun aitkuvlugu.” 
ACT.1.26	Talva tapkua imigautigilegmatigik Matthias akimayuk. Taimatun tamna pilluaktauyuk ilaukuvkugu apostlenun 11nun.
ACT.2.1	Pentecostim uvlua tikittuk. Tapfumani tapkua katimalektillugit, 
ACT.2.2	tayyainak nipi kilangmin kaitauyuk anugigaaluktun-ilivluni tatattugu iglu ikhivaktillugit. 
ACT.2.3	Tapkunungalu ingnit ukaktitun hagyaektun avittugit tikittain atuni. 
ACT.2.4	Tamangmiglu Anengnimik Naguyumik ilumektauyun ukagahualekhutik allatun Anengnim Naguyum ukaktimatik.
ACT.2.5	Tapfumanilu Jerusalemi Jewmiut naguyun akuihimavaktun nunanin tamainin. 
ACT.2.6	Tamna nipi tuhaanagman inuit amigaitun katimalektun agligutakpiakhutik atuni tuhaagamik inmitun. 
ACT.2.7	Kuglukpiagamik agligutakhutik ukainaktun, “Tapkua ukayuktun Galileemiungilat? 
ACT.2.8	Kanuk tapkunanga tamapta tuhaalekkita uvaptitun atuni? 
ACT.2.9	Uvagut ilavut Parthiamiun, Medemiullu, Elamiullu, Mespotamiamiullu, Judeamiullu, Cappadociamiullu, Pontusmiullu, Asiamiullu, 
ACT.2.10	Phyrygiamiullu Pamphyliamiullu, Egyptmillu Cyrenean Libyam nunaanillu, allat akuihimayun Romenin, 
ACT.2.11	Jewmiut, ukpeguhuktuntauk Jewmiutun, Cretemiullu, Arabiamiullu. Kanuk tamapta tuhaalektugut tapkunanga ukalengmata uvaptitun Godim havaangit alianaktun pivlugit” 
ACT.2.12	Tamangmik agligutakpiaktun kuglukpiakhutik ingmingnik apekhuivlutik, “Una kanuitpa?” 
ACT.2.13	Alla ukpektaitun ukaktugaluit, “Tapkua imiinakpallaagamik wainmik nutaamik.”
ACT.2.14	Petermli, 11n nangekatigigamigit, nipikuktuyumik ukautiyain, “Judeamiun, tamapfilu Jerusalemilegapfi tayya, naunaitumik ukagviginiagapfi tuhaayyavapfinga. 
ACT.2.15	Hapkua angutit imingngitpiaktun, taima ihumagaluaktilluhi, uvlaami 9mungaglihangman, 
ACT.2.16	nalautaiyim Joelim ukautigiyagaluanga una imaatun.
ACT.2.17	'Uvlut kingullit tikitpata, God ukaktuk, Anengniga aitutiginiagiga inungnun tamainun. Engnihi, panihilu hivuniugiyaktiakhunguyun, inuhuktullu hagyaektunik tautugniaktun, inukuallu hinnektukhunguyun.
ACT.2.18	Kivgamnullunin angutinun, angnanullu Anengniga aitutiginiaktaga tapkua uvlut tikitpata, hivuniugiyaktiakhunguyullu.
ACT.2.19	Aahin kuglugnaktunik takupkaihunguyunga kilangmi, naunaituniglu nunami ataani, augmik, ingnegmiglu taaktumiglu paulingmik.
ACT.2.20	Hikeneglu taakhiniaktuk, tatkiglu auktunitniaktuk, Atangum uvlua tikitinagu, tamna uvluk kuglugnakpiaktuk akhun.
ACT.2.21	Talva kinalika kukuakumi Atangum atianun annauyyauniaktuk.'
ACT.2.22	“Israelmiuyuhi, uvamnun tuhaagitti; ukautigilektaga Jesus Nazarethmiutak, inuk naunaekhimayuk Godmin ilipfingni hapengnaktutigun, aglingnaktunik naunaituniglu pivagami ilipfingniitillugu, tamna ilihimayakhi. 
ACT.2.23	Tamna inuk ilipfingnun tuniyauhimayugaluak God pipkaivangman ilihimavluni, ilipfilu pitkuyatin naluyun kikiaktuktaukuvlugu tukutaukuvlugulu tapkununa. 
ACT.2.24	Godimli Jesus annautitpagaa tukuyyutaata kapianangningaanin, makittitugu, tuku tigulimaimagu tamna. 
ACT.2.25	Davidim ukautigiyaa imaatun,
ACT.2.25	'Hivumni ihumangingnaktaga Atanek, talekpimniiman kuglugnakhavunga.
ACT.2.26	Talvunga umatiga kuviahukpiaktuk, ukagalu aliahukpiakhuni, aahin timiga naguyumik negiugniaktuktauk,
ACT.2.27	napatiga kimagunainangni napatikagvingmi, kivgaglu naguyuk nungutitautailiniaktantauk..
ACT.2.28	Aahin naunaekpagatin apkutit inugutilgit uvamnun, kuviahuktitangmalu uvamniihimagavin.'
ACT.2.29	“Katangutitka, naunaitumik ukautigipfi hivulliptigun Davidkun. Tukuvaktuk iluvektauvluni, iluvgaalu nunaptingniituk uvlumi. 
ACT.2.30	David nalautaiyiuyuk ilihimavaktuk kingullini ilangat ataninguktitauhunguman, God taimatun inminun ukagiakpangman. 
ACT.2.31	Talva inmi ilihimavaktuk ukagiakhuni Christim makiyyutagun ukakhuni 'Kimaktauyunainman napatikagvingmi' aahin timagun 'nungutitauyunainmanllu'. 
ACT.2.32	Tamna Jesus Godim makittitaa, tamaptalu tapfuminga ilihimayiuyugut. 
ACT.2.33	Talva maiyuktitaukaktillugu Godim talekpianun pigamiuglu Anengnek Naguyuk ukagiaktauyuk Angutiminin, aituktuk ilipfi takuyapfingnik tuhaayapfingniglu tayya. 
ACT.2.34	David ilaa inmi maiyukhimangngitpiaktuk kilangmun. Inminik ukaktuk,
ACT.2.34	'Atanek Atanimnun ukallaktuk, Talekpingma tunganun ingitin,
ACT.2.35	uvanga akigautin ilitinagit itigavit ataanun.
ACT.2.36	“Talva Israelmiut tamangmik ilihimalit tamanik, Godim Jesus Ataninguktimagu Christguktitugulu, tamna ilaa ilipfi kikiaktukpagakhi.” 
ACT.2.37	Inuillu tamna tuhaagamitku kuviagunaekpiaktun umatimingni ukallautivlugit Peter apostleslu allat, “Katangutitka, huliniakkita?” 
ACT.2.38	Peterm ukallautiyain, “Ihumaliukigitti tamapfi baptaiektauluhilu Jesus Christim atianun huinekutihi ihumagiyauyunaekuvlugit, aituhiakhunguyuhilu Anengnimik Naguyumik. 
ACT.2.39	Tapfuma ukagiyauta pinagialik ilipfingnun kitungapfingnunlu tapkunungatauk tamainun ungahikpiaktumiitunun, tamaitalunin Atangum Godipta kaitkupagit.”
ACT.2.40	Ukauyyiyuk allanik amigaitunik akhun ukakhuni, “Annauyyauhimaluhi hapkunanga inungnin umalektunin tayya huinekivallaamata.” 
ACT.2.41	Talva tapkua Peterm ukauhiit nagunahugigamitigit baptaiektauyun, tapfumanilu inuit 3000guyun ilauvaktun ukpekatigiktunun.
ACT.2.42	Tapkualu ilihainaktun apostlit ilihauyyutainik, naiyukatigikhutik atautikun, negikatigikhutiglu kengakhutiglu. 
ACT.2.43	Tamangmik agligutakpiaktun, naunaitunik hapengnaktuniglu apostlit pimata. 
ACT.2.44	Ukpeguhuktun itkatigiktun tamaiyaillu pinagialgit tamainun kuyagingnakhutik. 
ACT.2.45	Tapkualu pikutitik niuvgutigiyain, iglutiglu, tunipkaivlutik tamainun ikayuktauyukhauyunun. 
ACT.2.46	Uvluk taman angayyuvikpagyuami katimavaktun, iglumingni negivakhutik, negivlutik kuyahuktillugit, 
ACT.2.47	God kuyagivlugu nagugiyauvlutiglu inungnin tamainin. Uvluk tamanlu tapkununga annauyyaulektun allat ilaulektun Godim pitkumatik.
ACT.3.1	Peter Johnlu angayyuvikpagyuamungaulektuk angayyunakhilegman uvlailgulmi 3mungaktillugu. 
ACT.3.2	Tapfumani inuk niulukhimayuk nutagauneminin tigumiaktaulektuk. Uvluk taman tugumiaktun ilingnakpiaktaat tamna angayyuvikpagyuam ukuangata, taiyauyum Pinektumik, tunganun, tukhiakuvlugu atugiaktuktunin itektillugit angayyuvikpagyuamun. 
ACT.3.3	Niuluktum Peter Johnlu itegalualegmanik angayyuvikpagyuamun takugamigik tukhiagvigiyaik manimik. 
ACT.3.4	Tamangmik tamna iigigamikku Johnlu Peterm ukallautiyaa, “Tautuglain uvaptingnun.” 
ACT.3.5	Talva iigiyaik aituhiagnahugivluni tapkunanga. 
ACT.3.6	Peter ukaktugaluak, “Silvanik goldniglunin pikangngitpiaktunga, tamnali pihimayaga aitutiginiagiga ilingnun; Jesus Christin Nazarethmiutam atiagun, pihugin!” 
ACT.3.7	Peterm talekpiagun tigugamiuk nangektitaa. Tayyainak itigaik hingnegningillu naguhiyun. 
ACT.3.8	Makinami nangekpiaktuk pihukhuni itikatigikhugik angayyuvikpagyuamun, pihukhuni, mihitakhunilu God kuyagivlugu. 
ACT.3.9	Tamna pihuktillugu kuyagitillugulu God, inuit tamangmik tautuktaat, 
ACT.3.10	tamna ilitagivlugu tukhiakpangman angayyuvikpagyuam ukuangata taiyauyum Pinektumik tungani; aahin ikayuktauman agligutakpiaktun kuglukpiakhutik.
ACT.3.11	Talva angutim Peter Johnlu tigutillugik, inuit tamangmik Solomonim tukhuaniitun upaktait akpakatigikhutik. 
ACT.3.12	Peterm tamna takugamiuk inuit ukallautiyain, “Israelmiuyuhi, hug una agligutautigivihiuk? Hug iigilekpitigut, uvaguk pihuktigaptigu tamna hakugigniptigun ukpegniptigunlunin Godmun? Uvagaungitpiaktuk; 
ACT.3.13	umuna Abraham, Isaacimlu Jacobimlu hivulliptalu Godingata kivgani Jesus naunaekpaga alianaktumik, ilipfili tunivagaluakhi piyumangitkuvlugulu Pilatemun, tamna anititumagaluaktillugu. 
ACT.3.14	Ilipfili piyumangngitpiaktakhi inuk ilumukpiaktuk nagutpiakhuni, inuakhimayuk piyumagapfiuk ilipfingnun. 
ACT.3.15	Tamna inugutikaktuk ilipfi inuktagiyakhi, Godimli tukungayunin makiktitagaluanga, tapfumingalu uvagut ilihimayiuyugut. 
ACT.3.16	Ilaa tapfuma atia, ukpengneglu atianun naguhipkaiyuk inugmik uminga, ilihimayuhi tautukhugulu, ukpegnillu Jesuskun inuk tamna naguhipkakpagaa tautukapfi.
ACT.3.17	“Tayya, katangutitka, ilihimagaluaktunga taimaliukpaktuhi nalulektilluhi, atanihitauk pivangmata. 
ACT.3.18	Taimatun, Godim ukakhimayain nalautaiyitigun tapkununa hivungani ilumukpaktun, Christinga naglihaktitauyukhauman. 
ACT.3.19	Talva ihumaliukigitti Godmun utegluhi huinekutihi piiyakuvlugit. 
ACT.3.20	Ikayuktikhakhi kaitaukuvlugu Atanengmin, taima tilikuvlugulu Jesus Christiuyuk pilluakhimayuk, 
ACT.3.21	kilaum piyakhagiyagaluangali tamaita inektinagit, Godim tapkua ukautigihimayain kangagaaluk nalautaiyitigun naguyukun. 
ACT.3.22	Moses ukaktuk, 'Atanipfi Godipfi katangutipfingnin pilluakhunguyaa nalautaiyi uvaptun. Tamna ukagagan tuhaaniaktakhi. 
ACT.3.23	Inuilli nalautaiyi tamna tuhaangitkumitku tapkua nungutitauhunguyugaluit inungnin.' 
ACT.3.24	Nalautaiyillu tamangmik, Samuel inukaktillugu talvangaanin ukakhimavaktuk ukautigivagain hapkua uvlut. 
ACT.3.25	Nalautaiyit ilaa ilipfi kitungagiyaahi, Godlu ukagiyakhimagami hivullipfingnun Abrahapkun imaatun, 'Kingullingnin inuit nunamiitun tamangmik naguguktitauhunguyun', ukagiyaktuktauk ilipfingnun. 
ACT.3.26	Hivullengmik ilipfi pivluhi Godim kivgani makiktitpagaa tilivlugu naguguktikuvluhi utektiluhi huinekutipfingnin.”
ACT.4.1	Inungnun ukaktillugit, angayyuvikpagyuakut, angayyuvikpagyuam amekhiyit ataningallu, Sadducekullu tikittain, 
ACT.4.2	ihumalukpiakhutik tapkua ilihautimatigit inuit ukautigivlugu tukungayun makiyyutangat Jesuskun. 
ACT.4.3	Tapkua tigugamitigik piyait unulektillugu. 
ACT.4.4	Tapkuali amihut tuhagamitigit ukauhit ukpektun, 5000guktun tapkua.
ACT.4.5	Akaguguman ataningit inuin, atanekpaillu, tiitigaktillu Jerusalemi katimayun, 
ACT.4.6	ilagivlugit Annas, angayyuvikpagyuakut ataninga, Caiaphaslu, Johnlu, Alexanderlu tapkuatauk allat ilagiyauhimayun tapkununga. 
ACT.4.7	Talva tapkua Peter Johnlu nangektitain akungani apekhukhugik, “Kia pitkupatik imailiukuvlutik, kia atiagun pivaktakhi tamna?” 
ACT.4.8	Talva Peter, ilumektauvluni Anengnimik Naguyumik, tapkununga ukallaktuk, “Inuin ataningit, atanekpaillu, 
ACT.4.9	uvlumi aaniakhimayuk naguhipkaktauman apekhuktaulegamnuk, 
ACT.4.10	ilipfi Israelmiut tamangmik tuhaalit, piyauman Jesus Christim Nazarethmiutam atiagun. Tamna ilipfi kikiaktutkpagakhi, Godimli makiktimagu tukungauyumin una inuk hapfingni nangektuk naguyumik. 
ACT.4.11	Uyagaktun tamna, ilipfili igluliukaluaktilluhi nagugingitpiaktakhi, igluhamli kiglingani iliyauyugaluak. 
ACT.4.12	Aahin allakun annautikhaitpiaktuk, atikagngitpiaktugullu inungni allamik; tapfumalu atiagun annauyyauyukhauyugut.”
ACT.4.13	Tapkualu tautukamigitik Peter Johnlu kamahungngimanik hikulhimaitgaluaktillugik ilihauyititun, kuglukpiaktun ilitagivlugik Jesusmiitpagmanik. 
ACT.4.14	Aahin tapkununga kangutilimaitpiaktun takugamitku inuk naguhipkaktauhimayuk nangekataulegman tapkunani. 
ACT.4.15	Talva pitkuyait anikuvlugik ingmingnik katimayun ukakatigikuvlugit, 
