GEN.1.1	Pada mulanya, ketika Allah mula menciptakan alam semesta,
EZK.43.23	Kemudian ambillah seekor anak lembu jantan dan seekor domba jantan yang tidak ada cacat, 
EZK.43.24	lalu bawalah kedua-duanya kepada-Ku. Imam-imam harus menaburkan garam ke atas kedua-dua binatang itu lalu mempersembahkannya sebagai korban untuk menyenangkan hati-Ku.
EZK.43.25	Tiap-tiap hari selama tujuh hari, hendaklah engkau mempersembahkan seekor kambing, seekor lembu jantan, dan seekor domba jantan sebagai korban untuk mengampunkan dosa. Semua binatang itu tidak boleh ada cacat. 
EZK.43.26	Hendaklah para imam menyucikan dan menyiapkan mazbah itu selama tujuh hari. 
EZK.43.27	 Selepas satu minggu, hendaklah imam-imam mula mempersembahkan korban untuk menyenangkan hati-Ku
EZK.44.1	Lelaki itu membawa aku ke pintu gerbang luar di sebelah timur kawasan Rumah TUHAN. Pintu gerbang itu tertutup. 
EZK.44.2	Lalu TUHAN berfirman kepadaku, “Pintu gerbang ini akan tetap tertutup dan tidak boleh dibuka. Tidak seorang pun boleh memasukinya kerana Aku, TUHAN, Allah Israel, telah melaluinya. Pintu gerbang itu hendaklah tetap tertutup. 
EZK.44.3	Hanya raja yang memerintah boleh masuk ke situ untuk makan makanan suci di hadirat-Ku. Dia harus masuk dan keluar melalui ruang besar di sebelah dalam.”
EZK.44.4	Kemudian lelaki itu membawa aku ke depan Rumah TUHAN melalui pintu gerbang utara. Aku nampak Rumah TUHAN diliputi cahaya berkilauan yang menandakan hadirat TUHAN. Aku bersujud sampai ke tanah, 
EZK.44.5	lalu TUHAN berfirman kepadaku, “Hai manusia fana, perhatikanlah semua yang engkau lihat dan dengar. Aku akan memberitahu engkau peraturan-peraturan bagi Rumah-Ku ini. Perhatikanlah baik-baik sesiapa yang diizinkan masuk Rumah-Ku dan sesiapa yang dilarang.
EZK.44.6	Beritahulah Israel, bangsa pemberontak itu, bahawa Aku, TUHAN Raja, tidak mahu lagi membiarkan mereka melakukan perbuatan jijik. 
EZK.44.7	Mereka telah mencemarkan Rumah-Ku dengan mengizinkan orang asing yang tidak bersunat dan tidak taat kepada-Ku, masuk ke dalam Rumah-Ku, ketika orang mempersembahkan lemak dan darah korban kepada-Ku. Dengan segala perbuatan yang menjijikkan itu, mereka telah melanggar perjanjian-Ku dengan mereka. 
EZK.44.8	Bukan mereka sendiri yang melakukan upacara suci dalam Rumah-Ku, melainkan orang asing yang ditugaskan mereka untuk melakukannya.
EZK.44.9	Aku, TUHAN Raja mengumumkan bahawa orang asing yang tidak bersunat dan orang yang tidak taat kepada-Ku, tidak boleh masuk ke dalam Rumah-Ku. Orang asing yang tinggal antara umat Israel pun tidak boleh masuk.”
EZK.44.10	TUHAN berfirman kepadaku, “Aku hendak menghukum orang Lewi yang bersama-sama umat Israel yang lain telah meninggalkan Aku dan menyembah berhala. 
EZK.44.11	Mereka boleh bekerja di Rumah-Ku dengan menjaga pintu gerbang dan melakukan tugas di dalam Rumah-Ku. Mereka boleh menyembelih binatang yang dipersembahkan sebagai korban untuk menyenangkan hati-Ku,
EZK.44.12	Tetapi, kerana mereka melakukan upacara penyembahan berhala untuk bangsa Israel, dan dengan perbuatan itu menyebabkan umat berdosa, maka Aku, TUHAN Raja bersumpah bahawa mereka mesti dihukum. 
EZK.44.13	Mereka tidak boleh melayani Aku sebagai imam, atau menghampiri apa-apa yang suci bagi-Ku, ataupun masuk ke Bilik Maha Suci. Inilah hukuman bagi perbuatan jijik yang dilakukan mereka. 
EZK.44.14	Sekarang Aku menugaskan mereka melakukan pekerjaan kasar yang perlu dilaksanakan di Rumah-Ku.”
EZK.44.15	TUHAN Raja berfirman, “Para imam Lewi daripada keturunan Zadok, tetap setia bekerja untuk Aku apabila umat Israel meninggalkan Aku. Oleh itu, sekarang merekalah yang akan bekerja untuk Aku dan datang ke hadirat-Ku untuk mempersembahkan lemak serta darah korban. 
EZK.44.16	Hanya mereka yang boleh masuk ke dalam Rumah-Ku, bertugas di mazbah-Ku, dan memimpin ibadat di situ. 
EZK.44.17	Apabila mereka masuk ke halaman dalam melalui pintu gerbang, mereka harus memakai pakaian linen. Mereka tidak boleh memakai pakaian daripada bulu domba apabila sedang bertugas di halaman dalam atau di dalam Rumah-Ku. 
EZK.44.18	 Agar tidak berpeluh, mereka harus memakai serban linen dan seluar linen tanpa tali pinggang. 
EZK.44.19	 Sebelum mereka keluar ke halaman luar, ke tempat umat berkumpul, imam-imam hendaklah menanggalkan pakaian imam dan meninggalkannya di dalam bilik-bilik suci. Mereka mesti mengenakan pakaian lain supaya pakaian suci itu tidak mencelakakan umat.
EZK.44.21	 Mereka tidak boleh minum wain apabila hendak masuk ke halaman dalam. 
EZK.44.22	 Seseorang imam tidak boleh berkahwin dengan wanita yang sudah bercerai. Seseorang imam hanya boleh berkahwin dengan anak dara Israel, atau balu imam.
EZK.44.24	Apabila timbul perselisihan tentang perkara hukum, para imam harus mengadili perkara itu menurut hukum-Ku. Mereka harus menyelenggarakan perayaan-perayaan agama menurut hukum dan peraturan-Ku serta merayakan hari Sabat sebagai hari yang suci.
EZK.44.26	Sesudah imam itu bersih semula, dia mesti menunggu selama tujuh hari lagi, 
EZK.44.27	lalu masuk ke halaman dalam di Rumah-Ku, dan mempersembahkan korban untuk menyucikan diri supaya dia boleh bertugas lagi di Rumah-Ku. Aku, TUHAN Raja, telah berfirman.
EZK.44.29	Korban untuk mengucap syukur kepada TUHAN,
EZK.44.30	 Para imam harus diberikan bahagian terbaik daripada semua tuaian pertama, dan apa sahaja yang dipersembahkan kepada-Ku. Setiap kali orang membakar roti, mereka harus memberikan roti pertama kepada para imam; dengan demikian Aku akan memberkati keluarga mereka. 
EZK.44.31	 Para imam tidak boleh makan burung atau binatang yang mati biasa atau yang diterkam oleh binatang lain.”
EZK.45.1	Apabila tanah itu dibahagikan kepada setiap suku, sebahagian daripadanya harus diasingkan untuk TUHAN. Panjangnya tanah itu hendaklah 12.5 kilometer, dan lebarnya 10 kilometer.
EZK.45.2	Di kawasan itu, sebidang tanah yang empat persegi harus dikhaskan untuk Rumah TUHAN. Ukuran setiap sisi tanah itu harus 250 meter dan dikelilingi lapangan selebar 25 meter. 
EZK.45.3	Separuh daripada kawasan itu, yang panjangnya 12.5 kilometer dan lebarnya 5 kilometer, harus dikhaskan untuk bangunan Rumah TUHAN, tempat yang paling suci. 
EZK.45.4	Tanah itu suci dan diberikan kepada para imam yang menyelenggarakan ibadat di Rumah TUHAN. Rumah-rumah mereka dan Rumah TUHAN hendaklah dibina di situ. 
EZK.45.5	Separuh lagi kawasan itu hendaklah diberikan sebagai pusaka kepada orang Lewi yang bekerja di Rumah TUHAN. Bahagian itu akan menjadi kota-kota tempat tinggal mereka.
EZK.45.6	Di samping tanah yang suci itu harus lagi diasingkan sebidang tanah untuk sebuah kota yang boleh didiami sesiapa sahaja umat Israel. Panjangnya tanah itu hendaklah 12.5 kilometer, dan lebarnya 2.5 kilometer.
EZK.45.7	Tanah juga harus disediakan bagi penguasa yang memerintah. Kawasan itu bermula dari sempadan barat kawasan yang suci itu sampai ke Laut Tengah dan dari sempadan timur kawasan yang suci itu sampai ke sempadan timur negeri itu. Panjangnya tanah itu sama dengan panjangnya salah satu kawasan yang ditentukan bagi suku Israel. 
EZK.45.8	Tanah itu akan menjadi milik penguasa yang memerintah di Israel, supaya dia tidak menindas rakyat, tetapi membiarkan tanah yang selebihnya menjadi milik suku-suku Israel.
EZK.45.9	TUHAN Raja berfirman, “Hai kamu yang memerintah Israel, kamu telah berdosa terlalu lama. Hentikan penindasan dan perbuatan yang kejam. Lakukan yang benar dan adil. Jangan sekali-kali usir umat-Ku dari tanah mereka lagi. Aku, TUHAN Raja, berfirman kepada kamu.
EZK.45.11	Satu efa untuk menakar bahan kering mesti sama dengan satu bat untuk menakar bahan cair. Ukuran piawai ialah homer.
EZK.45.11	1 homer = 10 efa = 10 bat
EZK.45.12	Timbangan kamu hendaklah demikian:
EZK.45.12	20 gera = 1 syikal
EZK.45.12	60 syikal = 1 mina
EZK.45.13+EZK.45.14+EZK.45.15	Persembahan kamu hendaklah berdasarkan ukuran yang berikut:
EZK.45.13+EZK.45.14+EZK.45.15	Gandum: 1/60 daripada tuaian kamu
EZK.45.13+EZK.45.14+EZK.45.15	Barli: 1/60 daripada tuaian kamu
EZK.45.13+EZK.45.14+EZK.45.15	Minyak zaitun: 1/100 daripada hasil pokok kamu
EZK.45.13+EZK.45.14+EZK.45.15	(Sukatlah menurut bat: 10 bat = 1 homer = 1 kor.)
EZK.45.13+EZK.45.14+EZK.45.15	Domba: 1 daripada setiap 200 ekor yang di padang rumput Israel.
EZK.45.13+EZK.45.14+EZK.45.15	Hendaklah kamu mempersembahkan korban untuk mengucap syukur kepada-Ku,
EZK.45.16	Semua penduduk negeri harus membawa persembahan itu kepada penguasa Israel. 
EZK.45.17	Tetapi pada perayaan-perayaan bulan baru, hari Sabat, dan hari perayaan yang lain, penguasa bertanggungjawab menyediakan binatang untuk dipersembahkan sebagai korban, dan juga korban untuk mengucap syukur kepada-Ku,
EZK.45.18	TUHAN Raja berfirman, “Pada hari pertama, bulan pertama, kamu harus menyucikan Rumah-Ku dengan mempersembahkan seekor lembu jantan muda yang tidak ada cacat. 
EZK.45.19	Lalu imam harus mengambil darah daripada korban untuk mengampunkan dosa itu, lalu menyapukannya pada tiang-tiang pintu Rumah TUHAN, keempat-empat sudut mazbah, dan tiang-tiang pintu gerbang yang menuju ke halaman dalam. 
EZK.45.20	Pada hari ketujuh, bulan itu, kamu harus berbuat demikian juga untuk sesiapa sahaja yang berdosa dengan tidak sengaja atau tanpa diketahuinya. Dengan demikian, kamu akan menjaga kesucian Rumah-Ku.
EZK.45.22	Pada hari pertama perayaan itu, penguasa yang memerintah harus mempersembahkan seekor lembu jantan sebagai korban untuk mengampunkan dosa bagi dirinya dan bagi semua rakyat. 
EZK.45.23	Setiap hari selama perayaan yang berlangsung tujuh hari itu, penguasa harus mempersembahkan tujuh ekor lembu jantan dan tujuh ekor domba jantan yang tidak ada cacat kepada TUHAN, sebagai korban untuk menyenangkan hati TUHAN.
EZK.45.24	Bagi setiap ekor lembu jantan dan domba jantan yang dipersembahkan, hendaklah disertai 17.5 liter bijirin dan 3 liter minyak zaitun.
EZK.46.1	TUHAN Raja berfirman, “Pintu gerbang timur yang menghadap ke halaman dalam harus ditutup selama enam hari kerja. Tetapi pada hari Sabat dan Perayaan Bulan Baru, pintu gerbang itu harus dibuka. 
EZK.46.2	Penguasa akan masuk dari halaman luar ke ruang besar dan berdiri di sebelah tiang pintu gerbang itu. Sementara itu imam-imam akan mempersembahkan korban untuk menyenangkan hati TUHAN
EZK.46.3	Pada tiap-tiap hari Sabat dan Perayaan Bulan Baru, semua rakyat juga mesti sujud dan menyembah TUHAN di hadapan ambang pintu gerbang itu.
EZK.46.4	Pada hari Sabat, penguasa harus mempersembahkan korban kepada TUHAN, iaitu korban untuk menyenangkan hati TUHAN
EZK.46.5	Bagi setiap ekor domba jantan, penguasa harus mempersembahkan 17.5 liter bijirin; dan bagi setiap ekor domba, dia harus mempersembahkan bijirin sebanyak yang diingininya. Setiap 17.5 liter bijirin harus disertai 3 liter minyak zaitun.
EZK.46.6	Pada Perayaan Bulan Baru, dia harus mempersembahkan seekor anak lembu jantan, enam ekor anak domba, dan seekor domba jantan. Semuanya tidak boleh ada cacat. 
EZK.46.7	Bagi setiap ekor lembu jantan dan setiap ekor domba jantan, dia harus mempersembahkan 17.5 liter bijirin; dan bagi setiap ekor anak domba, dia harus mempersembahkan bijirin sebanyak yang diingininya. Setiap 17.5 liter bijirin harus disertai 3 liter minyak zaitun. 
EZK.46.8	Penguasa mesti masuk melalui ruang besar itu dan keluar melalui jalan yang sama.
EZK.46.9	Apabila penduduk kota datang untuk beribadat kepada TUHAN pada hari perayaan, mereka yang masuk melalui pintu gerbang utara, harus keluar melalui pintu gerbang selatan. Mereka yang masuk melalui pintu gerbang selatan, harus keluar melalui pintu gerbang utara. Tidak sesiapa pun boleh keluar melalui pintu yang dimasukinya, tetapi dia mesti keluar melalui pintu yang di seberangnya. 
EZK.46.10	Penguasa harus masuk ke Rumah TUHAN bersama-sama rakyat, dan keluar bersama-sama rakyat.
EZK.46.11	Pada hari-hari pesta dan perayaan, bijirin sebanyak 17.5 liter harus dipersembahkan bersama dengan setiap lembu jantan atau domba jantan. Orang yang beribadat boleh mempersembahkan bijirin sebanyak yang diingininya bersama dengan setiap ekor anak domba. Setiap 17.5 liter bijirin harus disertai 3 liter minyak zaitun.
EZK.46.12	Jika penguasa ingin memberikan persembahan sukarela kepada TUHAN, baik korban untuk menyenangkan hati TUHAN,
EZK.46.13	TUHAN berfirman, “Setiap hari pada waktu pagi, seekor anak domba yang berusia satu tahun dan tidak ada cacat harus dipersembahkan sebagai korban untuk menyenangkan hati TUHAN.
EZK.46.14	Pada setiap pagi harus dipersembahkan juga 2 kilogram bijirin dan 1 liter minyak zaitun untuk dicampur dengan bijirin itu. Peraturan ini harus ditaati selama-lamanya. 
EZK.46.15	Anak domba, bijirin, dan minyak zaitun itu harus dipersembahkan kepada TUHAN pada setiap pagi untuk selama-lamanya.”
EZK.46.16	TUHAN Raja memberikan perintah, “Jika penguasa memberikan sebahagian tanah pusakanya kepada salah seorang anak lelakinya sebagai hadiah, tanah itu menjadi milik anak itu dan merupakan harta keluarganya. 
EZK.46.17	 Tetapi jika penguasa memberikan sebahagian tanah pusakanya kepada seorang pegawainya, tanah itu menjadi milik penguasa lagi pada Tahun Pengembalian.
EZK.46.18	Penguasa itu tidak boleh merampas tanah pusaka rakyatnya. Tanah yang diberikannya kepada anak-anak lelakinya mesti tanahnya sendiri yang telah ditentukan baginya, supaya dia tidak menindas sesiapa pun umat-Ku dengan merampas tanah mereka.”
EZK.46.19	Kemudian lelaki itu membawa aku ke pintu yang berhampiran dengan pintu gerbang, di bahagian selatan halaman dalam, ke bilik-bilik suci yang menghadap ke utara. Bilik-bilik itu untuk para imam. Lelaki itu menunjuk ke satu ruangan di sebelah barat bilik-bilik itu 
EZK.46.20	lalu berkata kepadaku, “Inilah tempat bagi para imam merebus daging daripada korban untuk menghapuskan dosa dan korban untuk membayar ganti rugi. Imam juga akan memanggang korban berupa bijirin di dapur-dapur ini. Dengan demikian korban-korban yang suci itu tidak dibawa ke halaman luar sehingga mencelakakan rakyat.”
EZK.46.21+EZK.46.22	Selepas itu dia membawa aku ke halaman luar, dan diperlihatkannya kepada aku bahawa di setiap sudut ada lagi halaman yang kecil: panjangnya 20 meter dan lebarnya 15 meter. 
EZK.46.23	Setiap halaman itu mempunyai tembok batu di sekelilingnya, dan pada tembok itu ada perapian. 
EZK.46.24	Lelaki itu berkata kepadaku, “Inilah dapur-dapur tempat pekerja-pekerja Rumah TUHAN merebus korban yang dipersembahkan oleh rakyat.”
EZK.47.2	Kemudian lelaki itu membawa aku keluar dari kawasan Rumah TUHAN melalui pintu gerbang utara, lalu memimpin aku ke pintu gerbang timur. Sungai kecil itu mengalir dari sisi selatan pintu gerbang itu. 
EZK.47.3	Dengan kayu pengukurnya lelaki itu mengukur 500 meter ke arah timur, mengikut arus sungai itu, dan menyuruh aku mengharunginya. Airnya sampai ke mata kakiku. 
EZK.47.4	Dia mengukur 500 meter lagi, dan airnya sampai ke lututku. Dia mengukur 500 meter lagi, dan airnya sampai ke pinggangku. 
EZK.47.5	Dia mengukur 500 meter lagi, dan di situ airnya sudah menjadi sungai dalam sehingga aku tidak dapat menyeberanginya kecuali dengan berenang. 
EZK.47.6	Lelaki itu berkata kepadaku, “Hai manusia fana, perhatikanlah semua ini dengan baik-baik.”
EZK.47.6	Kemudian dia membawa aku ke tebing sungai. 
EZK.47.7	Apabila aku sampai di sana, aku nampak banyak sekali pokok di kedua-dua tebing sungai itu. 
EZK.47.8	Dia berkata kepadaku, “Air ini mengalir ke arah timur melalui negeri ini, lalu turun ke Lembah Sungai Yordan dan menuju ke Laut Mati. Apabila airnya sampai ke dalam Laut Mati, maka air laut yang masin itu digantikan dengan air tawar. 
EZK.47.9	Ke mana sahaja air itu mengalir, di situ juga akan terdapat segala jenis binatang dan ikan. Air itu akan menjadikan air di Laut Mati tawar, dan ke mana sahaja air itu mengalir, di situ akan terdapat kehidupan. 
EZK.47.10	Dari Mata Air En-Gedi sampai ke Mata Air En-Eglaim, akan ada banyak nelayan menjemur jala di pantainya. Di dalam air itu akan terdapat segala jenis ikan seperti yang ada di Laut Tengah. 
EZK.47.11	Tetapi air di rawa dan di paya di sepanjang pantai itu tidak akan menjadi tawar, melainkan tetap menjadi sumber garam. 
EZK.47.12	 Di kedua-dua tebing sungai itu akan tumbuh berjenis-jenis pokok buah. Daun pokok-pokok itu tidak akan layu, dan pokok-pokok itu tidak akan berhenti berbuah. Setiap bulan pokok-pokok itu akan menghasilkan buah-buah yang baru, kerana pokok-pokok itu diairi oleh air yang mengalir dari Rumah TUHAN. Buah-buah itu menjadi makanan dan daun-daunnya digunakan sebagai ubat.”
EZK.47.13	TUHAN Raja berfirman, “Yang berikut ialah sempadan tanah yang akan dibahagikan kepada dua belas suku Israel. Suku Yusuf harus mendapat dua bahagian.
EZK.47.14	Aku telah bersumpah kepada nenek moyang kamu bahawa Aku akan memberi mereka tanah ini. Oleh itu, bahagikanlah tanah ini dengan sama rata antara kamu sendiri.
EZK.47.15	Sempadan di utara bermula dari Laut Tengah, dan menuju ke arah timur sampai ke kota Hetlon, ke Genting Hamat, ke kota Zedad,
EZK.47.16	ke Berota dan Sibraim (kota-kota itu terletak di antara kawasan kerajaan Damsyik dan kerajaan Hamat), dan Tikon (kota yang terletak di sempadan kerajaan Hauran). 
EZK.47.17	Dengan kata lain, sempadan di utara bermula dari Laut Tengah menuju ke arah timur sampai ke kota Enon; Damsyik dan Hamat terletak di sebelah utara sempadan itu.
EZK.47.18	Sempadan di timur menuju ke selatan, dari suatu tempat di antara kerajaan Damsyik dan kerajaan Hauran. Sungai Yordan merupakan sempadan di antara tanah Israel di sebelah barat, dan Gilead di sebelah timur, sampai ke kota Tamar di pantai Laut Mati.
EZK.47.19	Sempadan selatan menuju ke arah barat daya, dari Tamar ke mata air Kades-Meriba, lalu ke barat laut sepanjang sempadan negeri Mesir, sampai ke Laut Tengah.
EZK.47.20	Sempadan barat dibentuk oleh Laut Tengah, lalu menuju ke utara sampai ke suatu tempat di sebelah barat Genting Hamat.
EZK.47.21	Bahagikanlah tanah itu antara suku-suku kamu. 
EZK.47.22	Tanah itu milik kamu untuk selama-lamanya. Orang asing yang tinggal di kalangan kamu, yang telah melahirkan anak-anak di negeri ini juga harus menerima bahagian apabila kamu membahagikan tanah itu. Mereka mesti diperlakukan seperti warga negara Israel, dan harus membuang undi untuk mendapatkan bahagian tanah mereka bersama-sama suku Israel yang lain. 
EZK.47.23	Setiap orang asing yang menjadi penduduk negeri ini mesti diberikan bahagian tanah bersama-sama suku di tempat mereka tinggal. Aku, TUHAN Raja, telah berfirman.”
EZK.48.1+EZK.48.2+EZK.48.3+EZK.48.4+EZK.48.5+EZK.48.6+EZK.48.7	Sempadan di utara tanah itu menuju ke timur, bermula dari Laut Tengah ke kota Hetlon, ke Genting Hamat, kota Enon, sampai ke sempadan di antara kerajaan Damsyik dan kerajaan Hamat. Setiap suku ini harus menerima sebahagian tanah yang terbentang dari sempadan timur menuju ke barat sampai ke Laut Tengah,
EZK.48.1+EZK.48.2+EZK.48.3+EZK.48.4+EZK.48.5+EZK.48.6+EZK.48.7	Dan
EZK.48.1+EZK.48.2+EZK.48.3+EZK.48.4+EZK.48.5+EZK.48.6+EZK.48.7	Asyer
EZK.48.1+EZK.48.2+EZK.48.3+EZK.48.4+EZK.48.5+EZK.48.6+EZK.48.7	Naftali
EZK.48.1+EZK.48.2+EZK.48.3+EZK.48.4+EZK.48.5+EZK.48.6+EZK.48.7	Manasye
EZK.48.1+EZK.48.2+EZK.48.3+EZK.48.4+EZK.48.5+EZK.48.6+EZK.48.7	Efraim
EZK.48.1+EZK.48.2+EZK.48.3+EZK.48.4+EZK.48.5+EZK.48.6+EZK.48.7	Ruben
EZK.48.1+EZK.48.2+EZK.48.3+EZK.48.4+EZK.48.5+EZK.48.6+EZK.48.7	Yehuda
EZK.48.8	Bahagian tanah yang selanjutnya harus diasingkan untuk kegunaan yang tertentu. Panjangnya harus 12.5 kilometer dari sempadan utara ke selatan. Sempadan timur dan barat harus sama panjangnya dengan bahagian-bahagian yang diberikan kepada suku-suku lain. Rumah TUHAN akan dibina di bahagian ini.
EZK.48.9	Di pusat bahagian ini, sebuah kawasan seluas 12.5 kilometer panjang dan 10 kilometer
EZK.48.10	Para imam akan mendapat sebahagian daripada kawasan yang suci ini. Bahagian mereka seluas 12.5 kilometer dari timur ke barat, dan 5 kilometer dari utara ke selatan. Rumah TUHAN harus dibina di tengah-tengah bahagian ini. 
EZK.48.11	Bahagian suci ini untuk para imam keturunan Zadok. Mereka telah mengabdi kepada-Ku dengan setia dan tidak seperti orang Lewi sesuku mereka, yang turut berbuat dosa bersama-sama umat Israel yang lain. 
EZK.48.12	Oleh itu keturunan Zadok harus diberikan bahagian istimewa, di samping kawasan orang Lewi. Bahagian itulah yang paling suci. 
EZK.48.13	Orang Lewi juga akan memiliki bahagian khas di sebelah selatan tanah para imam. Luasnya juga harus 12.5 kilometer dari timur ke barat, dan 5 kilometer dari utara ke selatan. 
EZK.48.14	Tanah yang dikhaskan untuk TUHAN ialah tanah yang terbaik di seluruh negeri. Sejengkal pun daripada tanah itu tidak boleh dijual, ditukar ataupun dipindah ke tangan orang lain, kerana tanah itu suci dan milik TUHAN.
EZK.48.15	Di bahagian selatan tanah yang dikhaskan itu, masih ada bahagian selebihnya yang panjangnya 12.5 kilometer dan lebarnya 2.5 kilometer. Bahagian ini tidak suci dan boleh digunakan oleh rakyat. Mereka boleh tinggal di situ dan menggunakan tanah itu sebagai padang rumput. Sebuah kota harus dibina di tengah-tengahnya, 
EZK.48.16	dan bentuknya empat persegi; setiap sisinya berukuran 2.25 kilometer. 
EZK.48.17	Di sekeliling kota itu harus ada tempat terbuka yang lebarnya 125 meter. 
EZK.48.18	Di sebelah timur dan barat kota itu, ada tanah terbuka yang luasnya 5 kilometer kali 2.5 kilometer. Kedua-dua bidang tanah itu harus digunakan oleh rakyat di kota itu untuk bercucuk tanam. 
EZK.48.19	Sesiapa sahaja yang tinggal di kota itu, daripada semua suku Israel, boleh menggunakan tanah itu untuk bercucuk tanam.
EZK.48.20	Seluruh kawasan itu, termasuk tanah yang khusus dan tanah untuk kota, berbentuk persegi empat yang berukuran 12.5 kilometer pada setiap sisi.
EZK.48.21+EZK.48.22	Tanah di sebelah barat dan timur dari tanah yang dikhaskan untuk Rumah TUHAN, tanah para imam, tanah orang Lewi dan kota itu, ialah milik penguasa yang memerintah. Di sebelah timur, tanah itu terbentang sampai ke sempadan timur, dan di sebelah barat sampai ke Laut Tengah, dan terletak di antara tanah Yehuda di utara, dan tanah Benyamin di selatan.
EZK.48.23+EZK.48.24+EZK.48.25+EZK.48.26+EZK.48.27	Tanah di sebelah selatan kawasan yang dikhaskan itu, iaitu dari sempadan timur sampai ke Laut Tengah di sebelah barat, hendaklah dibahagikan kepada suku yang selebihnya menurut susunan ini dari utara ke selatan:
EZK.48.23+EZK.48.24+EZK.48.25+EZK.48.26+EZK.48.27	Benyamin
EZK.48.23+EZK.48.24+EZK.48.25+EZK.48.26+EZK.48.27	Simeon
EZK.48.23+EZK.48.24+EZK.48.25+EZK.48.26+EZK.48.27	Isakhar
EZK.48.23+EZK.48.24+EZK.48.25+EZK.48.26+EZK.48.27	Zebulon
EZK.48.23+EZK.48.24+EZK.48.25+EZK.48.26+EZK.48.27	Gad
EZK.48.28	Di sebelah selatan tanah Gad terdapat sempadan yang bermula dari kota Tamar ke mata air Kades-Meriba, lalu ke barat laut sepanjang sempadan negeri Mesir sampai ke Laut Tengah.
EZK.48.29	TUHAN Raja berfirman, “Demikianlah tanah itu harus dibahagikan kepada suku-suku Israel untuk menjadi milik mereka.”
EZK.48.35	Seluruh tembok itu panjangnya 9 kilometer. Mulai sekarang kota itu dinamakan, “TUHAN Ada Di Sini!”
DAN.1.2	Tuhan membenarkan Raja Nebukadnezar menawan Raja Yoyakim dan merampas sebahagian daripada barang-barang berharga di Rumah TUHAN. Raja Nebukadnezar membawa bersama-samanya beberapa orang tawanan dan menempatkan mereka di kuil dewa-dewanya di Babel. Baginda menyimpan barang-barang berharga itu di dalam gudang-gudang kuil.
DAN.1.3	Raja Nebukadnezar memerintah Aspenas, ketua pegawai istananya, untuk memilih beberapa orang pemuda dari kalangan orang Israel yang dalam pembuangan. Para pemuda itu harus daripada keturunan raja atau berdarah bangsawan. 
DAN.1.4	 Mereka harus kacak, berpendidikan tinggi, cerdas, dan berpengetahuan luas serta tidak cacat, supaya mereka dapat berkhidmat di istana raja. Aspenas diperintah supaya mengajar mereka membaca dan menulis bahasa Babilonia. 
DAN.1.5	Raja juga memberikan perintah agar setiap hari mereka diberikan makanan dan wain sama seperti yang diberikan kepada anggota keluarga diraja. Selepas latihan selama tiga tahun, mereka akan dihadapkan kepada raja. 
DAN.1.6	Antara mereka yang terpilih ialah Daniel, Hananya, Misael, dan Azarya, semuanya daripada suku Yehuda. 
DAN.1.7	Ketua pegawai istana itu memberi mereka nama-nama baru, iaitu Beltsazar, Sadrakh, Mesakh, dan Abednego.
DAN.1.8	Daniel bertekad untuk tidak menajiskan dirinya dengan makanan dan wain yang ditetapkan oleh raja. Oleh itu dia meminta pertolongan Aspenas, 
DAN.1.9	dan Allah menyebabkan Aspenas mengasihani dan menyayangi Daniel. 
DAN.1.10	Tetapi Aspenas berkata kepada Daniel, “Aku takut kepada tuanku raja. Baginda telah menetapkan makanan dan minuman kamu. Jika kamu tidak kelihatan sihat seperti pemuda lain, raja akan membunuh aku.”
DAN.1.11	Kemudian Daniel berkata kepada pengawas yang ditugaskan oleh Aspenas untuk menjaga dia dan tiga orang kawannya, 
DAN.1.12	“Ujilah kami selama sepuluh hari. Berilah kami sayur dan air sahaja untuk makanan dan minuman. 
DAN.1.13	Selepas sepuluh hari, bandingkanlah rupa kami dengan rupa pemuda lain, yang makan makanan yang ditetapkan oleh raja. Kemudian buatlah keputusan berdasarkan pengamatanmu.”
DAN.1.14	Pengawas itu bersetuju dan membenarkan mereka mengadakan percubaan selama sepuluh hari. 
DAN.1.15	Selepas sepuluh hari, mereka kelihatan lebih sihat dan kuat daripada semua pemuda yang makan makanan yang ditetapkan oleh raja. 
DAN.1.16	Sejak hari itu pengawas itu membenarkan mereka terus makan sayur-sayuran, dan tidak makan makanan atau minum wain yang ditetapkan oleh raja.
DAN.1.17	Allah memberi empat orang pemuda itu pengetahuan dan kepakaran dalam kesusasteraan dan falsafah. Tambahan pula, Dia memberi Daniel kebolehan untuk mentafsirkan penglihatan dan mimpi.
DAN.1.18	Pada akhir tiga tahun masa latihan yang ditentukan oleh raja itu, Aspenas menghadapkan semua pemuda itu kepada Raja Nebukadnezar. 
DAN.1.19	Raja menemuramah mereka dan mendapati Daniel, Hananya, Misael, dan Azarya melebihi pemuda-pemuda lain dalam segala bidang. Oleh itu mereka dilantik untuk berkhidmat di istana raja. 
DAN.1.20	Setiap kali raja mengemukakan persoalan yang memerlukan penerangan dan pertimbangan, raja mendapati jawapan dan tanggapan keempat-empat orang pemuda itu sepuluh kali lebih baik daripada jawapan dan tanggapan semua penilik dan ahli sihir di seluruh kerajaan baginda. 
DAN.1.21	Daniel terus berkhidmat di istana itu sehingga Raja Kores dari Persia, mula memerintah.
DAN.2.1	Pada tahun kedua pemerintahannya, Raja Nebukadnezar bermimpi. Raja sangat khuatir tentang mimpinya itu sehingga tidak dapat beradu. 
