MAT.1.1	Ekitabu kyesyondengo sya Yesu Kristo, mugala wa Dawidi, mugala wa Abrahamu.
HEB.11.40	kusangwa Mungu iniamabitubikira ekindu kyowene kwilaba aho, ebo sibaberere bate haguma netu.
HEB.12.1	Neryo kusangwa tutimbirweko nekitu kinene kitya kyabalangiri, tuyihigule kwe bitulitohere byosi, nebibi ebikamatana netu kutsibu, tutibite neritindaluha omo matangwa owabirihirwa embere syetu, 
HEB.12.2	itunemosamalira Yesu oyo watsuka noyu kandisyabererya erikirirya ryetu, oyu wasika oko musalaba busana nobutseme wahirawa emuliro wuwe, mwapona esisoni esyo, na lino ikere oko byala byamali byekitumbi kyobwami bwoMungu.
HEB.12.3	Muganiraya oyo wasika omo buyigu obwabakola nabi, na ritya imutaluha kutse erioloba omo mutima. 
HEB.12.4	Omo malwa nebibi simwetahika aho muta omusasi omo malwa ayo. 
HEB.12.5	Kandi mwabiribirirwa erihana eryo rikabahula mo bagala kwehi? riti,
HEB.12.5	Omugala wage, isiwapona erisuyira ryoMukama,
HEB.12.5	Kutse siwolobe omugulu ukakungawa naye.
HEB.12.6	Kusangwa oyo oMukama anzire yakaswiraya,
HEB.12.6	Nerisuyira oburi mugala oyo akakokaya.
HEB.12.7	Musike omwiswiribwa eryo. Mungu akabayira nga bagala; kusangwa mugala ni wahi oyo ise wuwe ateswiraya kwehi? 
HEB.12.8	Mwamabya butsira erisuyirwa nga bandi bosi, imuri basa nenyinya isimuri bagala. 
HEB.12.9	Nakandi twabya itunawite abotata wetu abe kihugo abakatusuyira netu tukakengabo. Sitwangowa kwilaba aho ise webirimu tukabyaho kwehi? 
HEB.12.10	Kusangwa ebo mobatusuyira akatambi kake ngoko ryatsemesayabo, nikwa iye akatusuyira eritukola ndeke, itwasangira obubuyirire buwe. 
HEB.12.11	Kusangwa oko katambi ako erisuyira ryosi rikabya obulige butsira eritsemesya; enyuma waho rikayira ebiguma byobuholo byeritunganene busana nabo abakiyisibawa muryo.
HEB.12.12	Neryo musumbe amaboko alerembire musikaye amatwi molomolo, 
HEB.12.13	muyire esyonzira situganene busana nebisandu byenyu, ekilema sikitsukukale, nikwa kilamibawe. 
HEB.12.14	Muyi tsinge eribya nobuholo oko bandu bosi, neribya nobubuyirire kandi buteko sihali mundu wasyalola oko Mukama. 
HEB.12.15	Mulebaye sihabye omundu oyo kabula eribana olukogo lwoMungu; sihabye omurihi owerikaliha owakalasa nerileta obulige nabangi ibatsanda busana nago; 
HEB.12.16	sihabye omusingiri kutse oyo tekenga Mungu nga Isau, owagulaya omwandu wuwe busana nekisa kiguma. 
HEB.12.17	Kusangwa munasi enyuma kwaho mwa sonda erihabwa omuyisa womwandu, mwataligirwa, kusangwa mwatabana omwanya weribinduka, nomwana asondayago neri rira ryemisoni.
HEB.12.18	Kusangwa simwetahika oko kitwa ekikatulawako, noko muliro owagulumira, noko mwirimya, nekitu kikinire, noko kanyabungu, 
HEB.12.19	noko mulenge wengubi, nomulenge webinywe abakowabyo ibagonga-gonga bati ebindi sibeswebugawa nabo. 
HEB.12.20	Kusangwa mobataluka okwowa eritegeka eryo ryahabawa riti, enyama yamatula oko kitwa ekyo iyitwa omo mabwe. 
HEB.12.21	Kandi, omwatsi oyo iniakubahaya kutsibu kyaleka Musa iniabuga ati, Namatitimana neriubaha. 
HEB.12.22	Nikwa inywe mwa birihika oko kitwa Sioni noko muyi woMungu uyuriho, ne Yerusalema yelubula, noko bamalaika abateganzika, abahindene neritsema, 
HEB.12.23	noko kanisa yehimbere abasakire elubula, noko mutsweri oyuri Mungu wabosi, noko birimu byabandu batu nganene ibabiriyirwa mo babuyirire, 
HEB.12.24	nuku Yesu, omu sangania werilaga rihya, noko musasi werilagalirya owakabuga nolukogo kwilaba omusasi wa Abele.
HEB.12.25	Mulebaye simugane oyu kabuga. Kusangwa nibya moba tabala abagana oyo wakungabo omwihana omo kihugo, kwilaba aho sitwendisyabala twamagana oyu katukunga omwihana erilwa elubula. 
HEB.12.26	Omulenge wuwe mwatitimania e kihugo ekiro ekyo; nikwa lino abirilaga ati, Hakisiya engendo nguma inatitimania butsira e kihugo kyokyene nikwa nolubula. 
HEB.12.27	Eki nywa eki kiti, Hakisiya engendo nguma, kikahula erilusibwa ryebikatitimanibawa ngekyo kyahangikawa, ebitetoka erititi manibwa ibyatoka eribyaho. 
HEB.12.28	Neryo, erihabwa obwami obutatoka eritenganibwa, tubye newasingya, na ritya tuhe oMungu erisaba erikaligawa omwikenga nerimuswekera; 
HEB.12.29	kusangwa Mungu wetu ni muliro owakakiriraya.
HEB.13.1	Olwanzo olwomusindo owabagala babo lubye. 
HEB.13.2	Simwi birirawe erikokya abageni, kusangwa ritya abandi babiri kokya abalaika isibasibo. 
HEB.13.3	Mwibuke abari omo muliki, nga muri omo muliki haguma nabo; na bakakolawa nabi, kusangwa nenyu muri omo mubiri. 
HEB.13.4	Eriherukania rikengawe nabosi, negingo yabo isiyayirawa mo nyibi; kusangwa Mungu akasya tswera abamaragane nabasingiri. 
HEB.13.5	Mubike engebe yenyu sibohawe nolwanzo lwesyofaranka, mubye nobuholo omobyo muri nabyo; kusangwa abiribuga ati, Sindiendisyakwibirirwa na kera kutse erikusigania. 
HEB.13.6	Kikaleka itwatoka eribuga nerisika tuti,
HEB.13.6	OMukama ni muwatikya wage; sindiendisiubaha;
HEB.13.6	Ko mundu anganyikolaki kwehi?
HEB.13.7	Mwibuke abasondoli benyu, ababuga nenyu eKinywa kyo Mungu; muganiraye enduli yengebe yabo, mugerereraye eri­kirirya ryabo. 
HEB.13.8	Yesu Kristo siarihinduka muligolo, na munabwire nakera nakera ikwane atya. 
HEB.13.9	Simutwalawe omwi kangirirya ryemisindo-misindo neryobugeni; kusangwa ryowene omutima iniasika omo lukogo, butsira erisika omo byalya, ebiteha endundi oko bakakwamabyo. 
HEB.13.10	Itwe tuwite aherihe rera habakakola omubiri wehema isibawite ehamuli yeririraho. 
HEB.13.11	Kusangwa emibiri yesyonyama esyo muhereri mukulu akaleta omusasi wasyo ahabuyirire mo buhere busana nebibi sikahisiribawa ekyaswa kyomuyi. 
HEB.13.12	Ritya Yesu mwagalwa enyuma weririmbo iniatoka erihigula abandu busana nomusasi wuwe. 
HEB.13.13	Neryo tumwegaye ekyaswa kyomuyi, itunahekire eritsumwa busana naye. 
HEB.13.14	Kusangwa eno situwite omuyi weribyaho, nikwa tusonde omuyi owakandisyasa. 
HEB.13.15	Neryo busana naye tuhe oko Mungu endambi yosi obuhere bweripipa, ebyo ni biguma byeminywa yetu eyikapipa erina riwe. 
HEB.13.16	Simwibirirawe erikola ebibuya nerisangira ebyo muwite nabandi, kusangwa Mungu akatsemisibawa namahere awari atya.
HEB.13.17	Mowe abakabasondola muyibombeke busana nabo; ku sangwa bakategaya emitima yenyu, nga bandu bakandisyaleta eriganza. Bakole batya nobutseme, butsira nobulige, kusangwa erikola no bulige siryebaletera endundi.
HEB.13.18	Mutusabire, kusangwa tukayiketera eribya nomulenge womutima owate nolubanza, itukasonda erikola ndeke omo myatsi yosi. 
HEB.13.19	Ngabago nomuhwa kwilaba nyiti mutusabire inatoka erisubibwa kwinywe luba.
HEB.13.20	Neryo oMungu wobuholo oyo walubukaya oko baholi Mukama wetu Yesu, oMulisya mukulu wesyombuli, busana nomusasi werilaga ryakera na kera, 
HEB.13.21	abahe eribya nebyowene byosi imwatoka erikola erisonda riwe, iniakakola omwisi wenyu ebyerisimwa embere siwe, busana na Yesu Kristo; olukengerwa lubye kwiye na kera na kera. Bibye bitya.
HEB.13.22	Ngabalembalemba, bagala betu, nyiti mowe eKinywa kyage kyeribahana, kusangwa namabasakira myatsi mike. 
HEB.13.23	Mwangaminya ko mugala wetu Timoteo abiriboholwa, amasa luba nasyabalolako ituri haguma naye. 
HEB.13.24	Mumbukiraye abasondoli bosi na babuyirire bosi. Abakalwa eItalia baka babukaya. 
HEB.13.25	Olukogo lubye ninywe bosi. Bibye bitya.
JAS.1.1	Yakobo, omugombe woMungu nowoMukama Yesu Kristo, oko bihanda erikumi nebibiri ebipanzapanzirwe:
JAS.1.1	Ngabakeraya.
JAS.1.2	Balikyetu, muganze ebyosi mo butseme omugulu muka hindana nerilengwako misindomisindo, 
JAS.1.3	kusangwa munasi erilengwako ryerikirirya ryenyu rikaletera erisika eriteluha. 
JAS.1.4	Kandi erisika riteluha rikole omubiri waryo werihikana, imwatoka eribererera nerihikana, butsira eribula kindu.
JAS.1.5	Nikwa hamabya muguma kwinywe oyu kabula amenge, asabe oMungu oyu kaha abosi butsira buhemu butsira yihania, naye asyahabwa. 
JAS.1.6	Nikwa abulaye omwikirirya, butsira ni tikatika, 
JAS.1.7	kusangwa oyu katikatika aringe bisunda ebyomo ngetsi ebika kunawa neriguswa nerihunga. 
JAS.1.8	Kusangwa omundu oyo siatolere eriganirya ati omundu wamalengekania abiri oyu tasikire omo syonzira siwe syosi, asyahabwa ekindu oko Mukama.
JAS.1.9	Nikwa omugala wetu oyu hehere ayipipe omwihamibwa riwe, 
JAS.1.10	nowebindu omwikehibwa riwe, kusangwa ngobusoyo bwebiti asyahwaho. 
JAS.1.11	Kusangwa eryuba ryahuluka nekibu hira kyerihisya ibyumya ebiti; obusoyo bwabyo ibwalagala, nobubuya bwabo ibwahera. Neryo omundu webindu asyumira atya omo syonzira siwe.
JAS.1.12	Oinuyisa ari oko mundu oyu kasika omwilengwako, kusangwa amabitoka erirengwako asyangirira embita yengebe eyo Mungu abirilaga abamwanzire. 
JAS.1.13	Omundu siabuge omugulu akarengawako ati, Mungu yukanyirengako; kusangwa Mungu siaritoka erirengwako nekibi naye siarirenga oko mundu; 
JAS.1.14	nikwa oburi mundu akarengawako omugulu akahekawa neritebibwa nesyongumbu siwe. 
JAS.1.15	Neryo engumbu yama biheka obukule ikabuta ebibi; nebibi byabikula ibyabuta oluholo. 
JAS.1.16	Simutebibawe, abagala betu banze. 
JAS.1.17	Oburi erihitya ribuya noburi erihitya erihikene bikalwa endata, bika ndagala erilwa oko Ise webyakakala oyu tehinduka kutse eriyira ekitsutsu kyeribinduka. 
JAS.1.18	Okwisonda riwe mwatubuta omo kinywa kyekwenene itwabya omusindo webiguma byerimbere ebyerihangika riwe.
JAS.1.19	Muminye eki, abagala betu banze. Oburi mundu anguhe eriowa, sianguhe okwibuga, sianguhe okwihitana, 
JAS.1.20	kusangwa erihitana ryabandu siririyira eritunganene ryoMungu. 
JAS.1.21	Neryo muhiyire hali ebitisirire ebyosi nerikanya ryebibi, mwangirire nobolo eKinywa kyabiriherwa omwisi wenyu, ekyangatoka erilamya ebirimu byenyu. 
JAS.1.22	Nikwa mubye abakoli bekinywa, butsira abowa bakyo busa, imukayiteba. 
JAS.1.23	Kusangwa omundu amabya omwowa wekinywa isimukoli, aringe omundu oyu kayileberaya omo kilolero; 
JAS.1.24	kusangwa akayilolako kandi akagenda neryo inibirirwa kwalwa sosire. 
JAS.1.25	Nikwa oyu kasa marira ebihano ebihikene, ebihano byeriyigenderya, akakwa mirirabyo nomuhwa, isimowi omwibirirwa nikwa omukoli oyu kakola, asyabana omuyisa omwikola riwe. 
JAS.1.26	Omundu ama ganirya ngani wekisomo, isiarikakiraya olulimi luwe nikwa akateba omutima wuwe, ekisomo kyomundu oyu ni busa. 
JAS.1.27	Ekisomo ekiri ibuya kite nebitisirire embere syoMungu na Tata kyeki: eriyabana esyongubi nabakwakali omo bulige bwabo, neriyiteya butsira ebitingu omo kihugo.
JAS.2.1	Abagala betu, suhambe erikirirya ryoMukama wetu Yesu Kristo owolukengerwa nerisombola bandu. 
JAS.2.2	Kusangwa hamabya omundu oyu kingira omwihindana ryenyu amabya iniambite esyombuka syezahabu nesyongimba esyowenenga, kandi omundu mwera iniambite esyongimba esitowene naye amingira, 
JAS.2.3	nenyu imukakenga oyo kambala esyongimba esyowenenga muti, Ikala ahowene hano; naho mukabwira omundu mwera muti, wimane harya, kutse wikale omwisi wekitumbi kyebisandu byage; 
JAS.2.4	simukasombola abandu omukati-kati kenyu, imukabya abatsweri bamaringikania mabi kwehi? 
JAS.2.5	Mowe, abagala betu banze. Mungu siaritayisoga abera be kihugo eribya abebindu omwikirirya nabari bomwandu bobwami obwalaga abamwanzire kwehi? 
JAS.2.6	Nikwa inywemwabirihemula omundu mwera. Si bandu bebindu bakabe ndereraya neribakurira omwibugiro kwehi? 
JAS.2.7	Sibo bakatsuma erina eryolukengerwa eryo mukahulawamo kwehi?
JAS.2.8	Mwamaberererya ebihano byobwami, ngoko amasako ati, Wanze mulikyenyu ngoko uyanzire, imwamakola ndeke. 
JAS.2.9	Nikwa mwamasombola abandu, imwamakola ekibi, mwama singwa nebihano nga bakola nabi. 
JAS.2.10	Kusangwa oyu kabika ebihano byosi nikwa amahalya omo kiguma iniabirihalya omo byosi. 
JAS.2.11	Kusangwa oyo wabuga ati, susingire, yowanabuga ati, Siwite. Neryo wamatindasingira ukita, wabirihalya omo bihano. 
JAS.2.12	Mubuge, mukole nga bakandisyatswera nebihano byeriyigenderya. 
JAS.2.13	Kusangwa oyu tegenyera siendisyage nyerwa omwitswerwa; nikwa eriganyira lusingire olubanza.
JAS.2.14	Kwe ni ndundi yahi, abagala betu, omundu amabuga ati Awite erikirirya isiawite emibiri kwehi? Erikirirya riwe ryangatoka erimulamya kwehi? 
JAS.2.15	Omugala wetu kutse mwali wetu amabya endumbu kutse amabula ebyerirya byebiro byosi, 
JAS.2.16	nikwa omuguma wakwinywe amamubwira ati, Ugende obuholo, usisimuke gugute, isiaritahabo ebyobwaga bwomubiri, endundi irihi kwehi? 
JAS.2.17	Ritya erikirirya iryoryene eritawite emibiri iriholire.
JAS.2.18	Nikwa ogundi asyabuga ati, Uwe uwite erikirirya nage ngwite emibiri. Ungangaye erikirirya ryawe eritawite emibiri, nage ngandikukangya erikirirya ryage erikaminyikala omo mibiri yage. 
JAS.2.19	Ukikiriraya uti Mungu ni muguma, ukakola ndeke. Nikwa nesyombinga sikikiriraya—sikatitimana. 
JAS.2.20	Una nzire erikangiriribwa, uwe mundu mukiru, kwerikirirya rite nemibiri ni rigumba kwehi? 
JAS.2.21	Abrahamu tata wetu mwa tayirwa mutunganene omo mibiri ekiro ahereraya mugala Isaka aheriherera kwehi? 
JAS.2.22	Kandi ukalangira erikirirya ko rya tulungana nemibiri yiwe, erikirirya riwe moryahikana omo mibiri yiwe, 
JAS.2.23	namasako mwabererera owakabuga ati, Abrahamu mwikirirya Mungu, moryaganzwa mo ritunganene; kandi mwahulwa mo mwira woMungu. 
JAS.2.24	Ulebaye ngoko mundu akatungananibawa omo mibiri butsira nerikirirya iryo ryene. 
JAS.2.25	Ritya Rahabu musingiri mwatatungananibwa nemi biri omugulu akokaya abakwenda nerikangyabo eyindi nzira kwehi? 
JAS.2.26	Kusangwa ngoko omubiri ate nekirimu iniaholire ritya erikirirya erite nemibiri iriholire.
JAS.3.1	Abagala betu, ukwinywe sihabye bangi eribya abakangirirya, kusangwa mwasi ko twasyatswerwa kwilaba. 
JAS.3.2	Kusangwa itwe bosi tukatwikala mo bingi, noyu tetwikala omo kyakabuga ni mundu ahikene, iniakatoka eritegeka omubiri gosi. 
JAS.3.3	Neryo twamahira ebyuma omo muno wesyofarasi isyatoka eritowa, tukasondola emibiri yasyo yosi. 
JAS.3.4	Mulebaye amatu nago; nomwangabya manenemanene akakunawa nerihunga erikalire, akasondolibawa nengahya ngengenge eyo omutunganania akasonda erilolyabo. 
JAS.3.5	Nolulimi ko luri lutya ni kitsuko kike lukayihalamba mo myatsi minene. Mulebaye ekisuki kinene kikahisibawa nomuliro muke! 
JAS.3.6	Kandi olulimi ni muliro. Olulimi ni kihugo kyebibi omo bitsuko byetu, lo lukaheraya omubiri gosi, lukakaya eribyaho ryosi, kandi lukakibawa nekyuna kyomuliro. 
JAS.3.7	Kusangwa emisindo yosi yesyonyama nesyonyonyu, esyonzoka nesyonyama syomo ngetsi, sikatoka eribegeribwa kandi syabiribegereribwa na bandu, 
JAS.3.8	nikwa olulimi sihari omundu wangatoka eribegeryalo—ni kibi kite luhuka, iluswire nobuti obukaholaya. 
JAS.3.9	Nalo lo tukahamo oMukama na Tata omuyisa, kandi nalo lo tukatakiramo abandu, abahangikawa omwisosa ryoMungu. 
JAS.3.10	Omo buno buguma mukalwa eritsumala neritakira. Abagala betu, omwatsi oyu siatolere eribya atya. 
JAS.3.11	Kwe eyisoko ikahulukaya amagetsi agowene nebilabu erilwa omo kyuna kiguma kwehi? 
JAS.3.12	Abagala betu, omuti womutini angatoka eributa ebiguma byezeituni, kutse omuliki webinyu angatoka eributa mutini kwehi? Ritya amagetsi womunyu siangatoka erilwamo agowene.
JAS.3.13	Ni ndi owamenge noweriminya omukati-kati kenyu kwehi? Akanganaye emibiri yiwe nemibere yiwe yowene omo bolo bwamenge. 
JAS.3.14	Nikwa mwamabya neritsura erikalihire neriyianza omo mitima yenyu, simuyihalambe neribiha omo kwenene. 
JAS.3.15	Amenge aya si musindo owakalwa endata, nikwa ni we kihugo, ni wesyongumbu, ni weSatani. 
JAS.3.16	Kusangwa ahari obuha neriyianza, hari erinegena nerikola ebibi byosi. 
JAS.3.17	Nikwa amenge owakalwa endata owene, kandi ni wobuholo, ahehere, akowa erihanwa, uswire neriganyira ne mbuto yowene, ebitatikatika kutse eriteba. 
JAS.3.18	Kandi ebiguma byeritunganene bikaherawa omo buholo nabo bakayira obuholo.
JAS.4.1	Niki kikaleta amalwa nerinegena omukati-kati kenyu kwehi? Si sye syongumbu syenyu esikalwira omo bitsuko byenyu kwehi? 
JAS.4.2	Mukasonda isimuwite; mukita. Kandi mukatsura, simwebanaki; neryo mukalwa nerihira amalwa. Simuwite kusangwa simwesaba. 
JAS.4.3	Mukasaba, simuriangirira, kusangwa mukasaba nabi, nerihityabyo omo syongumbu syenyu. 
JAS.4.4	Inywe abasingiri, simwasi obwira bwe kihugo ni buyigu bwoMungu kwehi? Neryo oyu kasonda eribya omwira we kihugo akayiyira mo nzigu yoMungu. 
JAS.4.5	Kutse mukaganiraya muti amasako akabuga buyira, kwehi? ati, Akakwa olukando lwobuha oko kirimu ekyo ahira eriikala omwisi wetu. 
JAS.4.6	Nikwa akaha olukogo olulabire kikaleka iniabuga ati, Mungu akalwa nabakayanza nikwa akaha olukogo oko bakayikehaya. 
JAS.4.7	Neryo muyihire oko Mungu. Nikwa mulwe neSatani naye asyabasaga. 
JAS.4.8	Muyilete hakuhi noMungu naye akandisegera hakuhi nenyu. Mweraye ebyala byenyu, inywe bakola nabi, mweraye emitima yenyu, inywe bandu bemitima ibiri. 
JAS.4.9	Mwagalawe, mususumane, murire. Eriseka ryenyu rihinduke isusumana nobutseme bwenyu buhinduke bulige. 
JAS.4.10	Muyikehaye embere syo Mukama naye akandisyabahamya.
JAS.4.11	Simunegulirane, abagala betu. Oyu kanegulira mugala wabo kutse akatswera omugala wabo, akanegulira ebihano kandi akatswera ebihano. Nikwa wamatswera ebihano, suri mukoli webihano nikwa omutsweri. 
JAS.4.12	Hari muguma oyu kahira ebihano yo mutsweri, yu katoka erilamya neriherya; nikwa uwe uwendi ukatswera mulikyenyu kwehi?
JAS.4.13	Mwase, inywe mukabuga muti, Munabwire kutse mungya twasyaya oko muyi murebe twasikalaho mututa, twasyatunda, neribana endundi; 
JAS.4.14	isimwasi ebikandisyabya omungyakya. Engebe yenyu niki kwehi? Kusangwa muri luhohe olukami nyikala akatambi kake nakandi ilwakikukala. 
JAS.4.15	Kumbe mutolere eribuga muti, OMukama amanza, twasyabyaho twasyakola eki kutse kirya. 
JAS.4.16	Nikwa mukayipipa omo bulumelume bwenyu. Eriyipipa eri ryosi nibi. 
JAS.4.17	Oyu wasi erikola kitunganene atekolakyo, ini kibi kwiye.
JAS.5.1	Inywe, abebindu mwase, murire mususumane busana namalige awakandisyabahikako. 
JAS.5.2	Ebindu byenyu byabiri honda nesyongimba syenyu syabiriribwa nehinyurugunzu. 
JAS.5.3	Zahabu syenyu nebitsipa byenyu byabirikwa amakenge, na makenge wabyo asyabya mulangiri busana nenyu asyarya emibiri yenyu ngomuliro. Mwabiriyibikira ebindu busana nebiro byenyuma. 
JAS.5.4	Lebaya, ebihembo byabagesi benyu aba gesa amarima wenyu, ebyo mwimabo neriteba, bikabirikira; nerilaka ryabagesi ryabirihika omo matwi woMukama wemi londo. 
JAS.5.5	Mwabiriikala omo kihugo omo bindu neriyitsemesya; mwabiriugutya emitima yenyu omo kiro kyerikera. 
JAS.5.6	Mwabi ritswera lubi, mwabiriita oyu tunganene; naye isiaritalwa nenyu.
JAS.5.7	Neryo, bagala betu, mulindirire, erihika aho oMukama asyasira. Lebaya omulimi akalinda ebiguma bye kihugo ebye nzwere nene, akalindirirabyo erihika aho asyabanira embula eyerimbere ne yenyuma. 
JAS.5.8	Nenyu mulindirire mutya. Musi kaye emitima yenyu, kusangwa erihika ryoMukama riri hakuhi. 
JAS.5.9	Abagala betu, simutongane, mukasyatswerwa lubi; lebaya, oMutsweri ahangene embere wesyonyui. 
JAS.5.10	Abagala betu, muleberaye oko baminyereri ngo lulengo lweriagalwa nerilinda ababuga omo rina ryoMukama. 
JAS.5.11	Lebaya, tukahulabo mo bomuyisa abasika. Mwabiriowa erisika eriteluha ryaYobu, kandi mwabirilangira erisonda ryoMukama, ngoko Mukama ni weriganyira nolukogo.
JAS.5.12	Nikwa kwilaba ebyosi, bagala betu, simulahiraye, kutse elubula, kutse e kihugo kutse erindi erilahirya eryosi, nikwa ega yenyu ibye ega, ne yihiyenyu ibyeyihi simubane eritswerwa lubi.
JAS.5.13	Hari mundu wa kwinywe oyu kagalawa kwehi? Asabe. Hari oyu katsema kwehi? Imbe eripipa. 
JAS.5.14	Hari omukati-kati kenyu oyu lwere kwehi? Abirikire abakulu bekanisa, bamu sabire, nerimuhakabya maguta omo rina ryoMukama; 
JAS.5.15	neri saba ryerikirirya ryasyalamya omundu ulwere, noMukama asyamuhangania; amabya arikola ebibi, asyabuyirwa. 
JAS.5.16	Neryo mukangananaye ebibi byenyu, nerisabirana, imwatoka erila mibwa. Erisaba ryomundu oyu tunganene riwite obutoki bunene omwikola ryaryo. 
JAS.5.17	Elia abya mundu womusindo wetu naye mwasaba nomuhwa ati embula siswewa, neryo mwitaswawa omo kihugo emituta isatu nemikera ndatu, 
JAS.5.18	Kandi mwaswasaba nolubula molwaleta embula, ne kihugo mokyaswabuta ebiguma byakyo.
JAS.5.19	Abagala betu, omundu wakwinywe amatala akalwa omo kwenene nogundi amamusubulya, 
JAS.5.20	aminye kwoyu ukasu bulaya omukola nabi akamulusaya okwitala ryenzira yiwe asyalamya ekirimu kiwe omo luholo kandi asyakuningira ebibi binene.
1PE.1.1	Petero, omukwenda wa Yesu Kristo, oko abasayi aBapanza panzawa ePonto, neGalatia, eKapadokia, eAsia neBitania, 
1PE.1.2	abayisogawa nerihirwa noMungu Tata nerihigulwa neKirimu busana neriowa Yesu Kristo kandi busana nerilagarirya ryo musasi wuwe: Olukogo nobuholo bikanye kwinywe.
1PE.1.3	Omuyisa abye okoMungu na Tata woMukama wetu Yesu Kristo! Busana neriganyira riwe rinene twabiributwa buhya buhya omo maha weribyaho busana nerilubuka ryaYesu Kristo oko baholi, 
1PE.1.4	kandi busana nomwandu owatehonda, owate kwesyonye, owate keha, ogo mubikirwe omo lubula, 
1PE.1.5	abaka teyibawa na kagala koMungu omwikirirya busana nerilama erisikire eribisulwa oko mugulu wenduli. 
1PE.1.6	Mukatsema mwekyo, nomo ritolere eriagalwa lino akatambi kake omwi lengwako misindomisindo, 
1PE.1.7	neryo eriminyikala ryerikirirya ryenyu, eriwite enzwere nene kwilaba zahabu eyikahera nomo yangalengwa omo muliro, ritoke eribanika okwipipa noluke ngerwa nerisikya okwibisulwa ryaYesu Kristo. 
1PE.1.8	Oyo mukanza isimwemwamulolako: nomo mutemwamulangira lino muka mwikiriraya neritsema nobutseme obutebwangahulwa obuswire nolukengerwa. 
1PE.1.9	Noko nduli yerikirirya ryenyu mukahabawa erilama ryebirimu byenyu. 
1PE.1.10	Erilama eryo abaminyereri mobasonda neribulirirya nomuhwa, abaminyerera olukogo olukasyabya lwenyu; 
1PE.1.11	mobabulya nga ni mundu wahi nomugulu wahi ebyahulawa nekirimu kyaKristo ekiri omwisi syabo eriminyerera eriagalwa ryaKristo nolukengerwa oluka ndisyakwama ebyo. 
1PE.1.12	Mobyabisulirwabo bati sibeyikolera nikwa inywe bakolera, omo myatsi eyo mwabiribwirwa naba batulira engulu yowene omo Kirimu Kibuyirire ekyatumawa erilwa elubula, emyatsi eyo abalaika basonda erilolako.
1PE.1.13	Neryo mubohe esyombindi syamaringikania wenyu, muyitegaye oko bikakundaya, muhire amaha wenyu kutsibu oko lukogo olo mukandisyaleterwa okwibisulwa ryaYesu Kristo. 
1PE.1.14	Nga bana abakowa, simubindulawe omo syongumbu syeri tindaminya ryenyu ryerimbere, 
1PE.1.15	nikwa ngoko oyo wababiri kira abuyirire; nenyu mubye babuyirire omo mibere yenyu yosi; 
1PE.1.16	kusangwa kisakire kiti, Mwasyabya ababuyirire, kusangwa nage nyibuyirire. 
1PE.1.17	Kandi mwamamubirikira nga Tata oyu katswera oburi mundu nge mibiri yiwe butsira erisombola bandu, mubuge ebiro byenyu byobubunga omu baha. 
1PE.1.18	Munasi ko mwatongolibawa butsira omo bindu bikahonda, nge bitsipa kutse zahabu, erilwa oko mibere mwiyira kwabotata wenyu; 
1PE.1.19	Nikwa omo musasi wenzwere nene owaKristo ngekyana kyembuli kite kokitingu kutse bulema. 
1PE.1.20	Oyo waminyawa embere wekibanza kye kihugo nikwa aminyikalibawa oko enduli yemigulu busana nenyu. 
1PE.1.21	Busana naye muri abikirirye oko Mungu, oyu wamulubukaya oko baholi nerimuha olukengerwa, kikaleka erikirirya ryenyu namaha wenyu ibyabya oko Mungu. 
1PE.1.22	Imwabierya emitima yenyu busana neriowa ryenyu omwatsi wakwenene busana nerianza bagala benyu butsira eriteba, mwanzane nomuhwa omo mutima.
1PE.1.23	Mwabiributwa buhya-buhya, butsira omo mbuto ikahonda nikwa omo mbuto itehonda, kye kinywa kyoMungu ekiriho ekikakota; 
1PE.1.24	kusangwa
1PE.1.24	Emibiri yosi iringe biti
1PE.1.24	Nobubuya bwayo bosi buringo busoyo bwebiti.
1PE.1.24	Ebiti bikuma, nobusoyo bwabyo ibwalagala,
1PE.1.25	Nikwa eKinywa kyoMukama kikabyaho kera na kera, eKinywa ekyo ni ngulu yowene eyo mwatulirawa.
1PE.2.1	Neryo muhige ebibi byosi nepono yosi neriteba neritsura nerilega. 
1PE.2.2	Nge syomekeke, mwanze amasabu wekirimu awate nepono, imwatoka eritsuka erihika okwilama; 
1PE.2.3	ku sangwa mwabirigerya ko Mukama ni wolukogo. 
1PE.2.4	Muhike kwiye eribwe eryo eririho, eryaganawa nabandu nikwa embere syoMungu ryayisogawa neryenzwere nene; 
1PE.2.5	nenyu ngamabwe awariho muhimbirwe omo nyumba yekirimu, eribya ekihanda kyabahereri ababuyirire, eriherera amahere wekirimu awakasi mawa noMungu busana na Yesu Kristo. 
1PE.2.6	Kusangwa kiri omo masako kiti:
1PE.2.6	Lebaya, nasyahira omo Sioni eribwe, eribwe ryengonde eryayisogawa eryenzwere nene,
1PE.2.6	Noyu kamwikiriraya siendisyitwa esisoni.
1PE.2.7	Busana ninywe mukiriraya, iye ni wobuguri bunene, nikwa busana nabatikirirye,
1PE.2.7	Eribwe eryo abahimbi bagana,
1PE.2.7	Ryabiribya omutwe wengonde,
1PE.2.8	kandi,
1PE.2.8	Eribwe ryasyatwikalya abandu, olukuka lwasyatoyabo; kusangwa bakatwikala oko kinywa kusangwa sibariowa, ngoko bahirawa erikola ritya. 
