MAT.1.1	Mɛkana maka kɛ lɛpɔ kasi Yesus Krist nɛ̀ mɛɗinɔ mɛ ɓesaŋmbambɔ ɓenɛ. Nyɛ nday Davit, nday Abaraham. 
HEB.5.2	A yakama wokɔ yasi te yi ɗya̧ kɛ yi ɓotu ɓete ɓe ndekima mɛyasi, nɛ̀ ɓaka ɓe jatɛ kɛ yiŋa mɛnje ɓaka, kɛto yo ɗyáŋ sendi nyɛ nda ɓo. 
HEB.5.3	Yo kɛto te yite yi nyɛ yâkaŋgwɛ nyɛ sadaka, kɛto mɛɓeyɔ mɛte yenɛ nɛ ŋguru wenɛ nɛ̀ yi ɓotu ɓe kandɔ sendi. 
HEB.5.4	Mumɔ ti ɓóŋ nyaŋgwɛ ɗiyɔ te nɛ ŋguru wenɛ na. Yasi wɛtɛ, yo Njambiyɛ nɛ ŋguru wenɛ jeɓa mumɔ tɛmbiɗye nyɛ nda yi nyɛ kelma kwey nɛ *Arɔn kɛ́.
HEB.5.5	Kɛ yi *Krist, yo ɓa̧ sendi ɗete. Nyɛ nɛ ŋguru wenɛ tì ɓu̧ nyaŋgwɛ ɗiyɔ kum ɓotu ɓe nyɛna sadaka nyɛ kɛ yotu nɛ na. Yasi wɛtɛ, yo Njambiyɛ lɛpɛ nyɛ nyɛ nde: ‹Wɛ mɔnmbɛ, kandɛ ndana mi mɛ sɔŋgwɛ.› 
HEB.5.6	Yo nda yi yo kɛtinate sendi womaŋa kɛ mɛkana mɛ Njambiyɛ nde: ‹Wɛ mɔ nyɛna sadaka kpo nɛ kpo nda Mɛlkisedɛk.› 
HEB.5.7	Kɛ joŋgwɛ ɗyenɛ kɛ mɛnɛti maka, Yesus ɗikima ŋgwɛta jaɓa kembiɗya ɗetinate punjɛ misiɗyɛ kɛ misi kɛ mbɔmbu Njambiyɛ te ɛ ɓa̧ nɛ ɗeti te yi soŋɛ sɔŋ kɛ yotu nɛ kɔ. Ɛ Njambiyɛ wokɛ mɛŋgwɛta mɛnɛ, kɛto Yesus piɗya yotu kɛ mbɔmbu wenɛ. 
HEB.5.8	Ko ɓɛkɔ nde, a ɓa̧ gbate Mɔnɔ wenɛ, a kwaŋma nɛ nje mɛbɔnɛ yí jekɛ nɛ kelna yasi te yi Njambiyɛ kwaɗyɛ kɛ́. 
HEB.5.9	Kɛ Njambiyɛ ma si nyɛ nyɛ ɗeti te yi tonjɛ mɛyasi hɛnɛ kɛ́, ɛ nyɛ nje ɓɛ mɔ te ɛ ɓutɛ nje yí joŋgwɛ nɛ ɓomɔ hɛnɛ ɓe kelɛ yasi te yi nyɛ lɛpɛ yí nyɛ ɓo joŋgwɛ te yi kpo nɛ kpo. 
HEB.5.10	Ɗete, ɛ Njambiyɛ tɛmbiɗye nyɛ nde, a ɓɛ̂ki nyaŋgwɛ kum ɓotu ɓe nyɛna sadaka nda Mɛlkisedɛk.
HEB.5.11	Wusɛ nɛ ɓuɗya mɛyasi mɛte yi wusɛ yakama lɛpɔ nyɛ wunɛ kɛ kasi nyaŋgwɛ kum ɓotu ɓe nyɛna sadaka kɔ. Yasi wɛtɛ, yí nɛmbɛ nɔ, yo nɛ ɗetɔ, kɛto wunɛ yeti se kɛ ɓiye to mɛyasi nɛdɔ nda yi mbɔmbu na. 
HEB.5.12	Ma, kɛ ɓuɗya ŋgimɔ te yi sima kwa̧ kɛ́, ma wunɛ mɛ ndana ɓotu ɓete ɓe yakama teɗye mɛyasi nyɛ ɓɛsɔ, yasi wɛtɛ, yo kɛ diyɛ ndana nde, ɓo ɓâsiɗya teɗye sendi wunɛ bosa mɔnɔ mɛyasi mɛte yi ɓo kandima teɗye wunɛ mbɔmbu kɛ mɛlɛpi mɛ Njambiyɛ kɛ́. Wunɛ mɛ ndana nda ɓɔnɔ ɓete ɓe ndi kɛ ɗye ɓɛri ɓaka. Nɛ̀ nde, wunɛ ɗyâki mɛɗye mɛte yi nɛ ɗetɔ, wunɛ kɛ kpalɔ kelɔ nde, ɓo nyɛ̂ki wunɛ mɔrɔku mɛɓɛri nɛ kɔkɔ. 
HEB.5.13	Yo nde, mɔ te ɛ ndi kɛ ɗye ɓɛri kɔ ndi nɛ gbɛla mɔnɔsikɛ. Njɛl mɔ te mbɛte tì pa duwɛ nɛmbina yasi te yi nɛ ŋgbeŋ nɛ̀ yasi te yi ɓɛ kɔtute kɛ́ na. 
HEB.5.14	Ma ɗetina mɛɗye ɓɛ́ŋa goto ɓomɔ. Njɛl ɓotu te ɓɛte yakama nɛmbɛ kimɔ yasi nɛ̀ ɓeya yasi, kɛto ɓo nya sosu yan kɛ jekina mɛyasi mɛte, ɛ ɓo si yila nɔ.
HEB.6.1	Ma ɗete, hɛ kɛ̂n kɛndɔ mbɔmbu jekɛ mɛyasi mɛte yi ɓɛŋɛ goto ɓomɔ. Hɛ tî ɗiy ndi kɛ kiya mbɛy kɛ bosa mɛyasi mɛte yi ɓo teɗya wusɛ kɛ kasi *Krist kɛ́ na. Hɛ ma si tɛmbiɗye mɛkol mɛ tu̧, hɛ tî ɓasiɗya tɛmbiɗye se na. Hɛ sima lɛpɔ yo nyɛ wunɛ, yo nde, ɓomɔ tûm kɔŋ nɛ mɛkele mɛte yi kɛ̀ nɛ mumɔ kɛ nje sɔŋ kɛ́, yeŋsa temɔ tikɔ kɛ yi Njambiyɛ. 
HEB.6.2	Hɛ sima nɛmbɛ njoka tɔpuna ɓomɔ kɛ mɔrɔku te yi kwaŋna kɛ́ nyɛ wunɛ, lɛpɔ kasi kasa mɛɓɔ kɛ yotu ɓomɔ te yi kelna kɛ́ nɛ̀ kasi womiya ɓemuŋ nɛ̀ kasi pɛsina jɔsi te yi Njambiyɛ ta pɛsɔ kɛ siyna mbokɔ kɛ́. 
HEB.6.3	Ma ndana, ŋgɛ Njambiyɛ jayɛ, hɛ tí ɓɔnɛ ndi wari na, hɛ ta kɛ̀ mbɔmbu.
HEB.6.4	Njambiyɛ paniya puyɛ nyɛ ɓaŋa ɓomɔ. Ɓo nɛ ŋguru wan ɓɛŋma nde, yasi te yi Njambiyɛ nya ɓo kɛ́ gba kimɔte. Ɓo ɓɛŋma sendi mɛkamna mɛ Kimɔ Sisiŋ. 
HEB.6.5	Ɓo ɓɛŋma gbate nde, mɛlɛpi mɛ Njambiyɛ kimɔ yasi, kandɛ ɓɛŋna nyaŋgwɛ ŋguŋguɗyɛ ŋgimɔ te yi ta duwɛ nje kɛ́. 
HEB.6.6	Ɓotu ɓete ɓɛŋma duwɛ mɛyasi mɛnɔri hɛnɛ. Yasi wɛtɛ, ɓo kpalma tumɔ kɔŋ nɛ Njambiyɛ. Ma ɗete, nje te yi ɓo yakama kelɔ nde, ɓotu ɓete yêŋsaŋgwɛ sendi temɔ nɛ kɔkɔ kɛ́ yeti se na. Yo nda ɓo nɛ ŋguru wan kɛ kala ŋgba Mɔnɔ Njambiyɛ kɛ kroa, kelɔ nde, ɓomɔ wûŋgwɛ nyɛ. 
HEB.6.7	Hɛ pâŋ ɓu̧ yekambiyɛ nɛ mɛnɛti. Ŋgɛ mbiyɔ ɗiki nɔ nɛ kpik kpik kɛ yiŋa mbɛy, ŋgɛ mɔrɔku ɗiki nyiŋɛ mɛnɛti ɓɔsɛ yo, ŋgɛ mɛnɛti mɛte joŋgwɛ nyambi yí kamɛ nɛ ɓotu ɓete ɓe kelma ŋgwaŋ womɛte ɓaka, yite Njambiyɛ kɛ nyɛ mɛnɛti mɛte mɛkombila. 
HEB.6.8	Ma ŋgɛ mɛnɛti mɛte kpalɛ kelɔ nde, mɛmbunjɔ mɛte yi nɛ mɛsɔru nda mɛŋgombiya kɛ́ jôŋ kɛte, yite ɓomɔ ɓɛ́ŋa mɛnɛti mɛte soŋɛ misi, Njambiyɛ má kita nɛ yo si loɗyɛ yo nɛ ŋgito. 
HEB.6.9	Wunɛ njɔŋ, sɔŋ temɔ su, ko ɓɛkɔ nde, wusɛ lɛ̂pinaŋgwɛ ɗete, wusɛ nɛ ɓiɓina temɔ nde, wunɛ kɛ gba kimɔ nje te yi ta kelɔ nde, Njambiyɛ jôŋgwɛ wunɛ. 
HEB.6.10	Hɛ lɛ́pi ɗete, kɛto Njambiyɛ yeti mɔ te ɛ kelɛ yasi kɔtute na. A tí leŋsa mɛsay mɛte yi wunɛ kelɛ nɛ̀ mɛkwaɗya mɛte yi wunɛ teɗya suŋgwɛ nɛ nyɛ kɛ́ na. Mɛkwaɗya mɛte kɛ ɓɛŋna kɛ kimɔ mɛyasi mɛte yi wunɛ kelma suŋgwɛ nɛ ɓotu ɓenɛ nɛ̀ yi wunɛ kɛ̀ mbɔmbu kelɔ kɛ́. 
HEB.6.11	Ma yasi te yi wusɛ gɔrɛ kɛ́, yo nde, mumɔ hɛnɛ kɛ njoka yun nyɛ̂ki sosu nɛ hɛnɛ kɛ kelna mɛsay ɗete kumɔ kɛ siynate. Ɗete, wunɛ ta ɓɛ nɛ mɛyasi hɛnɛ te yi wunɛ ɓɛ nɛ ɓiɓina temɔ nde, wunɛ ta ɓɛ nɔ kɛ́. 
HEB.6.12	Ma wusɛ yeti kɛ kwaɗyɛ nde, ɗyɛm ɓîya wunɛ na. Yasi wɛtɛ, hɛ kwáɗyikwɛ nde, wunɛ kêl nda yi ɓotu ɓe Njambiyɛ ɓete ɓe tikɛ temɔ kɛ yenɛ, ɓɛ sendi nɛ tiŋ kelɛ kɛ́. Ɓo kɛ nje ɓɛ nɛ kimɔ mɛyasi mɛte yi nyɛ kpoma tikɛ ɓo kɛ́.
HEB.6.13	Kɛ ŋgimɔ te yi Njambiyɛ kpoma yiŋa yasi nyɛ Abaraham kɛ́, a lɛpima kinja yotu nɛ nɛ ŋguru wenɛ, kɛto mbaŋa mɔ te ɛ kwaŋma nyɛ, na kinja yotu mɔ te yeti na. 
HEB.6.14	A lɛpima kinja yotu nɛ nde: ‹Gbakasi, mi ta tonjɛ wɛ nɛ mɛkombila, kelɔ nde, ɓenday ɓɔ nyɛ̂ɓi nyɛɓɔ kɛ̀ nɔ mbɔmbu.› 
HEB.6.15	Abaraham wokuma ɗete, ɛ nyɛ kelɛ tiŋ laɗye. Ɗete, ɛ nyɛ nje ɓɛ nɛ yasi te yi Njambiyɛ kpoma nde, a ta nyɛ nyɛ kɛ́. 
HEB.6.16	Kɛ yi ɓomɔ ɗiki kinja nɔ kɛ́, ɓo kínjaŋgwɛ nɛ ɗinɔ mɔ te ɛ ɓɛ nyaŋgwɛte kwa̧ ɓo kɔ. Ŋgɛ mumɔ kinja ɗete, yo kɛ teɗye nde, lɛpi te yi nyɛ lɛpɛ kɛ́, gbakasi. Ɔ ɓɛ́ŋa, mɛso te yi ɓa̧ kɛ njoka yan kɛ́ tí kɛ̀ se mbɔmbu na. 
HEB.6.17	Ɗete, Njambiyɛ kwaɗya teɗye nɛ nje te yite nyɛ ɓotu ɓete ɓe nyɛ si kpo yiŋa yasi nyɛ ɓo ɓaka nde, ko a tí ɗiyɔ kinɛ tonjɛ yasi te yi nyɛ si kpo kɛ́ na. Yí teɗye nɛ yo, a lɛpinama nje kinja sendi yotu. 
HEB.6.18	Kɛ mɛyasi maka yiɓa, yite nde, ŋgɛ Njambiyɛ si kpo yiŋa yasi, kinja sendi yotu nɛ, yaŋa tí sɛnjɔ se kɛte na. Ko a ti kél ja̧ na. Ɗete, pɛ wusɛ ɓotu ɓete ɓe sɔma kɛ yasi nɛ ɓaka, yo kɛ nyɛ wusɛ nyaŋgwɛ ɗeti te yi ɓɛ nɛ ɓiɓina temɔ nɛ ŋgbik kɛ mɛyasi mɛte yi nyɛ sima kpo nyɛ wusɛ kɛ́. 
HEB.6.19	Ɓiɓina temɔ te yi wusɛ nɔ ɗete kɛ yi Njambiyɛ kɛ́ kɛ kelɔ nde, wusɛ ɗîy nɛ ŋgbiŋgim kinɛ ndeŋsa na nda yi dindɛ tɛmbiɗye nɛ landi nɛ njik kɛ sombu kɛ́. Ɓiɓina temɔ te kɛ kelɔ sendi nde, wusɛ lâŋsaŋgwɛ lambɔ te yi ɓo kɛsa petɔ nɛ mbɛy te yi nɛ kiyɔ kɛ́ nyiŋɛ kumɔ kɛ mɔyte mate. 
HEB.6.20	Yesus ma kakɛ nje nyɛ wusɛ, kandɛ kumɔ mate, ɛ nyɛ nje ɓɛ nyaŋgwɛ kum ɓotu ɓe nyɛna sadaka kpo nɛ kpo nda Mɛlkisedɛk.
HEB.7.1	Mɛlkisedɛk kɔ ɓa̧ kumande Salɛm.*f1* A ɓa̧ sendi mɔ nyɛna sadaka nyɛ Njambiyɛ te ɛ kwaŋma mɛyasi hɛnɛ kɛ kwey kɔ. Kɛ ŋgimɔ te yi Abaraham ɓa̧ kɛ yɔkwɛ kɛ loŋna ɗyambi komɛ nyɛ laŋsama ɓuɗya ɓekumande kɛ́, ɛ Mɛlkisedɛk tɛmɛ kɛ̀ saŋgwa nɛ nyɛ kwa̧ nyɛ nyɛ mɛkombila. 
HEB.7.2	Kɛ mɛyasi hɛnɛ te yi Abaraham yɔkwa̧ nɔ kɛ ɗyambi kɛ́, a ɓakima kwalɔ yasi hɛnɛ kɛ mɛŋgaɓiyɛ kamɔ kamɔ. Ɛ nyɛ ɓu̧ ŋgaɓiyɛ kwalɔ mɛyasi mɛte wɛtɛ wɛtɛ nyɛ Mɛlkisedɛk. Faŋ to ɗinɔ Mɛlkisedɛk, yo nde: Kumande te ɛ nɛ ŋgbeŋ. Sendi, nyɛ kumande te ɛ Salɛm, yite nde: Kumande te ɛ kelɛ nde, ɓomɔ ɗîy nɛ tɛ. 
HEB.7.3	A kinɛ saŋgwɛ na, a kinɛ nyaŋgwɛ na, a kinɛ ɓesaŋmbambɔ na. Ko ɓo yeti kɛ lɛpɔ kasi jariki nɛ, ho lɛpɔ nde, a gwa̧ na. Ɗete, nyɛ nda Mɔnɔ Njambiyɛ, nyɛ mɔ nyɛna sadaka nyɛ Njambiyɛ kpo nɛ kpo.
HEB.7.4	Nɛ ɓɛ̂ŋa ndi, a ɓa̧ gba nyaŋgwɛte ɓuɗyate. Ko nyaŋgwɛ saŋmbambɔ wusu Abaraham nɛ ŋguru wenɛ, kɛ mɛyasi hɛnɛ te yi nyɛ yɔkwa̧ nɔ kɛ ɗyambi kɛ́, a ɓakima kwalɔ yasi hɛnɛ kɛ mɛŋgaɓiyɛ kamɔ kamɔ, ɓu̧ ŋgaɓiyɛ kwalɔ mɛyasi mɛte wɛtɛ wɛtɛ nyɛ nyɛ. 
HEB.7.5	Kɛ njoka ɓenday ɓe Levi ɓaŋa kɛte ɓotu ɓe nyɛna sadaka nyɛ Njambiyɛ. Mɛmboŋga mɛ Njambiyɛ te yi Mɔyisi kɛtima kɛ́ kɛ nyɛ ɓo ɗeti te yi diyɛ ŋgaɓiyɛ kamɔ kɛ mɛɓɔ mɛ mumɔ hɛnɛ kɛ kandɔ Isarayɛl. Yite nde, ɓo díya ndi kɛ mɛɓɔ mɛ ɓemaŋ ɓan, ko ɓɛkɔ nde, ɓenɛ ɓo hɛnɛ wúla ndi kɛ mɛkiyɔ mɛ Abaraham. 
HEB.7.6	Ma kɛ ɓɛ Mɛlkisedɛk, a yeti nɛ nday Levi nda ɓo na. Ko ɗete, a ɓoŋma ŋgaɓiyɛ kamɔ kɛ mɛɓɔ mɛ Abaraham. A ka̧ sendi mbɔmbu yí nyɛ Abaraham mɛkombila, nyɛ mɔ te yi Njambiyɛ kpoma mɛyasi nyɛ nyɛ kɔ. 
HEB.7.7	Hɛ duwa̧ gbate nde, mɔ te ɛ nyɛ jakɔsɔ mɛkombila kɔ kwa̧ mɔ te ɛ ɓu̧ mɛkombila ɓoŋgɔ kɛ mɛɓɔ mɛnɛ kɔ. Yite kinɛ mɛso na. 
HEB.7.8	Kɛ yi ɓenday ɓe Levi te yi wusɛ lɛpɛ nɔ ɓe ɓu̧ ŋgaɓiyɛ kwalɔ mɛyasi wɛtɛ wɛtɛ kɛ njoka mɛŋgaɓiyɛ kamɔ kɛ mɛyasi hɛnɛ te yi mumɔ ɓɛ nɔ kɛ́, ɓo gbɛla ɓotu ɓete ɓe ta si gwe gwakɔ. Ma yasi wɛtɛ, kɛ yi Mɛlkisedɛk, mɛkana mɛ Njambiyɛ lɛ́pi nde, nyɛ mɔ te ɛ ɓoŋma ŋgaɓiyɛ te kɛ mɛɓɔ mɛ Abaraham kɔ, nyɛ mɔ te ɛ nɛ joŋ. 
HEB.7.9	Hɛ yakama lɛpɔ nde ŋge? Ko Levi, nyɛ mɔ te ɛ ɗiki ɓu̧ ŋgaɓiyɛ kamɔ kɛ mɛɓɔ mɛ njɔŋ nɛ kɔ nya sendi ŋgaɓiyɛ kamɔ te yenɛ nyɛ Mɛlkisedɛk komɛ Abaraham nya nyɛ ŋgaɓiyɛ te yenɛ kɛ́, 
HEB.7.10	ko ɓɛkɔ nde, kɛ ŋgimɔ te yi Mɛlkisedɛk tɛmma kɛ̀ saŋgwa nɛ Abaraham kɛ́, Levi tì pa jaɗyɛ na. Wusɛ lɛ́pi nde, a nya Mɛlkisedɛk yasi nɛ nje Abaraham, kɛto Levi nday Abaraham, nyɛ mɛkiyɔ mɛnɛ.
HEB.7.11	Mɛsay mɛ nyɛna sadaka nyɛ Njambiyɛ te yi ɓenday ɓe Levi ɗikima kelɔ kɛ́ ɓa̧ njuku mɛmboŋga mɛte yi Njambiyɛ nya kandɔ Isarayɛl kɛ́. Ma mɛsay mɛte yi ɓo kelma kɛ́ má tonjukwɛ mɛyasi hɛnɛ te yi Njambiyɛ kwaɗya kɛ́, ma wɛtɛ mɔ nyɛna sadaka dɛlɛ ɛ ɓoŋnama nɛ Mɛlkisedɛk tì nje se tikɔ mɔy tu̧ *Arɔn na. 
HEB.7.12	Yo nde, kɛ wɛtɛ jɔnja ɓɔ mɛsay mɛ nyɛna sadaka ɗya̧, yo díya nde, mɛmboŋga sɛ̂njinaŋgwɛ sendi. 
HEB.7.13	Ma Nyaŋgwɛ Kumande wusu te yi wusɛ lɛpɛ nɔ waka kɔ wúla kɛ yiŋa kandɔ dɛlɛ. Wɛtɛ mɔ kandɔ te tì pa ɓɛ mɔ nyɛna sadaka nyɛ Njambiyɛ wɛtɛ yesɔ na. 
HEB.7.14	Ɓomɔ hɛnɛ kɛ kombile duwɛ nde, Nyaŋgwɛ Kumande wusu kɔ wúla kɛ kandɔ Yuda. Komɛ Mɔyisi lɛpima kasi ɓotu ɓe nyɛna sadaka nyɛ Njambiyɛ kɛ́, a tì lɛpɛ kasi wɛtɛ mɔ kandɔ te na.
HEB.7.15	Mɛsay mɛ nyɛna sadaka te yi ɓotu ɓe kandɔ Levi ɗikima kelɔ kɛ́ tì ɓɛ nɛ ɗeti te yi tonjɛ yasi te yi Njambiyɛ kwaɗya kɛ́ na. Yasi te yi teɗye nɛ saŋsaŋ nde, yo ɗete kɛ́, yo kɛto Njambiyɛ nja̧ tɛmbiɗye mbaŋa mɔ nyɛna sadaka dɛlɛ, mbɛte nda Mɛlkisedɛk. 
HEB.7.16	A ti ɓóŋ ɗiyɔ mɔ nyɛna sadaka, kɛto a wúla kɛ wɛtɛ kandɔ ɓotu ɓe nyɛna sadaka nda yi mɛmboŋga mɛ ɓomɔ pɛsɛ kɛ́ na. Yasi wɛtɛ, a ɓóŋ ɗiyɔ te, kɛto nyɛ nɛ ŋguŋguɗyɛ te yi ɗiyɔ nɛ joŋ kpo nɛ kpo. 
HEB.7.17	Yo kwaŋnama ɗete nda yi mɛkana mɛ Njambiyɛ lɛpɛ kɛ kasi nɛ nde: ‹Wɛ mɔ nyɛna sadaka kpo nɛ kpo nda Mɛlkisedɛk.› 
HEB.7.18	Ɗete, Njambiyɛ sima li̧ mɛmboŋga mɛte yi mbɔmbu, kɛto yo tì ɓɛ nɛ ɗeti te yi kelɔ yaŋa na. Sendi, yo tì ɓɛ nɛ ɗeti te yi joŋgwɛ mumɔ na, 
HEB.7.19	kɛto mɛmboŋga mɛte tì kelɛ nde, mumɔ ɓɛ̂ki nɛ ŋgbeŋ kɛ mbɔmbu Njambiyɛ na. Ma ndana, yo mɛ nɛ yiŋa yasi te yi kwaŋma mɛmboŋga. Yo yasi te yi wusɛ ɓɛ nɛ ɓiɓina temɔ kɛte, yo kɛ ɓutɛ wusɛ nje yí kɛ̀ nɔ kɛ kɛki Njambiyɛ. 
HEB.7.20	Kɛ mɛyasi mɛnɔri, Njambiyɛ kinjama yotu nɛ nɛ ŋguru wenɛ. Ma kɛ tɛmbiɗya ɓotu ɓe nyɛna sadaka te ɓari, a tì kinja yotu nɛ na. 
HEB.7.21	Yasi wɛtɛ, kɛ yi Yesus, kɛ yi Njambiyɛ tɛmbiɗya nɛ nyɛ kɛ́, Njambiyɛ nɛ ŋguru wenɛ kinjama yotu lɛpɔ nyɛ nyɛ nde: ‹Mi Baba Mbokɔ kinjama nde, wɛ Mɔ nyɛna sadaka kpo nɛ kpo. Ko mi tí yɔkiɗye se numbu na.› 
HEB.7.22	Ɗete, Yesus nja̧ ɓɛ mɔ te ɛ ɓakiɗye kpasa mbon te ɛ kwaŋma ɛ mbɔmbu kɛ njoka su sinɛ ɓe Njambiyɛ.
HEB.7.23	Ma yiŋa yaŋa kɛte sendi, yo nde, kɛ yi ɓotu ɓe nyɛna sadaka te ɓari, ɓo ɓa̧ ɓuɗyate, kɛto ɓo ɗikima gwe, sɔŋ tì tikɛ nde, ɓo kɛ̂n nɛ mɛsay man mbɔmbu na. 
HEB.7.24	Ma kɛ ɓɛ yi Yesus, yo yeti ɗete na, kɛto nyɛ mɔ te ɛ ɗiyɛ kpo nɛ kpo. Ɗete, ko yesɔ wɛtɛ nɛ wɛtɛ mumɔ tí ɓu̧ say mɔ nyɛna sadaka kɛ mɛɓɔ mɛnɛ na. 
HEB.7.25	Yo kɛto te yite sendi yi nyɛ yakama joŋgwɛ ɓomɔ hɛnɛ ɓe kwa̧ nɛ nyɛ kɛ̀ nɔ kɛ̀ yi Njambiyɛ ndi tu wɛtɛ nɛ sat, kɛto a nɛ joŋ kpo nɛ kpo. A kɛ ŋgwɛta nɛ Njambiyɛ mɛtu hɛnɛ kɛto yan.
HEB.7.26	Yo gba njɛl nyaŋgwɛ kum ɓotu ɓe nyɛna sadaka nda yɔkɔ ɛ yakama nɛ wusɛ. A pupunate kɛ mbɔmbu Njambiyɛ. A kinɛ mɛjɔsɔ na. A kinɛ mɔnɔ mɛɓeyɔ nɛ mbɛt kɛ yotu nɛ na. A yeti nɛ kumbɔ ɓenɛ ɓotu ɓe mɛɓeyɔ na. Njambiyɛ ɓendiɗya nyɛ kɛnjɛ kɛ ɗyoɓɔ kɛ kwey. 
HEB.7.27	A yeti nɛ nda ɓe nyaŋgwɛ ɓekum ɓe ɓotu ɓe nyɛna sadaka te ɓari na. Kɛ yan, mɛtu hɛnɛ ɓo ɗikima pa nyɛ sadaka nyɛ Njambiyɛ kɛto mɛɓeyɔ mɛte yan nɛ ŋguru wan, nje nyɛ sendi kɛto yi ɓotu ɓe kandɔ. Ma kɛ yi Yesus, a nya sadaka nyɛ Njambiyɛ ndi tu wɛtɛ nɛ sat. Yo nde, a nya yotu nɛ nɛ ŋguru wenɛ nɛ sadaka. 
HEB.7.28	Nyaŋgwɛ ɓekum ɓe ɓotu ɓe nyɛna sadaka te yi ɓo ɗikima tɛmbiɗye ɓeŋgwɛ mɛmboŋga mɛ Mɔyisi ɓaka ɓa̧ ndi gbɛla ɓomɔ nɛ mɛjɔsɔ sendi. Ma kɛ ɓɛ *Mɔnɔ, lɛpi te yi Njambiyɛ nja̧ lɛpɔ kinja yotu nɛ kɛ́ nja̧ ɓu̧ mbɛy mɛmboŋga. Lɛpi te nja̧ tɛmbiɗye Mɔnɔ wenɛ nyaŋgwɛ kum ɓotu ɓe nyɛna sadaka, kelɔ nde, a ɓɛ̂ki kpo nɛ kpo nɛ njololo kɛ mɛyasi hɛnɛ.
HEB.8.1	Ma nyaŋgwɛ yasi te yi wusɛ jekɛ kwaɗyɛ lɛpɔ kɛ́, yo nde: Wusɛ mɛ ndana gbate nɛ nyaŋgwɛ kum ɓotu ɓe nyɛna sadaka nyɛ Njambiyɛ. A ka̧ ɗiyɔ mɛtiɗyɛ kɛ kwey kɛ mbam ɓɔ Njambiyɛ te ɛ ɗiyɛ nɛ mɛyasi hɛnɛ kɔ. 
HEB.8.2	A kél mɛsay mɛ nyaŋgwɛ kum ɓotu ɓe nyɛna sadaka kɛ mbɛy te yi nɛ kiyɔ, kpasa mbɛy te yi Baba Mbokɔ nɛ ŋguru wenɛ kombila, yeti mumɔ na.
HEB.8.3	Ɓo tɛ́mbiɗya nyaŋgwɛ kum ɓotu ɓe nyɛna sadaka hɛnɛ, na ɓu̧ mɛyasi kaŋɛ nyɛ Njambiyɛ, wo sendi ɓenyamɔ kelɔ nɛ sadaka nyɛ nyɛ. Ɗete, yo kimɔte nde, nyaŋgwɛ kum ɓotu ɓe nyɛna sadaka te wusu ɓɛ̂ki sendi nɛ yasi te yenɛ yi nyɛ ta nyɛ Njambiyɛ kɛ́. 
HEB.8.4	Ndi nde, a má ɓɛki kɛ mɛnɛti maka, ko ma nyɛ tì ɓɛ mɔ nyɛna sadaka na, kɛto yo nɛ gwɛya̧ ɓotu ɓe nyɛna sadaka kɛte ɓe kaŋɛ mɛyasi nyɛ Njambiyɛ ɓeŋgwɛ mɛmboŋga mɛ Mɔyisi. 
HEB.8.5	Mɛyasi hɛnɛ te yi ɓo kelɛ kɛ́, yo gbɛla yekambiyɛ, yo kɛ ɓoŋna ɓoŋnaŋgwɛ nɛ mɛyasi mɛte yi kelna kɛ ɗyoɓɔ kɛ́. Yo ɗete komɛ Mɔyisi kwaɗya sumɔ njɛl tu̧ te yi ɓo kelɛ nɛ to mɛlambɔ yi wusɛ lɛpɛ nɔ kɛ́, ɛ Njambiyɛ lɛpɛ nyɛ nyɛ nde: ‹Ɓɛŋa, kelɔ tu̧ te ɓeŋgwɛ yekambiyɛ te yi mi teɗya wɛ kɛ keki kɛ́.›
HEB.8.6	Ma ndana, hɛ ɓɛ́ŋa nde, mɛsay mɛte yi *Krist kwaŋma gbate yi ɓotu ɓe nyɛna sadaka te ɓari ɓuɗyate. Hɛ lɛ́pi ɗete, kɛto mɛsay mɛ njuŋɔ te yi nyɛ kelma kɛ́, a kelma yo nɛ nje kpasa mbon te ɛ kwaŋma ɛ mbɔmbu, kɛto kimɔ kpasa mɛyasi mɛte yi Njambiyɛ kpoma nyɛ wusɛ kɛ mɔy mbon te kɛ́ kwa̧ mɛyasi mɛte yi nyɛ kpoma kɛ yi mbɔmbu kɛ́.
HEB.8.7	Ma bosa mbon te yi Njambiyɛ kelma kɛ́ má ɗiy kinɛ mɛjɔsɔ na, ma nyɛ tì tikɛ se mbɛte, nje kelɔ sendi mbaŋa na. 
HEB.8.8	Yo gbate ɗete, kɛto Njambiyɛ lɛpinama nyɛ kandɔ ɗyenɛ yí ndeyɛ ɓo nde: ‹Nɛ ɓɛ̂ŋa, mi Baba Mbokɔ kɛ lɛpɔ nde: Kɛ mɛtu mɛte yi nje kɛ́, mi ta kelɔ jɔnja mbon sinɛ ɓotu ɓe kandɔ Isarayɛl nɛ̀ ɓotu ɓe kandɔ Yuda. 
HEB.8.9	Yo tí ɓɛ nda mbon te yi mi kelma sinɛ ɓesaŋmbambɔ ɓan kɛ ŋgimɔ te yi mi ɓiyma ɓo nɛ gba ɓɔ mbɛ punjɛ soŋɛ kɛ mɛnɛti mɛ Ejipt kɛ́ na. Nda ɓo tì kɛ̀ mbɔmbu ɓeŋgwɛ mbon te kɛ́, ɛ mi soŋɛ temɔ kɛ yotu yan. Yo mi Baba Mbokɔ lɛpɛ ɗete. 
