GEN.1.1	Ar y dechrau cyntaf, dyma Duw yn creu y bydysawd a'r ddaear. 
ROM.8.4	Gwnaeth hyn er mwyn i ni wneud beth mae Cyfraith Duw yn ei ofyn. Dŷn ni bellach yn byw fel mae'r Ysbryd Glân eisiau, dim fel mae ein natur bechadurus eisiau.
ROM.8.5	Mae'r rhai sy'n cael eu rheoli gan y natur bechadurus yn byw i'r hunan, ond mae'r rhai sydd dan reolaeth yr Ysbryd Glân yn byw i wneud beth mae'r Ysbryd eisiau. 
ROM.8.6	Os mai'r hunan sy'n eich rheoli chi, byddwch chi'n marw. Ond os ydy'r Ysbryd Glân yn eich rheoli chi, mae gynnoch chi fywyd a heddwch perffaith gyda Duw. 
ROM.8.7	Mae'r natur bechadurus yn ymladd yn erbyn Duw. Does ganddi ddim eisiau gwneud beth mae Cyfraith Duw'n ei ofyn – yn wir, dydy hi ddim yn gallu! 
ROM.8.8	A dydy'r rhai sy'n cael eu rheoli gan y natur bechadurus ddim yn gallu plesio Duw.
ROM.8.9	Ond dim yr hunan sy'n eich rheoli chi. Mae Ysbryd Duw wedi dod i fyw ynoch chi, felly yr Ysbryd sy'n eich rheoli chi. Os ydy Ysbryd y Meseia ddim wedi cael gafael ynoch chi, dych chi ddim yn bobl y Meseia o gwbl. 
ROM.8.10	Ond os ydy'r Meseia ynoch chi, er bod y corff yn mynd i farw o achos pechod, mae'r Ysbryd Glân yn rhoi bywyd tragwyddol i chi, am fod gynnoch chi berthynas iawn gyda Duw. 
ROM.8.11	Ac os ydy Ysbryd yr Un gododd Iesu yn ôl yn fyw wedi dod i fyw ynoch chi, bydd e'n rhoi bywyd newydd i'ch cyrff marwol chi hefyd. Dyna mae'r Ysbryd Glân sydd wedi dod i fyw ynoch chi yn ei wneud.
ROM.8.12	Felly, frodyr a chwiorydd, does dim rhaid i ni bellach fyw fel mae'r natur bechadurus eisiau. 
ROM.8.13	Mae gwneud hynny yn siŵr o arwain i farwolaeth. Ond, gyda nerth yr Ysbryd Glân, os gwnawn ni wrthod gwneud beth mae'r hunan eisiau, byddwn yn cael bywyd. 
ROM.8.14	Mae pawb sydd a'u bywydau'n cael eu rheoli gan Ysbryd Duw yn cael bod yn blant i Dduw. 
ROM.8.15	Dydy'r Ysbryd Glân dŷn ni wedi'i dderbyn ddim yn ein gwneud yn gaethweision ofnus unwaith eto! Mae'n ein mabwysiadu ni yn blant i Dduw, a gallwn weiddi arno'n llawen, “
ROM.8.16	Ydy, mae'r Ysbryd yn dangos yn glir i ni ein bod ni'n blant i Dduw. 
ROM.8.17	Ac os ydyn ni'n blant iddo, byddwn ninnau hefyd yn derbyn yr holl bethau da mae'n ei roi i'w Fab, y Meseia. Ond cofiwch wedyn, os ydyn ni'n cael rhannu yn ei ysblander mae'n rhaid i ni fod yn barod i ddioddef gydag e hefyd.
ROM.8.18	Dw i'n reit siŵr bod beth dŷn ni'n ei ddioddef ar hyn o bryd yn ddim o'i gymharu â'r ysblander gwych fyddwn ni'n ei brofi maes o law. 
ROM.8.19	Ydy, mae'r greadigaeth i gyd yn edrych ymlaen yn frwd at y dydd pan fydd Duw yn dangos pwy sy'n blant iddo go iawn. 
ROM.8.20	Roedd y greadigaeth wedi cael ei chondemnio i wagedd (dim ei dewis hi oedd hynny – cafodd ei orfodi arni). 
ROM.8.21	Ond mae gobaith i edrych ymlaen ato: mae'r greadigaeth hefyd yn mynd i gael ei gollwng yn rhydd! Fydd hi ddim yn gaeth i lygredd ddim mwy. Bydd yn rhannu'r rhyddid bendigedig fydd Duw'n ei roi i'w blant.
ROM.8.22	Dŷn ni'n gwybod fod y greadigaeth gyfan yn griddfan fel gwraig sydd mewn poen wrth eni plentyn. 
ROM.8.23	Ac nid dim ond y greadigaeth sy'n griddfan, ond ni hefyd sy'n Gristnogion, ac wedi derbyn yr Ysbryd Glân fel rhagflas o beth sydd i ddod. Dŷn ni hefyd yn griddfan o'n mewn wrth ddisgwyl i'r diwrnod ddod pan fydd Duw yn ein mabwysiadu ni ac y bydd ein corff yn cael ei ollwng yn rhydd! 
ROM.8.24	Am ein bod wedi'n hachub gallwn edrych ymlaen at hyn yn hyderus. Does neb yn edrych ymlaen at rywbeth sydd ganddo'n barod! 
ROM.8.25	Ond wrth edrych ymlaen at beth sydd ddim yma eto, rhaid disgwyl yn amyneddgar amdano.
ROM.8.26	Ac mae'r Ysbryd yn ein helpu ni hefyd yn ein cyflwr gwan presennol. Wyddon ni ddim yn iawn beth i'w weddïo, ond mae'r Ysbryd ei hun yn gofyn ar ein rhan ni. Mae yntau'n griddfan – dydy geiriau ddim yn ddigon. 
ROM.8.27	Ond mae Duw yn gwybod beth sydd yng nghalon pawb, ac mae'n gwybod beth ydy bwriad yr Ysbryd. Mae'r Ysbryd yn gofyn i Dduw am y pethau mae Duw yn awyddus i'w rhoi i'w blant.
ROM.8.28	Dŷn ni'n gwybod fod Duw'n trefnu popeth er lles y rhai sy'n ei garu – sef y rhai mae wedi'u galw i gyflawni ei fwriadau. 
ROM.8.29	Roedd yn gwybod pwy fyddai'n bobl iddo, ac roedd wedi'u dewis ymlaen llaw i fod yn debyg i'w Fab. (Y Mab, sef y Meseia Iesu, ydy'r plentyn hynaf, ac mae ganddo lawer iawn o frodyr a chwiorydd.) 
ROM.8.30	Ar ôl eu dewis ymlaen llaw, galwodd nhw ato'i hun. Mae'n eu derbyn nhw i berthynas iawn ag e'i hun, ac wedyn yn rhannu ei ysblander gyda nhw.
ROM.8.31	Felly, beth mae hyn yn ei olygu? Os ydy Duw ar ein hochr ni, sdim ots pwy sy'n ein herbyn ni! 
ROM.8.32	Wnaeth Duw ddim hyd yn oed arbed ei Fab ei hun! Rhoddodd e'n aberth i farw yn ein lle ni i gyd. Felly oes yna unrhyw beth dydy e ddim yn fodlon ei roi i ni? 
ROM.8.33	Pwy sy'n mynd i gyhuddo'r bobl mae Duw wedi'u dewis iddo'i hun? Wnaiff Duw ddim! Duw ydy'r un sy'n eu gwneud nhw'n ddieuog yn ei olwg! 
ROM.8.34	Felly pwy sy'n mynd i'n condemnio ni? Wnaiff y Meseia Iesu ddim! Fe ydy'r un gafodd ei ladd a'i godi yn ôl yn fyw! A bellach mae'n eistedd yn y sedd anrhydedd ar ochr dde Duw, yn pledio ar ein rhan ni. 
ROM.8.35	Oes yna rywbeth sy'n gallu'n gwahanu ni oddi wrth gariad y Meseia? Nac oes, dim byd! Dydy poen ddim yn gallu, na dioddefaint, cael ein herlid, newyn na noethni, peryglon na hyd yn oed cael ein lladd! 
ROM.8.36	Mae'r ysgrifau sanctaidd yn dweud:
ROM.8.37	Ond dŷn ni'n concro'r cwbl i gyd, a mwy, am fod y Meseia wedi'n caru ni. 
ROM.8.38	Dw i'n hollol sicr fod dim byd yn gallu'n gwahanu ni oddi wrth ei gariad e. Dydy marwolaeth ddim yn gallu, na'r un profiad gawn ni mewn bywyd chwaith. Dydy angylion ddim yn gallu, na phwerau ysbrydol drwg. Dim byd yn y presennol nac yn y dyfodol. 
ROM.8.39	Dim byd ym mhellteroedd eitha'r gofod nac yn nyfnderoedd y ddaear! Na, does dim yn y bydysawd yma greodd Duw yn gallu'n gwahanu ni oddi wrth gariad Duw yn ein Harglwydd ni, y Meseia Iesu!
ROM.9.1	Dw i'n dweud y gwir fel Cristion – heb air o gelwydd. Mae nghydwybod i dan ddylanwad yr Ysbryd Glân yn tystio 
ROM.9.2	fy mod i'n ddigalon iawn ac yn poeni drwy'r amser am fy mhobl, yr Iddewon. 
ROM.9.3	Byddwn i'n barod i gael fy melltithio a'm gwahanu oddi wrth y Meseia petai hynny'n gwneud lles iddyn nhw! Fy mhobl i ydyn nhw – y genedl dw i'n perthyn iddi. 
ROM.9.4	Pobl Israel sydd wedi cael eu mabwysiadu gan Dduw yn blant iddo'i hun. Nhw welodd ei ysblander. Ymrwymodd y byddai'n gofalu amdanyn nhw. Nhw gafodd y Gyfraith ganddo, a dysgu sut i'w addoli yn iawn. Nhw dderbyniodd yr addewidion i gyd! 
ROM.9.5	Eu hanes nhw ydy hanes Abraham, Isaac, Jacob a'i feibion, a nhw ydy'r genedl roedd y Meseia yn perthyn iddi fel dyn. Fe sy'n rheoli popeth, yn Dduw i gael ei foli am byth! Amen!
ROM.9.6	Ond dydy Duw ddim wedi torri ei air! Na! Achos dydy pawb sy'n perthyn i wlad Israel ddim yn bobl Israel go iawn. 
ROM.9.7	A dydy profi eich bod chi'n ddisgynyddion i Abraham ddim yn golygu eich bod wir yn blant iddo. Beth mae'r ysgrifau sanctaidd yn ei ddweud ydy, 
ROM.9.8	Hynny ydy, dydy pawb sy'n perthyn i deulu Abraham ddim yn blant Duw. Y rhai sy'n blant go iawn i Abraham ydy'r rhai sy'n blant o ganlyniad i addewid Duw. 
ROM.9.9	Dyma'r addewid wnaeth Duw: 
ROM.9.10	Ac wedyn rhaid cofio beth ddigwyddodd i'r gefeilliaid gafodd Isaac a Rebecca. 
ROM.9.11	A chofiwch fod hyn wedi digwydd cyn iddyn nhw gael eu geni, pan oedden nhw heb wneud dim byd drwg na da (sy'n dangos fod Duw'n gwneud beth mae'n ei addo yn ei ffordd ei hun. Fe sy'n dewis, 
ROM.9.12	dim beth dŷn ni'n ei wneud sy'n cyfri.) Dwedodd Duw wrth Rebecca, 
ROM.9.13	Fel mae'r ysgrifau sanctaidd yn dweud: 
ROM.9.14	Beth mae hyn yn ei olygu? Ydy e'n dangos fod Duw yn annheg? Wrth gwrs ddim! 
ROM.9.15	Dwedodd Duw wrth Moses,
ROM.9.16	Hynny ydy, trugaredd Duw sydd tu ôl i'r cwbl, dim beth dŷn ni eisiau neu beth dŷn ni'n ei gyflawni. 
ROM.9.17	Yn ôl yr ysgrifau sanctaidd dwedodd Duw wrth y Pharo: 
ROM.9.18	Felly mae Duw yn dangos trugaredd at bwy bynnag mae'n ei ddewis, ac mae hefyd yn gwneud pwy bynnag mae'n ei ddewis yn ystyfnig.
ROM.9.19	“Ond os felly,” meddai un ohonoch chi, “pa hawl sydd gan Dduw i weld bai, gan fod neb yn gallu mynd yn groes i'w ewyllys?” 
ROM.9.20	Ond pwy wyt ti i ddadlau yn erbyn Duw? Dim ond person dynol wyt ti! 
ROM.9.21	Oes gan y crochenydd ddim hawl i ddefnyddio'r un lwmp o glai i wneud llestr crand neu i wneud llestr fydd yn dal sbwriel? 
ROM.9.22	A'r un fath, mae gan Dduw berffaith hawl i ddangos ei ddigofaint a'i nerth! Mae wedi bod mor amyneddgar gyda'r rhai sy'n haeddu dim byd ond cosb, ac sy'n dda i ddim ond i gael eu dinistrio! 
ROM.9.23	Ac mae'n barod i ddangos ei ysblander aruthrol, a'i rannu gyda'r rhai mae wedi dewis trugarhau wrthyn nhw, sef y rhai mae wedi'u paratoi ar gyfer hynny o'r dechrau cyntaf. 
ROM.9.24	Ac ie, ni ydy'r rheiny! – dim Iddewon yn unig, ond pobl o genhedloedd eraill hefyd! 
ROM.9.25	Fel mae'n dweud yn llyfr Hosea:
ROM.9.26	a hefyd,
ROM.9.27	Ac mae Eseia'n dweud fel hyn am Israel:
ROM.9.29	Mae'n union fel roedd Eseia wedi dweud yn gynharach:
ROM.9.30	Felly beth mae hyn i gyd yn ei olygu? Mae'n golygu fod pobl o genhedloedd eraill – pobl oedd ddim yn ceisio dilyn Duw – wedi cael eu derbyn i berthynas iawn gyda Duw drwy gredu. 
ROM.9.31	Ond mae pobl Israel, oedd wedi meddwl y byddai'r Gyfraith yn eu gwneud nhw'n iawn gyda Duw, wedi methu cadw'r Gyfraith honno. 
ROM.9.32	Pam? Am eu bod nhw'n dibynnu ar beth roedden nhw eu hunain yn ei wneud yn lle credu. Maen nhw wedi baglu dros 
ROM.9.33	fel mae'r ysgrifau sanctaidd yn dweud:
ROM.10.1	Frodyr a chwiorydd annwyl, dw i'n dyheu o waelod calon ac yn gweddïo ar Dduw y bydd fy mhobl, yr Iddewon, yn cael eu hachub. 
ROM.10.2	Galla i dystio eu bod nhw'n frwdfrydig dros Dduw, ond dŷn nhw ddim wedi deall y gwirionedd. 
ROM.10.3	Yn lle derbyn ffordd Duw o ddod â phobl i berthynas iawn ag e ei hun, maen nhw wedi mynnu ceisio gwneud eu hunain yn iawn gyda Duw drwy gadw'r Gyfraith. Felly maen nhw wedi gwrthod plygu i Dduw. 
ROM.10.4	Ond y Meseia ydy'r nod mae Cyfraith Duw yn anelu ato! Felly y rhai sy'n credu ynddo fe sy'n cael eu derbyn i berthynas iawn gyda Duw.
ROM.10.5	Dyma ddwedodd Moses am y Gyfraith fel ffordd o gael perthynas iawn gyda Duw: 
ROM.10.6	Ond mae cael perthynas iawn gyda Duw drwy gredu yn dweud: 
ROM.10.7	neu 
ROM.10.8	Dyma mae'n ei ddweud: 
ROM.10.9	Os wnei di gyffesu ‛â'th wefusau‛, “Iesu ydy'r Arglwydd”, a chredu ‛yn dy galon‛ fod Duw wedi'i godi yn ôl yn fyw ar ôl iddo farw, cei dy achub. 
ROM.10.10	Credu yn y galon sy'n dy wneud di'n iawn gyda Duw, a chei dy achub wrth gyffesu hynny'n agored. 
ROM.10.11	Fel mae'r ysgrifau sanctaidd yn dweud: 
ROM.10.12	Mae'n union yr un fath i'r Iddew ac i bawb arall. Un Arglwydd sydd, ac mae'n rhoi yn hael o'i fendithion i bwy bynnag sy'n galw arno. 
ROM.10.13	Achos, 
ROM.10.14	Ond wedyn, sut mae disgwyl i bobl alw arno os ydyn nhw ddim wedi credu ynddo? A sut maen nhw'n mynd i gredu ynddo heb glywed amdano? Sut maen nhw'n mynd i glywed os ydy rhywun ddim yn dweud wrthyn nhw? 
ROM.10.15	A phwy sy'n mynd i ddweud wrthyn nhw heb gael ei anfon? Dyna mae'r ysgrifau sanctaidd yn ei olygu wrth ddweud: 
ROM.10.16	Ond dydy pawb ddim wedi derbyn y newyddion da. Fel mae'r proffwyd Eseia'n dweud, 
ROM.10.17	Mae'n rhaid clywed cyn gallu credu – clywed rhywun yn rhannu'r newyddion da am y Meseia. 
ROM.10.18	Felly ai dweud ydw i fod yr Iddewon heb glywed? Na, fel arall yn hollol:
ROM.10.19	Felly, ai'r broblem ydy fod Israel heb ddeall y neges? Na! – Moses ydy'r cyntaf i roi ateb,
ROM.10.20	Ac roedd y proffwyd Eseia ddigon dewr i gyhoeddi fod Duw yn dweud,
ROM.10.21	Ond mae'n dweud fel yma am Israel:
ROM.11.1	Felly dw i'n gofyn eto: Ydy Duw wedi troi cefn ar ei bobl? Nac ydy, wrth gwrs ddim! Israeliad ydw i fy hun cofiwch – un o blant Abraham, o lwyth Benjamin.
ROM.11.2	Felly dydy Duw ddim wedi troi ei gefn ar y bobl oedd wedi'u dewis o'r dechrau. Ydych chi'n cofio beth mae'r ysgrifau sanctaidd yn ei ddweud? Roedd Elias yn cwyno am bobl Israel, ac yn dweud fel hyn: 
ROM.11.4	Beth oedd ateb Duw iddo? Dyma ddwedodd Duw: 
ROM.11.5	Ac mae'r un peth yn wir heddiw – mae Duw yn ei haelioni wedi dewis cnewyllyn o Iddewon i gael eu hachub. 
ROM.11.6	Ac os mai dim ond haelioni Duw sy'n eu hachub nhw, dim beth maen nhw yn ei wneud sy'n cyfri bellach. Petai hynny'n cyfri fyddai Duw ddim yn hael!
ROM.11.7	Dyma beth mae hyn yn ei olygu: Wnaeth pawb yn Israel ddim cael gafael yn beth roedden nhw'n ei geisio mor daer. Ond mae rhai wedi'i gael, sef y rhai mae Duw wedi'u dewis. Mae'r lleill wedi troi'n ystyfnig. 
ROM.11.8	Fel mae'r ysgrifau sanctaidd yn dweud:
ROM.11.9	A dwedodd y Brenin Dafydd fel hyn:
ROM.11.11	Felly ydw i'n dweud fod yr Iddewon wedi baglu a syrthio, a byth yn mynd i godi eto? Wrth gwrs ddim! Mae'r ffaith eu bod nhw wedi llithro yn golygu fod pobl o genhedloedd eraill yn cael eu hachub. Ac mae hynny yn ei dro yn gwneud yr Iddewon yn eiddigeddus. 
ROM.11.12	Ac os ydy eu colled nhw am eu bod wedi llithro yn cyfoethogi'r byd, a'u methiant nhw wedi helpu pobl o genhedloedd eraill, meddyliwch gymaint mwy fydd y fendith pan fyddan nhw'n dod i gredu!
ROM.11.13	Gadewch i mi ddweud hyn wrthoch chi sydd ddim yn Iddewon. Dw i'n ei chyfri hi'n fraint fod Duw wedi fy ngalw i fod yn gynrychiolydd personol iddo, i rannu ei neges gyda chi. 
ROM.11.14	Ond dw i eisiau gwneud fy mhobl fy hun yn eiddigeddus ohonoch chi, er mwyn i rai ohonyn nhw hefyd gael eu hachub. 
ROM.11.15	Os ydy eu taflu nhw i ffwrdd wedi golygu fod pobl o weddill y byd yn dod i berthynas iawn â Duw, beth fydd canlyniad eu derbyn nhw yn ôl? Bydd fel petai'r meirw'n dod yn ôl yn fyw! 
ROM.11.16	Os ydy'r offrwm cyntaf o does wedi'i gysegru i Dduw, mae'r cwbl yn gysegredig. Os ydy gwreiddiau'r goeden yn sanctaidd, bydd y canghennau felly hefyd. 
ROM.11.17	Mae rhai o'r canghennau wedi cael eu llifio i ffwrdd, a thithau'n sbrigyn o olewydden wyllt wedi cael dy impio yn eu lle. Felly rwyt ti bellach yn cael rhannu'r maeth sy'n dod o wreiddiau'r olewydden. 
ROM.11.18	Ond paid meddwl dy fod ti'n wahanol i'r canghennau gafodd eu llifio i ffwrdd! Cofia mai dim ti sy'n cynnal y gwreiddiau – y gwreiddiau sy'n dy gynnal di! 
ROM.11.19	“Ond cafodd y canghennau hynny eu llifio i ffwrdd er mwyn i mi gael fy impio i mewn,” meddet ti. 
ROM.11.20	Digon gwir: Cawson nhw eu llifio i ffwrdd am beidio credu, a chest ti dy osod yn eu lle dim ond am dy fod di wedi credu. Ond paid dechrau swancio; gwylia di! 
ROM.11.21	Os wnaeth Duw ddim arbed y canghennau naturiol, wnaiff e ddim dy arbed dithau chwaith!
ROM.11.22	Sylwa fod Duw yn gallu bod yn garedig ac yn llym. Mae'n llym gyda'r rhai sy'n anufudd, ond yn garedig atat ti – dim ond i ti ddal ati i drystio yn ei garedigrwydd. Neu, fel arall, cei dithau hefyd dy lifio i ffwrdd! 
ROM.11.23	A'r un fath gyda'r Iddewon – tasen nhw'n stopio gwrthod credu, byddai Duw yn eu himpio nhw yn ôl i'r goeden. 
ROM.11.24	Os gwnaeth dy dorri di i ffwrdd oddi ar olewydden wyllt a'th impio yn groes i natur ar olewydden gardd, mae'n ddigon hawdd iddo impio'r canghennau naturiol yn ôl i'w holewydden eu hunain!
ROM.11.25	Frodyr a chwiorydd, dw i am i chi ddeall fod dirgelwch yma, rhag i chi fod yn rhy llawn ohonoch chi'ch hunain. Mae rhai o'r Iddewon wedi troi'n ystyfnig, a byddan nhw'n aros felly hyd nes y bydd y nifer cyflawn ohonoch chi sy'n perthyn i genhedloedd eraill wedi dod i mewn. 
ROM.11.26	Yna bydd Israel gyfan yn cael ei hachub, fel mae'r ysgrifau sanctaidd yn dweud:
ROM.11.28	Ar hyn o bryd mae llawer o'r Iddewon yn elynion y newyddion da, er eich mwyn chi. Ond cofiwch mai nhw oedd y bobl ddewisodd Duw, ac mae e'n eu caru nhw. Roedd wedi addo i'r tadau y byddai'n gwneud hynny! – i Abraham, Isaac a Jacob. 
ROM.11.29	Dydy Duw ddim yn cymryd ei roddion yn ôl nac yn canslo ei alwad. 
ROM.11.30	Ar un adeg roeddech chi, bobl o genhedloedd eraill, yn anufudd i Dduw. Ond am fod yr Iddewon wedi bod yn anufudd, dych chi nawr wedi derbyn trugaredd. 
ROM.11.31	Nhw ydy'r rhai sy'n anufudd bellach. Ond os ydy Duw wedi dangos trugaredd atoch chi, pam allan nhw hefyd ddim derbyn trugaredd? 
ROM.11.32	Y gwir ydy, mae Duw wedi dal pawb yn garcharorion anufudd-dod, er mwyn iddo allu dangos trugaredd atyn nhw i gyd.
ROM.11.33	Mae Duw mor ffantastig!
ROM.11.33	Mae e mor aruthrol ddoeth!
ROM.11.33	Mae'n deall popeth!
ROM.11.33	Mae beth mae e'n ei benderfynu y tu hwnt i'n hamgyffred ni,
ROM.11.33	a beth mae'n ei wneud y tu hwnt i'n deall ni!
ROM.11.36	Na, Duw sydd wedi rhoi popeth i ni!
ROM.11.36	Fe sy'n cynnal y cwbl,
ROM.11.36	ac mae'r cwbl yn bodoli er ei fwyn e!
ROM.11.36	Fe ydy'r unig un sy'n haeddu ei foli am byth!
ROM.11.36	Amen!
ROM.12.1	Felly, am fod Duw wedi bod mor drugarog wrthoch chi, frodyr a chwiorydd, dw i'n apelio ar i chi roi eich hunain yn llwyr i Dduw. Cyflwyno eich hunain iddo yn aberth byw – un sy'n lân ac yn dderbyniol ganddo. Dyna beth ydy addoliad go iawn! 
ROM.12.2	O hyn ymlaen rhaid i chi stopio ymddwyn yr un fath â phobl sydd ddim yn credu. Gadewch i Dduw newid eich bywyd chi'n llwyr drwy chwyldroi eich ffordd o feddwl am bethau. Byddwch yn gwybod wedyn beth mae Duw eisiau, ac yn gweld fod hynny'n dda ac yn ei blesio fe, ac mai dyna'r peth iawn i'w wneud.
ROM.12.3	Gadewch i mi ddweud hyn wrthoch chi, fel rhywun mae Duw wedi bod mor garedig ato: Peidiwch meddwl eich bod chi'n well nag ydych chi. Byddwch yn onest gyda chi'ch hun wrth ystyried faint o ffydd mae Duw wedi'i roi i chi. 
ROM.12.4	Mae'r eglwys yr un fath â'r corff dynol – mae gwahanol rannau i'r corff, a dydy pob rhan o'r corff ddim yn gwneud yr un gwaith. 
ROM.12.5	Yn yr eglwys dŷn ni gyda'n gilydd yn gwneud un corff, sef corff y Meseia. Mae pob un ohonon ni'n rhan o'r corff ac mae arnon ni angen pawb arall. 
ROM.12.6	Mae Duw wedi rhoi doniau gwahanol i bob un ohonon ni. Os ydy Duw wedi rhoi'r gallu i ti roi neges broffwydol, gwna hynny pan wyt ti'n gwybod fod Duw am i ti wneud. 
ROM.12.7	Os mai helpu pobl eraill ydy dy ddawn di, gwna job dda ohoni. Os oes gen ti'r ddawn i ddysgu pobl eraill, gwna hynny'n gydwybodol. 
ROM.12.8	Os wyt ti'n rhywun sy'n annog pobl eraill, bwrw iddi! Os wyt yn rhannu dy eiddo gydag eraill, bydd yn hael. Os oes gen ti'r ddawn i arwain, gwna hynny'n frwd. Os mai dangos caredigrwydd ydy dy ddawn di, gwna hynny'n llawen.
ROM.12.9	Rhaid i'ch cariad chi fod yn gariad go iawn – dim rhyw gariad arwynebol. Yn casáu y drwg â chasineb perffaith, ac yn dal gafael yn beth sy'n dda. 
ROM.12.10	Byddwch o ddifri yn eich gofal am eich gilydd, a dangos parch at eich gilydd. 
ROM.12.11	Peidiwch byth â gadael i'ch brwdfrydedd oeri, ond bod ar dân yn gweithio i'r Arglwydd yn nerth yr Ysbryd Glân. 
ROM.12.12	Byddwch yn llawen wrth feddwl am y cwbl sydd gan Dduw ar eich cyfer chi. Byddwch yn amyneddgar tra dych chi'n dioddef, a daliwch ati i weddïo. 
ROM.12.13	Rhannwch beth sydd gynnoch chi gyda phobl Dduw sydd mewn angen. Ewch allan o'ch ffordd i roi croeso i ymwelwyr yn eich cartrefi bob amser.
ROM.12.14	Peidiwch melltithio'r bobl hynny sy'n eich erlid chi – gofynnwch i Dduw eu bendithio nhw.
ROM.12.15	Byddwch yn llawen gyda phobl sy'n hapus, a chrio gyda'r rhai sy'n crio. 
ROM.12.16	Byddwch yn ffrindiau da i'ch gilydd. Peidiwch meddwl eich bod yn rhy bwysig i fod yn ffrindiau gyda'r bobl hynny sy'n ‛neb‛. Peidiwch rhoi'r argraff eich bod yn gwybod y cwbl. 
ROM.12.17	Peidiwch byth talu'r pwyth yn ôl. Gadewch i bobl weld eich bod yn gwneud y peth anrhydeddus bob amser. 
ROM.12.18	Gwnewch bopeth allwch chi i fyw mewn heddwch gyda phawb. 
ROM.12.19	Peidiwch mynnu dial ar bobl, ffrindiau; gadewch i Dduw ddelio gyda'r peth. Fel mae'r ysgrifau sanctaidd yn dweud: 
ROM.12.20	Dyma ddylet ti ei wneud:
ROM.12.21	Paid gadael i ddrygioni dy ddal yn ei grafangau – trecha di ddrygioni drwy wneud daioni.
ROM.13.1	Dylai pawb fod yn atebol i awdurdod y llywodraeth. Duw sy'n rhoi awdurdod i lywodraethau, ac mae'r awdurdodau presennol wedi'u rhoi yn eu lle gan Dduw. 
ROM.13.2	Mae rhywun sy'n gwrthwynebu'r awdurdodau yn gwrthwynebu rhywbeth mae Duw wedi'i ordeinio, a bydd pobl felly yn cael eu cosbi. 
ROM.13.3	Does dim rhaid ofni'r awdurdodau os ydych yn gwneud daioni. Y rhai sy'n gwneud pethau drwg ddylai ofni. Felly gwna beth sy'n iawn a chei dy ganmol. 
ROM.13.4	Wedi'r cwbl mae'r awdurdodau yn gwasanaethu Duw ac yn bodoli er dy les di. Ond os wyt ti'n gwneud drygioni, mae'n iawn i ti ofni, am fod y cleddyf sydd ganddo yn symbol fod ganddo hawl i dy gosbi di. Mae'n gwasanaethu Duw drwy gosbi'r rhai sy'n gwneud drwg. 
ROM.13.5	Felly dylid bod yn atebol i'r awdurdodau, dim yn unig i osgoi cosb, ond hefyd i gadw'r gydwybod yn lân. 
ROM.13.6	Dyna pam dych chi'n talu trethi hefyd – gweision Duw ydyn nhw, ac mae ganddyn nhw waith i'w wneud. 
ROM.13.7	Felly talwch beth sy'n ddyledus i bob un – trethi a thollau. A dangoswch barch atyn nhw.
ROM.13.8	Ond mae un ddyled allwch chi byth ei thalu'n llawn, sef y ddyled i garu'ch gilydd. Mae cariad yn gwneud popeth mae Cyfraith Duw yn ei ofyn. 
ROM.13.9	Mae'r gorchmynion i gyd – 
ROM.13.10	Dydy cariad ddim yn gwneud niwed i neb, felly cariad ydy'r ffordd i wneud popeth mae Cyfraith Duw'n ei ofyn.
ROM.13.11	Dylech chi fyw fel hyn am eich bod chi'n deall beth sy'n digwydd. Mae'n bryd i chi ddeffro o'ch difaterwch! Mae diwedd y stori, pan fyddwn ni'n cael ein hachub yn derfynol, yn agosach nag oedd pan wnaethon ni ddod i gredu gyntaf. 
ROM.13.12	Mae'r nos bron mynd heibio, a'r diwrnod newydd ar fin gwawrio. Felly gadewch i ni stopio ymddwyn fel petaen ni'n perthyn i'r tywyllwch, a pharatoi'n hunain i frwydro dros y goleuni. 
ROM.13.13	Gadewch i ni ymddwyn yn weddus fel petai'n olau dydd. Dim partïon gwyllt a meddwi; dim ymddwyn yn anfoesol; dim penrhyddid i'r chwantau; dim ffraeo a chenfigennu. 
ROM.13.14	Gadewch i'r Arglwydd Iesu Grist fod fel gwisg amdanoch chi, a pheidiwch rhoi sylw i'ch chwantau hunanol drwy'r adeg.
ROM.14.1	Derbyniwch y bobl hynny sy'n ansicr ynglŷn â rhai pethau. Peidiwch eu beirniadu nhw a gwneud rheolau caeth am bethau sy'n fater o farn bersonol. 
ROM.14.2	Er enghraifft, mae un person yn teimlo'n rhydd i fwyta unrhyw beth, ond mae rhywun arall yn ansicr ac yn dewis bwyta dim ond llysiau rhag ofn iddo fwyta rhywbeth na ddylai. 
ROM.14.3	Rhaid i'r rhai sy'n hapus i fwyta popeth beidio edrych i lawr ar y rhai sydd ddim yn gyfforddus i wneud hynny. A rhaid i'r bobl sy'n dewis peidio bwyta rhai pethau beidio beirniadu y rhai sy'n teimlo'n rhydd i fwyta – wedi'r cwbl mae Duw yn eu derbyn nhw! 
ROM.14.4	Oes gen ti hawl i ddweud y drefn wrth was rhywun arall? Meistr y gwas sy'n penderfynu os ydy beth mae'n ei wneud yn iawn ai peidio. Gad i'r Arglwydd benderfynu os ydy'r rhai rwyt ti'n anghytuno gyda nhw yn gwneud y peth iawn.
