GEN.1.1	Tô tigkanayan ka langun, igimu ka Manama tô langit
HEB.7.3	Tun ta kagi ka Manama na igsulat, ándà sulati ka sadan tô ámmà asta innà din. Ándà ta kasóddóri ka sadan tô mga kamónaan din. Ándà sulati tô tingód katô kapamasusu din asta tô tingód katô kamatayan din. Iring sikandin katô Batà ka Manama na ándà ágtamanán katô kaparì din.
HEB.7.4	Na, isóddóran ta na tuu ágrespetowan si Melkisedec! su sikandin tô igbággayan ka kamónaan ta na si Abraham ka ikasapulù katô mga ikangé din. 
HEB.7.5	Tingód katô mga sugù, tô mga pangulu na parì na mga rubbad i Levi, ágtanggap dan ka ikasapulù tikud tun ta mga kataladi dan na mga rubbad i Abraham. 
HEB.7.6	Asal tuu pa ágrespetowan si Melkisedec, su agad ánnà rubbad i Levi, asal sikandin tô igbággayan i Abraham ka ikasapulù katô ikangé din. Tuu pa ágrespetowan si Melkisedec ka tandingán ki Abraham, su sikandin tô igdasal tingód ki Abraham na taganà igtandóan ka Manama, 
HEB.7.7	su isóddóran ta na tô manubù na dumasal para katô duma, tô gó é tuu ágrespetowan ka tandingán katô manubù na dasalan din, asta si Melkisedec tô igdasal para ki Abraham.
HEB.7.8	Na, tô mga pangulu na parì na ágtanggap ka ikasapulù, ágkamaté dan. Asal tuu pa ágrespetowan si Melkisedec, su ándà uliti tô tingód katô kamatayan din, iring na ándà ágtamanán katô kaparì din.
HEB.7.9	Tuu pa ágrespetowan si Melkisedec, su agad si Levi tô igtanggap katô ikasapulù, asal iring na igbággé din tô ikasapulù tun ki Melkisedec ukit ki Abraham, 
HEB.7.10	su tô igbággé si Abraham katô ikasapulù tun ki Melkisedec, ándà pa kamanubù si Levi na rubbad i Abraham, asal dutun pa ta lawa i Abraham.
HEB.7.11	Na, igbággé ka Manama tô mga sugù ki Moises tingód katô kaparì ka mga rubbad i Levi. Atin ka itanggap tô mga manubù na nángngà tun ta saruwan ka Manama ukit katô kaparì ka mga rubbad i Levi, ándà pád kailangan na bullasan ka ássa klasi ka kaparì. Asal su ándà dan katanggap na nángngà, duwán iring katô kaparì i Melkisedec na igbullas kandan. Ánnà sikandin rubbad i Aaron. 
HEB.7.12	Su igbullasan tô kaparì, igbullasan pagsik tô mga sugù. 
HEB.7.13+HEB.7.14	Isóddóran ta na igbullasan tô tapé mga sugù, su tô Áglangngagán ta ánnà rubbad i Levi, asal rubbad i Juda. Ándà palang rubbad i Juda igimu na pangulu na parì, su ándà kagi i Moises na mému imun na parì tô rubbad i Juda.
HEB.7.15	Isóddóran ta na igbullasan tô kaparì ka mga rubbad i Levi, su duwán dán mantu Pangulu na Parì na iring ki Melkisedec.
HEB.7.16	Igimu sikandin na Pangulu na Parì ánnà ukit katô mga sugù ka kamónaan din, asal ukit katô matulus kantayan din na ándà ágtamanán. 
HEB.7.17	Mà katô kagi ka Manama na igsulat tingód kandin,
HEB.7.17	“Sikuna tô Pangulu na Parì sippang ka ándà ágtamanán,
HEB.7.17	iring katô kaparì i Melkisedec sayyan.”
HEB.7.18	Purisu isóddóran ta na igbullasan dán ka Manama tô tapé mga sugù su ándà dán ágpulusán ta kani asta dì makatabang áknita. 
HEB.7.19	Dì ki tanggapán katô Manama na nángngà tun ta saruwan din ukit katô mga sugù. Asal duwán dán mantu kapókit na tuu pa madigár ka tandingán katô tapé, su ukit katô iglumu katô Pangulu na Parì ta, makapadani kid tun ta Manama.
HEB.7.20	Ni mantu kapókit tuu pa madigár ka tandingán katô tapé, su tô igimu tô Manama katô Áglangngagán ta na parì, igsapà sikandin. 
HEB.7.21	Tô igimu tô Manama katô mga rubbad i Levi na parì, ándà sikandin sapà. Asal tô igimu sikandin ki Jesus na Pangulu na Parì ta, igsapà tô Manama tingód kandin, su mà katô kagi ka Manama na igsulat,
HEB.7.21	“Dì gó mapalin tô igtandô katô Áglangngagán kandin:
HEB.7.21	Sikuna tô Pangulu na Parì sippang ka ándà ágtamanán.”
HEB.7.22	Purisu si Jesus tô pató na duwán katumanan katô kasabotan na tuu pa madigár.
HEB.7.23	Kailangan marapung tô taganà mga pangulu na parì, su tô tagsábbad-sábbad kandan inaté, asta duwán ágtamanán katô kandan lumu. 
HEB.7.24	Asal tuu pa madigár tô pagpangulu i Jesus na parì, su dì gó maté sikandin, asta manayun tô áglumun din ka ándà ágtamanán. 
HEB.7.25	Purisu inalayun sikandin makatábbus katô langun na padani tun ta Manama ukit katô kapamaké dan ki Cristo. Su manté sikandin ka ándà ágtamanán, sikandin tô taratapid tun ta Ámmà din para áknita.
HEB.7.26	Purisu nángngà tô kaparì i Jesus na Pangulu na Parì ta. Ugis sikandin. Ándà palang salà din su ándà madat linumuwan din. Ánnà sikandin iring na masalà-salà. Sikandin tô igimu na mallayat tun ta langun, agad tun datas ta langit. 
HEB.7.27	Sikandin tô tuu pa madigár ka tandingán katô mga pangulu na parì, su kada álló kailangan matayan dan tô mga mannanap asta góbbón dan tingód katô salà dan asta salà katô langun Judio. Asal nángngà tô iglumu katô Pangulu na Parì ta, su makasábbad dád sikandin igbággé katô lawa din ébô matayan. 
HEB.7.28	Dángngan, tingód katô mga sugù, gimun pangulu na parì tô mga masalà-salà. Asal áknganni, duwán dán igsapà ka Manama na bullas ka mga sugù, su igimu din tô Batà din na Pangulu na Parì ta, asta nángngà dán gó sikandin sippang ka ándà ágtamanán.
HEB.8.1	Na, tô punto kani langun na igsulat ku ákniyu, nángngà tô Pangulu na Parì ta. Si Jesus tô igpónsad katô Manama dadan tun ta kawanan din tun datas ta langit. 
HEB.8.2	Sikandin tô Pangulu na Parì ta tun ta Tuu Ugis Lugar katô Manama tun datas ta langit. Tô gó é bánnal templo na ándà imuwi ka manubù, asal igimu katô Áglangngagán.
HEB.8.3	Tô langun pangulu na parì, kailangan duwán mga ágbággén dan asta mga ágmatayan dan na bággén tun ta Manama. Purisu kailangan duwán pagsik ágbággén katô Pangulu na Parì ta tun ta Manama. 
HEB.8.4	Atin ka dini pa ta banuwa tô Pangulu na Parì ta, dì mému ka sikandin tô pangulu na parì, su duwán ássa mga pangulu na parì na ágbággé tun ta Manama tingód katô mga sugù. 
HEB.8.5	Tô áglumun katô mga pangulu na parì igpéring dád katô áglumun tun datas ta langit. Tô ándà pa patindág si Moises katô tulda na ágsimbaan dan, igsugù tô Manama kandin, na mà din, “Kailangan imun nu tô langun iring katô igpakita ku áknikó tun ta pabungan.”
HEB.8.6	Asal tô áglumun i Cristo, tô gó tô tuu pa madigár ka tandingán katô iglumu katô mga pangulu na parì ka Judio. Tô mantu kasabotan ka Manama na igtigkanayan i Jesus tuu pa madigár ka tandingán katô tapé kasabotan, su tuu pa madigár tô igbággé ukit katô mantu kasabotan.
HEB.8.7	Atin ka nángngà tô tagnà kasabotan, ándà dán kailangan na bullasan ka ikaduwa. 
HEB.8.8	Ánnà nángngà tô tagnà su ándà kadayawi tô Manama tingód ka mga manubù. Purisu mà katô kagi ka Manama na igsulat,
HEB.8.8	“Igkagi tô Áglangngagán:
HEB.8.8	Duwán álló na dumunggù na
HEB.8.8	imun ku tô mantu kasabotan tingód ka langun manubù, agad tô mga rubbad i Israel
HEB.8.8	asta tô mga rubbad i Juda.
HEB.8.9	Tô mantu kasabotan ánnà iring katô tapé kasabotan ku tun ta mga kamónaan dan tô igpid ku sikandan tikud tun ta Ehipto.
HEB.8.9	Igéllé dan katô tapé kasabotan.
HEB.8.9	Purisu igpabayà ku sikandan,
HEB.8.9	mà katô Áglangngagán.
HEB.8.10	Iring kani tô mantu kasabotan ku katô mga rubbad i Israel:
HEB.8.10	Tun ta tapuri álló, igkagi tô Áglangngagán,
HEB.8.10	Papanámdámmán ku kandan tô mga sugù ku ébô dì dan kalingawan, asta taguán ku tô mga sugù ku tun ta pusung dan.
HEB.8.10	Sakán tô Manama dan,
HEB.8.10	asta sikandan tô kanak mga manubù.
HEB.8.11	Ándà dán kailangan na tuminurù tô manubù ka mga kataladi din na kailangan kasóddóran dan tô tingód katô Áglangngagán,
HEB.8.11	su kasóddóran katô langun manubù tô tingód kanak,
HEB.8.11	agad ágkayù-ayuan dan ó ágkangadanan dan.
HEB.8.12	Agad madat tô iglumu dan, asal pasinsiyaan ku sikandan,
HEB.8.12	asta dì kud panámdámmán tô mga salà dan.”
HEB.8.13	Tô igkagi tô Manama na duwán mantu kasabotan, igpasóddór din na tapé dán tô tagnà. Tô tapé asta tô ándà ágpulusán dì dán magamit asta mandà dán.
HEB.9.1	Tun ta tagnà kasabotan ka Manama sayyan, duwán mga sugù din tingód katô kapangadap dan, asta duwán ágsimbaanan dan dini ta banuwa. 
HEB.9.2	Tô igimu dan ka simbaan, igimu dan tô tulda na duwán duwa sinabáng. Tô una gahuwan ágngadanan na Ugis Lugar katô Manama. Tô gó é igtaguan dan katô sulù asta lamisa na ágtaguan katô pan na ágbággén tun ta Manama. 
HEB.9.3	Duwán ikaduwa sinabáng na isidalungan ka tabir, asta ágngadanan yan Tuu Ugis Lugar katô Manama. 
HEB.9.4	Duwán bulawan lamisa na ággóbbówan ka pamammut, asta duwán kaban na ágngadanan na kaban ka kasabotan, asta igpadákkáttan ka bulawan. Tun dalám katô kaban ka kasabotan igtagù tô bulawan tibud na igtaguan ka pan na ágngadanan mana, tô tukád i Aaron na igséngê, asta tô duwa maluwag batu na igsulatan ka Manama katô mga sugù na igbággé din ki Moises. 
HEB.9.5	Tun ta bówwó katô kaban duwán duwa igimu panaligan na pató na góddóan ka Manama na ágpasinsiya katô mga salà.
HEB.9.6	Tô igtaganà dan katô langun, kada álló gahu tô mga pangulu na parì tun ta sinabáng dadan ta luwà, su ágtumanán dan tô áglumun dan. 
HEB.9.7	Asal tô sábbad sinabáng tun dalám, tô tuu mallayat dád pangulu na parì tô mému mahu, asta makasábbad dád sikandin mahu dalám ka sábbad ámmé. Atin ka gahu sikandin, kailangan piddán din tô dipanug ka mannanap na bággén din tun ta Manama tingód katô kandin salà asta tingód katô salà ka langun kadumaan din. 
HEB.9.8	Ukit katô iglumu dan, igpasóddór katô Ugis Espiritu áknita na róggun igpatindág pa tô tulda, dì mému ka mahu tô manubù tun ta Tuu Ugis Lugar ébô makapadani dan tun ta Manama. 
HEB.9.9	Tô gó é iring na panunggiringan, asta duwán kéringan ta áknganni. Agad pira tô mga mannanap na matayan dan asta bággén tun ta Manama, asal dì kasóddóran katô mga ágpangadap na matanggap dan ka Manama na nángngà tun ta saruwan din. 
HEB.9.10	Ánnà nángngà tô mga sugù, su tingód dád katô áglumun ka manubù nit banuwa. Duwán sugù tingód ka ágkakan, tingód ka ginámmán, asta tingód katô paglinis ka agad ándin. Tô gó tô kailangan tumanán dan sippang ka pamantun ka Manama tô langun.
HEB.9.11	Asal igdunggù dán si Cristo, asta igimu dán sikandin na Pangulu na Parì ta. Ukit kandin, madigár tô igdunggù áknita. Tuu pa madigár tô templo na igahuwan din tun datas ta langit. Tô templo tô, ándà imuwi ka manubù, su ánnà nit banuwa. 
HEB.9.12	Ikasábbad dád sikandin igahu tun ta Tuu Ugis Lugar tun datas ta langit, su nángngà dán. Ánnà dipanug ka kambing asta baka tô igpid din tun dalám, asal kandinnù dipanug tô igbággé din. Ukit katô kamatayan din, igtábbus kid gó ikandin ka ándà ágtamanán. 
HEB.9.13	Tingód ka mga sugù, atin ka makawid tô manubù ka lawa ka inaté, kailangan taliktikan sikandin ka dipanug ka kambing ó baka, asta bóbóran ka abu ka iggóbbó nati ka baka ébô kumalinis puman tô lawa din. 
HEB.9.14	Asal tuu pa madigár tô inému ukit katô dipanug i Cristo, su iglinisan kid tikud tun ta salà. Ukit katô Ugis Espiritu na ándà ágtamanán, igbággé i Cristo tô kandinnù lawa tun ta Manama. Agad ándà palang salà din, asal igmatayan sikandin ébô kalinisan tô pusung ta tikud tun ta salà. Ukit katô dipanug i Cristo, ándà dán ágkailanganán ka kasarig ta tun ta linumuwan ta na ándà ágpulusán, asal igsarig kid tun ta Manama.
HEB.9.15	Purisu si Cristo tô igtigkané katô mantu kasabotan ébô tô langun ta na igsalin ka Manama mému makatanggap katô igtandô din na ándà ágtamanán. Ukit katô kamatayan i Cristo, igtábbus tô mga manubù tikud tun ta salà na inému dan róggun duwán tapé kasabotan.
HEB.9.16	Na, atin ka ágpanalan tô manubù tingód katô kaduwánnan din, pángnga ka maté sikandin, duwán tanggapán katô mga manubù na igpanalanan din. 
HEB.9.17	Ándà palang tanggapán dan ka dì pa maté sikandin, su dì mabággé ka manté pô tô tigatun. 
HEB.9.18	Purisu tun ta katigkanayan katô tapé kasabotan, kailangan duwán dipanug ka mannanap ébô masarig tô kasabotan. 
HEB.9.19	Pángnga ka igtinurù si Moises katô langun sugù ka Manama tun ta mga manubù, igpid din tô dipanug ka baka asta kambing na igmatayan din, asta igbaláttan din ka wayig. Igarám din tô mallutù bulbul ka karnero na igtakós din tun ta panga ka kayu isupu, asta igtaliktik din tô dipanug tun ta libro na igsulatan ka mga sugù, asta tun ta langun manubù. 
HEB.9.20	Igkagi si Moises, na mà din, “Ni dipanug katô kasabotan tô pató na duwán dán sugù ka Manama na kailangan tumanán ta.”
HEB.9.21	Igtaliktik pagsik i Moises tô dipanug tun ta tulda na ágsimbaanan dan asta tun ta langun na ággamitán dan katô kapangadap dan, 
HEB.9.22	su tingód katô mga sugù, kailangan duwán dipanug ébô pógisán tô karapungan na ággamitán dan. Atin ka ándà matayan ébô duwán dipanug, dì kapasinsiyaan tô duwán salà.
HEB.9.23	Tô templo nit banuwa igpéring dád katô templo tun datas ta langit. Tô dipanug ka mga mannanap tô gamitán ébô pógisán tô templo nit banuwa. Asal kailangan tuu pa madigár tô gamitán ébô pógisán tô bánnal templo tun datas ta langit. 
HEB.9.24	Purisu pángnga inaté si Cristo, ánnà ugis sinabáng na igimu ka mga manubù tô igahuwan din, su igpéring dád katô Tuu Ugis Lugar tun datas ta langit. Asal igsadun si Cristo tun datas ta langit ébô tumubang ka Manama tingód áknita. 
HEB.9.25	Tô pangulu na parì tô gahu tun ta Tuu Ugis Lugar katô templo kada ámmé ébô piddán tô dipanug ka mannanap. Asal si Cristo, ikasábbad dád gó tô kabággé din katô kandin lawa, su nángngà tô kamatayan din. 
HEB.9.26	Atin ka dì nángngà, kailangan makapira pô sikandin maté tikud tun ta katigkanayan kani banuwa sippang áknganni. Asal nángngà si Cristo, su ikasábbad dád tô iglumu din ni ka tapuri álló. Igpamanubù sikandin ébô mangé katô salà ta ukit katô kamatayan katô kandin lawa. 
HEB.9.27	Kailangan makasábbad dád maté tô manubù, asta pángnga ka maté, ruudan katô Manama. 
HEB.9.28	Ikasábbad dád inaté si Cristo ébô mangé katô salà ka langun ta, asta lumónód pa sikandin ánnà ébô kangén puman tô salà ta, asal lumónód ébô kangén din tô langun manubù na tuu maggát gangat kandin.
HEB.10.1	Na, tô mga sugù na ágbánnalán katô mga kamónaan ta, tô dád gó tô kakilalaan na duwán pa madigár na igtaganà ka Manama para áknita, su tô mga manubù na ágbánnal pád katô mga sugù, kailangan inalayun dan ágmatayan tô mannanap na bággén tun ta Manama kada ámmé. Agad tô gó é áglumun dan ébô makapadani dan tun ta Manama, asal dì dan tanggapán ka Manama na nángngà tun ta saruwan din ukit katô áglumun dan. 
HEB.10.2	Atin ka iglinisan dan tikud tun ta salà ukit katô mga mannanap na ágbággén dan tun ta Manama, kasóddóran dan na igpasinsiyaan tô salà, asta mému dan sumódô ka kabággé dan ka mga mannanap. 
HEB.10.3	Asal su kailangan inalayun dan mággé ka mannanap, duwán igpasóddór kandan kada ámmé na inalayun duwán salà dan, 
HEB.10.4	su dì makangé tô salà ka mga manubù ukit katô kabággé dan katô dipanug ka mga baka asta mga kambing.
HEB.10.5	Purisu tô masig dán dumunggù si Cristo nit banuwa, igkagi sikandin tun ta Ámmà din, na mà din,
HEB.10.5	“Ánnà kabággé asta kamaté ka mga mannanap tô nángngà para áknikó.
HEB.10.5	Purisu duwán lawa na igbággé nu kanak ébô matayanna.
HEB.10.6	Dì ka kadayawan ukit katô kagóbbó asta kabággé ka dipanug ka mannanap ébô pasinsiyaan tô mga masalà-salà.
HEB.10.7	Igkagiya, ‘Manama, ikataganà ad gó ébô tumanán ku tô kakalyag nu,
HEB.10.7	iring na igsulat tingód kanak tun ta libro ka mga sugù nu.’”
HEB.10.8	Na, tô una igkagi din, dì nángngà tun ta Manama tô kabággé ka manubù ka mga mannanap tun kandin. Agad matayan dan tô mannanap tingód katô mga sugù, agad góbbón dan tô mannanap, agad bággén dan tô dipanug ka mannanap tun kandin tingód katô salà dan, asal dì gó kadayawan tô Manama. 
HEB.10.9	Igkagi pagsik sikandin, na mà din, “Ikataganà ad gó ébô tumanán ku tô kakalyag nu.”
HEB.10.9	Igpandà dán ka Manama tô una kapókit ébô tigkanayan din tô ikaduwa kapókit. 
HEB.10.10	Su igtuman i Jesu-Cristo tô kakalyag ka Manama, iglinisan kid tikud tun ta salà ukit katô kabággé din katô kandin lawa. Ikasábbad dád gó igmatayan sikandin su nángngà dán ni.
HEB.10.11	Tô langun pangulu na parì, álló-álló ágtindág dan tun ta saruwan ka Manama asta ágmaté dan ka mga mannanap na ágbággén tun ta Manama. Asal dì makangé tô salà ukit katô áglumun dan. 
HEB.10.12	Asal ikasábbad dád inaté si Cristo ébô kangén tô salà ta, asta nángngà ka ándà ágtamanán. Pángnga inanté sikandin, igunsad sikandin dadan tun ta kawanan ka Manama tun datas ta langit. 
HEB.10.13	Gangat dán sikandin katô álló ka manalu tô Manama katô mga usig din ébô mangulu sikandin tun ta langun. 
HEB.10.14	Purisu ikasábbad dád inaté si Cristo, asta ukit katô kamatayan din, igtanggap kid ka Manama na nángngà tun ta saruwan din ka ándà ágtamanán ukit katô kalinis din áknita tikud tun ta salà.
HEB.10.15	Duwán pagsik igpasóddór katô Ugis Espiritu áknita, su duwán kagi din na igsulat,
HEB.10.16	“Igkagi tô Áglangngagán:
HEB.10.16	Iring kani tô mantu kasabotan ku kandan tun ta tapuri álló.
HEB.10.16	Papanámdámmán ku kandan tô mga sugù ku,
HEB.10.16	su sulatán ku ni tun ta pusung dan.”
HEB.10.17	Igkagi pagsik sikandin,
HEB.10.17	“Pasinsiyaan ku tô mga salà dan,
HEB.10.17	asta diyad manámdám tingód katô madat mga linumuwan dan.”
HEB.10.18	Purisu ándà dán kailangan ka kamaté ta ka mannanap, su igpasinsiyaan dán ka Manama tô mga salà ta.
HEB.10.19	Purisu mga kataladi, su igbággé dán si Jesus katô dipanug din tô inaté sikandin para áknita, ándà dán kayyaan ta ka mahu ki tun ta Tuu Ugis Lugar katô Manama tun datas ta langit. 
HEB.10.20	Ukit katô iglumu i Jesus, duwán dán mantu ukitanan ta ébô tanggapán ta tô kantayan. Ándà dán makadalang áknita tun ta Manama, su ukit katô kamatayan i Jesus igkangé din dán tô tabir tun ta tángngaan ta asta katô Manama. 
HEB.10.21	Su si Jesus tô Mallayat Pangulu na Parì katô langun ta na mga sakup ka Manama, 
HEB.10.22	makapadani kid tun ta Manama, su mabákkár ni pusung ta na ágpamaké kandin. Iglinisan dán ni pusung ta asta ni panámdám ta su iring na igtaliktikan ni katô dipanug i Jesus asta iglinisan dán ni lawa ta ka wayig ka kapabunyag. 
HEB.10.23	Kailangan manayun ki giman katô igtandô ka Manama na ágpamakén ta, su ágkasarigan sikandin ágtuman katô langun tandô din. 
HEB.10.24	Kailangan patabangé ki ébô paginawaé ki asta lumumu ki ka madigár. 
HEB.10.25	Yakó ágsódô ágpangadap, iring katô duma mga manubù, asal kailangan palimudé kó ébô tuu ki pabákkárré ka ginawa asta ébô makatiis ki, su isóddóran ta na dì madugé dumunggù tô álló na lumónód tô Áglangngagán.
HEB.10.26	Atin ka isóddóran tad tô kabánnalan asal inalayun ki pa áglumu ka madat, ándà dán ássa maté ébô kapasinsiyaan tô salà ta. 
HEB.10.27	Tô manubù na áglumu ka salà ágpadunggù dád man katô supak na makamáddang asta katô dakál apuy na igtaganà ka Manama para katô mga usig din. 
HEB.10.28	Atin ka duwán méllé katô sugù i Moises sayyan, ka duwán tállu manubù ó duwa na tumestigos ka bánnal, dì sikandin kéduwan, asal matayan. 
HEB.10.29	Tuu pa madat tô supak na dumunggù tun ta manubù na géllé katô Batà ka Manama, su ukit katô kéllé din, pasóddórán din na ándà ágpulusán din katô dipanug i Jesus na makalinis pád kandin, agad tô gó é kakilalaan ka duwán dán kasabotan ka Manama. Supakan sikandin su igringasa din tô Ugis Espiritu na ágkéduwan áknita. 
HEB.10.30	Isóddóran ta na Manama tô igkagi kani,
HEB.10.30	“Sakán tô sumupak kandan.
HEB.10.30	Sakán tô sumulì kandan.”
HEB.10.30	Igkagi pagsik,
HEB.10.30	“Rumuud tô Áglangngagán katô mga sakup din.”
HEB.10.31	Makamáddang gó ka tô manté Manama tô sumupak.
HEB.10.32	Sampát yu tô tingód ka katigkanayan ka kapamaké yu dángngan. Tô ikasóddór kó katô kabánnalan tikud tun ta Manama, marapung tô kahirapan na igdunggù ákniyu, asal ikatiis kó katô langun. 
HEB.10.33	Duwán timpo na igpayayyaan kó asta igirrayatan kó tun ta tubang ka mga manubù, asta duwán timpo na ikatabang kó katô duma mga manubù na igirrayatan. 
HEB.10.34	Duwán kédu yu katô duma mga manubù na igpriso, asta igtabang kó kandan. Agad ikangé tô langun kaduwánnan yu, asal ágkadayawan kó gó, su isóddóran yu na tuu pa madigár tô pulusán yu ka tandingán katô ikangé, asta dì gó ni makangé tikud tun ákniyu. 
HEB.10.35	Purisu yakó ágsungkù ka kasarig yu tun ta Manama, su atin ka mabákkár tô kasarig yu kandin, dakál tô pulusán na tanggapán yu. 
HEB.10.36	Kailangan mallayat tô ginawa yu ébô makatuman kó katô kakalyag ka Manama, asta tanggapán yu tô igtandô din ákniyu. 
HEB.10.37	Mà katô kagi ka Manama na igsulat,
HEB.10.37	“Masig dán gó dumunggù tô gimanan yu.
HEB.10.37	Dì sikandin ágbaring-baring.
HEB.10.38	Asal tô mga manubù na ágtanggapán ku na nángngà dan tun ta saruwan ku,
HEB.10.38	tô gó é makatiis, agad ándin tô kahirapan tingód katô kasarig dan kanak.
HEB.10.38	Asal ka sumungkù tô manubù na mákkás kanak tingód katô kataló din, diya kadayawan kandin.”
HEB.10.39	Asal sikita ánnà iring katô talón na supakan ka Manama, su mabákkár tô kapamaké ta kandin. Purisu matábbus ki.
HEB.11.1	Na, atin ka mamaké ki katô Manama, kasóddóran ta na matuman na makatanggap ki katô madigár gimanan ta, asta kasóddóran ta na duwán gó madigár na mému agad ándà ta pa kitayi. 
HEB.11.2	Igdurung katô Manama tô mga kamónaan ta sayyan tingód katô kapamaké dan kandin.
HEB.11.3	Ukit ka kapamaké ta ka Manama, isóddóran ta na igimu din ni banuwa ukit dád katô kagi din. Dì ágkitanán tô iggamit din tô igimu din tô langun na ágkitanán ta.
HEB.11.4	Ukit ka kapamaké i Abel ka Manama sayyan, igbággé din tun ta Manama tô tuu nángngà ka tandingán katô igbággé katô kataladi din na si Cain. Ukit ka kapamaké i Abel katô Manama, igtanggap ka Manama sikandin na nángngà tun ta saruwan din. Igpasóddór ka Manama na nángngà si Abel tun ta saruwan din ukit katô katanggap din katô igbággé din. Agad idugé dán si Abel inaté, asal duwán pa kéringan ta tun kandin tingód katô kapamaké din ka Manama.
HEB.11.5	Ukit ka kapamaké i Enoc ka Manama, ándà sikandin kamaté, su igbatun ka Manama sikandin tun ta langit. Pángnga igbatun ka Manama sikandin, ándà kitayi, su igbatun ka Manama. Duwán kagi ka Manama na igsulat tingód ki Enoc. Róggun na ándà pa sikandin kabatun, idayawan tô Manama tingód kandin. 
HEB.11.6	Dì kadayawan tô Manama áknita ka dì ki mamaké kandin. Atin ka padani tô manubù tun ta Manama, kailangan manámdám sikandin na duwán Manama, asta duwán ágpulusán na bággén ka Manama tun ta langun manubù na padani tun kandin.
HEB.11.7	Ukit ka kapamaké i Noe ka Manama, igpasóddór ka Manama kandin na duwán dumunggù na makapánnas ka mga manubù. Agad ándà pa kitayi i Noe tô makapánnas, asal igbánnal sikandin ka Manama, asta igimu din tô dakál barko na ágngadanan arka. Tô gó é igsakayan din asta katô pamilya din. Tô iglunupan ni banuwa, ándà dan kalánnád. Ukit katô kapamaké i Noe katô Manama, igpasóddór din na nángngà tô supak ka Manama katô mga manubù na ándà pamaké kandin. Igtanggap ka Manama si Noe na nángngà tun ta saruwan din ukit katô kapamaké din ka Manama.
HEB.11.8	Ukit ka kapamaké i Abraham ka Manama, tô igtawar tô Manama kandin, igbánnal sikandin. Agad ándà din kasóddóri ka ánda é sadunan din, asal igpanó sikandin tikud tun ta lunsud na igóddóan din asta igsadun tun ta lugar na igtandô ka Manama kandin. 
HEB.11.9	Ukit ka kapamaké i Abraham ka Manama, igóddô sikandin iring na bisita tun ta banuwa na igtandô ka Manama kandin. Ándà balé na igimu din asal igóddô dád sikandin tun ta tulda na iring katô igóddóan katô batà din na si Isaac, asta katô apù din na si Jacob, su magunawa pagsik tô igtandô ka Manama kandan.
HEB.11.10	Iring na bisita si Abraham, su giman sikandin katô góddóan din tun datas ta langit na dì gó mapalin su igimu ka Manama.
HEB.11.11	Ukit ka kapamaké i Sara, agad dì sikandin ágbatà asta tugál dán, ikabatà sikandin, su isóddóran din na ágkasarigan tô Manama na igtandô.
HEB.11.12	Agad ándà gimanan i Abraham na makabatà pa su tugál dán, asal sikandin tô igtikudan katô marapung mga rubbad din iring katô karapungan ka mga karani tun ta langit, asta iring katô baklayan tun ta ligad ka dagat na dì ágkéyap.
HEB.11.13	Tô langun dan na igpamaké ka Manama, tô inaté sikandan, ándà dan pa katanggap tô igtandô ka Manama. Agad madugé pa tô katumanan, asal iring na igkita dan asta idayawan dan. Igpasóddór dan na ánnà nit banuwa tô góddóan dan na ándà ágtamanán. 
HEB.11.14	Atin ka ágkagi tô mga manubù na ánnà nit banuwa tô góddóan dan, kasóddóran ta na duwán pa ássa góddóan na gimanan dan. 
HEB.11.15	Ándà panámdám tô mga kamónaan ta sayyan na kandan tô banuwa na igtikudan dan, su atin ka tô gó é panámdám dan, makému dan lumónód dutun. 
HEB.11.16	Asal gimanan dan tô góddóan na tuu pa madigár, tô banuwa tun datas ta langit. Purisu ándà kayyai tô Manama ka ágtawarán sikandin na Manama dan, asta igpataganà din dán tô lunsud para kandan.
HEB.11.17+HEB.11.18	Ukit ka kapamaké i Abraham, tô igkinnam tô Manama kandin, ignunug sikandin katô sugù ka Manama na matayan din tô kandin batà na si Isaac asta góbbón ébô bággén tun ta Manama. Agad igtandóan ka Manama si Abraham na ukit ki Isaac kumarapung tô mga rubbad din, asal ikataganà si Abraham na matayan din tô bugtung batà din ébô bággén tun ta Manama.
HEB.11.19	Igbánnal si Abraham ka Manama, su panámdám din na makému tô Manama manté puman ka mga inaté. Purisu iring na iganté puman katô Manama si Isaac asta igpólì ki Abraham.
HEB.11.20	Ukit ka kapamaké i Isaac katô Manama, igtandô sikandin katô gabatà din na si Jacob asta si Esau na madigár tô bággén ka Manama kandan.
HEB.11.21	Ukit ka kapamaké i Jacob katô Manama, tô masig dán sikandin maté, igkagi sikandin tingód katô duwa apù din na gabatà i Jose na madigár tô bággén ka Manama kandan. Róggun na igunduk sikandin tun ta tukád din, igpangadap sikandin katô Manama.
HEB.11.22	Ukit ka kapamaké i Jose katô Manama, tô masig dán sikandin maté, igkagi sikandin na dumunggù tô álló na panó tô langun rubbad i Israel tikud tun ta Ehipto, asta duwán panalan din na piddán dan tô mga tullan din ka manó dan.
HEB.11.23	Ukit ka kapamaké katô ámmà asta innà i Moises katô Manama, ándà máddang dan ka sugù katô harì ka Ehipto, asal igállás dan si Moises sippang ka tállu bulan ébô dì kamatayan, su igkita dan na madigár sikandin.
