MAT.1.1	Yisúʻ Masíh, ibn i Dáúd, ibn i Ibráhím ká nasabnáma.
2CO.9.11	aur tum har chíz ko ifrát se pákar, sab tarah kí saḳháwat karoge, jo hamáre wasíle se Ḳhudá kí shukrguzárí ká báʻis hotí hai. 
2CO.9.12	Kyúṉki is ḳhidmat ke anjám dene se na sirf muqaddasoṉ kí ihtiyájeṉ rafaʻ hotí haiṉ, balki bahut logoṉ kí taraf se Ḳhudá kí baṛí shukrguzárí hotí hai; 
2CO.9.13	is liye ki jo níyat is ḳhidmat se sábit húí, us ke sabab se wuh Ḳhudá kí baṛáí karte haiṉ, ki tum Masíh kí ḳhushḳhabarí ká iqrár karke us par tábiʻdárí se ʻamal karte ho, aur un kí aur sab logoṉ kí madad karne meṉ saḳháwat karte ho; 
2CO.9.14	aur wuh tumháre liye duʻá máṉgte haiṉ, aur tumháre mushtáq haiṉ, is liye ki tum par Ḳhudá ka baṛá hí fazl hai. 
2CO.9.15	Shukr Ḳhudá ká us kí us baḳhshish par jo bayán se báhar hai.
2CO.10.1	Maiṉ Paulus jo tumháre rúbarú ʻájiz, aur píṭh píchhe tum par diler húṉ, Masíh ká hilm aur narmí yád dilákar ḳhud tum se iltimás kartá húṉ: 
2CO.10.2	balki minnat kartá húṉ, ki mujhe házir hokar us bebákí ke sáth diler na honá paṛe, jis se maiṉ baʻz logoṉ par diler hone ká qasd rakhtá húṉ, jo hameṉ yúṉ samajhte haiṉ, ki ham jism ke mutábiq zindagí guzárte haiṉ. 
2CO.10.3	Kyúṉki ham agarchi jism meṉ zindagí guzárte haiṉ, magar jism ke taur par laṛte nahíṉ; 
2CO.10.4	is liye ki hamári laṛáí ke hathyár jismání nahíṉ, balki Ḳhudá ke nazdík qilʻoṉ ke ḍhá dene ke qábil haiṉ; 
2CO.10.5	chunáṉchi ham tasawwurát, aur har ek úṉchí chíz ko jo Ḳhudá kí pahchán ke barḳhiláf sir uṭháe húe hai, ḍhá dete haiṉ, aur har ek ḳhayál ko qáid karke Masíh ká farmánbardár baná dete haiṉ; 
2CO.10.6	aur ham taiyár haíṉ, ki jab tumhárí farmánbardárí púrí ho, to har tarah kí náfarmání ká badla leṉ. 
2CO.10.7	Tum to un chízoṉ par nazar karte ho, jo áṉkhoṉ ke sámne haiṉ. Agar kisí ko apne úpar yih bharosá hai, ki wuh Masíh ká hai, to apne dil meṉ yih bhí soch le, ki jaise wuh Masíh ká hai, waise hí ham bhí haiṉ. 
2CO.10.8	Kyúṉki agar maiṉ is iḳhtiyár par kuchh ziyáda faḳhr bhí karúṉ, jo Ḳhudáwand ne tumháre banáne ke liye diyá hai, na bigáṛne ke liye, to maiṉ sharminda na húṉgá. 
2CO.10.9	Yih maiṉ is liye kahtá húṉ, ki ḳhattoṉ ke zaríʻe se tum ko daránewálá na ṭhahrúṉ. 
2CO.10.10	Kyúṉki kahte haiṉ, ki Us ke ḳhatt to albatta muʼassir aur zabardast haiṉ; lekin jab ḳhud maujúd hotá hai, to kamzor sá maʻlúm hotá hai, aur us kí taqrír lachar hai. 
2CO.10.11	Pas aisá kahnewálá samajh rakkhe, ki jaisá píṭh píchhe ḳhattoṉ meṉ hamárá kalám hai, waisá hí maujúdagí ke waqt hamárá kám bhí hogá. 
2CO.10.12	Kyúṉki hamárí yih jurʼat nahíṉ, ki apne áp ko un chand shaḳhsoṉ meṉ shumár kareṉ, yá un se kuchh nisbat deṉ, jo apní neknámí jatáte haiṉ; lekin wuh ḳhud apne áp ko ápas meṉ wazan karke, aur apne áp ko ek dúsre se nisbat dekar, nádán ṭhahrte haiṉ. 
2CO.10.13	Lekin ham andáze se ziyáda faḳhr na kareṉge, balki usí ʻiláqe ke andáze ke muwáfiq jo Ḳhudá ne hamáre liye muqarrar kiyá hai, jis meṉ tum bhí á gaye ho. 
2CO.10.14	Kyúṉki ham apne áp ko hadd se ziyáda nahiṉ baṛháte, jaise ki tum tak na pahuṉchne kí súrat meṉ hotá; balki ham Masíh kí ḳhushḳhabarí dete húe tum tak pahuṉch gaye the: 
2CO.10.15	aur ham andáze se ziyáda, yaʻní auroṉ kí mihnatoṉ par, faḳhr nahíṉ karte; lekin ummedwár haiṉ, ki jab tumháre ímán meṉ taraqqí ho, to ham tumháre sabab se apne ʻiláqe ke muwáfiq âur bhí baṛheṉ; 
2CO.10.16	táki tumhárí sarhadd se pare ḳhushḳhabarí pahuṉchá deṉ, na ki gair ke ʻiláqe meṉ baní banáí chízoṉ par faḳhr kareṉ. 
2CO.10.17	G̣araz, jo faḳhr kare wuh Ḳhudáwand par faḳhr kare. 
2CO.10.18	Kyúṉki jo apní neknámí jatátá haí, wuh maqbúl nahíṉ, balki jis ko Ḳhudáwand neknám ṭhahrátá hai, wuhí maqbúl hai.
2CO.11.1	Kásh ki tum merí thoṛí sí bewuqúfí kí bardásht kar sakte: háṉ, tum merí bardásht karte to ho. 
2CO.11.2	Mujhe tumhárí bábat Ḳhudá kí sí gairat hai: kyúṉki maiṉ ne ek hí shauhar ke sáth tumhárí nisbat kí hai, táki tum ko pákdáman kuṉwárí kí mánind Masíh ke pás házir karúṉ. 
2CO.11.3	Lekin maiṉ ḍartá húṉ, kahíṉ aisá na ho ki jis tarah sáṉp ne apní makkárí se Hawwá ko bahkáyá, isí tarah tumháre ḳhayálát bhí us ḳhulús aur pákdámaní se haṭ jáeṉ, jo Masíh ke sáth honí cháhiye. 
2CO.11.4	Kyúṉki jo átá hai, agar wuh kisí dúsre Yisúʻ kí manádí kartá hai, jis kí ham ne manádí nahíṉ kí, yá koí âur rúh tum ko miltí hai, jo na milí thí, yá dúsrí ḳhushḳhabarí milí, jis ko tum ne qubúl na kiyá thá, to tumhárá bardásht karná bajá hai. 
2CO.11.5	Maiṉ to apne áp ko un afzal rasúloṉ se kuchh kam nahíṉ samajhtá. 
2CO.11.6	Aur agar taqrír meṉ beshuʻúr húṉ, to ʻilm ke iʻtibár se to nahíṉ; balki ham ne is ko har bát meṉ tamám ádmíoṉ par tumhárí ḳhátir záhir kar diyá. 
2CO.11.7	Kyá yih mujh se ḳhatá húí, ki maiṉ ne tumheṉ Ḳhudá kí ḳhushḳhabarí muft pahuṉchákar apne áp ko past kiyá, táki tum baland ho jáo? 
2CO.11.8	Maiṉ ne âur kalísiyáoṉ ko lúṭá, yaʻní un se ujrat lí, táki tumhárí ḳhidmat karúṉ; 
2CO.11.9	aur jab maiṉ tumháre pás thá, aur hájatmand ho gayá thá, taubhí maiṉ ne kisí par bojh nahíṉ ḍálá; kyúṉki bháiyoṉ ne Makiduniya se ákar merí hájat ko rafaʻ kar diyá thá: aur maiṉ har ek bát meṉ tum par bojh ḍálne se báz rahá, aur rahúṉgá. 
2CO.11.10	Masíh kí sadáqat kí qasam, jo mujh meṉ hai! Aḳhaya ke ʻiláqe meṉ koí shaḳhs mujhe yih faḳhr karne se na rokegá. 
2CO.11.11	Kis wáste? kyá is wáste ki maiṉ tum se mahabbat nahíṉ rakhtá? Is ko Ḳhudá jántá hai. 
2CO.11.12	Lekin jo kartá húṉ, wuhí kartá rahúṉgá, táki mauqaʻ ḍhúṉḍhnewáloṉ ko mauqaʻ na dúṉ; balki jis bát par wuh faḳhr karte haiṉ, us meṉ ham hí jaise nikleṉ. 
2CO.11.13	Kyúṉki aise log jhúṭhe rasúl, aur dagábází se kám karnewále haiṉ, aur apne áp ko Masíh ke rasúloṉ ke hamshakl baná lete haiṉ. 
2CO.11.14	Aur kuchh ʻajab nahíṉ, kyúṉki Shaitán bhí apne áp ko núrání firishte ká hamshakl baná letá hai. 
2CO.11.15	Pas agar us ke ḳhádim bhí rástbází ke ḳhádimoṉ ke hamshakl ban jáeṉ, to kuchh baṛí bát nahíṉ: lekin un ká anjám un ke kámoṉ ke muwáfiq hogá.
2CO.11.16	Maiṉ phir kahtá húṉ, kí mujhe koí bewuqúf na samjhe: warna bewuqúf hí samajhkar mujhe qubúl karo, ki maiṉ bhí thoṛá sá faḳhr karúṉ. 
2CO.11.17	Jo kuchh maiṉ kahtá húṉ, wuh Ḳhudáwand ke taur par nahíṉ, balki goyá bewuqúfí se, aur us jurʼat se kahtá húṉ jo faḳhr karne meṉ hotí haí. 
2CO.11.18	Jaháṉ âur bahutere jismání taur par faḳhr karte haiṉ, maiṉ bhí karúṉgá. 
2CO.11.19	Kyúṉki tum to ʻaqlmánd hokar ḳhushí se bewuqúfoṉ kí bardásht karte ho. 
2CO.11.20	Jab koí tumheṉ gulám banátá hai, yá khá játá hai, yá phaṉsá letá hai, yá apne áp ko baṛá banátá hai, yá tumháre muṉh par tamáṉcha mártá hai, to tum bardásht kar lete ho. 
2CO.11.21	Merá yih kahná zillat hí ke taur par sahí, ki ham kamzor se the. Magar jis kisí bát meṉ koí diler hai, (agarchi yih kahná bewuqúfí haí,) maiṉ bhí diler húṉ. 
2CO.11.22	Kyá wuhí ʻIbrání haiṉ? Maiṉ bhí húṉ. Kyá wuhí Isráílí haiṉ? Maiṉ bhí húṉ. Kyá wuhí Ibráhím kí nasl se haiṉ? Maiṉ bhí húṉ. 
2CO.11.23	Kyá wuhí Masíh ke ḳhádim haiṉ? (merá yih kahná díwánagí hai;) maiṉ ziyádatar húṉ; mihnatoṉ meṉ ziyáda, qaid meṉ ziyáda, koṛe kháne meṉ hadd se ziyáda, bárhá maut ke ḳhatroṉ meṉ rahá húṉ. 
2CO.11.24	Maiṉ ne Yahúdíoṉ se páṉch bár ek kam chálís chálís koṛe kháe. 
2CO.11.25	Tín bár bedeṉ kháíṉ, ek bár saṉgsár kiyá gayá, tín martabe jaház ṭúṭne kí balá meṉ paṛá, ek rát dín samundar meṉ káṭá; 
2CO.11.26	maiṉ bárhá safaroṉ meṉ, daryáoṉ ke ḳhatroṉ meṉ, ḍákúoṉ ke ḳhatroṉ meṉ, apní qaum se ḳhatroṉ meṉ, gairqaumoṉ se ḳhatroṉ meṉ, shahr ke ḳhatroṉ meṉ, biyábán ke ḳhatroṉ meṉ, samundar ke ḳhatroṉ meṉ, jhúṭhe bháiyoṉ ke ḳhatroṉ meṉ; 
2CO.11.27	mihnat aur mashaqqat meṉ, bárhá bedárí kí hálat meṉ, bhúk aur piyás kí musíbat meṉ, bárhá fáqakashí meṉ, sardí aur naṉgápan kí hálat meṉ rahá húṉ. 
2CO.11.28	Âur bátoṉ ke ʻaláwa, jin ká maiṉ zikr nahíṉ kartá, sárí kalísiyáoṉ kí fikr mujhe har roz á dabátí hai. 
2CO.11.29	Kis kí kamzorí se maiṉ kamzor nahíṉ hotá? Kis ke ṭhokar kháne se merá díl nahíṉ dúkhtá? 
2CO.11.30	Agar faḳhr hí karná zarúr hai, to un bátoṉ par faḳhr karúṉgá, jo merí kamzorí se mutaʻalliq haiṉ. 
2CO.11.31	Ḳhudáwand Yisúʻ ká Ḳhudá aur Báp, jis kí abad tak hamd ho, jántá hai ki maiṉ jhúṭh nahíṉ kahtá. 
2CO.11.32	Damishq meṉ us hákim ne jo bádsháh Aritás kí taraf se thá, mere pakaṛne ke liye Damishqíoṉ ke shahr par pahrá biṭhá rakkhá thá: 
2CO.11.33	phir maiṉ ṭokre meṉ khiṛkí kí ráh díwár par se laṭká diyá gayá, aur maiṉ us ke háthoṉ se bach gayá.
2CO.12.1	Mujhe faḳhr karná zarúr húá, agarchi mufíd nahíṉ. Pas jo royá aur mukáshafe Ḳhudáwand kí taraf se ʻináyat húe, un ká maiṉ zikr kartá húṉ. 
2CO.12.2	Maiṉ Masíh meṉ ek shaḳhs ko jántá húṉ; chaudah baras húe, ki wuh yakáyak tísre ásmán tak uṭhá liyá gayá; na mujhe yih maʻlúm ki badan samet; na yih maʻlúm ki bagair badan ke; yih Ḳhudá ko maʻlúm hai. 
2CO.12.3	Aur maiṉ yih bhí jántá húṉ, ki us shaḳhs ne, (badan samet yá bagair badan ke, yih mujhe maʻlúm nahíṉ; Ḳhudá ko maʻlúm hai,) 
2CO.12.4	yakáyak firdaus meṉ pahuṉchkar aisí báteṉ suníṉ, jo kahne kí nahíṉ, aur jin ká kahná ádmí ko rawá nahíṉ. 
2CO.12.5	Maiṉ aise shaḳhs ke úpar to faḳhr karúṉgá, lekin apne úpar, siwá apní kamzoríoṉ ke, faḳhr na karúṉgá. 
2CO.12.6	Aur agar faḳhr karná cháhúṉ bhí, to bewuqúf na ṭhahrúṉgá; is liye ki sach bolúṉgá: magar táham báz rahtá húṉ, táki koí mujhe us se ziyáda na samjhe, jaisá mujhe dekhtá hai, yá mujh se suntá hai. 
2CO.12.7	Aur mukáshafoṉ kí ziyádatí ke báʻis, mere phúl jáne ke andeshe se, mere jism meṉ káṉṭá chubhoyá gayá, yaʻní Shaitán ká qásid, táki mere mukke máre, aur maiṉ phúl na jáúṉ. 
2CO.12.8	Is ke báre meṉ maiṉ ne tín bár Ḳhudáwand se iltimás kiyá, ki yih mujh se dúr ho jáe. 
2CO.12.9	Magar us ne mujh se kahá, ki Merá fazl tere liye kafí hai, kyúṉki merí qudrat kamzorí meṉ púrí hotí hai. Pas maiṉ baṛí ḳhushi se apní kamzoríoṉ par faḳhr karúṉgá, táki Masíh kí qudrat mujh par chháí rahe. 
2CO.12.10	Is liye maiṉ Masíh kí ḳhátir kamzoríoṉ meṉ, beʻízzatíoṉ meṉ, ihtiyájoṉ meṉ, satáe jáne meṉ, tangíoṉ meṉ ḳhush húṉ; kyúṉki jab maiṉ kamzor hotá húṉ, usí waqt zoráwar hotá húṉ.
2CO.12.11	Maiṉ bewuqúf to baná: magar tum hí ne mujhe majbúr kiyá; kyúṉki tum ko merí taʻríf karní cháhiye thí: is liye ki maiṉ un afzal rasúloṉ se kisí bát meṉ kam nahíṉ, agarchi kuchh nahíṉ húṉ. 
2CO.12.12	Rasúl hone kí ʻalámateṉ kamál sabr ke sáth, nishánoṉ, aur ʻajíb kámoṉ, aur muʻjizoṉ ke wasíle se tumháre darmiyán záhir húíṉ. 
2CO.12.13	Tum kaun sí bát meṉ âur kalísiyáoṉ se kam ṭhahre, bajuz is ke ki maiṉ ne tum par bojh na ḍálá? Merí yih beinsáfí muʻáf karo.
2CO.12.14	Dekho, yih tísrí bár maiṉ tumháre pás áne ke liye taiyár húṉ: aur tum par bojh na ḍálúṉgá; is liye ki maiṉ tumháre mál ká nahíṉ, balki tumhárá hí ḳhwáháṉ húṉ; kyúṉki laṛkoṉ ko máṉ báp ke liye jamaʻ karná nahíṉ cháhiye, balki máṉ báp ko laṛkoṉ ke liye. 
2CO.12.15	Aur maiṉ tumhárí rúhoṉ ke wáste bahut ḳhushí se ḳharch karúṉgá, balki ḳhud bhí ḳharch ho jáúṉgá. Agar maiṉ tum se ziyáda mahabbat rakkhúṉ, to kyá tum mujh se kam mahabbat rakkhoge? 
2CO.12.16	Lekin mumkin hai, ki maiṉ ne ḳhud tum par bojh na ḍálá ho; magar makkár jo húá, is liye tum ko fareb dekar phaṉsá liyá ho. 
2CO.12.17	Bhalá, jinheṉ maiṉ ne tumháre pás bhejá, kyá un meṉ se kisí kí maʻrifat dagá ke taur par tum se kuchh le liyá? 
2CO.12.18	Maiṉ ne Titus ko samjhákar us ke sáth us bháí ko bhejá. Pas kyá Titus ne tum se dagá ke taur par kuchh liyá? kyá ham donoṉ ká chál chalan ek hí Rúh kí hídáyat ke mutábiq na thá? kyá ham ek hí naqsh i qadam par na chale?
2CO.12.19	Tum abhí tak yíhí samajhte hoge, ki ham tumháre sámne ʻuzr kar rahe haiṉ? Ham to Ḳhudá ko házir jánkar Masíh meṉ bolte haiṉ. Aur ai piyáro, yih sab kuchh tumhárí taraqqí ke liye hai. 
2CO.12.20	Kyúṉki maiṉ ḍartá húṉ, kahíṉ aisá na ho, ki maiṉ ákar jaisá tumheṉ cháhtá húṉ, waisá na páúṉ, aur mujhe bhí jaisá tum nahíṉ cháhte, waisá hí páo; ki tum meṉ jhagṛá, hasad, gussa, tafriqe, badgoíáṉ, gíbateṉ, sheḳhíáṉ, aur fasád hoṉ; 
2CO.12.21	aur phir maiṉ jab áúṉ, to merá Ḳhudá mujhe tumháre sámne ʻájiz kare, aur mujhe bahutoṉ ke liye afsos karná paṛe, jinhoṉ ne peshtar gunáh kiye haiṉ, aur us nápákí, aur harámkárí, aur shahwatparastí se jo un se sarzadd húí, tauba nahíṉ kí.
2CO.13.1	Yih tísrí bár maiṉ tumháre pás átá húṉ. Do yá tín gawáhoṉ kí zabán se har ek bát sábit ho jáegí. 
2CO.13.2	Jaise maiṉ ne jab dúsrí dafʻa házir thá to pahle se kah diyá thá, waise hí ab gairházirí meṉ bhí un logoṉ se jinhoṉ ne peshtar gunáh kiye haiṉ, aur âur sab logoṉ se, pahle se kahe detá húṉ, ki agar phir áúṉgá, to darguzar na karúṉgá; 
2CO.13.3	kyúṉki tum is kí dalíl cháhte ho, kí Masíh mujh meṉ boltá hai; aur wuh tumháre wáste kamzor nahíṉ, balki tum meṉ zoráwar hai: 
2CO.13.4	háṉ, wuh kamzorí ke sabab se salíb diyá gayá, lekin Ḳhudá kí qudrat ke sabab se zinda hai. Aur ham bhí us meṉ kamzor to haiṉ, magar us ke sáth Ḳhudá kí us qudrat ke sabab se zinda hoṉge, jo tumháre wáste hai. 
2CO.13.5	Tum apne áp ko ázmáo, ki ímán par ho yá nahíṉ; apne áp ko jáṉcho. Kyá tum apní bábat yih nahíṉ jánte, ki Yisúʻ Masíh tum meṉ hai? warna tum námaqbúl ho. 
2CO.13.6	Lekin maiṉ ummed kartá húṉ ki tum maʻlúm kar loge, ki ham to námaqbúl nahíṉ. 
2CO.13.7	Aur ham Ḳhudá se duʻá máṉgte haiṉ, ki tum kuchh badí na karo; na is wáste ki ham maqbúl maʻlúm hoṉ, balki is wáste ki tum nekí karo, cháhe ham námaqbúl hí ṭhahreṉ. 
2CO.13.8	Kyúṉki ham haqq ke barḳhiláf kuchh nahíṉ kar sakte, magar sirf haqq ke liye kar sakte haiṉ. 
2CO.13.9	Jab ham kamzor haiṉ, aur tum zoráwar ho, to ham ḳhush haiṉ: aur yih duʻá bhí máṉgte haiṉ, ki tum kámil bano. 
2CO.13.10	Is liye maiṉ gairházirí meṉ yih báteṉ likhtá húṉ, táki házir hokar mujhe us iḳhtiyár ke muwáfiq saḳhtí na karní paṛe, jo Ḳhudáwand ne mujhe banáne ke liye diyá hai, na bigáṛne ke liye.
2CO.13.11	G̣araz, ai bháiyo, ḳhush raho; kámil bano; ḳhátirjamaʻ rakkho; yakdil raho; mel miláp rakkho; to Ḳhudá, mahabbat aur mel miláp ká chashma, tumháre sáth hogá. 
2CO.13.12	Ápas meṉ pák bosa lekar salám karo.
2CO.13.13	Sáre muqaddas log tum ko salám kahte haiṉ.
2CO.13.14	Ḳhudáwand Yisúʻ Masíh ká fazl, aur Ḳhudá kí mahabbat, aur Rúhuʼl Quds kí shirákat tum sab ke sáth hotí rahe.
GAL.1.1	Paulus kí taraf se, jo na insánoṉ kí jánib se, na insán ke sabab se, balki Yisúʻ Masíh aur Ḳhudá Báp ke sabab se, jis ne us ko murdoṉ meṉ se jiláyá, rasúl hai; 
GAL.1.2	aur sáre bháiyoṉ kí taraf se, jo mere sáth haiṉ, Galatiya kí kalísiyáoṉ ko. 
GAL.1.3	Ḳhudá Báp, aur hamáre Ḳhudáwand Yisúʻ Masíh kí taraf se tumheṉ fazl aur itmínán hásil hotá rahe; 
GAL.1.4	usí ne hamáre gunáhoṉ ke liye apne áp ko de diyá, táki hamáre Ḳhudá aur Báp kí marzí ke muwáfiq, hameṉ is maujúda ḳharáb jahán se ḳhalásí baḳhshe: 
GAL.1.5	us kí tamjíd abaduʼl ábád hotí rahe. Ámín.
GAL.1.6	Maiṉ taʻajjub kartá húṉ, ki jis ne tumheṉ Masíh ke fazl se buláyá, us se tum is qadr jald phirkar kisí âur tarah kí ḳhushḳhabarí kí taraf máil hone lage: 
GAL.1.7	magar wuh dúsrí nahíṉ: albatta baʻz aise haiṉ, jo tumheṉ ghabrá dete, aur Masíh kí ḳhushḳhabarí bigáṛná cháhte haiṉ. 
GAL.1.8	Lekin agar ham, yá ásmán ká koí firishta bhí, us ḳhushḳhabarí ke siwá jo ham ne tumheṉ sunáí, koí âur ḳhushḳhabarí tumheṉ sunáe, to malʻún ho. 
GAL.1.9	Jaisá ham peshtar kah chuke haiṉ, waisá hí ab maiṉ phir kahtá húṉ, ki us ḳhushḳhabarí ke siwá, jo tum ne qubúl kí thí, agar koí tumheṉ âur ḳhushḳhabarí sunátá hai, to malʻún ho. 
GAL.1.10	Ab maiṉ ádmíoṉ ko dost banátá húṉ, yá Ḳhudá ko? kyá ádmíoṉ ko ḳhush karná cháhtá húṉ? agar ab tak ádmíoṉ ko ḳhush kartá rahtá, to Masíh ká banda na hotá.
GAL.1.11	Ai bháiyo, maiṉ tumheṉ jatáe detá húṉ, ki jo ḳhushḳhabarí maiṉ ne sunáí, wuh insán kí sí nahíṉ. 
GAL.1.12	Kyúṉki wuh mujhe insán kí taraf se nahíṉ pahuṉchí, aur na mujhe sikháí gayí, balki Yisúʻ Masíh kí taraf se mujhe us ká mukáshafa húá. 
GAL.1.13	Chunáṉchi Yahúdí taríq meṉ jo pahle merá chál chalan thá, tum sun chuke ho; ki maiṉ Ḳhudá kí kalísiyá ko azhadd satátá aur tabáh kartá thá: 
GAL.1.14	aur maiṉ Yahúdí taríq meṉ apní qaum ke aksar hamʻumroṉ se baṛhtá játá thá, aur apne buzurgoṉ kí riwáyatoṉ meṉ niháyat sargarm thá. 
GAL.1.15	Lekin jis Ḳhudá ne mujhe merí máṉ ke peṭ hí se maḳhsús kar liyá, aur apne fazl se bulá liyá, jab us kí yih marzí húí, 
GAL.1.16	ki apne Beṭe ko mujh meṉ záhir kare, táki maiṉ gairqaumoṉ meṉ us kí ḳhushḳhabarí dúṉ; to na maiṉ ne gosht aur ḳhún se saláh lí: 
GAL.1.17	aur na Yarúshalem meṉ un ke pás gayá, jo mujh se pahle rasúl the, balki fauran ʻArab ko chalá gayá; phir waháṉ se Damishq ko wápas áyá.
GAL.1.18	Phir tín baras ke baʻd maiṉ Kefá se muláqát karne ko Yarúshalem gayá, aur pandrah din us ke pás rahá. 
GAL.1.19	Magar âur rasúloṉ meṉ se, Ḳhudáwand ke bháí Yaʻqúb ke siwá, kisí se na milá. 
GAL.1.20	Jo báteṉ maiṉ tum ko likhtá húṉ, Ḳhudá ko házir jánkar kahtá húṉ, ki wuh jhúṭhí nahíṉ. 
GAL.1.21	Is ke baʻd maiṉ Súriya aur Kilikiya ke ʻiláqoṉ meṉ áyá. 
GAL.1.22	Aur Yahúdiya kí kalísiyáeṉ jo Masíh meṉ thíṉ merí súrat se to wáqif na thíṉ: 
GAL.1.23	magar sirf yih suná kartí thíṉ, ki Jo ham ko pahle satátá thá, wuh ab usí dín kí ḳhushḳhabarí detá hai, jise pahle tabáh kartá thá; 
GAL.1.24	aur wuh mere báʻis Ḳhudá kí baṛáí kartí thíṉ.
GAL.2.1	Áḳhir chaudah baras ke baʻd maiṉ Bar Nabá ke sáth phir Yarúshalem ko gayá, aur Titus ko bhí sáth le gayá. 
GAL.2.2	Aur merá jáná mukáshafe ke mutábiq húá: aur jis ḳhushḳhabarí kí gairqaumoṉ meṉ manádí kartá húṉ, wuh un se bayán kí, magar ʻaláhidagí meṉ un hí logoṉ se jo kuchh samjhe játe the, aisá na ho ki merí is waqt kí yá aglí dauṛ dhúp befáida jáe. 
GAL.2.3	Lekin Titus bhí jo mere sáth thá, aur Yúnání hai, ḳhatna karáne par majbúr na kiyá gayá: 
GAL.2.4	aur yih un jhúṭhe bháiyoṉ ke sabab se húá, jo chhipkar dáḳhil ho gaye the, aur chorí se ghus áe the táki us ázádí ko jo hameṉ Masíh Yisúʻ meṉ hásil hai, jásúsoṉ ke taur par daryáft karke, hameṉ gulámí meṉ láeṉ: 
GAL.2.5	un ke tábiʻ rahná ham ne ghaṛí bhar bhí manzúr na kiyá, táki ḳhushḳhabarí kí sachcháí tum meṉ qáim rahe. 
GAL.2.6	Aur jo log kuchh samjhe játe the, (ḳhwáh wuh kaise hí the, mujhe is se kuchh wásta nahiṉ; Ḳhudá kisí ádmí ká tarafdár nahíṉ) — un se, jo kuchh samjhe játe the, mujhe kuchh hásil na húá: 
GAL.2.7	lekin barʻaks is ke, jab unhoṉ ne yih dekhá, ki jis tarah maḳhtúnoṉ ko ḳhushḳhabarí dene ká kám Patras ke supurd húá, isí tarah námaḳhtúnoṉ ko sunáná is ke supurd húá; 
GAL.2.8	(kyúṉki jis ne maḳhtúnoṉ kí risálat ke liye Patras meṉ asar paidá kiyá, usí ne gairqaumoṉ ke liye mujh meṉ bhí asar paidá kiyá); 
GAL.2.9	aur jab unhoṉ ne us taufíq ko maʻlúm kiyá, jo mujhe milí thí, to Yaʻqúb aur Kefá aur Yúhanná ne, jo kalísiyá ke rukn samjhe játe the, mujhe aur Bar Nabá ko dahiná háth dekar sharík kar liyá, táki ham gairqaumoṉ ke pás jáeṉ, aur wuh maḳhtúnoṉ ke pás; 
GAL.2.10	aur sirf yih kahá, ki garíboṉ ko yád rakhná: magar maiṉ ḳhud hí isí kám kí koshish meṉ thá.
GAL.2.11	Lekin jab Kefá Antákiya meṉ áyá, to maiṉ ne rúbarú hokar us kí muḳhálafat kí, kyúṉki wuh malámat ke láiq thá. 
GAL.2.12	Is liye ki Yaʻqúb kí taraf se chand shaḳhsoṉ ke áne se pahle to wuh gairqaumwáloṉ ke sáth kháyá kartá thá: magar jab wuh á gaye, to maḳhtúnoṉ se ḍarkar báz rahá, aur kanára kiyá. 
GAL.2.13	Aur báqí Yahúdíoṉ ne bhí us ke sáth hokar riyákárí kí; yaháṉ tak ki Bar Nabá bhí un ke sáth riyákárí meṉ paṛ gayá. 
GAL.2.14	Jab maiṉ ne dekhá, ki wuh ḳhushḳhabarí kí sachcháí ke muwáfiq sídhí chál nahíṉ chalte, to maiṉ ne sab ke sámne Kefá se kahá, ki Jab tú, báwujúd Yahúdí hone ke, gairqaumoṉ kí tarah zindagí guzártá hai, na Yahúdíoṉ kí tarah, to gairqaumoṉ ko Yahúdíoṉ kí tarah chalne par kyúṉ majbúr kartá hai? 
GAL.2.15	Go ham paidáish se Yahúdí haiṉ, aur gunahgár gairqaumoṉ meṉ se nahíṉ, 
GAL.2.16	táham yih jánkar ki ádmí sharíʻat ke aʻmál se nahíṉ, balki sirf Yisúʻ Masíh par ímán láne se rástbáz ṭhahrtá hai, ḳhud bhí Masíh Yisúʻ par ímán láe, táki ham Masíh par ímán láne se rástbáz ṭhahreṉ, na ki sharíʻat ke aʻmál se; kyúṉki sharíʻat ke aʻmál se koí bashar rástbáz na ṭhahregá. 
GAL.2.17	Aur ham jo Masíh meṉ rástbáz ṭhahrná cháhte haiṉ, agar ḳhud hí gunahgár nikleṉ, to kyá Masíh gunáh ká báʻis hai? Hargiz nahíṉ! 
GAL.2.18	Kyúṉkí jo kuchh maiṉ ne ḍhá diyá, agar use phir banáúṉ, to apne áp ko qusúrwár ṭhahrátá húṉ. 
GAL.2.19	Chunáṉchi maiṉ sharíʻat hí ke wasíle sharíʻat ke iʻtibár se mar gayá, táki Ḳhudá ke iʻtibár se zinda ho jáúṉ. 
GAL.2.20	Maiṉ Masíh ke sáth maslúb húá húṉ; aur ab maiṉ zinda na rahá, balki Masíh mujh meṉ zinda hai: aur maiṉ jo ab jism meṉ zindagí guzártá húṉ, to Ḳhudá ke Beṭe par ímán láne se guzártá húṉ, jis ne mujh se mahabbat rakkhí, aur apne áp ko mere liye maut ke hawále kar diyá. 
GAL.2.21	Maiṉ Ḳhudá ke fazl ko bekár nahíṉ kartá: kyúṉki rástbází agar sharíʻat ke wasíle se miltí, to Masíh ká marná ʻabas hotá.
