MAT.1.1	Iga nyigo marina ga waku wa Yesu Kristo awei o kyishari kya Dawidi na Abrahamu.
1PE.5.7	kunu mochimṙambika fowa tsanyu tsoose, cha kyipfa oe nekyekuwinisha mnu na shindo shanyu. 
1PE.5.8	Muwaṙe meena na ilaa kyiṙombo; cha kyipfa mokyituwa onyu Mokyiriinzi, cha simba isepfuo, nekyetenga-tenga, echipfula mndu nammeṟe. 
1PE.5.9	Na nyoe mmbingyenyi, mulailoloma iiṙikyienyi, muichi kye wukyiwa wulya wulya wukyeri ko wana wa wamanyu wakyeri wuyanenyi. 
1PE.5.10	Na Ruwa o isaṟia lyoose, alemulaga nyoe iiṙa na kyiṟuminyi kyakye kya mlungana kyiiṙi kya Kristo, mukomlyiso wukyiwa kyiyeri kyitutu, oe amonyi nechimmbutia-se orio kyindo muwaṟi iwutio, na imuenenga pfinya. 
1PE.5.11	Wuchilyi wo Ruwa wukae ho mlungana na mlungana. Amen.
1PE.5.12	Silyiwano, mono-wama ekyeafutsia shilya ateṟia, naṟeia paruo-i handu hako. Ngamuṟeia shindo shaangu, iikyimbia na iṟingyishia kye ilyi nyilyo isaṟia lya loi lya Ruwa. Goṟokyenyi isaṟienyi lya Ruwa kulawoṙe iloloma. 
1PE.5.13	Oṙianyu msambuṟe iha Babelyi namuiṟikyiṟa, na Mariko, mono-ko. 
1PE.5.14	Iṟikyiṟanenyi chandu walya waiṙikyie Yesu wekyeiṟikyiṟana.
1PE.5.14	Ufoṟo lukae konyu nyoe moose, muwalungye na Kristo. Amen.
2PE.1.1	Inyi Simion Petiro, ngyikyeri mṟundi na msu o Yesu Kristo, ngaṟeia paruo-i ko walya walewona iiṙikyia lyimwi na soe, lyiwoṙe woguru, wusumganyinyi wo Ruwa oṙu, na Mkyiṟa Yesu Kristo. 
2PE.1.2	Isaṟia lyikae konyu na ufoṟo luengyeṟo kyiiṙi kya imanya Ruwa na Yesu Mndumii oṙu.
2PE.1.3	Cha kyipfa wuiṙimi wokye wo kyiRuwa wuleluenenga shindo shoose shiwaṟi moo na iowuo hamwi na iindia Ruwa, kui immanya oe alelulaga kui mng'ano okye na wucha wokye amonyi. 
2PE.1.4	Lyingyi-se ko isho naleluenenga shaasa shing'anyi mnu, sha woguru, kundu kye kui ikyo muiṙime iwa hamwi na walya wawoṙe mkaṟo o kyiRuwa, mochikyiṟo iwuka wunyamaṟinyi wukyeri wuyanenyi kyipfa kya lango. 
2PE.1.5	Yee, na kyipfa kya ikyo mochipfuṟukana mnu ura lonyu, iiṙikyienyi lyanyu, wikyenyi ho na wucha, na wuchenyi wonyu wuṟango. 
2PE.1.6	Na wuṟangonyi wonyu meena, na meenenyi onyu wusimiri; na wusimirinyi wonyu iowuo na iindia Ruwa. 
2PE.1.7	Na kyiiṙi kya iowuo na iindia Ruwa, ikundana lya wana wa mka; na kyiiṙi kya ikundana lya wana wa mka, ikunda. 
2PE.1.8	Kokooya shindo sha mbaṟe-i-iyi shakaa konyu na iingyikyi, shemuenenga nyoe iwaṙa wuragari na ikumbia ndunda ngyicha, kui imanya Mndumii oṙu Yesu Kristo. 
2PE.1.9	Kyipfa ulya alawoṙe isho nyi kyipfupfuṟe, echiiṙima iwona shindo shikyeri kuleshi-pfo, nawaṙima kulya iyeṟemtso maṙeko gakye ga kacha. 
2PE.1.10	Koikyo wana wa wama, pfuṟukanenyi ngoseṟa ikarisha ilago lyanyu na isambuṟo lyanyu; kyipfa mukowuta isho mochikapa ṙende-pfo. 
2PE.1.11	Kyipfa kuṙi mochitaramo ienengo iiṙa na Wumangyinyi wo mlungana wo Mndumii oṙu, Mkyiṟa oṙu Yesu Kristo.
2PE.1.12	Koikyo ngyikusurie imukumbuṟa isho mfiri yoose, maa chandu mushiichi na iṟingyishio kyiiṙi kya loi mukyeri nayo. 
2PE.1.13	Na inyi ngyiwonyi nyi sungusinyi, ko kyiyeri-kyi ngyikyeri na moo, iwapaaya-paya kui iwakumbuṟa. 
2PE.1.14	Ngyiichi kye ipfa lyako lyiafukyia iwinyi, chandu Mndumii oṙu Yesu Kristo alengyiloṟa. 
2PE.1.15	Kyaindi ngyechipfuṟukana, kye ngampfa inyi muiṙime ikumbuo mbonyi-tso.
2PE.1.16	Kyipfa luleosha shindo shileṟeio kui wuṟango na ngyeṟo kyiyeri lulemmanyisha nyoe pfinya tsa Mndumii oṙu Yesu Kristo na icha lyakye-pfo; indi lulekolowona luwenyi wung'anyi wokye. 
2PE.1.17	Kyipfa naleambilyia iwuka ko Ruwa Awu kyiṟumi na mng'ano, iho-ndu aleendio ṟui lyilewuka mng'anonyi ung'anyi, “Ichu nyi Mana oko, mkunde oko, ngyimchihie kyipfa kyakye.” 
2PE.1.18	Na ṟui-lyo soe lulelyiicho lyechiwuka Ruwewu kyiyeri luwekyeri na oe fumvunyi lyilya lyiele. 
2PE.1.19	Na soe luiṙikyie necha shilya weonguo shisuku wagambie, shilya nyoe mukoshiambuya necha, cha taa ilyimika meemenyi, mowuta necha mṟasa kyiyeri kochikya na nyenyeri ya ngamenyi iwaa mrimenyi konyu. 
2PE.1.20	Mochimanya ulogo-lu kuwooka kye kuwoṙe ionguo shisuku shiṟeionyi lokyetambuluo chandu mndu mlyiwe akunda tupu-pfo. 
2PE.1.21	Kyipfa ionguo shisuku lyichie na handu hoose chandu mndu akundi-pfo; indi wandu waleṙeṙa mbonyi tsiwukyie ko Ruwa, wechisongoyo nyi Mumuyo Mweele. 
2PE.2.1	Kyaindi kulewuka weonguo shisuku wa wongo kyiiṙi kya wandu walya, chandu na konyu kochiwuka walosha wa wongo, wechiende kui wuṟango wo wuṙetsi malosho mawicho, wechilega maa Mndumii ulya alewakyiṟa, wechikuendie inyamaṟo lyiwukyie ko Ruwa. 
2PE.2.2	Wafoi waiṙikyie wewuta shindo shifananyi na walosha-wo wa wongo. Na walya walaiṙikyie wakawona kuṙo, weṙeṙa mawicho kyipfa kya iiṙikyia lya Kyikristiano. 
2PE.2.3	Kui lango tsawo ngyiwicho wechiwona kyiira kyipfa kya imuongoya mbonyi tsa wongo. Wookyia kacha Ruwa alemuwaanduya na iṙumbuo kya inyamaṟo lyawo. Ruwa ekyelaa-pfo, nechiwaanduya chandu agambie. 
2PE.2.4	Mukumburie kye Ruwa naleanduya malaika walya walenyamaṟa. Nalewawiyitsa moṙonyi, kawawika shipfungonyi sha meema, waringo mṟasa kuche mfiri ulya o ianduyo. 
2PE.2.5	Maa Ruwa alehooṟia wuyana wulya wo kacha-pfo, indi naleende Mfu onyamaṟa wuyana wo walya walaiṙikyie Ruwa. Walekyiṟo nyi Noe amonyi awekyeri msumganyi, na wandu wengyi mfungaaṙe. 
2PE.2.6	Lyingyi-se, kaanduya mṟi ya Sodoma na Gomora echiinyamaṟa kui moṙo, kaiwika iwe kyiṟingyishio ko wandu walechiiṙikyia Ruwa numa ya ishi, 
2PE.2.7	kakyiṟa Loti, ulya msumganyi alesokyio nyi fowa mnu kyipfa kya wuwicho wo wanyamaṟi-wo. 
2PE.2.8	Kyipfa mndu-chu msumganyi akyeri kyiiṙi kyawo, kui iwona na iicho, nalekutuura mrima okye uwoṙe wusumganyi, mfiri kui mfiri, kui mawuto gawo galawoṙe uwawaso. 
2PE.2.9	Kyasia, Mndumii naichi ikyiṟa wandu waowuye na ikunda Ruwa iwuka shiyeshonyi, na ikooma walawoṙe wusumganyi kyiiṙi kya iweṙelyia ianduyo mṟasa mfiri ulya o ianduyo. 
2PE.2.10	Na ngoseṟa walya wekyeosha mmbiu langonyi tsa mbonyi ngyiwicho na imina wawoṙe wuchilyi. 
2PE.2.11	Walosha-wo wa wongo wawoṙe wukari na makushelo, wekyelahia malaika wa Ruwa maa wekyewaindia-pfo. Indi malaika wawoṙe pfinya kuta walosha-wo maa wekyegamba shindo shawo mbele ya Mndumii-pfo. 
2PE.2.12	Kyaindi iwo kyimwi cha mando ga saka galawoṙe wuṟango, walefeo cha mando ga saka tikyi wakyeri nyi wewaṙa na iwoogo, wechilahia Ruwa shindonyi walashiichi, wechirumatso irumatsonyi lyawo. 
2PE.2.13	Wechiwona mawicho gakyeri wori wo wuwicho wowo, wakusaṟie kye iosha lango tsa mmbiu kulawoṙe wuowu nyi ichihiyo. Wawa nyi wunyamaṟi na sonu, wechilosha lango tsa wuyana tsilawoṙe meena shelyenyi shawo sha ikunda, ilyi wekyeachikyia shelya hamwi na nyoe. 
2PE.2.14	Wawoṙe meso gaichuo wuṟui, wandu walekyeṙa iwuta wunyamaṟi, wekyelemba mrima ilangyikarishe, wawoṙe mrima ingyiichiwiṟe ilanga, wana wa seso. 
2PE.2.15	Wechiṙa njia ngyigoṟotsu, wakaṙeka; wechiosha njia ya Balaamu, mana o Beori, alekunda wori wo wuwicho; 
2PE.2.16	kyaindi naleṙeṙio kyipfa kya wunyamaṟi wokye amonyi. Nzoi ilaichi iṙeṙa, yechiṙeṙa kui ṟui lya mndu, ileshingyia wusuko wo moonguo shisuku ulya. 
2PE.2.17	Iwa nyi kyimwi na shoka tsilawoṙe mṟinga na mapuchi gaiṙoo nyi kyiwiṟi. Ruwa nawaṟeyeṟie handu mlungana meemenyi ung'anyi. 
2PE.2.18	Kyipfa wekyeṙeṙa maṙeṙo gekushela na galawoṙe kyiira, na kui lango ngyiwicho tsa mmbiu yawo wekyelemba walya waleṙicha mawicho na lango tsa wuyana. 
2PE.2.19	Wechienenga kyiteṟio kya wongo wandu wengyi nawo wawenyi nyi watumo wa wuwicho, kyipfa mndu kawingo nyi mndu ungyi nekyewa mtumo o mndu ulya. 
2PE.2.20	Cha kyipfa walya walemṙicha mawicho ga wuyana kui imanya Mndumii na Mkyiṟa Yesu Kristo, kokooya wawoṙo-se na iwingo, mbaṟe yawo ya mafurumionyi gawo nyi ingyiwicho kuta iya ya kuwooka. 
2PE.2.21	Kyipfa nyi-we nanga kowo walawechimanya njia ya wusumganyi, kuta iimanya, numa iṙa iwawaso lyilya lyiele waleenengo. 
2PE.2.22	Kyaindi kyawa kowo kyimwi na mfano ulya o loi, kyite kyawiyilyia mṙeeko okyo kyimonyi, na nguwe ilesanjo yawuya ikufoga-foga toombonyi.
2PE.3.1	Wakunde, paruo-i nyi ya kawi ngyimuṟeia nyoe. Ipfo paruonyi tsiwi ngyilepfuṟukana iamtsa makusaṟo mecha mṙoenyi konyu kui imukumbuṟa mbonyi-tsi. 
2PE.3.2	Ngyikundi muiṙime ikumbuo shindo shilya shileṙeṙo kacha nyi weonguo shisuku waele; na iwawaso lyilya lya Mndumii na Mkyiṟa lyileendo nyi wasu wanyu. 
2PE.3.3	Mochimanya kuwooka kyindo-kyi kye mfirinyi yefurumia wandu wekyetaluo wechicha na italuo lyawo, wekyeosha lango tsawo wawenyi, 
2PE.3.4	na igamba, “Nyi kwi kyikyeri kyaasa kyilya kya icha lyakye? Cha kyipfa wookyia kyiyeri-kyo waku waṙu walepfa, shindo shoose shikyeri chandu shiwei, wookyia wuyana wulegumbo.” 
2PE.3.5	Kyipfa wekyeshinga meso gawo walawone kyindo-kyi kye kuwewoṙe ngyina wookyia kacha, na uruka taa, lulugumbe iwuka mṟingyenyi, kui Ṙeṙo lya Ruwa. 
2PE.3.6	Ko isho wuyana wulya wo kyiyeri kyilya wulenyamaṟo nyi mṟinga, wukorumara. 
2PE.3.7	Kyaindi ngyina tsa wulalu na uruka shingyikoome kyiseyesoe kui moṙo, kui Ṙeṙo-lyo ilyo, shechiringo mṟasa mfiri o ianduyo, na kui irumara lya wandu walaiṙikyie Ruwa.
2PE.3.8	Kyaindi, wakunde, mulawaṙime kyindo-kyi, kye ko Mndumii mfiri umwi nyi kyimwi na maka kyiku, na maka kyiku nyi kyimwi na mfiri umwi. 
2PE.3.9	Mndumii ekyekyelyio iafutsia kyaasa kyakye, chandu wandu wengyi wekyekusaṟa kya ikyelyio-pfo, kyaindi nekyesimiria konyu, kyipfa akundi mndu oose naṙekye-pfo, indi woose waiṙime iwona iṙumbuya wunyamaṟi. 
2PE.3.10	Kyaindi mfiri o Mndumii ochicha cha mbafu. Mfiri-cho ngyina tsechirumatso kui ndiṟimo tsing'anyi, na orio kyindo kya wuyana kyechikoṟo na irumatso, na wuyana na shoose shikyeri pfo shesenekyia. 
2PE.3.11	Kyasia, cha kyipfa shindo-shi shoose sherumatso kuṙo, kyamukooya nyoe muwe wandu wa mkaṟo ya mbaṟe iha kyiiṙi kya ichumia lyanyu lya wuele na iowuo na ikunda Ruwa, 
2PE.3.12	mochiweṙelyia mṟasa mfiri ulya o Ruwa uche, mochiuitika, na kyiiṙi kya mfiri-cho ngyina tserumatso tsechiunguo, na shindo sha wuyana shechisenekyia na isalaa? 
2PE.3.13	Kyaindi chandu kyikyeri kyaasa kyakye, luiweṙelyia ruwewu ngyihya na uruka luhya, shikyeri kye wusumganyi wochikaa kyiiṙi kyasho.
2PE.3.14	Koikyo, wakunde, kyipfa muiweṙelyia mbonyi-tso, pfuṟukanenyi kundu muwono ufoṟonyi kye muwoṙe ṙeko maa sonu mbele yakye-pfo. 
2PE.3.15	Na nyoe talenyi wusimiri wo Mndumii oṙu kye nyi wukyiṟo, chandu na mono-wama oṙu mkunde Paulo aleṟeia kui wuṟango aleenengo. 
2PE.3.16	Na wuṙo paruonyi tsakye taa, echionguo pfo mbonyi-tso. Kyiiṙi kya paruo-tso kuwoṙe mbonyi tsikyeri kye nyi kyuumu itsimanya, na mbonyi-tso wandu walawoṙe wuṟango, walagoṟokyi sungusinyi, wekyetsionguo mbaṟe ingyi, chandu wekyeweonguo mbaṟe ingyi shiṟeio shingyi, kui irumatso lyawo wawenyi. 
2PE.3.17	Kyasia, wakunde, mukosonguo imanya isho, kuringyenyi mrima yanyu, mulacheṙoo nyi maṙeko ga wanyamaṟi-wo, mukooloka na iṙa kyilya muiṙikyie. 
2PE.3.18	Kyaindi ng'anenyi isaṟienyi, na kyiiṙi kya imanya Mndumii oṙu na Mkyiṟa Yesu Kristo. Mng'ano ui kokye wulalu na mlungana.
1JN.1.1	Lumuṟeia nyoe mbonyi tsa Ṙeṙo lyekyeende moo, lyiwekyeri pfo wookyia mawookyionyi. Ṙeṙo lyilya lulelyiicho, lulelyiwona kui meso gaṙu, lukolyiambuya, na mawoko gaṙu gakalyipaaya-paya. 
1JN.1.2	(Na moo-cho uleloṟo, na soe luleuwona; lyingyi-se luiṟingyishia, na imuongoya nyoe moo ulya o mlungana, uwekyeri ko Awu, ukoloṟo koṙu.) 
1JN.1.3	Lumuongoya nyoe Ṙeṙo lyilya lulelyiwona na ilyiicho, kundu na nyoe taa muiṙime ikaa hamwi na soe; na ikaa lyaṙu handu hamwi nyi hamwi na Awu, hamwi na Mono-kye Yesu Kristo. 
1JN.1.4	Na ishi lushiṟeia, kundu sia yaṙu iafutsio.
1JN.1.5	Na itsi nyitso mbonyi luleicho ko Yesu, na itsionguo konyu, kye Ruwa nyi ngyeela, maa meema oose ukyeri kokye-pfo. 
1JN.1.6	Lukogamba kye lukyeri handu hamwi na oe, kyaindi lukowaṙa mkaṟo ya meema, loṙeṙa wongo, maa luiwuta kyikyeri kya loi-pfo. 
1JN.1.7	Indi lukowaṙa mkaṟo ya ngyeela, chandu oe akyeri ngyeelenyi, lokaa handu hamwi soe, na samu ya Kristo, Mono-kye, yalusanja wunyamaṟi woose. 
1JN.1.8	Lukogamba kye luwoṙe wunyamaṟi-pfo, lokulemba luwenyi, maa kuwoṙe wuloi koṙu-pfo. 
1JN.1.9	Lukotochia Ruwa ngyuunyamaṟi tsaṙu, oe nekyeafutsia shilya ateṟia na namsumganyi mṟasa naluwute ngyuunyamaṟi tsaṙu, na ilusanja wuwicho woose. 
1JN.1.10	Lukogamba kye lunyamaṟie-pfo, lomgaluo oe mndu ekyeṙeṙa wongo, maa kyilya agamba kyikyeri koṙu-pfo.
1JN.2.1	Wana wako, ngyimuṟeia ishi kundu mulawute sha wunyamaṟi. Na kokooya mndu awuta kya wunyamaṟi luwoṙe Moluterewia ko Awu, Yesu Kristo awoṙe wusumganyi. 
1JN.2.2	Na oe nyi oe moluwuta ngyuunyamaṟi tsaṙu; chi ngyuunyamaṟi tsaṙu tupu-pfo indi na tsa wandu wa wuyanenyi koose. 
1JN.2.3	Na kyipfa kya ikyo luichi kye lomanya Ruwa, kokooya loosha shilya mawawaso gakye gagamba. 
1JN.2.4	Ulya aigamba, “Ngyimwichi,” kyaindi alaoshe shilya mawawaso gakye gagamba, nekyeṙeṙa wongo, maa wuloi wukyeri mrimenyi kokye-pfo. 
1JN.2.5	Kyaindi ulya ekyeosha malosho ga Ṙeṙo lyakye, icho mrimenyi kokye ikunda lya Ruwa lyikyeri pfo loi. Kyipfa kya ikyo luichi kye luwalungye na oe. 
1JN.2.6	Ulya aigamba kye namlungye na Ruwa, kyimmbaṟi iwuta kuṙo chandu Yesu alewuta.
1JN.2.7	Wakunde, ngyimuṟeia iwawaso lyihya-pfo, kyaindi iwawaso lya kacha muwekyeri nalyo wookyia mawookyionyi. Na iwawaso-lyo lya kacha nyi mbonyi tsilya muleicho. 
1JN.2.8	Lyingyi-se ngamuṟeia iwawaso lyihya; mbonyi tsikyeri loi kokye na konyu; kyipfa meema uiṙa na ngyeela iya ya loi yamlyimika. 
1JN.2.9	Ulya aigamba kye nakyeri ngyeelenyi, na oe nasuuye mono-wama okye, nakyeri meemenyi mṟasa wulalu. 
1JN.2.10	Ulya akundi mono-wama okye, nekyekaa ngyeelenyi, maa mrimenyi kokye kuwoṙe kyindo kyetewe-pfo. 
1JN.2.11	Indi ulya asuuye mono-wama okye nakyeri meemenyi, lyingyi-se naichumia meemenyi, maa aichi kundu aiyenda-pfo, cha kyipfa meema omgaluo kyipfupfuṟe.
1JN.2.12	Ngyimuṟeia nyoe wana wako, cha kyipfa mohooṟio ngyuunyamaṟi tsanyu kyipfa kya rina lyakye. 
1JN.2.13	Ngyimuṟeia nyoe waawu, cha kyipfa momanya ulya akyeri pfo wookyia mawookyionyi. Ngyimuṟeia nyoe wanakye, cha kyipfa mowinga ulya mmbicho. Ngamuṟeia nyoe wana, cha kyipfa momanya Awu. 
1JN.2.14	Ngamuṟeia nyoe waawu, cha kyipfa muichi ulya akyeri pfo wookyia mawookyionyi. Ngamuṟeia nyoe wanakye, cha kyipfa muwoṙe pfinya, na Ṙeṙo lya Ruwa lyikeri mrimenyi konyu, na nyoe mowinga ulya mmbicho. 
1JN.2.15	Maa mulakunde wuyana, maa shindo shikyeri wuyanenyi. Mndu kakunda wuyana, ikunda Ruwa kukyeri mrimenyi kokye-pfo. 
1JN.2.16	Orio kyindo kyikyeri wuyanenyi, lango tsa mmbiu, na lango tsa meso, na moo okyeenenga wandu ikushela, shekyewuka ko Awu-pfo, indi shekyewuka wuyanenyi. 
1JN.2.17	Na wuyana wuisia, hamwi na lango tsa wuyana-wo, indi ulya ekyewuta shilya Ruwa akundi nechikaa ho mṟasa mlungana.
1JN.2.18	Wana wako, nyi kyiyeri kya mafurumionyi; na chandu muleicho kye mowingana na Kristo naicha, maa wulalu wewingana na Kristo wafoi wamuwoneka. Kyipfa kya ikyo luichi kye nyi kyiyeri kya mafurumionyi. 
1JN.2.19	Walewuka koṙu, indi wawei wa koṙu-pfo. Kyipfa kokooya wawei wa koṙu, wawekaa hamwi na soe. Kyaindi walecha kundu waloṟo kye chi woose wai wa koṙu-pfo. 
1JN.2.20	Muwapusie Mumuyo Mweele na nyoe moose muichi. 
1JN.2.21	Ngyilemuṟeia nyoe kyipfa mulaichi kyikyeri loi-pfo, indi cha kyipfa muichi kyilya kyikyeri loi, lyingyi-se kye kuwoṙe kyoose kya wongo kyekyewuka ipfo kyindonyi kyikyeri loi-pfo. 
1JN.2.22	Nyi wui ai moṙeṙa wongo sile ulya ekyekana kye Yesu nyi Kristo? Icho nyi oe mowingana na Kristo, ulya ekyekana Awu na Mana. 
1JN.2.23	Orio mokana Mana awoṙe Awu-pfo. Moiṙikyia Mana nawoṙe Awu taa. 
1JN.2.24	Kyasia nyoe, ikyo mulekyiicho wookyia mawookyionyi, kyikae mrimenyi konyu. Kokooya ikyo mulekyiicho wookyia mawookyionyi kyikyeri mrimenyi konyu na nyoe mochikaa ko Mana, na ko Awu. 
1JN.2.25	Na ikyi nyikyo kyaasa aleluenenga, moo o mlungana. 
1JN.2.26	Ngamuṟeia ishi ko mbonyi tsa wandu walya wakundi imuṙetsa nyoe. 
1JN.2.27	Na nyoe, Mumuyo Mweele muleambilyia kokye ukyeri mrimenyi konyu, maa kuwoṙe kyimaṙuma kya mndu imulosha nyoe-pfo; kyaindi chandu Mumuyo okye uimulosha mbonyi tsa shindo shoose, lyingyi-se nyi loi maa chi wongo-pfo, na chandu ulemulosha, kaenyi kokye. 
1JN.2.28	Na wulalu, wana wako, kaenyi kokye, kundu ilyi echiloṟo, luwaṙe wukari na wuṟango, maa lularigo nyi sonu mbele yakye kyiyeri kya icha lyakye lya kawi. 
1JN.2.29	Kokooya momanya kye oe nyi msumganyi, manyenyi kye orio mndu ekyewuta shindo sha wusumganyi namfee nyi oe.
1JN.3.1	Kumbuonyi nyi ikunda lya mbaṟe iha Awu aleluenenga, kye lulago wana wa Ruwa; na nyi wuṙo lukyeri. Kyipfa kya ikyo wandu wa wuyana waluichi-pfo, cha kyipfa walemanya Ruwa-pfo. 
1JN.3.2	Wakunde, wulalu lukyeri wana wa Ruwa, maa kyilandemanyikye chandu lochiwa-pfo; kyaindi luichi kye kyiyeri Kristo echiloṟo, lochiwa cha oe; cha kyipfa lochimmbona chandu akyeri. 
1JN.3.3	Na orio mndu awoṙe ikusuria-lyi kui Kristo nekyekuilyisha, chandu oe akyeri mweele. 
1JN.3.4	Orio mndu ekyewuta sha wunyamaṟi, nawuta kyindo kyiwicho; cha kyipfa wunyamaṟi nyi kyindo kyiwicho. 
1JN.3.5	Na nyoe muichi kye Kristo naleloṟo, kundu naluwute ngyuunyamaṟi; na wunyamaṟi wukyeri kokye-pfo. 
1JN.3.6	Orio mndu ekyekaa kokye ekyewuta kyindo kya wunyamaṟi-pfo; orio mndu ekyewuta kyindo kya wunyamaṟi, ammbonyi maa amwichi-pfo. 
1JN.3.7	Wana wako, mndu alamulembe. Mndu ekyewuta sha wusumganyi nawoṙe wusumganyi, chandu Kristo awoṙe wusumganyi. 
1JN.3.8	Mndu ekyewuta sha wunyamaṟi nyi o Satana; cha kyipfa Satana nekyewuta sha wunyamaṟi wookyia mawookyionyi. Kyipfa kya ikyo Mono-Ruwa naleloṟo, kundu nanyamaṟe maṟunda ga Mokyiriinzi. 
1JN.3.9	Orio mndu amfee nyi Ruwa ekyewuta sha wunyamaṟi-pfo, kyipfa kyishari kyakye kyikyeri kokye; maa echiiṙima iwuta sha wunyamaṟi-pfo kyipfa namfee iwuka ko Ruwa. 
1JN.3.10	Kyipfa kya ikyo wana wa Ruwa waichio na pata, na wana wa Mokyiriinzi taa. Mndu oose alekyewuta sha wusumganyi awukyie ko Ruwa-pfo, maa ulya alakundi mono-wama okye.
1JN.3.11	Kyipfa itsi nyitso mbonyi muletsiicho wookyia mawookyionyi, kye lukundane. 
1JN.3.12	Lulawe cha Kaini awekyeri o Satana, kawaaga mono-wama okye-pfo. Na oe nalemmbaaga kyipfa kya kyikyi? Cha kyipfa mawuto gakye gawemawicho, na galya ga mono-wamae gawei ga wusumganyi.
1JN.3.13	Wana wa wama wako, mulaṟiyio, wandu wa wuyana wakamusuo. 
1JN.3.14	Soe luichi kye lomuiṙa iwuka upfunyi iiṙa na moonyi, cha kyipfa lukundi wana wa wama kyiiṙi kya Kristo. Ulya alakundi, nakyeri upfunyi. 
1JN.3.15	Orio mndu mosuo mono-wama okye nyi mmbaagi; na nyoe muichi kye orio mmbaagi awoṙe moo o mlungana mrimenyi kokye-pfo. 
1JN.3.16	Kui ikyo lomanya ikunda, cha kyipfa Kristo nalereka moo okye kyipfa kyaṙu. Kyiluwaṟi na soe ireka moo oṙu kyipfa kya wana wa wama-wo. 
1JN.3.17	Kyaindi mndu kawaṙa kando ka kunu wuyanenyi, naaho kawona mono-wama okye alawoṙe kyindo, alamtarame, ngyesa ikunda lya Ruwa lyakaa kuṙa mrimenyi ko mndu-cho? 
1JN.3.18	Wana wako, lulakunde kui ṙeṙo, maa kui ulumi-pfo, indi kui mawuto na wuloi.
1JN.3.19	Kyipfa kya ikyo lochimanya kye lukyeri wa loi, na soe lochiwiyiṟia mrima yaṙu moo mbele yakye, 
1JN.3.20	kokooya mrima yaṙu iluanduya; cha kyipfa Ruwa nang'anyi kuta mrima yaṙu na oe naichi shoose. 
1JN.3.21	Wakunde, mrima yaṙu ilandeluanduye, luwoṙe wukari na wuṟango ko Ruwa. 
1JN.3.22	Na orio kyindo loterewa lochikyiambilyia kokye, cha kyipfa lokyeosha shilya mawawaso gakye gakundi, na iwuta shichihiṟie mbele yakye. 
1JN.3.23	Na ilyi nyilyo iwawaso lyakye, kye luiṙikyie rina lya Mono-kye Yesu Kristo, na ikundana, chandu aleluenenga iwawaso. 
1JN.3.24	Na oe ekyeosha shilya mawawaso gakye gagamba namlungye na Ruwa, na Ruwa namlungye na oe. Na kyipfa kya Mumuyo ulya Ruwa aleluenenga luichi kye Ruwa namlungye na soe.
1JN.4.1	Wakunde, mulaiṙikyie orio mndu agamba kye nawoṙe Mumuyo, indi wayeshenyi mumanye kokooya mumuyo-yo waigamba wawoṙe iwukyie ko Ruwa; cha kyipfa weonguo shisuku wa wongo wafoi wammboneka wuyanenyi. 
1JN.4.2	Kui ikyo muichi Mumuyo o Ruwa, orio mndu aiṙikyie kye Yesu Kristo nalecha ai cha mndu nawoṙe mumuyo uwukyie ko Ruwa. 
1JN.4.3	Na oṙio mndu alaiṙikyie Yesu awoṙe mumuyo uwukyie ko Ruwa-pfo. Na iyi nyiyo ngoo ya mowingana na Kristo, ngoo iya muleicho kye iicha; na wulalu yammbono wuyanenyi. 
1JN.4.4	Nyoe, wana watutu, muwoṙe mumuyo uwukyie ko Ruwa; na nyoe mowawinga; cha kyipfa ulya akyeri mrimenyi konyu nang'anyi kuta ulya akyeri wuyanenyi. 
1JN.4.5	Iwo nyi wa wuyana; koikyo wekyeṙeṙa shindo sha wuyana na wandu wa wuyana wekyewaaṙanyia. 
1JN.4.6	Soe luwoṙe mumuyo uwukyie ko Ruwa. Ulya aichi Ruwa nekyeluaṙanyia; ulya alawoṙe mumuyo uwukyie ko Ruwa ekyeluaṙanyia-pfo. Kyipfa kya ikyo luichi Mumuyo o loi, na mumuyo o wuṙetsi.
1JN.4.7	Wakunde lukundane; cha kyipfa ikunda lyiwukyie ko Ruwa, na orio mndu awoṙe ikunda namfee nyi Ruwa; na oe naichi Ruwa. 
1JN.4.8	Oe alawoṙe ikunda, aichi Ruwa-pfo, cha kyipfa Ruwa nyi ikunda. 
1JN.4.9	Kyipfa kya ikyo ikunda lya Ruwa lyilewoneka koṙu, kye Ruwa naleṙuma Mono-kye kyimuumwi wuyanenyi, kundu luwaṙe moo kui oe. 
1JN.4.10	Ilyi nyilyo ikunda, chi kye soe lulekunda Ruwa-pfo, indi kye oe nalelukunda soe kaṙuma Mono-kye iwa mndu moluhooṟia ngyuunyamaṟi tsaṙu. 
1JN.4.11	Wakunde, kokooya Ruwa nalelukunda soe kuṙi, kyiluwaṟi na soe ikundana. 
1JN.4.12	Kuwoṙe mndu alemmbona Ruwa kyiyeri kyoose-pfo. Lukokundana, Ruwa nekyekaa mrimenyi koṙu, na ikunda lyakye lying'anyi mnu mrimenyi koṙu. 
1JN.4.13	Kyipfa kya ikyo luichi kye lukyeri kokye, na oe nakyeri koṙu, cha kyipfa naluenengyie Mumuyo okye. 
1JN.4.14	Na soe lowona na iṟingyishia kye Awu naleṙuma Mana iwa Mkyiṟa o wuyana. 
