LUK.1.1	Kän mange käsäkädä dackä ngakä wexeki kasogäning na kä'desesäning tä warogkang tä räbäne kä'day, 
LUK.11.22	Yä apangza pädäg paccey kasakas ma ndä kamo'das mang, soro bupsu pogudumani mäpäse andäma nangang na bate wegkäma lare.
LUK.11.23	“Käxa nagä songang me kurangang ndä käxa poso agä tä wexed songang mace tagä.”
LUK.11.24	Yasuwa legecce ngade ka, “Ligida tas kawetä tunyu täwang kigkang, tusu otaga ma wundung täng nyame owda nundu täng neng 'doxo song. Na ngade tängase ka, ‘Neng mänangang amelede tä boxu pananggi kawangasang.’ 
LUK.11.25	Na nyämele nyä'doxada boxu pa worowa kälexejeg na weg repetäsäning. 
LUK.11.26	Ndä nyäwede mändey nyä'do nyägodung kulung ligitiga tasinyga paxtinding mo'do nya, ndey sä'doc säläs säcuccu täng, ndey säsog 'doxti cuke laye tasiny mo'dä cukenegi täzälägkang.”
LUK.11.27	Ani Yasuwa kalegeyäs ngakongang, uxandäng tä warä xä'dä kädawa ta Yasuwa ka, “Baxändäg tä uxi kiyäng ging na ki'digi kä'dey ging!” 
LUK.11.28	Yä Yasuwa kämele täce ka, “Wadi baxändäg tä känggi dänge ngakä Kaläg na wexeng!”
LUK.11.29	Xä'dä kaposwa, na Yasuwa kadeb legey ngade ka, “Zong sogo ngaka tasiny paccey, zong paye agä ka asog bolicca sogowa täng, ndä boliccandäng dogadaswa täng song basa boliccä me logey Yunan. 
LUK.11.30	'Dase ani Yunan kawunäs kalayis bolic tä menggä Niniwa, agä Päxä Käxa Jul mändey alayis bolic tä zong. 
LUK.11.31	Buguningzä uxandäng näs näkä anda täzäg ngäsata na känggä zong tä xongondu xukum. Na cäsogo asiriye siye sa xa cägäpätäng tä 'denga ndey cädäng lelericcä Seleman. Ndä kigkanang todong ngake tädäxiny mo'do Seleman! 
LUK.11.32	Menggä Niniwa ngäsotäsäng na menggä zong tä xongondu xukum. Na säsogo asiriye siye menggä zong, xa ani Yunan käbäldeyis menggä Niniwang, sägäxaje tä ngakäsagi säsogo tasinyang. Ndä kigkanang todong ngake tädäxiny mo'do Yunan!
LUK.11.33	“Käxa banye lampane ndä 'danye na gumudi 'dog tängandäng song, basa bokasa täzä tumu ndey känggi läsotäng towang zayza nang. 
LUK.11.34	Awunuging näs banyiccä wanäging. Känox awunugi apong, wanägi bägälic päse nyipäxkic, yä awunugi tasang, wanägi bägälic lätäng. 
LUK.11.35	Neng gangang bäli, nyipäxkiccägi ndakä layis lätäng song. 
LUK.11.36	Ndä gang känox wanägi bägälic päse nyipäxkic ndä nuxu cengiccenendäng tä lätä songang, wanägi bägälic päse nyipäxkic kala pappareygä lampa.”
LUK.11.37	Yasuwa kä'dese legeyge na nuxu Farisiccandäng kabandä ma ka sä'docco sägur siyad tä pane. Na Yasuwa kä'doc kaläs tow na sägäccasäng sagur siyad. 
LUK.11.38	Ani Farisic koxus Yasuwa paye siyza yä ka'dayis asängge täbangä tanyara songang, kädonga. 
LUK.11.39	Na Bazuwec kalegese täma ka, “Neng gang anggo Farisiny 'dayadang ondugu satugugo yä kaxsängga kaganye. Yä anggog mänang. Mäganygägo päse kuruguru na tastäg. 
LUK.11.40	Ama anggo abadiny, anggo 'diyang ka Kalägkang teye wanä 'dog na kaxseneng? 
LUK.11.41	Wadi dogi weg tä känggi widäningang na mäganygo nuxung, ndey ngakä mäganygägo na wexekägo laye kälexejeg tagä Kaläg.
LUK.11.42	“Woyoy tanggo Farisiny! Anggo dogadang asiny tä udiny mädäg tä kenyu na enggä ewegä log tä Kaläg, yä musku anggo bigiding däppic na payiccä Kaläg! Wadi kädäppa ka anggo dogang wegkong tä Kaläg yä wangang bigigä däppic na payiccä Kaläg. 
LUK.11.43	Woyoy tanggo Farisiny! Xa mpadang cad tä otagä dädäxti tä axä paliccä Yaxudiny na mpadang ma'ditegä modey tä otagä nganyatada! 
LUK.11.44	Woyoy tanggo! Xa kä'dasang morotaga kasabe, kän wedeccä ta zängga ndä yex song!”
LUK.11.45	Na nuxung me lelericcä asiriyenä Musa kabuc täma ka, “Me bäldic, legeyis ngakongang langatag täwas mändey.” 
LUK.11.46	Neng Yasuwa kämeley ka, “Woyoy ama menggä lelericcä asiriyenä Musa mändey! Anggo ndarandadang kän na ngakä asiriye ndä siyada tä wadäka, yä musku taxä nuxuza anggo dogadang asänggägo täng tä posad song! 
LUK.11.47	Woyoy tanggo xa anggo donyadang morotagä menggä logeygi wawanagkägo kapaxang. 
LUK.11.48	Ka'das ka anggo gixing na käbäleng wexekä wawanagkägo, xa sapaxtä menggä logey ndä anggo kädonydang morotaga! 
LUK.11.49	Nenyang Kalägi yex nga kä'dayang ngade ka, ‘Agä ayaxsada menggä logey na känggi sägäligäng täsa, ndä kulung acängga säpaxe na sämaceccä täng säpexke.’ 
LUK.11.50	Ndä zong layis näka asiriye siye tä tamiccä menggä logeygi kacolasäwa cawu tebiccä ow, 
LUK.11.51	cawu tamiccä Xapil na tä tamiccä Zakariya, ani sapax tä kaxsä kaldä axä tämetang. E, agä aläpedäng ka layeccänäs ngakä ngastänggä zong. 
LUK.11.52	Woyoy tänggo menggä lelericcä asiriyenä Musa! Anggo kädäringgiling sogaldä yexkä nga! Anggo käläsang na ngastänggägo song, ndä käzekeng känggi paye läsang.”
LUK.11.53	Ani Yasuwa käpayis ka wetä tä pang Farisiccang, menggä lelericcä asiriyenä Musa na Farisiny kadeb maccad tasiny täma, na samän ma seley na mäned tä nga mange, 
LUK.11.54	ndey sänyamgädäs rakawza sämen ma täng tä ngaka mälege.
LUK.12.1	Ani xä'dä kädurisäno kasog päsäciny dexä bungudäningang, Yasuwa kadeb legey täzälägäne ta menggä räbke ka, “Meskädäning tä 'daziccä Farisinygi näs fonofoneyang. 
LUK.12.2	'Doga ka'danywang, 'doxowa ndä 'doga kabotwa näs raj paredängwa tunyu. 
LUK.12.3	Ndä gang ngaki bägälic kangadäning ongutang dängewa säxe, na ngaki käbodang taxä ndongang duwaledäning tä owda lenge.
LUK.12.4	“Aläpedäng tanggo biskodagang ka wanga nyigatägkä känggi paxe wanäwanang, xa mändey 'doga sogo täbangenendäng song. 
LUK.12.5	Wadi aläpedäng tanggo ka käxi kädäppas ka nyigatangang, nyigata Kaläg xa nyang tol panggudug täng gawadas anggo tä mas tä xongondu xäskägong. E, aläpedäng tanggo ka, nyigata Kaläg! 
LUK.12.6	Päx atodu mädäg sänganyada na mälininy pädax song? Yä musku nuxung atoduwiccandäng ka'diyaswa tagä Kaläg song. 
LUK.12.7	Ndä näs tire apaxki täzäging Kaläg kägänasa. Wanga nyigatäg, xa anggo ngakägo bedeccä mo'do atoduga mange.
LUK.12.8	“Aläpedäng tanggo ka, käxa 'dade awage na agä tagä kän ka räbo agäng, agä, Päxä Käxa Jul mändey a'dade awagang nang tagä malaykadagä Kaläg. 
LUK.12.9	Yä käxa käli agä tagä känang agä mändey agäli tagä malaykadagä Kaläg. 
LUK.12.10	Ndä käxa lege ngakä maccad tä ngakang, agä Päxä Käxa Julang, nyäwangada nga täng yä käxi degeje Ligidä Kalägkang nyäwangada nga täng song. 
LUK.12.11	Yä sagoying anggo tagä axä paliccä Yaxudiny na bugununginy na ngotorpodang, ndakä gäredeng ngaka mäxising nang na tä 'doga legedeng, 
LUK.12.12	xa Ligidä Kaläg lapedäng 'doga legedeng tänya owdi.”
LUK.12.13	Nuxu kigkandäng tä warä xä'dä ngade ta Yasuwa ka, “Me bäldic, lapi ta päxä bisko ka walarig malenä appanang.” 
LUK.12.14	Neng Yasuwa ngade täma ka, “Amo, xänang kamenäs agä buguningang de azaye ngakägong?” 
LUK.12.15	Na mängade täsa ka, “Lengi agägo na meskäde ngastänggägo tä 'dara, xa rongicca 'doxowa tä dangandägkandäng song.”
LUK.12.16	Na maser nga täsa ka, “ 'Doxtiyandäng näs tanganic pelowge kiying päxä kuny, 
LUK.12.17	na mängade ka, ‘Asogowa key, ndey a'dox curuna ngotey adoga kunykang tängang?’ 
LUK.12.18	Na kala mängade ka, ‘Basa asog 'dogong, apaxatasa curugang yä adonyo käka ngoniny, ndey acolda kuny täng na ka'däka'di bägälic. 
LUK.12.19	Ndä angad tängasang ka, “Gi ka'däka'dinägi mange käyoka mange layis näkä jende, buduldi, sisi, wuxsi, na ledewa!”’
LUK.12.20	“Na kala Kaläg ngade täma ka, ‘Ama abad! Ondunong analedäng rongiccägi tägi tunyu, yä xänang lugu ka'däka'dini käwex tängasäging?’ 
LUK.12.21	Käxa xikitäsa weg tä ngase mänangang, wadi tangandägkenetäng tagä Kaläg song.”
LUK.12.22	Yasuwa ngade tä menggä räbke ka, “Aläpedäng tanggo ka wanga kärekä ngakä aygägo, na wegka ziyadang na tä wadäkägo tä tanduga lagadang. 
LUK.12.23	Xa ay mo'do siyad, ndä wanäwan mo'do lag.
LUK.12.24	“Lala atämidinggaru wacca song ndä zäbecce song, ndä curunanandäng song, yä Kaläg ziye. Ndä Kaläg paye anggo paccey mo'do awiny! 
LUK.12.25	Xänang tanggo kärekä ngake posada sängädic tä rongeneng? 
LUK.12.26	Ndä yexeng ka kärekä ngakägo posada sängädic tä rongiccägo songang, wi siye anggo gäredeng ngakä kulung wegkang?
LUK.12.27	“Lala dudulus 'dongoccu key, ndä wexekanatäng song, ndä secce song. Neng musku aläpedäng tanggo ka, kala Seleman tä bugundugke kälagä tandäna kusu kala nuxu dudulusiccong song! 
LUK.12.28	Ndä Kaläg nyaza nyägädel dudulus mänangang, ndä uccu todong xongong ndä edekeny sädoxus mas tä boxu tämä'di'diccä zex. Kaläg paye anggo mo'do dudulus. Wi siye anggogong menekä ngakä Kaläg bälaxiny tanggo mänangang?
LUK.12.29	“Ndakä makadang bandagä wegka ziyadang na wegka wuxiding na ndakä gäredeng ngakä weg. 
LUK.12.30	Xa känggi kä'day tä walangiccang, mate bandagä siyad na wuxid, ndä Appani Tiyating yex 'dogi mpadangang. 
LUK.12.31	Anggo basa makädang bangä ngakä Kaläg ndä nyädogung weg tanggo käsär.
LUK.12.32	“Anggo menggä räb kä'dasang sagunu, wanga nyigatäg xa Menggoni Tiyating wane tidi xa buguningzägong na meske anggo. 
LUK.12.33	Nganyi wegkägo kä'day larti tä känggi widänong. Yawi malenägo tä pang Kaläg tä kaxsä meldugi boxsoccu na cereduno songang, na me bära bate songang na tondoc wanyäs songang ndey meskädä wegkägo tä pang Kaläg tiyati. 
LUK.12.34	Xa owdi mälenägo tängang nyang mäganygägo padasang.
LUK.12.35	“Laga tandugu wexekägo na meskäde lampadagägo kusuccu kä'day. 
LUK.12.36	Layi kala kängga bene käxa ngondeza päkädäng owdu ledä batad, ndey mawung madotorezang ndey lenge bäling täma tetex. 
LUK.12.37	Baxändäg tä cäläxinygi käxa ngondey 'doxodung oxacca kasändäcco song tä melgämang! Aläpedäng zänggä nga tanggo ka, ma täzäma mälage tandugu wexed, na mäbogkatasa sa, ndey mälarta siyad täsa! 
LUK.12.38	Kax mäwung tä pälic na mä'doxodängza soxacca, baxändäg tä cäläxinygi mänangang! 
LUK.12.39	Wadi bäli ka kä'dang me pa yex xongondi me bära wunodung tängang kax meske pane wange me bära läso song. 
LUK.12.40	Anggo mändey layesi kängga cuccu meskedäning, xa agä, Päxä Käxa Jul awunodung ndä xongondeneni bäledesäwa song.”
LUK.12.41	Na Putros ngade ta Yasuwa ka, “Bazuwec, gining zere ngakong täwas wala kän kä'day?”
LUK.12.42	Na Bazuwec kabuc ka, “Xänang kädäppa ka mpäse andägi nang na kalelerey tä menekä wexetang, xänang käxa ngondezä wexed bokatasa mene menggä wexed tä ande ndey togadas dericcä menggä wexed layde songang? 
LUK.12.43	Baxändäg tä me wexeki käxa ngondeze mele 'doxodung wexecceng. 
LUK.12.44	Aläpedäng zänggä nga tanggo ka, käxa ngondezä wexed menede ka'däka'di tä andä käxi mänangang.
LUK.12.45	“Yä wadi nya me wexeki kä'doc kangad tä ngase ka käxa ngondezang kalaygädas tä mel, na kadeb badkä kulung menggä wexed, bade apanginy na uxu kä'day, ndä siyacca na wuxicci de bux paxeng, 
LUK.12.46	ndä käxa ngondezä nya me wexeki nuxus wung tä xongondi sabokasa ka mäwunodung songang na tä sani säyex songang, na cäläxti ma, ndä matas ma tä owdu märinginy. 
LUK.12.47	Ndä me wexeki yex ngaki käxa ngondeze paye ndä wexe song na käbolasa ngase songang, 'doxo bad mange.
LUK.12.48	“Wadi me wexeki yex ngaki käxa ngondeze paye songang ndä wex songang säbade päxä bälax winy. Käxa sadoga weg täng mangeng, säpaye täng mange, ndä käxa saposa weg täng mange ka mendäng, säläge payge täng mange.
LUK.12.49	“Agä kawung täzäg tä koyinakä mas, ndä ampaye ka nyandäng ganang tunyu walangic kä'day! 
LUK.12.50	Ndä mänang agä alayis käxa panye xuxubtäg ndä agäre bal a'dese! 
LUK.12.51	Anggo noxadang ka agä kawung tä koyinakä modey täzäg? A'a, agä kawung tä koyinakä modey song, wadi kawung tä koyinakä wasad! 
LUK.12.52	Caw xongong na ur'dug bäli ka kän mädäg tä pana wasetäsäning, kodos pase awaga na pädax ndä pädax pase awaga na kodos.
LUK.12.53	Sa säwasetäsäning, menäwan kixidi pene apang song, ndä penäwan kixidi mena song,
LUK.12.53	bonuwan kixidi päxe ux song, ndä päxä ux kixidi bona song,
LUK.12.53	ux kixidi uxä päxe song, ndä päxä ux kixidi wawana ux song.”
LUK.12.54	Yasuwa mändey kangad tä xä'dä ka, “Känoxang timingarugu zädongang, na kala bäledeng ka koxa käje na käje. 
LUK.12.55	Ndä känoxang megenä anda täzäg sageng, bäledeng ka kämpagänendäng sagedäng, na sagedäng. 
LUK.12.56	Anggo menggä fonofoney! Anggo yexeng tetebegä ngakä bolicca alacca täzäg na täzä koxang, yä wadi kasogänang key 'diyang tetebegä ngakä bolugu wexekong awexe ganangang?
LUK.12.57	“Wi siye anggo zaxadang terekä ngaka apoccung? 
LUK.12.58	Känoxang noccang na me pokakä nga tägi tagä buguningang, mäpädägäsing ndey bolang ngakägo nama ta akäsog ndakä mägoyas gi tagä buguning, xa buguning menedes gi tä andä polisic, ndä polisic rikidis gi tax. 
LUK.12.59	Agä aläpedäng tanggo ka, anggo 'doxadang tunyu song basa degänang na milin!”
LUK.13.1	Xongondi Yasuwa bäldeccenäsang, kän kawuno kaläja täma ka Pälatis kapax kulung menggä Calil ndä kurupu tamicca na tamiccä wegki sadämze nangang. 
LUK.13.2	Na Yasuwa kabuc täsa ka, “Neng anggo käbokosänang ka menggä Calilgi sapaxang sag tasiny mo'do wayaka nyang kasog sapaxang? 
LUK.13.3	A'a, aläpedäng tanggo ka bal anggo xajang tä ngaka tasiny mändey xa na'anggägo näxsecceng mändey!”
LUK.13.4	Na mändey Yasuwa ngade täsa ka, “Känggi bägäliziccä kumagi kadeles zängga käxse asiny wang tespedespe tä Salonang, anggo nggeredeng ka sa sädasiny paccey sämo'do känggi kä'day tä Ursalimang? 
LUK.13.5	A'a, aläpedäng tanggo ka bal anggo xajang tä ngaka tasiny mändey xa na'anggägo näxsecceng mändey!”
LUK.13.6	Yasuwa kaser nga ka, “Apangandäng käsäbä etä 'dami tä pelowge, na xongonendäng mägä'doc mäpaye ka metä enggenge neng ma'doxa ze pälo. 
LUK.13.7	Na kala mäläpede tä 'doxti meske pelowang ka, ‘Tä jendäg kodos agä amelde awunodung ndey ka a'dox päxä 'daminong ndä a'doxodung ze pälo. Dagasa täzäg, taxä wi 'dog uccu ndä wanyis zägkang?’ 
LUK.13.8	Neng me megäskä pelow kabuc täma ka, ‘Bazuwec, accig wanga etong jenong yä anoc abosu boxe adoga mudura täng. 
LUK.13.9	Ndä zayig cong kiye baydangang, yä kasax iyetang, ndä lusa täzäg.’”
LUK.13.10	Yasuwa bäldecce tä nuxu axä paliccä Yaxudiny tä xongondu Sapid, 
LUK.13.11	ndä uxandäng tänya owdi ligida tas kämexestey tä jendägka asiny wang tespedespe. Nyägonggosey ce kasog ce seley cäyex dokol kätay song. 
LUK.13.12	Yasuwa kox ce na kabandä ce na ngade täce ka, “Kala käwulegeswa tä ngguxtug.” 
LUK.13.13	Na Yasuwa kädana asängge täce na tetex cägädokol tiyati kätay na cägädädäxti Kaläg.
LUK.13.14	Na käxa ngondezä axä paliccä Yaxudiny käsänga ta Yasuwa xa Yasuwa kädäxsi tä xongondu Sapid, na ma käxa ngondey mäläpede tä xä'dä ka wexed wexedäning tä sängga aran. Käxa täxäng wung sädäxä täng ndakä wung tä däx tä xongondu Sapid. 
LUK.13.15	Na Bazuwec Yasuwa kabuc täma ka, “Anggo menggä fonofoney! Anggo nuxu accägondäng tä xongondu Sapid uludi tigide na cong näs kaccäneneng ndey koya tä wuxid song? 
LUK.13.16	Yä cezong cäs päxä pe Apraxim, Däniye gun onguce tä jendägka asiny wang tespedespeng, awang 'dakakä ce tä co'dic tä xongondu Sapid?”
LUK.13.17	Ani Yasuwa kangadäs legeygongang, menggä kuruma kä'day zängga kamaye yä xä'dä kä'day käledäning tä wexeki kädong sa Yasuwa wexeng.
LUK.13.18	Yasuwa kamänze ka, “Bugundugku Kaläg ka'das wi? Oxadiyang agänang andäppo nangang? 
LUK.13.19	Bugundugku Kaläg ka'das päxä yugicca biyey apang kabag käsäbesa tä kaxsänggä pelowge ndä 'donga layis apanggä ed yagäney, ndä awiny 'danydä axinyga tä acayadage.”
LUK.13.20	Mändey Yasuwa ngade ka, “Oxadiyang agä andäppo na bugundugku Kalägkang? 
LUK.13.21	Bugundugku Kaläg ka'das 'dazicca ux kabag ndä kurupu na duc mange ndä kamojey ndä pudi kä'day.”
LUK.13.22	Yasuwa kä'doc tä wedäg kadus kaxsä pa na enggä cabärta bäldecce ndä mäwedede tä Ursalim. 
LUK.13.23	Na nuxu kigkandäng kamän ma ka, “Bazuwec, enggä kän bälaxinyag Kaläg xonyong?”
LUK.13.23	Na mängade täsa ka, 
LUK.13.24	“Mpädägäsining ndey läsang akäsogaldi kacäbaswang, xa aläpedäng tanggo ka kän mange zäge läsake ndä mo'dada läsacca song. 
LUK.13.25	Xongonda ledä pa kangäsa kärikä sogaldeneng, anggo wunosunang ndokalaccang tunyu dotoraccang ndä nyäxadang ma ka, ‘Bazuwec, wanga was aläsig!’ Neng mäbucu tanggo ka, ‘Agänang ayex anggo song ndä ayex owda känycuccing täng song.’ 
LUK.13.26	Na noccang ngadaccang ka, ‘Was kasiyzig na kawuxsig nagi, ndä gi käbäldeyze tä kaxsä panäsko.’ 
LUK.13.27	Neng mämele ka, ‘Agänang ayex anggo song ndä ayex owda känyciccing täng song! Nycengäning tä wanang, na'anggägo, anggo menggä sogkä ngaka tasiny!’
LUK.13.28	“Na kala todi ngecceng na gasadang nyäxkägo tä oxakä Apraxim na Isxag na Yaxup na menggä logeygi kä'day tä bugundugku Kalägkang yä anggo tä ngastänggägo sä'dädadas anggo tunyu. 
LUK.13.29	Ndä kän päkätäsäng zä dong na tawiny na anda tiyati na anda täzäg wunosuno catetäsäng kuru siyad tä owdu Bugundugku Kaläg. 
LUK.13.30	Ndä seley känggi päccadas ngastängganang, latasa tong yä känggi latasa tongang, päccatasa.”
LUK.13.31	Tänya xongondi Yasuwa legeccenäsang, kulung Farisinyatäng kawuno ngadeccä täma ka, “Wete wede wangasa owdong xa Xirudus paye pax gi.”
LUK.13.32	Neng Yasuwa kabuc täsa ka, “Wesi lapi ta atorundorini ka, ‘Laley, agä anycaye kängga tasiny na andäxäcci xongondong na edekeny yä mugundeneni ampele wexekang. 
LUK.13.33	Ndä gang agä awedede xongondong na edekeny na mugun xa kax kädäppa ka säpaxa me logey täpox song, basa tä Ursalim.’
LUK.13.34	“Ama, ama menggä Ursalim, anggogi paxadang menggä logey na 'dämedeng menggä yaxsäwinygi sägäligäng! Agä tol kampay ka agä anduris anggo kala kuxug na enggengge tä boxu kubugke neng anggo kämpayang song! 
LUK.13.35	Ndä ganang lala kala agä awangatasa anggo! Ndä aläpedäng tanggo ka, anggo mpasaccang nagä mändey song basa ngadang ka, ‘Baxändäg tä käxi wunodung na agä Bazuwec Kalägkang!’”
LUK.14.1	Xongondu Sapid Yasuwa kä'doc tä siyad tä pang ngotorponu Farisiny ndä kulung känatäng tänya owdi jenggere ma käsac. 
LUK.14.2	Ndä apangandäng tänya owdi exengge na asängge kapuruzu. 
LUK.14.3	Na Yasuwa kamän me lelericcä asiriyenä Musa na Farisiny ka, “Kädäppa ta asiriye ka kig däxsi tä xongondu Sapid wala kädäppa song?” 
LUK.14.4	Neng säpuloccä na todi Yasuwa kädana ande ta apangzi kädäxä na kayaxsas tä pa.
LUK.14.5	Na todi Yasuwa kamän sa ka, “Xänang tanggo pene täng na cong näs tigide kadel taxä gol tä xongondu Sapid ndä 'dägane tetex nyasedäng tunyu songang?” 
LUK.14.6	Ndä sa sabuc ngakenegi song.
LUK.14.7	Ani Yasuwa koxäs palangas teredenäs otagä caka apoccung, maser nga täsa ka, 
LUK.14.8	“Sabandä gi tä owdu batatang, ndakä dere owdu cakä kängga ngoniny xa nuxus nuxung kigkandäng sabandä ngondey tägi. 
LUK.14.9	Ndä nuxus käxi kabandä anggong wung lapäng tägi ka, ‘Togi komong känyca tängang tä käxong ngondeyanang’, ndä mänangang zänggä matag tägi ndä sogo gi cengedeswa tä päxä owda biyey.
LUK.14.10	“Wadi känox sabandä ging, wede icca tä päxä owda biyey ndey käxi kabandä gi kox ging, wung läpäng tägi ka, ‘Bisko, bo wede icca tä owda apo.’ Na kala känggi täng kä'dayang bälede nyaygi sädogodung täging. 
LUK.14.11	Xa käxa poko ngaseneng Kaläg maye ze yä käxa coccolo ngaseneng, Kaläg pokada tiyati.”
LUK.14.12	Sax mändey Yasuwa ngade ta apangzi kabandä kän tä siyatang ka, “Xongonda mpaye bandä kän tä siyatang, acaka bandä biskodagägi na enggä bonggugo na wayagkägo na cong näs menggä sogalinygägigi kadangandeng ndey ka bandä gi tä siyad mändey. 
LUK.14.13	Wadi xongonda käsog letang, banda menggä wiy na kappudiny na mexesu na ngojony. 
LUK.14.14	Ndey baxändey, xa sa sämeledäng wegki sasiyang tägi song, gi 'doxo wegkägi tä xongondu ngäsakä känggi lelexinyang tä xäs.”
LUK.14.15	Nuxung accä känggi siyacca na Yasuwa tä pang Farisiccang kädäng ngaki Yasuwa kangatang, na ngade ta Yasuwa ka, “Baxändäg tä känggi kä'day 'docco siyacca tä owdu Bugundugku Kalägkang!”
LUK.14.16	Neng Yasuwa ngade täma ka, “Apangandäng kasog led ngotey ndä bandä palangas mange. 
LUK.14.17	Na tä xongondu led mayaxsä cäläxinygäma ndey ka 'docco läpe känggi sabandäng ka wuno xa kala siyatatäng benecce.
LUK.14.18	“Neng kän kä'day kadeb kerekä nga. Nuxu käxi tä zälägkang ngade ka, ‘Agänang kangany zäg ndä ampaye anoc anycopu, wanga agä anoc.’ 
LUK.14.19	Na mändey ani täbangeneng ngade ka, ‘Agä kangany tigitigä way asiny ndä ampaye anoc azägä, wanga agä anoc.’ 
LUK.14.20	Yä 'doxti layis sanydäsang ngade ka, ‘Agänang andalewa xa kabagsa käsactong ndä awunodung song.’
LUK.14.21	“Na kala cäläx kämel kä'doc kaläpe ngaki ta bazuwecce. Na bazuwec ledä pa käsänga na läpedes ta cäläxse ka, ‘Wede tetex tä akäsogä bo pa na ta akänggä sotagä kukujiy. Banggäda menggä wiy na mexesu na kappudiny na ngojony ka wuno.’
LUK.14.22	“Neng cäläx ngade ka, ‘Bazuwec, ngaki käläpäng ka sogunong, kasog kala ndä musku otagä catatäng päloccä.’ 
LUK.14.23	Na kala bazuwec ngade ta cäläxse ka, ‘Wede tä akänggä sotagi ngoniny näs sotagä walangang, banggäda kän ka wuno ndey panang päs. 
LUK.14.24	Xa agä aläpedäng tanggo ka acaka nuxu käxi kabandäng ndä saxang, wung pong siyakong!’”
LUK.14.25	Xä'dä mange wedeccä na Yasuwa na mawexwa mäläpede täsa ka, 
LUK.14.26	“Käxa paye wung 'doc nagä ndä paye agä paccey mo'do paygi payis mena na bona na uxe na pengge na enggä bongga na mändey ngase songang, layis me räbkang song. 
LUK.14.27	Käxa poko kalicce ndä räbo agä songang, layis me räbkang song.
LUK.14.28	“Xänang tanggo paye dony pane ndä cata ndey gan na zay wegka 'desede tonyakä pane nang songang? 
LUK.14.29	Känox känyca gärtä nga ndä bosasa kadasuwec appoyo na kä'dese panägi songang, känggi kä'day zaye panäging kugu gi. 
LUK.14.30	'Docco ngadeccä ka, ‘Apangzong kadonyza ndä käpany kä'dese pane song!’”
LUK.14.31	Mändey mängade ka, “Buguningza key paye 'doc 'ding buguningza caka tä pogud ndä cata bälede ngase ka 'do tä pogud na asägaruge päsäciny asiny (10,000) ndey mo'du buguningza käne päsäciny utang (20,000)? 
LUK.14.32	Ndä mäyex ka mä'dingi nya buguningzi songang, tä cuku menggä kurusa täxande, mäyaxsada kulung menggä bolic päccatasa tä legeygä ngakä modey. 
LUK.14.33	Ndä mänang nuxung accägondäng layis me räbkang song basa wangesänang wegkägo kä'day ndey räbkädang agä.”
LUK.14.34	“Enggäloke apoccu yä kalaye leminyang, sogoduning key meletäsäno tä coccoydägkang? 
LUK.14.35	Enggäloke kalaye leminyang, kax säduki tä zäg na tä codoro na wexekanatäng song basa säduki täpox. Käxa wunde dängecceng, däng ngakong!”
LUK.15.1	Menggä yawgä tuluba na känggi sogo ngaka tasinyang kawuno tä dänggä legeygä Yasuwa. 
LUK.15.2	Neng Farisiny na menggä lelericcä asiriyenä Musa ngunungunicci ka, “Apangzong bokatasa kängga sogo ngaka tasiny ndä siyacca nang.”
LUK.15.3	Na kala Yasuwa kaser nga täsa ka, 
LUK.15.4	“Xänang tanggo sagunu täng udiny mädäg (100) ndä nuxung mes ndä wangatasa aki udiny tesped wang asiny wang paye nuxung (99) tä korongic yä 'doco tä nyamgä ani nuxung kämesang basa 'dox songang? 
LUK.15.5	Ndä kala ma'doxang mäpoko tä baccugäma mälededeswa nang tä akäsog. 
LUK.15.6	Mämelede tä pa, mäbange aminuguma na menggä akäsogalinygäma ka, ‘Posa agä nycugo aledäning xa ka'dox sagändanggi kämesang.’ 
LUK.15.7	Aläpedäng tanggo ka, ka'das nya bangi kän lededäning paccey tä pang Kalägi tiyating tä ngakä käxa nuxungza käxajä tä ngaka tasiny. Xa ledi tiyati tä pang Kalägkang kamo'du ledä aki udiny tesped wang asiny wang paye nuxung (99) lelexiny kamen ngakä Kalägkang.”
LUK.15.8	Yasuwa kawetäde na legey ka, “Cong näs uxa ariyalinygä fudada täng asiny ndä nuxung mesang, banye lampane ndä wortäcca paccey ndey 'dox owde song? 
LUK.15.9	Ndä ca'doxang cäbange aminuguce na menggä sogalinygäce cängade ka, ‘Nycugo aledäning xa ka'dox ariyaliccanggi kämesang.’ 
LUK.15.10	Ka'das nya bangä ledong, aläpedäng tanggo ka, Kaläg na malayikadage lededäning tä ngakä käxa nuxungza käxajä tä ngaka tasiny.”
LUK.15.11	Yasuwa ngade ka, “Apangandäng mägaccäng na enggä pengge pädax. 
LUK.15.12	Penämani biyeyang lapada täma ka, ‘Appa, ampaye larä male täwas.’ Na kala mesa kälarä male kadoga käma.
LUK.15.13	“Na tä sängga bälaxiny mäguduri malenäma manganya kä'day mägä'docco nang tä cabära täxande. Mägä'doc mawanye nang tä wexekä tawustug winy.
LUK.15.14	“Na kala mägä'dese malenäma, na buxu kamen nya cabäri na xas kapax ma paccey. 
LUK.15.15	Na mängade tä ngasäma ka, ‘Anoco ta nuxu me cabärong ani buduruginyge tängang ndey ameskädä buduruginyge.’ 
LUK.15.16	Mägä'doc ndä säleye siyad täma kasog ma mäpaye siyakä sa säpärki mädogada ta buduruginyang.
