GEN.1.1	Kezdetben 
MAT.26.74	Ekkor átkozódni és esküdözni kezde, hogy: Nem ismerem ezt az embert. És a kakas azonnal megszólala. 
MAT.26.75	És megemlékezék Péter a Jézus beszédéről, ki ezt mondotta vala néki: Mielőtt 
MAT.27.1	Mikor pedig reggel lőn, tanácsot 
MAT.27.2	És megkötözvén őt, elvivék, és átadák őt Ponczius Pilátusnak 
MAT.27.3	Akkor látván Júdás, a ki őt elárulá, hogy elítélték őt, megbánta dolgát, és visszavivé a harmincz ezüst pénzt a főpapoknak 
MAT.27.4	Mondván: Vétkeztem, hogy elárultam az ártatlan vért. Azok pedig mondának: Mi közünk hozzá? Te lássad. 
MAT.27.5	Ő pedig eldobván az ezüst pénzeket a templomban, eltávozék; 
MAT.27.6	A főpapok pedig felszedvén az ezüst pénzeket, mondának: Nem szabad ezeket a 
MAT.27.7	Tanácsot ülvén pedig, megvásárlák azon a fazekasnak mezejét idegenek számára való temetőnek. 
MAT.27.8	Ezért hívják ezt a mezőt vérmezejének 
MAT.27.9	Ekkor teljesedék be a Jeremiás próféta mondása, a ki így szólott: És vevék a harmincz 
MAT.27.10	És adák azt a fazekas mezejéért, a mint az Úr rendelte volt nékem. 
MAT.27.11	Jézus pedig ott álla a 
MAT.27.12	És mikor vádolák őt a főpapok és a 
MAT.27.13	Akkor monda néki Pilátus: Nem hallod-é, mily sok bizonyságot tesznek ellened? 
MAT.27.14	És 
MAT.27.15	Ünnepenként 
MAT.27.16	Vala pedig akkor egy nevezetes foglyuk, a kit Barabbásnak hívtak. 
MAT.27.17	Mikor azért egybegyülekezének, monda nékik Pilátus: Melyiket akarjátok hogy elbocsássam néktek: Barabbást-é, vagy Jézust, a kit Krisztusnak hívnak? 
MAT.27.18	Mert jól tudja vala, hogy irigységből adák őt kézbe. 
MAT.27.19	A mint pedig ő az ítélőszékben ül vala, külde ő hozzá a felesége, ezt üzenvén: Ne avatkozzál amaz igaz ember dolgába; mert sokat szenvedtem ma álmomban ő miatta. 
MAT.27.20	A főpapok és vének pedig reá beszélék a sokaságot, hogy Barabbást kérjék ki, Jézust pedig veszítsék el. 
MAT.27.21	Felelvén pedig a helytartó, monda nékik: A kettő közül melyiket akarjátok, hogy elbocsássam néktek? Azok pedig mondának: Barabbást. 
MAT.27.22	Monda nékik Pilátus: Mit cselekedjem hát Jézussal, a kit Krisztusnak hívnak? Mindnyájan mondának: Feszíttessék meg! 
MAT.27.23	A helytartó pedig monda: Mert mi rosszat cselekedett? Azok pedig még inkább kiáltoznak vala, mondván: Feszíttessék meg! 
MAT.27.24	Pilátus pedig látván, hogy semmi sem használ, hanem még nagyobb háborúság támad, vizet vévén, megmosá 
MAT.27.25	És felelvén az egész nép, monda: Az 
MAT.27.26	Akkor elbocsátá nékik Barabbást; Jézust pedig megostoroztatván, kezökbe adá, hogy megfeszíttessék.
MAT.27.27	Akkor a helytartó vitézei elvivék Jézust az őrházba, és oda gyűjték hozzá az egész csapatot. 
MAT.27.28	És levetkeztetvén őt, bíbor palástot adának reá. 
MAT.27.29	És tövisből fonott koronát tőnek a fejére, és nádszálat a jobb kezébe; és térdet hajtva előtte, csúfolják vala őt, mondván: Üdvöz légy zsidóknak királya! 
MAT.27.30	És mikor 
MAT.27.31	És miután megcsúfolták, levevék róla a palástot és az ő maga ruháiba öltözteték; és elvivék, hogy megfeszítsék őt. 
MAT.27.32	Kifelé menve pedig találkozának egy czirénei emberrel, a kit 
MAT.27.33	És mikor eljutának arra a helyre, a melyet Golgothának, 
MAT.27.34	Méreggel megelegyített 
MAT.27.35	Minek utána pedig megfeszíték őt, eloszták az ő ruháit, sorsot vetvén; hogy beteljék a próféta mondása: 
MAT.27.36	És leülvén, ott őrzik vala őt. 
MAT.27.37	És feje fölé illeszték az ő kárhoztatásának okát, oda írván: Ez Jézus, a zsidók 
MAT.27.38	Akkor megfeszítének vele együtt két latrot, egyiket 
MAT.27.39	Az arramenők pedig szidalmazzák vala őt, fejüket 
MAT.27.40	És ezt mondván: 
MAT.27.41	Hasonlóképen a főpapok is csúfolódván az írástudókkal és a vénekkel egyetemben, ezt mondják vala: 
MAT.27.42	Másokat megtartott, magát nem tudja megtartani. Ha Izráel királya, szálljon le most a keresztről, és majd hiszünk néki. 
MAT.27.43	Bízott 
MAT.27.44	A kiket vele együtt feszítének meg, a latrok is ugyanazt hányják vala szemére. 
MAT.27.45	Hat 
MAT.27.46	Kilencz óra körül pedig nagy fenszóval kiálta Jézus, mondván: ELI, ELI! LAMA SABAKTÁNI? azaz: Én 
MAT.27.47	Némelyek pedig az ott állók közül, a mint ezt hallák, mondának: Illést hívja ez. 
MAT.27.48	És egy közülök azonnal oda futamodván, egy szivacsot vőn, és megtöltvén 
MAT.27.49	A többiek pedig ezt mondják vala: Hagyd el, lássuk eljő-é Illés, hogy megszabadítsa őt? 
MAT.27.50	Jézus pedig ismét nagy fenszóval kiáltván, 
MAT.27.51	És ímé 
MAT.27.52	És a sírok megnyílának, és sok elhúnyt szentnek teste föltámada. 
MAT.27.53	És kijövén a sírokból, a Jézus föltámadása után bementek a szent városba, és sokaknak megjelenének. 
MAT.27.54	A százados pedig és a kik ő vele őrizték vala Jézust, látván a földindulást és a mik történtek vala, igen megrémülének, mondván: Bizony, Istennek Fia vala ez! 
MAT.27.55	Sok asszony vala pedig ott, 
MAT.27.56	Ezek közt volt 
MAT.27.57	Mikor pedig 
MAT.27.58	Ez Pilátushoz menvén, kéri vala a Jézus testét. Akkor parancsolá Pilátus, hogy adják át a testet. 
MAT.27.59	És magához vévén József a testet, begöngyölé azt tiszta gyolcsba, 
MAT.27.60	És 
MAT.27.61	Ott vala pedig Mária Magdaléna és a másik Mária, a kik a sír átellenében ülnek vala. 
MAT.27.62	Másnap pedig, a mely péntek után következik, egybegyűlének a főpapok és a farizeusok Pilátushoz, 
MAT.27.63	Ezt mondván: Uram, emlékezünk, hogy az a hitető még életében azt mondotta volt: 
MAT.27.64	Parancsold meg azért, hogy őrizzék a sírt harmadnapig, ne hogy az ő tanítványai odamenvén éjjel, ellopják őt és azt mondják a népnek: Feltámadott a halálból; és az utolsó hitetés gonoszabb legyen az elsőnél. 
MAT.27.65	Pilátus pedig monda nékik: Van őrségetek; menjetek, őríztessétek, a mint tudjátok. 
MAT.27.66	Ők pedig elmenvén, a sírt őrizet alá 
MAT.28.1	A szombat végén pedig, a hét első napjára 
MAT.28.2	És ímé nagy földindulás lőn; mert az Úrnak angyala leszállván a mennyből, és oda menvén, elhengeríté a követ a sír szájáról, és reá üle arra. 
MAT.28.3	A tekintete pedig olyan volt, mint a villámlás, és a ruhája fehér, 
MAT.28.4	Az őrizők pedig tőle való féltökben megrettenének, és olyanokká lőnek mint a holtak. 
MAT.28.5	Az angyal pedig megszólalván, monda az asszonyoknak: Ti ne féljetek; mert tudom, hogy a megfeszített Jézust keresitek. 
MAT.28.6	Nincsen itt, mert 
MAT.28.7	És menjetek gyorsan és mondjátok meg az ő tanítványainak, hogy feltámadott a halálból; és ímé előttetek megy Galileába; 
MAT.28.8	És gyorsan eltávozván a sírtól félelemmel és nagy örömmel, futnak vala, hogy megmondják az ő tanítványainak. 
MAT.28.9	Mikor pedig mennek vala, hogy megmondják az ő tanítványainak, ímé szembe jöve ő velök Jézus, mondván: Legyetek üdvözölve! Azok pedig hozzá járulván, megragadák az ő lábait, és leborulának előtte. 
MAT.28.10	Akkor monda nékik Jézus: Ne féljetek; menjetek el, mondjátok meg az én atyámfiainak, 
MAT.28.11	A mialatt pedig ők mennek vala, ímé az őrségből némelyek bemenvén a városba, megjelentének a főpapoknak mindent a mi történt. 
MAT.28.12	És egybegyülekezvén a vénekkel együtt, és tanácsot tartván, sok pénzt adának a vitézeknek, 
MAT.28.13	Ezt mondván: Mondjátok, hogy: Az ő tanítványai odajövén éjjel, 
MAT.28.14	És ha ez a helytartó fülébe jut, mi elhitetjük őt, és kimentünk titeket a bajból. 
MAT.28.15	Azok pedig fölvevén a pénzt, úgy cselekedének, a mint megtanították őket. És elterjedt ez a hír a zsidók között mind e mai napig. 
MAT.28.16	A tizenegy tanítvány pedig 
MAT.28.17	És mikor megláták őt, leborulának előtte; némelyek pedig kételkedének. 
MAT.28.18	És hozzájuk menvén Jézus, szóla nékik, mondván: 
MAT.28.19	Elmenvén 
MAT.28.20	Tanítván őket, hogy megtartsák mindazt, a mit én parancsoltam néktek: és ímé én 
MRK.1.1	A Jézus Krisztus, az Isten Fia evangyéliomának kezdete, 
MRK.1.2	A mint meg van írva a prófétáknál: Ímé én elküldöm az 
MRK.1.3	Kiáltónak szava 
MRK.1.4	Előáll vala János, keresztelvén a pusztában és prédikálván a megtérésnek keresztségét a bűnöknek bocsánatára. 
MRK.1.5	És kiméne hozzá Júdeának egész tartománya és a Jeruzsálembeliek is, és megkeresztelkedének mindnyájan ő általa a Jordán vizében, bűneikről vallást tévén. 
MRK.1.6	János pedig teveszőrruhát és dereka körül bőrövet viselt vala, és sáskát és erdei mézet eszik vala. 
MRK.1.7	És prédikála, mondván: Utánam jő, a ki erősebb nálam, a kinek nem vagyok méltó, hogy lehajolván, sarujának szíjját megoldjam. 
MRK.1.8	Én vízzel kereszteltelek titeket, de ő Szent Lélekkel keresztel titeket. 
MRK.1.9	És lőn azokban a napokban, eljöve Jézus 
MRK.1.10	És azonnal feljővén a vízből, látá az egeket megnyilatkozni, és a Lelket mint egy galambot ő reá leszállani; 
MRK.1.11	És szózat lőn az égből: Te 
MRK.1.12	És a Lélek azonnal elragadá őt a pusztába. 
MRK.1.13	És ott volt a pusztában negyven napig kísértetve a Sátántól, és a vad állatokkal vala együtt; és az angyalok szolgálnak vala néki. 
MRK.1.14	Minekutána pedig János tömlöczbe vettetett, elméne Jézus Galileába, prédikálván az Isten országának evangyéliomát, 
MRK.1.15	És mondván: 
MRK.1.16	Mikor pedig Galilea tengere mellett járt, látá Simont és Andrást, annak testvérét, a mint a tengerbe hálót vetének; mert halászok valának. 
MRK.1.17	És monda nékik Jézus: Kövessetek engem, és én azt mívelem, hogy embereket halászszatok. 
MRK.1.18	És azonnal elhagyván az ő hálóikat, követék őt. 
MRK.1.19	És onnan egy kevéssé elébb menve, látá Jakabot, a Zebedeus fiát és annak testvérét, Jánost, a mint a hajóban azok is a hálókat kötözgetik vala. 
MRK.1.20	És azonnal hívá őket. És ők atyjukat, Zebedeust a napszámosokkal a hajóban hagyva, utána menének. 
MRK.1.21	És bemenének Kapernaumba; és mindjárt szombatnapon bemenvén a zsinagógába, tanít vala. 
MRK.1.22	És 
MRK.1.23	Vala pedig azok zsinagógájában egy ember, a kiben tisztátalan lélek volt, és felkiálta, 
MRK.1.24	És monda: Ah! 
MRK.1.25	És megdorgálá őt Jézus, mondván: Némulj meg, és menj ki belőle. 
MRK.1.26	És a tisztátalan lélek megszaggatá 
MRK.1.27	És mindnyájan elálmélkodának, annyira, hogy egymás között kérdezgeték, mondván: Mi ez? Micsoda új tudomány ez, hogy hatalommal parancsol a tisztátalan lelkeknek is, és engedelmeskednek néki? 
MRK.1.28	És azonnal elméne az ő híre Galilea egész környékére. 
MRK.1.29	És a zsinagógából azonnal kimenvén, a Simon és András házához menének Jakabbal és Jánossal együtt. 
MRK.1.30	A Simon napa pedig hideglelésben fekszik vala, és azonnal szólának néki felőle. 
MRK.1.31	És ő odamenvén, fölemelé azt, annak kezét fogván; és elhagyá azt a hideglelés azonnal, és szolgál vala nékik. 
MRK.1.32	Estefelé pedig, a mikor leszállt a nap, mind ő hozzá vivék a betegeseket és az ördöngősöket; 
MRK.1.33	És az egész város oda gyűlt vala az ajtó elé. 
MRK.1.34	És meggyógyíta sokakat, a kik különféle betegségekben sínlődnek vala; és sok ördögöt kiűze, 
MRK.1.35	Kora reggel pedig, még szürkületkor, fölkelvén, kiméne, és elméne egy puszta helyre és ott imádkozék. 
MRK.1.36	Simon pedig és a vele lévők utána sietének; 
MRK.1.37	És a mikor megtalálák őt, mondának néki: Mindenki téged keres. 
MRK.1.38	És ő monda nékik: Menjünk a közel való városokba, hogy ott is prédikáljak, mert azért jöttem. 
MRK.1.39	És prédikál vala azoknak zsinagógáiban, egész Galileában, és ördögöket űz vala. 
MRK.1.40	És jöve hozzá egy bélpoklos, kérvén őt és leborulván előtte és mondván néki: Ha akarod, megtisztíthatsz engem. 
MRK.1.41	Jézus pedig könyörületességre indulván, kezét kinyújtva megérinté őt, és monda néki: Akarom, tisztulj meg. 
MRK.1.42	És a mint ezt mondja vala, azonnal eltávozék tőle a poklosság és megtisztula. 
MRK.1.43	És 
MRK.1.44	És monda néki: Meglásd, hogy senkinek semmit ne szólj; hanem eredj el, mutasd meg magadat a papnak, és vidd fel a te tisztulásodért, a 
MRK.1.45	Az pedig kimenvén, kezde sokat beszélni és terjeszteni a dolgot, annyira, hogy nyilvánosan immár be sem mehetett Jézus a városba, hanem künn puszta helyeken vala, és mennek vala hozzá mindenfelől.
MRK.2.1	Napok mulva pedig ismét beméne Kapernaumba, és meghallák, hogy otthon van. 
MRK.2.2	És azonnal sokan összegyülekezének, annyira, hogy még az ajtó elébe sem fértek; és hirdeté nékik az igét. 
MRK.2.3	És jövének hozzá egy gutaütöttet hozva, a kit négyen emelnek vala. 
MRK.2.4	És mivel a sokaság miatt nem férkőzhettek azzal ő hozzá, megbonták ama háznak fedelét, a hol Ő vala, és rést törvén, leereszték a nyoszolyát, a melyben a gutaütött feküdt. 
MRK.2.5	Jézus pedig azoknak hitét látván, monda a gutaütöttnek: Fiam, megbocsáttattak néked a te bűneid. 
MRK.2.6	Valának pedig ott némely írástudók, a kik ott ülnek vala, szívökben így okoskodván: 
MRK.2.7	Mi dolog, hogy ez ilyen káromlásokat szól? ki bocsáthatja meg 
MRK.2.8	És Jézus azonnal észrevevé az ő lelkével, hogy azok magukban így okoskodnak, és monda nékik: Miért gondoljátok ezeket a ti szívetekben? 
MRK.2.9	Mi könnyebb, azt mondanom-é a gutaütöttnek: Megbocsáttattak néked a te bűneid, vagy ezt mondanom: Kelj fel, vedd fel a te nyoszolyádat, és járj? 
MRK.2.10	Hogy pedig megtudjátok, hogy az ember Fiának van hatalma e földön a bűnöket megbocsátani, monda a gutaütöttnek: 
MRK.2.11	Mondom néked, kelj föl, vedd fel a te nyoszolyádat, és eredj haza. 
MRK.2.12	Az pedig azonnal fölkele és felvévén nyoszolyáját, kiméne mindenkinek láttára; úgy hogy mindenki elálmélkodék, és dicsőíté az Istent, ezt mondván: Soha sem láttunk ilyet!
MRK.2.13	És ismét kiméne a tenger mellé; és az egész sokaság megy vala ő hozzá, és ő tanítja vala őket. 
MRK.2.14	És a mikor tovaméne, meglátá Lévit, az Alfeus fiát, a ki a vámszedő helyen ül vala, és monda néki: Kövess engemet. És felkelvén, követi vala őt. 
MRK.2.15	És lőn, a mikor ő ennek házában asztalhoz üle, a vámszedők és bűnösök is sokan odaülnek vala Jézussal és az ő tanítványaival; mert sokan valának, és követék őt. 
MRK.2.16	És a mikor látták az írástudók és a farizeusok, hogy együtt eszik a vámszedőkkel és bűnösökkel, mondának az ő tanítványainak: Mi dolog, hogy a 
MRK.2.17	És a mikor ezt hallja vala Jézus, monda nékik: Nem az egészségeseknek van szükségök orvosra, hanem a betegeknek, nem azért jöttem, hogy igazakat, hanem hogy 
MRK.2.18	A János és a farizeusok tanítványai pedig bőjtölnek vala. Odamenének azért és mondának néki: Mi az oka, hogy Jánosnak és a farizeusoknak tanítványai bőjtölnek, a te tanítványaid pedig nem bőjtölnek? 
MRK.2.19	Jézus pedig monda nékik: Avagy bőjtölhet-é a vőlegény násznépe, a míg velök van a vőlegény? A meddig a vőlegény velök van, nem bőjtölhetnek. 
MRK.2.20	De jőnek majd napok, a mikor elvétetik tőlük a vőlegény, és akkor bőjtölni fognak azokon a napokon. 
MRK.2.21	Senki sem varr pedig új posztóból foltot 
MRK.2.22	És senki sem tölt új bort 
MRK.2.23	És lőn, hogy szombatnapon a vetések közt megy vala által, és az ő tanítványai mentökben a kalászokat kezdék vala szaggatni. 
MRK.2.24	Ekkor a farizeusok mondának néki: Ímé, miért művelik azt szombatnapon, a mit nem szabad? 
MRK.2.25	Ő pedig monda nékik: Soha sem olvastátok-é, mit mívelt Dávid, mikor megszűkült és megéhezett vala társaival egybe? 
MRK.2.26	Mi 
MRK.2.27	És monda nékik: A szombat lőn az emberért, nem az ember a szombatért. 
MRK.2.28	Annak okáért az embernek Fia a szombatnak is ura.
MRK.3.1	És ismét beméne a zsinagógába, és vala ott egy megszáradt kezű ember. 
MRK.3.2	És lesik vala őt, hogy meggyógyítja-é szombatnapon; hogy vádolhassák őt. 
MRK.3.3	Akkor monda a megszáradt kezű embernek: Állj elő a középre. 
MRK.3.4	Azoknak pedig monda: Szabad-é szombatnapon jót vagy rosszat tenni? lelket menteni, vagy kioltani? De azok hallgatnak vala. 
MRK.3.5	Ő pedig elnézvén 
MRK.3.6	Akkor a farizeusok 
MRK.3.7	Jézus pedig elméne tanítványaival a tenger mellé; és nagy sokaság követé őt Galileából és Júdeából, 
MRK.3.8	És Jeruzsálemből 
MRK.3.9	És megmondá tanítványainak, hogy egy kis hajót tartsanak néki készen, a sokaság miatt, hogy ne szorongassák őt. 
MRK.3.10	Mert sokakat meggyógyított, úgy hogy a kiknek valami bajuk volt, reá rohanának, hogy illethessék őt. 
MRK.3.11	A tisztátalan lelkek is, mikor meglátták vala őt, leborulának előtte, és kiáltának, mondván: 
MRK.3.12	Ő pedig erősen fenyegeti vala őket, hogy őt ki ne jelentsék.
MRK.3.13	Azután felméne a hegyre, és magához szólítá, a kiket akar vala; és hozzá menének. 
MRK.3.14	És választa tizenkettőt, hogy vele legyenek, és hogy kiküldje őket prédikálni, 
MRK.3.15	És hatalmuk legyen a betegeket gyógyítani és az ördögöket kiűzni: 
MRK.3.16	Simont, a kinek Péter nevet ada; 
MRK.3.17	És Jakabot a Zebedeus fiát és Jánost a Jakab testvérét; és Boanerges nevet ada nékik, a mely azt teszi: mennydörgés fiai; 
MRK.3.18	És Andrást és Filepet, Bertalant és Mátét, Tamást és Jakabot az Alfeus fiát, Taddeust és a kananeai Simont, 
MRK.3.19	És Iskáriótes Júdást, a ki el is árulta őt.
MRK.3.20	Azután haza térének. És ismét egybegyűle a sokaság, annyira, hogy még nem is ehetének. 
MRK.3.21	A mint az övéi ezt meghallák, eljövének, hogy megfogják őt; mert azt mondják vala, hogy magán kívül van. 
MRK.3.22	Az írástudók pedig, a kik Jeruzsálemből jöttek vala le, azt mondák, hogy: Belzebúb van vele, és: Az ördögök fejedelme által űzi ki 
MRK.3.23	Ő pedig magához híván azokat, példázatokban monda nékik: Sátán miként tud Sátánt kiűzni? 
MRK.3.24	És ha egy ország önmagában meghasonlik, meg nem maradhat az az ország. 
MRK.3.25	És ha egy ház önmagában meghasonlik, meg nem maradhat az a ház. 
MRK.3.26	És ha a Sátán önmaga ellen támadt és meghasonlott, nem maradhat meg, hanem vége van. 
MRK.3.27	Nem rabolhatja el senki az erősnek kincseit, bemenvén 
MRK.3.28	Bizony mondom néktek, hogy minden bűn megbocsáttatik az emberek fiainak, még a káromlások is mind, a melyekkel káromlanak: 
MRK.3.29	De a ki a Szent Lélek ellen szól káromlást, 
MRK.3.30	Mivelhogy ezt mondják vala: Tisztátalan 
MRK.3.31	És megérkezének az ő testvérei és az ő anyja, és kívül megállva, beküldének hozzá, hivatván őt. 
MRK.3.32	Körülötte pedig sokaság ül vala; és mondának néki: Ímé a te anyád és a te testvéreid ott künn keresnek téged. 
MRK.3.33	Ő pedig felele nékik, mondván: Ki az én anyám vagy kik az én testvéreim? 
MRK.3.34	Azután elnézvén köröskörül a körülötte ülőkön, monda: Ímé az én anyám és az én testvéreim. 
MRK.3.35	Mert a ki az Isten akaratát cselekszi, az az én fitestvérem és nőtestvérem és az én anyám.
MRK.4.1	És 
MRK.4.2	És sokat tanítja vala őket példázatokban, és ezt mondja vala nékik tanításában: 
MRK.4.3	Halljátok: Ímé, a magvető kiméne vetni. 
MRK.4.4	És lőn vetés közben, hogy némely az út 
MRK.4.5	Némely pedig a köves helyre esék, a hol nem sok földje vala, és hamar kikele, mivel nem vala mélyen a földben. 
MRK.4.6	Mikor pedig fölkelt a nap, elsűle, és mivelhogy nem volt gyökere, elszárada. 
MRK.4.7	Némely pedig a tövisek közé esék, és felnevekedének a tövisek és megfojták azt, és nem ada gyümölcsöt. 
MRK.4.8	Némely pedig a jó földbe esék; és ád vala nevekedő és bővölködő gyümölcsöt, és némely hoz vala harmincz annyit, némely hatvan annyit, némely pedig száz annyit. 
MRK.4.9	És monda nékik: A kinek van füle a hallásra, hallja. 
MRK.4.10	Mikor pedig egyedül vala, megkérdezék őt a körülötte lévők a tizenkettővel együtt a példázat felől. 
MRK.4.11	Ő pedig monda nékik: Néktek adatott, hogy az Isten országának titkát tudjátok, ama 
MRK.4.12	Hogy 
MRK.4.13	És monda nékik: Nem értitek ezt a példázatot? Akkor mimódon értitek meg majd a többi példázatot? 
MRK.4.14	A magvető 
MRK.4.15	Az útfélen valók pedig azok, a kiknek hintik az ígét, de mihelyest hallják, azonnal eljő a Sátán és elragadja a szívökbe vetett ígét. 
MRK.4.16	És hasonlóképen a köves helyre vetettek azok, a kik mihelyst hallják az ígét, mindjárt örömmel fogadják, 
MRK.4.17	De nincsen ő bennük gyökere, hanem ideig valók; azután ha nyomorúság vagy háborúság támad az íge miatt, azonnal megbotránkoznak. 
MRK.4.18	A tövisek közé vetettek pedig azok, a kik az ígét hallják, 
MRK.4.19	De a világi gondok és a gazdagság csalárdsága és egyéb dolgok kívánsága közbejővén, elfojtják az ígét, és gyümölcstelen lesz. 
MRK.4.20	A jó földbe vetettek pedig azok, a kik hallják az ígét és beveszik, és gyümölcsöt teremnek, némely harmincz annyit, némely hatvan annyit, némely száz annyit. 
MRK.4.21	És monda nékik: Avagy azért hozzák-é elő a gyertyát, hogy véka alá tegyék, vagy az ágy alá? És nem azért-é, hogy a gyertyatartóba tegyék? 
MRK.4.22	Mert nincs semmi rejtett dolog, a 
MRK.4.23	Ha valakinek van füle a hallásra, hallja. 
MRK.4.24	És monda nékik: Megjegyezzétek, a mit hallotok: A 
MRK.4.25	Mert 
MRK.4.26	És monda: Úgy van az Isten országa, mint mikor az ember beveti a magot a földbe. 
MRK.4.27	És alszik és fölkel éjjel és nappal; a mag pedig kihajt és felnő, ő maga sem tudja miképen. 
MRK.4.28	Mert magától terem a föld, először füvet, azután kalászt, azután teljes buzát a kalászban. 
MRK.4.29	Mihelyt pedig a gabona arra való, azonnal sarlót ereszt reá, mert az aratás elérkezett. 
MRK.4.30	És monda: 
MRK.4.31	A mustármaghoz, 
MRK.4.32	És mikor elvettetik, felnő, és minden veteménynél nagyobb lesz és nagy ágakat hajt, úgy hogy árnyéka alatt fészket rakhatnak az égi madarak. 
MRK.4.33	És sok ilyen példázatban hirdeti vala nékik az ígét, úgy a mint megérthetik vala. 
MRK.4.34	Példázat nélkül pedig nem szól vala nékik; maguk közt azonban a tanítványoknak mindent megmagyaráz vala.
MRK.4.35	Azután 
MRK.4.36	Elbocsátván azért a sokaságot, elvivék őt, úgy a mint a hajóban vala; de más hajók is valának vele. 
MRK.4.37	Akkor nagy szélvihar 
MRK.4.38	Ő pedig a hajó hátulsó részében a fejaljon aluszik vala. És fölkelték őt és mondának néki: Mester, nem törődöl vele, hogy elveszünk? 
MRK.4.39	És felkelvén megdorgálá a szelet, és monda a tengernek: Hallgass, némulj el! És elállt a szél, és lőn nagy csendesség. 
MRK.4.40	És monda nékik: Miért vagytok ily félénkek? Hogy van, hogy nincsen hitetek? 
MRK.4.41	És megfélemlének nagy félelemmel, és ezt mondják vala egymásnak: Kicsoda hát ez, hogy mind a szél, mind a tenger engednek néki?
MRK.5.1	És menének a tenger túlsó partjára, a Gadarenusok földére. 
MRK.5.2	És a mint a hajóból kiméne, azonnal elébe méne egy ember a sírboltokból, a kiben tisztátalan lélek volt, 
MRK.5.3	A kinek lakása a sírboltokban vala; és már lánczokkal sem bírta őt senki sem lekötni. 
MRK.5.4	Mert sokszor megkötözték őt békókkal és lánczokkal, de ő a lánczokat szétszaggatta, és a békókat összetörte, és senki sem tudta őt megfékezni. 
MRK.5.5	És éjjel és nappal mindig a hegyeken és a sírboltokban volt, kiáltozva és magát kövekkel vagdosva. 
MRK.5.6	Mikor pedig Jézust távolról meglátta, oda futamodék, és elébe borula, 
MRK.5.7	És fennhangon kiáltva monda: Mi közöm nékem te veled, Jézus, a magasságos Istennek Fia? Az Istenre kényszerítelek, ne kínozz engem. 
MRK.5.8	(Mert ezt mondja vala néki: Eredj ki, tisztátalan lélek, ez emberből.) 
MRK.5.9	És kérdezé tőle: Mi a neved? És felele, mondván: Légió a nevem, mert sokan vagyunk. 
MRK.5.10	És igen kéré őt, hogy ne küldje el őket arról a vidékről. 
MRK.5.11	Vala pedig ott a hegynél egy nagy disznónyáj, a mely legel vala. 
MRK.5.12	És az ördögök kérik vala őt mindnyájan, mondván: Küldj minket a disznókba, hogy azokba menjünk be. 
MRK.5.13	És Jézus azonnal megengedé nékik. A tisztátalan lelkek pedig kijövén, bemenének a disznókba; és a nyáj a meredekről a tengerbe rohana. Valának pedig mintegy kétezeren; és belefúlának a tengerbe. 
MRK.5.14	A kik pedig őrzik vala a disznókat, elfutának, és hírt vivének a városba és a falvakba. És kimenének, hogy lássák, mi az, a mi történt. 
MRK.5.15	És menének Jézushoz, és láták, hogy az ördöngős ott ül, fel van öltözködve és eszénél van, az, a kiben a légió volt; és megfélemlének. 
MRK.5.16	A kik pedig látták, elbeszélék nékik, hogy mi történt vala az ördöngőssel, és a disznókkal. 
MRK.5.17	És kezdék kérni őt, hogy távozzék el az ő határukból. 
MRK.5.18	Mikor pedig a hajóba beszállott vala, a volt ördöngős kéré őt, hogy vele lehessen. 
MRK.5.19	De Jézus nem engedé meg néki, hanem monda néki: Eredj haza a tiéidhez, és jelentsd meg nékik, mely nagy dolgot cselekedett veled az Úr, és mint könyörült rajtad. 
MRK.5.20	El is méne, és kezdé hirdetni a Tízvárosban, mely nagy dolgot cselekedett vele Jézus; és mindnyájan elcsodálkozának. 
MRK.5.21	És mikor ismét általment Jézus a hajón a tulsó partra, nagy sokaság gyűle ő hozzá; és vala a tenger mellett.
MRK.5.22	És ímé, eljöve 
MRK.5.23	És igen kéré őt, mondván: Az én leánykám halálán van; jer, vesd reá kezedet, hogy meggyógyuljon és éljen. 
MRK.5.24	El is méne vele, és követé őt nagy sokaság, és összeszorítják vala őt. 
MRK.5.25	És egy asszony, a ki tizenkét év óta vérfolyásos vala, 
MRK.5.26	És sok orvostól sokat szenvedett, és minden vagyonát magára költötte, és semmit sem javult, sőt inkább még rosszabbul lett, 
MRK.5.27	Mikor Jézus felől hallott vala, a sokaságban hátulról kerülve, illeté annak ruháját. 
MRK.5.28	Mert ezt mondja vala: Ha csak ruháit illethetem is, meggyógyulok. 
MRK.5.29	És vérének forrása azonnal kiszárada és megérzé testében, hogy kigyógyult bajából. 
MRK.5.30	Jézus pedig azonnal észrevevén magán, hogy isteni erő 
MRK.5.31	És mondának néki az ő tanítványai: Látod, hogy a sokaság szorít össze téged, és azt kérdezed: Kicsoda illetett engem? 
MRK.5.32	És körülnéze, hogy lássa azt, a ki ezt cselekedte. 
MRK.5.33	Az asszony pedig tudva, hogy mi történt vele, félve és remegve megy vala oda és elébe borula, és elmonda néki mindent igazán. 
MRK.5.34	Ő pedig monda néki: Leányom, a te hited megtartott 
MRK.5.35	Mikor még beszél vala, odajövének a zsinagóga fejétől, mondván: Leányod meghalt; mit fárasztod tovább a Mestert? 
MRK.5.36	Jézus pedig, a mint hallá a beszédet, a mit mondanak vala, azonnal monda a zsinagóga fejének: Ne félj, csak higyj. 
