MAT.1.1	 A Krisztus Jézus származásáról 
1TH.5.4	 Ti azonban testvéreim, nem vagytok sötétségben, hogy az a nap úgy kapjon el titeket, mint egy tolvaj,
1TH.5.5	 mert ti mindannyian világosság fiai vagytok és nappalnak fiai. Nem vagyunk az éjszakáé, sem a sötétségé.
1TH.5.6	 Következőleg, ne szunnyadjunk, mint a többiek, hanem legyünk éberek és józanok.
1TH.5.7	 Mert akik szunnyadnak, azok éjjel szunnyadnak, és akik részegek, éjjel részegeskednek,
1TH.5.8	 mi ellenben nappal 
1TH.5.9	 mert az Isten nem haragra rendelt minket, hanem a mi Urunkon, a Krisztus Jézuson keresztül a menekülésen át megtartásra.
1TH.5.10	 Ő meghalt értünk, hogy akár ébren vagyunk, akár szunnyadunk, vele együtt éljünk.
1TH.5.11	 Azért bátorítsátok egymást és építse egyik a másikat, amint cselekszitek is.
1TH.5.12	 Kérünk titeket testvéreim, ismerjétek el azokat, akik fáradnak köztetek, akik elöljáróitok az Úrban és intenek titeket.
1TH.5.13	 Vegyétek körül őket munkájukért túláradó szeretettel. Legyetek egymással békességben.
1TH.5.14	 Kérve kérünk titeket, testvéreim, intsétek a rendetleneket! Vigasztaljátok a kislelkűeket! Oltalmazzátok az erőtleneket! Legyetek hosszútűrők mindenkivel szemben.
1TH.5.15	 Vigyázzatok, hogy valaki gonoszért gonosszal ne fizessen, hanem mindenkor a jóra törekedjetek egymás iránt és mindenki iránt.
1TH.5.16	 Mindenkor örüljetek.
1TH.5.17	 Szakadatlanul imádkozzatok!
1TH.5.18	 Mindenben hálát adjatok, mert ez az Isten akarata a Krisztus Jézusban rátok vonatkozóan.
1TH.5.19	 A szellemet ki ne oltsátok!
1TH.5.20	 A prófétálásokat meg ne vessétek!
1TH.5.21	 Mindent megpróbáljatok, ami nemes, megtartsátok!
1TH.5.22	 A rossznak még látszatától is tartózkodjatok!
1TH.5.23	 Maga pedig a békességnek Istene szenteljen meg titeket mindenestől, egész valótok, szellemetek, lelketek és testetek feddhetetlenül őriztessék meg Urunknak, a Krisztus Jézusnak megjelenésére (megérkezésére).
1TH.5.24	 Hű az, aki hív titeket. Ő meg is fogja ezt tenni.
1TH.5.25	 Testvéreim, imádkozzatok értünk!
1TH.5.26	 Köszöntsétek a testvéreket mind szent csókkal.
1TH.5.27	 Kényszerítlek titeket az Úrra, hogy ezt a levelet az összes testvéreknek olvassátok fel.
1TH.5.28	 A mi Urunknak, a Krisztus Jézusnak kegyelme veletek.
2TH.1.1	 Pál, Szilvánusz és Timóteusz 
2TH.1.2	 Kegyelem és békesség nektek Istentől, az Atyától és az Úrtól, a Krisztus Jézustól.
2TH.1.3	 Mindenkor hálaadással tartozunk az Istennek értetek testvéreim, mint ahogy méltó is 
2TH.1.4	 hogy az Isten eklézsiáiban mi magunk dicsekszünk veletek, azért, mivel mindenféle üldöztetésetek és szorongattatásotok között, melyeket viselnetek kell, 
2TH.1.5	 Isten igazságos ítéletének bizonyságául, amikor királyságra méltatott titeket az Isten és érte szenvedtetek is.
2TH.1.6	 Hát ugyan nem igazságos az Isten, amikor azoknak, akik titeket szorongatnak, szorongattatással fizet,
2TH.1.7	 nektek pedig a szorongatottaknak, velünk együtt, enyhüléssel, akkor, amikor majd Jézus, az Úr hatalmas angyalaival a mennyből jövet lelepleződik
2TH.1.8	 lángoló tűzben. Akkor majd megtorlást fog gyakorolni azokon, akik Istent nem ismernek és Urunk, a Krisztus Jézus örömüzenetének nem engedelmeskednek.
2TH.1.9	 Ezek örök veszedelemmel fognak lakolni, mellyel az Úr orcája és dicsőséges ereje fogja őket igazságos ítéletképpen sújtani
2TH.1.10	 ama napon, melyen eljön, hogy szentjeiben megdicsőüljön, és mindazokban csodálat tárgya legyen, akik benne hittek. Mert a mi nektek tett tanúságtételünk hitelre talált.
2TH.1.11	 Erre 
2TH.1.12	 hogy Urunknak, Jézusnak neve ily módon bennetek megdicsőüljön, ti is őbenne, úgy ahogy ez a mi Istenünk és az Úr, a Krisztus Jézus kegyelmének megfelel.
2TH.2.1	 Az Úrnak, a Krisztus Jézusnak megjelenésére és a mi hozzá történő összegyűjtetésünkre kérünk titeket testvéreink,
2TH.2.2	 hogy eszeteket elvetve meg ne ingasson, és meg ne riasszon titeket olyan hamar se szellem, se beszéd, se állítólag tőlünk 
2TH.2.3	 Senki semmi módon tévútra ne csaljon benneteket. 
2TH.2.4	 aki ellene lesz mindennek, amit Istennek neveznek vagy istentisztelet tárgya, s azok fölé emelkedik annyira, hogy beül az Isten templomába, és Istenként kelleti magát.
2TH.2.5	 Nem emlékeztek rá, hogy még nálatok létemkor megmondtam ezeket néktek?
2TH.2.6	 Azt, ami most is lefogva tartja még, hogy csak a maga idejében lepleződjék le, ismeritek,
2TH.2.7	 mert a törvényrontás titka már működésben van, de 
2TH.2.8	 Akkor aztán le fog lepleződni a törvényrontó, akit az Úr Jézus szája lehelletével megemészt majd s megérkezésének láthatóvá válásával hatástalanná fog tenni.
2TH.2.9	megérkezése a sátán munkája következményeképpen a hazugság teljes hatalmával, jeleivel és csodáival fog végbemenni,
2TH.2.10	 az igazságtalanság mindenféle csalásával azokon, akik elvesznek annak fejében, hogy nem fogadták be az igazság szeretetét arra, hogy megmeneküljenek.
2TH.2.11	 Éppen ezért küldi rájuk Isten a tévelyítés munkáját, hogy a hazugságnak higgyenek,
2TH.2.12	 hogy ítélet alá essenek mindazok, akik nem hittek az igazságnak, hanem az igazságtalanságban gyönyörködtek.
2TH.2.13	 Tartozunk Istennek mindenkor hálát adni értetek, testvéreink, kiket az Úr szeret, hogy Isten zsengéül választott el titeket arra, hogy a Szellem megszentelése és az igazság hite által megmentsen
2TH.2.14	 s erre a mi örömüzenetünkön keresztül el is hívott titeket, hogy Urunknak a Krisztus Jézusnak dicsőségére megtartassatok.
2TH.2.15	 Következőleg álljatok meg testvéreink és kapaszkodjatok bele azokba a nektek átadott tanításokba, melyeket akár beszédünkön át, akár levelünkön keresztül tanultatok.
2TH.2.16	 Maga Urunk, a Krisztus Jézus és Atyánk az Isten, aki bennünket megszeretett és nekünk kegyelmében örök bátorítást és jó reménységet adott,
2TH.2.17	 fogja felbátorítani szíveteket és minden jó munkában, és szóban megszilárdítja.
2TH.3.1	 Egyebekben imádkozzatok értünk testvérek, hogy az Úr igéje fusson és megdicsőüljön, mint nálatok is
2TH.3.2	 és hogy a helytelen és rossz emberek közül kiragadjon bennünket az Úr, mert nem mindenkié a hit.
2TH.3.3	 Hű az Úr, aki titeket meg fog szilárdítani és a rossztól megőriz.
2TH.3.4	 Rátok nézve az Úrból azt a bizalmat merítettük, hogy amit parancsolunk, azt megteszitek, és meg is fogjátok tenni.
2TH.3.5	 Az Úr pedig egyengetni fogja szíveteket Isten szeretésére és a Krisztus mellett való állhatatosságra.
2TH.3.6	 Az Úrnak, a Krisztus Jézusnak nevében megparancsoljuk nektek testvérek, hogy vonuljatok vissza minden olyan testvértől, aki rendetlenül jár, nem az átadott tanítás szerint, melyet tőlünk kaptatok.
2TH.3.7	 Hiszen ti magatok tudjátok, hogy hogyan kell utánoznotok bennünket, mert mi nem voltunk rendetlenek köztetek,
2TH.3.8	 sem ingyen kenyeret nem ettünk senkinél, hanem éjjel-nappal fáradva, vesződve dolgoztunk, hogy közületek valakit meg ne terheljünk.
2TH.3.9	 Nem mintha nem volna jogunk rá, hanem, hogy példaképül állítsuk magunkat, hogy utánozzatok minket.
2TH.3.10	 Mikor nálatok voltunk, akkor is azt parancsoltuk néktek, hogyha valaki nem akar dolgozni, ne is egyék.
2TH.3.11	 Halljuk ugyanis, hogy közületek némelyek rendetlenül járnak, semmit sem dolgoznak, hanem mások bajával bíbelődnek.
2TH.3.12	 Az ilyeneknek az Úrban, a Krisztus Jézusban parancsoljuk és rimánkodunk is, hogy csendességben dolgozva a maguk kenyerét egyék.
2TH.3.13	 Ti pedig testvérek, ne legyetek hanyagok a nemesen cselekvésben.
2TH.3.14	 Ha pedig valaki nem hallgat levélben írt szavunkra, azt jelöljétek meg, ne keveredjetek össze vele, hogy megszégyenüljön.
2TH.3.15	 De ne tekintsétek ellenségnek, hanem testvérként intsétek.
2TH.3.16	 Maga pedig a békesség Ura adja meg nektek a békességet minden időben, minden módon. Az Úr 
2TH.3.17	 A köszöntés a saját kezemmel a Páléval. Ez a jel minden levélen, így írok.
2TH.3.18	 Urunknak a Krisztus Jézusnak kegyelme legyen mindnyájatokkal.
1TI.1.1	 Pál, a Krisztus Jézus apostola, megmentő Istenünknek és reménységünknek, a Krisztus Jézusnak rendeletére 
1TI.1.2	 hitben valódi gyermekének Timóteusnak. Kegyelmet, könyörületet, békességet 
1TI.1.3	 Mint ahogy Macedóniába utaztomban megkértelek, maradj Efézusban, hogy 
1TI.1.4	 se ne figyeljenek mesékre és végnélküli nemzedéksorozatokra, melyek inkább vitatkozásokra adnak alkalmat, mint Isten hitbeli sáfárságának 
1TI.1.5	 A parancsolat csúcspontja a tiszta szívből, jó lelkiismeretből és képmutatástól mentes hitből 
1TI.1.6	 Ezeket azonban némelyek elhibázták és letértek 
1TI.1.7	 Törvénytanítók akarnak lenni, noha sem azt nem értik, amit fecsegnek, sem azt, amiért bizonykodnak.
1TI.1.8	 Tudjuk pedig, hogy hasznos a törvény, ha azt valaki törvényszerűen használja,
1TI.1.9	 azzal a tudattal, hogy a törvény nem az igazságos 
1TI.1.10	 paráznákra, férfifertőztetőkre, emberrablókra, hazugokra, hamisan esküvőkre, és még ha valami az egészséges tanításnak ellenáll.
1TI.1.11	 Így felel meg ez a boldog Isten dicsőségéről szóló örömüzenetnek, mellyel engem megbíztak.
1TI.1.12	 Hálás vagyok annak, aki engem hatalommal felruházott, Urunknak, a Krisztus Jézusnak, aki hűnek tartott engem, mikor szolgálatára rendelt,
1TI.1.13	 noha előbb káromló, üldöző és erőszakos voltam, ámde könyörületet nyertem, mert hitetlenségemben tudatlanul cselekedtem,
1TI.1.14	 s túláradt rajtam Urunknak kegyelmi a Krisztus Jézusban 
1TI.1.15	 Megbízható és elfogadásra mindenképpen méltó az az ige, hogy a Krisztus Jézus vétkeseket menteni jött a világra, akik közül az első én vagyok.
1TI.1.16	 De azért nyertem könyörületet, hogy a Krisztus Jézus először rajtam bizonyítsa be egész hosszútűrését, azok mintaképévé legyek, akik hinni fognak, 
1TI.1.17	 Az örök korok királyának pedig, a romolhatatlan, láthatatlan, egyetlen Istennek megbecsülés és dicsőség 
1TI.1.18	 A rólad megelőzőleg hallott prófétálásokra gondolva, azt a parancsot teszem letétbe nálad, gyermekem Timóteus, hogy e próféciákon 
1TI.1.19	 hittel és jó lelkiismerettel, melyet némelyek eltaszítottak maguktól és a hit dolgában hajótörést szenvedtek.
1TI.1.20	 Közülük való Himenajosz és Alekszander, kiket átadtam a sátánnak, hogy megnevelődjenek, és 
1TI.2.1	 Mindenekelőtt kérlellek hát titeket, hogy tartsatok könyörgéseket, imádkozásokat, 
1TI.2.2	 királyokért és minden felettesért, hogy nyugodt és csendes életet élhessünk teljes istenfélelemmel és tisztességgel.
1TI.2.3	 Ezt 
1TI.2.4	 aki minden embert meg akar menteni, és az igazság ismeretére eljuttatni.
1TI.2.5	 Mert egy az Isten. Egy a közbenjáró is Isten és emberek között az (ember) Krisztus Jézus.
1TI.2.6	,
1TI.2.7	 Ugyanerre rendeltek engem is hírnöknek és apostolnak, igazságot mondok, nem hazudom, hűséggel és igazsággal nemzetek tanítójának.
1TI.2.8	 Akarom, hogy a férfiak minden helyen imádkozzanak, jámbor kezeket emelve az 
1TI.2.9	 Hasonlóképpen a nők is szemérmetesen és józanul, szerény ruhával ékesítsék magukat, ne hajberakásokkal, arannyal, gyöngyökkel, költséges ruházattal,
1TI.2.10	 hanem mint ahogy asszonyokhoz illik, kik jótetteken át az istenfélelemmel jegyezték el magukat.
1TI.2.11	 A nő teljes alávetettségben, csendességben tanuljon.
1TI.2.12	 A tanítást nőnek nem engedem meg, sem azt, hogy férfin önkényeskedjék, hanem hogy csendességben legyen.
1TI.2.13	 Mert először Ádámot formálták, azután Évát.
1TI.2.14	 Meg aztán nem Ádámot tévelyítették el, hanem azután, hogy félrevezették, az asszony lett 
1TI.2.15	 De meg fog menekülni a gyermekszülésen át, ha a 
1TI.3.1	 Megbízható az ige. Ha valaki püspökségre törekszik, nemes munkára vágyik.
1TI.3.2	 A püspöknek feddhetetlennek kell lennie, egy asszony férjének, józannak, megfontoltnak, erkölcsösnek, vendéget szívesen látónak, tanításra késznek,
1TI.3.3	 nem bor mellett ülőnek, nem civakodónak, hanem kíméletesnek, nem harciasnak, nem pénzsóvárnak,
1TI.3.4	 saját házát helyesen kormányzónak, gyermekeit teljesen tisztességben és alávetettségben tartónak.
1TI.3.5	 Ha valaki a saját házát nem tudja elkormányozni, hogyan akarja az Isten eklézsiájának gondját viselni?
1TI.3.6	 Nem szabad újonnan került embernek lennie, hogy fel ne fuvalkodjék, s a vádló ítéletébe ne essék,
1TI.3.7	 a kívülvalóktól szép tanúságtételt kell kapnia, hogy ne gyalázhassák, s a vádló tőrébe ne essék.
1TI.3.8	 A diakónusok hasonlóképpen tisztességesek legyenek, ne kétnyelvűek, ne sok borivásba merültek, ne piszkos nyereséget hajhászók,
1TI.3.9	 a hitnek titkát tiszta lelkiismerettel őrzők.
1TI.3.10	 Ezeket ki kell próbálni előbb, azután szolgáljanak, ha vád nem éri őket.
1TI.3.11	 Asszonyaik hasonlóképpen tisztességesek legyenek, ne vádaskodók, meggondoltak, mindenben hűek.
1TI.3.12	 A diakónusok egy feleségű férfiak legyenek, gyermekeiket és saját házukat szépen vezetők.
1TI.3.13	 Ha ugyanis szépen szolgáltak, szép fokozatot nyernek maguknak és sok szabadságot a szólásra a Krisztus Jézusba vetett hiten át.
1TI.3.14	 Ezeket abban a reménységben írom neked, hogy hamarosan elmehetek hozzád,
1TI.3.15	 ha mégis késném, hogy megtudd, miképp kell az Isten házában forgolódnod, mely az élő Isten eklézsiája, az igazság oszlopa és szilárd támasza.
1TI.3.16	 Elismerten nagy az istenfélelem titka: Aki láthatóvá lett húsban, igazságosnak bizonyult szellemben, meglátták angyalok, hirdették a nemzeteknek, hitelt talált a világban, felvétetett dicsőségben.
1TI.4.1	 A Szellem pedig kifejezetten mondja, hogy a késői időkben némelyek elpártolnak majd a hittől, s tévelyítő szellemekre és ördögök tanításaira fognak figyelni,
1TI.4.2	 hazug, saját lelkiismeretükben kiégett 
1TI.4.3	 Ezek tiltani fogják a házasságot, 
1TI.4.4	 Mert az Isten minden teremtménye hasznos és semmi sem elvetendő, amit hálaadással veszünk magunkhoz,
1TI.4.5	 mert Isten igéje és az Istennel való társalgás megszenteli.
1TI.4.6	 Ha ezeket a testvérek elé tárod, a Krisztus Jézusnak hasznos kiszolgálója leszel, akiről 
1TI.4.7	 A közönséges és vénasszonyos meséket azonban utasítsd el. Ellenben gyakorold magad az istenfélelem elérésében.
1TI.4.8	 Mert a testtel 
1TI.4.9	 Megbízható az ige és elfogadásra mindenképpen méltó.
1TI.4.10	 Hiszen azért fáradunk és küzdünk, mert reménységünk az élő Istenben van, aki minden ember megmentője, leginkább a hívőknek.
1TI.4.11	 Parancsold meg és tanítsd ezeket!
1TI.4.12	 Ifjúságodat senki meg ne vesse, hanem mintaképe légy a híveknek szóban, forgolódásban, szeretetben, hűségben, szent tisztaságban.
1TI.4.13	 Amíg odamegyek, gondod legyen a felolvasásra, a bátorításra, a tanításra.
1TI.4.14	 El ne hanyagold a benned levő kegyelemajándékot, mely prófétáláson át a vének kezének rád vetésével adatott néked.
1TI.4.15	 Ezekre legyen gondod. Ezekben benne élj, hogy előrehaladásod mindeneknek látható legyen.
1TI.4.16	 Ügyelj magadra és a tanításra. Maradj meg bennük. Mert ha ezt teszed, magadat is megmented, hallgatóidat is.
1TI.5.1	 Vén 
1TI.5.2	 az öreg nőket, mint anyákat, a fiatalabb nőket, mint húgokat, teljes szentséggel.
1TI.5.3	 Az özvegyeket tiszteld, a valóban özvegyeket.
1TI.5.4	 Ha pedig valamely özvegynek gyermekei vagy ivadékai vannak, tanítsák meg először a saját házukat az istenfélelemre és arra, hogy szüleiknek 
1TI.5.5	 Annak, aki valóban özvegy és egyedül maradt, reménysége az Úrban van, az ilyen éjjel-nappal a könyörgések, és imádkozások mellett marad,
1TI.5.6	 a bujálkodó ellenben már élve halott.
1TI.5.7	 Ezeket parancsold meg, hogy feddhetetlenek legyenek.
1TI.5.8	 Ha pedig valaki az övéiről s főleg házanépéről nem gondoskodik, az olyan a hitet megtagadta s rosszabb a hitetlennél.
1TI.5.9	 Özvegyül ne írjanak be senkit hatvan éven alul, 
1TI.5.10	 aki mellett nemes tettek tesznek tanúságot, aki gyermeket nevelt, idegeneket megvendégelt, szentek lábát mosta, szorongatottakat megsegített, minden jó munkának nyomában volt.
1TI.5.11	 A fiatalabb özvegyeket utasítsd el, mert ha a Krisztus ellenére túlteng bennük az indulat, s férjhez akarnak menni,
1TI.5.12	 az az ítélet éri őket, hogy az első hitet félretették,
1TI.5.13	 egyúttal, minthogy henyék, megtanulják a házról-házra őgyelgést, s nemcsak henyékké lesznek, hanem fecsegőkké, kandi népséggé, kik azt beszélik, amit nem kellene.
1TI.5.14	 Azt akarom, hogy a fiatalok menjenek férjhez, szüljenek gyermekeket, házukat igazgassák, s az ellenfélnek semmi alkalmat ne adjanak a gyalázkodásra.
1TI.5.15	 Némelyek le is tértek már az 
1TI.5.16	 Ha egy hívő asszonynak özvegyei vannak, tartsa el őket, és ne az eklézsiát terheljék, hogy a valóban özvegyeket lehessen megsegíteni.
1TI.5.17	 Azokat a véneket, akik jó elöljárók voltak, kétszeres megbecsülésre kell méltatni, kiváltképpen azokat, akik az igével és tanítással fáradoztak.
1TI.5.18	 Azt mondja ugyanis az írás: „Ne kösd be a nyomtató ökör száját!” továbbá: „Méltó a munkás a bérére.”
1TI.5.19	 Vén ellen vádat ne fogadj el, csak két vagy három tanú mellett.
1TI.5.20	 A vétkezőkre mindenki előtt bizonyíts rá, hogy a többiek is féljenek.
1TI.5.21	 Erős bizonyságot teszek Isten, a Krisztus Jézus és a kiválogatott angyalok előtt, hogy 
1TI.5.22	 Elhamarkodva senkire se tedd fel kezed, ne vállalj közösséget mások vétkeivel, szentül, 
1TI.5.23	 Ne légy vízivó tovább, hanem gyomrod miatt és gyakori erőtlenségedre való tekintettel használj kevés bort.
1TI.5.24	 Vannak emberek, akiknek vétkeik 
1TI.5.25	 Éppen így a nemes tettek is nyilvánvalóak 
1TI.6.1	 Mindazok a rabszolgák, akik iga alatt vannak, saját gazdáikat, mint teljes megbecsülésre méltóknak tekintsék, hogy az Isten nevét és a tanítást káromlás ne érje.
1TI.6.2	 Ha 
1TI.6.3	 Ha valaki mást tanít, és nem járul hozzá a mi Urunknak, a Krisztus Jézusnak egészséges beszédeihez, sem az istenfélelemre oktató tanításhoz,
1TI.6.4	 az olyan elvakult semmihez sem ért, hanem a vitatkozásnak és a szavakkal való csatározásnak betegségében szenved. Ilyesmiből támadnak az irigység, civódás, káromlások, rossz gyanakvások,
1TI.6.5	 értelmükben megromlott s az igazságtól megfosztott emberek szüntelen súrlódásai, akik úgy vélekednek, hogy az istenfélelem a nyerészkedésre való.
1TI.6.6	 És tényleg nagy nyereség az istenfélelem, ha megelégedés kíséri.
1TI.6.7	 Mint ahogy ugyanis semmit sem hoztunk ebbe a világba, abból semmit ki sem vihetünk.
1TI.6.8	 Ám ha van eledelünk és hajlékunk, elégedjünk meg vele.
1TI.6.9	 Akik ellenben meg akarnak gazdagodni, kísértésbe, tőrbe és sok értelmetlen és káros kívánságba esnek. Az ilyenek az embereket a veszedelem és pusztulás mélységébe taszítják.
1TI.6.10	 Mert az összes gonosz dolgok gyökere a pénz kedvelése. Némelyek, mikor ez után futottak, eltévelyedtek a hittől, és sokféle kínnal szúrták át magukat.
1TI.6.11	 Ám te, Istennek embere, menekülj ezektől. Fuss az igazságosság, istenfélelem, hűség, szeretet, állhatatosság, nyájasság után.
1TI.6.12	 Küzdd a hitnek nemes harcát, ragadd meg az örökéletet, melyre elhívtak, amelyről ama szép vallástételt letetted sok tanú előtt.
1TI.6.13	 A mindeneket életre szülő Isten előtt és a Krisztus Jézus előtt, ki Poncius Pilátus 
1TI.6.14	 mocsoktalanul s feddhetetlenül őrizd meg a parancsolatot Urunknak, a Krisztus Jézusnak előtűnéséig,
1TI.6.15	 melyet a maga idejében meg fog mutatni ama boldog, a Hatalom egyetlen Birtokosa, királyoknak Királya és uraknak Ura,
1TI.6.16	 kinek egyedül van halhatatlansága, ki megközelíthetetlen világosságban lakik, kit még egy ember sem látott s nem is képes meglátni. Kié a megbecsülés és az örök uralom, Ámen.
1TI.6.17	 Azoknak, akik a mostani korban gazdagok, parancsold meg, hogy ne jártassák fenn a magasban az eszüket, s ne vessék reménységüket a bizonytalan gazdagságba, hanem Istenbe, aki mindent, ami élvezetünket szolgálja, gazdagon nyújt nekünk
1TI.6.18	 avégre, hogy a jót munkáljuk, nemes munkákban gazdagodjunk, szívesen adakozók, 
1TI.6.19	 és így nemes alapot tegyünk félre magunknak a jövőre, hogy megragadhassuk a valóságos életet.
1TI.6.20	 Óh Timóteus! Őrizd meg, amit rád bíztak és kerüld a szentségtelen, üres szavakat, fordulj el a hamisan tudománynak nevezett 
1TI.6.21	 melyet hirdetnek némelyek, kik a hitet elhibázták. A kegyelem 
2TI.1.1	 Pál, 
2TI.1.2	 szeretett gyermekének, Timóteusnak. Kegyelmet, könyörületet, békességet 
2TI.1.3	 Hálás vagyok Istennek, kinek apáim óta tiszta lelkiismerettel szolgálok, hogy éjjel és nappal szakadatlanul rád emlékezem könyörgéseimben.
2TI.1.4	 Epekedek azért, hogy lássalak. Könnyeidre is visszaemlékezem, hogy örömmel teljek meg
2TI.1.5	 s emlékezetembe idézem azt a képmutatástól mentes hitet, mely benned van, mely először nagyanyádban, Loiszban, azután anyádban, Eunikében 
2TI.1.6	 Ez okból emlékeztetlek arra, hogy az Istennek ezt a kegyelemajándékát, mely az én kézrátételemen keresztül van rajtad, újra lángra kell lobbantanod,
2TI.1.7	 mert Isten nem gyávaság szellemét adta nékünk, hanem hatalomnak, szeretetnek és józanságnak 
2TI.1.8	 Ne szégyellj hát Urunk mellett tanúságot tenni, 
2TI.1.9	 aki megmentett és előzetes határozatának megfelelően szent hívással elhívott bennünket, nem tetteink alapján, hanem kegyelmének következményeképpen, melyet a Krisztus Jézusban örök idők előtt adott 
2TI.1.10	 de csak most tett láthatóvá Megmentőnknek, a Krisztus Jézusnak megjelenésén keresztül, ki örömüzenetén át hatálytalanná tette a halált s megvilágította az életet és a romolhatatlanságot.
2TI.1.11	 Ennek az 
2TI.1.13	 Ez az oka annak is, hogy ezeket szenvedem, de nem szégyenlem, mert tudom, kinek hittem s meg vagyok győződve, hogy van hatalma arra, hogy azt, amit nála letettem, ama napig megőrizze.
2TI.1.13	 Mintakép gyanánt tartsd magad előtt azokat az egészséges beszédeket, melyeket a Krisztus Jézusban 
2TI.1.14	 A bennünk lakó Szent Szellemen át őrizd meg azt a nemes letétet, 
2TI.1.15	 Tudod azt, hogy az ázsiaibeliek mindannyian elfordultak tőlem. Ezek közül valók Figellosz és Hermogenész.
2TI.1.16	 Könyörüljön az Úr Onéziforosz házán, mert sokszor felüdített engem és nem szégyellte bilincseimet,
2TI.1.17	 sőt, mikor Rómába került, serényen keresett és megtalált engem.
2TI.1.18	 Adja meg neki az Úr, hogy ama napon könyörületet találjon az Úrnál. Hogy pedig 
2TI.2.1	 Te azért gyermekem, meríts hatalmat a Krisztus Jézusban 
2TI.2.2	 s amiket tőlem sok tanún át hallottál, bízd rá azokat megbízható emberekre, akik megfelelőek lesznek arra, hogy másokat is megtanítsanak.
2TI.2.3	 A Krisztus Jézus nemes harcosaként szenvedd el velem együtt a gonoszt.
2TI.2.4	 Senki, aki táborba száll, nem elegyedik 
2TI.2.6	 A gyümölcsökből először a földművesnek kell részesednie, aki fáradt érte.
2TI.2.7	 Értsd meg, amit mondok: az Úr mindenben belátást fog neked adni.
2TI.2.8	 Tartsd emlékezetedben a Krisztus Jézust, 
2TI.2.9	 Ez az 
2TI.2.10	 ezért van, hogy mindent állhatatosan eltűrök a kiválogatottakért, hogy ők is elnyerjék a Krisztus Jézusban 
2TI.2.11	 Megbízható az ige. Ha ugyanis 
2TI.2.12	 Ha állhatatosak vagyunk, 
2TI.2.13	 ha hitetlenkedünk, ő hű marad, hiszen magát meg nem tagadhatja.
2TI.2.14	 Ezekre emlékeztess, Isten előtt tett erős bizonyságtétellel, hogy ne legyenek szócsaták, melyek semmire sem hasznosak, csak a hallgatók felforgatására.
2TI.2.15	 Serényen igyekezz arra, hogy kipróbáltan állhass 
2TI.2.16	 A közönséges, üres locsogások elől térj ki, hiszen mindig több istentelenségre haladnak előre,
2TI.2.17	 beszédjük, mint a rákfene, pusztít maga körül. Közülük való Himenajosz és Filétosz,
2TI.2.18	 kik az igazságot elhibázták, mikor azt beszélték, hogy a feltámadás már megtörtént és 
2TI.2.19	 Mindamellett szilárdan áll az isteni alap és ez a pecsétje: „Ismeri az Úr, kik az övéi” és: „Álljon el a hamisságtól mindenki, ki a Krisztus nevét ajkára veszi.”
2TI.2.20	 Nagy házban nemcsak arany és ezüst edények vannak, hanem fák és cserepek is és némelyik edény megbecsült, más becstelen 
2TI.2.21	 Ha valaki e 
2TI.2.22	 Az ifjúkori vágyaktól menekülj. Fuss az igazságosság, hűség, szeretet, békesség után azokkal együtt, akik az Urat tiszta szívből segítségül hívják.
2TI.2.23	 Az ostoba és nevelésre alkalmatlan vitatkozásokat utasítsd el, tudva, hogy harcokat szülnek.
2TI.2.24	 Aki az Úr rabszolgája, annak nem hadakoznia kell, hanem mindenki iránt nyájasnak lennie, tanításra képesnek, gonoszat eltűrőnek, az ellenszegülőket szelíden nevelőnek,
2TI.2.26	 talán kijózanodnak (feleszmélnek) a vádló tőréből, ki élve fogta meg őket, hogy akaratának engedelmeskedjenek.
2TI.3.1	 Azt pedig tudd meg, hogy az utolsó napokban nehéz idők állanak be,
2TI.3.2	 tudniillik magukat és a pénzt kedvelők, kérkedők, fennhéjázók, káromlók, szüleik iráni engedetlenek, hálátlanok, elvetelmültek,
2TI.3.3	 szeretetlenek, engesztelhetetlenek, vádaskodók, mértéktelenek, fékezhetetlenek, a jót nem kedvelők,
2TI.3.4	 árulók, vakmerők, felfuvalkodottak, inkább kéjkedvelők, mint Isten kedvelői lesznek az emberek.
2TI.3.5	,
2TI.3.6	 Közülük valók tudniillik azok, akik beférkőznek a házakba, s foglyul ejtik a vétkektől elhalmozott, sokféle kívánságtól űzött asszonykákat,
2TI.3.7	 kik mindig tanulnak, de soha az igazság megismerésére eljutni nem képesek.
2TI.3.8	 Amilyen módon Jannész és Jambrész állottak ellene Mózesnek, úgy állnak ellene ezek is az igazságnak, értelmükben megromlott, a hit dolgában próbát nem álló emberek.
2TI.3.9	 De tovább előretörni nem tudnak, mert esztelenségük mindenki előtt kiviláglik, amint amazokkal is történt.
2TI.3.10	 Te azonban az én tanításomat követted, az én életutamat, az én célkitűzéseimet, az én hűségemet, hosszútűrésemet, szeretetemet, állhatatosságomat,
2TI.3.11	 üldöztetéseimet, szenvedéseimet, melyek Antióhiában, Ikóniumban, Lisztrában estek rajtam. Milyen üldözéseket viseltem el. De mindegyikből kiragadott az Úr.
2TI.3.12	 Akik a Krisztus Jézusban istenfélelemmel akarnak élni, azokat mind üldözni fogják.
2TI.3.13	 Szemfényvesztő, rossz emberek előre törik magukat, hogy még rosszabbra jussanak. Tévelyítenek és eltévelyednek.
2TI.3.14	 Te azonban maradj meg azokban, amiket tanultál, s amikben hívővé lettél, tudva kitől tanultad,
