MAT.1.1	Leꞌe naŋ titinge loumwah tikin Jisas Krais. Loumwah kin kiŋ Dewit hindi Abraham.
EPH.4.17	Taꞌe luku pe, ŋam de ma mini yip wusyep bongol ende tuꞌe leꞌe. Nato naŋ tikin Lahmborenge pe, yukur pa yurp tuꞌe lenge miyeꞌ tuweinge tikin kekep eꞌe ŋaiye yukur sisyeme Got. Ŋoihmbwaip topoꞌe ŋoiheryembe tinge si hoi hoi. 
EPH.4.18	Ŋoiheryembe tinge tikin yepelmbe supule, topoꞌe ŋoihmbwaip tinge si tingis. Taꞌe luku pe, tinge yarp ya tas wicherꞌ me laip bwore tikin Got. 
EPH.4.19	Tinge yukur ka se hiꞌ me ŋaimune ŋaiye tinge yende nange luku ki bwore lakai pupwa. Tinge behembuhu yende. Tinge yal yoto yende hwap tetehei ŋaiye tikin pupwa yehe supule tikin kekep eꞌe ŋaiye tinge ŋoiheryembe ka yende. Ka yende niŋ pinip yar, topoꞌme ŋaiꞌe ŋaiꞌe pupwa yenge yal. 
EPH.4.20	Kom ŋupe ŋaiye yip yisande wusyep tikin Krais pe, yukur tinge yalaŋat yip ŋaiꞌe ŋaiꞌe pupwa luku ŋaiye pa yende topoꞌe, pakai. 
EPH.4.21	Tinge si yalaŋat yip wusyep mise ŋaiye sai nato Jisas, topoꞌe yip si yisande wusyep kin. 
EPH.4.22	Taꞌe luku pe, yember ŋaimun pupwa pupwa ŋaiye somohon yip yende liki yil tikihe. Jinyenme ŋoihmbwaip yerkeime pupwa yehe supule ŋaiye kete yip nenge nal ŋahwikin pupwa. 
EPH.4.23	Ŋoiheryembe topoꞌe ŋoihmbwaip yip ka si bwore ŋambaran supule. 
EPH.4.24	Got ŋende yip ŋambaran, ŋahilyeh taꞌe kitikin pe, pa yurp bwore bwarme junde yaŋah mise tikin Got.
EPH.4.26	Topoꞌe ŋaiye ŋoihmbwaip yip ka nihe pe, yukur pa yusme ŋoihmbwaip nihe yip uku ka enge yip e oto hwap. Topoꞌe yukur pa yurpe tuhwar yip uku yenge si yi tutume ŋaiye ŋau ka e guh. 
EPH.4.27	Yukur pa chumbur kohmap me Satan. 
EPH.4.28	Lahmende ŋaiye kin ŋende ŋendei pe, sekei no. Kin ka enge syep kin hoime luku ende wah ŋaiye bwore pe, ka se ambaꞌe ŋaimune ŋaiye kin seheiꞌe. Topoꞌe ka aŋaꞌe lahmende ŋaiye tinge seheiꞌe ŋaiꞌe ŋaiꞌe. 
EPH.4.29	Yip yukur pa yininge wusyep tetehei pupwa tus mut yip, na pakai. Yininge wusyep ŋaiye ki bwore ŋilyehme. Wusyep bwore yip uku ka ungwisme lenge miyeꞌ tuweinge tikin Got ŋaiye ka yurp bwore bwarme. 
EPH.4.30	Topoꞌe yip yukur pa yaŋaꞌe ŋoihmbwaip mane yilme Yohe Yirise, kin wutuꞌ tikin Got ŋaiye narp nato yip. Topoꞌe kin nalaŋatme ŋup tikin Got ŋaiye ka ambaꞌe yip no, pa yurp hlaininge. 
EPH.4.31	Yip pa jinyenme ŋoihmbwaip pupwa, ŋoihmbwaip syohe, ŋoihmbwaip nihe, wusyep pupwa, wusyep hiꞌe, topoꞌe ŋoiheryembe pupwa ŋaiye na ende yumbune miyeꞌ ende. 
EPH.4.32	Pa yasambe ŋoihmbwaip bwore bwore yil lenge Kristen miyeꞌ tuweinge. Pa yusme pupwa lenge miyeꞌ tuweinge tuꞌe ŋaiye Got nasme pupwa yip nato naŋ tikin Krais.
EPH.5.1	Got kin ŋende nihararme yip pe, yip si yarp taꞌe talah kitikin pe, pa yende wah nihe ŋaiye pa yurp tuꞌe Got. 
EPH.5.2	Yarp yip pe, ŋoihmbwaip yip ka ende niharar lenge mitiŋ tuꞌe ŋaiye Krais ŋende nihararme poi. Kin naŋaꞌe wahriꞌ kin ŋaiye nungwisme poi lalme. Wahriꞌ kin ŋaiye kin naŋaꞌe taꞌe ofa pe, kin naihe sengehrepe miꞌ supule pe, ki ŋende Got hriphrip. 
EPH.5.3	Yip si miyeꞌ tuweinge tikin Got pe, yukur pa yende niŋ pinip yar, topoꞌe yende solombe pe, yukur pa si yambaꞌe naŋ pupwa me ŋai uku. 
EPH.5.4	Yukur pa yininge wusyep pupwa, topoꞌe yukur pa jonosambalaiꞌ yininge ŋilim ŋaiye jil naŋ wahriꞌ ŋaiye miyeꞌ lakai tuwei, na pakai. Ki bwore ŋaiye pa yininge wusyep hriphrip yilme Got. 
EPH.5.5	Yip pa sisyeme tuꞌe leꞌe, lenge miyeꞌ tuweinge ŋaiye yende niŋ pinip yar pe, tinge taꞌe ŋumbwat miyeꞌ ŋaiye gande ŋumbwat tuwei. Lenge mitiŋ ŋaiye yetekeꞌe ŋaiꞌe ŋaiꞌe no, tinge wim lal pe, ki ŋahilyeh taꞌe ŋaiye yirisukwarme got homboꞌe pe, lenge miyeꞌ tuweinge lalme luku yukur ka yute yoto lemame tikin Krais hindi Got.
EPH.5.6	Ŋoihme ŋaiye pa yusyunde wusyep molohe lenge miyeꞌ ŋaiye ka yute homboꞌe yaŋaih yip no, pa yende ŋaiꞌe ŋaiꞌe tetehei pupwa luku. Ŋoihmbwaip nihe tikin Got ka si lenge miyeꞌ uku ŋaiye yengelyembe wusyep kin. 
EPH.5.7	Taꞌe luku pe, yukur pa plihe yila juhilyeh yotop lenge miyeꞌ homboꞌe luku. 
EPH.5.8	Yip iki pe, somohon yip yarp yepelmbe, kom tukwini Lahmborenge si nember yip yarp yirise. Taꞌe luku pe, tukwini pa yurp tuꞌe lenge miyeꞌ tuweinge ŋaiye yarp yirise. 
EPH.5.9	Yirise ŋaiye ki sai nato yip no, ŋaisep kin uku pe, ŋoihmbwaip bwore bwore, topoꞌe narp bwore bwarme, topoꞌe wusyep mise. 
EPH.5.10	Topoꞌe pa yende wah nihe ŋaiye ka ende Got ka hriphrip. 
EPH.5.11	Yip yukur pa yila juhilyeh yotop lenge miyeꞌ ŋaiye yende hwap ŋaiye tikin pupwa tekepe supule. Ŋaiꞌe ŋaiꞌe luku tikin yepelmbe. Ŋoihmbwaip ŋaiye taꞌe luku yukur nenge ŋaisep bwore, pakai. Ki bwore ŋaiye ya masamb lenge miyeꞌ na, hwap ŋaiye taꞌe luku ki pupwa. 
EPH.5.12	Ŋam yukur ma moworꞌe mininge ŋaimune ŋaiye tinge tase tayaꞌ yende, pakai. Ŋam hiꞌe ŋaiye ma mininge wusyep me ŋai uku. 
EPH.5.13	Kom yirise ki noworꞌe ember ŋaimune ŋaiye lenge miyeꞌ tuweinge yende nat nal halhale. 
EPH.5.14	Ŋupe ŋaiye yirise luku ki naŋarꞌe nato yepelmbe pe, ŋaimune ŋaiye ŋanar nato yepelmbe luku, ka yetekeꞌe. Luku wusyep tehei ŋaiye ki sai taꞌe leꞌe,
EPH.5.14	“Yip lahmende ŋaiye yate posoh, pa tuhur.
EPH.5.14	Yip tuhur yusme ŋeheh no, Krais ka yul yip yirise.”
EPH.5.15	Taꞌe luku pe, yip ŋoihme ŋaiye yarp yip. Yip yukur pa yurp tuꞌe lenge miyeꞌ kwote, na pakai. Kom pa yurp tuꞌe lenge miyeꞌ ŋaiye sisyeme. 
EPH.5.16	Yip ŋoihme! Ŋup eꞌe pe, ŋup pupwa tikin lenge miyeꞌ tuweinge ŋaiye yende hwap. Kom nye nyermbe pe, pa yende ŋaiꞌe ŋaiꞌe ŋaiye ki bwore. 
EPH.5.17	Yip yukur pa yende bwiliꞌe bwulaꞌe yende ŋaiꞌe ŋaiꞌe tetehei ŋaiye ki pupwa. Kom yip pa yende ŋaimune junde ŋaiye Lahmborenge ŋasande. 
EPH.5.18	Yip yukur pa yonoꞌe pinip kwote no, ŋondoh yip ka talalai ende kwite kwote. Na pakai. Yip pa papararme Yohe Yirise tikin Got. 
EPH.5.19	Ŋupe ŋaiye pa juhilyeh yotop lenge miyeꞌ tuweinge tikin Got pe, pa yosoko wenersep ŋaiye sai nato Tup Wenersep, topoꞌe wenersep syeꞌ tikin lotu, topoꞌe wenersep syeꞌ ŋaiye Yohe Yirise ki nember nato ŋoihmbwaip yip. Topoꞌe yip pa yosoko wenersep yilme Got tus mut topoꞌe ŋoihmbwaip yip. 
EPH.5.20	Nye nyermbe yip pa yininge wusyep hriphrip yilme Yai Got me ŋaiꞌe ŋaiꞌe lalme yi yoto naŋ tikin Lahmborenge poi Jisas Krais.
EPH.5.21	Yip pa yurp tuwihme lenge miyeꞌ tuweinge tikin Got. Detale, Krais kin Lahmborenge yip. 
EPH.5.22	Yip lenge tuweinge, pa yurp tuweihe lenge miyeꞌ tip tuꞌe ŋaiye yip lalme yarp tuwihme Krais. 
EPH.5.23	Ki taꞌe ŋaiye miyeꞌ kin ŋondoh me tuwei kin, ŋahilyeh taꞌe Krais kin ŋondoh me sios. Pe sios wahriꞌ tikin Krais, kut Krais kin nule nungwisme sios. 
EPH.5.24	Sios yarp tuwihme Krais. Pe ki ŋahilyeh nalme yip lenge tuweinge ŋaiye pa yurp tuwihme lenge miyeꞌ yip.
EPH.5.26	O nato wusyep mise topoꞌe ŋaiye yambaꞌe pinip pe, Krais kin nungurhme sios kin pe, ti tahar bwore bwarme miꞌ supule wal ŋembep tikin Got. 
EPH.5.27	Kin da ende sios ta tuhur bwore miꞌ supule wil ŋembep kitikin pe, yukur ŋainde pupwa ŋosohe, lakai hroꞌ hap ka si wahriꞌ ti, pakai. Sios ta wurp holi bwore mise supule pe, yukur ŋainde pupwa ka ote onombe el, na pakai. 
EPH.5.28	Ki ŋahilyeh nalme yip lenge miyeꞌ pa yende niharar lenge tuweinge yip tuꞌe ŋaiye yip yende nihararme wahriꞌ yiptip. Miyeꞌ ŋaiye ŋende nihararme tuwei kin pe, taꞌe ŋaiye kin ŋende nihararme kitikin. 
EPH.5.29	Miyeꞌ ende yukur tatame ŋaiye ka se ende wachaihme wahriꞌ ilyeh kin. Kin naŋaꞌe ŋai pe, kin nembepteme wahriꞌ kitikin topoꞌe wahriꞌ ilyeh kin bworerme. Ki ŋahilyeh ŋaiye Krais ŋende nalme sios. 
EPH.5.30	Detale, poi taꞌe ŋihip syep, bepmohro tikin Krais. 
EPH.5.31	Wusyep ki sai nato Tup tikin Got ŋanange taꞌe leꞌe,
EPH.5.31	Taꞌe luku pe, miyeꞌ ka osme yai mam kin pe,
EPH.5.31	ka ambaꞌe tuwei ŋaiye ka hindi dindiꞌ.
EPH.5.31	Pe ka hindi yurp tuꞌe ŋaiye wahriꞌ ilyeh.
EPH.5.32	Wusyep tase leꞌe pe, wusyep tehei kin ki ŋembere pupwa supule. Ŋam ŋoiheryembe nange wusyep uku ki ŋanange nalme Krais ŋaiye ka ambaꞌe sios tuꞌe tuwei kitikin. 
EPH.5.33	Kom wusyep eꞌe kin nalme yip topoꞌe. Lenge miyeꞌ lalme pa yende niharar lenge tuweinge yip ilyeh ilyeh tuꞌe ŋaiye yip yende nihararme yip tip. O yip lenge tuweinge ilyeh ilyeh pa syumbe yurp bwore ŋumwaiye tuweihe lenge miyeꞌ tip yasamb lenge ŋoihmbwaip bwore.
EPH.6.2	Wusyep erŋeme ŋaiye sai nato Tup tikin Got ŋanange taꞌe leꞌe,
EPH.6.2	Yip pa yurp tuweihe lenge yai mam yip pe, pa yisyunde wusyep tinge.
EPH.6.2	Wusyep erŋeme leꞌe ki ŋendehei, topoꞌe wusyep tupwaiꞌ sai nato topoꞌe. 
EPH.6.3	Wusyep tupwaiꞌ uku ki ŋanange taꞌe leꞌe,
EPH.6.3	Ŋaiye pa yende tuꞌe luku pe, wah lalme ŋaiye pa yende pe,
EPH.6.3	ka tus bwore, topoꞌe yip pa yurp ŋup sokolohe yurp kekep eꞌe.
EPH.6.6	Yip pa yende ŋai uku bworerme juh ŋembep tinge ŋupe ŋaiye tinge bepsaime yip, lakai yukur tinge bepsaime yip. Yip pa ŋoiheryembe tuꞌe leꞌe, yip yarp miyeꞌ wah pakaiye tikin Krais. Pe ŋoihmbwaip yip ka hriphrip ŋaiye pa junde ŋasande tikin Got. 
EPH.6.7	Ŋupe ŋaiye yip pa yende wah pe, ŋoihmbwaip yip ka hriphrip. Yip yende wah me Lahmborenge ilyeh. Yukur yip yende wah me lenge miyeꞌ. 
EPH.6.8	Yip pa ŋoiheryembe tuꞌe leꞌe, Lahmborenge se ka angange yitini el lenge mitiŋ lalme ŋaiye yende wah kin bworerme, ŋaiye kin miyeꞌ wah pakaiye, lakai kin miyeꞌ ŋaiye narp hlaininge.
EPH.6.10	Leꞌe wusyep yuwo ŋam taꞌe leꞌe. Yip pa ŋoiheryembe bongol embere tikin Lahmborenge pe, pa jin bongole tongorꞌ yil kin. 
EPH.6.11	Yip pa lalme tunuh me hihyilih lalme tikin yarmbe ŋaiye Got si yal yip. Pa yende tuꞌe luku no, pa se jin bongole yengelyembe wih minjau tikin Satan. 
EPH.6.12	Ŋoiheryembe bworerme. Poi yukur marmbe motop lenge miyeꞌ tuweinge. Kom poi marmbe motop lenge yipihinge pupwa ŋaiye bongol sekete, topoꞌe lenge miyeꞌ ondoh tikin yipihinge pupwa, topoꞌe ŋaiꞌe ŋaiꞌe syeꞌ ŋaiye tikin bongol sekete ŋaiye bepteme kekep ŋaiye tikin yepelmbe. Topoꞌe poi marmbe motop lenge yipihinge pupwa syeꞌ ŋaiye yarp yal yanah hlaꞌ. 
EPH.6.13	Taꞌe luku pe, tukwini pa tunuh me hihyilih lalme tikin yarmbe ŋaiye Got si yal yip. O ŋup pupwa ŋaiye ka ot pe, yip tatame ŋaiye pa jin bongole yurmbe yotop miyeꞌ pupwa. Topoꞌe ŋupe ŋaiye yarmbe luku ka miꞌe pe, yip teter se pa jin bongol yenge yil.
EPH.6.14	Ŋaiye pa jin bongole pe, pa terŋeme wusyep bwore mise yil mondom yip tuꞌe mwah ŋap yip. Kut pa juh ŋoihmbwaip bwore bwarme tuꞌe temhroŋ kapa ŋaiye ka aparaꞌe hehernge yip. 
EPH.6.15	Kut yip pa yende miꞌmiꞌ ŋaiye pa yila yininge yalaŋatme wusyep bwore mise tikin Got ŋaiye ka ende lenge miyeꞌ tuweinge lalme ka ŋoihmbwaip ilyeh. Pe luku ka tuꞌe ŋaiye yip jah ŋihip hiꞌ. 
EPH.6.16	Nye nyermbe ŋoihmbwaip yip ka teŋei bongol me Lahmborenge tuꞌe ŋaiye yip yosop wihmbwah. Pa yende tuꞌe luku pe, yip tatame pa tupwaihme sen ŋombor nihe tikin miyeꞌ pupwa Satan ŋaiye kesere nat. 
EPH.6.17	Topoꞌe pa ŋoiheryembe yil ŋaiye Got si nambaꞌe yip miꞌe pe, ŋoihmbwaip yip ŋaiye teŋeime Got ka si tuꞌe ŋaiye yip taŋar galaꞌ kapa. Kut pa yambaꞌe wusyep tikin Got tuꞌe ŋaiye yip toworme ŋim ŋombor sokoloh tikin Yohe Yirise.
EPH.6.18	O bongol tikin Yohe Yirise ŋaiye ka ungwisme yip pe, pa yininge wusyep topoꞌe Got yisilihme kin ŋaiye ka ungwisme yip. Yip pa jin bongole ŋaiye yisilih yisilihme Got ŋaiye ka ungwisme yip. Topoꞌe yip yukur pa yambaꞌe yohe, na pakai. Pa yisilihme Got ŋaiye ka ungwisme lenge miyeꞌ tuweinge lalme kitikin. 
EPH.6.19	Topoꞌe pa yininge wusyep yisilihme Got ŋaiye ka pule wusyep ŋupe ŋaiye ŋam mende miꞌmiꞌ ŋaiye ma mininge wusyep. Pe ŋam tatame ŋaiye ma gwin bongole mininge malaŋatme wusyep bwore mise ŋaiye ki sai tase luku mil halhale. 
EPH.6.20	Got kin nember ŋam nal ŋaiye ma mininge malaŋatme wusyep bwore mise leꞌe. Tehei kin uku ti, leꞌe ŋam marp mwahupwaiꞌe. Pa yininge wusyep yisilihme Got ŋaiye ka ungwisme ŋam no, ma mininge malaŋatme wusyep kin mut loluwe mil lenge miyeꞌ tuweinge.
EPH.6.22	Leꞌe tehei ŋaiye ŋam member kin mat no, pa sisyeme na poi marp taꞌe lai, topoꞌe ka ende bongolme ŋoihmbwaip yip.
EPH.6.23	Yai Got hindi Lahmborenge Jisas Krais ka yende ŋoihmbwaip yip lenge toꞌ yuwon ka si ŋumwaiye. Topoꞌe tinge tatame ŋaiye ka yende ŋoihmbwaip yip ka teŋei bongole, topoꞌe pa yende niharar lenge mitiŋ. 
EPH.6.24	Got kin ka ŋoih miꞌmiꞌ me lahmende miyeꞌ tuweinge ŋaiye yukur yasme ŋoihmbwaip ŋaiye yende nihararme Lahmborenge poi Jisas Krais.
PHP.1.2	Ŋoih miꞌmiꞌ topoꞌe ŋoihmbwaip ŋumwaiye tikin Yai Got poi topoꞌe Lahmborenge Jisas Krais sai topoꞌme yip.
PHP.1.3	Ŋupe ŋaiye ŋam ŋoiheryembe yip pe, ŋam manange wusyep risukwarme Got. 
PHP.1.4	Taꞌe luku pe, nye nyermbe ŋam hriphrip pe, ŋam manange wusyep misilihme Got ŋaiye ka ungwisme yip. 
PHP.1.5	Ŋam hriphrip me yip ŋembere sekete. Detale, yip wah ilyeh ŋam pe, yip yungwisme ŋam ŋendeheiyeh ŋupe ŋaiye ŋam manange malaŋatme wusyep bwore mise tikin Krais malme yip nate tatame tukwini. 
PHP.1.6	Got kin ŋende wah bwore nato yip. Taꞌe luku pe, ŋam si sisyeme ŋaiye kin ka ende wah uku el tutume ŋaiye Jisas Krais ka plihe ot pe, ka miꞌe ko. 
PHP.1.7	Yip lalme yotop ŋam yarp ya yoto ŋoihginir tikin Got, topoꞌe yip yungwisme ŋam tukwini ŋupe ŋaiye ŋam marp mwahupwaiꞌe, topoꞌe somohonme ŋupe ŋaiye ŋam marp ma tas wicherꞌ no, ŋam manange malaŋatme topoꞌe mere lem tatme wusyep mise tikin Got. Taꞌe luku pe, ki bwore ŋaiye ŋoihmbwaip ŋam kin tahaiꞌ me yip supule. 
PHP.1.8	Got kin sisyeme ŋaiye ŋam masande ma metekeꞌ yip. Ŋam mende nihararme yip lalme ŋahilyeh taꞌe Krais Jisas ŋaiye ŋende nihararme yip. 
PHP.1.9	Leꞌe ŋisilih ŋam nalme Got ŋaiye ka ungwisme ŋoihmbwaip yip ŋaiye pa yende nihararme lenge mitiŋ pe, ka si ŋembere sekete e oto ŋoihmbwaip yip. Pe yip pa yambaꞌe sande tekeꞌe, topoꞌe pa sisyeme yaŋah ŋaiye bwore bwarme. 
PHP.1.10	Taꞌe luku pe, pa se yetekeꞌe yoworme ŋaimune ŋaiye bwore miꞌ supule topoꞌe pupwa. Pe ŋoihmbwaip yip ka bwore bwarme no, yip pa bwore miꞌ supule pe, ka si e tutume ŋupe ŋaiye Krais ka ot. 
PHP.1.11	Taꞌe luku pe, Krais ka ungwisme yip ŋaiye pa yende ŋaiꞌe ŋaiꞌe bwore bwore yaŋaꞌe naŋ embere topoꞌe yahraꞌe naŋ tikin Got.
PHP.1.12	Lenge toꞌ tatai ŋam, ŋam masande ŋaiye yip pa sisyeme tuꞌe leꞌe, mane luku ŋaiye natme ŋam pe, yukur kin nupwaiꞌe wusyep mise, pakai. Kin nungwisme ŋaiye ka eŋelꞌe wusyep mise tikin Lahmborenge enge el. 
PHP.1.13	Lenge kokorohtup titinge Rom, topoꞌe lenge mitiŋ lalme tinge sisyeme tehei ŋaiye ŋam marp mwahupwaiꞌe. Detale, ŋam manange malaŋatme wusyep bwore mise tikin Krais. 
PHP.1.14	Lenge Kristen miyeꞌ tuweinge tinge ŋoiheryembe nange ŋam marp mwahupwaiꞌe pe, ki ŋende bongolme ŋoihmbwaip tinge ŋaiye teŋeime Krais pe, tinge yukur hiꞌjarnge ŋaiye ka yalaŋatme wusyep mise tikin Krais.
PHP.1.15	Mise, lenge mitiŋ syeꞌ yalaŋatme wusyep tikin Krais. Detale, tinge yetekeꞌe lenge miyeꞌ syeꞌ ŋaiye yurume ŋam pe, tinge ŋoihmbwaip nihme ŋam, topoꞌe tinge ŋoihmbwaip wondohe. Kut syeꞌ pe, tinge yalaŋatme wusyep bwore tikin Krais jande ŋoihmbwaip bwore. 
PHP.1.16	Tinge yende nihararme ŋam pe, tinge yalaŋatme wusyep, topoꞌe tinge sisyeme nange Got si pwale ŋam wah ŋaiye ma gwin bongole mere lem mende bongolme wusyep mise kin uku. 
PHP.1.17	Kom lenge miyeꞌ syeꞌ yalaŋatme wusyep tikin Krais, nange ka yambaꞌe naŋ embere. Pe tinge de ka yeŋelꞌe mande syeꞌ yi yunuh hlaꞌ ŋupe ŋaiye ŋam marp mwahupwaiꞌe. 
PHP.1.18	Kom ŋam yukur gwonose ŋaiye tinge yende hwap me ŋam. Mitiŋ syeꞌ yalaŋatme wusyep ŋaiye yaŋaꞌe naŋ embere yalme Krais, kut mitiŋ syeꞌ yalaŋatme wusyep ŋaiye yahraꞌe naŋ tititinge. Ŋai embere kin ŋaiye ŋam masande pe, ka yalaŋatme wusyep mise tikin Krais.
PHP.1.19	Pe ŋam ma hriphrip. Yip lalme yisilihme Got ŋaiye ka ungwisme ŋam pe, yipihinge tikin Jisas Krais nungwisme ŋam. Taꞌe luku pe, ŋam sisyeme nange ma musme mwahupwaiꞌe mi tus pe, luku ka ende bongolme yipihinge ŋam ŋaiye ma murp bwore. 
PHP.1.20	Ŋoihmbwaip ŋembere ŋam pe, ŋam gwarnge ŋaiye ma mende ŋainde pupwa no, ma mambaꞌe hiꞌe. Ma gwin bongole mende ŋaiꞌe ŋaiꞌe bwore maŋaꞌe naŋ embere milme Krais taꞌe ŋaiye somohon ŋam mende. Ŋam de ma mende ŋaiꞌe ŋaiꞌe bwore luku milme Krais no, ma murp, lakai ma mule. 
PHP.1.21	Ŋaiye ŋoiheryembe ŋam pe, ŋaiye teter ma murp bepmune pe, ŋam de ma murp topoꞌe Krais. O ŋaiye ma mule pe, ŋam de ma mambaꞌe ŋaiꞌe ŋaiꞌe bwore bwore ka engelyembe laip eꞌe ŋaiye tukwini ŋam marp. 
PHP.1.22	Ŋaiye teter ma murp laip pe, ŋam ma mende wah me Krais ŋaiye ka ungwisme lenge miyeꞌ tuweinge wula wula. Kom ma gunde yaŋah mune? 
PHP.1.23	Ŋam ŋoiheryembe hoi hoi pe, ŋam de ma musme yaŋah eꞌe ŋaiye tukwini ŋam marp, kut ma mil murp topoꞌe Krais. Luku ka bwore supule. 
PHP.1.24	Kom ki bwore ŋaiye ma murp laip no, ma mende bongolme bilip yip. 
PHP.1.25	Ŋam si sisyeme ŋai uku pe, ŋam ŋoiheryembe ŋaiye se ma murp motop yip. Ma mungwisme yip ŋaiye ŋoihmbwaip yip ka teŋei bongol me Krais no, pa yurp hriphrip yi yoto kin. 
PHP.1.26	Ŋupe ŋaiye ma muta metekeꞌ yip pe, se pa hriphrip me ŋam pe, pa yahraꞌe naŋ tikin Krais Jisas.
PHP.1.27	Ŋoiheryembe bworerme ŋupe ŋaiye pa yurp junde yaŋah ŋaiye yaŋaꞌe naŋ embere yilme wusyep mise tikin Krais. Ŋaiye ma mut, lakai yukur ma mut pe, ŋam masande ŋaiye pa jin bongole yende ŋaiꞌe ŋaiꞌe bwore bwore topoꞌe ŋoihmbwaip ilyeh. Topoꞌe yip pa jin burumbur yurmbe yende bongol ŋaiye ŋoihmbwaip lenge miyeꞌ tuweinge ka teŋeime wusyep mise. 
PHP.1.28	Topoꞌe yip yukur pa hiꞌjirnge me lahmende ŋaiye ka yende wachaihme yip. Pa jin bongole nye nyermbe no, luku ka asamb lenge nange tinge ka talai, kut yip pa yohe. Detale, Got kin nungwisme yip ŋaiye pa yurp laip nye nyermbe. 
PHP.1.29	Got kin ŋende miꞌmiꞌ me yip ŋaiye ŋoihmbwaip yip teŋeime Krais no, yip yambaꞌe nihe syohme Krais. 
PHP.1.30	Taꞌe luku pe, tukwini poi lalme marp ma moto yarmbe taꞌe ŋaiye somohon yip lalme yetekeꞌe ŋam ilyeh marmbe. Yip sisyeme nange ŋam teter marp ma moto bumbe me marmbe.
PHP.2.1	Krais si ŋende bongolme yip, topoꞌe kin si ŋende nihararme yip, topoꞌe yip yikirh mane lenge mitiŋ syeꞌ. Yip lalme jahilyeh yarp yoto Yohe Yirise. Topoꞌe Krais ŋoihginirme yip. 
PHP.2.2	Taꞌe luku pe, ŋam misilih yip ŋaiye pa lalme ŋoihmbwaip ilyeh, topoꞌe pa junde yaŋah ŋaiye yende niharar lenge mitiŋ, topoꞌe yip pa ŋoiheryembe ilyeh. Ŋaiye pa yende tuꞌe luku pe, ka ende ŋam ma hriphrip ŋembere. 
PHP.2.3	Ŋupe ŋaiye pa yende ŋaiꞌe ŋaiꞌe pe, yukur pa ŋoiheryembe yip tip, topoꞌe yahraꞌe naŋ yip tip, na pakai. Pa syumbe yurp ŋumwaiye yi yoto tuwihe yahraꞌe naŋ lenge mitiŋ. 
PHP.2.4	Prepwan ŋaiye pa ŋoiheryembe laip yiptip ilyehme. Kut ŋoiheryembe laip lenge mitiŋ topoꞌe.
PHP.2.5	Ŋoihmbwaip yip ka ŋahilyeh tuꞌe Jisas Krais.
PHP.2.6	Krais kin ŋahilyeh taꞌe Got.
PHP.2.6	Kom kin yukur ŋututus lenge ŋaiye ka yaŋaꞌe naŋ embere
PHP.2.6	yilme kin ŋahilyeh tuꞌe Got ŋaiye nambaꞌe.
PHP.2.7	Kut kin nasme ŋaiꞌe ŋaiꞌe bwore bwore luku pe,
PHP.2.7	kin nate gah taꞌe ŋaiye miyeꞌ wah pakaiye,
PHP.2.7	topoꞌe ŋahilyeh taꞌe ŋaiye miyeꞌ kekep.
PHP.2.8	Ki tale kitikin narp ŋumwaiye ŋasande wusyep Got
PHP.2.8	ŋaiye ka ole tuꞌe ŋaiye miyeꞌ endei nule nal loutungwarmbe.
PHP.2.9	Taꞌe luku pe, Got ŋahraꞌe kin nenge nanah luh ŋaiye nanah hlaꞌ pe,
PHP.2.9	kin naŋaꞌe naŋ embere nanah hlaꞌ ŋaiye taharꞌe naŋ lalme.
PHP.2.10	ŋaiye yarp ya yanah moihlaꞌ, gah kekep,
PHP.2.10	topoꞌe ŋaiye yarp moi lenge miyeꞌ tuweinge
PHP.2.10	ŋaiye si yule ka yasarꞌe ŋimbep me kin.
PHP.2.11	Mut lalme tinge ka yahraꞌe yininge nange
PHP.2.11	Jisas Krais kin Lahmborenge,
PHP.2.11	topoꞌe tinge ka yaŋaꞌe naŋ embere yilme Yai Got.
PHP.2.12	Taꞌe luku pe, lenge ŋemei ŋam, ŋahilyeh ŋaiye nye nyermbe yip jande wusyep ŋam ŋaiye ŋam marp motop yip pe, ki bwore ŋaiye tukwini pa junde wusyep ŋam, ŋupe ŋaiye ŋam marp wohme yip. Tule yip tip yurp tuwihme Got pe, pa yisyunde wusyep Got. Yip pa ŋoiheryembe bworerme, topoꞌe pa yende wah nihe ŋaiye pa yambaꞌe laip bwore ŋaiye pa yurp nye nyermbe. 
PHP.2.13	Hei, Got ŋende wah nato ŋoihmbwaip meleꞌe yip pe, kin ŋahraꞌe ŋoihmbwaip yip, ŋaiye pa yende ŋaiꞌe ŋaiꞌe junde ŋasande kin. Taꞌe luku pe, se ka yul yip bongol ŋaiye pa yende ŋai uku. 
PHP.2.14	Ŋaimune ŋaiye pa yende pe, pa syumbe yurp ŋumwaiye. Yukur pa yininge wusyep sekete, topoꞌe ŋaiye pa yonombe teketenge. 
PHP.2.15	Ŋainde pupwa yukur ka si e oto yip, pakai. Yip pa yurp talah bwore bwarme tikin Got. Pe pa yende ŋaiꞌe ŋaiꞌe bwore juh bumbe me lenge miyeꞌ tuweinge pupwa ŋaiye si ŋoihsipe ŋoiheryembe bwore. Yip pa yaŋarꞌe tuꞌe nowas ŋaiye naŋarꞌe nalꞌe nalꞌe kekep ŋaiye yepelmbe sekete. 
