GEN.1.1	IN die 
HEB.12.29	Want onse 
HEB.13.2	Vergeet die gasvryheid nie, want daardeur het 
HEB.13.5	Julle gedrag moet vry van geldgierigheid wees. 
HEB.13.6	Daarom kan ons met alle vrymoedigheid sê: 
HEB.13.7	Gedenk julle voorgangers wat die woord van God aan julle verkondig het; aanskou die uiteinde van hulle 
HEB.13.8	Jesus Christus is 
HEB.13.9	Moenie 
HEB.13.10	Ons het 'n altaar waarvan die wat die tabernakel bedien, geen reg het om te eet nie;
HEB.13.11	want 
HEB.13.12	Daarom het Jesus ook, 
HEB.13.13	Laat ons dan uitgaan na Hom toe buitekant die laer en 
HEB.13.14	Want 
HEB.13.15	Laat 
HEB.13.19	Des te meer vermaan ek julle om dit te doen, sodat ek gouer aan julle teruggegee kan word.
HEB.13.20	MAG 
HEB.13.22	En ek vermaan julle, broeders, verdra die woord van vermaning, want ek het ook maar kort aan julle geskrywe.
HEB.13.23	Julle moet weet dat 
HEB.13.24	Groet al julle 
HEB.13.25	Die genade sy met julle almal! Amen.
JAS.1.2	AG dit louter vreugde, my broeders, wanneer julle in allerhande versoekinge val,
JAS.1.3	omdat julle weet 
JAS.1.4	Maar die lydsaamheid moet tot volle verwerkliking kom, sodat julle 
JAS.1.5	En as iemand van julle wysheid kortkom, 
JAS.1.6	Maar 
JAS.1.7	Want dié mens moenie dink dat hy iets van die Here sal ontvang nie —
JAS.1.9	Maar laat die broeder wat gering is, 
JAS.1.10	en die ryke 
JAS.1.11	Want die son gaan op met sy hitte en 
JAS.1.13	Laat niemand, as hy in versoeking kom, sê: Ek word deur God versoek nie. Want God kan deur die kwaad nie versoek word nie, en self versoek Hy niemand nie.
JAS.1.14	Maar elkeen word versoek as hy deur 
JAS.1.15	Daarna, 
JAS.1.16	Moenie dwaal nie, my geliefde broeders.
JAS.1.18	Volgens sy wil 
JAS.1.19	SO dan, my geliefde broeders, elke mens moet 
JAS.1.20	Want die toorn van 'n man bewerk nie die geregtigheid voor God nie.
JAS.1.21	Daarom, 
JAS.1.22	En 
JAS.1.23	Want 
JAS.1.24	want hy sien homself en gaan weg en vergeet dadelik hoe hy gelyk het.
JAS.1.25	Maar hy wat diep insien in die volmaakte 
JAS.1.26	As iemand onder julle meen dat hy godsdienstig is en 
JAS.1.27	Reine en onbesmette godsdiens voor 
JAS.2.1	MY broeders, laat julle geloof in onse Here Jesus Christus, 
JAS.2.2	Want as daar in julle vergadering 'n man inkom met goue ringe aan die vingers, met 'n pragtige kleed aan, en daar kom ook 'n arm man in met vuil klere aan;
JAS.2.3	en as julle opsien na hom wat die pragtige kleed dra, en vir hom sê: Gaan u op hierdie goeie plek sit, en vir die arme sê julle: Gaan jy daar staan of hier onder my voetbank sit —
JAS.2.4	het julle dan nie by julleself onderskeid gemaak en regters met verkeerde oorlegginge geword nie?
JAS.2.5	Luister, my geliefde broeders — het God nie 
JAS.2.6	Maar julle het die 
JAS.2.7	Is dit nie hulle 
JAS.2.8	As julle ewenwel 
JAS.2.9	Maar as julle partydig is, doen julle sonde en word deur die wet as oortreders bestraf.
JAS.2.10	Want wie die hele wet onderhou, maar in een opsig struikel, 
JAS.2.11	Want Hy wat gesê het: 
JAS.2.12	Julle moet so spreek en so doen soos diegene wat deur 
JAS.2.13	Want 
JAS.2.14	WAT baat dit, my broeders, as iemand sê dat hy die geloof het, maar hy het nie die werke nie? Dié geloof kan hom tog nie red nie?
JAS.2.15	As daar nou 'n broeder of suster naak is en aan die daaglikse voedsel gebrek het,
JAS.2.16	en 
JAS.2.17	Net so is ook die geloof, as dit geen werke het nie, in sigself dood.
JAS.2.18	Maar iemand sal sê: Jy het die geloof en ek die werke. Toon my jou geloof uit jou werke, en ek sal jou 
JAS.2.20	Maar wil jy weet, o nietige mens, dat die geloof 
JAS.2.21	Is Abraham, ons vader, nie uit die werke geregverdig 
JAS.2.22	Sien jy 
JAS.2.23	En 
JAS.2.24	Sien julle dan nou dat die mens geregverdig word uit die werke en nie alleen uit die geloof nie?
JAS.2.25	En is 
JAS.2.26	Want soos die liggaam sonder gees dood is, so is ook die geloof sonder die werke dood.
JAS.3.2	Want ons almal struikel dikwels. 
JAS.3.3	Kyk, ons sit stange in die perde se bekke, sodat hulle ons gehoorsaam kan wees, en ons stuur hulle hele liggaam 
JAS.3.4	Kyk, ook die skepe, alhoewel hulle so groot is en deur hewige winde voortgedryf word, word gestuur deur 'n baie klein roer net waarheen die stuurman wil.
JAS.3.5	Net so is die tong ook 'n klein lid en 
JAS.3.6	Die 
JAS.3.7	Want elke soort natuur van wilde diere en voëls en kruipende sowel as seediere word getem en is getem deur die menslike natuur.
JAS.3.8	Maar die tong kan geen mens tem nie; dit is 'n onbedwingbare kwaad, 
JAS.3.9	Daarmee loof ons God en die Vader, en daarmee vervloek ons die mense 
JAS.3.10	Uit dieselfde mond kom seën en vervloeking. Dit, my broeders, behoort nie so te wees nie.
JAS.3.11	'n Fontein laat tog nie uit dieselfde oog vars en bitter 
JAS.3.12	'n Vyeboom, my broeders, kan tog nie olywe voortbring, of 'n wingerdstok vye nie? So kan geen fontein brak en vars water voortbring nie.
JAS.3.13	WIE is wys en verstandig onder julle? Laat hom 
JAS.3.14	Maar as julle bittere afguns en selfsug in julle hart het, moenie roem en lieg teen die waarheid nie.
JAS.3.15	Dít is nie die wysheid wat 
JAS.3.16	want waar afguns en selfsug is, daar is wanorde en allerhande gemene dade.
JAS.3.17	Maar die wysheid 
JAS.3.18	En 
JAS.4.1	WAARVANDAAN kom oorloë en vegterye onder julle? Kom hulle nie hiervandaan, van julle welluste wat in julle lede 
JAS.4.2	Julle begeer en julle het nie, julle 
JAS.4.3	Julle bid en julle ontvang nie, 
JAS.4.5	Of meen julle dat die Skrif tevergeefs sê: 
JAS.4.6	Maar Hy gee groter genade; daarom sê Hy: 
JAS.4.7	Onderwerp julle dan aan God; 
JAS.4.8	Nader tot God, en Hy sal tot julle nader. Reinig die hande, julle sondaars, en 
JAS.4.9	Weeklaag, treur en ween. Laat julle gelag in treurigheid verander word en julle blydskap in bedruktheid.
JAS.4.11	Broeders, 
JAS.4.12	Een is die Wetgewer, Hy wat mag het om te red en 
JAS.4.14	julle wat nie 
JAS.4.15	In plaas dat julle sê: As die Here wil en ons lewe, dan sal ons dit of dat doen.
JAS.4.16	Maar nou roem julle in jul grootpratery. 
JAS.5.3	Julle goud en silwer is verroes, en hulle roes sal tot 'n getuienis teen julle wees en sal soos 'n vuur julle vlees verteer. 
JAS.5.4	Kyk, 
JAS.5.5	Julle het op die aarde 'n weelderige en losbandige lewe gelei; julle het jul harte vet gevoer soos op 
JAS.5.7	WEES dan geduldig, broeders, 
JAS.5.8	Julle moet ook geduldig wees; 
JAS.5.9	Moenie teen mekaar sug nie, broeders, sodat julle nie veroordeel word nie. Kyk, die 
JAS.5.10	Neem as voorbeeld van lyding, my broeders, en van geduld 
JAS.5.11	Kyk, 
JAS.5.12	Maar bo alles, my broeders, 
JAS.5.13	Is daar iemand onder julle wat ly? Laat hom bid. Is iemand opgeruimd? 
JAS.5.14	Is daar iemand siek onder julle? Laat hom 
JAS.5.15	En die gebed van die geloof sal die kranke red, en die Here sal hom oprig. Selfs 
JAS.5.16	Bely mekaar julle misdade en bid vir mekaar, sodat julle gesond kan word. 
JAS.5.17	Elía was 'n mens net soos ons, en 
JAS.5.18	en 
JAS.5.19	Broeders, as een onder julle van die waarheid afgedwaal het en 
JAS.5.20	laat hy weet dat die een wat 'n sondaar van sy dwaalweg bekeer, 'n siel uit die dood sal red en 
1PE.1.1	PETRUS, 'n apostel van Jesus Christus, aan die vreemdelinge van die 
1PE.1.4	sodat ons 'n onverganklike en onbesmette en onverwelklike erfenis kan verkry, wat 
1PE.1.5	wat 
1PE.1.6	Daarin verheug julle jul, al word julle nou — as dit nodig is — 
1PE.1.7	sodat 
1PE.1.8	vir wie julle, al het julle Hom nie gesien nie, tog liefhet; in wie julle, 
1PE.1.10	Aangaande hierdie saligheid het 
1PE.1.11	en hulle het nagespeur op watter of hoedanige tyd 
1PE.1.12	Aan hulle is geopenbaar dat hulle nie vir hulleself nie, maar vir ons dié dinge bedien het wat julle nou aangekondig is deur dié wat die evangelie aan julle verkondig het in 
1PE.1.13	DAAROM, 
1PE.1.14	Soos gehoorsame kinders 
1PE.1.15	Maar 
1PE.1.16	omdat daar geskrywe is: 
1PE.1.17	En as julle Hom as Vader aanroep wat 
1PE.1.18	omdat julle weet dat julle nie deur 
1PE.1.19	maar 
1PE.1.21	julle wat deur Hom glo in God 
1PE.1.22	As julle in gehoorsaamheid aan die waarheid 
1PE.1.24	Want 
1PE.2.2	en verlang sterk soos 
1PE.2.3	as julle ten minste 
1PE.2.4	Kom na Hom toe, die lewende steen wat 
1PE.2.5	en laat julle ook soos lewende stene opbou, tot 
1PE.2.6	Daarom staan dit ook in die Skrif: 
1PE.2.7	Vir julle dan wat glo, is Hy kosbaar; maar vir die ongelowiges 
1PE.2.9	Maar julle is 
1PE.2.10	julle 
1PE.2.11	GELIEFDES, ek vermaan julle as bywoners en vreemdelinge om julle te onthou van vleeslike begeertes 
1PE.2.12	en 
1PE.2.14	of die goewerneurs as sy gesante, 
1PE.2.15	Want so is 
1PE.2.17	Julle moet almal eer, die broederskap liefhê, God vrees, die koning eer.
1PE.2.18	DIENSKNEGTE, 
1PE.2.19	Want dit is genade 
1PE.2.20	Want watter roem is daar as julle verdra wanneer julle sonde doen en geslaan word? 
1PE.2.21	Want 
1PE.2.25	Want 
1PE.3.1	NET so 
1PE.3.2	as hulle jul reine, godvresende 
1PE.3.3	Julle versiering moet nie uiterlik wees nie: 
1PE.3.4	maar 
1PE.3.5	Want so het vroeër ook die heilige vroue wat op God gehoop het, hulleself versier, en 
1PE.3.6	soos Sara gehoorsaam was aan Abraham en 
1PE.3.7	Net so moet 
1PE.3.8	EN eindelik, wees almal 
1PE.3.10	Want 
1PE.3.11	Hy moet afwyk van wat verkeerd is, en doen wat goed is; hy moet vrede soek en dit najaag.
1PE.3.12	Want die oë van die Here is op die regverdiges en sy ore tot hulle gebed, maar die aangesig van die Here is teen die kwaaddoeners.
1PE.3.13	En wie is dit wat julle kwaad sal aandoen as julle navolgers is van die goeie?
1PE.3.14	Maar 
1PE.3.15	Maar 
1PE.3.16	met 
1PE.3.17	Want dit is beter, as die wil van God dit eis, dat julle ly wanneer julle goed doen as wanneer julle kwaad doen.
1PE.3.18	Want Christus het ook 
1PE.3.19	in wie Hy ook heengegaan en gepreek het vir 
1PE.3.20	wat eertyds ongehoorsaam was 
1PE.3.21	waarvan 
1PE.3.22	wat heengegaan het na die hemel en aan die regterhand van God is, terwyl engele en 
1PE.4.3	Want dit is genoeg dat ons die afgelope lewenstyd 
1PE.4.4	Daarom vind hulle dit vreemd as julle nie saam loop in dieselfde uitgieting van losbandigheid nie, 
1PE.4.5	Hulle sal rekenskap gee aan Hom wat gereed staan 
1PE.4.6	Want daarom is ook 
1PE.4.7	En 
1PE.4.8	Maar bo alles 
1PE.4.11	As iemand spreek, laat dit wees 
1PE.4.12	Geliefdes, verbaas julle nie oor 
1PE.4.13	maar namate julle 
1PE.4.14	As julle beledig word 
1PE.4.15	Want niemand van julle moet ly as moordenaar of dief of kwaaddoener of as 
1PE.4.16	Maar wanneer iemand as 
1PE.4.17	Want die tyd is daar dat die oordeel moet begin by 
1PE.4.18	En 
1PE.4.19	So laat dan ook die wat volgens 
1PE.5.3	ook nie as heersers oor 
1PE.5.4	En wanneer 
1PE.5.5	Net so moet julle, jongeres, aan 
1PE.5.8	Wees nugter en waaksaam, want julle teëstander, 
1PE.5.9	Hom moet julle teëstaan, standvastig in die geloof, omdat julle weet dat 
1PE.5.10	EN mag die God van alle genade self, 
1PE.5.12	Deur 
1PE.5.13	Die mede-uitverkorene in Babilon en 
2PE.1.1	SÍMEON Petrus, 
2PE.1.3	IMMERS, sy goddelike krag het ons alles geskenk wat tot die lewe en 
2PE.1.4	waardeur Hy ons die grootste en kosbare beloftes geskenk het, sodat julle daardeur 
2PE.1.5	En juis daarom ook moet julle met aanwending van alle ywer by julle geloof voeg die deug, en by die deug 
2PE.1.6	en by die kennis 
2PE.1.7	en by die godsvrug 
2PE.1.8	Want as hierdie dinge by julle aanwesig is en toeneem, dan laat dit julle nie ledig of onvrugbaar tot die kennis van onse Here Jesus Christus nie;
2PE.1.9	want hy by wie hierdie dinge nie aanwesig is nie, 
2PE.1.10	Daarom, broeders, moet julle jul des te meer beywer om julle 
2PE.1.11	Want so sal ryklik aan julle verleen word die ingang 
2PE.1.12	Daarom sal ek nie nalaat om julle altyd hieraan te herinner nie, 
2PE.1.13	En ek beskou dit as reg, so lank as ek in 
2PE.1.14	omdat ek weet dat die aflegging van my tentwoning ophande is, 
2PE.1.15	En ek sal my beywer, dat julle ook gedurig ná my heengaan hierdie dinge in gedagtenis kan hou.
2PE.1.16	Want ons het nie kunstig verdigte 
2PE.1.17	want Hy het van God die Vader 
2PE.1.18	En hierdie stem het ons uit die hemel hoor kom toe ons saam met Hom op die heilige berg was.
2PE.1.19	En ons het die profetiese woord wat baie vas is, waarop julle tog moet ag gee soos op 
2PE.1.20	terwyl julle veral dít moet weet, dat 
2PE.1.21	want 
2PE.2.1	MAAR 
2PE.2.2	en baie sal hulle verderflikhede navolg, en om hulle ontwil sal 
2PE.2.3	en 
2PE.2.4	Want as God 
2PE.2.5	en 
2PE.2.6	en 
2PE.2.7	en 
2PE.2.8	want deur wat hy gesien en gehoor het, het dié regverdige man, wat onder hulle gewoon het, 
2PE.2.10	en veral 
2PE.2.11	terwyl 
2PE.2.12	Maar hulle sal, omdat hulle belaster wat hulle nie ken nie, 
2PE.2.13	en 
2PE.2.14	met oë vol van owerspel, wat nie ophou om te sondig nie; hulle verlok onvaste siele, hulle het 'n hart geoefen in hebsug, 
2PE.2.15	Hulle het die regte pad verlaat en verdwaal, en die weg gevolg van 
2PE.2.16	maar die bestraffing van sy eie oortreding ontvang het: 
2PE.2.17	Hulle is 
2PE.2.18	Want 
2PE.2.19	Hulle belowe 
2PE.2.20	Want as hulle, nadat hulle deur 
2PE.2.21	Want dit sou vir hulle beter wees as hulle die weg van die geregtigheid nie geken het nie, as dat hulle, nadat hulle dit leer ken het, hulle afkeer van die heilige gebod wat aan hulle oorgelewer is.
2PE.2.22	Maar oor hulle het gekom wat die ware spreekwoord sê: 
2PE.3.1	DIT is reeds die tweede brief, geliefdes, wat ek aan julle skrywe. In albei wil ek deur herinnering julle 
2PE.3.2	sodat julle die woorde kan onthou 
2PE.3.3	Dit moet julle veral weet, dat daar 
2PE.3.4	en sê: 
2PE.3.5	Want moedswillig vergeet hulle 
2PE.3.6	waardeur die toenmalige wêreld 
2PE.3.7	Maar die teenswoordige hemele en die aarde is deur dieselfde woord as 'n skat weggelê en word vir 
2PE.3.8	Maar laat hierdie een ding julle nie ontgaan nie, geliefdes, dat een dag by die Here soos duisend jaar is en 
2PE.3.10	Maar 
2PE.3.11	Terwyl al hierdie dinge dan vergaan, 
2PE.3.13	Maar ons verwag volgens sy belofte 
2PE.3.15	En ag 
2PE.3.16	net soos in al die briewe. 
1JN.1.2	en die lewe is geopenbaar, en ons het dit gesien, en 
1JN.1.3	wat ons gesien en gehoor het, verkondig ons aan julle, sodat julle ook gemeenskap met ons kan hê; en 
1JN.1.4	En ons skrywe hierdie dinge aan julle, 
1JN.1.5	EN 
1JN.1.7	Maar as ons in die lig wandel soos Hy in die lig is, dan het ons gemeenskap met mekaar; en 
1JN.1.8	AS ons sê dat ons geen sonde het nie, mislei ons onsself en 
1JN.1.10	As ons sê dat ons nie gesondig het nie, 
1JN.2.1	MY kinders, ek skryf hierdie dinge aan julle, dat julle nie moet sondig nie; en as iemand gesondig het, 
1JN.2.2	En 
1JN.2.3	EN hieraan weet ons dat ons Hom ken: as ons 
1JN.2.5	Maar elkeen wat sy woord bewaar, 
1JN.2.6	Hy wat sê dat hy in Hom 
1JN.2.7	Broeders, 
1JN.2.8	En tog skryf ek aan julle 
1JN.2.9	Hy wat sê dat hy in die lig is en sy broeder haat, is in die duisternis tot nou toe.
1JN.2.11	Maar hy wat sy broeder haat, is in die duisternis en wandel in die duisternis en weet nie waarheen hy gaan nie, omdat die duisternis sy oë verblind het.
1JN.2.12	Ek skryf aan julle, 
1JN.2.13	Ek skryf aan julle, vaders, omdat julle Hom ken 
1JN.2.14	Ek het aan julle geskrywe, vaders, omdat julle Hom ken wat van die begin af is. Ek het aan julle geskrywe, jongmanne, omdat julle sterk is en die woord van God in julle bly en julle die Bose oorwin het.
1JN.2.16	Want alles wat in die wêreld is — die begeerlikheid van die vlees en die begeerlikheid van die oë en 
1JN.2.17	En 
1JN.2.18	KINDERS, 
1JN.2.20	En julle het 
1JN.2.21	Ek het nie aan julle geskrywe omdat julle die waarheid nie ken nie, maar omdat 
1JN.2.22	Wie is die leuenaar, 
1JN.2.24	Wat julle dan van die begin af gehoor het, laat dit in julle bly. As in julle bly wat julle van die begin af gehoor het, dan 
1JN.2.25	En dit is die belofte wat Hy ons beloof het, 
1JN.2.26	Dit het ek aan julle geskrywe met betrekking tot die wat julle mislei.
1JN.2.27	En 
1JN.2.28	En nou, 
1JN.2.29	As julle weet dat Hy regverdig is, dan weet julle dat 
1JN.3.1	KYK 
1JN.3.2	Geliefdes, 
1JN.3.3	En elkeen wat hierdie hoop op Hom het, 
1JN.3.4	Elkeen wat die sonde doen, doen ook die wetteloosheid, want 
1JN.3.5	En julle weet 
1JN.3.6	Elkeen wat in Hom bly, sondig nie. Elkeen wat sondig, 
1JN.3.8	Hy wat die sonde doen, is uit die duiwel, want 
1JN.3.10	Hierin is die kinders van God en die kinders van die duiwel openbaar: elkeen wat die geregtigheid nie doen nie, is nie uit God nie, en hy ook wat sy broeder nie liefhet nie.
1JN.3.11	Want 
1JN.3.12	nie soos 
1JN.3.13	Verwonder julle nie, my broeders, 
1JN.3.14	Ons weet dat 
1JN.3.17	Maar 
1JN.3.18	My kinders, 
1JN.3.19	En hieraan weet ons dat ons 
1JN.3.20	want 
1JN.3.21	Geliefdes, as ons hart ons nie veroordeel nie, dan 
1JN.3.22	en 
1JN.3.23	En dit is sy gebod, 
1JN.3.24	En hy wat sy gebooie bewaar, 
1JN.4.1	GELIEFDES, 
1JN.4.2	Hieraan ken julle die Gees van God: 
1JN.4.3	en elke gees 
1JN.4.4	Julle is uit God, my kinders, en het hulle oorwin, omdat 
1JN.4.5	Hulle is uit die wêreld; daarom praat hulle uit die wêreld, en 
1JN.4.6	Ons is uit God; 
1JN.4.7	GELIEFDES, laat ons mekaar liefhê; want die liefde is uit God, en elkeen wat liefhet, is uit God gebore en ken God.
1JN.4.10	Hierin is die liefde: 
1JN.4.11	Geliefdes, as God ons so liefgehad het, 
1JN.4.13	Hieraan weet ons dat ons in Hom bly en Hy in ons, 
1JN.4.14	En 
1JN.4.16	En ons het die liefde wat God tot ons het, leer ken en geglo. 
1JN.4.17	Hierin het die liefde by ons volmaak geword, dat 
1JN.4.18	Daar is geen vrees in die liefde nie; maar 
1JN.4.21	En hierdie gebod het ons van Hom dat hy wat God liefhet, ook sy broeder moet liefhê.
1JN.5.1	ELKEEN wat glo dat 
1JN.5.2	Hieraan weet ons dat ons die kinders van God liefhet: wanneer ons God liefhet en sy gebooie bewaar.
1JN.5.3	Want 
1JN.5.4	Want alles wat uit God gebore is, 
1JN.5.5	Wie anders is dit wat die wêreld oorwin as 
1JN.5.6	Dit is Hy wat 
1JN.5.7	Want daar is drie wat getuig in die hemel: die Vader, die Woord en die Heilige Gees, en hierdie drie is een;
1JN.5.8	en daar is drie wat getuig op die aarde: die Gees en die water en die bloed, en die drie is eenstemmig.
1JN.5.10	Wie in die Seun van God glo, 
1JN.5.11	En dit is die getuienis: dat God ons 
1JN.5.14	En dit is 
1JN.5.15	En as ons weet dat Hy ons verhoor, dan weet ons dat, wat ons ook al vra, ons die bedes verkry wat ons van Hom gevra het.
1JN.5.16	As iemand sy broeder 'n sonde sien doen wat nie tot die dood is nie, moet hy bid, en 
1JN.5.18	Ons weet dat 
1JN.5.19	Ons weet dat ons uit God is en 
1JN.5.20	En ons weet dat die Seun van God gekom het en ons verstand gegee het om die 
2JN.1.2	ter wille van die waarheid wat in ons bly en by ons vir ewig sal wees —
2JN.1.4	EK was baie bly dat ek van u kinders gevind het 
2JN.1.5	En nou bid ek u, 
2JN.1.6	En 
2JN.1.7	Want 
2JN.1.8	Wees op julle hoede, 
2JN.1.9	Elkeen wat 'n oortreder is en nie bly in die leer van Christus nie, hy het God nie. Wie in die leer van Christus bly, 
2JN.1.10	As iemand na julle kom en hierdie leer nie bring nie, 
2JN.1.11	Want die een wat hom groet, 
2JN.1.13	Die kinders van u 
3JN.1.2	Geliefde, ek wens dat dit met jou in alles goed mag gaan en dat jy gesond is, soos dit met jou siel goed gaan;
3JN.1.3	want ek 
3JN.1.4	Ek het geen groter blydskap as dit nie, dat ek hoor dat my kinders in die waarheid wandel.
3JN.1.5	Geliefde, jy handel getrou in alles wat jy doen vir die 
3JN.1.6	wat van jou liefde voor die gemeente getuig het. 
3JN.1.7	Want vir sy Naam het hulle uitgegaan 
3JN.1.8	Ons behoort dan sulke mense goed te ontvang, sodat ons mede-arbeiders van die waarheid kan word.
3JN.1.9	EK het aan die gemeente geskrywe, maar Diótrefes, wat onder hulle die eerste wil wees, steur hom nie aan ons nie.
3JN.1.10	Daarom, as ek kom, sal ek hom herinner aan die werke wat hy doen 
3JN.1.11	Geliefde, 
3JN.1.12	Van Demétrius 
3JN.1.14	Maar ek hoop om jou gou te sien, en ons sal van mond tot mond spreek.
3JN.1.15	Vrede vir jou! Die vriende groet jou. Groet die vriende by die naam.
JUD.1.1	JUDAS, 
JUD.1.2	Mag barmhartigheid en 
JUD.1.3	GELIEFDES, terwyl ek alle ywer aanwend om aan julle oor ons gemeenskaplike saligheid te skrywe, het ek die noodsaaklikheid gevoel om julle deur my skrywe te vermaan 
JUD.1.4	Want 
JUD.1.5	Maar ek wil julle daaraan herinner, al weet julle dit nou eenmaal, 
JUD.1.6	En 
JUD.1.7	soos 
JUD.1.8	Tog 
JUD.1.9	Maar toe 
JUD.1.10	Maar 
JUD.1.11	Wee hulle, want hulle het die weg van 
JUD.1.12	Hulle is skandvlekke in julle liefdemaaltye, 
JUD.1.13	woeste golwe van die see wat hulle eie skandes laat opskuim, dwaalsterre 
JUD.1.14	En Henog, 
JUD.1.15	om gerig te hou oor almal en al die goddelose mense onder hulle te straf oor al hulle goddelose werke wat hulle goddelooslik gedoen het, en oor al die 
JUD.1.16	Hulle is murmureerders wat oor hul lot klae, en volgens hulle begeerlikhede wandel; en hulle mond 
JUD.1.17	MAAR 
JUD.1.18	dat hulle vir julle gesê het: In die laaste tyd 
JUD.1.19	Dit is hulle 
JUD.1.20	Maar julle, geliefdes, 
JUD.1.21	en julleself in die liefde van God bewaar, 
JUD.1.22	En 
JUD.1.23	maar ander moet julle 
JUD.1.24	Aan Hom nou wat magtig is om julle van struikeling te bewaar en 
JUD.1.25	aan 
REV.1.1	DIE 
REV.1.2	wat getuig het van 
REV.1.3	Salig is hy wat die woorde van die profesie lees, en die wat dit hoor en 
REV.1.4	JOHANNES aan 
REV.1.5	en van Jesus Christus, die getroue 
REV.1.6	en 
REV.1.7	Kyk, 
REV.1.9	EK, Johannes, julle broeder en deelgenoot in die verdrukking en in die koninkryk en lydsaamheid van Jesus Christus, was op die eiland wat Patmos genoem word, ter wille van 
REV.1.11	wat sê: 
REV.1.12	Toe draai ek my om, om te sien watter stem met my gespreek het; en toe ek my omgedraai het, sien ek 
REV.1.13	en tussen 
REV.1.14	Sy hoof en 
REV.1.15	en 
REV.1.16	En in sy regterhand het Hy sewe sterre gehou, en 'n skerp tweesnydende swaard het uit sy mond uitgegaan, en sy aangesig was soos die son wat skyn in sy krag.
REV.1.17	En 
REV.1.18	en die lewende; en Ek was dood en kyk, Ek leef tot in alle ewigheid. Amen. En Ek het 
REV.1.20	die verborgenheid 
REV.2.1	SKRYF 
REV.2.2	Ek ken jou werke en jou arbeid en jou lydsaamheid, en dat jy slegte mense nie kan verdra nie; en dat jy dié op die proef gestel het 
REV.2.3	en dat jy verdra het en lydsaamheid besit, en ter wille van my Naam gearbei en nie moeg geword het nie.
REV.2.4	Maar Ek het teen jou dat jy 
REV.2.5	Onthou dan waarvandaan jy uitgeval het, en bekeer jou en doen die eerste werke. Anders 
REV.2.6	Maar dit het jy, dat jy die werke van 
REV.2.7	Wie 'n oor het, laat hom hoor wat die Gees aan die gemeentes sê. Aan hom wat oorwin, sal Ek gee om te eet van 
REV.2.8	EN skryf aan 
REV.2.9	Ek ken jou werke en verdrukking en 
REV.2.10	Vrees vir niks wat jy sal ly nie. Kyk, die duiwel gaan sommige van julle in die gevangenis werp, sodat julle op die proef gestel kan word; en julle sal 
REV.2.11	Wie 'n oor het, laat hom hoor wat die Gees aan die gemeentes sê. Die wat oorwin, sal deur 
REV.2.12	EN skryf aan 
REV.2.13	Ek ken jou werke en die plek waar jy woon, waar die troon van die Satan is. En jy hou vas aan my Naam en het die geloof in My nie verloën nie, selfs in die dae waarin Ántipas my getroue getuie was, wat gedood is by julle waar die Satan woon.
REV.2.14	Maar Ek het enkele dinge teen jou: dat jy daar mense het wat vashou aan die leer van 
REV.2.15	So het jy ook mense wat vashou aan die leer van 
REV.2.16	Bekeer jou; anders kom Ek gou na jou toe en sal teen hulle oorlog voer met 
REV.2.17	Wie 'n oor het, laat hom hoor wat die Gees aan die gemeentes sê. Aan hom wat oorwin, sal Ek gee om te eet van 
REV.2.18	EN skryf aan 
REV.2.19	Ek ken jou werke en liefde en diens en geloof en jou lydsaamheid en jou werke, en dat die laaste meer is as die eerste.
REV.2.20	Maar Ek het enkele dinge teen jou; dat jy die vrou 
REV.2.21	En 
REV.2.22	Kyk, Ek werp haar neer op 'n siekbed, en die wat met haar owerspel bedryf, in 'n groot verdrukking, as hulle hul nie van hul werke bekeer nie.
REV.2.23	En haar kinders sal Ek sekerlik doodmaak, en al die gemeentes sal weet dat dit Ek is 
REV.2.24	En ek sê vir julle en die ander wat in Thiatíre is, almal wat hierdie leer nie het nie, en die wat die dieptes van die Satan, soos hulle dit noem, nie leer ken het nie: Ek sal 
REV.2.25	Hou maar net vas wat julle het, totdat 
REV.2.27	en 
REV.2.28	En Ek sal hom 
REV.2.29	Wie 'n oor het, laat hom hoor wat die Gees aan die gemeentes sê.
REV.3.1	EN skryf aan 
REV.3.2	Wees wakker en versterk die wat oorbly, wat op die punt staan om te sterwe, want Ek het jou werke nie volkome voor God gevind nie.
REV.3.3	Onthou dan hoe jy dit ontvang en gehoor het, en bewaar dit en bekeer jou; as jy dan nie wakker word nie, sal Ek 
REV.3.4	Maar jy het enkele 
REV.3.6	Wie 'n oor het, laat hom hoor wat die Gees aan die gemeentes sê.
REV.3.7	EN skryf aan 
REV.3.8	Ek ken jou werke. Kyk, Ek het voor jou 'n geopende deur gegee, en niemand kan dit sluit nie, want jy het min krag en jy het my woord bewaar en my Naam nie verloën nie.
REV.3.9	Kyk, Ek gee jou uit 
REV.3.10	Omdat jy die woord van my lydsaamheid bewaar het, sal Ek jou ook bewaar in die uur van beproewing wat oor die hele wêreld kom om die bewoners van die aarde op die proef te stel.
REV.3.13	Wie 'n oor het, laat hom hoor wat die Gees aan die gemeentes sê.
REV.3.14	EN skryf aan die engel van die gemeente van 
REV.3.15	Ek ken jou werke, dat jy nie koud is en ook nie warm nie. Was jy tog maar koud of warm!
REV.3.16	Maar nou, omdat jy lou is en nie koud of warm nie, sal Ek jou uit my mond spuug.
REV.3.17	Want jy sê: Ek is ryk en het verryk geword en het aan niks gebrek nie; en jy weet nie dat dit jy is wat ellendig en beklaenswaardig en arm en blind en naak is nie.
