GEN.1_1.1	I. 
2TH.2_1.10	ba oi so wamaeloengoe horõ andrõ, ba zi tetibo andrõ, soelõ wa lõ nifonahara faʼomasi zi doehoe andrõ, fangorifira menaʼõ. 
2TH.2_1.11	Ba andrõ ifaʼoheʼõ chõra Lowalangi zabõlõ wamaeloengoe, enaʼõ fadoehoe dõdõra ba waja andrõ. 
2TH.2_1.12	enaʼõ tehoekoe fefoe zi lõ fadoehoe tõdõ ba zi doehoe andrõ, si no omasi si lõ atoelõ. 
2TH.2_1.13	II. 
2TH.2_1.14	ba nikaoninia jaʼami, toeria somoeso dõdõ andrõ chõma ba wangaloei lachõmi andrõ, chõ Zoʼaja jaʼita, Jesoe Keriso. 
2TH.2_1.15	Ba miʼabeʼeʼõ ami, jaʼami ira talifoesõ, ba bõi mibõhõli gamachoita andrõ, niʼombachaʼõ chõmi, he ba daroma li, ba he ba zoera andrõ chõma. 
2TH.2_1.16	Ba jaʼia, Soʼaja jaʼita, Jesoe Keriso ba Lowalangi, Amada, si no mangomasiʼõ jaʼita, ba si no mameʼe fondrara dõdõ chõda, si lõ aetoe, awõ wanõtõna, si sõchi, ba waʼeboea dõdõ, 
2TH.2_1.17	ba jamoerara dõdõmi ba jamoeʼaʼaroʼõ ba ngawalõ mboeaboea fefoe, ba ba ngawalõ daroma li, si sõchi. 
2TH.3_1.1	I. 
2TH.3_1.2	ba enaʼõ teʼefaʼõ ndraʼaga ba niha andrõ, si lõ tõdõ, ba si lõ sõchi; lõʼõ sa dozi mamati. 
2TH.3_1.3	Ba lõʼõ sa farõi Zoʼaja, ba jaʼia zangabeʼe jaʼami, ba irorogõ ami, itimba chõmi zi lõ sõchi andrõ. 
2TH.3_1.4	Ba madõnadõna chõmi, ba chõ Zoʼaja, miʼoʼõ niw̃aʼõma chõmi, he iadaʼe, ba he dania. 
2TH.3_1.5	Ba ja Soʼaja zamatõrõ tõdõmi ba waʼomasi Lowalangi andrõ, ba ba wanaha tõdõ andrõ, chõ Keriso.
2TH.3_1.6	II. 
2TH.3_1.7	Noa sa miʼila he wisa woloʼõ chõma; lõʼõ sa nitõrõma si lõ gõna, ba chõmi andrõ; 
2TH.3_1.8	ba lõʼõ gõi nihalõma balazo, si lõ nibeʼema bõli, noa sa erege dõdõma, ba no akao ndraʼaga, wohalõw̃õ, bongi maʼõchõ, fa bõi aboe dõdõmi chõma, ha niha ami. 
2TH.3_1.9	Tenga fa lõ tola menaʼõ, ba enaʼõ mabeʼe famaedo ndraʼaga chõmi, enaʼõ miʼoʼõ chõma. 
2TH.3_1.10	Daʼõ sa gõi niw̃aʼõma chõmi, me soga chõmi; si lõ edõna mohalõw̃õ, ba bõi jamanga gõi. 
2TH.3_1.11	Noa sa marongo, so õsa ba chõmi zi lõ sõchi boeaboea, maʼifoe lõ mohalõw̃õ, molaoe fajafaja. 
2TH.3_1.12	Ba daʼõ niw̃aʼõma ba zi manõ, ba mafarooe dõdõra, ba chõ Zoʼaja, Jesoe Keriso: enaʼõ lahonogõ ira ba halõw̃õra, ba enaʼõ laʼā gõlõra, balazora. 
2TH.3_1.13	Ba jaʼami ira talifoesõ, ba bõi atage ami wolaoe si sõchi. 
2TH.3_1.14	Ba na so zi lõ moloʼõ niw̃aʼõma andrõ, ba zoera, ba bõi olifoe ami, bõi fahoewoe ami chõnia, enaʼõ aila ia. 
2TH.3_1.15	Ba bõi hoelõ zi faʼoedoe ami chõnia, ba mitegoe ia, si mane si fatalifoesõ. 
2TH.3_1.16	III. 
2TH.3_1.17	Fangowaigoe daʼe, tangagoe zanoera, tanga Waoelo andre; daʼõ dandra ba zoeragoe fefoe, si manõ wanoeragoe. 
1TI.1_1.1	I. 
1TI.1_1.2	chõ Dimoteo andrõ, si ndroehoe nononia andrõ, ba wamati. Jafaloechaʼõ waʼeboea dõdõ ba faʼahachõ dõdõ ba faʼohahaoe dõdõ, chõ Namada Lowalangi, ba chõ Keriso Jesoe, Soʼaja jaʼita. 
1TI.1_1.3	II. 
1TI.1_1.4	ba bõi laʼoʼõ gamaedola andrõ, ba fanoetoenõ ngaʼõtõ andrõ, si lõ aetoe, famobõrõ wagoeagoeasa, moroi ba wogoenania ba wamatõrõ Lowalangi banoeania andrõ, ba wamati. 
1TI.1_1.5	Ba ba daʼõ mogoena goroisa, ba wangaʼasogõ faʼomasi, soroi ba dõdõ si no ohaoehaoe, ba ba dõdõ si lõ fategoe, ba ba wamati si lõ famini; 
1TI.1_1.6	noa sa so õsa zi no mondrõi daʼõ, solaoe hoehoeo si lõ boto. 
1TI.1_1.7	No labaliʼõ samahaõ ba goroisa ira, ba lõ saboto ba dõdõra, he niw̃aʼõra, ba he nifadoehoeʼõra. 
1TI.1_1.8	Ba no taʼila, si sõchi goroisa andrõ, na atoelõ wamogoenaʼõ niha jaʼia, 
1TI.1_1.9	na no iʼila, tenga ba zatoelõ goroisa andrõ, ha ba zolalõ, ba ba zi lõ mamondrongo li, ba ba zi no mangerogõ Lowalangi, ba ba zamazõchi horõ, ba ba zi lõ ohaoehaoe, ba ba zi lõ sõchi, ba zamoenoe ama, ba ba zamoenoe ina, ba ba zangeʼe, 
1TI.1_1.10	ba ba zohorõ, ba ba zohorõni ono matoea, ba zanagõ niha, ba ba zofajafaja, ba ba zi mõi ba hõloe ba zi lõ doehoe, ba ma hadia ia mbõʼõnia, si lõ faoedoe ba wamahaõ si ndroehoe andrõ, 
1TI.1_1.11	dali doeria somoeso dõdõ andrõ, toeria lachõmi Lowalangi sohahaoe tõdõ andrõ nibeʼe ba dangagoe. 
1TI.1_1.12	III. 
1TI.1_1.13	jaʼodo andre, sanandraw̃a fõna ba solohi ba sangosiwawõi; ba no faloechado waʼahachõ dõdõ, me lõʼõ na oeʼila watahõgõ, me oelaoe daʼõ, me lõ fadoehoe dõdõgoe na. 
1TI.1_1.14	Bo no fahõna waʼeboea dõdõ Zoʼaja jaʼita andrõ, awõ wamati ba awõ waʼomasi andrõ, ba chõ Keriso Jesoe. 
1TI.1_1.17	Ba razo zi lõ aetoe andrõ, si lõ teboelõ, si lõ oroma, Lowalangi si ha samõsa andrõ, ba nifosoemange ba nisoeno, iroegi zi lõ aetoe. Jadoehoe. 
1TI.1_1.18	IV. 
1TI.1_1.19	ba enaʼõ lõ õbõhõli wamati, ba enaʼõ lõ teboelõ wa lõ sinegoe dõdõoe chõoe; noa sa so õsa zi no manibo daʼõ, ba no taja wamatira, hoelõ zaboto awo. 
1TI.1_1.20	Jaʼia chõ ndra Himenaio Alesandro, nitooeʼõgoe ba danga Zatana, enaʼõ teʼotoeʼõ ira, fa bõi saʼae manandraw̃a. 
1TI.2_1.1	I. 
1TI.2_1.2	Mifarahoegõ razo ba salaw̃a, fefoe, enaʼõ ahono ita, ba enaʼõ lõ hadia ia, enaʼõ aʼoi so woloʼõ chõ Lowalangi, awõ waʼamoadoe. 
1TI.2_1.3	Daʼõ zi sõchi, daʼõ zomasi Lowalangi, sangorifi jaʼita, 
1TI.2_1.4	somasi na ahori teʼorifi niha, na dozi lasõndra waʼaboto ba dõdõra zi doehoe. 
1TI.2_1.7	Ba nifataro jaʼo sangombacha ba sinenge — si doehoe niw̃aʼõgoe, tenga faja — samahaõ niha baero, ba wamati ba ba zi doehoe. 
1TI.2_1.8	II. 
1TI.2_1.9	Si manõ gõi ndra alawe, ndramangehao baroe soadoe, ba jafao waʼaila ba faʼamoadoe; bõi fondrandra boe ba manimani ba noecha seboea bõli, 
1TI.2_1.10	hadia zi nangea ba ndra alawe sangoemaʼõ sangataʼoefi Lowalangi ira; boeaboea si sõchi wangehaora. 
1TI.2_1.11	Jaʼahonohono ndra alawe, wamahaõ jaʼia, jaʼaʼoi so woloʼõnia li. 
1TI.2_1.12	Lõ oetehe ba ndra alawe wamahaõ niha bõʼõ, ba he famatõrõ ira matoea, jamoehonogõ ia, 
1TI.2_1.13	Ofõna sa tefazõchi Gadamo, awena Chawa. 
1TI.2_1.14	Ba tenga Adamo nifaeloengoe, ba ira alawe nifaeloengoe, isawõ goroisa. 
1TI.2_1.15	Ba niʼorifi sa ia, ba wadono, na lõ aefa chõra wamati ba faʼomasi ba fangohaoehaoe, awõ waʼamoadoe. 
1TI.3_1.1	I. 
1TI.3_1.2	Ba satoea andrõ, ba bõi mosinegoe, bõi samodomboea donga, bõi sambõ eraʼera, ha satoeatoea, si sõchi bõwõ, sameʼemeʼe gõ dome, sangila mamahaõ. 
1TI.3_1.3	Bõi samadoemadoe toeo, ba bõi si fabagobago, ha sebolo tõdõ, si lõ fagoeagoea, si lõ omasi anaʼa; 
1TI.3_1.4	sangila mangehao, wamatõrõ soroijomonia, si so ono soloʼõ linia, si no aʼoi so faʼamoadoe. — 
1TI.3_1.5	Na so zi lõ mangila mamatõrõ soroijomonia, ba he iwisa wondrorogõ banoea Lowalangi andrõ? — 
1TI.3_1.6	Bõi si bohooe moebajagõ idanõ, fa bõi fajaw̃a ia, ba fa lõ gõna ia hoekoe andrõ, chõ Gafõcha. 
1TI.3_1.7	Ba lõ tola gõi lõ sõchi doeriania ba zi so baero andrõ, fa bõi tetandraw̃aisi ia, ba fa bõi alaoe ia ba dandraw̃a Gafõcha. 
1TI.3_1.8	II. 
1TI.3_1.9	si lõ mamõhõi si no tobini andrõ, famati andrõ, ba dõdõ si lõ sinegoe. 
1TI.3_1.10	Ba nitandraigõ gõi ira oea, ba awena tola mõi ira enoni, na lõ sinegoe. 
1TI.3_1.11	Ja si manõ gõi ndra alawe: si sõchi amoeata, bõi samõbõgõ si lõ doehoe, bõi sambõ eraʼera; si lõ farõi, gofoe hadia ia. 
1TI.3_1.12	Ba enoni andrõ, ba si ha samboea donga, sangehaogõ famatõrõ onora ba soroijomora, fefoe. 
1TI.3_1.13	Lasõndra sa chõra naha si sõchi sangehaogõ fangai halõw̃õra andrõ, ba fahõna dania chõra wa lõ aiwõ, ba wamati andrõ, ba chõ Keriso Jesoe, labeʼe. 
1TI.3_1.14	III. 
1TI.3_1.15	ba enaʼõ na õʼila, he lawisa ba nomo Lowalangi andrõ, jaʼia mbanoea Lowalangi saoeri andrõ, ehomo zi doehoe andrõ ba danedanenia. 
1TI.4_1.1	I. 
1TI.4_1.2	bõrõ wamini tõdõ zolaoe faja andrõ, si no falemba tandra ba dõdõra, 
1TI.4_1.3	sanenaw̃a fangowaloe ba femanga gõ, nifazõchi Lowalangi, ba wemanga jaʼia, na fao wangandrõ saoha gõlõ, ba zamati andrõ, si no aboto ba dõdõ si doehoe. 
1TI.4_1.4	Si sõchi sa fefoe nifazõchi Lowalangi, ba lõ hadia ia nitimba, na fao wangandrõ saoha gõlõ, ba wangogoenaʼõ jaʼia; 
1TI.4_1.5	ba daroma li Lowalangi ba ba wangandrõ teʼamoniʼõ saʼae ia.
1TI.4_1.6	II. 
1TI.4_1.7	Ba bõi tehe gamaedola si lõ boto andrõ, fajafaja andrõ; 
1TI.4_1.9	Si ndroehoe daroma li andrõ, ba no si nangea tafonaha manõ. 
1TI.4_1.10	Ba daʼõ sa maʼeregeisi dõdõma, ba fasõndraga, me no madõnadõna chõ Lowalangi saoeri andrõ, sangorifi niha fefoe, ba ofõna zamati andrõ. 
1TI.4_1.11	Daʼõ w̃aʼõ chõra, ba ba daʼõ fahaõ ira.
1TI.4_1.12	III. 
1TI.4_1.13	Irege so ndraʼo, ba bõi bato wombaso soera, ba bõi bato wamarooe tõdõ ba famahaõ. 
1TI.4_1.14	Bõi ositengagõ gameʼela andrõ, si so ba dõdõoe, nibeʼe chõoe, ba wamaʼeleʼõ andrõ, me latoefa hõgõoe tanga satoea andrõ. 
1TI.4_1.15	Daʼõ tõrõtõrõ tõdõoe, daʼõ fatooetooe, enaʼõ oroma waʼatedooemõ, ba chõra fefoe. 
1TI.4_1.16	Faigifaigi he wisa ndraʼoegõ, ba he õwisa wamahaõ andrõ; bõi bõhõli daʼõ. Na õʼoʼõ daʼõ, ba õʼorifi ndraʼoegõ, awõ zamondrongo andrõ chõoe. 
1TI.5_1.1	I. 
1TI.5_1.2	ira alawe satoea, ba hoelõ na inaoe, ba ono alawe, ba hoelõ na talifoesõoe alawe, niʼonangegõ sibai. 
1TI.5_1.3	Lacha mbanoea andrõ, ba fosoemange, na si ndroehoe lacha mbanoea. 
1TI.5_1.4	Ba na so lacha mbanoea si so ono, ba ma maʼoewoe, ba ndramoefamaha ira oea, woloʼõ hoekoe Lowalangi, ba wondrorogõ soroijomora, ba ba wamasoelõni chõ ndra inara nitemara; daʼõ sa zomasi Lowalangi. 
1TI.5_1.5	Ba si ndroehoe lacha, si lõ olembata, ba no manõtõna chõ Lowalangi, ba lõ ibõhõi wangandrõ ba fangaloeloe bongi maʼṍchõ. 
1TI.5_1.6	Ba samorege femangamanga, ba ma hadia ia, ba no mate aoeri. 
1TI.5_1.7	Ba daʼõ goroisa, niʼombachaʼõoe, enaʼõ lõ sinegoe chõra. 
1TI.5_1.8	Ba na so zangositengagõ sahatõ chõnia, ba mendroea manõ na soroijomonia, ba no iʼosilõʼõgõ wamati, ba abõlõ walõsõchinia, moroi ba walõsõchi zi lõ mamati. 
1TI.5_1.9	Na latanõ ba zoera dõi lacha mbanoea, ba bõi ambõ õnõ ngafoeloe fache waʼatoea, si ha samboea donga fõna, ba si sõchi toeria, ba mboeaboea, 
1TI.5_1.10	na no iʼeʼeboea ndraono, na no ibeʼebeʼe gõ dome, na no isasai gahe niʼamoniʼõ andrõ, na no itolotolo zi tosasa, na no iʼaloei mboeaboea si sõchi, fefoe, hadia ia ngawalõ. 
1TI.5_1.11	Na lacha mbanoea sambõ faʼatoea, ba bõi tehe; na no mohocha ira sa, si faʼoedoe chõ Keriso, ba edõna ira mõi nihalõ, 
1TI.5_1.12	ba laloeʼi dahi andrõ, wa no farõi ira, ba nifaboeʼoe andrõ, si fõfõna. 
1TI.5_1.13	Ba fabõbõ ba daʼõ, wa lafamaha ira wangerongero lõ mohalõw̃õ, ba tenga ha fa lõ mohalõw̃õ, waʼoja gõi mbewe, lahalõ chõra zi tenga chõra, lalaoe hoeohoeo si lõ gõna. 
1TI.5_1.14	Andrõ omasido, na mõi nihalõ lacha mbanoea sambõ faʼatoea, na moʼono, na tobali samatõrõ soroijomora ira, ba na lõ lafobõrõ wanandraw̃aisi ba zi faʼoedoe andrõ; 
1TI.5_1.15	noa sa aheta õsa, laʼoʼõ Zatana. 
1TI.5_1.16	Na so zamati, ira alawe, si so lacha mbanoea, ba jamoerorogõ, ba bõi mõi noro dõdõ mbanoea, fa laʼila latolo zi ndroehoe lacha mbanoea.
1TI.5_1.17	II. 
1TI.5_1.18	Noa sa so ba zoera: ”Bõi fosareʼa mbawa gõrõbao samõbõrõ fache,” ba: ”No sinangea labeʼe loeo ba zohalõw̃õ.” 
1TI.5_1.19	Bõi tema na laʼadoegõ zatoea, na tenga daroea, ba ma datõloe zi so ba mbõrõ. 
1TI.5_1.20	Si so lalõ otoeʼõ, ba zi so sato fefoe, enaʼõ ataʼoe gõi dánõ bõʼõ. 
1TI.5_1.21	Oew̃aʼõ sibai chõoe, fõna Lowalangi, ba fõna Keriso Jesoe, ba fõna malaʼika nitoetoejoe andrõ, enaʼõ lõ olifoeʼõ daʼõ, enaʼõ lõ aõsõ õʼetoeʼõ hoekoe, ba enaʼõ lõ eboea dõdõoe zamboeana, wolaoe hadia ia, fefoe. 
1TI.5_1.22	III. 
1TI.5_1.23	Bõi saʼae ha sambalõ idanõ õbadoe, õfake sa nagoe maʼifoe, ba daloemõ andrõ, ba me asese mofõchõʼõ. 
1TI.5_1.24	So õsa niha soroma horõ, ihoelõ hoekoe, ba so gõi, ba moroi foeri. 
1TI.5_1.25	Si manõ gõi mboeaboea si sõchi andrõ, oroma, ba ba zi tenga si manõ, ba tebai sa atṍ tobini dania. 
1TI.6_1.1	I. 
1TI.6_1.2	Ba si so sochõ samati, ba bõi ndramoeʼositengagõ, me no talifoesõ; mendroea manõ sa lahaogõ wangai halõw̃õra, me no samati ba niʼomasiʼõ zogoena halõw̃õ si sõchi andrõ. Ba daʼõ fahaõ ira, ba daʼõ farooe dõdõra. 
1TI.6_1.3	II. 
1TI.6_1.4	ba si fajaw̃a daʼõ, lõ saboto ba dõdõnia hadia ia, no mofõchõ ia, niʼaloealoei dõdõ andrõ ba fagoeagoeasa wõchõnia, ba ba daʼõ toemboe dania waʼafõchõ dõdõ, ba fasosota, ba famaoedoe dõdõ, si lõ sõchi, 
1TI.6_1.5	ba fagoeagoeasa, si lõ aetoe, ba niha si no tekiko eraʼera, si no taja si doehoe, sangoemaʼõ tõdora fangaloei anaʼa woloʼõ andrõ, chõ Lowalangi. 
1TI.6_1.9	Ba sedõna mangeboea anaʼa, ba gõna fanandraigõ, ba tandraw̃a, ba oja wangisõ fajafaja ba fangisõ famaʼala, sangahanigõ niha ba waʼatekiko, ba ba waʼamate. 
1TI.6_1.10	Noa sa baja ngawalõ hadia ia zi lõ sõchi fefoe waʼomasi ganaʼa andrõ, ba no eloengoe õsa, no larõi wamati, wangaloei daʼõ, ba no oja nifobõrõra chõra faʼafõchõ. 
1TI.6_1.11	III. 
1TI.6_1.12	Laoe fasõndra, fasõndrata si sõchi andrõ, fasõndrata wamati; raʼoe waʼaoeri si lõ aetoe andrõ, ba nikaoni jaʼoegõ, ba ba nilaoemõ famadoehoeʼõ si sõchi andrõ, ba zi no ato ba mbõrõ. 
1TI.6_1.13	Oew̃aʼõ chõoe fõna Lowalangi, sangorifi fefoe hadia ia, ba fõna Keriso Jesoe, si no molaoe famadoehoeʼõ si sõchi andrõ, fõna Wondrio Filato andrõ: 
1TI.6_1.14	Oʼõ goroisa andrõ, bõi gõna hadia ia, bõi faloecha zinegoe, iroegi waʼatoʼele Zoʼaja jaʼita andrõ, Jesoe Keriso, 
1TI.6_1.15	niʼoromaʼõ Zamatõrõ andrõ dania, na inõtõnia, Samatõrõ andrõ, sohahaoe tõdõ, si ha samõsa, razo razo andrõ, ba Soʼaja sochõ, 
1TI.6_1.16	si so fa lõ mate, si ha chõnia, si so ba haga andrõ, ba zi tebai mõi niha, si lõ irai iʼila niha, ba si tebai gõi iʼila. Ja chõnia zoemange ba faʼabõlõ si lõ aetoe. Jadoehoe. 
1TI.6_1.17	Ba zi so anaʼa, ba goeli danõ andre, w̃aʼõ, bõi fajaw̃a ira, bõi ndramoedõnadõna ba ganaʼa, si lõ aro andrõ, chõ Lowalangi ndramoedõnadõna, si lõ mangambõsi chõda, wameʼe hadia ia, ba wangogoenaʼõ jaʼia; 
1TI.6_1.18	ndramoetolo nawõra, jafahõna chõra mboeaboea si sõchi, bõi atali ira, jaʼahachõ dõdõra nawõra; 
1TI.6_1.19	ba wangõhõna chõra girõgirõ danedane si sõchi, ba gõtõ dania, enaʼõ lachamõ zi ndroehoe faʼaoeri andrõ. 
1TI.6_1.20	He Timoteo! irõʼirõʼõ nibeʼe chõoe andrõ, bõi babaja hoeohoeo andrõ si lõ boto, si lõ goena andrõ, ba amadõniw̃a waʼatoeatoea faja andrõ; 
1TI.6_1.21	so õsa zi no moloʼõ daʼõ, ba no eloengoe, no larõi wamati. — Jafaloechaʼõ waʼeboea dõdõ! 
2TI.1_1.1	I. 
2TI.1_1.2	chõ Dimoteo andrõ, ono omasiõ chõnia. Jafaloechaʼõ waʼeboea dõdõ, ba faʼahachõ dõdõ, ba faʼohahaoe dõdõ, chõ Lowalangi Ama, ba chõ Keriso Jesoe, Soʼaja jaʼita! 
2TI.1_1.3	II. 
2TI.1_1.4	oi so wehoeloe dõdõgoe, enaʼõ faloechado chõoe, itõrõ tõdõgoe daw̃a hõrõoe andrõ, enaʼõ fahõna chõgoe waʼomoeso dõdõ. 
2TI.1_1.5	Me no tefasoegi ba dõdõgoe wamatimõ andrõ, si lõ famini tõdõ, si no ofõna monahia ba dõdõ gaweoe Loise ba ba dõdõ ninaoe. Oinike, ba oedõnadõna, ba dõdõoe gõi. 
2TI.1_1.6	Daʼõ mbõrõ, wa oefasoegi ba dõdõoe, enaʼõ õfadoʼõ gameʼela Lowalangi andrõ, si so ba dõdõoe, moroi ba wanoefa hõgõoe tangagoe. 
2TI.1_1.7	Tenga sa Eheha sadaʼoedaʼoe nibeʼe Lowalangi chõda, no Eheha sabõlõ, Eheha ba waʼomasi, Eheha ba wangonangegõ nibeʼenia chõda. 
2TI.1_1.8	Ba bõi aila ndraʼoegõ, wamadoehoeʼõ toeria Zoʼaja jaʼita, ba bõi ailaʼõ ba chõgoe andre, nitaha andrõ chõnia, jafao ndraʼoegõ wanaha famakao andrõ, ba doeria somoeso dõdõ andrõ, dali waʼabõlõ Lowalangi andrõ, 
2TI.1_1.9	si no mangorifi jaʼita, si no mogaoni jaʼita, fogaoni niʼamoniʼõ; tenga dali mboeaboeada, dali nihonogõl dõdõnia, ba faʼeboea dõdõ andrõ, si no faloecha ita, ba chõ Keriso Jesoe, fõna ngaʼõtõ danõ andrõ, 
2TI.1_1.10	nifaʼeleʼõ iadaʼe, ba waʼatoʼele zangorifi jaʼita andrõ, Keriso Jesoe, si no mamakiko faʼamate andrõ, ba si no mangasogõ faʼaoeri ba fa lõ tekiko, moroi ba doeria somoeso dõdõ andrõ, 
2TI.1_1.11	ba nifataro jaʼo sangombacha ba sinenge ba samahaõ. 
2TI.1_1.12	Daʼõ gõi mbõrõ, wa oetaõgõ zi mane daʼõ, ba lõʼõ sa aila ndraʼo ba chõnia; noa sa oeʼila ha chõ mamati ndraʼo, ba no fadoehoe dõdõgoe, abõlõ ia, tola iʼirõʼõ chõgoe nibeʼe ba dangagoe andrõ, iroegi loeo safoeria andrõ dania. 
2TI.1_1.13	Oʼõ doelada wamahaõ si ndroehoe andrõ, nirongooe chõgoe, ba wamati, ba ba waʼomasi ba chõ Keriso Jesoe. 
2TI.1_1.14	Irõʼirõʼõ nibeʼe chõoe andrõ, si sõchi andrõ, jamoetoloʼõ Eheha niʼamoniʼõ andrõ, sonahia ba dõdõda. 
2TI.1_1.15	III. 
2TI.1_1.16	Jamoehachõsi tõdõ Soʼaja zoroijomo Gonesiforo andrõ, fefoe, me no asese iʼokafoei dõdõgoe, ba lõ saila ia ba rategoe andre. 
2TI.1_1.17	Me mõi ia ba Roma, ba no iforege wangaloei jaʼo, ba no isõndra ndraʼo. 
2TI.1_1.18	Jamoetolo ia Soʼaja, enaʼõ faloecha ia waʼahachõ dõdõ chõ Zoʼaja, na loeo safoeria andrõ dania; ba ha waʼeboea wanolonia ba Nefeso, ba no jaʼoegõ zabõlõ mangila. 
2TI.2_1.1	I. 
2TI.2_1.2	Ba hadia nirongooe chõgoe, ba zi no ato ba mbõrõ, daʼõ faʼema ba niha si lõ farõi, si tola mamahaõ dania niha bõʼõ gõi. 
2TI.2_1.3	Jafao ndraʼoegõ wanaha famakao, amaedola zi mõi manoewõ, awõ Keriso Jesoe, si sõchi. 
2TI.2_1.4	Fefoe, ha niha zi mõi manoewõ, ba lõ ihalõ rõrõnia wangaloei balazo, afoenia iʼomasiʼõ ia solohe jaʼia andrõ. 
2TI.2_1.6	Daʼõ zi fõfõna mangogoenaʼõ boea nowi, sonowi andrõ, sohalõw̃õ. 
2TI.2_1.7	Tanõ ba dõdõoe hadia niw̃aʼõgoe; ibotochi sa dania ba dõdõoe Soʼaja, fefoe hadia ia. 
2TI.2_1.8	Tõrõtõrõ tõdõoe Jesoe Keriso, nisoesoegi moroi ba ngai zi mate, maʼoewoe Dawido andrõ, dali doeria somoeso dõdõ andrõ chõgoe; 
2TI.2_1.9	daʼõ mbõrõ, wa oetaha wamakao, irege rate andrõ, hoelõ zamaroechoe; ba lõʼõ sa moefesoe daroma li Lowalangi andrõ. 
2TI.2_1.10	Andrõ oetaha fefoe, hadia ia, bõrõ nitoetoejoe andrõ, enaʼõ lachamõ gõi wangorifi andrõ, ba chõ Keriso Jesoe, awõ lachõmi andrõ, si lõ aetoe. 
2TI.2_1.11	Si ndroehoe daroma li andrõ: na no fao ita ba waʼamate, ba fao gõi ita ba waʼaoeri; 
2TI.2_1.12	na tataha wamakao, ba awõ gõi ita dania, ba waʼasalaw̃a; na jaʼita mangosilõʼõgõ, ba jaʼia gõi mangosilõʼõgõ jaʼita dania; 
2TI.2_1.13	na farõi ita, ba lõʼõ sa farõi ia; tebai sa iʼosilõʼõgõ ia. 
2TI.2_1.14	II. 
2TI.2_1.15	Forege wangaloei, enaʼõ si nangea chõ Lowalangi ndraʼoegõ, sohalõw̃õ si lõ aiwõ, sangehaogõ fangogoenaʼõ taroma li si doehoe andrõ. 
2TI.2_1.16	Timba wamachai mbewe andrõ, si lõ boto; tedooedooe manõ sa chõra, wa lõ laʼoʼõ chõ Lowalangi. 
2TI.2_1.17	ba manananana dania lira andrõ, hoelõ mbooe aoeri. Jaʼia ndra Himenaio Fileto, 
2TI.2_1.18	si no eloengoe, si no mondrõi si doehoe, wangoemaʼõ no aefa wemaoso zi mate andrõ, ba so õsa nifawoekara famati. 
2TI.2_1.20	Ba ba nomo seboea ba tenga ha gamagama balaki ba gamagama firõ, so sa gõi gamagama eoe ba gamagama tanõ, ba nifake ba zoadoe õsa, ba ba zi lõ moadoe õsa. 
2TI.2_1.21	Ba na so zi no mangeheta jaʼia ba zi manõ, ba fakake ba zoadoe ia dania, niʼamoniʼõ, ba sogoena ba zochõ omo, nihaogõ, ba ngawalõ mboeaboea si sõchi, fefoe. 
2TI.2_1.22	III. 
2TI.2_1.23	IV. 
2TI.2_1.24	Ba enoni Zoʼaja, ba bõi jafasoso, jamoehaogõ linia, ba niha fefoe, jaʼenahõi wamahaõnia, jaʼebolo dõdõnia ba niha si lõ sõchi, 
2TI.2_1.25	jamoehaogõhaogõ wanegoe samadaõ andrõ, ma atõ ibeʼe chõra Lowalangi wamalalini eraʼera, fa aboto ba dõdõra zi doehoe. 
2TI.2_1.26	fa tokea ira, ba wangefaʼõ jaʼira ba dandraw̃a Gafõcha andrõ, si no mamaʼala jaʼira, ba woloʼõ nilaoe dõdõnia andrõ. 
2TI.3_1.1	I. 
2TI.3_1.2	Amoeata niha ba daʼõ, ba ha tána chõra laʼaloei, somasi anaʼa ira, ba sanoeno jaʼira, ba si fajaw̃a, ba sanandraw̃a, ba si lõ mamondrongo li ndra amara, ba si tebai mangandrõ saoha gõlõ, ba sangoʼaja Lowalangi, 
2TI.3_1.3	ba si lõ mangomasiʼõ awõra, ba si farõi, ba samõbõgõ si lõ doehoe, ba solaoelaoe manõ hadia ia, ba si tebai ahono, ba si lõ omasi si sõchi, 
2TI.3_1.4	ba si manga mbõli, ba si lõ tõdõ, ba seboea hocha, ba somasi isõʼisõ dõdõra, moroi ba waʼomasira Lowalangi; 
2TI.3_1.5	hoelõ soloʼõ chõ Lowalangi ira, wamaigida, ba no sangosilõʼõgõ faʼabõlõ woloʼõ andrõ. Ba jaʼoegõ erogõ niha si manõ. 
2TI.3_1.6	Oi jaʼira sa zanõrõi omo, ba wondrõnisi ira alawe, si no fahõna horõ, soloʼõ manõ fangisõ dõdõra, ha waʼoja ngawalõ, 
2TI.3_1.7	si lõ mamalõmalõ wamahaõ jaʼira, ba si tebai mogamõ faʼaboto ba dõdõra zi doehoe. 
2TI.3_1.8	Ba hoelõ si mane famadaõ ndra Jane Jambere andrõ chõ Moze, si manõ gõi wamadaõ daʼõ no mege si doehoe. Niha si no fakoejoe tõdõ, si lõ aro famati andrõ. 
2TI.3_1.9	Ba lõʼõ sa atõ ara wolaoera andrõ, oroma sa dania ba niha fefoe, wa si lõ tõdõ ira, si mane ba chõra andrõ fõna gõi. 
2TI.3_1.10	Ba jaʼoegõ, ba no õʼoʼõ chõgoe, ba wamahaõ andrõ, ba ba gamoeata, ba ba nilaoe dõdõ, ba ba wamati, ba ba waʼebolo dõdõ andrõ, ba ba waʼomasi, ba ba wanaha tõdõ, 
