MAT.1.1	Dawute naa, Abrahaame naa gidida Yesus Kirstoosa yeletetha zarkey hayssafe kaallizayssa;
1CO.16.1	Ha7i qasse ammanizaytas miisha keso gish Galatiyan diza Woosa Keeththatas tani immida azazo mala inteka ooththite. 
1CO.16.2	Miishay kezanay buro ta hee biin gidonta mala intefe issi issi asi baasi diza mala saamintan saamintan issi gallas wogga wogga kessi wotho. 
1CO.16.3	Ta he biza wode inte doorida asatas ta moyzo dabdaabe xaafa immada, isti inte immida imota Yerusalame gaththana mala haappe ta kiittana. 
1CO.16.4	Ta istara baanas koshshizaz gidikko tanara baandettes.
1CO.16.5	Tani bashe Maqidooniyara aadhdha buussi taas attonta gish ta Maqidooniya gakkada heera inteko baana. 
1CO.16.6	Ta awakka bishin tana ogey waayssonta mala inte tana maaddana mala bashe ta inte achchan gam7onta aggike. Oone erizay balgoy aadhdhana gakkanaas ta inte achchan balgoza aaththonta waaya aggana. 
1CO.16.7	Ta inte achchan daro wode gam7anas koyiza gish intena coo ogera aadhdha bashe beyanas koyikke. Goda shene gidikko inte achchan adussa wode gam7anas koyays.
1CO.16.8	Gido attin Phenxaqoste geetettiza ba7aale gallas gakkanaas ta Efesoonen gam7ana. 
1CO.16.9	Ta heen gam7ana gaasoyka taas heen gita ooso pengey doyettides shin tanara eqetizayti daroti deettes.
1CO.16.10	Ximtoosi inteko biikko izi ta mala Goda oosancha gidida gish izi baboy baynda daana mala inte iza maaddite. 
1CO.16.11	Hessa gish oonikka iza kadhoppo. Izi taakko saron simmana mala inte maaddite. Nukka hara ammanizaytara iza yuussa naagon doos.
1CO.16.12	Nu isha Aphilosi hara ammanizaytara inteko baana mala keeha woossadis shin izi qas ha7i inteko baanas koybenna. Gido attin baana ogey giigishin izi inteko baana.
1CO.16.13	Beeggite! Ammanon minni eqqite; minnite; goobte. 
1CO.16.14	Inte ooththizaz wursikka siiqon ooththite.
1CO.16.15	Ta ishato! Akaaya biittan koyro ammaniday Istifanooseso asa gididayssanne ammaniza asa maaddanas isti bana aaththi immidayssa inteka ereeta. 
1CO.16.16	Ista misatiza asatasinne istara issife daaburiza asatas ubbas azazettana mala ta intena woossays.
1CO.16.17	Istifanoossi, Ferdonaxoossinne Akayqoosi yida gish ta daro ufayetays. Gaasoyka inte haan tanara doonta gish isti taas paccizaz wursi kunthida. 
1CO.16.18	Ta woznanne inte wozna wursi shempisida. Hessa gish hessanta mala asata mule baloppite.
1CO.16.19	Iisiya biittan diza Woosa Keeththati intena saro geetes. Aqilaynne Phirsiqillaykka ista soon shiiqiza ammaniza asay Goda sunthan boncho sarota intes shiisheetes. 
1CO.16.20	Haan ammanizayti wurikka intena saro geetes. Inte inte giddon issoy issara siiqo yeereteth yeeretite.
1CO.16.21	Hayssa sarokka ta kushera xaafiday tana Phawuloosa.
1CO.16.22	Goda dosontadey diikko izi qangetidade gido! Godo haaya! 
1CO.16.23	Goda Yesusa kiyatethi intenara gido.
1CO.16.24	Ta siiqoy Goda Yesus Kirstoosa baggara intes ubbas gido. Amiin.
2CO.1.1	Xoossa shene mala Yesus Kirstoosas kiitettida Phawuloosappenne nu isha Ximtoosappe Qorontoosen diza Xoossa Woosa Keeththeys qasseka Akaaya biittan ammaniza kumeththa asas.
2CO.1.2	Nu Aawa Xoossafenne Goda Yesus Kirstoosappe kiyatethinne saroy intes gido.
2CO.1.3	Maariza Aawasinne wursikka minthethiza nu Goda Yesus Kirstoosa Aawa Xoossas galatay gido. 
2CO.1.4	Nuka nu baggara Xoossafe demmida minotethan metotetizayta minthethanas dandayana mala nu meton izi nuna minthethes. 
2CO.1.5	Kirstoosa waayey nu bolla daridayssa mala nuuska Kirstoosa baggara minthethoy darees. 
2CO.1.6	Nu meton inte atotethinne minoteth demmeeta. Nuni metotishin qasse inteka kase ekkida metoza mala genci ekkidi minettandeta. 
2CO.1.7	Nu meto inte nunara shaakki ekkida mala nunarakka inte minettanayssa nuni eriza gish nuus inte bolla diza ufayssi gita.
2CO.1.8	Ta ishato! Iisiya biittan nu bolla gakkida meto gish inte erana mala nu koyoos. He nu bolla gakkida metozi nu tokkanappe deexo gidida gish hayqqonta paxa daana giidi qoppibeekko. 
2CO.1.9	Addafekka nu bolla hayqo pirday pirdetida misatides; hessi wurikka nu bolla gakkida gaasoy nuni hayqqidayta denthiza Xoossan ammanettanassafe attin nu wolqan ammanetonta mala hanides. 
2CO.1.10	Izi nuna hessa mala qopponta hayqoppe ashshides. Ha7ikka wodeppekka izi nuna ashshanayssa nu ammanettos. 
2CO.1.11	Inteka inte woossan nuna maaddite. Daro asa woossan nuus imettida imotassinne nu gish daroti Xoossa galatetes.
2CO.1.12	Histikko nu ceeqeteththi hayssa mala. Ha alamezan harappeka intessara nuussara diza gaytoteththan Xoossafe gidida geeshshatethaninne suuretethan nu de7idayssa nu woznay nuus markatees. Hessika asa cincateththan gidonta Xoossa kiyatethanna. 
2CO.1.13	Inte nababidi eranas dandayonta miish nu intes xaafokko. Inte wursikka nababidi eranaysa nu eroos. 
2CO.1.14	Inte nunan ceeqqettizayssa mala nuka intenan ceeqqettizayssa ha7i wursi eronta aggikkokka Goda Yesusi simmi yiza gallas wursikka erana.
2CO.1.15	Tani hayssa shaaka eriza gish nam7uto inte go7ettana mala koyro intena beyana qoppadis. 
2CO.1.16	Hessika ta kase Maqidooniya bashe intena beyada Maqidooniyappekka simmashe inte achchara aadhdhada ta Yuhuda bishin inte tana maaddana mala qoppadisikkoshin. 
2CO.1.17	Hayssi ta qofay intes ta lo7etha qopponta qofa misatizee? Woykko Ayzaabetas dose gididayssatho takka issito “Ero ero qasseka akay akay” giza misatizee? 
2CO.1.18	Xoossi ammanettida Xoosse gidida mala nu intes yootiza qaalayka “Ee” giidi “Akay” gizaz gidenna. 
2CO.1.19	Gaasoyka tana gidin woykko Silwaanoosenne Ximtoosa gidin nu intes sabakida Xoossa Naa Yesus Kirstoosi “Eenne akay” gidenna. Gido attin ubba wode izan “Ee” xalalay dees.
2CO.1.20	Xoossafe imettida hidotati wurikka “Ee” gididay izanna. Nuka iza baggara Xoossa bonchos “Amiin” gizay hessa gishassa. 
2CO.1.21	Hessa gish inteka nunikka Kirstoosan minni eqana malanne ba oosos dooriday Xoossa. 
2CO.1.22	Nu izayta gididayssa erisanas ba maatame nu bolla shocidaynne nu sinthafe demmana miishas Ayana waaseteth nu woznan woththiday iza.
2CO.1.23	Tani Qorontoose simmada inteko boonta aggiday intena mishisikke gaadakko; qasse hessi tumu gidonta wordo gidikko Xoossi ta bolla markato. 
2CO.1.24	Inte ammanon eqqida gish intena ufayssanas nu intenara ooththana attin inte ammano bolla godatanas gidenna.
2CO.2.1	Ta intena mishisanas koyonta gish qasseka inteko biikke gaada qofa qachadis. 
2CO.2.2	Ta intena mishisidaz gidikkoka mishetida intefe aadhi ufaysizay taas haray ooni dizee? 
2CO.2.3	Ta kase intes xaafiday ta inteko biza wode tana ufayssanas bessiza asati tana mishisoppeto gaada xaafadis. Gaasoyka ta ufayetikko intes ubbaska ufays gidanayssa ta ammanays. 
2CO.2.4	Ta intes hessatho xaafishin ta woznan daro miishaynne daro qofay kumi dishin daro afunxashe xaafadis. Hessaka ta ooththiday ta intena daro siiqizayssa inte erana mala gaada attin intena mishisanas gidenna.
2CO.2.5	Oonikka ase qohida gidikko gujecho gidonta mala he qohidadey tana xalala gidonta guuthara gidikkoka intenaka wursi qohides. 
2CO.2.6	Hessa mala asas daro asay iza bolla woththida qixaatey izaades gidana. 
2CO.2.7	He addey keehi muuzotidi hidota qanxonta mala inte hessades atto iza giidi minthethanas bessees. 
2CO.2.8	Hessathoka inte iza siiqizayssa zaarethidi iza bessana mala ta intena woossays. 
2CO.2.9	Ta hayssa intes xaafiday inte intena gakkiza paace xoonidi ubban inte azazettizakkonne eranasa. 
2CO.2.10	Inte atto gizades takka atto gays. Qasse ta tumappe atto gaanazi diza gidikko Kirstoosa sinthan ta atto gizay inte gish gaada. 
2CO.2.11	Ta hessatho ooththizay Xala7ey geliza xoo7e demmoonta mala gaadakko! Nu iza gene qofa balokko.
2CO.2.12	Tani Kirstoosa Mishiraachcho qaala yootanas Xiro7aada bida wode Goday taas ooso oge doyides. 
2CO.2.13	Gido attin tani ta isha Titoosa heen demmoonta aggida gish ta woznay shemponta ixida gish isti tana heeppe moyzin Maqidooniya dere badis.
2CO.2.14	Gido attin Kirstoosa baggara ubba wode nuna xoono ogen kaalethi yuushizanne ba lo7o eratetha nu baggara ubba soon qoncisiza Godas galatay gakko. 
2CO.2.15	Gaasoyka nuni dhayanaytassinne attanaytas giddon Kirstoosa baggara Xoossas shiiqida sawo tunnu giza exane mala. 
2CO.2.16	Dhayanaytas nuni wodhiza xinqo. Atanaytas qasse hayqoppe gede de7oso efiza de7o sawo. Histin hayssas bessizadey oonee? 
2CO.2.17	Nuni Wodhe demmanas giidi Xoossa qaala shaqaca mala walakerethidi bayziza daro asata mala gidokko. Gido attin Xoossafe kiitettida suure asa mala gididi Kirstoosan Xoossa sinthan suure yootos.
2CO.3.1	Nuni ha7i nurka nuna zaaridi galatinoo? Woykko hara asata mala intes gidin woykko intefe haa nuus xaafettida galata dabdaabe koshshizeshaa? 
2CO.3.2	Inte qasse asi wuri erizaynne nababetiza nu wozna garsan xaafettida dabdaabeta. 
2CO.3.3	Inte qalamen xaafettidayta gidonta de7o Xoossa Ayanan xaafettidayta; qasseka shuchcha bolla wooceti xaafettidayta gidonta asa woznan xaafettidaytanne inte nunan go7ettida Kirstoosas qonce dabdaabeta. 
2CO.3.4	Kirstoosa baggara nuus Xoossa bolla diza ammanoy hessa misatees. 
2CO.3.5	Nuna hessas gaththiday Xoossafe attin nuni nu wolqan ooththidos giza miishi issinaka baawa. 
2CO.3.6	Hessika pidalen xaafettida wogan gidonta Ayanan xaafida ooratha caaqo qaala oosanchata nu gidana mala ooththides. Gaasoyka pidalen xaafettida wogay wodhees; Ayanay gidikko de7o immees. 
2CO.3.7	Hessa gish Isra7eele nayti iza ayfeson diza boncho gaasoteththan Muse ayfeso tishshi histi xeeloy ista xoonana gakkanaas hessi guyeppe dhayanayssinne shuchcha bolla pidalen wooceti xaafetidi hayqo oosos gididayssi bonchon qoncizayssa gidikko; 
2CO.3.8	histin Ayana oosos waanidi hessafe aadhdhiza bonchoy denee? 
2CO.3.9	Asi izan pirdetiza oosoy hessa mala bonchettizayssa gidikko asi izan xilliza oosoy hessafe keehi aadhdhiza bonchoy izas waani deenee? 
2CO.3.10	Hayssafe kase bonchettidayssi hara izappe aadhdhiza bonchoy dizayssara giigissishin bonchoy bayndayssa gidides. 
2CO.3.11	Dhumi dhumi bizayssas hessa mala bonchoy diikko mernas minni eqqi daanayssas hessafe keehi aadhdhiza bonchoy waani dennee?
2CO.3.12	Hessa gish hessa mala hidotay nuus diza gish nuni xalatethan hasayos. 
2CO.3.13	Isra7eele nayti Muse ayfesoy xoliqizayssa aggi aggi bishin isti wursetha beyonta mala izi ba ayfeso goozida Muse mala gidokko. 
2CO.3.14	Gido attin kase gal7a caaqo qaalay nababetishin he wode goossazi hach gakkanaas kichchonta gish ista woznay doccida mala dees. He goossay ha7ikka kichchibenna. Izikka kichchanay Kirstoosan xalala.
2CO.3.15	Hach gakkanaassikka Muse maxaafati nababetiza wode he wode goossay ha7ikka ista wozna goozi oykkees. 
2CO.3.16	Gido attin issadey Godakko simmiza wode goossazi qaareti kichchees. 
2CO.3.17	Goday Ayana. Goda Ayanay dizason aylleteth deenna. 
2CO.3.18	Nunikka Goda boncho mastoote mala xolqettishe iza misatanas ha bonchofe gede hara bonchon laamettana. Hessika Ayana gidida Godappe.
2CO.4.1	Xoossa maarotetha daroppe dendidayssan hayssi ha oosozi nuus diza gish nuni hidota qanxokko. 
2CO.4.2	Gido attin geemara haniza yeelasiza yo7ota nu aggidos. As baleththokko; Xoossa qaala wordora walakkokko. Hessa histanappe tumu yo7ota qoncera yootishe asi wurikka nu gizayssa ekkana mala nunatetha Xoossa sinth shiishoos. 
2CO.4.3	Nu Mishiraachcho qaalay gordettikkokka izi gordettiday dhayanaytassa.
2CO.4.4	Xoossa leemiso gidida Kirstoosa boncho Mishiraachcho qaala poo7oza ha alame asay beyonta mala hayssa ha alameza Xoossi ammanonta asa wozna muumisides. 
2CO.4.5	Nuni Yesus Kirstoosi Goda gididayssa sabakoos attin nuna sabakkokko. Nuka nu baggara Yesusa gish intes ooththizadenta gididos. 
2CO.4.6	Kirstoosa sinthan Xoossi ba boncho eratetha poo7o nuus immanas “Poo7oy dhuman poo7o” gida Xoossi ba poo7o nu woznan poo7isides. 
2CO.4.7	Gido attin hayssi gita wolqay nuus Xoossafe imettides attin nuuppe gidontayssa bessana mala hayssi boncho miishay nunan oto misatizayta giddon dees. 
2CO.4.8	Awa baggarakka nuna sugikkokka nuni tinth gi meqokko. Nuus yo7oy tippi giikkokka hidota qanxokko. 
2CO.4.9	Nu goodetikkokka wora wodhdhi attokko. Isti nuna shoci gendersikkoka nu dhayokko. 
2CO.4.10	Yesusa de7oy nu asatethan qoncana mala nuni iza hayqo ubba wode tookki yuuyoos. 
2CO.4.11	Yesusa de7oy hayqqiza nu asatethan qoncana mala paxa diza nuni ubba wodekka Yesusa gishas hayqos aadhdhi imettoos 
2CO.4.12	Hessa gish nu hayqos aadhdhi imettishin inte qas de7on gakkeeta.
2CO.4.13	Kase Geeshsha Maxaafan xaafettida mala “Ta ammanida gish haasayadis” geetettidaysa nuka hessa he ammano Ayanan ammaniza gish hasayos. 
2CO.4.14	Gaasoyka Goda Yesus Kirstoosa hayqoppe denthidayssi nunakka izara issife denthidi intenara ba sinth shiishanayssa nu eroos. 
2CO.4.15	Daro asa gakkishe diza kiyatethi Xoossa bonchos galata bolla galata gujjana mala hayssi wurikka intena go7anas hanides.
2CO.4.16	Hessa gish nu hidota qanxokko; nuus kare bagga asatethay dhay dhay biikkoka nuus gaaththa bagga asatethay gallas gallas ooraxi ooraxi baasi. 
2CO.4.17	Hessas ha7i guutha wodes nuna gakkiza waayey izara giiganas dandayonta mernas gidiza bonchon nuna gaththana. 
2CO.4.18	Hessa gish nu tishshi histi xeellizay ha7i ayfen beettiza miisha bolla gidonta ha7i ayfen beettonta miisha bolla dees. Ha7i betizayssi izi ha7is xalala. Ha7i ayfen beettontays gidikko izi mernassa.
2CO.5.1	Nuni izan biitta bolla diza dunkaney laalettikkokka asa kushen gidonta Xoossa kushen oosettida merna keeththi nuus salon dizayssa nu eroos. 
2CO.5.2	He wodey gakkanaas nu keeththa saloyssa may7anas nu laamoti naagos. 
2CO.5.3	Tumappe hessa nu may7idappe guye kallottokko. 
2CO.5.4	Nuni hayssa ha dunkanezan diza wode ubban izi deexxiza gish daabura piidhi goos. Hessas gaasoyka hayqqizayssi de7on laamettana mala nuni salon daana soza may7ana attin nuuppe qaarettana mala nu koyokko. 
2CO.5.5	Hessas nuna giigissiday Xoossa. Buro yaanayssas waase gidana mala nuus ba Ayana immiday iza. 
2CO.5.6	Nuni ashon diza wode Godappe haakki dizayssa erikkoka izan ammanettidi doos. 
2CO.5.7	Nuni diza duussay Godan ammanidi attin ayfen be7on gidenna. 
2CO.5.8	Nuni ashoppe shaaketidi Godara duus dooranayssa ta sidhonta yootays. 
2CO.5.9	Hessa gish nu ashon diikko woykko ashoppe shaaketikkokka nuus waanna qofay Goda ufayso. 
2CO.5.10	Nuni wurikka Kirstoosa pirda wombora sinthi shiiqanayssi attenna; nuuppe issoy issoy biitta bolla ba ooththida iita gidin woykko lo7o gidin ba ooso mala bessiza waaga ekkana.
2CO.5.11	Hessa gish Godas babo guussi ay guussakkonne nu eriza gish asay nu yootizayssa ero gi ekkana mala ooththanas daaburoos. Nuni oonantakkonne Xoossa achchan qonce. Qasseka inte woznanka qonce gididayssa ta ammanays. 
2CO.5.12	Ta hessa gizay nuna inte sinthan galatanas gidonta dishin inte nunan ceeqqettana mala attin woznappe gidonta ayfen beettiza miishan ceeqqettizaytas inte zaaro immanas dandayana mala gaada gays.
2CO.5.13	Nu goosh gidikko Xoossa gish giidi gooyidos. Erata gidikkoka intes giidikko! 
2CO.5.14	Kirstoosi ubbas issito hayqqoyssanne haray wurikka izara issife hayqqidayssa nu erida gish Kirstoosa siiqoy nuna wolqara oosises. 
2CO.5.15	Shempora paxa dizayti wurikka he hayqqidayssassinne hayqoppe dendidayssas daana malappe attin hayssafe guye isti baasi doonta mala Kirstoosi ubbas hayqqides.
2CO.5.16	Hessa gish hayssafe guye nuni oona assikka asho ayfen xeellokko. Nuni hayssafe kase Kirstoosa asho ayfen xeelliday coo mela asa mala xeello, gidikkoka hayssafe guye sinthas gidikko hessatho xeello. 
2CO.5.17	Hessa gish oonikka Kirstoosa bagga gidikko izi ooratha medhetetha. Kase ceega medhetethay aadhdhides. He iza kichchosan hara ooratha medhetethi gelides. 
2CO.5.18	Hessi wuri haniday izi nuna banara Kirstoosa baggara maqaynthidinne maqayntho ooso nuus immida Xoossana. 
2CO.5.19	Hessika Xoossi Kirstoosa baggara hanko alame asa wursikka banara maqayinthides guussa. Isti qohozakka qoodibenna. Nuuska nu asa Godara maqayinthana qaala immides.
2CO.5.20	Xoossi nu baggara as xeygiza gish nuni qasse Kirstoosa ogathata. Hessa gish “Inte Xoossara maqaynite!” giidi nu intena Kirstoosa sunthan woossos. 
2CO.5.21	Nuni Kirstoosa baggara Xoossa xilloteth gishetti ekkizayta gidana mala Xoossi iza bolla nagaray baynda Kirstoosi izi nu nagara tookkana mala ooththides.
2CO.6.1	Nuni Xoossara ooththizayta gidida mala inte ekkida Xoossa kiyatetha coo mela ashshofte gishe nu intena woossos. 
2CO.6.2	Xoossi “Tani taas giigida gallas nena siyadis! Attiza gallas ta nena maaddadis!” giza gish lo7o wodey hekko ha7i! Atetha gallassikka ha7ikko!
2CO.6.3	Nu oosoy leqetonta mala ay wodekka oonaska nuni dhuphe gidokko. 
2CO.6.4	Hessafe aaththidi waayenne meto un7oka dandayan Xoossas ooththiza asata mala ay ogerakka nunatetha aaththi immos. 
2CO.6.5	Nuni Xoossas ooththizayta gididayssa bessizay garafeteththan, qashetethan, hirgan, daaburi ooson, dhisikko dhayoninne gafanna. 
2CO.6.6	Hessathoka geeshshatethan, eratethan, dandayan, kiyatethan, Xillo Ayana kaaloninne qoodheppe qommon gidonta siiqon, 
2CO.6.7	tuma qaalaninne Xoossa wolqanna. Nu Izan gede oli xooniza ola miishinne kametti attiza gondalley xillotetha. 
2CO.6.8	Bonchos gidin woykko kawushshas, qoodhetanas woykko galatanas nuni giigetidayta. Nuni tumanchata shin ase baleththizayta geetettidos. 
2CO.6.9	Nuni eretidayta shin eretontayta gididos. Isti hayqqidaytakko gishin nuni paxa doos. Asay nuna bukki bukkinka nu hayqqibeekko. 
2CO.6.10	Muuzoy nuna gakkikkoka ubba wode ufayetoos. Nu manqokko shin daro manqota dure Kessoos. Nuus aykkoyka bayndayta shin wurikka nuus dees.
2CO.6.11	Inteno Qorontoosen dizayto! Ta kase intes qonccen yootadis. Nuni nu wozna intena wursi bessidos. 
2CO.6.12	Inte qasse nuna inte siiqo bessanas uuzetideta attin nu intena nu siiqo bessanas uuzetibekko. 
2CO.6.13	Aaway ba naas yootiza mala takka intes ane yootays. Nuni nu wozna keehi doyidi nu qofa intes qoncisoyssatho inteka nuus hessatho qoncisite.
2CO.6.14	Ammanonta asara giigay baynda issifetethan oyketofte. Xillotethinne nagaray waani issifettanas dandayizee? Poo7oynne dhumay issife waani daana dandayizee? 
2CO.6.15	Kirstoosinne Dabuloosi waani gaagganas dandayizoo? Ammanizadey ammanontadera aazan laagettanas dandayizee? 
2CO.6.16	Xoossa Woosa Keeththas eeqatara aaza gaaggoy dizee? Xoossika
2CO.6.16	“Tani ta duussaso ta dereza giddon ooththana;
2CO.6.16	takka istara daana;
2CO.6.16	istasika Goda gidana.
2CO.6.16	Istika ta dereta gidana” giidi kase yootida mala nuni issoy issoy de7o Xoossa Keeththata. 
2CO.6.17	Goday
2CO.6.17	“Inte ista giddofe shaaketidi kezite!
2CO.6.17	Tuna miish bochchofte;
2CO.6.17	takka intena ekkana. 
2CO.6.18	Ta intes Aawa gidana;
2CO.6.18	inteka taas attuma naytanne maca nayta gidandeta”
2CO.6.18	gees wursikka dandayiza Goday.
2CO.7.1	Hessa gish ta siiqoto! Hayssi hidotay nuus imettida gish ashonne ayana tunisiza ay miishafekka ane nuna geeshshoos. Xoossas yashshan nu geeshshatetha ane kumeth histoos.
2CO.7.2	Inte nuna ufayssan mokki ekkite. Nuni oonakka qohibeekko; oonakka naaqibeekko; oona go7akka nuus baleththi ekkibeekko. 
2CO.7.3	Tani hessatho gizay inte bolla pirdanas gidenna. Hayssafe kase ta intes yootida mala inte nu woznan deeta. Hessa gish hayqonka gidin paxanka ubba wode nu intefe shaaketokko. 
2CO.7.4	Taas inte bolla diza ammanoynne ceeqeteththi daro gita. Ta intenan minetays. Nuna gakkiza meto ubban tani keeha ufayetays.
2CO.7.5	Nuni Maqidooniya gakkida wodekka dumma dumma baggara metoy nuna gakkides attin nuni aykkokka shempo demmibeekko. Nuus soora hirgay, karera qas ooshi dees. 
2CO.7.6	Gido attin muuzotidayta minthethiza Goday Titoosa yuussan nuna minthethides. 
2CO.7.7	Nuni minetiday iza yuussan xalala gidonta dishin inte iza minthethidayssa nu gujji siyida gishassa. Inte tana laamotidayssa taas qadhetizayssa qoppizayssakka izi nuus yootin siyada tani daro ufayetadis.
2CO.7.8	Tani hayssafe kase intes xaafida kiitay intena mishisida gidikkoka he kiita xaafida gish tani hessatho aazas xaafadina gaada modhetikke. Modhetikkokka ta modhetanay guutha wodes inte tana mishisida gishassa. 
2CO.7.9	Ha7i gidikko ta ufayetays. Tani ufayetida gaasoy tani intena michisida gish gidonta inte he miishappe dendidayssan maarotethan gelidi laamettida gishassa. Hessa gish inte mishetikkokka Xoossa shene mala gidida gish nuni intena aykkokka qohibeekko guussa. 
2CO.7.10	Xoossa shene mala gidida mishetethi gede maareti attanaso gaththees. Hessaska modhetethi deenna; woznappe gidonta maareteth gidikko hayqon gaththees.
2CO.7.11	Hayssi inte muuzotethay Xoossa shene mala gidida gish hessi ay mala minotethan, ay mala oysha zaaron, ay mala elle hanqetethan, ay mala yashshatethan, ay mala laamotethan, ay mala lo7o amon, ay mala muran intena gaththidakkonne ane inte woznan yuushi qoppite. Inte qasse hanida ubbanka he hanozappe geesh gididayssa markasideta. 
2CO.7.12	Hessa gish ta intes xaafidayssi inte nuus ay mala ammanettizaytakkone inte intena Xoossa sinthan beyana malappe attin qohidade gishshinne qohetidade gish gaada gidenna. 
2CO.7.13	Nuni minetidayssafe bollara Titoosi demmida ufayssan daro ufayetidos. Nuni ufayetidaykka inte wurikka Titoosa minthethida gishshinne iza wozna shempisida gishassa. 
2CO.7.14	Tani intenan ceeqqettizayssa kase Titoosas yoota wothadis. Inteka tana yeelasibeykketa. Ubba wode ta intes tuma xalala yootashe days. Hessika nuni inte gish Titoosas yootida yo7oy tumu giidi ammanettides. 
2CO.7.15	Inte wurikka azazettizayta gididayssa, yashshatethaninne kokkorishe inte iza mokki ekkidayssa Titoosi qoppi ekkidi izi intena siiqizayssas zaway baawa. 
2CO.7.16	Takka ubba baggara intenan ammanettanas dandayida gish ta daro ufayetadis.
2CO.8.1	Ta ishato! Xoossi Maqidooniyan diza ammaniza asas immida kiyatetha inte eranayssa ta koyays. 
2CO.8.2	Isti daro metoti dishe daro ufayetida. Keehi manqota gidikkoka daro kiyattida. 
2CO.8.3	Isti baasi dandayettizayssa malanne baasi dandayettizayssafekka aaththi immidayssa ta ista gish markatays. 
2CO.8.4	Yuhudan diza ammanizaytas maado immanas diggettonta mala nuna keehi woossida. 
2CO.8.5	Isti nuni qoppidayssafe bollara aaththi ooththida. Isti koyro bana Godas immida. Zaardika Xoossa shene mala banaka nuus immida. 
2CO.8.6	Hayssa oosoza koyro Titoosi doommida gish ha7ikka hayssa maado imoza izi polana mala nu iza woossidos. 
2CO.8.7	Inte ammanon, haasayan, eratethan, mino ooson, inte nuna siiqiza siiqon, ubba yo7on aadheta. Hessathoka kiyatetha oosonka aadhdhizayta gidite.
2CO.8.8	Ta hessa gizay intena coo mela azazanas gidenna. Gido attin hanko hara asay minni immizayssa intenara gaththa beyshin inte siiqoy tumu gididayssa shaaka erenasa. 
2CO.8.9	Inte nu Goda Yesus Kirstoosa kiyateth ereeta.
2CO.8.10	Hayssa ha hanozan taas lo7o gidi bettida zore ta intes immays. Zilaythi inte imo xalala gidonta dishin immanas koyroppe qoppiday intena. 
2CO.8.11	Hessa gish inte immanas koydayssi polettana mala intes diza mala kase inte qoppidayssa ha7i ooththite. 
2CO.8.12	Asi immanas woznappe koykko izaadey kiyatethan immizayssi ekketizay asi baasi dizaari mala immikko attin baasi bayndayssafe immishin gidenna.
2CO.8.13	Ta hayssatho gizay inte wurikka gina gidana mala attin inte imon waayetishin harati shempana mala gaada gidenna. 
2CO.8.14	Inte waayetishin ista miishay inte meto ashshana mala ha7i qasse inte miishay ista meto ashsho. Hessa malan inte giddon ginatethi daana. 
2CO.8.15	Hessika “Daro shiishshidades wodhdhibenna; guuth shiishshidadesikka paccibenna” geetetti Geeshsha Maxaafan xaafettida mala. 
2CO.8.16	Tani intes qoppizayssa mala Titoosaykka intes woznappe qoppana mala ooththida Goday galattetto. 
2CO.8.17	Titoosi inteko bizay barka ba qofan ufayssanpe attin nuni iza woossida gish xalala gidenna. 
2CO.8.18	Mishiraachcho qaala ooson Woosa Keeththatan ubban dosettida ishaza nu izara gaththi yeddoos. 
2CO.8.19	Hessafekka bollara hayssi nu ishay nuni hayssa lo7o oosoza Goda bonchos ooththishininne nuni ooththanas koyizayssa izas qoncisishin izi nunara biidi ooththanas Woosa Keeththati dooridade.
2CO.8.20	Hayssa kiyateth imettida miishaza nuni oykkishin nu bolla aykko boroykka gakkonta mala nuni naagetos. 
2CO.8.21	Gaasoyka nuus waanna qofay Goda sinthan xalala gidonta asa sinthanka lo7o ooththanassa. 
2CO.8.22	Daro wode daro miishan paacetidi mino gidida nu isha Titoosara nu iza yeddiday hessassa. Izas inte bolla diza ammanoy daro gita gidida gish izi ha7i intena maaddanas kaseppe aaththi koyees. 
2CO.8.23	Inte Titoosa gish eranas koykko izi intena maaddanas tanara ooththizade. Izara issife biza hanko ishati qasse Woosa Keeththati ba gish yeddida Kirstoosa bonchos eqqidayta. 
2CO.8.24	Hessa gish inte istas inte siiqo bessite. Inte hessatho histikko inte siiqoynne nu intenan ceeqqettiza ceeqeteththay coo mela gidontayssa inte Woosa Keeththatas bessandeta.
2CO.9.1	Yuhudan diza ammanizaytas kessiza miisha gish ta intes xaafanas koshshenna. 
2CO.9.2	Intes Akaayan diza asas maaddana lo7o qofay dizayssa ta erada “Akaaya asay zilaythafe oykidi maados giigettides” gaada Maqidooniya asas yootadis. Harappeka inte maaddanas koyda suure qofay darota lo7o oosos dentheththides. 
2CO.9.3	Hayssa ha hanozan nu intenan ceeqqettizayssi coo mela gidonta mala hayta nu ishata ta kiittadis. Inteka ta Kase intes gida mala naageti uttite.
2CO.9.4	Maqidooniya asati tanara inteko bishin inte giigetonta dizayssa beekko nuni intenan ceeqqettizayssan yeelatana. Inte qasse daro yeelatana. 
2CO.9.5	Hessa gish inte kase immana gidayssa kasetidi giigissana mala intena qofisanas gaada hayti ishati taappe kasetidi inteko gakkana mala koshshizayssi taas beettides. Hessathoka tani biza wode inte immanayssi giigi uttidaz gidana. Inteka immanayssi wolqara gidonta dosan gididayssa bessana.
2CO.9.6	“Guuth zerida asi guuth shiishana; daro zeridadey qas daro kath shiishana” giza qaala yuushi qoppite. 
