GEN.1.1	Bunso zaa piiligu, Naawunni n daa n maalini saazu ni tiŋŋa. 
GEN.24.37	Pimparaŋa, m yidaana ti ma pe maa, ni m da pa ti naa poga yi Keenan paaligu, seela o n zi ŋa, a ti o bii maa. 
GEN.24.38	Ama m gaari o ba yiri, o dogim puwa, o niriba gbagba saani, a naa poga ti ti o biya.
GEN.24.39	“Niŋi n na, ma boosi m yidaana, ka poga maa yeli o ki pa m zu ta? 
GEN.24.40	O yeli ma, ni Duuma so o n wumi n tira la ni tumi malaaka o paa ma gaari, bunso zaa, a maali, m naa poga yi o niriba puwa, a yi o ba laanta ti ti o biya. 
GEN.24.41	Ni ka m yi gaari o niriba saani, peebu maa ki lee n gbaa ma, halli ka ba moŋŋi ma poga maa, naŋgbansamini maa bi lee n pa ma.
GEN.24.42	“Jemanso m ni paa kuligaa puu zinaa, ma yeli, ‘M Duuma, m yidaana Ibrahim Naawunni, ka a niŋi e kiperi, jaande, ti m nye zusuŋŋu, m cheni ŋa puwa. 
GEN.24.43	Nyaasi, m zani kuligaa puu n na la, ka suŋguri zaa taya, o ti ŋoo koom, ka ma yeli u, “Jaande, ti ma e koom maa beela m ŋu.” 
GEN.24.44	Ka o yeli ma, “Ŋuma, ka m ŋoo n ti e nyogimasi ŋa gba,” cheli o niŋi so Duuma n nyisi n ti m yidaana Ibrahim biya.’
GEN.24.45	“M na bi baasi Naawunni suusigu maa m sufu niŋi, ka Rabeeka bugi o koom yuuri ta, a sigi kuliga ŋoo koom, ma yeli u, ‘Jaande, ka ti ma koom beela m ŋu.’
GEN.24.46	“O tuu o koom yuuri maa yomyom yi o bogu niŋi, ka yeli ma, ‘Ŋu ma, m ni ŋoo n ti e nyogimasi ŋa gba.’ A zu, ma ŋu, ka o ti nyogimasi maa gba.
GEN.24.47	“Ma boosi u, ‘Ŋani bii n niŋi i?’ O yeli, ‘M ba n niŋi Betuwel, Naho ni Milika biya.’ Niŋi n na, ma naa kunde niŋi o ŋoya, ka naa bensi niŋi o nusogsi. 
GEN.24.48	Ma gba tiŋŋa puusi Duuma, m yidaana Ibrahim Naawunni, so n pa ma yiya, a ni seema n daga, ma nye m yidaana Ibrahim mabii yaŋŋu ti o biya.
GEN.24.49	“A zu, ya yeli ma, ka ya ni wusi m yidaana nivumantiri ni yamonsitiri, ya ti m baŋŋi, ka ya mi ki lee ti, ya yeli ma, m baŋŋi, soso m di n dolli.”
GEN.24.50	Niŋi n na, Leban ni Betuwel yeli, “Yela ŋa zaa yini Duuma saani, a zu, ti wune bi lee n mari sen ti n di n yeli. 
GEN.24.51	Rabeeka n ŋa, mari u wa ti ti e yidaana bii maa, o niŋi o poga, a maa seema Duuma ni zaali la.”
GEN.24.52	Ibrahim guruŋu maa ni wumi seema ba ni yeli la, o gba tiŋŋa, a naa puusigu ti Duuma. 
GEN.24.53	Niŋi n na, o nyisi sugasi ni gbitisi pogisara bini, a ni bimpinna ti Rabeeka, ka ti o sunzodaba ni o ma piiniseesi n mari ligiri ga.
GEN.24.54	O n niŋi n ŋa baasi, o ni niseesi n daa n na la di, ka ŋu, ka do niŋi.
GEN.24.54	A n kaa bee boguuniŋi, Ibrahim guruŋu maa suusi soori, “Ya ti ma soori, m gaa m yidaana saani.”
GEN.24.55	Niŋi n na, Rabeeka sunzodaba ni o ma yeli, “Cheli Rabeeka o na ba kpe dapii poin, ka ya mari u wara.”
GEN.24.56	O yeli ba, “Ya da laŋŋi ma nyaaŋa. Duuma ti ma ni zusuŋŋu, a yi m cheni ŋa puwa, a zu, ya basi ma soori m gaa m yidaana saani.”
GEN.24.57	Niŋi n na, ba yeli, “Cheli ti booli bipuŋŋu maa gbagba boosi u.” 
GEN.24.58	Ba booli Rabeeka boosi u, “E ni paa dabaa gaari? O sagi Mm, m ni gaa.”
GEN.24.59	A zu, ba sagi, ka ti Rabeeka ni o bipoga paa Ibrahim guruŋu la ni o niriba maa gaari. 
GEN.24.60	Ba suusi Naawunni ti Rabeeka ka yeli, “Sunzopoga, Naawunni n nafa i, ka ti e biisi wasi tusatusa, ka e dogim puu dima zaa ni nyaŋŋi ba dindima, a ni ba tiŋsi.”
GEN.24.61	Niŋi n na, Rabeeka ni pogiseesi n pa o zu niŋi siriya du ba nyogimasi, a paa daba maa gaari.
GEN.24.62	Yisaaka daa n yini buluguso ba n boona nyevuri daana bulugu so n nyaara ma, tambisigu tiirigu, a wa ti ba Keenan kiŋkagili sazu Negef. 
GEN.24.63	Dindaso zaanoori, Yisaaka yi n we laŋgari, a wa ti poli n jinna, ka nye nyogimasi n chena. 
GEN.24.64	Rabeeka gba nyaasi, o nyeni Yisaaka, ka sigi nyogima maa niŋi, 
GEN.24.65	ka boosi guruŋu maa, “Yasaani daba n ŋa, so n tuusira ti ŋa?” Guruŋu maa yeli u, “M yidaana n na.” O naa o saata muuri o nufu.
GEN.24.66	Ba n ti paa Yisaaka saani, guruŋu maa yeli u yaseesi zaa o ni wa ti niŋi. 
GEN.24.67	Yisaaka mari Rabeeka kpe o ma gbana sugiri puwa, a naag u loobi o poga, ka daa n kpabira u ga. O ma kum sufusaaŋu n daa mari u, sufupeelim pa ta.
GEN.25.1	Ibrahim daa n lee n naani poga, o yuuri n daa n niŋi Katuura. 
GEN.25.2	O dogi Zimaran, Jokasina, Medan, Midiyan Isibaka a ni Suwa. 
GEN.25.3	Jokasina dogi Seba ni Dedan. Dedan biduusi n daa n niŋi Asurum dima, Letusi dima, a ni Lumiti dima. 
GEN.25.4	Midiyan biduusi n daa n niŋi Efa, Efe Hanoki, Abida a ni Elidaa, ba ŋa zaa Katuura biisi ni o yaŋsi n daa n na la.
GEN.25.5	Ibrahim naag o bunso zaa nyem ti Yisaaka. 
GEN.25.6	Ama, jemanso o n daa n na ba o nyevuri niŋi, o daa n pini o poga seesi biduusi piini. Ka nyisi n ŋa biduusi a gaari tiŋŋa yindaana n ba wuluŋpusigu, ka che o bii Yisaaka.
GEN.25.7+GEN.25.8	Ŋama zaa nyaaŋa, Ibrahim daa kurigiya ga, o yuma koowa ni pisiyapoin ni anu, ka vuusi o baasigu vuusim, ka kpi, a gaari o yaadima saani. 
GEN.25.9+GEN.25.10	O biisi, Yisaaka ni Isimeel, pi u yi Makipela zovoori niŋi, a leeli Mamiri. Tiŋgbanso Ibrahim n daa n da, Zoha bii Efuron n niŋi Hititi nira la saani, niŋi n na ba pi o ni o poga Saara. 
GEN.25.11	Ibrahim kum nyaaŋa, Naawunni nafa o biduu Yisaaka, ka o zi n leeli buluguso ba n boona nyevuri daana bulugu, so n nyaara ma. 
GEN.25.12	Isimeel, so Heega, Saara Yijipiti guruŋbipoga n dogi ti Ibrahim, biisi yela n ŋa. 
GEN.25.13	Isimeel biduusi yuya, a ni seema ba n pa taaba zu. Naboti, Keda, Adibeel, Mibisam. 
GEN.25.14	Misihama, Duma, Masa. 
GEN.25.15	Hadadi, Tema, Jetu, Nafisi a ni Kedema. 
GEN.25.16	Barima n daa niŋi pii ni ayi la, ka ba naa ba yuya digili ba tiŋsi ni seelasi ba n zi.
GEN.25.17	Isimeel daa dini yuma koowa ni pisita ni ayapoin poin ka kpi. 
GEN.25.18	Isimeel baligu maa daa zinni Havila ni Suu sunsuuniŋi, Yijipiti wuluŋpusigu, Asiriya soori. Ba ni ba niriba daa n bi lagimi n zi.
GEN.25.19	Seema Ibrahim bii Yisaaka ni o baligu n piili n ŋa. 
GEN.25.20	Yisaaka daa niŋini yuma pisinaasi, ka naa Rabeeka, Betuwel biya, ka niŋi Leban sunzopoga. Betuwel daa n niŋini Aram nira, ka zi Mesopoteemiya paaligu. 
GEN.25.21	A kpali Rabeeka n daa n na bi dogi zu, Yisaaka suusi Naawunni. Duuma wumi o suusigu, Rabeeka mari puwa. 
GEN.25.22	Jaasi puu n na Rabeeka daa n mari, biisaa mugisira taaba ba ma puu niŋi. O boosi Naawunni, “Wula mini n na ŋa?” 
GEN.25.23	Niŋi n na, Duuma yeli u, “Balisi bayi n ba e puu niŋi, ba ni ti zabira taaba ŋuuri. Yinni ni mari kpeeŋu gaari o to, ka kpeema daana ni tumina bibila daana la.”
GEN.25.24	Puu maa dogirisim n ti paa, Rabeeka dogi jaasi, dabsi. 
GEN.25.25	Yipaara maa daa n niŋini nivuzee, ka o niŋa zaa mari koba, a maa o ni pili gbaŋŋu tagite. Lala zu, ba digili o yuuri Isawu.
GEN.25.26	O n yiira la, o sunzo gbaa o nosiŋkpaari mari. Lala zu ba digili o yuuri Yakubu. Jemanso Rabeeka ni dogi biisaa, ka Yisaaka niŋini yuma pisiyoobu.
GEN.25.27	Biisaa n ti karigi, Isawu loobi toosa, a baŋŋi toosilim ga, ka kpabira moo puu chaŋinisim. Ka Yakubu ba boin, ka kpabira yiri ga. 
GEN.25.28	Yisaaka kpabira Isawu yela, a kpali o n kuura valiga o ŋobira la zu, ka Rabeeka mi kpabira Yakubu yela.
GEN.25.29	Dindaso Yakubu daa dugira ziiri, ka Isawu yi moo puu ta, a ni kom. 
GEN.25.30	A zu, Isawu yeli Yakubu, “Ti ma e zimooma maa seesi, kom mari ma ga.” Lala zu n na ba boona u Idom la. 
GEN.25.31	Yakubu yeli u, “Naa e dogim kpebilim ŋa ti ma poin, ka m mi ti i ziiraa.” 
GEN.25.32	Isawu yeli u, “Nyaasi, kom n ya n ku ma, bo tono n na kpebilim mari?” 
GEN.25.33	Yakubu yeli u, “Pe.” Isawu sagi, ka pe, a naa o kpebilim maa tagi ziiri. 
GEN.25.34	Niŋi n na, Yakubu ti u paanu ni tuya ziiri, o ŋobi, ka pebi ziiri maa, ka nyisigi n gaari. Seema Isawu n daa n zagsi o dogim kpebilim n na la.
GEN.26.1	Jemanso, kom daa n lini paaligu maa, pa kom so n daa n li Ibrahim jemani la, ŋala daa n kurini. Kom maa jemani n na Yisaaka nyisigi n we Filisiti naaba Abimeliki saani yi Gera.
GEN.26.2	Niŋi n na, Duuma nyisi o maŋŋa wusi Yisaaka, ka yeli u n ŋa, “Da pa gaa Yijipiti paaligu, ba tiŋgbanso ni yetira i ŋa niŋi. 
GEN.26.3	Ba kpe paaligu daba ayi, m ni ba e saani, ka nafa i. M ya n pa ni m naŋgbantiibu so ni ti e ba Ibrahim la, m ni naa tiŋgbaŋaa zaa ti e ni e yaŋsi. 
GEN.26.4	M ni ti e yaŋsi wasi, a zoo maa ŋmeribiisi, m ni kpabira ba yela, ka dolli ba niŋi nafa durinye balisi zaa. 
GEN.26.5	M ya n niŋini n ŋa, a kpali e ba Ibrahim ni wumi n ti ma, a pa m zaaligusi zaa zu la.”
GEN.26.6	A zu, Yisaaka zi Gera 
GEN.26.7	Rabeeka daa n niŋini pogiso n veela ga, nisaaniŋi dabsi daa n boosira u o yela, o yeli ni o sunzopoga n na. O daa n zorini dabeem, o n di n yeli ba ni o poga n na, ba n di n ku, ka naa poga maa. 
GEN.26.8	Yisaaka zi nisaaniŋi yuu.
GEN.26.8	Dindaso Abimeliki Filisiti naaba nyaasi o tokuro niŋi, ka nye Yisaaka ni gbaa o poga Rabeeka kpabirisimtiri. 
GEN.26.9	Naaba Abimeliki booli Yisaaka, a boosi u, “E poga n niŋi pogaa? Ka wula zu n na, e yeli e sunzopoga n niŋi u?” Yisaaka yeli u, “M feni maa ba ni ku ma kpali o zu.” 
GEN.26.10	“Bo n na e niŋi ti seema? Ka dabsaa yinni zaa di mari e pogaa do, ti di niŋi yabetintaa.” 
GEN.26.11	A zu, naaba Abimeliki kpaasi so zaa tuba, ni so zaa ni siisi dabaa ni o pogaa, ni koŋŋi o nyevuri.
GEN.26.12	Niŋi n na, Yisaaka daa n ko, a buri bini tiŋgbaŋŋu maa niŋi, a niŋi ga, bumburubiluŋko zaa daa niŋini bindira koowa, a kpali Duuma n daa n nafa u zu. 
GEN.26.13	O daa n loobini bindaana, ka o bini na si n paasira. 
GEN.26.14	O daa marini naagi, peeri, a ni gurunsi. Binaa zu, o yela daa n marini Filisiti dima pubeerim.
GEN.26.15	A zu, ba gbi tana nyetira buluseesi o ba Ibrahim n daa n ti o gurunsi gbi la zaa. 
GEN.26.16	Dindaso, naaba Abimeliki yeli Yisaaka, “Yi ti puwa, a kpali bo, e kpeeŋu nyaŋŋi ti.” 
GEN.26.17	Niŋi n na, Yisaaka nyisigi ba puwa, a gaa Gera nantaŋŋu puwa, a wa ti sabi o gbana suga yi niŋi, a zi nisaaniŋi.
GEN.26.18	O n gaa n niŋi maa, o lee maali n yaa buluseesi ba n daa n gbi Ibrahim jemani la, ka Filisiti dima daa nyeri a, Ibrahim kum nyaaŋa la, Yisaaka lee n naa yuseesi o ba n daa n digili a la gbagba n digili a. 
GEN.26.19	Dindaso, Yisaaka gurunsi gbi bulugu yi nantaŋŋu maa puwa, ka nye koom. 
GEN.26.20	A daa n bi yuu, ka Gera buŋkokpagiriba ni Yisaaka buŋkokpagiriba daa zabira ni, bulugu maa niŋini ba toori. A zu, Yisaaka digili lala bulugu maa yuuri Zabiri.
GEN.26.21	Niŋi n na, Yisaaka gurunsi maa lee n gbi bulugu, ba ni Gera buŋkokpagiriba maa lee n mari o naŋgbanchee, Yisaaka digili o yuuri Diŋŋu.
GEN.26.22	A kpali ba naŋgbanchee maa zu, Yisaaka nyisigi nisaaniŋi, a wa ti zi zipaali, ka lee n gbi bulupaali. Nisaaniŋi wune, naŋgbanchee daa n lee n ka niŋi, a zu, o digili niŋi yuuri niŋgbirimaasim.
GEN.26.23	Ŋama nyaaŋa, o lee n nyisigi n gaa Beesiiba. 
GEN.26.24	Dindaari maa yiiŋu, Duuma nyisi o maŋŋa wusi u, ka yeli u, “Mani n niŋi e ba Ibrahim Naawunni la, a zu, da zora dabeem, m ni ba e saani, ka nafa i, ka ti e yaŋsi zoo, a kpali m guruŋu Ibrahim zu.” 
GEN.26.25	Niŋi n na, Yisaaka me sariga daaŋu, ka kpeesi Duuma, ka sabi o gbana suga.
GEN.26.26	Dindaso, Abimeliki ni Ahuza, o jinatoora, a ni Fikoli o soojasi kpeema yi Gera ta Yisaaka saani. 
GEN.26.27	Niŋi n na, Yisaaka boosi ba, “Bo n na ya chena m saani ya ti niŋi? Ni daa n ba ya saani, ya daa n chisi ma ni, ka kari ma yi ya saani.” 
GEN.26.28	Ba yeli u, “Ti nyeya maa Duuma bani e saani, a zu, ti ta, ti niŋi naŋgbanluŋko, a pe, ka digili noori ti taaba, 
GEN.26.29	a maa e ki niŋi ti daaŋu zaa, seema ti gba ni daa n bi namsi i, jemanso e n daa n ba ti saani la, ka yi ni niŋgbirimaasim. Ti baŋiya maa, Duuma nafa i ni.”
GEN.26.30	Niŋi n na, Yisaaka dugi bindira ga, ba di, ka ŋu. 
GEN.26.31	A n chee bee bogufiili, ba zaa nyisigi n digili noori ti taaba, ka Yisaaka beeli ba soori, ba mari sufupeelim kuli. 
GEN.26.32	Dindaari maa gbagba, Yisaaka gurunsi ta o saani ti yeli u, seema ba n gbi bulugu, a paa koom n ŋa. 
GEN.26.33	Yisaaka daa digili bulugu maa yuuri Siiba, o gbinni n niŋi naŋgbandigiligu. Seema a n di, ba boona tiŋŋa maa Beesiiba n na la, halli zinni.
GEN.26.34	Isawu daa niŋini yuma pisinaasi poin, ka daa n naa Hititi pogiba bayi, Judifu, Beeri biya, a ni Basemeti, Alon biya. 
GEN.26.35	Pogiba bayi maa daa ti ni beebu loobi toom ti Yisaaka ni o poga Rabeeka.
GEN.27.1	Yisaaka n daa n ti kurigi, ka bi lee n nyaara nene, dindaso, o booli o bikpeema daana Isawu, “M biya.” O sagi “Mani n ŋa.”
GEN.27.2	Niŋi n na, Yisaaka yeli u, “Pimparaŋa m kurigiya, ka bi baŋŋi jemanso m di n kpi. 
GEN.27.3	Nyisigi n naa e logu ni o piima gaa moo niŋi, a wa ti ku valiga ti ti ma. 
GEN.27.4	Ka e mari n ŋa valigaa ta, e naag u dugi bindira meesa ti ti ma, m di, ka nafa i poin, ka kpi.”
GEN.27.5	Jemanso Yisaaka ni togsira o bii Isawu saani maa, ka o ma Rabeeka gba wumina a zaa nyem. Niŋi n na, Isawu gaa moo puwa, o wa ti kpabi valiga maa ta. 
GEN.27.6	Niŋi Rabeeka yeli o bii Yakubu, “Nyaasi, m wumi e ba n yetira e beeri Isawu, 
GEN.27.7	ni o wa ti ku valiga ti dugi bindira meesa ti o di, ka nafa u poin, ka kpi. 
GEN.27.8	A zu, m biya, yoo tuba nene wumi, ka niŋi seema ni ya n yeli i ŋa. 
GEN.27.9	Yi dinyaaŋa we buŋkobiri la puwa, a wa ti gbaa bupola ayi ta, m dugi bindira meesa ti e ba, 
GEN.27.10	e naa bindira maa wa ti ti e ba o di, ka nafa i poin, ka kpi.”
GEN.27.11	Niŋi n na, Yakubu yeli o ma Rabeeka, “Ka m beeri niŋa zaa ni mari koba, ka m mi niŋa n ka koba ŋa. 
GEN.27.12	Ka m ba siisi ma, o ni yeli mani n yomsira u, ka ki nafa ma, ama o ni si ma noori.”
GEN.27.13	O ma yeli u, “Cheli naŋgbansiibu maa o niŋi m toori, nyiwune e niŋi seema ni yeli i maa de, wa ti gbaag a ti ti ma.”
GEN.27.14	Niŋi n na, Yakubu wa ti gbaa buusi maa ti ti o ma, o dugi bindira meesa, seema gbagba Yisaaka ni kpabira la. 
GEN.27.15	Ka naa o bii Isawu, so n niŋi kpeema la, bimpilisuma n ba dii pili o sunzo Yakubu. 
GEN.27.16	Ka lee n naa buusi la gbana muuri Yakubu nuusi ni o nuŋgori, seelasi ni ka koba la. 
GEN.27.17	O n pili u n ŋa baasi, o naa bindira maa ni paanu so o ni se la paasi.
GEN.27.18	Niŋi n na, o dee bindira la gaa o ba saani, ka yeli, “M ba.” O ba sagi, m biya, “Wunbo n na?”
GEN.27.19	Yakubu yeli o ba, “Mani Isawu, e bikpeema n na. M niŋi seema e ni yeli ma ni n niŋi la, a zu, nyisigi n zi, a di bindira maa, ka nafa ma.”
GEN.27.20	Yisaaka boosi u, “M biya, wula n na e nye e valigaa yoom seema?” O yeli, “Duuma so n niŋi e Naawunni la n ti ma zusuŋŋu.”
GEN.27.21	Niŋi n na, Yisaaka yeli u, “Vuu n ta m saani, m siisi i nyee, m bii Isawu gbagba n na ŋa, koo ka wune n na?”
GEN.27.22	Yakubu vuu n we o ba saani, o siisi u, ka yeli, “E goo niŋini Yakubu goo, ka e nuusaa mi niŋi Isawu nuusi.” 
GEN.27.23	O daa n bi tee n baŋŋi u, o niŋa koba la zu, a kpali seema Isawu nuusi koba ni be n na la, a zu, o nafa u. 
GEN.27.24	Ama, poin ka o nafa u maa, o boosi u ni, “M bii Isawu gbagba n ŋa?” O sagi, “Mm.”
GEN.27.25	A zu, Yisaaka yeli u, “Naa moo puu valiga ni bindira maa ta, m di, ka nafa i.” Yakubu naa bindira maa ti ti u, o di, ka naa daseesi gba ti u, o ŋu. 
GEN.27.26	Niŋi n na, o ba Yisaaka yeli u, “M biya, vuu n ti mugisi ma.”
GEN.27.27	Yakubu vuu n wa ti mugisi u, Yisaaka ni wumi o bimpinna maa ŋuwa, o nafa u, ka yeli n ŋa, “Ee, m biyaa si n ŋusirini maa tiŋgbaŋaa Duuma ni nafa. 
GEN.27.28	Naawunni n ti i saazu magilim, a ti i pubindira ga, halli chi baligu ni buŋŋuura zaa. 
GEN.27.29	Naawunni o ti balisi ba tumina i, ka durinye dima ba dobira i tiŋŋa. E ni niŋi yidaandaba yi e mabiisi niŋi. Ka niseesi ni si i noori ni nye naŋgbansiibu, ka seesi ni nafa i, ni nye nafa.”
GEN.27.30	Yisaaka ni si n nafa Yakubu ti baasira, ka o beeri Isawu yi o moo puu goorim ta. 
GEN.27.31	Niŋi n na, o gba dugi bindira meesa ti ti o ba, ka yeli u, “M ba, nyisigi n zi, a di m bindira, ka nafa ma.”
GEN.27.32	O ba Yisaaka boosi u, “Ŋani n na?” Bii maa yeli, “Mani e bikpeema Isawu.” 
GEN.27.33	A ku Yisaaka noori, o niŋa dammi u, o boosi, “Ka ŋani mini n go moo, a ku valiga dugi n ti ti ma? M si n dini baasi, ka nafa u, beela ka e ta la. Yamonsi, o ni nye nafa.” 
GEN.27.34	Isawu n wumi seema o ba n yeli maa, o chaari kpeeŋtiri ni sufusaaŋu, ka yeli o ba, “Nafa m gba, m ba.”
GEN.27.35	“E sunzo tee n ti yomsi ma, a deeg e nafa maa.”
GEN.27.36	Niŋi n na, Isawu yeli o ba, “O buyi daana n na la, o n puni ma, a jaa, a zu, o yuuri di Yakubu. O daa n dee m dogim kpebilim, ka lee n dee m nafa.” Ka o lee n boosi o ba, “Ama, e bi che nafa maa yinni zaali ma?”
GEN.27.37	Yisaaka yeli o bii Isawu, “M tee n naag u loobi e yidaana, ka naag o mabiisi zaa loobi o nachiinsi. O ni nye chi baligu ga, a ni daam ga. Wula n na ma lee n ya niŋi i, m biya?”
GEN.27.38	Niŋi n na, Isawu boosi o ba, “M ba, nafaluŋko n na e mari? Nafa m gba.” Ka chaari kpeeŋtiri.
GEN.27.39	O ba Yisaaka yeli u, “E ziiziya ni tiŋgbansuŋŋu ni ba wogilim, magilim ki yi saazu ti maag e tiŋgbaŋŋu. 
GEN.27.40	E tokobi niŋi n na, e ni dolli n dira, ka e ni niŋi e sunzo nachiima. Ama, dindaso zaa e ni zagsi suurisi maa, e ni fa e zu yi o nuusi niŋi.”
GEN.27.41	Niŋi n na, Isawu chisi Yakubu, a kpali nafa la o ba n nafa u la zu, ka fe n ŋa yi o sufu niŋi. “A ki lee n yuu, ka m ba o kpi, ti kumi o kuuri, kuuri maa nyaaŋa n na ma ni ku m sunzo Yakubu.”
GEN.27.42	Rabeeka ni baŋŋi seema Isawu ni le o sufu niŋi, o tumi n booli o bibila daana Yakubu, a yeli u, “E beeri Isawu ya n ku i ni, a yo samini. 
GEN.27.43	A zu, biya, wumi nene, ka niŋi seema ni ya n yeli i ŋa. Yi kpe yoom, a zo n gaa m sunzodaba Leban saani, a yi Haran tiŋŋa. 
GEN.27.44	Ka ba o saani daba ayi, e beeri suuri o maa poin. 
GEN.27.45	Ka o suuri ti maa, m ni tolimi booli i. A kpali, m bi kpabira n koŋŋi ya bayi zaa dindaluŋko.”
GEN.27.46	Niŋi n na, Rabeeka yeli o sira Yisaaka, “M sufu bi maa ma, a kpali, Hititi pogiba la zu. Ka Yakubu gba lee n naa Hititi poga, m di kpiya so.”
GEN.28.1	Yisaaka booli Yakubu ti nafa u, ka yeli u, “Da pa ti naa Keenan paaligu poga. 
GEN.28.2	Ama, gaa Mesopoteemiya paaligu, a wa ti kpe e yaadaba Betuwel laanta. Naa poga yi nisaaniŋi, a yi e ma sunzodaba Leban bipunsi puwa. 
GEN.28.3	Naawunni, kpeeŋu zaa daana, o nafa e kulisigu, a ti ya bidamta. Lala jemani, e ni ti loobi balidamta ba. 
GEN.28.4	Wune n ni nafa e ni e yaŋsi maa seema o n daa n nafa Ibrahim la, a ti tiŋgbaŋaa loobi e toori, so niŋi e ni be ŋa, wune Naawunni n daa naa n ti Ibrahim la.” 
GEN.28.5	A zu, Yisaaka ti Yakubu gaari Mesopoteemiya, Leban saani. Leban ba n niŋi Betuwel, so n niŋi Aram nira, ka niŋi Yakubu ni Isawu ma Rabeeka sunzodaba. 
GEN.28.6	Isawu wumi Yisaaka ni nafa Yakubu, ka ti o gaa Mesopoteemiya, o wa ti naa poga nisaaniŋi, ka lee n wumi maa o nafa u, ka yeli u, “Da pa ti naa Keenan paaligu poga.” 
GEN.28.7	Yakubu wumi o ba ni o ma noori ka gaa Mesopoteemiya. 
GEN.28.8	Isawu baŋŋi maa Keenan paaligu pogiba maa yela bi peri o ba Yisaaka. 
GEN.28.9	A zu, o gaa Ibrahim bii Isimeel saani wa ti naa o bipuŋŋu Mahalaf, Nebayof sunzopoga, a paasi o pogiseesi o mari la niŋi.
GEN.28.10	Yakubu yi Beesiiba wara Haran tiŋŋa. 
GEN.28.11	O n paa seela, o do niŋi bee o chee, a kpali wuluŋu liya. Ka naa kugiri loobi zukogu kogi n do. 
GEN.28.12	O zaasi zaasim, a nye darigu n za tiŋŋa wa ti tisi sagbana, ka Naawunni malaakasi duura o niŋi, ka sigira. 
GEN.28.13	Ka Duuma za n begi darigu maa yi saazu, ka yeli, “Mani n niŋi Duuma la, Ibrahim Naawunni, a ni Yisaaka Naawunni. Tiŋgbaŋŋu so niŋi e ni do ŋa, m ni naag u ti e ni e yaŋsi. 
GEN.28.14	E yaŋsi ni sagi maa tambisigu yi durinye ŋa puwa, ya ni saligi n gaa wulunliya, wuluŋpusigu, kiŋkagili sagbinni, a ni kiŋkagili sazu. M ni nafa balisi zaa yi durinye ŋa puwa, a dolli e ni e yaŋsi niŋi. 
GEN.28.15	Teesira, m ni ba e saani, a kogira i seela zaa e n wara, m ni mari i pori n ta tiŋgbaŋaa niŋi. M ki cheli i, ama bunso zaa ni digili noori yeli, m ni niŋi maa niŋini.”
GEN.28.16	Jemanso Yakubu ni nyisigi gbeem maa niŋi, o yeli, “Yamonsitiri, Duuma ba kpe, ka ma bi baŋŋi, o lala.” 
GEN.28.17	Dabeem gbaag u, o yeli, “Kpe yela mari dabeem gbagba. Ka buŋ zaa n lee na n paasi Naawunni dii ni Alizaana dinaŋgbanni.” 
GEN.28.18	A n chee bee bogufiili, Yakubu naa kugiri la o n kogi la damsi n sabi, ka kpaa kpaam pa o niŋi, a naag u pobi Naawunni nuusi. 
GEN.28.19	Ka digili nisaaniŋi Betel. Tiŋŋa maa yuuri n daa n niŋi Luzi. 
GEN.28.20	Yakubu digili noori yeli, “Naawunni, ka e yi ba m saani, a kogira ma yi n cheni ŋa puwa, ka tira ma bindira ni bimpinna, 
GEN.28.21	ma lee n ti pori n gaari m ba yiri ni alaanfiya, nyini n ni niŋi m Naawunni. 
GEN.28.22	Teesigu kugiraa ni sabi seela ŋa, ni niŋi e kpeesigu ziya, ka bunso zaa e n ti ma, m ni nyisi a piipii zu ti i.”
GEN.29.1	Yakubu lee n gbaa soori ti paa niseesi n ba wuluŋpusigu tiŋgbaŋŋu maa niŋi. 
GEN.29.2	Niŋi n na, o nye bulugu, ka peeri tulum buta zu do o see, a kpali, bulugu maa n na ba ŋoo n niŋini peeri maa. Kugiyeliŋu n daa pa bulugu maa noori. 
GEN.29.3	Peeri maa zaa yi ti laŋsi, pekpagiriba maa yi bilimini kugiri la, ka ŋoo koom niŋi peeri maa. Ba yi lee n porini kugiri maa pa bulugu maa noori. 
GEN.29.4	Yakubu boosi pekpagiriba maa, “M zodima, ya n na ya yi?” Ba yeli u, “Ti yini Haran.” 
GEN.29.5	O lee n boosi ba, “Ya baŋŋi Naho yaŋŋu Leban?” Ba sagi, “Mm, ti baŋŋi u.” 
GEN.29.6	Yakubu boosi ba, “O mari alaanfiya?” Ba yeli u, “O mari alaanfiya. Nyaasi, o bipuŋŋu Rachel ni o peeri n chena la.” 
GEN.29.7	O yeli ba, “Ya nyaasi, wuluŋu na zooya ga, jemani na bi paa maa peeri maa zaa di n laŋsi. Ya ŋoo koom niŋi a, ka mari a pori n gaa diibu ziya.” 
GEN.29.8	Ba yeli u, “Ti ki tee, ama peeri maa zaa laŋsini poin, ka ti tee n bilimi kugiri maa yi bulugu maa noori, ka ŋoo koom niŋi a.” 
GEN.29.9	Jemanso Yakubu na n togsira ba saani maa, ka Rachel mari o ba peeri ta, wune n daa kpagiri a.
GEN.29.10	Yakubu n nye Rachel ni o nyesiba Leban peeri, o gaa bulugu maa see bilimi kugiri la, ka ŋoo koom niŋi o nyesiba peeri maa. 
GEN.29.11	Niŋi n na, Yakubu mugisi Rachel, ka kumi, a ni sufupeelimtiri. 
GEN.29.12	Ka yeli Rachel maa, o niŋini o ba sunzopoga Rabeeka biya. Rachel chee yoom wa ti yeli o ba.
