MAT.1.1	Neney na ɗeriwel ma mezley ma baba tete ma Yezu Kriste hay, bəzey ma David, bəzey ma Abraham.
2CO.13.11	Ekəɗey tok na malam a ɗaw hay, ndzam da wuiya, kam meslərey ma ləmada vaw kwar lele, səmam vaw ka 'ar vaw kwar ana hay, dzəmam ɗay, ndzam da zozoy, arka na, Bay ma Bəla ma ma wuɗa vaw, ma zozoy a da ndzey ta kuray. 
2CO.13.12	Tsam guma a vaw ka 'ar vaw kwar ana hay, sərmam vaw da kokwoɗ. Ndaw 
2CO.13.13	Hahaya ma Bay’ərlam Yezu Kriste ta ma wuɗa vaw ma Bay ma Bəla, ta ma dzəma vaw ma Mesəfrey Kokwoɗ ana, ka ndzam ta kuray tabiyaha.
GAL.1.1+GAL.1.2	Yah Pol, maslaŋ, ta malam na ndaw ma Kriste ana hay na la dzaya andza yah ana, i windar a Egliz na da Galasi ana hay. Ma padaya maslaŋ aha na ndaw hay kakay, kwa ta har ma ndaw kakay, amana ta Yezu Kriste, ta Bay ma Bəla Baba ma mbəladərawa da walaŋ ma ndaw ma mətsa na hay. 
GAL.1.3	Hayna Bay ma Bəla Baba lakwa ta Bay’ərlam Yezu Kriste, ka vəlakwar hahaya ŋga ta zozoy ŋga. 
GAL.1.4	Ŋga ma vəlada vaw ŋga hərway ma meŋgəsey lakwa hay, ma aza ka da buwandukurawa da har ma bəla neney haya kakay ana, ma kaha kal kal andza na ma Bay ma Bəla ma wuɗey ana, ŋga na, Baba lakwa. 
GAL.1.5	Təɗe ma ŋga na, ma hasəkadara bəzay ka mevey temere ka mevey temere. 
GAL.1.6	Ma rəzlaya na, haf haf a kwar, ma mbəɗamar dəba kwar a ndaw ma zələkurawa ta hahaya ma Kriste haɗadzidzay ana, ma da tesey a mey hayna mekelehe na. 
GAL.1.7	A-'ay akwa mekelehe na dakay; daha na, ndaw ma dzoŋgufəmakwar ’ar ana hay, a wuɗam na, ma mbəɗadama Mey Wayna ma Kriste ba. 
GAL.1.8	Ama na, haɗaw ndaw ana, kwa la na, dakay na kwa madurlam ma 'ərlam tekeɗe na, a ɓakwar Mey Wayna gəle ta na la ma ɓadəmukurawa na na, ka key na ma kəla ’ar aha! 
GAL.1.9	Äa la ka tsəməkurawa ba, ekəɗey la madama sa: Haɗaw ndaw ana a tsakwar ka Mey Wayna gəle ta na kuray ma təɓama na na, ka key na ma kəla ’ar aha! 
GAL.1.10	Hərway ekəɗey na, i səpey na, i ka datar 'ar a ndaw hay tsukuɗu, a Bay ma Bəla ɗaw? Hana akwatay i ma ndzaha re me səpey i ka mbafata ka ndaw hay na, akwatay na, i gawla ma Kriste ha sakay.
GAL.1.11	Hərway i ɓadakwar na malam a ɗaw hay, Mey Hayna Wayna na i ma taləkadukurawa mey ana na, ma ndaw kakay. 
GAL.1.12	Akwa na, guma na i ndzafərawa na na, da huɗa mey ma ndaw kakay, kwa ndaw ka tatəkadiyawa kakay, ama na, da Yezu Kriste, da ma ɓiyawa vaw ŋga. 
GAL.1.13	Hərway kuray ka tsənadama ba a tsam aha ka mendzey ɗaw, da har ana i da kuley ma 
GAL.1.14	Da kuley ma 
GAL.1.15	Ama andza Ndaw ma zəgaya, ma padaya gəle zla da hwaɗ ma may ɗaw ana na, arka ma zəlaya ta hahaya ŋga, ka dzala ba mambay aha. 
GAL.1.16	ka ɓada Bəzey ŋga da yah, ma aza i ka da tələkada mey da walaŋ ma ndaw 
GAL.1.17	Arka tsa na, mandzara kwa ndaw ka tsaya guma a 'ar, kwa mandzara i ka tsəley a Zeruzalem ka slam ma ndaw ma tərafəmaya maslaŋ ba ka mey ana hay na, i ma daway a Arabi, arka na, i ma mawa a Damas. 
GAL.1.18	Arka mevey makar a dəba na na, i me tsəley a Zeruzalem ma i ka sərəmawa vaw ta Sefas, arka i ma ndzawa meney kurow kava zlam ka tsakay ŋga, 
GAL.1.19	mandzara i ka nəkada maslaŋ mekelehe, sey Zak malam ma Bay’ərlam Yezu dada. 
GAL.1.20	Guma neney i ma windukuraɓa na na, i tsa na, ka slam dey ma Bay ma Bəla, kwa malwaɗay kakay. 
GAL.1.21	Arka na, i ma daway a dala ma Siri ta Silisi. 
GAL.1.22	Ama na, mey dey ɗaw ana na ka səradama da Egliz ma Zudey hay kakay. 
GAL.1.23	A tsənadama na, a tsam aha andza neney dada: «Ndaw ana ŋga na ma kadandakwar tatakway kete na na, ekəɗey na, a tələkada ha mey ta me pey 'ar aŋga na me wuɗey ma davasada ba na. 
GAL.1.24	Arka taya ma hasəkadəmara bəzay a Bay ma Bəla hərway ɗaw.
GAL.2.1	Arka a dəba ma mevey kurow kava faɗ na, i me tsəley dey mekelehe a Zeruzalem sa, la ta Barnabas, i ma ŋgəley Tit ka bəzay ɗaw tiyatsa. 
GAL.2.2	I tsəley na, kavəday Mesəfrey ka ɓaya guma ba daha, i ma ɓadatara Mey Wayna, na i ma ɓey da walaŋ ma ndaw 
GAL.2.3	Ama na, kwa ka təkamar ɗay a Tit, ndaw ma kəsadiyaɓa na, ka sla kuɗey ba kakay, kwa andza ndaw Grek tekeɗe na. 
GAL.2.4	Dakay a da key na hərway ma malam malwaɗay ana hay, ndaw ka wunata kakay, ma wutsəmaɓa a walaŋ ala andza ndaw dugwan hay ma da dzaɗəmandar, ka me wey 'ar ala ma sawa da Yezu Kriste ana, a wuɗam na, ma təradəmandar beke ahiya. 
GAL.2.5	A ndaw ana ŋga na hay na, la ka tsənəmatar sləmay kakay, kwa da mendzey nekəɗey na, ma aza andza dərka ma Mey Wayna, ka ndzey mambay aha ma kwar. 
GAL.2.6	Ama ka tek me nəkey dey ka ndaw ɗuhwa na hay na - ma ndzawa ta na na, ka kaya da 'ar tikay, hərway Bay ma Bəla na a weley ndaw tikay - ndaw ana ŋga na hay na, ka tsəhafəmaya tek a fəna mey hayna wayna na dakay. 
GAL.2.7	Dzadzak taya ma nəkadama na, me ɓey Mey Hayna Wayna a ndaw ma sla kuɗey kakay ana hay na, ma vəla ha a yah, kalkal andza Piyer ma vəla ha a ndaw ma sla kuɗey ana hay ana. 
GAL.2.8	- Hərway ndaw ana me key mber da vaw ma Piyer me ɓey Mey Hayna wayna a ndaw ma sla kuɗey ana hay na, me key mber da vaw ɗaw me ɓey Mey Hayna Wayna a ndaw 
GAL.2.9	Ma səradama hahaya ma 
GAL.2.10	Ama a dafa na, i ka sərafəkwata ka ndaw mbarga na hay, tek na i ma wafərawa 'ar haya haya ma key ana.
GAL.2.11	Ama andza ma Sefas ma daɓa a Antiyos na, i ka kar say ba ma dey ma dey, hərway ma mey na, malay ŋga. 
GAL.2.12	Akwa na, andza mba ndaw ma Zak hay ka dəmaɓa na, a zəmey tek andza ndaw 
GAL.2.13	Arka 
GAL.2.14	Ama andza i ma nəkada a dawam aha ta tsəveɗ ma dərka na ma Mey Wayna sakay na, i ma ləvar a Sefas ma dey ma ndaw hay tabiyaha: «Haɗaw kah ndaw 
GAL.2.15	Lakwa na, lakwa 
GAL.2.16	Ama ka səradakwa ha, ma tərada ndaw dzerey aha na, mber ma 
GAL.2.17	Ama haɗaw ta me səpey me tərey ndaw dzerey aha ta Kriste na, a da ndzafəmandakwar ba maŋgəsaya tiyatsa na, Kriste azlakwa a da tərey na, bəzey maslərey ma meŋgəsey ɗaw? Dey ta kava a'ay. 
GAL.2.18	Haɗaw azlakwa i key na, a ndərada tek na i ma mbəzlada na na, na ŋga na na, i tərada vaw ɗaw ndaw ma tsəney sləmay kakay aha. 
GAL.2.19	Hərway yah na, mavəday ma 
GAL.2.20	I ta dey, ama na, yah ana sakay, ma ndzaha da yah na Kriste, hərway mendzey ɗaw a neney da slaw vaw ɗaw ana na, i ndza na, da me pey 'ar ka Bəzey ma Bay ma Bəla, ma wuɗaya, ma haɗəkada vaw ŋga hərway ɗaw ana. 
GAL.2.21	Hərway haɗaw hahaya ma Bay ma Bəla da yah ana na, i tərada tek tedehe kakay, hərway haɗaw a da ndzafama dzerey na ta 
GAL.3.1	Kuray Galat a neney me dzeley 'ar kakay ana hay! Ma sləɓakwar leŋgesl ba, da 'ar na mey? Kuray ka tsənadama ba ta sləmay kwar, ma ɓadəmakwar me mətsey ma Yezu Kriste ka 'ar ma tuwaw ma gazləla ha na. 
GAL.3.2	Aŋga wandzaladəmaya tsana, bəzay ma guma neney: ka da ndzafam Mesəfrey na, hərway kuray ma kam andza ma 
GAL.3.3	Kuray azlakwa na dəla hiya, ha andza neney dzay ɗaw? Kuray a neney ndaw ma zlamar ta Mesəfrey ana na, ma da ləhadakwar haya hayaha na, slaw vaw tok ɗaw? 
GAL.3.4	Kuray ma nəkadəmata tek a neney hay tabiyaha na na, tedehe ɗaw? Akwa tek a neney hay na, a təram tedehe kakay. 
GAL.3.5	Ma vələkurawa Mesəfrey na ŋga, arka a key ɗeɗew hay da walaŋ a kwar, a key andza ha na, kavəday kuray ma kam andza ma 
GAL.3.6	Mewindey a ləvey na: andza ma Abraham me pey 'ar ba ka Bay ma Bəla na, arka Bay ma Bəla ma nəkafa andza ndaw dzerey aha na hərwuiya. 
GAL.3.7	Tsənadama tok: bəzey ma Abraham hay na, ndaw me pey 'ar ana hay. 
GAL.3.8	Akwa dzadzak na, Mewindey Kokwoɗ ana hay ka tsəmərawa ba ka vaw: Bay ma Bəla a da təradata ndaw 
GAL.3.9	Kəɗey tok na, ndaw me pey 'ar ana hay na, ma pəsa mey aya ba andza Abraham, ndaw me pey 'ar ana. 
GAL.3.10	Hərway ndaw ma səpey 
GAL.3.11	Dey ta kava, ta har ma 
GAL.3.12	Dzadzak na da 
GAL.3.13	Kriste na ka haɗəka tsoy ma da buwandukurawa ba da ma kəla 'ar ma 
GAL.3.14	Neney ka key na, ma pəsa mey ma Abraham ka husawa ba ka ndaw 
GAL.3.15	Malam a ɗaw hay, zlakwar me tsey na ka mendzey ma ndaw hay: guma ma ndaw me tsey andza a da mətsey na, haɗaw ma tsa ha ba ta tsəveɗ na, ndaw a davasada kakay, kwa a pam adiya kakay. 
GAL.3.16	Ana ekəɗey tok na, a tsadəmara guma i da vəlaka tek na, a Abraham ta bəzey ma hwaɗ aŋga. Ma ləva ha andza neney na, a bəzey ma hwaɗ aŋga hay, kəla andza a ndaw hay haɗadzidzay, azlakwa a da key na a ndaw asləta, «a bəzey ma hwaɗ eɗek», ka ləva na Kriste. 
GAL.3.17	Na ŋga ɗaw i ma dzala na andza neney: tek na andza guma ndaw me tsey ta tsəveɗ, andza a da mətsey aha na na, ma kərawa na Bay ma Bəla ana ba ɗagay. 
GAL.3.18	Hərway haɗaw azlakwa i da zəmakwa 'ay ana na, ta 
GAL.3.19	Da na ŋga na tok na, mewey a sawa, a da key da huɗa mey? A sawa adiya na, ma malay ka sərey, ma hutada ma da sawa ma Bəzey ma hwaɗ ana ma tsəmawa kava na: ma da ɓadərawa na madurlam hay, ta har ma adziya. 
GAL.3.20	Arka azlakwa ndaw ma zawadərawa guma na na, ndaw ma zewey guma ma ndaw asləta dada kakay zləna, Bay ma Bəla na ŋga asləta. 
GAL.3.21	 a daway da meterŋgəleŋ ka guma ma Bay ma Bəla ma tsawa na ɗaw? Dey ta kava a-'ay, haɗaw azlakwa a vəladəmərawa 
GAL.3.22	Ama Mewindey Kokwoɗ ana a ləvey na, meŋgəsey ka watar 'ar ba a tek hay tabiyaha, ma aza arka ta me pey 'ar ka Yezu Kriste na, ka ndaw me pey 'ar na, guma ka ndesley andza na ma tsəmərawa na. 
GAL.3.23	Amba me pey 'ar ka sawa na, lakwa ma zəgaya beke ma 
GAL.3.24	Kəɗey tok na, 
GAL.3.25	Ama andza ma sawa ma me pey 'ar ba na, lakwa da huɗa har ma ndaw ma tsukurandakwar a ŋga na sakay. 
GAL.3.26	Hərway kuray tabiyaha ta me pey ’ar na, kuray bəzey ma Bay ma Bəla ahiya da Yezu Kriste. 
GAL.3.27	Ayaw, kuray a neney tabiyaha ma dzuhəɓəmawa ta Kriste na hay na, kuray ka kəlam Kriste ba ka vaw. 
GAL.3.28	Kəɗey na,kwa 
GAL.3.29	Haɗaw azlakwa kuray ma vəlaya ma Kriste na, na ŋga na azlakwa na, kuray bəzey ma hwaɗ ma Abraham hay, andza na ma tsəmawa na na, kuray na ndaw me zəmey 'ay ana hay.
GAL.4.1	Me dzeley 'ar a ɗaw tok na, andza neney: ka key na mendzey haɗadzidzay, ndaw ma da zəmey 'ay ana bəza ha mba na, me weley ta na ka vaw ta beke na dakay, kwa andza ma da wata tek a hay tabiyaha na ŋga na. 
GAL.4.2	Ama ŋga da huɗa har ma ndaw ma gəla na, ta ndaw ma wafara vaw ka zleley ŋga na, ha kasl ka pas ana baba ŋga ma mbəsla na. 
GAL.4.3	Arka lakwa na na,andza ha atsa, andza lakwa bəzahiya, lakwa da huɗa har ma tek ma bəla neney hay mba na, lakwa beke ahiya. 
GAL.4.4	Ama andza har ma me ndesley ana ma slawa ba na, Bay ma Bəla ma sləradərawa Bəzey ŋga, a yəmərawa da hwaɗ ma ŋgwas, mewey a war 'ar. 
GAL.4.5	Ma da mbəɗatərawa ndaw na 
GAL.4.6	Kuray na, bəzey ŋga hay dərka, Bay ma Bəla ka sləradərawa Mesəfrey ma Bəzey ŋga ba a mevel a lakwa hay, a zəla ta me wudey aha: Aba - Baba! 
GAL.4.7	Kah na tsoy beke ha sakay tok, ama kah na bəzey aha ka dəba, arka andza bəzey aha kadəba na, kah ndaw me zəmey 'ay tiyatsa, na ŋga na na, mber ma Bay ma Bəla.
GAL.4.8	Zlekete ka səradama Bay ma Bəla tsaray kakay na, kuray beke ma 'ərlam dərka na kakay ana hay, da ma kawa ta na na, bay'ərlam ahiya kakay. 
GAL.4.9	Ama ekəɗey ka səradama Bay ma Bəla ka dəba na, dakay a fəna sa na, ka sədukurawa ba, ɗaɗa kada mam ta dəba sa, a tek ma bəle hay, mbarga hiya na, ka da wumakwar sa na, a key vaw sa ɗaw? 
GAL.4.10	Ka tsakasləmata meney sa na hay, kiya sa na hay, lam sa na hay ta mevey sa na hay andza tek ma kuley ahiya. 
GAL.4.11	Ma wasadaya na, mber a ɗaw ma kawa hərway kwar ana na, a da zəɗey tedehe! 
GAL.4.12	Malam a ɗaw hay, kam andza yah, hərway i ka tərada vaw ɗaw ba andza kuray tey sana, i kakwar amboh, ɗaɗa kuray ka ŋgəsəmaya dakay. 
GAL.4.13	Ka səradama ha haya haya seŋgey, i ma ɓadukurawa Mey Hayna Wayna na, dey tsəfəmey ana na da har mavəday i dzedzey aha seŋgey. 
GAL.4.14	Arka kwa da vaw ɗaw ana dzedzey aha na tekeɗe na, kuray ka mbəɗəmaya dəba kakay, i ka kakwar mandzaɗak kakay, dzadzak tok na, kuray ma ŋgələmaya andza madurlam ma Bay ma Bəla, andza ma Kriste Yezu. 
GAL.4.15	Wuiya kwar ana tsəfəmey ana, a da daw na a may tok? Hərway i ka seydewe neney: hana na, ha slafama na, kwa dey kwar tekeɗe na, kuray ka tsursləmərawa ba, ma da vəladaya. 
GAL.4.16	Ekəɗey tok na, i da tərey na ndaw dugwan a kwar ka dəba, kavəday i ma tsakwar dərka na ɗaw? 
GAL.4.17	Haf haf ata na ma kəmakwar ana na, ta tsəveɗ kakay, a wuɗam na, ma tsadəmakwar ba ka vaw ta yah, ma aza kuray ka da tsafəmata dey. 
GAL.4.18	Tek hayaha na, ma nəkada ma wuɗa vaw na ta tsəveɗ ana, ma ka pas ka pas aha na, zləna sey i ka key ka tsakay kwar ana tsa kakay. 
GAL.4.19	Dem a ɗaw hay, da mendelemey ɗaw ana na, i yadakwar mekelehe, ha aza Kriste ka gəley ba da vaw kwar ɗagay. 
GAL.4.20	Ah! A saya i da sərafa na, i ka tsakay kwar ekəɗey ana, aza i ka ndzefey veɗ ma ɗay ma tsadakwar na ma daway kassla na, hərway i sərada i ka kadakwar na teŋgey sakay!
GAL.4.21	Äadəmaya ɗagay, kuray a neney ma wuɗam ma tsənamar sləmay a 
GAL.4.22	Akwa ma winda ha da ɗeriwel kokwaɗ ana na, Abraham me ndzefey wawa hay tsew, asləta na, bəzey ma beke, naŋgar na ma ŋgwas hayna. 
GAL.4.23	Ama wawa ma ŋgwas beke na na, ma yaha ma kəla ma slaw vaw, ama ma ŋgwas hayna na, andza na ma tsəmawa kava na. 
GAL.4.24	Guma neney a təkərey guma ma malada ta tek hay, ŋgwas a neney hay na, akwa ma dzəma vaw hay tsew. Naŋgar na, a sawa da mamba ma Sinayi, a da yawa na, ma da key beke; na ŋga na na, Agar, 
GAL.4.25	- hərway mamba ma Sinayi na, da Arabi -. Arka Agar a maladəmata na ta Zeruzalem na ekəɗey ana, hərway taya beke hiya ta wawa ŋga hay. 
GAL.4.26	Ama Zeruzalem ma 'ərlam na, beke ha tikay, arka maya lakwa na ŋga; 
GAL.4.27	hərway ma winda ha da ɗeriwel kokwaɗ ana na andza neney:
GAL.4.27	«Key wuiya, kah a neney dəlay aha, ma yey tikay ana,
GAL.4.27	kəley salalay ta me wudey ma wuiya, kah a neney ma sərada ma ndelemey ma zləbeŋ tikay ana.
GAL.4.27	Hərway bəzey ma ŋgwas a neney, ma wuɗama tikay ana na, haɗadzidzay
GAL.4.27	a fəna ŋgwas ma zel.»
GAL.4.28	Arka kuray tok na malam a ɗaw hay, andza ma Izak na, kuray na bəzey ma guma ma tsəmawa na. 
GAL.4.29	Ama andza ha satsa na, ndaw ma yaha ma slaw vaw ana na, a kada tatakway ta ndaw ma yaha ma Mesəfrey ana, ha kasl ekəɗey na andza ha təŋga. 
GAL.4.30	Ana təɗe! Mewindey Kokwoɗ ana hay a ləvam na teŋgey? «Hara beke neney ba ta bəzey ŋga, hərway hayna bəzey ma beke ka da zəmam 'ay ka masləta ha, ta bəzey ma ŋgwas hayna zlay.» 
GAL.4.31	Kəɗey tok na malam a ɗaw hay, lakwa na, bəzey ma beke hay kakay, ama na, bəzahay ma ŋgwas hayna.
GAL.5.1	Kriste a buwandukurawa na, ma lakwa ka tərakwama ndaw ma wama ’ar ata na hay dərka na. Səmam vaw, ma ka da madəmakwar 
GAL.5.2	Yah Pol na, i ləvakwar: haɗaw kuray ka slama kuɗey ba na, Kriste a da nafakwar aha sakay. 
GAL.5.3	I hərafa waw a fəna sa: kwa way way me səpey ka sladəmara kuɗey ba na, ŋga na 
GAL.5.4	Na ŋga na na, kuray ka tsam ba ka vaw ta Kriste, haɗaw ka səpam dzerey kwar da 
GAL.5.5	Haɗaw na ŋgalakwa ndaw me pey ’ar hay na, la padama me pey dey la na ka Bay ma Bəla, ma da təradandakwar dzerey ahiya ka slam dey ŋga, na la lakwa ma hutakwa ta ma slafa ma Mefrey 
GAL.5.6	Hərway ma ndaw ŋga da Kriste na, ndaw ma sla kuɗey aha, dakay ma sla kuɗey aha kakay na, a nefey tikay, ama me nefey na, me pey ’ar me key tek da ma wuɗa vaw. 
GAL.5.7	Ka hwam aha mambay aha sana, ndaw ana andza da vaw kwar ma tsapa tsəveɗ ba, ma təka dərka ma ka vahakwar ana na mey? 
GAL.5.8	Tek ana andza na ŋga na ma pafakwar wuiya na a sawa na da ndaw ma zəlakwar ana kakay. 
GAL.5.9	Is ketekwəɗey na, a mbəslada hapa ma haləɓa ha tabiyaha andza na ma ləvam ana. 
GAL.5.10	Na ŋga ɗaw na, i ma pa 'ar aha ka kuray da mezəley ma Bay’ərlam: ka da mbəɗam aha dey a slam mekelehe kakay. Ama ndaw ma sadərawa guma a walaŋ a kwar, ma da daləhwasadakwar ana na, kwa ka key na teŋgey teŋgey na, a da ndzafa me hətey ŋga na. 
GAL.5.11	Na ŋga ɗaw na, malam a ɗaw hay, haɗaw re i tələkey mey ta me sley kuɗey mba na, azlakwa a ŋgəladəmaya dey kakay na, ka mey? Azlakwa kəɗey na, me tsey metsembeɗ ma tuwaw ma gazləla na na, ma davasa ha ba! 
GAL.5.12	Ndaw a hay ma hundzasləmakwar guma ma masley kuɗey ana na, hayna taya ka slama ba na kəreh tabiyaha!
GAL.5.13	Malam a ɗaw hay, a zələmukurawa na, ma kuray ka wama 'ar a kwar, ama da me wey 'ar a kwar ana hana tok na, ka da mbəkadəmara vaw a tek me sey ma slaw vaw zlay, ama na, da ma wuɗa vaw na, dzənam vaw ka 'ar vaw kwar ana hay. 
GAL.5.14	Hərway 
GAL.5.15	Ama kendzey ka zam vaw ka 'ar vaw kwar ana hay, ka pəɗam vaw ka 'ar vaw kwar ana hay na, wam daw ka vaw, ka da zəɗam vaw ka 'ar vaw kwar ana. 
GAL.5.16	Pafəmaya sləmay ɗagay: halam na, da mezek ma Mesəfrey, na ŋga na na, ka da kam aha tek ma slaw vaw ma wuɗey ana sakay. 
GAL.5.17	Hərway slaw vaw ta tek aŋga ma wuɗey na, a da dawam aha ka vaw ta Mesəfrey kakay. Mesəfrey a dam ka vaw ta slaw vaw kakay. Vərom daha da walaŋ ata, kəɗey tok na, ka da kəmata tek a kwar ana ma wuɗam ana hay sakay. 
GAL.5.18	Ama haɗaw ma kəsadakwar na Mesəfrey na, ma wakwar 'ar na 
GAL.5.19	Mber ma slaw vaw hay na a səradəmata seŋgey: mewey ’ar so ha, me zləɓey, me tsəley so ha. 
GAL.5.20	’ərlam so na hay, hila, dzendze, me tərey vaw, meney dey, ndzəlakokwa, səleŋ, me tsey vaw dugwan ahiya ka ’ar vaw ta na. 
GAL.5.21	Tek me sey kambəlaɓa, me sey zom kambəlaɓa, me zəmey tek kambəlaɓa, a kam tek ana sa na hay andza ha sa tsa. Ndaw me key tek andza na ŋga na hay na, i ɓadakwar andza na i ma tsəkurawa na, a da zəmam aha slam da Slala ma 
GAL.5.22	Ana nəkafama ka mber ma Mesəfrey ma sadərawa na: ma wuɗa vaw, wuiya, zozoy, me zəgey mevel, kokwoɗ, hahaya, me pey 'ar, 
GAL.5.23	ləfeɗeɗe, me wey 'ar ka vaw; mewey na, a kafata say ka tek a neney hay tikay. 
GAL.5.24	Ndaw ma vəlaya ma Kriste na hay na, ka daradama slaw vaw ta ba, ka tek ata ma satar, ma dzalam ana hay. 
GAL.5.25	Haɗaw lakwa ma ndza hiya ta Mesəfrey ana, mbəkadukwara vaw a Mesəfrey ana ka kəsadandakwar.
GAL.5.26	Ka da ŋgalakakwa ka 'ar vaw lakwa na hay zlay, ka 'ar vaw lakwa na hay na, me zerey mey ka da key daha zlay, me ney dey ka da key daha zlay.
GAL.6.1	Malam a ɗaw hay, kendzey andza ka sərafama ba ka ndaw ka ŋgəsey ba na, ma da lətsadərawa na kuray ndaw ma ndzaya da Mesəfrey ana hay, ta ndaraw ma kokwoɗ; wey vaw zləna, naŋgər hay kah ana a da həlafəmaka suwet tey hegey! 
GAL.6.2	Dzənam vaw me zəgey tek ma ləhey ana ka 'ar vaw kwar ana, kəɗey na, ka ndasladama mewey ma Kriste.
GAL.6.3	Hərway ndaw ana a tərada vaw ŋga, andza ndaw ɗuhwa ha na, azlakwa zlay ŋga na ndaw tedehe na, a key na, a zləgey bay 'ar ma vaw ŋga na. 
GAL.6.4	Ama na kwa way way na ka sasəka mber aŋga na, kendzey andza ka ndzefey tek ma dar 'ar ana ba da huɗa na, ka malada na, ta vaw ŋga na zləna, ta ndaw mekelehe zlay. 
GAL.6.5	Hərway kwa way way a da zəgey na tek ma 'ar aŋga na. 
GAL.6.6	Ndaw ma təɓa Guma ma tatəkadəmara na na, da zleley ŋga tabiyaha na, ka par nekəɗey a ndaw ma tatəkadara na. 
GAL.6.7	Ka da zləgam zlay: Bay ma Bəla a mbəkada vaw ŋga ma ndaw ka saŋgərafa kakay; hərway tek ma ndaw ma sləkey ana na, ma da ɓətsa na ŋga na təŋga. 
GAL.6.8	Kendzey ndaw a sləkadara na a slaw vaw na, a da ɓətsey na tek ma slaw vaw ma yawa kava na: me zəɗey. Ndaw ma sləkadara a Mesəfrey tey na, a da ɓətsey na tek ma Mesəfrey ma yawa na: mendzey ma ndəvey kakay ana. 
GAL.6.9	Kakwama hahaya mandzara ka mətsandakwar har; hərway aza har ana ka da sawa ba na, i da ɓətsakwa, haɗaw andza har ka mətsandakwar kakay na. 
GAL.6.10	Kəɗey tok na, andza bəzay a rafandakwar daha mba na, kakwama mber ka nafatar a ndaw hay tabiyaha, ɗuhwa ha na ma ndaw ana bəse ka tsakay lakwa da ’ar me pey ana hay.
GAL.6.11	Nəkafama ka mewindey a neney ma winda ha dagwalam ana, ma windəraɓa na, yah ana ta har a ɗaw ana! 
GAL.6.12	Ndaw ma wuɗam, ma sladəmakwar kuɗey ana hay na, ndaw ma wuɗam me dzeley ma ɓada vaw ma slaw vaw ana hay. Tek ata asləta ma wuɗam na, ka da kadəmata tatakway hərway ma tuwaw ma gazləla na ma Kriste zlay. 
GAL.6.13	Hərway ndaw ma təkəmatar ɗay ka sladəmatara kuɗey ba na hay na, a tsənəmatar sləmay a mewey kakay. Dakay dakay a slədəmakwar kuɗey na, ma kuray ka ndzafam ma hasəkadəmakwar bəzay da slaw vaw. 
GAL.6.14	Na ŋga ɗaw na, andza ha tikay,ɗaɗa tek a ɗaw ma hasəkadəmaya bəzay a fəna tuwaw ma gazləla na ma Bay’ərlam a lakwa Yezu Kriste na, daha tikay; ta ŋga na, bəla ma dara ha ba ka 'ar ma tuway hərway ɗaw, andza yah ana ma dara ha hərway ma bəla tiyatsa. 
GAL.6.15	Hərway kuɗey ma sla ha, ma sla kakay na, tek ɗuhwa ha da huɗa na dakay, ama na, na Bay ma Bəla ma kadandukurawa dey mekelehe na. 
GAL.6.16	Ma ndaw ma səpama mewey ana tərre andza ha na hay na, zozoy ta ma pəsa mey ma Bay ma Bəla ka ndzey ta taya, ta səkway ma Bay Bəla tabiya ha. 
GAL.6.17	Zla ekəɗey yah na, ndaw ka da ŋgwarfaya 'ar sazlay, hərway yah na, zeheɗ ma Yezu ka vaw ɗaw daha. 
GAL.6.18	Hayna hahaya ma Bay’ərlam a lakwa Yezu Kriste ka ndzey ta Mesəfrey kwar, malam a ɗaw hay. 
EPH.1.1	Yah Pol, maslaŋ ma Yezu Kriste da me wuɗey ma Bay ma Bəla ana, i windatar a ndaw 
EPH.1.2	Hayna hahaya ta zozoy ma Bay ma Bəla Baba lakwa, ta Bay’ərlam Yezu Kriste ka ndzey ta kuray.
EPH.1.3	Hayna ma səmbəra Bay ma Bəla Baba ma Bay’ərlam a lakwa Yezu Kriste, ka pəsafandakwar mey ba da ma pəsa mey hay tabiyaha ta Mesəfrey na Kriste ma sadərawa da ’ərlam ana. 
EPH.1.4	Ŋga ka gaɗəmandakwar ba a ŋga, amba ka zlərawa bəla, ma lakwa ka tərakwama kokwoɗ ahiya, mandzara me ŋgəley bəzay ka slam dey ŋga, da ma wuɗa vaw. 
EPH.1.5	Ŋga ka dzala ba zla ka vaw ma i ka tərakwama bəzey ŋga ahiya zla amba ka kərawa bəla kavəday ma Yezu Kriste, hərway ma ma wuɗa vaw ŋga. 
EPH.1.6	Ŋga ma rəhadandakwar ta hahaya ŋga haɗadzidzay ana, ŋga ma vəlandukurawa da Bəzey ŋga, ma wuɗa haɗa na. 
EPH.1.7	Da me dzəmey vaw lakwa ta ŋga na, lakwa ma buwaya ba, ta har aŋga na, malay lakwa hay ma sa yam ahiya ba, hərway me zleley ma hahaya ŋga. 
EPH.1.8	Bay ma Bəla ka vəladandakwar zleley a neney hay, ma wuradandakwar a me sərey 'ar ta me sərey tek hay tabiyaha. 
EPH.1.9	Ŋga ka ɓadandakwar tek aŋga ma kəzla ha, me wuɗey ana ba, tek aŋga me dzeley ma da key hayna, zla da bəziya ka 'ar vaw ŋga na, 
EPH.1.10	ma dada har ana hay a me ndesley ta na, ma da tsəhadara 'ar ta bəla tabiyaha, a bəzay ma Bay ana asləta: Kriste. Tek na da 'ərlam ana hay ta na ka dala na hay. 
