GEN.1.1	Na počátku Bůh stvořil nebe a zemi. 
ACT.13.45	Když Židé uviděli ty davy, naplnila je závist a začali rouhavě popírat, cokoli Pavel řekl. 
ACT.13.46	Pavel a Barnabáš jim směle odpověděli: „Vy jste měli Boží slovo slyšet jako první. Protože ho však odmítáte, a považujete se tak za nehodné věčného života, hle, obracíme se k pohanům! 
ACT.13.47	Tak nám to totiž přikázal Hospodin: 
ACT.13.47	‚Učinil jsem tě světlem národů, 
ACT.13.47	abys dal spásu celému světu.‘“
ACT.13.48	Když to pohané uslyšeli, začali se radovat a oslavovat Pánovo slovo a všichni, kdo byli předurčeni k věčnému životu, uvěřili. 
ACT.13.49	Pánovo slovo se pak šířilo po celém kraji. 
ACT.13.50	Židovští vůdci ale poštvali bohabojné
ACT.13.51	Ti však na ně setřásli prach z nohou
ACT.13.52	Učedníci pak byli plní radosti a Ducha svatého. 
ACT.14.1	Také v Ikoniu šli do židovské synagogy a mluvili tak, že uvěřilo veliké množství Židů i Řeků. 
ACT.14.2	Ti Židé, kteří neuvěřili, ale podnítili pohany a poštvali je proti bratrům. 
ACT.14.3	Přesto tam strávili dlouhý čas a směle mluvili o Pánu, který potvrzoval poselství o své milosti a působil skrze jejich ruce divy a zázraky.
ACT.14.4	Obyvatelstvo města se rozdělilo: jedni byli s Židy a druzí s apoštoly. 
ACT.14.5	Když se je však pohané i Židé se svými vůdci rozhodli napadnout a kamenovat, 
ACT.14.6	dozvěděli se to a utekli do lykaonských měst Lystry a Derbe a jejich okolí. 
ACT.14.7	I tam šířili evangelium. 
ACT.14.8	V Lystře sedával jeden muž. Nemohl na nohy, neboť byl od lůna své matky chromý a nikdy nechodil. 
ACT.14.9	Také on naslouchal Pavlovým slovům. Když se mu Pavel podíval do očí a viděl jeho víru, že bude uzdraven, 
ACT.14.10	řekl silným hlasem: „Postav se na nohy a stůj rovně!“ A on vyskočil a začal chodit. 
ACT.14.11	Když lidé viděli, co Pavel udělal, začali lykaonsky volat: „Bohové sestoupili k nám v lidské podobě!“ 
ACT.14.12	Barnabášovi začali říkat Zeus a Pavlovi Hermes (protože mluvil hlavně on). 
ACT.14.13	Kněz Diova chrámu, který stál před městem, přivedl k branám ověnčené býky a chtěl s lidmi začít obětovat. 
ACT.14.14	Jakmile to apoštolové Barnabáš a Pavel uslyšeli, roztrhli svá roucha, vběhli do davu a křičeli: 
ACT.14.15	„Co to děláte? Vždyť jsme jen lidé jako vy! Přišli jsme vám zvěstovat, abyste se obrátili od těchto marností k živému Bohu, který stvořil nebe, zemi i moře a všechno v nich. 
ACT.14.16	V minulých dobách nechával všechny národy chodit po jejich cestách, 
ACT.14.17	ale nikdy o sobě nepřestal svědčit svým dobrodiním: z nebe nám dává déšť i časy úrody a naše nitro sytí jídlem a radostí.“
ACT.14.18	A těmi slovy taktak upokojili davy, aby jim neobětovaly. 
ACT.14.19	Vtom ale dorazili Židé z Antiochie a Ikonia a strhli davy k tomu, aby Pavla ukamenovali. Když už ho měli za mrtvého, vyvlekli ho za město. 
ACT.14.20	Když ho však obstoupili učedníci, vstal a vrátil se do města. Druhého dne pak s Barnabášem odešel do Derbe. 
ACT.14.21	I tomuto městu zvěstovali evangelium. Poté, co tu získali mnoho učedníků, vydali se na zpáteční cestu do Lystry, Ikonia a Antiochie. 
ACT.14.22	Posilovali duše učedníků a vyzývali je, aby zůstávali ve víře a že do Božího království musíme vejít skrze mnohá soužení. 
ACT.14.23	V každé církvi jim s modlitbou a postem vybrali starší a svěřili je Pánu, v něhož uvěřili. 
ACT.14.24	Prošli Pisidii a přišli do Pamfylie. 
ACT.14.25	Poté, co kázali slovo v Perge, odešli do Attalie 
ACT.14.26	a odtud vypluli do Antiochie, odkud byli předtím svěřeni Boží milosti k dílu, které nyní vykonali. 
ACT.14.27	Když tam dorazili, shromáždili církev a vyprávěli, co všechno Bůh skrze ně učinil a že otevřel dveře víry pohanům. 
ACT.14.28	Zůstali tam s učedníky po delší čas. 
ACT.15.1	Potom přišli někteří z Judska a začali bratry učit: „Pokud se nedáte obřezat podle Mojžíšova způsobu, nemůžete být spaseni.“ 
ACT.15.2	Pavel a Barnabáš s nimi proto vedli nemalý spor a hádku, a tak bylo rozhodnuto, že Pavel, Barnabáš a někteří další půjdou s touto otázkou za apoštoly a staršími do Jeruzaléma.
ACT.15.3	Vysláni církví tedy procházeli Fénicií a Samařím a vyprávěli o obrácení pohanů a přinášeli všem bratrům velikou radost. 
ACT.15.4	Když dorazili do Jeruzaléma, byli přijati církví, apoštoly i staršími a vyprávěli jim, co skrze ně Bůh udělal. 
ACT.15.5	Povstali však někteří věřící ze sekty farizeů a říkali, že pohané se musí obřezávat a že se jim má přikázat, ať zachovávají Mojžíšův zákon. 
ACT.15.6	Apoštolové a starší se tedy sešli, aby tu věc zvážili. 
ACT.15.7	Po velikém dohadování vstal Petr a promluvil k nim: „Bratři! Sami víte, že Bůh z nás už dávno vybral mě, aby pohané slyšeli slovo evangelia z mých úst a uvěřili.
ACT.15.8	Bůh, který zná lidská srdce, jim tehdy vydal svědectví, když jim dal Ducha svatého tak jako nám. 
ACT.15.9	Vírou očistil jejich srdce a neučinil žádný rozdíl mezi námi a jimi. 
ACT.15.10	Proč tedy teď pokoušíte Boha? Proč nakládáte učedníkům jho, které nemohli unést ani naši otcové ani my? 
ACT.15.11	Věříme přece, že jsme stejně jako oni spaseni milostí Pána Ježíše.“ 
ACT.15.12	Celé shromáždění zmlklo a poslouchali Barnabáše a Pavla, kteří vyprávěli, jaké divy a zázraky skrze ně Bůh konal mezi pohany. 
ACT.15.13	Když domluvili, vzal si slovo Jakub: „Poslouchejte mě, bratři. 
ACT.15.14	Šimon tu vyprávěl, jak Bůh poprvé navštívil pohany, aby z nich přijal svůj vlastní lid. 
ACT.15.15	S tím se plně shodují slova proroků, neboť je psáno: 
ACT.15.16	‚Znovu se vrátím 
ACT.15.16	a obnovím zbořený stan Davidův. 
ACT.15.16	Jeho trosky obnovím 
ACT.15.16	a vztyčím jej, 
ACT.15.17	aby ostatní lidé hledali Hospodina – 
ACT.15.17	všichni pohané mé jméno nesoucí, 
ACT.15.17	praví Hospodin, který činí tyto věci,‘
ACT.15.18	věci, které oznamoval už před věky.
ACT.15.19	Proto soudím, abychom pohanům, kteří se obracejí k Bohu, nečinili potíže. 
ACT.15.20	Napišme jim však, ať se vyhýbají modloslužbě, smilstvu, masu zardoušených zvířat a krvi. 
ACT.15.21	Mojžíš má přece odedávna kazatele po všech městech, kde ho čtou v synagogách každou sobotu.“ 
ACT.15.22	Apoštolové a starší se shodli s celou církví, že do Antiochie pošlou s Pavlem a Barnabášem své zástupce. Byli to přední bratři Juda (zvaný také Barsabáš) a Silas. 
ACT.15.23	Po nich poslali tento dopis: 
ACT.15.23	Apoštolové, starší a všichni bratři zdraví bratry z pohanů v Antiochii, Sýrii a Kilikii. 
ACT.15.24	Slyšeli jsme, že vás někteří od nás znepokojili a zmátli, když vám říkali, že se musíte dát obřezat a zachovávat Zákon. K ničemu takovému jsme je nepověřili. 
ACT.15.25	My shromáždění jsme se svorně shodli, že k vám pošleme své zástupce spolu s našimi milovanými Barnabášem a Pavlem, 
ACT.15.26	kteří pro jméno našeho Pána Ježíše Krista nasadili své životy. 
ACT.15.27	Posíláme k vám Judu a Silase, kteří vám to vše ústně potvrdí: 
ACT.15.28	Shodli jsme se s Duchem svatým, že na vás nebudeme vkládat žádné další břemeno kromě těchto nezbytných věcí: 
ACT.15.29	vyhýbejte se modloslužbě, krvi, masu zardoušených zvířat a smilstvu. Uchráníte-li se těchto věcí, uděláte dobře. Buďte zdrávi. 
ACT.15.30	Vysláni na cestu přišli do Antiochie, svolali shromáždění a předali dopis. 
ACT.15.31	Bratři ho přečetli a měli z toho povzbuzení radost. 
ACT.15.32	Juda se Silasem (kteří byli také proroci) pak mnoha slovy povzbuzovali a posilovali bratry. 
ACT.15.33	[34] A když tam strávili nějaký čas, bratři je v pokoji vyslali zpět k apoštolům.
ACT.15.35	Pavel a Barnabáš zůstali v Antiochii také a spolu s mnoha dalšími vyučovali a kázali Pánovo slovo. 
ACT.15.36	Po nějaké době Pavel řekl Barnabášovi: „Pojďme se vrátit a navštívit naše bratry ve všech městech, kde jsme kázali Pánovo slovo, ať zjistíme, jak se mají.“ 
ACT.15.37	Barnabáš chtěl, aby s sebou vzali i Jana Marka, 
ACT.15.38	ale Pavlovi se to nezdálo, protože je v Pamfylii opustil a nešel s nimi do díla. 
ACT.15.39	Vznikl z toho tak ostrý spor, že se spolu rozešli. Barnabáš vzal s sebou Marka a odplul na Kypr, 
ACT.15.40	kdežto Pavel si vybral Silase, a když ho bratři svěřili Boží milosti, vydal se na cestu. 
ACT.15.41	Procházel Sýrii a Kilikii a posiloval církve. 
ACT.16.1	Přišel do Derbe a Lystry a hle, byl tu jeden učedník jménem Timoteus, syn věřící Židovky a řeckého otce. 
ACT.16.2	Bratři v Lystře a Ikoniu ho velmi chválili, 
ACT.16.3	a tak se Pavel rozhodl, že ho vezme s sebou na cesty. Vzal ho tedy a kvůli tamějším Židům ho obřezal. (Všichni totiž věděli, že jeho otec byl Řek.) 
ACT.16.4	Když pak procházeli města, předávali jim závazná rozhodnutí, na nichž se usnesli apoštolové a starší v Jeruzalémě. 
ACT.16.5	Církve pak sílily ve víře a rostly v počtu každý den. 
ACT.16.6	Procestovali Frygii a Galacii, protože jim Duch svatý zabránil kázat Slovo v Asii. 
ACT.16.7	Když se přiblížili k Mysii, pokoušeli se jít do Bitynie, ale Duch Ježíšův jim to nedovolil. 
ACT.16.8	Obešli tedy Mysii a dorazili do Troady. 
ACT.16.9	Tam měl Pavel v noci vidění. Stál před ním nějaký Makedonec a prosil ho: „Přijď do Makedonie a pomoz nám!“ 
ACT.16.10	Jakmile Pavel přijal to vidění, ihned jsme se rozhodli vyrazit do Makedonie, přesvědčeni, že nás Bůh povolal, abychom jim kázali evangelium. 
ACT.16.11	Vypluli jsme z Troady, vydali se přímým směrem k Samothráké a příštího dne jsme dorazili do Neapole. 
ACT.16.12	Odtud jsme odešli do Filip, které jsou předním městem té části Makedonie a římskou kolonií. 
ACT.16.12	Poté, co jsme ve městě strávili několik dní, 
ACT.16.13	vyšli jsme v sobotu za město k řece, kde bylo zvykem se modlit. Posadili jsme se tam a mluvili k ženám, které se tam shromáždily. 
ACT.16.14	Naslouchala nám také jedna bohabojná
ACT.16.15	a tak se i s celou domácností nechala pokřtít. Potom nás prosila: „Pokud mě máte za věrnou Pánu, buďte hosty v mém domě.“ A tak nás přemluvila. 
ACT.16.16	Jednou, když jsme se šli modlit, potkala nás jedna otrokyně, která měla věšteckého ducha a přinášela svým pánům veliké zisky předpovídáním budoucnosti. 
ACT.16.17	Začala za Pavlem a za námi chodit a vykřikovala: „Tito lidé jsou služebníci Nejvyššího Boha! Ohlašují vám cestu spásy!“ 
ACT.16.18	Když to trvalo mnoho dní, Pavel to už nemohl snést, a tak se obrátil a řekl tomu duchu: „Přikazuji ti ve jménu Ježíše Krista, vyjdi z ní!“ V tu chvíli byl pryč. 
ACT.16.19	Když její páni uviděli, že jejich naděje na další zisk je pryč, chopili se Pavla a Silase a táhli je na náměstí před úřad. 
ACT.16.20	Přivedli je k městským správcům a řekli: „Tito lidé bouří naše město! Jakožto Židé 
ACT.16.21	hlásají zvyky, které jsou pro nás Římany nepřijatelné a nepřípustné!“ 
ACT.16.22	A když se proti nim postavil i srocený dav, úředníci jim strhali šaty a nařídili, ať jsou zbiti holemi. 
ACT.16.23	Po mnoha ranách je vsadili do vězení a žalářníkovi přikázali, aby je přísně hlídal. 
ACT.16.24	Ten je podle rozkazu vsadil do nejhlubší cely a nohy jim sevřel kládou. 
ACT.16.25	Kolem půlnoci se Pavel a Silas modlili a zpívali chvály Bohu a vězňové jim naslouchali. 
ACT.16.26	Vtom nastalo tak veliké zemětřesení, že se vězení otřáslo v základech. Všechny dveře se hned otevřely a všem spadly okovy. 
ACT.16.27	Žalářník se probudil, a když uviděl dveře vězení otevřené, vytáhl meč a chtěl se zabít v domnění, že vězňové utekli. 
ACT.16.28	Pavel však hlasitě vykřikl: „Neubližuj si! Všichni jsme tu!“ 
ACT.16.29	Žalářník si řekl o světlo, vběhl dovnitř a rozechvěn padl před Pavlem a Silasem na kolena. 
ACT.16.30	Pak je vyvedl ven a ptal se: „Pánové, co mám dělat, abych byl spasen?“ 
ACT.16.31	Odpověděli: „Věř v Pána Ježíše, a budeš spasen ty i tvůj dům!“ 
ACT.16.32	Potom přinesli Pánovo slovo jemu i všem u něj doma. 
ACT.16.33	(Ještě v tu noční hodinu je totiž vzal k sobě, aby jim omyl rány.) Hned nato se dal s celou svou domácností pokřtít. 
ACT.16.34	Uvedl je do svého domu, prostřel stůl a radoval se, že s celou domácností uvěřil Bohu. 
ACT.16.35	Když se rozednilo, poslali městští správci biřice se vzkazem: „Propusť ty lidi!“ 
ACT.16.36	Žalářník tedy Pavlovi řekl: „Správci vzkázali, že máte být propuštěni. Pojďte ven a odejděte v pokoji.“ 
ACT.16.37	Pavel však odpověděl: „Zbili nás veřejně. Potom nás, římské občany, bez soudu vsadili do vězení – a teď nás chtějí vyhnat potají? To tedy ne! Ať přijdou a vyvedou nás sami!“ 
ACT.16.38	Biřicové to šli vyřídit městským správcům. Když uslyšeli, že to jsou římští občané, polekali se 
ACT.16.39	a šli je prosit za odpuštění. Vyvedli je ven a prosili je, ať opustí město. 
ACT.16.40	Pavel a Silas tedy vyšli z vězení, přišli k Lydii, kde se uviděli s bratry, povzbudili je a odešli. 
ACT.17.1	Přes Amfipolis a Apolonii pak přišli do Tesaloniky, kde byla židovská synagoga. 
ACT.17.2	Pavel tam podle svého zvyku šel a po tři soboty k nim promlouval z Písem. 
ACT.17.3	Vysvětloval a dokazoval jim, že Mesiáš musel trpět a vstát z mrtvých a že „toto je Mesiáš: Ježíš, kterého vám kážu!“ 
ACT.17.4	Někteří z nich se dali přesvědčit a připojili se k Pavlovi a Silasovi, stejně jako veliké množství bohabojných Řeků i nemálo předních žen. 
ACT.17.5	Ostatních Židů se ale zmocnila žárlivost. Sehnali nějaké pouliční povaleče, vyvolali srocení davu, vzbouřili město a přitáhli k Jásonovu domu. Hledali tam Pavla a Silase, aby je mohli odvést před lidový soud. 
ACT.17.6	Když je však nenašli, odvlekli Jásona a některé bratry k městským radním s křikem: „Tito lidé rozvracejí celý svět! Teď přišli sem 
ACT.17.7	a Jáson je přijal! Ti všichni porušují císařské nařízení, protože se hlásí k jinému králi – Ježíšovi!“ 
ACT.17.8	Ta slova dav i městské radní vylekala. 
ACT.17.9	Když ale Jáson a ostatní složili záruku, propustili je. 
ACT.17.10	Bratři pak hned v noci vyslali Pavla i Silase do Beroje. Také tam po svém příchodu navštívili židovskou synagogu. 
ACT.17.11	Tito Židé však byli ušlechtilejší než tesaloničtí. Přijali Slovo s velikou dychtivostí a každý den zkoumali Písma, zda je to všechno opravdu tak. 
ACT.17.12	Mnozí z nich pak uvěřili, stejně jako nemálo vážených řeckých žen a mužů. 
ACT.17.13	Když se ale Židé z Tesaloniky dozvěděli, že Pavel káže Boží slovo i v Beroji, přišli také tam a začali podněcovat a bouřit davy. 
ACT.17.14	Bratři proto Pavla hned poslali k moři, ale Silas a Timoteus tam zůstali. 
ACT.17.15	Ti, kdo Pavla doprovázeli, ho dovedli až do Athén. Odtud se vrátili se vzkazem pro Silase a Timotea, aby co nejrychleji přišli za Pavlem. 
ACT.17.16	Když na ně Pavel čekal v Athénách a viděl, jak je to město plné model, jeho duch se bouřil. 
ACT.17.17	Diskutoval tedy s Židy i bohabojnými Řeky v synagoze a každý den také s lidmi, které potkával na náměstí. 
ACT.17.18	Debatovali s ním rovněž někteří epikurejští a stoičtí filosofové. Jedni říkali: „Co nám chce ten žvanil povídat?“ a jiní: „Zdá se být zvěstovatelem cizích božstev!“ (Kázal jim totiž Ježíše a vzkříšení z mrtvých.) 
ACT.17.19	Chopili se ho a vyvedli na Areopag se slovy: „Mohli bychom vědět, jaké nové učení to hlásáš? 
ACT.17.20	Zní nám to nějak zvláštně, a tak chceme vědět, co to má být.“ 
ACT.17.21	(Všichni Athéňané i cizinci, kteří tam pobývali, se totiž nezabývali ničím jiným, než aby říkali nebo poslouchali něco nového.) 
ACT.17.22	Pavel se postavil doprostřed Areopagu a řekl: „Athéňané, vidím, že jste v každém ohledu velmi nábožní lidé. 
ACT.17.23	Když jsem se tu procházel a pozoroval vaše náboženství, našel jsem také oltář, na němž je napsáno: NEZNÁMÉMU BOHU. Nuže, koho ctíte, aniž ho znáte, toho vám zvěstuji. 
ACT.17.24	Bůh, který stvořil svět i všechno v něm, je Pánem nebe i země. Nebydlí v chrámech udělaných rukama 
ACT.17.25	ani si nedává lidskýma rukama sloužit, jako by něco potřeboval, protože sám všem dává život i dech a všechno. 
ACT.17.26	Z jednoho člověka učinil celé lidstvo, aby žilo na celém zemském povrchu. Vyměřil jim určená období a hranice jejich života, 
ACT.17.27	aby hledali Boha, zda by se ho snad mohli dotknout a nalézt ho – ačkoli není daleko od žádného z nás. 
ACT.17.28	‚Vždyť jím žijeme, hýbeme se a trváme.‘
ACT.17.29	Když tedy jsme Boží rodina, nemůžeme si myslet, že by se božská bytost mohla podobat zlatu, stříbru nebo kameni, výtvoru lidské zručnosti a důvtipu. 
ACT.17.30	Bůh ale přehlédl časy této nevědomosti a nyní ukládá všem lidem všude, aby činili pokání. 
ACT.17.31	Určil totiž den, v němž bude spravedlivě soudit svět skrze muže, kterého k tomu ustanovil, o čemž podal každému důkaz, když ho vzkřísil z mrtvých.“ 
ACT.17.32	A jakmile uslyšeli o vzkříšení z mrtvých, jedni se začali posmívat, ale jiní řekli: „Poslechneme si to od tebe někdy jindy.“ 
ACT.17.33	Tehdy je Pavel opustil. 
ACT.17.34	Někteří se ale k němu připojili a uvěřili; mimo jiné i Dionýsios Areopagita, žena jménem Damaris a ještě další. 
ACT.18.1	Potom se Pavel vydal z Athén do Korintu. 
ACT.18.2	Tam se setkal s jedním Židem jménem Akvila, původem z Pontu, který se s manželkou Priscillou nedávno přistěhoval z Itálie (císař Klaudius totiž nařídil, že všichni Židé musí opustit Řím). Pavel se k nim přidal, 
ACT.18.3	protože jeho řemeslem, stejně jako jejich, bylo šití stanů. Bydlel tedy a pracoval u nich 
ACT.18.4	a každou sobotu hovořil v synagoze a přesvědčoval Židy i Řeky. 
ACT.18.5	Když pak z Makedonie dorazili Silas a Timoteus, Pavel se zcela oddal kázání Slova a dokazoval Židům, že Ježíš je Mesiáš. 
ACT.18.6	Když mu však odporovali a rouhali se, setřásl si prach z pláště se slovy: „Vaše krev na vaši hlavu, já jsem od ní čistý! Od této chvíle půjdu k pohanům.“ 
ACT.18.7	Odešel odtud a vstoupil do domu jistého bohabojného muže jménem Titus Justus, jehož dům sousedil se synagogou. 
ACT.18.8	Krispus, představený synagogy, pak s celou svou domácností uvěřil Pánu. Stejně tak mnozí Korinťané, kteří naslouchali Pavlovi, uvěřili a dali se pokřtít. 
ACT.18.9	Jedné noci Pán řekl Pavlovi ve vidění: „Neboj se, mluv a nemlč! 
ACT.18.10	Já jsem s tebou a nikdo se tě ani nedotkne, aby ti ublížil. Mnozí v tomto městě totiž patří mně.“ 
ACT.18.11	A tak tu Pavel zůstal půldruhého roku a vyučoval mezi nimi Boží slovo. 
ACT.18.12	Když se však řeckým
ACT.18.13	s žalobou: „Tento muž navádí lidi, aby ctili Boha v rozporu se Zákonem!“ 
ACT.18.14	Pavel se chystal něco říci, ale Gallio se obrátil k Židům: „Ach, vy Židé! Kdyby šlo o nějaké bezpráví nebo vážný zločin, měl bych důvod vás vyslechnout. 
ACT.18.15	Když se ale přete o slovech a jménech a o vašem Zákoně, vyřešte si to sami. Já takové věci soudit nehodlám!“ 
ACT.18.16	A s tím je vyhnal ze soudní síně. 
ACT.18.17	Všichni se pak vrhli na představeného synagogy Sostena a bili ho přímo před soudem, ale Gallio na to vůbec nedbal. 
ACT.18.18	Když tam Pavel pobyl ještě nějakou dobu, rozloučil se s bratry a vyrazil s Priscillou a Akvilou na zpáteční cestu do Sýrie. V Kenchrejích si kvůli slibu, který složil, dal ostříhat vlasy.
ACT.18.19	Když dorazil do Efesu, nechal je oba tam; sám šel do synagogy a hovořil se Židy. 
ACT.18.20	Přemlouvali ho, aby ještě nějaký čas zůstal, ale on nesvolil. 
ACT.18.21	Při loučení jim řekl: „Bude-li Bůh chtít, znovu se k vám vrátím.“ Vyplul z Efesu 
ACT.18.22	a poté, co přistál v Cesareji, se vydal do Jeruzaléma. Tam pozdravil církev a odešel do Antiochie. 
ACT.18.23	Když tam strávil nějaký čas, vypravil se znovu na cestu. Postupně procházel Galacii a Frygii a posiloval všechny učedníky. 
ACT.18.24	Do Efesu zatím přišel jeden Žid jménem Apollo, výmluvný muž a znalec Písma, původem z Alexandrie. 
ACT.18.25	Byl obeznámen s Pánovou cestou, a tak vroucně mluvil a přesně učil o Ježíši. Znal však jenom Janův křest. 
ACT.18.26	Když začal směle mluvit v synagoze, uslyšeli ho Priscilla s Akvilou, vzali ho k sobě a vysvětlili mu Boží cestu ještě přesněji. 
ACT.18.27	Apollo se potom chtěl vydat do Řecka,
ACT.18.28	Mocně totiž překonával Židy, když veřejně dokazoval z Písma, že Ježíš je Mesiáš. 
ACT.19.1	Zatímco byl Apollo v Korintu, Pavel prošel hornatým vnitrozemím a dorazil do Efesu, kde nalezl nějaké učedníky. 
ACT.19.2	Zeptal se jich: „Přijali jste Ducha svatého, když jste uvěřili?“ 
ACT.19.2	„Nikdy jsme o Duchu svatém ani neslyšeli,“ řekli mu na to. 
ACT.19.3	„Jak jste tedy byli pokřtěni?“ ptal se. 
ACT.19.3	„Janovým křtem,“ odpověděli. 
ACT.19.4	Pavel jim řekl: „Jan svým křtem vedl lidi k pokání a vyzýval je k víře v toho, který měl přijít po něm – v Ježíše.“ 
ACT.19.5	Když to uslyšeli, dali se pokřtít ve jménu Pána Ježíše. 
ACT.19.6	Když pak na ně Pavel položil ruce, sestoupil na ně Duch svatý, takže začali mluvit v jiných jazycích a prorokovat. 
ACT.19.7	Těch mužů bylo celkem asi dvanáct. 
ACT.19.8	Pavel pak šel do synagogy a tři měsíce tam směle mluvil; hovořil s lidmi a přesvědčoval je o Božím království. 
ACT.19.9	Když však někteří zatvrzele odmítali víru a veřejně tu Cestu haněli, Pavel se od nich odvrátil. Odvedl učedníky s sebou a každý den pak promlouval v posluchárně jistého Tyranna. 
ACT.19.10	To se dělo po dva roky, takže všichni obyvatelé Asie, jak Židé, tak Řekové, slyšeli Pánovo slovo. 
ACT.19.11	Bůh konal skrze Pavlovy ruce neobyčejné zázraky. 
ACT.19.12	Lidé dokonce odnášeli šátky a zástěry z jeho těla na nemocné; nemoci je opouštěly a zlí duchové vycházeli. 
ACT.19.13	Nějací potulní židovští zaklínači
ACT.19.14	Tak to dělalo sedm synů židovského vrchního kněze Skévy. 
ACT.19.15	Zlý duch jim odpověděl: „Ježíše znám, o Pavlovi vím, ale kdo jste vy?“ 
ACT.19.16	A ten člověk, ve kterém byl zlý duch, se na ně vrhl, přemohl je a zbil tak, že z toho domu utekli nazí a zranění. 
ACT.19.17	Když se to rozneslo mezi všemi Židy i Řeky bydlícími v Efesu, na všechny padla bázeň a jméno Pána Ježíše bylo ve velké vážnosti. 
ACT.19.18	Mnozí z těch, kdo uvěřili, pak přicházeli a vyznávali a odhalovali své praktiky. 
ACT.19.19	Také mnozí z těch, kteří se zabývali magií, přinášeli své knihy a přede všemi je pálili. Když pak spočítali jejich cenu, zjistili, že stály padesát tisíc stříbrných.
ACT.19.20	Tak se mocně šířilo Pánovo slovo a rozmáhalo se. 
ACT.19.21	Po těchto událostech se Pavel veden Duchem rozhodl, že se přes Makedonii a Řecko
ACT.19.22	Dva ze svých pomocníků, Timotea a Erasta, tehdy poslal do Makedonie, ale sám zůstal ještě načas v Asii. 
ACT.19.23	Někdy v té době nastal kvůli té Cestě nemalý rozruch. 
ACT.19.24	Jeden stříbrotepec jménem Demetrios totiž vyráběl stříbrné napodobeniny Artemidina chrámu, což řemeslníkům přinášelo nemalý výdělek. 
ACT.19.25	Svolal je tedy stejně jako výrobce z příbuzných oborů a promluvil k nim: „Pánové, víte, že z tohoto řemesla pramení náš blahobyt. 
ACT.19.26	Jak ale vidíte a slyšíte, onen Pavel přesvědčil a odvrátil veliké množství lidí nejen v Efesu, ale skoro po celé Asii. Že prý ‚bohové vyrobení rukama nejsou žádní bohové!‘ 
ACT.19.27	Nejenže je tím ohrožena pověst našeho řemesla; hrozí také, že chrám veliké bohyně Artemis už nebude nic znamenat, a tak se sníží věhlas té, kterou ctí celá Asie a celý svět!“ 
ACT.19.28	Když to uslyšeli, popadl je hněv a začali křičet: „Veliká je efeská Artemis!“ 
ACT.19.29	Město zachvátil zmatek. Všichni se společně hnali do divadla a vlekli s sebou Pavlovy společníky na cestách, Makedonce Gaia a Aristarcha. 
ACT.19.30	Pavel chtěl vyjít k lidu, ale učedníci ho nenechali. 
ACT.19.31	Také někteří jeho přátelé z asijských nejvyšších kruhů mu naléhavě vzkazovali, ať se neodvažuje do divadla. 
ACT.19.32	Tam jedni křičeli to, druzí ono, ve shromáždění vládl zmatek a mnozí ani nevěděli, proč se sešli. 
ACT.19.33	Z davu pak vytáhli jistého Alexandra, který zastupoval Židy. Alexandr pokynul rukou a chtěl před lidem pronést obhajobu. 
ACT.19.34	Jakmile však poznali, že je to Žid, všichni začali jednohlasně křičet: „Veliká je efeská Artemis!“ Trvalo to asi dvě hodiny. 
ACT.19.35	Městský tajemník pak uklidňoval dav slovy: „Občané Efesu! Kdo by nevěděl, že město Efes je strážcem chrámu veliké Artemis a její sochy spadlé z nebe? 
ACT.19.36	Tyto věci jsou nepopiratelné, a tak je třeba, abyste zachovali klid a neprovedli nic unáhleného. 
ACT.19.37	Přivedli jste sem tyto muže, ti se však nedopustili žádné svatokrádeže ani rouhání proti vaší bohyni. 
ACT.19.38	Chce-li Demetrios a ostatní řemeslníci někoho žalovat, od toho jsou tu veřejné soudy a místodržitelé. Tam ať se soudí. 
ACT.19.39	Máte-li nějaké další požadavky, budou projednány v zákonném shromáždění. 
ACT.19.40	Hrozí nám totiž, že kvůli dnešku budeme obviněni ze vzpoury. Pro toto srocení není žádný důvod a nevíme, jak bychom je mohli obhájit.“ A po těchto slovech shromáždění rozpustil. 
ACT.20.1	Jakmile to pozdvižení skončilo, Pavel svolal učedníky, rozloučil se s nimi a vyrazil do Makedonie. 
ACT.20.2	Prošel ty kraje, mnohokrát povzbudil místní učedníky a dorazil do Řecka, 
ACT.20.3	kde strávil tři měsíce. Potom se chystal odplout do Sýrie, ale kvůli židovským úkladům se rozhodl vrátit přes Makedonii. 
ACT.20.4	Doprovázeli ho: 
ACT.20.4	Sopater z Beroje, Aristarchos a Sekundus z Tesaloniky, Gaius a Timoteus z Derbe a Tychikos a Trofimos z Asie. 
ACT.20.5	Ti šli napřed a čekali v Troadě na nás, 
ACT.20.6	kteří jsme po Svátku nekvašených chlebů
ACT.20.7	Když jsme se prvního dne po sobotě sešli k lámání chleba,
ACT.20.8	V horní místnosti, kde se shromáždili, svítilo hodně lamp. 
ACT.20.9	Jeden mladík jménem Eutychus seděl v okně a při Pavlově dlouhé řeči se o něj pokoušel hluboký spánek. Nakonec ho spánek přemohl a on spadl z třetího poschodí dolů. Když ho zvedli, byl mrtev. 
ACT.20.10	Pavel sešel dolů a objal jej; potom ho vzal do náruče a řekl: „Buďte klidní, je v něm život!“ 
ACT.20.11	Pak vystoupil nahoru, lámal chléb a po jídle ještě dlouho mluvil, až do rána, kdy odešel. 
ACT.20.12	Toho chlapce pak přivedli živého a byli nesmírně potěšeni. 
