GEN.1.1	Na počátku
LUK.18.25	Neboť je snadnější, aby velbloud prošel
LUK.18.26	Ti, kdo 
LUK.18.27	On řekl: “Co je nemožné u lidí, je možné u Boha.” 
LUK.18.28	Petr řekl: “Hle, my jsme opustili 
LUK.18.29	On jim řekl: “Amen, pravím vám, že není nikdo, kdo opustil dům nebo ženu nebo bratry nebo rodiče nebo děti pro Boží království, 
LUK.18.30	aby v tomto čase nedostal mnohokrát víc a v přicházejícím věku život věčný.”
LUK.18.31	Vzal k sobě těch Dvanáct a řekl jim: “Hle, vystupujeme do Jeruzaléma a naplní se všechno, co je napsáno skrze proroky 
LUK.18.32	Neboť bude vydán pohanům
LUK.18.33	zbičují ho a zabijí; a třetího dne vstane 
LUK.18.34	Ale oni ničemu z toho neporozuměli a ten výrok byl před nimi skrytý; nechápali, co bylo řečeno.
LUK.18.35	Stalo se, když se přibližoval k Jerichu, 
LUK.18.36	Když uslyšel, že jde kolem zástup, vyptával se, co se to děje. 
LUK.18.37	Oznámili mu, že tudy jde Ježíš Nazaretský.
LUK.18.38	Tu zvolal: “Ježíši, synu Davidův, smiluj se nade mnou!” 
LUK.18.39	Ti, kteří šli vpředu, mu přísně domlouvali, aby zmlkl. On však tím víc křičel: “Synu Davidův, smiluj se nade mnou.” 
LUK.18.40	Ježíš se zastavil a rozkázal, aby ho k němu přivedli. Když se přiblížil, 
LUK.18.41	“Co chceš, abych ti učinil?” On řekl: “Pane, ať vidím!” 
LUK.18.42	Ježíš mu řekl: “Prohlédni! Tvá víra tě uzdravila.” 
LUK.18.43	A hned prohlédl, šel za ním a oslavoval Boha. A všechen lid, který 
LUK.19.1	 vešel do Jericha a procházel 
LUK.19.2	A hle, 
LUK.19.3	Chtěl uvidět Ježíše, 
LUK.19.4	Běžel 
LUK.19.5	Když Ježíš přišel na to místo, vzhlédl a řekl mu: “Zachee, slez rychle 
LUK.19.6	 rychle slezl a s radostí ho přijal. 
LUK.19.7	Všichni, kdo 
LUK.19.8	Zacheus se zastavil a řekl Pánu: “Hle, polovinu svého majetku,
LUK.19.9	Ježíš mu řekl: “Dnes se dostalo záchrany tomuto domu, protože i tento 
LUK.19.10	Neboť Syn člověka přišel vyhledat a zachránit, co je ztraceno.”
LUK.19.11	Když to 
LUK.19.12	Proto řekl: “Jeden urozený
LUK.19.13	Zavolal deset svých otroků, dal jim deset hřiven
LUK.19.14	Avšak jeho 
LUK.19.15	A stalo se, když se jako král
LUK.19.16	Přišel první a řekl: "Pane, tvoje hřivna vynesla deset hřiven." 
LUK.19.17	Řekl mu: "Výborně,
LUK.19.18	Přišel druhý a řekl: "Tvá hřivna, Pane, získala
LUK.19.19	Také tomuto řekl: "I ty buď 
LUK.19.20	A přišel jiný a řekl: "Pane, hle, tvá hřivna, kterou jsem měl uloženou v šátku, 
LUK.19.21	neboť jsem se tě bál, protože jsi přísný člověk: bereš, co jsi nedal, a sklízíš, co jsi nezasel." 
LUK.19.22	Řekl mu: "Podle tvých slov
LUK.19.23	Proč jsi nedal mé peníze
LUK.19.24	A těm, kteří tam stáli, řekl: "Vezměte od něho tu hřivnu a dejte tomu, který má deset hřiven." 
LUK.19.25	[Řekli mu: "Pane, 
LUK.19.26	Pravím vám, že každému, kdo má, bude dáno; kdo nemá, tomu bude odňato i to, co má. 
LUK.19.27	"Avšak ty mé nepřátele, kteří nechtěli, abych nad nimi kraloval, přiveďte sem a přede mnou je pobijte."”
LUK.19.28	 Když to pověděl, kráčel napřed a vystupoval do Jeruzaléma. 
LUK.19.29	A stalo se, když se přiblížil do Betfage a Betanie k hoře, která se nazývá Olivová, 
LUK.19.30	a řekl: “Jděte naproti do vesnice. Když do ní budete vcházet, naleznete přivázané oslátko, na němž dosud nikdo z lidí neseděl. Odvažte je a přiveďte. 
LUK.19.31	A budeli se vás někdo ptát: "Proč 
LUK.19.32	Ti, kdo byli posláni, odešli a nalezli 
LUK.19.33	Když oslátko odvazovali, řekli jim jeho páni: “Proč odvazujete to oslátko?” 
LUK.19.34	Oni odpověděli:
LUK.19.35	A přivedli je k Ježíšovi, hodili na oslátko své pláště a Ježíše 
LUK.19.36	 jak jel, prostírali své pláště na cestu.
LUK.19.37	Když se již přibližoval ke svahu Olivové hory, začal celý ten zástup
LUK.19.38	Říkali: “Požehnaný král, jenž přichází
LUK.19.39	Někteří farizeové ze zástupu mu řekli: “Učiteli, pokárej své učedníky.” 
LUK.19.40	 na to řekl: “Pravím vám, budouli oni mlčet, bude křičet kamení.”
LUK.19.41	A když se přiblížil a uviděl město, dal se nad ním do pláče 
LUK.19.42	a řekl: “Kdybys 
LUK.19.43	Neboť přijdou na tebe dny, kdy tě tvoji nepřátelé obklopí náspem,
LUK.19.44	Srovnají se zemí tebe i tvé děti v tobě a nenechají v tobě kámen na kameni za to, že jsi nepoznalo čas svého navštívení.”
LUK.19.45	A když vešel do chrámu, začal vyhánět ty, kteří 
LUK.19.46	a říkal jim: “Je napsáno: "A můj dům bude domem modlitby", vy však jste z něj udělali jeskyni lupičů.”
LUK.19.47	Každý den vyučoval v chrámě. Velekněží a učitelé Zákona i přední 
LUK.19.48	ale nenalézali, co by mohli udělat, neboť všechen lid na něm visel a naslouchal 
LUK.20.1	A stalo se v jednom z těch dnů, kdy učil lid v chrámě a zvěstoval evangelium, 
LUK.20.2	a řekli mu: “Pověz nám, v jaké pravomoci to činíš? Nebo kdo je ten, který ti tuto pravomoc dal?” 
LUK.20.3	Odpověděl jim: “I já se vás zeptám na [jednu] věc. Povězte mi: 
LUK.20.4	Křest Janův byl z nebe, nebo z lidí?” 
LUK.20.5	Oni 
LUK.20.6	Řeknemeli však "z lidí", všechen lid nás bude kamenovat, neboť je přesvědčen, že Jan byl prorok.” 
LUK.20.7	I odpověděli, že nevědí, odkud. 
LUK.20.8	A Ježíš jim řekl: “Ani já vám nepovím, v jaké pravomoci to činím.”
LUK.20.9	Začal lidu říkat toto podobenství: “[Jeden] člověk vysadil vinici, pronajal ji vinařům a na dlouhou dobu odcestoval. 
LUK.20.10	V stanovený čas poslal k vinařům otroka, aby mu dali 
LUK.20.11	Poslal ještě jiného otroka; oni však i toho zbili, zneuctili a poslali s prázdnou. 
LUK.20.12	A poslal ještě třetího; i toho zranili a vyhnali. 
LUK.20.13	Pán vinice řekl: "Co mám udělat? Pošlu svého milovaného syna; snad se před ním zastydí.
LUK.20.14	Když ho vinaři spatřili, domlouvali se mezi sebou: "To je dědic. Zabijme ho, aby dědictví bylo naše." 
LUK.20.15	A vyhodili ho z vinice ven a zabili. Co jim tedy učiní pán vinice? 
LUK.20.16	Přijde, zahubí tyto vinaře a vinici dá jiným.” Když 
LUK.20.17	On na ně pohlédl a řekl: “Co tedy znamená to, co je napsáno: "Kámen, který stavitelé po prozkoumání zavrhli, se stal hlavou úhlu." 
LUK.20.18	Každý, kdo padne na ten kámen, roztříští se, a na koho padne, toho rozdrtí.” 
LUK.20.19	V tu hodinu na něj chtěli
LUK.20.20	Pozorně 
LUK.20.21	Otázali se ho: “Učiteli, víme, že správně mluvíš a učíš a nebereš ohled na osobu,
LUK.20.22	Je nám dovoleno dát daň císaři, nebo ne?” 
LUK.20.23	 zpozoroval jejich lstivost
LUK.20.24	“
LUK.20.25	On jim řekl: “Odevzdejte tedy to, 
LUK.20.26	A nedokázali 
LUK.20.27	Přišli někteří ze saduceů, kteří popírají
LUK.20.28	“Učiteli, Mojžíš nám napsal, 
LUK.20.29	Bylo tedy sedm bratrů. Oženil se první a zemřel bezdětný. 
LUK.20.30	 i druhý. 
LUK.20.31	Také třetí si ji vzal a stejně 
LUK.20.32	Nakonec zemřela i ta žena. 
LUK.20.33	Komu z nich bude tato žena patřit při
LUK.20.34	Ježíš jim řekl: “Synové tohoto věku se žení a vdávají. 
LUK.20.35	Avšak ti, kteří 
LUK.20.36	Vždyť již nebudou moci ani zemřít, neboť budou jako andělé a budou synové Boží, jsouce syny 
LUK.20.37	A že mrtví vstávají, ukázal i Mojžíš "při keři", když nazývá Pána Bohem Abrahamovým, Bohem Izákovým a Bohem Jákobovým. 
LUK.20.38	Bůh není 
LUK.20.39	Někteří z učitelů Zákona na to řekli: “Učiteli, dobře jsi 
LUK.20.40	 už se ho neodvažovali na nic ptát.
LUK.20.41	Řekl jim: “Jak mohou říkat, že Kristus je Davidovým synem? 
LUK.20.42	Vždyť sám David v knize Žalmů říká: "Řekl Pán mému Pánu: Seď po mé pravici, 
LUK.20.43	dokud nepoložím tvé nepřátele za podnož tvých nohou.". 
LUK.20.44	David ho tedy nazývá Pánem; jakpak tedy je jeho synem?”
LUK.20.45	Když všechen lid poslouchal, řekl [svým] učedníkům: 
LUK.20.46	“Mějte se na pozoru před učiteli Zákona, kteří se chtějí procházet v dlouhých řízách, mají rádi pozdravy na tržištích, přední sedadla v synagogách a přední místa na hostinách. 
LUK.20.47	Vyjídají domy vdov a okázale
LUK.21.1	Když vzhlédl, uviděl, jak bohatí vhazují své dary do pokladnice. 
LUK.21.2	Uviděl 
LUK.21.3	a řekl: “Vpravdě vám pravím, že tato chudá vdova hodila více než všichni 
LUK.21.4	Neboť ti všichni 
LUK.21.5	Když někteří mluvili o chrámu, že je vyzdoben krásnými kameny a obětními dary, řekl: 
LUK.21.6	“Přijdou dny, ve kterých z toho, co vidíte, 
LUK.21.7	Otázali se ho: “Učiteli, kdy to bude? A jaké 
LUK.21.8	Řekl: “Dávejte si pozor, abyste nebyli svedeni. Neboť mnozí přijdou v mém jménu a budou říkat: "Já jsem" a "ten čas je tu". Nechoďte za nimi. 
LUK.21.9	Když byste uslyšeli 
LUK.21.10	Potom jim říkal: “Povstane národ proti národu a království proti království, 
LUK.21.11	budou veliká 
LUK.21.12	Avšak před tím vším vztáhnou na vás ruce a budou 
LUK.21.13	 vám bude svědectvím.
LUK.21.14	Uložte si tedy do svých srdcí,
LUK.21.15	Neboť já vám dám řeč
LUK.21.16	Vydají vás i rodiče, bratři, příbuzní a přátelé a 
LUK.21.17	A všichni vás budou nenávidět pro mé jméno. 
LUK.21.18	Ale 
LUK.21.19	Svou trpělivostí
LUK.21.20	“Když uvidíte, že Jeruzalém je obkličován vojsky,
LUK.21.21	Pak ti, 
LUK.21.22	protože toto jsou dny trestu,
LUK.21.23	Běda těhotným a kojícím v oněch dnech! Neboť bude veliká tíseň na zemi a hněv proti tomuto lidu. 
LUK.21.24	Padnou ostřím meče a jako zajatci budou odvedeni mezi všecky národy,
LUK.21.25	“A budou znamení na slunci, měsíci a hvězdách a na zemi úzkost národů, bezradných 
LUK.21.26	Lidé budou omdlévat
LUK.21.27	A potom
LUK.21.28	Když se toto začne dít, napřimte se a zvedněte hlavy, protože se přibližuje vaše vykoupení.”
LUK.21.29	A řekl jim podobenství: “Podívejte se na fíkovník a na všechny 
LUK.21.30	Když vidíte, že již vypučely, sami víte, že léto je již blízko. 
LUK.21.31	Tak i vy, až uvidíte, že se toto děje, vězte,
LUK.21.32	Amen, pravím vám, že určitě nepomine ono pokolení, dokud se 
LUK.21.33	Nebe a země pominou, ale má slova jistě nepominou.”
LUK.21.34	“Mějte se na pozoru, aby vaše srdce nebyla zatížena [flámováním, opilstvím a starostmi každodenního života
LUK.21.35	jako past. Neboť přijde
LUK.21.36	Bděte a proste v každý čas, abyste měli sílu uniknout všemu tomu, co se má dít, a postavit se před Syna člověka.”
LUK.21.37	Ve dne učil v chrámě, ale v noci vycházel a zůstával
LUK.21.38	A všechen lid k němu časně zrána přicházel, aby ho v chrámě poslouchal.
LUK.22.1	Blížil se svátek nekvašených chlebů, který se nazývá Pascha,
LUK.22.2	Velekněží a učitelé Zákona hledali 
LUK.22.3	Tu Satan vstoupil do Judy, nazývaného Iškariotský, který byl z počtu Dvanácti. 
LUK.22.4	Odešel a promluvil s velekněžími a veliteli 
LUK.22.5	 se zaradovali a dohodli se, že mu dají peníze.
LUK.22.6	 souhlasil a hledal vhodnou příležitost, aby jim ho vydal 
LUK.22.7	Přišel den nekvašených chlebů, ve kterém měl být obětován
LUK.22.8	 poslal Petra a Jana a řekl: “Jděte a připravte nám beránka,
LUK.22.9	Oni mu řekli: “Kde chceš, abychom 
LUK.22.10	Řekl jim: “Hle, až vejdete do města, potká vás člověk, který ponese džbán vody. Jděte za ním do domu, do něhož vejde, 
LUK.22.11	a hospodáři toho domu řekněte: "Učitel ti praví: Kde je místnost, kde bych pojedl se svými učedníky velikonočního beránka?
LUK.22.12	A on vám ukáže velkou horní místnost, 
LUK.22.13	Odešli a nalezli 
LUK.22.14	Když nastala ta hodina, zaujal místo
LUK.22.15	Řekl jim: “Toužebně jsem si přál jíst s vámi tohoto beránka,
LUK.22.16	Neboť vám pravím, že ho [již] nebudu jíst, dokud nedojde naplnění v Božím království.” 
LUK.22.17	A vzal kalich, vzdal díky a řekl: “Vezměte to a rozdělte mezi sebe. 
LUK.22.18	Neboť vám pravím, že od této chvíle 
LUK.22.19	Pak vzal chléb, vzdal díky, rozlomil a dal jim se slovy: “Toto je mé tělo, které se za vás dává.
LUK.22.20	A právě tak 
LUK.22.21	Avšak hle, ruka toho, který mne zrazuje, 
LUK.22.22	Syn člověka jde, jak je určeno, ale běda tomu člověku, který ho zrazuje.” 
LUK.22.23	A oni se začali mezi sebou dohadovat, který z nich je ten, kdo to učiní.
LUK.22.24	Vznikl mezi nimi také spor, kdo z nich je asi největší. 
LUK.22.25	On jim řekl: “Králové národů
LUK.22.26	Avšak ne tak vy; kdo 
LUK.22.27	Neboť kdo 
LUK.22.28	 vy jste ti, kdo se mnou v mých zkouškách
LUK.22.29	A já vám uděluji
LUK.22.30	abyste jedli a pili u mého stolu v mém království; usednete na trůnech a budete soudit dvanáct kmenů Izraele.”
LUK.22.31	“Šimone, Šimone, hle, Satan si vás vyžádal, aby 
LUK.22.32	Já jsem však poprosil za tebe, aby nezanikla tvá víra. A ty, až se jednou obrátíš, posilni
LUK.22.33	On mu řekl: “Pane, s tebou jsem hotov jít i do vězení a na smrt.” 
LUK.22.34	 řekl: “Pravím ti, Petře, 
LUK.22.35	A řekl jim: “Když jsem vás poslal bez měšce, mošny a sandálů, měli jste v něčem nedostatek?” Oni řekli: “V ničem.” 
LUK.22.36	Řekl jim: “Ale nyní, kdo má měšec, vezmi 
LUK.22.37	Neboť vám říkám, že se na mně musí naplnit to, co je napsáno: "A byl započten mezi bezzákonné." Neboť to, co se mne týká, spěje ke konci.” 
LUK.22.38	Oni řekli: “Pane, hle, zde 
LUK.22.39	A když vyšel, vydal se podle 
LUK.22.40	Když byl na místě, řekl jim: “Modlete se, abyste nevešli do pokušení.
LUK.22.41	Sám se od nich vzdálil, co by kamenem dohodil, poklekl na kolena a modlil se: 
LUK.22.42	“Otče, chcešli, přenes tento kalich ode mne, avšak ne má vůle, nýbrž tvá se staň.” 
LUK.22.43	[Ukázal se mu anděl z nebe a posiloval ho. 
LUK.22.44	Ocitnuv se ve vnitřním zápase, usilovněji se modlil; jeho pot začal být jako kapky krve, které kanuly na zem.] 
LUK.22.45	A když vstal od modlitby, přišel k učedníkům a nalezl je, jak zármutkem spí. 
LUK.22.46	Řekl jim: “Proč spíte? Vstaňte a modlete se, abyste nevešli do pokušení.
LUK.22.47	Když ještě mluvil, hle, 
LUK.22.48	Ježíš mu řekl: “Judo, polibkem zrazuješ
LUK.22.49	Když ti okolo něho uviděli, co se děje,
LUK.22.50	A jeden z nich udeřil veleknězova otroka a uťal mu pravé ucho. 
LUK.22.51	Ježíš však odpověděl: “Nechte toho!” A dotkl se 
LUK.22.52	Ježíš řekl těm, kteří na něho přišli, velekněžím, velitelům chrámové 
LUK.22.53	Když jsem byl den co den s vámi v chrámě, nevztáhli jste na mne ruce. Ale toto je vaše hodina a vláda
LUK.22.54	Zmocnili se ho a odvedli
LUK.22.55	Když uprostřed nádvoří zapálili oheň a posadili se spolu, seděl Petr mezi nimi. 
LUK.22.56	 spatřila ho jedna služka, jak sedí 
LUK.22.57	On 
LUK.22.58	A krátce nato ho uviděl jiný a řekl:
LUK.22.59	A když uplynula asi jedna hodina, začal někdo jiný tvrdit: “Opravdu, i tenhle byl s ním, vždyť je také Galilejec.” 
LUK.22.60	Petr řekl: “Člověče, nevím, co povídáš.” A hned, ještě když mluvil, zakokrhal kohout. 
LUK.22.61	Pán se obrátil a pohlédl na Petra. A Petr se rozpomenul na Pánův výrok, jak mu řekl: “Dřív než dnes kohout zakokrhá, třikrát mne zapřeš.” 
LUK.22.62	I vyšel ven a hořce se rozplakal.
LUK.22.63	Muži, kteří Ježíše
LUK.22.64	Zahalili mu tvář
LUK.22.65	A mnoho jiného mluvili proti němu, urážejíce 
LUK.22.66	A když nastal den, shromáždilo se staršovstvo lidu, velekněží a učitelé Zákona, odvedli ho před svou veleradu 
LUK.22.67	a říkali: “Řekni nám, jsili ty Kristus.” Řekl jim: “Řeknuli vám 
LUK.22.68	Zeptámli se, zajisté 
LUK.22.69	Od této chvíle však bude "Syn člověka sedět na pravici Moci Boží".” 
LUK.22.70	Všichni řekli: “Ty tedy jsi Syn Boží?” On jim řekl: “Vy říkáte, že Já jsem.” 
LUK.22.71	Oni řekli: “Nač ještě potřebujeme svědectví? Vždyť jsme 
LUK.23.1	Celé jejich shromáždění
LUK.23.2	Začali ho obviňovat:
LUK.23.3	Pilát se ho otázal: “Ty jsi král Židů?” On mu odpověděl: “Ty říkáš.” 
LUK.23.4	Pilát řekl velekněžím a zástupům: “Na tomto člověku nenalézám žádnou vinu.”
LUK.23.5	Ale oni naléhali a říkali: “
LUK.23.6	Jakmile 
LUK.23.7	A když zjistil, že podléhá Herodově pravomoci,
LUK.23.8	Když Herodes Ježíše uviděl, velmi se zaradoval; neboť si ho už dlouho přál vidět, protože o něm [mnoho] slyšel, a doufal, že od něho uvidí nějaké znamení. 
LUK.23.9	Kladl mu mnoho otázek, ale on mu na nic neodpověděl. 
LUK.23.10	Stáli 
LUK.23.11	[I] Herodes jím se svými vojáky pohrdl, vysmál se 
LUK.23.12	V ten den se Herodes a Pilát spolu spřátelili; předtím totiž žili
LUK.23.13	Pilát svolal velekněze, vůdce a lid 
LUK.23.14	a řekl jim: “Přivedli jste mi tohoto člověka, že podněcuje lid ke vzpouře,
LUK.23.15	Ale ani Herodes ne, neboť ho poslal zpět k nám.
LUK.23.16	Jakmile ho tedy potrestám, propustím 
LUK.23.17	.
LUK.23.18	Ale všichni společně vykřikli: “Odstraň tohoto 
LUK.23.19	Ten byl uvržen do vězení pro jakousi vzpouru, vzniklou ve městě, a 
LUK.23.20	Pilát k nim znovu promluvil, 
LUK.23.21	Oni však volali: “Ukřižuj, ukřižuj ho!” 
LUK.23.22	Řekl jim potřetí: “Co tedy ten 
LUK.23.23	Oni však naléhali velikým křikem
LUK.23.24	A 
LUK.23.25	Propustil toho, který byl pro vzpouru a vraždu uvržen do vězení 
LUK.23.26	A když ho odváděli, chytili nějakého Šimona 
LUK.23.27	Za ním šlo veliké množství lidu a žen, které se bily 
LUK.23.28	Ježíš se k nim obrátil a řekl: “Dcery jeruzalémské, nade mnou neplačte, spíše plačte nad sebou a nad svými dětmi. 
LUK.23.29	Neboť hle, přicházejí dny, v nichž budou říkat: "Blahoslavené 
LUK.23.30	Tehdy začnou "říkat horám: Padněte na nás, a pahrbkům: Přikryjte nás!" 
LUK.23.31	Protože dělajíli toto se zeleným stromem,
LUK.23.32	Byli s ním vedeni k popravě
LUK.23.33	A když přišli na místo, které se nazývá Lebka, ukřižovali tam jeho i ty zločince -- jednoho po pravici 
LUK.23.34	[Ježíš říkal: “Otče, odpusť jim, neboť nevědí, co činí.”] Když si dělili jeho šaty, hodili los.
LUK.23.35	Lid stál a díval se. I vůdci se 
LUK.23.36	Posmívali se mu i vojáci, kteří přistupovali a přinášeli mu ocet 
LUK.23.37	a říkali: “Jsili ty ten král Židů, zachraň sám sebe.” 
LUK.23.38	Byl nad ním i nápis 
LUK.23.39	Jeden z pověšených zločinců ho urážel slovy: “Což ty nejsi Kristus? Zachraň sám sebe i nás!” 
LUK.23.40	Ale druhý ho napomínal:
LUK.23.41	A my spravedlivě, neboť dostáváme, co si zasluhujeme za své skutky, ale tento nic zlého
LUK.23.42	A říkal: “Ježíši, vzpomeň si na mne, až přijdeš do svého království.”
LUK.23.43	 mu řekl: “Amen, pravím ti, dnes budeš se mnou v ráji.
LUK.23.44	Bylo již okolo šesté hodiny;
LUK.23.45	protože se zatmělo
LUK.23.46	A Ježíš zvolal mocným hlasem: “Otče, do tvých rukou odevzdávám svého ducha.” Když to řekl, vydechl 
LUK.23.47	Když setník uviděl, co se stalo, slavil Boha řka: “Skutečně, tento člověk byl spravedlivý.”
LUK.23.48	A všechny ty zástupy, které se sešly na tuto podívanou, když uviděly, co se stalo, odcházely bijíce se do prsou. 
LUK.23.49	Opodál stáli všichni jeho známí, i ženy, které ho doprovázely z Galileje, a viděli to.
LUK.23.50	A hle, muž jménem Josef, člen rady [a] muž dobrý a spravedlivý-- 
LUK.23.51	ten nesouhlasil s jejich rozhodnutím a činem -- z židovského města Arimatie, který 
LUK.23.52	Ten přišel k Pilátovi a vyžádal
LUK.23.53	Sňal je, zavinul do plátna a položil ho do hrobky vytesané 
LUK.23.54	Byl den přípravy a nastávala sobota.
LUK.23.55	Ženy, které s ním přišly z Galileje, 
LUK.23.56	 se vrátily a připravily vonné látky a oleje. V sobotu podle přikázání zachovaly klid.
LUK.24.1	Prvního 
LUK.24.2	Nalezly však kámen od hrobu odvalený. 
LUK.24.3	Vstoupily, ale tělo [Pána Ježíše] nenalezly. 
LUK.24.4	A stalo se, když nad tím byly bezradné,
LUK.24.5	Polekaly se a sklonily tváře k zemi; 
LUK.24.6	Není zde, ale byl vzkříšen. Vzpomeňte si, jak k vám mluvil, když byl ještě v Galileji, 
LUK.24.7	 řekl 
LUK.24.8	I vzpomněly si na jeho slova. 
LUK.24.9	A když se vrátily [od hrobky], oznámily toto všechno Jedenácti i všem ostatním. 
LUK.24.10	[Byly 
LUK.24.11	ale jim tato slova připadala jako nesmysl a nevěřili jim. 
LUK.24.12	[Petr však vstal, běžel ke hrobce, naklonil se 
LUK.24.13	A hle, téhož dne šli dva z nich do vesnice jménem Emaus,
LUK.24.14	a rozmlouvali
LUK.24.15	A stalo se, jak 
LUK.24.16	Ale jejich oči byly drženy, takže ho nepoznali. 
LUK.24.17	Řekl jim: “O jakých věcech to spolu cestou
LUK.24.18	Jeden 
LUK.24.19	I řekl jim: “Co 
LUK.24.20	jak ho velekněží a naši vládci
LUK.24.21	My jsme však doufali, že on je ten, který má vykoupit Izrael. Ale přes to všechno
LUK.24.22	Některé z našich žen nás však ohromily. Byly zrána u hrobky, 
LUK.24.23	a když nenalezly jeho tělo, přišly a říkaly, 
LUK.24.24	A někteří z těch, 
LUK.24.25	A on jim řekl: “Ó nerozumní a zpozdilého srdce, abyste věřili 
LUK.24.26	Což to neměl Kristus vytrpět a vejít do své slávy?” 
LUK.24.27	A začal od Mojžíše a od všech proroků a vysvětlil jim ve všech Písmech to, 
LUK.24.28	Přiblížili se k vesnici, kam šli, a on si počínal, jako by chtěl jít dál. 
LUK.24.29	 na něho naléhali slovy: “Zůstaň s námi, neboť se připozdívá
LUK.24.30	A stalo se, když s nimi zaujal místo
LUK.24.31	 se jim otevřely oči a poznali ho; ale on se pro ně stal neviditelným. 
LUK.24.32	A řekli si spolu: “Což v nás srdce nehořelo, když k nám na cestě mluvil 
LUK.24.33	A v tu hodinu vstali, vrátili se do Jeruzaléma a nalezli shromážděných těch jedenáct i ty, 
LUK.24.34	a 
LUK.24.35	A oni vypravovali, co 
LUK.24.36	Zatímco o tom mluvili, postavil se on
LUK.24.37	Vyděsili se a vystrašeni se domnívali, že vidí ducha. 
LUK.24.38	Řekl jim: “Proč jste 
LUK.24.39	Podívejte se na mé ruce a 
LUK.24.40	[A když to řekl, ukázal jim ruce a nohy.] 
LUK.24.41	Když 
LUK.24.42	Podali mu kus pečené ryby 
LUK.24.43	Vzal si a pojedl před nimi.
LUK.24.44	Řekl jim: “To 
LUK.24.45	Potom otevřel jejich mysl, aby rozuměli Písmu, 
LUK.24.46	a řekl jim: “Tak je napsáno, 
LUK.24.47	a na základě jeho jména 
LUK.24.48	Vy 
LUK.24.49	A [hle,] já na vás posílám
LUK.24.50	 je vyvedl až k Betanii, zvedl své ruce a požehnal jim. 
LUK.24.51	A stalo se, když jim žehnal, 
LUK.24.52	A [když se mu poklonili,] s velikou radostí se vrátili do Jeruzaléma 
LUK.24.53	a byli stále v chrámě, chválili Boha a dobrořečili 
JHN.1.1	Na počátku bylo Slovo a to Slovo bylo u
JHN.1.2	To
JHN.1.3	Všechno vzniklo skrze ně a bez něho nevzniklo vůbec nic
JHN.1.4	V něm byl život
JHN.1.5	A to světlo ve tmě svítí a tma je nepohltila.
JHN.1.6	Objevil se
JHN.1.7	Ten přišel jako svědek,
JHN.1.8	On 
JHN.1.9	Bylo 
JHN.1.10	Na světě byl, svět skrze něj vznikl, a svět ho nepoznal. 
JHN.1.11	Přišel do 
JHN.1.12	Těm však, kteří ho přijali, dal pravomoc
JHN.1.13	Ti se nenarodili z krve
JHN.1.14	A Slovo se stalo tělem a přebývalo
JHN.1.15	Jan o něm vydával svědectví. Volal: “To je 
JHN.1.16	Z jeho plnosti jsme my všichni vzali, milost za
JHN.1.17	Neboť Zákon byl dán skrze Mojžíše, milost a pravda se stala skrze Ježíše Krista. 
JHN.1.18	Boha nikdo nikdy neviděl; jedinečný
JHN.1.19	Toto je svědectví Janovo, když k němu Židé z Jeruzaléma poslali kněze a Levity, aby se ho zeptali: “Kdo jsi ty?” 
JHN.1.20	I vyznal a nezapřel; vyznal: “Já nejsem Mesiáš.
JHN.1.21	Zeptali se ho: “Co tedy? Jsi Eliáš?” Řekl: “Nejsem.” “Jsi ten Prorok?” Odpověděl: “Ne.” 
JHN.1.22	Řekli mu tedy: “Kdo jsi? Ať můžeme dát odpověď těm, kteří nás poslali. Co říkáš sám o sobě?” 
JHN.1.23	Řekl: “Já 
JHN.1.24	[Ti] poslaní byli z farizeů. 
JHN.1.25	I zeptali se ho:
JHN.1.26	Jan jim odpověděl: “Já křtím ve vodě, [ale] uprostřed vás stojí 
JHN.1.27	[To je] ten, který přichází za mnou, 
JHN.1.28	Tyto věci se udály v Betanii
JHN.1.29	Druhého dne 
JHN.1.30	Toto je 
JHN.1.31	Ani já jsem ho neznal, ale proto jsem přišel a křtil ve vodě, aby byl zjeven Izraeli.” 
JHN.1.32	A Jan vydal svědectví: “Viděl jsem, jak Duch sestupoval jako holubice z nebe a zůstal na něm. 
JHN.1.33	Ani já jsem ho neznal, ale ten, kdo mne poslal křtít ve vodě, mi řekl: "Na koho uvidíš sestupovat Ducha a zůstávat na něm, to je ten, který křtí v Duchu Svatém." 
JHN.1.34	A já jsem 
JHN.1.35	Druhého dne 
JHN.1.36	Pohlédl na Ježíše, jak jde kolem, a řekl: “Hle, Beránek Boží!” 
JHN.1.37	Ti dva učedníci slyšeli, 
JHN.1.38	Ježíš se otočil, a když uviděl, že jdou za 
JHN.1.39	Řekl jim: “Pojďte a uvidíte.
JHN.1.40	Jeden z těch dvou, kteří 
JHN.1.41	 nalezl nejprve
JHN.1.42	Přivedl ho k Ježíšovi. Ježíš na něho pohlédl a řekl: “Ty jsi Šimon, syn Jonášův;
JHN.1.43	Druhého dne se Ježíš rozhodl odejít do Galileje. Nalezl Filipa a řekl mu: “Následuj mne.” 
JHN.1.44	Filip byl z Betsaidy, města Ondřejova a Petrova. 
JHN.1.45	Filip nalezl Natanaela a řekl mu: “Nalezli jsme 
JHN.1.46	Natanael mu řekl: “Může být z Nazareta něco dobrého?” Filip mu řekl: “Pojď a podívej se.” 
JHN.1.47	Ježíš uviděl Natanaela, jak k němu přichází, a řekl o něm: “Hle, 
