MAT.1.1	Antuyawino neturakkanneno gagginafuwera i Jesu Kristo a gaka i Ari David a gaka kappayi Abraham. 
REV.2.5	Dandammandonaddino agganggandaw sino pittana ta mabbobolikayu ta akwandokappayino inangwayu siꞌin. Se nu ammekayu mabboboli, gumamwangaꞌnga sikwayu ta ariyangkuweno aggitappatandaw si sirwat sino agyananna. 
REV.2.6	Udde ana payino anggangku sikwayu, se ammeyu anggammino akwanino Nicolaitera
REV.2.7	“Nu ammuyuwa maddingngag, dingngaggandonaddino sapitannino Espirituwi Dios sino ammina nangurug si palulubbun.
REV.2.7	“Ino tolaya ammera maaffut si narakkat, iyaꞌdak sikwareno kalintiyanda a mangngan si bunganeno kayuwa mangaꞌda si biyaya mannayuna ana sino nalawara agyanani Dios.”
REV.2.8	Wasinoy, sinapiꞌna kappayino iturakku sino anghela mimut sino nanguruwira sey Esmirna, a kunna si:
REV.2.8	“Ikkanakino gafuna anna ambuꞌna ammin, e ikkanakino natay a nangngangoli kappay. Antuyawino sapitangku sikwayu sitan Esmirna. 
REV.2.9	Ammuk si paidamandakayu anna ammuk kappay si pobirikayu. Udde si kakuruwanna, baꞌnangkayu gafu sino angnguruddaw sikwak. Ammuk si ilopalopeꞌdakayuweno korwanira a Judyu. Kunda si tolayira i Dios gafu sino kinaJudyura, gampade bakkan, se tolayira i Satanas. 
REV.2.10	Ammekayu nadda mattalaw sino dyata malana gumamwang sikwayu. Se kakkapani Satanas a darallannino angnguruddaw. Ino akwanna, pebaluddakayuwa korwan, e madyatangkayu si tafuluwa aw. Udde ammeyu talekkuranino angnguruddaw sikwak, massiki nu ipateyu, e aꞌdantakayuna si koronayuwa antuweno biyaya mannayun.
REV.2.11	“Nu ammuyuwa maddingngag, dingngaggandonaddino sapitannino Espirituwi Dios sino ammina nangurug si palulubbun.
REV.2.11	“Ino tolaya ammera maaffut si narakkat, ammerana mesapata makastigu si makkikiyad sino pidwana katayan.”
REV.2.12	Wasin nasinduwenoy, netulduneno peturaꞌnga sikwak sino anghela mimut sino nanguruwira sey Pergamo, a kunna si:
REV.2.12	“Ikkanakino nassaset si nataramma nannumangino ngaramma. Antuyawino sapitangku sikwayu sitan Pergamo. 
REV.2.13	Ammuk si odduweno mangurug ki Satanas sitan agyanandaw, udde natuyaggepayino angnguruddaw sikwak. Ammuk kappayino nakwa ki Antipas a natalakka nangipakaammu mappeafu sikwak. Massiki pinapatera sitan patturayani Satanas, ammeyu sinalekkuranino angnguruddaw sikwak.
REV.2.14	“Udde aneno balawangku sikwayu, se ino korwan sikwayu, dumandanira sino tulduwi Balaam siꞌin. I Balaamino nanuldu ki Balak a manutunggung sino gakagakera i Israel ta mangwera si narakkat. Nakiakkanira sino newaꞌlat sino sinandiosira anna nakiduruwira si bakkanna atawara. 
REV.2.15	Kunna kappayino korwan sikwayu, se anera a dumandan sino narakkatta tulduweno Nicolaitera. 
REV.2.16	Ibobolira naddino liwaꞌda, se nu ammera iboboli, ammena mabayag e gumamwangak sitan ta gubattangkuwera a musar sino saseta mallawan sito wangikku.
REV.2.17	“Nu ammuyuwa maddingngag, dingngaggandonaddino sapitannino Espirituwi Dios sino ammina nangurug si palulubbun.
REV.2.17	“Ino tolaya ammera maaffut si narakkat, aꞌdangkuwerana si makkana mingngan si mana a neimfungkepay sey langit. E kadda tata sikwara, aꞌdangku kappay si nafurawa batuwa naturakkan si bawuwa angan a awana nakaammu nu bakkannino nangaꞌdanna.”
REV.2.18	Wasinoy, nepeturaꞌnga kappay sikwakino sapiꞌna sino anghela mimut sino nanguruwira sey Tiatira, a kunna si:
REV.2.18	“Ikkanakino Abbingi Dios a kunnangke gumigillayafa afuyino matak a mangngilikilitino takkik a kunnangke naruruna gumbang. Antuyawino sapitangku sikwayu sitan Tiatira. 
REV.2.19	Ammuk amminino akwandaw, ino kinatuyangngeno agganggandaw, annino angnguruddaw. E ammuk kappay si mattalaginaggayuwa masserbi sino bafulundawira anna attammandawino kinadyaꞌdaw. Ammuk pay si oodduweno akwandawa nalawad ingkein amma sin gafunenin nanguruwandaw.
REV.2.20	“Udde aneno balawangku sikwayu, se purayandawino tata a bafaya i Jezebel. Massapit si antu kanuweno tata gumalabbuni Dios, udde tulduwanneno aripangkuwera ta mangwera si narakkat. Gafu sino tulduna, makiduruwira si bakkanna atawara anna akkanandeno newaꞌlat sino sinandiosira. 
REV.2.21	Aggataronangkuweno piboboliyanna sino narakkatta inangwana, udde ammena anggamma talekkuran. 
REV.2.22	Antu gafuna, pattakitangkungke si mabayag ta aggaidda pelang. Kunna kappayino akwangku sino bafulunnera a nangwa si narakkat, padyatangkuwerangke, nu ammera iboboliyeno narakkatta akwanda. 
REV.2.23	Papatayangkuna amminino dumandan sikwana, takesi maammuwanino nanguruwira sikwak si palulubbun a ammuk ammina nakammino tolayira. E iyaꞌdaꞌngeno meannung sino inangweno kadda tata sikwara.
REV.2.24	“Udde ino korwan sikwayu sitan Tiatira, ammeyu sinuntulino narakkatta tulduweno bafay anna ammeyu kappay inadalino naunagga tulduwa naggabwat ki Satanas, antuweno awana idaggaka ipaangwa sikwayu takesi ammena madaggananino dyaꞌdaw. 
REV.2.25	Ino pelang itungku sikwayu, mattalaginaggayu nadda mangurug makkiyad si muliyak.
REV.2.26	“Ino tolaya ammera maaffut si narakkat e ammera umibbatta mangwa sino anggangku makkiyad si matayira, aꞌdangkuwera si kalintiyanda a matturay si palulubbun 
REV.2.27	a kunnangke ino neyaꞌda i Ama sikwak. Awana makaaffut sikwara e kastigundeno mangwera si narakkat. Ino angngastigura sikwara, kunnangke meburayita banga nu masiꞌbatan si baliyang. 
REV.2.28	Iyaꞌdak kappena sikwara ino bituna abbasilelaw.
REV.2.29	“Nu ammuyuwa maddingngag, dingngaggandonaddino sapitannino Espirituwi Dios sino ammina nangurug si palulubbun.”
REV.3.1	Wasinoy, nepeturaꞌnga kappayino sapiꞌna sino anghela mimut sino nanguruwira sey Sardis, a kunna si:
REV.3.1	“Ikkanakino mifuyut sino Espirituwi Dios a pituweno kaitanino pannakadamana. E ikkanak kappayino miggam sino pituwera a bitun. Antuyawino sapitangku sikwayu sitan Sardis. Ammuk amminino akwandaw, e ammuk kappay si kunnino tolayira a aggabiyaggayu, udde ino kakuruwanna, natekayu se nakalyawandawino angnguruddaw. 
REV.3.2	Mafakkayu nad ta pattuyaggandawino nakafuya angnguruddaw ta ammena maawan. Se naammuwangku si kurangino asserbiyu sino angngita i Dios. 
REV.3.3	Dandammandonaddino tulduwa diningngaddaw siꞌin. Antu naddino kuruwandaw ta iboboliyuweno liwaꞌdaw. Se nu ammeyu akwan, gumamwangaka mangastigu sikwayu. Ammeyu maammuwanino oraꞌneno gumamwangangku, se kakunnakino gumatakaw si gafi.
REV.3.4	“Udde aneno korwan sikwayu sitan Sardis a ammena namansanino barawasira. (Ino anggamma sapitan, ammera mangwa si narakkat.) Ireno meannunga mabbarawasi si nafurawa mebulun sikwak.
REV.3.5	“Ino tolaya ammera maaffut si narakkat, mabbarawasiyera kappay si nafuraw. Ammek ariyanino anganda sino leburuwa nelistanino ngangandera a mabiyag si makkikiyad, e sapitangkuna sino aꞌlangi Ama annino anghelnera si ireno gakkuruwa tolek.
REV.3.6	“Nu ammuyuwa maddingngag, dingngaggandonaddino sapitannino Espirituwi Dios sino ammina nangurug si palulubbun.”
REV.3.7	Waso kunnenoy, sinapiꞌneno iturakku sino anghela mimut sino nanguruwira sey Filadelfia, a kunna si:
REV.3.7	“Ikkanakino nadiosan anna natalakka miggam sino tulbiꞌnga patturayani Dios, a kakunna i Ari David siꞌina niggam sino tulbiꞌngeno lubbunna a Jerusalem. Nu gakutangku, awana makabukkat. Antuyawino sapitangku sikwayu sitan Filadelfia. 
REV.3.8	Ammuk amminino inangwayu. Massiki bisangke ino pannakadamayu, nattalaginaggayuwa nangwa sino sinapikku, e ammeyu neimaddino angnguruddaw sikwak. Antu gafuna, kunnangke binukkatangkuweno sawang takesi makatallungkayu e awana makagakut.
REV.3.9	“Dingngaggandaw yaw. Aneno Judyuwera sitana massapit si tolayira i Dios, gampade bakkan, se tolayira i Satanas. Ino akwangku sikwara, pamaliturangkuwera sino aꞌlandaw ta maddayawira sikwayu ta antuweno pangammuwanda si anggantakayu. 
REV.3.10	Gafu se kinuruddawino sinapikku sikwayu, e inattammandawino kinadyaꞌdaw, imutantakayu nanu gumamwangino kattalatalawa dyat
REV.3.11	Araꞌniyennino gamwangangku. Antuweno pattalaginarandonaddino angnguruddaw sikwak, ta awana makafulat sino korona a iyaꞌdak sikwayu.
REV.3.12	“Ino tolaya ammera maaffut si narakkat, pabbalinangkuwera si kunnangke arineno templowi Dios e magyanira sinay si makkikiyad. E markangkuwera sino angani Dios annino anganino lubbunna a antuweno bawuwa Jerusalem a maggabwat ki Dios sey langit. E imarkak kappayino bawuwa angangku sikwara.
REV.3.13	“Nu ammuyuwa maddingngag, dingngaggandonaddino sapitannino Espirituwi Dios sino ammina nangurug si palulubbun.”
REV.3.14	Wasinoy, nepeturaꞌnga kappayino sinapiꞌna sino anghela mimut sino nanguruwira sey Laodicea, a kunna si:
REV.3.14	“Ikkanakino naingnganan si Kakuruwan se natalakkak, e gakkurug ammina ipakaammuk mappeafu ki Dios. E ikkanak kappayino nappaangwani Dios sino ammina pinaratuna. Antuyawino sapitangku sikwayu sitan Laodicea. 
REV.3.15	Ammuk amminino inangwayu. Meampariggayu si alupatuwana danuma awana serbina se bakkanna napatu anna bakkangke a nalaꞌbat. Ino anggangku, napatukayu onnu nalaꞌbakkayu nad, se aneno serbira a adwa.
REV.3.16	Udde gafu se alupatuwampelangino angnguruddaw, gailaluppatakayu se ammeyu maattamman. 
REV.3.17	Kundaw si baꞌnangkayuwa awana pakkurangandaw. Udde ammeyu inammuweno kakuruwanna a kakallakkayungke. Pobirikayu, nabboyangkayu, nalappakkayu. 
REV.3.18	Sapitangku sikwayu ta maggatangkayu nad sikwak si bulawana antuweno gakkuruwa angngurug, takesi bumaꞌnangkayu. E maggatangkayu kappenad sikwak si nafurawa barawasiyu ta maariyeno ataldaw sino nabboyangandaw. E maggatangkayu kappenad sikwak si pagasdaw sino matayu ta makaitakayu kappay.
REV.3.19	Ammina tolaya iiddukangku, aꞌallangngangkuwera anna kastigungkuwera takesi matulduwanira. Kunna mantu, mallappakkayu nadda mangwa sino ipangwak sikwayu e iboboliyu nad amminino liwaꞌdaw. 
REV.3.20	Dingngaggandaw, se ayawak sito kayatana mappebukkat sikwayu. Nu wara makadingngag sikwak anna mabbukkat, sumallungak e makikkanak sikwana.
REV.3.21	“Ino tolaya ammera maaffut si narakkat, aꞌdangkuwera si kalintiyanda a makituttud sikwaka matturay a kunna payino inangwa i Ama sikwak sin nangaffutangku ki Satanas.
REV.3.22	“Nu ammuyuwa maddingngag, dingngaggandonaddino sapitannino Espirituwi Dios sino ammina nangurug si palulubbun.”
REV.4.1	Wasin nabalinin inoy, sinangawak e initakino sawanga nabukkatan sey langit. E nadingngaggu kappayino damita kunnangke damiꞌna tangguyufa diningngaggu siꞌin. Sinapiꞌna sikwak si, “Umangka taw ta ipaitak sikwamino maangwana so maddagguna aw.” 
REV.4.2	Kakaꞌmeng kelanga netullurakino Espirituwi Dios sey langit. E naitakino tronowa aneno nattuttud sinay. 
REV.4.3	Ino nattuttud sinay, mangngilikilitino kaitanna a kunnangke ino nanginera a batuwa ngananda si haspe anna karnelia. Aneno bulluna nallebad sino tronona a mangngilikilita kunnangke ino alu-atan a batuwa ngananda si esmeralda. 
REV.4.4	E ana kappayino kaꞌlufulu si appata tronowa nallebad sino tata a trono, e antuweno pattutturanino kaꞌlufulu si appata pangafuwan. Nabbarawasiyera si nafuraw anna nakkoronera si bulawan. 
REV.4.5	E aneno maggabwat sino tronowa makakilakilat anna umunguunguwa addug. Sino aꞌlangino trono, aneno pituwera a gumigillayafa sirwat a ireno keampariyanino Espirituwi Dios a pituweno kaitanino pannakadamana. 
REV.4.6	Sino aꞌlang kappayino trono, aneno kunnangke bebaya mallanga sarminga awana kulapaꞌna.
REV.4.6	Aneno appatira a pinaratuwi Dios a nallebad sino trono, a passi mateno aꞌlanda, mampesino darurura. 
REV.4.7	Ino tata, kunnangke layonino kaitanna, e ino mekadwa, kunnangke baka. Ino mekatallu, nammutung si mutungnga tolay, e ino mekappat, kunnangke kulawa makakkayab. 
REV.4.8	Ira a appat, aggannammira si payak, anna nammatamateno bagabaggira, massiki ino dolammino payaꞌda. Aw anna gafi ammera umibbatta makakkanta a kakkantandeno,
REV.4.8	“Awana kakunneno kinalawari Afu Dios a mannakadama si ammin se nalawad ammina akwanna. Ana siꞌin, ana kepay ingkein, e magyan si makkikiyad.”
REV.4.9	Makakkanteno appatira a pinaratu sino paddayawanda sino kinalawarino aggatuttud sino tronowa mabiyag si makkikiyad, e mappasalamatira sikwana. Nu makakkantera, 
REV.4.10	mamaliturino kaꞌlufuluwera si appata pangafuwan sino aꞌlangino aggatuttud sino trono e maddayawira sikwana a mabiyag si makkikiyad. E ariyandeno koronara a bulawan e iwaggara sino aꞌlangnga, e ikantareno sapitanda si,
REV.4.11	“Ikka Dios a Afumi, meannungka a madayaw gafu sino kinalawannu anna pannakadamam, se ikkeno namaratu si amammin. Gafu sino urem, pinaratum ammin, e naꞌdannuwera si biyag.”
REV.5.1	Wasinoy, ana kappay initaka nalukuta papela iniggammanino diwanana kamattino aggatuttud sino trono. Inaya papel, nannumangino turaꞌnga, e namippituwa nepikkaꞌda ta ammena maboꞌliyad. 
REV.5.2	E agyanino initaka anghela dokallino pannakadamana, e nekokwana a nassapit si, “Inyeno meannunga mallakkat sito pikkaꞌna papel ta boꞌliyaranna?” 
REV.5.3	Udde massiki sey langit, sito lubag, anna sino agyananna natay, awaningke masumpalan si meannunga mabboꞌliyad sino nalukuta papel ta basanna. 
REV.5.4	E natattangitak gafu se awaningke masumpalan si meannunga mabboꞌliyad sino papel takesi basanna. 
REV.5.5	Udde naddamitino tata a pangafuwan e sinapiꞌna sikwak si, “Ammeka mattangit. Itannu, aneno ngananda si Layon a gaka i Juda anna gaka kappayi Ari David. Antuweno nangaffut ki Satanas, e antu gafuna, antuneno meannunga mari sino pituwa pikkaꞌneno papel takesi boꞌliyaranna.”
REV.5.6	Wasin sinapiꞌnenoy, aneno initaka ubbunna karnerowa nattaꞌdag sino nallalatanino trono annino appatira a pinaratu andino kaꞌlufuluwera si appata pangafuwan. Inaya Karnero, kunnangke pinapatera siꞌin se aneno pilaꞌna. E ana kappayino pituwa taꞌgunna anna pituwa matana a kaitanino pannakadameno Espirituwi Dios a mita sino ammina makwa to lubag. 
REV.5.7	Inang inappeno Karneroweno nalukuta papel sino diwanana kamaꞌneno aggatuttud sino trono. 
REV.5.8	E wasin inappaneno papel, namaliturino appatira a pinaratu andino kaꞌlufuluwera si appata pangafuwan sino aꞌlangnga a maddayaw sikwana. E kadda tata sino pangafuwanira, niggam si arpa anna malukunga bulawana napannu si umatoka nabangug a antuweno ampariyino kararino ammina tolayi Dios. 
REV.5.9	E nakkantera sikwana si bawuwa kanta a sapitanda si,
REV.5.9	“Ikkeno meannunga mangappa sino nalukuta papel anna mari sino pikkaꞌna. Se pinapateraka e nebubbuweno adam. Antuweno nepappagam sino liwatino tolayira ta wara mabbali si tolayi Dios a maggabwatira si ammina lulubbuna naddadarumeno damiꞌda anna gafura. 
REV.5.10	Nesapaꞌnuwera sino patturayannu, e nepabbalimira si papadi ta masserbiyera ammin ki Dios anna matturayirana sito lubag.”
REV.5.11	Wasin mallangalangak kappay, initakino parifurifuwera a anghela ammera mabilanga ilebalebaddeno trono annino appatira a pinaratu andino kaꞌlufuluwera si appata pangafuwan. 
REV.5.12	E nekokwareno makkakaranta a sapitanda si,
REV.5.12	“Ino Karnero a pinapatera, antuweno meannunga medayaw, se awana kakunnaneno pannakadamana, kinabaꞌnangnga, kinalaingnga, kinatuyangnga, anna kinalawanna a awana pakkuranganna.”
REV.5.13	E diningngaggu kappayino kanteno amminira a ana sey langit andino anera sito lubag, ino anera sey bebay andino anera sino agyananna natay. Ammina pinaratuwi Dios, makkakarantera a sapitanda si,
REV.5.13	“Ino aggatuttud sino trono annino Karnero, awana kakunnaneno kinalawad anna kinatuyadda, antu gafuna, ireno medayaw si makkikiyad.”
REV.5.14	E sinabbino appatira a pinaratu e sinapiꞌda si, “On mappay.” E namalitud kappayino kaꞌlufuluwera si appata pangafuwana maddayaw sino Karnero annino aggatuttud sino trono.
REV.6.1	Wasinoy, initakino Karnero a mallakkat sino palunguwa pikkaꞌneno nalukuta papel. Wasin ilakkaꞌnenoy, diningngagguweno kunnangke adduwa damita naggabwat sino tata sino appatira a pinaratu e sinapiꞌna si, “Umangka taw.” 
REV.6.2	Wasin itangku, aneno initaka nafurawa kabayu. Aneno nattakaya niggam si pana a umang makiyubat. E naaꞌdangkappay si korona a mangipaita si antuweno mangaffut. Kasena inang makiyubat e affutannana ammina kagubaꞌna.
REV.6.3	Wasin ilakkatino Karneroweno mekadwa a pikkaꞌneno papel, diningngaggu kappayino damiꞌneno mekadwa a pinaratu e sinapiꞌna si, “Umangka taw.” 
REV.6.4	E initak kappayino nalibaga a kabayu. E ino nattakay, naaꞌdangkappay si dokalla saseta mangipaita sino pannakadamana a mappagagarunut sino tolayira sito lubag ta makkapatapatayira.
REV.6.5	Wasin ilakkakkappayino Karneroweno mekatalluwa pikkaꞌneno papel, diningngaggu kappayino damiꞌneno mekatalluwa pinaratu e sinapiꞌna si, “Umangka taw.” E initak kappayino nangisita kabayu. Ino nattakay, aneno aggaiggammanna a akkilowan. 
REV.6.6	E diningngaggu kappayino damita mallanga naggabwat sino agyananino appatira a pinaratu e sinapiꞌna si, “Dokalla bisin sito lubag e makilo ammin. Ino tandanino tolay si tata si aw, takilo pelanga baggatino keatanganna, onnu tallu kilowa bakaw. Udde ammeyu panginanino mantika anna tayug.”
REV.6.7	Wasin ilakkatino Karneroweno mekappata pikkaꞌneno papel, diningngaggu kappayino damiꞌneno mekappata pinaratu e sinapiꞌna si, “Umangka taw.” 
REV.6.8	E initak kappayino alufurawana kabayu. Ino anganino nattakay, e i Patay. E ino dumadandan sikwana, i Hades, a antuweno agyananino natayira. E naaꞌdanira si kalintiyanda a mamapatay si pakkapaꞌneno tolayira sito lubag. Ino ammapatera sino tolayira, gubat, bisin, takit, anna kattalatalawa animal.
REV.6.9	Wasin ilakkakkappayino Karneroweno mekalima a pikkaꞌneno papel, initakino assikkulanda sino mewaꞌlat ki Dios, e sino gukamma, initakino kararuweno tolayira a pinapatera gafu sino nangibanyanda sino sapiti Dios annino nanaꞌdagganda sino kakuruwanna. 
REV.6.10	E nekokwareno nassapit si, “Afu Dios a mannakadama si ammin, nalawad ammina akwannu anna taꞌdaggannu ammina sapitannu. Naansa maꞌneno pangukumannu sino tolayira to lubag ta kastigunnuweno namapatayira sikwami?” 
REV.6.11	E naaꞌdanira ammin si nafurawa barawasi, e netuldu sikwara si mimwangira nad si bisang ta taronandeno kakkolaꞌdera a masserbi ki Dios a papatayandera kappena a kunnangke ino inangwara sikwara.
REV.6.12	Wasin ilakkatino Karneroweno mekannamma pikkaꞌneno papel, nalunig si natuyag, e nangngisitino sinag a mallanga landu. E nallibageno dakkag a mallanga ada. 
REV.6.13	Nadaraꞌnino bitunira sito lubag a kunnangke naata a bungana kayuwa madaraꞌnag nu mabbayabbag. 
REV.6.14	E nepallinneno langit a kunnangke papela nalukut. Ammina kulud andino lubagga nalebaddan si bebay, nealitira ammin. 
REV.6.15	E nakatalaw amminino tolayira sito lubag. Ino ariyera andino tatturayira, ino afafuwerana sindalu, ino bafaꞌnangngira annino aneno pannakadamara, anna ammina korwana tolay, aripan onnu bakkanna aripan, inangngira nattawu sino agweb anna sino kabatuwan sino kulud. 
REV.6.16	E nakimawirira sino batuwera anda sino kulurira si, “Madabbakkayu ta tabbunandakami
REV.6.17	Se nadaꞌngennino kattalatalawa aw a pangastiguwanda sikwami, e ammekami makattam.”
REV.7.1	Wasin nasinduwenoy, initakino appatira a anghela nattaꞌdag sino suyusuyuneno lubag. E lefangngandeno appata paggabwatanneno bayabbag kesi ammena mabayabbagganino utunna lubag annino bebay andino massiki sanna a kayu. 
REV.7.2	Kasek kappay initeno tata a anghela naggabwat sino lattakani sinag a aggaiggammanneno pammarka i Dios a antuweno aggabiyag si makkikiyad. E nekokwaneno nassapit sino appatira a anghela ireno inaꞌdani Dios si pannakadamara a manaral sito lubag anna sino bebay. 
REV.7.3	E sinapiꞌna sikwara si, “Ammeyu abbu ansan yo lubag annino bebay annino kakayuwanira makkiyad si markammiyeno kirayino maripannira ki Diostam.” 
REV.7.4	E diningngaggu kappayino kaodduweno namarkanira, e kadwatut si appatafuluwe appatarifuwera a naggabwatira ammin sino karadwera a abbingi Israel. 
REV.7.5+REV.7.6+REV.7.7+REV.7.8	Karadwa si rifuweno namarkan sino gakagakera i Juda, kunna kappay sino gakagakerara Ruben, Gad, Aser, Neftali, Manases, Simon, Levi, Isacar, Zabulon, Jose, anni Benjamin.
REV.7.9	Wasin nasinduwenoy, kasek kappay nallangalanga, e aneno initaka tolaya ammera mabilang gafu sino kaoddura. Naggabwatira si ammina lulubbuna naddadarumeno damiꞌda anna gafura. Nattaꞌdaggira ammin sino aꞌlangino aggatuttud sino trono annino Karnero, e nabbarawasiyera ammin si nafuraw anna giiggammanira ammin si adonna ayowa antuweno mangipaita sino langgaꞌda. 
REV.7.10	E nekokwara ammina nassapit si, “Madayonaddi Dios a aggatuttud sino trono annino Karnero, se ireno nangisalak sikwatam.” 
REV.7.11	Amminira a anghel, ilebaddeno trono annino kaꞌlufuluwera si appata pangafuwan andino appatira a pinaratu. E namaliturira ammina umokab sino aꞌlangngeno tronowa maddayaw ki Dios. 
REV.7.12	E sinapiꞌda si, “Gakkurug yaw! Madayonaddi Dios si makkikiyad. Dayawantam anna mappasalamatetam sikwana gafu se awaningke nakkuranganneno kinalaingnga, kinalawanna, annino pannakadamana. Amen.”
REV.7.13	Ino tata sino pangafuwanira, nappakibebut sikwak e sinapiꞌna si, “Ma, ammum nu inyerenaya tolaya nabbarawasi si nafuraw, e ammumino naggabwatanda?” 
REV.7.14	E sinabbaggu si, “Ammek ammu. Ammum nakuy.” E sinapiꞌna si, “Ireno tolaya nanguruwa nallawum sino kattalatalawa dyat, udde natuyaggepayino angngurudda. Inunafandeno barawasira sino adaneno Karnero e naffuraw. 
REV.7.15	Antu gafuna, anera sino aꞌlangino tronowi Dios a masserbi sikwana sino templona si aw anna gafi. E i Dios a aggatuttud sino trono, imutannera. 
REV.7.16	Ammera mabisin anna mauwaw si makkikiyad. Ammera masinasinan onnu madyatan sino korwana napatu. 
REV.7.17	Se ino Karnero a ana sino trono, antuneno mimut sikwara anna mifuyut sikwara sino paggabwatanneno danuma mangaꞌda si biyaya manayun. E funatani Diosino kalaluwara takesi awaninna malow sino nakanda.”
REV.8.1	Wasin nallakkatanino Karnero sino mekapituwa pikkaꞌneno nalukuta papel, sininak ammina ana sey langit si kagadwana orat. 
REV.8.2	Kasek initeno pituwera a anghela aggataꞌdag sino aꞌlangi Dios, e naaꞌdanira si tattata a tangguyub.
REV.8.3	Wasinoy, ginamwangino tata kappaya anghela aggaiggam si bulawana pekwan si bambangug, e inang nattaꞌdag sino aꞌlangngeno assikkulanda si bambanguwa ana sino aꞌlangino trono. E naaꞌdan si odduwa bambangug ta idaggana sino kararino tolayira i Dios, kasena sinikkulan sino bulawana assikkulan ta mewaꞌlat ki Dios. 
REV.8.4	Ino atoꞌngeno bambanguwa naggabwat sino aggiggammanino anghel, nebulun sino kararino tolayira i Dios a sumullu sino aꞌlangnga. 
REV.8.5	E inappeno anghelino aggekwanna si bambangug, e pinannuna si baꞌganga inappana sino assikkulan, asena netakkub sito lubag. E kakaꞌmeng kelanga makadaddug, nanallit, anna nalunig.
REV.8.6	Wasinoy, nedadanino pituwera a anghela paddamitanino tangguyudda.
REV.8.7	Wasin nepadamitino palunguwa anghelino tangguyumma, nuran si alalawu anna afuya nalamuran si ada. E nasikkulanino pakkaꞌluneno lubag, pakkaꞌluneno kakayuwan, andino ammina kaddat.
REV.8.8	Wasin nepadamitino mekadwa a anghelino tangguyumma, aneno netakkub sey bebay a kunnangke dokalla kulura gumigillayab. E nabbali si adeno pakkaꞌluneno bebay. 
REV.8.9	Natayino pakkaꞌluneno anera sey bebay, e nadarallino pakkaꞌluneno baforira.
REV.8.10	Wasin nepadamitino mekatalluwa anghelino tangguyumma, aneno nadaꞌna dokalla bituna gumigillayafa kunnangke patud, e naddattu sino pakkaꞌluneno wawwang annino bitufutira. 
REV.8.11	Ino anganneno bitun, Napet. Nepappeꞌneno pakkaꞌluneno danum, e odduweno tolaya natay gafu sino ininumanda sino napet.
REV.8.12	Wasin nepadamitino mekappata anghelino tangguyumma, naaddappino pakkaꞌluneno sinag anna pakkaꞌluneno dakkag andino pakkaꞌluneno bitunira. Antu gafuna a awana sinag sino pakkaꞌluna aw, e awana sirwat sino pakkaꞌluna gafi.
REV.8.13	Wasinoy, aneno naitaka kulawa makakkayab sey abaꞌnga langita nekokwaneno nassapit si, “Kakallaꞌngeno ammina tolay sito lubag gafu sino kattalatalawa maangwa nanu paddamitanino talluwera kappaya anghelino tangguyudda.”
REV.9.1	Wasinoy, nepadamitino mekalima a anghelino tangguyumma, e initakino kunnangke bituna naggabwat sey langita nadaꞌnin sito lubag. E neyaꞌda sikwaneno tulbiꞌngeno bituwa awana pakkiyaranna. 
REV.9.2	E binukkatanneno bitu, e nallawanino odduwa atok a kunnangke atoꞌnga dokalla sikkul, e nallammukino lubag se nalefangnganino sinag sino nappelalota atok. 
REV.9.3	E ana kappayino durunira a nallawan sino atok, e nippera sito lubag. Naaꞌdanira si pannakadamara a manilura kunnangke mallagama. 
REV.9.4	Nasapit sikwara si ammera siꞌsiꞌdunannino kaddattira annino kayuwera, onnu massiki sanna a mula, ta padyatanda pelangino tolayira a awana marka i Dios sino kirera. 
REV.9.5	Udde ammera nuraya namapatay sino tolayira, nu ammerera lubbelang paddyatanira si lima dakkag. Ino kadyatanda, kunnangke ino kalowino silunna mallagama. 
REV.9.6	Sino unangngenoya lima dakkag, angganda nadda matay, udde ammera dama a matay.
REV.9.7	Ino kaitanino durunira, kakunnareno kabayuwa nadadana umang makiyubat. Aneno mallanga bulawana korona sino ulura, anna kunnangke mutungnga tolayino mutunda. 
REV.9.8	Ino abuꞌda, kunnangke abuꞌnga bafay. Ino ngipanda, kunnangke ngipanna layon. 
REV.9.9	Nadwattapanino taꞌganda si kunnangke kalatadda a baliyang. Umunguwino payaꞌda nu makkayafira a kunnangke ungungnga odduwa kalesa a buꞌbutanna kabayu a umang makiyubat. 
REV.9.10	Aneno silud sino ifuꞌda a kunnangke silunna mallagama. Antuweno agyananino pannakadamara a mappadyat si tolay si lima dakkag. 
REV.9.11	Ana kappayino arira a mangituray sikwara, a antuweno anghela nakaammu sino bituwa awana pakkiyaranna. Ino anganna si damiꞌna Hebreo, i Abaddon, e si damiꞌna Griego, i Apolion a ino anggamma sapitan, antuweno Manandaral.
REV.9.12	Nabalininnino palunguwa kattalatalawa dyat, udde ana kepayino adwa a metufad.
REV.9.13	Wasinoy, nepadamitino mekannamma anghelino tangguyumma, e dingngagguweno kunnangke damita naggabwat sino suyusuyuneno assikkulana bulawana agyan sino aꞌlangi Dios. 
REV.9.14	Sinapiꞌna sino mekannamma anghel si, “Ilubbaꞌnguweno appatira a anghela neyakad sino idangngeno dokalla wawwanga Eufrates.” 
REV.9.15	E inangnga nelubbakino appatira a anghel, se nadadanira a melubbak sitawa run, dakkag, aw, anna orat, ta mamapatayira sino pakkaꞌluneno tolayira. 
