MAT.1.1	ایسّا مَسیه، 
ACT.18.23	پولُس اَنْتاکیَها کمّے وهدا مهتل بوت و پدا چه اۆدا در آتک و گَلاتیَه و پْریجیَها ترّ و تاب کنان، گۆن مریدان گِند و نِندیَ کرت و آیانی سِتک و باوری مُهر و رێدگ کنانَ کرت. 
ACT.18.24	هما وهدا اَپولُس نامێن یک یَهودیے اِپِسُسئے شهرا آتک که اِسْکَنْدَریَها پێدا بوتگ‌اَت، واننده و هبرزانتے اَت و پاکێن کتابان شَرّ بلد اَت. 
ACT.18.25	آییا 
ACT.18.26	آییا په دِلێری 
ACT.18.27	اَپولُسا که اَکایَهئے رئوگئے شئور کرت، گڑا اِپِسُسئے شهرئے براتان دِلبڈّی دات و په اۆدئے مریدانِش نبشت که آییا په دلگرمی وشّ‌آتک بکننت. وهدے اَپولُس اۆدا رَست، اۆدئے هما مردمی باز کُمک کرتنت که چه هُدائے 
ACT.18.28	چیا که آییا سجّهێنانی دێما گۆن یَهودیان گپّ و تْرانَ کرت و آیانی باوری
ACT.19.1	هما زمانگا که اَپولُس کُرِنْتا اَت، پولُس هم چه مُلکئے نیامی هَند و دَمگان گوَزان، اِپِسُسئے شهرا آتک و رَست. اۆدا لهتێن مریدی دیست. 
ACT.19.2	چه آیان جُستی گپت: «وهدے شما ایسّا مَسیهئے سرا باوَر کرت، 
ACT.19.3	گوَشتی: «گڑا شما چۆنێن 
ACT.19.4	گوَشتی: «یَهیائے پاکشۆدی، گناهانی پشۆمانیئے پاکشۆدی اَت. یَهیایا وت گۆن مردمان گوَشتگ‌اَت: ‹هما کَسے که چه من و رَندَ کئیت، بزان ایسّا، شما هماییئے سرا باور کنێت.›» 
ACT.19.5	چه اے هبرئے اِشکنگا رند، آیان 
ACT.19.6	پولُسا وتی دست آیانی بَڈّا جت و پاکێن روه آیانی دلا پُترت، نون آ نۆکێن زبانان هبر کنگا لگّتنت و پئیگمبری‌اِشَ کرت. 
ACT.19.7	آ، کِساس دوازده مردم اتنت.
ACT.19.8	پولُس تان سئے ماها 
ACT.19.9	بله چه آیان لهتێن سَرکش و یاگی بوت و آییئے هبرِش نزُرت و مردمانی دێما «اے راهِش» بَد و رَدَ گوَشت. پمێشکا پولُسا وتا چه آیان یک کِرّا داشت. مریدی زرتنت و هر رۆچ مان تیرانوس نامێن مردێئے تالارا
ACT.19.10	تان دو سالا همے کاری کرت و اے ڈئولا په آسیائے دَمگئے سجّهێن مردمان، یَهودی و یونانیان هم، 
ACT.19.11	هُدایا چه پولُسئے دستا اَجَبێن مۆجزه پێشَ داشت. 
ACT.19.12	هر دَزمال و گُدے که آییا بلگّتێن و په نادْراهانِش پِر بمُشتێن، آ وشّ و دْراهَ بوتنت و 
ACT.19.13	یَهودی ساهرانی یک ٹۆلیێا شهر په شهر ترّ و گردَ کرت. په چَکّاسا، 
ACT.19.14	یَهودیانی یک مزنێن دینی پێشوایے که نامی اِسْکیوا اَت، آییئے هپت بچکان اے کارَ کرت. 
ACT.19.15	پلیتێن روها آ پَسّئو داتنت و گوَشتی: «ایسّایا منَ زانان، پولُسا هم پَجّاهَ کاران، بله شما کئے اێت؟» 
ACT.19.16	همے مردا که جِنّ پِر اَت، کُپّی کرت و آیانی چَکّا کپت. سرزۆر بوت و آ جاندرا و ٹَپّی، چه آ لۆگا تتکنت. 
ACT.19.17	چه اے هالئے اِشکنگا، اِپِسُسئے شهرئے سجّهێن مردمان، یَهودی و یونانی دوێنان، باز تُرست و هُداوندێن ایسّائے نامِش ستا و سنا کرت. 
ACT.19.18	بازێنے که 
ACT.19.19	لهتێنا که پێسرا جادوگری کرتگ‌اَت، وتی جادوگری کتاب و دَپتر آورت و مردمانی دێما سۆتکنت. وهدے سۆتکگێن کتابانی کیمّتئے هسابِش کَشّت، زانگ بوت که پنجاه هزار دِرْهَمئے
ACT.19.20	اے ڈئولا، هُداوندئے هبر گۆن گێشترێن زۆر و واکے شِنگ و تالانَ بوت.
ACT.19.21	چه اے کارانی سرجمیا رَند، پولُسا وتی دلا شئور کرت 
ACT.19.22	آییا چه وتی کُمک‌کاران دو مردم، تیموتاووس و اِرَسْتوس مَکْدونیَها رئوان کرتنت و وت کمّے وهد گێشتر آسیائے دَمگا مهتل بوت. 
ACT.19.23	هما وهدا اِپِسُسئے شهرا «اے راهئے» بارئوا مزنێن شۆرشے چِست بوت. 
ACT.19.24	شۆرش اے ڈئولا بوت که اِپِسُسئے شهرا دیمیتْریوس نامێن زَرگرے هست‌اَت که آییا آرتِمیسئے
ACT.19.25	آییا، شهرئے سجّهێن هنرمند و اے پێشهئے مردم لۆٹت و مُچّ کرتنت. گۆن آیان گوَشتی: «او واجهان! انچُش که شما زانێت، اے کار مئے هستۆمندیئے سرچمّگ
ACT.19.26	بله شما وت اِشکتگ و دیستگ، اے مردا، پولُسا، نه تهنا اِپِسُسئے، کمّ و گێش سجّهێن آسیائے دَمگئے بازێن مردمے گُمراه کرتگ و گوَشیت که مئے دستانی اڈّ کرتگێن هُدا، په هچ دابا هُدا نه‌اَنت. 
ACT.19.27	نون تُرس تهنا اے نه‌اِنت که په مردمان مئے کار کَمشرپَ بیت، تُرس اِش اِنت که مئے مزنێن هُدا آرتِمیسئے زیارتجاهئے مزنی گارَ بیت و آ، که آسیائے دَمگ و سجّهێن 
ACT.19.28	وهدے مُچّیئے مردمان اے هبر اِشکتنت، سکّ زَهر گپتنت و په کوکّار گوَشتِش: «اِپِسُسئے هُدا، آرتِمیس مزن اِنت.» 
ACT.19.29	اے پئیما سجّهێن شهرا شۆرش چِست بوت. مردمانی مُچّی، کوکّار کنان شهرئے مئیدانجاها
ACT.19.30	پولُسا مُچّیئے تها رئوگ لۆٹت بله آییئے شاگردان نه‌اِشت. 
ACT.19.31	تنتنا آسیائے دَمگئے لهتێن مسترا هم، که پولُسئے دۆست اتنت، په آییا کُلئو راه دات و دَزبندی کرت که شهرئے مئیدانجاها مرئوت. 
ACT.19.32	اۆدا باز شۆر و آڑَهۆر اَت، هرکَسا یک چیزے گوَشت. بازێنێا اے هبر هم نزانت که آ چیا اِدا آتکگ و مُچّ بوتگ‌اَنت. 
ACT.19.33	یَهودیان، اِسْکَنْدَر نامێن مردے دێما کرت و چه مُچّیا هرکَسا آییارا هُکمے دات. دستی شهار دات که چُپّ و بێتئوار ببنت، تان مردمانی دێما گۆن وتی هبران یَهودیانی دێمپانیا بکنت. 
ACT.19.34	بله وهدے مُچّیئے مردمان زانت که آ یَهودیے، گڑا پدا هَمگُٹّ و همتئوار بوتنت و تان کِساس دو ساهتا جاک و کوکّارِش کرت و گوَشتِش: «اِپِسُسئے هُدا، آرتِمیس مزن اِنت.»
ACT.19.35	گڑا، شهرئے مُنشیا مُچّی آرام کرت و گوَشتی: «او اِپِسُسئے مردمان! سجّهێن 
ACT.19.36	نون که هرکَس اے هبرا مَنّیت،
ACT.19.37	اے دوێن مردم که شما گپتگ و اِدا آورتگ‌اَنت، اِشان نه چه زیارتجاها چیزے پُلِتگ و نه مئے بانُکێن هُدااِش بێشرپ کرتگ. 
ACT.19.38	اگن دیمیتْریوس و آییئے هنرمندان گۆن کَسێا جێڑهے هست، هَکدیوانئے دروازگ پَچ اِنت و والی هم هر وهدا هست‌اِنت، برئونت و وتی جێڑها پێش بکننت. 
ACT.19.39	اگن دگه هبرے هست، باید آییا شهرئے سرکاری دیوانا بیارنت تانکه گیشّێنگ ببیت. 
ACT.19.40	چه مرۆچیگێن سرگوَستا، تُرس اِش اِنت مئے سرا شۆرِشگریئے بُهتاما
ACT.19.41	آییا اے هبر کرتنت و مُچّی‌ای پرۆشت.
ACT.20.1	اِپِسُسئے شهرئے شۆرشے هلاسیا رَند، پولُسا آ شهرئے مرید لۆٹت و دِلبڈّی داتنت، گڑا چه آیان رُکستی گپت و دێم په 
ACT.20.2	چه آ هَند و دَمگان که گوَست، گۆن وتی هبران، 
ACT.20.3	اۆدا تان سئے ماها مهتل بوت. گۆن بۆجیگێا سوریَهئے رئوگا پێسر، یَهودیان په آییا پندلے سازِت، پمێشکا چه مَکْدونیَهئے راها پِر ترّگئے شئوری کرت. 
ACT.20.4	آییئے همراه اِش اتنت: پیرّوسئے چُکّ سوپاتِروس که بیریَهئے مردمے اَت، اَریسْتَرکاس و سِکونْدوس که تِسالونیکیئے مردم اتنت، گایوس که دِرْبِهئے مردمے اَت، تیموتاووس، تیکیکوس و تْروپیموس که آسیائے دَمگئے مردم اتنت. 
ACT.20.5	آ چه ما پێش کپتنت و تْرواسئے شهرا شتنت. همۆدا په مئے آیگا رهچار بوتنت. 
ACT.20.6	 رند، ما چه پیلیپیئے شهرا بۆجیگێا سوار بوتێن و پنچ رۆچا رَند، تْرواسا آیانی کِرّا آتکێن و تان هپت رۆچا همۆدا داشتێن.
ACT.20.7	هپتگئے ائولی رۆچا،
ACT.20.8	هما بُرزادی بانا که نِشتگ‌اتێن، بازێن چِراگے رۆک اَت. 
ACT.20.9	پولُسئے هبرانی وهدا، یوتوکوس نامێن وَرنایے دَریگئے دپا نِشتگ‌اَت. وابێنگ بوت، کۆچَنڈگا لگّت و واب کپت. چه لۆگئے سئیمی تَبَکا جهلاد کپت و مرت. مردمان آییئے جۆن چِست کرت. 
ACT.20.10	پولُس اێر آتک، آییئے نێمگا جَهل بوت، گُلاێشی کرت و گوَشتی: «متُرسێت، ساهی مان اِنت.» 
ACT.20.11	گڑا بُرزاد شت، نانی چُنڈ چُنڈ کرت و وارت، رندا گۆن آیان وتی گپّ و تْرانی تان گوَرباما
ACT.20.12	آ وَرنااِش، زِندگ و دْراه آییئے لۆگا برت و آیان مزنێن تسلّا و دِلبڈّیے رَست.
ACT.20.13	ما بۆجیگێا سوار بوت و چه پولُسا پێسر، آسوسئے شهرا شتێن که چه اۆدا آییا گۆن وت بزورێن. پولُسئے واهگ اِش اَت که تْرواسا بگر تان آسوسا هُشکیا سپر بکنت. 
ACT.20.14	وهدے آسوسئے شهرا گۆن آییا دُچار کپتێن، گڑا بۆجیگا سوارِن کرت و میتیلینیئے شهرا آتکێن. 
ACT.20.15	چه اۆدا دومی رۆچا کیوسئے جزیرهئے دێما آتک و رَستێن. سئیمی رۆچا، ساموسئے بندن و چارمی رۆچا میلیتوسئے شهرا آتکێن. 
ACT.20.16	پولُسئے شئور اَت، اِپِسُسئے شهرا هچّ مه‌اۆشتیت، تانکه آسیائے دَمگا باز مهتل مبیت. آییا اِشتاپ اَت که اگن بوتَ کنت 
ACT.20.17	پولُسا چه میلیتوسئے شهرا، په اِپِسُسئے 
ACT.20.18	کماش که آتکنت، گۆن آیان گوَشتی: «شما وتَ زانێت چه هما ائولی رۆچا که من آسیائے دَمگا پاد اێر کرتگ، چِه پئیما وتی زِند گۆن شما گوازێنتگ. 
ACT.20.19	من اَرس رێچان و په بێکِبری و دربێشی 
ACT.20.20	وتَ زانێت، شمئے نپ و سوتّا هرچے که منی دستا بئیگی بوتگ من کرتگ و هُدائے کُلئو په شما، مُچّیانی تها و لۆگ په لۆگ آورتگ و سر کرتگ. 
ACT.20.21	من یَهودی و یونانی، دوێن پنت و سۆج داتگ‌اَنت که چه وتی رَدێن کاران پشۆمان ببنت، هُدائے راها بگرنت و مئے هُداوندێن ایسّائے سرا باوَر بکننت. 
ACT.20.22	انّون گۆن 
ACT.20.23	بله اِشیا زانان که پاکێن روه منا هر شهرا پێشگۆیی کنگ و گواهی دئیگا اِنت، کئید و بند و سکّی و سۆری منی ودار و اِنتزارا اَنت. 
ACT.20.24	منا په وتی ساه و زِندا پرواه نێست، منی یکّێن واهگ اِش اِنت که وتی دئور و باریگا په سر برسێنان و هُداوندێن ایسّائے داتگێن کارا سرجم بکنان، بزان هُدائے مِهر و 
ACT.20.25	«نونَ زانان، من که 
ACT.20.26	پمێشکا مرۆچی شمارا په راستی و دلجمیَ گوَشان که شمئے هچکسئے هۆن منی گردنا نه‌اِنت. 
ACT.20.27	چیا که من په شما هُدائے سجّهێن واهگانی رسێنگا هچبر چَکّ و پَد نبوتگان. 
ACT.20.28	شما وتی جند و وتی رمگئے سجّهێن 
ACT.20.29	منَ زانان چه منی رئوگا رَند، دِرّۆکێن گُرک شمئے نیاما کاینت و رمگئے سرا رهمَ نکننت. 
ACT.20.30	تنتنا شمئے وتی نیاما هم انچێن مردم پادَ کاینت که راستێن هبران پرُشت و پرۆشَ کننت تانکه مریدان وتی نێمگا بکَشّنت. 
ACT.20.31	پمێشکا هُژّار بێت و یات بکنێت که تان سئے سالا، من شپ و رۆچ په شما گرێتگ و شمارا ڈاه
ACT.20.32	«نون شمارا هُدا و آییئے پُرمِهر و 
ACT.20.33	منا چه کَسێا هچّ چیزێئے تَمَه و لالِچ نبوتگ، نه سُهر و تنگئوئے، نه نُگره و زَرّئے و نه گُد و پۆشاکئے. 
ACT.20.34	شما وتَ زانێت که من گۆن وتی اے دستان کار کرتگ، وتیگ و وتی همکارانی زلورت و گَرَز وت سرجم کرتگ‌اَنت. 
ACT.20.35	من شمارا دروَر و نمونه پێش کرتگ که شما هم منی ڈئولا وتی دستان کار ببندێت و کار بکنێت و وار و بَزّگان کُمک بدئیێت. شما چه 
ACT.20.36	چه اے هبرانی هلاسیا رَند، پولُس کۆنڈان کپت و گۆن سجّهێنان هۆر دْوایی کرت. 
ACT.20.37	سجّهێنان پولُس گُلاێش کرت، چُکِّت و باز گرێتِش. 
ACT.20.38	آ گێشتر په اِشیا گَمیگ اتنت که پولُسا گوَشتگ‌اَت: «شما پدا منا نگندێت.» گڑا تان بۆجیگا رسێنتِش.
ACT.21.1	وهدے ما چه آیان جتا بوتێن، بۆجیگا سوار بوت و تچکاتچک دێم په کاسئے جَزیرها آتکێن. دومی رۆچا رودِسئے جَزیرها رَستێن و چه اۆدا پاتارائے شهرا شتێن. 
ACT.21.2	اۆدا مارا یک بۆجیگے دست کپت که پینیکیَها رئوگی اَت. ما همے بۆجیگا سوار بوت و راه گپتێن. 
ACT.21.3	وهدے بۆجیگ دریایا رئوان اَت، چه دورا کِبْرِسئے جَزیره، چپّێن پهناتا گِندگ بوت، چه اۆدا گوَزان، سوریَها، سورئے بندنا رَست و چه بۆجیگا اێر کپتێن، چیا که اۆدا بۆجیگا بار اێر گێجگی اَت. 
ACT.21.4	ما اۆدئے مرید شۆهاز کرتنت و تان هپت رۆچا آیانی کِرّا جَلِّتِن. آیان، چه 
ACT.21.5	بله وهدے اۆدا مئے جَلّگئے رۆچ هلاس بوتنت، ما پدا وتی سپر بِندات کرت. سجّهێن 
ACT.21.6	چه یک دومیا رُکست بئیگا رند، ما بۆجیگا سوار بوتێن و آ وتی لۆگان پِر ترّتنت.
ACT.21.7	چه سورئے بندنا سپر کنان پُتولِماییسئے شهرا آتک و چه بۆجیگا اێر کپتێن. اۆدا هم ما گۆن 
ACT.21.8	اے دگه رۆچا چه اۆدا در آتک و کئیسَریَهئے شهرا رَستێن. اۆدا ما 
ACT.21.9	آییا چار نِشتگێن جنێن‌چُکّ هست‌اَت که پئیگمبریئے سئوگاتِش چه هُدائے نێمگا رَستگ‌اَت. 
ACT.21.10	آ لهتێن رۆچا که ما اۆدا اتێن، آگابوس نامێن نبیے چه 
ACT.21.11	مئے گِندُکا آتک، پولُسئے لانکبندی زرت، وتی دست و پادی بستنت و گوَشتی: «
ACT.21.12	آییئے هبرانی اِشکنگا رَند، ما و آ شهرئے مردمان گۆن پولُسا دَزبندی و مِنّتگیریَ کرت که اورْشَلیما مرئوت. 
ACT.21.13	بله پولُسا گوَشت: «چیا شما گْرێوێت و منی دلا پرۆشێت؟ من بند بئیگا بِلّ، اورْشَلیما، په 
ACT.21.14	وهدے ما پولُس مَنّێنت نکرت، گڑا گوَشتێن: «هرچے که هُداوندئے رزا اِنت، هما ڈئولا ببیت» و بێتئوار بوتێن.
ACT.21.15	چه آ رۆچان و رَند، ما وتی اُرد و بُنگ بست و دێم په 
ACT.21.16	چه کئیسَریَهئے شهرا لهتێن مرید مئے همراه بوت، آیان مارا په دارگ و مهمان بئیگا مَناسون نامێن 
ACT.21.17	وهدے 
ACT.21.18	دومی رۆچا، پولُسئے همراهیا ایسّائے برات آکوبئے گِند و نِندا شتێن. 
ACT.21.19	تئیارجۆڑیا رَند، پولُسا په سرجمیا گوَشت که هُدایا چه آییئے هِزمتان په 
ACT.21.20	وهدے آیان اے هال اِشکتنت، هُدائے شگرِش گپت. نون گۆن پولُسا گوَشتِش: «او برات! تئو سهیگ ائے که هزاران یَهودی ایسّائے سرا 
ACT.21.21	بله لهتێنا تئیی بارئوا گۆن آیان گوَشتگ که تئو سجّهێن آ یَهودی که درکئومانی نیاما نِشتگ‌اَنت سۆجَ دئیئے که موسّائے شَریَتا یله بدئینت و وتی چُکّان 
ACT.21.22	نون شئور چی اِنت؟ ما چے بکنێن؟ اَلّما چه تئیی اِدئے آیگا سهیگَ بنت. 
ACT.21.23	پمێشکا انچُش که ما گوَشێن، هما ڈئولا بکن. مئے کِرّا چار مردم هست که آیان گۆن هُدایا کئولے کرتگ. 
ACT.21.24	تئو همایانی همراهیا برئو و گۆن آیانی پاک و پَلگاریئے رسمان هۆر ببئے. آیانی کُربانیگئے دَلوَتانی کیمّتا هم تئو پُرّ کن، تانکه آ وتی سران بساینت. اے ڈئولا هرکَسَ زانت که تئیی بارئوا آیانی اِشکتگێن هبر درۆگ بوتگ‌اَنت و تئو وتی زِندا شَریَتئے سرا گوازێنگا ائے. 
ACT.21.25	بله ما هما درکئومێن باورمندانی سرا نبشتگ که مئے هُکم آیانی بارئوا چی اِنت. چه بُتانی ناما کُربانیگ کرتگێن گۆشتا، چه هۆنئے ورگا، چه مُردارێن دَلوَتانی گۆشتا و چه زنا و بێننگیا پهرێز بکننت.» 
ACT.21.26	پولُسا آ چارێن مردم زرتنت و اے دگه رۆچا گۆن آیان هۆریگا، پاک و پَلگاریئے رسمی سرجم کرت. پدا 
ACT.21.27	آیانی پَلگاریئے هپتێن رۆچ سرجم بئیگی اتنت که آسیائے دَمگئے لهتێن یَهودیا پولُس 
ACT.21.28	کوکّارِش کرت: «او اِسراییلیان! بیاێت مارا کُمک بکنێت. اے مرد، پولُس هما اِنت که هر جاگه گۆن هرکَسا، مئے کئوم و موسّائے 
ACT.21.29	آیان اے هبر پمێشکا کرت که پێسرا پولُسِش گۆن تْروپیموسا، که اِپِسُسئے شهرئے نندۆکے اَت، اورْشَلیمئے بازارا دیستگ‌اَت. گُمانِش کرتگ‌اَت که پولُسا، تْروپیموس مزنێن پرستشگاها آورتگ. 
ACT.21.30	سجّهێن شهرا شۆرشے چِست بوت، سجّهێن مردم چه هر نێمگا تچانا آتک و مُچّ بوتنت. پولُسِش گپت و چه مزنێن پرستشگاها ڈنّا در کرت و هما دمانا پرستشگاهئے دَروازگِش بند کرتنت. 
ACT.21.31	پولُسِش کُشگی کرتگ‌اَت که رومی لشکرئے مسترا هال رَست سجّهێن 
ACT.21.32	آییا هما دمانا وتا، سپاهیگ و اَپسرانی همراهیا په مردمان رسێنت. وهدے مردمان لشکرئے مستر و سپاهیگ دیستنت، پولُسئے لَٹّ و کُٹِّش بَسّ کرت. 
ACT.21.33	لشکرئے مستر پولُسئے کِرّا آتک، دَزگیری کرت و پرمانی دات گۆن دو زمزیلا ببندنتی. چه مردمان جُستی گپت که: «اے کئے اِنت و مئیاری چی اِنت؟» 
ACT.21.34	مردم باز کوکّار کنگا اتنت، هرکَسا آییئے بارئوا چیزے گوَشت، پمێشکا لشکرئے مستر چه راستێن جاورا سرپد نبوت و هُکمی کرت که پولُسا کلاتا ببرنت. 
ACT.21.35	وهدے پولُس کلاتئے پدانکان رَست، چه مهلوکئے زَهر و هِژما سپاهیگ آییئے بَڈّ کنگا ناچار بوتنت، 
ACT.21.36	چیا که مهلوک آییئے رَندا کوکّار کنان، گوَشان اَت: «اِشیا بکُش.»
ACT.21.37	هما وهدا که سپاهیگ پولُسا کلاتا برگا اتنت، آییا گۆن رومی لشکرئے مسترا گوَشت: «منا مۆکلَ دئیئے گۆن تئو هبرے بکنان؟» لشکرئے مسترا جُست کرت: «زانا، تئو یونانی زبانا بَلد ائے؟ 
ACT.21.38	اَچه، تئو هما مِسری نه‌ائے که نۆکی شۆرشی کرتگ‌اَت و چار هزار یاگیێن مردمی گۆن وت گیابانا برتگ‌اَت.» 
ACT.21.39	پولُسا دَرّاێنت: «اِنّه، من یَهودیے آن و کیلیکیَهئے دَمگئے نامیێن شهر تَرْسوسئے مردمے آن. منا بِلّ که گۆن اے مردمانی مُچّیا کمّے هبر بکنان.» 
ACT.21.40	لشکرئے مسترا مَنِّت، پولُس آتک و کلاتئے پدانکانی سرا اۆشتات و گۆن دستئے سُرێنگا مردمی بێتئوار کرتنت. وهدے مردم بے تْرِکّ و تئوار بوتنت، گڑا پولُسا گۆن آیان 
ACT.22.1	«او پت و براتان! منا اے هَکّا بدئیێت که شمئے دێما وتی دێمپانیا
ACT.22.2	وهدے مردمان دیست که آ 
ACT.22.3	«من یَهودیے آن و منی پێدایشئے جاگه، کیلیکیَهئے دَمگا، تَرْسوسئے شهر اِنت، بله منی رُست و رُدۆم همِدا اورْشَلیما بوتگ. گامالیَل منی استاد بوتگ و مئے پت و پیرُکانی سرجمێن 
ACT.22.4	من ‹اے راهئے› مَنّۆگر آزار داتگ و کُشگی هم کرتگ‌اَنت، مردێن وَه مردێن اَنت، جنێن هم گپتگ و بندی کناێنتگ‌اَنت. 
ACT.22.5	مسترێن دینی پێشوا و سجّهێن کماشانی دیوان منی بارئوا گواهی داتَ کنت. آیان په دَمِشْکئے یَهودی براتان منا کاگد داتگ‌اَت تان اۆدا برئوان، اۆدئے 
ACT.22.6	«راها، وهدے دَمِشْکئے شهرئے نزّیکا رَستگ‌اَتان، نێمرۆچئے وهدا اَناگت چه آسمانا منی چپّ و چاگردا ترندێن رُژنے دْرپشت. 
ACT.22.7	زمینا کپتان و تئوارے اِشکتُن که منا گوَشتی: ‹شاوول، او شاوول! تئو چیا منا آزارَ دئیئے؟› 
ACT.22.8	من جُست کرت: ‹او واجه! تئو کئے ائے؟› پَسّئوی دات: ‹من ایسّا ناسِری آن، هما که تئو آییا آزارَ دئیئے.› 
ACT.22.9	منی همراهان رُژن دیست، بله هما که گۆن من هبر کنگا اَت، آییئے تئوارِش نه‌اِشکت. 
ACT.22.10	جُستُن کرت: ‹او 
ACT.22.11	همراهان منا دستا گپت و دَمِشْکئے شهرا برت، چیا که چه هما ترندێن رُژنئے گِندگا منی چمّانی رُژنایی شتگ‌اَت.
ACT.22.12	«اۆدا هَنّانیا نامێن یک مردے اَت که هُدادۆست و 
ACT.22.13	منی کِرّا آتک و اۆشتات و گوَشتی: ‹او منی برات شاوول! تئیی چمّانی رُژنایی پِر بتَرّات و مئیم بکناتئے.› هما دمانا منی چمّ پدا رُژنا بوتنت و من آ دیست. 
ACT.22.14	گڑا هنّانیایا گۆن من گوَشت: ‹مئے پت و پیرُکانی هُدایا ترا گچێن کرتگ تان آییئے رَزایا بزانئے، آییئے «پاک و نێکێنا»
ACT.22.15	باید اِنت په سجّهێنان وتی اِشکتگێن و دیستگێنانی گواهیا بدئیئے. 
ACT.22.16	نون چیا مهتل ائے؟ پاد آ، ایسّائے ناما بگر، 
ACT.22.17	«رَندا وهدے 
ACT.22.18	ایسّا مَسیهُن دیست که منا گوَشتی: ‹زوت کن. چه اورْشَلیما در کپ، چیا که اِدئے مردم منی بارئوا تئیی گواهیا نمَنّنت.› 
ACT.22.19	من گوَشت: ‹او 
ACT.22.20	اے هبرا هم زاننت که وهدے تئیی شهید اِسْتیپانئے هۆن رێچگ بوت، من همۆدا اۆشتاتگ‌اتان و په آییئے کُشگا رازیگ اتان و آییئے هۆنیگانی گُد و پُچّانی نِگهپان اتان.› 
ACT.22.21	پدا هُداوندێن ایسّایا منا گوَشت: ‹برئو، چیا که من ترا دورێن هَند و دَمگان 
ACT.22.22	مردم تان همینچُکا پولُسئے هبران گۆش دارگا اتنت، بله اے هبری که کرت نون کوکّار کرت و گوَشتِش: «اے مرد کُشگ و گار کنگ ببیت که زِندَ نکرزیت.» 
ACT.22.23	آیان کوکّار کرت، وتی گوَرئے کباه و جامگِش کَشّتنت و هاکشانی‌اِش کرت. 
ACT.22.24	رومی لشکرئے مسترا پرمان دات که پولُسا کلاتا ببرنت و شلّاک بجننت تان زانگ ببیت مردم چیا آییئے سرا کوکّار کنگا اَنت. 
ACT.22.25	وهدے پولُسِش په شلّاک جنَگا بست، آییا همۆدا چه اۆشتاتگێن اَپسرا جُست کرت: «من 
ACT.22.26	وهدے اَپسرا اے هبر اِشکت، لشکرئے مسترئے کِرّا آتک و گوَشتی: «او واجه! تئو چے کنگا ائے؟ اے مرد رومی باشندَهے.» 
ACT.22.27	لشکرئے مستر، پولُسئے کِرّا شت و جُستی کرت: «بگوَش، په راستی تئو رومی باشندَهے ائے؟» پولُسا پَسّئو دات: «هئو، من رومی باشندَهے آن.» 
ACT.22.28	مسترا گوَشت: «من په رومی باشندَه بئیگا بازێن زَرّے داتگ.» پولُسا دَرّاێنت: «من چه پێدایشا رومی باشندَهے آن.» 
ACT.22.29	آ سپاهیگ که چه پولُسا جُست و پُرس کنگا اتنت، هما دمانا چه آییا پُشتا کِنزتنت. وهدے لشکرئے مستر سرپد بوت که پولُس رومی باشندَهے و آییا بند کناێنتگ، وت هم تُرستی. 
ACT.22.30	لۆٹتی شَرّ بزانت یَهودی پولُسئے سرا چۆنێن بُهتامے جننت، پمێشکا دومی رۆچا پولُسی چه بَندیجاها در کرت و پرمانی دات یَهودیانی مزنێن دینی پێشوا و سرۆکانی دیوانئے سجّهێن باسک دیوانا بنندنت. گڑا پولُسی آورت و آیانی دێما پێش کرت.
ACT.23.1	پولُسا سرۆکانی دیوانا نندۆکێن باسکانی نێمگا تچکاتچک چارِت و گوَشت: «او براتان! من تان مرۆچیگێن رۆچا وتی زِند گۆن پاک و پَلگارێن جَبین
ACT.23.2	اے هبرا و رند، مسترێن دینی پێشوا هَنّانیایا پولُسئے پهناتا اۆشتاتگێن مردم پرمان داتنت که آییئے دپا شَهمات بجننت. 
ACT.23.3	گڑا پولُسا گوَشت: «هُدا ترا جنت، او اِسپێتی پِر مُشتگێن دیوال!
ACT.23.4	پولُسئے کَشا اۆشتاتگێن مردمان گۆن آییا گوَشت: «ترا لَجَّ
ACT.23.5	پولُسا پَسّئو دات و گوَشت: «او براتان! من نزانتگ که اے، هُدائے نامێنتگێن مسترێن دینی پێشوا اِنت. چیا که نبشته اِنت 
ACT.23.6	پولُس سهیگ اَت که سرۆکانی دیوانئے لهتێن باسک، 
ACT.23.7	انچُش که آییا اے هبر کرت، سرۆکانی دیوانئے پَریسی و سَدوکی باسکانی نیاما جێڑهے پاد آتک و دیوان دو بهر بوت. 
ACT.23.8	سَدوکیانی باوَر اِش اِنت که مُردگ پدا زندگَ نبنت و نه 
ACT.23.9	باز جاک و جیک بوت و پَریسیانی 
ACT.23.10	وهدے آیانی نیاما اَڑ و جنجال گێشتر بوت، لشکرئے مسترا تُرست، چۆ مبیت پولُسا بجننت و چُنڈ چُنڈ بکننت، پمێشکا سپاهیگی پرمان داتنت که جهلاد برئونت، پولُسا چه آیانی نیاما په زۆر در بکننت و کلاتا ببرنت.
ACT.23.11	هما شپا 
ACT.23.12	دومی سَباها، لهتێن یَهودیا پندلے جۆڑێنت و وت‌مان‌وتا سئوگندِش وارت که تان پولُسا مکُشنت، نه آپَ ورنت و نه وَرَگ. 
ACT.23.13	پلێنڈ و پِتنه ساچۆکێن مردم چه چِلا گێشتر اتنت. 
ACT.23.14	مزنێن دینی پێشوا و کئومئے کماشانی کِرّا شتنت و گوَشتِش: «ما په دل سئوگند وارتگ که تان پولُسا مکُشێن هچَّ نئوَرێن. 
