GEN.1.1	A kipatcilin Pasian in van le lei piangsak hi. 
1CO.10.30	 Lungdamtaka tua an ka nek leh bang hanga na khatpeuh tungtanga Pasian tung lungdam ka kohna hangin kei hong kimawhsak ahi hiam?
1CO.10.31	 Tua ahi ciangin na ne, na dawn uh zongin na hihna peuhpeuhuah na hihna khempeuh uh Topa minthan nadingin na hih un. 
1CO.10.32	 Jew-te le Greek-te ahikeh Pasian pawlpi khat peuhpeuh ahi zongin kimuktusak kei unla, 
1CO.10.33	 lam khempeuh ah mi khempeuh lungkimsak ka sawm bangin na hih un. Bang hang hiam cih leh amaute a kihotkhiat theih nadingin keimah kia hoih nading zong loin mi tampi hoih nading ka zong hi.
1CO.11.1	Keimah in Christ ka etteh bangin kei hong etteh un.
1CO.11.2	 Na khempeuh ah kei nong phawk gige man uh leh kong piaksawn hilhnate e
1CO.11.3	 Tu-in pasalte khempeuh lutang Christ hi-a, numei lutang pasal hi-in, Christ lutang Pasian ahilam na theihtel ding uh ka deih hi. 
1CO.11.4	 Pasal peuhmah in thu a ngen a, thu a gen zongin a lutang a khuh leh a lutang simmawh ahi hi. 
1CO.11.5	 Tua mah bangin numei peuhmah in thu a ngen a, thu a gen zongin a lutang a khuh kei leh a lutang simmawh ahi hi - tua pen a sam a metmai tawh kibang tektek hi. 
1CO.11.6	 Numei in a lutang a khuh kei leh a sam a tan ding hi Numei adingin sam tan ahikeh sam metmai a zumhuai ding leh a lutang a khuh ding hi. 
1CO.11.7	 Pasal pen Pasian lim le a minthanna ahi nungsang a lutang a khuh kei ding hi. f
1CO.11.8	 Ahang in, numei pana pasal kibawl hi loin, numei pen pasal pan hizaw hi. 
1CO.11.9	 Numei adingin pasal kibawl hi lo a, pasal adingin numei kibawl hizaw hi. 
1CO.11.10	 Hih thu hang le vansawltakte hangin numei in a lutang tungah thu a kineihna lim a neih ding kilawm hi.
1CO.11.11	 Bangbang ahi zongin Topa sungah pasal loin numei a tangdin kei a, numei loin pasal a tangdin tuan kei hi. 
1CO.11.12	 Ahang in, pasal panin numei a kibawl bangin pasal zong numei pana suak ahi hi. Ahi hangin na khempeuh Pasian pana piang ahi hi. 
1CO.11.13	 No le no in khentel un: Numei in a lutang khuh loin Pasian tungah thu a nget ding a kilawm hiam? 
1CO.11.14	 A pianzia mahmah in zong pasal a sam a sau leh zumhuai-a, 
1CO.11.15	 ahi hangin numei a sam a sau leh ama minthanna ahi hi, ci-in hong hilh hi lo ka hi hiam? Ahang in, samsau pen numei lutang khuh nadinga kipia ahi hi. 
1CO.11.16	 Hih thu tawh kisai-in mi khatpeuh a selkhah nop leh eite in zat ngeina adang i nei kei a, Pasian pawlpite in zong a nei kei uh hi.
1CO.11.17	 Na kikhopnate un hoihna sangin siatna piangsak zaw ahi manin a nuai-a kong lahte ah note kong phat kei hi: 
1CO.11.18	 A masa penin pawlpi hina tawh note na kikhop uh ciangin note lakah kipawl khenna om cih ka za a, upna ciang zong ka nei hi. 
1CO.11.19	 Note lakah kuate Pasian san hiam, cih a kilat nadingin ngaihsutna kibang lo zong a om ding mah ahi hi. 
1CO.11.20	 Note na kikhop uh cianga na nek pen uh Topa nitak-an ahi kei hi. 
1CO.11.21	 Ahang in, na nek uh ciangin kuamah kingak loin na ne tek pah uh hi. Khat gilkialin om a, adang khat in zu a kham hi. 
1CO.11.22	 Na nek na dawn nading uh inn nei lo na hi uh hiam? Ahikeh Pasian pawlpi simmawhin bangmah a nei lote zahlaaksak na hi uh hiam? Note kiangah bang kong gen ding hiam? Hih thu hangin note kong phat ding hiam! Kong phat peuhmah kei hi!
1CO.11.23	 Ahang in, note kong piaksawn pen Topa tung pana ka ngah ahi hi: Topa Jesu a kilehhek ni zanin anlum la a, 
1CO.11.24	 lungdam a koh khit ciangin balkham a, "Hih in note adinga kipia ka pumpi ahi hi, kei nong phawk nadingun na hih un," a ci hi. 
1CO.11.25	 Tua mah bangin nitak-an a nek khit uh ciangin hai la a, "Hih hai in ka sisana thukhunna thak ahi hi. Na dawn simun kei nong phawk nadingun na hih un," a ci hi. 
1CO.11.26	 Ahang in, hih anlum ne a, hih hai na dawn simun Topa sihna ama hong pai dong a tangko na hi uh hi.
1CO.11.27	 Tua ahi manin a kilawm loin anlum ne a, Topa hai a dawn peuhmah Topa pumpi le ama sisan tungah a mawh hi. 
1CO.11.28	 Mi khatpeuh in anlum a nek ma le hai a dawn ma-in amah a kisittel ding kisam hi. 
1CO.11.29	 Ahang in, Topa pumpi theician lopi-a, a ne a dawn mi peuhmah ama tungah thukhenna a tun nadingin a ne a dawn ahi hi. 
1CO.11.30	 Tua thu hangin note lakah tampi zawngkhalin cina uh a, mi tampi a ihmu zo uh hi. 
1CO.11.31	 Ahi hangin eite, ei le ei thu i kikhen khit leh thukhenna i thuak kei ding hi. 
1CO.11.32	 Topa in eite thu hong khen ciangin leitung tawh hong kimawhpaih khawm loh nadingin eite hong sekna ahi hi.
1CO.11.33	 Tua ahi tak ciangin sanggamte aw, a ne dinga na kikhop uh ciangin khat le khat na kingak un. 
1CO.11.34	 Na kikhopna un thukhenna hong tut loh nadingin a gilkial khatpeuh a om leh a inn ah ne ta hen.
1CO.11.34	Tua banah kong pai ciangin thudangte kong lak lai ding hi.
1CO.12.1	Sangamte aw, tu-in khalam letsongte thu na theih loh ding uh ka deih kei hi. 
1CO.12.2	 Note lawki na hih lai-un, a pau thei lo milimte lamah midangte thuzawh le pimangin na om lam uh na thei uh hi. 
1CO.12.3	 Tua ahi manin Pasian Kha pansana thugen mi peuhmah in, "Jesu kihamsiat hen" ci thei lo a, Khasiangtho pansan longal kuamah in, "Jesu in Topa hi," a ci thei kei hi, cih kong gen hi.
1CO.12.4	 Letsong a tuamtuam a om hangin Kha a kibang ahi hi. 
1CO.12.5	 Nasepna a tuamtuam a om hangin Topa a kibang hi. 
1CO.12.6	 Sepsakna nam tuamtuam a om hangin mi khempeuh sungah tua Pasian mah in a sem hi.
1CO.12.7	 Tu-in mi khempeuh i hoihkim nading mikim tungah Kha kilatkhiatna kipia ciat hi. 
1CO.12.8	 Mi khat tungah Kha tungtawnin pilna thupuak kipia hi. Midang khat tungah tua Kha mah in theihna thupuak, 
1CO.12.9	 midang khat tungah a kibang Kha in upna kipia a, tua Kha khat mah in cina damsakna letsongte, 
1CO.12.10	 midang khat tungah nalamdang bawl theihna vangte, midang khat tungah thu magen theihna, midang khat tungah khate khentel theihna, midang khat tungah pau nam tuamtuam a
1CO.12.11	 Hihte khempeuh a kibang Kha khat nasep hi-a, amah in a sehsa bangin amaute a pia ciat hi.
1CO.12.12	 Pumpi in na tampi tawh kibawl hi napi pumkhat ahi hi. A nate tampi ahi hangin pumpi khat a piangsak uh hi. Christ zong tua mah bang ahi hi. 
1CO.12.13	 Ahang in, eite Jew-te i hi-a, Greek-te i hi zongin sila i hi-a, sila lo i hi zongin Kha khat in c
1CO.12.14	 Na khat bek tawh pumpi kibawl hi loin na tampi tawh kibawl ahi hi. 
1CO.12.15	 Khe in,"Khut hi lo ka hi manin pumpi aa ka hi kei hi," cileh tua a cihna lel tawh pumpi na a hina a bei tuan kei hi. 
1CO.12.16	 Tua ciangin bil in, "Kei mit hilo ka hi manin pumpi aa ka hi kei hi," cileh tua a cihna lel tawh pumpi aa a hihna a bei tuan kei hi. 
1CO.12.17	 Pumpi a vekpi in mittang khat hi mawk leh khuazak theih nading koi-ah om ding ahi hiam? Pumpi a vekpi-in bil khat hi mawk leh a gimnam zak theih nading koi-ah om ding ahi hiam? 
1CO.12.18	 Ahi hangin Pasian in amaute, ama deihna bang tektekin pumpi tungah a guang kim hi. 
1CO.12.19	 Amaute khempeuh pumpi na khat bek hileh pumpi koi-ah om ding ahi hiam? 
1CO.12.20	 Tu in ahileh pumpi na tampi om a, ahi hangin pumpi khat ahi hi.
1CO.12.21	 Mit in khut kiangah,"Nang kong kisam kei hi," a ci thei kei hi. Lutang in zong khepek kiangah, "Nang kong kisam kei hi," a ci thei kei hi. 
1CO.12.22	 Tua sangsikin pumpi na a gina lo hileh a kilawmte a kisampente hizaw hi. 
1CO.12.23	 Tua hi-a i thupisim loh pumpi nate i nak pahtawite hi thei zaw hi. A kithusim tham lo pumpi nate nakpi-in dop kulzaw hi. 
1CO.12.24	 I thusimzawk pumpi nate, tua banga limbawl tuan a kul kei hi. Ahi hangin Pasian in pumpi nate ki-awhsaka a kisamzaw pumpi nate tungah nakpitakin pahtawina pia-in, 
1CO.12.25	 pumpi sungah tua bangin kituam khenna om loin, a nate khat le khat a kibanga a kithusim tuah ciat nading uh ahi hi. 
1CO.12.26	 Khat in a thuak leh adang khempeuh in a thuakpih hi. A nate khat a kipahtawi leh adang khempeuh in a lungdampih uh hi.
1CO.12.27	 Tu-in note Christ pumpi na hi uh a, a pumpi nate na hikim uh hi. 
1CO.12.28	 Tua hi-a Pasian pawlpi sungah a masapenin Pasian in sawltakpite, a nihna-in kamsangte, a thumna ah lai hilhte, tua ciangin nalamdang bawlte, cina damsak theihna letsong ngahte, midang a huh theite, ki-ukna letsong ngahte le pau nam tuamtuam a paute zong a seh hi. 
1CO.12.29	 Mi khempeuh sawltakpi ahi uh hiam? Mi khempeuh kamsangte ahi uh hiam? Mi khempeuh lai hilhte ahi uh hiam? Mi khempeuh in nalamdangte a bawl uh hiam? 
1CO.12.30	 Mi khempeuh in cina damsakna letsong a nei uh hiam? Mi khempeuh paute a
1CO.12.31	 Ahi hangin letsong lianzawte lawpin na lunggulh zaw un. b
1CO.13.1	Tu-in a hoihpipen lampi kong lak ding hi.
1CO.13.1	Mihingte pau le vansawltakte pau-in c
1CO.13.2	 Thugentheihna letsong nei-in thuthuk khempeuh le theihna khempeuh thei-in mual a kinsak zo upna ka neih hangin itna ka neih kei leh a mawkna ka hi hi. 
1CO.13.3	 Ka neihsa khempeuh mizawngte pia-in ka pumpi mei-a hal d
1CO.13.4	 Itna lungduai a, itna a migi hi. Eng loin a kisial kei a, a kisathei kei hi. 
1CO.13.5	 Gamhtat loin ama angsung ding bek zong lo a, heh baih loin gamtatkhialhnate a ciamteh kei hi. 
1CO.13.6	 Itna in gitlohna pakta lo a, ahi hangin thutak ah a lungdam hi. 
1CO.13.7	 Itna in hu tawntungin, muang dena; lamen den in, a tawntungin a thuak keikai hi.
1CO.13.8	 Itna a bei ngei kei hi. Kamsanga thugennate a om hangin a bei ding hi; paute a om hangin a dai ding hi; theihna a om hangin a beimang ding hi. 
1CO.13.9	 Ahang in, eite in a kim loin i thei a, a kim loin thu i gen hi. 
1CO.13.10	 Ahi hangin kicinna hong tun ciangin kicinlohna a maimang ding hi. 
1CO.13.11	 Naupang ka hi laitakin naupang bangin ka pau hi; naupang bangin ka ngaihsun a, naupang bangin ka khaikak hi. Ka khan khit ciangin naupang vaite ka nusia hi. 
1CO.13.12	 Tu-in limlang ah ahi milmial a muh bangin i muh hangin tua hun ciangin kimaituahin i mu ding hi. Tu-in a kim loin ka thei hi; tua hun ciangin a kicinga kei hong kitheih khit bangin a kicingin ka thei ding hi.
1CO.13.13	 Tu-in upna, lametna le itna hih thumte a om den hi. Ahi hangin hih thumte lakah itna a lianpen hi.
1CO.14.1	Itna lampi tawnin khalam letsongte lawptakin na lunggulh un; adiakdiakin kamsanga thu gentheihna letsong na deih un. 
1CO.14.2	 Ahang in, pau khat e
1CO.14.3	 Kam sanga thugente peuhmah in, amaute tha khauhsak ding, hanthawn ding le hehnem dingin mihing tungah thu a gen hi. 
1CO.14.4	 Pautuam khata thugente ama phattuam nading hi-a; kam sanga thugente in pawlpi a phatuamsak hi. 
1CO.14.5	 Note khempeuh paute g
1CO.14.6	 Tu-in sanggamte aw, note kiangah hong pai-in paute zanga thu ka gen hangin kilaakna ahi a, theihna ahi zongin, kamsanga thugenna ahi a, thuhilhna kammal ahi zongin kong puak kei leh no adingin ka phattuamna bang om ahi hiam? 
1CO.14.7	 Nuntakna nei lo a ging thei bek nate nangawn: tamngai ahi zongin, harp ahi zongin, a bite ah khentelna om loin kiteltaka a gin kei leh bang aw in kitum hiam, cih kua in bangci theih ding ahi hiam? 
1CO.14.8	 Tua banah pengkul kiteltakin ging lo-a, a cihnopna a kitheih kei leh galsim dingin kua kithawi ding ahi hiam? 
1CO.14.9	 Note zong tua mah bang na hi uh hi. Na leii uh tawh a kitheithei kammalte na gen loh ngalun, kua in na thugen uh thei ding ahi hiam? Note huih laka thugen na suak lel ding uh hi. 
1CO.14.10	 Leitungah pau nam khempeuh a om takpi hi-a, ahi hangin khiatna nei lo khat beek a om kei hi. 
1CO.14.11	 Tua ahileh mi khatpeuh thugen bang a cihnopna hiam, cih ka theihtel theih kei leh tua thugenpa adingin gamdang mi ka suak a, kei adingin amah gamdang mi a suak hi. 
1CO.14.12	 Note zong tua mah bang na hi uh hi. Note in khalam letsongte neih ding lawp na hih nungsangun pawlpi a khangsak a ginazaw letsongte neih ding na hanciam un.
1CO.14.13	 Hih thu hangin pautuam khat zanga thugen mi in, a thugen a khiatna a theih nadingin ngen ta hen. 
1CO.14.14	 Ahang in, pautuam khat zanga thu ka nget leh ka kha-in thu ka ngen a, ahi hangin ka lungsim in gah a gah kei hi. 
1CO.14.15	 Tua ahileh bang ka cih ding hiam? Ka kha-in thu ka ngen dinga ka lungsimin zong thu ka ngen ding hi. Ka kha-in la ka sa dinga ka lungsimin zong la ka sa ding hi. 
1CO.14.16	 Na kha-in Pasian na phat leh amaute lakah na thugen, a theitel lo-a kitheite i
1CO.14.17	 Nang pen lungdam a ko takpi na hi kha ding hi. Ahi hangin midangte a phatuamsak tuan kei hi.
1CO.14.18	 Note khempeuh sangin paute zanga thu ka gen theih zawk manin Pasian tungah ka lungdam hi. 
1CO.14.19	 Ahi hangin midangte lamlak dingin pawlpi sungah pautuam khat zangin kammal tulsawm ka gen sangin a kithei kammal nga ka genzaw ding hi.
1CO.14.20	 Sanggamte aw, naupang banga na ngaihsutnate uh tawp ta un. Gitlohna lamah naungeekte hi un; ahi hangin lungsim ngaihsutna lamah a khang hamsate na hi un. 
1CO.14.21	 Thukham sungah:
1CO.14.21	"Pau theih loh mite tungtawn le gamdang mite muk tungtawnin
1CO.14.21	hih mite tungah thu ka gen dinga
1CO.14.21	ahi hangin tua ciang nangawnin
1CO.14.21	amaute in ka thu a ngai kei ding uh hi,
1CO.14.21	Topa in ci hi," a
1CO.14.21	ci-in kigelh hi.
1CO.14.22	 Tua ahi ciangin paute pen a umte ading hi loin a um lote adingin lim ahi hi. Kamsanga thugenna ahileh a um lote ading hi loin a umte ading ahi hi. 
1CO.14.23	 Tua ahi ciangin pawlpi mite a vekun hong kikhawmin, a vekun paute zangin pau le uh, a theitel b
1CO.14.24	 Ahi hangin mi khempeuh in kamsangin thu a gen laitakin a um lote ahi zongin, a theitel c
1CO.14.25	 tua ciangin a lungtang sunga thusimte a kilang ding hi. Tua ciangin amah kiko-in," Note lakah Pasian om takpi hi!" ci-in bokin Pasian a bia ding hi.
1CO.14.26	 Tua ahileh sanggamte aw, bang gen ding i hi hiam? Na kikhop uh ciangin biakna la hiam, lamlahna hiam, kilaakna hiam, pautuam khat hiam, a khiatna genna hiam, khat ciat na nei tek uh hi. Hihte khempeuh pawlpi thahatsak nadinga zat pelmawh ding ahi hi. 
1CO.14.27	 Mi khatpeuh in pautuam khat a zat leh nih ahikeh a tampen thum in genin, khatkhatin kigenkhelin khat peuhmah in kam a phen pelmawh kul ding hi. 
1CO.14.28	 Kamphen ding a om kei leh biakinn sungah thugenpa daitakin om henla amah le Pasian tungah thu gen hen.
1CO.14.29	 Kamsangte nih ahikeh thum in thu genin adangte in a thugen limtakin khaikak uh hen. 
1CO.14.30	 A tu mite khatpeuh tungah kilaakna a tun leh thugen masa pen khawl hen. 
1CO.14.31	 Ahang in, mi khempeuh lam kilakin a kihanthawn ahi theih nadingin note khempeuh in kikhelin thu na gen thei uh hi. 
1CO.14.32	 Kamsangte’ khate kamsangte ukna nuai-ah a om hi. 
1CO.14.33	 Ahang in, Pasian pen buaina Pasian hi loin lemna Pasian ahi hi.
1CO.14.33	Misiangte kikhopna khempeuh bangin 
1CO.14.34	 pawlpi sungah zong numeite dai dide-in om uh hen. Amaute pau ding a kiphal kei hi; ahi hangin Thukham in a gen bangin amaute ukna nuai-ah om uh hen. 
1CO.14.35	 Amaute in thu khatpeuh a kan nop uh leh a inn ah a pasalte uh dong uh hen. Ahang in, numeite adingin pawlpi sunga thugen zumhuai hi.
1CO.14.36	 Pasian thu note pana kipankhia ahi hiam? Ahikeh Pasian thu tunna note bek na hi uh hiam? 
1CO.14.37	 Mi khatpeuh, kamsangpa khat ahikeh khalam letsong nei mi khatin a kingaihsut leh note kianga kong gelhte Topa thupiakin sang ta hen. 
1CO.14.38	 Amah in hih thu a thusim keileh amah a kithusim kei ding hi. d
1CO.14.39	 Tua ahi manin ka sanggamte aw, kamsanga thugen ding na lawp unla, paute a thugen ding zong na kham kei un. 
1CO.14.40	 Ahi hangin na khempeuh a kilawm a kituaka hih ding ahi hi.
1CO.15.1	Sanggamte aw, tu-in note in na sansa uh le dinmuna na neihsa uh kong hilh lungdamna-thu kong phawksak kik nuam hi. 
1CO.15.2	 Note kianga kong hilhsa thu kiptaka na let nak uh leh hih lungdamna-thu pansanin hotkhiat na hi ding uh hi. Tua hi kei leh a mawkna-a um na hi uh hi.
1CO.15.3	 Ahang in, a thupi e
1CO.15.4	 amah kivui-in, Laisiangtho gen bangin a nithum ni-in tho kika, 
1CO.15.5	 Peter f
1CO.15.6	 Tua khit ciangin hun kibangin sanggam zanga sanga tamzawte kiangah a kilang hi. Amaute pawlkhat a ihmut khit uh hangin a tamzaw a nungta lai uh hi. 
1CO.15.7	 Tua ciangin James tungah kilang a, tua khit ciangin sawltakpite khempeuh kiang le 
1CO.15.8	 a nunung penin mi suah ngei banga suak lo kei tungah zong hong kilang hi.
1CO.15.9	 Ahang in, sawltakpite lakah kei a neupen ka hi-a, Pasian pawlpi bawlsia ka hi manin sawltakpi cih ding nangawnin ka kilawm kei hi. 
1CO.15.10	 Ahi hangin Pasian hehpihna hangin ka hi bangbang ka hi-a, kei tungah ama hehpihna a mawkna-in a bei kei hi. A bei kei takpi hi, amaute khempeuh sangin na ka nak sepzaw a, tua nangawn kei sep hi loin kei tawh a omkhawm Pasian hehpihna sep ahi hi. 
1CO.15.11	 Tua ahi ciangin kei ka hi-a, amaute ahi zongin ka hilh uh thu hih thu hi-a, note up zong hih thu mah ahi hi.
1CO.15.12	 Ahi hangin misi panin Christ kithosak hi, ci-in kihilh ahileh bangci bangin note pawlkhat in misi thawhkikna om lo hi, ci thei ahi hiam? 
1CO.15.13	 Misi thawhkikna om lo hileh Christ nangawn kithosak lo hi ding hi. 
1CO.15.14	 Christ tho kik lo hileh kote thuhilhna kimanna nei lo hi dinga note upna zong kimanna nei lo hi ding hi. 
1CO.15.15	 Tua tham loin Pasian in Christ misi pan thosak hi, cih thu teci ka pan manun kote Pasian thu ah zuau teci pang hong suaksak ding hi. Ahi hangin misi kithokiksak lo takpi hileh Pasian in amah a thokiksak lo hi ding hi. 
1CO.15.16	 Ahang in, misi kithokiksak lo hileh Christ zong a kithokiksak nai lo lai hi ding hi. 
1CO.15.17	 Tua hi-a, Christ kithokiksak lo hileh na upna uh a mawkna hi-a na mawhnate uh sungah a om lai na hi ding uh hi. 
1CO.15.18	 Tua ciangin Jesu sunga a ihmu masate zong a mangthang ahi ding uh hi. 
1CO.15.19	 Tu i nuntak sunga ding bekin Christ sunga lametna nei i hileh mi khempeuh sangin a hehpih huaizaw i hi ding hi.
1CO.15.20	 Ahi hangin misi pan Christ kithokiksak zo takpi-a a ihmusate lak pan gahmasa ahi hi. 
1CO.15.21	 Ahang in, mi khat tungtawnin sihna hong tun mah bangin misi thawhkikna zong mi khat mah tungtawnin hong tung hi. 
1CO.15.22	 Ahang in, Adam sungah mi khempeuh a sih bangin Christ sungah mi khempeuh a kinungtasak ding hi. 
1CO.15.23	 Ahi hangin mi khempeuh amau hun ciat hi ding uh hi. A gahmasa Christ ahi hi; tua ciangin ama hong pai ciangin ama mite a tho kik ding uh hi. 
1CO.15.24	 Tua ciangin amah in ukna thuneihna le vangliatna khempeuh a suksiat khit, Pa Pasian tungah kumpi-gam a piakkhiat ciangin beina a tung ding hi. 
1CO.15.25	 Ahang in, amah in a galte khempeuh a khepek nuai-ah a koih mateng a uk ding hi. 
1CO.15.26	 A kisusia ding gal nunung pen sihna ahi hi. 
1CO.15.27	 Ahang in, amah in, "A khepek nuai-ah na khempeuh koih zo hi" a
1CO.15.28	 Amah in hih a sep khit ciangin Pasian pen na khempeuh ah na khempeuh ahi theih nadingin ama nuai-ah na khempeuh a koihnapa Tapa mahmah zong ama nuai-ah a koih ding hi.
1CO.15.29	 Tua hi-a thawhkikna om lo hileh misi adinga kibaptise-te in bang hih ding uh ahi hiam? Misi kithosak lo hileh bang hanga amaute adingin mite kibaptise uh ahi hiam? 
1CO.15.30	 Kote adingin bang dinga a nai simin ko le ko kilausak ka hi uh hiam? 
1CO.15.31	 Sanggamte aw, nisimin ka si hi - ka cih pen i Topa Christ Jesu sungah note kong minthanpih bang tektek hi, ka cihnopna ahi hi. 
1CO.15.32	 Mihing ngaihsutnate hang lelin Ephesus a gamsa gilote tawh ka kilai leh bang lawhtak ka hi hiam? Misi kithosak lo ahileh,
1CO.15.32	"Zing cianga si ding i hi manin
1CO.15.32	ne-in dawn lel ni" b
1CO.15.33	 Mi khemsa-in om kei un: Kikholhpih hoih lo in tatzia hoih siasak hi." 
1CO.15.34	 Note ahi ding bangin kiphawk kik unla, mawh nawn kei un; Pasian phawk lo pawlkhat om na hi manun na maizum nadingun hih thu kong gen hi.
1CO.15.35	 Ahi hangin mi pawlkhat in, "Misite bang kici thawhkiksak hiam? Amaute bangci pumpi hong hi ding hiam?" ci-in dong thei kha ding hi. 
1CO.15.36	 Haihuai na zen e! Na tuh pen a sih phot kei leh a hing thei kei hi. 
1CO.15.37	 Na tuh ciangin a kungpi ding pen na suan kei hi; mangbuh ci ahikeh adang khatpeuh na tuh hi. 
1CO.15.38	 Ahi hangin Pasian in ama geelsa bangin kung guana, khaici nam tekah amau kung ciat a guan hi. 
1CO.15.39	 Sa khempeuh a kibang kim kei hi. Mihing in sa nam khat i nei hi. Gamsate in atuam, vasate in atuam, ngasate in atuam a nei hi. 
1CO.15.40	 Van pumpite zong om-a lei pumpite zong a om hi; ahi hangin van pumpite a thupina nam khat hi a, lei pumpite a thupina a namtuam khat ahi hi. 
1CO.15.41	 Ni in thupina nam khat nei a, kha in adang khat nei-in, aksite in zong adang khatmah a nei uh hi. Aksi ciatciat zong a thupina a kibang kei hi.
1CO.15.42	 Misite thawhkikna zong tua tawh a kibang ding hi. A kituh pumpi a sia thei ahi hi. A sia thei loin a kithokiksak hi; 
1CO.15.43	 a simmawh huai-in kituh a, minthanna in kithokiksak hi. A thanemin kituh a, a vanglianin kithokiksak hi; 
1CO.15.44	 pianpih pumpi-in kituh a, kha pumpi in kithokiksak hi.
1CO.15.44	Pianpih pumpi om ahileh kha pumpi zong a om hi. 
1CO.15.45	 Tua ahi ciangin "Mi masa Adam, a nungta mi suak hi." c
1CO.15.46	 Ahi hangin khalam a om masa kei a, pianngei om masa-in tua khit ciangin khalam a om pan hi. 
1CO.15.47	 Mi masapen leitang vui tawh kibawl hi a, a nihna mi vantung pan ahi hi. 
1CO.15.48	 Lei mipa bangin lei mite a om uh hi. Vantung pana mipa bangin vantung a te a om uh hi. 
1CO.15.49	 Lei mipa tawh kibatna i neih bangin eite d
1CO.15.50	 Sanggamte aw, si le sa in Pasian gam a luah thei kei hi, a kisia thei na in a kisia thei lo na a luah thei kei hi, cih note tungah kong pulak hi. 
1CO.15.51	 Ngai un, thuthuk khat kong gen ding hi: Eite khempeuh i ihmu kim kei ding hi. 
1CO.15.52	 Ahi hangin a nunung pengkul a mut ciangin thakhat thu mitphiat khat sungin i vekpi-in i kikhel ding hi. Ahang in, pengkul hong ging dinga, misite a sia thei lo dingin kithosak dinga eite i kikhel ding hi. 
1CO.15.53	 Ahang in, a siatheite in siat theihlohna silhin, a si theite in sihtheihlohna a silh ding hi. 
1CO.15.54	 A sia theite in siat theihlohna silh-a a si theite in sih theihlohna a silh ciangin: "Gualzawhna sungah sihna kivalhtum zo hi." e
1CO.15.55	 "Sihna aw, na gualzawhna koi-ah om hiam!
1CO.15.55	Sihna aw, na gu koi-ah om hiam?" f
1CO.15.56	 Sihna gu in mawhna hi-a mawhna vangliatna in thukham ahi hi. 
1CO.15.57	 Ahi hangin Pasian tungah lungdamna om ta hen! Amah in eite Topa Jesu Christ tungtawnin gualzawhna hong pia hi.
1CO.15.58	 Tua ahi manin kong it sanggamte aw, kiptakin ding un. Bangmah kilokzosak kei un. Topa sungah na nasepna uh a mawkna ahi loh lam thei na hi uh ciangin Topa nasem dingin nomau mahmah na kipum piak tawntung un.
1CO.16.1	Tu-in Pasian mite ading kaihkhopna thu: Galatia pawlpite hih dinga ka gen bangin na hih un. 
1CO.16.2	 Kong pai cianga kaihkhop a kul nawn lo dingin nipi kalkhat a ni masapen simin na sum ngahzah uh tawh kizui-in sehkhia ciat unla, na koih un. 
1CO.16.3	 Kong tun ciangin no hoihsak mite thu ka pulakna lai ka gelh dinga, na letsongte uh tawh Jerusalem ah amaute ka puasak ding hi. 
1CO.16.4	 Kei zong ka va pai ding a kul leh amaute ka tonpih ding hi.
1CO.16.5	 Macedonia gam tawna pai ding ka hi manin Macedonia ka nawk khit ciangin no kiangah kong pai ding hi. 
1CO.16.6	 Note kiangah tomkha sung bang kong taam thei kha ding hi. Ahi kei leh ka paina peuhpeuha ka khualzinna nong huh theih nadingun phalbi sung nangawn ka taam kha ding hi. 
1CO.16.7	 Tu laitakin ban pak ding bek ka ut kei hi. Topa in hong phal leh no kiangah tawmvei sung kong taam ding ka lamen hi. 
1CO.16.8	 Ahi hangin Pentecost ni dong Ephesus ah ka taam ding hi. 
1CO.16.9	 Bang hang hiam cih leh kei adingin a lawhcin huai nasep theihna kong lianpi khat hong kihon zo hi. Ahi zongin kei hong langpan tampi a om hi.
1CO.16.10	 Timothy hong pai leh no kiangah a om sung bangmah a kihtak loh nadingin na bilpil un. Ahang in, amah zong keimah banga Topa na a sem den ahi hi. 
1CO.16.11	 Tua ahi ciangin amah san ding kuamah in nial kei hen. Kei kiangah hong ciah kik theih nadingin a khualzinna ah lungmuangtakin na kha un. Amah sanggamte tawh hong tonkhawm dingin ka lamen hi.
1CO.16.12	 I sanggampa Apolos tawh kisai-in: Sanggamte tawh no kiangah pai dingin nakpitakin ka kun hi. Tu-in hong pai nop het loh hangin hun hoih a neih peuhpeuh ciangin hong pai ding hi.
1CO.16.13	 Note kikem un, upna-ah kiptakin ding un; pasal hangte hi un, thahat un. 
1CO.16.14	 Na khempeuh itna tawh sem un.
1CO.16.15	 Stephanas-te innkuan Achaia ah a piangthak masapente hi uh a, amaute mahmah zong misiangte nasepna ah a kipumpiak zo mahmah uh ahilam na thei uh hi. 
1CO.16.16	 Sanggamte aw, hih bang mite le amau naseppihte khempeuh le tua lai-a nasem mite tungah na kiniamkhiat ding uh kong thum hi. 
1CO.16.17	 Stephanas, Fortunatus le Achaicus-te hong tun uh ciangin ka nuam hi. Bang hang hiam cih leh note tung pan a kisam laiteng amaute in hong puak uh hi. 
1CO.16.18	 Ahang in, amaute in kei lungsim le no aa zong hong thakhauhsak uh hi. Tua bang mite a phawktak hi.
1CO.16.19	 Asia gam sunga pawlpite in hong hopih uh hi. Aquila le Priscilla a
1CO.16.20	 Hih lai-a om sanggamte khempeuh in zong hong hopih uh hi. Kinapna siangtho tawh khat le khat na kihopih un.
1CO.16.21	 Keimah Paul in hih hopihna keima khut tekteka ka gelh ahi hi.
