GEN.1.1	In the beginning God (
GEN.13.12	Abram settled in the land of Canaan, and Lot settled in the cities of the valley and camped as far as Sodom 
GEN.13.13	But the men of Sodom were extremely wicked and sinful against the L
GEN.13.14	The L
GEN.13.15	for all the land which you see I will give to you and to your descendants forever. 
GEN.13.16	I will make your descendants [as numerous] as the dust of the earth, so that if a man could count the [grains of] dust of the earth, then your descendants could also be counted. 
GEN.13.17	Arise, walk (make a thorough reconnaissance) around in the land, through its length and its width, for I will give it to you.” 
GEN.13.18	Then Abram broke camp 
GEN.14.1	In the days of the [Eastern] kings Amraphel of Shinar, Arioch of Ellasar, Chedorlaomer of Elam, and Tidal of Goiim, 
GEN.14.2	they [invaded the Jordan Valley near the Dead Sea, and] made war with Bera king of Sodom, Birsha king of Gomorrah, Shinab king of Admah, Shemeber king of Zeboiim, and the king of Bela 
GEN.14.3	All of these [kings] joined together [as allies] in the Valley of Siddim (that is, the Sea of Salt). 
GEN.14.4	Twelve years they had served Chedorlaomer [the most powerful king in the invading confederacy], but in the thirteenth year they rebelled. 
GEN.14.5	In the fourteenth year Chedorlaomer and the [three] kings who were with him attacked and subdued the Rephaim in Ashteroth-karnaim, the Zuzim in Ham, and the Emim in Shaveh-kiriathaim, 
GEN.14.6	and the Horites in their mountainous country of Seir, as far as El-paran, which is on the border of the wilderness. 
GEN.14.7	Then they turned back and came to En-mishpat (that is, Kadesh), and subdued all the country of the Amalekites, and also the Amorites who lived in Hazazon-tamar. 
GEN.14.8	Then the kings of Sodom, Gomorrah, Admah, Zeboiim, and Bela (that is, Zoar) came out; and they joined together for battle with the invading kings in the Valley of Siddim, 
GEN.14.9	against Chedorlaomer king of Elam and Tidal king of Goiim and Amraphel king of Shinar and Arioch king of Ellasar—four kings against five. 
GEN.14.10	Now the Valley of Siddim was full of tar (bitumen) pits; and as the kings of Sodom and Gomorrah fled, they fell into them. But the remainder [of the kings] who survived fled to the hill country. 
GEN.14.11	Then the victors took all the possessions of Sodom and Gomorrah and all their food supply 
GEN.14.12	And they also took [captive] Lot, Abram’s nephew, and his possessions and left, for he was living in Sodom.
GEN.14.13	Then a survivor who had escaped [from the invading forces on the other side of the Jordan] came and told Abram the 
GEN.14.14	When Abram heard that his nephew [Lot] had been captured, he armed 
GEN.14.15	He divided his forces against them by night, he and his servants, and attacked 
GEN.14.16	And he brought back all the goods, and also brought back his nephew Lot and his possessions, and also the women, and the people.
GEN.14.17	Then after Abram’s return from the defeat (slaughter) of Chedorlaomer and the kings who were with him, the king of Sodom went out to meet him at the Valley of Shaveh (that is, the King’s Valley). 
GEN.14.18	Melchizedek king of Salem (ancient Jerusalem) brought out bread and wine [for them]; he was the priest of 
GEN.14.19	And Melchizedek blessed Abram and said,
GEN.14.19	“Blessed (joyful, favored) be Abram by God Most High,
GEN.14.19	Creator 
GEN.14.20	And blessed, praised, 
GEN.14.20	Who has given your enemies into your hand.”
GEN.14.20	And Abram gave him a tenth of all [the treasure he had taken in battle]. 
GEN.14.21	The king of Sodom said to Abram, “Give me the people and keep the goods (spoils of battle) for yourself.” 
GEN.14.22	But Abram said to the king of Sodom, “I have raised my hand 
GEN.14.23	that I would not take anything that is yours, from a thread to a sandal strap, so you could not say, ‘I [the King of Sodom] have made Abram rich.’ 
GEN.14.24	I will take nothing except what my young men have eaten, and the share of the spoils belonging to the men [my allies] who went with me—Aner, Eshcol, and Mamre; let them take their share of the spoils.”
GEN.15.1	After these things the word of the L
GEN.15.1	“Do not be afraid, Abram,
GEN.15.1	I am your shield;
GEN.15.1	Your reward [for obedience] shall be very great.”
GEN.15.2	Abram said, “Lord 
GEN.15.3	And Abram continued, “Since You have given no child to me, one (a servant) born in my house is my heir.” 
GEN.15.4	Then behold, the word of the L
GEN.15.5	And the L
GEN.15.6	Then Abram believed in (affirmed, trusted in, relied on, remained steadfast to) the L
GEN.15.7	And He said to him, “I am the [same] L
GEN.15.8	But Abram said, “Lord 
GEN.15.9	So God said to him, “Bring Me a three-year-old heifer, a three-year-old female goat, a three-year-old ram, a turtledove, and a young pigeon.” 
GEN.15.10	So Abram brought all these to Him and 
GEN.15.11	The birds of prey swooped down on the carcasses, but Abram drove them away.
GEN.15.12	When the sun was setting, a deep sleep overcame Abram; and a horror (terror, shuddering fear, nightmare) of great darkness overcame him. 
GEN.15.13	 said to Abram, “Know for sure that your descendants will be strangers [living temporarily] in a land (Egypt) that is not theirs, where they will be enslaved and oppressed for four hundred years. 
GEN.15.14	But on that nation whom your descendants will serve I will bring judgment, and afterward they will come out [of that land] with great possessions. 
GEN.15.15	As for you, you shall [die and] go to your fathers in peace; you shall be buried at a good old age. 
GEN.15.16	Then in the 
GEN.15.17	When the sun had gone down and a [deep] darkness had come, 
GEN.15.18	On the same day the L
GEN.15.18	“To your descendants I have given this land,
GEN.15.18	From the river of Egypt to the great river Euphrates—
GEN.15.19	[the land of] the Kenites and the Kenizzites and the Kadmonites 
GEN.15.20	and the Hittites and the Perizzites and the Rephaim, 
GEN.15.21	the Amorites and the Canaanites and the Girgashites and the Jebusites.”
GEN.16.1	Now Sarai, Abram’s wife, had not borne him any 
GEN.16.2	So Sarai said to Abram, “See here, the L
GEN.16.3	After Abram had lived in the land of Canaan ten years, Abram’s wife Sarai took Hagar the Egyptian [maid], and gave her to her husband Abram to be his [secondary] wife. 
GEN.16.4	He went in to [the bed of] Hagar, and she conceived; and when she realized that she had conceived, she looked with contempt on her mistress [regarding Sarai as insignificant because of her infertility]. 
GEN.16.5	Then Sarai said to Abram, “May [the responsibility for] the wrong done to me [by the arrogant behavior of Hagar] be upon you. I gave my maid into your arms, and when she realized that she had conceived, I was despised 
GEN.16.6	But Abram said to Sarai, “Look, your maid is 
GEN.16.7	But 
GEN.16.8	And He said, “Hagar, Sarai’s maid, where did you come from and where are you going?” And she said, “I am running away from my mistress Sarai.” 
GEN.16.9	The Angel of the L
GEN.16.10	Then the Angel of the L
GEN.16.11	The Angel of the L
GEN.16.11	“Behold, you are with child,
GEN.16.11	And you will bear a son;
GEN.16.11	And you shall name him Ishmael (God hears),
GEN.16.11	Because the L
GEN.16.12	He (Ishmael) will be a wild donkey of a man;
GEN.16.12	His hand 
GEN.16.12	And every man’s hand against him;
GEN.16.12	And he will dwell in defiance of all his brothers.”
GEN.16.13	Then she called the name of the L
GEN.16.14	Therefore the well was called Beer-lahai-roi (Well of the Living One Who Sees Me); it is 
GEN.16.15	So Hagar gave birth to Abram’s son; and Abram named his son, to whom Hagar gave birth, 
GEN.16.16	Abram was eighty-six years old when Hagar gave birth to Ishmael.
GEN.17.1	When Abram was ninety-nine years old, the 
GEN.17.1	“I am 
GEN.17.1	Walk [habitually] before Me [with integrity, knowing that you are always in My presence], and be blameless 
GEN.17.2	I will establish My covenant (everlasting promise) between Me and you,
GEN.17.2	And I will multiply you exceedingly [through your descendants].”
GEN.17.3	Then Abram fell on his face [in worship], and God spoke with him, saying,
GEN.17.4	“As for Me, behold, My covenant is with you,
GEN.17.4	And [as a result] you shall be the father of many nations.
GEN.17.5	No longer shall your name be Abram (exalted father),
GEN.17.5	But your name shall be Abraham (father of a multitude);
GEN.17.5	For I will make you the father of many nations.
GEN.17.6	I will make you exceedingly fruitful, and I will make nations of you, and 
GEN.17.7	I will establish My covenant between Me and you and your descendants after you throughout their generations for an everlasting covenant, to be God to you and to your descendants after you. 
GEN.17.8	I will give to you and to your descendants after you the land in which you are a stranger [moving from place to place], all the land of Canaan, as an everlasting possession [of property]; and I will be their God.”
GEN.17.9	Further, God said to Abraham, “As for you [your part of the agreement], you shall keep 
GEN.17.10	This is [the sign of] My covenant, which you shall keep 
GEN.17.11	And you shall be circumcised in the flesh of your foreskins, and it shall be the sign (symbol, memorial) of the covenant between Me and you. 
GEN.17.12	Every male among you who is eight days old shall be circumcised throughout your generations, [including] a 
GEN.17.13	A 
GEN.17.14	And the male who is not circumcised in the flesh of his foreskin, that person shall be cut off from his people; he has broken My covenant.”
GEN.17.15	Then God said to Abraham, “As for Sarai your wife, you shall not call her name Sarai (my princess), but her name will be Sarah (
GEN.17.16	I will bless her, and indeed I will also give you a son by her. Yes, I will bless her, and she shall be a 
GEN.17.17	Then Abraham fell on his face and laughed, and said in his heart, “Shall a child be born to a man who is a hundred years old? And shall Sarah, who is ninety years old, bear 
GEN.17.18	And Abraham said to God, “Oh, that Ishmael [my firstborn] might live before You!” 
