GEN.1.1	In the beginning of God's preparing the heavens and the earth —
MAT.20.8	‘And evening having come, the lord of the vineyard saith to his steward, Call the workmen, and pay them the reward, having begun from the last — unto the first.
MAT.20.9	And they of about the eleventh hour having come, did receive each a denary.
MAT.20.10	‘And the first having come, did suppose that they shall receive more, and they received, they also, each a denary,
MAT.20.11	and having received [it], they were murmuring against the householder, saying,
MAT.20.12	that These, the last, wrought one hour, and thou didst make them equal to us, who were bearing the burden of the day — and the heat.
MAT.20.13	‘And he answering said to one of them, Comrade, I do no unrighteousness to thee; for a denary didst not thou agree with me?
MAT.20.14	take that which is thine, and go; and I will to give to this, the last, also as to thee;
MAT.20.15	is it not lawful to me to do what I will in mine own? is thine eye evil because I am good?
MAT.20.16	So the last shall be first, and the first last, for many are called, and few chosen.’
MAT.20.17	And Jesus going up to Jerusalem, took the twelve disciples by themselves in the way, and said to them,
MAT.20.18	‘Lo, we go up to Jerusalem, and the Son of Man shall be delivered to the chief priests and scribes,
MAT.20.19	and they shall condemn him to death, and shall deliver him to the nations to mock, and to scourge, and to crucify, and the third day he will rise again.’
MAT.20.20	Then came near to him the mother of the sons of Zebedee, with her sons, bowing and asking something from him,
MAT.20.21	and he said to her, ‘What wilt thou?’ She saith to him, ‘Say, that they may sit — these my two sons — one on thy right hand, and one on the left, in thy reign.’
MAT.20.22	And Jesus answering said, ‘Ye have not known what ye ask for yourselves; are ye able to drink of the cup that I am about to drink? and with the baptism that I am baptized with, to be baptized?’ They say to him, ‘We are able.’
MAT.20.23	And he saith to them, ‘Of my cup indeed ye shall drink, and with the baptism that I am baptized with ye shall be baptized; but to sit on my right hand and on my left is not mine to give, but — to those for whom it hath been prepared by my father.’
MAT.20.24	And the ten having heard, were much displeased with the two brothers,
MAT.20.25	and Jesus having called them near, said, ‘Ye have known that the rulers of the nations do exercise lordship over them, and those great do exercise authority over them,
MAT.20.26	but not so shall it be among you, but whoever may will among you to become great, let him be your ministrant;
MAT.20.27	and whoever may will among you to be first, let him be your servant;
MAT.20.28	even as the Son of Man did not come to be ministered to, but to minister, and to give his life a ransom for many.’
MAT.20.29	And they going forth from Jericho, there followed him a great multitude,
MAT.20.30	and lo, two blind men sitting by the way, having heard that Jesus doth pass by, cried, saying, ‘Deal kindly with us, sir — Son of David.’
MAT.20.31	And the multitude charged them that they might be silent, and they cried out the more, saying, ‘Deal kindly with us sir — Son of David.’
MAT.20.32	And having stood, Jesus called them, and said, ‘What will ye [that] I may do to you?’
MAT.20.33	they say to him, ‘Sir, that our eyes may be opened;’
MAT.20.34	and having been moved with compassion, Jesus touched their eyes, and immediately their eyes received sight, and they followed him.
MAT.21.1	And when they came nigh to Jerusalem, and came to Bethphage, unto the mount of the Olives, then Jesus sent two disciples,
MAT.21.2	saying to them, ‘Go on to the village over-against you, and immediately ye shall find an ass bound, and a colt with her — having loosed, bring ye to me;
MAT.21.3	and if any one may say anything to you, ye shall say, that the lord hath need of them, and immediately he will send them.’
MAT.21.4	And all this came to pass, that it might be fulfilled that was spoken through the prophet, saying,
MAT.21.5	‘Tell ye the daughter of Zion, Lo, thy king doth come to thee, meek, and mounted on an ass, and a colt, a foal of a beast of burden.’
MAT.21.6	And the disciples having gone and having done as Jesus commanded them,
MAT.21.7	brought the ass and the colt, and did put on them their garments, and set [him] upon them;
MAT.21.8	and the very great multitude spread their own garments in the way, and others were cutting branches from the trees, and were strewing in the way,
MAT.21.9	and the multitudes who were going before, and who were following, were crying, saying, ‘Hosanna to the Son of David, blessed is he who is coming in the name of the Lord; Hosanna in the highest.’
MAT.21.10	And he having entered into Jerusalem, all the city was moved, saying, ‘Who is this?’
MAT.21.11	And the multitudes said, ‘This is Jesus the prophet, who [is] from Nazareth of Galilee.’
MAT.21.12	And Jesus entered into the temple of God, and did cast forth all those selling and buying in the temple, and the tables of the money-changers he overturned, and the seats of those selling the doves,
MAT.21.13	and he saith to them, ‘It hath been written, My house a house of prayer shall be called, but ye did make it a den of robbers.’
MAT.21.14	And there came to him blind and lame men in the temple, and he healed them,
MAT.21.15	and the chief priests and the scribes having seen the wonderful things that he did, and the children crying in the temple, and saying, ‘Hosanna to the Son of David,’ were much displeased;
MAT.21.16	and they said to him, ‘Hearest thou what these say?’ And Jesus saith to them, ‘Yes, did ye never read, that, Out of the mouth of babes and sucklings Thou didst prepare praise?’
MAT.21.17	And having left them, he went forth out of the city to Bethany, and did lodge there,
MAT.21.18	and in the morning turning back to the city, he hungered,
MAT.21.19	and having seen a certain fig-tree on the way, he came to it, and found nothing in it except leaves only, and he saith to it, ‘No more from thee may fruit be — to the age;’ and forthwith the fig-tree withered.
MAT.21.20	And the disciples having seen, did wonder, saying, ‘How did the fig-tree forthwith wither?’
MAT.21.21	And Jesus answering said to them, ‘Verily I say to you, If ye may have faith, and may not doubt, not only this of the fig-tree shall ye do, but even if to this mount ye may say, Be lifted up and be cast into the sea, it shall come to pass;
MAT.21.22	and all — as much as ye may ask in the prayer, believing, ye shall receive.’
MAT.21.23	And he having come to the temple, there came to him when teaching the chief priests and the elders of the people, saying, ‘By what authority dost thou do these things? and who gave thee this authority?’
MAT.21.24	And Jesus answering said to them, ‘I will ask you — I also — one word, which if ye may tell me, I also will tell you by what authority I do these things;
MAT.21.25	the baptism of John, whence was it? — from heaven, or from men?’ And they were reasoning with themselves, saying, ‘If we should say, From heaven; he will say to us, Wherefore, then, did ye not believe him?
MAT.21.26	and if we should say, From men, we fear the multitude, for all hold John as a prophet.’
MAT.21.27	And answering Jesus they said, ‘We have not known.’ He said to them — he also — ‘Neither do I tell you by what authority I do these things.
MAT.21.28	‘And what think ye? A man had two children, and having come to the first, he said, Child, go, to-day be working in my vineyard.’
MAT.21.29	And he answering said, ‘I will not,’ but at last, having repented, he went.
MAT.21.30	‘And having come to the second, he said in the same manner, and he answering said, I [go], sir, and went not;
MAT.21.31	which of the two did the will of the father?’ They say to him, ‘The first.’ Jesus saith to them, ‘Verily I say to you, that the tax-gatherers and the harlots do go before you into the reign of God,
MAT.21.32	for John came unto you in the way of righteousness, and ye did not believe him, and the tax-gatherers and the harlots did believe him, and ye, having seen, repented not at last — to believe him.
MAT.21.33	‘Hear ye another simile: There was a certain man, a householder, who planted a vineyard, and did put a hedge round it, and digged in it a wine-press, and built a tower, and gave it out to husbandmen, and went abroad.
MAT.21.34	‘And when the season of the fruits came nigh, he sent his servants unto the husbandmen, to receive the fruits of it,
MAT.21.35	and the husbandmen having taken his servants, one they scourged, and one they killed, and one they stoned.
MAT.21.36	‘Again he sent other servants more than the first, and they did to them in the same manner.
MAT.21.37	‘And at last he sent unto them his son, saying, They will reverence my son;
MAT.21.38	and the husbandmen having seen the son, said among themselves, This is the heir, come, we may kill him, and may possess his inheritance;
MAT.21.39	and having taken him, they cast [him] out of the vineyard, and killed him;
MAT.21.40	whenever therefore the lord of the vineyard may come, what will he do to these husbandmen?’
MAT.21.41	They say to him, ‘Evil men — he will evilly destroy them, and the vineyard will give out to other husbandmen, who will give back to him the fruits in their seasons.’
MAT.21.42	Jesus saith to them, ‘Did ye never read in the Writings, A stone that the builders disallowed, it became head of a corner; from the Lord hath this come to pass, and it is wonderful in our eyes.
MAT.21.43	‘Because of this I say to you, that the reign of God shall be taken from you, and given to a nation bringing forth its fruit;
MAT.21.44	and he who is falling on this stone shall be broken, and on whomsoever it may fall it will crush him to pieces.’
MAT.21.45	And the chief priests and the Pharisees having heard his similes, knew that of them he speaketh,
MAT.21.46	and seeking to lay hold on him, they feared the multitudes, seeing they were holding him as a prophet.
MAT.22.1	And Jesus answering, again spake to them in similes, saying,
MAT.22.2	‘The reign of the heavens was likened to a man, a king, who made marriage-feasts for his son,
MAT.22.3	and he sent forth his servants to call those having been called to the marriage-feasts, and they were not willing to come.
MAT.22.4	‘Again he sent forth other servants, saying, Say to those who have been called: Lo, my dinner I prepared, my oxen and the fatlings have been killed, and all things [are] ready, come ye to the marriage-feasts;
MAT.22.5	and they, having disregarded [it], went away, the one to his own field, and the other to his merchandise;
MAT.22.6	and the rest, having laid hold on his servants, did insult and slay [them].
MAT.22.7	‘And the king having heard, was wroth, and having sent forth his soldiers, he destroyed those murderers, and their city he set on fire;
MAT.22.8	then saith he to his servants, The marriage-feast indeed is ready, and those called were not worthy,
MAT.22.9	be going, then, on to the cross-ways, and as many as ye may find, call ye to the marriage-feasts.
MAT.22.10	‘And those servants, having gone forth to the ways, did gather all, as many as they found, both bad and good, and the marriage-feast apartment was filled with those reclining.
MAT.22.11	‘And the king having come in to view those reclining, saw there a man not clothed with clothing of the marriage-feast,
MAT.22.12	and he saith to him, Comrade, how didst thou come in hither, not having clothing of the marriage-feast? and he was speechless.
MAT.22.13	‘Then said the king to the ministrants, Having bound his feet and hands, take him up and cast forth to the outer darkness, there shall be the weeping and the gnashing of the teeth;
MAT.22.14	for many are called, and few chosen.’
MAT.22.15	Then the Pharisees having gone, took counsel how they might ensnare him in words,
MAT.22.16	and they send to him their disciples with the Herodians, saying, ‘Teacher, we have known that thou art true, and the way of God in truth thou dost teach, and thou art not caring for any one, for thou dost not look to the face of men;
MAT.22.17	tell us, therefore, what dost thou think? is it lawful to give tribute to Caesar or not?’
MAT.22.18	And Jesus having known their wickedness, said, ‘Why me do ye tempt, hypocrites?
MAT.22.19	show me the tribute-coin?’ and they brought to him a denary;
MAT.22.20	and he saith to them, ‘Whose [is] this image and the inscription?’
MAT.22.21	they say to him, ‘Caesar's;’ then saith he to them, ‘Render therefore the things of Caesar to Caesar, and the things of God to God;’
MAT.22.22	and having heard they wondered, and having left him they went away.
MAT.22.23	In that day there came near to him Sadducees, who are saying there is not a rising again, and they questioned him, saying,
MAT.22.24	‘Teacher, Moses said, If any one may die not having children, his brother shall marry his wife, and shall raise up seed to his brother.
MAT.22.25	‘And there were with us seven brothers, and the first having married did die, and not having seed, he left his wife to his brother;
MAT.22.26	in like manner also the second, and the third, unto the seventh,
MAT.22.27	and last of all died also the woman;
MAT.22.28	therefore in the rising again, of which of the seven shall she be wife — for all had her?’
MAT.22.29	And Jesus answering said to them, ‘Ye go astray, not knowing the Writings, nor the power of God;
MAT.22.30	for in the rising again they do not marry, nor are they given in marriage, but are as messengers of God in heaven.
MAT.22.31	‘And concerning the rising again of the dead, did ye not read that which was spoken to you by God, saying,
MAT.22.32	I am the God of Abraham, and the God of Isaac, and the God of Jacob? God is not a God of dead men, but of living.’
MAT.22.33	And having heard, the multitudes were astonished at his teaching;
MAT.22.34	and the Pharisees, having heard that he did silence the Sadducees, were gathered together unto him;
MAT.22.35	and one of them, a lawyer, did question, tempting him, and saying,
MAT.22.36	‘Teacher, which [is] the great command in the Law?’
MAT.22.37	And Jesus said to him, ‘Thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thine understanding —
MAT.22.38	this is a first and great command;
MAT.22.39	and the second [is] like to it, Thou shalt love thy neighbour as thyself;
MAT.22.40	on these — the two commands — all the law and the prophets do hang.’
MAT.22.41	And the Pharisees having been gathered together, Jesus did question them,
MAT.22.42	saying, ‘What do ye think concerning the Christ? of whom is he son?’ They say to him, ‘Of David.’
MAT.22.43	He saith to them, ‘How then doth David in the Spirit call him lord, saying,
MAT.22.44	The Lord said to my lord, Sit at my right hand, till I may make thine enemies thy footstool?
MAT.22.45	If then David doth call him lord, how is he his son?’
MAT.22.46	And no one was able to answer him a word, nor durst any from that day question him any more.
MAT.23.1	Then Jesus spake to the multitudes, and to his disciples,
MAT.23.2	saying, ‘On the seat of Moses sat down the scribes and the Pharisees;
MAT.23.3	all, then, as much as they may say to you to observe, observe and do, but according to their works do not, for they say, and do not;
MAT.23.4	for they bind together burdens heavy and grievous to be borne, and lay upon the shoulders of men, but with their finger they will not move them.
MAT.23.5	‘And all their works they do to be seen by men, and they make broad their phylacteries, and enlarge the fringes of their garments,
MAT.23.6	they love also the chief couches in the supper, and the chief seats in the synagogues,
MAT.23.7	and the salutations in the market-places, and to be called by men, Rabbi, Rabbi.
MAT.23.8	‘And ye — ye may not be called Rabbi, for one is your director — the Christ, and all ye are brethren;
MAT.23.9	and ye may not call [any] your father on the earth, for one is your Father, who is in the heavens,
MAT.23.10	nor may ye be called directors, for one is your director — the Christ.
MAT.23.11	And the greater of you shall be your ministrant,
MAT.23.12	and whoever shall exalt himself shall be humbled, and whoever shall humble himself shall be exalted.
MAT.23.13	‘Woe to you, Scribes and Pharisees, hypocrites! because ye shut up the reign of the heavens before men, for ye do not go in, nor those going in do ye suffer to enter.
MAT.23.14	‘Woe to you, Scribes and Pharisees, hypocrites! because ye eat up the houses of the widows, and for a pretence make long prayers, because of this ye shall receive more abundant judgment.
MAT.23.15	‘Woe to you, Scribes and Pharisees, hypocrites! because ye go round the sea and the dry land to make one proselyte, and whenever it may happen — ye make him a son of gehenna twofold more than yourselves.
MAT.23.16	‘Woe to you, blind guides, who are saying, Whoever may swear by the sanctuary, it is nothing, but whoever may swear by the gold of the sanctuary — is debtor!
MAT.23.17	Fools and blind! for which [is] greater, the gold, or the sanctuary that is sanctifying the gold?
MAT.23.18	‘And, whoever may swear by the altar, it is nothing; but whoever may swear by the gift that is upon it — is debtor!
MAT.23.19	Fools and blind! for which [is] greater, the gift, or the altar that is sanctifying the gift?
MAT.23.20	‘He therefore who did swear by the altar, doth swear by it, and by all things on it;
MAT.23.21	and he who did swear by the sanctuary, doth swear by it, and by Him who is dwelling in it;
MAT.23.22	and he who did swear by the heaven, doth swear by the throne of God, and by Him who is sitting upon it.
MAT.23.23	‘Woe to you, Scribes and Pharisees, hypocrites! because ye give tithe of the mint, and the dill, and the cumin, and did neglect the weightier things of the Law — the judgment, and the kindness, and the faith; these it behoved [you] to do, and those not to neglect.
MAT.23.24	‘Blind guides! who are straining out the gnat, and the camel are swallowing.
MAT.23.25	‘Woe to you, Scribes and Pharisees, hypocrites! because ye make clean the outside of the cup and the plate, and within they are full of rapine and incontinence.
MAT.23.26	‘Blind Pharisee! cleanse first the inside of the cup and the plate, that the outside of them also may become clean.
MAT.23.27	‘Woe to you, Scribes and Pharisees, hypocrites! because ye are like to whitewashed sepulchres, which outwardly indeed do appear beautiful, and within are full of bones of dead men, and of all uncleanness;
MAT.23.28	so also ye outwardly indeed do appear to men righteous, and within ye are full of hypocrisy and lawlessness.
MAT.23.29	‘Woe to you, Scribes and Pharisees, hypocrites! because ye build the sepulchres of the prophets, and adorn the tombs of the righteous,
MAT.23.30	and say, If we had been in the days of our fathers, we would not have been partakers with them in the blood of the prophets.
MAT.23.31	So that ye testify to yourselves, that ye are sons of them who did murder the prophets;
MAT.23.32	and ye — ye fill up the measure of your fathers.
MAT.23.33	‘Serpents! brood of vipers! how may ye escape from the judgment of the gehenna?
MAT.23.34	‘Because of this, lo, I send to you prophets, and wise men, and scribes, and of them ye will kill and crucify, and of them ye will scourge in your synagogues, and will pursue from city to city;
MAT.23.35	that on you may come all the righteous blood being poured out on the earth from the blood of Abel the righteous, unto the blood of Zacharias son of Barachias, whom ye slew between the sanctuary and the altar:
MAT.23.36	verily I say to you, all these things shall come upon this generation.
MAT.23.37	‘Jerusalem, Jerusalem, that art killing the prophets, and stoning those sent unto thee, how often did I will to gather thy children together, as a hen doth gather her own chickens under the wings, and ye did not will.
MAT.23.38	Lo, left desolate to you is your house;
MAT.23.39	for I say to you, ye may not see me henceforth, till ye may say, Blessed [is] he who is coming in the name of the Lord.’
MAT.24.1	And having gone forth, Jesus departed from the temple, and his disciples came near to show him the buildings of the temple,
MAT.24.2	and Jesus said to them, ‘Do ye not see all these? verily I say to you, There may not be left here a stone upon a stone, that shall not be thrown down.’
MAT.24.3	And when he is sitting on the mount of the Olives, the disciples came near to him by himself, saying, ‘Tell us, when shall these be? and what [is] the sign of thy presence, and of the full end of the age?’
MAT.24.4	And Jesus answering said to them, ‘Take heed that no one may lead you astray,
MAT.24.5	for many shall come in my name, saying, I am the Christ, and they shall lead many astray,
MAT.24.6	and ye shall begin to hear of wars, and reports of wars; see, be not troubled, for it behoveth all [these] to come to pass, but the end is not yet.
MAT.24.7	‘For nation shall rise against nation, and kingdom against kingdom, and there shall be famines, and pestilences, and earthquakes, in divers places;
MAT.24.8	and all these [are] the beginning of sorrows;
MAT.24.9	then they shall deliver you up to tribulation, and shall kill you, and ye shall be hated by all the nations because of my name;
MAT.24.10	and then shall many be stumbled, and they shall deliver up one another, and shall hate one another.
MAT.24.11	‘And many false prophets shall arise, and shall lead many astray;
MAT.24.12	and because of the abounding of the lawlessness, the love of the many shall become cold;
MAT.24.13	but he who did endure to the end, he shall be saved;
MAT.24.14	and this good news of the reign shall be proclaimed in all the world, for a testimony to all the nations; and then shall the end arrive.
MAT.24.15	‘Whenever, therefore, ye may see the abomination of the desolation, that was spoken of through Daniel the prophet, standing in the holy place (whoever is reading let him observe)
MAT.24.16	then those in Judea — let them flee to the mounts;
MAT.24.17	he on the house-top — let him not come down to take up any thing out of his house;
MAT.24.18	and he in the field — let him not turn back to take his garments.
MAT.24.19	‘And woe to those with child, and to those giving suck in those days;
MAT.24.20	and pray ye that your flight may not be in winter, nor on a sabbath;
MAT.24.21	for there shall be then great tribulation, such as was not from the beginning of the world till now, no, nor may be.
MAT.24.22	And if those days were not shortened, no flesh would have been saved; but because of the chosen, shall those days be shortened.
MAT.24.23	‘Then if any one may say to you, Lo, here [is] the Christ! or here! ye may not believe;
MAT.24.24	for there shall arise false Christs, and false prophets, and they shall give great signs and wonders, so as to lead astray, if possible, also the chosen.
MAT.24.25	Lo, I did tell you beforehand.
MAT.24.26	‘If therefore they may say to you, Lo, in the wilderness he is, ye may not go forth; lo, in the inner chambers, ye may not believe;
MAT.24.27	for as the lightning doth come forth from the east, and doth appear unto the west, so shall be also the presence of the Son of Man;
MAT.24.28	for wherever the carcase may be, there shall the eagles be gathered together.
MAT.24.29	‘And immediately after the tribulation of those days, the sun shall be darkened, and the moon shall not give her light, and the stars shall fall from the heaven, and the powers of the heavens shall be shaken;
MAT.24.30	and then shall appear the sign of the Son of Man in the heaven; and then shall all the tribes of the earth smite the breast, and they shall see the Son of Man coming upon the clouds of the heaven, with power and much glory;
MAT.24.31	and he shall send his messengers with a great sound of a trumpet, and they shall gather together his chosen from the four winds, from the ends of the heavens unto the ends thereof.
MAT.24.32	‘And from the fig-tree learn ye the simile: When already its branch may have become tender, and the leaves it may put forth, ye know that summer [is] nigh,
MAT.24.33	so also ye, when ye may see all these, ye know that it is nigh — at the doors.
MAT.24.34	Verily I say to you, this generation may not pass away till all these may come to pass.
MAT.24.35	The heaven and the earth shall pass away, but my words shall not pass away.
MAT.24.36	‘And concerning that day and the hour no one hath known — not even the messengers of the heavens — except my Father only;
MAT.24.37	and as the days of Noah — so shall be also the presence of the Son of Man;
MAT.24.38	for as they were, in the days before the flood, eating, and drinking, marrying, and giving in marriage, till the day Noah entered into the ark,
MAT.24.39	and they did not know till the flood came and took all away; so shall be also the presence of the Son of Man.
MAT.24.40	Then two men shall be in the field, the one is received, and the one is left;
MAT.24.41	two women shall be grinding in the mill, one is received, and one is left.
MAT.24.42	‘Watch ye therefore, because ye have not known in what hour your Lord doth come;
MAT.24.43	and this know, that if the master of the house had known in what watch the thief doth come, he had watched, and not suffered his house to be broken through;
MAT.24.44	because of this also ye, become ye ready, because in what hour ye do not think, the Son of Man doth come.
MAT.24.45	‘Who, then, is the servant, faithful and wise, whom his lord did set over his household, to give them the nourishment in season?
MAT.24.46	Happy that servant, whom his lord, having come, shall find doing so;
MAT.24.47	verily I say to you, that over all his substance he will set him.
MAT.24.48	‘And, if that evil servant may say in his heart, My Lord doth delay to come,
MAT.24.49	and may begin to beat the fellow-servants, and to eat and to drink with the drunken,
MAT.24.50	the lord of that servant will arrive in a day when he doth not expect, and in an hour of which he doth not know,
MAT.24.51	and will cut him off, and his portion with the hypocrites will appoint; there shall be the weeping and the gnashing of the teeth.
MAT.25.1	‘Then shall the reign of the heavens be likened to ten virgins, who, having taken their lamps, went forth to meet the bridegroom;
MAT.25.2	and five of them were prudent, and five foolish;
MAT.25.3	they who were foolish having taken their lamps, did not take with themselves oil;
MAT.25.4	and the prudent took oil in their vessels, with their lamps.
MAT.25.5	‘And the bridegroom tarrying, they all nodded and were sleeping,
MAT.25.6	and in the middle of the night a cry was made, Lo, the bridegroom doth come; go ye forth to meet him.
MAT.25.7	‘Then rose all those virgins, and trimmed their lamps,
MAT.25.8	and the foolish said to the prudent, Give us of your oil, because our lamps are going out;
MAT.25.9	and the prudent answered, saying — Lest there may not be sufficient for us and you, go ye rather unto those selling, and buy for yourselves.
MAT.25.10	‘And while they are going away to buy, the bridegroom came, and those ready went in with him to the marriage-feasts, and the door was shut;
MAT.25.11	and afterwards come also do the rest of the virgins, saying, Sir, sir, open to us;
MAT.25.12	and he answering said, Verily I say to you, I have not known you.
MAT.25.13	‘Watch therefore, for ye have not known the day nor the hour in which the Son of Man doth come.
MAT.25.14	‘For — as a man going abroad did call his own servants, and did deliver to them his substance,
MAT.25.15	and to one he gave five talents, and to another two, and to another one, to each according to his several ability, went abroad immediately.
MAT.25.16	‘And he who did receive the five talents, having gone, wrought with them, and made other five talents;
MAT.25.17	in like manner also he who [received] the two, he gained, also he, other two;
MAT.25.18	and he who did receive the one, having gone away, digged in the earth, and hid his lord's money.
MAT.25.19	‘And after a long time cometh the lord of those servants, and taketh reckoning with them;
MAT.25.20	and he who did receive the five talents having come, brought other five talents, saying, ‘Sir, five talents thou didst deliver to me; lo, other five talents did I gain besides them.
MAT.25.21	‘And his lord said to him, Well done, servant, good and faithful, over a few things thou wast faithful, over many things I will set thee; enter into the joy of thy lord.
MAT.25.22	‘And he who also did receive the two talents having come, said, Sir, two talents thou didst deliver to me; lo, other two talents I did gain besides them.
MAT.25.23	‘His lord said to him, Well done, servant, good and faithful, over a few things thou wast faithful, over many things I will set thee; enter into the joy of thy lord.
MAT.25.24	‘And he also who hath received the one talent having come, said, Sir, I knew thee, that thou art a hard man, reaping where thou didst not sow, and gathering from whence thou didst not scatter;
MAT.25.25	and having been afraid, having gone away, I hid thy talent in the earth; lo, thou hast thine own!
MAT.25.26	‘And his lord answering said to him, Evil servant, and slothful, thou hadst known that I reap where I did not sow, and I gather whence I did not scatter!
MAT.25.27	it behoved thee then to put my money to the money-lenders, and having come I had received mine own with increase.
MAT.25.28	‘Take therefore from him the talent, and give to him having the ten talents,
MAT.25.29	for to every one having shall be given, and he shall have overabundance, and from him who is not having, even that which he hath shall be taken from him;
MAT.25.30	and the unprofitable servant cast ye forth to the outer darkness; there shall be the weeping and the gnashing of the teeth.
MAT.25.31	‘And whenever the Son of Man may come in his glory, and all the holy messengers with him, then he shall sit upon a throne of his glory;
MAT.25.32	and gathered together before him shall be all the nations, and he shall separate them from one another, as the shepherd doth separate the sheep from the goats,
MAT.25.33	and he shall set the sheep indeed on his right hand, and the goats on the left.
MAT.25.34	‘Then shall the king say to those on his right hand, Come ye, the blessed of my Father, inherit the reign that hath been prepared for you from the foundation of the world;
MAT.25.35	for I did hunger, and ye gave me to eat; I did thirst, and ye gave me to drink; I was a stranger, and ye received me;
MAT.25.36	naked, and ye put around me; I was infirm, and ye looked after me; in prison I was, and ye came unto me.
MAT.25.37	‘Then shall the righteous answer him, saying, Lord, when did we see thee hungering, and we nourished? or thirsting, and we gave to drink?
MAT.25.38	and when did we see thee a stranger, and we received? or naked, and we put around?
MAT.25.39	and when did we see thee infirm, or in prison, and we came unto thee?
MAT.25.40	‘And the king answering, shall say to them, Verily I say to you, Inasmuch as ye did [it] to one of these my brethren — the least — to me ye did [it].
MAT.25.41	Then shall he say also to those on the left hand, Go ye from me, the cursed, to the fire, the age-during, that hath been prepared for the Devil and his messengers;
MAT.25.42	for I did hunger, and ye gave me not to eat; I did thirst, and ye gave me not to drink;
MAT.25.43	a stranger I was, and ye did not receive me; naked, and ye put not around me; infirm, and in prison, and ye did not look after me.
MAT.25.44	‘Then shall they answer, they also, saying, Lord, when did we see thee hungering, or thirsting, or a stranger, or naked, or infirm, or in prison, and we did not minister to thee?
MAT.25.45	‘Then shall he answer them, saying, Verily I say to you, Inasmuch as ye did [it] not to one of these, the least, ye did [it] not to me.
MAT.25.46	And these shall go away to punishment age-during, but the righteous to life ageduring.’
MAT.26.1	And it came to pass, when Jesus finished all these words, he said to his disciples,
MAT.26.2	‘Ye have known that after two days the passover cometh, and the Son of Man is delivered up to be crucified.’
MAT.26.3	Then were gathered together the chief priests, and the scribes, and the elders of the people, to the court of the chief priest who was called Caiaphas;
MAT.26.4	and they consulted together that they might take Jesus by guile, and kill [him],
MAT.26.5	and they said, ‘Not in the feast, that there may not be a tumult among the people.’
MAT.26.6	And Jesus having been in Bethany, in the house of Simon the leper,
MAT.26.7	there came to him a woman having an alabaster box of ointment, very precious, and she poured on his head as he is reclining (at meat).
MAT.26.8	And having seen [it], his disciples were much displeased, saying, ‘To what purpose [is] this waste?
MAT.26.9	for this ointment could have been sold for much, and given to the poor.’
MAT.26.10	And Jesus having known, said to them, ‘Why do ye give trouble to the woman? for a good work she wrought for me;
MAT.26.11	for the poor always ye have with you, and me ye have not always;
MAT.26.12	for she having put this ointment on my body — for my burial she did [it].
MAT.26.13	Verily I say to you, Wherever this good news may be proclaimed in the whole world, what this [one] did shall also be spoken of — for a memorial of her.’
MAT.26.14	Then one of the twelve, who is called Judas Iscariot, having gone unto the chief priests, said,
MAT.26.15	‘What are ye willing to give me, and I will deliver him up to you?’ and they weighed out to him thirty silverlings,
MAT.26.16	and from that time he was seeking a convenient season to deliver him up.
MAT.26.17	And on the first [day] of the unleavened food came the disciples near to Jesus, saying to him, ‘Where wilt thou [that] we may prepare for thee to eat the passover?’
MAT.26.18	and he said, ‘Go away to the city, unto such a one, and say to him, The Teacher saith, My time is nigh; near thee I keep the passover, with my disciples;’
MAT.26.19	and the disciples did as Jesus appointed them, and prepared the passover.
MAT.26.20	And evening having come, he was reclining (at meat) with the twelve,
MAT.26.21	and while they are eating, he said, ‘Verily I say to you, that one of you shall deliver me up.’
MAT.26.22	And being grieved exceedingly, they began to say to him, each of them, ‘Is it I, Sir?’
MAT.26.23	And he answering said, ‘He who did dip with me the hand in the dish, he will deliver me up;
MAT.26.24	the Son of Man doth indeed go, as it hath been written concerning him, but woe to that man through whom the Son of Man is delivered up! good it were for him if that man had not been born.’
MAT.26.25	And Judas — he who delivered him up — answering said, ‘Is it I, Rabbi?’ He saith to him, ‘Thou hast said.’
MAT.26.26	And while they were eating, Jesus having taken the bread, and having blessed, did brake, and was giving to the disciples, and said, ‘Take, eat, this is my body;’
MAT.26.27	and having taken the cup, and having given thanks, he gave to them, saying, ‘Drink ye of it — all;
MAT.26.28	for this is my blood of the new covenant, that for many is being poured out — to remission of sins;
MAT.26.29	and I say to you, that I may not drink henceforth on this produce of the vine, till that day when I may drink it with you new in the reign of my Father.’
MAT.26.30	And having sung a hymn, they went forth to the mount of the Olives;
MAT.26.31	then saith Jesus to them, ‘All ye shall be stumbled at me this night; for it hath been written, I will smite the shepherd, and the sheep of the flock shall be scattered abroad;
MAT.26.32	but, after my having risen, I will go before you to Galilee.’
MAT.26.33	And Peter answering said to him, ‘Even if all shall be stumbled at thee, I will never be stumbled.’
MAT.26.34	Jesus said to him, ‘Verily I say to thee, that, this night, before cock-crowing, thrice thou wilt deny me.’
MAT.26.35	Peter saith to him, ‘Even if it may be necessary for me to die with thee, I will not deny thee;’ in like manner also said all the disciples.
MAT.26.36	Then come with them doth Jesus to a place called Gethsemane, and he saith to the disciples, ‘Sit ye here, till having gone away, I shall pray yonder.’
MAT.26.37	And having taken Peter, and the two sons of Zebedee, he began to be sorrowful, and to be very heavy;
MAT.26.38	then saith he to them, ‘Exceedingly sorrowful is my soul — unto death; abide ye here, and watch with me.’
