GEN.1.1	In the beginning God created the sky and the earth. 
MRK.10.36	Jesus asked, 
MRK.10.37	They answered, “Let one of us sit at your right side and one of us sit at your left side in your glory in your kingdom.”
MRK.10.38	Jesus said, 
MRK.10.39	They answered, “Yes, we can.”
MRK.10.39	Jesus said to them, 
MRK.10.41	When the other ten followers heard this, they began to be angry with James and John.
MRK.10.42	Jesus called them together and said, 
MRK.10.46	Then they came to the town of Jericho. As Jesus was leaving there with his followers and a great many people, a blind beggar named Bartimaeus son of Timaeus was sitting by the road. 
MRK.10.47	When he heard that Jesus from Nazareth was walking by, he began to shout, “Jesus, Son of David, have mercy on me!”
MRK.10.48	Many people warned the blind man to be quiet, but he shouted even more, “Son of David, have mercy on me!”
MRK.10.49	Jesus stopped and said, 
MRK.10.49	So they called the blind man, saying, “Cheer up! Get to your feet. Jesus is calling you.” 
MRK.10.50	The blind man jumped up, left his coat there, and went to Jesus.
MRK.10.51	Jesus asked him, 
MRK.10.51	The blind man answered, “Teacher, I want to see.”
MRK.10.52	Jesus said, 
MRK.11.1	As Jesus and his followers were coming closer to Jerusalem, they came to the towns of Bethphage and Bethany near the Mount of Olives. From there Jesus sent two of his followers 
MRK.11.2	and said to them, 
MRK.11.4	The followers went into the town, found a colt tied in the street near the door of a house, and untied it. 
MRK.11.5	Some people were standing there and asked, “What are you doing? Why are you untying that colt?” 
MRK.11.6	The followers answered the way Jesus told them to answer, and the people let them take the colt.
MRK.11.7	They brought the colt to Jesus and put their coats on it, and Jesus sat on it. 
MRK.11.8	Many people spread their coats on the road. Others cut branches in the fields and spread them on the road. 
MRK.11.9	The people were walking ahead of Jesus and behind him, shouting,
MRK.11.9	“Praise God!
MRK.11.9	God bless the One who comes in the name of the Lord! 
MRK.11.10	God bless the kingdom of our father David!
MRK.11.10	That kingdom is coming!
MRK.11.10	Praise to God in heaven!”
MRK.11.11	Jesus entered Jerusalem and went into the Temple. After he had looked at everything, since it was already late, he went out to Bethany with the twelve apostles.
MRK.11.12	The next day as Jesus was leaving Bethany, he became hungry. 
MRK.11.13	Seeing a fig tree in leaf from far away, he went to see if it had any figs on it. But he found no figs, only leaves, because it was not the right season for figs. 
MRK.11.14	So Jesus said to the tree, 
MRK.11.15	When Jesus returned to Jerusalem, he went into the Temple and began to throw out those who were buying and selling there. He turned over the tables of those who were exchanging different kinds of money, and he upset the benches of those who were selling doves. 
MRK.11.16	Jesus refused to allow anyone to carry goods through the Temple courts. 
MRK.11.17	Then he taught the people, saying, 
MRK.11.18	The leading priests and the teachers of the law heard all this and began trying to find a way to kill Jesus. They were afraid of him, because all the people were amazed at his teaching. 
MRK.11.19	That evening, Jesus and his followers left the city.
MRK.11.20	The next morning as Jesus was passing by with his followers, they saw the fig tree dry and dead, even to the roots. 
MRK.11.21	Peter remembered the tree and said to Jesus, “Teacher, look! The fig tree you cursed is dry and dead!”
MRK.11.22	Jesus answered, 
MRK.11.27	Jesus and his followers went again to Jerusalem. As Jesus was walking in the Temple, the leading priests, the teachers of the law, and the elders came to him. 
MRK.11.28	They said to him, “What authority do you have to do these things? Who gave you this authority?”
MRK.11.29	Jesus answered, 
MRK.11.31	They argued about Jesus’ question, saying, “If we answer, ‘John’s baptism was from God,’ Jesus will say, ‘Then why didn’t you believe him?’ 
MRK.11.32	But if we say, ‘It was from other people,’ the crowd will be against us.” (These leaders were afraid of the people, because all the people believed that John was a prophet.)
MRK.11.33	So they answered Jesus, “We don’t know.”
MRK.11.33	Jesus said to them, 
MRK.12.1	Jesus began to use stories to teach the people. He said, 
MRK.12.12	The Jewish leaders knew that the story was about them. So they wanted to find a way to arrest Jesus, but they were afraid of the people. So the leaders left him and went away.
MRK.12.13	Later, the Jewish leaders sent some Pharisees and Herodians to Jesus to trap him in saying something wrong. 
MRK.12.14	They came to him and said, “Teacher, we know that you are an honest man. You are not afraid of what other people think about you, because you pay no attention to who they are. And you teach the truth about God’s way. Tell us: Is it right to pay taxes to Caesar or not? 
MRK.12.15	Should we pay them, or not?”
MRK.12.15	But knowing what these men were really trying to do, Jesus said to them, 
MRK.12.16	They gave Jesus a coin, and he asked, 
MRK.12.16	They answered, “Caesar’s.”
MRK.12.17	Then Jesus said to them, 
MRK.12.18	Then some Sadducees came to Jesus and asked him a question. (Sadducees believed that people would not rise from the dead.) 
MRK.12.19	They said, “Teacher, Moses wrote that if a man’s brother dies, leaving a wife but no children, then that man must marry the widow and have children for his brother. 
MRK.12.20	Once there were seven brothers. The first brother married and died, leaving no children. 
MRK.12.21	So the second brother married the widow, but he also died and had no children. The same thing happened with the third brother. 
MRK.12.22	All seven brothers married her and died, and none of the brothers had any children. Finally the woman died too. 
MRK.12.23	Since all seven brothers had married her, when people rise from the dead, whose wife will she be?”
MRK.12.24	Jesus answered, 
MRK.12.28	One of the teachers of the law came and heard Jesus arguing with the Sadducees. Seeing that Jesus gave good answers to their questions, he asked Jesus, “Which of the commands is most important?”
MRK.12.29	Jesus answered, 
MRK.12.32	The man answered, “That was a good answer, Teacher. You were right when you said God is the only Lord and there is no other God besides him. 
MRK.12.33	One must love God with all his heart, all his mind, and all his strength. And one must love his neighbor as he loves himself. These commands are more important than all the animals and sacrifices we offer to God.”
MRK.12.34	When Jesus saw that the man answered him wisely, Jesus said to him, 
MRK.12.35	As Jesus was teaching in the Temple, he asked, 
MRK.12.37	 The large crowd listened to Jesus with pleasure.
MRK.12.38	Jesus continued teaching and said, 
MRK.12.41	Jesus sat near the Temple money box and watched the people put in their money. Many rich people gave large sums of money. 
MRK.12.42	Then a poor widow came and put in two small copper coins, which were only worth a few cents.
MRK.12.43	Calling his followers to him, Jesus said, 
MRK.13.1	As Jesus was leaving the Temple, one of his followers said to him, “Look, Teacher! How beautiful the buildings are! How big the stones are!”
MRK.13.2	Jesus said, 
MRK.13.3	Later, as Jesus was sitting on the Mount of Olives, opposite the Temple, he was alone with Peter, James, John, and Andrew. They asked Jesus, 
MRK.13.4	“Tell us, when will these things happen? And what will be the sign that they are going to happen?”
MRK.13.5	Jesus began to answer them, 
MRK.13.14	(You who read this should understand what it means.)
MRK.14.1	It was now only two days before the Passover and the Feast of Unleavened Bread. The leading priests and teachers of the law were trying to find a trick to arrest Jesus and kill him. 
MRK.14.2	But they said, “We must not do it during the feast, because the people might cause a riot.”
MRK.14.3	Jesus was in Bethany at the house of Simon, who had a skin disease. While Jesus was eating there, a woman approached him with an alabaster jar filled with very expensive perfume, made of pure nard. She opened the jar and poured the perfume on Jesus’ head.
MRK.14.4	Some who were there became upset and said to each other, “Why waste that perfume? 
MRK.14.5	It was worth a full year’s work. It could have been sold and the money given to the poor.” And they got very angry with the woman.
MRK.14.6	Jesus said, 
MRK.14.10	One of the twelve apostles, Judas Iscariot, went to talk to the leading priests to offer to hand Jesus over to them. 
MRK.14.11	These priests were pleased about this and promised to pay Judas money. So he watched for the best time to turn Jesus in.
MRK.14.12	It was now the first day of the Feast of Unleavened Bread when the Passover lamb was sacrificed. Jesus’ followers said to him, “Where do you want us to go and prepare for you to eat the Passover meal?”
MRK.14.13	Jesus sent two of his followers and said to them, 
MRK.14.16	So the followers left and went into the city. Everything happened as Jesus had said, so they prepared the Passover meal.
MRK.14.17	In the evening, Jesus went to that house with the twelve. 
MRK.14.18	While they were all eating, Jesus said, 
MRK.14.19	The followers were very sad to hear this. Each one began to say to Jesus, “I am not the one, am I?”
MRK.14.20	Jesus answered, 
MRK.14.22	While they were eating, Jesus took some bread and thanked God for it and broke it. Then he gave it to his followers and said, 
MRK.14.23	Then Jesus took a cup and thanked God for it and gave it to the followers, and they all drank from the cup.
MRK.14.24	Then Jesus said, 
MRK.14.26	After singing a hymn, they went out to the Mount of Olives.
MRK.14.27	Then Jesus told the followers, 
MRK.14.29	Peter said, “Everyone else may stumble in their faith, but I will not.”
MRK.14.30	Jesus answered, 
MRK.14.31	But Peter insisted, “I will never say that I don’t know you! I will even die with you!” And all the other followers said the same thing.
MRK.14.32	Jesus and his followers went to a place called Gethsemane. He said to them, 
MRK.14.33	Jesus took Peter, James, and John with him, and he began to be very sad and troubled. 
MRK.14.34	He said to them, 
MRK.14.35	After walking a little farther away from them, Jesus fell to the ground and prayed that, if possible, he would not have this time of suffering. 
MRK.14.36	He prayed, 
MRK.14.37	Then Jesus went back to his followers and found them asleep. He said to Peter, 
MRK.14.39	Again Jesus went away and prayed the same thing. 
MRK.14.40	Then he went back to his followers, and again he found them asleep, because their eyes were very heavy. And they did not know what to say to him.
MRK.14.41	After Jesus prayed a third time, he went back to his followers and said to them, 
MRK.14.43	At once, while Jesus was still speaking, Judas, one of the twelve apostles, came up. With him were many people carrying swords and clubs who had been sent from the leading priests, the teachers of the law, and the Jewish elders.
MRK.14.44	Judas had planned a signal for them, saying, “The man I kiss is Jesus. Arrest him and guard him while you lead him away.” 
MRK.14.45	So Judas went straight to Jesus and said, “Teacher!” and kissed him. 
MRK.14.46	Then the people grabbed Jesus and arrested him. 
MRK.14.47	One of his followers standing nearby pulled out his sword and struck the servant of the high priest and cut off his ear.
MRK.14.48	Then Jesus said, 
MRK.14.50	Then all of Jesus’ followers left him and ran away.
MRK.14.51	A young man, wearing only a linen cloth, was following Jesus, and the people also grabbed him. 
MRK.14.52	But the cloth he was wearing came off, and he ran away naked.
MRK.14.53	The people who arrested Jesus led him to the house of the high priest, where all the leading priests, the elders, and the teachers of the law were gathered. 
MRK.14.54	Peter followed far behind and entered the courtyard of the high priest’s house. There he sat with the guards, warming himself by the fire.
MRK.14.55	The leading priests and the whole Jewish council tried to find something that Jesus had done wrong so they could kill him. But the council could find no proof of anything. 
MRK.14.56	Many people came and told false things about him, but all said different things—none of them agreed.
MRK.14.57	Then some people stood up and lied about Jesus, saying, 
MRK.14.58	“We heard this man say, ‘I will destroy this Temple that people made. And three days later, I will build another Temple not made by people.’ ” 
MRK.14.59	But even the things these people said did not agree.
MRK.14.60	Then the high priest stood before them and asked Jesus, “Aren’t you going to answer? Don’t you have something to say about their charges against you?” 
MRK.14.61	But Jesus said nothing; he did not answer.
MRK.14.61	The high priest asked Jesus another question: “Are you the Christ, the Son of the blessed God?”
MRK.14.62	Jesus answered, 
MRK.14.63	When the high priest heard this, he tore his clothes and said, “We don’t need any more witnesses! 
MRK.14.64	You all heard him say these things against God. What do you think?”
MRK.14.64	They all said that Jesus was guilty and should die. 
MRK.14.65	Some of the people there began to spit at Jesus. They blindfolded him and beat him with their fists and said, “Prove you are a prophet!” Then the guards led Jesus away and beat him.
MRK.14.66	While Peter was in the courtyard, a servant girl of the high priest came there. 
MRK.14.67	She saw Peter warming himself at the fire and looked closely at him.
MRK.14.67	Then she said, “You also were with Jesus, that man from Nazareth.”
MRK.14.68	But Peter said that he was never with Jesus. He said, “I don’t know or understand what you are talking about.” Then Peter left and went toward the entrance of the courtyard. And the rooster crowed.
MRK.14.69	The servant girl saw Peter there, and again she said to the people who were standing nearby, “This man is one of those who followed Jesus.” 
MRK.14.70	Again Peter said that it was not true.
MRK.14.70	A short time later, some people were standing near Peter saying, “Surely you are one of those who followed Jesus, because you are from Galilee, too.”
MRK.14.71	Then Peter began to place a curse on himself and swear, “I don’t know this man you’re talking about!”
MRK.14.72	At once, the rooster crowed the second time. Then Peter remembered what Jesus had told him: 
MRK.15.1	Very early in the morning, the leading priests, the elders, the teachers of the law, and all the Jewish council decided what to do with Jesus. They tied him, led him away, and turned him over to Pilate, the governor.
MRK.15.2	Pilate asked Jesus, “Are you the king of the Jews?”
MRK.15.2	Jesus answered, 
MRK.15.3	The leading priests accused Jesus of many things. 
MRK.15.4	So Pilate asked Jesus another question, “You can see that they are accusing you of many things. Aren’t you going to answer?”
MRK.15.5	But Jesus still said nothing, so Pilate was very surprised.
MRK.15.6	Every year at the time of the Passover the governor would free one prisoner whom the people chose. 
MRK.15.7	At that time, there was a man named Barabbas in prison who was a rebel and had committed murder during a riot. 
MRK.15.8	The crowd came to Pilate and began to ask him to free a prisoner as he always did.
MRK.15.9	So Pilate asked them, “Do you want me to free the king of the Jews?” 
MRK.15.10	Pilate knew that the leading priests had turned Jesus in to him because they were jealous. 
MRK.15.11	But the leading priests had persuaded the people to ask Pilate to free Barabbas, not Jesus.
MRK.15.12	Then Pilate asked the crowd again, “So what should I do with this man you call the king of the Jews?”
MRK.15.13	They shouted, “Crucify him!”
MRK.15.14	Pilate asked, “Why? What wrong has he done?”
MRK.15.14	But they shouted even louder, “Crucify him!”
MRK.15.15	Pilate wanted to please the crowd, so he freed Barabbas for them. After having Jesus beaten with whips, he handed Jesus over to the soldiers to be crucified.
MRK.15.16	The soldiers took Jesus into the governor’s palace (called the Praetorium) and called all the other soldiers together. 
MRK.15.17	They put a purple robe on Jesus and used thorny branches to make a crown for his head. 
MRK.15.18	They began to call out to him, “Hail, King of the Jews!” 
MRK.15.19	The soldiers beat Jesus on the head many times with a stick. They spit on him and made fun of him by bowing on their knees and worshiping him. 
MRK.15.20	After they finished, the soldiers took off the purple robe and put his own clothes on him again. Then they led him out of the palace to be crucified.
MRK.15.21	A man named Simon from Cyrene, the father of Alexander and Rufus, was coming from the fields to the city. The soldiers forced Simon to carry the cross for Jesus. 
MRK.15.22	They led Jesus to the place called Golgotha, which means the Place of the Skull. 
MRK.15.23	The soldiers tried to give Jesus wine mixed with myrrh to drink, but he refused. 
MRK.15.24	The soldiers crucified Jesus and divided his clothes among themselves, throwing lots to decide what each soldier would get.
MRK.15.25	It was nine o’clock in the morning when they crucified Jesus. 
MRK.15.26	There was a sign with this charge against Jesus written on it: 
MRK.15.27	They also put two robbers on crosses beside Jesus, one on the right, and the other on the left. [
MRK.15.28	And the Scripture came true that says, “They put him with criminals.”] 
MRK.15.29	People walked by and insulted Jesus and shook their heads, saying, “You said you could destroy the Temple and build it again in three days. 
MRK.15.30	So save yourself! Come down from that cross!”
MRK.15.31	The leading priests and the teachers of the law were also making fun of Jesus. They said to each other, “He saved other people, but he can’t save himself. 
MRK.15.32	If he is really the Christ, the king of Israel, let him come down now from the cross. When we see this, we will believe in him.” The robbers who were being crucified beside Jesus also insulted him.
MRK.15.33	At noon the whole country became dark, and the darkness lasted for three hours. 
MRK.15.34	At three o’clock Jesus cried in a loud voice, 
MRK.15.35	When some of the people standing there heard this, they said, “Listen! He is calling Elijah.”
MRK.15.36	Someone there ran and got a sponge, filled it with vinegar, tied it to a stick, and gave it to Jesus to drink. He said, “We want to see if Elijah will come to take him down from the cross.”
MRK.15.37	Then Jesus cried in a loud voice and died.
MRK.15.38	The curtain in the Temple was torn into two pieces, from the top to the bottom. 
MRK.15.39	When the army officer who was standing in front of the cross saw what happened when Jesus died, he said, “This man really was the Son of God!”
MRK.15.40	Some women were standing at a distance from the cross, watching; among them were Mary Magdalene, Salome, and Mary the mother of James and Joseph. (James was her youngest son.) 
MRK.15.41	These women had followed Jesus in Galilee and helped him. Many other women were also there who had come with Jesus to Jerusalem.
MRK.15.42	This was Preparation Day. (That means the day before the Sabbath day.) That evening, 
MRK.15.43	Joseph from Arimathea was brave enough to go to Pilate and ask for Jesus’ body. Joseph, an important member of the Jewish council, was one of the people who was waiting for the kingdom of God to come. 
MRK.15.44	Pilate was amazed that Jesus would have already died, so he called the army officer who had guarded Jesus and asked him if Jesus had already died. 
MRK.15.45	The officer told Pilate that he was dead, so Pilate told Joseph he could have the body. 
MRK.15.46	Joseph bought some linen cloth, took the body down from the cross, and wrapped it in the linen. He put the body in a tomb that was cut out of a wall of rock. Then he rolled a very large stone to block the entrance of the tomb. 
MRK.15.47	And Mary Magdalene and Mary the mother of Joseph saw the place where Jesus was laid.
MRK.16.1	The day after the Sabbath day, Mary Magdalene, Mary the mother of James, and Salome bought some sweet-smelling spices to put on Jesus’ body. 
MRK.16.2	Very early on that day, the first day of the week, soon after sunrise, the women were on their way to the tomb. 
MRK.16.3	They said to each other, “Who will roll away for us the stone that covers the entrance of the tomb?”
MRK.16.4	Then the women looked and saw that the stone had already been rolled away, even though it was very large. 
MRK.16.5	The women entered the tomb and saw a young man wearing a white robe and sitting on the right side, and they were afraid.
MRK.16.6	But the man said, “Don’t be afraid. You are looking for Jesus from Nazareth, who has been crucified. He has risen from the dead; he is not here. Look, here is the place they laid him. 
MRK.16.7	Now go and tell his followers and Peter, ‘Jesus is going into Galilee ahead of you, and you will see him there as he told you before.’ ”
MRK.16.8	The women were confused and shaking with fear, so they left the tomb and ran away. They did not tell anyone about what happened, because they were afraid.
MRK.16.8	______________________________
MRK.16.8	Verses 9–20 are not included in some of the earliest surviving Greek copies of Mark.
MRK.16.8	[
MRK.16.9	After Jesus rose from the dead early on the first day of the week, he showed himself first to Mary Magdalene. One time in the past, he had forced seven demons out of her. 
MRK.16.10	After Mary saw Jesus, she went and told his followers, who were very sad and were crying. 
MRK.16.11	But Mary told them that Jesus was alive. She said that she had seen him, but the followers did not believe her.
MRK.16.12	Later, Jesus showed himself to two of his followers while they were walking in the country, but he did not look the same as before. 
MRK.16.13	These followers went back to the others and told them what had happened, but again, the followers did not believe them.
MRK.16.14	Later Jesus showed himself to the eleven apostles while they were eating, and he criticized them because they had no faith. They were stubborn and refused to believe those who had seen him after he had risen from the dead.
MRK.16.15	Jesus said to his followers, 
MRK.16.19	After the Lord Jesus said these things to his followers, he was carried up into heaven, and he sat at the right side of God. 
MRK.16.20	The followers went everywhere in the world and told the Good News to people, and the Lord helped them. The Lord proved that the Good News they told was true by giving them power to work miracles.]
LUK.1.1	Many have tried to report on the things that happened among us. 
LUK.1.2	They have written the same things that we learned from others—the people who saw those things from the beginning and served God by telling people his message. 
LUK.1.3	Since I myself have studied everything carefully from the beginning, most excellent Theophilus, it seemed good for me to write it out for you. I arranged it in order, 
LUK.1.4	to help you know that what you have been taught is true.
LUK.1.5	During the time Herod ruled Judea, there was a priest named Zechariah who belonged to Abijah’s group. Zechariah’s wife, Elizabeth, came from the family of Aaron. 
LUK.1.6	Zechariah and Elizabeth truly did what God said was good. They did everything the Lord commanded and were without fault in keeping his law. 
LUK.1.7	But they had no children, because Elizabeth could not have a baby, and both of them were very old.
LUK.1.8	One day Zechariah was serving as a priest before God, because his group was on duty. 
LUK.1.9	According to the custom of the priests, he was chosen by lot to go into the Temple of the Lord and burn incense. 
LUK.1.10	There were a great many people outside praying at the time the incense was offered. 
LUK.1.11	Then an angel of the Lord appeared to Zechariah, standing on the right side of the incense table. 
LUK.1.12	When he saw the angel, Zechariah was startled and frightened. 
LUK.1.13	But the angel said to him, “Zechariah, don’t be afraid. God has heard your prayer. Your wife, Elizabeth, will give birth to a son, and you will name him John. 
LUK.1.14	He will bring you joy and gladness, and many people will be happy because of his birth. 
LUK.1.15	John will be a great man for the Lord. He will never drink wine or beer, and even from birth, he will be filled with the Holy Spirit. 
LUK.1.16	He will help many people of Israel return to the Lord their God. 
LUK.1.17	He will go before the Lord in spirit and power like Elijah. He will make peace between parents and their children and will bring those who are not obeying God back to the right way of thinking, to make a people ready for the coming of the Lord.”
LUK.1.18	Zechariah said to the angel, “How can I know that what you say is true? I am an old man, and my wife is old, too.”
LUK.1.19	The angel answered him, “I am Gabriel. I stand before God, who sent me to talk to you and to tell you this good news. 
LUK.1.20	Now, listen! You will not be able to speak until the day these things happen, because you did not believe what I told you. But they will really happen.”
LUK.1.21	Outside, the people were still waiting for Zechariah and were surprised that he was staying so long in the Temple. 
LUK.1.22	When Zechariah came outside, he could not speak to them, and they knew he had seen a vision in the Temple. He could only make signs to them and remained unable to speak. 
LUK.1.23	When his time of service at the Temple was finished, he went home.
LUK.1.24	Later, Zechariah’s wife, Elizabeth, became pregnant and did not go out of her house for five months. Elizabeth said, 
LUK.1.25	“Look what the Lord has done for me! My people were ashamed of me, but now the Lord has taken away that shame.”
LUK.1.26	During Elizabeth’s sixth month of pregnancy, God sent the angel Gabriel to Nazareth, a town in Galilee, 
LUK.1.27	to a virgin. She was engaged to marry a man named Joseph from the family of David. Her name was Mary. 
LUK.1.28	The angel came to her and said, “Greetings! The Lord has blessed you and is with you.”
LUK.1.29	But Mary was very startled by what the angel said and wondered what this greeting might mean.
LUK.1.30	The angel said to her, “Don’t be afraid, Mary; God has shown you his grace. 
LUK.1.31	Listen! You will become pregnant and give birth to a son, and you will name him Jesus. 
LUK.1.32	He will be great and will be called the Son of the Most High. The Lord God will give him the throne of King David, his ancestor. 
LUK.1.33	He will rule over the people of Jacob forever, and his kingdom will never end.”
LUK.1.34	Mary said to the angel, “How will this happen since I am a virgin?”
LUK.1.35	The angel said to Mary, “The Holy Spirit will come upon you, and the power of the Most High will cover you. For this reason the baby will be holy and will be called the Son of God. 
LUK.1.36	Now Elizabeth, your relative, is also pregnant with a son though she is very old. Everyone thought she could not have a baby, but she has been pregnant for six months. 
LUK.1.37	God can do anything!”
LUK.1.38	Mary said, “I am the servant of the Lord. Let this happen to me as you say!” Then the angel went away.
LUK.1.39	Mary got up and went quickly to a town in the hills of Judea. 
LUK.1.40	She came to Zechariah’s house and greeted Elizabeth. 
LUK.1.41	When Elizabeth heard Mary’s greeting, the unborn baby inside her jumped, and Elizabeth was filled with the Holy Spirit. 
LUK.1.42	She cried out in a loud voice, “God has blessed you more than any other woman, and he has blessed the baby to which you will give birth. 
LUK.1.43	Why has this good thing happened to me, that the mother of my Lord comes to me? 
LUK.1.44	When I heard your voice, the baby inside me jumped with joy. 
LUK.1.45	You are blessed because you believed that what the Lord said to you would really happen.”
LUK.1.46	Then Mary said,
LUK.1.46	“My soul praises the Lord;
LUK.1.47	my heart rejoices in God my Savior,
LUK.1.48	because he has shown his concern for his humble servant girl.
LUK.1.48	From now on, all people will say that I am blessed,
LUK.1.49	because the Powerful One has done great things for me.
LUK.1.49	His name is holy.
LUK.1.50	God will show his mercy forever and ever
LUK.1.50	to those who worship and serve him.
LUK.1.51	He has done mighty deeds by his power.
LUK.1.51	He has scattered the people who are proud
LUK.1.51	and think great things about themselves.
LUK.1.52	He has brought down rulers from their thrones
LUK.1.52	and raised up the humble.
LUK.1.53	He has filled the hungry with good things
LUK.1.53	and sent the rich away with nothing.
LUK.1.54	He has helped his servant, the people of Israel,
LUK.1.54	remembering to show them mercy
LUK.1.55	as he promised to our ancestors,
LUK.1.55	to Abraham and to his children forever.”
LUK.1.56	Mary stayed with Elizabeth for about three months and then returned home.
LUK.1.57	When it was time for Elizabeth to give birth, she had a boy. 
LUK.1.58	Her neighbors and relatives heard how good the Lord was to her, and they rejoiced with her.
LUK.1.59	When the baby was eight days old, they came to circumcise him. They wanted to name him Zechariah because this was his father’s name, 
LUK.1.60	but his mother said, “No! He will be named John.”
LUK.1.61	The people said to Elizabeth, “But no one in your family has this name.” 
LUK.1.62	Then they made signs to his father to find out what he would like to name him.
LUK.1.63	Zechariah asked for a writing tablet and wrote, “His name is John,” and everyone was surprised. 
LUK.1.64	Immediately Zechariah could talk again, and he began praising God. 
LUK.1.65	All their neighbors became alarmed, and in all the mountains of Judea people continued talking about all these things. 
LUK.1.66	The people who heard about them wondered, saying, “What will this child be?” because the Lord was with him.
LUK.1.67	Then Zechariah, John’s father, was filled with the Holy Spirit and prophesied:
LUK.1.68	“Let us praise the Lord, the God of Israel,
LUK.1.68	because he has come to help his people and has given them freedom.
LUK.1.69	He has given us a powerful Savior
LUK.1.69	from the family of God’s servant David.
LUK.1.70	He said that he would do this
LUK.1.70	through his holy prophets who lived long ago:
LUK.1.71	He promised he would save us from our enemies
LUK.1.71	and from the power of all those who hate us.
LUK.1.72	He said he would give mercy to our ancestors
LUK.1.72	and that he would remember his holy promise.
LUK.1.73	God promised Abraham, our father,
LUK.1.74	that he would save us from the power of our enemies
LUK.1.74	so we could serve him without fear,
LUK.1.75	being holy and good before God as long as we live.
LUK.1.76	“Now you, child, will be called a prophet of the Most High God.
LUK.1.76	You will go before the Lord to prepare his way.
LUK.1.77	You will make his people know that they will be saved
LUK.1.77	by having their sins forgiven.
LUK.1.78	With the loving mercy of our God,
LUK.1.78	a new day from heaven will dawn upon us.
LUK.1.79	It will shine on those who live in darkness,
LUK.1.79	in the shadow of death.
LUK.1.79	It will guide us into the path of peace.”
LUK.1.80	And so the child grew up and became strong in spirit. John lived in the desert until the time when he came out to preach to Israel.
LUK.2.1	At that time, Augustus Caesar sent an order that all people in the countries under Roman rule must list their names in a register. 
LUK.2.2	This was the first registration; it was taken while Quirinius was governor of Syria. 
LUK.2.3	And all went to their own towns to be registered.
LUK.2.4	So Joseph left Nazareth, a town in Galilee, and went to the town of Bethlehem in Judea, known as the town of David. Joseph went there because he was from the family of David. 
LUK.2.5	Joseph registered with Mary, to whom he was engaged and who was now pregnant. 
LUK.2.6	While they were in Bethlehem, the time came for Mary to have the baby, 
LUK.2.7	and she gave birth to her first son. Because there were no rooms left in the inn, she wrapped the baby with pieces of cloth and laid him in a feeding trough.
LUK.2.8	That night, some shepherds were in the fields nearby watching their sheep. 
LUK.2.9	Then an angel of the Lord stood before them. The glory of the Lord was shining around them, and they became very frightened. 
LUK.2.10	The angel said to them, “Do not be afraid. I am bringing you good news that will be a great joy to all the people. 
LUK.2.11	Today your Savior was born in the town of David. He is Christ, the Lord. 
LUK.2.12	This is how you will know him: You will find a baby wrapped in pieces of cloth and lying in a feeding box.”
LUK.2.13	Then a very large group of angels from heaven joined the first angel, praising God and saying:
LUK.2.14	“Give glory to God in heaven,
LUK.2.14	and on earth let there be peace among the people who please God.”
LUK.2.15	When the angels left them and went back to heaven, the shepherds said to each other, “Let’s go to Bethlehem. Let’s see this thing that has happened which the Lord has told us about.”
LUK.2.16	So the shepherds went quickly and found Mary and Joseph and the baby, who was lying in a feeding trough. 
LUK.2.17	When they had seen him, they told what the angels had said about this child. 
LUK.2.18	Everyone was amazed at what the shepherds said to them. 
LUK.2.19	But Mary treasured these things and continued to think about them. 
LUK.2.20	Then the shepherds went back to their sheep, praising God and thanking him for everything they had seen and heard. It had been just as the angel had told them.
LUK.2.21	When the baby was eight days old, he was circumcised and was named Jesus, the name given by the angel before the baby began to grow inside Mary.
LUK.2.22	When the time came for Mary and Joseph to do what the law of Moses taught about being made pure, they took Jesus to Jerusalem to present him to the Lord. 
LUK.2.23	(It is written in the law of the Lord: “Every firstborn male shall be given to the Lord.”) 
LUK.2.24	Mary and Joseph also went to offer a sacrifice, as the law of the Lord says: “You must sacrifice two doves or two young pigeons.”
LUK.2.25	In Jerusalem lived a man named Simeon who was a good man and godly. He was waiting for the time when God would take away Israel’s sorrow, and the Holy Spirit was in him. 
LUK.2.26	Simeon had been told by the Holy Spirit that he would not die before he saw the Christ promised by the Lord. 
LUK.2.27	The Spirit led Simeon to the Temple. When Mary and Joseph brought the baby Jesus to the Temple to do what the law said they must do, 
LUK.2.28	Simeon took the baby in his arms and thanked God:
LUK.2.29	“Now, Lord, you can let me, your servant,
LUK.2.29	die in peace as you said.
LUK.2.30	With my own eyes I have seen your salvation,
LUK.2.31	which you prepared before all people.
LUK.2.32	It is a light for the non-Jewish people to see
LUK.2.32	and an honor for your people, the Israelites.”
LUK.2.33	Jesus’ father and mother were amazed at what Simeon had said about him. 
LUK.2.34	Then Simeon blessed them and said to Mary, “God has chosen this child to cause the fall and rise of many in Israel. He will be a sign from God that many people will not accept 
LUK.2.35	so that the thoughts of many will be made known. And the things that will happen will make your heart sad, too.”
LUK.2.36	There was a prophetess, Anna, from the family of Phanuel in the tribe of Asher. Anna was very old. She had once been married for seven years. 
LUK.2.37	Then her husband died, and she was a widow for eighty-four years. Anna never left the Temple but worshiped God, going without food and praying day and night. 
LUK.2.38	Standing there at that time, she thanked God and spoke about Jesus to all who were waiting for God to free Jerusalem.
LUK.2.39	When Joseph and Mary had done everything the law of the Lord commanded, they went home to Nazareth, their own town in Galilee. 
LUK.2.40	The little child grew and became strong. He was filled with wisdom, and God’s goodness was upon him.
LUK.2.41	Every year Jesus’ parents went to Jerusalem for the Passover Feast. 
