GEN.1.1	In the beginning, God
DAN.7.12	As for the rest of the animals, their dominion was taken away; yet their lives were prolonged for a season and a time.
DAN.7.13	“I saw in the night visions, and behold, there came with the clouds of the sky one like a son of man, and he came even to the ancient of days, and they brought him near before him. 
DAN.7.14	Dominion was given him, and glory, and a kingdom, that all the peoples, nations, and languages should serve him. His dominion is an everlasting dominion, which will not pass away, and his kingdom one that which will not be destroyed.
DAN.7.15	“As for me, Daniel, my spirit was grieved within my body, and the visions of my head troubled me. 
DAN.7.16	I came near to one of those who stood by, and asked him the truth concerning all this.
DAN.7.16	“So he told me, and made me know the interpretation of the things. 
DAN.7.17	‘These great animals, which are four, are four kings, who will arise out of the earth. 
DAN.7.18	But the saints of the Most High will receive the kingdom, and possess the kingdom forever, even forever and ever.’
DAN.7.19	“Then I desired to know the truth concerning the fourth animal, which was different from all of them, exceedingly terrible, whose teeth were of iron, and its nails of bronze; which devoured, broke in pieces, and stamped the residue with its feet; 
DAN.7.20	and concerning the ten horns that were on its head, and the other horn which came up, and before which three fell, even that horn that had eyes, and a mouth that spoke great things, whose look was more stout than its fellows. 
DAN.7.21	I saw, and the same horn made war with the saints, and prevailed against them, 
DAN.7.22	until the ancient of days came, and judgement was given to the saints of the Most High, and the time came that the saints possessed the kingdom.
DAN.7.23	“So he said, ‘The fourth animal will be a fourth kingdom on earth, which will be different from all the kingdoms, and will devour the whole earth, and will tread it down, and break it in pieces. 
DAN.7.24	As for the ten horns, ten kings will arise out of this kingdom. Another will arise after them; and he will be different from the former, and he will put down three kings. 
DAN.7.25	He will speak words against the Most High, and will wear out the saints of the Most High. He will plan to change the times and the law; and they will be given into his hand until a time and times and half a time.
DAN.7.26	“‘But the judgement will be set, and they will take away his dominion, to consume and to destroy it to the end. 
DAN.7.27	The kingdom and the dominion, and the greatness of the kingdoms under the whole sky, will be given to the people of the saints of the Most High. His kingdom is an everlasting kingdom, and all dominions will serve and obey him.’
DAN.7.28	“Here is the end of the matter. As for me, Daniel, my thoughts troubled me greatly, and my face was changed in me; but I kept the matter in my heart.”
DAN.8.1	In the third year of the reign of king Belshazzar, a vision appeared to me, even to me, Daniel, after that which appeared to me at the first. 
DAN.8.2	I saw the vision. Now it was so, that when I saw, I was in the citadel of Susa, which is in the province of Elam. I saw in the vision, and I was by the river Ulai. 
DAN.8.3	Then I lifted up my eyes, and saw, and behold, there stood before the river a ram which had two horns. The two horns were high; but one was higher than the other, and the higher came up last. 
DAN.8.4	I saw the ram pushing westward, northward, and southward. No animals could stand before him. There wasn’t any who could deliver out of his hand; but he did according to his will, and magnified himself.
DAN.8.5	As I was considering, behold, a male goat came from the west over the surface of the whole earth, and didn’t touch the ground. The goat had a notable horn between his eyes. 
DAN.8.6	He came to the ram that had the two horns, which I saw standing before the river, and ran on him in the fury of his power. 
DAN.8.7	I saw him come close to the ram, and he was moved with anger against him, and struck the ram, and broke his two horns. There was no power in the ram to stand before him; but he cast him down to the ground, and trampled on him. There was no one who could deliver the ram out of his hand. 
DAN.8.8	The male goat magnified himself exceedingly. When he was strong, the great horn was broken; and instead of it there came up four notable horns towards the four winds of the sky.
DAN.8.9	Out of one of them came out a little horn, which grew exceedingly great, towards the south, and towards the east, and towards the glorious land. 
DAN.8.10	It grew great, even to the army of the sky; and it cast down some of the army and of the stars to the ground, and trampled on them. 
DAN.8.11	Yes, it magnified itself, even to the prince of the army; and it took away from him the continual burnt offering, and the place of his sanctuary was cast down. 
DAN.8.12	The army was given over to it together with the continual burnt offering through disobedience. It cast down truth to the ground, and it did its pleasure and prospered.
DAN.8.13	Then I heard a holy one speaking; and another holy one said to that certain one who spoke, “How long will the vision about the continual burnt offering, and the disobedience that makes desolate, to give both the sanctuary and the army to be trodden under foot be?”
DAN.8.14	He said to me, “To two thousand and three hundred evenings and mornings. Then the sanctuary will be cleansed.”
DAN.8.15	When I, even I Daniel, had seen the vision, I sought to understand it. Then behold, there stood before me something like the appearance of a man. 
DAN.8.16	I heard a man’s voice between the banks of the Ulai, which called, and said, “Gabriel, make this man understand the vision.”
DAN.8.17	So he came near where I stood; and when he came, I was frightened, and fell on my face; but he said to me, “Understand, son of man; for the vision belongs to the time of the end.”
DAN.8.18	Now as he was speaking with me, I fell into a deep sleep with my face towards the ground; but he touched me, and set me upright.
DAN.8.19	He said, “Behold, I will make you know what will be in the latter time of the indignation; for it belongs to the appointed time of the end. 
DAN.8.20	The ram which you saw, that had the two horns, they are the kings of Media and Persia. 
DAN.8.21	The rough male goat is the king of Greece. The great horn that is between his eyes is the first king. 
DAN.8.22	As for that which was broken, in the place where four stood up, four kingdoms will stand up out of the nation, but not with his power.
DAN.8.23	“In the latter time of their kingdom, when the transgressors have come to the full, a king of fierce face, and understanding dark sentences, will stand up. 
DAN.8.24	His power will be mighty, but not by his own power. He will destroy awesomely, and will prosper in what he does. He will destroy the mighty ones and the holy people. 
DAN.8.25	Through his policy he will cause deceit to prosper in his hand. He will magnify himself in his heart, and he will destroy many in their security. He will also stand up against the prince of princes; but he will be broken without hand.
DAN.8.26	“The vision of the evenings and mornings which has been told is true; but seal up the vision, for it belongs to many days to come.”
DAN.8.27	I, Daniel, fainted, and was sick for some days. Then I rose up, and did the king’s business. I wondered at the vision, but no one understood it.
DAN.9.1	In the first year of Darius the son of Ahasuerus, of the offspring of the Medes, who was made king over the realm of the Chaldeans, 
DAN.9.2	in the first year of his reign I, Daniel, understood by the books the number of the years about which the 
DAN.9.3	I set my face to the Lord God, to seek by prayer and petitions, with fasting and sackcloth and ashes.
DAN.9.4	I prayed to the 
DAN.9.4	“Oh, Lord, the great and dreadful God, who keeps covenant and loving kindness with those who love him and keep his commandments, 
DAN.9.5	we have sinned, and have dealt perversely, and have done wickedly, and have rebelled, even turning aside from your precepts and from your ordinances. 
DAN.9.6	We haven’t listened to your servants the prophets, who spoke in your name to our kings, our princes, and our fathers, and to all the people of the land.
DAN.9.7	“Lord, righteousness belongs to you, but to us confusion of face, as it is today; to the men of Judah, and to the inhabitants of Jerusalem, and to all Israel, who are near, and who are far off, through all the countries where you have driven them, because of their trespass that they have trespassed against you. 
DAN.9.8	Lord, to us belongs confusion of face, to our kings, to our princes, and to our fathers, because we have sinned against you. 
DAN.9.9	To the Lord our God belong mercies and forgiveness; for we have rebelled against him. 
DAN.9.10	We haven’t obeyed the 
DAN.9.11	Yes, all Israel have transgressed your law, turning aside, that they should not obey your voice.
DAN.9.11	“Therefore the curse and the oath written in the law of Moses the servant of God has been poured out on us; for we have sinned against him. 
DAN.9.12	He has confirmed his words, which he spoke against us, and against our judges who judged us, by bringing on us a great evil; for under the whole sky, such has not been done as has been done to Jerusalem. 
DAN.9.13	As it is written in the law of Moses, all this evil has come on us. Yet we have not entreated the favour of the 
DAN.9.14	Therefore the 
DAN.9.15	“Now, Lord our God, who has brought your people out of the land of Egypt with a mighty hand, and have gotten yourself renown, as it is today; we have sinned. We have done wickedly. 
DAN.9.16	Lord, according to all your righteousness, please let your anger and your wrath be turned away from your city Jerusalem, your holy mountain; because for our sins, and for the iniquities of our fathers, Jerusalem and your people have become a reproach to all who are around us.
DAN.9.17	“Now therefore, our God, listen to the prayer of your servant, and to his petitions, and cause your face to shine on your sanctuary that is desolate, for the Lord’s sake. 
DAN.9.18	My God, turn your ear, and hear. Open your eyes, and see our desolations, and the city which is called by your name; for we do not present our petitions before you for our righteousness, but for your great mercies’ sake. 
DAN.9.19	Lord, hear. Lord, forgive. Lord, listen and do. Don’t defer, for your own sake, my God, because your city and your people are called by your name.”
DAN.9.20	While I was speaking, praying, and confessing my sin and the sin of my people Israel, and presenting my supplication before the 
DAN.9.21	yes, while I was speaking in prayer, the man Gabriel, whom I had seen in the vision at the beginning, being caused to fly swiftly, touched me about the time of the evening offering. 
DAN.9.22	He instructed me and talked with me, and said, “Daniel, I have now come to give you wisdom and understanding. 
DAN.9.23	At the beginning of your petitions the commandment went out, and I have come to tell you; for you are greatly beloved. Therefore consider the matter, and understand the vision.
DAN.9.24	“Seventy weeks are decreed on your people and on your holy city, to finish disobedience, and to make an end of sins, and to make reconciliation for iniquity, and to bring in everlasting righteousness, and to seal up vision and prophecy, and to anoint the most holy.
DAN.9.25	“Know therefore and discern that from the going out of the commandment to restore and to build Jerusalem to the Anointed One,
DAN.9.26	After the sixty-two weeks the Anointed One
DAN.9.27	He will make a firm covenant with many for one week. In the middle of the week he will cause the sacrifice and the offering to cease. On the wing of abominations will come one who makes desolate; and even to the full end, and that determined, wrath will be poured out on the desolate.”
DAN.10.1	In the third year of Cyrus king of Persia a thing was revealed to Daniel, whose name was called Belteshazzar; and the thing was true, even a great warfare. He understood the thing, and had understanding of the vision.
DAN.10.2	In those days I, Daniel, was mourning three whole weeks. 
DAN.10.3	I ate no pleasant bread. No meat or wine came into my mouth. I didn’t anoint myself at all, until three whole weeks were fulfilled.
DAN.10.4	In the twenty-fourth day of the first month, as I was by the side of the great river, which is Hiddekel, 
DAN.10.5	I lifted up my eyes, and looked, and behold, there was a man clothed in linen, whose thighs were adorned with pure gold of Uphaz. 
DAN.10.6	His body also was like beryl, and his face as the appearance of lightning, and his eyes as flaming torches. His arms and his feet were like burnished bronze. The voice of his words was like the voice of a multitude.
DAN.10.7	I, Daniel, alone saw the vision; for the men who were with me didn’t see the vision; but a great quaking fell on them, and they fled to hide themselves. 
DAN.10.8	So I was left alone, and saw this great vision. No strength remained in me; for my face grew deathly pale, and I retained no strength. 
DAN.10.9	Yet I heard the voice of his words. When I heard the voice of his words, then I fell into a deep sleep on my face, with my face towards the ground.
DAN.10.10	Behold, a hand touched me, which set me on my knees and on the palms of my hands. 
DAN.10.11	He said to me, “Daniel, you greatly beloved man, understand the words that I speak to you, and stand upright; for I have been sent to you, now.” When he had spoken this word to me, I stood trembling.
DAN.10.12	Then he said to me, “Don’t be afraid, Daniel; for from the first day that you set your heart to understand, and to humble yourself before your God, your words were heard. I have come for your words’ sake. 
DAN.10.13	But the prince of the kingdom of Persia withstood me twenty-one days; but, behold, Michael, one of the chief princes, came to help me because I remained there with the kings of Persia. 
DAN.10.14	Now I have come to make you understand what will happen to your people in the latter days; for the vision is yet for many days.”
DAN.10.15	When he had spoken these words to me, I set my face towards the ground, and was mute. 
DAN.10.16	Behold, one in the likeness of the sons of men touched my lips. Then I opened my mouth, and spoke and said to him who stood before me, “My lord, by reason of the vision my sorrows have overtaken me, and I retain no strength. 
DAN.10.17	For how can the servant of this my lord talk with this my lord? For as for me, immediately there remained no strength in me. There was no breath left in me.”
DAN.10.18	Then one like the appearance of a man touched me again, and he strengthened me. 
DAN.10.19	He said, “Greatly beloved man, don’t be afraid. Peace be to you. Be strong. Yes, be strong.”
DAN.10.19	When he spoke to me, I was strengthened, and said, “Let my lord speak; for you have strengthened me.”
DAN.10.20	Then he said, “Do you know why I have come to you? Now I will return to fight with the prince of Persia. When I go out, behold, the prince of Greece will come. 
DAN.10.21	But I will tell you that which is inscribed in the writing of truth. There is no one who holds with me against these, but Michael your prince.
DAN.11.1	“As for me, in the first year of Darius the Mede, I stood up to confirm and strengthen him.
DAN.11.2	“Now I will show you the truth. Behold, three more kings will stand up in Persia; and the fourth will be far richer than all of them. When he has grown strong through his riches, he will stir up all against the realm of Greece. 
DAN.11.3	A mighty king will stand up, who will rule with great dominion, and do according to his will. 
DAN.11.4	When he stands up, his kingdom will be broken, and will be divided towards the four winds of the sky, but not to his posterity, nor according to his dominion with which he ruled; for his kingdom will be plucked up, even for others besides these.
DAN.11.5	“The king of the south will be strong. One of his princes will become stronger than him, and have dominion. His dominion will be a great dominion. 
DAN.11.6	At the end of years they will join themselves together; and the daughter of the king of the south will come to the king of the north to make an agreement; but she will not retain the strength of her arm. He will also not stand, nor will his arm; but she will be given up, with those who brought her, and he who became the father of her, and he who strengthened her in those times.
DAN.11.7	“But out of a shoot from her roots one will stand up in his place, who will come to the army, and will enter into the fortress of the king of the north, and will deal against them, and will prevail. 
DAN.11.8	He will also carry their gods, with their molten images, and with their goodly vessels of silver and of gold, captive into Egypt. He will refrain some years from the king of the north. 
DAN.11.9	He will come into the realm of the king of the south, but he will return into his own land. 
DAN.11.10	His sons will wage war, and will assemble a multitude of great forces, which will come on, and overflow, and pass through. They will return and wage war, even to his fortress.
DAN.11.11	“The king of the south will be moved with anger, and will come out and fight with him, even with the king of the north. He will send out a great multitude, and the multitude will be given into his hand. 
DAN.11.12	The multitude will be lifted up, and his heart will be exalted. He will cast down tens of thousands, but he won’t prevail. 
DAN.11.13	The king of the north will return, and will send out a multitude greater than the former. He will come on at the end of the times, even of years, with a great army and with much substance.
DAN.11.14	“In those times many will stand up against the king of the south. Also the children of the violent amongst your people will lift themselves up to establish the vision; but they will fall. 
DAN.11.15	So the king of the north will come and cast up a mound, and take a well-fortified city. The forces of the south won’t stand, neither will his chosen people, neither will there be any strength to stand. 
DAN.11.16	But he who comes against him will do according to his own will, and no one will stand before him. He will stand in the glorious land, and destruction will be in his hand. 
DAN.11.17	He will set his face to come with the strength of his whole kingdom, and with him equitable conditions. He will perform them. He will give him the daughter of women, to corrupt her; but she will not stand, and won’t be for him. 
DAN.11.18	After this he will turn his face to the islands, and will take many; but a prince will cause the reproach offered by him to cease. Yes, moreover, he will cause his reproach to turn on him. 
DAN.11.19	Then he will turn his face towards the fortresses of his own land; but he will stumble and fall, and won’t be found.
DAN.11.20	“Then one who will cause a tax collector to pass through the kingdom to maintain its glory will stand up in his place; but within few days he shall be destroyed, not in anger, and not in battle.
DAN.11.21	“In his place a contemptible person will stand up, to whom they had not given the honour of the kingdom; but he will come in time of security, and will obtain the kingdom by flatteries. 
DAN.11.22	The overwhelming forces will be overwhelmed from before him, and will be broken. Yes, also the prince of the covenant. 
DAN.11.23	After the treaty made with him he will work deceitfully; for he will come up, and will become strong, with a small people. 
DAN.11.24	In time of security he will come even on the fattest places of the province. He will do that which his fathers have not done, nor his fathers’ fathers. He will scatter amongst them prey, plunder, and substance. Yes, he will devise his plans against the strongholds, even for a time.
DAN.11.25	“He will stir up his power and his courage against the king of the south with a great army; and the king of the south will wage war in battle with an exceedingly great and mighty army; but he won’t stand; for they will devise plans against him. 
DAN.11.26	Yes, those who eat of his dainties will destroy him, and his army will be swept away. Many will fall down slain. 
DAN.11.27	As for both these kings, their hearts will be to do mischief, and they will speak lies at one table; but it won’t prosper, for the end will still be at the appointed time. 
DAN.11.28	Then he will return into his land with great wealth. His heart will be against the holy covenant. He will take action, and return to his own land.
DAN.11.29	“He will return at the appointed time, and come into the south; but it won’t be in the latter time as it was in the former. 
DAN.11.30	For ships of Kittim will come against him. Therefore he will be grieved, and will return, and have indignation against the holy covenant, and will take action. He will even return, and have regard to those who forsake the holy covenant.
DAN.11.31	“Forces will stand on his part, and they will profane the sanctuary, even the fortress, and will take away the continual burnt offering. Then they will set up the abomination that makes desolate. 
DAN.11.32	He will corrupt those who do wickedly against the covenant by flatteries; but the people who know their God will be strong, and take action.
DAN.11.33	“Those who are wise amongst the people will instruct many; yet they will fall by the sword and by flame, by captivity and by plunder, many days. 
DAN.11.34	Now when they fall, they will be helped with a little help; but many will join themselves to them with flatteries. 
DAN.11.35	Some of those who are wise will fall, to refine them, and to purify, and to make them white, even to the time of the end; because it is yet for the time appointed.
DAN.11.36	“The king will do according to his will. He will exalt himself, and magnify himself above every god, and will speak marvellous things against the God of gods. He will prosper until the indignation is accomplished; for that which is determined will be done. 
DAN.11.37	He won’t regard the gods of his fathers, or the desire of women, or regard any god; for he will magnify himself above all. 
DAN.11.38	But in his place he will honour the god of fortresses. He will honour a god whom his fathers didn’t know with gold, silver, and with precious stones and pleasant things. 
DAN.11.39	He will deal with the strongest fortresses by the help of a foreign god. He will increase with glory whoever acknowledges him. He will cause them to rule over many, and will divide the land for a price.
DAN.11.40	“At the time of the end the king of the south will contend with him; and the king of the north will come against him like a whirlwind, with chariots, with horsemen, and with many ships. He will enter into the countries, and will overflow and pass through. 
DAN.11.41	He will enter also into the glorious land, and many countries will be overthrown; but these will be delivered out of his hand: Edom, Moab, and the chief of the children of Ammon. 
DAN.11.42	He will also stretch out his hand on the countries. The land of Egypt won’t escape. 
DAN.11.43	But he will have power over the treasures of gold and of silver, and over all the precious things of Egypt. The Libyans and the Ethiopians will be at his steps. 
DAN.11.44	But news out of the east and out of the north will trouble him; and he will go out with great fury to destroy and utterly to sweep away many. 
DAN.11.45	He will plant the tents of his palace between the sea and the glorious holy mountain; yet he will come to his end, and no one will help him.
DAN.12.1	“At that time Michael will stand up, the great prince who stands for the children of your people; and there will be a time of trouble, such as never was since there was a nation even to that same time. At that time your people will be delivered, everyone who is found written in the book. 
DAN.12.2	Many of those who sleep in the dust of the earth will awake, some to everlasting life, and some to shame and everlasting contempt. 
DAN.12.3	Those who are wise will shine as the brightness of the expanse. Those who turn many to righteousness will shine as the stars forever and ever. 
DAN.12.4	But you, Daniel, shut up the words, and seal the book, even to the time of the end. Many will run back and forth, and knowledge will be increased.”
DAN.12.5	Then I, Daniel, looked, and behold, two others stood, one on the river bank on this side, and the other on the river bank on that side. 
DAN.12.6	One said to the man clothed in linen, who was above the waters of the river, “How long will it be to the end of these wonders?”
DAN.12.7	I heard the man clothed in linen, who was above the waters of the river, when he held up his right hand and his left hand to heaven, and swore by him who lives forever that it will be for a time, times, and a half; and when they have finished breaking in pieces the power of the holy people, all these things will be finished.
DAN.12.8	I heard, but I didn’t understand. Then I said, “My lord, what will be the outcome of these things?”
DAN.12.9	He said, “Go your way, Daniel; for the words are shut up and sealed until the time of the end. 
DAN.12.10	Many will purify themselves, and make themselves white, and be refined; but the wicked will do wickedly; and none of the wicked will understand; but those who are wise will understand.
DAN.12.11	“From the time that the continual burnt offering is taken away, and the abomination that makes desolate set up, there will be one thousand and two hundred and ninety days. 
DAN.12.12	Blessed is he who waits, and comes to the one thousand and three hundred and thirty-five days.
DAN.12.13	“But go your way until the end; for you will rest, and will stand in your inheritance at the end of the days.”
HOS.1.1	The 
HOS.1.2	When the 
HOS.1.3	So he went and took Gomer the daughter of Diblaim; and she conceived, and bore him a son.
HOS.1.4	The 
HOS.1.5	It will happen in that day that I will break the bow of Israel in the valley of Jezreel.”
HOS.1.6	She conceived again, and bore a daughter.
HOS.1.6	Then he said to him, “Call her name Lo-Ruhamah
HOS.1.7	But I will have mercy on the house of Judah, and will save them by the 
HOS.1.8	Now when she had weaned Lo-Ruhamah, she conceived, and bore a son.
HOS.1.9	He said, “Call his name Lo-Ammi
HOS.1.10	Yet the number of the children of Israel will be as the sand of the sea, which can’t be measured or counted; and it will come to pass that, in the place where it was said to them, ‘You are not my people,’ they will be called ‘sons of the living God.’ 
HOS.1.11	The children of Judah and the children of Israel will be gathered together, and they will appoint themselves one head, and will go up from the land; for great will be the day of Jezreel.
HOS.2.1	“Say to your brothers, ‘My people!’
HOS.2.1	and to your sisters, ‘My loved one!’
HOS.2.2	Contend with your mother!
HOS.2.2	Contend, for she is not my wife,
HOS.2.2	neither am I her husband;
HOS.2.2	and let her put away her prostitution from her face,
HOS.2.2	and her adulteries from between her breasts;
HOS.2.3	Lest I strip her naked,
HOS.2.3	and make her bare as in the day that she was born,
HOS.2.3	and make her like a wilderness,
HOS.2.3	and set her like a dry land,
HOS.2.3	and kill her with thirst.
HOS.2.4	Indeed, on her children I will have no mercy;
HOS.2.4	for they are children of unfaithfulness;
HOS.2.5	For their mother has played the prostitute.
HOS.2.5	She who conceived them has done shamefully;
HOS.2.5	for she said, ‘I will go after my lovers,
HOS.2.5	who give me my bread and my water,
HOS.2.5	my wool and my flax,
HOS.2.5	my oil and my drink.’
HOS.2.6	Therefore behold,
HOS.2.6	and I will build a wall against her,
HOS.2.6	that she can’t find her way.
HOS.2.7	She will follow after her lovers,
HOS.2.7	but she won’t overtake them;
HOS.2.7	and she will seek them,
HOS.2.7	but won’t find them.
HOS.2.7	Then she will say, ‘I will go and return to my first husband;
HOS.2.7	for then it was better with me than now.’
HOS.2.8	For she didn’t know that I gave her the grain, the new wine, and the oil,
HOS.2.8	and multiplied to her silver and gold, which they used for Baal.
HOS.2.9	Therefore I will take back my grain in its time,
HOS.2.9	and my new wine in its season,
HOS.2.9	and will pluck away my wool and my flax which should have covered her nakedness.
HOS.2.10	Now I will uncover her lewdness in the sight of her lovers,
HOS.2.10	and no one will deliver her out of my hand.
HOS.2.11	I will also cause all her celebrations to cease:
HOS.2.11	her feasts, her new moons, her Sabbaths, and all her solemn assemblies.
HOS.2.12	I will lay waste her vines and her fig trees,
HOS.2.12	about which she has said, ‘These are my wages that my lovers have given me;
HOS.2.12	and I will make them a forest,’
HOS.2.12	and the animals of the field shall eat them.
HOS.2.13	I will visit on her the days of the Baals,
HOS.2.13	to which she burnt incense,
HOS.2.13	when she decked herself with her earrings and her jewels,
HOS.2.13	and went after her lovers,
HOS.2.13	and forgot me,” says the 
HOS.2.14	“Therefore behold, I will allure her,
HOS.2.14	and bring her into the wilderness,
HOS.2.14	and speak tenderly to her.
HOS.2.15	I will give her vineyards from there,
HOS.2.15	and the valley of Achor for a door of hope;
HOS.2.15	and she will respond there,
HOS.2.15	as in the days of her youth,
HOS.2.15	and as in the day when she came up out of the land of Egypt.
HOS.2.16	It will be in that day,” says the 
HOS.2.16	“that you will call me ‘my husband,’
HOS.2.16	and no longer call me ‘my master.’
HOS.2.17	For I will take away the names of the Baals out of her mouth,
HOS.2.17	and they will no longer be mentioned by name.
HOS.2.18	In that day I will make a covenant for them with the animals of the field,
HOS.2.18	and with the birds of the sky,
HOS.2.18	and with the creeping things of the ground.
HOS.2.18	I will break the bow, the sword, and the battle out of the land,
HOS.2.18	and will make them lie down safely.
HOS.2.19	I will betroth you to me forever.
HOS.2.19	Yes, I will betroth you to me in righteousness, in justice, in loving kindness, and in compassion.
HOS.2.20	I will even betroth you to me in faithfulness;
HOS.2.20	and you shall know the 
HOS.2.21	It will happen in that day, I will respond,” says the 
HOS.2.21	“I will respond to the heavens,
HOS.2.21	and they will respond to the earth;
HOS.2.22	and the earth will respond to the grain, and the new wine, and the oil;
HOS.2.22	and they will respond to Jezreel.
HOS.2.23	I will sow her to me in the earth;
HOS.2.23	and I will have mercy on her who had not obtained mercy;
HOS.2.23	and I will tell those who were not my people, ‘You are my people;’
HOS.2.23	and they will say, ‘My God!’”
HOS.3.1	The 
HOS.3.2	So I bought her for myself for fifteen pieces of silver and a homer
HOS.3.3	I said to her, “You shall stay with me many days. You shall not play the prostitute, and you shall not be with any other man. I will also be so towards you.”
HOS.3.4	For the children of Israel shall live many days without king, and without prince, and without sacrifice, and without sacred stone, and without ephod or idols. 
HOS.3.5	Afterward the children of Israel shall return, and seek the 
HOS.4.1	Hear the 
HOS.4.1	for the 
HOS.4.1	“Indeed there is no truth,
HOS.4.1	nor goodness,
HOS.4.1	nor knowledge of God in the land.
HOS.4.2	There is cursing, lying, murder, stealing, and committing adultery;
HOS.4.2	they break boundaries, and bloodshed causes bloodshed.
HOS.4.3	Therefore the land will mourn,
HOS.4.3	and everyone who dwells in it will waste away,
HOS.4.3	with all living things in her,
HOS.4.3	even the animals of the field and the birds of the sky;
HOS.4.3	yes, the fish of the sea also die.
HOS.4.4	“Yet let no man bring a charge, neither let any man accuse; for your people are like those who bring charges against a priest.
HOS.4.5	You will stumble in the day,
HOS.4.5	and the prophet will also stumble with you in the night;
HOS.4.5	and I will destroy your mother.
HOS.4.6	My people are destroyed for lack of knowledge.
HOS.4.6	Because you have rejected knowledge, I will also reject you,
HOS.4.6	that you may be no priest to me.
HOS.4.6	Because you have forgotten your God’s law,
HOS.4.6	I will also forget your children.
HOS.4.7	As they were multiplied, so they sinned against me.
HOS.4.7	I will change their glory into shame.
HOS.4.8	They feed on the sin of my people,
HOS.4.8	and set their heart on their iniquity.
HOS.4.9	It will be, like people, like priest;
HOS.4.9	and I will punish them for their ways,
HOS.4.9	and will repay them for their deeds.
HOS.4.10	They will eat, and not have enough.
HOS.4.10	They will play the prostitute, and will not increase;
HOS.4.10	because they have abandoned giving to the 
HOS.4.11	Prostitution, wine, and new wine take away understanding.
HOS.4.12	My people consult with their wooden idol,
HOS.4.12	and answer to a stick of wood.
HOS.4.12	Indeed the spirit of prostitution has led them astray,
HOS.4.12	and they have been unfaithful to their God.
HOS.4.13	They sacrifice on the tops of the mountains,
HOS.4.13	and burn incense on the hills, under oaks and poplars and terebinths,
HOS.4.13	because its shade is good.
HOS.4.13	Therefore your daughters play the prostitute,
HOS.4.13	and your brides commit adultery.
HOS.4.14	I will not punish your daughters when they play the prostitute,
HOS.4.14	nor your brides when they commit adultery;
HOS.4.14	because the men consort with prostitutes,
HOS.4.14	and they sacrifice with the shrine prostitutes;
HOS.4.14	so the people without understanding will come to ruin.
HOS.4.15	“Though you, Israel, play the prostitute,
HOS.4.15	yet don’t let Judah offend;
HOS.4.15	and don’t come to Gilgal,
HOS.4.15	neither go up to Beth Aven,
HOS.4.15	nor swear, ‘As the 
HOS.4.16	For Israel has behaved extremely stubbornly, like a stubborn heifer.
HOS.4.16	Then how will the 
HOS.4.17	Ephraim is joined to idols.
HOS.4.17	Leave him alone!
HOS.4.18	Their drink has become sour.
HOS.4.18	They play the prostitute continually.
HOS.4.18	Her rulers dearly love their shameful way.
HOS.4.19	The wind has wrapped her up in its wings;
HOS.4.19	and they shall be disappointed because of their sacrifices.
HOS.5.1	“Listen to this, you priests!
HOS.5.1	Listen, house of Israel,
HOS.5.1	and give ear, house of the king!
HOS.5.1	For the judgement is against you;
HOS.5.1	for you have been a snare at Mizpah,
HOS.5.1	and a net spread on Tabor.
HOS.5.2	The rebels are deep in slaughter;
HOS.5.2	but I discipline all of them.
HOS.5.3	I know Ephraim,
HOS.5.3	and Israel is not hidden from me;
HOS.5.3	for now, Ephraim, you have played the prostitute.
HOS.5.3	Israel is defiled.
HOS.5.4	Their deeds won’t allow them to turn to their God;
HOS.5.4	for the spirit of prostitution is within them,
HOS.5.4	and they don’t know the 
HOS.5.5	The pride of Israel testifies to his face.
HOS.5.5	Therefore Israel and Ephraim will stumble in their iniquity.
HOS.5.5	Judah also will stumble with them.
HOS.5.6	They will go with their flocks and with their herds to seek the 
HOS.5.6	but they won’t find him.
HOS.5.6	He has withdrawn himself from them.
HOS.5.7	They are unfaithful to the 
HOS.5.7	for they have borne illegitimate children.
HOS.5.7	Now the new moon will devour them with their fields.
HOS.5.8	“Blow the cornet in Gibeah,
HOS.5.8	and the trumpet in Ramah!
HOS.5.8	Sound a battle cry at Beth Aven, behind you, Benjamin!
HOS.5.9	Ephraim will become a desolation in the day of rebuke.
HOS.5.9	Amongst the tribes of Israel, I have made known that which will surely be.
HOS.5.10	The princes of Judah are like those who remove a landmark.
HOS.5.10	I will pour out my wrath on them like water.
HOS.5.11	Ephraim is oppressed,
HOS.5.11	he is crushed in judgement;
HOS.5.11	Because he is intent in his pursuit of idols.
HOS.5.12	Therefore I am to Ephraim like a moth,
HOS.5.12	and to the house of Judah like rottenness.
HOS.5.13	“When Ephraim saw his sickness,
HOS.5.13	and Judah his wound,
HOS.5.13	Then Ephraim went to Assyria,
HOS.5.13	and sent to king Jareb:
HOS.5.13	but he is not able to heal you,
HOS.5.13	neither will he cure you of your wound.
HOS.5.14	For I will be to Ephraim like a lion,
HOS.5.14	and like a young lion to the house of Judah.
HOS.5.14	I myself will tear in pieces and go away.
HOS.5.14	I will carry off, and there will be no one to deliver.
HOS.5.15	I will go and return to my place,
HOS.5.15	until they acknowledge their offence,
HOS.5.15	and seek my face.
HOS.5.15	In their affliction they will seek me earnestly.”
HOS.6.1	“Come! Let’s return to the 
HOS.6.1	for he has torn us to pieces,
HOS.6.1	and he will heal us;
HOS.6.1	he has injured us,
HOS.6.1	and he will bind up our wounds.
HOS.6.2	After two days he will revive us.
HOS.6.2	On the third day he will raise us up,
HOS.6.2	and we will live before him.
