LKA.1.1	Many have undertaken to draw up an account of the things that have been fulfilled
JHN.7.36	What did he mean when he said, 
JHN.7.37	On the last and greatest day of the festival, Jesus stood and said in a loud voice, 
JHN.7.39	By this he meant the Spirit, whom those who believed in him were later to receive. Up to that time the Spirit had not been given, since Jesus had not yet been glorified.
JHN.7.40	On hearing his words, some of the people said, “Surely this man is the Prophet.”
JHN.7.41	Others said, “He is the Messiah.”
JHN.7.41	Still others asked, “How can the Messiah come from Galilee? 
JHN.7.42	Does not Scripture say that the Messiah will come from Davidʼs descendants and from Bethlehem, the town where David lived?” 
JHN.7.43	Thus the people were divided because of Jesus. 
JHN.7.44	Some wanted to seize him, but no one laid a hand on him.
JHN.7.45	Finally the temple guards went back to the chief priests and the Pharisees, who asked them, “Why didnʼt you bring him in?”
JHN.7.46	“No one ever spoke the way this man does,” the guards replied.
JHN.7.47	“You mean he has deceived you also?” the Pharisees retorted. 
JHN.7.48	“Have any of the rulers or of the Pharisees believed in him? 
JHN.7.49	No! But this mob that knows nothing of the law — there is a curse on them.”
JHN.7.50	Nicodemus, who had gone to Jesus earlier and who was one of their own number, asked, 
JHN.7.51	“Does our law condemn a man without first hearing him to find out what he has been doing?”
JHN.7.52	They replied, “Are you from Galilee, too? Look into it, and you will find that a prophet does not come out of Galilee.”
JHN.8.12	When Jesus spoke again to the people, he said, 
JHN.8.13	The Pharisees challenged him, “Here you are, appearing as your own witness; your testimony is not valid.”
JHN.8.14	Jesus answered, 
JHN.8.19	Then they asked him, “Where is your father?”
JHN.8.20	He spoke these words while teaching in the temple courts near the place where the offerings were put. Yet no one seized him, because his hour had not yet come.
JHN.8.21	Once more Jesus said to them, 
JHN.8.22	This made the Jews ask, “Will he kill himself? Is that why he says, 
JHN.8.23	But he continued, 
JHN.8.25	“Who are you?” they asked.
JHN.8.27	They did not understand that he was telling them about his Father. 
JHN.8.28	So Jesus said, 
JHN.8.30	Even as he spoke, many believed in him.
JHN.8.31	To the Jews who had believed him, Jesus said, 
JHN.8.33	They answered him, “We are Abrahamʼs descendants and have never been slaves of anyone. How can you say that we shall be set free?”
JHN.8.34	Jesus replied, 
JHN.8.39	“Abraham is our father,” they answered.
JHN.8.41	“We are not illegitimate children,” they protested. “The only Father we have is God himself.”
JHN.8.42	Jesus said to them, 
JHN.8.48	The Jews answered him, “Arenʼt we right in saying that you are a Samaritan and demon-possessed?”
JHN.8.52	At this they exclaimed, “Now we know that you are demon-possessed! Abraham died and so did the prophets, yet you say that whoever obeys your word will never taste death. 
JHN.8.53	Are you greater than our father Abraham? He died, and so did the prophets. Who do you think you are?”
JHN.8.54	Jesus replied, 
JHN.8.57	“You are not yet fifty years old,” they said to him, “and you have seen Abraham!”
JHN.8.59	At this, they picked up stones to stone him, but Jesus hid himself, slipping away from the temple grounds.
JHN.9.1	As he went along, he saw a man blind from birth. 
JHN.9.2	His disciples asked him, “Rabbi, who sinned, this man or his parents, that he was born blind?”
JHN.9.6	After saying this, he spit on the ground, made some mud with the saliva, and put it on the manʼs eyes. 
JHN.9.7	 he told him, 
JHN.9.8	His neighbors and those who had formerly seen him begging asked, “Isnʼt this the same man who used to sit and beg?” 
JHN.9.9	Some claimed that he was.
JHN.9.9	Others said, “No, he only looks like him.”
JHN.9.9	But he himself insisted, “I am the man.”
JHN.9.10	“How then were your eyes opened?” they asked.
JHN.9.11	He replied, “The man they call Jesus made some mud and put it on my eyes. He told me to go to Siloam and wash. So I went and washed, and then I could see.”
JHN.9.12	“Where is this man?” they asked him.
JHN.9.12	“I donʼt know,” he said.
JHN.9.13	They brought to the Pharisees the man who had been blind. 
JHN.9.14	Now the day on which Jesus had made the mud and opened the manʼs eyes was a Sabbath. 
JHN.9.15	Therefore the Pharisees also asked him how he had received his sight. “He put mud on my eyes,” the man replied, “and I washed, and now I see.”
JHN.9.16	Some of the Pharisees said, “This man is not from God, for he does not keep the Sabbath.”
JHN.9.16	But others asked, “How can a sinner perform such signs?” So they were divided.
JHN.9.17	Then they turned again to the blind man, “What have you to say about him? It was your eyes he opened.”
JHN.9.17	The man replied, “He is a prophet.”
JHN.9.18	They still did not believe that he had been blind and had received his sight until they sent for the manʼs parents. 
JHN.9.19	“Is this your son?” they asked. “Is this the one you say was born blind? How is it that now he can see?”
JHN.9.20	“We know he is our son,” the parents answered, “and we know he was born blind. 
JHN.9.21	But how he can see now, or who opened his eyes, we donʼt know. Ask him. He is of age; he will speak for himself.” 
JHN.9.22	His parents said this because they were afraid of the Jewish leaders, who already had decided that anyone who acknowledged that Jesus was the Messiah would be put out of the synagogue. 
JHN.9.23	That was why his parents said, “He is of age; ask him.”
JHN.9.24	A second time they summoned the man who had been blind. “Give glory to God by telling the truth,” they said. “We know this man is a sinner.”
JHN.9.25	He replied, “Whether he is a sinner or not, I donʼt know. One thing I do know. I was blind but now I see!”
JHN.9.26	Then they asked him, “What did he do to you? How did he open your eyes?”
JHN.9.27	He answered, “I have told you already and you did not listen. Why do you want to hear it again? Do you want to become his disciples too?”
JHN.9.28	Then they hurled insults at him and said, “You are this fellowʼs disciple! We are disciples of Moses! 
JHN.9.29	We know that God spoke to Moses, but as for this fellow, we donʼt even know where he comes from.”
JHN.9.30	The man answered, “Now that is remarkable! You donʼt know where he comes from, yet he opened my eyes. 
JHN.9.31	We know that God does not listen to sinners. He listens to the godly person who does his will. 
JHN.9.32	Nobody has ever heard of opening the eyes of a man born blind. 
JHN.9.33	If this man were not from God, he could do nothing.”
JHN.9.34	To this they replied, “You were steeped in sin at birth; how dare you lecture us!” And they threw him out.
JHN.9.35	Jesus heard that they had thrown him out, and when he found him, he said, 
JHN.9.36	“Who is he, sir?” the man asked. “Tell me so that I may believe in him.”
JHN.9.37	Jesus said, 
JHN.9.38	Then the man said, “Lord, I believe,” and he worshiped him.
JHN.9.39	Jesus said,
JHN.9.40	Some Pharisees who were with him heard him say this and asked, “What? Are we blind too?”
JHN.9.41	Jesus said, 
JHN.10.6	Jesus used this figure of speech, but the Pharisees did not understand what he was telling them.
JHN.10.7	Therefore Jesus said again, 
JHN.10.19	The Jews who heard these words were again divided. 
JHN.10.20	Many of them said, “He is demon-possessed and raving mad. Why listen to him?”
JHN.10.21	But others said, “These are not the sayings of a man possessed by a demon. Can a demon open the eyes of the blind?”
JHN.10.22	Then came the Festival of Dedication
JHN.10.23	and Jesus was in the temple courts walking in Solomonʼs Colonnade. 
JHN.10.24	The Jews who were there gathered around him, saying, “How long will you keep us in suspense? If you are the Messiah, tell us plainly.”
JHN.10.25	Jesus answered, 
JHN.10.31	Again his Jewish opponents picked up stones to stone him, 
JHN.10.32	but Jesus said to them, 
JHN.10.33	“We are not stoning you for any good work,” they replied, “but for blasphemy, because you, a mere man, claim to be God.”
JHN.10.34	Jesus answered them, 
JHN.10.39	Again they tried to seize him, but he escaped their grasp.
JHN.10.40	Then Jesus went back across the Jordan to the place where John had been baptizing in the early days. There he stayed, 
JHN.10.41	and many people came to him. They said, “Though John never performed a sign, all that John said about this man was true.” 
JHN.10.42	And in that place many believed in Jesus.
JHN.11.1	Now a man named Lazarus was sick. He was from Bethany, the village of Mary and her sister Martha. 
JHN.11.2	(This Mary, whose brother Lazarus now lay sick, was the same one who poured perfume on the Lord and wiped his feet with her hair.) 
JHN.11.3	So the sisters sent word to Jesus, “Lord, the one you love is sick.”
JHN.11.4	When he heard this, Jesus said, 
JHN.11.5	Now Jesus loved Martha and her sister and Lazarus. 
JHN.11.6	So when he heard that Lazarus was sick, he stayed where he was two more days, 
JHN.11.7	and then he said to his disciples, 
JHN.11.8	“But Rabbi,” they said, “a short while ago the Jews there tried to stone you, and yet you are going back?”
JHN.11.9	Jesus answered, 
JHN.11.11	After he had said this, he went on to tell them, 
JHN.11.12	His disciples replied, “Lord, if he sleeps, he will get better.” 
JHN.11.13	Jesus had been speaking of his death, but his disciples thought he meant natural sleep.
JHN.11.14	So then he told them plainly, 
JHN.11.16	Then Thomas (also known as Didymus
JHN.11.17	On his arrival, Jesus found that Lazarus had already been in the tomb for four days. 
JHN.11.18	Now Bethany was less than two miles
JHN.11.19	and many Jews had come to Martha and Mary to comfort them in the loss of their brother. 
JHN.11.20	When Martha heard that Jesus was coming, she went out to meet him, but Mary stayed at home.
JHN.11.21	“Lord,” Martha said to Jesus, “if you had been here, my brother would not have died. 
JHN.11.22	But I know that even now God will give you whatever you ask.”
JHN.11.23	Jesus said to her, 
JHN.11.24	Martha answered, “I know he will rise again in the resurrection at the last day.”
JHN.11.25	Jesus said to her, 
JHN.11.27	“Yes, Lord,” she replied, “I believe that you are the Messiah, the Son of God, who is to come into the world.”
JHN.11.28	After she had said this, she went back and called her sister Mary aside. “The Teacher is here,” she said, “and is asking for you.” 
JHN.11.29	When Mary heard this, she got up quickly and went to him. 
JHN.11.30	Now Jesus had not yet entered the village, but was still at the place where Martha had met him. 
JHN.11.31	When the Jews who had been with Mary in the house, comforting her, noticed how quickly she got up and went out, they followed her, supposing she was going to the tomb to mourn there.
JHN.11.32	When Mary reached the place where Jesus was and saw him, she fell at his feet and said, “Lord, if you had been here, my brother would not have died.”
JHN.11.33	When Jesus saw her weeping, and the Jews who had come along with her also weeping, he was deeply moved in spirit and troubled. 
JHN.11.34	 he asked.
JHN.11.34	“Come and see, Lord,” they replied.
JHN.11.35	Jesus wept.
JHN.11.36	Then the Jews said, “See how he loved him!”
JHN.11.37	But some of them said, “Could not he who opened the eyes of the blind man have kept this man from dying?”
JHN.11.38	Jesus, once more deeply moved, came to the tomb. It was a cave with a stone laid across the entrance. 
JHN.11.39	 he said.
JHN.11.39	“But, Lord,” said Martha, the sister of the dead man, “by this time there is a bad odor, for he has been there four days.”
JHN.11.40	Then Jesus said, 
JHN.11.41	So they took away the stone. Then Jesus looked up and said, 
JHN.11.43	When he had said this, Jesus called in a loud voice, 
JHN.11.44	The dead man came out, his hands and feet wrapped with strips of linen, and a cloth around his face.
JHN.11.44	Jesus said to them, 
JHN.11.45	Therefore many of the Jews who had come to visit Mary, and had seen what Jesus did, believed in him. 
JHN.11.46	But some of them went to the Pharisees and told them what Jesus had done. 
JHN.11.47	Then the chief priests and the Pharisees called a meeting of the Sanhedrin.
JHN.11.47	“What are we accomplishing?” they asked. “Here is this man performing many signs. 
JHN.11.48	If we let him go on like this, everyone will believe in him, and then the Romans will come and take away both our temple and our nation.”
JHN.11.49	Then one of them, named Caiaphas, who was high priest that year, spoke up, “You know nothing at all! 
JHN.11.50	You do not realize that it is better for you that one man die for the people than that the whole nation perish.”
JHN.11.51	He did not say this on his own, but as high priest that year he prophesied that Jesus would die for the Jewish nation, 
JHN.11.52	and not only for that nation but also for the scattered children of God, to bring them together and make them one. 
JHN.11.53	So from that day on they plotted to take his life.
JHN.11.54	Therefore Jesus no longer moved about publicly among the people of Judea. Instead he withdrew to a region near the wilderness, to a village called Ephraim, where he stayed with his disciples.
JHN.11.55	When it was almost time for the Jewish Passover, many went up from the country to Jerusalem for their ceremonial cleansing before the Passover. 
JHN.11.56	They kept looking for Jesus, and as they stood in the temple courts they asked one another, “What do you think? Isnʼt he coming to the festival at all?” 
JHN.11.57	But the chief priests and the Pharisees had given orders that anyone who found out where Jesus was should report it so that they might arrest him.
JHN.12.1	Six days before the Passover, Jesus came to Bethany, where Lazarus lived, whom Jesus had raised from the dead. 
JHN.12.2	Here a dinner was given in Jesusʼ honor. Martha served, while Lazarus was among those reclining at the table with him. 
JHN.12.3	Then Mary took about a pint
JHN.12.4	But one of his disciples, Judas Iscariot, who was later to betray him, objected, 
JHN.12.5	“Why wasnʼt this perfume sold and the money given to the poor? It was worth a yearʼs wages.
JHN.12.6	He did not say this because he cared about the poor but because he was a thief; as keeper of the money bag, he used to help himself to what was put into it.
JHN.12.9	Meanwhile a large crowd of Jews found out that Jesus was there and came, not only because of him but also to see Lazarus, whom he had raised from the dead. 
JHN.12.10	So the chief priests made plans to kill Lazarus as well, 
JHN.12.11	for on account of him many of the Jews were going over to Jesus and believing in him.
JHN.12.12	The next day the great crowd that had come for the festival heard that Jesus was on his way to Jerusalem. 
JHN.12.13	They took palm branches and went out to meet him, shouting,
JHN.12.13	“Hosanna!
JHN.12.13	“Blessed is he who comes in the name of the Lord!”
JHN.12.13	“Blessed is the king of Israel!”
JHN.12.14	Jesus found a young donkey and sat on it, as it is written:
JHN.12.15	“Do not be afraid, Daughter Zion;
JHN.12.15	see, your king is coming,
JHN.12.15	seated on a donkeyʼs colt.”
JHN.12.16	At first his disciples did not understand all this. Only after Jesus was glorified did they realize that these things had been written about him and that these things had been done to him.
JHN.12.17	Now the crowd that was with him when he called Lazarus from the tomb and raised him from the dead continued to spread the word. 
JHN.12.18	Many people, because they had heard that he had performed this sign, went out to meet him. 
JHN.12.19	So the Pharisees said to one another, “See, this is getting us nowhere. Look how the whole world has gone after him!”
JHN.12.20	Now there were some Greeks among those who went up to worship at the festival. 
JHN.12.21	They came to Philip, who was from Bethsaida in Galilee, with a request. “Sir,” they said, “we would like to see Jesus.” 
JHN.12.22	Philip went to tell Andrew; Andrew and Philip in turn told Jesus.
JHN.12.23	Jesus replied, 
JHN.12.28	Then a voice came from heaven, “I have glorified it, and will glorify it again.” 
JHN.12.29	The crowd that was there and heard it said it had thundered; others said an angel had spoken to him.
JHN.12.30	Jesus said, 
JHN.12.33	He said this to show the kind of death he was going to die.
JHN.12.34	The crowd spoke up, “We have heard from the Law that the Messiah will remain forever, so how can you say, 
JHN.12.35	Then Jesus told them, 
JHN.12.36	 When he had finished speaking, Jesus left and hid himself from them.
JHN.12.37	Even after Jesus had performed so many signs in their presence, they still would not believe in him. 
JHN.12.38	This was to fulfill the word of Isaiah the prophet:
JHN.12.38	“Lord, who has believed our message
JHN.12.38	and to whom has the arm of the Lord been revealed?”
JHN.12.39	For this reason they could not believe, because, as Isaiah says elsewhere:
JHN.12.40	“He has blinded their eyes
JHN.12.40	and hardened their hearts,
JHN.12.40	so they can neither see with their eyes,
JHN.12.40	nor understand with their hearts,
JHN.12.40	nor turn — and I would heal them.”
JHN.12.41	Isaiah said this because he saw Jesusʼ glory and spoke about him.
JHN.12.42	Yet at the same time many even among the leaders believed in him. But because of the Pharisees they would not openly acknowledge their faith for fear they would be put out of the synagogue; 
JHN.12.43	for they loved human praise more than praise from God.
JHN.12.44	Then Jesus cried out, 
JHN.13.1	It was just before the Passover Festival. Jesus knew that the hour had come for him to leave this world and go to the Father. Having loved his own who were in the world, he loved them to the end.
JHN.13.2	The evening meal was in progress, and the devil had already prompted Judas, the son of Simon Iscariot, to betray Jesus. 
JHN.13.3	Jesus knew that the Father had put all things under his power, and that he had come from God and was returning to God; 
JHN.13.4	so he got up from the meal, took off his outer clothing, and wrapped a towel around his waist. 
JHN.13.5	After that, he poured water into a basin and began to wash his disciplesʼ feet, drying them with the towel that was wrapped around him.
JHN.13.6	He came to Simon Peter, who said to him, “Lord, are you going to wash my feet?”
JHN.13.7	Jesus replied, 
JHN.13.8	“No,” said Peter, “you shall never wash my feet.”
JHN.13.8	Jesus answered, 
JHN.13.9	“Then, Lord,” Simon Peter replied, “not just my feet but my hands and my head as well!”
JHN.13.10	Jesus answered, 
JHN.13.11	For he knew who was going to betray him, and that was why he said not every one was clean.
JHN.13.12	When he had finished washing their feet, he put on his clothes and returned to his place. 
JHN.13.21	After he had said this, Jesus was troubled in spirit and testified, 
JHN.13.22	His disciples stared at one another, at a loss to know which of them he meant. 
JHN.13.23	One of them, the disciple whom Jesus loved, was reclining next to him. 
JHN.13.24	Simon Peter motioned to this disciple and said, “Ask him which one he means.”
JHN.13.25	Leaning back against Jesus, he asked him, “Lord, who is it?”
JHN.13.26	Jesus answered, 
JHN.13.27	As soon as Judas took the bread, Satan entered into him.
JHN.13.27	So Jesus told him, 
JHN.13.28	But no one at the meal understood why Jesus said this to him. 
JHN.13.29	Since Judas had charge of the money, some thought Jesus was telling him to buy what was needed for the festival, or to give something to the poor. 
JHN.13.30	As soon as Judas had taken the bread, he went out. And it was night.
JHN.13.31	When he was gone, Jesus said, 
JHN.13.36	Simon Peter asked him, “Lord, where are you going?”
JHN.13.36	Jesus replied, 
JHN.13.37	Peter asked, “Lord, why canʼt I follow you now? I will lay down my life for you.”
JHN.13.38	Then Jesus answered, 
JHN.14.5	Thomas said to him, “Lord, we donʼt know where you are going, so how can we know the way?”
JHN.14.6	Jesus answered, 
JHN.14.8	Philip said, “Lord, show us the Father and that will be enough for us.”
JHN.14.9	Jesus answered: 
JHN.14.22	Then Judas (not Judas Iscariot) said, “But, Lord, why do you intend to show yourself to us and not to the world?”
JHN.14.23	Jesus replied, 
JHN.16.16	Jesus went on to say, 
JHN.16.17	At this, some of his disciples said to one another, “What does he mean by saying, 
JHN.16.18	They kept asking, “What does he mean by 
JHN.16.19	Jesus saw that they wanted to ask him about this, so he said to them, 
JHN.16.29	Then Jesusʼ disciples said, “Now you are speaking clearly and without figures of speech. 
JHN.16.30	Now we can see that you know all things and that you do not even need to have anyone ask you questions. This makes us believe that you came from God.”
JHN.17.1	After Jesus said this, he looked toward heaven and prayed:
JHN.18.1	When he had finished praying, Jesus left with his disciples and crossed the Kidron Valley. On the other side there was a garden, and he and his disciples went into it.
JHN.18.2	Now Judas, who betrayed him, knew the place, because Jesus had often met there with his disciples. 
JHN.18.3	So Judas came to the garden, guiding a detachment of soldiers and some officials from the chief priests and the Pharisees. They were carrying torches, lanterns and weapons.
JHN.18.4	Jesus, knowing all that was going to happen to him, went out and asked them, 
JHN.18.5	“Jesus of Nazareth,” they replied.
JHN.18.6	When Jesus said, 
JHN.18.7	Again he asked them, 
JHN.18.7	“Jesus of Nazareth,” they said.
JHN.18.8	Jesus answered, 
JHN.18.9	This happened so that the words he had spoken would be fulfilled: 
JHN.18.10	Then Simon Peter, who had a sword, drew it and struck the high priestʼs servant, cutting off his right ear. (The servantʼs name was Malchus.)
JHN.18.11	Jesus commanded Peter, 
JHN.18.12	Then the detachment of soldiers with its commander and the Jewish officials arrested Jesus. They bound him 
JHN.18.13	and brought him first to Annas, who was the father-in-law of Caiaphas, the high priest that year. 
JHN.18.14	Caiaphas was the one who had advised the Jewish leaders that it would be good if one man died for the people.
JHN.18.15	Simon Peter and another disciple were following Jesus. Because this disciple was known to the high priest, he went with Jesus into the high priestʼs courtyard, 
JHN.18.16	but Peter had to wait outside at the door. The other disciple, who was known to the high priest, came back, spoke to the servant girl on duty there and brought Peter in.
JHN.18.17	“You arenʼt one of this manʼs disciples too, are you?” she asked Peter.
JHN.18.17	He replied, “I am not.”
JHN.18.18	It was cold, and the servants and officials stood around a fire they had made to keep warm. Peter also was standing with them, warming himself.
JHN.18.19	Meanwhile, the high priest questioned Jesus about his disciples and his teaching.
JHN.18.22	When Jesus said this, one of the officials nearby slapped him in the face. “Is this the way you answer the high priest?” he demanded.
JHN.18.24	Then Annas sent him bound to Caiaphas the high priest.
JHN.18.25	Meanwhile, Simon Peter was still standing there warming himself. So they asked him, “You arenʼt one of his disciples too, are you?”
JHN.18.25	He denied it, saying, “I am not.”
JHN.18.26	One of the high priestʼs servants, a relative of the man whose ear Peter had cut off, challenged him, “Didnʼt I see you with him in the garden?” 
JHN.18.27	Again Peter denied it, and at that moment a rooster began to crow.
JHN.18.28	Then the Jewish leaders took Jesus from Caiaphas to the palace of the Roman governor. By now it was early morning, and to avoid ceremonial uncleanness they did not enter the palace, because they wanted to be able to eat the Passover. 
JHN.18.29	So Pilate came out to them and asked, “What charges are you bringing against this man?”
JHN.18.30	“If he were not a criminal,” they replied, “we would not have handed him over to you.”
JHN.18.31	Pilate said, “Take him yourselves and judge him by your own law.”
JHN.18.31	“But we have no right to execute anyone,” they objected. 
JHN.18.32	This took place to fulfill what Jesus had said about the kind of death he was going to die.
JHN.18.33	Pilate then went back inside the palace, summoned Jesus and asked him, “Are you the king of the Jews?”
JHN.18.35	“Am I a Jew?” Pilate replied. “Your own people and chief priests handed you over to me. What is it you have done?”
JHN.18.36	Jesus said, 
JHN.18.37	“You are a king, then!” said Pilate.
JHN.18.37	Jesus answered, 
JHN.18.38	“What is truth?” retorted Pilate. With this he went out again to the Jews gathered there and said, “I find no basis for a charge against him. 
JHN.18.39	But it is your custom for me to release to you one prisoner at the time of the Passover. Do you want me to release ‘the king of the Jews’?”
JHN.18.40	They shouted back, “No, not him! Give us Barabbas!” Now Barabbas had taken part in an uprising.
JHN.19.1	Then Pilate took Jesus and had him flogged. 
JHN.19.2	The soldiers twisted together a crown of thorns and put it on his head. They clothed him in a purple robe 
JHN.19.3	and went up to him again and again, saying, “Hail, king of the Jews!” And they slapped him in the face.
JHN.19.4	Once more Pilate came out and said to the Jews gathered there, “Look, I am bringing him out to you to let you know that I find no basis for a charge against him.” 
JHN.19.5	When Jesus came out wearing the crown of thorns and the purple robe, Pilate said to them, “Here is the man!”
JHN.19.6	As soon as the chief priests and their officials saw him, they shouted, “Crucify! Crucify!”
JHN.19.6	But Pilate answered, “You take him and crucify him. As for me, I find no basis for a charge against him.”
JHN.19.7	The Jewish leaders insisted, “We have a law, and according to that law he must die, because he claimed to be the Son of God.”
JHN.19.8	When Pilate heard this, he was even more afraid, 
JHN.19.9	and he went back inside the palace. “Where do you come from?” he asked Jesus, but Jesus gave him no answer. 
JHN.19.10	“Do you refuse to speak to me?” Pilate said. “Donʼt you realize I have power either to free you or to crucify you?”
JHN.19.11	Jesus answered, 
JHN.19.12	From then on, Pilate tried to set Jesus free, but the Jewish leaders kept shouting, “If you let this man go, you are no friend of Caesar. Anyone who claims to be a king opposes Caesar.”
JHN.19.13	When Pilate heard this, he brought Jesus out and sat down on the judgeʼs seat at a place known as the Stone Pavement (which in Aramaic is Gabbatha). 
JHN.19.14	It was the day of Preparation of the Passover; it was about noon.
JHN.19.14	“Here is your king,” Pilate said to the Jews.
JHN.19.15	But they shouted, “Take him away! Take him away! Crucify him!”
JHN.19.15	“Shall I crucify your king?” Pilate asked.
JHN.19.15	“We have no king but Caesar,” the chief priests answered.
JHN.19.16	Finally Pilate handed him over to them to be crucified.
JHN.19.16	So the soldiers took charge of Jesus. 
JHN.19.17	Carrying his own cross, he went out to the place of the Skull (which in Aramaic is called Golgotha). 
JHN.19.18	There they crucified him, and with him two others — one on each side and Jesus in the middle.
JHN.19.19	Pilate had a notice prepared and fastened to the cross. It read: 
JHN.19.20	Many of the Jews read this sign, for the place where Jesus was crucified was near the city, and the sign was written in Aramaic, Latin and Greek. 
JHN.19.21	The chief priests of the Jews protested to Pilate, “Do not write ‘The King of the Jews,’ but that this man claimed to be king of the Jews.”
JHN.19.22	Pilate answered, “What I have written, I have written.”
JHN.19.23	When the soldiers crucified Jesus, they took his clothes, dividing them into four shares, one for each of them, with the undergarment remaining. This garment was seamless, woven in one piece from top to bottom.
JHN.19.24	“Letʼs not tear it,” they said to one another. “Letʼs decide by lot who will get it.”
JHN.19.24	This happened that the scripture might be fulfilled that said,
JHN.19.24	“They divided my clothes among them
JHN.19.24	and cast lots for my garment.”
JHN.19.24	So this is what the soldiers did.
JHN.19.25	Near the cross of Jesus stood his mother, his motherʼs sister, Mary the wife of Clopas, and Mary Magdalene. 
JHN.19.26	When Jesus saw his mother there, and the disciple whom he loved standing nearby, he said to her, 
JHN.19.27	and to the disciple, 
JHN.19.28	Later, knowing that everything had now been finished, and so that Scripture would be fulfilled, Jesus said, 
JHN.19.29	A jar of wine vinegar was there, so they soaked a sponge in it, put the sponge on a stalk of the hyssop plant, and lifted it to Jesusʼ lips. 
JHN.19.30	When he had received the drink, Jesus said, 
JHN.19.31	Now it was the day of Preparation, and the next day was to be a special Sabbath. Because the Jewish leaders did not want the bodies left on the crosses during the Sabbath, they asked Pilate to have the legs broken and the bodies taken down. 
JHN.19.32	The soldiers therefore came and broke the legs of the first man who had been crucified with Jesus, and then those of the other. 
JHN.19.33	But when they came to Jesus and found that he was already dead, they did not break his legs. 
JHN.19.34	Instead, one of the soldiers pierced Jesusʼ side with a spear, bringing a sudden flow of blood and water. 
JHN.19.35	The man who saw it has given testimony, and his testimony is true. He knows that he tells the truth, and he testifies so that you also may believe. 
JHN.19.36	These things happened so that the scripture would be fulfilled: “Not one of his bones will be broken,”
JHN.19.37	and, as another scripture says, “They will look on the one they have pierced.”
JHN.19.38	Later, Joseph of Arimathea asked Pilate for the body of Jesus. Now Joseph was a disciple of Jesus, but secretly because he feared the Jewish leaders. With Pilateʼs permission, he came and took the body away. 
JHN.19.39	He was accompanied by Nicodemus, the man who earlier had visited Jesus at night. Nicodemus brought a mixture of myrrh and aloes, about seventy-five pounds.
JHN.19.40	Taking Jesusʼ body, the two of them wrapped it, with the spices, in strips of linen. This was in accordance with Jewish burial customs. 
JHN.19.41	At the place where Jesus was crucified, there was a garden, and in the garden a new tomb, in which no one had ever been laid. 
JHN.19.42	Because it was the Jewish day of Preparation and since the tomb was nearby, they laid Jesus there.
JHN.20.1	Early on the first day of the week, while it was still dark, Mary Magdalene went to the tomb and saw that the stone had been removed from the entrance. 
JHN.20.2	So she came running to Simon Peter and the other disciple, the one Jesus loved, and said, “They have taken the Lord out of the tomb, and we donʼt know where they have put him!”
JHN.20.3	So Peter and the other disciple started for the tomb. 
JHN.20.4	Both were running, but the other disciple outran Peter and reached the tomb first. 
JHN.20.5	He bent over and looked in at the strips of linen lying there but did not go in. 
JHN.20.6	Then Simon Peter came along behind him and went straight into the tomb. He saw the strips of linen lying there, 
JHN.20.7	as well as the cloth that had been wrapped around Jesusʼ head. The cloth was still lying in its place, separate from the linen. 
JHN.20.8	Finally the other disciple, who had reached the tomb first, also went inside. He saw and believed. 
JHN.20.9	(They still did not understand from Scripture that Jesus had to rise from the dead.) 
JHN.20.10	Then the disciples went back to where they were staying.
JHN.20.11	Now Mary stood outside the tomb crying. As she wept, she bent over to look into the tomb 
JHN.20.12	and saw two angels in white, seated where Jesusʼ body had been, one at the head and the other at the foot.
JHN.20.13	They asked her, “Woman, why are you crying?”
JHN.20.13	“They have taken my Lord away,” she said, “and I donʼt know where they have put him.” 
JHN.20.14	At this, she turned around and saw Jesus standing there, but she did not realize that it was Jesus.
JHN.20.15	He asked her, 
JHN.20.15	Thinking he was the gardener, she said, “Sir, if you have carried him away, tell me where you have put him, and I will get him.”
JHN.20.16	Jesus said to her, 
JHN.20.16	She turned toward him and cried out in Aramaic, “
JHN.20.17	Jesus said, 
JHN.20.18	Mary Magdalene went to the disciples with the news: “I have seen the Lord!” And she told them that he had said these things to her.
JHN.20.19	On the evening of that first day of the week, when the disciples were together, with the doors locked for fear of the Jewish leaders, Jesus came and stood among them and said, 
JHN.20.20	After he said this, he showed them his hands and side. The disciples were overjoyed when they saw the Lord.
JHN.20.21	Again Jesus said, 
JHN.20.22	And with that he breathed on them and said, 
JHN.20.24	Now Thomas (also known as Didymus
JHN.20.25	So the other disciples told him, “We have seen the Lord!”
JHN.20.25	But he said to them, “Unless I see the nail marks in his hands and put my finger where the nails were, and put my hand into his side, I will not believe.”
JHN.20.26	A week later his disciples were in the house again, and Thomas was with them. Though the doors were locked, Jesus came and stood among them and said, 
JHN.20.27	Then he said to Thomas, 
JHN.20.28	Thomas said to him, “My Lord and my God!”
JHN.20.29	Then Jesus told him, 
JHN.20.30	Jesus performed many other signs in the presence of his disciples, which are not recorded in this book. 
JHN.20.31	But these are written that you may believe
JHN.21.1	Afterward Jesus appeared again to his disciples, by the Sea of Galilee.
JHN.21.2	Simon Peter, Thomas (also known as Didymus
JHN.21.3	“Iʼm going out to fish,” Simon Peter told them, and they said, “Weʼll go with you.” So they went out and got into the boat, but that night they caught nothing.
JHN.21.4	Early in the morning, Jesus stood on the shore, but the disciples did not realize that it was Jesus.
JHN.21.5	He called out to them, 
JHN.21.5	“No,” they answered.
JHN.21.6	He said, 
