GEN.1.1	 In the beginning God created heaven and earth.
GEN.13.16	 I will also give you as many descendants as the dust of the earth. If anyone could count the dust of the earth, then he could also count your descendants. 
GEN.13.17	 Go! Walk back and forth across the entire land because I will give it to you.” 
GEN.13.18	 So Abram moved his tents and went to live by the oak trees belonging to Mamre at Hebron. There he built an altar for the L
GEN.14.1	 At that time ⌊four kings⌋—King Amraphel of Shinar, King Arioch of Ellasar, King Chedorlaomer of Elam, and King Tidal of Goiim—
GEN.14.2	 went to war against ⌊five kings⌋—King Bera of Sodom, King Birsha of Gomorrah, King Shinab of Admah, King Shemeber of Zeboiim, and the king of Bela (that is, Zoar). 
GEN.14.3	 The five kings joined forces and met in the valley of Siddim (that is, the Dead Sea). 
GEN.14.4	 For 12 years they had been subject to Chedorlaomer, but in the thirteenth year they rebelled. 
GEN.14.5	 In the fourteenth year Chedorlaomer and his allies came and defeated the Rephaim at Ashteroth Karnaim, the Zuzim at Ham, the Emim at Shaveh Kiriathaim, 
GEN.14.6	 and the Horites in the hill country of Seir, going as far as El Paran on the edge of the desert. 
GEN.14.7	 On their way back, they came to En Mishpat (that is, Kadesh), and they conquered the whole territory of the Amalekites and also the Amorites who were living at Hazazon Tamar.
GEN.14.8	 Then the kings of Sodom, Gomorrah, Admah, Zeboiim, and Bela (that is, Zoar) marched out and prepared for battle in the valley of Siddim. 
GEN.14.9	 They fought against King Chedorlaomer of Elam, King Tidal of Goiim, King Amraphel of Shinar, and King Arioch of Ellasar—four kings against five. 
GEN.14.10	 The valley of Siddim was full of tar pits. As the kings of Sodom and Gomorrah fled, they fell because of the tar pits, but the other kings fled to the hills. 
GEN.14.11	 So the four kings took all the possessions of Sodom and Gomorrah, as well as all their food, and left. 
GEN.14.12	 They also took Abram’s nephew Lot and his possessions since he was living in Sodom.
GEN.14.13	 Then a soldier who had escaped came and told Abram the Hebrew what had happened. He was living next to the oak trees belonging to Mamre the Amorite, a brother of Eshcol and Aner. (These men were Abram’s allies.)
GEN.14.14	 When Abram heard that his nephew had been captured, he armed 
GEN.14.15	 He split up his men to attack them at night. He defeated them, pursuing them all the way to Hobah, which is north of Damascus. 
GEN.14.16	 He brought back everything they had, including women and soldiers. He also brought back his relative Lot and his possessions.
GEN.14.17	 After Abram came back from defeating Chedorlaomer and his allies, the king of Sodom came out to meet him in the Shaveh Valley (that is, the King’s Valley). 
GEN.14.18	 Then King Melchizedek of Salem brought out bread and wine. He was a priest of God Most High. 
GEN.14.19	 He blessed Abram, and said,
GEN.14.19	“Blessed is Abram by God Most High,
GEN.14.19	maker 
GEN.14.20	 Blessed is God Most High,
GEN.14.20	who has handed your enemies over to you.”
GEN.14.20	Then Abram gave him a tenth of everything.
GEN.14.21	 The king of Sodom said to Abram, “Give me the people, and keep everything else for yourself.”
GEN.14.22	 But Abram said to the king of Sodom, “I now raise my hand and solemnly swear to the L
GEN.14.23	 that I won’t take a thread or a sandal strap. I won’t take anything that is yours so that you will never be able to say, ‘I made Abram rich.’ 
GEN.14.24	 I won’t take one single thing except what my men have eaten. But let my allies Aner, Eshcol, and Mamre take their share.”
GEN.15.1	 Later the L
GEN.15.1	“Abram, don’t be afraid.
GEN.15.1	I am your shield.
GEN.15.1	Your reward will be very great.” 
GEN.15.2	 Abram asked, “Almighty L
GEN.15.3	 You have given me no children, so this member of my household will be my heir.”
GEN.15.4	 Suddenly, the L
GEN.15.5	 He took Abram outside and said, “Now look up at the sky and count the stars, if you are able to count them.” He also said to him, “That’s how many descendants you will have!” 
GEN.15.6	 Then Abram believed the L
GEN.15.7	 Then the L
GEN.15.8	 Abram asked, “Almighty L
GEN.15.9	 He answered Abram, “Bring me a three-year-old heifer, a three-year-old female goat, a three-year-old ram, a mourning dove, and a pigeon.” 
GEN.15.10	 So Abram brought all these animals to him. He cut each of them in half and laid each half opposite the other. However, he did not cut the birds in half.
GEN.15.11	 When birds of prey came down upon the carcasses, Abram drove them away. 
GEN.15.12	 As the sun was just about to set, a deep sleep—a dreadful, deep darkness—came over Abram.
GEN.15.13	 God said to Abram, “You can know for sure that your descendants will live in a land that is not their own, where they will be slaves, and they will be oppressed for 400 years. 
GEN.15.14	 But I will punish the nation they serve, and after that they will come out with many possessions. 
GEN.15.15	 But you will die in peace and be buried at a very old age. 
GEN.15.16	 In the fourth generation your descendants will come back here, because the sin of the Amorites will not have run its course until then.”
GEN.15.17	 The sun had gone down, and it was dark. Suddenly a smoking oven and a flaming torch passed between the animal pieces. 
GEN.15.18	 At that time the L
GEN.15.19	 It is the land of the Kenites, the Kenizzites, the Kadmonites, 
GEN.15.20	 the Hittites, the Perizzites, the Rephaim, 
GEN.15.21	 the Amorites, the Canaanites, the Girgashites, and the Jebusites.”
GEN.16.1	 Sarai, Abram’s wife, was not able to have children. She owned an Egyptian slave named Hagar. 
GEN.16.2	 So Sarai said to Abram, “The L
GEN.16.3	 After Abram had lived in Canaan for ten years, Abram’s wife Sarai took her Egyptian slave Hagar and gave her to her husband Abram to be his wife. 
GEN.16.4	 He slept with Hagar, and she became pregnant. When Hagar realized that she was pregnant, she began to be disrespectful to Sarai, her owner.
GEN.16.5	 So Sarai complained to Abram, “I’m being treated unfairly! And it’s your fault! I know that I gave my slave to you, but now that she’s pregnant, she’s being disrespectful to me. May the L
GEN.16.6	 Abram answered Sarai, “Here, she’s your slave. Do what you like with her.” Then Sarai mistreated Hagar so much that she ran away.
GEN.16.7	 The Messenger of the L
GEN.16.8	 He said, “Hagar, Sarai’s slave, where have you come from, and where are you going?”
GEN.16.8	She answered, “I’m running away from my owner Sarai.” 
GEN.16.9	 The Messenger of the L
GEN.16.10	 The Messenger of the L
GEN.16.11	 Then the Messenger of the L
GEN.16.11	“You are pregnant,
GEN.16.11	and you will give birth to a son.
GEN.16.11	You will name him Ishmael [God Hears],
GEN.16.11	because the L
GEN.16.12	 He will be as free and wild as an untamed donkey.
GEN.16.12	He will fight with everyone, and everyone will fight with him.
GEN.16.12	He will have conflicts with all his relatives.” 
GEN.16.13	 Hagar named the L
GEN.16.14	 This is why the well is named Beer Lahai Roi [Well of the Living One Who Watches Over Me]. It is still there between Kadesh and Bered.
GEN.16.15	 Hagar gave birth to Abram’s son. Abram named him Ishmael. 
GEN.16.16	 Abram was 86 years old when Hagar gave birth to Ishmael.
GEN.17.1	 When Abram was 99 years old, the L
GEN.17.2	 I will give you my promise,
GEN.17.3	 Immediately, Abram bowed with his face touching the ground, and again God spoke to him, 
GEN.17.4	 “My promise is still with you. You will become the father of many nations. 
GEN.17.5	 So your name will no longer be Abram [Exalted Father], but Abraham [Father of Many] because I have made you a father of many nations. 
GEN.17.6	 I will give you many descendants. Many nations and kings will come from you. 
GEN.17.7	 I will make my promise to you and your descendants for generations to come as an everlasting promise. I will be your God and the God of your descendants. 
GEN.17.8	 I am also giving this land where you are living—all of Canaan—to you and your descendants as your permanent possession. And I will be your God.”
GEN.17.9	 God also said to Abraham, “You and your descendants in generations to come are to be faithful to my promise. 
GEN.17.10	 This is how you are to be faithful to my promise: Every male among you is to be circumcised. 
GEN.17.11	 All of you must be circumcised. That will be the sign of the promise from me to you. 
GEN.17.12	 For generations to come every male child who is eight days old must be circumcised, whether he is born in your household or bought with money from a foreigner who’s not related to you. 
GEN.17.13	 Every male born in your household or bought with your money is to be circumcised without exception. So my promise will be a sign on your flesh, an everlasting promise. 
GEN.17.14	 Any uncircumcised male must be excluded from his people because he has rejected my promise.”
GEN.17.15	 God said to Abraham, “Don’t call your wife by the name Sarai anymore. Instead, her name is Sarah [Princess]. 
GEN.17.16	 I will bless her, and I will also give you a son by her. I will bless her, and she will become ⌊a mother of⌋ nations, and kings will come from her.” 
GEN.17.17	 Immediately, Abraham bowed with his face touching the ground. He laughed as he thought to himself, “Can a son be born to a hundred-year-old man? Can Sarah, a ninety-year-old woman, have a child?” 
GEN.17.18	 Then Abraham said to God, “Why not let Ishmael be my heir?”
GEN.17.19	 God replied, “No! Your wife Sarah will give you a son, and you will name him Isaac [He Laughs]. I will make an everlasting promise to him and his descendants. 
GEN.17.20	 I have heard your request about Ishmael. Yes, I will bless him, make him fertile, and increase the number of his descendants. He will be the father of 12 princes, and I will make him a great nation. 
GEN.17.21	 But I will make my promise to Isaac. Sarah will give birth to him at this time next year.” 
GEN.17.22	 When God finished speaking with Abraham, he left him.
GEN.17.23	 So Abraham took his son Ishmael, everyone born in his household, and everyone bought with money—every male in his household—and circumcised them that day, as God had told him. 
GEN.17.24	 Abraham was 99 years old when he was circumcised. 
GEN.17.25	 His son Ishmael was 13 years old when he was circumcised. 
GEN.17.26	 That same day Abraham and his son Ishmael were circumcised. 
GEN.17.27	 All the men of his household, whether born in the household or bought with money from a foreigner, were circumcised with him.
GEN.18.1	 The L
GEN.18.2	 Abraham looked up, and suddenly he saw three men standing near him. When he saw them, he ran to meet them, and he bowed with his face touching the ground.
GEN.18.3	 “Please, sir,” Abraham said, “stop by to visit me for a while. 
