GEN.1.2	The earth was without form and void, and darkness was upon the face of the deep; and the Spirit
GEN.13.16	I will make your descendants as the dust of the earth; so that if one can count the dust of the earth, your descendants also can be counted. 
GEN.13.17	Arise, walk through the length and the breadth of the land, for I will give it to you.” 
GEN.13.18	So Abram moved his tent, and came and dwelt by the oaks
GEN.14.1	In the days of Amraphel king of Shinar, Arioch king of Ellasar, Ched-or-laomer king of Elam, and Tidal king of Goiim, 
GEN.14.2	these kings made war with Bera king of Sodom, Birsha king of Gomorrah, Shinab king of Admah, Shemeber king of Zeboiim, and the king of Bela (that is, Zoar). 
GEN.14.3	And all these joined forces in the Valley of Siddim (that is, the Salt Sea). 
GEN.14.4	Twelve years they had served Ched-or-laomer, but in the thirteenth year they rebelled. 
GEN.14.5	In the fourteenth year Ched-or-laomer and the kings who were with him came and subdued the Rephaim in Ashteroth-karnaim, the Zuzim in Ham, the Emim in Shaveh-kiriathaim, 
GEN.14.6	and the Horites in their Mount Seir as far as El-paran on the border of the wilderness; 
GEN.14.7	then they turned back and came to Enmishpat (that is, Kadesh), and subdued all the country of the Amalekites, and also the Amorites who dwelt in Hazazon-tamar. 
GEN.14.8	Then the king of Sodom, the king of Gomorrah, the king of Admah, the king of Zeboiim, and the king of Bela (that is, Zoar) went out, and they joined battle in the Valley of Siddim 
GEN.14.9	with Ched-or-laomer king of Elam, Tidal king of Goiim, Amraphel king of Shinar, and Arioch king of Ellasar, four kings against five. 
GEN.14.10	Now the Valley of Siddim was full of bitumen pits; and as the kings of Sodom and Gomorrah fled, some fell into them, and the rest fled to the mountain. 
GEN.14.11	So the enemy took all the goods of Sodom and Gomorrah, and all their provisions, and went their way; 
GEN.14.12	they also took Lot, the son of Abram's brother, who dwelt in Sodom, and his goods, and departed.
GEN.14.13	Then one who had escaped came, and told Abram the Hebrew, who was living by the oaks
GEN.14.14	When Abram heard that his kinsman had been taken captive, he led forth his trained men, born in his house, three hundred and eighteen of them, and went in pursuit as far as Dan. 
GEN.14.15	And he divided his forces against them by night, he and his servants, and routed them and pursued them to Hobah, north of Damascus. 
GEN.14.16	Then he brought back all the goods, and also brought back his kinsman Lot with his goods, and the women and the people.
GEN.14.18	And Melchizedek king of Salem brought out bread and wine; he was priest of God Most High. 
GEN.14.19	And he blessed him and said,
GEN.14.19	“Blessed be Abram by God Most High,
GEN.14.19	maker of heaven and earth;
GEN.14.20	and blessed be God Most High,
GEN.14.20	who has delivered your enemies into your hand!”
GEN.14.20	And Abram gave him a tenth of everything. 
GEN.14.21	And the king of Sodom said to Abram, “Give me the persons, but take the goods for yourself.” 
GEN.14.22	But Abram said to the king of Sodom, “I have sworn to the 
GEN.14.23	that I would not take a thread or a sandal-thong or anything that is yours, lest you should say, ‘I have made Abram rich.’ 
GEN.14.24	I will take nothing but what the young men have eaten, and the share of the men who went with me; let Aner, Eshcol, and Mamre take their share.”
GEN.15.1	After these things the word of the 
GEN.15.2	But Abram said, “O Lord 
GEN.15.3	And Abram said, “Behold, thou hast given me no offspring; and a slave born in my house will be my heir.” 
GEN.15.4	 And behold, the word of the 
GEN.15.5	 And he brought him outside and said, “Look toward heaven, and number the stars, if you are able to number them.” Then he said to him, “So shall your descendants be.” 
GEN.15.6	 And he believed the 
GEN.15.7	And he said to him, “I am the 
GEN.15.8	But he said, “O Lord 
GEN.15.9	He said to him, “Bring me a heifer three years old, a she-goat three years old, a ram three years old, a turtledove, and a young pigeon.” 
GEN.15.10	And he brought him all these, cut them in two, and laid each half over against the other; but he did not cut the birds in two. 
GEN.15.11	And when birds of prey came down upon the carcasses, Abram drove them away.
GEN.15.12	As the sun was going down, a deep sleep fell on Abram; and lo, a dread and great darkness fell upon him. 
GEN.15.13	 Then the 
GEN.15.14	but I will bring judgment on the nation which they serve, and afterward they shall come out with great possessions. 
GEN.15.15	As for yourself, you shall go to your fathers in peace; you shall be buried in a good old age. 
GEN.15.16	And they shall come back here in the fourth generation; for the iniquity of the Amorites is not yet complete.”
GEN.15.17	When the sun had gone down and it was dark, behold, a smoking fire pot and a flaming torch passed between these pieces. 
GEN.15.18	 On that day the 
GEN.15.19	the land of the Kenites, the Kenizzites, the Kadmonites, 
GEN.15.20	the Hittites, the Perizzites, the Rephaim, 
GEN.15.21	the Amorites, the Canaanites, the Girgashites and the Jebusites.”
GEN.16.1	Now Sarai, Abram's wife, bore him no children. She had an Egyptian maid whose name was Hagar; 
GEN.16.2	and Sarai said to Abram, “Behold now, the 
GEN.16.3	So, after Abram had dwelt ten years in the land of Canaan, Sarai, Abram's wife, took Hagar the Egyptian, her maid, and gave her to Abram her husband as a wife. 
GEN.16.4	And he went in to Hagar, and she conceived; and when she saw that she had conceived, she looked with contempt on her mistress. 
GEN.16.5	And Sarai said to Abram, “May the wrong done to me be on you! I gave my maid to your embrace, and when she saw that she had conceived, she looked on me with contempt. May the 
GEN.16.6	But Abram said to Sarai, “Behold, your maid is in your power; do to her as you please.” Then Sarai dealt harshly with her, and she fled from her.
GEN.16.7	The angel of the 
GEN.16.8	And he said, “Hagar, maid of Sarai, where have you come from and where are you going?” She said, “I am fleeing from my mistress Sarai.” 
GEN.16.9	The angel of the 
GEN.16.10	The angel of the 
GEN.16.11	And the angel of the 
GEN.16.12	He shall be a wild ass of a man, his hand against every man and every man's hand against him; and he shall dwell over against all his kinsmen.” 
GEN.16.13	So she called the name of the 
GEN.16.14	Therefore the well was called Beer-lahai-roi;
GEN.16.15	And Hagar bore Abram a son; and Abram called the name of his son, whom Hagar bore, Ishmael. 
GEN.16.16	Abram was eighty-six years old when Hagar bore Ishmael to Abram.
GEN.17.1	When Abram was ninety-nine years old the 
GEN.17.2	And I will make my covenant between me and you, and will multiply you exceedingly.” 
GEN.17.3	Then Abram fell on his face; and God said to him, 
GEN.17.4	“Behold, my covenant is with you, and you shall be the father of a multitude of nations. 
GEN.17.5	 No longer shall your name be Abram,
GEN.17.6	I will make you exceedingly fruitful; and I will make nations of you, and kings shall come forth from you. 
GEN.17.7	 And I will establish my covenant between me and you and your descendants after you throughout their generations for an everlasting covenant, to be God to you and to your descendants after you. 
GEN.17.8	 And I will give to you, and to your descendants after you, the land of your sojournings, all the land of Canaan, for an everlasting possession; and I will be their God.”
GEN.17.9	And God said to Abraham, “As for you, you shall keep my covenant, you and your descendants after you throughout their generations. 
GEN.17.10	 This is my covenant, which you shall keep, between me and you and your descendants after you: Every male among you shall be circumcised. 
GEN.17.11	 You shall be circumcised in the flesh of your foreskins, and it shall be a sign of the covenant between me and you. 
GEN.17.12	He that is eight days old among you shall be circumcised; every male throughout your generations, whether born in your house, or bought with your money from any foreigner who is not of your offspring, 
GEN.17.13	both he that is born in your house and he that is bought with your money, shall be circumcised. So shall my covenant be in your flesh an everlasting covenant. 
GEN.17.14	Any uncircumcised male who is not circumcised in the flesh of his foreskin shall be cut off from his people; he has broken my covenant.”
GEN.17.15	And God said to Abraham, “As for Sarai your wife, you shall not call her name Sarai, but Sarah shall be her name. 
GEN.17.16	I will bless her, and moreover I will give you a son by her; I will bless her, and she shall be a mother of nations; kings of peoples shall come from her.” 
GEN.17.17	Then Abraham fell on his face and laughed, and said to himself, “Shall a child be born to a man who is a hundred years old? Shall Sarah, who is ninety years old, bear a child?” 
GEN.17.18	And Abraham said to God, “O that Ishmael might live in thy sight!” 
GEN.17.19	God said, “No, but Sarah your wife shall bear you a son, and you shall call his name Isaac.
GEN.17.20	As for Ishmael, I have heard you; behold, I will bless him and make him fruitful and multiply him exceedingly; he shall be the father of twelve princes, and I will make him a great nation. 
GEN.17.21	But I will establish my covenant with Isaac, whom Sarah shall bear to you at this season next year.”
GEN.17.22	When he had finished talking with him, God went up from Abraham. 
GEN.17.23	Then Abraham took Ishmael his son and all the slaves born in his house or bought with his money, every male among the men of Abraham's house, and he circumcised the flesh of their foreskins that very day, as God had said to him. 
