GEN.1.1	In the 
HOS.2.16	“And it shall be, in that day,”
HOS.2.16	Says the 
HOS.2.16	“
HOS.2.16	And no longer call Me ‘My Master,’
HOS.2.17	For 
HOS.2.17	And they shall be remembered by their name no more.
HOS.2.18	In that day I will make a 
HOS.2.18	With the beasts of the field,
HOS.2.18	With the birds of the air,
HOS.2.18	And 
HOS.2.18	Bow and sword of battle 
HOS.2.18	To make them 
HOS.2.19	“I will betroth you to Me forever;
HOS.2.19	Yes, I will betroth you to Me
HOS.2.19	In righteousness and justice,
HOS.2.19	In lovingkindness and mercy;
HOS.2.20	I will betroth you to Me in faithfulness,
HOS.2.20	And 
HOS.2.21	“It shall come to pass in that day
HOS.2.21	“I will answer the heavens,
HOS.2.21	And they shall answer the earth.
HOS.2.22	The earth shall answer
HOS.2.22	With grain,
HOS.2.22	With new wine,
HOS.2.22	And with oil;
HOS.2.22	They shall answer Jezreel.
HOS.2.23	Then 
HOS.2.23	And I will have mercy on 
HOS.2.23	Then 
HOS.2.23	‘You 
HOS.2.23	And they shall say, 
HOS.3.1	Then the 
HOS.3.2	So I bought her for myself for fifteen 
HOS.3.3	And I said to her, “You shall 
HOS.3.4	For the children of Israel shall abide many days 
HOS.3.5	Afterward the children of Israel shall return and 
HOS.4.1	Hear the word of the 
HOS.4.1	You children of Israel,
HOS.4.1	For the 
HOS.4.1	“There is no truth or mercy
HOS.4.1	Or 
HOS.4.2	 swearing and lying,
HOS.4.2	Killing and stealing and committing adultery,
HOS.4.2	They break all restraint,
HOS.4.2	With bloodshed upon bloodshed.
HOS.4.3	Therefore 
HOS.4.3	And 
HOS.4.3	With the beasts of the field
HOS.4.3	And the birds of the air;
HOS.4.3	Even the fish of the sea will be taken away.
HOS.4.4	“Now let no man contend, or rebuke another;
HOS.4.4	For your people 
HOS.4.5	Therefore you shall stumble 
HOS.4.5	The prophet also shall stumble with you in the night;
HOS.4.5	And I will destroy your mother.
HOS.4.6	My people are destroyed for lack of knowledge.
HOS.4.6	Because you have rejected knowledge,
HOS.4.6	I also will reject you from being priest for Me;
HOS.4.6	Because you have forgotten the law of your God,
HOS.4.6	I also will forget your children.
HOS.4.7	“The more they increased,
HOS.4.7	The more they sinned against Me;
HOS.4.7	I will change their glory into shame.
HOS.4.8	They eat up the sin of My people;
HOS.4.8	They set their heart on their iniquity.
HOS.4.9	And it shall be: 
HOS.4.9	So I will punish them for their ways,
HOS.4.9	And reward them for their deeds.
HOS.4.10	For 
HOS.4.10	They shall commit harlotry, but not increase;
HOS.4.10	Because they have ceased obeying the 
HOS.4.11	“Harlotry, wine, and new wine 
HOS.4.12	My people ask counsel from their 
HOS.4.12	And their staff informs them.
HOS.4.12	For 
HOS.4.12	And they have played the harlot against their God.
HOS.4.13	They offer sacrifices on the mountaintops,
HOS.4.13	And burn incense on the hills,
HOS.4.13	Under oaks, poplars, and terebinths,
HOS.4.13	Because their shade 
HOS.4.13	Therefore your daughters commit harlotry,
HOS.4.13	And your brides commit adultery.
HOS.4.14	“I will not punish your daughters when they commit harlotry,
HOS.4.14	Nor your brides when they commit adultery;
HOS.4.14	For 
HOS.4.14	And offer sacrifices with a 
HOS.4.14	Therefore people 
HOS.4.15	“Though you, Israel, play the harlot,
HOS.4.15	Let not Judah offend.
HOS.4.15	Do not come up to Gilgal,
HOS.4.15	Nor go up to 
HOS.4.15	Nor swear an oath, 
HOS.4.16	“For Israel 
HOS.4.16	Like a stubborn calf;
HOS.4.16	Now the 
HOS.4.16	Like a lamb in open country.
HOS.4.17	“Ephraim 
HOS.4.17	Let him alone.
HOS.4.18	Their drink is rebellion,
HOS.4.18	They commit harlotry continually.
HOS.4.18	Her rulers dearly love dishonor.
HOS.4.19	The wind has wrapped her up in its wings,
HOS.4.19	And 
HOS.5.1	“Hear this, O priests!
HOS.5.1	Take heed, O house of Israel!
HOS.5.1	Give ear, O house of the king!
HOS.5.1	For yours 
HOS.5.1	Because 
HOS.5.1	And a net spread on Tabor.
HOS.5.2	The revolters are 
HOS.5.2	Though I rebuke them all.
HOS.5.3	I know Ephraim,
HOS.5.3	And Israel is not hidden from Me;
HOS.5.3	For now, O Ephraim, 
HOS.5.3	Israel is defiled.
HOS.5.4	“They do not direct their deeds
HOS.5.4	Toward turning to their God,
HOS.5.4	For 
HOS.5.4	And they do not know the 
HOS.5.5	The 
HOS.5.5	Therefore Israel and Ephraim stumble in their iniquity;
HOS.5.5	Judah also stumbles with them.
HOS.5.6	“With their flocks and herds
HOS.5.6	They shall go to seek the 
HOS.5.6	But they will not find 
HOS.5.6	He has withdrawn Himself from them.
HOS.5.7	They have 
HOS.5.7	For they have begotten pagan children.
HOS.5.7	Now a New Moon shall devour them and their heritage.
HOS.5.8	“Blow
HOS.5.8	The trumpet in Ramah!
HOS.5.8	Cry aloud 
HOS.5.8	‘
HOS.5.9	Ephraim shall be desolate in the day of rebuke;
HOS.5.9	Among the tribes of Israel I make known what is sure.
HOS.5.10	“The princes of Judah are like those who 
HOS.5.10	I will pour out My wrath on them like water.
HOS.5.11	Ephraim is 
HOS.5.11	Because he willingly walked by 
HOS.5.12	Therefore I 
HOS.5.12	And to the house of Judah 
HOS.5.13	“When Ephraim saw his sickness,
HOS.5.13	And Judah 
HOS.5.13	Then Ephraim went 
HOS.5.13	And sent to King Jareb;
HOS.5.13	Yet he cannot cure you,
HOS.5.13	Nor heal you of your wound.
HOS.5.14	For 
HOS.5.14	And like a young lion to the house of Judah.
HOS.5.14	I, 
HOS.5.14	I will take 
HOS.5.15	I will return again to My place
HOS.5.15	Till they acknowledge their offense.
HOS.5.15	Then they will seek My face;
HOS.5.15	In their affliction they will earnestly seek Me.”
HOS.6.1	Come,
HOS.6.1	For 
HOS.6.1	He has stricken, but He will bind us up.
HOS.6.2	After two days He will revive us;
HOS.6.2	On the third day He will raise us up,
HOS.6.2	That we may live in His sight.
HOS.6.3	Let us know,
HOS.6.3	Let us pursue the knowledge of the 
HOS.6.3	His going forth is established 
HOS.6.3	He will come to us 
HOS.6.3	Like the latter 
HOS.6.4	“O Ephraim, what shall I do to you?
HOS.6.4	O Judah, what shall I do to you?
HOS.6.4	For your faithfulness is like a morning cloud,
HOS.6.4	And like the early dew it goes away.
HOS.6.5	Therefore I have hewn 
HOS.6.5	I have slain them by 
HOS.6.5	And your judgments 
HOS.6.6	For I desire 
HOS.6.6	And the 
HOS.6.7	“But like men they transgressed the covenant;
HOS.6.7	There they dealt treacherously with Me.
HOS.6.8	Gilead 
HOS.6.8	 defiled with blood.
HOS.6.9	As bands of robbers lie in wait for a man,
HOS.6.9	 the company of 
HOS.6.9	Surely they commit 
HOS.6.10	I have seen a horrible thing in the house of Israel:
HOS.6.10	There 
HOS.6.10	Israel is defiled.
HOS.6.11	Also, O Judah, a harvest is appointed for you,
HOS.6.11	When I return the captives of My people.
HOS.7.1	“When I would have healed Israel,
HOS.7.1	Then the iniquity of Ephraim was uncovered,
HOS.7.1	And the wickedness of Samaria.
HOS.7.1	For 
HOS.7.1	A thief comes in;
HOS.7.1	A band of robbers takes spoil outside.
HOS.7.2	They do not consider in their hearts
HOS.7.2	Now their own deeds have surrounded them;
HOS.7.2	They are before My face.
HOS.7.3	They make a 
HOS.7.3	And princes 
HOS.7.4	“They
HOS.7.4	Like an oven heated by a baker—
HOS.7.4	He ceases stirring 
HOS.7.4	Until it is leavened.
HOS.7.5	In the day of our king
HOS.7.5	Princes have made 
HOS.7.5	He stretched out his hand with scoffers.
HOS.7.6	They prepare their heart like an oven,
HOS.7.6	While they lie in wait;
HOS.7.6	Their baker sleeps all night;
HOS.7.6	In the morning it burns like a flaming fire.
HOS.7.7	They are all hot, like an oven,
HOS.7.7	And have devoured their judges;
HOS.7.7	All their kings have fallen.
HOS.7.7	None among them calls upon Me.
HOS.7.8	“Ephraim 
HOS.7.8	Ephraim is a cake unturned.
HOS.7.9	Aliens have devoured his strength,
HOS.7.9	But he does not know 
HOS.7.9	Yes, gray hairs are here and there on him,
HOS.7.9	Yet he does not know 
HOS.7.10	And the 
HOS.7.10	But 
HOS.7.10	Nor seek Him for all this.
HOS.7.11	“Ephraim
HOS.7.11	They call to Egypt,
HOS.7.11	They go to 
HOS.7.12	Wherever they go, I will 
HOS.7.12	I will bring them down like birds of the air;
HOS.7.12	I will chastise them
HOS.7.12	According to what their congregation has heard.
HOS.7.13	“Woe to them, for they have fled from Me!
HOS.7.13	Destruction to them,
HOS.7.13	Because they have transgressed against Me!
HOS.7.13	Though 
HOS.7.13	Yet they have spoken lies against Me.
HOS.7.14	They did not cry out to Me with their heart
HOS.7.14	When they wailed upon their beds.
HOS.7.14	“They assemble together for grain and new 
HOS.7.14	They rebel against Me;
HOS.7.15	Though I disciplined 
HOS.7.15	Yet they devise evil against Me;
HOS.7.16	They return, 
HOS.7.16	They are like a treacherous bow.
HOS.7.16	Their princes shall fall by the sword
HOS.7.16	For the 
HOS.7.16	This 
HOS.8.1	“
HOS.8.1	Because they have transgressed My covenant
HOS.8.1	And rebelled against My law.
HOS.8.2	Israel will cry to Me,
HOS.8.2	‘My God, 
HOS.8.3	Israel has rejected the good;
HOS.8.3	The enemy will pursue him.
HOS.8.4	“They
HOS.8.4	They made princes, but I did not acknowledge 
HOS.8.4	From their silver and gold
HOS.8.4	They made idols for themselves—
HOS.8.4	That they might be cut off.
HOS.8.5	Your calf is rejected, O Samaria!
HOS.8.5	My anger is aroused against them—
HOS.8.5	How long until they attain to innocence?
HOS.8.6	For from Israel 
HOS.8.6	A 
HOS.8.6	But the calf of Samaria shall be broken to pieces.
HOS.8.7	“They
HOS.8.7	And reap the whirlwind.
HOS.8.7	The stalk has no bud;
HOS.8.7	It shall never produce meal.
HOS.8.7	If it should produce,
HOS.8.7	Aliens would swallow it up.
HOS.8.8	Israel is swallowed up;
HOS.8.8	Now they are among the Gentiles
HOS.8.8	Like a vessel in which 
HOS.8.9	For they have gone up to Assyria,
HOS.8.9	Ephraim 
HOS.8.10	Yes, though they have hired among the nations,
HOS.8.10	Now 
HOS.8.10	And they shall sorrow a little,
HOS.8.10	Because of the burden of 
HOS.8.11	“Because Ephraim has made many altars for sin,
HOS.8.11	They have become for him altars for sinning.
HOS.8.12	I have written for him 
HOS.8.12	 they were considered a strange thing.
HOS.8.13	 the sacrifices of My offerings 
HOS.8.13	 the 
HOS.8.13	Now He will remember their iniquity and punish their sins.
HOS.8.13	They shall return to Egypt.
HOS.8.14	“For
HOS.8.14	And has built temples;
HOS.8.14	Judah also has multiplied 
HOS.8.14	But 
HOS.8.14	And it shall devour his palaces.”
HOS.9.1	Do
HOS.9.1	For you have played the harlot against your God.
HOS.9.1	You have made love 
HOS.9.2	The threshing floor and the winepress
HOS.9.2	Shall not feed them,
HOS.9.2	And the new wine shall fail in her.
HOS.9.3	They shall not dwell in 
HOS.9.3	But Ephraim shall return to Egypt,
HOS.9.3	And 
HOS.9.4	They shall not offer wine 
HOS.9.4	Nor 
HOS.9.4	All who eat it shall be defiled.
HOS.9.4	For their bread 
HOS.9.4	It shall not come into the house of the 
HOS.9.5	What will you do in the appointed day,
HOS.9.5	And in the day of the feast of the 
HOS.9.6	For indeed they are gone because of destruction.
HOS.9.6	Egypt shall gather them up;
HOS.9.6	Memphis shall bury them.
HOS.9.6	Nettles shall possess their valuables of silver;
HOS.9.6	Thorns 
HOS.9.7	The 
HOS.9.7	The days of recompense have come.
HOS.9.7	Israel knows!
HOS.9.7	The prophet 
HOS.9.7	The spiritual man 
HOS.9.7	Because of the greatness of your iniquity and great enmity.
HOS.9.8	The 
HOS.9.8	But the prophet 
HOS.9.8	Enmity in the house of his God.
HOS.9.9	They are deeply corrupted,
HOS.9.9	As in the days of 
HOS.9.9	He will remember their iniquity;
HOS.9.9	He will punish their sins.
HOS.9.10	“I found Israel
HOS.9.10	Like grapes in the 
HOS.9.10	I saw your fathers
HOS.9.10	As the 
HOS.9.10	 they went to 
HOS.9.10	And separated themselves 
HOS.9.10	They became an abomination like the thing they loved.
HOS.9.11	No birth, no pregnancy, and no conception!
HOS.9.12	Though they bring up their children,
HOS.9.12	Yet I will bereave them to the last man.
HOS.9.12	Yes, 
HOS.9.13	Just 
HOS.9.13	So Ephraim will bring out his children to the murderer.”
HOS.9.14	Give them, O 
HOS.9.14	What will You give?
HOS.9.14	Give them 
HOS.9.14	And dry breasts!
HOS.9.15	“All their wickedness 
HOS.9.15	For there I hated them.
HOS.9.15	Because of the evil of their deeds
HOS.9.15	I will drive them from My house;
HOS.9.15	I will love them no more.
HOS.9.15	All their princes 
HOS.9.16	Ephraim is 
HOS.9.16	Their root is dried up;
HOS.9.16	They shall bear no fruit.
HOS.9.16	Yes, were they to bear children,
HOS.9.16	I would kill the darlings of their womb.”
HOS.9.17	My God will 
HOS.9.17	Because they did not obey Him;
HOS.9.17	And they shall be 
HOS.10.1	Israel 
HOS.10.1	He brings forth fruit for himself.
HOS.10.1	According to the multitude of his fruit
HOS.10.1	He has increased the altars;
HOS.10.1	According to the bounty of his land
HOS.10.1	They have embellished 
HOS.10.2	Their heart is 
HOS.10.2	Now they are held guilty.
HOS.10.2	He will break down their altars;
HOS.10.2	He will ruin their 
HOS.10.3	For now they say,
HOS.10.3	“We have no king,
HOS.10.3	Because we did not fear the 
HOS.10.3	And as for a king, what would he do for us?”
HOS.10.4	They have spoken words,
HOS.10.4	Swearing falsely in making a covenant.
HOS.10.4	Thus judgment springs up 
HOS.10.5	The inhabitants of Samaria fear
HOS.10.5	Because of the 
HOS.10.5	For its people mourn for it,
HOS.10.5	And its priests shriek for it—
HOS.10.5	Because its 
HOS.10.6	 a present for King 
HOS.10.6	Ephraim shall receive shame,
HOS.10.6	And Israel shall be ashamed of his own counsel.
HOS.10.7	Like a twig on the water.
HOS.10.8	Also the 
HOS.10.8	Shall be destroyed.
HOS.10.8	The thorn and thistle shall grow on their altars;
HOS.10.8	They shall say to the mountains, “Cover us!”
HOS.10.8	And to the hills, “Fall on us!”
HOS.10.9	“O Israel, you have sinned from the days of 
HOS.10.9	There they stood.
HOS.10.9	The 
HOS.10.9	Did not overtake them.
HOS.10.10	When 
HOS.10.10	Peoples shall be gathered against them
HOS.10.10	When I bind them for their two transgressions.
HOS.10.11	Ephraim 
HOS.10.11	That loves to thresh 
HOS.10.11	But I harnessed her fair neck,
HOS.10.11	I will make Ephraim pull 
HOS.10.11	Judah shall plow;
HOS.10.11	Jacob shall break his clods.”
HOS.10.12	Sow for yourselves righteousness;
HOS.10.12	Reap in mercy;
HOS.10.12	Break up your fallow ground,
HOS.10.12	For 
HOS.10.12	Till He 
HOS.10.13	You have plowed wickedness;
HOS.10.13	You have reaped iniquity.
HOS.10.13	You have eaten the fruit of lies,
HOS.10.13	Because you trusted in your own way,
HOS.10.13	In the multitude of your mighty men.
HOS.10.14	Therefore tumult shall arise among your people,
HOS.10.14	And all your fortresses shall be plundered
HOS.10.14	As Shalman plundered Beth Arbel in the day of battle—
HOS.10.14	A mother dashed in pieces upon 
HOS.10.15	Thus it shall be done to you, O Bethel,
HOS.10.15	Because of your great wickedness.
HOS.10.15	At dawn the king of Israel
HOS.10.15	Shall be cut off utterly.
HOS.11.1	“When Israel 
HOS.11.1	And out of Egypt 
HOS.11.2	 they called them,
HOS.11.2	So they 
HOS.11.2	They sacrificed to the Baals,
HOS.11.2	And burned incense to carved images.
HOS.11.3	“I
HOS.11.3	Taking them by their arms;
HOS.11.3	But they did not know that 
HOS.11.4	I drew them with gentle cords,
HOS.11.4	With bands of love,
HOS.11.4	And 
HOS.11.4	I stooped 
HOS.11.5	“He shall not return to the land of Egypt;
HOS.11.5	But the Assyrian shall be his king,
HOS.11.5	Because they refused to repent.
HOS.11.6	And the sword shall slash in his cities,
HOS.11.6	Devour his districts,
HOS.11.6	And consume 
HOS.11.6	Because of their own counsels.
HOS.11.7	My people are bent on 
HOS.11.7	Though they call to the Most High,
HOS.11.7	None at all exalt 
HOS.11.8	“How
HOS.11.8	 can I hand you over, Israel?
HOS.11.8	How can I make you like 
HOS.11.8	 can I set you like Zeboiim?
HOS.11.8	My heart churns within Me;
HOS.11.8	My sympathy is stirred.
HOS.11.9	I will not execute the fierceness of My anger;
HOS.11.9	I will not again destroy Ephraim.
HOS.11.9	For I 
HOS.11.9	The Holy One in your midst;
HOS.11.9	And I will not come with terror.
HOS.11.10	“They shall walk after the 
HOS.11.10	He will roar like a lion.
HOS.11.10	When He roars,
HOS.11.10	Then 
HOS.11.11	They shall come trembling like a bird from Egypt,
HOS.11.11	Like a dove from the land of Assyria.
HOS.11.11	And I will let them dwell in their houses,”
HOS.11.11	Says the 
HOS.11.12	“Ephraim has encircled Me with lies,
HOS.11.12	And the house of Israel with deceit;
HOS.11.12	But Judah still walks with God,
HOS.11.12	Even with the Holy One 
HOS.12.1	“Ephraim 
HOS.12.1	And pursues the east wind;
HOS.12.1	He daily increases lies and desolation.
HOS.12.1	Also they make a covenant with the Assyrians,
HOS.12.1	And 
HOS.12.2	“The
HOS.12.2	And will punish Jacob according to his ways;
HOS.12.2	According to his deeds He will recompense him.
HOS.12.3	He took his brother 
HOS.12.3	And in his strength he 
HOS.12.4	Yes, he struggled with the Angel and prevailed;
HOS.12.4	He wept, and sought favor from Him.
HOS.12.4	He found Him 
HOS.12.4	And there He spoke to us—
HOS.12.5	That is, the 
HOS.12.5	The 
HOS.12.6	So you, by 
HOS.12.6	Observe mercy and justice,
HOS.12.6	And wait on your God continually.
HOS.12.7	“A cunning Canaanite!
HOS.12.7	Deceitful scales 
HOS.12.7	He loves to oppress.
HOS.12.8	And Ephraim said,
HOS.12.8	‘Surely I have become rich,
HOS.12.8	I have found wealth for myself;
HOS.12.8	 all my labors
HOS.12.8	They shall find in me no iniquity that 
HOS.12.9	“But I 
HOS.12.9	Ever since the land of Egypt;
HOS.12.9	I will again make you dwell in tents,
HOS.12.9	As in the days of the appointed feast.
HOS.12.10	I have also spoken by the prophets,
HOS.12.10	And have multiplied visions;
HOS.12.10	I have given symbols through the witness of the prophets.”
HOS.12.11	Though 
HOS.12.11	Surely they are vanity—
HOS.12.11	Though they sacrifice bulls in 
HOS.12.11	Indeed their altars 
HOS.12.12	Jacob 
HOS.12.12	Israel served for a spouse,
HOS.12.12	And for a wife he tended 
HOS.12.13	By a prophet the 
HOS.12.13	And by a prophet he was preserved.
HOS.12.14	Ephraim 
HOS.12.14	Therefore his Lord will leave the guilt of his bloodshed upon him,
HOS.12.14	And return his reproach upon him.
HOS.13.1	When Ephraim spoke, trembling,
HOS.13.1	He exalted 
HOS.13.1	But when he offended through Baal 
HOS.13.2	Now they sin more and more,
HOS.13.2	And have made for themselves molded images,
HOS.13.2	Idols of their silver, according to their skill;
HOS.13.2	All of it 
HOS.13.2	They say of them,
HOS.13.2	“Let the men who sacrifice kiss the calves!”
HOS.13.3	Therefore they shall be like the morning cloud
HOS.13.3	And like the early dew that passes away,
HOS.13.3	Like chaff blown off from a threshing floor
HOS.13.3	And like smoke from a chimney.
HOS.13.4	“Yet 
HOS.13.4	Ever since the land of Egypt,
HOS.13.4	And you shall know no God but Me;
HOS.13.4	For 
HOS.13.5	I knew you in the wilderness,
HOS.13.5	In the land of great drought.
HOS.13.6	When they had pasture, they were filled;
HOS.13.6	They were filled and their heart was exalted;
HOS.13.6	Therefore they forgot Me.
HOS.13.7	“So 
HOS.13.7	Like 
HOS.13.8	I will meet them 
HOS.13.8	I will tear open their rib cage,
HOS.13.8	And there I will devour them like a lion.
HOS.13.8	The wild beast shall tear them.
HOS.13.9	“O Israel, you are destroyed,
HOS.13.9	But your help 
HOS.13.10	I will be your King;
HOS.13.10	Where 
HOS.13.10	That he may save you in all your cities?
HOS.13.10	And your judges to whom 
HOS.13.10	‘Give me a king and princes’?
HOS.13.11	I gave you a king in My anger,
HOS.13.11	And took 
HOS.13.12	“The
HOS.13.12	His sin 
HOS.13.13	The sorrows of a woman in childbirth shall come upon him.
HOS.13.13	He 
HOS.13.13	For he should not stay long where children are born.
HOS.13.14	“I will ransom them from the power of the grave;
HOS.13.14	I will redeem them from death.
HOS.13.14	O Death, I will be your plagues!
HOS.13.14	O Grave, I will be your destruction!
HOS.13.14	Pity is hidden from My eyes.”
HOS.13.15	Though he is fruitful among 
HOS.13.15	An east wind shall come;
HOS.13.15	The wind of the 
HOS.13.15	Then his spring shall become dry,
HOS.13.15	And his fountain shall be dried up.
HOS.13.15	He shall plunder the treasury of every desirable prize.
HOS.13.16	Samaria is held guilty,
HOS.13.16	For she has 
HOS.13.16	They shall fall by the sword,
HOS.13.16	Their infants shall be dashed in pieces,
HOS.13.16	And their women with child 
HOS.14.1	O Israel, 
HOS.14.1	For you have stumbled because of your iniquity;
HOS.14.2	Take words with you,
HOS.14.2	And return to the 
HOS.14.2	Say to Him,
HOS.14.2	“Take away all iniquity;
HOS.14.2	Receive 
HOS.14.2	For we will offer the 
HOS.14.3	Assyria shall 
HOS.14.3	We will not ride on horses,
HOS.14.3	Nor will we say anymore to the work of our hands, ‘
HOS.14.3	For in You the fatherless finds mercy.”
HOS.14.4	“I will heal their 
HOS.14.4	I will 
HOS.14.4	For My anger has turned away from him.
HOS.14.5	I will be like the 
HOS.14.5	He shall grow like the lily,
HOS.14.5	And lengthen his roots like Lebanon.
HOS.14.6	His branches shall spread;
HOS.14.6	His beauty shall be like an olive tree,
HOS.14.6	And 
HOS.14.7	Those who dwell under his shadow shall return;
HOS.14.7	They shall be revived 
HOS.14.7	And grow like a vine.
HOS.14.7	Their scent 
HOS.14.8	“Ephraim 
HOS.14.8	I have heard and observed him.
HOS.14.8	I 
HOS.14.8	Your fruit is found in Me.”
HOS.14.9	Who 
HOS.14.9	Let him understand these things.
HOS.14.9	Let him know them.
HOS.14.9	For 
HOS.14.9	The righteous walk in them,
HOS.14.9	But transgressors stumble in them.
JOL.1.1	The word of the 
JOL.1.2	Hear this, you elders,
JOL.1.2	And give ear, all you inhabitants of the land!
JOL.1.2	Has 
JOL.1.2	Or even in the days of your fathers?
JOL.1.3	Tell your children about it,
JOL.1.3	 your children 
JOL.1.3	And their children another generation.
JOL.1.4	What the chewing locust left, the 
JOL.1.4	What the swarming locust left, the crawling locust has eaten;
JOL.1.4	And what the crawling locust left, the consuming locust has eaten.
JOL.1.5	Awake, you 
JOL.1.5	And wail, all you drinkers of wine,
JOL.1.5	Because of the new wine,
JOL.1.5	For it has been cut off from your mouth.
JOL.1.6	For 
JOL.1.6	Strong, and without number;
JOL.1.6	His teeth 
JOL.1.6	And he has the fangs of a fierce lion.
JOL.1.7	He has 
JOL.1.7	And ruined My fig tree;
JOL.1.7	He has stripped it bare and thrown 
JOL.1.7	Its branches are made white.
JOL.1.8	Lament like a virgin girded with sackcloth
JOL.1.8	For 
JOL.1.9	The grain offering and the drink offering
JOL.1.9	Have been cut off from the house of the 
JOL.1.9	The priests 
JOL.1.10	The field is wasted,
JOL.1.10	The land mourns;
JOL.1.10	For the grain is ruined,
JOL.1.10	The new wine is dried up,
JOL.1.10	The oil fails.
JOL.1.11	Be ashamed, you farmers,
JOL.1.11	Wail, you vinedressers,
JOL.1.11	For the wheat and the barley;
JOL.1.11	Because the harvest of the field has perished.
JOL.1.12	The vine has dried up,
JOL.1.12	And the fig tree has withered;
JOL.1.12	The pomegranate tree,
JOL.1.12	The palm tree also,
JOL.1.12	And the apple tree—
JOL.1.12	All the trees of the field are withered;
JOL.1.12	Surely 
JOL.1.13	Gird yourselves and lament, you priests;
JOL.1.13	Wail, you who minister before the altar;
JOL.1.13	Come, lie all night in sackcloth,
JOL.1.13	You who minister to my God;
JOL.1.13	For the grain offering and the drink offering
JOL.1.13	Are withheld from the house of your God.
JOL.1.14	Consecrate a fast,
JOL.1.14	Call 
JOL.1.14	Gather the elders
JOL.1.14	 the house of the 
JOL.1.14	And cry out to the 
JOL.1.15	Alas for the day!
JOL.1.15	For 
JOL.1.15	It shall come as destruction from the Almighty.
JOL.1.16	Is not the food 
JOL.1.16	Joy and gladness from the house of our God?
JOL.1.17	The seed shrivels under the clods,
JOL.1.17	Storehouses are in shambles;
JOL.1.17	Barns are broken down,
JOL.1.17	For the grain has withered.
JOL.1.18	How 
JOL.1.18	The herds of cattle are restless,
JOL.1.18	Because they have no pasture;
JOL.1.18	Even the flocks of sheep suffer punishment.
JOL.1.19	O 
JOL.1.19	For 
JOL.1.19	And a flame has burned all the trees of the field.
JOL.1.20	The beasts of the field also 
JOL.1.20	For 
JOL.1.20	And fire has devoured the open pastures.
JOL.2.1	Blow 
JOL.2.1	And 
JOL.2.1	Let all the inhabitants of the land tremble;
JOL.2.1	For 
JOL.2.1	For it is at hand:
JOL.2.2	A day of darkness and gloominess,
JOL.2.2	A day of clouds and thick darkness,
JOL.2.2	Like the morning 
JOL.2.2	A people 
JOL.2.2	The like of whom has never been;
JOL.2.2	Nor will there ever be any 
JOL.2.2	Even for many successive generations.
JOL.2.3	A fire devours before them,
JOL.2.3	And behind them a flame burns;
JOL.2.3	The land 
JOL.2.3	And behind them a desolate wilderness;
JOL.2.3	Surely nothing shall escape them.
JOL.2.4	Their appearance is like the appearance of horses;
JOL.2.4	And like swift steeds, so they run.
JOL.2.5	With a noise like chariots
JOL.2.5	Over mountaintops they leap,
JOL.2.5	Like the noise of a flaming fire that devours the stubble,
JOL.2.5	Like a strong people set in battle array.
JOL.2.6	Before them the people writhe in pain;
JOL.2.6	All faces are drained of color.
JOL.2.7	They run like mighty men,
JOL.2.7	They climb the wall like men of war;
JOL.2.7	Every one marches in formation,
JOL.2.7	And they do not break 
JOL.2.8	They do not push one another;
JOL.2.8	Every one marches in his own column.
JOL.2.8	Though they lunge between the weapons,
JOL.2.8	They are not cut down.
JOL.2.9	They run to and fro in the city,
JOL.2.9	They run on the wall;
JOL.2.9	They climb into the houses,
JOL.2.9	They 
JOL.2.10	The earth quakes before them,
JOL.2.10	The heavens tremble;
JOL.2.10	The sun and moon grow dark,
JOL.2.10	And the stars diminish their brightness.
JOL.2.11	The 
JOL.2.11	For His camp is very great;
JOL.2.11	For strong 
JOL.2.11	For the 
JOL.2.11	Who can endure it?
JOL.2.12	“Now, therefore,” says the 
JOL.2.12	“Turn to Me with all your heart,
JOL.2.12	With fasting, with weeping, and with mourning.”
JOL.2.13	So 
JOL.2.13	Return to the 
JOL.2.13	For He 
JOL.2.13	Slow to anger, and of great kindness;
JOL.2.13	And He relents from doing harm.
JOL.2.14	Who knows 
JOL.2.14	And leave 
JOL.2.14	A grain offering and a drink offering
JOL.2.14	For the 
JOL.2.15	Blow the trumpet in Zion,
JOL.2.15	Consecrate a fast,
JOL.2.15	Call a sacred assembly;
JOL.2.16	Gather the people,
JOL.2.16	Sanctify the congregation,
JOL.2.16	Assemble the elders,
JOL.2.16	Gather the children and nursing babes;
JOL.2.16	Let the bridegroom go out from his chamber,
JOL.2.16	And the bride from her dressing room.
JOL.2.17	Let the priests, who minister to the 
JOL.2.17	Weep 
JOL.2.17	Let them say, 
JOL.2.17	And do not give Your heritage to reproach,
JOL.2.17	That the nations should rule over them.
JOL.2.17	Why should they say among the peoples,
JOL.2.17	‘Where 
JOL.2.18	Then the 
JOL.2.18	And pity His people.
JOL.2.19	The 
JOL.2.19	“Behold, I will send you 
JOL.2.19	And you will be satisfied by them;
JOL.2.19	I will no longer make you a reproach among the nations.
JOL.2.20	“But 
JOL.2.20	And will drive him away into a barren and desolate land,
JOL.2.20	With his face toward the eastern sea
JOL.2.20	And his back 
JOL.2.20	His stench will come up,
JOL.2.20	And his foul odor will rise,
JOL.2.20	Because he has done monstrous things.”
JOL.2.21	Fear not, O land;
JOL.2.21	Be glad and rejoice,
JOL.2.21	For the 
JOL.2.22	Do not be afraid, you beasts of the field;
JOL.2.22	For 
JOL.2.22	And the tree bears its fruit;
JOL.2.22	The fig tree and the vine yield their strength.
