MAT.1.2	Abraham Isak ka abatii, ho Isak Jakob ka aba, ho Jakob Juda la mohka anuabañ atañka aba, 
TIT.3.2	kone mitrḛ diimmah aguñ lubi yayo, gasupasu mi apatolya, yanu tolya, ho kakiñ tolya digoabiaya yanuyamya mi hikha miyu atañmi. 
TIT.3.3	Niimpalukoda ngunu atoh tiirḛ ronge piicha toke, luniiñtamato, ngola dato, abuje helyihembyo la hempyo soniiñ ka miirapa lyito, ngunuka sango mi kanamapa ho kariñsiila ka miiniiñho santo, miyu atañlo kahu kola ho kone anyañmi kahu siila; 
TIT.3.4	hojalo niido hokii aya ho hensunii helakala Pinii ngunuka Lyangur boko hokii ahtiiku, 
TIT.3.5	mo ngunumi lyangur tiiku, ngunuka denki hoka miigo miiniiñ kopama, hojalo mohka aroh ka henjukopa sii, asekula aya yadopa ho nitidopa miitiiku Darii Yajiyallo ho, 
TIT.3.6	nii mina mo ngunuka ayoh ho bitii kunii Jisu Kristo ngunu mika Lyangurbonii kiilo, 
TIT.3.7	niimpalukoda ngunumi lupya dukupa hiila mohka aroh-aya lo ho pensikoniiñ pa lyidoku santḛrlamanii sango ka hentiñ ho. 
TIT.3.8	Luniiñsi jije.
TIT.3.8	Ngo hiila hendo niimi siika drih atañ soya miikañ ari miikiñcho, niimpalukoda hutiina Pinii mi henje nyadonii hendi biidola atoh atohmi miilii siidopa aya miigo atañ so; siika atañsi ayalodake ho miijo dokiñ doke miyu atañpa. 
TIT.3.9	Hojalo apatolya piigoamanii Chesuresunii atañmi, ohoasi atañmi, taliisiimanii atañmi, ho dapo paka gasupasu nii atañmi, niimpalukoda hiika hii hang miijo dokiñma ho piigoamaniisu. 
TIT.3.10	Lukhu luche nii miyu pako da, ronge malo ronye lulyañ luka biidola, ho mohmi hang luba dopa lyilya yo, 
TIT.3.11	chimbiidola sitañ miyu hii miigyanii ho ingyamiigyanii; mo atoh haliisiiku niike.
TIT.3.12	Ngiika Artemas malo Taichikas mika niiko kiiniñ lyiho, niika miikhe jami ngiiko ahdupa miitolya Nikopolis ho, niimpalukoda ngo dorii so hiikoho duchi hiila hendo. 
TIT.3.13	Niika henkhe jami hembyuñ tolya Zenas dapochenii bomi la Apollos nyimi mohluka lembo insa komi; kage tolya mohlukii hang papo masu ha hiila. 
TIT.3.14	Ho ngunuka miyu mi chingii kiine tolya aya miigo miiju ho atoh atohmi miilii siidopa, niimpalukoda aniipiida anna laka lyinii mi hembyuñ dopa, ho piigoama pa miike nelyayo.
TIT.3.15	Hikha hutiina ngiika agiñho dunii ayahelyi mi niipa bilii biilyi ke. Ayahelyi lutolya hutiina ngunumi hendonii henje ho.
TIT.3.15	Aroh-aya hikha nunu miilañruko dokiñcho.
PHM.1.1	Pol, Kristo Jisu paka pattiih tuñkonii, ho Timoti ngunuka anu,
PHM.1.1	Pailemon ngunuka heniiñja miigo miihiñnii ahiñ mi 
PHM.1.2	ho Appia ngunuka barmii ho Arkippas ngunuka sipahi ahiñ mi, ho niika ude daka gyoliñkonii mi:
PHM.1.5	niimpalukoda ngo tapado niika heniiñmi ho henje niimi Attoh Jisu kii dalyiho hikha piniimiyu atañpa, 
PHM.1.6	ho ngo hiila kudu niika henje mika luko lyiho hikha aya drih ngunuka Kristo koka giiniiñ mi aya yapa chindopa hata chagii kencho hiila. 
PHM.1.7	Niimpalukoda ngo abuje hempyo ho hembyuñnii niika heniiñ hokii lariitii, ngiika anusi, niimpalukoda piniimiyu atañka ahha mi jojo dopa miitii niikii dalyi hokiila.
PHM.1.8	Lusudokoda, ngiiko khepa haro giido Kristo ko niimi hiila miitote hiila lula dopa nii mina anna donii, 
PHM.1.9	hojalo hensu nii drih kiipa ngo niimi yarla ya yarna do, ngo, Pol, mohkii dalyi paka annii ho siisi Kristo Jisu paka pattiih tunkonii, 
PHM.1.10	 Ngo niimi yarlyi ke ngiika wiinga, Onesimas
PHM.1.11	(Kapyo ho mo niipa hang piigo ama ne, hojalo siisi mo piigo ahkiñ dokuke niipa ho ngiipa.) 
PHM.1.12	Ngo mohmi niiko kiiniñ nenku biilyi kuke, ngiika ahha jami ke kiiniñ biilyinii. 
PHM.1.13	Ngo mohmi ngiiko atii biido koda ano hempyo biikiñ siido, niimpalukoda mo niika miiho saniiñ mi ngiimi miibi kendo ngiika ayapuyu paka patiihtunko tola doso; 
PHM.1.14	hojalo ngo niimi taka mapa hang miipa hema niimpalukoda niika denki henju mi cheche pa miito lunama hiilamapa no atoh hembiidola miikiñcho hiila hendo.
PHM.1.15	Rongkoda siikasi sipa diike mo niiko hokii ichuchepa he impe siitiinii, niimpalukoda no mohmi ayudahepa niiko ahkur kiine dukupa hiila, 
PHM.1.16	miira pama pa miira mi khiiniiñ yapa, heniiñja anu pa, luchila ngiipa hojalo niipa niimkane abuya, asiialyo hotiirḛ ho Attoh kotrḛ. 
PHM.1.17	Hopa no ngiimi niika miihiñ ahiñ hendo milo, lariito mohmi ngiimika larii kachañ ho. 
PHM.1.18	Mo matiirḛ niimi miigya siitii kujalopa, malo niiko hokii hang pagiraguñ giido jalo pa, hiimi ngiika bigo ho khiigyo liito. 
PHM.1.19	Ngo, Pol, siika siimi ngiika alah lo kebii lyike, ngo bili talyike siimi-hang lupa mapa niika ngiipaka atohmika hempa siibi niimi lohepa. 
PHM.1.20	Ḛh, anu, ngo nolo iche hembo konado Attoh ko. Ngiika ahha mi jojo dopa miipe Kristo ko.
PHM.1.21	Niika taliisaniimi hatii biidola, ngo niimi kebii lyi, chimbii dola no ngiika siika luniiñ mitrḛ abu yapa miikiñdo hiila. 
PHM.1.22	Siika agiñ so, ngiipa nyibo dukomi miimyo tolya, niimpalukoda ngo hentiñdo nunuka kuniiñ lo nunu kiimi talii kendo hiila.
PHM.1.24	 ho Mak, Aristarkas, Demas, ho Luk, ngiika miigo miihiñ atañ.
PHM.1.25	Attoh Jisu Kristo ka aroh-aya hii niika yajiyallo ka agiñho dabo kencho.
HEB.1.1	Abuje ho ponsa ponsa lembopa Pinii luriitii ayuho ngunuka aba atañmi nyibuhenii atañlo; 
HEB.1.2	hojalo siika kamikalo allo ho mo ngunumi mohka Oho lo luriitii, humina mo kahetiinii kapane drih atañmi pensi koniipa, hukiilona mo dohadolo mi puliñtiinii. 
HEB.1.3	Mo Pinii ka tatukatu mi byokur lingiido ho mohka tiihoniiñ henjujami giido, siichañmiido mi mohka aguñka harchichikelo gatu biitola. Mo ingyamiigyanii atañmi darii miite hekula, mo Pinii kahejaka lahbi alah ho duku.
HEB.1.4	Miidopopi atañmi ano kayeyado mohka armyañ myanko niitrḛ mohlumi ano khiiniiñya. 
HEB.1.5	Niimpalukoda nii miidopopi mi Pinii lune,
HEB.1.5	“No ngiika Oho,
HEB.1.5	siilokii ngo niimi chibii lyikuke”?
HEB.1.5	Malo hiira,
HEB.1.5	“Ngo mohka aba pa lyikiñdo,
HEB.1.5	ho mo ngiika oho pa”?
HEB.1.6	Ho hiira, mohka butu wiinga mika dohadolo soka ahgii lyiho, mo lune,
HEB.1.6	“Hikha Pinii ka miidopopi atañ mohmi herii tolya.”
HEB.1.7	Miidopopi atañmi mo lune,
HEB.1.7	“Hu mohka miidopopi atañka ale mi miine,
HEB.1.7	ho mohka miira atañmi yamu miilyopa.”
HEB.1.8	Hojalo Oho mi mo lune,
HEB.1.8	“Niika raddeduko, O Pinii, ayu kolyuñ kolo dahepa dokiñdo,
HEB.1.8	denki raddepanyi sangii naniiñsi niika raddeganda ka raddepanyi.
HEB.1.9	No denki hiiniiñ hemi hentii ho diimmah hiiniiñ hemi kanamatii;
HEB.1.9	hopa Pinii, niika Pinii, niimi arrḛyartiiku
HEB.1.9	hempyo ka kutulo hikha niika dahiñ atañmi kahejapa.”
HEB.1.10	Ho,
HEB.1.10	“No, Attoh, kiiddiapiñ mi putii lotu jaho,
HEB.1.10	ho yapuñ hii niika alah loka puniiñ;
HEB.1.11	siika atañsi lyukiñdo, hojalo no dakañ kendo;
HEB.1.11	siika atañsi hikha akha kendo pulye khu hiilyañ,
HEB.1.12	pulye chitañ no mohlumi karbii kendo,
HEB.1.12	ho mohlu lyiguh kendo.
HEB.1.12	Hojalo no hiira siisu,
HEB.1.12	ho niika anyañ pema nyanja kema.”
HEB.1.13	Hojalo Pinii nii miidopopi mi lune,
HEB.1.13	“Duto ngiika lahbi alah so
HEB.1.13	nii dahepa ngo niika ahha-banii atañmi
HEB.1.13	niika alih data naniiñpa miitema”?
HEB.1.14	Mohlu hikha miihoniiñ yajiyallo masupeha miiho niipaka kiiniñ konii, hikha hiika atañpa hutiina sangopyako mi kapa kendonii?
HEB.2.1	Hopa ngunu taniiyala tagekendo niihna ngunu tapa tiinii, hiilamakoda ngunu hiikohokii ngokiñdo. 
HEB.2.2	Niimpalukoda puyu miidopopi atañka luniiñ matiirḛ jije koda ho kapane talemiile malo luniiñtamanii atañ miikhiiñ kokiñ dokoda, 
HEB.2.3	niihtañpa ngunu hargii talyi ngunu matiirḛ sitañ kaye sangopyako mi mapa dokoda? Siimi kapyopa Attoh lukone, ho siimi ngunumi jije lutiiku hiika hutiina mohmi tapa nyanenii, 
HEB.2.4	Pinii tiirḛ haki bitii kagiñnanii ho kahotamo ho abuje miimalyanii lo ho Darii Yajiyallo ka ahmiñayiñ mi mohka atoh henko jaho khetii.
HEB.2.5	Niimpalukoda siimi miidopopi mimake Pinii kabiitote lunii ahsanii dohadolo mi, nii mina ngunu ludonii. 
HEB.2.6	Siimi koneda pyako tola done,
HEB.2.6	“Miyu si niihpe niika mohlumika hendopaka lyiniiñsi,
HEB.2.6	Malo miyu ka oho, niimpalukoda no mohmika kalyañ doniiñsi?
HEB.2.7	No mohmi arche hepa miidopopi atañmi atu yadopa miitii,
HEB.2.7	no mohmi tahiñbyopa mi agiitii tatukatu ho khiiniiñ ka agiñho,
HEB.2.8	amane drih mi mohka alih liidi ho dopa.”
HEB.2.8	Siisi amane drih mi mohka ura ho dopa miila lala, mo hang apama agoho mohka miila madopa. Si chulipa, ngunu siisi kapama amane drih mi mohka ura ho dopa. 
HEB.2.9	Hojalo ngunu Jisu mi kapado, humina arche hepa miidopopi mi atu yadopa miitiinii, tatukatu ka agiñho tayyiñbyopa agiitii khiibii dola niimpalukoda shiiniiñ ka heru mika henko hopa, niimpalukoda Pinii ka aroh-aya kopa mohmi shiiniiñ mi henka kiine dupa kone abipa.
HEB.2.10	Niimpalukoda siikasi miitatola doku mohpa, hupana ho hukohokiina kapane drih atañ lintii nii, abuje oho atañmi tatukatu ho ahgii lala, mohluka sangopyako mika miitu rigii niimi digoabiaya dopa miitii heru heniiñlo. 
HEB.2.11	Niimpalukoda huna darii miidonii ho hutiina dariimiiko tiikunii hikha kone hokii ke lindonii. Hopa niihna mo hiinyañ manii mohlumi anubarmii hiila gyodupa, 
HEB.2.12	lubiidola,
HEB.2.12	“Ngo gyuko talyi niika armyañ mi ngiika anubarmii atañko,
HEB.2.12	miyu apurho ngo niimi assañ talyi.”
HEB.2.13	Ho hiira,
HEB.2.13	“Ngo ngiika henje mi mohko atii talyi.”
HEB.2.13	Ho hiira,
HEB.2.13	“Soke ngo danii, ho himme atañ Pinii ka ngiimika biniiñ.”
HEB.2.14	Hopa himme atañ asiialyo la ai nyi giido, mo atoh loda hiichulipa henju ahiñ jami giido, niimpalukoda shiiniiñlo mo pyadulodupa mohmi huko hona shiinii ka harchichike hii giidonii, hiikahii, igii, 
HEB.2.15	ho hikha hiika atañmi tupya tiiku hutiina shiisa niimi biisola hikha sango ho tumbii kotola donenii. 
HEB.2.16	Niimpalukoda jije siikasi mo miidopopi atañmi hena lama hojalo Abraham ka ohoasi atañmi. 
HEB.2.17	Hopa mohmi mohka anubarmii hiilyañpa miitii kapane henjumiijuho, niimpalukoda mohmi aroh la lyike nendupa ho lotii bukuñ nyibu pa Pinii mika miiho ko, miyu atañka ingyamiigyanii atañpa mensi liiko dupa. 
HEB.2.18	Niimpalukoda mo atoh loda tenkalarka kotii ho heru hentii, ho mo hembyuñ lakiñdo hutiimina tenkalarka biidonii.
HEB.3.1	Hopa, darii anubarmii atañ, hutiina dariiganda ka gyoniiñmi henche mondo nii, Jisu mi taliimonto, kiiniñkonii ho bukuñ nyibu ngunuka khako ko. 
HEB.3.2	Mo lotii bitii huna mohmi kahe tiinii, Mose ka lotii lochañ ho Pinii ka ude ho. 
HEB.3.3	Hojalo Jisu mi uro yapa khiinyatii tatukatu ho Mose mi hentola niihtañpa ude punii bomi uro yapa khiidu ude mi hentola. 
HEB.3.4	(Niimpalukoda ude penge abimi kone lo pencha kodu, hojalo kapane drih mika peniibo Pinii ke) 
HEB.3.5	Siisi Mose lotii tii hikha Pinii ka ude ho miira pa lyila, pyakola drih atañmi piijo daka luko saniiñmi, 
HEB.3.6	hojalo Kristo lotii tii Pinii ka ude ho oho pa lyila. Ho ngunu mohka ude ngunu matiirḛ ngunuka hatii la hentii nyimi biitola dukoda ngunuka hentiñho.
HEB.3.7	Hopa, Darii Yajiyallo ka lunii hiilyañpa,
HEB.3.7	“Siilo, nunu mohka aguñmi tapa lyiho,
HEB.3.8	nunu ahha mi alḛrpa miiyo chekho lyiyo hokii hiilyañ,
HEB.3.8	zabyo hoka tenkalarka allo ho,
HEB.3.9	nohna nunuka aba atañ ngiimi tenka nii
HEB.3.9	ho ngiika miigomi kapa biine nyang alyañpiilye he.
HEB.3.10	Hopa ngo hiika santuñ atañmi gato,
HEB.3.10	ho luto, ‘Mohlu kiirañ ngonyane mohluka ahha ho;
HEB.3.10	mohlu ngiika lembo mi chinya mane.’
HEB.3.11	Ngo ngiika hadii ho hemme to,
HEB.3.11	‘Mohlu pema ngiika dumo ko ahla kema.’”
HEB.3.12	Hendi nyatolya, anubarmii atañ, hiilamakoda hiiko nunuka punkoho diimmah dokiñ doke, henjemanii ahha, ngogiila nunumi turnii Pinii kokii huhi dopa. 
HEB.3.13	Hojalo kone anyañ mi haro lupa siito allo karmyañmi, nii dahepa luchi “siilo,” niimpalukoda kone hetrḛ henje madopa miiko lyayo ingyamiigya niika gollumisu lo. 
HEB.3.14	Niimpalukoda ngunu Kristo ko tache siidu, ngunu matiirḛ ngunuka kapyo daka hatii mi abyu mapa gabii tola dokoda kamikalo lohe, 
HEB.3.15	hiila siikasi lutii,
HEB.3.15	“Siilo, niida nunu mohka aguñmi tapa talyi,
HEB.3.15	pema nunuka ahha mi alḛrpa miilyo chekho lyiyo hokii hiilyañ.”
HEB.3.16	Hutiina hiika atañ huna tapa lala ho chekho tiinii? Hiika atañ masupeha hikha hutiina Egip hokii lintii kunii Mose ka sangii laka lyiko? 
HEB.3.17	Ho humina mo nyang alyañpiilye hatii tiinii? Hiika atañ hutiina ingyamiigya nyatiinii hiima siipeha, huka shiimana zabyo ho huhi nyanenii? 
HEB.3.18	Ho humina mo hemme nyanenii mohlu pema ngiika dumoko ahkiñ make, hojalo hiika atañpa hutiina luniiñ tamanii? 
HEB.3.19	Ho ngunu kapado mohlu ahla matii niimpalukoda henje mako hopa.
HEB.4.1	Hopa, mohka hemme biniiñ dumo koka ahsa niihii dolya tii, kiije biisosa hiila makoda nunu ayakacho kakola hiiko ahchi lama pa miidii ke. 
HEB.4.2	Niimpalukoda ngunuko ayapuyu ahtii mohluko hoka ahchañ ho; hojalo mohluka puyu tapanii mohlupa piigo ahgii matii, niimpalukoda siimi henjelo tanii atañ tamatii. 
HEB.4.3	Niimpalukoda ngunu hutiina henje donii hiika dumo ko ahkiñdo, mohka luniiñ chuli,
HEB.4.3	“Ngo ngiika hadii ho hemme tii,
HEB.4.3	‘Mohlu pema ngiika dumo ko ahkiñ make,’”
HEB.4.3	mohka miigo hii miija siitiikujalo dohadolo mika pulyi hokii. 
HEB.4.4	Niimpalukoda mo ngoyakoneda hiila kanunii allo mi lune, “Ho Pinii dumo tiiku kanu allo ho hikha mohka miigo miiniiñ hokii.” 
HEB.4.5	Ho hiira siika piigo mi mo lutii,
HEB.4.5	“Mohlu pema ngiika dumoko ahkiñ make.”
HEB.4.6	Hopa siisi jalo tongepa dolya do hiiko ahke nendupa, ho hutiina lapyo pa lariitiinii ayapuyu mi ahla matii niimpalukoda luniiñtama kopa, 
HEB.4.7	hiira mo allo loyeya atii bitii, “Siilo,” David kiilo lutii hempḛr abuje anyañ ka hiibaho, aguñ luniiñmi hiira lutila,
HEB.4.7	“Siilo, nunu mohka aguñ mika tapa doso,
HEB.4.7	nunuka ahha mi alḛr giiyo.”
HEB.4.8	Niimpalukoda Josua matiirḛ mohlumi hemmo dopa bitii koda, Pinii ludii matii loyeya allo mi. 
HEB.4.9	Hiiko hopa, dumoalo hii Pinii ka miyu atañpa dumo allo pa lyitii; 
HEB.4.10	niimpalukoda hu jalopa Pinii ka dumoko ahchi mohka miigomi dumo kendo Pinii ka mohka miigo hokii ka miichañ ho.
HEB.4.11	Kiije ngunu hopa uropa miisa mohka dumoko ahdupa, kone hetrḛ mohlu hiilyañ luniiñtamapa nyila huhimaduha. 
HEB.4.12	Niimpalukoda Pinii ka aguñ si turnii ho chikhoke, ilyo lyogañ lyoro areh giinii mitrḛ areh yake, yallo la yajiyallo lohepa khache khahe miila do, loriiloko ho lochuñ lohe, ho heniiñmi ho ahha hoka miichi hiila heniiñ lohepa chilado. 
HEB.4.13	Ho mohka hataho hikha pukonii kone tiirḛ achugiila kema, hojalo hikha rumi miiko tola arapa do mohka amee kata ho huka agiñ hona ngunu luko siido pa lyikiñ donii.
HEB.4.14	Hiiko hokiija ngunukii kaye bukuñ nyibu duku huna dariiganda mi impo biila intiinii, Jisu Pinii ka Oho, kiije ngunuka khako niimi khakañ ari khasa. 
HEB.4.15	Niimpalukoda ngunuka bukuñ nyibu hiitañ make huna ngunuka ajjuho ngunumi kalyañ lakiñ manii, hojalo kone humina kapane drih ho tenka tiikunii ngunu mika tenchañ ho, hojalo hang ingyamiigya giimanii. 
HEB.4.16	Kiije ngunu hopa hentiñ biidola aroh-aya ka raddeduko ho ahdesa, niimpalukoda ngunu aroh mi larii dupa ho aroh-aya mi kapa dupa hembyuñ kodupa anna myodu ho.
HEB.5.1	Bukuñ nyibu kone abi miyu atañka punko hokii ka kahe niisi miyuatañ paka miigomi miiniipa kaliñtii Pinii mi yarnii pa, ahmiñayiñ biniipa ho membi niipa ingyamiigyanii atañpa. 
HEB.5.2	Mo yanupa yarkiñdo chimanii la luniiñ tama bomi, niimpalukoda mo attoh tiirḛ abuje ajju giido. 
HEB.5.3	Hiikohopa sipa mo membi dopa lyido mohka atoh ingyamiigyaniipa ho miyuatañ pata. 
HEB.5.4	Ho kone hetrḛ atoh atoh mi khiisu make, hojalo mo Pinii loke gyoko dunii, niihtañpa Aron mi gyotii.
HEB.5.5	Hopa Kristo tiirḛ atohmi assañ siima ke bukuñ nyibu pa miisula, hojalo mo kahekotii hiilo huna mohmi lutii nii,
HEB.5.5	“No ngiika Oho,
HEB.5.5	siilo kii ngo niimi chibii lyikuke”;
HEB.5.6	mo hiira pongelyaho lutii,
HEB.5.6	“No nyibu ayudahe pake,
HEB.5.6	Melkizedek ka hiiba hoka dusiniipa.”
HEB.5.8	Mo Oho siitii tiirḛ, mo chingiitii luniiñtaniiñmi mohka heru heniiñlo; 
HEB.5.9	ho digoabiaya dopa miiko lala mo santḛrlamanii sangopyako pa lyibitii miilañ rupa hutiina mohka luniiñ tadonii, 
HEB.5.10	Pinii loka kahe kokunii bukuñ nyibupa Melkizedek ka hiiba hoka dusiniipa.
HEB.5.11	Siika piigo siimi abuje ngunuko lusa giido niimina luko luru donii, niimpalukoda nunu luniiñ tage giila mapa lyido. 
HEB.5.12	Niimpalukoda siika myodu lyihepa nunu sariipa lyinya kensu tiiku tiirḛ, nunu hojalo mi konelo tonsḛr kodopa lyidorañ hiira kapyo hoka Pinii aguñ ka miijumi. Nunu anyi ke anna donii, apiñ make; 
HEB.5.13	niimpalukoda koneabi huna anyilo sandonii hii luchiñ marañke denki ka aguñmi, niimpalukoda mo ajañ ranke. 
HEB.5.14	Hojalo apiñ si akha kunii pake, niimpalukoda huna mohka henju mi miinyolunyo giitii kunii ayamanii hokii la aya mi kangukare la miinyo niilo.
HEB.6.1	Hopa kiije ngunu chimpyo paka Kristo ka tonsḛrniimi atii lyartii kula ho hengḛr dalyi ya hata chasa, hiira miisamanii miigo hokii henkur niika liidi mi rammapa ho Pinii kii dalyi ka henje miya rasa, 
HEB.6.2	luko biidola baptisma piigomi, alah tencha niimi, shiinii ka turiturku kuniiñmi, lyulamanii ka ayakacho kaniiñmi. 
HEB.6.3	Ho siimi ngunu miichi Pinii matiirḛ miidopa bilyi milo. 
HEB.6.4	Niimpalukoda siikasi hiira miila kema henkurdopa humina ronge chindopa miitii kunii, huna dariiganda ka ahmiñayiñ mi henka tiikunii, ho Darii Yajiyallo mi larii tiiku nii, 
HEB.6.5	ho Pinii ka aguñ ka aya mi henka tiikunii ho ahlyi nii santuñ ka tamo mi, 
HEB.6.6	mohlu matiirḛ ho henje kuma pa khiibe pinii mi herii dokoda, mohlu hiira Pinii ka Oho mi mohluka atoh piigo pa ledabiido ho mohmi khiimapama miipa biido. 
HEB.6.7	Niimpalukoda nii kiiddina miido yasie mi sadonii hiikohoka kiirañ huhi niimi, ho hamasanii lingiidu hiika atañpa hupana balyibalu miidonii, Pinii kokii lyarniiñ mi lariido. 
HEB.6.8	Hojalo hiiko matiirḛ tiirḛ la morey tagurenso nyi chadokoda, hiika hii piigo ahma ho beko dopa lyikiñdo; hiika hiimi kamikalo ho hompa dopa sii lyikiñ siidonii.
HEB.6.9	Ngunu hiila lusu dojalopa, hojalo nunuka lugo ho, heniiñja, ngunu hendo jije aya ya drih atañ hii sangopyako hoke donii. 
HEB.6.10	Niimpalukoda Pinii hensamiisa la nunuka miigo miiniiñmi kago kema ho nunuka heniiñmi mohkiipa piniimiyu atañ mika miiho niimi, siisi jalo nunu miila do. 
HEB.6.11	Ho ngunu hendo nunu kone abimi siika heniiñ ahiñ jami giikiñcho hendḛr rila hentiñ naniiñ ka hemme biniiñ mi kamikalo lohepa, 
HEB.6.12	niimpalukoda nunu mi bayyo bayyo dama dopa, hojalo katiñ nanto lya huna henje la pigiinii lo hemme niimi penko tiinii.
HEB.6.13	Niimpalukoda Pinii ka Abraham mika hemme lyiho, mohmi kayeya hemme hiita naniiñ nyima lyinii, mo atohmi hemme hiita nantii, 
HEB.6.14	lubiidola, “jijeloda ngo niimi lyanchi ho niimi abu loda drihulo bukke nenchi.” 
HEB.6.15	Ho hiila Abraham, yanupa kalyala dutii, hemme biniiñ mi kappatii. 
HEB.6.16	Miyu atañ atohmika kahe yami hemme hiita nandu, ho hikha mohluka chesuresu ko mohluka hemmeniiñ hii kamikalo ludiñsiina naniiñpa lyidu. 
HEB.6.17	Hopa Pinii mohka hemme niimika pensi kosa niimika kakiñ nala helyiho lyiguh lamanii henju mohka piigopa, mo hemme hiita nantii, 
HEB.6.18	niimpalukoda anye lyiguh lasamanii drih do, nii mina Pinii gollu lamanii, ngunu huna siitiñ giidupa hiila hargii donii uro yapa haro kendo gatu biidupa ngunu hata hoka hentiñnanii doniimi. 
HEB.6.19	Ngunu kii siika jije ho dokañsanii hatunanii yallo hii do, hentiñnanii do pulye ka kiiliñ daka heriiko doko lohe ahchi ladopa, 
HEB.6.20	nohna Jisu innenii ngunu kiipa impyo yala, bukuñ nyibupa lyila ayudahepa Melkizedek ka duchañ ho.
HEB.7.1	Siika Melkizedek, Salem ka radde, Akhoja Pinii ka nyibu, Abraham mi kappatii radde atañmi mentii hekula ahkurla doku kiile ho mohmi lyambiido; 
HEB.7.2	ho mohmi Abraham bibiido kapane hokii hakhualyañ hemi. Mo kapyo ja, mohka armyañ mika luko lusinii, denki ka radde, ho mo hiira Salem ka radde, hiika hii, chimie ka radde. 
HEB.7.3	Mohkii aba malo annii malo ohoasi nyimatii, ho allo lotu malo sango ka kami allo tiirḛ, hojalo Pinii ka Oho kapupa mo dukañari nyibupa dutii.
HEB.7.4	Kato niimkane mo kahe! Abraham aba-apa akho jahii mohmi hakhualyañ hemi bitii gyambo pabiinii hokii. 
HEB.7.5	Ho hiika Levi ka ohoasi atañ hutiina nyibu lyisi nyakiñ donii dapo ho lutola do hakhualyañ hemi miyuatañ kokii lakiñdo hiila, hiikahii, mohluka anubarmii kokii, mohlutrḛ Abraham ka ohoasi siijalo. 
HEB.7.6	Hojalo siika miyu si mohluka aba-apa mika khiiko amasiitrḛ Abraham kokii hakhualyañ mi latii ho mohmi lyantii huko hona hemmeniiñ dotiinii. 
HEB.7.7	Siika so chesudopa lyikiñma atuya kayeyalo lyankotii hiila. 
HEB.7.8	Siikaso hakhualyañ mi shiila sanii miyu latii; hiikaho, kone humina pyakodonii mo turla da hiila. 
HEB.7.9	Kone rongkoda hiila tiirḛ lunedo Levi mo atohloda, hakhualyañ mi labiine, Abraham kiilo hakhualyañ mi bikotii, 
HEB.7.10	niimpalukoda mo siisi jalo mohka aba-apa ka harpuñ hokii tiirañ, mohmika Melkizedek ka kapa lyiho.
HEB.7.11	Siisi matiirḛ digoabiaya dopa miiniiñmi Levi nyibu atañ kiilo miila siido koda (niimpalukoda hiika uraho miyuatañ dapo mi latii), niihpa hiika hahoho anna talyi koneya nyibu Melkizedek ka hiibaho, Aron ka kiiliñ hoya myammapa? 
HEB.7.12	Niimpalukoda noh nyibulyisa ko lyiguhdo, hiikaho lyiguhkendo loda dapo hiitiirḛ. 
HEB.7.13	Niimpalukoda kone humina siika drih atañsi ludonii lukoda koneya halugiira hokii hiila, nohkiina kone hetrḛ yugyañ ho miiho la miimatiinii. 
HEB.7.14	Niimpalukoda siikasi jijeloda ngunuka Attoh Juda ka ohoasi, ho hiika halugiira kii dalyi mi Mose hang nyibu atañka piigo mi luma.
HEB.7.15	Siikasi uroyapa kadḛrdo niida koneya nyibu saritalyi Melkizedek ka kapupa, 
HEB.7.16	huna nyibupa lyitii kunii, dapomiiju lujju ka luchamiichañ homapa, asiialyo hokii ka liniiñ mapa hojalo pyadulamanii sango ka harchichike hokii. 
HEB.7.17	Niimpalukoda siikasi mohmi haki bitola do,
HEB.7.17	“No ayu dahepa nyibupa dukiñdo,
HEB.7.17	Melkizedek ka duchañ ho.”
HEB.7.18	Yoheyapa ludo koda, kapyo paka lujubiniiñmi lapa yatiiku niimpalukoda hiika ajju kopa ho piigo ama kopa 
HEB.7.19	(niimpalukoda daposi hang ako mitrḛ digoabiaya dopa miimatii); yohe yapa ludo koda, aya ya hentiñ naniiñmi miiliñbitii, niilona ngunu Pinii ko ahde lakiñ donii.
HEB.7.20	Ho hiikaho hemmeniiñ giima pa lyima. 
HEB.7.21	Hutiina kapyo ho nyibupa lyinya tiinii mohlu hemme matii, hojalo siika konesi nyibu hiila myantii hemme niika agiñho,
HEB.7.21	“Attoh hemme tii
HEB.7.21	ho mohka henje mi hengu kema,
HEB.7.21	‘No ayu dahepa nyibupa lyikiñdo.’”
HEB.7.22	Si Jisu mi lyigiitii ayaya hemmesiiniiñ ka gyandimi chigii niipa.
HEB.7.23	Kappyo ho nyibu atañ abuje dutii, niimpalukoda mohlumi lutiñ tiiku shiiniiñlo nyibupa dupe madopa; 
HEB.7.24	hojalo mo mohka nyibu lyiniiñmi biipela biitii, niimpalukoda mo lyikañ ari lyitii. 
HEB.7.25	Hiiko hopa mo hikha myodu ho mohlumi lyangur latii hutiina Pinii ka aruñho ahde tiinii mohko ahbiila, niimpalukoda mo kiirañ turla da mohlupa kubi dupa.
HEB.7.26	Niimpalukoda siikasi ayado ngunupa sitañ bukuñ nyibu duniiñ si, darii, pahañhansa giimanii, miibḛrmanii, ingyamiigyanii atañ hokii ponsa miiniiñ, dariiganda atañmi haho yapa assañtii. 
