GEN.1.1	I begyndelsen skabte Gud himlen og jorden. 
ACT.12.15	„Du er ikke rigtig klog!” sagde de, men hun blev ved med at påstå, at det var Peter, der stod udenfor. Til sidst sagde de: „Det må være hans skytsengel!” 
ACT.12.16	Imens stod Peter og bankede og bankede. Da de endelig fik lukket op og så, at det virkelig var ham, blev de ude af sig selv af forbavselse. 
ACT.12.17	Men Peter gjorde tegn til, at de skulle være stille, og han fortalte dem, hvordan Herren havde befriet ham fra fængslet. „Fortæl det til Jakob
ACT.12.18	Ved daggry blev der stor opstandelse blandt de soldater, der havde stået vagt. Ingen anede, hvor Peter var blevet af. 
ACT.12.19	Da kongen sendte bud efter ham, og man ikke kunne finde ham, kom vagterne i forhør og blev derefter henrettet. Efter den historie forlod kong Herodes Judæa og tog ophold i Cæsarea.
ACT.12.20	Nogen tid efter ankom en delegation fra Tyrus og Sidon til Cæsarea. Herodes havde haft et meget spændt forhold til de to byer, men de kom nu for at bede om fred, for de fik deres fødevarer fra det område, Herodes regerede over. Det lykkedes for delegationen at komme på venskabelig fod med Blastus, kongens kammertjener, og de fik ham til at hjælpe sig. 
ACT.12.21	Et møde med kongen blev aftalt, og på den fastsatte dag iklædte Herodes sig sin kongelige dragt, satte sig på tronen og holdt en tale til dem. 
ACT.12.22	Da han var færdig, hyldede folket ham og råbte: „Det er en gud og ikke et menneske, der taler!” 
ACT.12.23	I samme øjeblik ramte Herrens engel ham med en sygdom, fordi han tog imod menneskers tilbedelse i stedet for at give Gud æren. Han blev ædt op af orme og døde.
ACT.12.24	Men de kristne havde fremgang, og Guds ord nåede ud til flere og flere mennesker. 
ACT.12.25	Da Barnabas og Saul havde fuldført deres opgave i Jerusalem, tog de Johannes Markus med sig og vendte tilbage til Antiokia.
ACT.13.1	I menigheden i Antiokia var der en række profeter og lærere. Der var Barnabas, Simeon Niger, Lukius fra Kyrene, samt Manaen, der var opvokset sammen med Herodes Antipas, og endelig var der Saul. 
ACT.13.2	En dag, da menigheden holdt gudstjeneste og fastede, sagde Helligånden: „Udtag Barnabas og Saul til den opgave, som jeg har udvalgt dem til!” 
ACT.13.3	Menigheden fortsatte derefter i bøn og faste, og de lagde hænderne på dem for at sende dem af sted med Guds velsignelse.
ACT.13.4	Efter at Barnabas og Saul på den måde var udsendt af Helligånden, tog de ned til Seleukia, hvorfra de sejlede til Cypern. 
ACT.13.5	Da skibet lagde til i den østlige havneby Salamis, gik de fra borde og opsøgte øens jødiske synagoger, hvor de forkyndte Guds ord. De havde taget Johannes Markus med på rejsen som deres hjælper. 
ACT.13.6	De vandrede tværs over øen, indtil de kom til den vestlige havneby Pafos. Her traf de en jødisk troldmand og falsk profet, der hed Bar-Jesus. 
ACT.13.7	Han holdt til hos guvernøren, Sergius Paulus, som for øvrigt var en begavet mand. Guvernøren inviterede Barnabas og Saul på besøg, for han ville gerne høre Guds ord. 
ACT.13.8	Men Bar-Jesus, der også var kendt som Elimas,
ACT.13.9	Saul, som også kaldes Paulus, blev da fyldt med Helligåndens kraft. Han så fast på Elimas og sagde: 
ACT.13.10	„Du er et Djævelens barn, fuld af løgn og bedrag, modstander af alt, hvad der er ret og rigtigt. Hvornår vil du holde op med at modarbejde Herrens planer? 
ACT.13.11	Nu vil Herren straffe dig ved at gøre dig blind for en tid!” I det samme blev alt mørkt omkring ham, så han begyndte at famle rundt for at finde en, der kunne lede ham ved hånden. 
ACT.13.12	Da guvernøren så det mirakel, kom han til tro, så forbløffet var han over den kraft, der fulgte med budskabet om Herren.
ACT.13.13	Paulus og hans ledsagere sejlede derefter ud fra Pafos og ankom til havnebyen Perge i provinsen Pamfylien i Lilleasien. Her forlod Johannes Markus dem og vendte tilbage til Jerusalem. 
ACT.13.14	Men Barnabas og Paulus fortsatte til fods ind i landet til Antiokia i provinsen Pisidien. På sabbatten gik de ind i synagogen og satte sig. 
ACT.13.15	Efter den foreskrevne oplæsning fra Toraen og Profetbøgerne sendte synagogens ledere en besked over til dem: „Venner, hvis I har et opmuntrende ord til folket, så sig frem!”
ACT.13.16	Paulus rejste sig, løftede hånden for at få ro og sagde så: „Israelitter og gudfrygtige grækere, hør, hvad jeg har at sige! 
ACT.13.17	Israels Gud udvalgte vores stamfædre, og han gjorde folket talrigt, da de levede som fremmede i Egypten. Derefter førte han dem ud af Egypten med stor kraft, 
ACT.13.18	og han viste stor tålmodighed over for dem under de 40 års ørkenvandring. 
ACT.13.19+ACT.13.20	Han udryddede syv folkeslag i Kanaʼan og hjalp vores forfædre til at indtage hele det lovede land i løbet af ca. 450 år. Derefter gav han dem en række dommere til at lede landet indtil profeten Samuel. 
ACT.13.21+ACT.13.22	Men så tiggede folket om at få en konge, og Gud gav dem Saul, en søn af Kish fra Benjamins stamme. Han regerede i 40 år, indtil Gud fjernede ham og i stedet gav dem David til konge. Om ham har Gud sagt: ‚David, Isajs søn, er en mand, jeg kan stole på. Han vil gøre min vilje i alle ting.’
ACT.13.23	Af Davids slægt har Gud nu udvalgt og sendt en frelser til Israels folk, sådan som han lovede, og det er Jesus.
ACT.13.24	Men før Jesus begyndte sit virke, forkyndte Johannes Døber for hele Israels folk, at de skulle vende om fra deres synder og lade sig døbe. 
ACT.13.25	Da Johannes var ved at have afsluttet sin gerning, sagde han til folket: ‚Jeg er ikke den Messias, I venter på. Men han kommer snart, og jeg er ikke engang værdig til at løse remmen på hans sandaler.’
ACT.13.26	Hør, venner, budskabet om frelse gælder både jer, som er Abrahams fysiske efterkommere, og jer grækere, som har ærefrygt for Gud. 
ACT.13.27	Jerusalems indbyggere og de jødiske ledere tog ikke imod Frelseren. De accepterede ham ikke som Messias, men dømte ham til døden og opfyldte derved profeternes ord, som bliver oplæst sabbat efter sabbat. 
ACT.13.28	Selv om de ikke kunne finde nogen gyldig grund til at dømme ham til døden, fik de alligevel Pilatus til at slå ham ihjel. 
ACT.13.29	Da alle disse profetier således var gået i opfyldelse, blev han taget ned fra korset og lagt i en gravhule. 
ACT.13.30	Men Gud oprejste ham fra de døde, 
ACT.13.31	og i dagene derefter viste han sig flere gange for dem, der havde fulgt ham fra Galilæa til Jerusalem. De vidner nu offentligt om, hvad de har set.
ACT.13.32+ACT.13.33	Vi står her i dag for at fortælle jer det glædelige budskab: Guds løfte til forfædrene er nu gået i opfyldelse for deres efterkommere. Det skete ved, at han sendte os Jesus som den lovede Profet.
ACT.13.34	Men det, at Jesus skulle opstå fra de døde, og at hans krop ikke skulle gå i forrådnelse, er antydet blandt andet i følgende skriftsted: ‚Jeg vil give jer de hellige, troværdige løfter, jeg gav David.’
ACT.13.35	Løftet forklares ud fra en anden salme, hvor der står: ‚Du vil ikke lade din hengivne tjener gå i forrådnelse.’
ACT.13.36	Der er ikke tale om David her, for efter at han havde tjent sin egen samtid ved at udføre Guds planer, døde han og blev begravet, og han er gået i forrådnelse. 
ACT.13.37	Men der er tale om den hellige Tjener, som Gud nu har oprejst fra de døde. Hans krop er jo ikke gået i forrådnelse.
ACT.13.38+ACT.13.39	I skal vide, kære venner, at det er gennem Jesus, det er blevet muligt at få tilgivelse for sine synder. Det er ved at tro på ham, at enhver kan opnå Guds accept, noget som I aldrig kan opnå ved at forsøge at overholde de jødiske love og regler.
ACT.13.40	Men pas på, for hvis I ikke tager imod budskabet i tro, så går det jer, som der står et sted i de profetiske bøger: 
ACT.13.41	‚Luk øjnene op, I vantro mennesker! I vil blive stumme af undren og gå til grunde! For jeg gør noget i jeres samtid, som I ikke vil tro på, når I får det fortalt.’
ACT.13.42	Da mødet i synagogen var forbi, var der mange, som bad Paulus og Barnabas om at komme igen den følgende sabbat for at fortælle mere. 
ACT.13.43	En del jøder og grækere fra synagogen kom til tro på Jesus, og de fulgte med Paulus og Barnabas, som talte videre med dem og opmuntrede dem til at holde fast ved Guds nåde.
ACT.13.44	Ugen efter var næsten hele byen stuvet sammen i synagogen for at høre dem forkynde om Herren. 
ACT.13.45	Da de jødiske ledere så det vældige opbud af mennesker, blev de jaloux og begyndte hånende at modsige alt, hvad Paulus sagde. 
ACT.13.46	Paulus og Barnabas lod sig dog ikke kue, men sagde: „Vi var nødt til først at bringe budskabet fra Gud til jer, som er jøder. Men når I afviser det og ikke regner jer selv for værdige til at få del i det evige liv, ja, så vender vi os til dem, der ikke er jøder. 
ACT.13.47	Herren har nemlig givet os følgende befaling: ‚Jeg har sat dig som et lys for folkeslagene, så du kan bringe min frelse til jordens fjerneste egne.’
ACT.13.48	Da grækerne hørte det, blev de jublende glade og lovpriste Herren for det budskab, og alle, som var beredt til at opnå det evige liv, kom til tro. 
ACT.13.49	Det var begyndelsen til, at Herrens ord blev kendt på hele den egn.
ACT.13.50	Nu fik de jødiske ledere ophidset de fornemme græske kvinder, som var gået over til jødedommen, samt byens ledende mænd. Det lykkedes dem at oppiske en så kraftig stemning imod Paulus og Barnabas, at de blev jaget ud af byen.
ACT.13.51	De to apostle rystede byens støv af deres fødder som et tegn på, at de overlod dem til deres egen skæbne, og rejste så videre til Ikonion. 
ACT.13.52	Men disciplene i byen blev fyldt med glæde og med Helligåndens kraft.
ACT.14.1	I byen Ikonion gik det på samme måde. Paulus og Barnabas gik hen i synagogen og talte med en sådan gennemslagskraft, at mange af tilhørerne kom til tro, både jøder og grækere. 
ACT.14.2	Men de jøder, der ikke ville lade sig overbevise, gik i gang med at vække misstemning og uvilje mod Paulus og Barnabas hos den græske befolkning. 
ACT.14.3	Det afholdt dog ikke de to apostle fra at blive i længere tid på stedet og frimodigt fortsætte deres forkyndelse. Og Herren bekræftede budskabet ved at give dem kraft til at udføre store undergerninger. 
ACT.14.4	Byen delte sig i to lejre. Nogle holdt med de jødiske ledere, andre holdt med apostlene.
ACT.14.5	En gruppe ledere blandt jøderne og grækerne fik samlet nogle folk, der skulle mishandle og stene Paulus og Barnabas. 
ACT.14.6	Da de to apostle blev klar over det, skyndte de sig bort til området omkring Lystra og Derbe, to byer i provinsen Lykaonien. 
ACT.14.7	Der vandrede de nu omkring og forkyndte det glædelige budskab.
ACT.14.8+ACT.14.9	Imens Paulus talte i Lystra, var der blandt tilhørerne en mand, der havde været lam fra fødslen. Han havde aldrig kunnet stå eller gå. Han lyttede meget opmærksomt til, hvad Paulus sagde. Paulus kiggede nøje på ham og forstod, at manden havde tro til at blive helbredt.
ACT.14.10	Derfor sagde han til ham med høj røst: „Rejs dig og stå på dine ben!” Straks sprang manden op og begyndte at gå omkring.
ACT.14.11	Da folkemængden så, hvad Paulus havde gjort, råbte de på deres eget lokale sprog: „Guderne er kommet ned til os i menneskeskikkelse.” 
ACT.14.12	De mente, at Barnabas var den græske gud Zeus, og at Paulus var Hermes, fordi det var ham, der førte ordet. 
ACT.14.13	Præsten ved Zeustemplet, som lå uden for byen, kom med nogle tyre draperet med blomsterkranse. Han gjorde sig klar til at ofre tyrene til deres ære på den offentlige plads ved byporten under deltagelse af en stor folkemængde.
ACT.14.14	Da det gik op for Barnabas og Paulus, hvad der var ved at ske, blev de forfærdede. De rev en flænge i deres kjortler og sprang ind blandt folkemængden, 
ACT.14.15	mens de råbte: „Hvad er det dog, I gør? Lad være med det! Vi er ikke guder! Vi er ganske almindelige mennesker som I selv. Vi er her for at fortælle jer, at I skal vende om fra det nytteløse afguderi og komme til den levende Gud, som har skabt himlen og jorden og havet og alt, hvad der findes. 
ACT.14.16	Han har indtil nu ladet de forskellige folkeslag passe sig selv, 
ACT.14.17	men der har altid været nogle ting, der har vidnet om hans godhed mod alle mennesker: Han har sendt regnen fra himlen og givet vækst til jeres afgrøder, så I har kunnet glæde jer over at have mad at spise.”
ACT.14.18	Selv efter den forklaring var det kun med nød og næppe, at de to apostle fik folkeskaren til at lade være med at ofre til dem.
ACT.14.19	Senere kom nogle jøder fra Antiokia og Ikonion til Lystra, og de fik befolkningen over på deres side. De stenede Paulus, og derefter slæbte de ham uden for byen, for de var overbevist om, at han var død. 
ACT.14.20	Men da disciplene slog kreds om ham, rejste han sig op og gik tilbage til byen.
ACT.14.20	Den næste dag tog Barnabas og Paulus videre til Derbe, 
ACT.14.21	hvor de forkyndte budskabet om Jesus og vandt mange disciple. Derefter begyndte de på hjemturen og lagde vejen om ad Lystra, Ikonion og Antiokia i Pisidien. 
ACT.14.22	De tilbragte nogen tid hvert sted sammen med disciplene og opmuntrede dem til at holde fast ved troen, selv om de blev forfulgt: „Vi skal gennem mange trængsler, før vi når frem til det kommende Guds rige!” sagde de. 
ACT.14.23	I hver af menighederne indsatte
ACT.14.24	Derpå rejste de videre ned gennem Pisidien til Pamfylien. 
ACT.14.25	De forkyndte ordet i Perge og tog så videre ned til havnebyen Attalia. 
ACT.14.26	Derfra sejlede de til Antiokia, hvor deres rejse var begyndt, og hvorfra de var blevet udsendt med Guds velsignelse til det arbejde, som de nu havde fuldført.
ACT.14.27	Efter hjemkomsten kaldte de menigheden sammen og aflagde rapport om, hvad Gud havde udrettet gennem dem, og om, hvordan Gud også havde givet de ikke-jødiske folkeslag adgang til troen på Jesus. 
ACT.14.28	Derefter blev de et godt stykke tid hos disciplene i Antiokia.
ACT.15.1	Mens Paulus og Barnabas opholdt sig i Antiokia, kom der nogle jøder fra Judæa på besøg, og de stod frem og sagde til menigheden: „I kan kun blive frelst, hvis I bliver omskåret efter de jødiske forskrifter.” 
ACT.15.2	Det førte til en heftig debat mellem Paulus og Barnabas på den ene side og de tilrejsende jøder fra Judæa på den anden. Til sidst blev det besluttet, at Paulus og Barnabas og nogle andre ledere fra menigheden i Antiokia skulle tage til Jerusalem for at diskutere sagen med apostlene og de øvrige ledere i menigheden der.
ACT.15.3	Menigheden udrustede dem til rejsen, og på vej gennem Fønikien og Samaria gjorde de ophold i byerne for at besøge de Jesus-troende dér. Her fortalte de til alles store glæde, at mange ikke-jøder nu også havde vendt sig fra deres synd og havde taget imod budskabet om Jesus.
ACT.15.4	Da de ankom til Jerusalem, blev de taget godt imod af hele menigheden med apostlene og de øvrige ledere i spidsen. Paulus og Barnabas berettede om de store ting, Gud havde udrettet gennem dem i deres arbejde blandt de ikke-jødiske folkeslag. 
ACT.15.5	Men nogle af de farisæere, der var kommet til tro, rejste sig op og sagde: „Disse mennesker skal omskæres, og de skal have besked på at overholde de love og forskrifter, Moses har givet os.”
ACT.15.6	Apostlene og menighedens ledere holdt nu et særskilt møde for at drøfte spørgsmålet. 
ACT.15.7	Det førte til en længere diskussion, og til sidst rejste Peter sig. „Venner,” sagde han. „I ved jo godt alle sammen, hvordan Gud i begyndelsen udvalgte mig iblandt jer og brugte mig til at forkynde budskabet om Jesus for ikke-jøder, så også de kunne komme til tro. 
ACT.15.8	Og Gud, som kender hjertets indstilling, satte det blå stempel på dem ved at give dem Helligåndens kraft, ligesom han gav den til os. 
ACT.15.9	Han gjorde ingen forskel på dem og os, for vi har alle fået hjertet renset gennem troen. 
ACT.15.10	Skal vi nu til at gå i rette med Gud og lægge en byrde på disciplenes skuldre, som hverken vores forfædre eller vi selv har været i stand til at bære? 
ACT.15.11	Nej! Det er gennem Herren Jesu nåde, at vi kommer til tro og bliver frelst på samme måde som dem, der ikke er jøder.”
ACT.15.12	Forsamlingen blev stille, og de lyttede nu til Barnabas og Paulus, der fortalte om de undere, som Gud havde udført gennem dem blandt de ikke-jødiske folkeslag.
ACT.15.13+ACT.15.14	Da de var færdige med deres beretning, tog Jakob ordet og sagde: „Venner, jeg vil gerne sige noget. Simon har fortalt, hvordan Gud greb ind og åbnede døren for mennesker fra andre folkeslag til at blive et folk, der tilhører ham. 
ACT.15.15	Det stemmer helt overens med, hvad profeterne har sagt. Der står jo skrevet: 
ACT.15.16	‚Derefter vil jeg vende tilbage og genopbygge Davids rige.
ACT.15.17	Det gør jeg, for at de øvrige må søge Herren, alle de andre folkeslag, som jo også tilhører mig. Det er Herren, der siger det, og han vil gøre det.’
ACT.15.18	Jakob fortsatte: „Det har altså været kendt fra gammel tid, at de øvrige folkeslag også skulle med. 
ACT.15.19	Jeg mener derfor, at vi ikke skal lægge unødvendige byrder på de ikke-jøder, der vender sig til Gud. 
ACT.15.20	Nej, lad os blot skrive til dem, at de skal afholde sig fra al seksuel synd, og endvidere bør de ikke spise blod, kød fra kvalte dyr eller kød, som først har været ofret til afguderne.
ACT.15.21	Alle kender jo de love, vi har fra Moses, for de er blevet oplæst og forkyndt hver eneste sabbat gennem utallige generationer i synagogerne rundt omkring i de forskellige byer.”
ACT.15.22	Da sagen dermed var afgjort, besluttede apostlene og lederne i samråd med hele menigheden at sende nogle repræsentanter til Antiokia sammen med Paulus og Barnabas. De mænd, der blev udvalgt til den opgave, var to af menighedens ledere, nemlig Judas Barsabbas og Silas. 
ACT.15.23	De fik følgende brev med:
ACT.15.23	Fra apostlene og menighedens ledelse i Jerusalem.
ACT.15.23	Til de ikke-jødiske troende i Antiokia, Syrien og Kilikien.
ACT.15.23	Mange hilsener til jer alle!
ACT.15.24	Vi har fået at vide, at nogle folk herfra har skabt en del uro hos jer ved blandt andet at sætte spørgsmålstegn ved jeres frelse. Det har vi imidlertid aldrig bedt dem om, 
ACT.15.25	og vi er derfor blevet enige om at sende jer to udvalgte mænd fra menigheden her sammen med vores elskede Barnabas og Paulus, 
ACT.15.26	som jo har vovet livet i arbejdet for vores Herre, Jesus Kristus. 
ACT.15.27	Vi sender altså Judas og Silas, for at de mundtligt kan bekræfte det, som vi her skriver om.
ACT.15.28	Helligånden og vi har besluttet, at der ikke skal lægges nogen større byrde på jer, end det er strengt nødvendigt. 
ACT.15.29	Det vil sige, at I skal holde jer fra at spise kød, som er ofret til afguderne, kød af kvalte dyr og blod. Desuden skal I holde jer fra al seksuel synd. Hvis I overholder det, handler I ret. Lev vel!
ACT.15.30	De fire mænd tog så af sted til Antiokia, hvor de kaldte menigheden sammen og overrakte dem brevet. 
ACT.15.31	Da brevet var blevet oplæst, blev der glæde i hele menigheden over de opmuntrende ord. 
ACT.15.32	Judas og Silas var profeter, og de opmuntrede og styrkede menigheden gennem flere budskaber. 
ACT.15.33	De blev i byen et stykke tid, hvorefter de vendte tilbage til Jerusalem med hilsen og tak til dem, der havde sendt dem.
ACT.15.35	Paulus og Barnabas opholdt sig endnu en tid i Antiokia for sammen med mange andre at undervise og forkynde Herrens ord.
ACT.15.36	Nogen tid efter sagde Paulus til Barnabas: „Lad os nu vende tilbage for at se, hvordan det går med menighederne i de byer, hvor vi har forkyndt Herrens ord.” 
ACT.15.37	Men da Barnabas ønskede at tage Johannes Markus med, 
ACT.15.38	gjorde Paulus indsigelser. Han mente ikke, at Markus skulle med dem nu, eftersom han var rejst tilbage, da de kom til Pamfylien, i stedet for at fortsætte i arbejdet sammen med dem.
ACT.15.39	De to mænds uenighed på det punkt blev så skarp, at de besluttede at tage hver sit sted hen. Barnabas tog Markus med sig og sejlede til Cypern. 
ACT.15.40	Men Paulus valgte at tage Silas med, og efter at menighedens ledere havde bedt om, at Gud i sin nåde ville være med dem, 
ACT.15.41	tog de af sted og rejste til provinserne Syrien og Kilikien for at styrke menighederne der.
ACT.16.1	Paulus og Silas fortsatte rejsen, og efter et kort ophold i Derbe ankom de til Lystra. Her traf de en discipel, der hed Timoteus. Selv om hans far var græker, blev han regnet for at være jøde, fordi hans mor var jøde. 
ACT.16.2	Timoteus havde et godt omdømme blandt lederne af menighederne både i Lystra og Ikonion, 
ACT.16.3	så Paulus ville gerne have ham med på den videre rejse. Han fik Timoteus omskåret, inden de tog af sted, af hensyn til de mange jøder, de kom i kontakt med. De vidste nemlig alle, at han ikke var blevet omskåret på grund af sin græske far.
ACT.16.4	De rejste nu fra by til by, og de brugte anledningen til at forklare de lokale menigheder de regler, som apostlene og menighedens ledere i Jerusalem havde besluttet, at de burde overholde. 
ACT.16.5	Ved den undervisning og opmuntring, menighederne modtog fra Paulus og Silas, blev de styrket i troen og voksede dagligt i antal.
ACT.16.6	Derefter rejste Paulus og hans ledsagere gennem distriktet Frygien i den provins, der hed Galatien, efter at Helligånden havde afskåret dem fra at forkynde ordet i provinsen Asien. 
ACT.16.7	Da de nærmede sig grænsen til det område, der hed Mysien,
ACT.16.8	I stedet rejste de mod vest tværs gennem Mysien og nåede til havnebyen Troas.
ACT.16.9	En nat havde Paulus et syn. Han så en mand fra Makedonien,
ACT.16.10	Efter det syn forsøgte vi
ACT.16.11	Vi gik om bord i et skib i Troas og nåede den første dag frem til øen Samotrake. Den næste dag ankom vi til havnebyen Neapolis i Makedonien. 
ACT.16.12	Derfra fortsatte vi til fods til Filippi, der er en romersk koloni og den vigtigste by i den del af Makedonien. Der blev vi nogle dage.
ACT.16.13	På sabbatten gik vi et lille stykke uden for byen langs med en flod, hvor vi mente, jøderne plejede at mødes til bøn. Vi satte os ned og begyndte at tale til de kvinder, der var kommet. 
ACT.16.14	En af dem hed Lydia. Hun var fra Tyatira og handlede med kostbare purpurklæder. Hun havde antaget den jødiske tro, og mens hun lyttede til Paulus, åbnede Herren hendes hjerte, så hun tog ordene til sig. 
ACT.16.15	Sammen med hele sin husstand blev hun døbt, hvorefter hun indbød os som sine gæster. „Hvis I virkelig tror på, at jeg nu hører Herren til,” sagde hun, „så må I også komme og bo i mit hus i nogle dage.” På den måde overtalte hun os.
ACT.16.16	Da vi en dag var på vej ned til det sted ved floden, hvor de samledes til bøn, mødte vi en slavinde, der havde en spådomsånd i sig. Hendes herrer tjente mange penge på grund af hendes evne til at spå. 
ACT.16.17	Hun fulgte i hælene på os og råbte: „Disse mænd er den højeste Guds tjenere, og de er kommet for at forkynde jer vejen til frelse!” 
ACT.16.18	Det gentog sig i mange dage, og til sidst blev det Paulus for meget. Han vendte sig om og talte direkte til dæmonen i hende: „Jeg befaler dig i Jesu Kristi navn at forsvinde ud af hende!” I samme øjeblik forlod den hende.
ACT.16.19	Hendes herrer blev vrede over, at de nu havde mistet deres indtægtskilde, så de greb fat i Paulus og Silas og slæbte dem for dommerne på byens torv. 
ACT.16.20	„De her mennesker skaber oprør i vores by,” sagde de. 
ACT.16.21	„De er jøder, og de lærer folk skikke, som vi romere ikke kan godtage og bestemt ikke kan rette os efter.”
ACT.16.22	Mængden tilsluttede sig anklagen mod Paulus og Silas. Dommerne gav ordre til, at tøjet skulle rives af dem, og at de skulle prygles med knipler. 
ACT.16.23	Efter at de var gennembanket, blev de kastet i fængsel, og fangevogteren fik strenge ordrer til at sørge for, at de ikke undslap. 
ACT.16.24	Han tog ingen chancer, men kastede dem i den inderste celle og spændte deres fødder fast i nogle tunge træblokke.
ACT.16.25	Ved midnatstid var Paulus og Silas i færd med at synge lovsange til Gud, mens alle de andre fanger lyttede. 
ACT.16.26	Pludselig blev fængslet gennemrystet af et kraftigt jordskælv, så det rystede i sin grundvold. I samme øjeblik sprang fængselsdørene op, og alle lænkerne faldt af fangerne. 
ACT.16.27	Fangevogteren vågnede med et sæt, og da han så fængslets døre stå på vid gab, troede han, at fangerne var stukket af, og han greb sit sværd for at begå selvmord.
ACT.16.28	Men Paulus råbte til ham: „Stands! Gør ikke dig selv fortræd! Vi er her jo alle sammen!” 
ACT.16.29	Rystende af angst råbte fangevogteren: „En fakkel! Kom med en fakkel!” hvorpå han styrtede ind i fængslet og kastede sig ned foran Paulus og Silas. 
ACT.16.30	Så førte han dem udenfor og spurgte: „Hvad skal jeg gøre for at blive frelst?” 
ACT.16.31	„Hvis du tager imod Jesus som din Herre, bliver du frelst,” svarede de. „Det gælder både dig og din husstand.”
ACT.16.32	Så forkyndte Paulus og Silas om Jesus både til ham og til de andre, der hørte til husstanden. 
ACT.16.33	Selv om det var midt om natten, gik fangevogteren i gang med at rense deres sår, og straks efter blev han og hele hans husstand døbt. 
ACT.16.34	Da det var sket, tog han Paulus og Silas med ind i sit hus og serverede mad for dem, og alle i huset var jublende glade, fordi de var kommet til tro på Gud.
ACT.16.35	Næste morgen sendte dommerne nogle betjente til fangevogteren med besked om, at han nu kunne løslade de to mænd. 
ACT.16.36	Fangevogteren førte dem hen til Paulus i hans celle og sagde: „Dommerne har sendt besked om, at I skal løslades. Derfor er I fri til at rejse videre i fred.” 
ACT.16.37	Men Paulus svarede: „Til trods for at vi er romerske statsborgere, er vi offentligt og uden dom blevet gennembanket og kastet i fængsel. Og nu vil man så hemmeligt sende os bort. Nej, lad dommerne selv komme herhen og føre os ud af fængslet.” 
ACT.16.38	Betjentene gik tilbage med den besked. Da dommerne hørte, at de var romerske statsborgere, blev de bange. 
ACT.16.39	De kom derfor hen til fængslet og gav dem en undskyldning, hvorefter de førte dem ud af fængslet med en opfordring til at forlade byen. 
ACT.16.40	Men Paulus og Silas gik først tilbage til Lydias hus, hvor de samledes med de troende og opmuntrede dem til at holde fast ved troen. Derpå fortsatte de deres rejse.
ACT.17.1	Paulus og hans ledsagere lagde turen om ad Amfipolis og Apollonia og ankom til Thessaloniki, hvor jøderne havde en synagoge. 
ACT.17.2	Som sædvanlig ønskede Paulus først at tale til jøderne, og de følgende tre sabbatter tog han ind i synagogen og debatterede med dem om, hvad der står i Skrifterne. 
ACT.17.3	Han forklarede dem, at det var Guds plan, at Messias skulle lide døden og derefter genopstå fra de døde. „Og den Jesus, som jeg fortæller jer om,” sagde Paulus til slut, „han er den Messias, som vi har ventet på!” 
ACT.17.4	Nogle af jøderne blev overbevist og kom til tro. Det samme gjorde et stort antal grækere, som tidligere var konverteret til jødedommen, deriblandt en del af byens fremtrædende kvinder.
ACT.17.5	De jøder, som ikke tog imod budskabet, blev fanatiske modstandere. De fik samlet noget rakkerpak fra gaden og fik stemningen pisket godt op i hele byen. Sammen med hoben stormede de Jasons hus for at få fat i Paulus og Silas og slæbe dem for øvrigheden. 
ACT.17.6	Da de ikke kunne finde dem, trak de i stedet Jason og nogle af de andre kristne ud af huset og førte dem hen til byens ledere. De råbte deres anklager ud: „Der er nogle folk, som har forårsaget oprør andre steder i verden, og de er nu kommet til vores by for at gøre det samme her. 
ACT.17.7	Jason har taget imod dem, og de gør alle sammen oprør mod kejseren. De påstår nemlig, at der findes en anden konge, en, der hedder Jesus!” 
ACT.17.8	På den måde fik de gjort byens ledere og alle de tilstedeværende yderst urolige, 
ACT.17.9	men Jason og de andre kristne fik dog lov at gå, efter at der var stillet kaution for dem.
ACT.17.10	Allerede samme nat blev Paulus og hans medarbejdere sendt af sted til Berøa. Den næste sabbat gik de som sædvanlig ind i synagogen for at forkynde budskabet om Jesus. 
ACT.17.11	Jøderne i Berøa var mere storsindede end dem i Thessaloniki. De lyttede opmærksomt til budskabet, og dag efter dag studerede de Skrifterne for at se, om det var sandt, hvad de fik fortalt. 
ACT.17.12	Mange af jøderne kom til tro, foruden en del af de fremtrædende græske kvinder og også mange græske mænd.
ACT.17.13	Men da jøderne i Thessaloniki fik at vide, at Paulus nu også var i gang med at forkynde Guds ord i Berøa, tog de derhen for at ophidse befolkningen imod ham. 
ACT.17.14	Menighedens ledere eskorterede derefter hurtigt Paulus ud til kysten, mens Silas og Timoteus blev tilbage. 
ACT.17.15	De, der fulgte Paulus ned til båden, sejlede med ham helt til Athen, hvorfra de vendte tilbage til Berøa med besked til Silas og Timoteus om hurtigst muligt at komme ned til ham.
ACT.17.16	Mens Paulus ventede på dem i Athen, blev han mere og mere opbragt over alle de afgudsbilleder, han så rundt omkring i byen. 
ACT.17.17	I synagogen om sabbatten debatterede han med de jøder og grækere, som kom der, og på ugens andre dage talte han med de mennesker, han traf på torvet.
ACT.17.18	På et tidspunkt faldt Paulus i snak med en gruppe filosoffer, både epikuræere og stoikere. Nogle sagde: „Sikke dog et snakkehoved!” Andre sagde: „Han vil vist have os til at tro på nogle nye, fremmede guder.” De kendte jo intet til Jesus, og det med opstandelsen fra de døde kunne de slet ikke forholde sig til. 
ACT.17.19	De besluttede så at tage ham med hen til byens højeste rådsforsamling, Areopagos. „Vi vil gerne høre noget mere om den nye lære, som du kommer med,” sagde de. 
