GEN.1.1	Дар ибтидо Худо замину осмонро офарид. 
ACT.11.19	Баъзе аз пайравони Худованд аз сабаби он ки аз паяшон баъд аз марги Истефанус дарафтода буданд, пароканда шуданд. Онҳо то ба кишвари Финиқияи ҷазираи Қиприс ва шаҳри Антокия рафта расиданд, аммо каломи Худоро на ба ҳама, балки танҳо ба яҳудиён мегуфтанд. 
ACT.11.20	Лекин баъзеи онҳо, ки аз Қипрису Қайравон буданд, ба Антокия расида, хушхабари Худованд Исоро ба ғайрияҳудиён низ мавъиза карданд. 
ACT.11.21	Худованд ба онҳо ёрӣ медод ва шумораи зиёди одамон имон оварда, ба Худованд рӯй оварданд.
ACT.11.22	Ин хабар ба гӯши ҷамоати Уршалим расид ва онҳо Барнабборо ба Антокия фиристоданд. 
ACT.11.23	Ҳангоме ки Барнаббо ба он ҷо расида файзу меҳрубонии Худоро дид, хурсанд шуд ва ҳамаро насиҳат кард, ки пурра ба Худованд такя кунанд. 
ACT.11.24	Зеро Барнаббо одами нек, пур аз Рӯҳулқудс ва дар имон мустаҳкам буд. Инак, шумораи зиёди одамон ба Худованд имон оварданд. 
ACT.11.25	Пас аз ин Барнаббо барои ҷустуҷӯйи Шоул ба шаҳри Тарсус равона шуд 
ACT.11.26	ва ӯро ёфта, ба шаҳри Антокия овард. Онҳо ҳар ду тамоми сол дар он ҷамоати имондорон монда, мардуми зиёдеро таълим медоданд. Он замон дар Антокия бори аввал шогирдони Исои Масеҳро масеҳиён номиданд.
ACT.11.27	Он рӯзҳо аз Уршалим ба Антокия якчанд пайғамбарон омада буданд. 
ACT.11.28	Яке аз онҳо Оғобус ном дошт. Ӯ бо ёрии Рӯҳулқудс пешгӯйӣ намуд, ки дар саросари замин гуруснагии сахт мешавад (ин дар замони шоҳаншоҳ Клавдиюс рӯй дод). 
ACT.11.29	Бинобар ин ҳама шогирдон қарор доданд, ки ба имондорони сарзамини Яҳудия ба қадри имкон кӯмак фиристонанд. 
ACT.11.30	Ҳамин тавр онҳо кӯмаки худро бо дасти Барнаббову Шоул ба роҳбарони ҷамоат фиристоданд.
ACT.12.1	Он замон шоҳ Ҳиродус дасти душманӣ дароз намуд, то ки баъзе аз аъзои ҷамоати имондоронро азоб диҳад. 
ACT.12.2	Шоҳ бо шамшер Яъқуби бародари Юҳанноро кушт. 
ACT.12.3	Сипас чун дид, ки ин кораш ба яҳудиён писанд омад, Петрусро низ дастгир намуд. Ин воқеа дар айёми Иди Фатир рӯй дод. 
ACT.12.4	Шоҳ Петрусро ба зиндон андохта, ба чор дастаи сарбозон, ки ҳар яке аз чор сарбоз иборат буд, фармуд, ки ӯро посбонӣ кунанд. Шоҳ мехост, ки баъди Иди Наҷот ӯро ба назди мардум барои ҳукм кардан барорад. 
ACT.12.5	Инак, Петрус дар зиндон буд, аммо аҳли ҷамоати имондорон барои ӯ бо ҷидду ҷаҳд ба Худо дуо мекарданд.
ACT.12.6	Шаби ҳамон рӯз, ки шоҳ Ҳиродус мехост ӯро назди мардум барорад, Петрус дар байни ду сарбоз мехобид. Ӯро бо ду занҷир баста буданд ва назди дари зиндон сарбозони дигар меистоданд. 
ACT.12.7	Баногоҳ фариштаи Худованд пайдо шуд ва ҳуҷра равшан гардид. Вай ба паҳлӯи Петрус зада, ӯро бедор карду гуфт:
ACT.12.7	– Зуд бархез.
ACT.12.7	Ҳамон лаҳза занҷирҳо аз дастони Петрус афтоданд.
ACT.12.8	– Миёнатро банду пойафзолатро пӯш, – суханашро давом дод фаришта.
ACT.12.8	Петрус гуфтаи ӯро иҷро намуд.
ACT.12.8	– Акнун ҷомаатро пӯшида, аз қафои ман биё, – гуфт фаришта.
ACT.12.9	Петрус баромада, аз қафои фаришта равона шуд. Ӯ фикр кард, ки хоб мебинад, лекин дар асл ин кори фаришта воқеӣ буд. 
ACT.12.10	Онҳо аввал аз назди як дастаи посбонон ва сипас аз дастаи дуюм гузашта, ба дарвозаи оҳанине, ки ба сӯйи шаҳр мебурд, наздик шуданд. Дарвоза худ аз худ ба рӯйи онҳо кушода шуд. Онҳо аз он гузашта, то ба охири кӯча расида буданд, ки баногоҳ фаришта нопадид шуд. 
ACT.12.11	Ин вақт Петрус ба худ омада, гуфт:
ACT.12.11	– Акнун аниқ фаҳмидам, ки Худованд фариштаи Худро фиристодааст, то маро аз дасти Ҳиродус ва он чи яҳудиён мехостанд, халос кунад.
ACT.12.12	Петрус инро аз дил гузаронда, ба хонаи Марями модари Юҳанно, ки Марқус номида шуда буд, равона шуд. Дар он ҷо мардуми зиёд ҷамъ омада, дуо мекарданд. 
ACT.12.13	Чун дарвозаро тақ-тақ кард, Рудо ном канизаке барои кушодан баромад. 
ACT.12.14	Рудо овози Петрусро шинохта чунон хурсанд шуд, ки дарвозаро накушода, ба сӯйи хона давид ва хабар дод, ки Петрус назди дарвоза истодааст.
ACT.12.15	Ба ӯ гуфтанд:
ACT.12.15	– Ақлатро хӯрдаӣ.
ACT.12.15	Лекин ӯ дар гапаш истода мегуфт, ки рост мегӯяд. Онҳо бошанд гуфтанд:
ACT.12.15	– Ин фариштаи ӯст.
ACT.12.16	Азбаски Петрус ҳанӯз ҳам тақ-тақ мекард, охир дарро кушоданд ва ӯро дида сахт ҳайрон шуданд. 
ACT.12.17	Петрус бо ишораи даст хомӯшӣ талаб намуда, ба онҳо гуфт, ки чӣ тарз Худованд ӯро аз зиндон баровард.
ACT.12.17	– Инро ба Яъқубу бародарони дигар расонед, – гуфт Петрус дар охир ва онҳоро тарк намуда, ба ҷойи дигар рафт.
ACT.12.18	Бо дамидани субҳ сарбозонро тарсу ваҳм фаро гирифт, ки ба Петрус чӣ шуда бошад. 
ACT.12.19	Шоҳ Ҳиродус ӯро ҷустуҷӯ намуд, лекин наёфт. Сипас сарбозонро пурсуҷӯ намуда, фармон дод, ки онҳоро ба қатл расонанд. Худаш бошад аз сарзамини Яҳудия баромада, ба шаҳри Қайсария рафт ва дар он ҷо монд.
ACT.12.20	Шоҳ Ҳиродус аз мардуми шаҳрҳои Сур ва Сидун сахт дар ғазаб шуда буд. Бинобар ин онҳо маслиҳат намуда, ба назди шоҳ як гурӯҳ одамонро фиристоданд. Онҳо аввал хизматгори шахсии подшоҳ Балостусро тарафдори худ карда, сипас аз подшоҳ сулҳ хостанд, чунки онҳо аз кишвари подшоҳ хӯрокворӣ мегирифтанд. 
ACT.12.21	Дар рӯзи қабул Ҳиродус либоси шоҳона пӯшида, бар курсии доварӣ нишаст ва ба онҳо сухан кард. 
ACT.12.22	Мардум бошанд, фарёдкунон гуфтанд:
ACT.12.22	– Ин овози одам не, балки овози яке аз худоён аст.
ACT.12.23	Ин лаҳза фариштаи Худованд шоҳ Ҳиродусро зад, чунки худро аз Худо боло донист. Ҳамин тавр, ӯ кирм карда мурд.
ACT.12.24	Аммо каломи Худо торафт паҳн мешуд. 
ACT.12.25	Барнаббо ва Шоул хизмати худро барои Худованд дар Уршалим ба охир расонданд ва Юҳаннои лақабаш Марқусро бо худ гирифта, ба шаҳри Антокия баргаштанд.
ACT.13.1	Пайғамбарону муаллимони ҷамоати имондорони шаҳри Антокия инҳо буданд: Барнаббо, Шимъуни лақабаш Нигер, Лукюси қайравонӣ, Маноҳим – дӯсти бачагии Ҳиродуси ҳоким ва Шоул. 
ACT.13.2	Рӯзе, ҳангоме ки онҳо рӯза гирифта Худовандро парастиш мекарданд, Рӯҳулқудс ба онҳо гуфт:
ACT.13.2	– Ба Ман Барнаббо ва Шоулро ҷудо кунед, то кореро, ки барояшон таъйин намудаам, иҷро намоянд.
ACT.13.3	Сипас рӯза доштанд ва бар онҳо даст гузошта дуо карданду онҳоро фиристоданд.
ACT.13.4	Инак Барнаббо ва Шоул, ки аз ҷониби Рӯҳулқудс фиристода шуда буданд, ба шаҳри Салукия расиданду аз он ҷо ба ҷазираи Қиприс бо киштӣ шино карданд. 
ACT.13.5	Онҳо ба шаҳри Саломис расида, дар ҷамоатхонаи яҳудиён каломи Худоро эълон карданд. Юҳанно ба онҳо ёрӣ мерасонд. 
ACT.13.6	Онҳо тамоми ҷазираро то шаҳри Пофус тай карданд. Дар Пофус фиристодагон ҷодугари яҳудиро вохӯрданд, ки пайғамбари дурӯғин буд. Вай Барюшаъ ном дошт ва 
ACT.13.7	шиноси ҳоким Сарҷиюс Павлус буд. Ҳоким, ки марди бофаҳм буд, барои шунидани каломи Худо Барнаббо ва Шоулро ба наздаш даъват кард. 
ACT.13.8	Аммо он ҷодугар, ки ба забони юнонӣ Алимо ном дошт, ба онҳо зиддият намуд. Ӯ кӯшиш мекард, ки ҳокимро аз имон овардан боздорад. 
ACT.13.9	Он гоҳ Шоул, ки Павлус низ ном дошт, аз Рӯҳулқудс пур шуда, рост ба он ҷодугар нигариста 
ACT.13.10	гуфт: «Эй марди пур аз дурӯғу бадӣ, писари шайтон ва душмани ҳар росткорӣ, кай каҷ кардани Роҳи рости Худовандро бас мекунӣ?! 
ACT.13.11	Ҳоло ист! Худованд туро ҷазо медиҳад ва ту кӯр шуда, муддате равшании офтобро намебинӣ».
ACT.13.11	Бо шунидани ин сухан Алиморо тирагиву торикӣ фаро гирифт ва ӯ ба ҳар сӯ рӯй оварда, ба худ раҳнамое меҷуст. 
ACT.13.12	Ҳоким ин воқеаро дида, имон овард, чунки аз таълимоти Худованд дар ҳайрат монда буд.
ACT.13.13	Сипас Павлусу ҳамроҳонаш аз шаҳри Пофус ба шаҳри Пирҷаи вилояти Памфилия бо киштӣ омаданд. Аммо Юҳанно онҳоро тарк намуда, ба Уршалим баргашт. 
ACT.13.14	Аз шаҳри Пирҷа онҳо ба шаҳри Антокияи назди Писидия омаданд ва рӯзи шанбе ба ҷамоатхонаи яҳудиён даромада нишастанд. 
ACT.13.15	Баъд аз хондани шариати Мусо ва навиштаҳои пайғамбарон, сардорони ҷамоатхона одам фиристода ба онҳо чунин гуфтанд: «Бародарон, агар ба мардум сухани насиҳатомезе дошта бошед, бигӯед».
ACT.13.16	Павлус аз ҷояш хеста, бо ишораи даст хомӯшӣ талаб намуд ва гуфт: «Эй исроилиён ва ғайрияҳудиёне, ки аз Худо метарсед, гӯш кунед! 
ACT.13.17	Худои мардуми Исроил падаркалонҳои моро интихоб намуда, онҳоро дар ғарибӣ, яъне дар сарзамини Миср ба халқи бузург табдил дод. Сипас онҳоро бо тавоноии Худ аз он ҷо баровард ва 
ACT.13.18	чил сол рафтори онҳоро дар биёбон тоқат кард. 
ACT.13.19	Баъд дар замини Канъон ҳафт халқро нобуд карда, заминҳояшонро ба исроилиён тақсим карда дод.
ACT.13.20	Аз байн чорсаду панҷоҳ сол гузашт. Сипас Худо то замони пайғамбар Самуил бар онҳо доваронро таъйин менамуд. 
ACT.13.21	Оқибат онҳо барои худ подшоҳ талаб карданд ва Худо ба онҳо аз авлоди Бинёмин Шоули писари Қишро бахшид. Шоул чил сол подшоҳӣ кард. 
ACT.13.22	Баъд Худо вайро аз подшоҳӣ маҳрум намуда, Довудро бар онҳо шоҳ таъйин намуд. Дар бораи Довуд Худо чунин гуфтааст:
ACT.13.22	„Довуди писари Ишойро писанди дилам ёфтам. Ӯ ҳама хости Маро ба ҷо хоҳад овард“
ACT.13.23	Сипас Худо, чунон ки ваъда карда буд, аз насли Довуд барои халқи Исроил Наҷотдиҳанда, яъне Исоро дод. 
ACT.13.24	Инак, Яҳё пеш аз омадани Исо ба тамоми халқи Исроил эълон намуд, ки тавба карда, таъмид гиранд. 
ACT.13.25	Яҳё дар охири хизмати худ чунин гуфт:
ACT.13.25	„Ба гумонатон ман Масеҳам? Не, ман Таъйиншудаи Худо нестам. Нигаред, аз паси ман Касе меояд, ки ман ҳатто сазовори кушодани банди пойафзоли Ӯ нестам“.
ACT.13.26	Бародарон! Эй фарзандони Иброҳим ва ҳама ғайрияҳудиёне, ки худотарсанд! Ин хабари наҷотбахш ба мо фиристода шудааст! 
ACT.13.27	Мардуми Уршалим ва сардорони онҳо Наҷотдиҳанда будани Исоро нафаҳмиданд. Ҳамчунин суханони пайғамбаронро, ки ҳар рӯзи шанбе хонда мешавад, нафаҳмиданд, балки Исоро айбдор намуда, пешгӯйии пайғамбаронро ба ҷо оварданд. 
ACT.13.28	Агарчи барои куштан сабабе наёфтанд, аз Пилотус хоҳиш намуданд, ки Ӯро ба қатл расонад. 
ACT.13.29	Вақте ки ҳама чизҳои дар бораи Исо навишташударо иҷро карданд, Ӯро аз салиб фуроварда, ба қабр гузоштанд. 
ACT.13.30	Аммо Худо Ӯро аз мурдагон зинда кард. 
ACT.13.31	Сипас Исо ба онҳое, ки ҳамроҳаш аз сарзамини Ҷалил ба шаҳри Уршалим омада буданд, рӯзҳои зиёд зоҳир мешуд. Ҳоло онҳо дар пеши мардум шоҳидони Ӯ ҳастанд.
ACT.13.32	Мо низ ба шумо хабари хуш мерасонем, ки ваъдаи ба падаркалонҳоямон додашуда 
ACT.13.33	иҷро гардид. Худо Исоро зинда карда, он ваъдаро барои мо, ки насли онҳо ҳастем, ба ҷо овард. Дар ин бора дар таронаи дуюми китоби Забур чунин гуфта шудааст:
ACT.13.33	„Ту Писари Ман ҳастӣ. Имрӯз Ман Падари Ту шудаам
ACT.13.34	Дар бораи он, ки Исоро зинда мекунад ва Ӯ ҳаргиз дар гӯр намепӯсад, чунин гуфта шудааст:
ACT.13.34	„Ман он ваъдаҳои муқаддас ва боваринокро, ки ба Довуд дода будам, ба шумо мебахшам“.
ACT.13.35	Бинобар ин дар дигар ҷойи навиштаҷот чунин гуфта шудааст:
ACT.13.35	„Ту намегузорӣ, ки Марди Поки Ту дар гӯр бипӯсад“.
ACT.13.36	Ин гуфтаҳо ба шоҳ Довуд дахл надоранд, чунки ӯ дар замони худ хости Худоро иҷро намуд ва аз ин олам чашм пӯшид. Ӯ мисли падаронаш ба хок супурда шуд ва ҷисмаш пӯсид. 
ACT.13.37	Аммо Шахсе, ки Худо Ӯро зинда кард, напӯсид».
ACT.13.38	– Бародарон! Бинобар ин, гӯш кунед! Мо ба шумо эълон мекунем, ки ба воситаи Исо гуноҳҳо бахшида мешаванд. 
ACT.13.39	Шариати Мусо одамонро сафед карда наметавонад, аммо касе, ки ба Исо имон меоварад, сафед мешавад. 
ACT.13.40	Пас эҳтиёт шавед, ки гуфтаҳои пайғамбарон ба саратон наоянд, зеро онҳо чунин гуфтаанд:
ACT.13.41	«Эй масхаракунандагон, нигоҳ кунед! Ҳайрон шуда, нобуд гардед. Зеро дар рӯзҳои шумо коре мекунам ки, агар касе дар бораи он ба шумо гӯяд ҳам, бовар намекунед».
ACT.13.42	Мардум ҳангоми аз ҷамоатхона баромадани Павлусу Барнаббо аз онҳо илтимос намуданд, ки рӯзи шанбеи дигар омада, ин мавзӯъро давом диҳанд. 
ACT.13.43	Баъди ҷамъомад гурӯҳи зиёде аз яҳудиёну худотарсоне, ки дини яҳудиро қабул карда буданд, ҳамроҳи Павлусу Барнаббо ба роҳ даромаданд. Ҳангоми роҳ рафтан Павлусу Барнаббо сӯҳбаткунон мардумро насиҳат намуданд, ки ба файзу меҳрубонии Худо такя кунанд.
ACT.13.44	Шанбеи дигар қариб ҳама мардуми шаҳр барои шунидани каломи Худованд ҷамъ омада буданд. 
ACT.13.45	Яҳудиён гурӯҳ-гурӯҳ одамонро дида, ҳасад бурданд ва дашномкунон ба суханони Павлус зиддият нишон доданд. 
ACT.13.46	Дар ҷавоб Павлусу Барнаббо ба онҳо далерона гуфтанд:
ACT.13.46	– Пеш аз ҳама лозим буд, ки каломи Худоро ба шумо – яҳудиён, гӯем. Азбаски шумо онро рад мекунед ва худро шоистаи ҳаёти абадӣ намедонед, ҳоло мо ба назди ғайрияҳудиён меравем, 
ACT.13.47	зеро Худованд ба мо чунин фармудааст:
ACT.13.47	«Туро барои ғайрияҳудиён нур таъйин кардам, ки наҷотро то ба канори замин бубарӣ».
ACT.13.48	Ин суханонро шунида ғайрияҳудиён хеле хурсанд шуданд ва каломи Худовандро ситоиш карданд. Онҳое, ки барои ҳаёти абадӣ интихоб шуда буданд, имон оварданд.
ACT.13.49	Ҳамин тавр, каломи Худованд дар тамоми сарзамин паҳн мешуд.
ACT.13.50	Аммо яҳудиён бар зидди онҳо занони худотарсу боломақом ва калоншавандагони он шаҳрро шӯр андохтанд. Дар натиҷа онҳо Павлусу Барнабборо ба танг оварда, аз он ҷо ронданд. 
ACT.13.51	Дар ҷавоб Павлусу Барнаббо бар зидди онҳо чангу хоки пойҳояшонро афшонда, ба шаҳри Қуния рафтанд. 
ACT.13.52	Ҳамзамон шогирдони антокиягӣ шод шуданд ва пур аз Рӯҳулқудс гардиданд.
ACT.14.1	Дар шаҳри Қуния низ Павлусу Барнаббо ба ҷамоатхонаи яҳудиён даромада, чунон сухан гуфтанд, ки мардуми зиёде аз яҳудиёну ғайрияҳудиён имон оварданд. 
ACT.14.2	Аммо яҳудиёне, ки имон наоварда буданд, ғайрияҳудиёнро ба шӯр андохта, онҳоро ба Павлусу Барнаббо зид намуданд. 
ACT.14.3	Ба ин нигоҳ накарда фиристодагон дар он шаҳр муддати зиёд монданд. Онҳо дар бораи Худованд далерона нақл мекарданд. Худованд бошад, бо дастони онҳо аломату мӯъҷизаҳо нишон дода исбот менамуд, ки сухан дар бораи файзу меҳрубониаш ҳақ аст. 
ACT.14.4	Мардуми шаҳр ба ду қисм ҷудо шуданд. Яке тарафдори яҳудиён буду дигаре тарафдори фиристодагон. 
ACT.14.5	Сипас яҳудиёну ғайрияҳудиён бо дастгирии роҳбаронашон забон як карданд, ки ба фиристодагон дарафтода, онҳоро сангсор кунанд. 
ACT.14.6+ACT.14.7	 Фиристодагон аз мақсади онҳо хабардор шуда, ба ноҳияи Лекония гурехтанд ва дар шаҳрҳои Лустраву Дарбаву гирду атрофашон гашта, расонидани хушхабарро давом медоданд.
ACT.14.8	Дар шаҳри Лустра марде менишаст, ки ланги модарзод буда, дар умраш роҳ нарафта буд. 
ACT.14.9	Ӯ сухани Павлусро гӯш мекард. Чун Павлус дид, ки вай барои шифо ёфтан имон дорад, бодиққат ба ӯ нигариста, 
ACT.14.10	бо овози баланд гуфт:
ACT.14.10	– Бархеста, бар пойҳоят рост ист.
ACT.14.10	Он мард аз ҷояш ҷаста хесту ба роҳравӣ даромад. 
ACT.14.11	Гурӯҳи одамон ин кори Павлусро дида бо забони леконӣ фарёд заданд:
ACT.14.11	– Худоён дар шакли одамизод ба назди мо фуромадаанд.
ACT.14.12	Онҳо фиристодагонро худоёни худ гумон карда, Барнабборо Зевс ва Павлусро Ҳермис номиданд, чунки Павлус нисбатан зиёд сухан мегуфт. 
ACT.14.13	Дар беруни шаҳр парастишгоҳи Зевс воқеъ буд. Инак, коҳини Зевс ба назди дарвозаи шаҳр барзаговҳо ва гулчанбарҳо оварда, хост, ки ҳамроҳи мардум ба фиристодагон қурбонӣ кунад. 
ACT.14.14	Аммо фиристодагон, яъне Барнаббову Павлус инро шунида, либосашонро даронданд ва сӯйи он гурӯҳ давида, дод зада гуфтанд:
ACT.14.15	– Мардум, охир шумо чӣ кор карда истодаед?! Мо ҳам мисли шумо одам ҳастем. Ба шумо хушхабар овардем, ки аз ин чизҳои ҳеҷу пуч рӯй гардонда, ба Худои зинда рӯй оваред. Ӯ замину осмону баҳрҳо ва тамоми ҷонваронеро, ки дар онҳост, офаридааст. 
ACT.14.16	Дар гузашта Худо вогузошт, ки ҳамаи халқҳо бо роҳи худ раванд. 
ACT.14.17	Лекин ба ҳар ҳол бо некиҳояш, яъне бо борон, бо мавсимҳои серҳосил, бо хӯрокворӣ ва ба дилҳоятон хурсандӣ бахшида, дар бораи Худ шаҳодат медод.
ACT.14.18	Ҳатто бо чунин суханон мардумро базӯр аз қурбонӣ намудан боздоштанд.
ACT.14.19	Сипас аз шаҳрҳои Антокия ва Қуния баъзе яҳудиён омаданд. Онҳо мардумро ба тарафи худ кашида, Павлусро сангсор намуданд. Сипас ӯро мурда гумон намуда, кашолакунон аз шаҳр берун бароварда партофтанд. 
ACT.14.20	Лекин вақте ки имондорон дар гирдаш ҷамъ шуданд, Павлус бархоста ба шаҳр даромад. Рӯзи дигар ӯ ҳамроҳи Барнаббо ба шаҳри Дарба рафт.
ACT.14.21	Онҳо дар шаҳри Дарба хушхабар расонда, аз бисёр одамон шогирд тайёр карданд. Сипас ба шаҳрҳои Лустра, Қуния ва Антокияи Писидия баргаштанд. 
ACT.14.22	Онҳо ба дилҳои шогирдон қувват мебахшиданду насиҳат мекарданд, ки дар имон устувор бимонанд.
ACT.14.22	– Барои ба Подшоҳии Худо дохил шудан мо бояд азобҳои зиёдро паси сар намоем, – мегуфтанд онҳо.
ACT.14.23	Павлусу Барнаббо дар ҳар ҷамоат роҳбаронро таъйин менамуданд. Сипас рӯза гирифта, дуо мекарданду роҳбаронро ба Худованде, ки имон оварда буданд, месупурданд. 
ACT.14.24	Ҳамин тавр онҳо ноҳияи Писидияро тай намуда, ба вилояти Памфилия омаданд. 
ACT.14.25	Дар шаҳри Пирҷа каломро паҳн намуда, ба шаҳри Аттолия фуромаданд. 
ACT.14.26	Аз Аттолия шино карда, ба шаҳри Антокияи Сурия баргаштанд, ки дар он ҷо аз ҷониби ҷамоати имондорон барои хизмати кардаашон ба паноҳи Худо супурда шуда буданд. 
ACT.14.27	Баъди бозгашт онҳо аҳли ҷамоати имондоронро ҷамъ карда, дар бораи тамоми корҳое, ки Худо ба воситаи онҳо кард ва чӣ тарз барои ғайрияҳудиён дари имонро кушод, нақл карданд. 
ACT.14.28	Дар он ҷо Павлус ва Барнаббо муддати дароз бо шогирдон монданд.
ACT.15.1	Сипас баъзе касон аз сарзамини Яҳудия ба Антокия омада, имондоронро чунин таълим доданд:
ACT.15.1	«Агар мувофиқи расму ойини Мусо хатна нашавед, наҷот намеёбед».
ACT.15.2	Ин сабаб шуд, ки дар байни онҳо ва Павлусу Барнаббо баҳсу мунозираи зиёд ба миён омад. Оқибат ба Павлусу Барнаббо ва якчанд имондорони дигар супориш доданд, ки барои ҳалли ин масъала назди фиристодагону роҳбарони ҷамоат ба Уршалим раванд. 
ACT.15.3	Ҳамин тавр онҳо аз ҷониби ҷамоат фиристода шуда, ба роҳ даромаданд. Ҳангоми аз Финиқия ва Сомара гузаштанашон онҳо дар бораи имон овардани ғайрияҳудиён ба имондорон нақл карданд. Ин хабар ба дили ҳамаи онҳо хурсандии бузург бахшид.
ACT.15.4	Вақте ки Павлусу Барнаббо бо ҳамроҳонашон ба Уршалим расиданд, ҷамоати имондорон ва фиристодагону роҳбарон онҳоро қабул карданд. Онҳо дар бораи ҳамаи корҳое, ки Худо ба воситаашон карда буд, нақл намуданд. 
ACT.15.5	Аммо якчанд намояндагони мазҳаби фарисӣ, ки имон оварда буданд, бархоста, чунин гуфтанд:
ACT.15.5	«Ғайрияҳудиёнро лозим аст, ки хатна шаванд ва ба онҳо амр карда шавад, ки шариати Мусоро риоя намоянд».
ACT.15.6	Сипас барои ҳалли ин масъала фиристодагон ва роҳбарон ҷамъ омаданд. 
ACT.15.7	Баъди муҳокимаҳои дурудароз Петрус аз ҷо бархеста, гуфт:
ACT.15.7	«Бародарон! Чунон ки медонед, чанде пеш Худо аз байни шумо маро интихоб намуд, то ки аз даҳони ман ғайрияҳудиён низ хушхабарро шунида, имон оваранд. 
ACT.15.8	Худо дили одамонро медонад. Ӯ ба ғайрияҳудиён ҳам Рӯҳулқудсро ато намуд, мисли он ки ба мо дода буд. Ҳамин тавр, Худо шаҳодат медиҳад, ки онҳоро низ қабул мекунад. 
ACT.15.9	Азбаски Худо дили ғайрияҳудиёнро ҳам ба воситаи имон пок кардааст, дар байни мову онҳо фарқе намегузорад. 
ACT.15.10	Пас, чаро шумо Худоро озмуда, ба гардани имондорон кореро бор мекунед, ки онро на падаркалонҳоямон иҷро карда тавонистанду на мо? 
ACT.15.11	Охир, мо бовар дорем, ки аз файзу меҳрубонии Худованд Исо наҷот меёбем. Онҳо низ ҳамин тавр наҷот ёфтаанд».
ACT.15.12	Инро шунида, ҳама хомӯш шуданд ва ба нақли Барнаббову Павлус гӯш доданд. Онҳо ба ҳозирон дар бораи мӯъҷизаву аломатҳое, ки Худо ба воситаи онҳо дар байни ғайрияҳудиён кард, ҳикоят намуданд. 
ACT.15.13	Чун суханашон ба охир расид, Яъқуб гуфт:
ACT.15.13	«Бародарон, ба ман гӯш кунед! 
ACT.15.14	Шимъун фаҳмонд, ки чӣ тавр Худо аввал ба ғайрияҳудиён ғамхорӣ намуда, аз байни онҳо барои Худ халқе ба вуҷуд овард. 
ACT.15.15	Суханони пайғамбарон ҳам ба ин мувофиқанд, зеро дар навиштаҷот чунин гуфта шудааст:
ACT.15.16	„Баъд аз ин Ман баргашта подшоҳии харобшудаи шоҳ Довудро барқарор месозам. Вайронаҳои онро соз мекунам ва аз нав бунёд менамоям, 
ACT.15.17	то ки ҳама халқҳои дигар, яъне ҳамаи ғайрияҳудиён, ки аз они Мананд, Маро биҷӯянд, – мегӯяд Худованд“»
ACT.15.18	Яъқуб суханашро давом дод: «Худо ин чизҳоро аз рӯзҳои қадим маълум кардааст. 
ACT.15.19	Бинобар ин қарор мекунам, ки роҳи ба Худо рӯй овардани ғайрияҳудиёнро душвор накунем. 
ACT.15.20	Танҳо ба онҳо нависем, ки аз хӯрдани гӯшти ҳайвони буғишуда, хӯроке, ки ба бутҳо тақдим шудааст, хун ва аз гуноҳи ҷинсӣ худдорӣ намоянд. 
ACT.15.21	Зеро шариати Мусоро аз рӯзҳои қадим дар ҳар шаҳр таълим медиҳанд ва ҳар рӯзи шанбе дар ҷамоатхонаҳо мехонанд».
ACT.15.22	Сипас фиристодагону роҳбарон бо тамоми аҳли ҷамоат қарор карданд, ки аз байни худ якчанд касро интихоб намуда, ҳамроҳи Павлусу Барнаббо ба шаҳри Антокия фиристонанд. Ҳамин тавр онҳо ду марди иззатмандро интихоб карданд: Яҳудои лақабаш Барсаббо ва Силоро. 
ACT.15.23	Сипас номаи зеринро навишта, ба дасти онҳо супурданд:
ACT.15.23	«Салом аз номи бародарон – ҳам фиристодагон ва ҳам роҳбарон ба имондорони ғайрияҳудӣ, ки дар шаҳри Антокия ва вилоятҳои Сурияву Киликия ҳастанд. 
ACT.15.24	Мо шунидем, ки аз байнамон баъзе касон рафта, сари шуморо бо суханонашон гаранг кардаанду дилатонро нороҳат сохтаанд. Аммо мо онҳоро нафиристодаем. 
ACT.15.25	Бинобар ин мо ҳама ба як қарор омадем, ки аз байни худ якчанд касро интихоб намуда, ҳамроҳи бародарони азизамон Барнаббо ва Павлус ба наздатон фиристем. 
ACT.15.26	Онҳо ба хотири номи Худовандамон Исои Масеҳ, аз баҳри зиндагии худ гузаштаанд. 
ACT.15.27	Инак, мо Яҳудо ва Силоро ба наздатон мефиристем, то ки навиштаи моро бо сухан тасдиқ намоянд. 
ACT.15.28	Ба Рӯҳулқудс ва ҳамчунин ба мо писанд омад, ки ба ғайр аз ин чизҳои зарурӣ ба гардани шумо бори дигаре нагузорем: 
ACT.15.29	аз хӯрдани гӯшти ҳайвони буғишуда, хӯроке, ки ба бутҳо тақдим шудааст, хун ва гуноҳи ҷинсӣ дур шавед. Агар худро аз ҳамин чизҳо нигоҳ доред, кори хуб мекунед. Хайр, нағз монед!»
ACT.15.30	Фиристодагон пас аз гусел шуданашон, ба шаҳри Антокия рафтанд. Дар он ҷо ҳамаи имондоронро ҷамъ намуда, номаро ба онҳо супурданд. 
ACT.15.31	Мардум номаро хонда, аз суханони рӯҳбахш хурсанд шуданд. 
ACT.15.32	Яҳудо ва Сило, ки худашон ҳам пайғамбар буданд, бо суханони худ, имондоронро хеле рӯҳбаланд ва устувор намуданд. 
