GEN.1.1	Kerrngehkenh duninjh God bolkmarnbom rowk, kaddum dja kurorre. 
1CO.4.5	Wanjh yuwn karribangmedjadmerren ngadmandeleng. Dja med, karrimadbu nawu Kawohrnan Rowk bu kamre. Nungka kanbukkan kadberre kore baleh karribebbehkurduyimi dja mak karriburrbuni kore baybaywi, kukangebeh kadberre. Kumekbe kabolkyime bu God kanbebbehburlume kadberre.
1CO.4.6	Mah, nawu ngaye karridangerrinj. Ngaye wanjh kuninjkunu ngayimeng ngudberre bu Apollos dja ngayekenh, bu marnehmarneyime ngudberre kore bidyikarrme. Ngaye ngadjare ngudberre bu ngurriwernhburrbun ngadkenh, ba bu ngurriwernhmenmenburrbun kunwok manbu bimbuyindanj, yimeng, “Ngaleng ngurridjalkurduyimen kore ngokko bimbuyindanj.” Dja yuwn bu ngurribebbehburlume bu ngurrbendjadme bininj ngudberre nawu kabirriwohrnawohrnan yiwarrudjkenh. 
1CO.4.7	Yiddok ngudda yimankek ngurridjalyime bu ngurrimak dja mak ngurrbenyurrhke birribuyika bininj nawu mak kabirrimunkekadjung Jesus? Kaluk nangale yimankek ngunmarnbom ngudberre bu ngurridjalwernhmak? Nawu God nungan ngunwong ngudberre yehyeng rowk. Minj ngudmandeleng ngurriworrimeninj, dja njalekah kuhni bu ngurrihburlumerren? Ngudda yimankek ngurriyime ngudmandeleng ngurrihmarnburren!
1CO.4.8	Yoh! Ngudda ngurriyime yimankek ngokko ngurrihkarrme rowk nawu ngurridjareni, dja mak ngudda ngokko ngurrikukenminj. Ngudda yiman ngurriyimerranj yiman kings rerrih! Dja ngad nawu apostles, wanjh kandidjalbawong. Kaluk ngaye ngadjalwernhdjareni bu ngurriyimerrangimeninj woybukkihniwirrinj kings ba bu ngad dorrengh karridjarrkbebbehwohrnayi.
1CO.4.9	Ngaye ngahburrbun God yimankek ngankurrmeng ngadberre nawu apostles yerre yiman nawu bininj kabindikan kore kurobbe, ba bu kabindibun, bu kumekbekenh manbu court kabenwarrewam. Kunubewu nungan God kadjare bu ngandidjalkuknan ngadberre, ngayime nawu birriwarlahkenh angel nuye dja bininj namirndewarlahkenh rowk. 
1CO.4.10	Woybukkih. Bininj kabirriyime bu ngad ngarribengwarr nuye Christ. Dja ngudda ngaleng, nawu yimankek ngurriyime ngurridjalwernhburrbun bu ngurrikukbelbmerrinj nawu Christ. Ngad wanjh ngarringudjwarre, dja ngudda yimankek ngurriyime ngurridjalmurrngrayek. Bininj wanjh kunu kabirriyime ngudda ngurridjalwernhkuken, dja ngad ngandiwarrewe ngadberre.
1CO.4.11	Yoh. Ngad kunu munguyh ngarridjalmarrwedowen dja mak ngarrikombukdowen. Dja kunmadj ngadberre warrehwarreminj. Bininj ngandibuni ngadberre, dja mak minj kunrurrk ngarrikarrme bu ngarriyuwirrinj. 
1CO.4.12	Ngad mak ngarridurrkmirri kunrayek duninjh kunbidwi ngadberre, dja ngarringudjwarreminj. Kaluk bu bininj ngandimalelmang ngadberre, wanjh ngad ngarridjaldjawan God bu kabendjalmarnekurduyime kunmak bedberre. Bu bedda ngandimarladjwon ngadberre, wanjh ngarridjaldi. 
1CO.4.13	Bu bedda kabirrikurrewan kore ngandihmulewan ngadkenh, wanjh ngad djal yeledj ngarrbenwokmang bedberre. Bolkkime wanjh nawu bininj birriwern kondanjkunu kunred, kabirridjare ngandikukburriwe ngadberre, yiman yehyeng nawu nawarrewarre nudminj!
1CO.4.14	Ngaye minj ngadjare ngurriyeme bu kuninjkunu ngabimbom. Kunukka burrkyak. Ngaye djalmarnedjare ngudberre yiman kayime nawu wurdwurd ngardduk rerrih. Ngadjaldjare kukmarnbun ngudberre kore mandjad, kumekbekenh kunu ngambimbom naninjnanu djurra. 
1CO.4.15	Birriwern bininj ngundihnahnan ngudberre kore ngurrimunkekadjung Christ, dja nawu ngaye ngayungkihni marnemulewam ngudberre kunwok kunmak. Wanjh bu ngudda ngurrikukbelbmerrinj nuye nawu Christ, wanjh kunu yiman kayime ngaye ngayimerranj kornkumo ngudberre kore Christkenh. 
1CO.4.16	Kumekbekenh kunu ngudda wanjh munguyh kandingunjdjika ngaye kore baleh yarrka ngayime.
1CO.4.17	Mah, wanjh kunmekbekenh kunu ngaye ngamunkeweng Timothy ngudberre. Nawu nungka warridj yiman kayime wurdyaw ngardduk nawu ngamarnedjare, dja nungka munguyh ngandjalwokmarrkmang ngaye kore nawu Kawohrnan Rowk. Nungka wanjh kamre dja ngunbengdayhke ngudberre ngayekenh kore ngahyime, ba bu mandjad ngurrikurduyime kore ngurrikukbelbmerrinj nawu Christ Jesus. Kaluk nungka ngunbukkabukkan ngudberre yiman bu ngaye ngabenbukkabukkani birriwarlahkenh bininj rowk kore yiwarrudj ngarre kore kubolkbubuyika rowk.
1CO.4.18	Ngaye korroko ngaburrbun bu yikahwi ngudda bininj ngurribangminj dja ngurriyime yimankek ngurrikimukworren, bu ngudda ngurridjalyime bu ngaye minj ngamre kumekbe. 
1CO.4.19	Dja bu nawu Kawohrnan Rowk kadjare, wanjh kunukka ngamdjalle ngudberre werrk. Wanjh kunu ngayeman ngabennan nawu kabirrikihkimukworren dja nganan bu kunubewu kundulkarre kabirrikarrme, dja kunubewu kunbuyika kunwokwi kabirrihdjalyime. 
1CO.4.20	Ngudda ngurriburrbun bu ngad karridi kore God kanmarnewohrnan kadberre, wanjh kunukka minj kunwokwi karridjalyime, dja ngad kunu karrikarrme kundulkarre nuye.
1CO.4.21	Kandibekka. Bu ngaye ngamre ngudberre, yiddok ngurridjare ngamkan kundulk bu dung ngudberre? Dja mak yiddok ngurridjare ngamre bu marneyime kunmak ngudda nawu ngaye djalmarnedjare?
1CO.5.1	Ngaye ngabekkang kundjalwarre duninjh kunwok ngudberre. Bu ngawobekkang nakudji bininj kore kumekbe yiwarrudj ngudberre, wanjh kabeneyo nawu nakornkumo nuye ngalbininjkobeng, dja wanjh kundjalwarre duninjh. Birribuyika bininj nawu kabirrimarneboddan idols, minj kabirrikurduyime kunwarre yiman namekbe bininj! 
1CO.5.2	Dja njalekenh ngudda ngurridjalburlumerren? Dja nuk ngurrinjilngwarremeninj dja mak ngurrikukburriwemeninj namekbe bininj bu minj ngurriyawoyhraworren nuye?
1CO.5.3+1CO.5.4+1CO.5.5	Ngaye minj kumekbe karridjarrkdi, dja yiman kayime kunkange ngardduk kumekbe marnewokdi ngudberre. Wanjh bengdayhke kore kunngey nuye Jesus, nawu Kawohrnan Rowk bu ngaye ngokko ngayingkihwarrewam nahni bininj nawu mahni kunwarre kurduyimeng. Mah, wanjh bolkkime ngurrimirndemornnamerrimen dja ngaye ngardduk kunkange yiman kumekbe karridjarrkdi. Dja kunmekbe wanjh Jesus nawu Kawohrnan Rowk ngunwon ngudberre kundulkarre, ba bu ngurribidnakenwon naninjnanu bininj kore nawu Satan. Kaluk nungka kunburrk nuye karrowen. Dja yerrekah bu kunbarnangarra kabolkyime kore nawu Kawohrnan Rowk kamdurndeng, wanjh kabimalngngehke namekbe nawu bininj.
1CO.5.6	Ngudda munguyh ngurrihdjalburlumerren, dja kunukka minj kunmak. Ngurrina! Ngurriburrbun bininj kabirriyime, “Manbu manyahwurd kahkuklurlmikenh ngurrikurrme kore kandidjawa manduyh wanjh kamarnbun kalodkimukmen rowk manbu kandidjawa”. 
1CO.5.7	Kuhni bu ngaye ngayime. Wanjh kunukka kunyahwurd kunwarre kayongen kore ngudda ngudberre, wanjh kunukka ngundjalwarrewon rowk ngudberre nawu kumekbe ngurrihni kore yiwarrudj. Dja wanjh ngurridjalwemen. Dja mak kunbadbuyika kore ngaye marnemulewan ngudberre. Ngudda wanjh ngokko yiman buriddi manlodkerrnge, dja wanjh manbu manlodkare ngurrihkarrme, wanjh makka ngurrilodwemen, ba bu ngurridjalkerrngehmen manbu yiman minj kakarrme kahkuklurlmikenh. [Exodus 12:5]
1CO.5.7	Dja ngudda ngurribalburrbu mulil manbu karribengkan bu korroko duninjh God bendarrkidbawong nawu mawahmawah kadberre. Wanjh kunmekbe karohrok bu yiman manlodkare karrihlodburriwe. Kaluk nawu ngad mawahmawah kadberre birribuni mayh nawu ngeyyoy lambs, ba bu God bendarrkidbawoni. Dja wanjh bolkkime Christ doweng kadberre rowk ba bu God kandarrkidbawon kadberre. 
1CO.5.8	Dja wanjh karridjalnjilngmaknin bu karrikarrme maninjmanu mulil. Yuwn mak bu karrinjirrhmiworren dja minj mak karrihmarnekurduyime kunwarre munguyh. Bu kunmekbe karrikurduyime, wanjh kunukka yiman kayime manlodkare buriddi manbu kakarrme mankuklurlmikenh. Ngad wanjh karrimarneyimerrimen kunwoybuk, dja yuwn bu karrikowerren. Wanjh kunukka yiman kayime manlodkerrnge buriddi karrihngun kore mulil ngarre manbu mankuklurlmikenh yak. [Exodus 13:7]
1CO.5.9	Ngaye wanjh ngokko ngayingkihbimbom ngudberre kore nabuyika djurra bu bengdayhkeng, marneyimeng yuwn bu ngurriraworren birribuyika bininj nawu kabirrimunkekadjung Jesus bu bedda kabirridjaldjare kabirriwohdjirdmarren daluk dja bininjkenh. 
1CO.5.10	Ngaye minj ngabenyolyolmeng bininj nawu birrikang kondanjkunu kurorre, nawu munguyh kabirriwohdjirdmadjirdmarren daluk dja bininj, dja mak kabirridedjwarlah bu kabirrimanjngun yehyeng rowk, dja mak nawu kabirridedjdjolkyiwake, dja mak nawu kabirrimarneboddaboddan nawarrewarre nawu idols. Bu ngudda ngurridjareniwirrinj ngurrbenbawoyi birrimekbe bininj, wanjh yimankekni ngurridjalbolkbawoyi kondanjkunu kunred kurorre. 
1CO.5.11	Dja burrkyak, ngaye ngabimbom bu marnehmarneyime ngudberre yuwn ngurriraworren bininj nawu kabirriyime yimankek ngurridangerrinj kore nawu Kawohrnan Rowk, dja bedda kabirridjalkurduyime kuninjkunu kunwarre, yiman kabirriwohdjirdmadjirdmarren daluk dja bininj, dja mak kabirrimanjngun yehyeng rowk, dja mak nawu kabirrimarneboddaboddan nawarrewarre bedberre gods, dja mak kabindiyolyolme birribuyika, dja mak kabirridjalworromkan munguyh, dja mak kabirridedjdjolkyiwake. Yiman bu nangale bininj kumekbe kakurduyime, wanjh nakka yuwn ngurridjarrkngun manme, dja ngurridjalbawo.
1CO.5.12	Ngad karrbendjadme birrimekbe bininj kore yiwarrudj karridjarrkdi, dja minj karrbendjadme bininj nawu kondah kurorrebeh, nawu minj kabirrimunkekadjung Jesus. Kuhni minj kadberre. Dja nawu ngad karridjarrkdi kore yiwarrudj, nakka wanjh ngadmandeleng karridjadmerren. 
1CO.5.13	God nadjalkudji nawu kabendjadme birriwern bininj nawu kuberrk kore yiwarrudj. Ngad wanjh karridjalkurduyime kore bimbuyindanj korroko, dja kayime, “Ngurrbenkukburriwemen bininj nawu ngurrihni bu kundjalwarre kabirridjalkurduyime.” [Deuteronomy 17:7]
1CO.6.1	Ngaye mak ngokko ngabekkang kunbadbuyika kunwarre kore ngurrikurduyime. Yikahwi ngudda ngurridangwerrinj dja ngurrikurrmerrinj kore court. Dja kawarre. Yuwn bu ngurrikurrmerren kore court. Bininj nawu ngundjadme kunmekbe, nakka minj kabirriwoybukwon Jesus. Ngudda ngaleng ngurrikurrmerrimen kore kumirrk bedberre birribuyika bininj nawu God nuye ba bu ngundidjadme ngudberre. 
1CO.6.2	Ngudda nawu God nuye bininj, kaluk yerrekah ngudda ngurrbendjadme birriwarlahkenh bininj nawu kondanjkunu kurorrebeh. Minj ngudda ngurriburrbuyi bu kuninjkunukenh. Kuhni bu kundjalwernhkimuk ngurriyime bu ngurrbendjadme birriwern bininj. Wanjh kunu kamak bu ngurridjadmerren kore ngurridangwerrenkenh. Kunukka wanjh kundjalwohyahwurd! 
1CO.6.3	Yiddok minj ngurriburrbun bu angels warridj karrbendjadme? Dja wanjh kamak bu karridjadmerren kore kondah kurorrekenh.
1CO.6.4+1CO.6.5	Dja njalekah ngudda ngurridjaldjare ngundidjadme bininj nawu minj yiwarrudj bedberre kore ngurridangwerren bu kunyahwurdkenh? Bonj, wanjh ngurrbenkurrmen yikahwi ngudberre bininj bu ngundidjadme. Kaluk bininj nawu minj birrikuken kore ngudda, wanjh kamak bedda kabirridjadme ngudberre.
1CO.6.4+1CO.6.5	Ngudda wanjh ngurriyemengalmimen kore marnehmarneyime ngudberre! Kandibekka. Bu benebokenh bininj ngudberre nawu kabenemunkekadjung Jesus kabenebebbehdangwerren, wanjh bedda benedjawa nabuyika namak bininj nawu kabimunkekadjung Jesus ba bu nungka kabenbenedjadme berrewoneng. 
1CO.6.6	Dja burrkyak. Kunukka minj ngurrikurduyime. Dja ngudda kunu ngurrire kore court ba bu bininj nawu minj kabirrimunkekadjung Jesus, wanjh kunu bedda ngundidjadme. Dja wanjh kuhni kundjalwarre duninjh!
1CO.6.7	Kandibekkabekka. Yuwn bu ngurrimunkewerren bu ngurrihre kore court. Bu kunmekbe ngurrikurduyime wanjh kunukka yiman kayime ngokko ngurriyingkihwarreworrinj. Bonj, bu nabuyika bininj nawu kabimunkekadjung Jesus ngunkowe, dja nuk ngunwarrewon, wanjh yidjalbawo, dja yuwn bu yikan kore court, wardi yimarnebengmidjda. 
1CO.6.8	Dja ngudda kundjalbuyika ngurrikurduyime, ngudda nawu bininj ngurrimunkekadjung Jesus. Njalekenh ngudda kunwarre ngurridjalmarnekurduyimerren, dja mak ngurriwarreworren munguyh? Dja njalekenh, ngudda wanjh ngurridangerrinj?
1CO.6.9+1CO.6.10	Yiddok minj ngurriwernhburrbun, bininj nawu munguyh kunwarre kabirridjalkurduyime, wanjh minj bedda kabirringimen kore God kabenmarnewohrnan nawu bininj nuye? Yuwn bu ngurrbenbekkan birribuyika bininj nawu ngundihkowe kuninjkunukenh. Bininj dja daluk nawu kabirridjalwohdjirdmadjirdmarren minj kabirringime kore God kabenmarnewohrnan nawu bininj nuye. Dja mak bininj nawu kabirrimarneboddan nawu idols bedberre, dja mak nawu bininj dja daluk kabenebidyikadjurren nawu minj nuye nabininjkobeng dja ngalbininjkobeng, wanjh bedda rowk minj kabirringime kore God kawohrnan kore nuye bininj. Warridj bininj nawu kabirriweykarren ba bu daluk kabindibayahme kore kabeneyokenh, minj bedda kabirringime. Dja mak nawu binihbininj kabirrimarren bedman bininjdeleng, dja mak bininj nawu birridedjdjolkwern, dja mak nawu kabirrimanjngun yehyeng rowk, dja mak bininj nawu kabirriworromkan munguyh, dja mak bininj nawu kabindimarnekowe birribuyika, dja bininj nawu kabindikowe birribuyika ba bu kabindimarnedjirdmang kunwardde. Birrimekbe bininj rowk nawu kuhni kabirrikurduyime, wanjh minj kabirringime kore God kabenmarnewohrnan nawu bininj nuye.
1CO.6.11	Dja ngudda yikahwi ngudberre wanjh kunmekbe kunwarre ngurrikurduyimi. Dja bonj, bolkkime burrkyak! God ngunkukdjirridjbom ngudberre dja ngunmarnbom ngudberre yiman nungan nuyekih bininj, ba bu ngurrikurduyime kore nungka kadjare. Dja mak ngunmakwam ngudberre, bu yimeng ngudda minj mak ngurriyawoyhwarre. Kuhni God ngunmarnekurduyimeng rowk ngudberre kore kunngey nuye Jesus Christ nawu Kawohrnan Rowk, bu bimmunkeweng nuye Namalngmakkaykenh bu ngunmarneni ngudberre.
1CO.6.12	Ngaye ngaburrbun yikahwi ngudda ngurriyime, “Ngaye God nuye bininj, wanjh kunukka ngadjalkurduyime kunwern kore ngadjare.” Dja med, bu ngudda yimankek ngurrikurduyime kunwarre, wanjh kunukka ngurridjalwarreworren. Yoh, bu ngudda ngurriyime, “Ngaye wanjh nuye God, wanjh kunukka ngadjalkurduyime kunwern kore ngadjare.” Wanjh ngurriyimerrimen, “Nganahnarrimen, ba bu minj njale mak nganyawoyhbongkarrme ngaye.” 
1CO.6.13	Kunbadbuyika mak yikahwi bininj ngudda ngurriyime, “Manbu manme makka wanjh mannjam ngardduk ngalengngarre. Dja manu mannjam ngardduk, makka wanjh manmekenh ngarre.” Kunukka yoh, kamak, dja marneyime ngudberre kaluk God kabularrbun rowk manme dja mak mannjam bu yerrekah. Bu kuhni ngudda ngurriburrkyolyolmerren wanjh kunubewu ngudmandeleng ngurrihmarneyimerren, “Wanjh kunekke karohrok manbu kunburrkkenh ngardduk, wanjh nganedjaldjirdmarren bininj dja daluk.” Bu kuhni wanjh kunwarre ngurriyime. Manbu kunburrk ngudberre God ngunwong bu ngurriwokmarrkmang nuye, wanjh yuwn bu ngurriwohdjirdmadjirdmarren. Dja nawu Kawohrnan Rowk nungka wanjh ngunmarnewohrnan manbu kore kunburrk ngudberre.
1CO.6.14	Ngurriburrbu bu God birrolkkayhweng nawu Kawohrnan Rowk kore kundowibeh, kundulkarre dorrengh nuye. Kaluk ngadmanwali kandolkkayhwe kadberre kunburrk dorrengh kore kundowibeh. 
1CO.6.15	Yiddok minj ngudda ngurriburrbun manbu kunburrk ngudberre makka wanjh ngurrikukbelbmerrinj nawu nungan Christ? Ngudda ngudberre kunburrk, wanjh kabirriraworren dja birriyimerranj yiman Christ nuye kunburrk. Wanjh bu ngudda daluk nguneyuwirrinj ngalbu ngalwarre duninjh, wanjh kunukka yiman kayime yimarnbuyi kabenekukbelbmerren Christ dorrengh! Kunukka kundjalwarre duninjh. 
1CO.6.16	Wardi minj ngudda ngurriburrbun, bu ngudda ngunehyo ngalbu daluk ngalwarre duninjh, wanjh kunukka yiman nguneburrkkukkudjihmen. Wanjh kunmekbekenh kunu bimbuyindanj, dja yimeng, “Bu bininj dja daluk kabenemarren, wanjh kunukka kabeneburrkkudjihmen.” [Genesis 2:24] 
1CO.6.17	Dja bu nangale bininj kabenebelbmerren nawu Kawohrnan Rowk wanjh kunukka kabenedjalmalngkudjihmen.
1CO.6.18	Bonj wanjh, ngurriborledmen dja ngurribawo munguyh kunwarre kore ngurridjirdmarrenkenh. Dja bininj nawu kabirriwohdjirdmarren, wanjh yiman kunu kayime kunburrk bedberre kabirrikukwarreworren. Bininj bu kunbubuyika kunwarre kabirriyime, wanjh kunukka minj kunburrkkenh bedberre, dja ngaleng kore kabirridjirdmarrenkenh, wanjh kunukka kabirrikukwarreworren.
1CO.6.19	Yiddok minj ngudda ngurriburrbun manbu kunburrk ngudberre nakka yiman kayime kunrurrk manbu Temple? God ngunwong ngudberre nawu Namalngmakkaykenh ba bu kahyo kore kukange ngudberre. Wanjh ngudda kunu minj ngudmandeleng ngudberre dja ngudda God nuyekih bininj! 
1CO.6.20	Nungka ngunmarnekarremulewam bu ngunbebkengkenh. Ngudda wanjh ngurridjalkurduyimen djal kunmak kore kunburrk ngudberre dorrengh ba bu bininj ngurrbenmarnbun dja wanjh kabirriburlume God.
1CO.7.1	Ngamey djurra nawu ngurribimbom dja ngurrimunkeweng ngardduk, dja bolkkime ngaye marnebimbun ngudberre bu bengdayhke kunmekbekenh.
1CO.7.1	Ngudda kandiyidjawam, wanjh ngurriyimeng, “Yiddok kuhni kunmak bu bininj kadjare munguyh kadjaldi nadjadmud?” Wanjh marneyime woybukkih, yoh, kamak bininj minj kadjare kabeneyo daluk bu munguyh. 
1CO.7.2	Dja nawu bininj dja daluk minj kabirrimarren, wanjh kunukka wardi kabirridjaldjirdmarren. Kunmekbekenh ngaye marnehmarneyime ngudberre, bininj dja daluk ngurrbenbebbehkarrme ngudberre nabininjkobeng dja ngalbininjkobeng. 
1CO.7.3	Wanjh nawu nabininjkobeng njilngmaknin bu kabeneyo ngalbininjkobeng nuye, dja mak ngalbu ngalbininjkobeng njilngmaknin bu kabeneyo ngarre nabininjkobeng. 
1CO.7.4	Kunekke bu ngurrikurduyime, wanjh kunukka kunmak. Kaluk ngalbininjkobeng kunburrk ngarre, wanjh nabininjkobeng kabimarnewohrnan, dja nawu nabininjkobeng kunburrk nuye, wanjh ngalbininjkobeng nuye kabimarnewohrnan. 
1CO.7.5	Kunubewu nabininjkobeng dja ngalbininjkobeng kabenewokmarnburren, wanjh kabeneyime, “Yuwn kab ngarryo, dja med, ngarrdjaldin yiwarrudj waken.” Kuhni wanjh kamak, kaluk yerrekah wanjh kunu beneyawoyhyuwn. Dja bu burrkyak, wanjh kunu Satan nawu namarnde duninjh kabenebebbehdjurrkkan kore kunmayali benewoneng dja wardi kabenekurduyime kunwarre.
1CO.7.6	Ngaye minj kuhni wokrayekwon ngudberre, dja djahdjalmarneyime ngudberre bu kuninjkunu ba bu ngurridjalnjilngmak munguyh. 
1CO.7.7	Ngurriburrbun ngaye wanjh nawu ngadjadmud bininj, dja ngadjareniwirrinj ngurriwernkenh ngurridjadmuddiwirrinj yiman ngaye. Dja kunukka bonj bu minj ngurridjadmudniwirrinj, wanjh God kanbebbehwong kadberre kunmak kunbubuyika kore karribebbehkurduyime nuye.
1CO.7.8	Ngudda nawu ngurridjadmudjadmud dja nawu ngurrikodjmohkodjmong, bu ngudda ngurridjare ngurridjaldjadmuddi yiman ngaye, wanjh kunukka kamak. 
1CO.7.9	Dja bu ngudda minj ngurringurdme kore ngurriburrbun ngurrihyokenh, wanjh kunukka ngurridjalmarrimen, ba bu ngurriyo kamak rowk. Dja bu minj ngurrimarren wanjh kunukka munguyh ngurrinjilngwarremen kore ngurriburrbun munguyh.
1CO.7.10	Mah, ngudda warridj, nawu ngokko ngurrimarrinj. Ngadjare kunwok kunrayek marneyime ngudberre. Kuhni minj ngaye ngardduk kunwok, dja kuninjkunu nawu Kawohrnan Rowk nuye. Daluk ngalbu ngalbininjkobeng yuwn bu kabibawon nabininjkobeng ngalengngarre. 
1CO.7.11	Dja bu yiman kabibawon nabininjkobeng ngarre, wanjh ngaleng djalyawoyhdurnde kore nungka, dja minj mak kabimang nawu nabuyika bininj. Kuhni wanjh kadjalrohrok rerrih bu bininj nawu nabininjkobeng, wanjh yuwn bu kabibawon ngalbininjkobeng nuye. [Matthew 5:32; Mark 10:11-12; Luke 16:18]
1CO.7.12	Ngadjare mak marnemarneyime ngurribuyika bininj warridj. Kuhni kunwok minj nawu Kawohrnan Rowk nuye, dja ngayeman djalmarneyime ngudberre. Nangale bininj nawu kabiwoybukwon Jesus dja ngalbininjkobeng nuye minj kabiwoybukwon Jesus, wanjh yuwn bu kabidjalbawon. Bu ngaleng kadjare kabenehdjalni munguyh, wanjh nahni bininj minj kabibawon ngahli daluk. 
1CO.7.13	Dja mak kadjalrohrok ngudda daluhdaluk nawu ngurrihwoybukwon Jesus. Ngalngale daluk ngalbu kabikarrme nabininjkobeng nawu minj kabiwoybukwon Jesus, bu nahni bininj kadjare kabenehdjarrkni munguyh, wanjh kunukka yuwn kabibawon. 
1CO.7.14	Bu ngalbininjkobeng kabiwoybukwon Jesus, wanjh God kayime kamak bu kabeneyo ngarre bininj nawu minj kabiwoybukwon Jesus. Dja karohrok bininj nawu kabiwoybukwon Jesus, wanjh God kayime kamak bu kabeneyo ngalbininjkobeng nuye ngalbu minj kabiwoybukwon Jesus. Dja bu kabeneyo munguyh, wanjh God kayime bu wurdwurd berrewoneng, wanjh nuyekih.
1CO.7.15	Bu nabininjkobeng nawu minj kabiwoybukwon Jesus kadjare kabibawon daluk nuye, wanjh bonj, ngalmekbe ngalbininjkobeng bidjalbawo bu kare. Dja kamak. Dja karohrok bu ngalbininjkobeng minj kabiwoybukwon Jesus, dja kadjare kabibawon bininj, wanjh nabininjkobeng bibawo kare. Bonj, dja kamak. Ngaye kuninjkunu marneyime ngudberre, dja God ngunkayhmeng ba bu ngurrikarrme kunmodmikenh nuye. 
1CO.7.16	Dja med, ngaleng kuhni kunbuyika ngurriburrbu! Bu ngudda nguneyo bininj dja nuk daluk nawu minj kabiwoybukwon Jesus, dja bu ngunedjalyo munguyh, wanjh kunubewu God kabingehke nawu ke nabininjkobeng dja ngalbininjkobeng ke.
1CO.7.17	Bu karriwoybuwon God, yiddok kamak bu ngurridjare karriwernhbuyikaworren? Kandibekka. Wanjh God ngunbebbehkayhmeng ngudberre dja mak ngunbebbehwong namak nuye. Kaluk kadjare ngurribebbehkurduyime kore nungka ngunbebbehmarneyime ngudberre. Wanjh ngurridjalwokmarrkma dja mak ngurrikurduyimen kore kadjare nawu Kawohrnan Rowk. Ngaye ngabenbukkabukkan mahni mankarre bedberre birriwern bininj nawu yiwarrudj rowk kabirrikarrme. 
1CO.7.18	Bu ngudda ngokko ngurrilakkayenminj bu God ngunkayhmeng ngudberre, wanjh kunukka kamak, yuwn bu ngurribalborledkerren bu yimankek minj ngurrilakkayenworrimeninj. Dja ngurribuyika bininj nawu ngudda minj ngurrilakkayen bu God ngunkayhmeng ngudberre, yuwn bu ngurridjare ngundilakkayenmen. 
1CO.7.19	Kunukka bonj, bu ngudda ngurrilakkayen, dja mak minj nawu ngurrilakkayen, bonj, minj kundulmuk. Dja kundjalkudji kunkimuk duninjh, bu ngudberre rowk ngurridjalwokmarrkmang God nuye mankarre munguyh. 
1CO.7.20	Mah, wanjh ngurridjalbebbehdin kore ngurridi kerrngehkenh bu God ngunkayhmengbeh ngudberre.
1CO.7.21	Bu ngudda ngurrbenmarnedurrkmirri birribuyika nawu ngundibongkarrmi ngudberre bu kumekbe bolkyimi God ngunkayhmeng, wanjh yuwn kunu ngurrikangewarre. Bu ngudda ngundibebke ngudberre birrimekbe bininj, wanjh kunukka kamak, ngurribaldjalraywi. Dja bu burrkyak, wanjh yuwn bu ngurriburrbun. 
1CO.7.22	Bu ngudda bininj nawu ngundibongkarrmi bu nawu Kawohrnan Rowk ngunkayhmeng, wanjh nungka ngunbebkeng kore kunwarrekenh, dja ngurriyimerranj nuyekih bininj, bu ngurridjalle kunmak rowk. Dja ngaleng, bininj nawu minj kabirribongdi, bu God kabenkayhme, wanjh kunukka yiman kabirriyimerran bu Christ kabenbongkarrme. 
1CO.7.23	God ngunbebkeng ngudberre kore ngunmarnekarremulewam, dja wanjh ngurridjalyimerranj nuye bininj. Wanjh yuwn bu ngurrikurrmerren kore djal bininj ngundibongkarrme.
1CO.7.24	Nawu karridangerrinj, ngurridjaldin kore kerrngehkenh ngurridi bu God ngunkayhmeng. Nungka wanjh nadjalkudji bu ngurriwokmarrkmang.
1CO.7.25	Ngudda kandidjawam kunbuyikakenh kore ngurribimbom djurra bu nawu birridjadmud bininj dja daluk. Dja marneyime ngudberre. Nawu Kawohrnan Rowk minj nganwoyinj kunwok bu kunmekbekenh. Dja ngaleng djalmarneyime ngayeman kore ngaburrbun. Kaluk nawu Kawohrnan Rowk ngankongibom ngaye, dja mak nganmarnbom bu ngamarnedurrkmirri nuye, wanjh kunmekbekenh kandibekkan kore marnemarneyime ngudberre. 
1CO.7.26	Kuhni bu ngaye ngahburrbun. Bolkkime wanjh kunrayek duninjh kamhre darnkih kadberre, wanjh kunmekbekenh kunu karridjalre dja minj karriborledkerren. 
1CO.7.27	Ngayime bininj dja daluk bu benemarrinj, wanjh yuwn mak kabenebaworren. Dja nangale nawu kahdjaldjadmud, yuwn bu kayawarren bu kabenemarrenkenh.
1CO.7.28	Dja ngaleng, bu ngudda ngurrimarren, wanjh kunukka minj kunwarre, dja kundjalmak. Dja bu ngalyawk ngalbu kabenemarren nabininjkobeng bu kerrngehkenh duninjh, wanjh kunukka kunmak, minj kuhni kunwarre. Dja med, ngurribekka, bu ngudda ngurrikaliyimen, wanjh kunukka kunrayek kunkimuk ngurringalke kore kondah kurorre ngurridi, dja minj ngaye ngadjare kunmekbe ngunmarnekurduyimerran.
1CO.7.29	Nawu karridangerrinj, kuhni ngayime. Bu darnkih kamhre bu God nungan yingkihkarremarnbuni. Wanjh bu yikarrme ngalbininjkobeng ke, yuwn bu yidjalburrbun munguyh kore ngunemarrenkenh, dja wanjh yidjalburrbu kore God kadjare ke bu yikurduyime nuye. 
