MAT.1.1	Tüfa Jesucristo tañi kuyfike tuwün pu che em, David em ka Abraam em tañi pu yomel ürke:
GAL.4.27	Tati Wirin Chillka am feypilelu:
GAL.4.27	“Ayüwnge, eymi domo pepi niepüñeñkenolu,
GAL.4.27	eymi nienolu ta püñeñ;
GAL.4.27	Ayüwkülen wirarnge, eymi tati kimnolu ñi tunte kutrantuken tati choyüalu.
GAL.4.27	Tati kisukünuelchi domo am ta doy niealu ta püñeñ tati fütangechi domo mew.”
GAL.4.28	Pu peñi ka pu lamngen, eymün ta Isaak reke feleymün. Fey eymün tati pu yall Ngünechen tañi tukulpakünuel. 
GAL.4.29	Fey kuyfi mew tati püñeñ choyüngelu re che ñi adkünuel mew, fey tüfa kayñetukefi tati püñeñ choyüngelu tati Lif Küme Püllü tañi adkünuel mew. Fey ka femngechi dungu mülekey ta fewla. 
GAL.4.30	Welu ¿chem piley am tati Wirin Chillka? Feypilelley may: “Werküfinge ñi tripatuael tati küdawfe domo ka tañi püñeñ, tati küdawfe domo tañi püñeñ am pepi koneltunoalu tati erensia mew ñi nieel tati lifrelechi domo tañi püñeñ.”
GAL.4.31	Femngechi llemay, pu peñi ka pu lamngen, iñchiñ tati küdawfe domo tañi püñeñ no, welu tati lifrelechi domo ñi püñeñ mayfe.
GAL.5.1	Cristo lifrekünutueiñmew femngechi taiñ rüf mew lifrengeael. Feymew llemay, eymün ta newentuwkülemün tamün lifreletun mew ka wiñofamkontukilmün tati yuku mew reke tamün trarintukuletuael tati ley dungu mew.
GAL.5.2	Allkütumuchi. Iñche, Pablo, feypiwayiñ eymün tüfachi dungu: eluwülmün tamün sirkunsidangeael, Cristo mew ta ngünam feyentuymün. 
GAL.5.3	Küpa wiñome feypiniewfiyiñ chem wentrungeay rume tati sirkunsidangelu, feley tañi mupituael itrokom ñi chem pilen Moyse tañi ley dungu. 
GAL.5.4	Eymün, tati pu ayülelu ñi lifrelewetuael ta yafkan mew tañi femün mew ñi chumngechi feypilen tati ley dungu, wichunentuwtuymün ta Cristo mew ka püntünentuwtuymün Ngünechen tañi piwkeyechen mew. 
GAL.5.5	Welu ta iñchiñ tati Lif Küme Püllü ñi kellun mew ka taiñ feyentulen mew ta Cristo mew, maneluwküleiñ taiñ wiñoduamangetuael ta yafkan mew. 
GAL.5.6	Fey kiñewküleliyiñ ta Cristo Jesus iñchiñ, chem falilay rume taiñ sirkunsidalen kam taiñ felenon rume. Fey nieliyiñ tüfachi mupiltun, feley taiñ mongeleael ta piwkeyewün mew.
GAL.5.7	Eymün ta küme llitufuymün tamün mupiltun mew, fey ¿iney anta welurakiduameltueymünmew tamün feyentuwenoafiel tati rüf dungu? 
GAL.5.8	Ngünechen no, kisu am mütrümfetew ta eymün. 
GAL.5.9	Feypingekey chumngechi kiñe pichin lefawra fayümkey kom ti masan, ka femngechi kiñeke che ñi wesake nütram wesaduamelkefi kom che. 
GAL.5.10	Fey iñche ta maneluwkülen ta Ñidol mew eymün tamün nienoael kakerume rakiduam, welu Ngünechen ta kutrankayafi tüfeychi che tamün fill femyawületew. Pifal-lay ineyngeay rume.
GAL.5.11	Fey iñche, pu peñi ka pu lamngen, petu ta feypimekefili tati pu feyentulelu tañi sirkunsidangeael engün, tati pu judiu ta inayawülayafenew tañi kayñetuetew engün. Welu iñche kimeltuken tati pu che ñi montuael engün feyentule Cristo ñi lan kürus mew, fey ñi wiñoduamangetuael tañi yafkan mew, feymew petu inayawülenew tüfeychi pu judiu. 
GAL.5.12	Welu tüfey engün tamün fill femyawületew ta eymün, ¡pewmangen ta kisutu afnagtuay ñi dungu engün!
GAL.5.13	Eymün, pu peñi ka lamngen, mütrümngeymün tamün lifreletuael. Welu ta allmalltukefilmün ta tüfachi lifrengetun tamün neykümentuwael tamün chem chumael rume, kisu tamün ngünewün mew. Tamün femafel, piwkeyewmün ta welukonkechi piwkeyewün mew. 
GAL.5.14	Müley tüfachi werkün dungu: “Piwkeyefinge tami chafche chumngechi piwkeyewimi eymi kisutu, fey tati femlu mupitufi kom tati ley dungu Ngünechen ñi werküel.”
GAL.5.15	Welu eymün welukonkechi ünatumekewülmün reke tamün kayñetuwael, eymün kisutu ta apümtuafuymün kom tamün küme dungu mew.
GAL.5.16	Feymew ta feypiken: eluwkülemün tamün ngünenieaetew tati Lif Küme Püllü müten, fey eluwkilmün tamün ngüneaetew kisu tamün illutukeelchi wesake dungu, 
GAL.5.17	tati wesake illutun am kayñetuniefilu tati Lif Küme Püllü, fey tati Lif Küme Püllü kayñetuniefi tati wesake illutun. Mür kayñetuniewi tüfachi epu dungu, feymew ta eymün femkelaymün tamün ayüniefelchi dungu. 
GAL.5.18	Welu tati Lif Küme Püllü ta ngünenieelmünmew, ngelay tamün rakiduameluwküleael tamün müngeltuafiel tati ley dungu.
GAL.5.19	Küme kimfalkey ñi chumken tüfey engün tati pu inaniefilu ti wesake illutun: ñiwaldomokey engün, itrofill femkey engün tati ünunngechi wesake dungu ka wesake femün, 
GAL.5.20	püramyekefi engün ti adentun ngünechen, ka adümkakey engün kalku dungu. Müley ütrirtuwün, üdekawün, fillpimekewün ka nüngaytuwün. Ka müchay müten lladkükey engün, fillpimekewkey engün, wichunentuwkey ka püntülkawkey engün. 
GAL.5.21	Ütrirchefengey engün, langümchefengey,
GAL.5.22	Welu tati pu che inaniefilu ti Lif Küme Püllü, fey tüfa tañi femkeelchi dungu: tati piwkeyewün, küme ayüwün, küme tüngün, ngenoafeluwünngen, chemchingen, kutranduamyechen, küme ngünewünngelu, 
GAL.5.23	ñom piwkengelu ka kisutu ngünewkülelu. Ngelay ta kiñe ley dungu no rume kondenakefilu ta tüfa famngechi dungu. 
GAL.5.24	Kom tati koneltulelu ta Jesucristo mew, dew langümfi reke engün kom tañi wesa illutukeelchi dungu ka tañi wesake ayütukeel. 
GAL.5.25	Fey tüfa inanieliyiñ tati Lif Küme Püllü ñi ayükeelchi dungu, ka femngechi elufiyiñ tati Lif Küme Püllü taiñ adnieaetew kom dungu mew. 
GAL.5.26	Mallmangelayaiñ, ka konwelayaiñ rume ta kewatun mew ka ütriruwlayayiñ ta iñchiñ.
GAL.6.1	Pu peñi ka pu lamngen, pefilmün ta iney rume ñi famkonün ta yafkan dungu mew, eymün am tati ngünenieetew Ngünechen tañi Lif Küme Püllü, feley tamün ngülamafiel tañi inaduamuwael engün, welu femaymün ta fentren piwkeyen mew. Fey kake kiñeke feley tañi rume kuñiwtuael, kisu ka femngechi famkonafuy tati wesake dungu mew. 
GAL.6.2	Welukonkechi yafüluwmün tamün afeluwnoael tati küdawngechi dungu mew, fey femngechi ta müngeltunieafimün Cristo tañi werküelchi dungu.
GAL.6.3	Iney rume kimkawünchengele, welu rüf feyngenole ñi felen, kisutu ta ngünenkawküley. 
GAL.6.4	Feley ta kake kiñeke che kisutu tañi inaduamuwael tañi femkeelchi dungu. Fey ka femngechi ngelay tañi trürümtukumekewael kangelu che ñi femkeelchi dungu mew. 
GAL.6.5	Feley ta kake kiñeke tañi inanieael kisuke tañi küdawyekeelchi dungu.
GAL.6.6	Fey tati pu kimeltukeel, feley ñi füreneafiel ti kimeltufe kom dungu mew.
GAL.6.7	Eluwkilmün tamün ngünenkangeael: iney rume ta ayentulayafuy ta Ngünechen. Chumngechi nganle ta che ka femngechi kosechayay tañi femkeel mew. 
GAL.6.8	Fey tati ngankelu chumngechi ñi ayülen tañi wesake ayütun, tañi wesake ayütun mew lan dungu kosechayay. Tati küdawlu chumngechi ñi ayülen ta Lif Küme Püllü, tati Lif Küme Püllü mew lloway ta rumel mongen. 
GAL.6.9	Feymew llemay, ngelay taiñ afeluwael taiñ femael kümeke dungu, fey afeluwnoliyiñ, kosechayaiñ reke chumngechi ñi adkünuel ta Ngünechen. 
GAL.6.10	Feymew pepi femliyiñ kümeke dungu, femaiñ ta itrokom che mew, doyelchi may taiñ pu peñi ka lamngen feyentulelu ta Cristo mew.
GAL.6.11	¡Ngüneduammün ta eymün tüfachi fütrake letra mew tamün wirileluwpefiel ta fewla, iñche kisu tañi kuwü mew!
GAL.6.12	Tüfeychi pu che tamün aporiafetew tamün sirkunsidangeael, femkey re tañi küme duamtuaetew engün tati pu che, ayünolu engün am tañi kutrankawael, kimeltule Jesucristo tañi lan mew ta kürus mew ñi mülen wiñoduamangetun ta yafkan mew. 
GAL.6.13	Tati sirkunsidangekelu rume ta mupitukelay kom ñi feypilen tati ley dungu, welu ayüley engün eymün tamün sirkunsidangeael, fey femngechi ta kisu engün tañi mallmawael engün tamün inafiel mew kisu engün ñi kimeltukeelchi dungu.
GAL.6.14	Welu iñche femngechi rakiduamkülen: ngelay chem mew rume tañi mallmawael, welu may mallmawan taiñ Ñidol Jesucristo tañi lan mew ta kürus mew. Fey Cristo tañi lan mew, iñche falintuwelafiñ tüfachi mapu mew mülechi dungu, ka iñche ka falintuniewetulaenew kom tati ngüneniefilu tüfachi mapu. 
GAL.6.15	Chem falilay rume ta sirkunsidalen kam felenon rume. Fey tati rüf falilu may tati we mongen ta nietulu.
GAL.6.16	Fey eymün tati rüf mew inaniefilu tüfachi nor dungu ka Ngünechen ñi Israel trokiñche, pewmangen küme tüngduamnieaymün ka pewmangen ta Ngünechen rumel kutranpiwkeyeaeymünmew.
GAL.6.17	Fey fewla ta ayüwelan iney no rume tañi fillpimekeaetew, tañi trükowtuchi trawa tañi nieel ñi kuerpu mew, fey pengelniey ta iñche Jesus ñi konangen.
GAL.6.18	Pu peñi ka pu lamngen, pewmangen taiñ Ñidol Jesucristo füreneaeymünmew itrokom eymün. Felepe may.
EPH.1.1	Iñche ta Pablo, Jesucristo tañi apostol Ngünechen ñi piel mew, wirilelfiñ ta tüfachi karta tüfeychi pu che mülelu ta Efeso waria mew,
EPH.1.2	Fey Ngünechen taiñ Chaw ka Ñidol Jesucristo füreneaeymünmew kisu engu ñi kellun mew ka kisu engu ñi küme tüngün eluaeymünmew ta eymün.
EPH.1.3	Püramyefiyiñ ta Ngünechen Ñidol Jesucristo tañi Chaw, fey taiñ kiñewkülen mew ta Cristo iñchiñ füreneeiñmew itrofill kümeke dungu mew. 
EPH.1.4	Ngünechen ta dullieiñmew ta Cristo mew petu ñi dewmangenon rume ta mapu, femngechi taiñ müleael kisu mew, taiñ nieael nor mongen ka taiñ nienoael chem yafkan no rume. Kisu ñi piwkeyen mew 
EPH.1.5	wüne dullikünueiñmew femngechi ta Ngünechen kisu ñi yall reke taiñ nieaetew ta iñchiñ Jesucristo mew, chumngechi kisu ñi adkünuel ka ñi ayüelchi dungu. 
EPH.1.6	Fey tüfachi dungu mew rumel püramyekefiyiñ ta Ngünechen kisu ñi fütra küme pepiluwün mew, femngechi füreneeiñmew kisu ñi sakin Fotüm mew. 
EPH.1.7	Cristo mew, Ngünechen ta kulliñmaeiñmew reke kisu ñi Fotüm ñi wütruelchi mollfüñ mew feychi lalu, ka wiñoduamatueiñmew iñchiñ taiñ yafkan mew. 
EPH.1.8	Ngünechen pengeleleiñmew kisu ñi fentren piwkeyen taiñ eluetew mew kom kimün ka fill adümuwün. 
EPH.1.9	Femngechi elueiñmew taiñ kimüñmayafiel kisu ñi kimngekenofelchi küme dungu kisu müten tañi adkünuel femngechi tañi ayüel ñi femürpuael ta Cristo mew 
EPH.1.10	chumngechi ñi adkünungen tüfachi dungu. Fey rüfkünu mew ñi mupiael puwle ta tripantu, Ngünechen tañi trawülael itrokom dungu, fey Cristo tañi longkoleael tati mülelu wenu mapu mew ka müleyelu nag mapu mew.
EPH.1.11	Ngünechen am rumel femkelu itrokom tañi adkünuel kisu tañi kümelu ñi trokifiel, feymew ta dullintueiñmew taiñ koneltuael ta Cristo mew femngechi taiñ püramyeafiel iñchiñ taiñ mongen mew. 
EPH.1.12	Iñchiñ taiñ pu judiungen wünelu mew maneluwiyiñ ta Cristo mew, femngechi taiñ mongen mew ñi püramyengeael ta Ngünechen ñi fütra pepiluwün. 
EPH.1.13	Ka femngechi eymün, feychi allkülu ti rüfngechi werken kimelün dungu, ti we kimelün montuluwün dungu, fey feyentuymün ta Cristo mew, kiñewimün ta kisu mew, ka markakünungeymün ta Ngünechen tañi ngenngetun ta eymün mew tati Lif Küme Püllü mew, kisu tañi feypikünuel ñi wülael. 
EPH.1.14	Tati Lif Küme Püllü taiñ llowel feypiley taiñ llowael ti koneltuleelchi montun, Ngünechen taiñ eluaetew feychi kom montulfile kisu ñi dullituelchi trokiñche. Fey femngechi ta püramyengeay kisu ñi fütra pepiluwün mew.
EPH.1.15	Feymew, kimnielu am iñche eymün tamün feyentulen ta Ñidol Jesus mew ka tamün piwkeyeniefiel kom tati koneltulelu Ngünechen ñi trokiñche mew, 
EPH.1.16	fentekünukelan ñi mañumtuafiel ta Ngünechen eymün mew, iñche ta ngillatuñmaniewkeyiñ. 
EPH.1.17	Ngillatukefiñ taiñ Ñidol Jesucristo ñi Ngünechen, tati fütra pepiluwünngechi Chaw, tamün eluaetew Lif Küme Püllü mew küpachi kimün, femngechi tamün longkontukuafiel kisu ñi pengelelchi dungu ka ñi doy küme kimngeael. 
EPH.1.18	Ka ngillatukefiñ ta Ngünechen eymün tamün fente küme kimafiel, ka femngechi tamün küme adümael ñi chumngechilen tati maneluwün tamün mütrümetew ta Ngünechen. Ka femngechi tamün kimafiel ti fütra küme montuluwün Ngünechen tañi eluafiel tüfey engün tati koneltulelu kisu ñi trokiñche mew. 
EPH.1.19	Ka ngillatukefiñ ta Ngünechen tamün kimael kisu ñi fentren nieelchi pepiluwün, tüfey taiñ elunieetew iñchiñ tati pu feyentulelu. Fey tüfachi fütra pepiluwün iñchiñ taiñ llowel fey ta Ngünechen ñi pengelelchi pepiluwün 
EPH.1.20	feychi wiñomongeltufilu ta Cristo ka elufi ñi llowael kom püramyen, fey ñi müleael kisu engu ta wenu mapu mew. 
EPH.1.21	Ka elufi tañi ngünenieafiel itrokom tati nielu pepiluwün, awtoridad, ngüneluwünngelu ka ñidolküleyelu mew ka ñi ngünenieafiel kom tati mülelu fantepu mew ka tati mülerpualu. 
EPH.1.22	Ngünechen itrokom dungu wültufi ta Cristo ñi ngünenieael, ka Cristo müten ta longkokünufi itrokom ñi trokiñche mew. 
EPH.1.23	Fey ñi trokiñche am Cristo ka müten ñi felen, Cristo am itrokom mew mülelu, fey Cristo ka müley itrokom dungu mew.
EPH.2.1	Kuyfi mew eymün la reke felekefuymün tamün püntülekefel mew ta Ngünechen mew ti wesake dungu tamün femkefel mew ka yafkan mew 
EPH.2.2	tamün mongelekefel. Eymün ta inaniekefuymün tüfachi mapu mew müleyechi dungu, ka femkefuymün ñi ayükeel weküfü tati ngünenielu ta rangiñ wenu ka yafültukuniefilu tüfeychi pu che tati müngeltukenofilu ta Ngünechen. 
EPH.2.3	Ka femngechi mongelekefuiñ kuyfi mew kom iñchiñ. Inaniekefuiñ kisuke iñchiñ taiñ illutukeelchi dungu, fey ka mallmawkülekefuiñ taiñ yafkafe mongen mew ka taiñ rakiduam mew. Tüfeychi kuerpu ñi wesake wimtun mew felefuy Ngünechen taiñ fütra kutrankayaetew, chumngechi feley ta kakelu pu che. 
EPH.2.4	Welu Ngünechen am rume kutranpiwkeyechekelu, fey pengeli taiñ rume piwkeyeetew 
EPH.2.5	feychi la reke felelu iñchiñ taiñ yafkan mew, fey elutueiñmew we mongen kiñentrür ta Cristo iñchiñ. Ngünechen ñi küme piwkengen mew eymün elungeymün tamün montuael. 
EPH.2.6	Ngünechen ta wiñomongeltueiñmew kiñentrür ta Cristo Jesus iñchiñ, ka elueiñmew taiñ puwael kisu iñchiñ ta wenu mapu. 
EPH.2.7	Fey tüfa femi femngechi tañi rumel pengelael ti küpalechi tripantu mew kisu taiñ fentren piwkeyeetew mew, Ngünechen taiñ küme piwketuetew ta Cristo Jesus mew. 
EPH.2.8	Fey Ngünechen ñi küme piwkengen mew, eymün elungeymün tamün montuael tamün feyentulen mew. Fey tüfachi dungu eymün kisutu tamün femkünunoel, welu may ta elueymünmew ta Ngünechen. 
EPH.2.9	Ka eymün tamün kisu femelchi dungu no, fey iney rume ngelay tañi mallmawael chem mew no rume. 
EPH.2.10	Fey Ngünechen müten ta dewmaeiñmew. Kisu ta femkünueiñmew ta Cristo Jesus mew, femngechi taiñ femael kümeke dungu chumngechi ta kisu ñi wüne adkünuel ta kuyfi mew.
EPH.2.11	Feymew llemay, eymün, tati pu judiu tuwünngenolu, sirkunsidalelay pikeeymünmew tati sirkunsidalechi pu judiu. (Femngechi feypikeeymünmew sirkunsidalenolu am eymün tamün kuerpu mew tati pu judiu reke.) 
EPH.2.12	Fey tukulpamün tüfa: kuyfi mew kimkelafuymün ta Cristo. Fütra wichutripalekefuymün tati Israel trokiñche mew, fey koneltulekelafuymün ti eldungu mew ka Ngünechen ñi tukulpakünuelchi dungu mew no rume. Mongelekefuymün tüfachi mapu mew, fey tamün kimnofiel ta Ngünechen ka tamün nienon ta maneluwün no rume. 
EPH.2.13	Femngechi kuyfi mew püntütripalekefuymün kisu mew, welu fewla fülkonpatuymün ka kiñewkületuymün ta Cristo Jesus mew kisu ñi wütrulelchi mollfüñ mew. 
EPH.2.14	Cristo tañi duam nietuiñ küme tüngün. Kisu ta kiñewkünutufi tati pu judiu ka ti judiu tuwünngenolu ñi kiñe trokiñchengetuael engün. Apümfi tati kayñetuwün dungu, fey tañi püntülniekefetew engün. Feychi lalu 
EPH.2.15	Cristo apümtukufi ñi femngechi werkülefel ti ley dungu, fey ti epu trokiñchengekefulu, kiñe we trokiñchengetuy müten, tüfey tati kiñewkülelu ta kisu mew. Fey ta famngechi mületuy ti kümelkawtun. 
EPH.2.16	Kisu ñi lan mew ta kürus mew, Cristo femkünuy ñi afael ti kayñetuwün ti epu trokiñche mew, fey elufi ñi kümelkawtuael ta Ngünechen mew, femngechi ñi kiñe trokiñchengetuael.
EPH.2.17	Cristo küpay tañi wülpayael tati kimelün küme tüngün dungu itrokomngealu eymün llemay ta alü kamapu mülekefulu reke ta Ngünechen mew ka femngechi tüfey engün tati mülekelu fül mew. 
EPH.2.18	Fey Cristo mew ta kom kiñewkülen feletuiñ iñchiñ femngechi taiñ pepi fülpuael ta Chaw mew tati kiñen Lif Küme Püllü mew müten. 
EPH.2.19	Feymew llemay, eymün ta dew ka tripanche reke felewetulaymün, ka wichu trokiñ mapu ngelaymün, welu may ta fewla kiñewün koneltuleymün ta Ngünechen ñi trokiñche ñi nieelchi küme dungu mew, ka reñmakonkületuymün ta Ngünechen ñi reñmache mew. 
EPH.2.20	Eymün ta kiñe fütra wenu ruka reke feleymün Ngünechen tañi dewmakünuel tati pu apostol ka ti pu pelon wentru
EPH.2.21	Kiñewkülen ta Cristo mew, kom ti fütra ruka amuley ñi dewmangen, fey puwle wüla tañi küme ngillatuwe rukangeael tutelkalelu ka kiñewkülelu ta Ñidol mew. 
EPH.2.22	Ka femngechi eymün, kiñewküleymün ta Cristo mew, femngechi kiñe ngillatuwe ruka reke tamün feleael, fey tüfey mew mülekey ta Ngünechen kisu ñi Lif Küme Püllü mew.
EPH.3.1	Fey iñche Pablo püresungen tamün wewpilelfiel mew Cristo ñi we kimeltun dungu, eymün tati pu judiu tuwünngenolu. 
EPH.3.2	Eymün ta dew feley tamün kimniefiel ta Ngünechen, kisu ñi küme piwkengen mew, werküngen tañi wewpiael tüfachi dungu eymün tamün fürenengeael. 
EPH.3.3	Ngünechen pengeli ti kimngekenofelchi adkünu dungu, fey ta eluenew ñi kimafiel, chumngechi ta wünetu mew kiñe pichin dungu dew wirileluwiyiñ. 
EPH.3.4	Fey chillkatufilmün, ngüneduamaymün iñche tañi kimniefiel ta Cristo ñi kimngekenofelchi dungu. 
EPH.3.5	Tüfachi dungu, fey ta kuyfi mew elungelay ñi kimael ta iney no rume, welu fewla ta Ngünechen kisu ñi Lif Küme Püllü mew pengelelfi kisu ñi lif mongenngechi pu apostol ka ti pu pelon wentru. 
EPH.3.6	Fey tüfa lle tati kimngekenofelchi dungu: feyti pu judiu tuwünngenolu ka koneltuley ñi llowael engün ti werken montuluwün dungu ti pu judiu reke. Koneltuley engün ka feychi trokiñche mew, ka femngechi koneltuley engün Ngünechen ñi tukulpakünuelchi dungu ta Cristo Jesus mew.
EPH.3.7	Ngünechen ñi füreneetew mew, eluenew tañi küdawyeafiel tüfachi werken dungu, kisu ñi adkünuel tañi pepiluwün mew. 
EPH.3.8	Iñche ta inankülen tati doy illamfalkülelu itrokom ti koneltulelu ta Ngünechen ñi trokiñche mew, welu kisu eluenew tüfachi werken dungu tañi kimelelafiel tati pu judiu tuwünngenolu tati trürümfalnochi fütra küme felen ñi nieel ta Cristo. 
EPH.3.9	Fey iñche ta yefaldunguenew tañi kimelelafiel ta itrokom che tüfachi dungu. Ngünechen dewmay itrokom tati mülelu, welu kisu müten kimniey ñi adkünuelchi dungu ñi femael ta Cristo mew. 
EPH.3.10	Fey Ngünechen femngechi femkünuy kom tati wenu mapu müleyechi pepiluwün kütu ñi kimafiel engün Ngünechen ñi adkünuelchi dungu kisu ñi trokiñ feyentulechi che mew. 
EPH.3.11	Fey Ngünechen femngechi femi chumngechi ñi rumel adkünuel ñi femael taiñ Ñidol Jesucristo mew. 
EPH.3.12	Fey Cristo tañi duam feletuy taiñ fülkonpuael ta Ngünechen mew, feyti maneluwün taiñ nieel taiñ feyentun Cristo mew. 
EPH.3.13	Feymew llemay, llellipuwayiñ tamün ngañwadduamnoael iñche ñi kutrankawkülen mew, iñche am kutrankawkülelu eymün tamün duam, tamün fürenengen mew.
EPH.3.14	Fey tüfachi dungu mew lukutuken taiñ Ñidol Jesucristo ñi
EPH.3.15	Fey kisu mew kom tati pu che feyentulelu, kiñe trokiñchengey müten, nielu am engün kiñe Chaw müten, tati petu mongeleyelu tüfachi mapu mew ka tati dew layelu. 
EPH.3.16	Ngillatukefiñ ta Chaw, fey kisu ñi fütra pepiluwün mew eluaeymünmew newen tamün piwke mew, Ngünechen tañi Lif Küme Püllü ñi kellun mew, 
EPH.3.17	femngechi ñi müleael Cristo tamün piwke mew tamün mupiltun mew. Femngechi ta eymün, newentuleaymün ka küme foliluwküleaymün reke tati piwkeyewün mew, 
EPH.3.18	eymün tati pu feyentulelu tamün pepi küme longkontukuael itrokom ñi pütrü rupan, ñi alü tuwün, ñi alü konün ka ñi alü püran ta Cristo tañi piwkeyechen. 
EPH.3.19	Ngillatuken may, tamün nieael tüfeychi piwkeyen, tati doy kümey itrokom dungu mew, femngechi tamün llowael Ngünechen ñi rume fütra piwkeyen tamün mongen mew.
EPH.3.20	Fey fewla, püramyengepe ta Ngünechen. Fey kisu ta fütra pepiluwünngey femngechi tañi doyelchi femael tüfey taiñ ngillatukefiel kam taiñ rakiduamkeel, kisu ñi pepiluwün taiñ kellukeetew mew ta iñchiñ. 
EPH.3.21	¡Püramyengepe ta Ngünechen ti pu feyentulelu mew ka Cristo Jesus mew, ka rumel rupaleachi tripantu mew! Felepe may.
EPH.4.1	Feymew iñche, tañi püresulen mew Ñidol tañi duam, feypiwayiñ nor piwke mew tamün miyawael chumngechi feley ñi femael tüfey engün tañi dullietew ta Ngünechen. Feychi dungu mew dullingeymün ta eymün. 
EPH.4.2	Ñom piwkengeaymün, ka chemchingeaymün, ngenoafeluwünngeaymün ka welukonke küme duamtuniewaymün ta piwkeyewün mew. 
EPH.4.3	Rumel ayülemün tamün kiñewküleael, tati Lif Küme Püllü ñi kellun mew ka tamün dew elunieetewchi küme tüngün mew. 
EPH.4.4	Müley ta kiñe kuerpu ka kiñe Püllü,
EPH.4.4	feyta femngechi ta Ngünechen dullieymünmew ta kiñe maneluwün mew müten.
EPH.4.5	Kiñengey müten ta Ñidol,
EPH.4.5	kiñe mupiltun müten ka kiñe fawtismu müten.
EPH.4.6	Müley ta kiñe Ngünechen,
EPH.4.6	fey itrokom feyentulechi che ñi Chaw, kisu ngüneniefi kom tati mülelu,
EPH.4.6	ka puwkintuniefi ta itrokom ka müley itrokom eymün mew.
EPH.4.7	Welu kake kiñeke iñchiñ Ngünechen ñi fürenechen mew llowiyiñ Cristo ñi wülelchi pepil, chumngechi kisu ñi ayüel. 
EPH.4.8	Feymew tati Wirin Chillka feypiley:
EPH.4.8	“Püratuy ta wenu mapu,
EPH.4.8	fey püresuyetufi taiñ püresuniekefetew,
EPH.4.8	fey kisu elufi ñi pepil ti pu che.”
EPH.4.9	Fey ¿chem am tati “püratuy wenu mapu” pin? Tüfa ta feypin ürke kisu tañi wüne nagpan tüfachi nag mapu mew. 
EPH.4.10	Fey tati nagpalu ka femngechi kisu müten tati püratulu doy alü wenu mew, femngechi ta kom tañi ngünenietuafiel ñi fütra pepiluwün mew. 
EPH.4.11	Fey kisu ka müten dullifi kiñeke che tañi apostolngeael,
EPH.4.12	Fey tüfa famngechi adkünufi kisu ñi pu che ñi ngenngeel mew tati poyetun küdaw ñi nieael engün, femngechi tañi kelluafiel ñi yafüluwküleael tati pu che feyentulelu ta Cristo mew. 
EPH.4.13	Fey itrokom kiñewküleliyiñ wüla ta mupiltun mew ka femngechi taiñ küme kimafiel ta Ngünechen ñi Fotüm. Fey ta famngechi fente küme kim chengeaiñ ka doy amuleay taiñ küme kimün femngechi ta fente küme trüraiñ ta Cristo ñi lif mongen mew. 
EPH.4.14	Pichikeche reke trürwelayaiñ. Tüfa engün müchayke kaletukey ñi rakiduam ka yengekey engün chem kake we kimeltun mew rume ka eluwkey kütu ñi ngünenkayaetew ti koyla ngünen niechi pu che tati miyawkelu welulkalechi rakiduam mew. 
EPH.4.15	Welu may, feley taiñ dunguwael ti rüfngechi dungu küme piwkeyewün mew, taiñ doy fülkonael femngechi taiñ inayentuafiel ta Cristo, fey kisu longkoley tañi trokiñche mew. 
EPH.4.16	Fey Cristo mew kom ñi trokiñche küme adüwküley engün. Ka küme welukonkechi kelluwkülekey, femngechi ñi küme amuleael engün ñi kiñewkülen ta piwkeyewün mew.
EPH.4.17	Feymew llemay ta feypiwayiñ ka yefaldunguwayiñ ta Ñidol ñi üy mew: eymün tamün mongelewenoael chumngechi mongen niey tati pu che feyentulenolu Cristo mew, fey tüfa engün am mongelelu chumngechi ñi adnieetew ñi wesake rakiduam. 
EPH.4.18	Fey engün ta trukurmaley reke ñi kimün. Kisu engün nielafi ti küme mongen küpalu ta Ngünechen mew, fey nienolu engün am tati küme kimün tañi wesa piwkengen mew engün. 
EPH.4.19	Fey ñi wesa piwkengen mew engün, feymew wültukuwkey engün re wesake wimtun dungu mew, fey ñi miyawael chem wesa dungu mew rume. 
EPH.4.20	Welu eymün dew feyentuymün ta Cristo, fey ngelay tamün miyawael tüfeychi wesake dungu mew, 
EPH.4.21	rüf dungu mew am allkülu eymün Cristo ñi werken dungu ka adümfimün chumngechi mongen tamün nieael, chumngechi ñi feypilen Cristo tañi rüfngechi dungu. 
EPH.4.22	Fey ñi chumngekefel tamün kuyfike mongen, famentufimün ka elkünutufimün tamün kuyfike tremyen wesake wimtun, tati kümenolu, ka ngünenkawkülelu ta kisu ñi illutukeelchi wesake dungu mew. 
EPH.4.23	Eymün feley tamün nietuael we küme rakiduam tamün longko mew, ka tamün piwke mew. 
EPH.4.24	Ka femngechi feley tamün nietuael we mongen tamün kuerpu mew, tati adkünuel chumngechi ñi ayüel ta Ngünechen, ka kimfalkelu ta kiñe nor mongen mew ka lif rakiduam mew, tati newentuwkülelu rüfngechi dungu mew.
EPH.4.25	Feymew llemay, doy koylatuwelayaymün, “welu may ta kake kiñeke dungupe ti rüf dungu kisu tañi chafche mew”,
EPH.4.26	“Fey lladkütuwülmün, yafkawkilmün”,
EPH.4.27	Eluwkilmün tamün ngünenkayaetew ta weküfü.
