MAT.1.1	Na‘e tupu ‘a Sīsū Kalaisi mei he hako ‘o e Tu‘i ko Tēvitá, mei he hako ‘o ‘Ēpalahamé. 
1TI.6.8	Tau fiemālie ā mu‘a he me‘akai mo e vala ‘oku tau ma‘ú. 
1TI.6.9	Ko e kakai ‘oku holi ke ma‘u me‘á, te nau mo‘ua he ngaahi ‘ahi‘ahi mo e ngaahi fakatauvele ‘o e havala ta‘e fakapotopoto mo fakatu‘utāmaki, pea te nau hinga ai ‘o ‘auha. 
1TI.6.10	Ko e mānumanu koloá, ko e tupu‘anga ia ‘o e ngaahi kovi lahi. Ko e ‘ātunga ē ‘o e hulu e fie ma‘u koloa ‘a e ni‘ihi, kuo nau lī‘aki ‘aupito ai ‘enau tuí, pea hoko ai pē mo ‘enau mo‘ua he ngaahi mamahi lahi.
1TI.6.11	Ka ‘okú ke kau koe ia mo e ‘Otuá, ‘e Tīmote. Pea ‘oku taau ai ke ke sītu‘a ‘aupito ki he ngaahi kovi peheé. Vivili koe ia ki he faitotonú, mo e tō‘onga faka-‘Otuá, mo e tuí, mo e ‘ofá, mo e kātakí, pea mo e anga-vaivaí. 
1TI.6.12	‘Ai ke ke to‘a ‘i ho‘o tuí ka ke ikuna ‘a e mo‘ui ta‘e ngatá. Ko e mo‘ui ia na‘e ui koe ki ai ‘e he ‘Otuá ‘i he ‘aho na‘á ke talaloto‘aki ai ho‘o tuí kae fanongo ‘a e kāinga lotu tokolahi. 
1TI.6.13+1TI.6.14	Talangofua kakato koe ki he ngaahi tu‘utu‘uni kuo fai atú ‘o a‘u ki he ‘Aho ‘e liuaki mai ai hotau ‘Eiki ko Sīsū Kalaisí. Ko ‘eku tapou atu ia ‘i he funga ‘o e ‘afio mai ‘a e ‘Otuá, ‘a e tupu‘anga ‘o e mo‘ui ‘a e me‘a kotoa pē, pea mo Sīsū Kalaisi, ‘a ia na‘á ne fakahā mahino ‘ene tuí kia Ponitō Pailató.
1TI.6.15	Ko e Pulé pē
1TI.6.15	‘a e ‘Otua mohu lāngilangí.
1TI.6.15	Ko e Tu‘i ‘o e ngaahi tu‘i,
1TI.6.15	ko e ‘Eiki ‘o e ngaahi ‘eiki.
1TI.6.15	Pea te ne fekau ke toe ha‘u
1TI.6.15	‘a Sīsū Kalaisi
1TI.6.15	‘i he ‘aho kuó ne tokateu ki aí.
1TI.6.16	Ko e ‘Otuá pē taha ‘oku ‘ikai hano ngata‘anga.
1TI.6.16	‘Okú ne ‘afio ‘i he maama
1TI.6.16	‘oku ‘ikai ala ofi ki ai ha taha.
1TI.6.16	Kuo te‘eki mamata ha taha ki he ‘Otuá,
1TI.6.16	pea ‘e ‘ikai pē ke mamata ha taha ia ki ai.
1TI.6.16	Kuo pau ke fakahīkihiki‘i ia
1TI.6.16	Pea ko hono māfimafí,
1TI.6.16	‘e tu‘uloa ai pē ‘o ta‘e ngata
1TI.6.17	Fakatokanga ange ki he kakai ma‘u me‘a ‘o e maama ko ení ke ‘oua te nau hīkisia pe falala ki he koloa ‘oku mole ngofuá. Tala ange kiate kinautolu ke nau tui ki he ‘Otuá, he ‘oku koloa‘ia ia. Pea ‘okú ne tāpuaki‘i kitautolu ‘aki ‘a e me‘a kotoa pē ‘oku fe‘unga ke tau ma‘u ke tau fiemālie ai.
1TI.6.18	Fale‘i kinautolu ke fai tūkuingata he ngāue ‘aonga ma‘á e kakaí mo tokoni‘i kinautolu. Fakamanatu ange ki he kakai ‘oku tu‘umālié ke nau nima homo mo fie vahevahe mo ha ni‘ihi ‘enau me‘a ‘oku ma‘ú.
1TI.6.19	He ko ‘enau fakatoka ia ha makatu‘unga pau ‘o honau kaha‘ú. Pea te nau ‘ilo leva e anga ‘o e mo‘ui mo‘oní.
1TI.6.20	‘E Tīmote, puke ma‘u e me‘a kuo tuku falala atu ‘e he ‘Otuá ke ke tauhí. Faka‘ehi‘ehi mei ha fa‘ahinga talanoa fakaemāmani mo launoa, ‘a ia ‘oku ngali loloto, ka ‘oku ‘ikai.
1TI.6.21	Kuo mātu‘aki hē ‘a e tui ‘a e ni‘ihi ko ‘enau falala ki he fa‘ahinga talanoa peheé.
1TI.6.21	Tauange mo e ‘Eikí ke ne ‘alo‘ofa kiate kimoutolu kotoa pē!
2TI.1.1+2TI.1.2	‘Alā Tīmote, ko si‘oku foha ‘ofeina, Ko au Paula ‘oku ou tohi atú. Ko e ‘apōsitolo au ‘a Kalaisi Sīsū. Ko e ‘Otuá pē na‘á ne fili au ke u ‘apōsitolo ‘o fanongonongo ‘a e mo‘ui kuó ne tala‘ofa‘aki maí. Ko e mo‘ui ia ‘oku fakafou mai ‘ia Kalaisi Sīsū ko hotau ‘Eikí. Tauange ke ke ‘inasi ai pē he ‘ofa ‘aufuatō mo e manava‘ofa mo e tāpuaki ‘a e ‘Otuá ko e Tamai pea mo hotau ‘Eiki ko Kalaisi Sīsuú.
2TI.1.3	‘Oku ou hūfia ma‘u pē koe he ‘aho mo e pō, peá u fakamālō ma‘u pē ki he ‘Otuá koe‘uhí ko koe. Ko e ‘Otua ia ‘o ‘eku ngaahi kuí, ‘a ē ‘oku ou fai loto-tau‘atāina ‘ene ngāué. 
2TI.1.4	‘Oku ou kei manatu ki ho lo‘imata na‘e toó, pea ‘oku ou faka‘amu ke ta fe‘iloaki, he ‘e fakafiefia ‘aupito ia kiate au. 
2TI.1.5	‘Oku ‘ikai ke ngalo ‘iate au ‘a e tui mo‘oni ‘a ho‘o fa‘eé, ‘a ‘Iunisi, pea mo ho‘o kui ko Loisí. Pea ‘oku mahino kiate au ko e tui ai pē ia ‘oku ‘iate koé.
2TI.1.6	Pea ‘oku ou fie fakamanatu atu ai ke ke ngāue ‘aonga ‘aki ‘a e mafai ko ē na‘e foaki atu ‘e he ‘Otuá ‘i he‘eku hilifaki nima koé. 
2TI.1.7	He ko e Laumālie na‘e foaki mai ‘e he ‘Otuá, ‘oku ‘ikai ke fakatupu loto-fo‘i kiate kitautolu, ka ‘oku tau ma‘u ai e ivi mālohi, mo e loto-‘ofa, mo e loto-fakama‘uma‘u. 
2TI.1.8	Ko ia, ‘oua te ke mā hono fakafofonga‘i hotau ‘Eikí. Pea ‘oua te ke maa‘i au koe‘uhí ko ‘eku nofo pilīsoné, ka ke fie kau mu‘a he kātaki‘i ha ngaahi faingata‘a koe‘uhi ko e Ongoongo Leleí, he ‘e fakaivia ai koe ‘e he ‘Otuá.
2TI.1.9	Na‘e fakahaofi kitautolu ‘e he ‘Otuá
2TI.1.9	peá ne fili kitautolu
2TI.1.9	ke tau hoko ko ‘ene kakai.
2TI.1.9	Na‘e ‘ikai ke tau taau mo ha ‘ofa pehē,
2TI.1.9	ka ko e fokotu‘utu‘u ia ‘a e ‘Otuá
2TI.1.9	talu mei mu‘a,
2TI.1.9	ko ‘ene ‘ofa ‘ata‘atā pē.
2TI.1.9	Na‘e te‘eki ai ke fakatupu ‘a māmaní
2TI.1.9	kuo ‘osi finangalo ‘a e ‘Otuá
2TI.1.9	ke ‘alo‘ofa ‘a Kalaisi Sīsū kiate kitautolu.
2TI.1.10	Kuo hoko mai eni ‘a Kalaisi
2TI.1.10	ke faka‘ilo mai ‘a e anga-‘ofa ‘a e ‘Otuá.
2TI.1.10	Na‘e ikuna ‘e hotau Fakamo‘ui ko Kalaisí
2TI.1.10	‘a e maté,
2TI.1.10	peá ne fakahā mai e Ongoongo Leleí,
2TI.1.10	‘a ē ‘oku ma‘u ai e mo‘ui ta‘e ngatá.
2TI.1.11	Ko hono fanongonongo ‘o e Ongoongo Lelei ko iá na‘e fili ai au ‘e he ‘Otuá ke u hoko ko e tangata malanga, mo e ‘apōsitolo, mo e faiako. 
2TI.1.12	Pea ko hono ‘uhinga ia ‘oku ou faingata‘a‘ia ai ko ‘ení. Ka ‘oku ‘ikai te u mā ai. He ‘oku mahino kiate au ‘a e toko taha ‘oku ou tui ki aí, pea ‘oku ou ‘ilo pau te ne lava ‘o malu‘i au ‘o a‘u ki he ‘Aho Fakamuí ‘a e me‘a kuó ne fakafalala mai kiate aú. 
2TI.1.13	Pukepuke-‘a-fufula ‘a e ngaahi fakahinohino na‘á ku fai atú. Pea ‘ai e tui mo e ‘ofa ‘a Kalaisí ko ho fa‘ifa‘itaki‘anga. 
2TI.1.14	Na‘e fakafalala atu ha koloa mahu‘inga. Tauhi ia. ‘E tokoni atu e Laumālie Mā‘oni‘oní, ‘a ē ‘okú ne nofo ‘i hotau lotolotongá. 
2TI.1.15	Kuó ke ‘osi ‘ilo‘i foki ‘a hono lī‘aki au ‘e kinautolu kotoa ‘i ‘Ēsiá, ‘o kau ai mo Faikelo mo Heamokena. 
2TI.1.16	Tauange mo e ‘Eikí ke ne ‘alo‘ofa ki he ‘api ‘o ‘Onesifoló. He na‘e tu‘o lahi ‘ene fakalotolahi‘i aú. Pea na‘e ‘ikai ke ne maa‘i ‘eku nofo pilīsoné. 
2TI.1.17	Pea ko ‘ene a‘u mai pē ki Loma ní, peá ne kumi leva au he feitu‘u kotoa kae ‘oua ke ne ma‘u. 
2TI.1.18	Tauange mo e ‘Eiki ko Sīsuú ke ne ‘alo‘ofa kia ‘Onesifolo he ‘Aho ko eé! ‘Oku ‘ikai foki ke puli ‘iate kimoutolu ‘ene ngaahi tokoni na‘e fai kiate au ‘i ‘Efesoó.
2TI.2.1	‘E Tīmote, si‘oku foha, ‘oku anga-lelei ‘a Kalaisi Sīsū. Tuku ke ne fakaivia koe. 
2TI.2.2	Kuo tu‘o lahi ho‘o fanongo he ngaahi fakahinohino ‘oku ou faí, pea ‘oku ou loto ke ke toe fakahoko atu e ngaahi fakahinohino ko iá ki ha ni‘ihi falala‘anga te nau toe fakahoko atu ai pē ki ha ni‘ihi kehe.
2TI.2.3	Ko ena ko e sōtia fai mateaki koe he tau ‘a Kalaisi Sīsuú, pea kuo pau ke ke kau he kātaki‘i ha ngaahi mamahi. 
2TI.2.4	Kuo te‘eki ai ha sōtia ‘e loto ke ‘efihia ‘ene mo‘uí ‘i he ngaahi me‘a ‘o tua‘aá. He ko ‘ene taumu‘á pē ke fai e me‘a ‘oku loto ki ai ‘a e ‘eikitaú. 
2TI.2.5	‘E ‘ikai ma‘u ‘e ha taha ha lova ‘o kapau ‘e talangata‘a ia ki he ngaahi tu‘utu‘uni ‘o e lová. 
2TI.2.6	Pea ko e tangata ‘oku tōtōivi he‘ene ngoué, ‘oku totonu ke ne ‘uluaki ‘inasi ‘i he fua ‘o ‘ene ngoue ko iá. 
2TI.2.7	Kapau te ke fakakaukau‘i fakalelei e me‘a ‘oku ou laú, pea ‘e mahino atu hono kotoa, he ‘e tokoni atu ‘a e ‘Eikí.
2TI.2.8	Hanga pē ho‘o fakakaukaú kia Sīsū Kalaisi. Ko e hako ia ‘o Tēvita, pea na‘e fokotu‘u hake ia mei he maté, ‘o fakatatau ki he Ongoongo Lelei ‘oku ou malanga‘í. 
2TI.2.9	Ko e Ongoongo Lelei pē ia ‘oku ou faingata‘a‘ia ai ko ení pea ‘oku ha‘i ai hoku nimá mo hoku va‘é, ‘o hangē ko ha taha fai hiá. Ka ‘oku ‘ikai foki ke ala ha‘i ‘a e Ongoongo Leleí ia. 
2TI.2.10	Pea ‘oku ou kātaki‘i ai e mamahi kotoa pē hei‘ilo ‘e fakamo‘ui ai ‘a e kakai kotoa kuo fili ‘e he ‘Otuá. ‘E foaki ma‘anautolu ha lāngilangi‘ia ta‘e ngata koe‘uhi ko ‘enau kau mo Kalaisi Sīsuú. 
2TI.2.11	‘Oku mo‘oni e laú,
2TI.2.11	“Kapau kuo tau kaungāmate mo Kalaisi,
2TI.2.11	pea te tau kaungāmo‘ui ai pē mo ia.
2TI.2.12	Kapau te tau kīkītaki atu,
2TI.2.12	pea te tau kaungāhau mo ia.
2TI.2.12	Kapau te tau fakafisinga‘i ia,
2TI.2.12	pea te ne fakafisinga‘i leva kitautolu.
2TI.2.13	Te tau ala faihala kitautolu,
2TI.2.13	ka ‘e ‘ikai ala faihala ia.
2TI.2.13	He ‘oku ‘ikai pē ke lava ke ne fakafisinga‘i ‘e ia ia.
2TI.2.14	‘Oua te ke tuku ke ngalo ‘i ha taha ‘a e ngaahi me‘á ni. Fakatokanga ange ki he kakaí ‘i he ‘ao ‘o e ‘Otuá ke tuku ā ‘enau fie faka‘uhinga me‘á. He ‘e ‘ikai ma‘u ai ha me‘a ‘e ha taha. Ko hono mo‘oní kuo pau ke maumau ai e tui ‘a e kakai kotoa pē ‘oku nau fanongo ki aí. 
2TI.2.15	Tūkuingata ke hoa ho‘o mo‘uí mo e finangalo ‘o e ‘Otuá. Ke ke kau he‘ene kau ngāue, ‘a ia ‘oku ‘ikai ha me‘a ‘e taha te nau mā ai koe‘uhi ko ‘enau ako‘i pē ‘a e Ongoongo Lelei mo‘oní.
2TI.2.16	Faka‘ehi‘ehi ‘aupito mei he talanoa laulaunoa mo ta‘e ‘aongá. He ‘e toe ‘ā‘āsili ai pē e hē ‘a e kakaí mei he ‘Otuá. 
2TI.2.17	Ko e fa‘ahinga talanoa ia ‘oku hangē ha hangatāmaki ‘oku mo‘uingata‘á. ‘Oku kau ‘a ‘Aiminia mo Failito he fa‘ahinga talanoa ko iá, 
2TI.2.18	ko ‘ena tu‘uaki takai holo kuo ‘osi hoko, tokua, ‘a e toe tu‘ú. Pea kuo uesia ai ‘a e tui ‘a e ni‘ihi.
2TI.2.19	Ka ‘e tu‘u ma‘u ai pē ‘a e makatu‘unga kuo ‘osi fakatoka ‘e he ‘Otuá. Pea kuo tohi tongi ai eni, “‘Oku ‘afio‘i ‘e he ‘Eikí ‘a hono kakaí. Afe mei he koví ‘a kinautolu kotoa pē ‘oku nau lotu kiate iá.”
2TI.2.20	Ko e fale lahi kotoa pē ‘oku ‘i ai e ngaahi ipu koula mo e ipu siliva. Ka ‘e ‘i ai foki mo e ‘ū ipu ‘akau mo e ‘ū ipu maka. Ko e ipu ‘e ni‘ihi ke fai ‘aki e ngaahi fatongia makehe. Ka ko e ipu ‘e ni‘ihi ‘oku ngāue faka‘aho ‘aki pē. 
2TI.2.21	‘Oku pehē pē mo e kakaí. Ko kinautolu ‘oku nau tuku ‘enau faikoví, te nau hoko kinautolu ko e kakai makehe. Pea ‘e hoa mo taau ai ‘enau mo‘uí mo e loto honau ‘Eikí, pea te nau lava leva ‘o fai ha ngaahi fatongia ‘aonga kehekehe.
2TI.2.22	Ko ia, hola mei he ngaahi ‘ahi‘ahi ‘oku fa‘a ‘efihia ai e to‘utupú. Faitotonu ma‘u pē. ‘Ai ma‘u pē ho‘o tuí ke lahi, mo ho lotó ke ‘ofa, pea ‘ai ke ke mata kāinga, he ko e anga ia ‘o e kakai ‘oku nau fai loto-tau‘atāina ‘enau lotu ki he ‘Otuá. 
2TI.2.23	Faka‘ehi‘ehi mei he kakai ‘oku nau fai e ngaahi fakafekiki launoa mo fakaseselé. He ko e fa‘ahinga me‘a ia ‘oku fakatupu kē. 
2TI.2.24	Ko e kau ngāue ‘a e ‘Otuá ke ‘oua ‘e fa‘a kē, kae anga-fakatōkilalo ki he kakai kotoa pē, pea poto he faiakó, pea lahi ‘enau kātakí.
2TI.2.25	Ka fakafepaki‘i koe ‘e ha ni‘ihi, peá ke fakatonutonu fakaalaala kinautolu, hei‘ilo ‘e fakatafoki kinautolu ‘e he ‘Otuá kiate ia pea nau ‘ilo e mo‘oní. 
2TI.2.26	He ko e fa‘ahinga ia kuo kūmoa ‘e he tēvoló ke nau fakaongo ange ki ai. Ka ‘e lava pē ke tokoni‘i kinautolu ‘e he ‘Otuá ke nau hao mei ai.
2TI.3.1	Manatu‘i eni, ‘e hoko ha ngaahi faingata‘a lalahi ‘i he kuonga faka‘osi ‘o māmaní. 
2TI.3.2	‘E mo‘ui siokita ai e kakaí mo mānumanu koloa. Te nau anga-hīkisia mo fie lahi. Te nau anga-fakaaoao mo anga-tu‘u ki he‘enau mātu‘á. Te nau mo‘ui ta‘e hounga mo ta‘e ma‘a. 
2TI.3.3	Te nau anga-ta‘e‘ofa, mo ta‘e faka‘atu‘i, mo fasitu‘u, mo ngutu lau, mo fita‘a. Te nau fakalili‘a he me‘a kotoa pē ‘oku lelei mo ‘aongá. 
2TI.3.4	Te nau anga-kākā, mo fulikivanu, mo fakafuofuolahi. Te nau ‘ofa pē he fakausousá kae ‘ikai ‘ofa he ‘Otuá. 
2TI.3.5	Te nau ngali lotu pē kae faka‘ikai‘i ‘a e ivi ‘o e lotu mo‘oní. ‘Oua te ke feohi mo ha kakai pehē.
2TI.3.6	‘Oku ‘i ai ha ni‘ihi ‘iate kinautolu ‘oku nau lohiaki‘i e ngaahi ‘apí, kae lava ke nau pō si‘a kau fefine ‘oku kei vaivai ‘enau mo‘uí koe‘uhi ko ‘enau kei pōpula ki ha ngaahi angahala mo e ngaahi holi kehekehe. 
2TI.3.7	Ko e fa‘ahinga kakai fefine ia ‘oku nau holi ma‘u pē ke ‘ilo ha me‘a fo‘ou ka ‘oku faingata‘a ke mahino kiate kinautolu e mo‘oní. 
2TI.3.8	Ko e kakai kākā ‘oku ou laú, ko e kau fakafili ia ki he mo‘oní, ‘o hangē pē ko e fakafili ‘a Siani mo Siamepi kia Mōsesé. Ko e kakai ia ‘oku ‘atamai fakalielia mo tui loi. 
2TI.3.9	Ka he‘ikai ke sia‘a fuoloa ‘enau ngaahi feinga ‘oku faí. He ‘e faifai pea ‘ilo ‘e he kakai kotoa pē ‘enau heé, ‘o hangē ko e hē ‘a Siani mo Siamepí.
2TI.3.10	‘E Tīmote, kuo mahino lelei kiate koe ‘a e anga ‘eku mo‘uí mo ‘eku fa‘ahinga fakahinohinó. Kuo mahino lelei kiate koe ‘a e taumu‘a ‘eku mo‘uí, mo e anga ‘o ‘eku tuí. ‘Oku mahino kiate koe ‘eku fa‘a kātakí, mo ‘eku ‘ofá, mo ‘eku tu‘u kalikalí, 
2TI.3.11	mo ‘eku mo‘ua he ngaahi fakatanga mo e ngaahi faingata‘a ‘i he tukui kolo ‘i ‘Aniteoke mo ‘Aikoniume mo Līsitá. Ka na‘e fakahaofi au ‘e he ‘Eikí mei he ngaahi faingata‘a kātoa ko iá. 
2TI.3.12	He ka ‘ilonga ha taha kuo kau mo Kalaisi Sīsū pea fie mo‘ui fakalotu mo‘oní, kuo pau ke fakatanga‘i ia. 
2TI.3.13	Ka ko e kakai fai kovi mo lotu loí, ‘e fakautuutu pē ‘enau fai koví. Ko e fa‘ahinga kinautolu ‘oku nau takihee‘i e kakaí, he na‘e tomu‘a takihee‘i kinautolu.
2TI.3.14	Piki pē koe ia he ngaahi fakahinohino na‘e fai kiate koe peá ke tui ki aí. He ‘oku ‘ikai te ke sola ki he fa‘ahinga na‘a nau fakahinohino koé. 
2TI.3.15	Talu ho‘o kei si‘i mo ho‘o maheni mo e Folofola toputapu ‘a e ‘Otuá, ‘a ē ‘e lava ke fakamaama ai ho ‘atamaí ke ke tui kia Sīsū Kalaisi kae fakahaofi ho laumālié. 
2TI.3.16	Ko e Folofolá kotoa kuo fakamānava‘i ‘e he ‘Otuá, pea ‘oku ‘aonga ki hono ako‘i mo tokoni‘i e kakaí, mo hono fakatontonu mo fakahinohino ‘enau mo‘uí, 
2TI.3.17	koe‘uhí ke mateuteu ai ‘a e kakai ‘a e ‘Otuá hono fai e ngaahi ngāue ‘aonga kehekehe.
2TI.4.1	Ka toe foki mai ‘a Kalaisi Sīsū ke pule fakatu‘i, pea te ne fakamāu‘i e kakai kotoa pē, ‘a e kakai ‘oku kei mo‘uí, pea pehē ki he kakai kuo ‘osi maté. Pea ‘oku ou fakakouna leva koe ‘i he ‘afio mai ‘a e ‘Otuá mo Kalaisí, 
2TI.4.2	ke ke malanga‘i e Ongoongo Lelei ‘a e ‘Otuá. Tōtōivi hono malanga‘í, ‘o tatau ai pē pe ‘e manakoa pe ‘ikai. Fakatonutonu e mo‘ui ‘a e kakaí pea akonekina kinautolu, mo toe fakalotolahi‘i foki. Ka ke ka fakahinohino kinautolu, peá ke ‘ai ho‘o kātakí ke lahi. 
2TI.4.3	Kuo vavé ni pē ha ‘aho ‘e pipiko‘ia ai e kakaí he fakahinohino ‘o e mo‘oní. Te nau tānaki mai ‘e kinautolu ha kau malanga te nau tala mai pē ha ngaahi me‘a ‘oku hoa mo ‘enau ngaahi holí. 
2TI.4.4	Te nau afe mei he mo‘oní kae fie fanongo ki ha ngaahi fananga. 
2TI.4.5	Ka ko koe ia, ke ke loto mokomoko ai pē mo ‘ūkuma. Tūkuingata hono malanga‘i e Ongoongo Leleí pea fai ke a‘u ho fatongia mei he ‘Otuá.
2TI.4.6	Kuo ofi eni ke feilaulau‘i ‘eku mo‘uí. Kuo a‘u mai e ‘aho ke u tuku folau aí. 
2TI.4.7	Na‘á ku ‘osikiavelenga he taú. Na‘á ku fai ke a‘u ‘eku lová. Na‘á ku mateaki‘i e lotu mo‘oní. 
2TI.4.8	Kuo tuku tatali mai mei mu‘a ‘a hoku pale koe‘uhí ko ‘eku fie fai e finangalo ‘o e ‘Otuá. Ko e ‘Otua ia ‘oku ‘ikai ke filifilimānako ‘ene fakamāú. Pea te ne fakapale‘i au he ‘Aho Fakamāú, pea pehē pē ki he kakai kotoa ‘oku nau fakatu‘amelie ki he‘ene toe liuaki maí.
2TI.4.9	Ha‘u mu‘a ke ta fe‘iloaki ‘i ho faingamālie vave tahá. 
2TI.4.10	He ko Tīmasi eni kuo afe he ngaahi mālie ‘o māmani, pea hoko ai pē mo ‘ene lī‘aki au kae hola ki Tesalonaika. Kuo hiki ‘a Kilisiki ki Kalētia. Pea ko Taitusi, kuo hiki ki Talamati. 
2TI.4.11	Ko Luke pē toko taha ‘oku ‘iate aú. Kumi mu‘a ‘a Ma‘ake pea mo ōmai ai pē. He ko e tokoni lahi ‘a‘ana kiate aú. 
2TI.4.12	Ko Tikiko, na‘á ku fekau ke hiki ki ‘Efesō.
2TI.4.13	Ka ke ka ha‘u leva, peá ke ha‘u koe mo hoku pulupulu na‘á ku tuku ‘ia Ka‘apo ‘i Taloasí. Pea ‘oua mu‘a na‘a ngalo ‘eku ‘ū tohí, tautautefito ki he‘eku ngaahi tohi kili‘i manú.
2TI.4.14	Na‘e fakafe‘ātungia‘i lahi au ‘e he tangata tuki ukamea ko ena ko ‘Ālekisānita. Ka ‘e tautea ia ‘e he ‘Eikí koe‘uhí ko ‘ene ngaahi me‘a kuo faí. 
2TI.4.15	Tokanga‘i lelei ia. He ‘oku ‘ikai te ne tali e ngaahi me‘a ‘oku tau malanga‘í.
2TI.4.16	‘I he‘eku ‘uluaki hopó, na‘e ‘ikai ke kau ha taha mo au. Ko hono mo‘oní, na‘a nau ‘osi kotoa he lī‘aki aú. ‘Ofa pē ke ‘oua ‘e ‘eke ia kiate kinautolu. 
2TI.4.17	Ka na‘e tu‘u tafa‘aki ‘a e ‘Eikí ‘iate au. Na‘á ne fakaivia au ke u lava ‘o tala kakato ‘ene Ongoongo Leleí ke fanongo ki ai ‘a e kakai muli kotoa pē. Pea na‘e malu‘i ai pē au ‘e he ‘Eikí mei he fanga laione fekaí. 
2TI.4.18	Pea te ne malu‘i ma‘u ai pē au mei he koví kae ‘oua kuó ne fakahū au ki hono pule‘anga fakahēvaní. ‘Oku taau ke tau fakafeta‘i kiate ia ke ta‘e ngata pea tuputupu‘a. ‘Ēmeni.
2TI.4.19	‘Ofa atu kia Pīsila mo ‘Akuila pea mo e fāmili ‘o ‘Onesifoló.
2TI.4.20	Ko ‘Elasito, na‘e nofo ai pē ‘i Kolinitō. Pea na‘á ku ha‘u aú ‘oku puke ‘a Talofima ‘i Mileto.
2TI.4.21	Feinga lahi ke ke ha‘u ki mu‘a he fa‘ahi ta‘u momokó. ‘Oku ‘ofa atu ‘a ‘Iupolo mo Piutena, mo Laino, mo Kalōtia, pea mo e kāinga lotu kotoa pē.
2TI.4.22	‘Ofa ke kau ai pē ‘a e ‘Eikí ‘iate koe mo ne tāpuaki‘i koe.
TIT.1.1	Ko au Paula ‘oku tohi atú, ko e tokotaha fai fatongia au ‘a e ‘Otuá, pea ko e ‘apōsitolo ‘a Sīsū Kalaisi.
TIT.1.1	E ‘Otuá na‘á ne fili mo fekau au ke u tokoni‘i ‘ene kakaí, ‘aki ‘eku langa hake ‘enau tuí mo ‘enau ‘ilo ki he mo‘oni ‘o ‘etau lotú. 
TIT.1.2	He ko e finangalo ‘o e ‘Otuá, ke ‘i ai ha‘anau ‘amanaki lelei ki he mo‘ui ta‘engata na‘e tala‘ofa ‘aki mai ‘i ono‘ahó. ‘Oku ‘ikai ke loi ‘a e ‘Otuá, 
TIT.1.3	pea ‘i he hoko mai ‘a e ‘aho na‘e tuku paú na‘á ne fakahaa‘i ‘a e mo‘ui ko iá ‘aki ‘ene Ongoongo Leleí. Ko e ‘Otua ko hotau Fakamo‘uí, na‘á ne fakafalala mai kiate au ‘a e malanga‘i ‘o e Ongoongo Lelei ko iá.
TIT.1.4	Tauange‘e Taitusi, ko hoku foha mo‘oni he tuí, ‘a ē ‘okú ta fakatou kau ki aí, ke ke ‘inasihe ‘ofa li‘oa mo e tāpuaki ‘a e ‘Otuáko e Tamaí mo e ‘Eiki ko Sīsū Kalaisí.
TIT.1.5	Ko hono ‘uhinga iana‘á ku fekau ai ke ke nofopē ‘i Kēlití, ke ke hanga ‘o fakamā‘opo‘opo ‘a e ngaahi me‘a na‘e toe ke faí, mo fakanofo ha kau taki ‘o e ngaahi siasi he kolo takitaha. Vakai na‘a ngalo ‘eku ngaahi fakahinohinó. 
TIT.1.6	Ko e takí, ke ‘oua ‘e ‘i ai ha ongoongo kovi ‘e kau kiate ia, peá ke tokotaha pē hono malí, mo tui ‘Otua ‘ene fānaú, ‘o ‘ikai haua mo talangata‘a.
TIT.1.7	Ko e ngāue foki ‘a e ‘Otuá ‘oku pule ki ai ‘a e kau takí. Pea ‘oku ‘oku taauai ke ‘oua ‘e ‘i ai ha ongoongo-kovi ‘e kau kiate kinautolu. ‘Oua ‘e fakanofo ha taha ‘oku fie pule, pe fa‘a ‘ita vave, pe fa‘a konā, pe houtamaki, pe mānumanu koloa. 
TIT.1.8	Fili pē ha kakai ‘oku mata kāinga mo fa‘a ngāue ‘aonga, fakapotopoto, fai totonu, anga-ma‘a, mo fa‘a kātaki. 
TIT.1.9	‘Oku fiema‘u pē ha kakai ‘oku piki he tala fungani na‘e fakahinohino ange kiate kinautolú. Pea ‘e tonu ai‘enau fale‘i e kāingá, mofakatonutonu ‘a e fa‘ahinga te nau fakafepaki‘i ‘a e tala fungani ko iá.
TIT.1.10	‘Oku ‘i ai e tokolahi ‘oku ‘ikai te nau faka‘apa‘apa ki he kau takí, mo nau fakamafola holo ‘a e ngaahi ‘uhinga launoa ‘oku hē ai e kakaí. ‘Oku tautautefito eni ki he kāinga Siu ‘e ni‘ihi, 
TIT.1.11	pea kuo pau ke ta‘ofi kinautolu. He kuo moveuveu ha ngaahi ‘api ‘e ni‘ihi ‘i he‘enau fai ‘a e ngaahi fakahinohino hala ‘oku ‘ikai ke totonu ke nau fai. Pea ‘āsili aí foki ko ‘enau kumi koloa aí. 
TIT.1.12	Hangē ko e lau ‘a e palōfita Kēliti ‘e taha,
TIT.1.12	“Ko e kakai Kēlití,
TIT.1.12	ko e kau ngutu fa‘a loi.
TIT.1.12	Ko e kau fakapikopiko fa‘a kai.
TIT.1.12	Ko e fanga manu tofu pē.” 
TIT.1.13	Ko e lau ia ‘oku mo‘oni. Pea ‘oku totonu ke ke valoki‘i ‘a e kakai peheé. He ‘e tokoni‘i ai ‘enau tuí ke mālohi ange. 
