GEN.1.1	Ni fíĉilum fafu, Aláemit nátut fatiya ni ettam.
1CO.12.22	Bare til úlan waw wal enil yay wáni me nan wo ufaŋe n’úgotoe, uĉila ufaŋe n’ubaje hámma ; 
1CO.12.23	úlan waw wal enil yay wo nujogale me búoh ubajut nafa, wo nufaŋale me ejoh wári. Wasuneni me n’enil yay, wo til nuruhenale me faŋ. 
1CO.12.24	Mala úlan waw wal enil yay wo an aluje me namaŋ, wo, usoholaut min uruhenal wo maumu. Min Aláemit aomen me enil yay maumu, namamaŋ min úlan waw wágoto me ukani ni gaᵽin. 
1CO.12.25	Nakanmokan jambi búfaculor bubaj n’enil yay, bare til min mbi úlan yo ᵽe urambenor. 
1CO.12.26	Iní me gace ni úlan wauwu ugu ni sílam, wo ᵽe n’úlam manur ni go ; íni me gace ni wo gumaleni, wo ᵽe n’úsumaet manur ni go.
1CO.12.27	Buru ñer, buru juomme enil yay yaa Kirista, ánoan ni buru gálan nam gala yo. 
1CO.12.28	Ban ni Jangu, Aláemit 
1CO.12.29	Buru ᵽooul ᵽiaŋ uᵽotora jom ? Buru ᵽe bugan jom bugo Aláemit náh’álobum n’utumul ? Buru ᵽe uligena-bugan firim Aláemit jom ? Jikanekan buru ᵽooul waf wajureruti ? 
1CO.12.30	Jiyayab ᵽiaŋ buru ᵽooul gáji gagu gal esen gahoy bugan gásomute ? Julobelob buru ᵽooul gúlobum gammeŋe gaffasuti ? Jíᵽajulegoᵽajul buru ᵽooul ? 
1CO.12.31	Jikan to uinumul ᵽe n’eliᵽ min jibaj úji waw wáamumma.
1CO.12.31	Maer ban igitenul bulago babu bafaŋ me wawu ᵽe.
1CO.13.1	Eno me nilobelob gúlobum gagu gaa bugan bugagu ni gal emalakaay ban ibajut gábboli, nínini ti mañ maele ró me ter ti egelelel yafambe. 
1CO.13.2	Hani nibaje gáji gaa min ilob gurim go Aláemit asenom, ter nibaj ᵽoᵽ gáji gal effas waf waw ᵽe wakoᵽeni me ni gaa gaffas gánogan, hani may nibaje gáinen gagu ᵽe gajae me éjiom min itosen gurijaŋ gagu, bare ibajut me gábboli, ilet wáfowaf. 
1CO.13.3	Eno me may niŋaŋar waf waw ᵽe wo nibaj me igabor, ban nisen enilom min esaeni, bare ibajut me gábboli, dáuru ᵽe mati diŋallom wáfowaf.
1CO.13.4	Gábboli gamuten gom, gábboli músum gom, gábboli let bísilaet, gábboli let gasaloro, gábboli let batennoro. 
1CO.13.5	Gábboli ndi gukan waf wasunenie, gábboli ndi guŋes maaro mala go bare, gábboli fiiñ go ndi fitiñ an, ndi may gujoh an ni fiiñ. 
1CO.13.6	Gábboli ndi gubaj ésumay ni waf waĉolut, bare maagen mo nihi múŋarul go ésumay. 
1CO.13.7	Gábboli gukanolalkan min újual utebal sílam sánosan, n’gukanolal ᵽoᵽ min újual waf waw ᵽe : min újual úinenal nánonan, min újual ufiumal nánonan, min újual umutenal ni wáfowaf.
1CO.13.8	Gábboli gúbaerit. Aláemit ᵽan abil ahat elob ni wolal n’utum bugan, gáji gagu gal elob gúlobum gaffasuti ᵽan gubil gubao, gáji gagu gaa gaffas gagu ᵽan gubil gullim. 
1CO.13.9	Maagen mamu, bi maer uffaserutal waf waw úk’útijenal ; wo Aláemit amaŋ me elobolal n’utum bugan bugagu, aloberutolal wo ᵽan ák’átijen. 
1CO.13.10	Bare no Aláemit ajae me ekan waf waw ᵽe min ujugi ŋanno ca, úji wauwu warambeneolal maa ᵽan ᵽan ubao.
1CO.13.11	No niomen me añil, nih’ilobenlob ti añil, nih’iᵽinorenᵽinor ti añil, níh’ínanumennanum waf waw ti añil. Bare no nikan me anafan, nihahat waf waw waa fiñile. 
1CO.13.12	Maer, wo nujugale me ujugutal wo joon ; nogonogor nan ni galujorum gamoĉe waf wauwu ujugei. Bare ᵽan ubilal ujugal wo táh. Maer ᵽan iffaserut waf waw ᵽe ík’ítijen ; bare ᵽan ibil iffas wo joon ti may Aláemit affasom me.
1CO.13.13	Maemma waf wauwe úfaji wauwe uom to bi nánonan : gáinen gagu, gafium gagu ni gábboli gagu ; ban gábboli gagu, go, go gufaŋ wo me ᵽe gájalo.
1CO.14.1	Jumundum ñer jiŋes ebaj gábboli gagu. Jikan uinumul ᵽoowo n’eŋes úji waw wo Biinum Banabe bisene me, fáŋum gagu gaa min Aláemit álobum ni buru. 
1CO.14.2	Maagen mamu, an alobe gúlobum gaffasuti o let ni bugan bugagu nalobe, bare n’Aláemit, mata mati baj an ajoge wo nalobe me ; ni búkanum baa Biinum Banabe, ᵽan alob waf wo an affasut. 
1CO.14.3	Bare an o Aláemit álobume ni o ŋanno ca, o, ᵽan alob ni bugan bugagu bi eliŋen gáinenil, bi etaril, ni ᵽoᵽ bi esaforil. 
1CO.14.4	An alobe gúlobum gaffasuti o gáinen gagu gola bare naliŋene, bare an o Aláemit álobume ni o ŋanno ca, o, gáinen gagu gaa jangu yay ᵽooyo nah’aliŋen. 
1CO.14.5	Nimaŋene buru ᵽooul julob gúlobum gaffasuti, bare nifaŋe emaŋ Aláemit álobum ni buru ŋanno ca. Maagen mamu, an o Aláemit álobume ni o ŋanno ca nafaŋe ebaj nafa an alobe gúlobum gaffasuti, ter ᵽiaŋ ñer m’baj an ájue áᵽajul baloberol min bunafa jangu yay ᵽooyo. 
1CO.14.6	Yo eĉil me ñer, gutiom, íjoul me bi ni buru, mb’iĉigul ninamo elobul gúlobum gaffasuti, wa ᵽan inafaul ? Mat’inafaul wáfowaf ínje m’bagitenutul waf wo jújue jujoh, ti firim fo Aláemit alobom, ter gaffas gace go nibaje, ter baligener bice.
1CO.14.7	Mo may ní mee ni baoger etongole ni gael ehotiŋ. Etongole eoguti me jon ter ehotiŋ eteguti me jon, bu bugan bugagu gujae ekan n’guffas gáfoñ gay guyabuli ? 
1CO.14.8	Eno me aoga gáturuᵽa gaa fitih aogut go ŋanno, ay ajae egoror bi eke fitih ? 
1CO.14.9	Buru may manur mamu : julob me gurim go an ájuut ajoh, bu an ᵽan áju affas wo julob me ? Julolob jisen érus yay !
1CO.14.10	Baje gúlobum gammeŋe ni mof, ban bugan bugagu galobe go me guunorewunor. 
1CO.14.11	Yo eĉil me ñer, iunut me gúlobum an, an ahumu ajaora nam n’ínje, ti may ínje iomme ajaora ni o. 
1CO.14.12	Buru may, nemme jimamaŋ nár úji waw waa Biinum Banabe, jifaŋ ñer eŋes úji waw wáju me uramben min gáinen jangu yay ᵽooyo gufaŋ n’guliŋe. 
1CO.14.13	Yo eĉil me, an alobe gúlobum gaffasuti naate alaw Aláemit min asenol ᵽoᵽ gáji gagu gal éᵽajul gúlobum gaugu. 
1CO.14.14	Ilaw me ni gúlobum gaffasuti, maagen biinumom ubu ni galaw, bare let ni mujagom nílaume. 
1CO.14.15	Bu ñer niñum ekan ? Ᵽan ilaw ni biinumom, nilaw ᵽoᵽ ni mujagom ró ; ᵽan ífoñ ni biinumom, nífoñ ᵽoᵽ ni mujagom ró. 
1CO.14.16	An unamo me esal Aláemit ni gúlobum gaffasuti bare, bu ñer an áᵽullo babu aam to n’eutteni ᵽan áju me ábali aah « Amen » ni galaw gagu gúiya gal esal Aláemit go nuomme ni go ? Mati hum affas wa nulobe. 
1CO.14.17	Hani galaw gagu gúiya gal esal Aláemit gúarie bu, bare ahu galai mati gurambenol min aliŋen gáinen gagu gola. 
1CO.14.18	Nifaŋul buru ᵽooul elob gúlobum gaffasuti, ban may nisale Aláemit min asenom me gáji gaugu. 
1CO.14.19	Bare, iilo me bújoŋor fuomunor jangu yay bi elob, faŋe ésumom min ilob gurim gono futoh bare go ésuh yay guune min iligenil to waf uce, so n’elobil gurim gono súuli guñen go an ájuut ajoh.
1CO.14.20	Gutiom, jambi nihi jiᵽinor ti uñil gatiito ; eno me ban ulobal mala ekan maarat, jíni ti uñil gatiito gaffasut me wáfowaf, bare ᵽúrto eĉila, jiᵽinor ti ufan. 
1CO.14.21	Ni Bahiĉer babu, Ataw naage : « Ᵽan íjoum ni bugan galobe gúlobum gaffasuti min ilob n’ésuh yauyu, n’utum waa sijaora ᵽan ílobum me ni bugo. Bare bae hani mo, mati gumaŋ guuttenom. » 
1CO.14.22	Dáuru digiten me ñer búoh elob gúlobum gaffasuti let bigitenum bi ni bugan bugagu gáinen me, bare bi ni bugagu gáinenut me. Manur mamu may elob ŋanno ca gurim go Aláemit asene an, yo, let bigitenum bi ni bugan bugagu gáinenut me, bare bi ni bugagu gáinen me.
1CO.14.23	Eno me ñer jangu yay ᵽooyo eomunore ban bugan bugagu ᵽe n’gunamo elob gúlobum gaffasuti, baj me bugan gáᵽullo babu gáinenerut gúnonul ró, leti ᵽan guoh buru jitetey ni guhow ? 
1CO.14.24	Bare eno me Aláemit ni buru ᵽooul nálobume ŋanno ca, mbiban ni baj an áᵽullo babu áinenerut ánonul ró, waf waw ᵽe wo an ahumu ajae me eun ᵽan ukanol min aᵽinor joon mala buroŋol, ban ᵽan uĉilol min affas búoh o atila nam. 
1CO.14.25	Waamme ni biinumol ᵽan úᵽurul ni maŋannoe ca ; no ñer, ᵽan áñuᵽ ak’aya buulol n’ettam min amigelet Aláemit, mbiban naagul : « Maagen Aláemit umu ni buru ! »
1CO.14.26	Gutiom, bu ñer nuñumal me ekan ? No juomunore, an ni buru abaj me gáfoñ, áfoñ go ; an abaj me waf wo nájue aligen bugagu, aligenil wo ; an abaj me waf wo Aláemit agitenol bi ni bugan bugagu, alobil wo. An abaj me firim fal elob bugan bugagu ni gúlobum gaffasuti, alobil fo ; eno me may an nájue áᵽajul firim falobi ni gúlobum gaffasuti min bugan bugagu gúju gujoh wo fumaŋ me elob, áᵽajulil fo. Urú ᵽe duote dikani bi eramben jangu yay min ejow gayoŋ. 
1CO.14.27	Eno me ñer ban guce ni buru gulob ni gúlobum gaffasuti, bugan gúuba ter gúfaji bare gulob, anur-anur, ban mbi baj an áᵽajul ésuh yay wo gulob me. 
1CO.14.28	Bajut me an ajae áᵽajul ésuh yay wo gulob me, kan ánoan ni bugo ahabo ñer elob fatiya asen ésuh yay : alob bi n’aĉila nevonol ni ᵽoᵽ bi n’Aláemit. 
1CO.14.29	Eno me bugan bugom bugo Aláemit álobume ni bugo ŋanno ca, mbi gúuba ter gúfaji bare guŋar firim fafu n’gulob min bugagu guᵽinor dó ni baloberil. 
1CO.14.30	Baj me an ace ábuli aam to o Aláemit asenulo ᵽoᵽ firim bi elob, mbi ahu aamme n’elob aᵽanor. 
1CO.14.31	Buru ᵽooul jújue julob, anur-anur, gurim go Aláemit asenul, min mbi buru ᵽooul jíligenum to waf ban ni jíbajum to buaken. 
1CO.14.32	Bugan bugagu bugo Aláemit álobum me ni bugo guote gújuror gáji gagu go nasenil me. 
1CO.14.33	Maagen mamu, Aláemit amaŋut galejeh, bare til Aláemit nam ala gásumay. Mamu ní mee ni guomunor gagu ᵽe gal ejangaraay.
1CO.14.34	Waareaw, bugo, guote guᵽanor cem ni sijangu sasu : senutil min gufam ni guomunor ti gaugu. Guote gunamo gulluhor min guutten, ti gúboñ gagu gaa 
1CO.14.35	Gumaŋ me bi eroren waf, mbi guroren wo wáinil súndo, mata jáhorut min anaare afam ni fuomunor faa jangu.
1CO.14.36	Juoseh ᵽiaŋ Firim fafu fal Aláemit ni buru fúᵽummulo ? Juoseh buru bare jiyab fo ? 
1CO.14.37	An ni buru aᵽinor me aah o an nam o Aláemit álobume ni o, ter ᵽoᵽ naah Biinum Banabe ubu ni o, an ahumu naate may affas búoh wo nihiĉulul me n’Ataw faŋaol ujoumulo ; 
1CO.14.38	amaŋut me affas yo, yoemme ñer búoh Aláemit ajogutol an ola. 
1CO.14.39	Min íuñen elobom, niegul, gutiom, wo juot me jifaŋ n’jimaŋe, wo uomme jiŋes min Aláemit álobum ni buru ŋanno ca. Jambi may jífiren an elob gúlobum gaffasuti. 
1CO.14.40	Bare dó ᵽe duote dikani ti wári me kani ban ni ganab.
1CO.15.1	Gutiom, nimaŋe min iosenul Firim fafu Fásum me fo nivareul me, fo jiyab me ban ni jútuh fo liŋ. 
1CO.15.2	Ni fiĉila ᵽan jíyabum me gaᵽah, eno me jujoh fo ti nivareul fo me. Jikanut mo me, gáinen gagu golul ᵽan gúni gáinen garakel.
1CO.15.3	Maagen mamu, buru niligen me waf waw wafaŋ me n’ubaje hámma wo Aláemit agitenom me, waamme uwe : Kirista naĉeĉet mala utilolal ti Bahiĉer babu bulob yo me, 
1CO.15.4	nafogifoh baj gunah gúfaji Aláemit nailenulol n’eĉet yay, ti Bahiĉer babu bulob yo me, 
1CO.15.5	no nailoulo me n’eĉet yay, náᵽurul Ᵽier
1CO.15.6	Ᵽúrto, náᵽurul ni manur ulagorol gafaŋe bugan sikeme futoh. Guce ni bugo guĉele, bare gammeŋe ni bugo ubugi m’buroŋ bi jama. 
1CO.15.7	No ᵽúrto me, náᵽurul Saak, mbiban náᵽurul uᵽotoraaw ᵽe.
1CO.15.8	No náᵽullo me bugaubugi ᵽe aban, nábanum n’ínje, ínje alet me wáfowaf
1CO.15.9	Maagen mamu ínje ifaŋ me gatiti ni uᵽotoraaw ᵽe, itogut hani jatiito min guvogom aᵽotora, mata nílamelamen Jangu yay yal Aláemit. 
1CO.15.10	Bare gáji gagu gal Aláemit guĉilom me níni ti níni maa ; ban gáji gagu guĉila gulet gáji garakel : nirodok til ifaŋ bugagu uᵽotora ᵽe. Ban let joon ínje fumumom iroke, bare Aláemit ni gájiol aĉilom min íju ikan burok baubu. 
1CO.15.11	Yoemme ñer, ní ínje-o, ní bugagu uᵽotora-ó, Firim faufe Fásum maa wóli jivaree mee, ban fiĉila buru ᵽoᵽ jíinen mee ni fo.
1CO.15.12	Eno me wóli jivareevare búoh Kirista naiyuloilo ni gaĉet me, kan wa uĉile guce ni buru n’guoh gaĉet me mati guiloul n’eĉet yay ? 
1CO.15.13	Eno me maagen gaĉet me mati guiloul n’eĉet yay, kan Kirista faŋaol aiyulat ni gaĉet me. 
1CO.15.14	Ban eno me Kirista aiyulat ni gaĉet me, kan gavare gagu góloli gavare gom garakel, gáinen gagu golul may gáinen gom garakel. 
1CO.15.15	Kan me mo, kan wóli jibijebij julob mala Aláemit, mata juoseh nainnuloyilen Kirista n’eĉet yay ; eno me maagen gaĉet me mati guiloul n’eĉet yay, kan ailenulatol n’eĉet yay. 
1CO.15.16	Ey, eno me gaĉet me mati guiloul n’eĉet yay, kan Kirista ᵽoᵽ aiyulat n’eĉet yay. 
1CO.15.17	Ban eno me Kirista aiyulat n’eĉet yay, gáinen gagu golul gáinen gom garakel, ban juroŋ dó ni util waw wolul. 
1CO.15.18	Yoemme ᵽoᵽ búoh gáinen me ni Kirista ban ni guĉet gullilim bándor. 
1CO.15.19	Ey, eno me gafium gagu gololal ni Kirista ni buroŋ baube bare guree, kan wolal ufaŋal me garuneni enil bugan bugagu ᵽe.
1CO.15.20	Bare let mo ! Kirista naiyuloilo ni gaĉet me ti maagen ! N’eilo yauyu yo aĉila aamme átiar ni yo naliŋene maagen mamu búoh bugan bugagu gáinen me ni o gaĉet me ᵽan may guilo n’eĉet yay. 
1CO.15.21	Nemme eĉet yay n’an anur ejoumulo, mo may eilo yay ni gaĉet me ejoumulo me ᵽoᵽ ni an anur. 
1CO.15.22	Ban ti bugan bugagu ᵽe guĉele me ni búkanum bal Adam, mo may ᵽoᵽ bugan bugagu ᵽe gajogor me ni Kirista gujae me ébbañul gúni m’buroŋ. 
1CO.15.23	Bare dó ᵽe bi ejow ni ganab, ánoan funagol : Kirista aamme me átiar eilo ni gaĉet me ᵽe, mbiban, no najae me ébbañul, bugan bugagu ᵽe bugo naĉil me ᵽan guilo. 
1CO.15.24	Ᵽúrto, Kirista ᵽan anemen gáju gánogan, sembe sánosan, bájalo bánoban saarat, aban nábahen Jávi jaju asen Aláemit Ᵽaaya. No ñer ᵽan ní me gabao gagu gaa mof. 
1CO.15.25	Maagen mamu Kirista naate aogen Jávi jaju bi no Aláemit Ᵽaaya ajae me ebaŋ ulatorol ᵽe fattam uhagol. 
1CO.15.26	Alator ahu ásola ajae me enemeni o aamme eĉet yay. 
1CO.15.27	Maagen mamu hiĉihiĉ búoh : « Aláemit nasenolsen waf waw ᵽe abaŋ fattam uhagol
1CO.15.28	No waf waw ᵽoowo ujae me ebaŋi fattam uhah Kirista, ñer aĉila faŋaol aamme Añol Aláemit, ᵽan asenoro Aláemit asenol wo me, min mbi Aláemit áni ávi ahu ala waf waw ᵽoowo.
1CO.15.29	Jiᵽinor ᵽaa maa bugan bugagu gábatiseei me bi mala gaĉet me : wa uĉile n’gukan mo ? Eno me maagen mamu gaĉet me mati guiyul n’eĉet yay, wa n’uĉil ñer min bugan bugaubugi gumaŋ gúbatisei bi mala bugo ? 
1CO.15.30	Ban wolal faŋaolal wa uĉile nuh’ukanal to súñunduolal nánonan ? 
1CO.15.31	Gutiom, gunah émit ᵽe níᵽimboreᵽimbor eĉet yay. Wo nilob me maagen dom, ti may ésumayom eomme ésumay yaa maagen mala wo Ataolal Yésu Kirista aamme n’ekan ni buru. 
1CO.15.32	Bútaj babu bo nitaj me baubu n’ésuh yay yal Efes ni bugan gánie ti súnuhureŋ saa baha, nafa yay buŋallom, eno me ni biinum bal arafuhow bare nítajum bo ? Eno me maagen gaĉet me mati guiyul n’eĉet yay, kan utiñal ban nuremal, mata gajem ᵽan uĉelal
1CO.15.33	Jambi jubutoro : « Ejaor ni bugan gaarat neh’ehajekajen an aaro. » 
1CO.15.34	Jujoh uinumul jon ban ni jihat etil ! Niegul baje guce ni buru gaffasut Aláemit ; wo nilob maa uotene ukanul n’jusu.
1CO.15.35	Bare júe baj an áinenut aroren aah : « Gaĉet me bu gujae me eiyul n’eĉet yay nogor ? Enil bu ᵽan gubaj ? » 
1CO.15.36	Min aw usoŋet me ! Uroh me jukol n’ettam, leti ᵽan jumundum juᵽut balama jiilul ? 
1CO.15.37	Ban wo nujae me eroh, let wo uomme jununuh jaju jajae me eilul, bare jukol jaju fumum jo, ter jaa bálut, ter ᵽoᵽ jaa waf uce. 
1CO.15.38	Mbiban, Aláemit ᵽan asen jo enil yay yo aĉila amaŋ me ; jukol jánojan nasen jo enil jo ébuli ni saa mamumo. 
1CO.15.39	Uúwenum waw ᵽe let enil yay yanur yay ubaje : arafuhow nabaje enilol, súnuhureŋ sasu sibaje sala so, upu waw may mo, ti ᵽoᵽ suol sasu sibaj me sala so súbuli. 
1CO.15.40	Bátuler babu baamme n’émit bubaje ganogor bo. Babu baa n’ettam bubaje may gala bo. Gaij gagu gaa waf waw waamme n’émit let ganur ni gaa wawu waamme n’ettam. 
1CO.15.41	Tinah talu tibaje baijer to, fieñ fafu fubaje bala fo, ti ᵽoᵽ suut sasu sibaj me bala so, ban hani siĉila faŋaso yánoyan baijer yo búbulibuli ni bal epayo.
1CO.15.42	Mo may ᵽan ní mee no gaĉet me gujae me eiyul n’eĉet yay : enil efogi me n’ettam, ᵽan éni enil yahajene ; no ejae me eiyul n’eĉet yay, ᵽan éni enil yájaerit ehajen. 
1CO.15.43	Enil yay yafogi me n’ettam esunenisuneni ; bare no ejae me eiyul n’eĉet yay, ᵽan éari faŋ. Enil yay yafogi me n’ettam égureguret ; bare no ejae me eiyul n’eĉet yay, ᵽan ebaj sembe. 
1CO.15.44	Enil yay yafogi me n’ettam enil yom éfuh yal arafuhow ; bare no ejae me eiyul n’eĉet yay, Biinum Banabe ᵽan bisen yo buroŋ. Ey, baj me enil éfuh yal arafuhow, kan baje may enil yo Biinum Banabe bisene buroŋ. 
1CO.15.45	Maagen mamu, Bahiĉer babu buoge : « Arafuhow átiar, aamme Adam, nabibil áni búuwenum barondoŋ
1CO.15.46	Let an ahu ammeŋ me Biinum aam átiar, bare ahu aamme an áfuh ; ᵽúrto, ammeŋ me Biinum nájoul búsol. 
1CO.15.47	Adam ahu átiar o ni gábupa nátulumi ; áutten ahu, o, n’émit náᵽullo. 
1CO.15.48	Bugan bugagu bugaa babe ni mof gúnini ti Adam ahu átulumi me ni gábupa ; bugagu gajae me ejow bi n’émit, bugo, gúnini ti ahu áᵽullo me n’émit. 
1CO.15.49	Ey, ti nunogoral me n’ahu átulumi me ni gábupa, mo may ᵽan unogoral me n’ahu áᵽullo me n’émit.
1CO.15.50	Gutiom, wo nimaŋ me elob uwe : enil yauye yal arafuhow mat’éju enogen ni Jávi jaju jal Aláemit. Ey, waf wajae ebil uhajen mat’úju unogen tiñ taa waf wahajenérit.
1CO.15.51	Ban ilobul waf uce waffasuti : let wolal ᵽoolal ujaale eĉet, bare wolal ᵽoolal sinilolal sijae ébaho síni sice. 
1CO.15.52	Dáuru ᵽe ᵽan baj ñanur, jas ti an amoe, no gáturuᵽa gagu gujae me eoh bi egiten búoh gabao mof mamu guĉige. Maagen mamu, no gáturuᵽa gaugu gujae me eoh, bugan bugagu gaĉet me ᵽan guiyul ni guyagil min gúni bugan bugo mati gubbander guĉet. No ñer, wolal jajae me éni m’buroŋ sinilolal ᵽan may síbaho síni sinil sice. 
1CO.15.53	Waf waw wahajene me uote uoᵽo gáni gagu gaa wawu wahajenérit me ; waf waw waĉele me uote uoᵽo gáni gagu gaa wawu waĉelérit me. 
1CO.15.54	No waf waw wahajene me ujae me eoᵽo gáni gagu gaa wawu wahajenérit me, no waf waw waĉele me ujae me eoᵽo gaa wawu waĉelérit me, no ñer firim fafu faa Bahiĉer babu fujae me ekano, faah me :
1CO.15.54	« Ebeŋ yay émere eĉet yay eban
1CO.15.55	« Eĉet, ebeŋ yay yíya uyelo ?
1CO.15.55	Sembei sal emuh bugan uselo
1CO.15.56	Eĉet ni gatil néh’ébajum me sembe sasu sal emuh, ban gatil, go, ni gúboñ gagu nihi gúbajum me sembe sasu sala go. 
1CO.15.57	Bare usalal Aláemit ájoum me n’Ataolal Yésu Kirista min akanolal nutebal ebeŋ yay !
1CO.15.58	Yo eĉil me ñer, gutiom bugo níbboli me nár, jíni bugan gaiye ban ni gútuh liŋ ni gáinenil. Jíni bugan gásuᵽe ni burok babu bi mala Ataw, mata jiffase búoh buyoh babu bo juyoge mee ni burok babu bi mala gajow Ataw let bamotoŋ.
1CO.16.1	Maer ñer ulobal mala síralam sasu saat me suomeni bi n’ejangaraay bugaa Yérusalem : buru may jinaben ni gurim gagu go nilob me sijangu sasu saamme ni mof mamu maa Galasi. 
1CO.16.2	Fíiyay fánofan, ánoan ni buru naate alalen súndool jatiito ni wo nabaj me, re ni min áju me. Mamu, mati nagi no ínje ijae me eĉigul min waf wauwu uomeni. 
1CO.16.3	No nijae me eĉigul, ᵽan iboñ ni siletar dó bugan bugagu bugo buru jijae me eĉob gújaenum bateh babu bolul bi Yérusalem. 
1CO.16.4	Roren me min ínje faŋaom ijaor ni bugo bi bo, ᵽan jijaor.
1CO.16.5	Ᵽan imundum íᵽurumul Masedonia balama íjoul bi ni buru, mata niete íjoumul bo. 
1CO.16.6	Nimaŋe irobo gunah ni buru, ter til mbi ikan to gueñ iki ñutot ñañu ñibao ; no ñer ᵽan júju me, ínje bamaŋer ekay, jirambenom min ífa ró ni bújaorom, bi bo nimaŋe ejow. 
1CO.16.7	Maagen mamu, ñañe imaŋut íkiil iŋaloul ni majase min ígat ; nimaŋe irobo to ᵽan maa ni buru, eno me Ataw namaŋe. 
1CO.16.8	Bare ᵽan ban inamo maa n’ésuh yay yal Efes iki funah gaggan gagu gaa 
1CO.16.9	Pégulompegul babe bulago bal ekan burok bámah, hani bae min ulatorom gummeŋ me babe faŋ !
1CO.16.10	Tímonte aĉigul me, n’jialenol wári jambi abaj gáholi gánogan. Juosen búoh umu ni burok bi mala Ataw ti ínje. 
1CO.16.11	Jambi an ni buru aĉotihenol, bare til mbi jirambenol min áju ábbañul ni gásumay ákail atogom, mata ínje umu n’enagol, o ni gutiolal bugo najae me éjaorul ni bugo.
1CO.16.12	Mala atiolal Apolos, ñammeŋe nisenolsen buaken babu bal éjaorul ni gutiolal bugagu bi ni buru, bare amaŋut ᵽan akan yo maer. No najae me éjuror ájoul, ᵽan ájoul.
1CO.16.13	Júludo, jútuh liŋ ni gáinen gagu golul, jiaken, jíni bugan gabaje sembe ! 
1CO.16.14	Wáfowaf wo jikane, jikan wo ni gábboli ró.
1CO.16.15	Jiffase Estefanas bi ni bugaa yaŋol ró. Jiffase may búoh ni mof mamu ᵽe maa Akaya bo juomme, bugo gumundum me gúinen ni Yésu Kirista, ban nihi gurambendamben ejangaraay. Gutiom, ínje umu n’elaul iegul : 
1CO.16.16	jihat bugan ti bugaubugi min gúĉibbenul, bugo ni ᵽoᵽ bugagu ᵽe garoke me súᵽ manur ni bugo. 
1CO.16.17	Ejóul yay yal Estefanas, Fortunatus ni Akayikus ésumomsum nár ; no nijugil me, níni me ti nih’ijuh me buru jalet to me. 
1CO.16.18	Gukakan biinumom m’bifilo ti gukan mo me wolul. Bugan ti bugaubugi juote juruhenil !
1CO.16.19	Bugaa sijangu sasu saamme ni mof mamu maa Asi gusafulul. Akilas bugo ni Ᵽirisila, ni ᵽoᵽ ejangaraay gaomunore me yaŋil, gusafulul nár ni gajow gal Ataw. 
1CO.16.20	Gutiolal ᵽe gaamme babe gusafulul may. Jisafor búsafor baa batiay.
1CO.16.21	Injé Pool fumumom ítuge ni gañenom min ihiĉul gurim gauge gúsola gauge : ínje umu n’esaful. 
1CO.16.22	An amaŋut me Ataw, an ahumu mbi gatab gúni ni o ! Maranata – Ataw, újoul cab ! 
1CO.16.23	Mbi Ataolal Yésu ásonienul buru ᵽooul ! 
1CO.16.24	Níbboliulboli buru ᵽooul ni gajow gaa Yésu Kirista.
2CO.1.1	Injé Pool o Aláemit aĉob me íni 
2CO.1.2	Mbi Aláemit Ᵽayolal ni Ataw Yésu Kirista gúsonienul ban ni gusenul gásumay !
2CO.1.3	Usalal Aláemit aamme Ᵽay Ataolal Yésu Kirista, abaj me ñarum enil, ban nah’asaforolal ni wánowan. 
2CO.1.4	Nasaforeolalsafor ni sílam sasu ᵽe so nubajal me, tima nújual újoumal ni basafor baubu bo nuyabal mee n’aĉila min mbi wolal may usaforal bugan bugagu gaamme ni sílam sánosan. 
2CO.1.5	Maagen mamu, ti nubajal me sílam sámah mala Kirista, mo may ᵽoᵽ núyabumal me ni o basafor bámah. 
2CO.1.6	Eno me wóli ni sílam jom, jínini ni so bi mala basaforul ni gaᵽagul. Eno me Aláemit nasaforólisafor, nakanmokan tima buru ᵽoᵽ n’jiyab basafor babu bajae me eĉilul n’júju jumuten sílam sasu sanur sasu so wóli juomme ni so. 
2CO.1.7	Ban gafium gagu go wóli jibaj me molul gubabaj sembe faŋ, mata wóli jiffase búoh ti buru jugum me sílam sasu ni wóli, mo ᵽoᵽ ᵽan jugum me basafor babu ni wóli.
2CO.1.8	Gutiom, jimaŋe jikanul min jiffas mala sílam sasu so wóli jibaj me ni mof mamu mal Asi. Sílam sausu síjalojalo nár iki sifaŋóli sembe, bireg jibajut miselaken min juoh mati jibbañ juroŋ. 
2CO.1.9	Ey, wóli jijaene iki jíinen búoh maagen mamu móloli mubae, ban ñer jiĉet. Dó ᵽe jambi wóli jibbañ jibaj gafiumoro gánogan, min ñer jíhagum ni Aláemit bare ailene me gaĉet me n’eĉet yay. 
2CO.1.10	Aláemit aĉila aramulóli n’eĉet ti yauyu, ban ᵽan abbañ aramóli. Ey, jibabaj gafium n’aĉila búoh ᵽan mul abbañ aramóli. 
2CO.1.11	Buru ᵽoᵽ ubugu min jirambeneóli mee ni ulaw waw wolul. Mamu, ni búkanum bal ulaw waa bugan gammeŋe, Aláemit ᵽan akanóli maaro ; yauyu eĉil me ᵽoᵽ bugan gammeŋe ᵽan gusal Aláemit móloli.
