GEN.1.1	Uru-uru tèka, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.
TIT.3.15	Titus. Jiꞌi aaꞌi-aaꞌi ètu neꞌe paꞌadhu lii mahoꞌo hia èu. Aa hia kahèi mi angalai jiꞌi dhu sama-sama parcaya Lamatua Yesus.
TIT.3.15	Jaꞌa sabajꞌa manèngi sèna ka Lamatua padꞌelo dꞌara hua iia Na mi dedha miu aaꞌi-aaꞌi mi.
TIT.3.15	Dꞌai sange neꞌe ka,
TIT.3.15	Paulus
PHM.1.1	Sasuri ne nèti jaꞌa, Paulus. Angalai jaꞌa, Timotius, hia lii mahoꞌo kahèi. Sèna ka èu meꞌa, ra taha jaꞌa ètu dꞌara èmu bèdho ne, lula jaꞌa peka-padhai dènge dhèu lula-nèti Yesus Kristus.
PHM.1.1	Jaꞌa suri sasuri ne
PHM.1.1	hia èu, Pilmon, dhu jiꞌi sue, aa dhu jꞌajꞌi angalai ètu dꞌara sasabꞌa;
PHM.1.2	hia ina Apfia,
PHM.1.2	hia Arkipus, dhu sabꞌa sama-sama dènge jiꞌi ètu dꞌara sasabꞌa neꞌe;
PHM.1.2	dènge hia jumaꞌat dhu tema sabajꞌa sama-sama ètu dꞌara èmu èu.
PHM.1.3	Jaꞌa manèngi sèna ka Ama Lamatua, dènge Kètu èdhi, Yesus Kristus, padꞌelo dꞌara hua iia Ra mi dedha miu, sèna ka miu bisa mamuri padame èci dènge èci.
PHM.1.4	Pilmon! Lodꞌo-lodꞌo dhu jaꞌa sabajꞌa hia èu, jaꞌa manèngi makasi mi Lamatua, lula mamuri èu. 
PHM.1.5	Te jaꞌa tadèngi ae le nèti parcaya èu mi Lamatua Yesus, dènge sasue èu mi dhèu-dhèu parcaya. 
PHM.1.6	Lula lalèka èu, èu bisa mamuri dꞌara èci dènge dhèu parcaya dhu leo sèra. Jaꞌa manèngi-mangajꞌi ho ladhe miu padꞌelo dꞌara beꞌa miu èci dènge èci, miu bisa meꞌa mèu madha jꞌara aaꞌi-aaꞌi dhu beꞌa, dhu èdhi bisa tao hia Lamatua Yesus. 
PHM.1.7	Sasue èu èèna ka pakarejꞌe dꞌara jaꞌa, aa paꞌèra dꞌara jaꞌa kahèi. Aa sasue èu èèna ka, paꞌèra kahèi dꞌara dhèu parcaya sèra.
PHM.1.8+PHM.1.9	Aꞌa, ee! Jaꞌa parluu ciki, sèmi neꞌe: jaꞌa jꞌajꞌi dhèu pajuu-paleha Kristus. Nèti èèna ka, jaꞌa dènge hak kahèi ho paredha èu, sèna ka tao jꞌara neꞌe. Te ngaa jaꞌa koꞌo boe tao paredha di, dhoka neo manèngi èu bantu di, nuka sèmi dhèu heka dhu toꞌa mi dedha èu. Jaꞌa jꞌajꞌi ana bèdho lula madhutu Yesus Kristus. Nèti èèna ka jaꞌa bani manèngi èu soru-bara jaꞌa, lula jaꞌa keꞌa sasue èu mi dhèu aaꞌi-aaꞌi ra. 
PHM.1.10	Jaꞌa manèngi sèna ka èu padꞌelo sasue èu mi ana jaꞌa, Onesimus. Nèngu èèna, nuka sèmi ana dꞌèlu jaꞌa, te nèngu parcaya Yesus nèti sasabꞌa jaꞌa, ropa jaꞌa ètu dꞌara bui ne.
PHM.1.11	Jaꞌa keꞌa, Onesimus ne, ènu èu dhu rai nèti èu. Jaꞌa keꞌa, na, uru èèna nèngu dhu laku boe ètu katanga madha èu. Te ngaa limuri ne, jaꞌa parcaya nèngu nèti gaguna ae-ae hia èdhi dua ti.
PHM.1.12	Jaꞌa sue ne titu kèna. Te ngaa hudꞌi laa, jaꞌa pua na lèpa hari asa èu.
PHM.1.13	Madhutu ngangee jaꞌa, na, jaꞌa taha Onesimus sèna ka gati èu, ho nèngu ladhe-leru jaꞌa ètu neꞌe. Te jaꞌa bisa boe tao ngaa-ngaa ètu dꞌara bèdho ne. Jaꞌa jꞌajꞌi ana bèdho, lula peka-padhai dènge dhèu Lii Lolo Beꞌa Lamatua Yesus. 
PHM.1.14	Jaꞌa koꞌo boe sèna ka èu sadꞌi madhutu di, ladhe èu rasa dhèu laka-seti èu. Dadꞌèi jaꞌa, na, èu tao dhu beꞌa madhutu dadꞌèi èu unu mu. De ladhe èu moꞌo mèka sèmi dènge beꞌa lii manèngi jaꞌa, na, jaꞌa koꞌo boe tao ngaa ciki sa mi Onesimus ne, lula dhu hak dhoka èu di.
PHM.1.15	Ele boe èu pangee sèmi neꞌe: Lamatua soro tèke Onesimus ele nèti èu dꞌara ciki ooꞌe ne, sèna ka na mai hari ho pea taruu dènge èu. 
PHM.1.16	Lodꞌo na rai èèna, nèngu dhoka jꞌajꞌi dhèu ènu èu di. Te ngaa ladhe nèngu lèpa hari dhiu, nèngu jꞌajꞌi mi ari pasue èu. Jaꞌa sue ne titu kèna kahèi. De neꞌe ne, gaguna na hia mi èu asa tabha. Te nèngu ne mesa boe jꞌajꞌi ènu èu di, te ngaa nèngu jꞌajꞌi kahèi ari dhu sama-sama parcaya Kristus.
PHM.1.17	De sèmi neꞌe ka. Ladhe èu tadhe jaꞌa ne angalai èu ètu dꞌara sasabꞌa èci, na, jaꞌa manèngi ho èu sèmi more nèngu, nuka sèmi jaꞌa ka dhu dhiu èèna. 
PHM.1.18	Te ngaa ladhe Onesimus tao nèdhi sala mi dedha èu, do, na pakèlu era, hudꞌi laa pe jaꞌa ka tago kore. 
PHM.1.19	Ladhe laa! Sasuri pakèlu ne, jaꞌa suri unu ku. 
PHM.1.20	Lèke kèna! Hudꞌi laa sèna ka èu bantu jaꞌa ètu jꞌara neꞌe, lula èdhi paꞌaꞌari ètu dꞌara Lamatua. Pakarejꞌe dꞌara jaꞌa sèmi èèna, lula èdhi aaꞌi-aaꞌi ti sama-sama dhèu unu Kristus.
PHM.1.21	Pilmon! Jaꞌa suri sasuri ne hia èu, lula jaꞌa parcaya èu bisa taru kira mi jaꞌa dènge beꞌa. Jaꞌa rasa, èèna na èu tao risi nèti ngaa dhu jaꞌa sanao.
PHM.1.22	Jꞌara èci era. Sadia ku kama èci hia jaꞌa. Te jaꞌa parcaya Lamatua tadèngi lii sabajꞌa miu, aa pe Na bhoke jꞌara ho kalua eele jaꞌa nèti dꞌara bui, sèna ka dhiu hari paꞌasu-pareo dènge miu ètu nèi.
PHM.1.23	Epapras ètu neꞌe. Nèngu jꞌajꞌi dhèu bui kahèi, lula nèngu lole jꞌara-jꞌara lula-nèti Yesus Kristus sèmi jaꞌa kahèi. Na paꞌadhu lii mahoꞌo kahèi hia èu.
PHM.1.24	Markus, Aristarkus, Demas, dènge Lukas ètu neꞌe kahèi. Sasabꞌa rèngu èci èèna ka dènge jaꞌa. Rèngu hia lii mahoꞌo kahèi.
PHM.1.25	Jaꞌa manèngi Kètu èdhi, Yesus Kristus, sèna ka padꞌelo dꞌara hua iia Na mi miu aaꞌi-aaꞌi mi.
PHM.1.25	Dꞌai sange neꞌe ka!
PHM.1.25	Saloom,
PHM.1.25	Paulus
HEB.1.1	Uru èèna, Ama Lamatua pake dhèu rèti lii padhai Na, ho padhai lii dènge bèi-baki èdhi dhèu Ibrani.
HEB.1.2	Te ngaa limuri ne, Na pua le Ana Na mai, sèna ka padhai lii dènge èdhi.
HEB.1.2	Karèi nèti uru-uru jꞌara ka, Ama Lamatua hagꞌe nare le Ana Na,
HEB.1.2	ho nèdꞌu paredha sama-sama dènge Nèngu.
HEB.1.2	Te lodꞌo Na pajꞌajꞌi liru dènge rai-haha dènge isi ra aaꞌi-aaꞌi,
HEB.1.2	Ana Na dhu sabꞌa sama-sama dènge Ne kahèi.
HEB.1.3	Ana Lamatua ne, padꞌelo dadedha Ama Na,
HEB.1.3	nuka sèmi saraa madha lodꞌo dhu lèke tèru.
HEB.1.3	Te Nèngu ne, ca ropa dènge Ama Na.
HEB.1.3	Aa nèti Lii Holo-Nori Na dhu èra titu kèna,
HEB.1.3	Na pakako aaꞌi-aaꞌi ètu dedha-liru dènge rai-haha.
HEB.1.3	Nèngu bhoke jꞌara kahèi,
HEB.1.3	ho saku eele sasala-sasigo dhèu,
HEB.1.3	sèna ka ra jꞌajꞌi mola-mèci.
HEB.1.3	Hèia Na lèpa hari asa sorga,
HEB.1.3	ho madhèdi ètu baboa gꞌana Ama Lamatua,
HEB.1.3	ètu era dhu kabꞌua aae.
HEB.1.4	Ana-ana pajuu Ama Lamatua ètu sorga mema kapai. Te ngaa Ana Na kapai risi eele nèti rèngu aaꞌi-aaꞌi ra. Kapai dènge dadedha Ama Lamatua risi eele nèti aaꞌi-aaꞌi ra. Aa kapai dènge dadedha èèna, Na pangèdꞌu le mi Ana Na. Nèti èèna ka, Ana Na kapai risi eele nèti ana-ana pajuu Na ètu sorga.
HEB.1.5	Ama Lamatua peka nèdhi mi Ana Na, aku Nèngu na,
HEB.1.5	“Doe neꞌe, Jaꞌa dedꞌe Èu ho mèdꞌu paredha.”
HEB.1.5	Ama Lamatua, peka kahèi, na,
HEB.1.5	“Jaꞌa ne, Ama Na.
HEB.1.5	Aa Nèngu ne, Ana Jaꞌa.”
HEB.1.5	Ama Lamatua peka dènge Ana Na sèmi èèna, te ngaa Ama Lamatua peka nèdhi boe sèmi èèna, mi ana-ana pajuu Na ètu sorga.
HEB.1.6	Lodꞌo Ama Lamatua pua mai Ana Na dhu kapai risi eele èèna, Na paredha ana-ana pajuu Na ètu sorga, aku Nèngu na,
HEB.1.6	“Miu ana pajuu aaꞌi-aaꞌi!
HEB.1.6	Lami ho pakabꞌua,
HEB.1.6	aa pahaha iisi mi Ana Jaꞌa!”
HEB.1.7	Ama Lamatua padhai lii kahèi mi ana pajuu Na ètu sorga, peka na,
HEB.1.7	“Jaꞌa tao ana-ana pajuu Jaꞌa ètu sorga,
HEB.1.7	jꞌajꞌi malai sama sèmi lai ngèlu.
HEB.1.7	Jaꞌa tao ènu-ènu Jaꞌa,
HEB.1.7	jꞌajꞌi nuka sèmi ai.”
HEB.1.7	Ama Lamatua peka dènge ra sèmi èèna, lula rèngu dhoka ana pua-paleha Na di.
HEB.1.8	Te ngaa mi Ana dꞌèlu Na, Nèngu peka dhu leo, na,
HEB.1.8	“Èu ne, Ama Lamatua.
HEB.1.8	Èu, èèna na madhèdi ètu kadera paredha toke dꞌai mia-mia.
HEB.1.8	Èu èèna na mèdꞌu koasa, ho paredha dènge dꞌara mola.
HEB.1.9	Dꞌara Èu karejꞌe, ladhe mèdhi dhèu dhu mamuri mola.
HEB.1.9	Te ngaa dꞌara Mu susa, ladhe mèdhi dhèu dhu mamuri koe-kapengo.
HEB.1.9	Nèti èèna ka, dꞌara Èu karejꞌe,
HEB.1.9	ka Jaꞌa pasuti èi lèngi mi kètu Èu,
HEB.1.9	ho dedꞌe Èu jꞌajꞌi Dhèu Aae, dhu risi nèti dhèu aae leo sèra.”
HEB.1.10	Ama Lamatua peka mi Ana Na kahèi, na,
HEB.1.10	“Ana, ee!
HEB.1.10	Èu ne, Kètu dhu mèdꞌu paredha karèi nèti uru ka.
HEB.1.10	Èu neꞌe ka dhu pua liru jꞌajꞌi, hèia na jꞌajꞌi dènge.
HEB.1.10	Èu neꞌe ka dhu paredha rai-haha, hèia na jꞌajꞌi dènge.
HEB.1.11+HEB.1.12	Bèli-camèdꞌa liru dènge rai-haha laho aaꞌi si.
HEB.1.11+HEB.1.12	Bèli-camèdꞌa liru dènge rai-haha ele aaꞌi si.
HEB.1.11+HEB.1.12	Te ngaa Èu mesa mu, mamuri toke dꞌai mia-mia.
HEB.1.11+HEB.1.12	Èèna na Èu core eele liru dènge rai-haha,
HEB.1.11+HEB.1.12	nuka sèmi dhèu core eele kahaꞌi soho dhasi.
HEB.1.11+HEB.1.12	Bèli-camèdꞌa Èu gati eele liru aa rai-haha,
HEB.1.11+HEB.1.12	nuka sèmi dhèu silu mèdha-papake hiu.
HEB.1.11+HEB.1.12	Te ngaa Èu mesa Mu sèmi boe èèna.
HEB.1.11+HEB.1.12	Lula Èu mamuri toke dꞌai mia-mia.”
HEB.1.13	Ama Lamatua peka kahèi dènge Ana Na, aku Nèngu na,
HEB.1.13	“Ana, ee!
HEB.1.13	Mai madhèdi asa era dhu kabꞌua titu kèna,
HEB.1.13	ètu baboa gꞌana Jaꞌa ne.
HEB.1.13	Pe Jaꞌa tao musu Èu sèra,
HEB.1.13	toke ra pahaha iisi mi Èu.”
HEB.1.13	Ama Lamatua peka-padhai mi Ana Na sèmi èèna, te ngaa Na padhai lii nèdhi boe sèmi èèna mi ana-ana pajuu Na ètu sorga. 
HEB.1.14	Ana pajuu Na sèra mema panting. Te Nèngu paleha si lasi lalau-laloꞌo dhèu unu Na aaꞌi-aaꞌi dhu èèna na Nèngu patabuli eele si nèti koasa sasala-sasigo ra. Masi ka sèmi èèna, te ngaa Ana Ama Lamatua risi nèti rèngu era.
HEB.2.1	Nèti èèna ka, èdhi hudꞌi kèpe ku paꞌèra-èra ngaa dhu èdhi tadèngi le nèti jꞌara-jꞌara Ana Ama Lamatua, sèna ka èdhi baku bhèlu eele. 
HEB.2.2	Lodꞌo uru-uru sèra, Lamatua pake ana pajuu Na nèti sorga, ho lole lii moa Na mi bèi-baki èdhi. Teꞌa boe na, lii moa sèra aaꞌi-aaꞌi ra lèke. Ladhe ra sisu paredha Na, rèngu tatu abhu huku dhu palèke dènge tatao ra. 
HEB.2.3	Mema uru èèna, sèmi èèna ka. Te ngaa limuri ne, Ana Ama Lamatua bhoke le jꞌara hiu, sèna ka hia mamuri mi dhèu rai-haha. Na peka le jꞌara mamuri dhu beꞌa aae ne mi dhèu unu Na dhu pakako sasabꞌa Na ètu rai-haha ne. Hèia ra peka dènge èdhi, sèna ka èdhi parcaya. Te ngaa ladhe èdhi pusi-pahae boe, dui tare pala ti! 
HEB.2.4	Te Ama Lamatua pangèdꞌu si koasa kahèi, sèna ka ra tao rupa-rupa tadha malaa. Na papuru Roh Na mi rèngu kahèi, ho ra adꞌu-ue jꞌara-jꞌara leo dhu madhutu dadꞌèi Na. Nèti èèna ka èdhi teꞌa, na, aaꞌi-aaꞌi se jꞌara mamuri dhu lèke tareꞌa-reꞌa.
HEB.2.5	Jaꞌa lole lula-nèti rai-haha rupa hiu dhu bèli-camèdꞌa jꞌajꞌi. Te ngaa Ama Lamatua peka nèdhi boe dènge ana-ana pajuu Na ètu sorga, na, pe rèngu ka dhu ator rai-haha hiu èèna. Te dhu lalau ka, dhèu rai-haha. 
HEB.2.6	Ètu dꞌara Sasuri Mola-Mèci Ama Lamatua, na, Daud dhu karèi nèdhi le kabꞌua nèti dhèu rai-haha, aku nèngu na,
HEB.2.6	“Ama Lamatua!
HEB.2.6	Nga tao ka Ama tao madha-dhilu mi dhèu rai-haha?
HEB.2.6	Nga tao ka Ama sue si?
HEB.2.6	Te rèngu dhoka dhèu rai-haha biasa di!
HEB.2.7	Te ngaa Lamatua pangèdꞌu si koasa,
HEB.2.7	ka rèngu oe sèmi ana pajuu ètu sorga.
HEB.2.7	Lamatua pakabꞌua si hèi,
HEB.2.7	aa dedꞌe si,
HEB.2.8	ho ra paredha aaꞌi dhu Lamatua pajꞌajꞌi.”
HEB.2.8	De madhutu sasuri Daud, Ama Lamatua dedꞌe dhèu rai-haha jꞌajꞌi kètu, sèna ka ra uri aaꞌi-aaꞌi dhu Na pajꞌajꞌi. Te ngaa èdhi tèdhi mèka na, dhèu rai-haha èci sa dhu paredha aaꞌi-aaꞌi sèmi èèna.
HEB.2.9	Te ngaa abhu ca Dhèu dhu bisa paredha aaꞌi-aaꞌi se. Nèngu èèna, nuka Yesus. Na mai pea taha ètu rai-haha ne, sèna ka jꞌajꞌi dhèu rai-haha dhu pasae jꞌajꞌèra, ka Na madhe hia mi èdhi. Nèti mamadhe Na, Ama Lamatua padꞌelo dꞌara hua iia Na mi dhèu rai-haha. Èle èèna ka, Ama Lamatua koa-kadꞌiri Ne, aa dedꞌe Ne padedha-dedha, sèna ka Na paredha aaꞌi-aaꞌi dhu Ama Lamatua pajꞌajꞌi nare sèra. 
HEB.2.10	De lèke, ladhe Ama Lamatua hia Yesus pasae jꞌajꞌèra, ho Yesus bisa bhoke jꞌara mamuri pala mi dhèu rai-haha. Te Ama Lamatua neo sèna ka dhèu ae bisa mamuri bera-bera dènge Nèngu ètu sorga. Ama Lamatua ka dhu pajꞌajꞌi aaꞌi mèu-mèu. Aa aaꞌi-aaꞌi dhu mamuri, mamuri lula Nèngu ka.
HEB.2.11	Ama Lamatua tatu sèmi nare si dènge beꞌa dhèu dhu Yesus tao mola-mèci, ho jꞌajꞌi ana-ana Na. Ama Lamatua èèna, Ama nèti Yesus. Dènge sèmi èèna, Yesus dènge rèngu, ca Ama. Nèti èèna ka, Yesus makae boe paroa mi dhèu seꞌe, na,
HEB.2.11	“Miu se, aꞌari Jaꞌa.”
HEB.2.12	Te Yesus peka le dènge Ama Na,
HEB.2.12	“Jaꞌa neo peka dènge aꞌari Jaꞌa,
HEB.2.12	lula-nèti babeꞌa Ama!
HEB.2.12	Jaꞌa neo sodꞌa ètu talora aae rèngu,
HEB.2.12	lula-nèti dadedha Ama!”
HEB.2.13	Yesus tuhu hari lii padhai Na, aku Nèngu na,
HEB.2.13	“Jaꞌa sarai-maena mi Ama Lamatua toke dꞌai mia-mia.”
HEB.2.13	Hèia Yesus peka hari, na,
HEB.2.13	“Ladhe ku! Jaꞌa ka neꞌe,
HEB.2.13	sama-sama dènge ana-ana Ama Lamatua,
HEB.2.13	dhu Na pangèdꞌu le mi Jaꞌa, ho uri si.”
HEB.2.14	Lula ana-ana Lamatua se, dhèu rai-haha biasa, nèti èèna ka Yesus hudꞌi jꞌajꞌi ku dhèu rai-haha sama sèmi rèngu kahèi. Te Nèngu hudꞌi jꞌajꞌi uuru ku dhèu rai-haha, heka Na bisa madhe. Ho nèti mamadhe Na, heka Nèngu bisa parame nare koasa nèti dhèu aae nidhu. Te dhèu aae bhabhelu-katubꞌa neꞌe ka dhu nèdꞌu koasa, ho uri jꞌara-jꞌara dhu paꞌèki dènge mamadhe. 
HEB.2.15	Aa nèngu kahèi tao dhèu rai-haha madhaꞌu dènge mamadhe, toke ra madhutu dadꞌèi na, nuka sèmi ènu sa. Te ngaa limuri ne, Yesus bisa patalale le dhèu rai-haha nèti dꞌara madhaꞌu. 
HEB.2.16	Te dhu lèke, nuka Yesus mai boe ho soru-bara ana-ana pajuu ètu sorga. Te ngaa Na mai sèna ka soru nare èdhi, nuka ana-èpu Abraham. 
HEB.2.17	Nèti èèna ka, Yesus jꞌajꞌi sama sèmi èdhi, dhu jꞌajꞌi le aꞌari Na. Dènge jꞌara neꞌe Nèngu jꞌajꞌi mi kètu agama èdhi dhu kapai risi eele, ho soru-bara èdhi sèna ka madhutu dadꞌèi Ama Lamatua. Yesus padꞌelo dꞌara hua iia Na kahèi mi èdhi. Aa ladhe Na peka ngaa, Na tao madhutu sèmi èèna kahèi. Uru èèna, bèi-baki èdhi manèngi kètu kapai risi agama Yahudi, sèna ka tao korban, ho Lamatua saku eele sasala-sasigo rèngu. Limuri ne, Yesus mesa Na ka dhu jꞌajꞌi korban, sèna ka Lamatua saku eele sasala èdhi. 
HEB.2.18	Lodꞌo Yesus mamuri ètu rai-haha ne, Na abhu jꞌajꞌèra ae-ae. Abhu kahèi dhu dadugu Ne, sèna ka adꞌu-ue sasala. Masi ka sèmi èèna, te ngaa Nèngu manahu boe. Nèti èèna ka, ladhe abhu dhu dadugu-rariu èdhi, sèna ka tao sasala, Yesus ka dhu bisa soru-bara èdhi ho baku manahu.
HEB.3.1	De sèmi neꞌe, aꞌari! Ama Lamatua hagꞌe nare le miu, aa cap miu dhèu dꞌara mola, sèna ka èèna na miu mamuri bera-bera dènge Ne ètu sorga. Nèti èèna ka, miu hudꞌi pangee ku pabeꞌa-beꞌa lula-nèti Yesus ne. Te èdhi dhu mangaku le, na, Nèngu ne Dhèu Pajuu-paleha Ama Lamatua, aa Nèngu kahèi Kètu Kapai Risi Agama èdhi. 
HEB.3.2	Lodꞌo Ama Lamatua pua Yesus mai, Yesus tao madhutu aaꞌi dadꞌèi Lamatua. Dènge jꞌara ne, Nèngu nuka sèmi Musa. Te Musa tao madhutu dadꞌèi Lamatua kahèi, lodꞌo na ladhe-leru bèi-baki èdhi uru sèra.
HEB.3.3	Masi ka sèmi èèna, te ngaa Yesus kapai risi nèti Musa. Te Yesus sama sèmi lamatua èmu. Aa mema lèke, lula lamatua èmu kapai risi nèti ana pua-paleha ètu dꞌara èmu. 
HEB.3.4	Dhèu èci-èci ka paꞌuri dꞌara èmu na. Te ngaa Ama Lamatua ka dhu uri aaꞌi mèu-mèu. 
HEB.3.5	De Musa tao madhutu dadꞌèi Ama Lamatua, lodꞌo na jꞌajꞌi ana pua-paleha nèti isi èmu Lamatua. Te lodꞌo èèna, na peka mema le ngaa dhu bèli-camèdꞌa Ama Lamatua neo tao. 
HEB.3.6	Masi ka Yesus madhutu kahèi dadꞌèi Ama Lamatua, te ngaa Nèngu ana pua-paleha dhu sama boe sèmi Musa. Lula Nèngu ne, Kristus, Ana Ama Lamatua dhu Ama Lamatua hagꞌe nare le karèi nèti uru ka, sèna ka pua mai asa rai-haha ne. Aa Kristus neꞌa mèu uri isi èmu Ama Na. De ladhe èdhi kèpe paꞌèra-èra lalèka èdhi, aa maꞌète boe sanao-maena èdhi mi Kristus, èdhi bisa jꞌajꞌi isi èmu Na kahèi.
HEB.3.7	Nèti èèna ka, miu hudꞌi pasa dhilu paie-iie, ho nanene pabeꞌa ngaa dhu Roh Ama Lamatua dhu Mola-Mèci peka, na,
HEB.3.7	“Doe neꞌe, ropa miu tadèngi lii Ama Lamatua,
HEB.3.8	mage miu kètu hadhu,
HEB.3.8	sama sèmi dhèu sèra,
HEB.3.8	dhu lasi-mai èpa nguru tèu ètu padꞌa sodꞌa.
HEB.3.8	Te rèngu roꞌo heka puai-pahae Musa,
HEB.3.8	toke Ama Lamatua mesa Na
HEB.3.8	oe taha nare heka dꞌara Na.
HEB.3.9+HEB.3.10	Pangee ku laa!
HEB.3.9+HEB.3.10	Èpa nguru tèu kateme Jaꞌa tao rupa-rupa tadha malaa
HEB.3.9+HEB.3.10	ètu katanga madha ra!
HEB.3.9+HEB.3.10	Te ngaa ra loe boe sèku Jaꞌa.
HEB.3.9+HEB.3.10	Nèti èèna ka, Jaꞌa nasa dènge ra, peka na,
HEB.3.9+HEB.3.10	‘Miu se, seli-kolane!
HEB.3.9+HEB.3.10	Te miu soro kabodho tèke eele jꞌara Jaꞌa,
HEB.3.9+HEB.3.10	ho madhutu jꞌara miu dhu koe-kapengo!’
HEB.3.11	Ropa kèdhi bhabhelu miu, Jaꞌa ruꞌa.
HEB.3.11	Nèti èèna ka, Jaꞌa dhoo miu, peka na,
HEB.3.11	‘Miu bisa boe mai ho ae mere dꞌara mi, sama-sama dènge Jaꞌa.’ ”
HEB.3.12	De aꞌari aaꞌi-aaꞌi! Mage nèti miu abhu ca dhèu dhu tao bhelu, toke nèngu parcaya heka, hèia na soro kabodho mi Ama Lamatua dhu mamuri toke dꞌai mia-mia. 
HEB.3.13	Beꞌa risi bèli-bèli miu paꞌèra dꞌara, èci dènge èci. Baku pamata ia ka! Lula miu dhu malai lèke tipu ka tao sasala, toke miu kètu hadhu aa pusi-pahae boe Ama Lamatua. 
HEB.3.14	Èdhi bisa paꞌangalai dènge Yesus Kristus, sadꞌi baku pamaꞌète sanao mi Nèngu, nuka sèmi ropa èdhi heka parcaya Nèngu.
HEB.3.15	Te Roh Ama Lamatua dhu Mola-Mèci, peka le kahèi, na,
HEB.3.15	“Doe neꞌe, ladhe miu tadèngi lii Ama Lamatua,
HEB.3.15	miu baku kètu hadhu sama sèmi dhèu seꞌe se,
HEB.3.15	dhu lasi-mai toke èpa nguru tèu ètu padꞌa sodꞌa,
HEB.3.15	te rèngu labꞌa Musa.”
HEB.3.16	De jaꞌa neo karèi sèmi neꞌe: cee ka dhu uru èèna nanene Musa, hèia ra pusi-pahae heka ne? Dhèu sèra nuka bèi-baki èdhi dhu Musa lere si nèti rai Masir. 
HEB.3.17	Aa dhèu cee ka dhu tao dꞌara Ama Lamatua pana magoro dꞌai èpa nguru tèu èèna? Dhèu sèra nuka bèi-baki èdhi. Te mamuri ra koe-kapengo ètu dꞌara padꞌa sodꞌa, toke ra madhe, ka padhane si ètu nèi. 
HEB.3.18	Aa cee ka dhu lèke kutuk nèti Ama Lamatua, toke bisa boe maso asa rai èèna, sèna ka ae rare dꞌara ra sama-sama dènge Lamatua? Dhèu sèra nuka bèi-baki èdhi. Te rèngu se roꞌo boe nanene Ama Lamatua.”
HEB.3.19	De meꞌa le, si? Bèi-baki èdhi bisa boe maso asa dꞌara rai èèna, ho ae rare dꞌara ra sama-sama dènge Ama Lamatua, lula ra parcaya boe Ne.
HEB.4.1	Te ngaa èdhi hudꞌi pangee madhera ku, lula Lamatua dhu pajaji era, na, dhèu unu Na bisa ae rare dꞌara ra sama-sama dènge Nèngu. De mage dhoka abhu nèti miu dhu tule eele lii pajaji Lamatua ne. 
HEB.4.2	Te èdhi dhu tadèngi le Lii Lolo Beꞌa, sama sèmi bèi-baki èdhi uru sèra tadèngi. Te ngaa, lula rèngu lèka boe lii èèna, rèngu abhu boe oto ngaa-ngaa. 
HEB.4.3	Te ngaa ladhe èdhi parcaya, èdhi bisa ae tare dꞌara bera-bera dènge Ama Lamatua. Te uru èèna, Nèngu dhu pajaji le dènge bèi-baki èdhi, te ngaa lula Na nasa, hèia Na peka dènge ra, na,
HEB.4.3	“Jaꞌa taha heka ladhe kèdhi tatao bhabhelu miu ne.
HEB.4.3	Nèti èèna ka, Jaꞌa dhoo miu, peka na,
HEB.4.3	‘Miu bisa boe maso,
HEB.4.3	ho ae mere dꞌara sama-sama dènge Jaꞌa.’ ”
HEB.4.3	Aa te ngaa èdhi teꞌa le, na, lodꞌo Ama Lamatua pajꞌajꞌi liru dènge rai-haha, Nèngu ator nare le, sèna ka dhèu-dhèu unu Na bisa ae rare dꞌara, ho mamuri bera-bera dènge Ne.
HEB.4.4	Ètu lii lolo nèti Ama Lamatua pajꞌajꞌi liru dènge rai-haha, dhu suri, Ama Lamatua ae nare dꞌara, peka na,
HEB.4.4	“Lamatua sabꞌa nare aaꞌi le,
HEB.4.4	hèia asa bèli èèna, lèke dènge lodꞌo ka pidhu,
HEB.4.4	Na ae nare dꞌara.”
HEB.4.5	Aa dhu suri ètu era leo hari, Ama Lamatua peka dènge bèi-baki èdhi, na,
HEB.4.5	“Miu bisa heka maso,
HEB.4.5	ho ae mere dꞌara mi sama-sama dènge Jaꞌa.”
HEB.4.6	De dadꞌèi Ama Lamatua ka, dhèu unu Na ae rare dꞌara ra sèna ka mamuri sama-sama dènge Ne. Te ngaa bèi-baki èdhi dhu tadèngi uuru lii lolo beꞌa ne, rèngu bisa boe maso, lula rèngu tao boe madhutu dadꞌèi Lamatua. 
HEB.4.7	Te ngaa nèbhu-nèbhu, Lamatua hagꞌe nare lodꞌo èci, sèna ka dhèu unu Na bisa ae rare dꞌara ra sama-sama dènge Nèngu. Te Na pake Daud ho padhai lii, peka na,
HEB.4.7	“Doe neꞌe, ladhe miu tadèngi lii Ama Lamatua,
HEB.4.7	mage miu tao dꞌara mi adhu sèmi hadhu,
HEB.4.7	te ngaa nanene paie-iie.”
HEB.4.8	Lodꞌo Daud peka na, “doe neꞌe”, nèngu pajꞌujꞌu boe asa lodꞌo dhu Yosua lere ana-èpu nèti bèi-baki se asa rai Kanaꞌan. Te lodꞌo Daud padhai lii ne, rèngu aaꞌi-aaꞌi dhu madhe nèbhu le.
HEB.4.9	Nèti èèna ka èdhi teꞌa, na, Lamatua ator le lodꞌo dhu leo èci, sèna ka dhèu-dhèu unu Na bisa ae rare dꞌara ra, ho mamuri paꞌèci dènge Ne. 
