GEN.1.1	Kafa viuḡuwai Guyau abama keta fwayafwaya i fufunisiya. 
ACT.16.1	Fauno keta Sainasi si niya Debi menana nakasina nenei eyo si niya Nisita menana nenei. Tamoka tomuniyeina kana wava Timoti nokomai i fakwafakwa. Ayona o ne Diu tovitumaḡana eatu amana o tene Ginisi. 
ACT.16.2	Tovitumaḡana Nisita keta Ikoniumu nenesiyai Timoti si kitavaneiya. 
ACT.16.3	Fauno nuwanuwana Timoti nukusi sina niya na fasinei i nufifiniya. Nofe i saviviniya uḡuna fiyao Diu noko menanisima nenesiyai si fakwafakwa, matatafusi si sanamaniya vitana Timoti amana o tene Ginisi. 
ACT.16.4	Fauno, Sainasi keta Timoti si niya menana tamokatamokaḡa nenesiyai Kani Kwauna tovitumaḡana si iyavisiya avana tonowana keta tokawakawa Yenusanema si vinuwadadanisiya ebe sita muniisiya. 
ACT.16.5	Eketa ekanesiya yasi vitumaḡana i fiwanamoka keta kuyadayada tamokatamokaḡa, kasi naḡa i kekeno-vanevaneya.
ACT.16.6	Fauno unaunana nukusi Kanunu Tafutafuna i sawatanisiya Guyau yana bwadu kana yauneina Eisiya sinenei na fasinei si fanakwaniuḡa Finigiya keta Ganetiya kawakawanasima nenesiyai. 
ACT.16.7	Tovanama si nemiya Maisiya fafani kana nabaonota nenei, si anuvanuva be Betiniya fafaninama nenei sina kanasuna eatu Yeisu Kanununa muka ita sawateweyeisi. 
ACT.16.8	Eketa si tamana Maisiya yana fafaniyai eketa si sobuwa Tonowasi menana nakasinei.
ACT.16.9	Eketa noko nuwabunanama nenei Fauno i kenokita. Kenokitanama nenei i kitiya tene Masedoniya i misimisiniya atu i nunukeketiya i bwadubwaduwa, “Ku tamananemai Masedoniya ebe ku oviviteiki.” 
ACT.16.10	Eketa Fauno kana kenokita muninei naki na tovanama nenei ka gidewadewa kana toḡa Masedoniya fasinei. Noko nenei ka sanamaniya Guyau i vivisimeikiya be biga dewadewana kana numamaniya noko fiyaosima nenesiyai.
ACT.16.11	Eketa wakai Tonowasi menana nakasina ka teweiya atu dawaniniina ka niya Samotenesi simuna nenei. Eketa kuyadayada kana vinuwa nenei ka niya Neyafonisi menana nenei. 
ACT.16.12	Nokomai yo kaeyai ka niya Finifai. Menana noko na kana wava kawakawana Masedoniya Noma fiyaosi si fakwifakwiiya nenei. Finifai ka fakwa kuyadayada matayagwanina.
ACT.16.13	Ka fakwafakwa atu Sabatiyai menana ka teweiya atu ka kikinomana keta ka niya ukowai yama nuwanuwa vitana nokomai tamo kawanunuku kana kabaḡa kata nisaiya. Eatu tunisi vivine si yokowa kawanunukuwa fasinei eketa ka nuvitoḡa keta ka nusifufuwisiya Yeisu fasinei. 
ACT.16.14	Gumayogu tamokaḡa si vanevaneneikiya o tasike Kani Kwauna kasi wava Nidiya ne Tayatina. Tasike nuya yabeyabena-fofonina si vivikimwaneina. Tasike Guyau nenei si kodukoduwa eketa Tuveka katekatesi i yauya nenei keta Fauno yana sifufu si nowanautuutuya. 
ACT.16.15	Nidiya kasi givibutabuta na yasi sabu nukusi muninei, si katuvikiya yasi numai atu si bwaduwa, “Taki kwa sanamaniya kima Tuveka kana tovitumaḡana, kwata nemiya yama numai tata fakwa.” Nuwataki si kaniya eketa ka niya yasi numai.
ACT.16.16	Tamoka tova ka niniya kawanunuku kana kabaḡai eatu tamoka kaetoḡa kakaabana i venusaikiya. Kanunu goyona i nuwafiya keta i kanakanaveneveniya be tova munina avana sina kikinomana fasinei i nunusifufuwina. Toniwaga gabana nakasina si viviya noko ketaketanama nenei. 
ACT.16.17	Fauno nukusi i munimuniyedadanikiya atu i bwaubwauwa, “Oi, kwa kitaisi! Nofe namoisima o Guyau Etanemokenei yana tobunanige. Gifafafana kana ke'ta si nunumamanimiya.”
ACT.16.18	Kuyadayada yagwanina tamoka fufuninama i niiya kana nivaniva Fauno dibuna i toyoḡa. I saḡaviniya gumayogu nenei eketa kanunu goyona i iyaviya, “Yeisu Togifafafana Gigibokeinana kana wavai a nunuyakayakaniwa gumayogu ku gionovei!” Keta naki tovanama nenei, kanunu goyona gumayogu i teweiya.
ACT.16.19	Tovanama toniwaga si kitanisaiya vitana yasi gabana kana ke'ta naki i kaonosiya, Fauno keta Sainasi si givikavinisiya eketa si sinakanikanisiya si niisiya kafa vivitamaneina kana kabaḡai ebe tovisime matasiyai sina misiniya. 
ACT.16.20	Tovanama si niisiya tovisime nenesiyai, si bwaduwa, “Nofe namoḡa o fiyao Diu, yata menana sinenei vikasanegwanegwa si gigikikinomaniya namoḡa nenesiyai. 
ACT.16.21	Sanunama kita fiyao Noma nenetiyai muka kana sawateweyeina o si vivisawavenena.”
ACT.16.22	Sabu i kanakasisiya keta Fauno be Sainasi si vibutusiya. Tovisime yasi tonuaviya si iyavisiya si bwaduwa, “Kasi nuya kwa kiganini be kaiyai kwa kanuwa-tamatamaneina.” 
ACT.16.23	Si munusiya nakasina yo muninei deniyai si tewekanasunisiya eyo tokitavikavina si visimeiya be ina kitavikavina-dewadewisiya. 
ACT.16.24	Eketa deni sinenemokenei i tenisiya keta kai daudaunisi nugiginabusi nenesiyai kaesi i vikanakuma.
ACT.16.25	Nuwabuna sinefouna sasana Fauno keta Sainasi si kawakawanunukuwa keta si oseosedavadava Guyau nenei eatu deni sinenei finisina matatafusi si vanevaneneisiya. 
ACT.16.26	Eketa naki noko tovanama nenei nikuniku fifiwanina i dibwana keta deni kana yafani i nikuniya. Deni kana kawa matatafusi i kayausiya yota finisina kasi seni si kamwanumwanuwa. 
ACT.16.27	Tovanama tokitavikavina i kenoviniya keta i kitiya deni kasi kawa kakayausi, i nuwanuwa vitana finisina sita dibwana eketa yana feto i soniyaginiya be tauna ita nuvimatiya. 
ACT.16.28	Eatu Fauno i fina, “Oi, muka tauḡu kuna givigoyou! Kima matatafuki o weka!”
ACT.16.29	Eketa tokitavikavina i bwauwiya toovivita kimayeta fasinei eketa i mataboḡana i kanasuna deni sinenei namai Fauno keta Sainasi si fakwafakwa nenei. Na yana matuta keta i akikinikuna atu nausiyai i koduwa. 
ACT.16.30	Eketa i kikinomanisiya keta i kawanunukuwisiya, “Ae amamaku, avamasi ata fufuniya be gifafafana ata nisaḡai Guyau nenei?”
ACT.16.31	Eketa si nufata si bwaduwa, “Ku vitumaḡana Tuveka Yeisu nenei be ina gifafafaniwa maise yota ya sabu.” 
ACT.16.32	Eketa Tuveka bigana si nusifufuwiya nenei eketa yota sabu matatafusi yana numa sinenei. 
ACT.16.33	Nuwabunanama nenei deni kana tokitavikavina Fauno keta Sainasi i niisiya keta kasi gikona i kigona. Muka mwanenena tu yana sabu matatafusi nukusi si givibutibutisiya. 
ACT.16.34	Eyo deni kana tokitavikavina i kanasunisiya yana numai keta i vibiyawasisiya. Yana sabu matatafusi nukusi si sebobowa nakasina uḡuna naki Guyau nenei si vitumaḡana.
ACT.16.35	Tova i katakiya nuwabuni, menana nakasina kana tovisime yasi tonuaviya si visimeisiya deni kana tokitavikavina kana matakawa si niiya namoḡa kasi ketoyau fasinei.
ACT.16.36	Eketa tokitavikavina Fauno i iyaviya i bwaduwa, “Tovisime bwadu si vininitiya nenekuwai be Sainasi nukusi ana gionovimiya fasinei. Nofe tova kwa noḡokawawa na yami nuwatakabonu.”
ACT.16.37	Eatu Fauno tonuaviya nenesiyai i bwaduwa, “Muka tamo kana goyona sita kitai nenekiyai eatu sabu matasiyai si kimunuwa keta yota deniyai si tenikiya. Eatu kima o Noma tufuwina! Eketa yota nofe tova, avage nukamumunai sina vikikinomanikiya. Mukamokena! Kwana iyavisiya tovisime tututausi sina nemiya nofemai keta deniyai sina kikinomanikiya.”
ACT.16.38	Eketa tonuaviya si makavinisiya tovisime nenesiyai keta Fauno fonana si yauya. Tovanama tovisime si nowaniya vitana Fauno keta Sainasi o fiyao Noma, si matuta. 
ACT.16.39	Na fasinei si niya Fauno keta Sainasi nenesiyai eketa si vikokonisiya kasi vinuwateweyeina fasinei. Eyo deniyai si kikinomanisiya keta si kamanemanisiya be menana sina teweiya. 
ACT.16.40	Fauno keta Sainasi deniyai si kikinomana keta si niya Nidiya yasi numai keta nokomai tovitumaḡana nukusi si vikaninisaḡa keta si vatonisiya Yeisu kana vitumaḡana fasinei, eyo menana si teweiya.
ACT.17.1	Fauno keta Sainasi, Finifai si teweiya atu si niya Amufifonisi keta Afononiya menana nakanakasisi nenesiyai eketa si kikinomana Tesanonaika menana nakasina nenei. Noko menananama nenei, numa kafa yokoyoko i fakwafakwa fiyao Diu fasisiyai. 
ACT.17.2	Eketa Fauno manatuwaina naki kana iduwa maise eketa Sabati tonusi fiyao Diu yasi numa kafa yokoyoko sinenei i kanakanasuna, eketa Guyau fonakituna nenei namoḡa nukusi si vivikanunusifusifufuwa. 
ACT.17.3	Guyau fonakituna kasi sanamana i gigivimayeta nenei o i tewetewetutuya nenesiyai vitana Togifafafana Gigibokeinana o kana nufotamoka be ina kuvavana keta ina mateya eatu yota ina misini-savaviniya. Eketa Fauno i iyavisiya i bwaduwa, “Yeisunama nofe a nunusifufuwiya nenemiyai o Togifafafana Gigibokeinamokena.” 
ACT.17.4	Fauno yana sifufuwai tunisi Diu nuwatasi i kaniya. Maise yota Ginisi namoisi Guyau kana tokodukodu o sabuvekamoka yota vivine nakanakasisi o muka tonusi, eketa Fauno be Sainasi si visabutamokisiya.
ACT.17.5	Atu Diu tunisi si sinegoyowa uḡuna namoḡa yagwanisi Fauno yana bwadu si vitumaḡaniya na fasinei tonikaokaoḡo si nuviyokoyokowa kafa vitamaneina kana kabaḡai, eketa nukusi vigwaeḡa si vibutuya. Si dibwana si niya Yeiseni yana numai keta yana numa kana kawa si yakweniya. Si kanasuna sinenei Fauno keta Sainasi si nuwasisiya be sita kikinomanisiya yokoyoko nenesiyai. 
ACT.17.6	Atu tovanama si nuwasawayosisiya, Yeiseni keta tovitumaḡana tunisi nukusi si givikavinisiya keta si sinakanikanisiya si niisiya menana nakasina kana tovisime nenesiyai, si finafina atu si bwadubwaduwa, “Nofe namoḡasima o fwayafwaya kana matatafu nenei goyona si gigikikinomanisiya eatu nofe tova yota si nemiya yata menana nenei. 
ACT.17.7	Eatu Yeiseni i katuvisiya yana numai. Matatafusi tufomu Sisa yana visime si yakweyakweniya avage si bwadubwaduwa o yota tamo tufomu kana vinuwa kana wava Yeisu.”
ACT.17.8	Tovanama menana kana tovisime keta sabuveka bwadu nofe si nowaniya, si kayokuḡa venemokena. 
ACT.17.9	Eketa tovisime si nuyakayakanisiya Yeiseni keta tunisi tovitumaḡana eketa gabana nakasina si nufata ebe yo muka goyona tamo yota ina kikinomana, eyo si gionovisiya keta si niya.
ACT.17.10	Noko nuwabunanama nenei tovitumaḡana si visimeisiya Fauno keta Sainasi si niya Beneya. Tovanama si kikinomana nokomai, si niya Diu yasi numa kafa yokoyoko nenei. 
ACT.17.11	Beneya fiyaosi yasi fufuna muka maise fiyao Tesanonaika. Beneya fiyaosi nuwanuwamokesi be biga dewadewana sina vanevaneneiya. Kuyadayada tamokatamokaḡa Guyau fonakituna nenei si kitakitavinanuwa taki avana Fauno i bwadubwaduwisiya o venemokena. 
ACT.17.12	Nofe nenei fiyao Diu yagwanisi si vitumaḡana Yeisu nenei, maise yota Ginisi vivine keta namoḡa nakanakasisi.
ACT.17.13	Atu tovanama fiyao Diu Tesanonaika sinenei naki si sanamaniya vitana Guyau fonana Fauno i nunumamaniya Beneya sinenei, tasike yota si niya nokomai keta namoḡa si visimwanakasisiya ebe Fauno sina nuwagoyowiya. 
ACT.17.14	Tovitumaḡana omatakayakayakanai Fauno keta tovitumaḡana tunisi nukusi si visimeisiya si niya gibowai, atu Timoti keta Sainasi si fakwa Beneya. 
ACT.17.15	Namoḡasima Fauno kaena si kwafuya si niiya kana nivaniva Etenisi menana nenei si vanoviya. Eyo si makavinisiya Beneya, Sainasi keta Timoti kasi matakawa vitana sina venudibwana be sina niya Fauno nenei.
ACT.17.16	Fauno yawane Etenisi nenei Sainasi keta Timoti i fotifotisiya atu kaivakuku yagwanisi nokomai i kitisiya eketa nuwanuwa i munuya. 
ACT.17.17	Na fasinei numa kafa yokoyoko sinenei i vibutuwa i gigisawakedana fiyao Diu nenesiyai keta yota Kani Kwauna aviyaonana Guyau kana tokodukodu nenesiyai. Yota kuyadayada tamokatamokaḡa i niniya kafa vitamaneina kana kabaḡai eketa aitevana tamo nokomai i ninisaiya, na naki nukusi si vivikanunusifusifufuwa.
ACT.17.18	Sinesiyai o Efekuniyani eketa Sitoiki tovisawavenena. Fiyaosima o Fauno nukusi si vikawabwadubwaduwa. Fauno i nunumamana biga dewadewana Yeisu fasinei eketa yota tomate yasi misini-savavineina fasinei. Eketa tunisi tututausi nenesiyai si vikanunutoniya si bwaduwa, “Avamasi nofe kawana yafayafana i aanuvanuva be ina bwaduwei?” Tunisi si bwaduwa, “Kana kita kamo yana iduiduwa fasisiyai i nunusifufuwa.”
ACT.17.19	Eketa Fauno si katuviya yasi kafa yokoyoko kana kabaḡai kana wava Aneofagusi eketa si iyaviya si bwaduwa, “Nuwanuwaki kata sanamaniya, avi visawavenena masi nofe kiouna ku bwadubwaduwei? 
ACT.17.20	Iba tunisi ku bwaduwisiya o kima muka tamo tova kata nowananuvanuvaisi na fasinei kasi sanamana kuta givimayesikiya.” 
ACT.17.21	Nokomaise si bwaduwa uḡuna Etenisi namoisi keta yauyauna nokomai si fakwafakwa, tova matatafuna nuwanuwasi be sina vanevaneneḡa ketaketa kiousi be fasisiyai sina nunusifufuwa.
ACT.17.22	Eketa Aneofagusi kawakawa nausiyai Fauno i misiniya keta nenesiyai i bwaduwa, “A kitiya kwami Etenisi fiyaomi yami kodukodu kasi vifotu o kasi ketaketa tuninatunina nenesiyai. 
ACT.17.23	Nofe a bwaduwiya uḡuna yaku nidadana menana nakasina nenei o yami kafa kodukodu a kitisiya. Eketa yami didiḡa tamokaḡa nenei o kwa ginivaviya i bwadubwaduwa, ‘Guyau muka kata sanamanei, neneweu ka vivifotuwa.’ Kwami muka Guyaunama kwata sanamanei atu nenei kwa kodukoduwa fasinei, nofe tova ana iyavimiya.
ACT.17.25	Eketa tanake o mukamokena tamo namoḡa yasi ovivita fasinei ita nuwanuwa. Uḡuna tanake tauna o namoḡa yawasisi keta iba matatafuna i venivenisiya. 
ACT.17.26	Kafa viuḡuwai namoḡa tamokaḡa i fufuniya keta namoḡanama nenei sabu si kikinomana keta nofe tova fwayafwaya kana matatafu nenei si fakwafakwa. Tanake yota tova i tenisiya yota kabaḡa kasi niva i dawana be kabaḡasisi nenesiyai sina fakwa.
ACT.17.27	Iba nofe i saviviniya ebe namoḡa Guyau sina nuwasiya. Ebe kamo yasi nuwasai sina nisaiya. Atu tanake muka tamo sasanei kita tamokatamokaḡa nenetiyai. 
ACT.17.28	Tamo toviginiwa i bwaduwa, ‘Tanakema nenei yo ta fakwafakwa keta ta savisavivina eketa ta mudamudadava.’ Eketa maise yota tututaumi yami toviginiwa si viginiwiya i bwadubwaduwa, ‘Kita o natunatuna.’ 
ACT.17.29	Bwadu venemokena, kita o Guyau natunatuna. Na fasinei muka tata nuwenuweisi vitana Guyau kana kikitana maise kifukifufuna namoḡa si giniginivavisiya gonudi o siniva o gabana nenesiyai.
ACT.17.30	Tova manatuwaina namoḡa muka Guyau sita sanamanei na fasinei i kitateweisiya. Eatu nofe tova fafani matatafuna nenesiyai namoḡa i nunutunitunisiya be sina ugevinisiya yasi fufunagoyo nenesiyai. 
ACT.17.31	Uḡuna tanake tova naki i tenesiniya keta i vinuwadadaniya avi tovai venemokena nenei namoḡa ina nuvisita. Namoinama naki i gibokiya be ina nuvisiya kana matanabobotai. Visawavenemokena kana kiyakiyaya i fufuniya tovanama namoḡanama mateyai i sinaviyawasiya.”
ACT.17.32	Tovanama namoḡa si nowaniya Fauno yana sifufu misini-savavineina fasinei, tunisi si sawaviniiya, eatu tunisi si bwaduwa, “Kima nuwanuwaki be yota nofe fasinei tamo tova kuna nusifufuwe-savaviniya.” 
ACT.17.33	Eketa Fauno yoko noko sinenei i kikinomana keta i niya. 
ACT.17.34	Eketa namoḡa tunisi si muniiya Fauno keta Yeisu si vitumaḡaniya. Yokonama sinesiyai o Aneofagusi kana tovisime tamokaḡa kana wava Dionaisiosi yota gumayogu tamokaḡa kasi wava Damanisi keta yota tunisi namoḡa.
ACT.18.1	Nofe muninei Fauno Etenisi menana nakasina i teweiya atu i niya Kononita. 
ACT.18.2	Nokomai tene Diu i venusaiya kana wava Akwina. Tanake tonimenana Fonutusi nenei, kakimokimoki Itaniyei na kawana Finisika nukusi si nemiya. Uḡuna Noma kana tufomu Konodiyasi Diu matatafusi i iyavisiya be Noma sina teweiya.
ACT.18.3	Tasike o vada kasi tokifufuna yomuyomu kwafinisi nenei naki maise Fauno, eketa nukusi si fakwa atu si mudadava. 
ACT.18.4	Kuyadayada Sabati tamokatamokaḡa Fauno numa kafa yokoyoko nenei Diu keta Ginisi fiyaosi nukusi si vivikanunusifusifufuwa. I aanuvanuva be nuwatasi ina kaniya be Yeisu sina vitumaḡaniya.
ACT.18.5	Tovanama Sainasi keta Timoti Masedoniyei si sobunemiya Kononita nenei, Fauno vada kana mudadava i teniya atu tova matatafuna i nunumamana Diu nenesiyai i bwadubwaduwa, “Yeisu o tanake Guyau i gibokiya Togifafafana Gigibokeinana.” 
ACT.18.6	Atu tovanama Diu si dibutoyoḡa keta Fauno si sawavigoyowiya, i nubutuya kafusisima kana nuya nenesiyai keta i bwaduwa, “Taki Guyau ina vivimatadawanimiya, nao kwami kami kuvana. Tututaumi kwa vinoimi eatu muka iyau kwana vinoiku. Nofe tova keta i niniya, Yeisu bigana ana niiya be Kani Kwauna nenesiyai ana numamaniya.”
ACT.18.7	Eketa Fauno numa kafa yokoyoko i teweiya keta i niya namoḡa kana wava Taitiyusi Yasitusi yana numa nenei. Gwadinama o Kani Kwauna eatu Guyau kana tokodukodu. Yana numa o i misiniya numa kafa yokoyoko niniunei. 
ACT.18.8	Numanama kafa yokoyoko kana toviketanuneina o Kinisifasi, kana sabu matatafusi nukusi yana numa nenei Tuveka si vitumaḡaniya. Yota yagwanisi namoḡa Kononita sinenei aviyaonana Fauno yana biga si vaneneiya, si vitumaḡana keta si givibutibutisiya.
ACT.18.9	Nuwabuna tamokaḡa Fauno kana kenokita nenei Tuveka i nusifufuwiya i bwaduwa, “Muka kuna matuta! Muka kuna numananava eatu nusifufu kuna tenesaviya! 
ACT.18.10	Iyau kwaḡa nukusi eketa muka tamo aitevana ina munuu o ina givigoyou. Uḡuna namoḡa yagwanisi menana nofe sinenei o Iyau yaku namonamoḡa.” 
ACT.18.11	Eketa Fauno nokomai i fakwa manamana tamokaḡa keta yamayamana 6, Guyau yana biga namoḡa nenesiyai i gigisawakedana.
ACT.18.12	Tovanama Noma toviketanuneina Ganiyo si ginakasiya eketa fafani Akaiya sinenei i vitovisimeya kana tovai, Diu tunisi si vikatutamokisiya keta Fauno si vikaniyabiniya eketa si niiya nofe tovisimenama nenei kafa vifonayau kana kabaḡai. 
ACT.18.13	Si vinoiya si bwaduwa, “Nofe namoḡanama o namoḡa nuwatasi i kanikaniya eketa Guyau kana kodukodu fasinei muka visime sita munimuniyei.”
ACT.18.14	Atu noko tovanama nenei Fauno kawana i nakanakiya be ina nusifufuwa, ava Ganiyo i bwaduwa, “Kwami Diu fiyaomi, namoḡa nofe avi goyona o avi fufuna tamo goyomataina i savivinei, eyo iyau yami sifufu ana vaneneḡei? 
ACT.18.15	Nofe o naki kwa ovivigwaeḡa avage bwadubwadu be wava keta yota tututaumi yami visime fasisiyai, eketa tututaumi kwa gidawadawaniniyei. Ibasima nofe nenesiyai naki a dibutoyoḡa.” 
ACT.18.16	Eketa kafa fonayau kana numei i vikikinomanisiya. 
ACT.18.17	Eketa sabu matatafusi Sosideni si givikaviniya, tanake o numa kafa yokoyoko kana toviketanuneina tamo, eketa kafa fonayau kana wasiketai si navinaviya. Eatu Ganiyo i kitaisi yo i toḡakaokaoḡowa.
ACT.18.19	Si tamana keta si kanasuna Efeso. Fauno nokomai Finisika keta Akwina i tenisiya atu i kanasuna numa kafa yokoyoko nenei fiyao Diu nukusi si vivikanunusifusifufuwa. 
ACT.18.20	Fiyao Diu Fauno si vikokoniya be nukusi sina fakwa matanubwayouna, atu i dibutoyoḡa. 
ACT.18.21	Atu yana nai nenei i iyavisiya i bwaduwa, “Taki Guyau ina sawateweikuwa maise, ana makavinikuwa nenemiyai.” Eketa tamo waka nenei i toḡa keta Efeso i teweiya. 
ACT.18.22	Tovanama i saniniya Sisaniya, i vaneya Yenusanema eketa ekanesiya i venufotisiya eyo kavananei i sobuwa Anitiyoki.
ACT.18.23	Tova bwatana nenei tovitumaḡana nukusi si fakwa Anitiyoki, muninei i fanakwaniuḡa i niya menana tu menana Ganetiya keta Finigiya fafanisima nenesiyai tomuniyeina matatafusi i vavatonisiya.
ACT.18.24	Tene Diu tamokaḡa kana wava Afonosa, tanake o tonimenana Anekisenidiya Itifita yana fafaniyai, i niya keta i kikinomana Efeso menana nenei. Tanake tonusifufu dewadewana keta yota Guyau yana bwadu i sanamana-budowanemokiya. 
ACT.18.25	Namoḡa tunisi yasi visawavenena Tuveka yana Ke'ta fasinei nuwatana i viya eketa yana visawavenena nenesiyai i nusaitetemoka Yeisu fasinei. Atu Afonosa o sanasanamanina Yoniḡa yana givibutabuta fasinei. 
ACT.18.26	I vibutuwa keta i nusifufuwa na yana katevatu numa kafa yokoyoko sinenei. Tovanama Finisika keta Akwina si nowaniya yana nusifufu, si katuviya yasi numai eketa nuwatana si tanakakikakiniya Guyau yana Ke'ta avana muka ita sanamaneisi fasisiyai.
ACT.18.27	Keta noko tovanama nenei Afonosa nuwanuwana be ina niya Akaiya yana fafaniyai be ina numamana, tovitumaḡana Efeso sinenei si sawakatevatuya yana savivina fasinei eketa nufunufu tamokaḡa si viginiwiya tomuniyeina nenesiyai Akaiya sinenei be si matamatakawisiya vitana Afonosa sita venufotefotiya. Tovanama i kikinomana nokomai, aviyaonana waniya tovitumaḡana Guyau yana omukumukutana nenei i ovivitisiya nakasina. 
ACT.18.28	Tamokaḡa ketaketa i saviviniya o vikawabwadubwadu fifiwanisi nenesiyai fiyao Diu i vatanisiya sabu yagwanisi kasi manawasasai. Guyau fonakituna nenei i misiniya tu i nusifufuwisiya vitana Yeisu o tanake Togifafafana Gigibokeinamokena.
ACT.19.1	Noko tovanama nenei Afonosa o Akaiya yana fafaniyai Kononita menana nenei, Fauno o uwama kana ke'ta kuweyaina i vaonota keta i kikinomana Efeso. Nokomai tunisi tomuniyeina i venusaisiya. 
ACT.19.2	Keta i nutoninuvenuvisiya i bwaduwa, “Kwami Kanunu Tafutafuna kwa viya tovanama kwa vitumaḡana Yeisu nenei?”
ACT.19.2	Eketa si nufata nenei si bwaduwa, “Muka, kima muka tamo kata nowaniya Kanunu Tafutafuna fasinei.”
ACT.19.3	Eketa Fauno i bwaduwa, “Taki nanemaise, o avi givibutabuta kwa vai?”
ACT.19.3	Eketa si nufata, “Givibutabutanama Yoni i visawavenena namoḡa nenesiyai.”
ACT.19.5	Namoḡa Fauno yana bwadu si nowaniya eketa i givibutibutisiya Tuveka Yeisu kana wavai. 
ACT.19.6	Tovanama nimana debabousiyai i dawana, Kanunu Tafutafuna i vimaisiya keta si vibutuwa si nunusifufuwa meya tuninatunina nenesiyai yota Guyau fonana si bwadubwaduvioḡona. 
ACT.19.7	Namoḡamokesi o kasi yagwana 12.
ACT.19.8	Yamayamana tonusi sinesiyai tova matatafuna Fauno i niniya numa kafa yokoyoko nenei na yana katevatu i nunusifufuwa fiyao Diu nenesiyai be nuwatasi ina kaniya Guyau yana kafa visime fasinei. 
ACT.19.9	Atu tunisi debabousi si gua keta muka Guyau fonana sita vitumaḡanei, eketa iba goyosi si bwadubwaduwisiya namoḡa nenesiyai Yeisu yana Ke'ta fasinei eketa Fauno i venuteweisiya. Eatu tomuniyeina i ovisiya keta si niya Tinanusi yana kafa visawavenena kana numa nenei. Nokomai tovatova si vivikanunusifusifufuwa Guyau yana kafa visime fasinei. 
ACT.19.10	Fauno i saviviniya nokomaise kana nivaniva manamana nuwesi, eketa matatafusi fiyao Diu be Kani Kwauna si fakwafakwa Eisiya yana fafani nenei Tuveka yana bwadu si nowaniya.
ACT.19.11	Keta Fauno yana bunanige nenesiyai Guyau kafa nuwatabau nakanakasisi i savivinisiya. 
ACT.19.12	Nuya bidimisi Fauno i nunusikonisiya si niniina keta tovanama tovisafwavinaḡa nuyasima si gigisikonisiya, kasi katona si kakakaviya keta si bwinabwina yota kanunu goyosi si nuwafisiya si gionovisiya.
ACT.19.13	Diu tunisi tasike aviyaonana si niya menana tu menana nenesiyai kanunu goyosi si nunukakisiya namoḡa sininisiyai yota si aanuvanuva be Tuveka Yeisu kana wavai sita savivina keta namoḡa kanunu goyosi nenesiyai si bwadubwaduwa, “A vivisimeiwa Yeisu kana wavai namoinama Fauno i numamaniya, ku gionovei.” 
ACT.19.14	Tene Diu tamokaḡa tovibwanaose kasi toviketanuneina kana wava Sikeva natunatuna namoḡa kasi 7. Tasike yota avage si aanuvanuva kanunu goyosi namoḡa nenesiyai si nukakisiya. 
ACT.19.15	Tamoka tova avage kanunu goyona si nuyakayakaniya be namoḡa tamoka nenei ina kikinomana, atu kanunu goyona i bwaduwa nenesiyai, “A sanamaniya Yeisu keta yota a sanamaniya Fauno, atu kwami o aviyaonana?” 
ACT.19.16	Eketa namoḡanama kanunu goyona i nuwafiya namoḡasima kasi 7 i nukekemanisiya keta yana fiwanai matatafusi i tafisiya venemokena keta numei si dibwana si kikinomananemiya gonegonesi keta na ufaufasi.
ACT.19.17	Matatafusi Fiyao Diu keta Kani Kwauna Efeso si fakwafakwa si biganowana keta si matuta, eketa Tuveka Yeisu kana wava si vifotuwiya venemokena.
ACT.19.18	Tovitumaḡana yagwanisi si niya keta si fonayauwa tovitumaḡana tunisi matasiyai yasi fufunagoyo fasisiyai. 
ACT.19.19	Yagwanisi aviyaonana si ooibaiba, yasi nufunufu si visiuna sabu matasiyai keta si guwanisiya. Taki noko nufunufusima sita vikimwaneisiya, fatasi kana naḡa nakasina venemokena maise 50,000 siniva.
ACT.19.20	Matatafuna nofe iba i kikinomana nenei keta Tuveka fonana i mutuna fifiwanamokena.
ACT.19.21	Nofe ibasima si kikinomana muninei, Fauno i vinuwadadana be ina onota Masedoniya keta Akaiya fafanisima nenesiyai muniyai yo ina niya Yenusanema. Tovitumaḡana nenesiyai i bwaduwa, “Muniyai yo ana niya Noma.” 
ACT.19.22	Kana toovivita nasi nuwa Timoti keta Enasitusi i visimeisiya si mikiniya Masedoniya atu tanake tauna i fakwa Eisiya simo tova matanubwayouna.
ACT.19.23	Naki noko tovanama nenei vikasanegwanegwa nakasina i kikinomana Efeso sinenei Yeisu yana Ke'ta fasinei. 
ACT.19.24	Tamokaḡa namoḡa nokomai kana wava Demetiniyasi, tanake o siniva nenei kaivakuku be iba yagwanisi nukawanamanamaneinasi kana tokifufuna. Fiyao Ginisi yasi guyau gumayogu o kana wava Atemisi eketa Demetiniyasi numa musumususi i kikifufuna-vikuvikukuna guyaunama kana kafa kodukodu kana numa maise eketa namoḡa si vivikimwaneya. Yana tobunanige matatafusi nukusi si kikifufuna be si vivikimwaneina keta gabana nakasina si viviya. 
ACT.19.25	Yana tobunanige matatafusi i wenevakukusisiya yota tasike aviyaonana yasi savivina maise eketa nenesiyai i bwaduwa,
ACT.19.25	“Fiyao, kwa sanamaniya gabana nakasina kita ta viviya nofe savivinanama nenei. 
