GEN.1.1	Idi 
NAM.2.8	Ngem ti Ninive nanipud idi ugma isu cas la ban-aw ti danum: nupay casta agtalawda. Aginteccayo, aginteccayo, ipuccawda; ngem awan ti tumaliaw a cumita.
NAM.2.9	Alaenyo ti sinamsam a pirac, alaenyo ti sinamsam a balitoc; ta awan ti patingga ti sanicua, ti dayag ti isu-amin a naimnas nga alicamen.
NAM.2.10	Isu maongaongan, ken maugutan, ken walangwalang; ket ti puso matunaw, ket dagiti tumtumeng agtitimogda, ket ti tuoc adda cadagiti isu-amin a lomo, ket 
NAM.2.11	Sadino ti taeng 
NAM.2.12	Ti leon ginisgisna a pinispisi ti umdas nga agpaay cadagiti urbonna, ken nangbeckel iti maipaay cadagiti cabayanna a leon, ket pinusecna dagiti gucayabna iti tinucmaanna, ken ti pagtaenganna iti panagagaw.
NAM.2.13	Adtoy, a maibusorac kenca, 
NAM.3.1	Asi pay ti ili a nadara! isu a napno cadagiti kinaulbod ken panagrabsut; 
NAM.3.2	Ti waneswes ti baut, ken ti 
NAM.3.3	Ti sumalta iti cabayo, ken ti sumileng a campilan, ken ti gumilap a pica, ken ti kinaadu ti napapatay, ken ti dackel a gabsuon dagiti bangcay, ket awan ti patingga dagiti bangcay; isuda agtibcolda cadagiti bangbangcay;
NAM.3.4	Agsipud ti kinaadu ti pannakicamalala ti napintas a balangcantis, ti 
NAM.3.6	Ket ipurruacconto ti nacaarariec a kinarugit kenca, ket aramidenca a naalas, ken ipabuyacanto.
NAM.3.7	Ket maaramidto, nga isu-amin a cumita kenca italawandacanto, ket cunana, Ti Ninive walangwalang: siasino ti mangdung-awto kencuana? sadino ti pagbirucacto cadagiti mangliwliwa kenca?
NAM.3.8	Nasaysayaatca aya ngem iti Noamon 
NAM.3.9	Ti Etiopia ken ti Egipto isuda idi ti pigsana, ket awan idi patinggana: ti 
NAM.3.10	Nupay casta isu naipanaw, napan iti pannacacayaw; dagiti ububbing nga annacna naipurruacna a naredreddec iti oloanan dagiti isu-amin a lansangan; ket naggiginnasanggasatda nga agpaay cadagiti natacneng a lallalkina, ket amin dagiti natan-oc a lallakina a nareppetda cadagiti cawcawar.
NAM.3.11	Sica met mabarteccanto; sica met mailemmengcanto; sica met agbiruccanto iti sarikedked a gapu iti cabusor.
NAM.3.12	Isu-amin dagiti sarikedkedmo 
NAM.3.13	Adtoy, dagiti 
NAM.3.15	Idiay ikisapnacanto ti apuy; ti campilan dadaelennacanto; manglamutto kenca cas la iti lucton; umaduca ala a cas iti lucton; umaduca a cas iti dudon.
NAM.3.16	Sica pinaadum dagiti 
NAM.3.17	Dagiti piprincipem casda la dudon, ket dagiti panguloem cacasda la pangen ti lucton nga agpacarso cadagiti dardarecdec iti aldaw a nalam-ec, ngem no ti init sumingising agtalawda, ket ti dissoda saan a malasin no sadino ti yanda.
NAM.3.18	Dagiti pastormo 
NAM.3.19	Awan ti macaagas ta tuocmo; ta sugatmo naut-ut; 
HAB.1.2	O Jehova, casano ti caunday ti panagasugco, ket dinacto ipangag? Agasugac kenca a maipapan iti ranggas, ket dica mangispal.
HAB.1.3	Apay aya nga iparangmo caniac ti kinadakes, ken ipakitaannac iti kinasungit? ta ti pannacarba ken ti pannacaranggas adda iti sangoanac; ket adda ringgor, ket bumangon ti susic.
HAB.1.4	Gapuna a ti linteg napacapuy, ket ti kinajusticia saanen a magna; ta ti nadangkes 
HAB.1.5	Kitaenyo iti 
HAB.1.6	Ta adtoy, a patacderec dagiti Caldeos, daydiay nacas-ang ken nasiglat a nacion, a magna iti pagacabaan ti daga, a mangtagicua cadagiti disso a pagnaedan a saanda a cucua.
HAB.1.7	Nacaamamesda ken nacakigkigtotda, ti panangocomda ken kinatacnengda agtaud cadacuada met laeng.
HAB.1.8	Dagiti met cabayoda nasigsiglatda ngem cadagiti leopardo, ket narangranggasda ngem cadagiti lobo iti rumabii; ket dagiti lallakida nga agcabayo agtarusda a sitatangsit: wen, dagiti lallakida nga agcabayo aggapuda iti adayu; tumayabda a cas la aguila nga agdaras a manglamut.
HAB.1.9	Isuda umayda amin a maipaay iti pannacaranggas; ti turong dagiti rupada isu ti masangoanan; ket ummongenda dagiti kinayawan a cas la darat.
HAB.1.10	Wen, isu manguy-uyaw cadagiti ar-ari, ket dagiti piprincipe isuda ti rabrabac kencuana; ket pagcatawaanna ti tunggal sarikedked; ta gabsuonenna ti tapuc, ket isu alaenna.
HAB.1.11	Iti casta lumabas a 
HAB.1.13	Sica a nadalus unay dagiti matam a saan a maayayo iti dakes, dica met buyaen ti pacadadaelan, apay a kitaem ida nga agaramid a sililiput, ken agtalnaca no ti nadangkes alun-unenna ti tao a nalinlinteg ngem isu.
HAB.1.14	Ket aramidem dagiti lallaki a cacasda la cadagiti ic-ican ti baybay, a cacasda cadagiti aguy-uyas, nga awan ti agturay cadacuada?
HAB.1.15	Isu alaenna amin ida iti 
HAB.1.17	Iti casta agongaongto aya ti iketna, ket dinto agtuken a mangpapatay cadagiti nasnacion iti agnanayon?
HAB.2.1	Agtacderacto iti rabaw ti 
HAB.2.2	Ket ni Jehova simmungbat caniac, ket kinunana, 
HAB.2.3	Ta ti 
HAB.2.4	Adtoy, ti cararuana pimmalangguad, saan a nalinteg kencuana; ngem 
HAB.2.5	Ket sabali pay gapu ta ti arac mangliliput, ti lalaki napalangguad a di agtaeng iti balayna, a mangpadackel iti calicagumna a cas ken ni Tanem, ket isu umasping ken ni patay, a di mabalin a penneken, no di ket urnongenna kencuana dagiti amin a nasnacion, ket gabsuonenna kencuana dagiti amin nga il-ili.
HAB.2.6	Amin dagitoy didanto aya mangisingasing iti maysa a pangngarig a maibusor kencuana, ken mairabrabac a proverbio a maibusor kencuana, ket cunada, Asi pay daydiay a mangpaadu iti dina cucua! casanonto ti capautna? ket gabsuonenna kencuana dagiti tanda ti salda?
HAB.2.7	Didanto aya tumacder a kel-laat dagiti mangcagatto kenca, ken agriingdanto dagiti mangtutuoc kenca, ket sicanto ti agpaay a samsam cadacuada?
HAB.2.8	Agsipud ta sinamsammo dagiti 
HAB.2.9	Asi pay daydiay a 
HAB.2.10	Sica nangigacatca iti bain iti balaymo, iti panangdadaelmo iti adu nga il-ili, ket nagbasolca a maicaniwas ita cararuam.
HAB.2.11	Ta ti bato umkisto manipud iti bacud, ket ti busuran iti cacayoan sumungbatto kencuana.
HAB.2.12	Asi pay daydiay a mangbangon iti maysa nga ili 
HAB.2.13	Adtoy, saan aya a nagtaud ken ni Jehova dagiti buybuyot a 
HAB.2.14	Ta ti daga mapunnonto iti 
HAB.2.15	Asi pay daydiay a mangted ti inumen ken ni caarubana, sica a manggampor ita gamutmo, ket isu bartekem met, tapno makitam coma ti kinalamolamoda!
HAB.2.16	Sica mapnoca iti bain, ket saan a dayag: uminumca met, ket casca la iti di nacugit; ti copa ti ima a canawan ni Jehova dumtengto kenca, ket ti nacaarariec a bain abbongannanto ta dayagmo.
HAB.2.17	Ta ti panangranggas a naaramid iti 
HAB.2.19	Asi pay daydiay nga agcuna iti cayo, Agriingca; iti umel a bato, Tumacderca! Mangisuronto aya daytoy? Adtoy, nga isu nacalupcupan iti balitoc ken pirac, ket awan ti aniaman nga anges iti unegna.
HAB.2.20	Ngem ni Jehova adda 
HAB.3.1	Maysa a carag ni Habacuc a mammadto, a maitonos iti Si-gionoth.
HAB.3.2	O Jehova, nangngegco ti damag a maipapan kenca, ket agbutengac:
HAB.3.2	O Jehova, parayrayem ti aramidmo iti ngalay dagiti tawtawen;
HAB.3.2	Iti ngalay dagiti tawtawen isu ipacaammom;
HAB.3.2	Iti pungtot lagipem ti caasi.
HAB.3.3	Ti Dios immay nanipud iti Teman,
HAB.3.3	Ken ti Santo nanipud bantay Paran. (Selah)
HAB.3.3	Ti dayagna abbonganna dagiti langlangit,
HAB.3.3	Ket ti daga napno iti dayawna.
HAB.3.4	Ket ti raniagna cas la iti silaw;
HAB.3.4	Isu adda sinsinamarna 
HAB.3.4	Ket 
HAB.3.5	Iti sangona napan ti angol,
HAB.3.5	Ket ti apuy a gayang rimmuar iti yan dagiti sacsacana.
HAB.3.6	Isu nagintec, ket rinucudna ti daga;
HAB.3.6	Isu kimmita, ket impuruacna a nasayyasayya dagiti nasnacion;
HAB.3.6	Dagiti addangna 
HAB.3.7	Nakitac dagiti tolda ni Cusan iti ladingit;
HAB.3.7	Dagiti bengbeng ti daga ti Madian nagkintayegda.
HAB.3.8	Nagrurodan aya ni Jehova dagiti carcarayan?
HAB.3.8	Naibusor aya ti ungetmo cadagiti carcarayan,
HAB.3.8	Wenno ta pungtotmo maibusor iti taaw.
HAB.3.8	Cadagiti luganmo a pangisalacan?
HAB.3.9	Ti ba-im nalucasan a naananay;
HAB.3.9	Dagiti naisapata cadagiti caputotan 
HAB.3.9	Sica linuctam ti daga cadagiti carcarayan.
HAB.3.10	Dagiti banbantay nakitadaca, ket 
HAB.3.10	Ti bagio dagiti dandanum naglabas;
HAB.3.10	Ti yuyeng binalicasna ti timecna,
HAB.3.10	Ket inngatona dagiti im-imana iti ngato.
HAB.3.11	Ti init ken ti bulan nagsardengda a 
HAB.3.11	Gapu iti lawag dagiti panam idi a napanda,
HAB.3.11	Gapu iti gilap ta nasileng a picam.
HAB.3.12	Sica binaddebaddecmo ti daga iti unget;
HAB.3.12	Sica tinaltagmo dagiti nasnacion iti pungtot.
HAB.3.13	Sica rimmuarca a maipaay iti pannacaisalacan ti ilim,
HAB.3.13	Maipaay iti pannacaisalacan ti pinulotam;
HAB.3.13	A 
HAB.3.14	Sica sinalputmo cadagiti sarucodna met laeng ti olo dagiti buyotna;
HAB.3.14	Isuda immayda a cas alawig a mangwarawara caniac;
HAB.3.14	Ti nagrag-oanda isu ti panangalun-unda a sililimed iti napanglaw.
HAB.3.15	Sica nagbaddecca iti taaw agraman cadagiti cabayom,
HAB.3.15	Ti gabsuon dagiti napegges a dandanum.
HAB.3.16	Nangngegco, ket ti bagic 
HAB.3.16	Dagiti bibigco nagpigergerda iti timec;
HAB.3.16	Kinacapuy sumrec cadagiti tulangco, ket agkintayegac iti dissoc;
HAB.3.16	Agsipud ta masapul nga agurayac a sitatalna iti aldaw ti riribuc,
HAB.3.16	Iti isasangpet dagiti tattao a mangraut cadatayo.
HAB.3.17	Ta uray ti cayo nga higos dinto aglasbang,
HAB.3.17	Uray bunga awanto cadagiti uv-uvas;
HAB.3.17	Ti apit nga olivo agcurangto,
HAB.3.17	Ket dagiti taltalon didanto mamaltuad iti taraon;
HAB.3.17	Ti pangen maiccatto manipud iti pagyaponan,
HAB.3.17	Ket awanto ti arban cadagiti pagtaracnan:
HAB.3.18	Nupay casta 
HAB.3.18	Agragsacacto iti Dios ti pannacaisalacanco.
HAB.3.19	Ni Jehova, nga Apo, isu ti pigsac;
HAB.3.19	Ket aramidenna dagiti sacsacac a 
HAB.3.19	Ket aramidennacto a magna iti 
ZEP.1.1	Ti sao ni Jehova nga immay ken ni Sofonias nga anac ni Cusi, nga anac ni Gedalias, nga anac ni Amarias, nga anac ni Ezekias, cadagiti al-aldaw ni Josias, nga anac ni Amon, nga ari ti Juda.
ZEP.1.2	Siac ikisapconto dagiti isu-amin a banbanag iti rabaw ti daga, cuna ni Jehova.
ZEP.1.3	Ibusecto ti tao 
ZEP.1.4	Ket yunnatconto ti imac a maibusor iti Juda, ken cadagiti isu-amin nga agnaed ti Jerusalem; ket 
ZEP.1.5	Ken dagidiay agcarcararag iti buyot ti langit cadagiti tuctoc ti balay; ken dagidiay agcarcararag, 
ZEP.1.6	Ken dagidiay agbawing iti isusurot ken Jehova; ken dagidiay saan a nagbiruc ken Jehova, wenno saan a nagsaludsud maipapan kencuana.
ZEP.1.7	Agulimecca iti imatang ni Apo Jehova; 
ZEP.1.8	Ket maaramidto iti aldaw ti daton ni Jehova, a dusaecto dagiti piprincipe, ken dagiti annac ti ari, ken amin a sicacawes iti pagan-anay a gangannaet.
ZEP.1.9	Ket iti daydiay nga aldaw dusaecto amin dagidiay 
ZEP.1.10	Ket iti daydiay nga aldaw, cuna ni Jehova, addanto anabaab ti anug-og nga 
ZEP.1.11	Agdung-awcayo, dacayo nga agnaed ti Mactes; ta isu-amin nga ili ti Canaan napacsuyanda, isu-amin dagidiay a napaawitan iti pirac madadael.
ZEP.1.12	Ket maaramidto iti daydiay a pannawen, a sukimatecto ti Jerusalem babaen cadagiti pagsilawan; ket dusaecto dagiti tattao nga 
ZEP.1.13	Ket ti sanicuada agbalinto a sinamsam, ket dagiti balbalayda agwalangwalang: wen, mangibangondanto cadagiti balbalay, ngem 
ZEP.1.14	Ti dackel nga aldaw ni Jehova 
ZEP.1.15	Daydiay nga aldaw isu ti aldaw ti pungtot, aldaw ti riribuc ken rigat, aldaw ti racrac ken langalang, aldaw ti sipnget ken lulem, aldaw dagiti ul-ulep ken napuscol a kinasipnget,
ZEP.1.16	Aldaw 
ZEP.1.17	Ket yegconto ti rigat cadagiti tattao tapno magmagnada a 
ZEP.1.18	Uray ti piracda uray ti balitocda didanto mabalin ti mangispal cadacuada iti aldaw ti pungtot ni Jehova; ngem ti isu-amin a daga 
ZEP.2.1	Aguornongcayo, wen, aguornongcayo, O 
ZEP.2.3	Birukenyo ni 
ZEP.2.4	Ta ti 
ZEP.2.5	Asi pay dagiti agnaed iti igid ti 
ZEP.2.6	Ket ti igid ti taaw agbalinto a pagpaaraban, nga addaan cadagiti calapaw a maipaay cadagiti pastor ken pagyaponan cadagiti pangen.
ZEP.2.8	Nangngegco ti 
ZEP.2.9	Gapuna a cas sibibiagac, cuna ni Jehova dagiti buybuyot, a Dios ti Israel, Pudno unay a ti Moab caslanto iti Sodoma, ket dagiti annac ti Ammon casladanto iti Gomorra, 
ZEP.2.10	Daytoy addanto cadacuada a 
ZEP.2.11	Ni Jehova nacakigkigtotto cadacuada; ta 
ZEP.2.12	Dacayo met 
ZEP.2.13	Ket yunnatnanto ti imana a maibusor iti amianan, ket 
ZEP.2.14	Ket dagiti arban 
ZEP.2.15	Daytoy ti naragsac nga ili a nagnaed a sililiway, a nagcuna iti pusona, 
ZEP.3.1	Asi pay daydiay nasungit ken narugit! Ti 
ZEP.3.2	Isu saan a nagtulnog iti timec; saan nga immawat iti panagisuro; saan a nagcammatalec ken ni Jehova; saan nga immasideg iti Diosna.
ZEP.3.3	Dagiti piprincipena 
ZEP.3.4	Dagiti mammadtona 
ZEP.3.5	Ni Jehova nalinteg iti nagtengngaanna; dinto agaramid iti kinadakes; iti tunggal bigat yegna ti kinajusticiana iti lawag, isu saan nga agcurang; ngem ti nakillo dina ammo ti bain.
ZEP.3.6	Siac dadaelecto dagiti nasnacion; dagiti torre iti pagsulianda walangwalangda; pinaglangalangco dagiti calcalsadada, iti casta awan ti aglasat; dagiti il-ilida madadaelda, iti casta awan ti tao, casta met awan ti agnaed.
ZEP.3.7	Kinunac, Isuna laeng nga agbutengca caniac; umawatca iti panangisuro, 
ZEP.3.8	Ngarud 
ZEP.3.9	Iti casta isublicton cadagiti il-ili ti nadalus a pagsasao, tapno isuda amin awaganda coma ti nagan ni Jehova, tapno agservida a situtonos kencuana.
ZEP.3.10	Manipud iti ballasiw dagiti carcarayan ti Etiopia dagiti agdawdawat caniac, ti anac met laeng a babai di 
ZEP.3.11	Iti daydiay nga aldaw 
ZEP.3.12	Ngem tiddaecto iti tengngam ti maysa a 
ZEP.3.13	Ti matda 
ZEP.3.14	Agcantaca, O anac a babai ti Sion; agdir-ica, O Israel; agrag-oca ken agragsacca iti isu-amin a puso, O anac a babai ti Jerusalem.
ZEP.3.15	Ni Jehova iniccatna dagiti pannacaocommo, impuruacna ti cabusormo: ti Ari ti Israel, a ni met laeng Jehova, adda iti nagtengngaam; dicanto agbutengen iti dakes uray caano.
ZEP.3.16	Iti daydiay nga aldaw macunanto iti Jerusalem, Dica agbuteng; O Sion, 
ZEP.3.17	Ni Jehova a Diosmo adda iti nagtengngaam, ti maingel a mangisalacanto; agrag-onto kenca a mabuyugan iti panagragragsac; aginananto iti ayatna; agragsacto kenca a mabuyugan iti panagcancanta.
ZEP.3.18	Urnongecto dagidiay agladladingit nga agpaay iti nangayed a gimong, isuda a cucuam idi; a ti awit kencuana isu idi ti pannacaumumsi.
ZEP.3.19	Adtoy, iti 
ZEP.3.20	Iti daydiay a pannawen 
HAG.1.1	Idi maicadua a 
HAG.1.2	Castoy ti saoen ni Jehova dagiti buybuyot, cunana, Daytoy nga ili, cunana, Saanpay a pannawen a mapantayo, ti pannawen a maipaay iti panagbangon iti balay ni Jehova.
HAG.1.3	Idin immay ti sao ni Jehova babaen ken 
HAG.1.4	Pannawen aya a maipaay cadacayo met laeng nga agtaengcayo cadagiti nabobedaan a balbalayyo, idinto a daytoy a balay agwalangwalang?
HAG.1.5	Gapuna a castoy ti cuna ni Jehova dagiti buybuyot: Utobenyo dagiti daldalanyo.
HAG.1.6	Dacayo nagmulacayo iti adu, 
HAG.1.7	Castoy ti cuna ni Jehova dagiti buybuyot: Utobenyo dagiti daldalanyo.
HAG.1.8	Sumang-atcayo iti bantay, ken mangalacayo iti cayo, ket bangonenyo ti balay; ket 
HAG.1.9	Ninamnamacayo iti adu; ket, adtoy, nagbalin a bassit; ket idi nga isangpetyo iti pagtaenganyo pinatayabco iti angin. Ania ti gapuna? cuna ni Jehova dagiti buybuyot. Gapu ta ti balayco agwalangwalang, idinto a dacayo agtaraycayo tunggal maysa iti balayna met laeng.
HAG.1.10	Gapuna a maipuon cadacayo dagiti langlangit 
HAG.1.11	Ket inayabac ti maga iti rabaw ti daga, ken cadagiti banbantay, ken iti rabaw ti bukel, ken iti baro nga arac, ken iti lana, ken iti isu-amin a paltuaden ti daga, ken cadagiti tattao, ken iti arban, ken iti isu-amin nga aramid dagiti im-ima.
HAG.1.12	Idin ni Zorobabel nga anac ni Sealtiel, ken ni Josue nga anac ni Josadac cangatoan a padi, agraman iti isu-amin a natda iti umili, 
HAG.1.13	Idin ni Haggeo a babaonen ni Jehova insaona ti pinaibaga ni Jehova iti umili, a cunana, 
HAG.1.14	Ket ni Jehova tinignayna ti espiritu ni Zorobabel nga anac ni Sealtiel, a gobernador ti Juda, ken ti espiritu ni Josue nga anac ni Josadac, a cangatoan a padi, ken ti espiritu ti amin a natda iti umili; ket immayda ket nagaramidda iti balay ni Jehova dagiti buybuyot, a Diosda.
HAG.2.2	Agsaoca ita ken ni 
HAG.2.3	Siasino ti natda 
HAG.2.4	Ita 
HAG.2.5	Cas 
HAG.2.6	Ta castoy ti cuna ni Jehova dagiti buybuyot: 
HAG.2.7	Ket pagkintayegecto dagiti 
HAG.2.9	Ti maud-udi a dayag 
HAG.2.11	Castoy ti cuna ni Jehova dagiti buybuyot: 
HAG.2.12	No ti siasinoman mangipan iti nasantoan a 
HAG.2.13	Idin kinuna ni Haggeo, No ti siasinoman a 
HAG.2.14	Idin simmungbat ni Haggeo ket kinunana, Casta daytoy nga ili, ken casta daytoy a nacion iti sangoanac, cuna ni Jehova; ket casta ti tumunggal aramid dagiti im-imada; ket daydiay idatonda 
HAG.2.15	Ita ngarud, agdawatec cadacayo, agpanunotcayo manipud itoy nga aldaw ken iti napalabas, sacbay a ti maysa a bato naicabil iti rabaw ti sabali a bato iti templo ni Jehova.
HAG.2.16	Iti isu-amin daydiay a pannawen idi a ti siasinoman 
HAG.2.17	Siac 
HAG.2.18	Agpanunotcayo ala, agdawatac cadacayo, manipud itoy nga aldaw ken iti napalabas, 
HAG.2.19	Addan aya bin-i iti agamang? awan, ti uvas, ken ti higos, ken ti granada, ken ti olivo dida nagbunga; manipud itoy nga aldaw bendicionancayto.
HAG.2.20	Ket ti sao ni Jehova immay iti maicadua a daras ken ni Haggeo idi maicaduapulo ket uppat 
HAG.2.21	Isaom ken ni Zorobabel, a gobernador ti Juda, a cunaem, 
HAG.2.22	Ket 
HAG.2.23	Iti daydiay nga aldaw, cuna ni Jehova dagiti buybuyot, alaencanto, O Zorobabel, nga adipenco, nga anac ni Sealtiel, cuna ni Jehova, 
ZEC.1.2	Ni Jehova naglucsao unay idi cadagidi ammayo.
ZEC.1.3	Gapuna cunaem cadacuada, Castoy ti cuna ni Jehova dagiti buybuyot: 
ZEC.1.5	Dagiti ammayo, sadino aya ti yanda? ket dagiti mammadto, agbiagda aya nga agnanayon?
ZEC.1.7	Iti maicaduapulo ket uppat nga aldaw ti maicapulo ket maysa a bulan, nga isu ti bulan ti Sebat, iti maicadua a tawen ni Dario, immay ti sao ni Jehova ken Zacarias a mammadto nga anac ni Berekias, nga anac ni Iddo, a kinunana,
ZEC.1.8	Siac kimmitaac iti rabii, ket, adtoy, ti 
ZEC.1.9	Idin kinunac, O apoc, aniada dagitoy? Ket 
ZEC.1.10	Ket ti lalaki a sitatacder iti tengnga dagiti caycayo nga arrayan simmungbat ket kinunana, Dagitoy isuda dagiti imbaon ni Jehova tapno magnada nga agsursur iti nagtengngaan ti lubong.
ZEC.1.11	Ket isuda simmungbatda iti angel ni Jehova nga agtatacder iti nagtengngaan dagiti caycayo nga arrayan, ket kinunada, Dacami sinursurmi ti nagtengngaan ti lubong, ket, adtoy, a ti amin a lubong adda a sitatalna ken siinana,
ZEC.1.12	Idin ti angel ni Jehova simmungbat ket kinunana, O Jehova dagiti buybuyot, 
ZEC.1.13	Ket ni Jehova simmungbat idi iti angel a nakisarita caniac babaen 
ZEC.1.14	Iti casta ti angel a nakisarita caniac kinunana caniac, Agpuccawca ala, a cunam, Castoy ti cuna ni Jehova dagiti buybuyot: 
ZEC.1.15	Ket malucsaoac unay cadagiti nasnacion nga addada a sinanamay; ta 
ZEC.1.16	Gapuna castoy ti cuna ni Jehova; Nagsubliac a mangngaasi iti Jerusalem; ti 
ZEC.1.17	Agpuccawca manen, a cunaem, Castoy ti cuna ni Jehova dagiti buybuyot: Dagiti il-ilic aglaplapunusandanto manen iti kinarang-ay, 
ZEC.1.18	Ket intangadco dagiti matac, ket kimmitaac, ket, adtoy, dagiti 
ZEC.1.19	Ket kinunac iti 
ZEC.1.20	Ket ni Jehova imparangna caniac dagiti uppat a mammanday.
ZEC.1.21	Idin kinunac, Ania ti umay aramiden dagitoy? Ket isu nagsao, a cunana, Dagitoy isuda dagiti sara a nangiwara ken Juda, iti casta awan ti tao a nangitungangaw iti olona; ngem dagitoy umayda tapno mangigtot cadacuada ken mangipadso cadagiti sara dagiti nasnacion, a 
ZEC.2.1	Ket siac intangadco dagiti matac, ket kimmitaac, ket, adtoy, ti 
ZEC.2.2	Idin kinunac, Sadino aya ti papanam? Ket isu kinunana caniac, Innac 
ZEC.2.3	Ket, adtoy, 
ZEC.2.4	Ket kinunana kencuana, Agtarayca, agsaoca itoy agtutubo a lalaki, a cunaem, Ti Jerusalem mapagnaedanto a cas la cadagiti purpuroc nga 
ZEC.2.5	Ta siac, cuna ni Jehova, siacto kencuana ti maysa a bacud nga apuy iti aglicmut, 
ZEC.2.6	O, O, 
ZEC.2.7	O Sion, agtalawca, sica a makitaeng iti anac a babai ti Babilonia.
ZEC.2.8	Ta castoy ti cuna ni Jehova dagiti buybuyot: Maipaay iti dayag isu imbaonnac cadagiti nasnacion a nagsamsam kenca; 
ZEC.2.9	Ta, adtoy, 
ZEC.2.11	Ket adu a nasnacion 
ZEC.2.12	Ket ni Jehova tawidennanto ti Juda a cas apagna iti daga a nasantoan, 
ZEC.2.13	Agulimeccayo, amin a lasag, iti 
ZEC.3.1	Ket isu imparangna caniac ni 
ZEC.3.2	Ket ni Jehova kinunana ken Satan, Ni Jehova babalawennaca coma O Satan; wen, ni Jehova a nangpili iti Jerusalem babalawennaca coma; saan nga isu daytoy aya ti 
ZEC.3.3	Ket ni Josue adda idi a sicacawes cadagiti 
ZEC.3.4	Ket isu simmungbat ket nagsao cadagiti sitatacder iti sangona, a cunana, 
ZEC.3.5	Ket kinunac, Isaadda coma ti nadalus a 
ZEC.3.6	Ket ti angel ni Jehova impatalgedna ken Josue, a cunana,
ZEC.3.7	Castoy ti cuna ni Jehova dagiti buybuyot: No sica magnacanto cadagiti daldalanco, ken 
ZEC.3.8	Timudem ita, O Josue a cangatoan a padi, sica ken dagiti caduam nga agtutugaw iti sangom; ta isuda dagiti lallaki a maipaay a 
ZEC.3.9	Ta, adtoy, ti bato nga incabilco iti sango ni 
ZEC.3.10	Iti daydiay nga aldaw, 
ZEC.4.1	Ket 
ZEC.4.2	Ket isu kinunana caniac, Ania ti makitam? Ket kinunac, Nakitac, ket adtoy, ti 
ZEC.4.3	Ken dua a cayo ti olivo iti dennana, maysa iti akincanawan a sikigan ti liccocong, ket ti sabali iti akincatigid a sikiganna.
ZEC.4.4	Ket siac simmungbatac ket nagsaoac iti angel a nakisarita caniac, a kinunac, Aniada dagitoy, apoc?
ZEC.4.5	Idin ti angel a nakisarita caniac simmungbat ket kinunana caniac, Saanmo nga ammo aya no aniada dagitoy? Ket kinunac, Saan, apoc.
ZEC.4.6	Idi casta isu simmungbat ket nagsao caniac, a kinunana, Daytoy ti sao ni Jehova ken Zorobabel, a cunana, Saan a maipuon iti 
ZEC.4.7	Siasinoca, 
ZEC.4.8	Immay manen caniac ti sao ni Jehova, a kinunana,
ZEC.4.9	Dagiti im-ima ni Zorobabel insaadda ti pamuon daytoy a balay; dagiti im-imana met laeng ti mangleppasto kencuana; ket sica mabigbigmonto a ni Jehova dagiti buybuyot imbaonnac cadacayo.
ZEC.4.10	Ta siasino ti nanglais iti aldaw 
ZEC.4.11	Idin simmungbatac, ket kinunac kencuana, Aniada dagitoy dua a cayo ti olivo iti canawan a sikigan ti candelero ken iti catigid a sikiganna.
ZEC.4.12	Ket simmungbatac iti maicadua a daras, ket kinunac kencuana, Aniada dagitoy dua a sanga ti cayo ti olivo, nga addada iti denna dagiti dua a tubo a balitoc, nga ibuyatda ti nabalitocan a lana a naggapu cadacuada met laeng?
ZEC.4.13	Ket isu simmungbat caniac ket kinunana, Saanmo nga ammo aya no aniada dagitoy? Ket kinunac, Saan, apoc.
ZEC.4.14	Idin isu kinunana, 
ZEC.5.1	Idin intangadco manen dagiti matac, ket nakitac, ket, adtoy, ti 
ZEC.5.2	Ket isu kinunana caniac, Ania ti makitam? Ket simmungbatac, Makitac ti sangcalucot a pagbasaan nga agtaytayab; ti caatiddugna duapulo a sico, ket ti caacabana sangapulo a sico.
ZEC.5.3	Idin isu kinunana caniac, Daytoy ti 
ZEC.5.4	Siac baonecto, cuna ni Jehova dagiti buybuyot, ket isu sumrecto iti balay ti mannanacaw, ken iti balay daydiay nga agsapata a siuulbod a gapu iti naganco; ket 
ZEC.5.5	Idin 
ZEC.5.6	Ket siac kinunac, Ania daytoy? Ket kinunana, Daytoy ti 
ZEC.5.7	(Ket, adtoy, naingato ti maysa a talento a buli); ket daytoy ti maysa a babai a situtugaw iti nagtengngaan ti efa.
ZEC.5.8	Ket isu kinunana, Daytoy ti Kinadakes: ket isu impalladawna iti nagtengngaan ti efa; ket imbatona ti panimbeng a buli iti ngarabna.
ZEC.5.9	Idin intangadco dagiti matac, ket nakitac, ket, adtoy, dua a babbai rimmuarda, ket ti angin adda idi cadagiti payacda: ket addaanda paypayac a cas la cadagiti payac ti cannaway; ket isuda inngatoda ti efa iti nagtangatangan ti langit ken daga.
ZEC.5.10	Idin kinunac iti angel a nakisarita caniac, Sadino ti pangipanan dagitoy iti efa?
ZEC.5.11	Ket isu kinunana caniac, 
ZEC.6.1	Ket intangadco manen dagiti matac, ket nakitac, ket, adtoy, rimmuar dagiti uppat a lugan a naggapuda iti baet dagiti dua a bantay; ket daydiay a bantay gambangda.
ZEC.6.2	Iti daydi umuna a lugan addada idi dagiti nalabaga a 
ZEC.6.3	Ket iti maicatlo a lugan dagiti puraw a cabayo; ket iti maicapat a lugan dagiti napigsa a cabayo a moro.
