LUK.1.1	O danah naŕi Tiofilus, danah kuŕum la os ag tatam keŕ keŕ ig gamnigwa beko atan qeri né ene yeg. 
LUK.11.6	Keŕdi da lial os weiko uŕiko loulwa dué. Gam da ke nug morakri ole kawa.’ 
LUK.11.7	Géri danah lo owa ge andig, ‘Na da aw kekuak miŕwen. Ihŕam iŕil maném, am da nir dahlar ole niak awenwa nitu. Da asko keke mirakri olele kawa.’ 
LUK.11.8	Da ag anarina. Nug lia qeri nug asko keke ospi morew. Gam nug pi faŕak koŕmurdig qeri nug asko keke qe murdig. 
LUK.11.9	Qeri da ag amlagwa anina. Ag koŕmeweg, Tiwur ag mardig. Mariweg ge, nug ismardig. Ag ihŕam qouqou orweg, nug ihŕam matuldig. 
LUK.11.10	Qeri oun os Tiwur koŕmurdig ge, nug urig. Oun os maririg ge, nug ismurew perig. Am oun os ihŕam qouqou orew ge, nug ihŕam matulko murdig. 
LUK.11.11	Oun os nug nir memeg ge, nir kaké murdigri koŕmew ge, mat nou os murdig te? 
LUK.11.12	Am maru owah murdigri koŕmew ge, kappiép os oko murdig te? 
LUK.11.13	Qeri hipunin danah ag ole nir keke kena marlagri qe dueksi koutursi. Am Mem saw kappari danah are koŕmési ge meŕenah Koulli Gun mew uŕirig,” eko anan.
LUK.11.14	Deŕ os Yesus danah os koŕe kunum féŕuwa koulli nou qe sew koŕe kunum daré qe geŕdan. Geŕdew atew ge, danah qe né buliko mariew danahas peksi dorlag nan. 
LUK.11.15	Gam olagwa danah os ge aneg, “Nug koulli nou dilag kuri Belsebulri
LUK.11.16	Am olagwa danah la os Yesus mirakel os sérigri koŕmoreg. Keŕdi ag nug meŕenah Tiwur dowari te uŕiyan qe pelagri koŕmoreg. 
LUK.11.17	Gam Yesus nug asilag dahmak qe doko ge, amlagwa anan. “Danah kaw usihwari ag kopatweg aŕit patew fan selag ge, geisah kaw qe paral mérig. Am danah os ag ateŕ usihwari ag kopatweg aŕit patew fan selag ge, geisah ateŕ qe kawa mérig. 
LUK.11.18	Am Satan leigur ole kopatweg aŕit patew fan selag ge, gagragsak nusig kawa mew ag paral melag. Ag ansi ge da Belsebulri gagragsakwa koulli nou geŕarina, qeri da ere anina. 
LUK.11.19	Da Belsebulri gagragsakwa koulli nou geŕarwi pe, asilgar danah ge oundi gagragsakwa koulli nou geŕarsi? Qeri asilgar danah ih qewa ismigsi ge ag darmési. 
LUK.11.20	Gam da meŕe Tiwurdi gagragsakwa koulli nou geŕarwi pe, Tiwur danahas nusgur gamlagwa king delle gumardigri agrowa uŕiyan.” 
LUK.11.21	Am Yesus né tonak os anaran. “Danah os gagragsak ole nug fan sakri keke bawarko loug kaŕiah wite ge, keke nusig kunum kena dasi. 
LUK.11.22	Gam danah gagragnah os beko fan seko éŕurko ge, fan sakri keke kunum gagrag qore qe urig. Am nug keke kunum urig qe danah la agop panirig. 
LUK.11.23	Oun nug da lial kawa ge, nug dasil kegeŕ. Oun nug da pi kéhniŕew sipsip qaglarŕu ge, nug sipsip lamarew pihŕaursi,” eko anaran.
LUK.11.24	Yesus anaran, “Sén koulli nou danah os féŕuwari géŕurweg doko atko ge, atu meiŕakwa sik oko darigri awen mariko weiye. Am nug awen os pi peko ge, ane. ‘Da lo minko uŕiyin qewa buliko attil,’ eko ane. 
LUK.11.25	Géri nug buliko atko danah qe owa lo qe kinkak ekaŕko bawarko koutorak pe. 
LUK.11.26	Peko ge, nug atko am koulli nou la nug eŕdak nounah 7 qere diarew uŕiyeksi qewa dasi. Géri danah qe tatam dian qe éŕurko ole nounah me,” eko anan. 
LUK.11.27	Yesus né qe anewew, as os danahas ameg naŕi qe olagwa uŕuko anoran, “As na mémnirko ouma mirelle begran ole qe nug o gamag ase.” 
LUK.11.28	Gam Yesus anan, “Danah areg Tiwurdi né dueksi dimlamursi ge, ag olag gamag asak naŕiwa dalag,” eko anan.
LUK.11.29	Sén danahas kuŕum qaglessi omorweg ge, Yesus anaran, “Danahas geiri ag olagwa sak nouninah ambak. Ag da mirakel séwi pelagri koŕmési. Gam da mirakel usih ospi séwi peweg. Ag profet Yona féŕuwa kowol nian qe sillah ih pelag. 
LUK.11.30	Niniwe danahas kowol Yona dowa ban qe peksi ge, Tiwur nug mew atan qe ag dueg. Qe sillah danahas geiri ag ole Danah Bega qere peksi ge ag dolag. 
LUK.11.31	Dimba Tiwurdi uhŕibak deŕwa kenariwari kuin sirko danahas geiri ole aseksi dessi asilag sak nou qe ambo marko ismarew pelag. Keŕdi kuin qe wan atko patakwari Solomonri duak kena qe dorigri uŕiyan. Gam ag olagwa danah os Solomon eŕdak ge ewa de, am ag nusig né duak minsi. 
LUK.11.32	Sén Tiwurdi uhŕibak deŕwa Niniwe danahas sireksi geiri danahas ole aseksi dessi geiri danahas dilag sak nou qe ambo melag. Keŕdi ag Yona né kuswew olag bulian. Gam gei ge danah os Yona eŕdak ge ewa de, am ag olag buliak minsi,” eko anaran.
LUK.11.33	Yesus anan, “Danah os lam kamutko pi lariew, am wawa pi tone. Kawa, nug karan eisew nie. Géri danah lo owa nuksi ge, lam aŕe qe pesi. 
LUK.11.34	Na amen ge na féŕundi lam sillah. Na amen kena dew ge, féŕun kunum ole kamsahlakwa darig. Gam na amen nou ge, féŕun kunum ole gattuwa darig. 
LUK.11.35	Qeri kamsahlak otwa de qe gattu tonewri na dahmeka koutor. 
LUK.11.36	Qeri na féŕun kunum kamsahlakwa darig am gattu nagur ospi féŕunwa darig ole ge, féŕun kunum kamsahlelle darig. Lam aŕko atko féŕunwa kamsahle qe sillah,” eko anan.
LUK.11.37	Yesus né mariko malwew ge, Farisi os nug lougwa atew ke lelasri anoran. Géri Yesus nug lougwa atko ninaqiŕko dian. 
LUK.11.38	Farisi qe Yesus eweg tatam pi isak ke lew peko ge, nug dorog nan. 
LUK.11.39	Géri Naŕinah anan, “Farisi, ag asilag kap am plet ole dimdim ih issi, gam ag olagwa ge ameg qak am kowol nounah ole ambak. 
LUK.11.40	Ag né tapewnak danah! Tiwur féŕnig ih te kawian? Am onig owa ole pi te san? 
LUK.11.41	Gam asilag kap am plet ole owa keŕ keŕ dassi qe o duak danah kehnaressi mares. Ag qere selag ge, Tiwur amegwa ag olag isak perig. 
LUK.11.42	Gam Farisi ag dahmes! Ag kug os pelag. Keŕdi ag danahas agop sak mangu ospi sési am Tiwurdi olag pi mouse. Ag qané, lombu am darari kes kowol kowol ge watiweg ameg 10 qere new ameg usih qe Tiwur mursi. Gam ag qere séssi am ole Tiwurdi olag mousewew am danahas agop sak mangu ses. 
LUK.11.43	Farisi ag dahmes! Ag kug os pelag. Keŕdi ag binag mak lowa danah wenlag ole dilag diak awen qewa ih dalagri séssi am ag qaglak awenwa felqareppeg ih weilagri olag naŕi de. 
LUK.11.44	Ag dahmes! Ag kug os pelag. Keŕdi ag matmat bala pi kehak qe sillah, danahas pi duak qaŕewa tapeksi weisi,” eko anaran. 
LUK.11.45	Ŕo duak danah os anan, “Duak marak danah, na Farisi dilag né anna qe, na sewe ig ole uŕnig ne.” 
LUK.11.46	Qeri Yesus né noh meko anan, “Ŕo duak danah, ag ole dahmes! Ag kug os pelag. Ag Ŕo kug ole danahas qaŕlagwa mési, géri ag mawakri kug aqare. Gam ag mawakri kehnareksi ewlag ospi marsi. 
LUK.11.47	Ag dahmes! Ag kug os pelag. Keŕdi ag alalgar profet qe aqareg am ag profet dilag matmatwa bala kehareksi bawarsi. 
LUK.11.48	Kowol asilag qewa danah ismarsi ge, ag alalgar algu profet aqareg qe kowol kena seg essi ag matmatwa bala keharsi. 
LUK.11.49	Qeri Tiwurdi duak kena qewa nug iŕil anan, ‘Da profet
LUK.11.50	Qeri kug algu wan digumakwa profet aqareppeg uŕiyew gei patak qe noh danahas geiri ag olag. 
LUK.11.51	Algu Abel qakwari uŕiyew pris Sakaraia ge Tiwurdi doŕ manko morakri qaŕéw mourak am Tiwur Loug gamagwa ole qeg. Da meŕe anarina. Kug qe kunum noh qe danahas geiri ag olag. 
LUK.11.52	Ŕo duak danah, ag dahmes! Ag kug os pelag. Keŕdi ag danahas Tiwur dowegri dagareg. Am ag agégé Tiwur duak mineksi ge danahas Tiwur dolagri seppeg ag dagareg,” eko anaran. 
LUK.11.53	Sén Yesus lo qe minko attig sew ge, Farisi am Ŕo duak danah ole uhŕilag bew, kegeŕ moreksi diguméksi gurgur koŕmoreg. 
LUK.11.54	Ag Yesus né nouni os anew dueksi oŕalagri kaŕéordéw.
LUK.12.1	Sén qewa ih danahas kuŕumnah 1,000 eŕdak ag Yesus pelagri qagleksi agégé nug tapeksi seppeg, Yesus bégur dilag tatam anan. “Ag Farisi danah dilag yis
LUK.12.2	Ag keŕ keŕ larieksi tonak nie ge Tiwur sew ambo melag. Am keŕ lariakwa sési qe ole sew kunum pelag am dolag. 
LUK.12.3	Qeri keŕ ag gattuwa lugmeksi agé marilag ge, dimba kémunwa danahas kunum dolag. Am keŕ kutiptip kurugwa marisi ge, dimba tamniakwa mariew kunum dolag.”
LUK.12.4	“Da leilar, ag anarina. Ag danah feŕlag qelag seweg qeri aw faŕarweg. Keŕdi ag dimba kité la os pi seweg. 
LUK.12.5	Gam da ag oun faŕurlagri qe anwi dolag. Ag Tiwur ih faŕdes. Nug ge koulli kaŕwarew mouslagri am ole dimba touŕarew kew pi qouse olewa nolagri gagragsak ole. Meŕenah, da buliko anarina, ag Tiwur ih faŕdes. 
LUK.12.6	Ag dossi, danah ag é reis anig tanig ole qarég nagurnah usihwa irar mési. Gam Tiwur nug reis anig usih ospi doug katie. 
LUK.12.7	Am meŕenah Tiwur ag kurlag uŕug kunum ge gane qe nug due. Qeri ag aw faŕweg. Am nug asilag o nie ge, é nounou kuŕum dilag dahme qe eŕdak.”
LUK.12.8	“Da ag anarina. Oun os nug danahas amlagwa nug da dimlamŕeri andig ge, Danah Bega Da ole geisah Tiwurdi doup amlagwa nug danah dasil eko andil. 
LUK.12.9	Gam ounté os danahas amlagwa nug da dimiŕew ge, da ole geisah Tiwurdi doup amlagwa nug danah dasil kawa eko andil. 
LUK.12.10	Danah oun os pi duak Danah Begari nouni andig ge, Tiwur hipunin nusig kusuqrig. Gam oun os nug duelle Koulli Gun oko oko qurdig ge, Tiwur hipunin nusig qe ospi kusqew. 
LUK.12.11	Ag da dimlamiŕsi qeri danah os ag oŕwareksi diareksi Yuda dilag binag mak lowa am kuri danah wagé wagé am danah kuakri wittak marak ole qe nolagwa atweg ge, keŕ né am areg anlagri aw dahmak kuŕum oweg. 
LUK.12.12	Keŕdi ag keŕ éksi anlagri ge sén qewa Koulli Gun ag ismardig,” eko anan.
LUK.12.13	Danah usih os danahas ameg naŕi qe olagwa nug Yesus amegwa anan, “Duak marak danah, na da awal amegwa anwe nug keke i memnitdi ge wasaŕko dasil sillah qe miŕar.” 
LUK.12.14	Gam Yesus né qe noh meko anan, “Lal, oun da asilas ken watiko mattildi kepŕak danah toqiŕan?” 
LUK.12.15	Elle ge nug kunum amlagwa anan, “Ag dahméksi koutores! Ag keke kunumdi aw amlag qew. Danah kénih naŕi ole ge, kénih qe sew nug kena ospi dew.” 
LUK.12.16	Am Yesus nug né tonak usih os amlagwa anan, “Danah kéhu ole os dar seko ke kehew mou kuŕumnah nian. 
LUK.12.17	Qewa ge, nug nugégé dahman, ‘Da ke ene oko mew diakri awen olele kawa. Qeri da aregnah séril?’ 
LUK.12.18	Am nug anan, ‘Da ere séril. Geisah da ke makri lo kunum logŕarko am lo wagé wagé fuarko ge, ke kunum am keke dahlar kunum ole qewa mardil. 
LUK.12.19	Am da dagégé dasil ere andil, da ke am keke la kunum qe makaŕ kuŕum uŕwildigri olele qaglin. Aria, da sam delle ke lelle am ke naŕi selle gamal asakwa daril.’ 
LUK.12.20	Gam Tiwur nug amegwa anan, ‘Na né tapewnak danah! Gei tuqan ewa na mousdip. Am keke kunum bawren de ene ge geisah oun memeg mérig?’ 
LUK.12.21	Géri danah keke kuŕumnah wan ewari nugé nusig qagle ole qe dowa qere bérig, gam Tiwur nohwa ge nug keke kawa,” eko anan.
LUK.12.22	Yesus bégur dilag anan, “Qeri da ag amlagwa anina. Ag wan enewa fou diakri aw dahmak kuŕum oweg. Ag ke lessi fou dalagri am feŕlag balari ole dahmak kuŕum aw oweg. 
LUK.12.23	Ag fou dasi qe ke eŕdak am ag feŕlag qe feŕlagri bala qe eŕdak. 
LUK.12.24	Ag kalog dilag dahmes. Ag ke pi kéhsi am ke uksi qagleksi louw pi mési, gam Tiwur ke mare. Tiwur é dahmare qe eŕdak ge ag dahmare. 
LUK.12.25	Ounté os olagwa dahmak kuŕum ow fou darigri sén deŕ usih yako terigri olele té? 
LUK.12.26	Géri ag keke nagur usih os sakri olele kawa ge, keŕdi ag dahmak kuŕumnah keke lari usi? 
LUK.12.27	Ag bala areg besi qe dahmores. Ag teret pi sési am lamen asilag pi sési. Gam da anarina. Bala qe asilag amnak ge king Solomon féŕu bala kenanah qe eŕdak. 
LUK.12.28	Gisgaŕ nug gei de am keŕew ih danah kotaŕko kewba touŕew aŕdig. Gisgaŕ sam qe Tiwur nug bala mare. Qeri Tiwur ag gumardig qe gisgaŕ gumare eŕdak gumardig. Ag danahas olag meŕe mak kutuk ole! 
LUK.12.29	Qeri ag keŕ ke am le ole lelagri aw dahmak kuŕum oweg. 
LUK.12.30	Wan ewa danah Tiwur pi dosi ole ag keke qeri marieksi sik aqare. Gam ag ge, Memlag Tiwur ag keke qeri olag nie qe nug iŕil doko malwe. 
LUK.12.31	Qeri ag Tiwurdi Kingdom meweg anqew dimlamurweg ge, nug keke qe ole mardig.”
LUK.12.32	“Ag da beglar kuŕum kawa, gam ag aw faŕweg. Ag Memlag Tiwur nug o gamag asakwa Kingdom nusig mardig. 
LUK.12.33	Ag keke asilgar daren marweg qarég uksi o duak danah mares. Qe ge saw kappa keke kena asilag qe qaglak darig. Am qarég yanakri sogot saw kappari ge oŕe ole kawa. Asilag keke kena qe ospi kawa mew qe darig, yawsen danah ospi yawsen oweg am diruŕ ospi seweg nou mew. 
LUK.12.34	Asilag keke kenanah arewa de qewa ih ag olag am dahmak asilag kunum ole qewa darig,” eko anan.
LUK.12.35	Yesus anaran, “Ag lamen asilag kutuk mappieksi tageksi am lam kamutweg aŕewew bawressi des. 
LUK.12.36	Ag kuak nir dilag danah naŕi danah as wakri mallenwa uŕirigri ameg méksi dasi qe sillah bawressi des. Géri sén nug uŕiko ihŕam qouqou orew ge, usihri ihŕam nusig matleksi morlag. 
LUK.12.37	Kekuak nir are ag danah naŕi asilag uŕirigri bawreksi us aw niweg ameg méksi deppeg buliko uŕiko piarew ge, ag olag gamag asdig. Da meŕe anarina. Nug nugégé lamen tagko sew ag daweg ke bawarko mardig. 
LUK.12.38	Nug tuqan tugamag té kuagaŕdigri maru gelleppeg té uŕiko kuak nir ameg méksi deppeg piarew ge, ag olag gamag asdig. 
LUK.12.39	Am ag né dasil oŕwes: Lo memeg os yawsen danah nug lougwa uŕirigri sén qe iŕil duewew ge, yawsen danah qe loug ospi logaŕko owa now. 
LUK.12.40	Qe sillah, ag ole sansan bawressi des. Keŕdi ag Danah Bega da keŕ sénwa buliko uŕiril qe ag pi dosi,” eko anan.
LUK.12.41	Yesus né qe anko malwew ge, Pita koŕmoran. “Naŕinah, na ig amnigwa ih te né tonak ene marina, kawa danahas kunum ole amlagwa te marina?” 
LUK.12.42	Naŕinah koŕewa oko anan, “Oun ge kekuak nir kena duak kena ole qe danah naŕi nusig nug toqorew kuak nir la qe gumarelle ke marak sénwa ke wasaŕko mardig? 
LUK.12.43	Dimba danah naŕi nusig qe buliko uŕiko am kuak nir qe kekuak mangu ih sewew perig ge, kuak nir qe nug o gamag asdig. 
LUK.12.44	Meŕenah anarina, danah naŕi qe geisah sew kuak nir qe keke nusgur kunum ole gumardig. 
LUK.12.45	Gam kuak nir os ere dahmelo, ‘Danah naŕi dasil ofeŕ ospi buliko uŕiyew,’ elle nug kuak nir am kuak as la qe digumeko mouŕwarko ke naŕi seko lelle am le gagrag qe leko gar qelo. 
LUK.12.46	Danah naŕi qe deŕ kuak nir qe pi dahmurdig ole qewa am sén os nug pi dorigwa uŕiko kuak nir qere peko ge, nug kotŕew new danah olag meŕe pi me dalag awen qewa touŕew nurig. 
LUK.12.47	Kuak nir nug danah naŕi nusig keŕdi o nie qe duelle pi bawarko dimlamdew pe, danah naŕi nusig sew nouninah qelag. 
LUK.12.48	Gam kuak nir nug danah naŕi nusig keŕdi o nie qe pi duelle nouni sew pe, danah naŕi nusig naŕi pi qew. Tiwur danah are ag naŕi mare ge, ag naŕi morlag. Am danahas are ag keke naŕi gumlagri mare ge, nug ag naŕi bulieksi morlagri koŕmardig.”
LUK.12.49	“Da wan ewa kew méril uŕiyin, am da ol se ge kew qe iŕil digumeko aŕan. 
LUK.12.50	Am da le lourak oswa nuril. Qeri da kug naŕi iwŕewew atew sén qe durig. 
LUK.12.51	Ag dahmési ge diak kena te darigri wan ewa uŕiyin? Kawa. Da anarina, da danahas olagwa koptak bérigri uŕiyin. 
LUK.12.52	Gei digumak lo usihwa danahas tanig ole qe watieksi, kiam ge aŕit dilas olag usih ospi dew am aŕit ge kiam qe dilag olas usih ospi dew. 
LUK.12.53	Ag watieksi memeg nug nag ole olas usih ospi dew am nag nug memeg ole olas usih ospi dew. Anig ge aŕeg ole olas usih ospi dew am aŕeg nug anig ole olas usih ospi dew. Am anig nug aswa ole olas usih ospi dew am aswa nug anig ole olas usih ospi dew,” eko anan.
LUK.12.54	Yesus danahas kuŕum amlagwa anan, “Ag fur kem nuakwa qaglew peksi ge, ofeŕ ole ansi. ‘Gu nérigri se.’ Am qe meŕe, gu ne. 
LUK.12.55	Am sén ag ulas kenariwa yalew ge, ag ansi. ‘Geisah kem gagaŕdig.’ Am qe meŕe kem gagŕe. 
LUK.12.56	Ag darmak gaŕlagwa ih Tiwur dimlamdak danah! Ag wanwa am saw karan sén kitŕu peko anakri ge dosi koutursi. Gam keŕdi ag gei sén ewa keŕ keŕ beko ate qe peksi digu olag ospi moure? 
LUK.12.57	Keŕdi ag agégé kowol mangu ih sakri ospi kepŕeksi dimlamursi? 
LUK.12.58	Na danah os na kitéri yagoŕ mirew pe, kugri né kepŕak lowa pi wanak ih umuwa né qe bawreksa olas usih melasri mena pe. Kawa ge, nug na kepŕak danah dowa wirko wanew ŕo danah ewlagwa meirew kalabuswa yanirlag. 
LUK.12.59	Da na anirina. Na kug noh qarég makri anak qe kunum mewe atew am nagurnah ospi meka malarip ge, na kalabuswari dimdim ospi dowen,” eko anan.
LUK.13.1	Danah os Yesus ole sén qewa dessi Yesus anoreg. Galili danah os doŕ manko Tiwur morak qe seppeg, Pailot anew aqarweg mousweg karlag noko doŕ karag qe ole kawlian. 
LUK.13.2	Yesus anan, “Ag dosi ge, Galili danah mouseg ole qe hipunin asilag ge Galili danah la kunum dilag hipunin qe eŕdak nouninah, qeri te ag kug qe og? 
LUK.13.3	Kawa! Da ag anarina, ag olag pi buliew pe, ag ole qere ih paral melag. 
LUK.13.4	Am danah 18 qere Siloam lo welah naŕi karan uwa qiko aqarew mouseg qe, ag dosi ge, ag qe Yerusalem danahas la eŕareksi hipunin nouninah te seg? 
LUK.13.5	Kawanah! Da anarina, ag olag buliar. Kawa ge, ag ole qere ih paral melag,” eko anan.
LUK.13.6	Am Yesus né tonak ene amlagwa marian. “Danah os wain dar nusig owa guŕaw ker os kehew dian. Géri dimba ge, guŕaw qe mou niew perigri atan, gam mou usihnah ospi niew pian. 
LUK.13.7	Géri nug dar gumak danah nusig qe anoran, ‘Da makaŕ kiam qere guŕaw ene mou niew perildi sén kuŕum uŕirém, gam mou usih ospi niew pégin. Qeri na kowe qiar. Keŕdi nug awen oko delle wan kirag pi malwew.’ 
LUK.13.8	Gam dar gumak danah qe koŕewa oko anan, ‘Danah naŕi, minwe makaŕ usih la os ole dew. Am da diguwa wan kapatko mol morelle am kinkak ole diguwa méril. 
LUK.13.9	Makaŕ os uwa mou niew pe, qe kena. Gam mou ospi niew pe, kuwi qirig,’ ” eko anan.
LUK.13.10	Sabat deŕwa Yesus Yuda dilag binag mak lowa danahas Tiwurdi Néri duak maran. 
LUK.13.11	Am as os qewa dian ge koulli nou sew nug makaŕ 18 qere gumi tupiak, géri nug gumi mangu morakri olele kawa daré. 
LUK.13.12	Sén Yesus as qe peko ge, uŕwurew dow anoran, “As, da waŕe nasip séwi pasaoré.” 
LUK.13.13	Yesus qere anelle eweg as qe gumiwa mew, usihri asko mangu delle Tiwur binag suman. 
LUK.13.14	Yesus Sabatwa as qe sew kena man, qeri kuri danah Yuda dilag binag mak lori qe Yesusri uhŕibew danahas dilag anan, “Ag kekuak deŕ la qewa ge uŕiyeksi anweg waŕe asilag sew pasaorar, gam Sabat deŕwa uŕiyeksi ge ag aw anweg waŕe asilag sew pasaorew,” eko anan. 
LUK.13.15	Géri Naŕinah kuri danah qe anoran, “Ag darmak gaŕlagwa ih Tiwur dimlamdak danah! Ag Sabat deŕwa makau am donki ole asilgar le marlagri pi te kusqareksi diareksi atsi? 
LUK.13.16	Qeri as Abraham fuŕuh ene Satan waŕewa dagorew makaŕ 18 qere dian. Nug Sabatwa kusqak murdil ge nouni te?” 
LUK.13.17	Sén Yesus qere anew ge, danah nug kegeŕ moreg qe ag uŕlag nan. Gam danahas ge nug kuak kunum kenanah san qeri olag gamag asan.
LUK.13.18	Géri Yesus anaran, “Tiwurdi Kingdom ge kité sillah? Da qe kité sillah eko andil? 
LUK.13.19	Qe ker os wénih mastet ég sillah qe danah os oko dar nusigwa kehan. Ker qe beko naŕi mew ewegwa é kuŕum uŕiyeksi sik uksi dasi,” eko anan. 
LUK.13.20	Am nug buliko anaran, “Da Tiwurdi Kingdom ge kité sillahnah eko andil? 
LUK.13.21	Qe yis sillah. As os yis oko palawa naŕiwa gogrew now kawlian. Yis qe sew palawa titiŕko naŕi me qe sillah,” eko anan.
LUK.13.22	Yesus Yerusalem attigri atelle taun am kaw eŕaran ole qe danahas doulag patelle atan. 
LUK.13.23	Danah os koŕmoran, “Naŕinah, danah usih usih te foumak uksi sansan dalag?” Qere anew ge, Yesus anaran. 
LUK.13.24	“Ag ihŕam nagur qewa nolagri gagrag mes. Da anarina, danahas kuŕum ihŕam qewa nolagri selag, gam ospi noweg.
LUK.13.25	Sén lo memeg asko ihŕam manew ge, ag dimdim aseksi dessi ihŕam qouqou oressi anlag, ‘Danah naŕi, ihŕam matulwe ig ole not,’ éksi anlag. Gam nug koŕlagwa oko andig, ‘Da ag pi duarina am ag arewari uŕiyéw.’ 
LUK.13.26	Qere anew ge, ag anlag, ‘Ig na ole ke am le ole let am na ig kawnigwa dounig paten ole qe,’ éksi anlag. 
LUK.13.27	Gam nug koŕlagwa oko andig, ‘Da ag pi duarina am ag arewari uŕiyéw. Ag kunum kowol nou sak danah, ag uwa wanes! 
LUK.13.28	Sén qewa ge Abraham, Aisak, Yakop am profet kunum saw kappa deppeg piarlag. Gam ag ge minarak dimdim dessi, qeri olag nou mew kuanessi élag gaŕmessi dalag. 
LUK.13.29	Geisah danahas kem bakwari, kem nuakwari, kenariwari am nanettiwari am wan atu kunumbari ole uŕiyeksi awen asilag uksi saw kappa mallen naŕi qewa dalag. 
LUK.13.30	Meŕenah, danahas gei ag wenlag kawa dasi ge Tiwurdi Kingdom owa ag wenlag ole dalag. Am danahas gei ag wenlag ole dasi ge ag wenlag kawa dalag,’ ” eko anan.
LUK.13.31	Sén qewa ih Farisi os duksi Yesusri aneg, “Na awen ene minka awen oswa eit, keŕdi king Herod Antipas na iwirdigri se.” 
LUK.13.32	Géri nug koŕlagwa oko anan, “Ag ateksi qé déguŕ qe ere anores, ‘Da gei keŕew ole am atak ge danahas feŕlagwa koulli nou geŕardil am waŕe danah séwi waŕe pasaorlag. Am sén dasil uŕiyew ge kekuak dasil malaril.’ 
LUK.13.33	Areg darig ge da gei, keŕew, am éŕul attil. Keŕdi Tiwurdi profet ge Yerusalem ih aqarweg moussi! 
LUK.13.34	O Yerusalem, Yerusalem! Ag ih Tiwurdi profet agrowa uŕiyeg ge, qar touŕeg am aqarweg mouseg. Sén kuŕum da maru anig nagur sougwa qaglarko tonare qe sillah, nir asilgar qaglardil sein, gam ag mineg. 
LUK.13.35	Ag qere dues! Gei Tiwur ag minarko loulag dimurdig. Da ag amlagwa anina. Ag da bulieksi ospi peiŕweg atew sén uŕiyew ag ere anlag, ‘Ig Naŕinah Tiwur wénihwa Danah uŕirig qe binag ménig,’ éksi anlag,” eko Yesus anan.
LUK.14.1	Sabat deŕ oswa Yesus Farisi dilag naŕi os lougwa ke lakri atan. Atew ag nug kaŕéoreksi koutoreg. 
LUK.14.2	Qewa ge, nug nohwa aminko danah os waŕe féŕu titŕarak ole qe dewew pian. 
LUK.14.3	Yesus Farisi am Ŕo duak danah ole koŕmaran. “Sabatwa waŕe danah sew kena mak ge Ŕo dimlamdak te?” 
LUK.14.4	Gam ag né kawa deg. Géri Yesus danah qe oŕako sew kena mew ge anorew atan. 
LUK.14.5	Atewew ge, Yesus koŕmaran, “Ag eneri olagwa usih os nag te kawa makau nusig te os Sabat deŕwa moŕ oŕewa tolako now pe, ag ofeŕ pi te béŕuweg bew?” 
LUK.14.6	Am ag né ospi aneg.
LUK.14.7	Sén Yesus danah mallenwa ke lakri uŕieg qe danah wenlag ole dilag awen qewa dalagri seweg peko ge, né tonak ene anaran. 
LUK.14.8	“Sén danah os ag nug wakri mallenwa atakri anew ateksi ge, ag danah wenlag ole dilag awen qewa aw daweg. Keŕdi danah os wénih naŕi ole na eŕdak uŕwurweg uŕirig ge na pi dona. 
LUK.14.9	Qere dew ge, mallen memeg a aŕié uŕwattig ole qe doko anirdig. ‘Na danah ene awen mor,’ eko anew uŕan newew atka danah wenlag kawa dasiwa darip. 
LUK.14.10	Gam sén na anew atka ge, awen danah wenlag kawa dasi qewa deppe, mallen memeg doko anirdig, ‘Lal, na aska atka awen kena danah wenlag ole dasiwa da,’ eko anirdig. Qe ge danah mallen qewa uŕilag ole leipar qe nolagwa na wénim sumdig. 
LUK.14.11	Danah oun os nug nugégé wénih sumdig ge, Tiwur danah qe wénih qew nérig. Am danah oun os nug nugégé wénih pi sumdig ge, Tiwur nug wénih karan sumdig.” 
LUK.14.12	Géri Yesus mallen memeg qe amegwa anan, “Sén na ke naŕi os seka ge, na leipar, awnar kampar ole, nasipwari am leipar kehlag ole na mourirak dasi qe aw uŕwarwen. Na qere sérip ge, ag ke séksi noh méksi na uŕwirlag. 
LUK.14.13	Gam na ke naŕi seka ge, o duak danah, danah ewlag félag nou ole am amlag gaŕu ole qe uŕwarwe ates. 
LUK.14.14	Qere sérip ge, ag noh makri olele kawa. Gam sén danahas mangunah ag Tiwur nohwa sirlag ge, Tiwur na noh mirko wittak mirdig,” eko anan.
LUK.14.15	Danah os ke lelle Yesusri né qe doko ge anan, “Danah os mallen naŕi Tiwurdi kingdom owa ke lérig ge, nug Tiwur wittak kena morew o gamag asdig.” 
LUK.14.16	Yesus né qe noh meko anan, “Danah os mallen naŕi oŕwelle danah kuŕum uŕwaran. 
LUK.14.17	Sén keke kunum bawarko malako ge kekuak nir anew atko danah uŕwaran qe anaran, ‘Keke kunum bawrakra doweg atet,’ eko anaran. 
LUK.14.18	Danah uŕwaran ole qe kunum ole ag kekuak la ole, géri ospi atweg éksi aneg. Danah anqak qe anan, ‘Da wan fou os daren mein, géri minwe da atko wan qe kitalko peril,’ eko anan. 
LUK.14.19	Os ge nug anan. ‘Da tuménah makau 10 qere daren marin. Géri ag areg kekolag qe seweg peril qeri da ospi attil,’ eko anan. 
LUK.14.20	Am la os ge anan, ‘Da tuménah as win, géri ospi attil,’ eko anan. 
