GEN.1.2	Na asase da hɔ hunu a ɛnni bɔbea biara, na esum wɔ ebunu no ani. Na Onyankopɔn honhom butu
JER.43.2	Hosaia ba Asaria ne Karea ba Yohanan ne mmarima ahokyerɛfoɔ no nyinaa ka kyerɛɛ Yeremia sɛ: Atorosɛm na woreka yi, AWURADE yɛn Nyankopɔn nsomaa wo sɛ ka sɛ: Monnkɔ Misraim nnkɔyɛ hɔ ahɔhoɔ! 
JER.43.3	Na Neria ba Baruk na ɔpiapia wo tia yɛn, sɛdeɛ ɛbɛyɛ na ɔde yɛn ahyɛ Kaldeafoɔ nsa, na wɔakum yɛn, na wɔatu yɛn akɔ Babel. 
JER.43.4	Na Karea ba Yohanan ne dɔm asafohene no nyinaa ne ɔman no nyinaa antie AWURADE, antena Yuda asase so. 
JER.43.5	Na Karea ba Yohanan ne dɔm asafohene no nyinaa faa Yuda nkaeɛ a wɔsane firii amanaman nyinaa a wɔpansamm wɔn kɔɔ hɔ no nyinaa baa sɛ wɔrebɛsoɛ Yudafoɔ asase soɔ, 
JER.43.6	mmarima ne mmaa ne mmɔfra ne ɔhene mmammaa ne nnipa a Ankɔbeahene Nebusaradan gyaa wɔn Safan ba Ahikam ba Gedalia nkyɛn no nyinaa ne Odiyifoɔ Yeremia ne Neria ba Baruk, 
JER.43.7	 na wɔde wɔn kɔɔ Misraim asase so, ɛfiri sɛ wɔantie AWURADE; na wɔbaa Tapanes.
JER.43.8	Ɛnna AWURADE asɛm baa Yeremia nkyɛn, Tapanes sɛ: 
JER.43.9	Tase aboɔ akɛseɛ, na fa hyehyɛ dɔteɛ mu, ntaayaa fononoo a ɛwɔ Farao fie pono ano no mu, Tapanes Yudafoɔ mmarima no anim, 
JER.43.10	 na ka kyerɛ wɔn sɛ: Sɛ asafo AWURADE, Israel Nyankopɔn, seɛ nie: Hwɛ, meresoma ama wɔakɔfa m’akoa, Babelhene Nebukadnessar, na mede n’adwa mabɛsi aboɔ yi a mede makora yi so, na watrɛ n’akatamansoɔ mu wɔ hɔ. 
JER.43.11	 Na ɔbɛba abɛbɔ Misraim asase, deɛ ɔsɛ wuo no bɛwu, na deɛ ɔsɛ dommumfa no, wɔbɛfa no dommum, na deɛ ɔsɛ afena no, afena bɛka no. 
JER.43.12	 Na mɛto Misraim anyame afie mu gya, na wahye wɔn asoa wɔn nnommum, na wafira Misraim asase, sɛdeɛ odwanhwɛfoɔ fira ne ntoma, na wafiri hɔ asomdwoeɛ mu akɔ. 
JER.43.13	Na ɔbɛbubu Bet-semes adum a ɛwɔ Misraim asase soɔ no, na ɔde ogya ahye Misraim anyame afie no.
JER.44.2	Sɛ asafo AWURADE, Israel Nyankopɔn, seɛ nie: Mo ara moahunu bɔne a mede maba Yerusalem ne Yuda nkuro nyinaa soɔ no nyinaa. Na hwɛ, ayɛ amamfo nnɛ, na obiara nni hɔ a ɔte soɔ. 
JER.44.3	Ɛfiri wɔn bɔne a wɔyɛ de huruu me boɔ no; sɛ wɔkɔ kɔhyee aduhwam de som anyame foforɔ a wɔne mo, ne mo agyanom nnim wɔn no nti. 
JER.44.4	Na mesomaa me nkoa adiyifoɔ no nyinaa maa wɔbaa mo nkyɛn, metuaa nhema mesomaa sɛ: Monnyɛ akyiwadeɛ a ɛyɛ me tane yi bi. 
JER.44.5	Nanso wɔantie, na wɔammrɛ wɔn aso ase sɛ wɔbɛsane afiri wɔn bɔne ho, na wɔrenhye aduhwam mma anyame foforɔ. 
JER.44.6	Ɛnna m’anibereɛ ne m’abufuhyeɛ hwie guiɛ, na ɛdɛree Yuda nkuro mu ne Yerusalem mmorɔno so maa no danedane asasefo ne amamfo sɛdeɛ ɛteɛ nnɛ yi. 
JER.44.7	Na afei, sɛ AWURADE asafo Nyankopɔn, Israel Nyankopɔn, seɛ nie: Adɛn nti na mo nso moyeyɛ bɔne kɛseɛ tia mo ara mo kra yi, sɛ wɔntwitwa mo mu ɔbarima ne ɔbaa, abɔfra ne akɔkoaa mfiri Yuda, na wɔannya mo nkaeɛ biara, 
JER.44.8	sɛ mode mo nsa ano nnwuma rehuru me boɔ, na moahye aduhwam ama anyame foforɔ, Misraim asase a moaba soɔ abɛyɛ hɔ ahɔhoɔ yi so, sɛdeɛ ɛbɛyɛ na mo ase bɛhyeɛ, na moayɛ nnome ne nsopa, asase so amanaman nyinaa mu? 
JER.44.9	Mo werɛ afiri mo agyanom nnebɔne, ne Yuda ahemfo nnebɔne, ne wɔn yerenom nnebɔne ne mo ara mo nnebɔne ne mo yerenom nnebɔne a wɔyɛɛ no Yuda asase soɔ ne Yerusalem mmorɔno soɔ no? 
JER.44.10	Enti na wɔmmrɛɛ wɔn ho ase de bɛsi nnɛ da yi, nanso wɔnsuro, na wɔnnante me mmara ne m’ahyɛdeɛ a mede mesisii mo ne mo agyanom anim no soɔ.
JER.44.11	Enti sɛ asafo AWURADE, Israel Nyankopɔn seɛ nie: Hwɛ, mede m’ani masa mo na asi mo bɔne, na Yuda nyinaa ase ahye. 
JER.44.12	 Na mafa Yuda nkaeɛ a wɔde wɔn ani ato so sɛ wɔbɛba Misraim asase so abɛyɛ hɔ ahɔhoɔ no mama wɔn nyinaa asa; Misraim asase so na wɔbɛtotɔ, afena ne ɛkɔm nti, wɔbɛwie sa, afiri akumaa so akɔsi ɔkɛseɛ so; afena ne ɛkɔm ano na wɔbɛwuwuo, na wɔadanedane ntankadeɛ na ahodwirideɛ ne nnome ne nsopa. 
JER.44.13	Na mɛtwe wɔn a wɔtete Misraim asase soɔ no aso, sɛdeɛ mede afena, ɛkɔm ne owuyadeɛ bɛtwee Yerusalem aso no, 
JER.44.14	na Yuda nkaeɛ a wɔakɔ Misraim, akɔyɛ hɔ ahɔhoɔ no mu biara remfiri mu, anaasɛ ɔrenka na wɔasane aba Yuda asase a wɔpɛ sɛ wɔsane kɔ hɔ no so, kɔtena hɔ no, ɛfiri sɛ obiara biara rensane mma, gye adwanefoɔ.
JER.44.16	Asɛm a woreka akyerɛ yɛn AWURADE din mu yi, yɛrentie wo, 
JER.44.17	 na mmom yɛbɛyɛ biribiara a yɛaka sɛ yɛbɛyɛ, sɛ yɛbɛhye aduhwam ama ɔsoro hemmaa no, na yɛahwie ahwiesa ama no, sɛdeɛ yɛn ne yɛn agyanom, yɛn ahemfo ne yɛn asafohene yɛeɛ, Yuda nkuro ne Yerusalem mmorɔno soɔ a aduane meemee yɛn, na yɛdii yie na yɛanhunu bɔne biara no. 
JER.44.18	Na ɛfiri berɛ a yɛgyaee ɔsoro hemmaa no aduhwamhyeɛ ne ahwiesa hwie no, nnoɔma nyinaa abɔ yɛn; ɛnna afena ne ɛkɔm awie yɛn yɛ yi. 
JER.44.19	Na mmaa no kaa sɛ, yɛhye aduhwam ma ɔsoro hemmaa na yɛhwie ahwiesa ma no a, mosusu sɛ yɛkwati yɛn kununom na yɛyɛ taterɛ de sisi hɔ ma no na yɛhwie ahwiesa no a wɔnnim anaa?
JER.44.20	Ɛnna Yeremia ka kyerɛɛ ɔman no nyinaa, mmarima ne mmaa ne nkurɔfoɔ a wɔbuaa no no nyinaa sɛ: 
JER.44.21	Aduhwam a mo ne mo agyanom, mo ahemfo ne mo mmapɔmma ne asase no so nkurɔfoɔ no hyee no Yuda nkuro mu, ne Yerusalem mmorɔno soɔ no, ɛnyɛ ɛnonom na AWURADE akae, na afɔre ahyɛne n’adwene mu. 
JER.44.22	Ɛfiri sɛ na AWURADE ntumi nsoa mo nneyɛɛ bɔne ne akyiwadeɛ a moyɛeɛ no bio, na mo asase adane amamfo ne ahodwirideɛ ne nnome a obiara ntena hɔ sɛdeɛ ɛteɛ nnɛ yi. 
JER.44.23	Ɛsiane sɛ mohyehyee aduhwam yɛɛ AWURADE bɔne, na moantie AWURADE, na moanni ne mmara ne n’ahyɛdeɛ ne n’adansesɛm no soɔ nti, na asiane bɔne yi abɛsiane mo sɛdeɛ ɛteɛ nnɛ yi.
JER.44.24	Na Yeremia ka kyerɛɛ ɔman no nyinaa ne mmaa no nyinaa sɛ: Yudafoɔ a mowɔ Misraim asase soɔ nyinaa, montie AWURADE asɛm: 
JER.44.25	 Sɛ asafo AWURADE, Israel Nyankopɔn, seɛ nie: Mo ne mo yerenom, mode mo ano ka na mode mo nsa ma no ba mu sɛ: Ma ara na yɛbɛma yɛn aboadeɛ a yɛhyɛɛ ho bɔ no, sɛ yɛbɛhye aduhwam ama ɔsoro hemmaa, na yɛahwie ahwiesa ama no. Tim ara na mobɛma mo bɔhyɛ no atim, na ma nso na mobɛma mo aboadeɛ no. 
JER.44.26	Saa nti montie AWURADE asɛm, Yudafoɔ a mote Misraim asase soɔ nyinaa: Hwɛ, maka me din kɛseɛ no ntam sɛ, AWURADE asɛm nie, wɔremmɔ me din Yudani biara anomu wɔ Misraim asase nyinaa so sɛ: Sɛ AWURADE Nyankopɔn te aseɛ yi! 
JER.44.27	Hwɛ, mewɔ wɔn ho ani, bɔne ho, na ɛnyɛ papa ho, na Yudafoɔ a wɔwɔ Misraim asase soɔ no nyinaa bɛdwerɛ afena ne ɛkɔm ano akɔsi sɛ wɔbɛwie sa. 
JER.44.28	 Na nnipa kakraa bi a wɔbɛfiri afena ano afiri no bɛsane afiri Misraim asase so aba Yuda asase so, na Yuda nkaeɛ a wɔbaa Misraim asase so bɛyɛɛ hɔ ahɔhoɔ no nyinaa bɛhunu onii ko a n’asɛm bɛgyina, me deɛ oo, wɔn deɛ oo! 
JER.44.29	Na yei bɛyɛ nsɛnkyerɛnneɛ ama mo, AWURADE asɛm nie, sɛ mɛtwe mo aso ɛha yi, na moahunu sɛ mo ho na me nsɛm no bɛba mu ayɛ mo bɔne: 
JER.44.30	 Sɛ AWURADE seɛ nie: Hwɛ, mede Misraimhene Farao Hofra merehyɛ n’atamfo ne wɔn a wɔrepɛ no aku no no nsa, sɛdeɛ mede Yudahene Sedekia mehyɛɛ Babelhene Nebukadnessar a ɔtanee no, pɛɛ no kumm no no nsa no.
JER.45.2	Sɛ AWURADE Israel Nyankopɔn ka no wo, Baruk, ho nie: 
JER.45.3	Woka sɛ: Mennue, sɛ AWURADE de awerɛhoɔ ka me yea ho. Mabrɛ ne apinisie, na mennya ahome biara. 
JER.45.4	Sei na ka kyerɛ no: Sɛ AWURADE seɛ nie: Hwɛ, deɛ mesiiɛ no, meredwiri, na deɛ meduaeɛ no, meretutu; na yei bɛba asase no nyinaa so. 
JER.45.5	 Na wo na worehwehwɛ ade kɛseɛ afa? Nhwehwɛ, na hwɛ, mede bɔne mereba honam nyinaa so, AWURADE asɛm nie, na mede wo kra bɛma wo sɛ asadeɛ, baabiara a wobɛkorɔ.
JER.46.1	AWURADE asɛm a ɛbaa Odiyifoɔ Yeremia nkyɛn, amanaman ho nie:
JER.46.3	Monsiesie nkataboɔ ne ɛkyɛm,
JER.46.3	na montu sa.
JER.46.4	Momfa apɔnkɔ nsesa nteaseɛnam ho,
JER.46.4	montenatena so, O apɔnkɔsotefoɔ,
JER.46.4	monhyɛ dadeɛ kyɛ nnyinagyina hɔ,
JER.46.4	mompɔ mpea ho,
JER.46.4	na monhyehyɛ dadeɛ nkataboɔ.
JER.46.5	Ɛnam deɛn so na mehu wɔn
JER.46.5	sɛdeɛ wɔn akoma atuo
JER.46.5	na wɔadane wɔn akyire,
JER.46.5	na wɔn nnɔmmarima no, wɔabobɔ wɔn aguo,
JER.46.5	na dwane ara na wɔredwane
JER.46.5	na wɔnhwɛ wɔn akyiri yi?
JER.46.5	Ehu wɔ afa nyinaa,
JER.46.5	AWURADE asɛm nie;
JER.46.6	ɔhoɔharefoɔ nnya adwaneyɛ,
JER.46.6	na dɔmmarima mfiri mu mfi;
JER.46.6	atifi fam, Asuo Eufrate no ho
JER.46.6	na wɔasuntisunti na wɔahwehwe aseɛ.
JER.46.7	Hwan na ɔreba sɛ Nil,
JER.46.7	na n’asorɔkyeɛ rebɔ sɛ asukɛseɛ deɛ yi?
JER.46.8	Misraim atu reba sɛ Nil,
JER.46.8	n’asorɔkyeɛ rebɔ sɛ asuo akɛseɛ deɛ,
JER.46.8	na ɛse: Mɛyiri makata asase so
JER.46.8	masɛe nkuro ne emufoɔ no.
JER.46.9	Montenatena apɔnkɔ so,
JER.46.9	na nteaseɛnam ntu yirididi
JER.46.9	na nnɔmmarima no mfiri adi,
JER.46.9	Etiopia ne Put, akyɛmkurafoɔ no
JER.46.9	ne Lidiafoɔ a wɔkura tadua pono mu no.
JER.46.10	aweretɔ da
JER.46.10	a ɔbɛtɔ n’atamfo so were.
JER.46.10	Na afena bɛdidi amee,
JER.46.10	na wɔn mogya ama no abo,
JER.46.10	na AWURADE, asafo AWURADE wɔ okum afɔdeɛ,
JER.46.10	atifi fam asase so, Asuo Eufrate ho.
JER.46.11	foro kɔ Gilead kɔgye aduro;
JER.46.11	kwa ara kwa na woma nnuro dɔɔso,
JER.46.11	ayaresa biara nni hɔ mma wo.
JER.46.12	Amanaman ate wo ahohora,
JER.46.12	na wo nteamu ayɛ asase ma tɔ,
JER.46.12	na dɔmmarima abɔ dɔmmarima so
JER.46.12	ma wɔn baanu abom ahwehwe ase.
JER.46.13	Asɛm a AWURADE ka kyerɛɛ Odiyifoɔ Yeremia, sɛ Babelhene Nebukadnessar bɛba abɛseɛ Misraim asase no.
JER.46.14	Monka no Misraim, na mompae mu nka no Migdol,
JER.46.14	na mompae mu nka no Memfis ne Tapanes hɔ.
JER.46.14	Monka sɛ: Gyina hɔ, na tim hɔ pintinn,
JER.46.14	ɛfiri sɛ afena redidi atwa wo ho ahyia.
JER.46.15	Ɛnam deɛn so na wɔapra w’akunini korɔ yi?
JER.46.15	Adɛn na wo nantwinini annyina,
JER.46.15	na AWURADE apam no?
JER.46.16	Wama pii ahwehwe ase, baako atɔ da ne yɔnko so mpo;
JER.46.16	ɛnna wɔse:
JER.46.16	Sɔre ma yɛnsane nkɔ yɛn nkurɔfoɔ nkyɛn
JER.46.16	ne yɛn awoɔ asase so
JER.46.16	mfiri afena a ɛyɛ hu no anim.
JER.46.17	Wɔteam hɔ sɛ: Misraimhene Farao asɛe;
JER.46.17	wama berɛ a ɛsɛ no atwam.
JER.46.18	Sɛ mete aseɛ yi, ɔhene a
JER.46.18	asafo AWURADE ne ne din no asɛm nie,
JER.46.18	sɛdeɛ Tabor si mmepɔ no ntam
JER.46.18	na Karmel si ɛpo mu no, saa na ɔbɛba.
JER.46.19	Yɛ atukorɔ ho adeɛ fa,
JER.46.19	O Misraim babaa a wote hɔ no,
JER.46.19	na Memfi bɛdane amamfo,
JER.46.19	na ahye a obiara rentena mu bio.
JER.46.20	Misraim yɛ nantwie bedeɛ a ne ho yɛ fɛ,
JER.46.20	nanso ɔsɛeɛ firi atifi fam aba ne so.
JER.46.21	N’asraafoɔ apaafoɔ a wɔwɔ ne mu no
JER.46.21	te sɛ anantwie a wɔadɔre sradeɛ,
JER.46.21	aane, wɔn nso wɔdane wɔn ho bɔ mu dwanedwane;
JER.46.21	wɔnnyina,
JER.46.21	ɛfiri sɛ wɔn sɛeɛ da adu,
JER.46.21	wɔn asotwe berɛ aba wɔn so.
JER.46.22	Ne nne gyegye kɔ sɛ ɔwɔ a ɔtene,
JER.46.22	na wɔde dɔm nam reba ne so,
JER.46.22	na wɔde mmonnua reba ne so
JER.46.22	sɛ nnuabufoɔ.
JER.46.23	Wɔbɛtwa ne kwaeɛ
JER.46.23	AWURADE asɛm nie,
JER.46.23	kwaeɛ a wɔnnya mu ahwehwɛeɛ,
JER.46.23	ɛfiri sɛ wɔdɔɔso sene ntutummɛ,
JER.46.23	na wɔn dodoɔ nni ano.
JER.46.24	Wɔama Misraim babaa ani awu,
JER.46.24	wɔde no ahyɛ atifi fam man no nsa.
JER.46.26	na mede wɔn mahyɛ wɔn a wɔpɛ wɔn kra no nsa, ne Babelhene Nebukadnessar ne ne nkoa nsa; na ɛno akyi no, wɔbɛsane abɛtena ha sɛ tete nna no, AWURADE asɛm nie.
JER.46.27	na mma w’akoma nntu, O Israel.
JER.46.27	Na hwɛ, meregye wo afiri akyirikyiri
JER.46.27	ne w’asefoɔ nso afiri wɔn nnommumfa asase no so,
JER.46.27	na Yakob asane aba abɛhome atena ase dwoodwoo,
JER.46.27	na obiara nni hɔ a ɔbɛyi no hu.
JER.46.28	AWURADE asɛm nie,
JER.46.28	na medi w’akyi,
JER.46.28	na mɛma amanaman
JER.46.28	a mebɔɔ mo pete kɔɔ hɔ no nyinaa awie saa,
JER.46.28	na wo deɛ, merenwie wo.
JER.46.28	Na mɛtea wo sɛdeɛ ɛfata,
JER.46.28	na bem deɛ, meremma wonni.
JER.47.2	Sɛ AWURADE seɛ nie:
JER.47.2	Hwɛ, nsuo rema ne ho so afiri atifi fam
JER.47.2	na ayɛ asuo a ɛreyiri
JER.47.2	asram asase ne ne mayɛ,
JER.47.2	kuro no ne wɔn a wɔte mu no soɔ.
JER.47.2	Na nnipa bɛteateam,
JER.47.2	na asase no sofoɔ abɔ abubuo,
JER.47.3	wɔn apɔnkɔ akunini ntɔte a ɛsisi fam tim tim no kitikitiyɛ
JER.47.3	ne wɔn nteaseɛnam a ɛyɛ twɛtwɛrɛdɛdɛ ne ne nan huuyɛ nti,
JER.47.3	agyanom nnane wɔn ani nhwɛ wɔn mma,
JER.47.3	wɔn nsa mu goɔ no nti,
JER.47.4	Filistifoɔ nyinaa
JER.47.4	atwitwa Tiro ne Sidon
JER.47.4	aboafoɔ a aka no nyinaa nti,
JER.47.4	na AWURADE rebɛsɛe Filistifoɔ,
JER.47.4	Kaftor supɔ mu nkaeɛ no.
JER.47.5	Askelon ne wɔn
JER.47.5	bonhwa mu nkaeɛ asɛe pasaa.
JER.47.5	Wobɛbɔ wo ho akam akɔsi da bɛn?
JER.47.6	Ao, AWURADE afena,
JER.47.6	ɛnkɔsi da bɛn ansa na woayɛ komm?
JER.47.6	Sane kɔhyɛ wo boha mu,
JER.47.6	home na yɛ dinn ɛ!
JER.47.7	Ɛbɛyɛ dɛn na ayɛ komm,
JER.47.7	berɛ a AWURADE ahyɛ no yi?
JER.47.7	Askelon ne mpoano hɔ
JER.47.7	na wahyɛ sɛ ɛmmra.
JER.48.1	Sɛ asafo AWURADE, Israel Nyankopɔn, seɛ nie:
JER.48.1	Nebo nnue! ɛfiri sɛ asɛe.
JER.48.1	Kiriataim ani awu, wɔagye.
JER.48.1	Aban denden no ani awu na wɔadwiri agu.
JER.48.2	Moab din a wagyeɛ no nni hɔ bio,
JER.48.2	wɔatu ne ho agyina bɔne, wɔ Hesbon sɛ:
JER.48.2	Mommra mma yɛntwa no, na anyɛ ɔman bio.
JER.48.2	Wo nso kuro a wɔfrɛ wo Madmen, wɔbɛka w’ano atomu,
JER.48.2	ɛfiri sɛ afena di w’akyi.
JER.48.3	Tie! Esu nne a ɛfiri Horonaim,
JER.48.3	ɔsɛeɛ ne amamfo kɛseɛ.
JER.48.4	Wɔabubu Moab,
JER.48.4	emu nnipa nkumaa ma wɔte nteamu.
JER.48.5	Na Luhit aforoeɛ hɔ
JER.48.5	wɔde esu ara nko foro kɔ soro;
JER.48.5	na Horonaim asianeeɛ hɔ
JER.48.5	ahohiahiafoɔ tee agyaadwo gyegyeegyeyɛ.
JER.48.6	na monyɛ sɛ anwea pradada so afunumu.
JER.48.7	wo nso, wɔbɛfa wo,
JER.48.7	na Kemos, n’asɔfoɔ ne n’asafohene abɔ mu
JER.48.7	afiri adi akɔ tukorɔ mu.
JER.48.8	Na ɔsɛefoɔ bɛba nkuro nyinaa so,
JER.48.8	na kuro biara remfiri mu mfi;
JER.48.8	na mmonhwa ayera,
JER.48.8	na asaseta nso asɛe,
JER.48.8	sɛdeɛ AWURADE kaeɛ no.
JER.48.9	Momma Moab nkaeɛdum,
JER.48.9	na sɛe ara na wɔbɛsɛe no.
JER.48.9	Na ne nkuro bɛyɛ amamfo
JER.48.9	a obiara nte mu.
JER.48.11	Moab atena ase dwoodwoo firi ne mmɔfraase,
JER.48.11	na wada ne puo so,
JER.48.11	na wɔnhwiee no mfirii adeɛ mu nguu adeɛ mu,
JER.48.11	na ɔnkɔɔ tukorɔ mu da;
JER.48.11	enti na ne dɛ aka ne mu,
JER.48.11	na ne ho hwam nsakyeraeɛ.
JER.48.12	Enti hwɛ, nna bi reba, AWURADE asɛm nie, sɛ mɛsoma atuefoɔ aba ne so a wɔbɛtue wɔn, na wɔahwiehwie deɛ ɛwɔ n’adeɛ mu agu, na wɔabobɔ ne mpɔre nso. 
JER.48.13	Na Moab ani bɛwu Kemos ho sɛdeɛ Israel fie ani wuu Betel a wɔde wɔn ho too soɔ no ho no.
JER.48.14	Ɛyɛ dɛn na moka sɛ: Yɛyɛ nnɔmmarima
JER.48.14	ne akofoɔ akokoɔdurufoɔ?
JER.48.15	Wɔasɛe Moab, na wɔaforo kɔ ne nkuro mu,
JER.48.15	na ne mmeranteɛ a wɔayi wɔn no asiane kɔ okum mu,
JER.48.15	ɔhene a asafo AWURADE ne ne din no asɛm nie.
JER.48.16	Moab sɛeɛ repempɛn so ba,
JER.48.16	na ne mmusuo reyɛ ntɛm ba.
JER.48.17	Monnyam no, mo a motete ne ho nyinaa
JER.48.17	ne mo a monim ne din nyinaa.
JER.48.17	Monka sɛ: Ɛyɛɛ dɛn na dua a ɛyɛ den,
JER.48.17	poma fɛfɛ no abuo yi?
JER.48.18	Siane firi w’animuonyam mu,
JER.48.18	na tena sukɔm asase so,
JER.48.18	O wo a wote Dibon!
JER.48.18	Na Moab sɛefoɔ atu reba wo so,
JER.48.18	ɔrebɛsɛe w’aban a ɛyɛ den no.
JER.48.19	Kɔgyina kwan ho sra,
JER.48.19	Aroerfoɔ,
JER.48.19	bisa odwanefoɔ ne deɛ wafiri mu afire
JER.48.19	sɛ: Ɛdeɛn na asie?
JER.48.20	Moab ani awu, ɛfiri sɛ wɔadwiri agu.
JER.48.20	Montwa agyaadwo na monteam,
JER.48.20	monka no Arnon
JER.48.20	sɛ wɔasɛe Moab.
JER.48.21	Na atemmuo aba asaseta no so, aba Holon ne Yahsa ne Mefaat, 
JER.48.22	ne Dibon ne Nebo ne Bet-diblataim, 
JER.48.23	ne Kiriataim ne Bet-gamul ne Bet-meon, 
JER.48.24	ne Keriot ne Bosra ne Moab asase so nkuro a ɛwɔ akyirikyiri ne deɛ ɛbɛn nyinaa so. 
JER.48.25	Wɔatwa Moab abɛn, na ne basa abu, AWURADE asɛm nie.
JER.48.27	Israel anyɛ wo aseredeɛ, sɛ wohunuu no akorɔmfoɔ mu? Na da biara a woka ne ho asɛm no wowosowoso wo ti.
JER.48.28	O Moabfoɔ,
JER.48.28	monnya mo nkuro hɔ nkɔtena abotan mu,
JER.48.28	na monyɛ sɛ abuburo a ɔyɛ ne buo
JER.48.28	wɔ abodan ano nkyɛn mu.
JER.48.29	Yɛate Moab ahantan,
JER.48.29	ɔyɛ ahantan dodoɔ no,
JER.48.29	n’ahantan ne dwɛɛ ne n’ahokyerɛ
JER.48.29	ne n’akoma mmasoɔ.
JER.48.30	Me ara, AWURADE asɛm nie, menim n’aniɛden;
JER.48.30	n’ahohoahoa ne ne nneyɛɛ
JER.48.30	yɛ atorɔ.
JER.48.31	Enti metwa Moab ho adwo,
JER.48.31	na metwa Moab nyinaa ho agyaadwo
JER.48.31	na madi Kir-Heres mmarima ho abooboo.
JER.48.32	Mede Yaser su no bi mesu wo,
JER.48.32	O Sibma obobe.
JER.48.32	Wo mman atra ɛpo,
JER.48.32	akɔduru Yaser po ano.
JER.48.32	Wo nnuabateɛ ne wo bobe abateɛ so
JER.48.32	na ɔsɛefoɔ no aba,
JER.48.33	na wɔahwam anigyeɛ ne ahurisidie
JER.48.33	afiri mfu pa wɔ Moab asase so,
JER.48.33	na matwa nsa to afiri nsa-kyi-amena mu.
JER.48.33	Wɔrenyɛ nsa mmɔ nnye so.
JER.48.33	Wɔbɛbo agye so a ɛnyɛ anigyeɛ mmɔgyesoɔ.
JER.48.34	Wɔma wɔn nne so firi Hesbon nteam no mu kɔsi Eleale ne Yahas, ɛfiri Soar kɔsi Horonaim, sɛ mfeɛ mmiɛnsa nantwibereɛ; na Nimrim nsuo mpo adane nkyɛkyerɛ. 
JER.48.35	Na mɛtwa Moab mu, AWURADE asɛm nie, deɛ ɔbɔ ɔhyeɛ afɔdeɛ sorɔnsorɔnbea, ne deɛ ɔhye aduhwam ma n’anyame no. 
JER.48.36	 Ɛno nti m’akoma gyegye ma Moab sɛ atɛntɛbɛn, na m’akoma gyegye sɛ atɛntɛbɛn ma Kir-Heres mmarima, ɛfiri sɛ adeɛ a wɔanya, a wɔde asie no, ayera.
JER.48.38	Esutue ara nko na ɛwɔ Moab adan nyinaa atifi, ne ne mmorɔno soɔ, na mabɔ Moab sɛ kukuo bi a wɔmpɛ, AWURADE asɛm nie. 
JER.48.39	Sɛdeɛ wɔasi adwiri no! Sɛdeɛ wɔsi twa agyaadwoɔ! Sɛdeɛ Moab si de aniwuo dane n’atikɔ! Saa ara na Moab adane aseredeɛ ne ahodwirideɛ ama wɔn a wɔtete ne ho nyinaa.
JER.48.40	Hwɛ, obi retu sɛ ɔkɔdeɛ,
JER.48.40	na ɔtrɛ ne ntaban mu ba Moab so.
JER.48.41	Wɔbɛfa nkuro akɛseɛ no,
JER.48.41	na wɔagye nkuro a ɛyɛ den no,
JER.48.41	na ɛda no Moab nnɔmmarima akoma bɛyɛ
JER.48.41	sɛ ɔbaa a ɔda ahohiahia mu akoma.
JER.48.42	Na wɔbɛsɛe Moab na ɛrenyɛ ɔman bio,
JER.48.42	ɛfiri sɛ wadi AWURADE so akokurokosɛm.
JER.48.43	Ehu ne eku ne fidie
JER.48.43	da wo da, wo a wote Moab no,
JER.48.43	AWURADE asɛm nie.
JER.48.44	na deɛ waforo afiri eku mu no,
JER.48.44	wɔde fidie yi no,
JER.48.44	na mede Moab asotwe afe bɛba wɔn so,
JER.48.44	AWURADE asɛm nie.
JER.48.45	na adwanefoɔ a ahoɔden abɔ wɔn gyinagyina,
JER.48.45	na ogya afiri Hesbon,
JER.48.45	na ogyaframa afiri Sihon mu,
JER.48.45	na abɛsɛe Moab moma
JER.48.45	ne hooyɛ mma no mpampam.
JER.48.46	Moab, due!
JER.48.46	Kemos man ayera,
JER.48.46	na wɔafa wo mmabanin nnommum,
JER.48.46	na wo mmammaa kɔ nnommumfa mu.
JER.48.47	Nso mede Moab nnommum bɛsane aba,
JER.48.47	nna a ɛdi akyire no mu, AWURADE asɛm nie.
JER.48.47	Deɛ Moab atemmuo no aso ne ha.
JER.49.1	Sɛ AWURADE seɛ nie:
JER.49.1	Israel nni mmabanin,
JER.49.1	anaasɛ ɔnni ɔdedini?
JER.49.1	Ɛnam deɛn so na Malkam di adeɛ Gad,
JER.49.1	na ne manfoɔ tete ne nkuro mu?
JER.49.2	Ɛno nti, hwɛ, nna bi reba,
JER.49.2	AWURADE asɛm nie,
JER.49.2	sɛ mɛma Amon mma kuro Raba no
JER.49.2	ate ɔko mu osebɔ,
JER.49.2	na adane nkunkumaboɔkuo,
JER.49.2	na wɔde ogya ahye ɛho nkurowa,
JER.49.2	na Israel adi n’adedifoɔ adeɛ,
JER.49.2	AWURADE na ɔseɛ.
JER.49.3	na wɔasɛe Ai. Raba mmammaa, monteam,
JER.49.3	momfira ayitoma ntwa adwo,
JER.49.3	na monkyinkyini afasuo no ntam,
JER.49.3	na Malkam rekɔ tukorɔ mu,
JER.49.3	n’asɔfoɔ ne ne mmapɔmma bɔ mu kɔ.
JER.49.4	Adɛn na wohyehyɛ wo ho, mmonhwa no ho?
JER.49.4	Wo bonhwa no sene kɔ,
JER.49.4	ɔbabaa okyirisanni a wode wo ho too w’akoradeɛ so kaa sɛ:
JER.49.4	Hwan na ɔbɛba me soɔ?
