GEN.1.1	Aum Aunfank muak Gott Himmel un Ieed. 
ACT.12.14	Un aus see Petrus siene Stemm kjand, muak see fa Freid nich de Däa op, oba rand nenn un säd, daut Petrus buten ver de Däa stunt. 
ACT.12.15	See säden to ar: Du best nich gaunz bie Troost. Oba aus see doaropp stonen bleef, daut et soo wia, säden see: Daut mott sien Enjel sennen. 
ACT.12.16	Petrus oba bleef biem aunkloppen. Un aus see de Däa opmuaken, sagen see am un vefieeden sikj. 
ACT.12.17	Hee died an derch een Hauntschlach aun, stell to sennen, un vetald an dan, woo de Har am utem Jefenkjnis rut jerat haud, un säd, see sullen Jakobus un de Breeda daut sajen. Un hee jinkj dan aundatwäajen han.
ACT.12.18	Aus daut ieescht Dach wort, räajden de Soldoten sikj sea opp, äwa waut met Petrus passieet wia. 
ACT.12.19	Aus Herodes no am jesocht haud un am oba nich funk, neem hee de Wajchta em Vehia un befool dee doottomoaken. Hee jinkj dan von Judäa no Cäsarea un bleef doa.
ACT.12.20	Herodes haud sikj met de Menschen en Tierus un Sidon sea schlajcht jestonen. Nu oba schlooten dee sikj toop un kjeemen no am. Un aus see Blastus, eenem von dän Kjennich siene Deena ieescht opp äare Sied hauden, hilden see aun om Fräd to moaken, wiels see von dän Kjennich sien Launt aufhenjich wieren äa Broot to kjrieen. 
ACT.12.21	Un aun een bestemden Dach trock Herodes sikj siene Kjennichskjleeda aun un sad sikj opp däm Rechtastool un hilt an eene Räd. 
ACT.12.22	Un daut Volkj schrieech: Dit es Gott siene Stemm un nich een Mensch siene! 
ACT.12.23	Un wiels Herodes Gott nich de Iea jeef, schluach dän Harn sien Enjel am plazlich dol. Un hee wort von Warm vefräten un storf. 
ACT.12.24	Oba Gott sien Wuat bleef biem toonämen un breed sikj ut. 
ACT.12.25	Aus Barnabas un Saul äaren Deenst verecht hauden, reisden see von Jerusalem wada trigj un neemen Johanes Markus met sikj. 
ACT.13.1	En de Jemeent en Antiochia wieren jewesse Profeeten un Liera: Barnabas, Simeon (dän see uk Näaja nanden), Luzius von Kiereen, un Manaen, dee met Herodes dän Gowernia toop oppjewossen wia, un Saul. 
ACT.13.2	Aus dee dän Harn deenden un fausten deeden, säd de Heilja Jeist to an: Sondat mie Barnabas un Saul auf, daut to doonen wuatoo ekj an jeroopt hab. 
ACT.13.3	Aus see dan jebät un jefaust hauden, läden see an de Henj opp un leeten an gonen. 
ACT.13.4	Un soo vom Heiljen Jeist jeschekjt, jinjen see no Seleuzia un von doa met däm Schepp no Ziepern. 
ACT.13.5	Aus see en Salamis aunkjeemen, prädijden see doa en de Judenschoolen daut Gotteswuat; see hauden Johanes uk met an to halpen. 
ACT.13.6	See reisden äwa de gaunze Insel, bat see bat Pafos kjeemen. Doa troffen see Barjesus, een Jud, een faulscha Profeet un Zaubra. 
ACT.13.7	Hee wia bie däm Gowernia, Sergius Paulus, dee een vestendja Maun wia, un dee Barnabas un Saul no sikj roopt, wiels hee jieren daut Gotteswuat hieren wull. 
ACT.13.8	Oba Eliemas de Zaubra (wiels daut es waut sien Nomen bediet) oabeid jäajen an, un vesocht uk dän Gowernia vom Gloowen auftobrinjen. 
ACT.13.9	Oba Saul, dän see uk Paulus nanden, voll Heiljen Jeist, kjikjt am stia aun 
ACT.13.10	un säd: Du oppdrenjenda Gaussenschria, du Sotonskjint, een Fient aun aulet goode, west du aul niemols opphieren dän Harn sienen jlikjen Wajch to vedreien? 
ACT.13.11	Un nu krakjt, kjemt dän Harn siene Haunt äwa die, un du woascht blint sennen un de Sonn eene Tietlank nich seenen! Un fuaz wort am aules dunkel un diesta, un hee jinkj rom un socht no wäm, am aun de Haunt to leiden. 
ACT.13.12	Aus de Gowernia sach, waut jeworden wia, jleewd hee un wundad sikj äwa dän Harn siene Lia.
ACT.13.13	En Pafos stieech Paulus met siene Jesalschoft en een Schepp un säajelden äwa no Perge en Pamfielien. Doa veleet Johanes an un jinkj trigj no Jerusalem. 
ACT.13.14	Aus see von Perge wieda reisden, kjeemen see no Antiochia en Pisidien, un jinjen aum Sabat en de Judenschool nenn un saden sikj dol. 
ACT.13.15	Aus ieescht ut daut Jesaz un de Profeeten wia jeläst worden, leeten de Leidasch von de School an sajen: Leewe Breeda, wan jie een ermootjendet Wuat fa daut Volkj haben, dan rät nu. 
ACT.13.16	Dan stunt Paulus opp, died aun met de Haunt, daut hee räden wull, un säd: Mana von Israel, dee jie Gott ferchten, horcht emol häa! 
ACT.13.17	Dit Volkj Israel äa Gott wäld sikj onse Vodasch, un muak een grootet Volkj von an, aus see aus framde en Ägipten wonden. Un hee brocht an doa met een oppjehownen Oarm rut. 
ACT.13.18	Un dan haud hee en de Wiltnis 40 Joa Jedult met an. 
ACT.13.19	Un aus hee en Kanaan säwen Velkja utjerot haud, vedeeld hee äa Launt mank an. 
ACT.13.20	Un dan jeef hee an 450 Joa Rechta, bat de Profeet Samuel kjeem. 
ACT.13.21	Dan nohäa fruagen see Gott om een Kjennich, un Gott jeef an Saul, Kisch sienen Sän, een Maun von Benjamin sienen Staum, 40 Joa äa Kjennich to sennen. 
ACT.13.22	Aus hee Saul wajch jenomen haud, muak hee an David toom Kjennich, dän hee daut Zeichnis jeef un säd: “Ekj hab en David, Isai sienen Sän, een Maun no mienem Hoaten jefungen, dee aules doonen woat, waut ekj haben well.” 
ACT.13.23	Von disen Maun haft Gott, soo aus hee vesproaken haud, Israel äaren Heilant, Jesus, komen loten. 
ACT.13.24	Ea Jesus kjeem, prädijd Johanes to daut gaunze Volkj Israel, daut see omkjieren sullen un sikj deepen loten. 
ACT.13.25	Aus Johanes sien Woakj verechten deed, fruach hee de Menschen, wäa see dochten daut hee wia. Hee säd: Ekj sie nich dee fa dän jie mie hoolen; nä, no mie kjemt eena, dän ekj daut nich wieet sie, daut ekj am de Schoo oplees. 
ACT.13.26	Mana un Breeda, Kjinja von Abraham siene Famielje, un dee mank junt dee Gott ferchten, junt es dit radende Wuat jeschekjt worden. 
ACT.13.27	Oba de Menschen en Jerusalem, un de bowaschte em Volkj, wisten nich wäa Jesus wia, un vestunden uk nich waut an aule Sabat ut de Profeeten väajeläst wort. Un doch haben see doaderch daut see Jesus veuadeelden, jedonen waut de Profeeten jesajcht hauden. 
ACT.13.28	Un wan see uk kjeene Uasoak fungen, am toom Doot to veuadeelen, doawäajen fruagen see Pilatus doch am doottomoaken. 
ACT.13.29	Un aus see aules jedonen hauden, waut de Schreft von am säd, neemen see am vom Kjriez rauf un läden am en een Grauf. 
ACT.13.30	Oba Gott haft am vom Doot oppjewakjt. 
ACT.13.31	Dee waut met am von Galiläa no Jerusalem kjeemen, haben am dan väle Doag jeseenen, un dee jäwen ons Volkj nu Zeichnis von am. 
ACT.13.32	Un wie brinjen junt nu de goode Norecht. Waut Gott onse Väaelren vesproaken haud, 
ACT.13.33	haft hee nu aun ons, äare Kjinja, jedonen doaderch daut hee Jesus vom Doot oppwuak; soo aus em tweeden Psalm jeschräwen steit: “Du best mien Sän. Ekj sie vondoag dien Voda jeworden.” 
ACT.13.34	Un daut hee am vom Doot oppjewakjt haft om am niemols loten en de Grunt to gonen, haft hee en dise Wieed jesajcht: “Ekj woa die secha de heilje Säajnungen jäwen, dee ekj David vesproaken hab.” 
ACT.13.35	Doawäajen sajcht hee noch opp eene aundre Städ: “Du woascht dienen Heiljen nich vekomen loten.” 
ACT.13.36	Aus David en siene Tiet jedonen haud waut Gott velangd, storf hee, un wort doa begroft wua siene Vodasch lagen un sien Kjarpa vekjeem em Grauf. 
ACT.13.37	Oba dit passieed nich aun däm dän Gott oppwuak. 
ACT.13.38	Doawäajen, leewe Breeda, sell jie weeten, daut junt derch disen Maun de Sindenvejäwunk jeprädicht woat. 
ACT.13.39	Un wäaemma doa jleeft, kaun derch am von aul daut jerajchtfoadicht woaren, wuavon hee derch Moses sien Jesaz nich kunn jerajchtfoadicht woaren. 
ACT.13.40	Seet junt väa, daut junt daut nich trafen woat, waut de Profeeten jesajcht haben: 
ACT.13.41	“Nu kjikjt emol jie Spetta, wundat junt un komt om,
ACT.13.41	wiels ekj woa en june Tiet waut doonen,
ACT.13.41	waut jie niemols jleewen wudden,
ACT.13.41	wan junt daut uk noch wäa vetalen wudd!”
ACT.13.42	Aus Paulus un Barnabas de School veleeten, fruagen de Menschen an, näakjsten Sabat trigjtokomen un wada daut Wuat to prädjen. 
ACT.13.43	Aus de Vesaumlunk äwa wia, jinjen väl Juden un aundre gottesferchtje Metjuden met Paulus un Barnabas met. Dee räden dan noch wieda to an, un spruaken an Moot too, en Gott siene Jnod to bliewen.
ACT.13.44	Aum näakjsten Sabat kjeem meist de gaunze Staut toop, daut Gotteswuat to hieren. 
ACT.13.45	Aus oba de Juden aul daut Volkj sagen, wieren see aufjenstich. See saden sikj Paulus siene Räden jäajenaun, un lastaden äwa daut, waut hee säd. 
ACT.13.46	Dan worden Paulus un Barnabas brow un säden: Junt must daut Gotteswuat daut ieeschte jesajcht woaren; oba wiels jie daut nich aunnämen, un junt selfst nich wieet achten daut eewje Läwen to haben, dan go wie no de Nichjuden. 
ACT.13.47	Wiels soo haft de Har ons daut befolen:
ACT.13.47	“Ekj hab die aunjestalt een Licht fa de Nichjuden to sennen
ACT.13.47	daut de Radunk derch die kaun äwa de gaunze Welt jebrocht woaren.” 
ACT.13.48	Aus de Nichjuden dit hieeden, wieren see froo un lowden daut Gotteswuat. Un dee, dee to daut eewje Läwen bestemt wieren, kjeemen toom Gloowen. 
ACT.13.49	Un dän Harn sien Wuat spreed sikj äwa de gaunze Jäajent. 
ACT.13.50	De Juden oba stalden derch de aundajchtje un huachaunjeseenene Frues, un de väastonende Mana en de Staut een Opprua aun, daut see Paulus un Barnabas vefoljden un ut äare Jäajent rut juagen. 
ACT.13.51	See oba scheddaden sikj ver an dän Stoff von de Feet un jinjen no Ikonion. 
ACT.13.52	De Jinja oba wieren froo un voll Heiljen Jeist.
ACT.14.1	En Ikonion, jinjen Paulus un Barnabas toop en de Judenschool nenn un prädijden, soo daut een groot deel Juden un Griechen toom Gloowen kjeemen. 
ACT.14.2	Oba de Juden dee nich jleewden, räajden de Nichjuden opp, daut dee sikj jäajen de Breeda dreiden. 
ACT.14.3	Doawäajen bleewen see doa noch lang, un räden brow un frie vom Harn, dee de Prädicht von siene Jnod doaderch bestädijd, daut hee derch äare Henj Tieekjens un Wunda passieren leet. 
ACT.14.4	Oba daut Stautsvolkj wia sikj nich eenich; eenje hilden sikj met de Juden un de aundre met de Apostel. 
ACT.14.5	Aus nu de Nichjuden un de Juden met äare Leidasch toop, doaropp loosjinjen an to meshaundlen un to steenjen, 
ACT.14.6	kjrieejen see daut to hieren un brochten sikj doa wajch, un kjeemen no Liestra un Derbe un Liekaonien 
ACT.14.7	un prädijden en dee Jäajent daut Evangelium.
ACT.14.8	En Liestra saut een kjräpelja Maun, von Jeburt aun soo schwak en de Feet, daut hee noch niemols haud gonen kunt. 
ACT.14.9	Dee hieed Paulus räden. Aus Paulus am direkjt aunkjikjt, sach hee, daut dee jleewd, daut hee kunn jeheelt woaren. 
ACT.14.10	Dan säd hee to am rajcht lud: Sto opp un sto jlikj opp de Feet! Un hee sprunk opp un jinkj. 
ACT.14.11	Aus daut Volkj sach waut Paulus jedonen haud, schrieejen see en Liekaonisch: De Jetta sent en Menschenjestault no ons rauf jekomen! 
ACT.14.12	Barnabas nanden see Zeus, un Paulus Hermes, wiels dee de Haupträdna wia. 
ACT.14.13	De Priesta von Zeus sien Tempel, dee jrod buta de Staut stunt, brocht Ossen un Bloomenkjrens nom Puat, wua hee un daut Volkj an räakjenden Opfa to brinjen. 
ACT.14.14	Oba aus de Apostel Barnabas un Paulus daut hieeden, vereeten see sikj de Kjleeda un randen mankem Volkj, un schrieejen: 
ACT.14.15	Jie Mana, wuarom doo jie dit? Wie sent uk stoafliche Menschen jrod soo aus jie, un prädjen junt daut jie von dän faulschen no dän läwendjen Gott junt dreien sellen, dee Himmel un Ieed un Mäa un aules, waut doabennen es, jemoakt haft; 
ACT.14.16	dee de Velkja en väaje Tieden aula haft en äare Wäaj gonen loten; 
ACT.14.17	un doch haft hee sikj nich onen Zeichnis jeloten. Hee deed junt goodet, jeef junt Räajen vom Himmel un fruchtboare Tieden. Hee jeef junt jenuach to äten un muak junt daut Hoat froo! 
ACT.14.18	Soogoa met dise Wieed kunnen see daut knaup väabieejen, daut daut Volkj an nich Opfa brocht.
ACT.14.19	Dan kjeemen eenje Juden von Antiochia un Ikonion un kjrieejen daut Volkj opp äare Sied, un steenijden Paulus un schlapten am fa doot ut de Staut rut. 
ACT.14.20	Aus de Jinja sikj oba om am saumelden, stunt hee opp un jinkj trigj en de Staut nenn. Dän näakjsten Dach jinkj hee met Barnabas met no Derbe.
ACT.14.21	Un aus see en dee Staut daut Evangelium jeprädicht un väl Jinja jemoakt hauden, jinjen see trigj no Liestra, Ikonion un Antiochia. 
ACT.14.22	See stoakjten de Jinja un spruaken an Moot too, tru em Gloowen to bliewen, un säden daut wie derch väl schwoaret en daut Gottesrikj nenn gonen musten. 
ACT.14.23	Un aus see en aule Jemeenten Eltestasch aunjestalt hauden, un en fausten äwa an jebät hauden, befoolen see an dän Harn aun, aun dän see jleewden. 
ACT.14.24	Un aus see derch Pisidien jereist wieren, kjeemen see no Pamfielien. 
ACT.14.25	Un aus see daut Wuat en Perge jeprädicht hauden jinjen see bat Atalja.
ACT.14.26	Von doa säajelden see no Antiochia, wua see Gott siene Jnod wieren aunbefolen worden fa daut Woakj, daut see nu verecht hauden. 
ACT.14.27	Aus see doa aunkjeemen, saumelden see de gaunze Jemeent toop un berechten, aules waut Gott derch an jedonen haud, un daut Gott uk fa de Nichjuden de Däa toom Gloowen opjemoakt haud. 
ACT.14.28	Un doa bleewen see met de Jinja een langet Stoot.
ACT.15.1	Dan kjeemen jewesse Mana von Judäa un lieeden de Breeda: Wan jie junt nich no Moses siene Oat beschnieden loten, kjenn jie nich seelich woaren. 
ACT.15.2	Dit brocht Paulus un Barnabas en een harzhoften Striet met an, soo daut see sikj eenich worden Paulus un Barnabas un eenje von an no de Apostel un Eltestasch en Jerusalem to schekjen om uttofinjen woo see to dise Froag stunden. 
ACT.15.3	De Jemeent sach doano, daut see opp däm Wajch kjeemen. Un see reisden derch Feenizien un Samaria un vetalden doa daut de Nichjuden sikj bekjieeden. Doatoo freiden de Breeda sikj sea. 
ACT.15.4	Un aus see no Jerusalem kjeemen, neemen de Jemeent un de Apostel un de Eltestasch an opp. Un see vetalden an aules waut Gott derch an jedonen haud. 
ACT.15.5	Oba eenje Farisäa, dee toom Gloowen jekomen wieren, stunden opp un säden: De Nichjuden motten beschnäden woaren, un an mott jeboden woaren, Moses sien Jesaz to hoolen.
ACT.15.6	De Apostel un Eltestasch kjeemen toop sikj äwa dise Sach to beroden.
ACT.15.7	Un aus see sikj ieescht lang jesträden hauden, stunt Petrus opp un säd to an: Mana, leewe Breeda, jie weeten daut Gott mie lang verhäa jewält haft, de Nichjuden daut Evangelium to prädjen, daut see toom Gloowen komen. 
ACT.15.8	Un Gott, dee daut Hoat kjant, jeef an dän Heiljen Jeist jrod soo aus ons, un bewees doamet, daut hee an aunjenomen haud, 
ACT.15.9	un muak kjeen Unjascheet tweschen ons un an, un reinjd an daut Hoat uk derch dän Gloowen. 
ACT.15.10	Wuarom proow jie Gott doaderch to vesieekjen, daut jie de Jinja een Joch opp daut Jenekj lajen, waut nich wie noch onse Vodasch haben kunt droagen? 
ACT.15.11	Wiels wie jleewen, daut wie derch dän Harn Jesus siene Jnod seelich woaren, jrod soo aus see. 
ACT.15.12	Dan wort de gaunze Vesaumlunk stell un horchten aus Barnabas un Paulus vetalden, wooväl Wunda un Tieekjens Gott derch an manke Nichjuden jedonen haud.
ACT.15.13	Un aus dee ieescht stell worden, säd Jakobus: Mana, leewe Breeda, horcht no mie! 
ACT.15.14	Simon haft ons jrod vetalt woo Gott ieeschtens doarom besorcht wia, ut de Velkja een Volkj fa sienen Nomen to jewennen. 
ACT.15.15	Un met dit stemt daut, waut de Profeeten jesajcht haben, soo aus jeschräwen steit: 
ACT.15.16	“Wan dit ieescht jeworden es,
ACT.15.16	woa ekj wadakomen un David sien toopjefolnet Hus wada oppbuen.
ACT.15.16	Daut vefolne Wrak woa ekj oppbuen un wada häastalen,
ACT.15.17	daut aul de äwaje Menschen dän Harn sieekjen muchten,
ACT.15.17	soogoa aul de Velkja dee no mienen Nomen jenant woaren,
ACT.15.17	sajcht de Har dee aul dit deit,
ACT.15.18	dee von Eewichkjeit wist, waut hee doonen wudd.”
ACT.15.19	Doawäajen wudd ekj sajen, wie sullen daut fa de Nichjuden nich schwoa moaken, wan dee sikj no Gott dreien, 
ACT.15.20	oba daut wie an schriewen, daut see von aules sellen wajch bliewen daut derch dän Deenst fa Aufjetta veorreinicht es, von Huararie, von Bloot un von Fleesch von Vee waut aufjewarcht es. 
ACT.15.21	Wiels Moses haft von lang häa en aule Städa dee jehaut, dee am prädijden, un daut es aule Sabat en äare Schoolen väajeläst worden. 
ACT.15.22	Dan wieren de Apostel un de Eltestasch un de gaunze Jemeent doamet envestonen, daut see von äare ieejne Mana wäm wälen wudden, met Paulus un Barnabas toop no Antiochia to schekjen. See wälden Judas, däm see Barsabas nanden, un Silas, twee väaschte Mana von de Breeda. 
ACT.15.23	Dit es de Breef dän see schreewen: Wie, de Apostel un Eltestasch, june Breeda, no de nichjudsche Breeda en Antiochia, Sierien un Zilizien: Een Gruss no junt! 
ACT.15.24	Wie haben jehieet, daut von de onsaje, dee wie nich jeschekjt hauden, eenje jekomen sent un junt veleit haben un haben junt daut en june Seelen schwoa jemoakt, wiels see sajen daut jie junt motten beschnieden loten un daut Jesaz hoolen. 
ACT.15.25	Wie haben daut fa goot enjeseenen, tooptokomen un Mana to wälen un met onse leewe Frind Barnabas un Paulus toop hantoschekjen, 
ACT.15.26	Mana, dee fa onsen Harn Jesus Christus sienen Nomen äa Läwen opp Spell jesat haben. 
ACT.15.27	Doawäajen hab wie Judas un Silas jeschekjt, dee junt daut met Wieed bestädjen woaren, waut wie jeschräwen haben. 
ACT.15.28	Wiels de Heilja Jeist un wie sagen daut fa goot en, junt kjeene jratre Laust opptolajen aus dit waut doa needich es: 
ACT.15.29	daut jie von aules wajch bliewen daut derch dän Deenst fa Aufjetta veorreinicht es, un von Huararie, von Bloot un von Fleesch von aufjewarjdet Vee; 
ACT.15.30	Aus dise Mana dan jeschekjt worden, kjeemen dee no Antiochia un roopten daut Volkj toop un jeewen an dän Breef. 
ACT.15.31	Aus see dän jeläst hauden, freiden see sikj to dän ermootjenden Troost, dän dee fa an haud. 
ACT.15.32	Judas un Silas selfst, dee uk Profeeten wieren, spruaken de Breeda väl ermootjende Wieed too, wuaderch see jestoakjt worden. 
ACT.15.33	Un aus see doa ieescht eene Tietlank jewast wieren, jinjen see em Fräd trigj, un brochten de Breeda äaren Gruss no dee, dee an jeschekjt hauden. 
ACT.15.34	(Silas oba jleewd daut wudd goot sennen, wan hee noch doa bleef.) 
ACT.15.35	Paulus un Barnabas bleewen uk noch en Antiochia, wua see un väle aundre lieeden, un dän Harn sien Wuat prädijden. 
ACT.15.36	Dan om een poa Doag säd Paulus to Barnabas: Well wie nu trigj gonen un en aul dee Städa, wua wie dän Harn sien Wuat jeprädicht haben, de Breeda besieekjen un seenen woo daut an jeit. 
ACT.15.37	Barnabas bleef doaropp stonen, daut see Johanes Markus metnämen wullen. 
ACT.15.38	Paulus oba bleef doaropp stonen, daut see am nich metnämen wullen, wiels hee an verhäa en Pamfielien veloten haud, un wia nich wieda metjekomen met an to oabeiden. 
ACT.15.39	See worden sikj soo oneenich, daut see jieda äaren Wajch jinjen. Un Barnabas neem Markus met un säajeld no Ziepern. 
ACT.15.40	Oba Paulus wäld sikj Silas un veleet uk. Un de Breeda wenschten an dän Harn siene Jnod. 
ACT.15.41	Hee jinkj derch Sierien un Zilizien un stoakjt de Jemeenten.
ACT.16.1	Hee kjeem no Derbe un dan no Liestra. Doa wond een Jinja, dee heet Timotäus; siene Mutta wia eene jleewende judsche Fru oba sien Voda wia een Griech. 
ACT.16.2	De Breeda en Liestra un Ikonion hauden goodet von am to räden. 
ACT.16.3	Paulus wull am opp siene Reis metnämen. Hee beschneet am om de Juden äat haulwen; wiels en dee Jäajent wisten see aula, daut sien Voda een Griech wia. 
ACT.16.4	Un aus see derch de Städa reisden, säden see an doa, waut de Apostel un Eltestasch en Jerusalem beschloten hauden. 
ACT.16.5	Doaderch worden de Jemeenten em Gloowen jestoakjt, un äare Zol neem aule Dach too.
ACT.16.6	See reisden dan derch Friegien un Galatien, wiels de Heilja Jeist daut nich tooleet daut Wuat en Asien to prädjen. 
ACT.16.7	Aus see bat Miesien kjeemen, vesochten see derch Bitienien to reisen; oba Jesus sien Jeist leet daut nich too. 
ACT.16.8	Un soo reisden see bie Miesien vebie un kjeemen no Troas.
ACT.16.9	Dan dee Nacht haud Paulus eene Vision daut een Maun von Mazedonien beddent ver am stunt un säd: Komm äwa no Mazedonien un halp ons!
ACT.16.10	Aus hee dise Vision nu jeseenen haud, vesocht wie fuaz no Mazedonien to komen, wiels wie neemen aun daut de Har ons doahan jeroopt haud, daut Evangelium to prädjen.
ACT.16.11	Dan fua wie von Troas loos, un fuaren jlikj äwa no Samotrake, un kjeemen näakjsten Dach no Neapolis, 
ACT.16.12	un von doa no Filippi, eene reemische Kolonie, 
ACT.16.13	Aum Sabat jinkj wie batem Stautspuat aum Wota, wua doa jeweenlich jebät wort. Doa sad wie ons dol un räden met de Frues, dee sikj doa vesaumelt hauden.
ACT.16.14	Eene Fru, dee doa horchen deed, wia Liedia, een gottesferchtjet Frumensch von Tiatira, dee met bleiwroodet Zeich haundeld; däa muak de Har daut Hoat op, daut see doaropp achten deed, waut Paulus säd. 
ACT.16.15	Aus see un äare Famielje wieren jedeept worden, loot see ons en em Hus to komen un säd: Wan jie mie doafäa hoolen, daut ekj toom Gloowen aum Harn jekomen sie, dan komt un blieft en mien Hus. Un see beräd ons.
ACT.16.16	Eenen Dach aus wie no dän Plauz jinjen to bäden, troff wie een Sklowenfrumensch, dee een Woasajajeist haud, un äare Haren derch äa Woasajen väl enbrocht. 
ACT.16.17	Dit Frumensch kjeem Paulus un ons hinjaraun un schrieech: Dise Mana sent dän aulahechsten Gott siene Deena, dee ons sajen woo wie kjennen seelich woaren. 
ACT.16.18	Dit deed see eenen Dach nom aundren, bat Paulus doaräwa soo vedrislich wort, daut hee sikj omdreid un to dän Jeist säd: Ekj jebeed die en Jesus Christus sienen Nomen ut ar rut to komen! Un fuaz veleet de Jeist ar. 
ACT.16.19	Oba aus äare Haren sagen, daut äare Hopninj opp Jewenst wajch wia, neemen see Paulus un Silas, un schlapten dee opp däm Moakjtplauz ver Jerecht. 
ACT.16.20	Dee brochten dee ver äare Rechta un säden: Dit sent judsche Mana un brinjen onse Staut em Opprua. 
ACT.16.21	Un waut see lieren, kjenn wie nich aunnämen uk nich metmoaken, wiels wie Reema sent. 
ACT.16.22	Daut Volkj räajd sikj opp jäajen an to gonen, un de Rechta befoolen an de Kjleeda vom Kjarpa to rieten un an to veheiwen. 
ACT.16.23	Un aus see an goot veklopt hauden, schmeeten see an en daut Jefenkjnis, un befoolen dän Jefenkjniswajchta an doa secha to hoolen. 
ACT.16.24	Un dee, wiels daut von am velangt wort, stopt an em bennaschten Jefenkjnis un schloot an de Feet en een Klotz nenn.
ACT.16.25	Oba medden en de Nacht bäden Paulus un Silas, un sungen Leeda Gott to lowen, un de aundre faustjenomne hieeden daut. 
ACT.16.26	Un plazlich kjeem doa een grootet Ieedbäben, daut daut Jefenkjnis bat opp däm Gruntfoot scheddad. Fuaz oppestäd jinjen aule Däaren op, un an follen aula de Kjäden auf. 
ACT.16.27	De Jefenkjniswajchta wuak opp. Un aus hee sach daut aule Jefenkjnisdäaren op wieren, jreep hee nom Schwieet un wull sikj doot moaken; wiels hee docht de faustjenomne wudden aula utjeräten sennen. 
ACT.16.28	Paulus oba roopt met lude Stemm: Doo die kjeenen Schoden; wie sent aula hia! 
ACT.16.29	Dan leet hee sikj een Licht brinjen un rand nenn un foll zetrent ver Paulus un Silas han. 
ACT.16.30	Hee brocht an rut un säd: Leewe Haren, waut mott ekj doonen, daut ekj seelich woa? 
ACT.16.31	See säden to am: Jleew aun dän Harn Jesus Christus, dan woascht du un diene Famielje seelich! 
ACT.16.32	Dan prädijden see dän Harn sien Wuat to am, un to aul de sienje en sien Hus. 
ACT.16.33	Un krakjt dan de Nacht wosch hee an de Blootstriepen auf. Un fuaz doa leet hee sikj un siene Famielje deepen. 
ACT.16.34	Un hee neem an bie sikj em Hus nenn un sad an Äten väa. Un hee freid sikj daut hee met siene gaunze Famielje wia toom Gloowen aun Gott jekomen.
ACT.16.35	Un aus daut ieescht dach wia schekjten de Stautsrechta äare Deena no däm Wajchta, daut hee de Mana sull gonen loten. 
ACT.16.36	Dan säd de Jefenkjniswajchta to Paulus: De Stautsrechta haben Wuat jeschekjt, daut du un Silas friejeloten sent. Got en Fräd! 
ACT.16.37	Paulus oba säd to an: See haben ons oschuldje Reema effentlich veheift un enjestopt, un räakjnen ons nu em Jeheemen loostowoaren? Nä! Nu lot an selfst komen un ons hia rut leiden. 
ACT.16.38	Un de Deena säden de Stautsrechta daut. Un aus dee hieeden, daut Paulus un Silas Reema wieren, wort an angst. 
ACT.16.39	Dan kjeemen see un beräden an un brochten an rut un prachaden an äare Staut to veloten. 
ACT.16.40	Dan jinjen see utem Jefenkjnis rut un jinjen bie Liedia em Hus nenn. Un aus see de Breeda jeseenen un Moot toojesproaken hauden, veleeten see.
ACT.17.1	Aus see opp äare Reis derch Amfipolis un Apolonia wieren, kjeemen see no Tessalonich; doa wia eene Judenschool. 
ACT.17.2	Un soo aus Paulus daut jewant wia, jinkj hee bie an nenn un räd met an aun dree Sabaten ut de Schreft. 
ACT.17.3	Hee läd an de Schreft ut un muak an daut kloa, daut Jesus lieden un vom Doot oppstonen must. Un hee säd an daut dis Jesus, dän hee an prädijd, de Christus wia. 
ACT.17.4	Un eenje von an jleewden un schlooten sikj Paulus un Silas aun, un soo uk een grootet Schoof gottesferchtje Griechen un väl von de väanämste Frues. 
ACT.17.5	Oba de stieekopje Juden wieren aufjenstich un holden sikj romdriefschet Peebel toop, un brochten de Staut em Opprua, un saumelden sikj ver Jason sien Hus un vesochten an rut to kjrieen un ver däm Volkj to brinjen. 
ACT.17.6	Oba aus see dee nich fungen, schlapten see Jason un noch eenje aundre Breeda ver de Stautsväastona un schrieejen: Dise, dee äwa de gaunze Welt Trubbel jemoakt haben, sent uk häajekomen, 
ACT.17.7	un Jason haft dee bie sikj oppjenomen. Dise haundlen aula jäajen dän Kjeisa sien Jesaz un sajen, doa es een aundra Kjennich, dän see Jesus nanen! 
ACT.17.8	Aus daut Volkj un de Stautsväastona daut hieeden, jeef daut een grootet Derchenaunda. 
ACT.17.9	Un aus Jason ieescht fa an gootjesajcht haud, leeten see an wada gonen.
ACT.17.10	De Breeda schekjten dan fuaz de Nacht Paulus un Silas no Beria. Aus see doahan kjeemen, jinjen see en de Judenschool nenn. 
ACT.17.11	De Menschen doa wieren aunstendja aus dee en Tessalonich; dee neemen daut Wuat gaunz wellich opp, un forschten aule Dach en de Schreft, om to seenen auf daut soo wia, aus see säden. 
ACT.17.12	Un doa kjeemen väl Juden toom Gloowen, un soo uk väl väanäme griechische Frues un Mana. 
ACT.17.13	Aus de Juden en Tessalonich hieeden, daut Paulus daut Gotteswuat uk en Beria prädijd, kjeemen see uk doahan, daut Volkj opptoräajen. 
ACT.17.14	De Breeda schekjten Paulus dan fuaz wajch, bat aum Mäa to gonen, oba Silas un Timotäus bleewen en Beria. 
