GEN.1.1	Du ujuni Naşibaţi apaş baţi na mboş.
ACT.22.22	Wi 
ACT.22.23	Wi bakhuuranuŋ, afël iyeti yi baka bko duuţ
ACT.22.24	kë naşih i bangoli aşë do kë bañooţa du katoh kaweek kambiguŋ na pmboş pkëm. Aji bakoba na itinŧël, aţupna uko unkayi kë bañaaŋ bakhuura hënk. 
ACT.22.25	Wi bapiinţanuŋ Pawulu kakob, kë aşë ji na naweek i bangoli iñeen-week annaţuŋ da : « Naşal aji pmob ñaaŋ anliŋuŋ na baromeŋ kakob na itinŧël bë aandobi dolan uruha uwo ţi bgah i ? » 
ACT.22.26	Wi naweek i bangoli aŧiinkuŋ uko waŋ aşë ya du naşih i bangoli, akakalëşa wa. Aşë jaka aji : « Iwin uko wi iŋaluŋ lah pdo ? Ñiinţ i aliŋ na baromeŋ. » 
ACT.22.27	Kë naşih i bangoli aşë ya du Pawulu, ahepara aji : « Ţupan, iwi iliŋ na baromeŋ i ? » Kë aŧeema aji : « Hënk da na manjoonan. » Naşih i bangoli kë aşë jaka : 
ACT.22.28	« Nji, dluk luk itaka iŧum, abaa hil aliŋ na baromeŋ. » Kë Pawulu aŧeema aji : « Kë nji, nşë buka buka aliŋ na baromeŋ. » 
ACT.22.29	Banwooŋ biki pkoba pa aţiini balowa ţi dko mënţ, kë naşih i bangoli aşë lënk wi ameeŋ kë Pawulu i atanuŋ hënk, aliŋ na baromeŋ.
ACT.22.30	Wi nfa mambanuŋ, kë naşih i bangoli aşë do kë bafënëş 
ACT.23.1	Wi wi 
ACT.23.2	Kë 
ACT.23.3	Kë Pawulu aşë ji na a : « Iwi naŧaaki i
ACT.23.4	Biinţ bannaţuŋ añog Pawulu kë başë jaka : « Ikar kar naşih i baţeŋan Naşibaţi ! » 
ACT.23.5	Kë Pawulu aşë ŧeem aji : « Babuk biinţ mëmme aji awooŋ naşih i baţeŋan. Baţup ţi Ulibra wi Naşibaţi aji : 
ACT.23.6	Wi Pawulu awinuŋ kë baloŋ ţi pnŧuk pi bawayëş baweek bawo 
ACT.23.7	Wi ajakaŋ jak haŋ, kë bafariŧay na baŧaduk başë jun pŋom, abot apaţşër. 
ACT.23.8	(Baŧaduk başal aji bankeţuŋ baankluŋ kanaţa ţi pkeţ, kë ŋwanjuŧ na ŋnŧoŋ ŋaanwoo, kë bafariŧay başal aji iko mënţ iwoo.) 
ACT.23.9	Pŋaat kë pabi dëma dëm, kë 
ACT.23.10	Pŋom padëm pdëm paŋ, kë naşih i bangoli adoo ţi babi bakit kitan Pawulu, aşë ji na bangoli bawala baya bapënana ţi pŧoof pi baka, baţija katoh kaweek kanyeŋaniiŋ.
ACT.23.11	Uŧejan mënţ, kë Ajugun aşë naţ ţi kadun ki Pawulu aji na a : « Mëbaan iliinŧ ! Iţiiniyaan katim ki naan ţi Yeruŧalem ţi aşë wo kak i kado haŋ du Rom. »
ACT.23.12	Wi unuur ujinţuŋ, kë 
ACT.23.13	Banŧiinkaruŋ haŋ bapel iñeen ŋbaakër. 
ACT.23.14	Wi wi başaaŋ aya du 
ACT.23.15	Hënkuŋ an ţi katim ki pnŧuk pi bawayëş bţup baweek, nayilan du naşih i bangoli naji na a aţijan Pawulu, nadaar naji naŋal kame bnuura uko wi adoluŋ. Kë un, ŋdobi bomandër bomandër pa pfiŋa ji abi ado kaban ţi. »
ACT.23.16	Wi naţaşa aloŋ ayimi Pawulu aŧiinkuŋ uko waŋ, aşë ya du katoh kaweek kambiguŋ na pmboş pkëm, aneej da aţupa. 
ACT.23.17	Wi wi Pawulu aşaaŋ adu naweek aloŋ i bangoli iñeen-week, aji na a : « Ñooţan naţaşa i du naşih i bangoli, aka uko uloŋ wi pţupa. » 
ACT.23.18	Kë naweek i bangoli añooţ naţaşa du naşih i baka, aşë ji na a : « Pawulu nakalabuş adu'ën akooţën aji nţiju naţaşa i, aka uko uloŋ wi pţupu. » 
ACT.23.19	Kë naşih i bangoli aşë mëbana ţi kañen apën na a kë bagaagi aşë jaka : « We wi iŋaluŋ pţupën ? » 
ACT.23.20	Kë naţaşa aşë jaka : « Bayuday baŧiinkar aji babi pheparu iţij Pawulu faan du pnŧuk pi bawayëş bţup baweek, baji baŋal kadaar kaji baŋal kame uko wi adoluŋ. 
ACT.23.21	Kdinan baka uko waŋ, ţiki bañaaŋ bampeluŋ iñeen ŋbaakër bamena dko dloŋ, ayoonka. Bahoŋ amehna aji baankde nin kadaan bë baanfiŋ Pawulu. Babomandër hënkuŋ aba, ayoonk yoonk idinan. » 
ACT.23.22	Kë naşih i bangoli aşë jaka awut kaţup nin aloŋ kaji aţupa uko mënţ, aşë wutan naţaşa kë ayaa.
ACT.23.23	Wi wi naşih i bangoli aşaaŋ adu baweek batëb biki bangoli iñeen-week aji na baka : « Nabomandëran na bangoli iñeen-week ŋyaaş ŋtëb (200), na bajug ŋmpëlënŧ iñeen paaj na uloŋ (70), na bangoli iñeen-week ŋyaaş ŋtëb (200) biki ijan, naya Kayŧaraya nţa di woli ŋwoori kañeen kaloŋ ŋi utaakal ŋakobi. » 
ACT.23.24	Nabomaan ŋmpëlënŧ nañooţna 
ACT.23.25	Hënk kë naşih i bangoli aşë piiŧ Feliŧ aji :
ACT.23.26	« Iwi Feliŧ nanŧuŋa naweek, nji, Klodiyuŧ Liŧiyaŧ dpiiŧuŋ awulu mboş. 
ACT.23.27	 bamob ñiinţ i aŋal pfiŋa, kë nşë bi na bangoli naan abuurana, ţiki baţupën aji aliŋ na baromeŋ. 
ACT.23.28	Wi nŋaluŋ pme uko wi ajubanuŋ aşë ñooţa pnŧuk pi bawayëş bţup baweek pi baka. 
ACT.23.29	Wi wi ŋşaaŋ ayikrën kë uko wi baktaparuluŋ uŧaaŋ na bgah bi baka, bë baanka ka nin uko uloŋ utapara unkëşuŋ bafiŋa këme batuha. 
ACT.23.30	Wi mmeeŋ kë baloŋ baŧiinkar pfiŋa, kë nşë yil ţi dko mënţ aji baţiju a. Dkak ado bantaparuluŋ bţup babi ţi iwi baţup uko wi adoluŋ baka. »
ACT.23.31	Na uŧejan, bangoli bado uko wi naşih i baka ajakuŋ, ajej Pawulu, aya na a te ubeeka wi Antipatriŧ. 
ACT.23.32	Wi unuur ujinţuŋ kë bangoli bukuŋ başë kak du katoh kaweek, awut bajug ŋmpëlënŧ kë baya na Pawulu. 
ACT.23.33	Wi babanuŋ Kayŧaraya aşë wul Feliŧ nanŧuŋa uko wi Klodiyuŧ apiiŧuŋ, aşë dukara Pawulu. 
ACT.23.34	Wi nanŧuŋa aleyiiruŋ uko umpiiŧuŋ aşë hepar Pawulu uŧaak wi awoonuŋ. Wi ameeŋ kë awo i uŧaak wi Ŧiliŧiya
ACT.23.35	aşë ji na a : « Dluŋ kaŧiinku woli bantapariiŋ bţup babani. » Kë aşë do kë bahank Pawulu du katoh ki pşih ki 
ACT.24.1	Wi ŋnuur kañeen ŋaţëpuŋ, kë Ananiyaŧ 
ACT.24.2+ACT.24.3	Wi baduuŋ Pawulu, kë Tertuloŧ aşë jun ptapara iko aji : « Iwi Feliŧ nanŧuŋa naweek, ŋjon nţo ţi awo bnuura ţi pşih pi nu, kë mntit mi nu mankak aţij iko inuura ihalu ţi uŧaak. Kë ŋji ŋlilandëru maakan, kabot kaŧaaŋaru, ŋnuur bŧi na dko bŧi. 
ACT.24.4	Ŋënkţo kanooranu na bţup bŧum, aşë ŋal iŧiinkun btiişu. 
ACT.24.5	Ñiinţ i awo ñaaŋ anwuţuŋ maakan, anwooŋ ţi pyewlën 
ACT.24.6	Adoo do do na pţopan 
ACT.24.7	kë Liŧiyaŧ naşih i bangoli aşë bi na kmëni aŧehun a ţi iñen, 
ACT.24.8	ado bantaparuŋ Pawulu bţup babi ţi iwi.] Woli ihepara bnuura, aŧiinka, këme bdidi'u iko yi ŋktaparuluŋ. » 
ACT.24.9	Kë bayuday baţok na a, ţi uko wi ataparuluŋ aji ujoonani.
ACT.24.10	Wi Feliŧ nanŧuŋa adekuŋ 
ACT.24.11	Ihinan kahepar bnuura baţupu kë uundo pel ŋnuur iñeen na ŋtëb wi nyaŋ Yeruŧalem pdëman Naşibaţi. 
ACT.24.12	Bambiiŋ akeeşaarën baanţënkën kë nji kaŋom na nin ñaaŋ aloŋ du 
ACT.24.13	Baankak ahinan kadiiman kë uko wi baktaparaanuŋ hënkuŋ uwo manjoonan. 
ACT.24.14	Kë nşë dinan ţi kadunu aji dji kadëman Naşibaţi i başinun, wi njaaŋ kaţaş Bgah bi bukal bajakuŋ aji bawo bwuţaan. Dfiyaar iko bŧi inŧaaŋuŋ na Bgah, na yi 
ACT.24.15	abot ahaţ pnaţa ţi pkeţ pi baŧool na bado buţaan ji bañaaŋ biki bantaparaanuŋ bţup. 
ACT.24.16	Ukaaŋ kë nji kadoonaan ŋnuur bŧi pwo na uhaaş ujinţ ţi kadun ki Naşibaţi, na ki bañaaŋ. »
ACT.24.17	« Kë wal wi ndoluŋ ŋşubal du bdig, aşë kak ţi Yeruŧalem aţij itaka pţënkna bañaaŋ bajuuk biki pntaali pi naan, kabot kado iţeŋan yi Naşibaţi. 
ACT.24.18	Wi wi başaaŋ aţënkën du Katoh ki Naşibaţi kë nji kabaañëş bţeŋan bjinţan uhaaş. Mënwo na nin pnŧuk ploŋ abot awo mënţij nin pŋaat. 
ACT.24.19	Kë 
ACT.24.20	këme banwooŋ ţi baţup uko wi bawinuŋ uwuţaan ţi nji wi nnaţuŋ ţi kadun ki baka du pnŧuk pi bawayëş bţup baweek pi bayuday. 
ACT.24.21	Këme uwohaŋ kak uko wi nhuuranuŋ ţi kadun ki baka aji : “Uţup wi pnaţa ţi pkeţ, ukaaŋ kë mbi nţa bawayëşaan ţi kadunan ?” »
ACT.24.22	Kë Feliŧ nanŧuŋa, ammeeŋ bnuura uko wi bgah bi Ajugun, aşë lutan pwayëş te unuur uloŋ, aji na baka : « Dluŋ kawayëş uko wi nan woli Liŧiyaŧ naşih i bangoli abii. »
ACT.24.23	Wal mënţ kë aşë ji na naweek i bangoli iñeen-week aloŋ, ahank Pawulu du ukalabuş, bawut kado kanoorana babot bawut bayiţul bado kaţënka.
ACT.24.24	Wi ŋnuur ŋloŋ ŋaţëpuŋ, kë Feliŧ aşë bi na aharul anwooŋ 
ACT.24.25	Kë jibi Pawulu akţupuŋ adoo jun pban ţi iko yi pwo ñaaŋ naŧool, yi pţijan uleef, na yi unuur wi Naşibaţi akluŋ kawayëş bañaaŋ, kë Feliŧ aşë yewla, aji na a : « Ţañaan ba hënk nţa, ihinan kaya, woli dbi jeeh kayil pdu'u. » 
ACT.24.26	Ahaţ wal mënţ aji Pawulu awula itaka, ukaaŋ kë aji du'ara du, kaţiini na a.
ACT.24.27	Wi ŋşubal ŋtëb ŋaţëpuŋ, kë Porŧiyuŧ Feŧtuŧ aşë yeenkëş Feliŧ ţi pnŧuŋa, anwutuŋ Pawulu du ukalabuş, pdolna bayuday balilan.
ACT.25.1	Wi Feŧtuŧ abanuŋ ţi uŧaak ado ŋnuur ŋwajanţ, aşë pënna Kayŧaraya, aya Yeruŧalem. 
ACT.25.2	 na bantohi baweek 
ACT.25.3	Kë başë ñehan Feŧtuŧ aţënk ţënk baka, ado Pawulu aya Yeruŧalem, ţiki babop ayoonka ţi bgah, kahilna kaba na a. 
ACT.25.4	Kë Feŧtuŧ aşë ŧeem baka aji : « Pawulu awo ukalabuş du Kayŧaraya, kë nji ţi uleef naan, nkak awo i kaya da ţi ŋnuur ŋi. 
ACT.25.5	Nadolan baweek biki nan, baluŋ babi na nji, woli ñiinţ aŋ mënţan ado buţaan bloŋ baya keeşaara. »
ACT.25.6	Feŧtuŧ ado du Yeruŧalem ŋnuur bakreŋ kaya iñeen ţañ na baka, aşë ya Kayŧaraya. Wi unuur ujinţuŋ, kë aşë ţo du uruha, ado kë baţij Pawulu ţi kadunul. 
ACT.25.7	Wal wi Pawulu abiiŋ, kë bayuday banwoonuŋ Yeruŧalem, başë bi anaţ afooya, atapara iko iŧum iwuţaan maakan, yi bawooŋ baanhinan adiiman kë ijoonanii. 
ACT.25.8	Kë Pawulu aşë yeŋan uleeful aji : « Mëndo do nin ukoolan unwuţuŋ ţi bgah bi bayuday, këme ţi 
ACT.25.9	Kë Feŧtuŧ, anşaaŋ aŋal bayuday balilandëra, kë aşë hepara aji : « Iinŋal kabi Yeruŧalem, nya nwayëşu ţi uko wi batapariiŋ i ? » 
ACT.25.10	Kë Pawulu aşë ŧeema aji : « Dwo ţi uruha wi Ŧeŧar ţi, awo i kawayëşaana ţi. Mëndo bayuday nin ukoolan, kë iwo name iwi ţi uleefu. 
ACT.25.11	Bë woli djuban na manjoonan, woli ddo uko uloŋ uwuţaan unkëşuŋ nkeţ, mënkpok pa. Aşë wo kakşa woli iko yi bataparaanuŋ iinjoonani, nin aloŋ aanka na pwulën du bayuday. Dnuma Ŧeŧar awayëşaan ! » 
ACT.25.12	Wi Feŧtuŧ awinaruŋ na balemparul baññoguluŋ, aşë ŧeema aji : « Inuma pwayëş pi Ŧeŧar, ikeer aya du kadun ki Ŧetar. »
ACT.25.13	Wi ŋnuur ŋloŋ ŋaţëpuŋ, kë Agripa naşih na Bereniŧ aţa'ul ñaaţ başë bi ţi Kayŧaraya, pwul Feŧtuŧ mboş. 
ACT.25.14	Jibi bawooŋ biki pdo da ŋnuur ŋloŋ, kë Feŧtuŧ aşë ţiini na Agripa naşih ţi uko wi 
ACT.25.15	Wi nwooŋ du Yeruŧalem, kë 
ACT.25.16	Kë nşë ŧeem baka aji baromeŋ baanţaal pmob ñaaŋ katuh bë aannaţ ţi kadun ki bantaparuluŋ bţup ayeŋan uleeful. 
ACT.25.17	Wi wi başaaŋ abi na nji ţi, kë mëndo ţo ajon, aşë ţo du uruha wi unuur ujinţuŋ, aşë do kë baţij ñiinţ mënţ. 
ACT.25.18	Kë wi baţijuŋ bankeeşaaruluŋ ţi kadunul, baanţup ţup nin uko uloŋ ţi iko iwuţaan yi nji nşaluŋ aji ul adoo. 
ACT.25.19	Pŋom pi bakaaŋ na a pawoona ţañ ţi bgah banwooŋ bi baka, na ţi ñaaŋ aloŋ ankeţuŋ i bajaaŋ bado Yeŧu, i Pawulu akjakuŋ awo najeb. 
ACT.25.20	Kë nşë yewla, mëmme hum di nji kawayëşuŋ iko yaŋ, aşë hepara me aŋal kaya Yeruŧalem baya bawayëşaana ţi iko mënţ. 
ACT.25.21	Kë wi Pawulu aşaaŋ hepar aji aŋal pwayëş pi 
ACT.25.22	Kë Agripa aşë ŧeem Feŧtuŧ aji : « Nji kak dŋal kaŧiink ñiinţ mënţan. » Kë aji na a : « Iluŋ kaŧiinka faan. »
ACT.25.23	Wi nfa mambanuŋ, kë Agripa na Bereniŧ, başë bi na pkëpaţër pweek, aneej du dko di uruha, kë başih bangoli na bantohi baweek biki ubeeka kë bafooy baka. Wi wi Feŧtuŧ adoluŋ wal mënţ kë baţij 
ACT.25.24	Aşë ţiini na bañaaŋ aji : « Iwi Agripa naşih na an bŧi nanwooŋ ţi na un, nawin ñiinţ i. Ul akaaŋ kë 
ACT.25.25	Kë nji kë nşë win nji ţi uleef naan, kë aando nin uko uloŋ unkëşuŋ akeţ. Wi aşaaŋ añehan aji aŋal pya du naşih najeenkal aya awayëşa, kë nşë ji ddola aya du a. 
ACT.25.26	Aşë wo mënka nin uko uloŋ unkëşuŋ ppiiŧ naşih najeenkal ţi ñiinţ i. Ukaaŋ kë nţija ţi kadun ki nan na ki iwi Agripa naşih ţi uleefu. Hënk, woli nahepara, kaşë ka uko upiiŧ naşih najeenkal. 
ACT.25.27	Ñaaŋ aanhilanuŋ kabubara kañooţ nakalabuş du naşih najeenkal bë iinţup uko wi adoluŋ. »
ACT.26.1	Hënk, kë Agripa aşë ji na 
ACT.26.2	« Iwi Agripa naşih, dlilan nţa, wi nnaţuŋ ţi kadunu, kaŧeem ţi iko yi bayiţ naan 
ACT.26.3	Dkak alilan maakan, ţiki ime udolade wi baka bnuura akak ame bnuura iko yi bajaaŋ baŋomna. Ukaaŋ kë nji kakooţu kooţ iŧiinkën bnuura.
ACT.26.4	« Bayuday bŧi bame jibi nţoori ţi kpoţ. Bame kak bŧi jibi ţi kaŧeeku nţoori du uŧaak wi naan, na du Yeruŧalem. 
ACT.26.5	Bame'ën undiimaan, ahilan kaţup woli baŋali kë dji kaţaş bgah bi pnŧuk pi 
ACT.26.6	Kë hënkuŋ, uko unkaaŋ kë bakwayşaan ţi, uwooŋ kë : Dhaţ uko wi Naşibaţi abiiŋ ahoŋ başinun. 
ACT.26.7	Kë kşini iñeen na ktëb ki pntaali pi nun, kahoŋ mënţan ki ki kahaţuŋ pyeenk, wi kadëmanuŋ Naşibaţi na ŋhaaş ŋi baka nfa na utaakal. Iwi Agripa naşih, mnhaţ maŋ mankahaŋ kë bayuday baţijën uruha. 
ACT.26.8	We ukaaŋ kë an bayuday naşal aji ŋënhinan kafiyaar kë Naşibaţi aji naţan bañaaŋ ţi pkeţ ba ? » 
ACT.26.9	« Kë nji ţi uleef naan hënk, kë ndun aşal aji dwo kado uko wi nhinanuŋ bŧi kaŧokna katim ki Yeŧu i 
ACT.26.10	Kë hënk di di ndolaŋ du Yeruŧalem, amob banfiyaaruŋ Yeŧu baŧum awat ukalabuş. 
ACT.26.11	Dji kañaay na itoh iñehanaani bŧi, kahajan banfiyaaruŋ Yeŧu, kawuuk baka pkar katim ki nul. Ddeebaţër baka maakan, adoo ji kaya ŋbeeka ŋmpaţi prab baka kahajan.
ACT.26.12	« Kë hënk di nŧooluŋ unuur uloŋ pya ubeeka wi Damaŧ, pdo ulemp mënţ awo na uworda wi 
ACT.26.13	Kaya pban mndiiŋ unuur, djaku iwi, naşih, kë nşë wo ţi bgah, aşë win bjeehi bloŋ banwoonuŋ baţi aşë jeehan apel unuur, kë babi agurën nji na bankyaanţuŋ na nji. 
ACT.26.14	Hënk, kë ŋpën bŧi ajot ţi mboş. Kë nşë ŧiink pdiim ploŋ kë pakţiini na nji na uţup 
ACT.26.15	Kë nşë hepar aji : “Iwi in ula ba, Ajugun ?” Kë Ajugun aşë ŧeem aji : “Nji Yeŧu a, ikhajanuŋ. 
ACT.26.16	Naţiin iwo bnaţ, dpën awinana ţi kadunu, kakakanaanu nalempar naan. Iwo kaţup bandukiiŋ uko wi iwinuŋ nţa ţi nji, na wi nji kaluŋ kadiimanu. 
ACT.26.17	Dluŋ kayeŋu, ţi 
ACT.26.18	Iwoyi kahaabëş baka këş, kapënan baka ţi bdëm, kaţij moŋ bjeehi, kapënan baka ţi mnhina mi uweek wi ŋnŧaayi, kaţij du Naşibaţi. Hënk bahilna woli bafiyaarën, bapënan baka ipekadu bahil kawo ţi biki Naşibaţi adatuŋ aji bawo pntaali pi nul.”
ACT.26.19	« Ukaaŋ, Agripa naşih, kë nţaş uko wi Naşibaţi aţupnuŋ wi ahaabëşaanuŋ këş. 
ACT.26.20	Djunna Damaŧ na Yeruŧalem, abaañşaan ŋfëţ ŋi 
ACT.26.21	Uko waŋ ukaaŋ kë 
ACT.26.22	Kë Naşibaţi aşë wo na nji te unuur wi nţa wi, kë ndoo naţ ţi kadun ki bañaaŋ bŧi, bampoţi na baweek aţup uko wi mmaaruŋ. Uko wi nji kaţupuŋ uunwo wo uloŋ umpaţi na wi 
ACT.26.23	 aluŋ kahaj kaşë kawo naŧeek anknaţiiŋ ţi pkeţ kaţup bayuday na banwooŋ baanwo bayuday, bjeehi bi mbuur. »
ACT.26.24	Wi 
ACT.26.25	Kë Pawulu aşë ŧeema aji : « Iwi Naweek maakan, mënyilaa, uko wi nji kaţupuŋ ujoonan akuţ aţëp ţi bgah. 
ACT.26.26	Agripa naşih, dñoom kaţup na a na mntëŋ ţiki dme kë aampaam iko mënţ bŧi, iindolana du bñot, dme kë ame ya bŧi aba. 
ACT.26.27	Iwi Agripa naşih, ifiyaar uko wi 
ACT.26.28	Kë Agripa aşë ŧeem Pawulu aji : « Iŋal kakakanaan nariŧtoŋ ubaa kaţo'un ţi ! » 
ACT.26.29	Kë Pawulu akak aŧeem aji : « Mëmme me uŧar këme ujon, uko wi nji kañehanuŋ Naşibaţi uwooŋ iwi na bankŧiinkuŋ bŧi nţa di, nakak nawo ji nji, aşë wo mënŋal natana mnkorentu ji nji. »
ACT.26.30	Hënk kë naşih, na nanŧuŋa i uŧaak, na Bereniŧ, na bañaaŋ bŧi banwooŋ na baka başë naţa. 
ACT.26.31	Wi bapënuŋ aşë ţiini bukal bukal aji : « Ñiinţ i aando do uko uloŋ unkëşuŋ akeţ këme aya ukalabuş. » 
ACT.26.32	Kë Agripa aşë ji na Feŧtuŧ : « Ŋhinan lah kawutana, kë aşaaŋ ahepar pwayëşaana du naşih najeenkal. »
ACT.27.1	Wi ukakuŋ wi pjej ulanŧu kaya Itali, kë başë wul 
ACT.27.2	Kë ŋjej ulanŧu du pkëŋ pi Adramitiyum unwooŋ wi pya Aŧiya, aŧool pya. Ariŧtarkuŧ i Teŧalonika du Maŧedoniya kë abi na un. 
ACT.27.3	Wi unuur ujinţuŋ kë ŋşë ban Ŧidoŋ. Yuliyuŧ awo na Pawulu bnuura, awuta kë aji ya kawin banohul, baţena iko yi anumiiŋ. 
ACT.27.4	Ŋwoona du Ŧidoŋ, kë jibi uyook ukkobuŋ adek na un, kë ŋfooy na umbaŋ wi unjiw wi Kipruŧ wi uwooŋ uunkkob. 
ACT.27.5	Kë wi wi ŋmuuruŋ bdëk baññoguŋ ŋŧaak ŋi Ŧiliŧiya, na Pamfili aban Mire du uŧaak wi Likiya. 
ACT.27.6	Wi ŋbanuŋ da, kë naweek i bangoli aşë win ulanŧu uloŋ unwoonuŋ Alekŧandriya, aŧool pya Itali, aşë dolun kë ŋjej wa.
ACT.27.7	Ŋdo ŋnuur ŋŧum aya ya btiişu, ţiki uyook uwoo, ŋhaj maakan abaa ban kañog ubeeka wi Këniduŧ. Uyook uneenanun pya na bŧool, kë ŋduk ubeeka wi Ŧalmome ţi kañen kadeenu, afooy unjiw wi Kret. 
ACT.27.8	Ŋţaş ţaş ukab, ahaj maakan abaa ban dko di bajaaŋ bado Ikëŋ Inuura, daññoguŋ ubeeka wi Laŧaya.
ACT.27.9	Ŋţo du Laŧaya ajon, kë pya kadun pado kak anooran, ţiki unuur wi pyiman wi 
ACT.27.10	« Babuk biinţ, dwin kë bgah bi nun bi baya kawuţ, ulanŧu uŧoka dko dweek na iko yi ujijuŋ bŧi, bañaaŋ badoo hilan kakeţ da. » 
ACT.27.11	Kë naweek i bangoli aşë mëban ţi wi naweek i baţoŋ ulanŧu na ajug wa bajakuŋ, apok pŧiink Pawulu. 
ACT.27.12	Pkëŋ paannuura pţëpanaan ŋnuur ŋi ujonţ na ukëk uweek, kë baŧum ţi baka baŋal ŋneej ţi bdëk, ŋdoonaan pban pkëŋ pi Fonika woli ŋhinani. Pkëŋ pi Fonika pawo du unjiw wi Kret, paŧaaŋ na kayoba ajej ţi btammaŋu na btamşanka, kë bahilan kaţëpan da ŋnuur ŋi ujonţ na ukëk.
ACT.27.13	Uyook umpoţi unaţnaana btammaŋu ajun pyook, kë bañaaŋ başal aji bahinan kado uko wi başaluŋ, afënëş ulanŧu, aŧool akab kab na kabaŋ ki unjiw wi Kret. 
ACT.27.14	Uundo jon, kë ukëk uweek unwooŋ katim ki btamşanka umayar unuur uşë naţnaana unjiw akëk. 
ACT.27.15	Ukëk wuŋ ubi akob ţi ulanŧu, kë ŋënkak ahilan wa pţijan, aşë wut kë uyook ukya na un. 
ACT.27.16	Wi ŋţëpnuŋ btammaŋu bi unjiw umpoţi unwooŋ katim ki Kawuda, aşë ţu kamenkla uyook btiişu. Ŋdoonaan te adoo kakan bţeem bmpoţi bbuurni bantanuŋ ţi kafeţ ki ulanŧu. 
ACT.27.17	Hënk, kë balemp biki ulanŧu bajej ital atanrën wa uwutna kaŧoka. Baţi wal mënţ uyook ufël baka ţi pyiw pwuţan pi bdëk bweek du Libiya. Wi wi başaaŋ aŋuj iloona, aşë wut uyook kë ukya na baka. 
ACT.27.18	Unuur utëbanţën, kë ukëk ukkëka këk maakan, kë bajej iko injijuŋ afël du bdëk. 
ACT.27.19	Unuur uwajanţën, bajej iloona na iko yi ulanŧu afël du bdëk na iñen yi baka. 
ACT.27.20	Ŋdo ŋnuur ŋŧum, ŋënwin bnuur këme ŋjah, kë uyook ukkoba kob maakan, kë ŋbi ji ji wi nun ubaa.
ACT.27.21	Ŋdo ŋnuur, ŋënde de nin ukoolan, kë 
ACT.27.22	Kë nşë kooţan kooţ hënkuŋ, namëbaan naliinŧ ! Nin aloŋ ţi an aankkeţ, ulanŧu ţañ ukŧokiiŋ. 
ACT.27.23	Takal na uŧejan, 
ACT.27.24	ajakën : “Pawulu, klënk ! Iwo i kawayëşa ţi kadun ki naşih najeenkal, kë Naşibaţi ţi bnuura bi nul, akdo bañaaŋ bŧi bankyaanţuŋ na iwi babuur.” 
ACT.27.25	Babuk biinţ, natëŋţënën, ţiki dhaţ ţi Naşibaţi ame kë uwo jibi ajakaaruŋ. 
ACT.27.26	Kë uyook uşë ya kafëlun du unjiw uloŋ. »
ACT.27.27	Ŋdobi wo wo ţi uŧejan unţënknuŋ iñeen na ŋbaakër ţi meel, kë ukëk uhuma kaya na un ţi bdëk bi katim ki Adiriyatik. Kaban mnjel, kë balemp biki ulanŧu başë ŋuur aji ŋñog pkay. 
ACT.27.28	Wi wi batanuŋ pko ploŋ na ptal awalan katenna kadiilade, awin kë kawo ŋmetër iñeen ŋwajanţ na paaj na uloŋ, akak aban ţuŋ aten, awin kë kawo ŋmetër iñeen ŋtëb na bakreŋ. 
ACT.27.29	Baţi wal mënţ uyook ufëlun du mnlaak, atan klaar kdiţ kbaakër du kafeţ ki ulanŧu awalan ţi meel kahilna kamëban wa, aşë bi kaŧaran ŧaran unuur ujinţ. 
ACT.27.30	Balemp biki ulanŧu bado wal mënţ na ppën ţi wa kabuur. Bawalan bţeem bbuurni aşë daar aji baŋal ptan ilaar idiţ iloŋ ţi kadun ki ulanŧu. 
ACT.27.31	Kë Pawulu aşë ji na naweek i bangoli na bangoli bandukiiŋ aji : « Woli balemp biki ulanŧu biki baanţo ţi wa, naankhilan kabuur. » 
ACT.27.32	Ukaaŋ kë bangoli bafal ital inţijanaanuŋ bţeem bbuurni, awutan ba, kë bakyaak.
ACT.27.33	Wi bakyoonkuŋ mnjinţ unuur, kë Pawulu aşë ji na baka bade aji na baka : « Naţo ŋnuur iñeen na ŋbaakër kë ŋhaaş ŋawo bnaţ na an, naande nin ukoolan. 
ACT.27.34	Nabiin nade, nanuma pde kahilna kawo bajeb, nin kawel kaloŋ kaankjot ţi ñaaŋ. » 
ACT.27.35	Wi wi aşaaŋ ajej ipoom abeeb Naşibaţi akitëş ya, aşë jun pde. 
ACT.27.36	Kë wi wi bañaaŋ bŧi bakakanuŋ ŋhaaş, ade ntiinku. 
ACT.27.37	Ŋwo wal mënţ bañaaŋ iñeen-week ŋyaaş ŋtëb na iñeen paaj na uloŋ na paaj (276) ţi ulanŧu. 
ACT.27.38	Wi bañaaŋ bŧi badeeŋ ayok, kë başë fël ŋdeey ŋanwooŋ ţi ulanŧu du bdëk awiişanaan wa.
ACT.27.39	Wi unuur ujinţuŋ, baţoŋ ulanŧu baanyikrën pkay pi bakwinuŋ, aşë win pkay ploŋ panwooŋ na pyiw, aji baya kakaban ulanŧu ţi pa woli bahinani. 
ACT.27.40	Kë wi wi bafaluŋ ital intannuŋ ilaar idiţ inţijanuŋ ulanŧu aşë wutan ya kë iya bdëk. Wi wi başaaŋ afënëş ital yi batannuŋ ŋpaat ŋanjaaŋ ŋaţoŋna ulanŧu, atan kaloona ţi kadun ki wa, uyook uhilna uwuukar wa kadun, aşë ŧool pya pkay. 
