MAT.1.1	Ибрагимнен тувган Дауттынъ улы Иса Масихтинъ асылы-тукымы сосындай эди: 
GAL.4.25	Хаджар Арабистандагы Синай тавына эм аьлиги Ерусалимге келиседи, неге десе ол балалары ман бирге кул болып яшайды.
GAL.4.26	Ама коьктеги Ерусалим эркин, бизим анамыз – ол.
GAL.4.27	Кие Язувда айтылгандай:
GAL.4.27	«Суьйин, бала таппаган, каратон хатын!
GAL.4.27	Бала табув азабын билмеген хатын,
GAL.4.27	давысынъды коьтер эм суьйингенинъди
GAL.4.27	кышкырып билдир.
GAL.4.27	Неге десе эри таслаган ялгыз хатыннынъ балалары
GAL.4.27	эри болгандыкыннан коьбирек».
GAL.4.28	Сиз кардашлар, Исхактай, Алла ваьдесининъ балаларысынъыз.
GAL.4.29	Тек эрте замандагындай, баьри баска балалардай тувган бала Рух куьши мен тувганды кайтип кувган болса, сол зат соьле де болады.
GAL.4.30	Ама Кие Язувда не зат айтылады? «Кул хатынды эм онынъ улын кувып шыгар, неге десе кулдынъ улы эркин хатыннынъ улы ман бирге асаба болмаяк».
GAL.4.31	Сога коьре, кардашлар, биз кул хатыннынъ тувыл, а эркин хатыннынъ балаларымыз.
GAL.5.1	Масих бизди эркин этер уьшин босатты. Сонынъ уьшин берк болынъыз эм янъыдан йорыкка кул болманъыз.
GAL.5.2	Тынъланъыз! Мен, Паул, сизге айтаман: эгер сиз суьннетленетаган болсанъыз, сизге Масихтен пайда болмаяк
GAL.5.3	Оьзин бабага олтырткан аьр кисиге буьтин Таурат йорыгын толтырмага борышлы экенин эсине туьсирмеге суьемен.
GAL.5.4	Йорык пан акланмага суьйгенлер, Масихтен айырылдынъыз, Алладынъ шапагатыннан куры калдынъыз.
GAL.5.5	Биз болсак, (Масихке) сенип акланувымыз тувдырган уьмиттинъ толтырылувын Кие Рухтынъ ярдамы ман саклаймыз.
GAL.5.6	Неге десе Масих Исада суьннетли де суьннетсиз де болув маьнели тувыл. Тек суьюв аркалы аьрекетлеген иман маьнели.
GAL.5.7	Сиз аьруьв бара эдинъиз. Сизге акыйкатлыкка бойсынмага ким орав этти?
GAL.5.8	(Сондай аьдемлерге) бойсынувынъыз сизди шакырган Алладан тувыл.
GAL.5.9	«Бираз ашыткы буьтин ийленген унды ашытар».
GAL.5.10	Раббийдики болганынъыз уьшин, баска туьрли ойламассынъыз деп, каты сенимим бар. А сизде тынышсызлыкты тувдыратаган ким болса да куьнасына йолыктырылаяк.
GAL.5.11	Кардашлар, эгер мен энди де, суьннетлев керекли деп, уваз айтатаган болсам, не уьшин мени соьле кувадылар? Солай этетаган болсам, (Масих оьлтирилген) каш акында айтатаганым биревдинъ де хатерин калдырмас эди.
GAL.5.12	Сизди козгайтаганлар тек оьзлерин суьннет этип калмай, баьрин де кессинлер!
GAL.5.13	Кардашлар, сиз эркинликке шакырылган эдинъиз. Ама сак болынъыз, эркинлигинъиз инсан кылыгынъыздынъ суьйгенин этпеге сылтавы болмасын. Бир биринъизге суьюв мен кызмет кылынъыз.
GAL.5.14	Неге десе буьтин Таурат бир йыйма ман белгиленген: «Ювыгынъды, оьзинъди суьйгендей, суьй».
GAL.5.15	Эгер дейим бир биринъизди кемирип, есенъиз, сак болынъыз – бир биринъизди йок этерсинъиз!
GAL.5.16	Айтканым бу: Рух калай айтса, соьйтип яшанъыз. Ол заманда инсан кылыгынъыздынь куьсегенин толтырмассынъыз.
GAL.5.17	Инсан кылыгыныздынъ куьсегени Рухка карсы, Рухтынъ суьйгени де инсан кылыгынъызга карсы. Олар дайым явласадылар, сога коьре, сиз де этпеге суьйген затларды этпейсинъиз.
GAL.5.18	Тек сиз Рухтынъ етекшилигинде болсанъыз, Таурат йорыгына байлы тувылсынъыз.
GAL.5.19	Инсан кылыгынынъ ислери белгили: олар каьхпелик, арамлык, аьдепсизлик,
GAL.5.20	бутларга табынув, сааршылык, явласув, эрисуьв, куьншилик, ашув, куьндеслик, айырылысув, секташылык,
GAL.5.21	зарланув, эсируьв, тийиссиз ойынлав эм сондай баска затлар. Мен сизге эртеден айткан эдим эм соьле де айтаман: солай этетаганлардынъ эш биреви де Алла Патшалыгында уьлисли болмаяк.
GAL.5.22	Рухтынъ емиси болса суьйим, шатлык, тынышлык, тоьзимлик, танълык, юмартлык, сенимлик,
GAL.5.23	юваслык, оьзин тыюв. Солай затларга карсы болган эш бир йорык йок. 
GAL.5.24	Масих Исадыкылар оьзлерининъ инсан кылыгын непислери эм куьсевлери мен бирге кашта кергенлер.
GAL.5.25	Рух пан яшайтаган болсак, Рух коьрсеткен йолда юрейик.
GAL.5.26	Бир биримизди ашувландырмай, куьнлемей, бос мактанувдан эрек турайык.
GAL.6.1	Кардашлар, эгер дейим кимди болса да биревди куьна этип турганда тутсалар, сиз, Рухы болган аьдемлер, оны юваслык пан туьзетпеге керексинъиз. Сиз де туьз йолдан таймас уьшин оьзинъизге сак болынъыз.
GAL.6.2	Бир биринъизге авыр юклеринъизди коьтермеге ярдамласынъыз, соьйтип Масих йорыгын толтырарсынъыз.
GAL.6.3	Эгер дейим бирев оьзининъ бир заты болмаса да оьзин бир затка санаса, ол оьзин оьзи алдайды.
GAL.6.4	Суьйткенде, аьр ким оьзининъ исин тергесин, сол заманда ол баскалардыкы ман тувыл да тек оьзининъ етимислери мен оьктемсир,
GAL.6.5	неге десе аьр ким оьзининъ яваплы югин оьзи коьтермеге тийисли.
GAL.6.6	Алладынъ соьзи мен насихатланган аьдем аьр туьрли яхшы затын насихатшылары ман боьлиссин.
GAL.6.7	Янъылманъыз: Аллады алдамага амал йок. Аьдем не шашса, соны орар.
GAL.6.8	Оьзининъ инсан кылыгына ярар уьшин шашув шашкан, сол кылыгыннан каза табар. Рухка ярар уьшин шашкан, Рухтан оьмирлик яшав алар.
GAL.6.9	Ийгилик этпеге арымайык, безбей турсак, заман келгенде аслыкты орармыз.
GAL.6.10	Сонынъ уьшин, мырсатымыз болса, баьрисине де, боьтен де иманлыларга, ийгилик этеек.
GAL.6.11	Каранъыз, сизге оьзимнинъ колым ман сосы уьйкен аьриплерди язаман!
GAL.6.12	Аьдемлерге яраяк болганлар сизди суьннетленмеге зорлайдылар, неге десе оьзлери Масихтинъ кашы уьшин кувгынга туьспеге унамайдылар.
GAL.6.13	Ама суьннетленгенлер де Тауратты толтырмайдылар, сизди бабага олтыртып, денинъизге эткенлери мен мактанмага суьедилер.
GAL.6.14	Мен Раббийим Иса Масихтинъ кашыннан баска эш бир зат пан мактанмага суьймеймен. Сол каш пан бу дуныя меним уьшин, мен де бу дуныя уьшин оьлгенмен.
GAL.6.15	Сенинъ суьннетинъ барма яде йокпа – ол маьнели тувыл. Маьнелиси – (Алла ман) янъы яратылган болувынъ.
GAL.6.16	Тынышлык эм рагимлик сол йорыкка ызлаганларга, Алладынъ Исраилине!
GAL.6.17	Мен тенимде Исадынъ яра белгилерин юргистемен, соны уьшин мага бирев де арбатын кыйынлык тувдырмасын.
GAL.6.18	Кардашларым, Раббийимиз Иса Масихтинъ шапагаты сизинъ рухынъыз бан болсын. Амин.
EPH.1.1	Алладынъ ыхтыяры ман Масих Исадынъ элшиси Паулдан Эфесте яшайтаган, Масих Исага багысланган сенимли аьдемлерге салам!
EPH.1.2	Атамыз Алладан эм Раббийимиз Иса Масихтен сизге шапагат эм тынышлык болсын.
EPH.1.3	Раббиймиз Иса Масихтинъ Алласына эм Атасына шуькир болсын! Ол Масих аркалы бизге коьклердеги баьри туьрли рух яхшылыклардан уьлисли болмага разылык берди,
EPH.1.4	суьювимиз бен Ога багысланып, алдында айыпсыз болар уьшин дуныя яратылаяктан алдын бизди Масих аркалы сайлап алды.
EPH.1.5+EPH.1.6	Алла, суьйген Улында бизге коьрсеткен аьлемет шапагаты макталсын деп, Иса Масих аркалы бизди де Оьзининъ разылыгы ман ул этпеге эртеден белгиледи.
EPH.1.7+EPH.1.8	Масихте эм Масихтинъ каны ман биз эркин болдык, куьналарымыздынъ кеширилуьвин алдык. Алла, мол этип, коьрсеткен оьлшемсиз шапагаты бойынша аьр туьрли акыллылык эм билимлилик пен бизди кеширди.
EPH.1.9	Алла Оьз ыхтыяры ман Масих аркалы толтырмага деп эртеден карарлаган мырадынынъ сырын бизге билдирди.
EPH.1.10	Алла мырадына коьре белгилеген заманы еткенде, коьктинъ де, ердинъ де баьрисин Масихтинъ басшылыгына йыяяк.
EPH.1.11	Аьр затты да Оьз буйырыгы эм ыхтыяры ман этетаган Алла оьз ниети мен бизди эртеден белгилеп, Масих аркалы Оьзининъ байыр халкы этти.
EPH.1.12	Сол зат биз, ювытлар, Масихке биринши болып сенгенлер, Алладынъ данъкына мактав аькелер уьшин болды.
EPH.1.13	Акыйкат соьзди – куткарылувынъыз акындагы Ийги Хабарды – эситип, Масихке иман эткенинъизде, сиз де Масих аркалы Алладынъ бермеге айткан Кие Рухын алдынъыз. Кие Рух – Аллага байыр болганынъызды билдирген мухырдай,
EPH.1.14	асабалык берекетти алаягымыздынъ беркитуьвши белгиси. Сонъында Алла Оьз халкын толы эркинликке шыгараяк, баьриси де Онынъ данъкын оьрметлеек.
EPH.1.15+EPH.1.16	Сол себепли мен де, сизинъ Раббий Исага иман эткенинъизди эм имандасларынъыздынъ баьрисин де суьйгенинъизди эситкенимнен бери, токтамай, сиз уьшин Аллага шуькир деп, дуваларымда сизди эсимде тургыстаман.
EPH.1.17	Раббийимиз Иса Масихтинъ Алласы, мактавлы Атасы, сизге Рухын берсин деп, тилеймен. Алладынъ Рухы сизди акыллы этип, Оны билер уьшин коьзинъизди ашар.
EPH.1.18+EPH.1.19+EPH.1.20	Алла сизди шакырувы ман ишинъизде тувдырган уьмитти, Ога багысланганларга аьзирлеген асабалык берекетининъ аьлемет байлыгын эм биздеги, ынанувшылардагы, куьдиретининъ оьлшемсиз уллылыгын сиз анълар уьшин юрегинъизди ярыкландырсын деп, тилеймен. Сол куьдирет, Алла Масихти оьлилерден тирилткен эм коьклерде онъ янында олтырткан заманында, Масихте коьрсеткен куьшли куватындай, ислейди.
EPH.1.21+EPH.1.22+EPH.1.23	Алла Масихти баьри басшылардан, аькимлерден, куьшлерден, иелерден эм, тек бу оьмирде болып калмай, келеек оьмирде де айтылаяк атлардынъ аьр бириннен де бек уллы этти. Баьри затларды Масихтинъ аягынынъ туьбине салды, Ога бойсындырды. Оны баьри затларда ямагатынынъ басы болмага белгиледи. Сол ямагат – Масихтинъ шаркы. Аьр ерде аьр бир затты толы этетаган Масих Оьзининъ ямагатын да толы этеди.
EPH.2.1	Сиз шуьшлеринъиз эм куьналарынъыз себепли оьли эдинъиз,
EPH.2.2	бир заманларда бу куьналарга берилип яшадынъыз. Бу дуныядынъ аьдети мен авада аькимлик эткен басшыдынъ – Аллага бойсынмаган, аьдемлерде соьле исин этетаган рухтынъ (шайтаннынъ) – ызыннан бардынъыз.
EPH.2.3	Бир заманларда баьримиз де солардай, инсан кылыгымыздынъ куьсевлерине берилип, шаркымыз эм акылымыз суьйгенди этип, яшадык. Калганлардай, биз де сол кылыгымызга коьре Алладынъ ашувына тийисли болдык.
EPH.2.4	Ама рагимлиги мол Алла бизге сондай бир уьйкен суьйимди коьрсетти.
EPH.2.5	Шуьшлеримиз уьшин оьли болган болсак та Ол бизге Масих пен бирге яшав берди. Сиз Онынъ шапагаты ман куткарылдынъыз.
EPH.2.6	Алла бизди Масих пен бирге тирилтти, коьклерде бизге де Онынъ янында олтырмага орын берди.
EPH.2.7	Соьйтип, Ол келеек оьмирлерге Оьзининъ Иса Масих аркалы бизге эткен ийгилиги мен шапагатынынъ оьлшемсиз кенълигин коьрсетеек болды.
EPH.2.8+EPH.2.9	Неге десе сиз Алладынъ шапагаты ман иманынъыз аркалы куткарылгансыз. Ол да, етимисинъиз болмай, Алладынъ савгасы болады. Эш биринъиз де мактанмас уьшин Алла сизди эткен ислеринъизге карап куткармас.
EPH.2.10	Неге десе биз Алладынъ эткен исимиз. Биз Масих аркалы ийги ислер этер уьшин яратылганмыз. Алла сол ислерди биз оларга берилип яшар уьшин аьзирлеген.
EPH.2.11+EPH.2.12	Сонынъ уьшин сиз, баска миллетлерден тувганлар, алдынгы аьлинъизди эсте тутынъыз. Оьзлерин «суьннетлилер» деп атаган ювытлар сизге «суьннетсизлер» деп айтадылар. А сол суьннет – кевдеге аьдем колы ман этилген ис. Сиз, алдын Масихсиз болганда, Исраил миллетининъ яшавынынъ тысында калган эдинъиз. Ят болганынъыз уьшин Алладынъ антласувы ман Исраилге берген ваьдесининъ затларында уьлиссиз эдинъиз. Уьмитинъиз йок эди, бу дуныяда Алладан куры калган эдинъиз.
EPH.2.13	А энди Масих аркалы сиз, бир заманларда Алладан эрек болганлар, Масихтинъ каны ман Ога ювык болдынъыз.
EPH.2.14+EPH.2.15+EPH.2.16	Неге десе Масих – биздеги тынышлыктынъ негизи. Ол ювытларды да, баска миллетлерди де бирлестирип, араларындагы иргеди, душпанлыкты, Оьзининъ шаркы ман йок этти. (Ювытларды баска миллетлерден айырган) Тауратты буйырыклары эм аьдетлери мен бирге куьшсиз этти. Соьйтип, Ол тынышлык аькелди, Оьзи мен эки кавымнан янъы туьрли инсан яратты, душпанлыкты Оьзи оьлтирилген кашы ман йок этти эм эки кавымды, сол каш аркалы бир шарк этип, Алла ман ярастырды.
EPH.2.17+EPH.2.18	Масих келип, сизге, бир заманларда Алладан эрек болган баска миллетлерге, эм Ога ювык ювытларга бу тынышлык акындагы Ийги Хабарды билдирди. Неге десе биз, эки кавым да, Масих аркалы бир Рух пан Атамыз Алладынъ алдына шыкпага йолды таптык.
EPH.2.19	Соьйтип, сиз энди ят эм тыс аьдемлер тувылсыз, Аллага багысланган халкы (Исраил) ман бир юрттасынъыз, Алла уьйирисиз.
EPH.2.20	Элшилер мен пайхамбарлар салган уьй негиздинъ уьстинде беркидинъиз, Масих Иса Оьзи де – онынъ негиз тасы.
EPH.2.21+EPH.2.22	Сол негиз тастынъ уьстинде буьтин уьй уйгынлы кепте куралады эм оьсип, Раббийге берилген кие уьй болады. Сиз де, Масих аркалы бирге куралып, Алладынъ Рухы ман яшайтаган меканы боласыз.
EPH.3.1	Сол себептен мен, Паул, сиз, баска миллетлилер, уьшин Иса Масих йолында тутнакка капалдым.
EPH.3.2	Алла шапагатын сизге билдируьв яваплылыкты мага тапшырганын эситкен боларсыз.
EPH.3.3	Мен муннан алдын кыскасыннан язгандай, Алла Оьз сырын меним оьзиме ашып билдирди.
EPH.3.4	Муны окып, сиз Масихтинъ сырын калай ийги анълаганымды сезеексиз.
EPH.3.5	Алла алдынгы несиллердеги инсанларга билдирмеген, а энди Оьз Рухы ман Ога багысланган элшилерине эм пайхамбарларына ашкан сыр сосындай болады:
EPH.3.6	Ийги Хабардынъ яйылувы ман Иса Масих аркалы баска миллетлер де ювытларга берилген асабалык берекетти аладылар, олар ман бир шарк болып, Алла берген ваьдеден уьлисли боладылар.
EPH.3.7	Алладынъ мендеги куваты аркалы шапагаты ман берген савгасы ман сол Ийги Хабарга мен кызмет кылувшы болдым.
EPH.3.8	Аллага багысланган аьдемлердинъ баьрисиннен кишкей болсам да Алла мага шапагатын коьрсетти: мага Масихтинъ акылга сыймаслык байлыгынынъ Ийги Хабарын баска миллетлерге яймага
EPH.3.9	эм аьр неди яраткан Аллада оьмирликтен бери сыр болып калган ниети калай куралганын баьрисине де ашып айтпага тапшырылды.
EPH.3.10	Соьйтип, Алла Оьзининъ туьрли яклы акыллылыгын энди ямагатынынъ уьсти мен коьклердеги басшыларга эм аькимлерге
EPH.3.11	Алла оьмирлерден де алдын аьзирлеген эм Раббийимиз Масих Исада толтырган мырадына коьре солай этти.
EPH.3.12	Масих пен бирликте Ога иман этуьвимиз аркалы биз Аллага таьвекеллик эм сенимлик пен ювык келмеге боламыз.
EPH.3.13	Сога коьре мен сизден тилеймен: сиз уьшин азап шеккенимнен тоьмен болманъыз, неге десе ол сизге данък аькелер.
EPH.3.14	Сол себептен мен Раббийимиз Иса Масихтинъ Атасы алдында тизимнен шоьнъкип тураман.
EPH.3.15	Атасыннан коьклердеги эм ердеги буьтин ырувлар
EPH.3.16+EPH.3.17+EPH.3.18+EPH.3.19	Алла, Оьзининъ аьлемет байлыгыннан Рухы ман ишинъиздеги аьдемге куьдирет берип, сизди беркитсин, Масих Оьзине ынанувынъыз аркалы юрегинъизде яшасын деп, тилеймен. Соьйтип, сиз суьювде тамырланып, негизленип, Аллага багысланганлардынъ баьриси мен бирге Масихтинъ суьюви не кадер кенъ эм узын, бийик эм терен болганын анъламага, билимнен озган сол суьювди билмеге куьш алып, Алладынъ буьтин толылыгы ман толарсыз.
EPH.3.20+EPH.3.21	Бизде ислейтаган куьши мен биз тилеген яде ойлаган аьр заттан да артыкты этип болган Аллага, Оьзининъ ямагаты эм Масих Иса аркалы несилден несилге оьмирлерге данък болсын! Амин.
EPH.4.1	Сол себепли, мен, Раббий уьшин тутнакка капалган, сизден Алла шакырган яшавга тийисли болып турганынъызды тилеймен.
EPH.4.2	Аьр заман сабыр эм ювас болып, тоьзимлик этип, суьйимлик пен бир биринъизге шыдамлы болынъыз.
EPH.4.3	Кие Рух берген бирликти саклар уьшин баьри болаяк затты, бир биринъиз бен ярасып, этинъиз.
EPH.4.4	Алла сизди шакырган уьмит бир болгандай, Масихтинъ шаркы (ямагаты) эм Алла Рухы да солай ок бир.
EPH.4.5	Раббий – бир, иман – бир, сувда шомылдырылып тазаланув – бир,
EPH.4.6	баьрисининъ Атасы болган Алла да бир. Ол баьрисине бийлик этеди, баьриси аркалы исин бажарады эм баьрисинде турады.
EPH.4.7	Масих шапагаты ман аьр биримизге тийисли оьлшем мен савгалар берди.
EPH.4.8	Сол себепли (Забурда) булай язылган: «Ол йогарга коьтерилгенде, есирлерди оьзи мен алды эм аьдемлерге савгалар берди».
EPH.4.9	«Коьтерилгенде» деген баска бир затты да анълатпай, тек сол Масих алдын тоьменге, ер уьстине туьскен эди дегенди анълатады.
EPH.4.10	Ким туьскен, сол ок буьтин затларды толтырар уьшин баьри коьклерден йогары коьтерилди.
EPH.4.11	Ол савгалар берди: бирлерин – элши, баскаларын – пайхамбар, тагы да бирлерин – Ийги Хабарды яювшы, оннан баскаларын – (иман ямагатында) басшы эм окытувшы этти.
EPH.4.12	Соьйтип, Аллага багысланганлар, туьзилип, кызмет кылув исин этпеге эм Масихтинъ шаркын оьстирмеге куьшти аладылар.
EPH.4.13	Сонъында баьримиз де иманымызда эм Алладынъ Улын танувымызда бирликке, тамам аьдемликке, Масихтинъ толы инсанлык оьлшемине етисеекпиз.
EPH.4.14	Сол заманда биз, аьдемлердинъ кылыплылыгы эм баскаларды йолдан шыгаратаган алдавшылыгы ман туьрли окувлардынъ толкынлары эм еллери мен авдарылатаган кишкей балалардай, болмаспыз.
EPH.4.15	Биз, акыйкатты суьюв мен айта барып, аьр ягыннан оьсип, шарктынъ (иман ямагатынынъ) басы болган Масихке усармыз.
EPH.4.16	Онынъ аькимлигинде шарктынъ баьри муьшелери уйымласады. Буьтин шарк аьр бир туьрли байланыс пан оьзи оьзин бирге тутады. Соьйтип, шарктынъ аьр бир кесеги оьзининъ аьрекетин тийисли толтырса, шарк оьседи эм олардынъ бир бирлерин суьйгени мен беркийди.
EPH.4.17+EPH.4.18	Сол себепли мен сизден, Раббий уьшин деп, тилеймен: энди баска миллетлердей яшаманъыз. Олардынъ ойлары бос, эслерин каранъалык баскан, ишлериндеги наданлык эм юреклерининъ ийнатлыгы оларды Алла яшавыннан куры калдырган.
EPH.4.19	Олар, сезимсиз болып, аьдепсизликке берилип, канмай, аьр туьрли арам ислерди этедилер.
EPH.4.20	Ама сиз олардай тувылсыз, сиз Масихти билгенсиз.
EPH.4.21	Шексиз, сиз Онынъ авазын эситкенсиз эм Онынъ йолына уьйренгенсиз, неге десе акыйкат – Исада.
EPH.4.22	Соьйтип, алдынгы яшав аьлинъизден, алдавлык куьсевлер мен бузылган эски аьдем келбетиннен тайынъыз.
EPH.4.23	Кие Рух акылынъызды янъыртсын.
EPH.4.24	Туврашылык эм дурыс сыйлылык ягыннан Аллага усатылып яратылган янъы аьдемлигинъизди алынъыз.
EPH.4.25	Аьр биринъиз оьтирикти койсын, оьз ювыгына акыйкатты айтсын, неге десе биз баьримиз де бир шарктынъ муьшелеримиз.
EPH.4.26	Ашувлансанъыз, куьна этпенъиз. Ашувынъыз куьн батканнан сонъ янып турмасын.
EPH.4.27	Яшавынъызда ибилиске орын берменъиз.
EPH.4.28	Урлаган эндиден арбатында урламасын, оннан эсе яшавына амал табып, куллыкты ийги этсин, кереклиси болганга соны ман боьлиссин.
EPH.4.29	Авызынъыздан бузык соьз шыкпасын, тек эситкенлер пайдаланар уьшин кереклигине ярдам этеекти, баскалардынъ иманын беркитеекти айтынъыз.
EPH.4.30	Алладынъ Кие Рухын кайгыртпанъыз. Сол Рух Аллага байыр болганынъызды эм бир куьн эркинликке шыгарылаягынъызды коьрсеткен мухырдай болады.
EPH.4.31	Аьр туьрли дерттен, каардан, ашувдан, кышкырыктан, яман соьз айтувдан, яман ниеттен тайынъыз.
EPH.4.32	Ама бир биринъиз бен яныплы, аявлы болынъыз, Алла Масихте сизди кеширгендей, бир биринъизди кеширип билинъиз.
EPH.5.1	Соьйтип, суьйген балаларындай, Алладан уьлги алынъыз. 
EPH.5.2	Бизди суьйген эм биз уьшин Оьзин Аллага савгага эм ийги ийисли курманга берген Масихтей, суьюв йолында юринъиз.
EPH.5.3	Аранъызда каьхпелик, баска арамлык яде суганаклык бар деп те айтылмасын. Бу затлар Аллага багысланганларга тийисли тувыл.
EPH.5.4	Соьйтип те яман тиллик, бос соьзлик, аьдепсиз куьлуьвлер сизге ярамайды, керисинше, Аллага шуькир этинъиз.
EPH.5.5	Муны билинъиз: каьхпелик яде арамлык эткенлерге, яде бутларга табынувшыдай болган суганак аьдемлерге Масихтинъ эм Алладынъ патшалыгында асаба калмаяк.
EPH.5.6	Эш бирев де сизди бос соьзи мен алдамасын, неге десе бойсынмаганларга сосындай затлар уьшин Алладынъ ашувы етеди.
EPH.5.7	Сондай аьдемлер мен эш бир ортак затынъыз болмасын.
EPH.5.8	Сиз бир заманларда каранъалык эдинъиз, энди Раббий аркалы ярык болдынъыз. Ярыктынъ баласындай яшанъыз.
EPH.5.9	Ярыктынъ емиси аьр туьрли ийгиликте, туврашылыкта эм акыйкатта коьринеди.
EPH.5.10	Аллады не зат разы эткенин сынап билинъиз.
EPH.5.11	Каранъалыктынъ хайырсыз ислерине карыспанъыз, керисинше, сол ислерди ашып шыгарынъыз.
EPH.5.12	Каранъалыктагылардынъ ясыртыннан не зат пан каьрлейтаганын айтпага да уят,
EPH.5.13	ама ярыктынъ ашык эткен аьр заты коьзге коьринеди,
EPH.5.14	неге десе коьринетаган аьр зат – ярык. Сол себептен: «Уян, уйклавшы, оьлилерден тирил! Масих сени ярыкка шыгарар», – деп айтылганы.
EPH.5.15+EPH.5.16	Соьйтип карап, сак болынъыз, акылсыздай болмай, ама акыллылардай, заманынъызды ийги кулланып, яшап билинъиз, неге десе бу куьнлерде яманлыклар коьп.
EPH.5.17	Сонынъ уьшин ойсыз болманъыз, ама Раббийдинъ ыхтыяры не болганын анъланъыз.
EPH.5.18	Шагыр ишип эсирменъиз, ол аьдемди табиатсызлыкка аькетеди. Онынъ орнына Кие Рух сизди савлай бийлесин.
EPH.5.19	Бир биринъизди Забурдынъ уьзиклерине, зикирлерге эм Алла Рухы ман туьзилген йырларга уьйретип, йырланъыз эм ак юректен Раббийди олардынъ анъы ман данъкланъыз.
EPH.5.20	Аьр заманда аьр бир зат уьшин Раббийимиз Иса Масих атыннан Атамыз Аллага шуькир этинъиз.
EPH.5.21	Масихти оьрметлеп, бир биринъизге бойсынынъыз.
EPH.5.22+EPH.5.23	Сиз, хатынлар, Раббийге эткендей, эринъизге бойсынынъыз, неге десе Масих – Оьзининъ шаркы болган ямагаттынъ Басы эм Куткарувшысы болгандай, эр де – хатынынынъ басы.
EPH.5.24	Ямагаты Масихке бойсынгандай, солай ок баьри затта хатынлар да эрлерине бойсынмага тийислилер.
EPH.5.25+EPH.5.26+EPH.5.27	Эрлер! Масих, ямагатын суьйип, Оьзин курманга бергендей, сиз де пишелеринъизди суьйинъиз. Масих ямагатын сув ман ювып, соьзи мен тазалап, Аллага багыслар уьшин оны аьлемет эткен, таттан, кемшиликтен эм ога усаган баска заттан куткарып, Оьзининъ алдына аькелер уьшин Оьзин курманга берген. Ол, ямагаты Аллага багыслансын эм айыпсыз болсын деп, солай эткен.
EPH.5.28	Оьзининъ шаркын суьйгендей, эрлер пишелерин де солай ок суьймеге тийисли. Пишесин суьетаган оьзин де суьеди.
EPH.5.29	Эш бирев эш бир заманда оьз шаркын атып коймайды, керисинше, аьдем, Масих ямагатын оьстиргендей, ас-сув берип, оны йылытады,
EPH.5.30	неге десе биз Масихтинъ шаркынынъ муьшелеримиз.
EPH.5.31	Сол себепли эр киси ата-анасын койып, хатынына байланар, экеви де бир кевде болады.
EPH.5.32	Бу соьзде уьйкен сыр бар. Мен болсам Масих эм Онынъ ямагаты акында айтаман.
EPH.5.33	Ама бу соьз сиз уьшин де айтылган. Сизинъ аьр биринъиз де оьзининъ пишесин, оьзин суьйгендей, суьйсин, пишеси де байын оьрметлесин.
EPH.6.1	Балалар, Раббийдики болгандай, ата-ананъызга тынъланъыз, неге десе бу – туврашылык.
EPH.6.2+EPH.6.3	Ант пан белгиленген биринши парыз: «Наьсипли болып ерде узак яшар уьшин ата-ананъды оьрметле», – деген болады.
EPH.6.4	Аталар, сиз де балаларынъызды ынжынтпанъыз, ама, оларды, Раббий суьйген затка уьйретип, тербияланъыз.
EPH.6.5	Куллар, бу дуныядагы иелеринъизге оьрмет эм коркув ман ак юректен, Масихке тынълаганша, тынъланъыз.
EPH.6.6	Коьзге коьринер уьшин ырыясып кызмет эткендей болмай, а Масихтинъ кулындай, буьтин янынъ ман Раббийдинъ ыхтыярын толтырынъыз,
EPH.6.7	Аьдемлерге тувыл, а Раббийге эткендей, коьнъилинъиз бен куллык этинъиз.
EPH.6.8	Аьр ким, кул-эркин болса да, Раббийден оьзи эткен хайырына коьре тийислисин алаягын билинъиз.
EPH.6.9	Сиз де, иелер, кулларынъызга ийги каранъыз, катылыгынъызды койып, сизинъ де, олардынъ да басында, коьклерде, Раббий
EPH.6.10	Сонъында айтаягым, кардашларым, Раббий эм Онынъ куьдиретининъ куьши мен карувланынъыз.
EPH.6.11	Ибилистинъ аьйлелигине карсы турар уьшин Алла берген баьри савыт-садакларды оьзинъизде юргистинъиз. 
EPH.6.12	Бизим куьресуьвимиз эттен эм каннан болган инсанларга карсылык тувыл, ама коьклердинъ астындагы яман рух куватларга, басшыларга эм аькимлерге, бу каранъа дуныяды туткан куьшлерге карсы шыгув болады.
EPH.6.13	Сол себепли Алла берген баьри савыт-садакларды алынъыз. Баьле куьни туьскенде, душпанга карсылык эталарсынъыз эм тийисли аьр затты да эткеннен сонъ орнынъызда турарсыз.
EPH.6.14	Соны ман аьзир турынъыз. Белинъизге акыйкат белбавын кысынъыз, тоьсинъизге туврашылык куьбесин кийинъиз,
EPH.6.15	согыска аьзирленер уьшин аягына шарыгын кийгендей, тынышлык акындагы Ийги Хабарды билдирмеге аьзир болар уьшин не керек болса, соны алынъыз.
EPH.6.16	Аьр заман коршалавшы савыттай, иманынъызды юргистинъиз. Оны ман сиз ибилистинъ янган баьри окларын соьндирмеге боларсыз.
EPH.6.17	Куткарылувдынъ темир боьркин кийинъиз эм Кие Рухтынъ кылышын – олай деген, Алладынъ соьзин – алынъыз.
