MAT.1.1	Ña'a kùu sivi ma ndian kūu ñivi Jesucristu, ra kūu ñivi ma racha'nu David, chi'in racha'nu Abraham. 
2PE.3.17	Yakan va kùuni̱ ka'in chi'in ndo, ndyo'o yani, ndian ya'a ga kùuni̱ nde'i, ña tava ndyo'o takani cha chìto ndo ma tu'un i'ya ma antea niku, na kumi kuenda va'a ndo ndo, ikan na töve kuu keña'a ma ndian töve chìnuni ndo, ta ja'a na ña na jaña ndo ma iti' va'a ña kuà'an ndo. 
2PE.3.18	¡Va na kua'nu va'a ndo chi'in ma ñamani Ndioo, ta na nakoto va'a ndo ra chi'in ma Racha'nu Jesucristu ra jàkakú yo! ¡Na tiñu'u ndo ra cha'a' ma ndatu ka'nu ña jà'a ra endeeni! Ta takan na kuu yi. Amén.
1JN.1.1	Rakan kùu ra ma tu'un Ndioo. Ta takani ìyo ra nda ora tūvi ma ñuñivi. Ta ma tu'un i'ya kùu ma tu'un ña chīni ndi ta ndē'e ndi ra chi'in tinuu ndi. Takan kà'an ndi ndia, vati jānani ndi nda'a' ndi ma tu'un ikan. Ta ma tu'un ikan kùu yi ña chà'a kivi koo ndito yo. 
1JN.1.2	Yakan va ndè'e ndi ti cha kīchi yi ma nuu ñu'u' ñuñivi i'ya, ta ma tu'un ikan kùu Cristu. Ta cha'a' ma tu'un ikan kùu yi ña kàtitu'un ndi nuu ndo, ikan na ni'i ndo nuu koo ndito ndo endeeni chi'in Ndioo. Vati ma tu'un ikan kùu ra ña ìyo ra chi'in ma Tatá yo va cha kīchi ra nuu ìyo yo. 
1JN.1.3	Yakan va cha kātitu'un ndi nuu ndo ma tu'un ndē'e ndi ta chīni ndi, ikan na inuu koo ndo chi'in ndi takua inuu ìyo ndi chi'in ma Racha'nu Ndioo Tatá yo ta chi'in ma se'e ra Racha'nu Jesucristu ndia. 
1JN.1.4	Te'en tāa ndi ndisaa ma tu'un i'ya kuenda ndo, ikan na nduva'a kuii sii kuuni yo.
1JN.1.5	Tu'un i'ya kùu ma tu'un jāna'a ma Racha'nu Cristu nuu ndi: Ma Racha'nu Ndioo kùu ra takua kùu ma ñu'ú ña jàndondichin nuu yo, vati nï'iin ta'vi töve kùu ra takua kùu nuu naa. 
1JN.1.6	Vati tu kàtio ña ìyo va'a yo chi'in ra, ta juuni chàkunuu yo nuu naa cha'a' ña jà'a yo ma ña kini, tajan kùuni yi ka'an yi ña tu'un vata kùu ma ña kà'an yo ora ja'a yo takan. Yakan va na yüvi iti' ndaa kùu ma iti' kuà'an yo tu takan jà'a yo. 
1JN.1.7	Vatu chàkunuu yo nuu ma ñu'ú ña jàndondichin yi iti' yo takua ìyo ma Racha'nu nuu ñu'ú, tajan cha inuuni koo yo chi'in ma ñivi ta'an yo. Ta ma nii ma Racha'nu Jesucristu ra Se'e Ndioo endee jànaa ra' tandi'i ma kuatio.
1JN.1.8	Ta tu katio ña tüvi ìyo kuatio, tajan janda'viña'a yo juuni maa yo, vati mamaa tu'un vata kùu ma ña kà'an yo ta töve kuà'an yo iti' ndaa. 
1JN.1.9	Va tu na'ma yo ndisaa ma kuati jà'a yo nuu ma Racha'nu Ndioo, ta chìto yo ña kùu chinunio ña Ndioo ni jachinu ra ña kà'an ra, ti iin ra ndaa kùu ra, yakan va ni janaa ndio ra ndisaa ma kuatio, ta ni janandoo ra ma anima yo ndia. 
1JN.1.10	Ta tu katio ña tüvi ìyo nï'iin kuatio, tajan kùuni yi ka'an yi ña jà'a yo ña na kuu ma Racha'nu Ndioo iin ra vata, vati chàtu'unio ra, ta ma ña ndicha kùu yi ña takä'an chinunio ma tu'un ra.
1JN.2.1	Ndyo'o se'yu tài ma tu'un i'ya kuenda ndo, ikan na jä'a ga ndo ma kuati. Ta tu ìyo iin nda ndyo'o jà'a kuati, na koto ndo ti ìyo iin ra kà'an cha'a' yo nuu Ndioo, ta rakan kùu ra Jesucristu, ra va'a. 
1JN.2.2	Vati Jesucristu kùu ra ña sōkó ra ra ta chī'í ra nuu kruu kuenda ña janaa ra kuatio. Ta yöve cha'a' maa yo ni, va juuni cha'a' tandi'i ma ñivi ìyo ñuñivi ndia.
1JN.2.3	Ta tu ndicha ña jàchi'in yo ma tu'un kà'an ma Racha'nu Ndioo, tajan na chinuni ndio yo ti ndicha va'a ña cha nākoto va'a yo ma Racha'nu Ndioo. 
1JN.2.4	Va tu ìyo nda yo kà'an ña cha nākoto va'a yo ma Racha'nu Ndioo kàtio, ta tüvi jachi'o ma tu'un kà'an Ndioo ña ìyo yi ña ja'a yo, tajan ma ña kà'an yo kùu yi takua kùu iin mamaa kuentuni, ta töve kuà'an yo iti' ndaa. 
1JN.2.5	Va tu ìyo iin ndian jàchi'in ma tu'un ma Racha'nu Ndioo, ta kùuni yi ka'an yi ña nduva'a kuii kùuni na nde'e na ra. Ta takan chìto va'a na ña cha ndō'iin anima na chi'in ra. 
1JN.2.6	Yakan va ma yo kàti ña cha ndō'iin anima yo chi'in ma Racha'nu Ndioo, ìyo yi ña koo va'a yo ta ja'a yo takua jā'a ma Racha'nu Jesucristu ora chīyo ra ma nuu ñu'u' ñuñivi i'ya.
1JN.2.7	Ndyo'o yani ma tu'un i'ya ña tài kuenda jakotoi ndo na yüvi iin tu'un chaa kùu yi kuenda ndo, vati juuni ma tu'un cha'nu ña takani cha chīto ndo tatiempu kùu yi. Ña'a kùu ma tu'un ña cha chīni ndo niku. 
1JN.2.8	Ta vaji takan kùu yi va ma tu'un tài kuenda ndo ma tu'un chaa kùu yi, vati ndicha va'a ña jà'a Jesucristu takua kà'an yi, takua ikan va'a jà'a nda maa ndo ndia. Vati ma ña nuu naa chani naa yi kueeni, kueeni. Ta vitin cha ndōndichin ndicha kuii ma iti' va'a kuenda yo.
1JN.2.9	Va tu ìyo nda yo kà'an ña mamaa ña va'a kùu ma ña jà'a yo, ta kuà'an yo iti' ndichin kàtio, vaji indukuni xaanio nde'o ma ndian kùu ta'an yo, kùuni yi ka'an yi, ti juuni takä'an chinuni va'a yo ma tu'un ra ti juuni indii ga yo ma nuu naa. 
1JN.2.10	Vatu ìyo ma ndian kùuni na nde'e na ta'an na cha ìyo na nuu ndichin ta töve kòyo na tichi kuati. 
1JN.2.11	Va ma ndian xaani na nde'e na ta'an na ìyo na nuu naa ta kuà'an na iti' nuu naa, ta tüvi chìto na nda iti' kùu ma iti' kuà'an na, vati ma ña kini ta naa kùu yi ña cha chāsi yi tinuu na.
1JN.2.12	Yakan va tài ma tu'un i'ya nuu ndo ndyo'o se'yu, ikan na ku'va ndo kuenda ña cha jàka'nuni ma Racha'nu Ndioo kuati ndo cha'a' ña chī'í ma Racha'nu Jesucristu cha'a' ndo. 
1JN.2.13	Ta tài ma tu'un i'ya nuu ndyo'o tatá ndracha'nu cha'a' ña cha nākoto ndo ma Racha'nu Jesucristu, ti takani ìyo ra antea ña koo ma nuu ñu'u' ñuñivi i'ya. Ta juuni tài yi nuu ndyo'o ndian tivaa ndia, vati juuni cha kūndee ndo jàkanaa ndo ma kui'na ndia. Ta cha tāi ma tu'un i'ya kuenda ndyo'o se'yu, ti cha nākoto ndo ma Racha'nu Ndioo yo. 
1JN.2.14	Ta cha tāi ma tu'un i'ya kuenda ndo ndyo'o tatá ndracha'nu, vati cha chìto ndo nda ra kùu ma ra takani ìyo. Ta juuni cha tāi yi kuenda ndyo'o ndian tivaa ndia, vati ya'a ni'i jā'a ndo ña kūndee ndo chinuni ndo tu'un Ndioo chi'in ndisaa anima ndo, ta cha'a' ña cha kūndee ndo jàkanaa ndo ma kui'na ndia.
1JN.2.15	Yakan va na töve kuuni ndo nde'e ndo ma ñuñivi ta ni ma ña kini ìyo nuu yi ndia, vati tu ìyo nda ndian kùuni na nde'e na ma ñuñivi, kùuni yi ka'an yi ña na tüvi kùuni ndicha na nde'e na ma Racha'nu Ndioo Tatá yo. 
1JN.2.16	Vati ndisaa ña kini ma ña ìyo ñuñivi, yüvi ña chà'a ma Racha'nu Ndioo Tatá yo kùu yi va kùu yi ña chà'a ma ñuñivini. Ta ña'a kùu ma ña kini ña chà'a ma ñuñivi ña chàta'anio ja'a yo ña kini chi'in kuñu yo chi'in ma ña kini ña chàta'anio nde'o chi'in ma ña kùtayi yo chi'in ndatiñu ña ìyo yo. 
1JN.2.17	Ta ma nuu ñu'u' ñuñivi i'ya cha kua ndi'i yi chi'in tandi'i ña kini ña chàta'ani na ja'a na, vatu ja'a yo takua kùuni ma Racha'nu Ndioo ña ja'a yo, tajan ni ni'o ma nuu ni koo yo endeeni chi'in ra.
1JN.2.18	Ndyo'o se'yu vitin va cha kēta ndio ma kivi nuu ndi'inia. Ta takua chīni ndo ña ni kichi ndio iin ra xaani nde'e ma Racha'nu Cristu, ta vitin ti cha kīcha'a keta kua'a' ma ndian kini ña tüvi kùuni nde'e ma Racha'nu Cristu. Ta cha'a' yakan kùu yi ña cha chìto yo ña chani keta ma kivi nuu ndi'inia. 
1JN.2.19	Va juuni ma ñivi kèe tañu yo kùu ma ndian jà'a takan, ti na yüvi ma ndian chìnuni ndicha kùu na, vati tu ndicha ña ma ndian chinuni kùu na, na tüvi ìyo yi ña kesiin na chi'o ti endee ìyo yi ña kindoo na koo na chi'in yo niku. Va takan kūu yi, ikan na ku'va yo kuenda ña na yüvi ndisaa ma ñivi kùu ma ndian chìnuni tu'un Ndioo takua chìnuni maa yo.
1JN.2.20	Vati nuu ndisaa ndo chā'a ma ra Cristu Tati Ií Ndioo kuenda ña na koo yi chi'in ndo ta ku'va yi chinituni ndo. Yakan va ndisaa ndo cha chìto ndo tu'un ndaa. 
1JN.2.21	Tàchi̱ ma tu'un i'ya nuu ndo, vati cha chìtoi ña cha nàkoto ndo nda ña kùu ma ña ndicha ta nda ña kùu ma ña töve ndicha. Ta juuni cha chìto ndo ti ma ña ndicha na tüvi jànda'viña'a yi ndia. 
1JN.2.22	Vati ma ndian kà'an tu'un vata, ndiakan kùu ma ndian kà'an ña na yüvi Jesuu kùu ra ma Cristu. Yakan va cha chìto ndo ti ndiakan kùu ma ndian tüvi kùuni nde'e ma Racha'nu Cristu, vati ndiakan tüvi chìnuni na tu'un ma Racha'nu Ndioo Tatá yo ta ni tu'un ma ra Se'e ra Jesucristu ndia. 
1JN.2.23	Yakan va tandi'i ma ndian tüvi chìnuni tu'un ma ra Se'e Ndioo, kùuni yi ka'an yi ña ni ma tu'un Ndioo Tatá yo, na tüvi chìnuni na, tuva takan ndia. Va takua ma ndian kàtitu'un kachin nuu ma ñivi ña ndicha ña ma Racha'nu Jesucristu kùu ma ra Se'e Ndioo, ndiakan kùu ma ndian ìyo ndicha kuenda ma Ndioo Tatá yo.
1JN.2.24	Yakan va na chinuni ndo ma tu'un Ndioo ña cha chīni ndo ma taji'na. Vati tuva ndicha ña chìnuni ndo ma tu'un Ndioo ta töve ndakoo ndo ña chìnuni ndo yi, tajan ni koo ndo chi'in ma Racha'nu Ndioo Tatá yo ta chi'in ma ra kùu Se'e ra ndia. 
1JN.2.25	Vati ma Racha'nu Jesucristu cha chā'a ra tu'un nuu yo ña endeeni ni koo yo chi'in ra.
1JN.2.26	Yakan va tài ma tu'un i'ya nuu ndo, ikan na ku'va ndo kuenda ña ya'a kua'a' ma ndian jànda'viña'a ndo ìyo. 
1JN.2.27	Va taku ndyo'o ti cha chā'a ma Jesucristu ma Tati Ií Ndioo nuu ndo ña na koo yi chi'in ndo, ikan na tüva kuàtiñu ndo inga ma ndian jàna'a nuu ndo. Vati maa ma Tati Ií Ndioo kùu yi ña jàna'a yi tandi'i kuii ma tu'un va'a ña chìto ndo, vati ma Tati Ií Ndioo jàna'a yi ma ña ndicha va'a, ti na yüvi ña kà'an tu'un vata kùu yi. Yakan va na induku koo ndo chi'in ma Racha'nu Cristu, takua jāna'a ma Tati Ií Ndioo nuu ndo niku.
1JN.2.28	Ta vitin ndyo'o se'yu na ndo'iin ndo chi'in ma Racha'nu Jesuu, ikan na tüvi yu'vi ndo ta töve kukanuu ndo nde'e ndo ra ma kivi vàchi ndiko ra. 
1JN.2.29	Yakan va tava cha chìto ndo ti ma Racha'nu Cristu kùu ra iin ra ndaa, ta juuni kua ikan ìyo yi ña koto ndo vati ndisaa nda ndyo'o jà'a ma ña ndaa, kùuni yi ka'an yi ña juuni ndian se'e Ndioo kùu ndo ndia.
1JN.3.1	Na ku'va ndo kuenda ña ma Racha'nu Ndioo ya'a kùuni ra nde'e ra yo, ta ndava nda se'e ra kùu yo kàti ra. Ta ndicha va'a ña takan kùu yi vati kàti ra ña ndisaa yo kùu yo se'e ra. Yakan va ma ñivi ñuñivi töve nàkoto na yo cha'a' ña töve nī nakoto na ma Racha'nu Ndioo niku. 
1JN.3.2	Yakan va ndyo'o yani ndian ya'a kùuni ndi nde'e ndi, cha kùu yo ma ndian se'e Ndioo vaji takä'an koto va'a yo naja kua ni kuu yo tiá iti' nuu, va cha chìto yo ti ma kivi ni nde'o ma Racha'nu Jesuu, ni ndakuu yo takua kàa ra cha'a' ña ni nde'o ra kua kàa ra. 
1JN.3.3	Vati tandi'i nda yo ndàtu ña ni nde'o ra ma ora ikan, vitin cha nàndoo ma anima yo, ta ndàkuu ií yo takua ií kùu ma Racha'nu Jesucristu.
1JN.3.4	Ta tandi'i nda yo jà'a kuati, vati tüvi jà'a yo takua kà'an ma ley ma Racha'nu Ndioo. Ta ora jà'a yo kuati, kùuni yi ka'an yi ña töve jàchinu yo ma ña kua kà'an ma Ley Ndioo. 
1JN.3.5	Ta juuni cha chìto va'a ndo ña ma Racha'nu Jesucristu kīchi ra ma nuu ñu'u' ñuñivi i'ya kuenda ña jànaa ra kuati yo, ta rakan ti iin ra tüvi ìyo nï'iin kuati kùu ra. 
1JN.3.6	Yakan va ndisaa ndyo'o ña indukuni ìyo ndo chi'in ra töva chàkuu ndo jà'a ndo kuati. Va takua ma ndian endee chàkuu na jà'a na kuati, na tüvi nī nde'e na ra ta ni tüvi nī nakoto na ra ndia. 
1JN.3.7	Yakan va koto kü'va ndo ña janda'viña'a nï'iin ñivi ndo, ndyo'o se'yu, vati ma ndian jà'a ma tiñu ndaa, ndiakan kùu na ma ndian ndaa takua iin ra ndaa kùu ma Racha'nu Cristu ndia. 
1JN.3.8	Va takua ma ndian endee jà'a kuati ndiakan kùu na ñivi kui'na, vati takani cha ja'án' ma kuati ikan, antea ña koo ma nuu ñu'u' ñuñivi niku. Yakan va cha'a' yakán' kùu yi ña kīchi ma Jesucristu ra Se'e Ndioo kuenda ña na jandi'i ra tandi'i nuu ma ña jà'a ma kui'na.
1JN.3.9	Vati nï'iin ma nda yo kùu se'e Ndioo, na küu ga ja'a yo ma kuati, vati cha ìyo ma ña ndito Ndioo chi'o takua kùuni ma Racha'nu ña na kuu yi. Ta cha'a' yakan kùu yi ña na tüva ìyo yi ña ja'a yo ma kuati. 
1JN.3.10	Ta juuni chìto yo nda ndian kùu ma ndian se'e Ndioo ta nda ndian kùu ma ndian se'e kui'na. Vati ma ndian töve jà'a na tiñu ndaa ta juuni töve kùuni na nde'e na ma ta'an na, ndiakan yöve se'e Ndioo kùu na.
1JN.3.11	Ma tu'un ña jā'a ña kīcha'a chìnuni ndo ma nunuu, kà'an yi ña ìyo yi ña kuunio nde'o ma ndian kùu ta'an yo. 
1JN.3.12	Takan kàti yi ti tüvi kùuni yi ña ja'a yo takua jā'a ma ra nàni Caín, ra chīyo chi'in ma kui'na niku. Ta chā'ni ra ma ra yani ra. ¿Ta naja chā'ni ra ra?, kùuni ndo. Chā'ni ra ra ti töve va'a kùu ma tiñu jà'a ra ta ma tiñu jā'a ma yani ra ña va'a kùu yi.
1JN.3.13	Yakan va ndyo'o yani na näkanini ndo tuva tüvi kùuni ma ñivi ñuñivi nde'e na ndo. 
1JN.3.14	Ta chìto va'a yo ña ndākoo yo ma ña chī'o, ta vitin cha kūu yo ndian ndito jà'a ma Racha'nu Ndioo cha'a' ña nduva'a kùunio nde'o ma ta'an yo. Ta tu tüvi kùunio nde'o ma ndian kùu ta'an yo, kùuni yi ka'an yi ña kùu yo takua kùu iin ra cha chī'í. 
1JN.3.15	Yakan va tuva xaanio nde'o ma ndian kùu ta'an yo indukuni kùu yo takua kùu ma ndian chà'ni ñivi. Ta juuni cha chìto ndo ña ma ndian chà'ni ñivi tüvi ni'i na nuu koo ndito na chi'in Ndioo ndia. 
1JN.3.16	Vati cha chìto yo ña ma Racha'nu Jesucristu kùuni ra nde'e ra yo. Yakan va chī'í ra cha'a' yo. Ta cha'a' yakan kùu yi ña kua ikan ìyo yi ña kuunio nde'o ma ndian kùu ta'an yo, ta na koo tu'va yo kuvio cha'a' na takua jā'a ma Racha'nu Jesucristu cha'a' yo. 
1JN.3.17	Ta tu ìyo iin nda yo kuika ña ndè'o ña kumani iin nakuyi nuu ta'an yo ta tüvi kunda'vini yo ra ña tìndee yo ra chi'in ma ña soko yo, kùuni yi ka'an yi ña tüvi ñivi Ndioo kùu yo, ti tüvi kùunio nde'o ra, tu ja'a yo takan. 
1JN.3.18	Yakan va ndyo'o se'yu, na jana'a yo ña ya'a kùunio nde'o ma Racha'nu Ndioo chi'in tiñu jà'a yo kuenda ra, ta yüvi chi'in ma tu'un kà'an nio.
1JN.3.19	Yakan va tuva ja'a yo takan cha chìto yo ña kuà'an yo iti' ndaa ma takua kùuni ma Racha'nu Ndioo, tajan cha kùu koo taxiin ma anima yo nuu ra. 
1JN.3.20	Ta tu chàninio ña ma chinituni yo tisokuati yi yo, va tüvi cha'a' yo kuenda ña ma Racha'nu Ndioo ka'nu ga ra, ti chìto ra naja kua chàninio, ta naja kua chànini ma inga ñivi ndia. 
1JN.3.21	Yakan va ndyo'o yani tuva tüvi tisokuati ma chìnitunio yo, na tüvi ìyo yi ña yu'vio jàyatin yo yo nuu ma Racha'nu Ndioo. 
1JN.3.22	Vati ma Racha'nu Ndioo ni ku'va ra tandi'i ma ña ni ndakan yo nuu ra tuva ndicha ña jàchinu yo tandi'i ma ña kà'an ra, ta tu ja'a yo ma ña chàta'ani ra ña ja'a yo ndia. 
1JN.3.23	Yakan va na chinunio tu'un kà'an ra cha'a' ma ra Se'e ra Jesucristu chi'in ña na kùunio nde'o ndisaa ma ndian kùu ta'an yo, ti ma tu'un ikan kùu ma tu'un ña Ndioo tāchi ra nuu yo ña na ja'a yo yi. 
1JN.3.24	Vati taku yo jachi'in ma ña kà'an Ndioo, cha chìto yo ti ìyo ra chi'o ta ìyo yo chi'in ra, cha'a' ña chā'a ra ma Tati Ií ra ña na koo yi chi'o.
1JN.4.1	Ndyo'o yani tuva ìyo iin nda ndian kà'an ña chi'in ma Tati Ií Ndioo kùu yi ña kà'an na, na chïnuni ndo tu'un kà'an na numini. Va'a ga ña na ki'in ji'na ndo ku'va na nde'o tuva ndicha ña tu'un Ndioo kùu ma ña kà'an na. Vati ma nuu ñu'u' ñuñivi i'ya nduva'a ìyo ma ndian kà'an ña tu'un Ndioo kùu yi kà'an na, va na tüvi ndicha ti mamaa ndian vatani kùu na. 
1JN.4.2	Yakan va takan ìyo yi ña ja'a ndo ta nde'e ndo tuva ndicha ña kà'an na chi'in ma Tati Ií Ndioo. Vati tu kàti iin ra ña iin ra kà'an chi'in tu'un yu'u Ndioo kùu ra ta ìyo ma Tati Ií Ndioo chi'in ra, ìyo yi ña ku'va ra kuenda ña ma Racha'nu Jesucristu kùu ra iin ra'ii ndicha ora kāku ra ma nuu ñu'u' ñuñivi i'ya. 
1JN.4.3	Va ma ndian töve chà'a na kuenda ña iin ra'ii kūu Jesucristu ora kīchi ra nuu ñu'u' ñuñivi i'ya, na yüvi ñivi Ndioo kùu na, ti ñivi xaani nde'e Cristu kùu na ña kà'an na takan. Ta juuni cha chìto ndo ña ni koo ma ndian kini ña jà'a takan ma nuu ñu'u' ñuñivi i'ya. Ta ndicha ña takan kùu yi ti cha ìyo na ma vitin.
1JN.4.4	Ndyo'o se'yu, taku ndyo'o ndian kùu ñivi Ndioo, cha jākanaa ndo ma ndian vata ña xàani nde'e Cristu, vati ka'nu ga ma Tati Ií Ndioo ña ìyo chi'in ndo kua ma tati xaan ña ìyo nuu ñu'u' ñuñivi i'ya. 
1JN.4.5	Tava ndian ìyo kuenda ma kui'na kùu na, yakan va kà'an na ma tu'un kà'an nia ndian ìyo ñuñivini. Ta takan ma ndian tüvi chìnuni ña ìyo ñuñivi jàchi'in na ma tu'un kà'an na ndia. 
1JN.4.6	Va taku maa yo, ti ndian jàchi'in tu'un kà'an Ndioo kùu yo, yakan va ma ndian ìyo kuenda Ndioo jàchi'in na ma tu'un kà'an yo, va ma ndian tüvi ìyo kuenda Ndioo ti ni tüvi jàchi'in na ma ña kà'an yo. Yakan va takan ìyo yi ña ja'a yo, ikan na ku'va yo kuenda nda ndian kùu ma ndian kà'an ma tu'un ndicha chi'in ma Tati Ií Ndioo ta nda ndian kà'an tu'un vata chi'in ma tati kini.
1JN.4.7	Ndyo'o yani ìyo yi ña kuunio nde'o ma ndian kùu ta'an yo, ti kua ikan jàna'a ma Racha'nu Ndioo nuu yo ña jà'a yo. Yakan va tandi'i nda yo kùuni va'a yo nde'o ta'an yo, ndian se'e Ndioo kùu yo, ta juuni kùu yo ndian nàkoto ndicha va'a Ndioo ndia. 
1JN.4.8	Va taku ma ndian tüvi kùuni na nde'e na ma ndian kùu ta'an na, na tüvi nàkoto na ma Racha'nu Ndioo. Ti ma Racha'nu Ndioo, kùu ra iin ra ya'a kùuni nde'e ra yo. 
1JN.4.9	Vati ma Racha'nu Ndioo kua ikan jāna'a ra nuu yo ña ya'a kùuni ra nde'e ra yo ora tāchi ra ma ra uvanuu ra kùu Se'e ra nuu ñu'u' ñuñivi i'ya, ikan na ku'va ra ma kivi koo ndito yo chi'in ra. 
1JN.4.10	Ta ña'a ndicha va'a jàna'a yi yo ña Ndioo ya'a kùuni ra nde'e ra yo. Ti ji'na ga ra kùu ra ña kīcha'a ra kùuni ra nde'e ra yo ta na yüvi maa yo kùu yo ña kīcha'a yo kùunio ra. Yakan va cha'a' yakan kùu yi ña tāchi ra ma ra Se'e ra nuu yo kuenda ña na kuvi ra cha'a' yo, ikan na naa ma kuatio.
1JN.4.11	Yakan va ndyo'o yani ìyo yi ña kuunio nde'o ma ndian kùu ta'an yo takua jà'a ma Racha'nu Ndioo ña kùuni ra nde'e ra yo ndia. 
1JN.4.12	Vati nï'iin ñivi takä'an nde'e na ma Racha'nu Ndioo, va tu kùunio nde'o ma ndian kùu ta'an yo, tajan ma Racha'nu Ndioo ìyo ndicha kuii ra chi'in yo, ta juuni cha ndō'iin yo chi'in ra cha'a' ña ya'a kùuni ra nde'e ra yo. 
1JN.4.13	Yakan va cha chìto yo ti ìyo yo kuenda Ndioo, ta rakan ìyo ra kuenda maa yo ndia, cha'a' ña tāchi ra ma Tati Ií ra ña na koo yi chi'in yo. 
1JN.4.14	Ta juuni kàtitu'un kachin ndi nuu ndo ña juuni maa ndi ndē'e ndi ña Ndioo Tatá yo tāchi ra ma ra Se'e ra nuu ñu'u' ñuñivi, kuenda ña na jakakú ra kua'a' ñivi ìyo ñuñivi i'ya. 
1JN.4.15	Yakan va tandi'i ma ndian nàkoto ña Jesuu kùu ra ma ra Se'e Ndioo, ndisaa ndiakan ìyo na chi'in Ndioo, ta Ndioo ìyo ra chi'in na ndia.
1JN.4.16	Yakan va cha chìto yo ta chìnunio ña ma Racha'nu Ndioo kùuni ra nde'e ra yo chi'in ndisaa ma ñivi ìyo ñuñivi. Ma Racha'nu Ndioo kùu ra iin ra ya'a kùuni nde'e yo. Ta nda ndian ni kuuni, ña ìyo na kuenda kùuni na nde'e na Ndioo chi'in ta'an na, kùuni yi ka'an yi ña ìyo na chi'in Ndioo, ta Ndioo ìyo ra chi'in na ndia. 
1JN.4.17	Vati tu cha ndō'iin yo chi'in Racha'nu Ndioo cha'a' ña ya'a kùuni ra nde'e ra yo, tajan tüvi ìyo yi ña yu'vio ma ora ni chaa ma kivi ña ni jakutuni ra ma ñivi. Vati taku maa yo cha jā'a yo ma ña va'a ma nuu ñu'u' ñuñivi i'ya takua jà'a ma Racha'nu. 
1JN.4.18	Yakan va tuva ndicha ña kùunio nde'o ma Racha'nu Ndioo chi'in ta'an yo, na tüvi ìyo yi ña yu'vio nde'o ra ma ora ni jakutuni ra ma ñivi, vati tu chìto yo ña jà'a yo ma ña va'a ta na tüvi ndasio. Ti juuni ma ña ndasio kùu yi ña jànde'e yi tundo'o yo. Yakan va tu ìyo nda yo ndasii, kùuni yi kà'an yi ña takä'an ndo'iin va'a anima yo chi'in ra cha'a' ña töve kùunio nde'o ra.
1JN.4.19	Takua maa yo, ti kùunio nde'o ma Racha'nu Ndioo vati ji'naga maa ra kùu ma ra kīcha'a kùuni ra nde'e ra yo. 
1JN.4.20	Ta tu ìyo nda yo kà'an ña ya'a kùunio nde'o ma Racha'nu Ndioo, va juuni ma ora ikan xaanio nde'o ma ndian ta'an yo, iin ndian vatani kùu yo tuva takan. Va tu töve kùunio nde'o ma ndian kùu ta'an yo ña kùu na ndian ndichin va'a nde'o, kùuni yi ka'an yi ña küu kuunio nde'o ma Racha'nu Ndioo. Ta Rakan, ti töve ndichin va'a nde'o ra. 
1JN.4.21	Takan kūu ta cha'a' yakan kùu yi ña chà'a ma Racha'nu Ndioo ma tu'un i'ya nuu yo: Tu ndicha ña kùunio nde'o ma Racha'nu Ndioo, kùuni yi ka'an yi ña ìyo yi ña kuunio nde'o ndian kùu ta'an yo ndia.
1JN.5.1	Yakan va tandi'i nda yo chìnuni ña Jesuu kùu ra ma Cristu, ndisaa ndiakan kùu na se'e Ndioo. Ta ndisaa yo ña kùunio nde'o ma Racha'nu Ndioo Tatá yo juuni kùunio nde'o ma ndian kùu se'e ra ndia. 
1JN.5.2	Yakan va tu kùunio nde'o ma Racha'nu Ndioo ta jachi'o ma tu'un ña tāchi ra nuu yo, juuni kua ikan kùu koto kachin yo ña kuunio nde'o ndian kùu se'e ra ndia. 
1JN.5.3	Vati jàna'a yo ña kùunio nde'o ma Racha'nu Ndioo ora jàchi'o ma tu'un ña kà'an ra, ti tandi'i ma tu'un tāchi ra nuu yo töve ndetiñu jà'a yo yi. 
1JN.5.4	Vati tandi'i nda yo kùu se'e Ndioo cha jākanaa yo ma ña kini ña ìyo ma ñuñivi cha'a' ña chìnunio ma tu'un Jesucristu. 
1JN.5.5	Yakan va, ¿nda yo kùu ma ndian jàkanaa ma kuati ìyo nuu ñu'u' ñuñivi?, kùuni ndo. Ma ndian chìnuni ña ma Racha'nu Jesuu kùu ra ma Se'e Ndioo, ndiakani kùu ma ndian jàkanaa.
1JN.5.6	Ora kīchi ma Racha'nu Jesucristu ma nuu ñu'u' ñuñivi i'ya jāna'a ra nuu yo ña kùu ra Se'e Ndioo ora jākunduta ra ta juuni ora chāti ra ma nii ra. Yüvi chi'in ma takuini kùu yi ña jāna'a ra nuu yo va juuni chi'in ma nii ra ndia. Ta ikan jan chā'a ra ma Tati Ií ra nuu yo, ikan na ku'va yi kuenda nuu yo cha'a' ma ña ndicha ña kà'an ra. 
1JN.5.7	Ta cha'a' yakan kùu yi ña ìyo uni ta'an yi ña kùu yi testigu ma andivi: Racha'nu Ndioo Tatá yo chi'in ma ra kùu tu'un Ndioo, ta Tati Ií ra ndia. Ndi uni yi kùu yi iin ni ña kua kùu yi. 
1JN.5.8	Ta juuni ìyo uni ta'an yi ña kùu testigu ma nuñu'u' ñuñivi i'ya ndia: Ma Tati Ií Ndioo chi'in ma takuii chi'in ma nii. Ndi uni yakan indukuni kua kà'an yi. 
1JN.5.9	Ta tu chìnunio ma tu'un kà'an ñivi chi'in yo, ta ìyo yi ña chinuni ga yo kua kà'an Racha'nu Ndioo, vati kà'an ra cha'a' naja kua ìyo ma ra kùu Se'e ra chi'in yo. 
