GEN.1.1	Pamugaan, Allah manjadiakan langit wan bumi. 
LUK.6.38	Bariꞌi! Ikam gin dibariꞌi jua. Bariꞌi nang baik. Ikam gin cagaran dibariꞌi nang baik jua. Sabujurnya bubuhan ikam cagar baulihi pambarian nang banyak banar nang sudah ditakar bajubung gasan ikam. Sualnya takaran nang bubuhan ikam pakai gasan urang cagar dipakaiakan gasan ikam. 
LUK.6.39	Urang picak kada kawa manuntun urang picak! Kaina kaduduanya bisa tabarusuk ka dalam luang” ujar Nabi Isa bakisah pulang. 
LUK.6.40	“Kadada pang murid nang tapintar pada gurunya. Tagal amun inya sudah tuntung balajar, kawa ai sama pintarnya wan gurunya. 
LUK.6.41	Kanapa maka ikam malihat sahimpil kayu di mata dangsanak ikam, tapi balokan di mata ikam saurang, kada ikam lihat? 
LUK.6.42	Mana kawa ikam baucap lawan dangsanak ikam, ‘Ayu dangsanakku maraha aku kaluarakan sahimpil kayu nitu di mata ikam’, sadangkan di mata ikam saurang ada balokan nang kada ikam lihat? Ui urang urang nang bapiragah alim. Kaluarkanlah dahulu balokan nang ada di mata ikam saurang. Hanyar ikam kawa jalas malihat wan kawa mangaluarakan sahimpil kayu nitu di mata dangsanak ikam.”
LUK.6.43	Nabi Isa bakisah pulang, “Kadada puhun nang baik nang mahasilakan buah nang kada baik. Kaya itu jua, kadada puhun nang kada baik nang mahasilakan buah nang baik. 
LUK.6.44	Sualnya satiap puhun dipinandui matan buahnya. Puhun rukam kada babuah limau. Lawan pulang kumpai baduri kada babuah tomat. 
LUK.6.45	Urang nang baik mangaluarakan hal-hal nang baik-baik matan hatinya nang baik. Urang nang jahat mangaluarakan hal-hal nang jahat matan hatinya nang jahat. Sualnya napa nang diucapakan muntung urang kaluar matan hatinya.”
LUK.6.46	Wayah itu, Nabi Isa baucap lawan bubuhan pangikut Sidin, “Kanapa maka bubuhan ikam mangiau Aku ‘Junjungan’ tagal kada maasi lawan Aku? 
LUK.6.47	Urang nang mandatangi Aku, mandangar pandiranKu wan maasi, inya kaya urang nang 
LUK.6.48	baulah rumah. Inya manabuk dalam-dalam, lalu maandak pundasi rumah di atas batu. Bilanya banyu baꞌah ganal datang mahantam, rumah nang itu kada runtuh sualnya pundasinya nahap. 
LUK.6.49	Nang mandangar pandiranKu tagal kada maasi, inya kaya urang nang baulah rumah di atas pundasi nang kada nahap. Bilanya banyu baꞌah ganal datang, runtuh ai rumah tu lalu banyak banar karusakannya.”
LUK.8.4	Wayah itu, urang bajurut-jurut matan banyak kuta mancariꞌi Nabi Isa. Imbah saling banyakan urangnya, lalu Sidin bamula bakisah. 
LUK.8.5	“Nah, ada satu kisah” ujar Nabi Isa. “Saikung patani mahambur banih di ladangnya. Sapalih gugur di jalanan, lalu tajajak urang, wan dipatuk burung sampai lingis. 
LUK.8.6	Sapalih gugur di babatuan. Banih nang itu tumbuh. Lalu layu lantaran tanahnya kadada banyunya. 
LUK.8.7	Sapalih gugur di kumpai baduri. Tapi kumpainya nang manang. 
LUK.8.8	Sisanya gugur di tanah subur. Tumbuh ai lalu babuah, saratus kali lipat pada nang dihamburakan” ujar Nabi Isa. “Ingatakan ja pandiranku tadi” ujar Nabi Isa manambahi.
LUK.8.11	“Ini nah arti kisah tadi” ujar Nabi Isa manjalasakan. “Banih nang itu tadi, Pirman Allah. 
LUK.8.12	Banih nang tagugur di jalanan tadi, urang nang mandangarakan Pirman Allah. Tapi lantaran Iblis datang wan marampas Pirman tadi matan hati urang tu, urang tadi kada parcaya wan kada disalamatakan matan hukuman dusanya. 
LUK.8.13	Banih nang tagugur di babatuan tu, urang nang mandangar Pirman tadi wan himung manarimanya. Tapi nang kaya banih nang akarnya kada kawa tumbuh lagi, inya parcaya satumat haja. Lantaran hidupnya magin ngalih, inya kada parcaya lagi. 
LUK.8.14	Banih nang tagugur di kumpai baduri tu, urang nang mandangar haja. Lalu nang kaya banih kalah wan kumpai tadi, inya kalah lantaran inya mamantingakan hal hal duniawi haja lalu inya kada taat lagi wan Pirman Allah. 
LUK.8.15	Banih nang tagugur di tanah subur tu, urang nang mandangar Pirman tadi lalu maingatakannya tarus sampai bujur bujur taat. Lalu nang kaya banih nang babuah, inya cangkal babuat baik.”
LUK.9.18	Wayah Nabi Isa lagi badoa saurangan, bubuhan pangikut Sidin baparak. “Ujar urang, Aku ni siapa?” ujar Nabi Isa batakun lawan bubuhannya. 
LUK.9.19	“Ada nang manyambat Pian Nabi Yahya, nang lain manyambat Pian Nabi Ilyas. Ada jua nang manyambat Pian salah saurang nabi, nang hidup pulang” ujar bubuhannya manyahut. 
LUK.9.20	“Tapi amun bubuhan ikam pang, Aku ni siapa?” ujar Nabi Isa batakun pulang.
LUK.9.20	“Pian ni Al Masih nang dijanjiakan Allah!” ujar Petrus manyahut.
LUK.9.23	Wayah itu, Nabi Isa baucap wan bubuhan pangikut Sidin wan urang banyak nang bakumpul di situ, “Amun urang handak manjadi pangikutKu, saban hari inya harus mambuang kahandaknya saurang. Lawan pulang, saban hari inya harus sanggup disambati, sanggup mandarita wan sanggup mati kalu inya handak umpat Aku. 
LUK.9.24	Sualnya nang kada sanggup mati lantaran umpat Aku, inya cagaran kada salamat. Tapi nang sanggup mati lantaran umpat Aku, inya salamat di ahirat kaina. 
LUK.9.25	Amun ikam panyugihnya di dunia ini, tapi masuk naraka lantaran manolak Aku, napa untungnya gasan ikam? Kadada untungnya! 
LUK.9.26	Amun urang supan maakui Aku wan ajaranKu, Aku gin, nang datang matan surga, supan jua maakui inya wayah Aku datang pulang ka dunia ini lawan malaikat malaikat Allah. Wayah itu samunyaan urang cagar malihat kuasa wan tarangKu, kuasa wan tarang Abah di surga, wan kuasa wan tarang malaikat malaikat-Nya.” 
LUK.9.27	Sabujurannya antara bubuhan ikam, ada nang kada pacangan mati sabalum malihat karajaan Allah.
LUK.10.25	Wayah itu, ada saikung guru agama juriat Nabi Ibrahim nang badiri handak manjabak Nabi Isa lawan tatakunan. “Guru, kayapa caranya sakira aku baulihi hidup nang salawasan di surga?” ujar guru agama tadi batakun. 
LUK.10.26	“Apa jar Kitab Suci Taurat? Napa nang tatulis di situ?” ujar Nabi Isa balas batakun. 
LUK.10.27	“Kita musti sayangi Allah lawan saganap hati, saganap jiwa, saganap kakuatan wan saganap akal budi. Lawan pulang, kita musti sayangi papadaan nang kaya kita sayangi diri kita saurang” ujar guru agama tadi manyahut. 
LUK.10.28	“Bujur pian ni. Turuti ja, kaina pian cagar baulihi hidup nang salawasan di surga” ujar Nabi Isa.
LUK.10.29	“Lalu siapa papadaanku nang harus kusayangi?” balas guru agama tadi kada hakun kalah pandir. 
LUK.10.30	“Nah, ada satu kisah,” ujar Nabi Isa manyahut. “Ada saikung lalakian turun matan kota Yarusalem ka kota Yeriko. Inya dipukuli, ditalanjangi, wan dirampok. Wayah inya sudah parak mati, inya ditinggalakan. 
LUK.10.31	Kabulujuran, datang saikung imam lalu di situ. Imbah maitihi urang tadi, inya maliung wan bajalan tarus. 
LUK.10.32	Kaya itu jua saikung urang nang bagawi di bait Allah. Inya maitihi urang tadi jua, tagal inya gin maliung jua wan bajalan tarus. 
LUK.10.33	Imbah itu, datang saikung urang Samaria nang lalu disitu jua. Rahatan maitihi urang tadi, inya maras banar. 
LUK.10.34	Diparakinya urang tadi, dibarasihinya lukanya pakai ubat tradisional.
LUK.10.35	Isuknya, pas handak tulak, inya manjulung duit ka ampun panginapan. ‘Rawatakan inya, kaina kugantiꞌi samunyaan ungkusnya’ ujar urang Samaria tadi. 
LUK.10.36	Nah, kaya itu pang kisahnya. Jadi nang mana di antara talu ikung tadi nang balaku sabagai papadaan ka urang nang dirampuk tadi?” ujar Nabi Isa batakun wan bubuhan nang mandangarakan Sidin. 
LUK.10.37	“Urang nang sudah manulung tu,” ujar guru agama tadi manyahut.
LUK.10.37	“Nah, tulak ja wan lakuakan nang kaya itu jua” ujar Nabi Isa.
LUK.11.1	Wayah itu, Nabi Isa lagi badoa di satu wadah. Imbah tuntung badoa, saikung pangikut Sidin mamaraki Sidin. “Oo, Junjungan, lajari pang kami cara badoa nang kaya Nabi Yahya malajari bubuhan pangikut sidin” ujar pangikut Nabi Isa tadi. 
LUK.11.2	Lalu Nabi Isa baucap, “Wayah bubuhan ikam badoa, sambat ja: Ya Allah, Abah kami nang di atas, kami maakui amun Pian tu Nang Maha Suci. Bakuasa lah atas kami wan samunyaan urang. 
LUK.11.3	Bariꞌi lah kami saban hari makanan nang sacukupnya. 
LUK.11.4	Ampunilah dusa dusa kami nang kaya kami jua maampuni urang. Jangan lah biarakan kami kalah wayah digudai Iblis.” 
LUK.11.5	Lalu Nabi Isa bakisah manganai cara badoa. “Jaka ikam landung malam baucap ka kawal ikam di subalah rumah, ‘Wal, inta baras pang, 
LUK.11.6	lantaran kawalku nang datang matan jauh. Inya handak bamalam di wadahku. Tapi kami kada baisian napa-napa gasan tamu kami.’ 
LUK.11.7	Kaina kawal ikam tu cagaran manyahuti, ‘Mauk banar ikam ni! Malam sudah landung banar! Lawangnya sudah bakancingan, kakanakan gin sudah guringan. Wayah ini aku ni kada kawa mambariꞌi napa-napa gasan ikam!’ 
LUK.11.8	Tapi kupadahilah bubuhan ikam, biar si ampun rumah pamulaannya kada hakun mambariꞌi napa napa gasan ikam, kaputingannya, inya cagaran mambariakan jua samunyaan nang ikam inta. Sualnya ikam tadi cangkal mainta tarus, kada sing ampihan. Nang kaya itu jua saharusnya amun bubuhan ikam badoa ka Allah. 
LUK.11.9	Jadi lantaran kisah tadi, inta ja ka Allah, ikam cagaran dibariꞌi. Cari ja, ikam cagaran baulihi. Kiau ja tarus, maka lawang cagaran dibukaakan. 
LUK.11.10	Sualnya samunyaan nang mainta ka Allah, cagaran baulihi. Wan samunyaan nang mancariꞌi, cagaran mandapat. Gasan samunyaan nang mangiau tarus, lawang cagaran dibukaakan. 
LUK.11.11	Kadada pang abah nang mambariꞌi ular gasan anaknya amun anaknya mainta iwak! 
LUK.11.12	Kadada jua abah nang mambariꞌi kalajengking gasan anaknya amun anaknya mainta intalu! 
LUK.11.13	Bubuhan ikam nang badusa gin tahu mambariꞌi nang baik gasan kakanakan ikam. Maginnya ai Abah Nang Di Atas. Musti Inya labih tahu. Ruh-Nya gin cagar dibariakan-Nya gasan urang nang maintanya.”
LUK.12.29	“Jadi jangan haur mamantingakan napa nang handak dimakan atawa napa nang handak dikinum haja. Kada usah gair manganai hal hal nitu tadi. 
LUK.12.30	Bubuhan ikam jangan kaya urang kafir nang salalu gair manganai samunyaan nang itu tadi. Sualnya urang kafir kada baiman ka Allah wan kada yakin amun Allah maharagunya. Makanya baiman ja ka Abah Nang Di Atas. Inya gin sudah tahu napa nang ikam parlu. 
LUK.12.31	Daripada haur mancariꞌi hal hal duniawi tadi haja, cariꞌi karajaan Allah. Allah gin cagar mambariꞌi samunyaan nang ikam parlu. 
LUK.12.32	Ui bubuhan ikam nang cuma sadikit jumlahnya, kada usah gair kakurangan hal hal duniawi tadi. Sualnya bubuhan ikam sudah manjadi anggota karajaan Allah. 
LUK.12.33	Juali harta ikam, lalu sadakahakan ka urang urang susah. Amun bubuhan ikam mamantingakan kahandak Allah nang kaya itu tadi, bubuhan ikam manabung harta kakal di surga nang kada bisa rusak. Harta itu kada cagar langlam. Sualnya maling kada kawa manyuntannya wan rayap kada kawa marusaknya. 
LUK.12.34	Napa nang paling baharga gasan ikam, pasti rancak ikam ganang wan pikirakan, baik harta ikam di dunia atawa harta ikam nang kakal tadi di surga.”
LUK.18.9	Wayah itu, Nabi Isa bakisah pulang ka urang urang nang maanggap dirinya paling saleh wan katuju marandahakan urang lain. 
LUK.18.10	“Ada satu kisah,” ujar Nabi Isa, “Dua ikung lalakian tulak baimbai ka Bait Allah handak badoa. Saikung pamimpin agama, nang saikungnya tukang tagih pajak nang rancak mambunguli urang.
LUK.18.11	Nang pamimpin agama badiri manyaurangan. ‘Ya Allah, aku basukur, aku kada kaya urang lain, nang jahat, manipu atawa bajinah wan aku kada kaya tukang tagih pajak tu’ ujarnya mamuji dirinya saurang. 
LUK.18.12	‘Aku bapuasa saminggu dua kali. Aku basadakah sapuluh parsen matan samunyaan pakulihanku.’
LUK.18.13	Tapi tukang tagih pajak tu badiri jauh, kada wani manangadah ka Nang Di Atas. ‘Ya Allah, marasilah ulun, nang badusa ini’ ujarnya sambil mamusut dada.” 
LUK.18.14	“Tahulah ikam?” ujar Nabi Isa batakun. “Tukang tagih pajak tu nang diampuni wan dihargai Allah, lain pamimpin agama tadi! Sualnya urang nang sumbung cagar dibari supan. Tapi urang nang marandahakan diri, inya cagar dihargai Allah.”
LUK.18.15	Wayah itu, ada babarapa urang nang mambawa kakanakan ka Nabi Isa supaya kawa dijapai wan dibarkahi ulih Sidin. “Ui, jangan mahauri Guru!” ujar bubuhan pangikut Sidin manyariki. 
LUK.18.16	Biar nang kaya itu, Nabi Isa manyuruh kakanakan tadi baparak. “Biarakan ja kakanakan tu datangan ka Aku” ujar Sidin wan bubuhan pangikut Sidin. “Jangan ditangati. Sualnya Allah katuju maharagu wan bakuasa atas urang nang randah hati wan baiman ka Inya nang kaya kakanakan ini parcaya ka kuitannya. 
LUK.18.17	Sabujurannya, aku bapadah ka bubuhan ikam: Nang hakun mandangar wan maasi Pirman Allah lawan hati nang tulus nang kaya kakanakan ini, inya cagaran masuk karajaan Allah.”
LUK.18.28	“Anu Guru ai” ujar Petrus wan Nabi Isa, “Kami ni sudah maninggalakan samunyaan lantaran maumpati Pian!” 
LUK.18.29	“Parcaya ja!” ujar Nabi Isa, “Urang nang maanggap karajaan Allah labih panting pada harta wan kaluarganya, 
LUK.18.30	inya cagaran dibalas balipat-lipat ulih Allah di dunia ini wan kaina inya cagaran baulihi hidup nang salawasan di surga.”
LUK.18.31	Lalu Nabi Isa mangiau kaduabalas pangikut Sidin. “Dangarakan lah!” ujar Nabi Isa “Wayah jaman bahari bubuhan nabi manulis manganai paristiwa paristiwa nang cagaran tajadi lawan Aku, nang datang matan surga. Samunyaan nang ini cagaran tajadi di Yarusalem. Satumat lagi, kita gin handak tulakan ka Yarusalem. Imbah itu, paristiwa paristiwa nang ditulis bubuhan nabi bahari tadi cagaran tajadi wan Aku. 
LUK.18.32	Paristiwa paristiwa nang ditulis bubuhan nabi bahari tadi babunyi kaya ini: Aku cagaran ditangkap wan disarahakan ka urang Roma gasan diadili. Aku cagaran dihuhuluti, dibari supan, lawan diludahi. Aku cagaran dicambuki wan dimatiꞌi urang. 
LUK.18.33	Tapi talu hari imbah Aku dimatiꞌi, Aku cagaran hidup pulang.” 
LUK.18.34	Tapi bubuhan pangikut Sidin tanganga. Bubuhannya kada paham napa napa manganai kamatian Sidin lantaran arti pandiran Sidin tadi tasambunyi. Bubuhannya masih kada parcaya amun Nabi Isa tu kawa disiksa, dimatiꞌi wan imbah itu hidup pulang.
LUK.21.8	Wayah itu, Nabi Isa malajari bubuhan pangikut Sidin. “Baingat-ingatlah,” ujar Nabi Isa. “Jangan sampai bubuhan ikam dibunguli manganai napa nang cagar tajadi. Sualnya banyak urang cagar datangan, mamakai ngaran-Ku, wan baucap, ‘Akulah Isa Al Masih! Hari kiamat sudah parak.’ Tapi jangan maumpati pangaramput pangaramput nang itu. 
LUK.21.9	Lawan pulang, kada usah gair wayah bubuhan ikam mandangar habar tantang paparangan wan karusuhan. Sualnya hal hal nang kaya itu musti tajadi, tapi wayah itu hari kiamat baluman parak. 
LUK.21.10	Bangsa bangsa cagaran bakalahian. 
LUK.21.11	Gampa bumi, bahaya kalaparan, wan wabah panyakit cagar ada di mana-mana. Hal-hal nang manakutanakan cagar bacungulan di langit.”
LUK.21.25	“Kaina di matahari, bulan wan bintang-bintang cagaran kalihatan ciri-cirinya. Dibumi, bangsa-bangsa cagar takutanan wan kabingungan mahadapi hamukan laut. 
LUK.21.26	Manusia cagar kabuliangan wan siupan mahadapi napa napa nang cagar tajadi di saluruh dunia ini, sabab banda banda di langit cagar manjadi kuncang kirap. 
LUK.21.27	Rahatan nitu am, Aku, nang datang matan surga, cagaran datang didalam rakun nang liwar tarangnya. Lalu Aku cagaran bakuasa atas samunyaan urang. 
LUK.21.28	Wayah masalah nitu mulai tajadi, bahimunglah wan parcaya ja. Sualnya satumat lagi bubuhan ikam cagaran disalamatakan.”
LUK.22.47	Wayah itu sudah landung malam. Sagalumukan urang datangan ka Nabi Isa wayah Sidin masih bapandiran lawan bubuhan pangikut Sidin. Bubuhannya tadi dipimpin ulih Yudas nang dahulunya saikung pangikut Sidin. Nabi Isa diparakinya lalu diciumnya. 
LUK.22.48	“Yudas, Aku sadih banar purunnya ikam mahianati Aku, nang datang matan surga, apalagi lawan ciuman parsahabatan” ujar Nabi Isa. 
LUK.22.49	Pas malihat kajadian nang itu, bubuhan pangikut Sidin hanyar paham amun Nabi Isa satumat lagi cagar ditangkap urang. “Guru, biar kami lawan haja!” ujar bubuhan pangikut Sidin. 
LUK.22.50	Lalu saikung pangikut Sidin manyarang saikung hamba katua imam imam juriat Nabi Ibrahim. Talinga kanan ditataknya. 
LUK.22.51	“Ampih!” ujar Nabi Isa managur pangikut Sidin tadi. Lalu dijapai Sidin talinga urang tadi. Langsung waras. 
LUK.22.52	Nang dibawa Yudas ka sana adalah imam imam, panjaga panjaga kaamanan Bait Allah, wan tatuha tatuha matan bubuhan juriat Nabi Ibrahim. Bubuhannya datangan gasan manangkap Nabi Isa. “Aku ni lain panjahat” ujar Nabi Isa wan bubuhannya, “kada usah mambawa parang wan pamangkung! 
LUK.22.53	Saban hari, Aku ada lawan bubuhan ikam di Bait Allah. Tapi bubuhan ikam kada manangkap Aku. Tapi hanyar am ini, wayah landung malam, bubuhan ikam manangkap Aku sakahandak hati ikam haja, pas wayah Iblis bakuasa” ujar Nabi Isa pulang.
LUK.23.13	Imbah itu, Hupnor Pilatus mangumpulakan imam imam kapala, pamimpin pamimpin bangsa, wan rakyat lalu bacaramah. 
LUK.23.14	“Bubuhan ikam mambawa urang ini ka aku wan baucap bahwa urang nang ini manyasatakan urang. Wayah ini, hanyar inya kupariksa dihadapan bubuhan ikam. Tapi kadada alasan Aku gasan mahukum Inya. 
LUK.23.15	Kaya itu jua pandapat Hirudis sualnya inya gin mangirimnya bulik ka mari. Ingatakan ja, urang nang ini kada pantas amun dihukum mati. 
LUK.23.16	Jadi, inya kucambuk haja. Lalu, kulapas” ujar Pilatus manjalasakan. 
LUK.23.17	Satiap tahun, wayah hari raya Paskah, Hupnor Pilatus biasanya malapasakan saikung tahanan gasan bubuhan juriat Nabi Ibrahim. 
LUK.23.18	Urang banyak sudah bakumpulan di situ.
LUK.23.18	“Matiꞌi ja inya. Lapasakan si Barabas gasan kami!” ujar bubuhannya bakakarasan. 
LUK.23.19	Barabas sudah dipanjaraakan lantaran inya sudah mambunuh urang wan inya sudah maulah tumbur di kuta.
LUK.23.20	“Urang nang ini kada basalah,” ujar Pilatus baucap sakira sidin kawa malapas Nabi Isa. 
LUK.23.21	“Matiꞌi ja inya di kayu bapalang! Matiꞌi ja inya di kayu bapalang!” ujar bubuhannya bakuciakan.
LUK.23.22	“Napa garang kasalahan inya?” ujar Pilatus batakun, “Urang nang ini kada pantas amun dihukum mati. Jadi, inya kucambuk haja. Lalu, kulapas.”
LUK.23.23	Tagal bubuhannya bakuciakan pulang sing nyaringan mamaksa Pilatus sakira mahukum mati Nabi Isa. Kaputingannya kahandak bubuhannya nang manang. 
LUK.23.24	Jadi Pilatus mamutusakan gasan manulusakan kahandak bubuhannya tadi, gasan mahukum mati Nabi Isa wan 
LUK.23.25	malapasakan si Barabas nang dipanjaraakan lantaran mambaruntak wan mambunuh urang. Imbah itu, Nabi Isa disarahakan ka anak buah Pilatus gasan dimatiꞌi.
LUK.23.26	Wayah Nabi Isa dihirit gasan dimatiꞌi, prajurit prajurit malihat Simun, urang Kirene, nang hanyar handak masuk kuta. Simun ditahan lalu disuruh manyahan kayu bapalang tu di bahunya sambil bajalan mairingi Nabi Isa. 
LUK.23.27	Banyak banar urang nang umpat mairingi Nabi Isa tamasuk babarapa ikung babinian. Babinian-babinian nang itu manangisi wan maratapi Sidin. 
LUK.23.28	Nabi Isa manulih ka bubuhannya wan baucap, “Babinian Yarusalem. Aku kada usah ditangisi. Tagal tangisi ja diri ikam wan kakanakan ikam, 
LUK.23.29	lantaran kaina urang cagar baucap, ‘Bauntunglah babinian-babinian nang kada suah batianan, wan nang kada suah baranak wan nang kada suah manyusui anak!’ 
LUK.23.30	Wayah itu, urang cagaran baucap lawan gunung-gunung ‘Runtuhlah, tindihi ja kami’ wan lawan bukit-bukit, ‘Timbuni ja kami!’
LUK.23.31	Sualnya amun urang nang saleh gin marasai hukuman Allah, maginnya ai urang nang badusa.”
LUK.23.32	Ada dua ikung urang lain nang dihirit baimbai lawan Nabi Isa gasan dimatiꞌi jua. Kaduduanya panjahat. 
LUK.23.33	Pas sampai di bukit nang bangaran Tangkurak, tangan wan batis Nabi Isa dipakui di kayu bapalang. Dua ikung panjahat tadi dipakui jua. Saikung di subalah kanan Nabi Isa. Saikungnya lagi disubalah kiwa. 
LUK.23.34	“Abah, ampuni bubuhan nang mamatiꞌi Ulun ni. Sualnya bubuhannya kada tahu napa nang dilakuakannya” ujar Nabi Isa badoa. 
LUK.23.35	Urang nang banyak tu badiri wan manyaksiakan samunyaan kajadiannya. Sadangkan pamimpin-pamimpin agama mahuhuluti Sidin sambil baucap:
LUK.23.35	“Urang lain Inya salamatakan. Amun inya bujur bujur Al Masih matan Allah artinya nang dipilih Allah, biar haja inya manyalamatakan dirinya saurang.” 
LUK.23.36	Prajurit-prajurit gin mahuhuluti Sidin. Banyu anggur asam ditawari ka Nabi Isa. 
LUK.23.37	“Amun ikam Raja bubuhan Yahudi salamatakan diri ikam!” ujar bubuhan prajurit tadi.
LUK.23.38	Di bagian atas tihang kayu bapalang nang itu diandak tulisan nang ini: “Inilah Raja bubuhan juriat Nabi Ibrahim.”
LUK.23.39	“Amun ikam tu Al Masih, salamatakan pang diri ikam saurang wan kami” ujar panjahat nang di subalah Nabi Isa mahuluti.
LUK.23.40	Tapi panjahat nang saikungnya managur. “Ikam tu dihukum mati” ujarnya. “Ikam kada takutankah lawan Allah? 
LUK.23.41	Amun kita ni, pantas haja dihukum mati lantaran kita ni bujur bujur basalah. Tapi Sidin ini kada basalah. Sidin saharusnya kada dihukum mati nang kaya kita ni” ujarnya pulang manjalasakan. 
LUK.23.42	“Nabi Isa, ganang ulun lah, wayah Pian datang bakuasa kaina” ujarnya wan Nabi Isa. 
LUK.23.43	“Sabujurnya hari ini jua, ikam cagar ada di Firdaus lawan Aku” ujar Nabi Isa manyahut.
LUK.23.44	Wayah itu, kira kira pukul dua balas siang, harinya talihat bakakajutan kadap di saluruh banua tu sampai pukul tiga kamarian. 
LUK.23.45	Sualnya matahari kada bacahaya. Lalu kain pahalat Bait Allah tabalah dua.
LUK.23.46	“Abah, lawan Pian Ulun sarahakan panyawaan Ulun” ujar Nabi Isa sambil badoa lawan suara nyaring.
LUK.23.46	Imbah itu, Sidin langsung wapat. 
LUK.23.47	Wayah malihat kajadian nang itu tadi, kapala prajurit nang ada di situ mamuji Allah.
LUK.23.47	“Dasar bujur urang nang ini urang nang saleh” ujarnya. 
LUK.23.48	Imbah malihat wapatnya Nabi Isa, urang banyak nang bakumpulan di situ bulikan wan basadih banar. 
LUK.23.49	Tapi samunyaan kakawalan Nabi Isa, tamasuk babinian-babinian nang maumpati Sidin matan banua Galilea, badiri jauh manyaksiakan samunyaan paristiwa paristiwa nang itu.
LUK.23.50	Wayah itu ada saikung urang matan kuta Arimitia di banua Yudea. Ngarannya Yusup. Sidin tu urang nang saleh wan takwa. 
LUK.23.51	Sidin lagi mahadangi kadatangan karajaan Allah. Biar sidin angguta Makamah Agama, sidin kada akur lawan kaputusan Makamah tu gasan mahukum mati Nabi Isa. 
LUK.23.52	Jadi sidin mainta ijin lawan Pilatus gasan mangubur mayat Nabi Isa. Imbah itu, diijinakannya ai. 
LUK.23.53	Lalu, Yusup lawan anak buahnya manurunakan mayat Nabi Isa matan kayu bapalang. Imbah itu, mayat Nabi Isa dikafaninya nang kaya adat juriat Nabi Ibrahim, lalu dirabahakan ka dalam guha batu ulahan nang ditabuk gasan kuburan. Urang lain kada suah dikuburakan di sana. 
LUK.23.54	Hari itu tamasuk hari parsiapan sualnya hari Sabat (hari istirahat wan sambahyang gasan juriat Nabi Ibrahim) sudah parak. 
LUK.23.55	Babinian-babinian nang datang baimbai lawan Nabi Isa matan banua Galilea, umpat jua lawan Yusup, lalu malihat kuburan Nabi Isa. Bubuhanya malihat jua kaya apa mayat Nabi Isa diandak didalam kubur. 
LUK.23.56	Imbah itu bubuhanya bulikan lalu manyiapakan rarampahan wan banyu wangi gasan maminyaki mayat Nabi Isa.
LUK.23.56	Pas tuntung basiap-siap gasan hari Sabat, bubuhannya istirahat lantaran manaati hukum agama.
LUK.24.1	Talu hari imbah Nabi Isa wapat, yaitu hari Ahad, baisukan banar, bubuhan babinian tulakan mambawa rarampahan handak manjarahi kuburan Nabi Isa. 
LUK.24.2	Tapi, bubuhannya mandapati batu panutup kuburan
LUK.24.3	Pas bubuhannya masuk ka dalam guha kuburan tadi, sakalinya mayat Nabi Isa kadada lagi. 
LUK.24.4	Rahatan bubuhannya taungut kahilangan mayat Nabi Isa, bakakajutan badiri dua ikung lalakian di parak bubuhannya. Baju kaduduanya mancarunung banar. 
LUK.24.5	Lantaran katakutanan, bubuhan babinian tadi basujut.
LUK.24.5	“Kanapa maka bubuhan ikam mancari urang hidup di wadah urang mati?” ujar dua ikung lalakian tadi batakun. 
LUK.24.6	“Sidin kadada lagi disini. Sidin sudah hidup pulang. Ingatakan ja pandiran Nabi Isa wayah Sidin masih takumpul wan bubuhan ikam di banua Galilea: 
LUK.24.7	‘Nang datang matan surga, cagaran disarahakan ka urang Roma, lalu dimatiꞌi di kayu bapalang. Tagal talu hari imbah dimatiꞌi, Sidin cagaran hidup pulang’” ujar lalakian nang bajunya mancarunung banar. 
LUK.24.8	Lalu taingat ai bubuhan babinian wan pandiran Nabi Isa nang samalam tu. 
LUK.24.9	Lalu babulik bubuhannya ka Yarusalem gasan mangisahakan samunyaan kajadian tadi lawan sabalas pangikut Nabi Isa wan pangikut pangikut Nabi Isa nang lain nang sudah takumpul di situ. 
LUK.24.10	Babinian tadi nang mangisahakan habar tadi adalah Maryam Magdalena, Yuhana, Maryam nang umanya Yakub wan babinian lain nang taumpat jua. 
LUK.24.11	Tapi bubuhan pangikut sidin nang mandangar kisah tadi kada parcaya. Dianggap omong kosong haja. 
LUK.24.12	Biar nang kaya itu, Petrus badadas bangun lalu tulak bukah ka kuburan. Wayah inya babungkuk, inya bajinguk ka dalam. Tapi kain kafan haja nang talihat di situ. Hiran banar Petrus lalu bulik batakun dalam hati napa nang tajadi.
LUK.24.36	Wayah itu bubuhan pangikut Sidin lagi bapapandiran, sakalinya bakakajutan Nabi Isa badiri di tangah tangah bubuhannya.
LUK.24.36	“Assalamu alaikum” ujar Sidin sambil manyapa bubuhannya.
LUK.24.37	Bubuhannya kabuliangan sualnya dikira bubuhannya hantu nang bapandir tadi.
LUK.24.38	“Kanapa maka bubuhan ikam gair? Kanapa jua maka bubuhan ikam masih ragu-ragu amun aku sudah hidup pulang?” ujar Nabi Isa batakun. 
LUK.24.39	“Ini nah Aku! Itihi ja bakas luka paku di tanganKu wan di batisKu. Japai ja nyaman bubuhan ikam parcaya. Amun hantu, kada badaging wan kada batulang nang kaya Aku ni!” ujar Sidin majalasakan pulang.
LUK.24.40	Wayah bapandir, Sidin manampaiakan tangan wan batis supaya kawa bubuhannya lihat. 
LUK.24.41	Wayah itu bubuhannya baluman parcaya lantaran kahimungan wan kahiranan.
