GEN.1.1	Nemetva seilva owai, mani mani lohvnamoa, wo Sesoava sism vena ovm petham manam manam. 
1JN.4.21	Wo Sesoava honi pimba moamba vrahunna, himba nomba und vevrava Sesoamba, eva heoa nooa os und vevrata hevna mongawa Kristusnindrinimoata.
1JN.5.1	Indkumbiva undnahonamba ningvpa, osva Yesusva Kristus lohv, himba nomba Sesoana towandal av. Indhanariniva mongova und vevrava aramba, eva osoa und vewol vevrata arana towandalmoa. 
1JN.5.2	Es hevpa pivva levrapivolna, osva pivva und vewol viv Sesoana towandalmba? Pivva wiyera av, manara noinda pivva und vivpa Sesoam, eva piv vei, engminivm moam temura. 
1JN.5.3	Pivva tanamba Sesoamba und vellava, pivva si osva hena moam wohengivav. Wo eva Sesoana moamba mindnamba kin vinvmoa pimba. 
1JN.5.4	Indkumbiva temba Sesoatindiva avpa, himba hevna velgona av, kuvhoalm newondmom petharinim. Pivva keknam undnahonam amnav Sesoam, wo noinda pivva kuvhueiv newondmomba pethariniva. 
1JN.5.5	Wo himba nomba mongova temba kuvhoanamba newondmomba petharininamba, osva pimba nunglivav, os no indhanariniva temba himba undva os wulluhv, Yesusva Sesoana ombol lohv.
1JN.5.6	Yesus Kristusva memba himba, noi ten ipronam pona tovolna. Himba pongasva wulpronamoa. Himba iprona pona tovolnahonam. Wo Sesoasongolva os ov, memba moamba tanam. Sesoasongolva nomba, himba moanonoam ishov. 
1JN.5.7	Wo noinda osva noi samblamong ten, noi pimba moakus unv Yesusnamba. 
1JN.5.8	Men honi, vei Sesoasongol, vei po, vei tovol. Men hona samblamongova mongawamoa ishunv pimba. 
1JN.5.9	Pivva keknam undnahonam indhanamba ninginv, nonamba himba eishovpa mana vemamba tanamba. Wo heva os mana vemamba Sesoava ishovpa, hevm mendeklinonoa. Wo hev pim moakus unna moanonoam ombolnam.
1JN.5.10	Himba nomba mongova keknamba lohmanavra Sesoana ombolva, wulluhv moanonoa, noi Sesoa ten ishunnam pim. Himba nomba keknamba lohmba owai vetava, himba nomba Sesoamba ambo ishomnav, yimba gekala ov. Himba moamba wulluhvmoa, nomba temba Sesoava ishomnanamba hevna ombolnamba. 
1JN.5.11	Honi memba Sesoa pim moakus unnam, Sesoava pimba daswolna, undva alm yunalm nonam, wo hona undva kleihalohv di hevna ombolinda. 
1JN.5.12	Himba nomba Sesoana ombolindava nihrava pepavevrava, himba nomba wohavav yunalm. Himba nomba temba ombolindava nihrava pepavemba owai vetava, himba nomba owai, avavmoa yunalmba.
1JN.5.13	Kava novol vipiprinv honamba tombaiva yem, henom ten he keknam amnavm Sesoana ombolm. Kava novol vev, osm yimba si wiyera avra, osva kava doa daipotava av, no undna, yunalm alm. 
1JN.5.14	Pivva ambvra Sesoaindava pepehhui. Memba honamba, osm nonamba pivva Sesoamba seihminivrava mana vemava, wo nomba mana vemava Sesoava undva vrevrava, osva lehra pimba, wo Sesoava vevra, nomba pivva seihminivrava. 
1JN.5.15	Sesoava helwollohv pimba elsus, nonamba seihminivpa hemba. Noinda pivva nungliv, osva himba pimba daswolv mana vemava, nomba pivva seihminivpa hevnaminiva.
1JN.5.16	Mongova nonglatava hevna mongawa Kristusnindrinimba, osva sahonam vev, indkoklava nomba wongavmoa suwekembellamba, wo no indhanarinioa osoa sembayang venavra hevna mongawa Kristusnindrinimoa, himba temba indkoklava venaiva. Wo os Sesoava no indhanarinimba hengava besalva undva vraohvav. Kava ishunvmoa indhanamba nomba, hem hevna indkokla ten wongavm suwekembellam. Kava memba osmba onengvmoa, no indhanarinioa sembayang vevra no indkoklaraoa. Manara, monglava lohv indkoklava, noindava angavmoa suwekembellamba lelnamba. 
1JN.5.17	Manimani temba indhanamba sahonamba vivpa, temba eva indkokla vrivta Sesoamba. Heva os monglava lohv indkoklava, noindava angavmoa suwekembellamba lelnamba.
1JN.5.18	Pimba nonora av, osva himba nomba temba Sesoana otolva, himba hengava indkoklava vewuvmona vevavmoa. Sesoana ombol hemba desvhoana beswonam, wo es eva Setanmba hemba waikohosihavav? 
1JN.5.19	Pivva nonora av, osva pivva Sesoana av. Wo heva os Setan vavawonamba pethamba kevra aiwolohv. 
1JN.5.20	Wo eva pivva henga nonora av, osva Sesoana ombolva doa prona, wo doa daswolna nowolva, nonoramba almba. Daipotava pivva doa liheiv Sesoamba, nomba temba avpa Sesoanonoa. Wo pimba doa wohpepavena nihnahonam Sesoamongo, eva ombol Yesus Kristus. Himba eva Sesoanonoata, wo himba plalva, osva pimba wohavav yunalm yunalm.
1JN.5.21	Kana otovotal, doa, yeoa meis hehara unvm gurudaspolmoa, temba himba numhowol vilimbvpa.
2JN.1.1	Kava Yon, Kristusnindna kuwul, kava yem novol vipipramnav ungevlirinim, Sesoa ten hevelm yem kikih vrenam, eva osoa towandpevm. Kava und vewol vev yemba indkumbim, manara, pivva mongawundna amnav moanonoamba, temba pimba Kristusnindva doarava hillinamba. Eva hind, noi ten he nonora amnavm hona moanonoam, himba yemba und vewol vivta. 
2JN.1.2	Kava yemba und vewol vawov, manara, tanam moanonoava, nomba temba pimba kek vithivpa, si yunalm ovavhoa wohvaowinvav.
2JN.1.3	Sesoa ara, Yesus Kristus arana ombol, heoa yemoa undalm vewol evera, wavra evovhueinvra, wo yimba avra noinda undwonamangas. Manara, yimba temura wohengiv Sesoana moanonoamba, wo eva himba yemba mindnam und vewol vevta.
2JN.1.4	Kava indk vithinna mindkombaiwonam, helwolvnamba, osva monglava yenamba towandpevnamba. Kava indk vithinv noinda osra, himba wohengiv moanonoamba, os ten Sesoa ara wohtnam doara pivm. 
2JN.1.5	Seh, men daipota ka yem ishomnav, yeoa indkumbioa und avramana vevm henom, henom, osangas. Honamba memba moamba nemelva owai. Memba mongawamoa, noi ten piv doara hillinam tamolla. 
2JN.1.6	Wo und vewolalmba osm uv, os ao, ten hev pim unnam, osm alm. Wo nomba Sesoana moamba men, os yeoa und vewol vivm henom, henom pevmoa. Yimba doa hellena hona moamba doara heva seilm.
2JN.1.7	Hello, esvema doa kekel vethana hona petharava gurudaspolva daipotava. Himba ishuvmoa, osva Yesus Kristusva prona petharamba, wo indhanarinielm nilhana. Himba memba gurunonoava owai, wo avra Kristusna ungundalm. 
2JN.1.8	Novnovhora vivm, manam yimba nombolvhueivav vuhemba besalva, nomba temba yimba ehlava hlavnamba, vralmba. Novnovhora vivm, nomba temba yimba si dumbvav vuhemba besalva. Memba osm, manam yimba hilwulvav hemba.
2JN.1.9	Indkumbioa heoa osangas wohengivra Kristusna moamangas. Himba nomba Kristusna moamba kohosihatava, wavrapeta, owaimomolva Sesoava heindava avmoa. Wo heva os himba keknamba lohmanatava Kristusna moamba, aralombol hemba waiahav. 
2JN.1.10	Mongova prunillava yeindamba, osva hona moamba himba wulluhvramoa, aembu, ata ye wolaihasihavav pevna deuvra. Manam yimba sehmonamba hemba wondmond ovravav. 
2JN.1.11	Yimba hemba wondmond ovratava sehmonamba, doa yimba temba kolvrei hemba, no andrakoklarava, temba hevpa vevpa.
2JN.1.12	Kava iav mindnam, ishunilmba moamba yemba, heva os kava eunumbovavmoa tombaina pennamba. Noinda osra, kava nengv kavm, prolm, yemba nongalalmba. Wo pivva mongawulm di moamba eishovra. Noita si pimba vinvav, osmba noinda indk vithira. 
2JN.1.13	Pevna mongawa Kristusnindva huiva, Sesoava temba hevelmba kikih vewol venamba, himba pimbinna sehmoa yemba. Doata.
3JN.1.1	Kava Yon, Kristusnindna kuwul, yemba kavna seh Gaiusm, yemba kava und vev honindava, pivva memba mongawundna ahamnavpa moanonoamba, temba pimba Kristusnindva doarava hillinamba.
3JN.1.2	Seh, kava nonora lohv, yenamba undva beswonam lohv. Kava sembayang vev, osm manimani yeindava phovra besalangas, wo eva yemba uvavulva venavramoa. 
3JN.1.3	Monglava Kristusnindva ambnamba homba kaindamba, ishumnina kamba, ona, Gaiusva moanonoamba doa wohkek vethanamba, temura wohengv. Wo honinda kava mindnamba indk vethana. 
3JN.1.4	Kava osva hellellohvpa, kava kavpa ambo eisil wohalohv, noinda kavna otovotalmsna wohengiv keknam moanonoamba.
3JN.1.5	Seh, temba besal, nomba wevsava, yimba temba kolvrowol velohvpa Kristusnindmba. Yimba eva kolvrowol vev hindm Kristusnindm, nom yimba hemba tit vewol vev. 
3JN.1.6	Noi ten kaindam ambnam, he eishunvna Kristusnindmba huiva, sna und vewolalmba, yimba temba wulluhvpa. Kava yemba nengmanav, osm yeoa dioa osangas wohkolvrowol vilango hemoa monaraoa, nonamba himba hengava lovahmana velmba vevrava. Kolvrowol vilangavm hemoa no monana, osva Sesoava noindava si eva wohindlothovrata. 
3JN.1.7	Manara, himba doa ten wohambv monam, Kristusm andra venalm. Himba dumbunvramoa mana vemava henonamba, himba temba mendahva puehallava avpa. 
3JN.1.8	Wo noinda osva pioa hemoa kolvrowol velvohra monaraoa. Wo nonamba nomba pivva vivrava, pivva osva anilhamana vevra moanonoana andranindilm hemongo.
3JN.1.9	Kava novol vinna tombaiva yena Kristusnindm, wo heva os Diotrepesva hellevmoa honamba. Himba undva vrev, osmangas kangas mongal kuwulva wulluhv. 
3JN.1.10	Noinda nonam kav provram yeindam, kava si ishunvav yemba, osva ora, os vewol vev Diotrepesva. Himba dasalm ishunv moakoklana pimba. Wo heva os nongasva himba vevmoa, himba owai vev, kolvrowol velmba, nomba temba wulvahmana vevpa moanonoamba. Wo osoa hev vev, olwolv hindm owalm Kristusnindm, nom ten he kolvrowolalm vivm nom Kristusnindm, temba moanonoamba wulvahmana vevpa, wo olwolv sembayangmba.
3JN.1.11	Seh, yimba manam daohtpot vivav mana vemakoklarava, daohtpot vivm nom besalmangas. Himba nomba vetava nomba besalva, temba Sesoanamini. Wo heva os himba nomba sahoklalva vevrava, himba wohtit vrev mendah Sesoamba. 
3JN.1.12	Indkumbiva Demitriusmba wivuleiv. Wo eva moanonoava Sesoanamba osta hemba wivuleivta. Manara, Demetriusva wohenglohv no moamba. Eva kava ishumniv hemba beswonam, wo yimba nonora lohv, nomba osva temba kava eishovpa, tanamolnam.
3JN.1.13	Kava iav esvema moamba, yemba ishomnalmba, heva os kava eunumbovavmoa penna inknamba kavnamba. 
3JN.1.14	Kava nengv, yemba lelnam nonglakalmba. Wo di pivva mongawulm ihishovav. 
3JN.1.15	Undwonam ao. Sehpevpa memba kava wonavpa, piambmanav yemba hevna und velva. Yeoa vrahunu kana und vewolaloa indakonda sehmoa dioa. Doata.
JUD.1.1	Kava Yut, kava andranindrini Yesus Kristusna, wo kava Yemsna boasalal lohv. Wo kava novol vinv hona tombaiva yem tendonam onganam, Sesoa hev ten yem kekaiv vevnam hevelm. Sesoava aramba yemba mindnam und vewol vev, wo Yesus Kristusva hev yemba doa hulvuih vena hevelm. 
JUD.1.2	Sesoa yemoa mindnam wavra vovhueinda, wo noinda yimba si indwonam avra, eva keknam und vewolalm monglam.
JUD.1.3	Sehnonoa, seilnonoava kava nengvnamba, novol velmba tombaiva, ishunilm yem, os andrava Sesoava vinnamba, pimba hengava lopshalmba. Wo heva os kava nengvna, novol vinilmba yemba mongom indanapetam. Kava ninginv, numhowolalm yemba os, Sesoava doa doara pimba lopshana, wo noinda pimba hemba keknam undnahonam lovahmanav helmba.
JUD.1.3	Wo noinda os kava nengv, yeoa keknam kevrivm, nomba undva temba Sesoava pimba daswolnamba. Yeoa loihanga vinu ungundna moakoklamoa. Sesoava pimba doa daswolna, undnahonamba almba mongawulmba, wo besal osm, yunalm yunalm. An eva hengava honamba besal nemelmomba weihaloh vrevav si?
JUD.1.4	Kava noinda osva yemba unv, monglava indhanamba doa ten poaita saivunv yeindava. Hemba Sesoava doa doara nongalna, noindava sahonamba, temba hevpa manimani vivpa. Hemba si boasna wetatmorasna wonishuvav Sesoaindava, wo verava, si os hemba unvav, osva doa yimba wohowolakovoi.
JUD.1.4	Doara nemet heva doa moashulnindva novol vewol vinna, osva ona, himba sna indhana vilov. Himba ahnam lovahwolvna Sesoamongova. Sesoava doa pimba wavra vovhueinna, heva os nomba indhanamba sahonam vrivna Sesoana moamba indamonam, nom osm onga kivrakivramangasm velm. Himba ningvnamoa, amnalmba Yesus Kristusmba pivna kuwulmba mendeklimba.
JUD.1.5	Kava memba hengava ambo yena nengavnangm deuhtinv, monglamba manam manam yimba doara doa levrapivolna. Ningvm, nom Sesoa mendekliva lopshana hevtindimba, wonpholmba Isipnindna pethariniva. Wo sismba Sesoava hena wevsamba nunglinvnamba, indkokla vewol vevna hemba, nomba temba himba keknamba undnahonamba amnamba owai venavnamba.
JUD.1.6	Wo ningintuk monglam ovsongolnindm, nom Sesoa hev ten daswolnam hevna mendekli keknasowol. Wo heva os himba hevna andrava wuleihalaha ambwol vevna. Wo doa mendekliva wolasiha vena nomba ovsongolnindkoklamba sikulmonam, diva sia wohkilvralohv. Hemba diva wikik veihana sna senwona i, si osangas wohaevvav nonahonam, verava, hev si provram, lesvhoawolalm indkumbim pethanindm.
JUD.1.7	Wo eva ningtuk kotasamblam Sotom eva Gomoram, wo eva monglam kota eusil, di mumra luhungu vevnam. Himba os vivna, ten ovsongolnindkokla vivnam, himba wulpulvovna wevsam umeksawoksarinim, honamsnam Sesoava doa wohovunna pimba. Henamba kotava ambo pilivholuhunvna umeksawoksanakra, wo noinda Sesoava hemba wolasiha vevna, vuthoahui suwerava, inethalm, osm pioa indkumbioa nom henga nunglivrava, pem vivra.
JUD.1.8	Noi mongasalta si eva luhunvav hemba nomba, himba temba saivomb vinvpa yeindamba. Himba wohengalvohvna inungpunungm, wo himba hevna nihtovmba sahonam ambo wuleisilvna. Himba indkokla vrivna Sesoa mendeklimba, wo eishomnavna moakoklana sahonam, eva indkokla vewol ovuvna ovsongolnind besalmba. 
JUD.1.9	Owai, eva Sesoana ovsongolnindna kuwulva Maikelva snamba lohvnamoa, temba himba vivnamba. Himba ohononglawolvna Setaniva, osra ona, an si vendvevav Mosesmindmba? Wo Maikelva owai, ohohalvnamoa, sahonamba ishomnalmba Setanmba vevandnamba. Hev omnana, mendekli hev yemba osva omnavav, yeoa maivetho.
JUD.1.10	Wo heva os hona indhanamba, himba temba saivomb vinvpa yeindamba, himba eishovna moakoklana, nomba temba himba temuramba levrapivolalmba owai vivnamba. Himba mana vemamba monglamba beswonamba levrapivolvnamoa. Wo heva os hillivna owai nengavnangnamba, himba ambo luvunvun vrivna, os ten mewonda vivm manam manam. Wo noita mendekli wevsava, himba hevmba nona indkokla vewol vivna.
JUD.1.11	Hemba wavro, himba doa wohengiv monam, nom ten Kein nom lohmanavnam, owalm und vewolhui. Dimba dombolmba himba hevmba wehasuv vevna, mana vemakoklarava, osmba temba Balamba vevnamba. Himba daosva ohovna Sesoamongova, os Kora ten vevnam. Wo himba Koramsna av, hemba si indkokla wohvilovav yunalm.
JUD.1.12	Hemba louva eilh vrowol vevnamoa sna innerava, temba Kristusnindmongova nepetha vevnamba mongawulmba, himba ninginvna, kava kavpa lehrangas av. Heva os himba muserava sahoklalnonoa Sesoana novrava.
JUD.1.12	Himba snal avna, ovna, teko kovoneprav pohui. Wo vuvi ambo hemba iaindavna. Himba oi, ti snal, movolva kethavavmoa. Wo doa veiva, nolhrava aralva os wohvelalahai pethanahonamba. Wo hemba samblanam dahawolvav, vera, nih dahamnara, eva und. 
JUD.1.13	Himba snal, oi wanombok sahoklal. Hona indhanamba louwolm vivna manimani, osva ovna, wankimbs lonongla engalsra. Himba sna avna, ovna, pai noi ahallohol ovrini. Vuhemba sikulmonarava doa doara pongvhueinna hemba yunalmba, diva sia wohkilvralohv.
JUD.1.14	Enokva noi Atamna sespal, ten 7pelalm yuhulthoawol tetwond vilprona, venamba, men daipota he lohv. Wo Enokva honi moamba ishunna no indhanakoklamba, hev unna, nungeiltuk, mendekliva ten wonprov tivlapovlamsna hevna ovsongolnindmba, os owai, eva es seivilvav, nomba temba Sesoamba andra vinivpa. 
JUD.1.15	Mendekliva provrava, himba si os lesvhoawol vevav hem nom hem nom indakondakonda. Himba prov, lesvhoawolalm annindm annindm indkumbim, eva esvemam vinilm, nom ten sahonam vinivm Sesoam. Himba si esvemava vinvra hemba nonilmba, manimani sahoklawonamba, himba temba vinivnamba hemba. Wo himba si esvemava vinvra indhanakoklamba, himba indkokla vrivnam Sesoamba. Himba si esvemava vinvra hemba nonilm, ten sahonam hev nevoskavoskamona eishomana venavnam hem.
JUD.1.16	Hona indhanamba elsus ombsomb omana vevna, wo asihasiha ovovna owalmba. Himba elsus vewuvmona vevna mana vemava sahoklalva, osva hevpa temba velmba vivnamba. Himba hevmba aivol ovovna. Nonamangas moamba owalmba eishunvna beswonamba, memba osm, nom hev ninginvnam, henam dumbunilm.
JUD.1.17	Heva os yeoa ningvm, nom ten moalamangnind pivna mendekli Yesus Kristusna eishovnam nemet. 
JUD.1.18	Himba ishunna yemba os, nonamba ovi pethaiva imhara evhowolvrava, nonamba si indhanamba noi avav, ten losgoplala omana venavm Sesoam. Himba si osmangas velm vivra, hev ten nom velmangas vivram, mana vemangas nom ten sahonam vinivnam Sesoam. 
JUD.1.19	Hona indhana yemba Kristusnindmba si powalwolvav, vera, mongnind eva mongnind. Himba osmangas velm viv, hev ten nom sahonam velm ningvm. Noinda himba Sesoasongolhui amanamana ovovna.
JUD.1.20	Wo heva os yeoa ao keknam pevna undnahonam, nona pim Sesoa hev ten daswolnam. Sembayangoa Sesoasongolnapopol vivm. 
JUD.1.21	Elsus yeoa nengavnangoa vrivm, osoa Sesoava kamba mindnam undalm vewol vev. Wo nengviluwuvm mendeklim Yesus Kristusm, himba si provavpa, pim wavra vovhueinilm, nonam yunalm wohalm.
JUD.1.22	Nesmos avramana veo owapevmoa, ovra, himba nomba undnahonamba keknamba lohvhoapihavmoa. 
JUD.1.23	Akolvra vevm, wolapulvo veo hemoa suwerinioa, ovra, himba nomba suweram angavrava. Kusithaprinu wavranahonam monglamoa. Sahoklalva eva pikianmba henamba temba indkokla vilunnamba hevna tetevullava. Ata homeis yem pavralowol vevm, indkumbim besal indhanam.
JUD.1.24	Sesoava keknasowol, wo himba kolvrowol vevav yemba, veteke vepenapenamba. Himba yemba omnavav hevna pusambanakambaram, wo os yimba ambo mana vema kethahui avra, wo yimba mindnam plasra undwonamangasva avra. 
JUD.1.25	Hengas Sesoava. Hengasta, he lopshav pimba, Yesus Kristusna andranamba, pivna mendeklina, wo pioa hena nihilmoa okolalohra. Heoa wohavra minindrini king kuwulalmba, wo wulav mendekli keknasowolva, wo himba osva manana manana kuwul wulluhunvra. Vena, nemet doara, eva daipota men, himba ambo osangas wohav. Wo himba si osangasta sewonamba yunalm wohavra. Tanamta.
REV.1.1	Memba honamba poaitamomba, levrapialmba Yesus Kristusna. Sesoa vraohna honamba poaitamomba Yesusmba, indthueinilm hevna andranindm, osm mani si lilnamba phovav. Wo Yesusva wolaihaprana hevna ovsongolnindrinimba, numlahamnalm hevna andranindrinim Yonm. 
REV.1.2	Yonmba hona tombairava novol vewol wohvepiana manam manam temura, nomba himba temba nonglanamba. Nomba tanamolmom, temba Yesus Kristusva ishomnanamba hemba, nomba temba moamba Sesoanamini. 
REV.1.3	Yimba himba nomba honamba boaita ovrava moamba Sesoanamba, yeoa indk vethavra. Wo eva indhanamba himba nomba hillivrava moalamangva, wo vivrava, osva temba novol velohvpa, heoa indk vithivra. Doa nambaiva mumra vev, nonamba manimani honamba si phovavpa.
REV.1.4	Yonnamini nom 7 pelaram Kristusnindm, hindm nom, hindm nom, indakonda yem Asiaprovinsnindm.
REV.1.4	Sesoa, henoi ten avnam, eva lohvm, eva si provavm, heoa yemoa wavra vovhueinvrava, wo os yimba undwonamba avav. Wo eva Sesoasongolva, temba wohavpa murapetava Sesoana king kuwulna vuherava, heoa yemoa wavra vovhueinvrava, wo os yimba undwonamba avav. 
REV.1.5	Wo eva Yesus Kristus, hengas aralna moamba ambarava levraholothov. Heoa yemoa wavra vovhueinvrava, wo os yimba undwonamba avav. He miva dasna nonindmba, nomba temba si pulvovrava mindilva. Himba hev moalamangva wulluhunv kuwulva pethanindnamba.
REV.1.5	Himba pimba mindnam und vewol vev. Wo heta pimba kilumbshuawol vena hevna tovolna dahalna, wo pimba indkoklahui av. 
REV.1.6	Himba pimba wolasiha vena Sesoana nemeltindilm. Wo pimba Sesoana sembayang andranindilmsna av hena aralna. Pimba os uv, Yesus Kristusangas lohv keknamba yunalm huhmohnahonamba. Doata.
REV.1.7	Nunglu, Yesusva prov tekonahonam. Indkumbiva si nunglivav hemba, eva himba nomba temba bunenamba lunamba hemba. Indkumbiva pethanindva si nunglivav hemba, wo si ningminivrava hemba, wo si wuovra hevmba pepehnahonam. Tanam honamba si os wohphovav. Doata. 
REV.1.8	Mendekliva Sesoava os ona, kava tamol eva brol. Ka honi anam, eva lohvm, eva si provavm. Kangas memba, manimani kanapopol vilov.
REV.1.9	Kava Yon, wo kava yena mongawa Kristusnindrini luhunv, wo noinda pivva manimani viv honamba, vei, kinm vralm, eva Sesoana nemeltindilm saivolm, eva heva kivrawuliha vrelm owaiva. Kava wahra avna di Patmos wankuvundtholla, manara, kava numhowol vawovna, Sesoana moalamangnam alm, eva tanamolmom Yesusnam. 
REV.1.10	Mendeklina nambairava mingurava Sesoasongol kamba nihra vrevna, kava sis helle moalamangm mendeklim, os maim ona, vuv pieiv. 
REV.1.11	Nomba moalamangva os opiavna, novol vewol veo nomoa, memba yimba nonglavpa, wo dembhanga vungu vinvm tombaioa nooa no 7pelaram Kristusnindm hindm nom, hindm nom indakonda, Evesuskotanindm, Smernakotanindm, Perkamumkotanindm, Taiatairakotanindm, Sartiskotanindm, Pilatelpiakotanindm, eva Laotisiakotanindm.
REV.1.12	Kava imharavhoanamba, nonglalm, an ishomnav kamba? Nonamba kava ona imharavhoana, kava nongla 7pelara lamputilm, golna vewol vina. 
REV.1.13	Kava nongla, mongova hovra lohvna no lamputilhovra, himba nomba snal maim ona, arana ombol. Himba kayen tokolna lohvna. Himba wulluhvna golna avondriniva hevna avondra. 
REV.1.14	Henamba kuva tamba sipsipna talmsna, os maim ovna, teko dombal. Henamba novpa ovna, suwemda tangu vev. 
REV.1.15	Henamba kemonglava ovna, hon boal, snal suwemba tavna, heva os owai, mindelva tavnamoa. Henamba moalamangva os uvna, ovna, pueumbwut ov. 
REV.1.16	Himba ilohvna 7pelara paiva hevna nihananglana. Nuveskol samblamulva ovlakasbonava pivi ahaiwo ahavna hena mengrava. Hemba os nunglivna, maim ovna, okomba doa hovra lohv, novpa sowaivwol vevna.
REV.1.17	Nonamba kava ona nonglana, kamba os vendpena hena monglisra, os maim ona, mindilm vendpena. Wo himba hevna nihanasis engla holotho kainda, wo ona, ata ye pem vevav. Ka vei, tamol eva brol. 
REV.1.18	Kava noi, kamba dahana, heva os nonglo, kava wohavav osangas yunalm. Wo kav aiwo av kuntiva dahalnamba, eva vuhemba, temba indhanamindva avpa, osm hengava si kava os deuhtvav.
REV.1.19	Novol vewol veo, memba yimba nonglavpa daipotava, eva mani si phovav sewonamba. 
REV.1.20	Men poaitamona plalva nonamba 7pelarava painamba, nomba yimba temba nongaliva kana nihananglasisva, wo eva 7pelara lamputilm, temba yimba nongaliva. Nomba 7pelarava lamputilva, 7pelara Kristustindi, hind Kristusnind, hind Kristusnind. Nomba 7pelarava paiva lehwol viv ovsongolnindm no 7pelaram Kristusnindnam, hind Kristusnindm, hind Kristusnindm, hind Kristusnindm.
REV.2.1	Kristusva mendah ishongamnavna Yonmba. Novol vewol veno honaoa ovsongolnindrinim Kristusnindnam Evesusram. Temba himba nomba mongova ilohnamba 7pelarava paiva hevna nihanasisva, wo lohmana vungu vevna hovrahovra no 7pelara golna lamputilmusra, Kristusnindm kekalvho vewol vevna, omnana os yemba. 
REV.2.2	Kava nonora lohv, osva noi yimba viv. Yimba ehlana mindnam andra vev, wo yimba es eva kivrawuliha vrivra. Kava nonora, osva yimba owai, puehalnindmba patvunvmoa. Yimba doa simbeihawol vina, nomba himba temba osva eishovnamba, kava moalamangnind, heva os tanamolnamba owai. Yimba saivunna doara, osva una, owai, himba ambo moakokonind. 
REV.2.3	Yeoa osangas kamoa andra vaomana venavm. Yimba kinmba lavraomana vev kana nihilna, wo yimba owai, wuleihavmoa.
REV.2.4	Heva os kava honindava yemba musk vinv, yimba doa bumbriskovna, keknam undalm velmba, nonamba temba seilmba pevpa amnanamba kamba. 
REV.2.5	Keknam henga ningu, os pev ten nemet avnam. Weihaloh avramana veo pevna undm, wo vivm, os ten pev seilm doara vivnam. Yimba pevmba weihaloh avramanamba owai vetava, ka si prunvav yemba. Kava si koholothunvav yenamba lamputilva, hevnavhorava owai. 
REV.2.6	Heva os diva nomba temba yimba vivnamba, temba yimba lehra vivna. Yimba ahnam indanam lovahvna, noindava temba nomba Nikolastatanamba vivnamba. Kava eva owai, ovunvta.
REV.2.7	Indakonda indhana yeoa aongna hillivm, nom ten Sesoasongol ishunvm hind Kristusnindm, hind Kristusnindm, hind Kristusnindm indakonda.
REV.2.7	Himba nomba kuvhoatava vuhemba Sesoaindava, kava si hemba wuhhovav, nelmba timovmba, no tilliniva, temba noindava undva vravpa, nonapopolmba almba yunalmba. Honamba timba lohv men Sesoana osora.
REV.2.8	Kristusva mendah ishongamnavna Yonmba. Novol veno honaoa ovsongolnindrinim Kristusnindnam Smernanindram, mongo henoita brol eva tamol, yemba honam ishunna. Himba noi dahanamba, wo henga hevnatovna beswonam pho. 
REV.2.9	Kava nonora lohv yenanamba kinmba. Kava nonora, osva yimba owousra av, heva os owai, yimba bimbsnind av kana novrava. Kava nonora lohv nomba sahoklalva, indhanamba yemba nomba eishunvpa. Himba os eishov, kava Yutanindnonoa Sesoanindnonoa, wo heva os owai himba Sesoanindva. Himba puehalnindilm av Setanna. 
REV.2.10	Manam yimba pemba vivav, osva ora, es hevpa si kamba vinvav? Hillu, yem ka ishunv, Setanmba si monglamba yemba wolasiha vevav wahra, yem lehwolalm. Yimba si saha vrowovav, nomba os okombava yemba 10pelara pieloh vungamnavav. Heva os keknam undnahonam ao, eva yemba dahavra. Yimba keknamba allava, kava si yemba daswolvav topi moainal. Memba osm, yimba doa kuvhoai Sesoana vuhemba.
REV.2.11	Indkumbioa indhanaoa aongna avm, hillivm, nomoa memba Sesoasongolva ishunvpa Kristusnindmba vavawonamba.
REV.2.11	Himba nomba keknamba allava, eva hemba dahavra, himba os vravav vuhe besalva, osmba hengava kiliva dahalmba si indkokla vevavmoa. Memba osm himba si suwekembellamba gavavmoa.
REV.2.12	Kristusva mendah ishongamnavna Yonmba. Novol veno honaoa ovsongolnindrinim Kristusnindnam Perkamumnindram. Mongova aiwolohv nuveskol ovlakasbonamba, honam yemba ishunvra. 
REV.2.13	Kava nonora lohv, yimba hi aevulv. Yimba men av, Setanna vuhe men lohvm, wo indhanamba hem engiv. Heva os owai, yimba tanam kalmangas wohav. Yimba sambla undva verombtvmoa, ishunilmba pevna almba keknamba kaindamba, eva nonamba himba Antipasmba helvakomandhinamba yena novrava. Antipasva kana moamba ambarava levraholothovnamba, hemba helvakomandhina yena kotara, noindava mendah Setanmba woheinv.
REV.2.14	Heva os kava men monglava ilohv, yemba ovunilmba nomba, yimba ten monglava lovahv. Yimba engiv Balamna wevsam. Balam doara numhana Balakmba, osmba os vinvm Israelnindmoa, sahonamoa almoa. Himba indkoklava honinda vivna, inne noi hlavnam, ten nona sembayang vinvnam tihsongom, eva ongariskui noi vivnam. 
REV.2.15	Eva osangasta monglava ten yimba wonlovahvta, himba engiv gekalamomba Nikolastatananam. 
REV.2.16	Wou, weihaloh vewol viu pevna undm. Yimba owai vitava, kava si prunvav yeindamba lelnam, wo helvawol vevra yemba no ovlakasbonanamsna, phovra kavna mengmerini.
REV.2.17	Indkumbioa yeoa aongna hillivm, nomoa memba Sesoasongolva ishunvpa Kristusnindmba vavawonamba.
