MAT.1.1	O lil cai sicavel catar țîrdel‐pe o Iisus Hristos, o ciao le Davidosco, o ciao le Avraamosco. 
MAT.18.17	Hai te na ascultila lendar, phen‐les che Changheri; hai te na ascultila nici le Changhereatar, te avel anda tute sar ăc vameșo hai păgîno. 
MAT.18.18	Ceaces phenau‐tumenghe: Cabor phandena pe phuî, avela phanglo i and‐o cero, hai cabor deschearena pe phuî, avela descheardo i and‐o cero. 
MAT.18.19	Hai pale phenau‐tumenghe, cana dui gene anda tumende phanglon te avel e daici pe phuî, avela le dino catar Muro Dad cai si opre and‐o cero. 
MAT.18.20	Că othe cai si dui or trin chidine andă Muro anau, othe sem i Me andă lengo mașcar. 
MAT.18.21	Atunci o Petro, pașîndos Lestar, phendea: Raie, cabor drom trăbul te iertiu mîră phrales cana cherla-manghe nasulimos? Gi c‐ăl efta drom? 
MAT.18.22	Ta o Iisus phendea‐lesche: Me ni phenau tuche gi c‐ăl efta drom, hai gi c‐ăl efta deșa or efta. 
MAT.18.23	Codolasche o thagarimos opral meal ăc thagaresa cai chamno te socotil‐pe o slugența. 
MAT.18.24	Hai sar astardea te socotil‐pe lența, eta că ande lesche eches cai sas‐lesche ugile deș mii talanțea. 
MAT.18.25	Ta sar nas‐les sosa te pochinel, o stăpîno poruncisardea te aven bichinde ou, leschi giuvli hai lesche ciave hai sea so sas‐les pochindol. 
MAT.18.26	Ta o robo pelo andă cociande închinosailo, hai phendea: Raie, mai ajuchear‐ma hai si te pochinau tuche sea. 
MAT.18.27	Hai lesco stăpîno lea‐les mila lestar, dinea lesco drom hai iertisardea‐les anda sauără ugilimos. 
MAT.18.28	Ta cana înclisti e sluga avri, p‐o drom arachlea eches cai sas‐lesche ugile ăc șăl dinarea. Ou ciutea o vast pă leste, chidelas‐les coratar hai phenelas: Pochin‐manghe so sas ugile. 
MAT.18.29	Cadaua cai sas sluga pelo sa sar leste, rughilas‐pe hai phenelas: Mai ajuchear‐ma hai si te pochinau tuche. 
MAT.18.30	Hai ou ni chamelas, hai ghelo, ciudea‐les and‐o phandaimos, gi cana pochinela pio ugilimos. 
MAT.18.31	Col‐aver slugi, dichindos so cherdilo, mîhnosaile zurales hai avile ta phende le stăpînosche sea so dichle. 
MAT.18.32	Atunci dinea‐les mui lesco stăpîno hai phendea‐lesche: Sluga nasul, so san sauără chiro iertisardem‐les, că rughisailean‐mande. 
MAT.18.33	Ni trăbul te sas‐tu i tu mila catar chio amal cai si sa sluga tusa, sar sas‐man man mila tutar? 
MAT.18.34	Hai o stăpîno holeailo hai dinea‐les p‐ăl vast colenghe cai chinuin gi cana pochinela sauără ugilimos. 
MAT.18.35	Sa cadea i Muro Dad and‐o cero cherela tumenghe, cana ni iertina fiesave phrales andă tumaro ilo.
MAT.19.1	Ta pala so phendea o Iisus cadala, telearde anda‐i Galilea hai avilo c‐ăl thana le Iudeache, părdal o Iordano. 
MAT.19.2	Hai ghele pala Leste but manuș hai othe sasteardea‐le. 
MAT.19.3	Hai pașîle Lestar ăl fariseia te ispitin‐Les hai phende: Si mișto te muchel o manuș pe giuvlea anda or soste? 
MAT.19.4	Ou boldea hai phendea: Ni citisarden că Coua cai cherdea‐le anglal cherdea‐le murș hai giuvli? 
MAT.19.5	Hai phendea: Codolasche muchela o manuș pe dades or pe da hai machel‐pe că pi giuvli hai on ăl dui avena ech. 
MAT.19.6	Cadea că on manai dui, hai si ech. Cadea că sa o Del chidea and‐ăc than, o manuș te na deschearel. 
MAT.19.7	On phende‐Lesche: Anda soste o Moisea poruncisardea te dela ăc lil deschearimasa, hai te muchel‐lan? 
MAT.19.8	Ou phendea‐lenghe: Că tumaro ilo areslo barăsco, codolasche o Moisea muchlea‐tumen te muchen tumare giuvlean, ta anglal nas cadea. 
MAT.19.9	Ta me phenau‐tumenghe că or sao muchlea pe giuvlea avri anda‐i buchi că giala avre murșăsa, hai ou lela pesche aver giuvlea cherel bezeh curviaco; hai sao cola muchli catar pio murș cherel bezeh curviaco. 
MAT.19.10	Ăl ucenice phende‐Lesche: Cana cadea si ăl buchea le murșăsa hai le giuvleasa, te na mai len‐pe. 
MAT.19.11	Ta Ou phendea‐lenghe: Na sea hachearen cadau dimos duma, hai numa colen cai si‐le dino. 
MAT.19.12	Că si famenea cai cherdile cadea anda pi dei; si famenea cai si cherde manușăndar famenea, hai si famenea cai cherdile on corcoro famenea anda o thagarimos ceresco. Con daștil te hachiarel, te hachiarel. 
MAT.19.13	Atunci ande Lesche ciauărăn te ciol‐Pe vast pă lende hai te rughil‐Pe; ta ăl ucenicea Lesche rodenas te durearen‐le. 
MAT.19.14	Ta o Iisus phendea: Muchen te aven Mande ăl ciaoră hai na țîrden-le, că sar lenghe si o thagarimos anda o cero. 
MAT.19.15	Hai pala so ciutea Pe vast pă lende telearde othar. 
MAT.19.16	Hai eta că avilo ăc tîrno Leste, hai phendea: Sicaitorina lacio, so mișto te cherau, te traiu veșnico? 
MAT.19.17	Ta Ou phendea: Sostar phenes‐Manghe lacio? Coniva nai lacio numa o Del. Ta te chames te avel tu o traio, păzisar ăl porunci. 
MAT.19.18	Ou phendea‐Lesche: Save? Ta o Iisus phendea: Te na mundares, te na trais avre giuvleasa, te na ciores, te na phenes daici bango; 
MAT.19.19	Cinstisar che dades hai che da, hai iubisar che manușăs pașa‐l sar tut. 
MAT.19.20	Ta o tîrno phenea: Sea cadala păzisarden‐le dă cana semas ciaoro. So mai lipsol manghe? 
MAT.19.21	O Iisus phendea‐lesche: Cana chames te aves ceacio, gia hai bichin chio barvalimos, de‐les c‐ăl cioră hai avela‐tut ăc comoara opre and‐o cero; pala codoia aves pala Mande. 
MAT.19.22	Cana așundea so phendea lesche, teleardea mîhnome, că sas but barvalo. 
MAT.19.23	Ta o Iisus phendea Pe ucenicenghe: Ceaces phenau‐tumenghe căc barvalo phares întrila and‐o thagarimos ceresco. 
MAT.19.24	Hai pale phenau‐tumenghe că mai sigo si te nachel ăc cămila anda‐l can ăc suiache, dă sar ăc barvalo and‐o thagarimos le Devlesco. 
MAT.19.25	Așunindos, Lesche ucenicea mirisaile zurales hai phende: Ta con daștil te hastral‐pe? 
MAT.19.26	Ta o Iisus, dichindos lende, phendea‐lenghe: C‐ăl manușa cadaia ni daștil‐pe, ta c‐o Del daștil‐pe. 
MAT.19.27	Atunci o Petro boldea hai phendea‐Lesche: Eta ame muchleam sea hai avileam pala Tute. Amența so avela? 
MAT.19.28	Hai o Iisus phendea‐lenghe: Ceaces phenau‐tumenghe că tume cai avilen pala Mande, cana neiola cadai phuî, cana o Ciao le Manușăsco beșăla p‐o trono Pe slavaco, beșăna i tume pă deșudui tronurea, te judechin ăl deșudui neamurea le Israelosche. 
MAT.19.29	Hai orsc muchlea cher, or phral, or pheia, or dad, or dei, or giuvli, or ciave, or barea, anda Muro anau, buteome lel parpale hai moștenila o traio veșnico. 
MAT.19.30	Hai but anda cola anglal avena palune, hai cola palal aven anglune.
MAT.20.1	O thagarimos and‐o cero meal ăc stăpînosa cheresco, cai înclisto dătehara te arachel manuș te cheren buchi and‐e rez. 
MAT.20.2	Hai pelo te del‐len po‐c dinari p‐o ghes, dinea‐le drom anda pi rez. 
MAT.20.3	Ta inclindos pale c‐ăl trin ceasuri dichlea avre manușăn and‐o piațo că nas‐len buchi. 
MAT.20.4	Hai phendea‐lenghe codolenghe: Giantar vi tume and‐e rez, hai so va avela ceacimasa si te dau tume. 
MAT.20.5	Hai on ghele inclindos pale c‐o ceaso le șovengo hai că le iango, cherde sa cadea. 
MAT.20.6	Incliste c‐o ceaso le deșuechengo, arachlea avren, beșîndos bi‐bucheaco, hai phendea‐lenghe: Soste tume beșlen cothe sauără ghes bi‐bucheaco? 
MAT.20.7	On phende‐lesche: Cana chonic ni tocmisardea‐ame. Ou phendea‐lenghe: Giantar and‐e rez hai so va avela ceacimasa codoua si te len. 
MAT.20.8	Cherdilo‐pe reat, o stăpîno le rezaco phendea pe slugache: De mui colen cai cheren buchi hai de‐len pochinimos, începosa colesa anda pala‐l gi că coua o angluno. 
MAT.20.9	Avilo o ceaso le deșuechengo, hai lile po‐c dinari. 
MAT.20.10	Avindos cola ăl anglune, socotisarde că on si te len mai but, dar i on lile sa ăc dinari. 
MAT.20.11	Pala so lile, sa mai denas duma anda o stăpîno le cheresco. 
MAT.20.12	Hai phendeas: Cala mai pala‐l cherdeas mai țîra hai ciutea‐len sa sar amende, cai înghiardeam sauără pharimos le ghesesco hai le tatimasco. 
MAT.20.13	Hai ou phendea echesche anda lende: Amala, me ni cherau‐tuche o neceacimos. Na tu cherdean e învoiala manța pă ech dinari? 
MAT.20.14	Le so si chiro hai telear. Me chamau te dau i cales cai sas mai pala‐l sar tut. 
MAT.20.15	Pal ni trăbulas te cherau me so camau mîrănța? Or chi iach si nasul, că me sem lacio? 
MAT.20.16	Cadea si te avel cola palal anglal hai cola anglal palal, că but si te aven dine mui dar țîra si te aven alome. 
MAT.20.17	Hai uștilo c‐o Ierusalimo, o Iisus lilea and‐ăc rig le deșudon ucenicen hai phendea‐lenghe, p‐o drom: 
MAT.20.18	Eta ușteas c‐o Ierusalimo hai o Ciao le Manușăsco si te avel dino p‐ăl vast le rașaienghe, hai le sicaitorenghe, hai si te osîndin‐Les te merel. 
MAT.20.19	Si te den‐Les p‐ăl vast le păgîienghe, caște marel pesche prasape Lestar, si te maren‐Les le biciosa, si te umbladen‐Les, pal c‐ăl trin ghesa si te jiuvindiol. 
MAT.20.20	Atunci avilo Leste e dei le ceavenghi le Zevedeosche le ceavența andă cociande, rughindos‐pe Lesche, manglea daici Lestar. 
MAT.20.21	Hai Ou phendea‐lache: So cames? Oi phendea‐Lesche: Phen te beșăn c‐ăl dui ceave mîră, ech che ceaci hai ech che banghi Chiri, and‐o thagarimos Chiro. 
MAT.20.22	Ta o Iisus phendeas: Ni gianen so manghen. Daștin, oare, te pen anda o paharo cai peav‐les Me hai le bolimasa cai Me bola‐Ma te bolen‐tume? On phende‐Les: Daștis. 
MAT.20.23	Hai Ou phendea‐lenghe: O paharo Muro te pen‐les, o bolimos cai Me bola‐Ma te bolen‐tume, dar caș‐te beșăn che ceaci hai che banghi nai Mîrî te dau, hai si te del pes colenghe and caște si catar Muro Dad. 
MAT.20.24	Ta așundindos col‐aver deș nasul holeaile pă col‐aver dui phral. 
MAT.20.25	Ta o Iisus dinea‐le mui Peste, hai phendea‐lenghe: Gianen c‐ăl thagara le neamurenghe domnin pă lende hai ăl mai bare stăpînen‐len. 
MAT.20.26	Na sa cadea si te avel mașcar tumende, hai orso anda tumende camela te avel mai baro e sluga tumari te avel. 
MAT.20.27	Hai orso anda tumende camela te avela o angluno codoua te avel tumenghe sluga, 
MAT.20.28	Pala sar o Ciao le Manușăsco ni avilo te slujil‐pe Lesche, ci caște slujil Ou hai te del Pio sufleto anda sea. 
MAT.20.29	Hai teleardea cathar o Ierihono, ăl manuș ăl but avenas and‐e urma Leschi. 
MAT.20.30	Hai eta dui coră, cai beșănas pașa o drom, așundeas că nachel o Iisus, dine mui, hai phendeas: Avel Tu mila amendar, Devla, Ciao le Davidosco! 
MAT.20.31	Hai col‐avren manuș hanas‐pe lența te acion; on ăl dui i mai but denas mui, phenindos: Avel Tu mila amendar, Devla, Ciao le Davidosco. 
MAT.20.32	Hai o Iisus, beșîndos, dinea‐le mui hai phendea‐lenghe: So camen tume te cherau? 
MAT.20.33	On phendea‐lenghe: Devla, deschearen‐pe ăl iacha amare. 
MAT.20.34	Hai cherdea Peste mila lendar, o Iisus machela lenghe iacha, hai sigo dichle hai telearde pala Leste.
MAT.21.1	Hai cana pașîlo pașa o Ierusalimo hai avile c‐o Betfaghe c‐o Plai le Măslinengo, o Iisus dinea drom dui ucenicea pire, 
MAT.21.2	Hai phendea: Gian and‐o gau cai si angla tumende hai sigo te dichen ăc hărni phangli hai pașa la ăc churo laco; deschearen‐la hai aven‐la Mande. 
MAT.21.3	Hai te phenela coniva daici, phenen că trăbul le Raies; hai sigo den‐lacă drom. 
MAT.21.4	Hai cadala sea cherdile, caște maladiol so sas phendo catar o prooroco, cai phendea: 
MAT.21.5	«Phenen le ceache le Sionoschi: Eta chio thagar avel tute blîndo ciutino p‐ăc hărni, p‐ăc churo, o churo le hărneaco,» 
MAT.21.6	Giandos, ăl ucenicea le Iisusosche cherde sar phendea‐lenghe, 
MAT.21.7	Ande le hărnea hai lache chures, hai opral pă late cite pe hureaimata, hai Ou ciutea‐pe opral pă lende. 
MAT.21.8	Hai ăl mai but and‐ăl manuș cionas telal pe hureaimata, aver cinenas raia anda‐l salcie hai cionas p‐o drom angla Leste. 
MAT.21.9	Ăl but manuș cai gianas angla Leste hai cola cai avenas pala Leste phenenas, hai denas mui: Osana Ciao le Davidosco; mișto dino duma si Coua cai avel and‐o anau le Devlesco! Osana opre and‐o cero! 
MAT.21.10	Hai întrindos Ou and‐o Ierusalimo, sauără foro izdraia hai pușlea: Con si Cadaua? 
MAT.21.11	Hai ăl manuș but boldenas: Cadaua si o Iisus, o prooroco anda o Nazareto le Galileaco. 
MAT.21.12	Hai întrisailo and‐o templo hai ciudea sauărăn colen cai bichinenas hai cai chinenas and‐o templo, peradea ăl sinii colenghe cai paruvenas love hai cai bichinenas porumbeia. 
MAT.21.13	Hai phendea‐lenghe: Hramome si: «Muro cher buciola cher rugăciuneaco, ta tume cherden ăc than ciorengo!». 
MAT.21.14	Hai avile Leste, and‐o templo, coră hai banghe hai cherde le sasteveste. 
MAT.21.15	Hai dichindos ăl rașaia hai ăl sicade ăl minuni cai cherdeas‐le, hai le ciauărăn cai denas mui and‐o templo hai phenenas: Osana Ciao le Davidosco, holeaile, 
MAT.21.16	Hai phende‐Lesche: Așunes so phenen cadala? Ta o Iisus phendea‐lenghe: Așunau, ta tume ni citisarden nicicana că anda o mui le ciauărăngo, hai colengo cai pen ciuci tu cherdean te avel tu lauda? 
MAT.21.17	Muchlindos‐le, înclisto hai teleardea avri anda o foro che Betania, hai e reat acilo othe. 
MAT.21.18	Co‐l dui ghes, dătehara, sar boldelas‐Pe parpale and‐o foro, Ou bochailo; 
MAT.21.19	Hai dichindos ăc smochino pașa o drom, ghelo leste, ta ni arachlea andă leste chanci, numa frunza, hai phendea lesche: Dacanara angle te na mai avel rodo andă tute and‐o veaco! Hai o smochino p‐o than șuchilo. 
MAT.21.20	Dichindos cadaia, ăl ucenice minunisaile hai phende: Sar ta șuchilo o smochino and‐ăc var? 
MAT.21.21	Ta o Iisus boldea‐lenghe hai phendea: Ceaces phenau‐tumenghe: Te avelas tumen pachiamos hai ni îndoinas‐tume, cherenas na numa so cherdilo le smochinosa, ta ca‐l plaiesche phenenas: Vazde‐tu hai ciude‐tu and‐o plai, hai cadea avelas. 
MAT.21.22	Hai sea cabor manghena, rughindos‐tume pachiamasa, si te len. 
MAT.21.23	Hai pala so întrisailo and‐o templo, pașîle Leste, sar sicavelas, ăl rașaia hai ăl phure anda lengo them hai phende: So zuralimasa cheres Tu cadaia? Hai con dinea‐Tut cadau zuralimos? 
MAT.21.24	Boldindos, o Iisus phendea‐lenghe: Si te phuceau‐tumen i Me daici hai tume te phenen‐Manghe hai te phenena, i Me phenau‐tumenghe so zuralimasa cherau cadal buchea: 
MAT.21.25	O bolimos le Ioanosco cathar sas? Anda o cero or catar ăl manuș? Ta on phenenas andă peste: Te phenasa: Anda o cero, phucela Ou: Atunci sostar ni pachiaen andă leste? 
MAT.21.26	Ta phenasa: Catar ăl manuș, daras catar ăl but manuș, că on sea gianenas că o Ioano sas prooroco. 
MAT.21.27	Hai boldindos on le Iisusosche, phende: Ni gianas. Ta Ou phendea‐lenghe: Niș Me ni phenau‐tumenghe so zuralimasa cherau cadala. 
MAT.21.28	Ta sar fal‐tume? Ăc manuș sas‐les dui ciave: Ghelo c‐o ciao o angluno, hai phendea‐lesche: Ciaveia, gia aghes ta cher buchi andă mîrî rez. 
MAT.21.29	Hai ou boldea hai phendea: Giau, Raie, ta ni ghelo. 
MAT.21.30	Giandos că col‐aver ciao, phendea i lesche sa cadea; cadaua boldea hai phendea: Ni camau, ta pala codoia falea‐les nasul, hai ghelo. 
MAT.21.31	Sao anda cada‐l dui cherdea so phendea lesco dad? On phende: Le dongo. O Iisus phendea‐lenghe: Ceaces phenau‐tumenghe c‐ăl vameșa hai ăl giuvlea le lagiavesche gian angla tumende and‐o thagarimos le Devlesco. 
MAT.21.32	Că avilo o Ioano tumende p‐o drom o ceacio, hai ni pachiaen andă leste, ta ăl vameșa h‐ăl giuvlea le lagiavesche pachiaen, hai tume dichlen ta ni falea‐tumen nasul niș pala cadaia, caște pachian andă leste. 
MAT.21.33	Așunen aver pilda: Sas ăc manuș sar orsao, stăpîno pe cheresco, cai sădisardea ăc rez. Phandadea‐la bareasa, săpisardea andă la ăc teasco, vazdeas ăc turno, dinea‐la c‐ăl manuș le bucheache, hai ou teleardea dur. 
MAT.21.34	Cana avilo o timpo le rodengo, dinea drom pe slugen c‐ăl manuș le rezache, caște len o rodo. 
MAT.21.35	Ta codol manuș ciute o vast p‐ăl slugi, echa mardela, hai echa mundardela, hai echa mundardela barănța. 
MAT.21.36	Pale dinea drom slugi mai but dă sar anglal, hai codolenghe cherde-lenghe sa cadea. 
MAT.21.37	Pala cadala dinea drom pe ciaves, phenindos: Avela lenghe lagiao mîră ciavestar. 
MAT.21.38	Ta ăl manuș le rezache cai cherenas‐la buchi, cana dichle le ciaves, phende mașcar peste: Cadaua si o moștenitoro; haidin te mundaras‐les, hai te las ame e moștenirea leschi. 
MAT.21.39	Ciute o vast pă leste, încalde‐les avri anda‐i rez, hai mundarde‐les. 
MAT.21.40	Acana, cana avela o stăpîno le rezaco, so si te cherel le manușănghe le rezache? 
MAT.21.41	On bolde‐lesche: Codol nasulen si te hasarel‐len nasulimasa, e rez dela la c‐aver te cheren‐la buchi, cai on dena o rodo cana trăbul. 
MAT.21.42	O Iisus phendea‐lenghe: Or ni citisarden nici cana anda o lil le Devlesco: «O bar cai nas ciutino sama cathar ăl manuș le bucheache, areslo te avel ciutino opre and‐o șăro. Catar o Del sas cadaia hai minunime si andă amare iacha»? 
MAT.21.43	Codolasche phenau‐tumenghe că o thagarimos le Devlesco lela pe tumendar hai dela‐pe c‐ăl neamurea cai cherena lache rode. 
MAT.21.44	Sao perela pă cadau bar, închiaola, hai pă caste perela cadau bar si te avel închiardo. 
MAT.21.45	Hai ăl rașaia hai ăl fariseia, așunindos Lesche pilde, hachiarde că anda lende denas duma. 
MAT.21.46	On rodenas te astaren‐Les, ta daranas catar but manuș că on socotinas‐Les prooroco.
MAT.22.1	Astardea o Iisus hai dinea duma pale and‐ăl pilde, hai phendea: 
MAT.22.2	O thagarimos and‐o cero meal ăc thagaresa cai cherdea abiau pe raclesche. 
MAT.22.3	Hai dinea drom pe slugen că cola cai sas dine mui, ta on ni camne te aven. 
MAT.22.4	Pale dinea drom pe slugen, hai phendea: Phenen le manușănghe cai si dine mui: Eta că sea cherden so trăbul and‐o abiau mîrî; gurumneora ăl parvarde sea si gata. Aven c‐o abiau. 
MAT.22.5	Ta on ni camne te gianen lestar, hai ghele: ech că pe barea, aver te cherel negoțo; 
MAT.22.6	Hai col‐aver ciute o vast p‐ăl slugi, marde‐le hai mundarde‐le. 
MAT.22.7	O thagar cana așundea cadea, pherdilo holi, dinea drom pe ostașăn hai mundardea sauără codola nasul, hai dinea iag lengo foro. 
MAT.22.8	Hai phendea pe slugenghe: O abiau si gata, ta ăl dine mui ni meritisarde te aven. 
MAT.22.9	Gian c‐ăl droma, p‐ăl ulițe, hai caboren arachena, den‐le mui c‐o abiau. 
MAT.22.10	Hai încliste ăl slugi c‐ăl droma, chidea sauărăn cai arachle‐le, i lace i nasul, hai pherdilo o cher le abiavesco manușănța. 
MAT.22.11	Hai cana întrisailo o thagar te dichel le manușăn, dichlea othe ăc manuș cai nas hureado rahamiasa abiaveschi. 
MAT.22.12	Hai phendea‐lesche: Amala, sar întrisailean cathe bi‐rahami abiaveschi? Ou acilo, ni phendea chanci. 
MAT.22.13	Atunci o thagar phendea le slugenghe: Phanden‐les pirnengar hai vastendar, hai ciuden‐les and‐o calimos rachiaco avri. Othe avela roimos hai bare ducha. 
MAT.22.14	Că but si dine mui, ta țîra si alome. 
MAT.22.15	Atunci ghele ăl fariseia ta dine‐pe duma te astaren le Iisusos and‐o dimos duma. 
MAT.22.16	Hai dine drom Leste lenghe ucenicen and‐ăc than le Irodianența, hai phende: Sicaitorina, gianas că san manuș ceacio, hai sicaves o drom le Devlesco, hai ni încheares sama catar o manuș. 
MAT.22.17	Phen‐amenghe: So Tu pachias? Trăbul te das biro le Cezares or ni trăbul? 
MAT.22.18	Hai o Iisus, cai pringianelas lenghi cioria, phendea‐lenghe: Sostar ispitin‐Ma, fățarnici cai sen? 
MAT.22.19	Sicaven Manghe o lovo cai den biro. Hai on ande Lesche ăc dinari. 
MAT.22.20	O Iisus pușlea‐le: O chipo hai ăl hramomata pă leste casche si? 
MAT.22.21	On phende: Le Cezarosche. Atunci Ou phendea: Den le Cezaros so si le Cezarosco, hai le Devles so si le Devlesco. 
MAT.22.22	Sostar așunde, mirime, muchle‐Les hai telearde. 
MAT.22.23	Andă codou ghes pașîle Leste ăl saducheia, cai phenen c‐o manuș ni jiuvindol, hai on pușle‐Les: 
MAT.22.24	Sicaitorina, o Moise phendea: Cana merela coniva hai ni avelas‐les ciave, lesco phral te lel le giuvlea pe phralesca, te vazdel urmașo. 
MAT.22.25	Hai sas amende efta phral; o angluno însurisailo hai mulo, hai că nas‐les ciave, muchlea pe giuvlea pe phralesche. 
MAT.22.26	Sa cadea i le dongo, i le trinengo gi c‐ăl eftanghe. 
MAT.22.27	Palal pala lende sea, muli i oi e giuvli. 
MAT.22.28	Cana jiuvindona, saveschi anda‐l efta phral avela e giuvli? Că sea trăisaile lasa. 
MAT.22.29	O Iisus phendea‐lenghe: Rătăciun‐tume, că ni pringianen nici o lil le Devlesco, ta nici Lesco zuralimos. 
MAT.22.30	Cana avela o jiuvindimos, nai te mai însurin‐pe nici te măritin‐pe, hai si te aven sar ăl îngerea le Devlesche and‐o cero. 
MAT.22.31	And‐e buchi că giuvindon ăl mule, ni citisarden so phenel o Del, cana phenel: 
MAT.22.32	«Me sem o Del le Avraamosco, o Del le Isaacosco, hai o Del le Iacovosco»? Ou nai ăc Del le mulengo, hai le jiungadengo. 
MAT.22.33	Ăl but manuș, cai așunenas, acile mirime sar sicavelas‐len. 
MAT.22.34	Cana așunde ăl fariseia că Ou phandea o mui le saducheengo, chidineaile and‐ăc than. 
MAT.22.35	Ta ech anda lende, sicaitori Crisaco, caș‐te ispitil le Iisusos, te phucel‐Les: 
MAT.22.36	Sicaitorina, savi si e mai bari porunca anda‐i Cris? 
MAT.22.37	Ou phendea: Te iubis che Devles sauără ilesa, sauără sufletosa, hai sauără pachiamasa chiri. 
MAT.22.38	Cadaia si e angluni hai e mai bari porunca. 
MAT.22.39	Hai le donghi, cai meal lasa si: Te iubis che manușăs pașa‐l sar iubis‐tu tut. 
MAT.22.40	Andă cada‐l dui porunci si astarde sauără Legea h‐ăl proorocea. 
MAT.22.41	Sar sas chidine and‐ăc than ăl fariseia, o Iisus phușlea‐le, 
MAT.22.42	Phenindos: Tume so pachian and‐o Hristoso? Casco Ciao si Ou? On phende: Le Davidosco. 
MAT.22.43	Ou phendea: Sar atunci o Davido îndrumome catar o duho, numil‐Les Del cana phenel: 
MAT.22.44	«O Del phendea mîră Devlesche: Beș că Mîrî ceacio, gi cai ciaua Che dușmanen tala Che pîrne». 
MAT.22.45	Atunci cana o Davido numil-Les Del, sar si ou Lesco ciao? 
MAT.22.46	Coniva ni mai daștisailo te phenel ăc vorba hai, d‐anda codou ghes, ma nas curajo te mai phucen‐Les daici.
MAT.23.1	Atuncea o Iisus dinea duma le manușănța hai Pe ucenicența, 
MAT.23.2	Hai phendea: Ăl sicadinea hai ăl fariseia ciute‐pe and‐o scamina le Moisesco; 
MAT.23.3	Ta anda sea so phenen on te cheren, cheren, hai păzin; ta so cheren on tume te na cheren, că on phenen ta ni cheren. 
MAT.23.4	On phanden pharimata phare, hai phares nasul phiraemasche hai cion‐le p‐ăl dume le manușănghe, ta on niș le naiesa le țîcnesa ni den‐le rigate. 
MAT.23.5	Sauără buchea lenghe on cheren‐le te aven dichle le manușăndar; că buhlearen ăl poghea că pe gada, hai barearen ăl ciucurea lende. 
MAT.23.6	Placiol‐le te beșăn and‐o șăro le siniengo, c‐ăl abiaua hai p‐ăl scamina anglal, andă‐l sinagogi, 
MAT.23.7	Hai te banghiol‐pe lenghe ăl manuș andă‐l piețuri hai te phenen lenghe ăl manuș: Rabi. 
MAT.23.8	Tume te na phenen tumenghe «rabi», că iech corcoro si tumaro Sicaitori: o Hristoso, hai tume sen sea phral. 
MAT.23.9	Hai «dad» te na phenen canicasche pe phuî, că ăc Dad si tume, coua and‐oa cero. 
MAT.23.10	Ta niș sicaitoria te na phenen tumenghe, că tumaro Sicaitori si iech corcoro: o Hristoso. 
MAT.23.11	Hai sao si mai baro mașcar tumende, te avel tumaro slujitoro. 
MAT.23.12	Sao uciola‐pe andă peste, avela țîcneardo, hai sao țîcneardola codoua uciola‐pe. 
MAT.23.13	Nasul tumendar, sicadinea hai fariseia cior garade! Tume phandaven o thagarimos and‐o cero opral anda‐l manuș; niș tume ni întrin, ta niș save camen te întrin ni muchen‐le. 
MAT.23.14	Nasul tumendar, sicadinea hai fariseia cior garade! Tume han ăl chera le phivleanghe ta cioriasa cheren rugăciunea bari; anda cadaia lena mai bari osînda. 
MAT.23.15	Nasul tumendar, sicadinea hai fariseia cior garade! Phiren pe phuî hai p‐ăl paia te cheren ăc ucenicos, hai cana cheren‐les, cheren‐les ăc cioa le gheenaco duar mai nasul tumendar. 
MAT.23.16	Nasul tumendar, înghiaritoria coră, cai phenen: Sao hala sovel p‐o templo nai chancesa phanglo, ta sao hala sovel p‐o sumnacai p‐oa templo, si phanglo. 
MAT.23.17	Dile hai coră! So si mai baro, o sumnacai or o templo cai cherel o sumnacai ujo? 
MAT.23.18	Hai pale phenen: Sao hala sovel p‐o altaro nai phanglo chancesa, ta sao hala sovel p‐o daro so si opral p‐oa altaro si phanglo. 
MAT.23.19	Dile hai coră! So si mai baro, o daro or o altaro cai cherel o daro ujo? 
MAT.23.20	Sao hal sovel p‐o altaro, hal sovel pă leste hai pă sea so arachadiol pă leste. 
MAT.23.21	Sao hal sovel p‐o templo, hal sovel pă leste hai i pă Coua cai beșăn andă leste. 
MAT.23.22	Sao hal sovel p‐o cero hal sovel p‐o scauno le Devlesco hai pă Coua cai beșăl pă leste. 
MAT.23.23	Nasul tumendar, sicadinea hai fariseia cior garade! Tume den deș părți anda‐i izma, anda o mărari, anda o chimeno, ta muchen bidine ăl mai phare buchea anda‐i Cris: o ceacimos, e mila hai o pachiamos; cadala trăbunas te cheren‐le, hai colaver te na muchen‐le bi‐cherde. 
MAT.23.24	Înghiaritoria coră cai strecurin e mach ta înghițin e cămila! 
MAT.23.25	Nasul tumendar, sicadinea hai fariseia cior garade! Tume cosăn avreal o paharo hai o cearo, ta andră si pherdo ciorimos hai hașbalimos. 
MAT.23.26	Fariseona coro! Chos anglal andral o paharo hai o cearo, caște avel ujo i avreal. 
MAT.23.27	Nasul tumendar, sicadinea hai fariseia cior garade! Tume mean mormînturența văruime, cai avreal sicadion șucar, ta andral si pherde cocalea mulenghe hai but melearimos. 
MAT.23.28	Cadea i tume, avreal sicadion le manușănghe ceace, ta andă tumende sen pherde cioria hai bezehale. 
MAT.23.29	Nasul tumendar, sicadinea hai fariseia cior garade! Că tume vazden ăl mormîntea le proorocenghe, cheren‐le șucar cola le ceacenghe, 
