GEN.1.1	Dəkəcop, kɔ Kanu kəwurɛ kɔm k'antɔf. 
ACT.10.20	Mətor, nəsol nəkɔ kɔ ŋa, ali kənesɛ ta kəy’ im, bawo In’ osom ŋa.»
ACT.10.21	Kɔ Piyɛr ontor k’eyif arkun aŋɛ: «Ina nəntɛn, ta ake tɔ nənderɛnɛ nnɔ-ɛ?»
ACT.10.22	Kɔ ŋaloku kɔ: «Kɔrneli, wəbɛ wəka asɔdar tasar tin (100), fum wəlompu pəc-nesɛ Kanu, nwɛ aSuyif fəp ŋaŋcərɛ dɔtɔt dɔn akɔ ŋaloku mes mɔn mɔtɔt mɔ, ndɔrɔn Kanu kəsom mɛlɛkɛ mosoku, a pəsak su sədew’ am pəkɔ-cəŋkəl’ əm ntɛ pəmar məloku kɔ mɔ.» 
ACT.10.23	Awa kɔ Piyɛr ɛmbɛrsɛ ŋa dɛkɛr, k’ɔsɔŋ ŋa dəkəyi.
ACT.10.23	Dɔckɔsɔk kɔ Piyɛr ɛyɛfɛ, k’ɔŋkɔ kɔ ŋa. K’awɛŋc alaŋ a dare da Yope alɔma ŋaŋcəmbər kɔ. 
ACT.10.24	Kɔ ŋambɛrɛ Sesari dɔckɔsɔk, Kɔrneli pəc-kar ŋa, k’ewe akomɛnɛ ɔn alɔma nde ndɔrɔn kɔ anapa ɔn atɔt. 
ACT.10.25	Kəbɛrɛ ka Piyɛr, kɔ Kɔrneli ɔŋkɔ pəfaynɛ kɔ, k’ɛntɛmpɛnɛ kɔ wɛcək dəntɔf. K’ɛŋcəpɛ kɔ suwu. 
ACT.10.26	Mba kɔ Piyɛr eyekti kɔ, k’oloku: «Məyɛfɛ, ina sɔ fum iyɔnɛ.»
ACT.10.27	Ŋayi kəlok-loku kɔ Kɔrneli, k’ɛmbɛrɛ k’ɛmbəp afum alarəm ŋaloŋkanɛ. 
ACT.10.28	Kɔ Piyɛr oloku ŋa: «Nəŋcərɛ a amɔnɛ aSuyif kəbɔt kɔ acikəra, kɔ pəyɔnɛ fɛ ti-ɛ, pəbɛrɛ ndɔrɔn. Mba Kanu kəmentər im a pəmar fɛ a pakulɛ fum o fum a eyik-yik, kɔ pəyɔnɛ fɛ ti-ɛ, pəmar fɛ sɔ a pakulɛ fum o fum a ɔsɔk fɛ fɔr ya Kanu kiriŋ. 
ACT.10.29	It’ ɔsɔŋɛ ntɛ məsom a pakɔ-w’ em mɔ, k’inder ali ta iŋcɛm-cɛmnɛ-ɛ. Ndɛkəl iyif əm, T’ ake tɔ məwen’ em-ɛ?»
ACT.10.30	Kɔ Kɔrneli oloku: «Tɔsɔtɔ mata maŋkəlɛ ic-tola nnɔ nderem, dɔfɔy dendebəp. K’inəŋk fɔr yem kiriŋ wərkun wəlɔma pəbɛrnɛ yamos yomotər-motər. 
ACT.10.31	Kɔ fum wəkakɔ oloku: ‹Kɔrneli, Kanu kəmbaŋ kətola kam, k’ɛŋcɛm-cɛmnɛ sɔ kəyɔnɛ kam afum nɔnɔfɔr. 
ACT.10.32	Məsom fum dare da Yope pakɔ-wen’ am Simɔŋ nwɛ andeŋər tewe ta «Piyɛr» mɔ, nde kəlɔ ka Simɔŋ, wəbəc kata, nwɛ kəlɔ kɔn kəyi kəba kəsək mɔ.› 
ACT.10.33	K’isom katina fum, kɔ məna məsɔtɔ abəkəc ŋɔtɔt kəder. Ndɛkəl oŋ səyi fəp fosu Kanu fɔr kiriŋ, sədecəŋkəl moloku mɔkɔ Wəbɛ osom əm kəloku mɔ.»
ACT.10.34	Awa kɔ Piyɛr ɛlɛk moloku, k’oloku: «Kaŋce: Iŋcərɛ oŋ a Kanu kəyi fɛ kəsək kin. 
ACT.10.35	Mba afum fəp dacɔ məna nwɛ məŋnesɛ Kanu, məcəmɛ pəlompu darəŋ mɔ, Kanu kəmbaŋ əm. 
ACT.10.36	Kanu kənakenɛ aka Yisrayel toloku, pəc-loku ŋa moloku mɔtɔt ma pəforu mpɛ Yesu Krist ɛŋkɛrɛ afum fəp mɔ: Nkɔn ɔyɔnɛ Wəbɛ ka afum fəp. 
ACT.10.37	Nəna nəŋcərɛ tɔkɔ teyi Yude fəp mɔ, Kalile tɛnacop, ntɛ Saŋ ɛnacam kəgbət dəromun mɔ. 
ACT.10.38	Kanu kənabɔy Yesu wəka Nasarɛt Amera Ŋecempi ŋɔn kɔ fənɔntər. Nnɔ o nnɔ eŋc-cepər mɔ, ɔŋc-yɔ pətɔt, pəc-taməs afum fəp aŋɛ amera ŋɛlɛc ŋɔŋc-tɔrəs mɔ, bawo Kanu kənayi kɔ nkɔn Yesu.
ACT.10.39	Səyɔnɛ atəŋnɛ a mes fəp mmɛ Yesu ɛnayɔ nde atɔf ŋa aSuyif kɔ Yerusalɛm mɔ. Nkɔn nwɛ ŋananim, ŋacaŋ kɔ dəkətɔk mɔ, 
ACT.10.40	mba Kanu kənatimi kɔ tataka tɔn ta maas. Kɔ kəsɔŋ kɔ kəmentərnɛ, 
ACT.10.41	bafɔ nnɔ afum fəp ŋayi mɔ, mba nnɔ atəŋnɛ mes aŋɛ Kanu kənanuŋkɛnɛ kəyɛk-yɛk, kɔ səna aŋɛ sənadi yeri, səmun kɔ nkɔn ntɛ ɛnayɛfɛ afi dacɔ mɔ. 
ACT.10.42	K’osom su kəloku afum, səmentər a nkɔn Yesu, nkɔn ɔ Kanu kəŋcəmbər kəyɔnɛ nwɛ endebocɛ afum afi kɔ ayi wəyeŋ kiti mɔ. 
ACT.10.43	Sayibɛ-e fəp sənaloku tetɔn: Nwɛ o nwɛ ɛgbɛkər kəlaŋ kɔn Yesu mɔ, endesɔtɔ nde Kanu kəyi mɔ kəŋaŋnɛnɛ ka mes mɔn mɛlɛc teta tewe ta Yesu.»
ACT.10.44	Moloku mamɔkɔ mɔ Piyɛr ɛnayi kəloku, ntɛ Amera Ŋecempi ŋa Kanu ŋɛnatorər afum akɔ ŋaŋc-cəŋkəl moloku mɔn mɔ. 
ACT.10.45	Cusu cənawos alaŋ a Kanu, akəŋc akɔ ŋanader kɔ Piyɛr mɔ, kənəŋk a kəpocɛ ka Amera Ŋecempi kənasaməsər kəbəp haŋ acikəra aŋɛ ŋantɔyɔnɛ aSuyif mɔ, 
ACT.10.46	bawo ŋaŋc-ne ŋa kəkor-koru Kanu cusu c’ acikəra.
ACT.10.46	Awa kɔ Piyɛr ɔŋgbɔkərɛ: 
ACT.10.47	«Antam kəfatɛnɛ kəgbət afum dəromun nnɔ akaŋɛ ŋasɔtɔ Amera Ŋecempi pəmɔ səna mɔ ba?» 
ACT.10.48	K’oloku a pagbət akakɔ dəromun tewe ta Yesu Krist. Kɔ ŋalɛtsɛnɛ Piyɛr kəyi dəndo mataka mɔlɔma.
ACT.11.1	Asom a Yesu kɔ awɛŋc aŋa alaŋ aŋɛ ŋanayi atɔf ŋa Yude mɔ ŋane a acikəra, aŋɛ ŋantɔyɔnɛ Suyif mɔ, ŋawosɛ toloku ta Kanu. 
ACT.11.2	Ntɛ Piyɛr ɛnapɛ Yerusalɛm mɔ, kɔ afum aŋɛ anakəŋc mɔ ŋayɛfɛ kənal kɔ, 
ACT.11.3	ŋac-loku: «Məmbɛrɛ ndena afum aŋɛ antɔkəŋc mɔ, kɔ məndi yeri kɔ ŋa, bawo aSuyif ŋanamɔnɛ ti!»
ACT.11.4	Awa kɔ Piyɛr ɛyɛfɛ kəlɔmər ŋa tin tin tin mes mɔkɔ mɛnacepər mɔ: 
ACT.11.5	«Ina, nde dare da Yope inayi, dɔsɔk dadɔkɔ ic-tola Kanu kɔ kənəŋk kənder im. Ti disrɛ, k’inəŋk paka pɔlɔma poc-tor powurɛnɛ kɔ manta pasumpər pi moŋkubut maŋkəlɛ, kɔ pontor kəyɛfɛ dəkɔm haŋ nnɔ inayi mɔ. 
ACT.11.6	Ntɛ inagbətnɛ pi disrɛ mɔ, k’inəŋk sɛm ya wɛcək maŋkəlɛ, sɛm ya dop, yeliŋɛ-liŋɛ, kɔ bɛmp ya dəkɔm. 
ACT.11.7	K’ine sɔ dim doc-lok’ im: ‹Məyɛfɛ Piyɛr! Mədif, məsɔm.›
ACT.11.8	K’iloku: ‹Ala Wəbɛ! Tɔlɔm o tɔlɔm tɛntasɔŋɛ f’em kəbɛr paka pɔtɔcemp dəkusu, mpɛ Kanu kəmɔnɛ kədi mɔ.›
ACT.11.9	Kɔ dim ndɛ dɔŋgbɔkərɛ sɔ kəyɛfɛ dəkɔm: ‹Paka mpɛ Kanu kəŋcempəs mɔ, ta məna məlokɛ pi kətɔ-cemp!› 
ACT.11.10	Kɔ teyi kəmaas, pəwon fɛ kɔ ca nyɛ fəp yolukus sɔ dəkɔm.
ACT.11.11	Gbəŋcana babɔkɔ, kɔ arkun maas aŋɛ anasom nde nderem kəyɛfɛ dare da Sesari mɔ, ŋander ŋacəmɛ dəkusuŋka ka kəlɔ kəŋkɔ sənayi mɔ. 
ACT.11.12	Kɔ Amera Ŋecempi ŋolok’ im a səsol səkɔ kɔ ŋa, ali inesɛ fɛ. Kɔ awɛŋc asu aŋa alaŋ camətətin aŋɛ ŋacəm’ em darəŋ, kɔ səŋkɔ səbɛrɛ ndena Kɔrneli. 
ACT.11.13	Kɔ Kɔrneli oloku su ntɛ ɛnanəŋk mɛlɛkɛ nde ndɔrɔn, kɔ moloku kɔ: ‹Məsom fum dare da Yope pakɔ wen’ am Simɔŋ, wəkɔ andeŋər tewe ta «Piyɛr» mɔ. 
ACT.11.14	Nwɛ endelok’ əm moloku mmɛ mendeyac’ əm, kəbəp aka kəlɔ kam disrɛ fəp mɔ.›
ACT.11.15	Iyi kəlok-loku, kɔ Amera Ŋecempi ŋa Kanu ŋontorər ŋa pəmɔ ntɛ ŋɛnatorər səna sɔ dəkəcop mɔ. 
ACT.11.16	Awa k’iŋcɛm-cɛmnɛ toloku ta Wəbɛ ntɛ ɛnaloku: ‹Saŋ ɛnagbətɛ afum domun, mba nəna Amera Ŋecempi ŋa Kanu ŋɔ nəndesɔtɔnɛ kəgbət teta Kanu.› 
ACT.11.17	Kɔ pəyɔnɛ fɔ kəpocɛ kin kayi kɔ ŋanasɔtər Kanu pəmɔ səna aŋɛ səlaŋ Yesu Krist mɔ-ɛ, anɔ inatam kəyɔnɛ-ɛ ntɛ iŋkɔyamsər Kanu mɔ?»
ACT.11.18	Ntɛ ŋane moloku mamɔkɔ mɔ, kɔ bəkəc yontor ŋa, kɔ ŋaŋkor-koru Kanu, ŋac-loku: «Kanu kəsɔŋ sɔ acikəra aŋɛ ŋantɔyɔnɛ Suyif mɔ kətam kəsəkpər bəkəc, ntɛ tɔŋsɔŋɛ ŋasɔtɔ tecepərɛnɛ doru ntɛ Kanu kəfaŋ mɔ!»
ACT.11.19	Ntɛ andif Etiyɛn mɔ, k’ aŋcop kətɔrəs afum alaŋ kɔ tɔsɔŋɛ ŋa kəsaməsər. Alɔma ŋanakɔ atɔf ŋa Fenisi, alɔma ŋakɔ Sipər, alɔma ŋakɔ haŋ Antiyɔk, ŋaŋc-luksɛ fɛ nwɛ o nwɛ sɔ toloku ta Kanu mɛnɛ aSuyif gbəcərəm. 
ACT.11.20	Afum akakɔ dacɔ, alɔma ŋanayi, aŋɛ ŋanader dare da Antiyɔk kəyɛfɛ ka sədare sa Sipər kɔ Sirɛn mɔ, ŋaŋc-lok-lokər aka kusu ka Kresi, ŋac-loku ŋa toloku tɔtɔt ta Wəbɛ Yesu. 
ACT.11.21	Kəca ka Wəbɛ Yesu kənayi alaŋ akakɔ kəroŋ. Kɔ afum alarəm ŋayɔnɛ alaŋ, kɔ ŋaŋkafəli bəkəc yaŋan nnɔ Wəbɛ Yesu eyi mɔ.
ACT.11.22	Kɔ moloku mamɔkɔ mɛmbɛrɛ kəloŋkanɛ ka alaŋ Yesu ka Yerusalɛm dələŋəs, k’asom Barnabas Antiyɔk. 
ACT.11.23	Kəbɛrɛ kɔn di, ntɛ ɛnadenəŋk pətɔt kɔ pəbotu mpɛ Kanu kənayɔnɛ alaŋ a Antiyɔk mɔ, kɔ pəmbɔt kɔ. K’eŋgbiŋər ŋa kəgbɛkər ka Wəbɛ Yesu mera yaŋan fəp kəlaŋ disrɛ. 
ACT.11.24	Barnabas fum wətɔt ɛnayi. Kəlaŋ kənayi kɔ dɛbəkəc kɔ Amera Ŋecempi ŋa Kanu ŋeyi kɔ sɔ darəŋ. Kɔ afum alarəm ŋaŋcəmɛ dɔpɔ da Wəbɛ Yesu darəŋ.
ACT.11.25	Kɔ Barnabas ɔŋkɔ dare da Tarəs kəlɛk Sol. 
ACT.11.26	Ntɛ Barnabas ɛnəŋk Sol mɔ, k’eŋkekərɛ kɔ Antiyɔk. Teren tin camcam, ŋac-təŋnɛ kəloŋkanɛ ka alaŋ, kɔ ŋaŋtəksɛ kənay ka afum. Dəndo Antiyɔk, difɔ anacop tɔcɔkɔ-cɔkɔ kəwe acɛpsɛ a Wəbɛ Yesu darəŋ «aka Krist.»
ACT.11.27	Mata mamɔkɔ, kɔ adəŋk a Kanu alɔma ŋantor dare da Antiyɔk kəyɛfɛ Yerusalɛm. 
ACT.11.28	Wəkin ɛnayi ŋa dacɔ pac-we kɔ Akabus, k’ɛyɛfɛ, kɔ Amera Ŋecempi ŋɔsɔŋɛ kɔ kədəŋk a dor dendeyi doru fəp. Dor dadɔkɔ dɛnader deyi tɛm ntɛ Kəlod ɛnayɔnɛ wəbɛ ka tɔf ya Rom fəp mɔ. 
ACT.11.29	Kɔ acɛpsɛ a Yesu ŋaŋcɛm-cɛmnɛ kəfɛk teta kəmar ka awɛŋc aŋa alaŋ aŋɛ ŋanayi atɔf ŋa Yude mɔ, nwɛ o nwɛ kɔ ntɛ ɛnatam kəfɛk mɔ. 
ACT.11.30	Itɔ ŋanayɔ: Kɔ ŋasom Barnabas kɔ Sol kəkenɛ ki abeki aŋɛ ŋanayi kəloŋkanɛ ka alaŋ a Yude mɔ.
ACT.12.1	Tɛm tatɔkɔ tɔ wəbɛ wəka atɔf Herodu ɛnatəpsər afum alaŋ alɔma waca teta kətɔrəs kəŋan. 
ACT.12.2	K’endifɛ Sak wɛŋc ka Saŋ dakma. 
ACT.12.3	Ntɛ Herodu ɛnanəŋk a mɔyɔ mɔn mamɔkɔ mɔŋc-bɔt aSuyif mɔ, k’ɛŋcɛm-cɛmnɛ sɔ kətəp Piyɛr waca, ntɛ tɔŋsɔŋɛ pəcaŋər kɔ mɔ. Mataka ma kəsata kəpɔŋ ka aSuyif mɛnayi: Kəsata ka cəcom cətɔnɔŋkəl lebin. 
ACT.12.4	Ntɛ Herodu osumpər Piyɛr, k’ɛmbɛr kɔ dəbili mɔ, k’ɔsɔŋ cəgba maŋkəlɛ ca asɔdar kəbum kɔn, kəgba o kəgba kənayɔ asɔdar maŋkəlɛ. Ɛŋc-cɛm-cɛmnɛ kəbocər Piyɛr kiti fɔr ya afum fəp kiriŋ kɔ kəsata ka Pak kəŋcepər-ɛ.
ACT.12.5	Aŋc-bum Piyɛr dəbili, mba afum alaŋ ŋaŋc-tolanɛ kɔ bel-bel nnɔ Kanu kəyi mɔ tɛm fəp.
ACT.12.6	Ntɛ dɔsɔk ndɛ Herodu ɛnacɛm-cɛmnɛ kəbocər Piyɛr kiti dɛmbəp mɔ, pibi papɔkɔ, pakotɛ Piyɛr gbekce mɛrəŋ, pəfəntərɛ pəc-dirɛ asɔdar mɛrəŋ dacɔ. Nde dəkumba, asɔdar ŋanacəmɛ sɔ dəndo ŋac-bum bili. 
ACT.12.7	Gbəŋcana babakɔ, kɔ wəsom wəka dareŋc, mɛlɛkɛ ma Wəbɛ, mender, kɔ pəmot pɔsɔŋ pəwaŋkəra bili disrɛ. Kɔ mɛlɛkɛ mmɛ mentimi Piyɛr k’oc-sut-sut kɔ kəsək, kɔ moloku kɔ: «Məyɛfɛ katəna!» Kɔ gbekce yoŋkoŋɛ kɔ dəwaca.
ACT.12.8	Kɔ mɛlɛkɛ moloku kɔ: «Məlɛk yamos yam, məbɛrnɛ cɔfta cam!» Kɔ Piyɛr ɔyɔ mamɔkɔ fəp. Kɔ mɛlɛkɛ moloku kɔ sɔ: «Məbɛrnɛ yi, məcəm’ em darəŋ!» 
ACT.12.9	Kɔ Piyɛr ɛŋcəmɛ mɛlɛkɛ mmɛ darəŋ. Ɛnacərɛ fɛ a kəmar ka mɛlɛkɛ kaŋkɔ a kaŋce kɔ: kənəŋk ka dareŋc kɔ nkɔn ɛnacɛm-cɛmnɛ. 
ACT.12.10	Ntɛ ŋaŋcepər abum acɔkɔ-cɔkɔ kɔ aka mɛrəŋ mɔ, kɔ ŋambəp kumba ka fɛc nkɛ kənatɛfərnɛ dare mɔ. Kɔ kumba kəŋgbitɛ ki sərka fɔr yaŋan kiriŋ, kɔ ŋawur, kɔ ŋasumpər dɔpɔ dɔlɔma. Gbəŋcana babɔkɔ, kɔ mɛlɛkɛ mɛsak Piyɛr.
ACT.12.11	Ntɛ pəndecɛrŋɛ Piyɛr mɔ, k’oloku: «Iŋcərɛ oŋ a Wəbɛ osomna mɛlɛkɛ mɔn, mede mɛbaŋ’ im waca wa Herodu disrɛ, kɔ pəlɛc pɔkɔ aSuyif ŋanafaŋ em mɔ fəp.»
ACT.12.12	Ntɛ ɛŋcərɛ ti oŋ mɔ, k’ɔŋkɔ nde kəlɔ ka Mari, iya wəka Saŋ, nwɛ aŋc-deŋər tewe ta «Mark» mɔ, nde afum alarəm ŋanaloŋkanɛ ŋac-tola Kanu mɔ. 
ACT.12.13	Ntɛ Piyɛr osut-sut kumba ka dəkəbɛrɛ mɔ, kɔ wəyecəra wəlɔma pac-we kɔ Rodu, ɔŋcɔŋnɛ kəkɔ-cəŋkəl. 
ACT.12.14	Kɔ Rodu ɛnɛpəl dim da Piyɛr, mba pəbotu disrɛ ɛŋgbiti fɛ kumba. K’ɛyɛksɛ kəkɔ-loku afum aŋɛ ŋanayi dəkəlɔ mɔ a Piyɛr ender, k’ɛŋcəmɛ dəkumba.
ACT.12.15	Kɔ afum ŋaloku Rodu: «Məna məntamnɛ fɛ!» Mba k’ɛŋgbəc a tɔkɔ oloku mɔ itɔ teyi. Kɔ ŋaloku: «Mɛlɛkɛ mɔn mɔ!»
ACT.12.16	Piyɛr nkɔn pəc-sut-sut kəsut-sut dəm kumba. Ntɛ ŋaŋgbiti kumba kɔ ŋanəŋk Piyɛr mɔ, kɔ cusu cəwos ŋa. 
ACT.12.17	K’olok-lokərɛ ŋa kəca a ŋacaŋk, k’ɔlɔmər ŋa ntɛ Wəbɛ owurɛ kɔ dəbili mɔ. K’oloku: «Nəloku ti Sak kɔ awɛŋc asu.» K’owur k’ɔŋkɔ kəfo kəlɔma.
ACT.12.18	Ntɛ dec dɔsɔk mɔ, kɔ pəyama-yama pɔpɔŋ peyi asɔdar dacɔ: Ake ’sɔtɔ Piyɛr-ɛ, Deke eyi-ɛ? 
ACT.12.19	Kɔ Herodu osom a patɛn Piyɛr, mba ŋananəŋk fɛ kɔ. K’ombocər asɔdar akakɔ ŋaŋc-bum Piyɛr mɔ kiti, kɔ Herodu oloku a padif ŋa. Ntɛ telip mɔ, kɔ Piyɛr ɛyɛfɛ atɔf ŋa Yude, k’ontor dare da Sesari kəkɔ-cepərɛnɛ di tɛm tɔlɔma.
ACT.12.20	Herodu ɛnayi kəyɛfərɛnɛ kɔ aka sədare sa Tir kɔ Sidɔŋ. Mba kətəŋnɛ disrɛ aka sədare sasɔkɔ ŋander ŋabəp Herodu. Ntɛ ŋasɛp kəsɔtər Bəlastus nwɛ ɛnayɔnɛ wətɔmpər ka mes ma dukulɔ dɔn kəwosɛ kəyac ŋa mɔ, kɔ ŋantola wəbɛ Herodu pəforu, bawo nde atɔf ŋɔn difɔ yaŋan yɔŋc-sɔtɔ yeri.
ACT.12.21	Ntɛ tataka taŋan tɛtəŋnɛ tɛmbəp mɔ, kɔ Herodu ɛmbɛrnɛ yamos yɔn ya dɛbɛ, pəndɛ nde aŋgbaŋcan ŋɔn pəc-lok-lokər ŋa. 
ACT.12.22	Tɛm ntɛ afum fəp ŋaŋc-kulɛ-kulɛ, a ŋac-loku: «Bafɔ dim da fum dɔ dandɛ, mba da kanu dɔ!» 
ACT.12.23	Gbəŋcana babɔkɔ kɔ mɛlɛkɛ ma Wəbɛ mosut kɔ, bawo ɛnayek-yekəs fɛ Kanu, kɔ yɛt yoŋcop kəsɔm kɔ, k’efi.
ACT.12.24	Toloku ta Wəbɛ tɛŋc-sam oŋ kəsam dəm tɔc-kɔ kiriŋ.
ACT.12.25	Barnabas kɔ Sol ntɛ ŋalip kəkɔtɛnɛ kəsom kəŋan nde dare da Yerusalɛm mɔ, kɔ ŋalukus, ŋac-lɛkɛnɛ Saŋ, nwɛ aŋc-deŋər tewe ta «Mark» mɔ.
ACT.13.1	Kəloŋkanɛ ka alaŋ Yesy aŋɛ ŋanayi dare da Antiyɔk mɔ, sayibɛ-e kɔ atəksɛ ŋanayi ŋa dacɔ: Barnabas, Simɔŋ nwɛ aŋc-deŋər tewe ta «Wəbi» mɔ, Lusiyus wəka Sirɛn, Manahɛŋ nwɛ anadusum kəfo kin kɔ Herodu wəbɛ wəka topoc tin k’ayer atɔf kəmaŋkəlɛ-ɛ, kɔ Sol. 
ACT.13.2	Dɔsɔk dɔlɔma, ntɛ alaŋ akakɔ ŋaŋc-kor-koru Kanu mɔ, ŋac-suŋ, kɔ Amera Ŋecempi ŋa Kanu ŋoloku: «Nəcəmbər em kəsək Barnabas kɔ Sol, teta yɛbəc yɔkɔ inawenɛ ŋa mɔ.» 
ACT.13.3	Ntɛ alaŋ ŋalip kəsuŋ kɔ kətola Kanu mɔ, kɔ ŋandeŋər Barnabas kɔ Sol waca, kɔ ŋasom ŋa.
ACT.13.4	Ntɛ Amera Ŋecempi ŋa Kanu ŋosom Barnabas kɔ Sol mɔ, kɔ ŋantor atɔf ŋa Selusi, dəndo ŋanalɛk abil kɔ ŋaŋcali kəkɔ ka mokuru ma Sipər. 
ACT.13.5	Ntɛ ŋambɛrɛ Salamin mɔ, kɔ ŋaŋcop kəluksɛ toloku ta Kanu nde kəlɔ ka dəkətola Kanu da aSuyif. Saŋ ɛnayi di pəc-mar ŋa.
ACT.13.6	Ntɛ ŋaŋcali mokuru haŋ dare da Pafɔs mɔ, kɔ ŋambəp di fum wəwɛŋkɛ wəlɔma pəc-wenɛ sayibɛ, mba ta ɔyɔnɛ si-ɛ. WəSuyif ɛnayi, pac-we kɔ Bar-Yesu. 
ACT.13.7	Wəwɛŋkɛ wəkakɔ ndena Serkus Polu ɛnayi, nwɛ ɛnayɔnɛ wəkiriŋ wəka sədare sa atɔf ŋaŋɔkɔ mɔ. Nkɔn Serkus Polu wərkun wəcempi domp ɛnayi. K’ender k’ewe Barnabas kɔ Sol pəc-tɛn kənenɛ ŋa toloku ta Kanu. 
ACT.13.8	Elimas, itɔ tatɔkɔ «wəwɛŋkɛ» kusu kəŋan, ɛŋc-gbɛkəl moloku ma Barnabas kɔ Sol, pəc-tɛn kəkafəli kəlaŋ ka wəkiriŋ Serkus Polu. 
ACT.13.9	Mba Sol, nwɛ aŋc-we sɔ Pol mɔ, Amera Ŋecempi ŋeyi kɔ darəŋ, k’ɛŋgbətnɛ Elimas. 
ACT.13.10	Kɔ Sol oloku kɔ: «Məna wəkakɔ məla mowul kɔ yem mɔ, wəka amera ŋɛlɛc, wəter pəlompu fəp, məfɔsak kəkafəli-kafəli səpɔ sa Wəbɛ Kanu nsɛ səlomp mɔ ba? 
ACT.13.11	Ndɛkəl kəca ka Wəbɛ kəy’ əm kəroŋ: Wətɔnəŋk məndeyɔnɛ! Tɛm tendebəp, məndeyi ta mənəŋk pəwaŋkəra pa dec-ɛ.»
ACT.13.11	Gbəŋcana babɔkɔ kɔ fɔr yɔyɔ kɔ pafulu kɔ kubump kəwɛkərnɛ kɔ. K’ɛyɛfɛ kənana-nana pəc-tɛn kəca nkɛ kəŋkɔsumpər kɔ kəsolɛ mɔ. 
ACT.13.12	Ntɛ wəkiriŋ ka dɔtɔf ɛnəŋk ntɛ tɛnacepər mɔ, k’ɔyɔnɛ wəlaŋ. Mɛtəksɛ mmɛ ɛnanenɛ Barnabas kɔ Sol teta Wəbɛ mɔ mɛnabɔt kɔ dɛbəkəc.
ACT.13.13	Ntɛ Pol kɔ asol ɔn ŋayɛfɛ dare da Pafɔs mɔ, kɔ ŋayekti abɛla kəkɔ ka Perke, nde atɔf ŋa Paŋfili. Kɔ Saŋ Mark ɛŋgbɛy ŋa, k’olukus Yerusalɛm. 
ACT.13.14	Kɔ ŋayɛfɛ Perke ŋacəmɛ dɔpɔ daŋan darəŋ haŋ Antiyɔk, atɔf ŋa Pisidi. Kɔ ŋaŋkɔ kəlɔ ka dəkətola da Kanu da aSuyif dɔsɔk da kəŋesəm, kɔ ŋandɛ. 
ACT.13.15	Ntɛ alip kəkaraŋ Tawurɛta Musa kɔ Sayibɛ-e mɔ, kɔ abɛ a kəlɔ ka dəkətola da Kanu ndɛ ŋaloku Barnabas kɔ Pol: «Awɛŋc su aŋa, kɔ nəyɔ toloku tecəpəsɛ abəkəc ntɛ nəŋfaŋ kəloku afum mɔ, nəloku ti.»
ACT.13.16	Kɔ Pol ɛyɛfɛ, k’ondot kəca, k’oloku: «Arkun a Yisrayel, kɔ nəna aləpəs aŋɛ nəŋnesɛ Kanu mɔ, nəcəŋkəl! 
ACT.13.17	Kanu ka afum akaŋɛ, Kanu ka Yisrayel, kənayɛk-yɛk atem asu, kɔ kəsɔŋɛ ŋa kəla tɛm ntɛ ŋanayi decikəra Misira mɔ, kɔ Kanu kin kaŋkɔ kəwurɛnɛ ŋa atɔf ŋaŋɔkɔ fənɔntər fa kəca kɔn. 
ACT.13.18	Kɔ kəlɛkɛ ŋa mes mɛlɛc maŋan nde dətɛgbɛrɛ meren wəco maŋkəlɛ (40). 
ACT.13.19	Ntɛ Kanu kənim afum a cusuŋka camət-mɛrəŋ nde atɔf ŋa Kanahan mɔ, kɔ kəsɔŋ atɔf ŋaŋɔkɔ afum ɔn ntɛ tɔŋsɔŋɛ ŋɔyɔnɛ ŋa kɛ mɔ. 
ACT.13.20	Mes mamɔkɔ fəp mɛnawon meren masar maŋkəlɛ kɔ wəco kəcamət (450).
ACT.13.20	Ntɛ tatɔkɔ teŋcepər mɔ, kɔ Kanu kəsɔŋ ŋa aboc kiti, aŋɛ ŋanatɔmpər dɛbɛ da aka Yisrayel mɔ haŋ kəbəp ka tɛm ta aŋnabi Samiyɛl. 
ACT.13.21	Kɔ tɛyɛfɛ dənda kɔ aka Yisrayel ŋawer Kanu wəbɛ. Kɔ kəsɔŋ ŋa Sawul wan ka Kis pəyɔnɛ ŋa wəbɛ meren wəco maŋkəlɛ (40). Fum wəka kusuŋka ka Beŋyamin ɛnayi. 
ACT.13.22	Ntɛ Kanu kəfən Sawul mɔ, kɔ kəsɔŋ ŋa wəbɛ Dawuda, nwɛ Kanu kənalokɛ ntɛ mɔ: ‹Inəŋk Dawuda wan ka Yisay, fum ɔfɔ nwɛ səwurɛnɛ bəkəc mɔ, iŋcɛm-cɛmnɛ a endeyɔ mɛfaŋ mem fəp.›
ACT.13.23	Kəbənda ka dokombəra da nkɔn Dawuda, difɔ Kanu kənasɔŋ kəkom ka Yesu Krist kədeyɔnɛ ka nwɛ endeyac afum a Yisrayel, pəmɔ ntɛ kənasɔŋ ti atem asu temer mɔ. 
ACT.13.24	Ta Yesu ɛntader-ɛ, Saŋ ɛnacam kəgbət dəromun, ntɛ tɔŋsɔŋɛ afum a Yisrayel fəp ŋasəkpər bəkəc yaŋan yɛtɛfərnɛ Kanu mɔ. 
