GEN.1.1	Pílen-ruulendo delo, kerayalumpe Shédíbí taleng emla amongem pílen geto.
1CO.14.9	Nolukíng kom dekepe kadung. Noluke tatkí manam agomde tatkén nampe imatomílo, nolu ingkuem pobodudí dem séko tatkényéne? De nolu asar peelo emmumpe potonam kísadung. 
1CO.14.10	Tani gíídaso deddíko agome kadung; ilate ingkueteng orto kamana kamang. 
1CO.14.11	Akone ingkuem podudí delok ortuem ngo gakmamílo ngo pona delokke mibo pemin idune, delokke pona deteng ngokke mibope idung. 
1CO.14.12	Dekepe nolu kelokom idung. Nolu aid amanem mííbo duunade, mondoliem gerep mona amanem ankí bomtoka. 
1CO.14.13	Sok legape tatkí manam agom ponade bí ingkuem podudí pomík lumík bila dokupe emla kumpe aido. 
1CO.14.14	Kapeila ngo tatkí manam agomlok kumdokom, ngokke aapí si moome yooyéng idokom, ngokke aide kumdung. 
1CO.14.15	Demílo ngo kape ipe? Ngo aidlok kumyém aapí lokteng kumdo; ngo aidlok miri luyémílo aapí lokteng miri ludo. 
1CO.14.16	Demamílo noluke aidlok no Shédíme yidge dungem, tatkén
1CO.14.17	No yidge namdem kedíkrupe míngge tokom abíd amiem edíípe míímo sudope imang.
1CO.14.18	Ngo nolum takam penem tatkí manam agomem poyadung. Delok legape Shédíme ngo yidge sudung. 
1CO.14.19	Idakla mondolilo jaryingkope tatkí manam agomem popemílo abídem pogap lugapnape tatkénnam agom pilngo petomko políyado.
1CO.14.20	Bíro kídía, koo aapíem meto kuka. Atímana agérlo ojiipe ilangka, idakkom mííyi míísalo ami arope ilangka. 
1CO.14.21	Ayonlo sikepe attung: “Tatkí manam agomlok delokke mibo nabbéllok ngo sim ami kídí sim pope, depe ilate bulu ngom tatgapmang,”
1CO.14.22	Depe iname tatkí manam agom ponamde, arope míngke sunakepe imape, míngke sumanake iyod komino, depe idola poruu bonade arope míngkesuna kídí lokke pemino idune, míngke sumana kídí kepemang.
1CO.14.23	Dekepe iname mondoli takame aadumílo delokke mipile tatkí manam agom podo, delo tatkénmana
1CO.14.24	Idakkom míngke sumanako demangkom tatkén manako
1CO.14.25	delokke bíkke aanglo mesup sunam atíem polen sumoyéku. Delo bí gubadola, “Shédí bí aropakpe noluke aralo dung” emla lukan sudola Shédíkíng kumsuyéku.
1CO.14.26	Bíro kídí, demílo ngolu kape ipe? Noluke aadum suduem mipile miriko, demangkom luyil poyil bosuko, lengkan namko, tatkí manam agomko demangkom pomík lumík bikunako kadung. Si takam si mondoliem edíí monape iperung aido. 
1CO.14.27	Akone tatkí manam agom podumílo annyi mangke angum petomko porum porumpe pokí poyan sumotoka. 
1CO.14.28	Pomík lumík bona kama mílote, ponade asoope mondolilo duusupe aido delokke agí lolang Shédí petomkíng posu lusupe aido. 
1CO.14.29	Deena kotokie annyi angumko pobope aido, delokke abídde ingkuem potodí gíngkípe aido. 
1CO.14.30	Lengkan penam atíde duunadelo aadumílo kerape pobo nadem asoope duumo tokuka. 
1CO.14.31	Kapeila nolu takame delo atel atel porung lurung agomem pobolayé delomin mipile tatgap sulayéne delokke erlayéne. 
1CO.14.32	Polu poorna ami kídídem polu poorna runge mosing sukupe aido. 
1CO.14.33	Legade Shédí bí beduk berébona Shédímang idakla remelna Ruutum emino.
1CO.14.33	Takam mondoli lokke Kristan kídílo 
1CO.14.34	mime kídíe gírjalo asoope duupe aido. Bulum agom pobodope lulíkmang, idakla ayone ponam kísape míngíí bosula duupe aido. 
1CO.14.35	Bulu kénpe míínam atíko kadumílo, ekumlo buluke agí milo kídíem íngkísupe aido; kapeila gírjalo mime agom ponamde annyiname.
1CO.14.36	Shédíke agome nolukelok lensu dunía? Demangkom nolu petom kíngía bíkke agome píídune? 
1CO.14.37	Akone, ngo poruu luruubone demangkom aidlok yéne emla míísu dumílo ngokke nolukíng atnam agom sim Ruutumke lulíge emla kangkén sumotoka. 
1CO.14.38	Bí sim arope mííma yémílo bímkom arope míímayéku.
1CO.14.39	Delok legape ngokke bíro kídía, polu poor namem erbom langka, delokke tatkímanam agom ponemte luyang mapeka. 
1CO.14.40	Idakla atí takamde gyabbo supe aido delokke aro ayonlok ipe aido.
1CO.15.1	Supak bíro kídía, noluke edíírupe míída sukeng ngokke nolum pobila delo nolute torík sunam tatpona dooyingem ngo popang kupe míídung. 
1CO.15.2	Nolukíng ngokke kíbi tonam Shédíke dooyingem edíírupe nolu jumgap dumílo sok dooying sok nolu turyéku. Demamílo, noluke míngkenge are kamang.
1CO.15.3	Legade ngo ingkuem paatodí delok míngge yalum penamem nolukíng bilíkto,
1CO.15.4	Delo bím yutuai, méélam dem Dooying kitab podulok longum nanem bím kiireptoku; 
1CO.15.5	kera yalumpe bí Pitorme
1CO.15.6	Delok legape, bí midum língko pilnguemteng bojé yangko lengkan sudo atelem lengkan sutoku, ayokone ipnyok kaabong idokom buluke alume supak pete duudung. 
1CO.15.7	Méélamdem bí Jemsme delokrongem tomlíknam takamlo lengkansuto.
1CO.15.8	Delokke méélam yalumpe bí obayimape onam kísana ngomteng lengkansuto. 
1CO.15.9	Kapeila ngo tomlíknam kídí lokke rumkí yalum amiko delokke tomlíknam amipete ibaa manako, kapeila ngo Shédíke mondoliem irééto. 
1CO.15.10	Idakkom Shédíke ayang kolok ngo supakpe ngope idung, delokke bíkke yanggonge ngom agér bimape imang Ma, ngo bulum takam empenem gérduk yato, depe dokom de ngomang, idakkom ngokkíng duumín gena Shédíke yanggong emin. 
1CO.15.11	Demílo ngo dokom, bulukom, si ngoluke pogoo binamde, delokke noluke arue emla míngkuname.
1CO.15.12	Idakkom Kristo bí sikolokke gereptoku emla pogoo tumílo noluke ayokone sinamlokke gerep kunam kamang emla kapeila podune? 
1CO.15.13	Sinam lokke gerep kunam kamamílo, Kristo mekom kiirep kumang. 
1CO.15.14	Delokke Kristome kiirep kumamílo, ngoluke poge namde are kamang delokke noluke míngkengete dekepe iyé. 
1CO.15.15	Dem pakyape ngolu Shédíke mena hakii pemin ibodune, kapeila ngolu Shédíke legangem bí Kristome kiireptoku emlamin poying gootone; idakkom bí Kristome arope kiirep kumamílo, sina kídíem kiirep kumang. 
1CO.15.16	Legade, sina kídíem kiirep kumamílo, Kristo mekom kiirep kumang. 
1CO.15.17	Delokke Kristome kiirep mamílo, noluke míngke sunamde asamdung; nolu supakkom noluke paablo duudung ada namino. 
1CO.15.18	Demílo Kristokíng ipmín gena kídí ekom asamdung. 
1CO.15.19	Kristokíng ngoluke míínam subom namde yérum atel sokkemílo, dekemílo ngolu takam amiem penem gérmang yalumna amipe idung.
1CO.15.20	Idakkom aropakpe luyém Kristome sinamlokke kiireptoku, sina kídí lokke bí obíng yalumpe idung. 
1CO.15.21	Legade, siname ami atellok aato, dekepe sikolokke gerep kuname ami atellok aato. 
1CO.15.22	Kapeila Adamkíng takame sito, dekepe Kristokíng takame turyéku. 
1CO.15.23	Idakkom mipilem agí agí yédulok turmodokupe; Kristo bí obíng yalumpe ila, delokrongem bíkke aadíkulo bíkkíng yémín gena kídare darepyéku. 
1CO.15.24	Delokrongem yébolanana ralnam delokke pauar takamem nyokyin mopala dem yétadem bí Abu Shédí kelo melík yékuem yéyin longe pííyé. 
1CO.15.25	Legade, bíkke mirukídíem bíkke ale rumkílo mekuma tetengem bí solaipooyé. 
1CO.15.26	Méélam yalumpe nyokmo kupenam mirude simonade. 
1CO.15.27	Kapeila bí “Tabungem bíkke ale rumkílo meto.”
1CO.15.28	Idola edílo takam atíem Kristoke rumkílo meyékudí, delo bíkke rumkílo melíkna Shédíke rumkílo Oode agíe doosuyéku delokke Shédí bí takamem solaiboyéku.
1CO.15.29	Supak, gerep kunam kamamílo, sinakídí legape baptis inamkídí si kape iyékun? Sinakídí sim kiirep kumang amílo tani kídíem buluke legape kapeila baptis ikane? 
1CO.15.30	Delokke ngolu sukepe luyém kapeila ngolu agísue gonta mipílo nyokpena kísa iyar sukane? 
1CO.15.31	Ngokke bíro kídía, loodíke ngo nyokdung! Ngokke nolum mííyum subomnam, ngoluke yéduuso ngoluke Ruutum Jisukíng leko bosunam legape ngom sikepe lumotung. 
1CO.15.32	Ngokke monkír kídíem Ephesolo momín sutonam kísape delo duuna tani kídíem tani míídu peelok rolmín géémín sutomílo ngo ingko laabko paadon? Sina kídíem kiirep kumamílo:
1CO.15.32	“Kaju ngolu dongum tíngum sulaju,
1CO.15.32	kapeila nyampo ngolu sidak.”
1CO.15.33	Yadko sumapeka: “Aimana yéjone aina séguem inyokdo.”
1CO.15.34	Nokke yéjiinam yékollo yésu tolangku, delokke paab
1CO.15.34	imem kumapeka: Kapeila ayokone Shédíke legang atí kénmang. Sim nolum ngo annyi suyépe emla podung.
1CO.15.35	Idakkom ayokone sikepe íngkí yépe, “Sina kídíem kape kísa kiirep dokune? Ingkona amílpe idola bulu lendokune?” 
1CO.15.36	No mide komai! No ingkuem lelík dudí dekepe amobelo yaalíkmang tetedem de turla sangkumang, 
1CO.15.37	no turkupena amílem lemang, idakla aam amípee komino, demangkom atíkon komin. 
1CO.15.38	Idakkom Shédí bí bíkke mííbang sunam amílkomin amídem bidune delokke orek orek amíem orek orekpe amílem bidung.
1CO.15.39	Takam adíne akam sumang. Tanike angu sudung, simon silike angu sudung, pettangke angusudung delokke ei engoke angu sudung.
1CO.15.40	Taleng telokke atí kídí ekom kangu sudung delokke amo sokke orek sudung; idakla liplop emla ina taleng telokke atíkídie orek konpe ina atí kídíde angu sudung. 
1CO.15.41	Doonyi si akonpe liplop emla ina akone, poolode akone delokke takar kídí si akone; delokke takar eelen eteng liplop emla ikolo angu eelendung.
1CO.15.42	Dekerupe sina kídí lokke gerep yékuemkom iyé. Lenam amílde nyokkupene; sangku penade turpene. 
1CO.15.43	Sim yaalík yépe emla sidung delokke turyépe emla mosaadung. Sinamde ralmanako, gerep kunade turyar penako. 
1CO.15.44	Lenamde emmumna amíle, sangkunade aid amíle. Tani amílko kadumílo, aid amíl kokom kadung. 
1CO.15.45	Depe ila sim sikepe atbitung, “Tanike obí yalum Adam bí turla yénakuai,”
1CO.15.46	Aid amíle keramape, idakla pílen ballennam amíle keradung, delokke méélampe aidde. 
1CO.15.47	Kerayalum tanide deemul lokke, annyi nana tanide teyong telokke. 
1CO.15.48	Tani sim kédenglok pínampe ila; among sokke tani abíd kídí ekom dekepe ikai; delokke tanikope teyong telok toknape ila, dekepe telokke ami kídíete idung. 
1CO.15.49	Delokke kape kísa ngolu tanie tani amílem gedudí, dekepe ngolukom
1CO.15.50	Ngo berokrupe lukan bidung bíro kídía, adín elang iyyie teyong amongem yége lamayé; nyokkupena dekom nyokku pemanadem duuyon suge lamayé. 
1CO.15.51	Tatgaptola, ngo nolum tatkí manam atíko pobiso. Ngolu sila doomayé, ngolu takame angupe iyé kunamino 
1CO.15.52	Yéyin tapungem mutyém, amig kemír atellok, yaari angun atellok angu konpe iyéku. Legade, bikul tapungem mutyém, sina kídíem siyi madope kiirep yéku, delokke ngolu anguyéku. 
1CO.15.53	Kapeila si nyokpenasi nyokyi pemanam, delokke si sipenasi siyi pemanam egem pítgerupe aido. 
1CO.15.54	Edílo nyokpena si nyokpe manem, sipenasi siyi pemana egem pít geyédí delo sikepe agom atnam si aroyé:
1CO.15.54	“Simo nyokmonem ikumne ménnyokto.”
1CO.15.55	“E, simo nyokmone, ingkolo nokke ikumname?
1CO.15.55	E, simo nyokmone, ingkolo nokke asum aare?”
1CO.15.56	Simo nyok monade paabe, delokke paabke pauarde ayone.
1CO.15.57	Idakkom Shédí bí yidge penam rungko! Bí ngoluke
1CO.15.57	Ruutum Jisu Kristo kelok ikum
1CO.15.57	nanem bidung.
1CO.15.58	Delok legape, bíro kídía, edíípe ralbom sulangka.
1CO.15.58	Ingkuemte sotko sumapeka. Agínpe agísuem Ruutumke agérlo bisu langka, kapeila, noluke Ruutum kíng ankípe gérnamde emmum mayé dem nolu kénsudung.
1CO.16.1	Supak Shédíke ami kídí legape daan ulnam agome: Galatia mondoli kídílo ngo ingkuem ilangka emla ngiitom todí dekepe itoka. 
1CO.16.2	Hopta mipílokke kerayalum longedelo, nolu agí paanam poisar akorlok kaala murkong anyongko leepek sulangka, delo ngokke aayém uldum sutínam kamadope dem mekum langka. 
1CO.16.3	Delo, edílo ngo pííyédí nolu ulpala noluke daanem Jirusalemlo bomadope melíknam ami kídílo ngo kangkén sithiko bilíkyé. 
1CO.16.4	Kaaname ngote gíbape iyémílo bulu ngom enbosulayé,
1CO.16.5	Makedonialok ngokke gírongem, ngo nolukíng aayéku kapeila ngo Makedonia raadalok gíyé. 
1CO.16.6	Nolum duubo sudomílo, demangkom dígínemte duubomílo emla míngkídung, demílo nolu ngom ngokke enko gíkolo igulyé, 
1CO.16.7	Ngo nolum supak gíyarpee dakla kangang kanmang; Ruutum bí melík yémílo, ngo nolum anyongoko duubo dakbosupe míídung.
1CO.16.8	Idokom Pentekost imang adape Ephesolo ngo yépoope míídung; 
1CO.16.9	kapeila bottena agér ipeko eyabem ngom siyya bitung, delokke delo ngom akne kekom bojéko kadung.
1CO.16.10	Timothi aayémílo, nolukelo duudungem bí peso annying kapelo dem kanggap langka, kapeila ngok kísape, bí Ruutumke agérem gérgedak. 
1CO.16.11	Demílo sékote bím lupak sumapeka. Bí ngokkíng aipe píílat dokupe bím kampope melík langkuka. Bíro kídíem bí lekope aalat bosu yékupe emla ngo míínam sudung.
1CO.16.12	Supak ngoluke bíro Apolloke legange: Ngo bím nolukíng bíro kídíem gíbosula gílarungka emtuai. Bí supak gílíru mape ikai, idokom gíbaape iyém bí gíyé mangalo.
1CO.16.13	Agíem ansu ayar langka; miramna tanipe ilangka; edíí langka. 
1CO.16.14	Iduu sitok takamem ayanglok ibo sulangka.
1CO.16.15	Stephanke ekum erangde Akaia lokke kera yalumpe Kristan igene, dem nolu kénsudung, delokke bulu míngkesuna kídíke agérlo mínggap bomkai. Bíro kídía ngo nolum rogudung, 
1CO.16.16	sikepe ruutumpe yébona kídílo delokke akon dokom bulum gérgul igul bosunalo yémín gelangka. 
1CO.16.17	Stephana, Portunatu delokke Akaiku bulu pííyédem ngo ashénge ito, kapeila bulu noluke duuma duem duuyanto. 
1CO.16.18	Legade bulu ngokke aang emlang noluke aangem esang moto. Sikena amide kangkén pename.
1CO.16.19	Asia amolokke mondoli kídíe nolum salamem bidung. Akulas lang Priska
1CO.16.20	So duuna bíro takame nolum salam bidung. Akone akonem deenampe kaarík tarígem erbo sulangka.
1CO.16.21	Paul ngo, ngokke agírung alaglok sim salam sim atdung.
1CO.16.22	Séko Ruutumme ayamadí bí gérmang daklangka. E, Ruutume aatoboi!
1CO.16.23	Ruutum Jisuke yanggonge nolukíng duumín langka.
1CO.16.24	Ngokke Jisu Kristoke ayange nolu takamkíng duudak langka. Amen.
2CO.1.1	Shédíke míísalok Kristo Jisukelo tomlíknam amipe ulnam, Paul, delokke ngoluke bíro Timothi,
2CO.1.1	Korinthlo duuna Shédíke mondoli kelo, Akaialo duuna arope míngkesuna ami tabung,
2CO.1.2	Ngoluke Abu Shédí delokke Ruutum Jisu Kristoke yanggong elang, yéponame nolukíng duumín daklangka.
2CO.1.3	Igul takamke lenko angko delokke ayang kaapasuna Shédí, ngoluke Ruutum Jisu Kristoke Abu Shédíme yidgelaju. 
2CO.1.4	Ngolu agísue Shédí kelok edíng paanamlok ngolute adírla duuna kídíem edíí bodokupe emla bí ngolum ngoluke adírko takamlo edíí bodung. 
2CO.1.5	Kapeila ngolu edítko Kristokelo arééyém réémín gedudí dekenako Kristo kelok ngolu edíng emte paadung. 
2CO.1.6	Ngolu aréé dumílo, de ngoluke edíípenam legapelang turpenam legapemin; ngolum edíí monade, nolu kepete edínge; kapeila ingkuem ngolu aréé bomsududí demmin ngolukom jémduk gedola aréé bomsudune. 
2CO.1.7	Delokrongem ngolu nolu kepe mííbom namsi berokdung, nolu ngoluke arééyém réébo sukampe ngoluke edíngko lokom nolu edíímínyé emla ngolu kéndung.
2CO.1.8	Bíro kídía, Asialo ngoluke aréé rénggenam adírem ngolu nolum lukan sumape duulamang; kapeila jémtung gemanam ngolum iréé sinyuem iname ngolu turyé emlangkom míísu mangai. 
2CO.1.9	Arope ngolu petko sudak emla míído bongai; idakkom de ngolum agísuem míída sumape sinemte kiirepkuna Shédíkelo míída suyépe emla inamko. 
2CO.1.10	Bí ngolum nyokta pakduem mosiitoku; delokke bí ngolum mosing yéku; bíkkíng ngoluke mííbom namem melík suto mílomin ngolum bí mosing bomyar yéne; 
2CO.1.11	de idung nolu ngolum kumnamlok iguldung. Demílomin deddína ami kumnamem tatbila ngolum yanggongem binam legape bosi amie ngoluke
2CO.1.12	Supak si ngoluke mííyum sunana legange: Ngoluke aapíe sikepe lengkandung, tani among sim solai namemlang, apekrupe ngoluke nolum sonsu yonsu namem ngolum Shédí kelok aana deenam loklang, jégaplok ito. Ngolu sim tani among kénnamlok imape idakla Shédíke yanggong akor lokmin itone. 
2CO.1.13	Kapeila ngolu noluke pori kénmanam demangkom tatkén manam atmang. Delokke ngo míínam sunamko kadung, 
2CO.1.14	nolu ngolum anyongko kénka nade, Ruutum Jisuke aadíku longelo nolu ngolum yidgela delokke ngolute nolum yidgedope delo nolu ngolum apíípe kényé.
2CO.1.15	Kapeila nolu lennyinape gérdope ngo nolukíng aaperung emla mínggap tuai. 
2CO.1.16	Makedonialo endagem nolum kaapatpe míítuai delokke nolu ngom Judia bedalo gílíkdope ngo Makedonia lokke nolukíng angkén kupe míítuai. 
2CO.1.17	Ngokke sikepe mííruu namsim ngo imanpía itone? 
2CO.1.18	Shédí bí aronako, ngoluke nolum agom bitonamde depemang emsém nam agomlok imang. 
2CO.1.19	Legade, noluke aralo ngolulang, Silbana
2CO.1.20	Kapeila, deddíko Shédíke pébisuname idungakom tabude Kristo kelo arolíkkai. Delokke depe ilamin Shédíke angun ralnamlo ngolu bíkke amínlok “Amen” emdune. 
2CO.1.21	Supak Shédímin ngolum lang nolum Kristokíng mínggap monade. Bí ngolum tosaktung, 
2CO.1.22	bí ngolum ruutumnana iyodem bitung, delokke bí ngolum angku penamem kénsuyépe emla bíkke Aidem ngoluke aanglo meruu bitung.
2CO.1.23	Ngo Shédíme hakiipe mesudola podung, legade ngokke Korinthlo aanamde nolum mesam dope emlamin itone. 
2CO.1.24	Noluke míngkede ngoluke míngkorlok nolu ilangka emtímang, idakkom noluke ashéng sénggenam legape ngolu nolum agér gérbo sudung, kapeila noluke míngkelok nolu edíí sudung.
2CO.2.1	Dekepe ila ngo míídung lekoda ngo nolukíng gílangkula nolum adír molímang. 
2CO.2.2	Legade ngo nolum buulíng momílo, ngom sékoyang ashéng bosu penako kadun? Ngokke buumo namdía? 
2CO.2.3	Edílo ngo aayékudí, ngom ashéng monade ngom buulíng momadope emla sim ngo attung. Nolu takame ngokke ashéngem séébo suyékupe emla nolum ngokke míídíí sunamko kadung. 
2CO.2.4	Kapeila ngokke duuk ankí aapílok delokke miksie ebín idola, nolum buulímope emla imape ngokke eerína ayangem nolum lengkan sudola ngo sim attung.
2CO.2.5	Akonem ibuu tumílo, nolum takam ibuunam kísape, ngom ibuumang, agom konpe luyém deddí pekai poban sumangkom aiyé. 
2CO.2.6	Dekena amide kebange leko irít tomílo bíkkepe aisukabong. 
2CO.2.7	Supak nolu bím maab langkula ngiitom langka, demamílo bí buubo supelo. 
2CO.2.8	Delok legape bím ayang yanggíngem yaabo sulang kuka emla nolum ngo rogudung. 
2CO.2.9	Nolu ikaa darkangem edíípe tokang sududí delokke takamem igela yédudí dem kangkí kénkí nape emlamin nolukíng sim attune. 
2CO.2.10	Nolu akonem maab bimílo, ngokom bím maab biyé. Delokke delo maab bipenamko kala ngo maab bitokom noluke legape Kristoke keralomin itone, 
2CO.2.11	depe inamde Soitane ngolum yatman madope iname. Kapeila bíkke séguem ngolukom kénmape duumang.
2CO.2.12	Edílo Troas amolo Kristoke Tatpona dooyingem pogongkape emla gítodí delo kaaname Ruutum bí ngom eyabem siyya bituai; 
2CO.2.13	Ngo supakkom míípoma teteng, kapeila ngo ngokke bíro Titonme delo paamato. Dekepe ila ngo bulu kelok bidai langgeyéla delokke Makedonialo gíto.
2CO.2.14	Idakkom ngolum Kristoke ikumna opéélo gígebona delokke ngolukelok rego mipílo bíkke nampona kénnam aríem goojé mona Shédíme yidge daklangka. 
2CO.2.15	Nyokna kídí lolang turkuna kídí aralo ngolumin goobyakna Kristoke Shédíkíng biman sukunam nampona atí kísape idune. 
2CO.2.16	Akonlo ngoludan simopena aríe; akon kepedan turmopena nampone. Séko dekena agérem ruutum bomdun? 
2CO.2.17	Ami alume inam kísape Shédíke tatpona ngiitomem ngo pesi koret kísa mumpe imang. Dem megeyéla Kristokíng Shédíke keralo Shédí kelok melíknam ami kísape ngolu arolok jonnam pemin podune.
2CO.3.1	Ngolu agísuem lekoda yidsu dungkunía? Demangkom ayokon ami kísape nolukíng mangkom nolukelok atlík ilík duamang emla míídunía? 
2CO.3.2	Nolu agísue ngoluke sithie, ngoluke aanglo atnam, mipilke kénname delokke poriname. 
2CO.3.3	Nolu Kristoke sithie, yébo dakbo namlokke rijale, siyayinglok atmape turna Shédíke Aidlok atname, lííbyanglo atmape tani aang líídulo atbiname, dem nolu kénsudung.
2CO.3.4	Ngo sim podung kapeila ngolu Kristo kelok ila Shédíkelo míídíí sunamko kadung, idakkom ngoluke ila nanade Shédíkelok aane. 
2CO.3.5	Shédíke tolnam binam kékonlokke ngolu tolnam kadung emsu lamang; 
2CO.3.6	Ayonlok emmape Aidlok bí ngolum daapong anílokke yébo dakbonape iladope ruutung; kapeila ayonde petdung, Aide turmodung.
2CO.3.7	Ayonem lííbyang teyolo kaabeng sudope attungai; delokke Shédíke angun ralname sim atdudelo aato. Mosike mingmo asire nyok nampe ido kulate Israel amikídí kepe si asir si séngééto, iname bulu buluke amige bíkkíng jonnampe kaasu lamato, 
2CO.3.8	demílo Aidlok yébo dakbo kunamdía pakyape ralnam angun bina angunpe imayéne? 
2CO.3.9	Taniem loobak mokuna agérete ralnam angun kadumílo, yéjii namem langaabona angun ralnamde edítko pakyadun! 
2CO.3.10	Kapeila kerangke angun ralname pakyana angunem luyii suyém supak angun ralnam kayimang. 
2CO.3.11	Delokke nyokka kunade ralnam angun katomílo, duuyarpena ralnam angun si edítko botte yadun!
2CO.3.12	Delok legape ngolu sikena mííbom name kadunade, ngolu miramdung. 
2CO.3.13	Asire nyoklang kula Israel ami kídíe kaapa yimadope emla gasor donkap suna Mosi kísape ngolu imang. 
2CO.3.14	Idakkom Israel ami kídíe aapí angkam geneke, kapeila silo melope aku daapongem poriyém donkap sunana gasorde duuduteteng. Sim langgé mato, kapeila Kristo kelokmin dem langgé dungkune. 
2CO.3.15	Silo melope Mosike legangem poriyém, buluke aangem gasore donkap tetedung. 
2CO.3.16	Idakkom séko edílo Ruutumkelo dakba dungkudí, gasorde nyokdungku. 
2CO.3.17	Ruutum bímin supak Aidde, delokke ingkolo Ruutumke Aidde duududí delo sadín kasudung. 
2CO.3.18	Delokrongem ngolu, mingmuem gasor donkap sumana kídíe Ruutumke angun ralnamem dungge sudung;
2CO.4.1	Delok legape sim agér sim ngolu Shédíke yaasamlok paala ngolu aange elugemang. 
2CO.4.2	Dekepe ila ngolu mesup sunam delokke annyiinam bedangem megeyéla; ngolu yadnam panamem iyimang delokke Shédíke agom emteng itummang. Dempenem aruem jonnampe lukandola ngolu agísuem Shédíke gooralo yébona amipe mipil keralo lengkan sudung. 
2CO.4.3	Delokke ngoluke dooying sim donkom tungkom nyokna kídí lega pemino donkom tune. 
2CO.4.4	Tani amosokke uyue Shédíme gesuna Kristoke dooying angunem kaapa madope emla míngke sumana aapí kídíem míímol sumodung. 
2CO.4.5	Kapeila ngolu agísuem pogong subimang, idakla Jisu Kristome Ruutume emlamin pogoodune delokke ngolu Jisuke legape noluke béérange. 
2CO.4.6	Legade, “Kaamolo angune ngunka langka”
2CO.4.7	Idakkom si takamem ikumna pauar si ngolu kelok mang idola Shédí kelok aane emla lengkandope, aid kumsung kídí ngolu, kédenglok pínam kédeng peking kísa. 
2CO.4.8	Ngolum rego mipílok irééto, idakkom inyokmang; ngagoo sudope ito, idokom ingamang; 
2CO.4.9	iréé kosuto, idokom mepak sumang; demlet kosuto, idokom ikamang. 
2CO.4.10	Ngoluke amílso Jisume lengkan sudope, ngolu agínpe Jisuke sinamem gegoo sudung. 
2CO.4.11	Legade bíkke turnamem ngoluke sipena amílso gekan sudope emla turdung adana ngolu agínpe Jisuke legape sipekolo melík sudung. 
2CO.4.12	Dekemílo sinamde ngolukíng agér gérdung, idola turnamde nolukíng agér gérdung.
2CO.4.13	Sim sikepe attung: “Ngo arope míngke sudung, delok legape ngo podung.” Dekena míngkeng aapí atellok ngolute arope míngke sudung delokke delok legape podung, 
2CO.4.14	kapeila ngolu kéndung Ruutum Jisume kiirep kunade ngolumkom Jisuke lekope kiirepyéku delokke bíkke keralo ngolum noluke lekope duubo sumoyéku. 
2CO.4.15	Si takamsi noluke paab legapemin, depe emnamde ami kídílo bojé bojépe goobyakna yanggonge Shédíke angun ralnamlo yidgename biilendope inamko.
2CO.4.16	Delok legape ngoluke aange elumang. Ngoluke adín yédue angín yayang iduakom, ngoluke aní yédue loodípe aní yayang idung. 
2CO.4.17	Legade ngoluke angun delokke adírname dem takam sépek yana, ngoluke paapenam duuyarna angun ralname píínín yayang idung. 
2CO.4.18	Dekepe iname kaasunamlo ngolu kaatísula duumape, kaapa manamlo kaatosula dung. Kapeila ingkuem kaapadudí de duuyar mane, idakkom kaapa manam demino duuyarne.
2CO.5.1	Supak ngolu kénsudung, ngoluke dungko tani amosokke poyub si nyokmílo, tani alaglok momanam teyong telo duuyarna Shédíke mebinam ngoluke ekume dung. 
2CO.5.2	Dekepe idola ngolu sigíndung, ngoluke duupeko teyong telokke ege galugem gedo bongama emla ankídung, 
2CO.5.3	kapeila edílo ngolum egem biyédí delo ngolum araape paayimayé. 
2CO.5.4	Legade, so poyub so duudu sim, ngolu sigíndung delokke míídírsue idung, kapeila ngolu arape meko sulímang idakkom teyong telo duupeko lokke ege galugem gekom sulídung, delomin sinamem turname méyyuk yékune. 
2CO.5.5	Supak Shédí bí agíemin ngolum sok legape metune delokke aapenam de berok dung emla kéndope ngolukíng Aidem meruu bitune.
2CO.5.6	Delok legape ngolu agínpe berok sudung delokke so amílso duudung ayardem, ngolu Ruutum kelokke dunggendung emla kéndung. 
2CO.5.7	Ngolu kaadulok yémape míngke lomin yédune. 
2CO.5.8	Ngolu miramdung emla ngo podung delokke adínlokke mootepe yénamdem mííba yadung delokke Ruutumkelo yépope yédung. 
2CO.5.9	Depeila ekumlo duudokom, mibolo yédokom ngoluke ruubom namde bím mííyum sudope inamdemin. 
2CO.5.10	Kapeila ngolu takame Kristoke bisarko umké keralo dagarupe aiyé, delokke delo ainam dokom, aimanam dokom amílpe duuduso ingko atíem itodí delok mipile are em paasuyéku.
2CO.5.11	Dekepe iname Ruutumme pesonamem kéndola ngolu ami kídíem tomdung; ngolu ingkuedí dem Shédí bí kénsémdung delokke noluke aapíete sim kéndupe emla ngo míídung. 
2CO.5.12	Ngolu lekoda ngolum nolu, yidyépe emla pomang, idola aapí aang akorem yidmape igeyéla teyong kangkorlok yidsuna kídíem poyansula biyépe emla ngolum yidpenam legangem lengkan bidung. 
2CO.5.13	Ngolu ngoluke aapí dungkollo duumamilo de Shédíke legapemin; ngolu aapí dungkollo duudumílo de nolu kepemin. 
2CO.5.14	Legade, Shédíke ayange ngolum deperung imodung, kapeila midum atele takam legape sigebito, delokke delok legape takame sito emnamde ngolum arorupe míímoto. 
