GEN.1.1	Tshimolohong, Modimo o ne o hlole mahodimo le lefatshe.
LUK.20.2	ba bua le yena, ba re: Ako re bolelle matla ao o etsang 
LUK.20.3	A araba, a re ho bona: Ke tla le botsa taba le nna. 
LUK.20.4	Mpolelleng, na kolobetso ya Johanne e ne e tswa lehodimong, kapa e ne e tswa bathong na? 
LUK.20.5	Jwale ba eletsana hammoho, ba re: Ha re ka re: E ne e tswa lehodimong, o tla re: Ha le a ka la e dumela keng? 
LUK.20.6	Mme ha re ka re: E ne e tswa bathong, setjhaba kaofela se tla re tlepetsa ka majwe; hobane se kgotswe hoba Johanne e ne e le moporofeta. 
LUK.20.7	Ba araba, 
LUK.20.8	Yaba Jesu o re ho bona: Le nna nke ke ka le bolella matla ao ke etsang ntho tseo ka wona.
LUK.20.9	Yaba o qala ho bolella batho setshwantsho sena: Motho wa horeng o ne a hlome tshimo ya merara; a e laeletsa balemi, a ntoo eta ka tshiu tse teletsana. 
LUK.20.10	Ka nako 
LUK.20.11	A eketsa a roma mohlanka e mong; le yena ba mo otla, ba mo hlabisa dihlong, mme ba mo kgutlisa a le feela. 
LUK.20.12	A eketsa a roma wa boraro; mme hobane ba mo ntshe kotsi, ba mo lelekisa. 
LUK.20.13	Yaba monga tshimo ya merara o re: Ke tla etsa jwang? Ke tla roma mora wa ka, eo ke mo ratang; ha ba mmona, ekaba ba tla mo hlonepha. 
LUK.20.14	Empa balemi, yare ha ba mmona, ba bolellana, 
LUK.20.15	Eitse hobane ba mo lahlele kantle ho tshimo ya merara, ba mmolaya. Mme jwale, monga tshimo ya merara o tla ba etsa jwang? 
LUK.20.16	O tla tla, a timetse balemi bao; mme tshimo ya merara o tla e nea ba bang. Ha ba utlwa 
LUK.20.17	A mpa a ba tjamela, a re: Mme ke eng hona ho ngodilweng: Lejwe le lahlilweng ke dihahi, ke lona le entsweng la motheo la sekgutlo? 
LUK.20.18	E mong le e mong ya tla wela hodima lejwe leo, o tla robeha; mme le tla pitla eo le mo welang hodimo.
LUK.20.19	Baprista ba baholo le bangodi ba batla ho isa matsoho ho yena ka yona nako eo, empa ba tshaba batho; hobane efela ba ne ba tsebile hoba o lekantse bona ka setshwantsho seo.
LUK.20.20	Yaba ba mo ela hloko, ba roma dihlwela, tsa iketsa batho ba lokileng, hore di tle di mo tshwase dipolelong tsa hae, hore ba mo neele matleng le matsohong a mmusisi. 
LUK.20.21	Ba mmotsa, ba re: Moruti, re a tseba hobane o bua le ho ruta ka ho loka; ha o tadime tshobotsi 
LUK.20.22	Na ho a re lokela ho ntshetsa Sesare lekgetho, kapa tjhe? 
LUK.20.23	Eitse ha a lemoha mano a bona, a re ho bona: Le ntekelang? 
LUK.20.24	Mpontsheng denare. E na le setshwantsho sa mang, le lengolo la mang? Ba araba, ba re: La Sesare. 
LUK.20.25	Yaba o re ho bona: Ha ho le jwalo, ntshetsang Sesare 
LUK.20.26	Ba sitwa ho mo tshwasa polelong tseo tsa hae pela batho; ba makatswa feela ke karabo ya hae, mme ba kgutsa.
LUK.20.27	Yaba ba bang ba basadusi, ba latolang tsoho ya bafu, ba tla ho yena, ba mmotsa, 
LUK.20.28	ba re: Moruti, Moshe o re ngoletse, 
LUK.20.29	Jwale, bara ba motho ba ne ba le teng, ba supile; wa pele ho bona a nyala mosadi, a shwa a se na bana. 
LUK.20.30	Wa bobedi a nka mosadi 
LUK.20.31	Le wa boraro a mo nka; mme ha eba jwalo ho bona ba supileng: ba eshwa, ba sa siye bana. 
LUK.20.32	Kamora bona kaofela, le yena mosadi eo a shwa. 
LUK.20.33	Hleka mohla tsoho ya bafu, mosadi e tla ba wa ofe ho bona, haele moo ba supileng ba ne ba mo nyetse? 
LUK.20.34	Jesu a araba, a re ho bona: Bana ba lefatshe lena ba nyala, mme ba nyalwa; 
LUK.20.35	empa ba tlang ho newa tokelo ya ho bona lefatshe le tlang le tsoho ya bafu, ba ke ke ba nyala, le hona ba ke ke ba nyalwa. 
LUK.20.36	Hobane ha ba sa tla hlola ba eshwa; hobane ba tla tshwana le mangeloi, mme e tla ba bara ba Modimo, ha e se e le bara ba tsoho. 
LUK.20.37	Haele hobane bafu ba tla tsoha, Moshe le yena o ho bonahaditse, mohla a leng pela sehlahla, ha a bitsa Morena, Modimo wa Abrahama, le Modimo wa Isaaka, le Modimo wa Jakobo. 
LUK.20.38	Athe Modimo hase 
LUK.20.39	Yaba ba bang ho bangodi ba bua, ba re: Moruti, o arabile hantle. 
LUK.20.40	Hobane ba ne ba tshaba ho boela ba mmotsa taba leha e le nngwe.
LUK.20.41	Empa a ba bolella, 
LUK.20.42	kanthe Davida yena o boletse bukeng ya Dipesaleme, a re: Morena o boleletse Morena wa ka, 
LUK.20.43	ke be ke bee bao 
LUK.20.44	Ana jwale, Davida ha a mmitsa Morena 
LUK.20.45	Yaba o bolella barutuwa ba hae, batho bohle ba ntse ba mametse, 
LUK.20.46	 Phemang bangodi, ba ratang ho itsamaela ka dikobo tse telele, le ho dumediswa mapatlelong; 
LUK.20.47	Ba metsa matlo a basadi ba bahlolohadi ka ho re, ba ba etsetsa merapelo e melelele. Ba tla ahlolwa ka kahlolo e fetisisang.
LUK.21.1	Eitse ha 
LUK.21.2	A bona le mosadi wa mohlolohadi ya fumanehileng a nokela ditjheletana tse pedi. 
LUK.21.3	A re: Kannete ke re ho lona: Mohlolohadi eo ya fumanehileng, o noketse ho feta ba bang bohle; 
LUK.21.4	hobane bao kaofela ba noketse dikabelong tsa Modimo, ba nkile ho tlallweng ha bona; kanthe enwa seo a se noketseng o 
LUK.21.5	Ba bang ha ba ntse ba bolela tempele, ba re, e kgabisitswe ka majwe a matle le ka dikabelo, a re: 
LUK.21.6	Haele ka tseo le di tadimileng, ho ya tla matsatsi ao lejwe le sa tlo ka le leswa hodima lejwe le leng, le sa heletswa.
LUK.21.7	Yaba ba mmotsa, 
LUK.21.8	A re: Iponeleng, le tle le se ke la thetswa; hobane ba bangata ba tla tla ka lebitso la ka, ba re: Ke nna 
LUK.21.9	Mohla le utlwang dintwa le meferefere, le se ke la tshoha; hobane tseo di tshwanetse ho hlaha pele, empa le moo, bofelo bo ke ke ba hlaha kapele. 
LUK.21.10	Jwale a re ho bona: Setjhaba se tla tsohela setjhaba 
LUK.21.11	Ditshisinyeho tse kgolo tsa lefatshe di tla ba teng, le ditlala ka nqa tse ngata, le mafu a akaretsang; mme matshabeho le mehlolo e meholo e tla ba teng e tswang lehodimong. 
LUK.21.12	Empa pele ho tseo tsohle, ba tla le tshwara ka matsoho a bona, ba 
LUK.21.13	Hoo ho tla le fihlela hore le bee bopaki. 
LUK.21.14	Ka baka leo, ikenyeng pelong tsa lona taba ya hore ha le na ho rera pele seo le tla ikarabela ka sona; 
LUK.21.15	hobane nna, ke tla le nea molomo le bohlale boo ba ipeileng dira ho lona ba tla sitwa ho bo fetola le ho bo hanyetsa. 
LUK.21.16	Le tla ekwa le ke batswadi ba lona, le ke banababo lona, le bahabo lona, le metswalle ya lona; ba tla bolaya ba bang ho lona; 
LUK.21.17	mme le tla hlouwa ke batho bohle ka baka la lebitso la ka. 
LUK.21.18	Empa qoba leha e le nngwe ya moriri wa dihlooho tsa lona, e ke ke ya timela. 
LUK.21.19	Le tla boloka meya ya lona ka sebete sa lona.
LUK.21.20	Etlare ha le bona Jerusalema o teetswe hare ke makgotla a dira, le tsebe hoba tshenyeho ya wona e se e atametse. 
LUK.21.21	Mohlang oo, ba leng Judea ba balehele dithabeng; ba hara 
LUK.21.22	Hobane matsatsi ao ke a tefetso, hore tsohle tse ngodilweng di phethahale. 
LUK.21.23	Empa ho tla ba madimabe baimana le ba anyesang mehleng eo, hobane tsietsi e tla ba kgolo lefatsheng, mme bohale bo tla wela setjhaba sena. 
LUK.21.24	Ba tla wa ka bohale ba sabole, ba iswe kgolehong ditjhabeng tsohle; mme Jerusalema o tla hatakelwa ke ditjhaba, ho be ho phethwe mehla ya ditjhaba.
LUK.21.25	Dipontsho di tla ba teng letsatsing, le kgweding, le dinaleding; le lefatsheng ditjhaba di tla tsieleha, di be le matswalo, lewatle le ntse le duma le maqhubu 
LUK.21.26	Batho ba tla neela moya ke tshabo le ke tebello ya tse tla tla lefatsheng; hobane tse matla tsa lehodimo di tla sisinyeha. 
LUK.21.27	Ke moo ba tla bona Mora motho a etla ka leru, ka matla le ka kganya e kgolo. 
LUK.21.28	Etlare ha tseo di qala ho hlaha, emisang dihlooho, mme le lelale hodimo, hobane topollo ya lona e tla be e atametse. 
LUK.21.29	A ba bolella setshwantsho, 
LUK.21.30	Ha le di bona di se di hlahisa mahlaku, le ye le tsebe le lona hoba lehlabula le haufi. 
LUK.21.31	Ka mokgwa o jwalo le lona, etlare ha le bona tseo di hlaha, le tsebe hoba mmuso wa Modimo o haufi. 
LUK.21.32	Kannete ke re ho lona: Moloko ona o ke ke wa feta, tseo di eso ho hlahe. 
LUK.21.33	Lehodimo le tla feta le 
LUK.21.34	Empa le iponele, hore dipelo tsa lona di se ke tsa imelwa ke ho ja le ho nwa hampe, le ke dipelaelo tsa bophelo bona, mme letsatsi leo la le tshwara sehloho; 
LUK.21.35	hobane le tla wela ba ahileng lefatsheng lohle jwaloka sefi. 
LUK.21.36	Fadimehang ke hona, mme le rapele kamehla, le tle le newe tokelo ya ho phonyoha ho tseo tsohle tse tla etsahala, le ya ho ema pela Mora motho.
LUK.21.37	Jesu o ne a ruta tempeleng motshehare; bosiu o ne a etswa, a ya dula thabeng e bitswang ya Mehlwaare. 
LUK.21.38	Mme batho kaofela ba ne ba etla ho yena tempeleng ho mo mamela, e sa le ka meso.
LUK.22.1	Mokete wa mahobe a se nang ditomoso, o bitswang Paseka, o ne o atametse. 
LUK.22.2	Baprista ba baholo le bangodi ba ne ba batla kamoo ba ka bolayang 
LUK.22.3	Yaba Satane o kena ho Judase, ya bitswang Iskariota, eo e neng e le wa palo ya ba leshome le metso e mmedi. 
LUK.22.4	A ya ho baprista ba baholo, le ho balaodi 
LUK.22.5	Ba thaba 
LUK.22.6	Mme ha a se a dumetse, a batla sebaka sa ho ba neela yena, setjhaba se sa tsebe.
LUK.22.7	Eitse letsatsi la mahobe a se nang ditomoso ha le fihlile, leo batho ba tshwanetseng ho hlaba Paseka ka lona, 
LUK.22.8	 a roma Petrose le Johanne, a re: Eyang, le re lokisetse Paseka, re tle re 
LUK.22.9	Ba re ho yena: O rata hore re 
LUK.22.10	A re ho bona: Etlare ha le kena motseng, le tla kgahlana le motho ya jereng nkgo ya metsi; le mo latelle tlung eo a tla kena ho yona; 
LUK.22.11	mme le re ho monga ntlo: Moruti o re ho wena: Ntlo e kae eo ke tla jela Paseka le barutuwa ba ka ho yona? 
LUK.22.12	O tla le bontsha ntlo e kahodimo e kgolo, e kgabisitsweng. Le lokise 
LUK.22.13	Eitse ha ba ile, ba fihlela ho le jwalokaha a ba boleletse; mme ba lokisa Paseka.
LUK.22.14	Nako ha e tlile, a dula tafoleng le baapostola ba leshome le metso e mmedi. 
LUK.22.15	A re ho bona: Ke lakaditse haholo ho ja Paseka ena le lona, ke eso ho utlwe bohloko. 
LUK.22.16	Hobane ke re ho lona: Ha ke sa tla hlola ke e ja, e tle e be e phethehe mmusong wa Modimo.
LUK.22.17	Jwale a nka senwelo, a leboha, a re: Se nkeng, le se sielane. 
LUK.22.18	Hobane ke re ho lona: Ha ke sa tla hlola ke enwa se behwang ke morara, ho tle ho be ho fihle mmuso wa Modimo. 
LUK.22.19	A ntoo nka bohobe, mme eitse hobane a lebohe, a 
LUK.22.20	A etsa jwalo le ka senwelo, ha ba se ba laletse, a re: Senwelo sena ke selekane se setjha mading a ka, a tshollelwang lona.
LUK.22.21	Empa, bonang, letsoho la ya nkekang le na le nna tafoleng. 
LUK.22.22	Haele Mora motho, o ikela jwalokaha ho laetswe; empa ho madimabe motho ya mo ekang. 
LUK.22.23	Mme ba qala ho botsana hore na ekaba ke mang hara bona ya tla etsa hona!
LUK.22.24	Kgang le yona ya eba teng hara bona ya 
LUK.22.25	Empa a re ho bona: Marena a ditjhaba a di busa, mme ba di busang ho thwe, ke bababalli ba tsona. 
LUK.22.26	Ho se ke ha eba jwalo ho lona; empa e moholo hara lona a be jwaloka e monyenyane, mme ya busang 
LUK.22.27	Hobane e moholo ke mang? A ke ya dutseng tafoleng, kapa a ke ya sebeletsang 
LUK.22.28	Ke lona ba tiiseditseng le nna melekong ya ka. 
LUK.22.29	Mme nna ke le nea mmuso, jwalokaha Ntate a nneile 
LUK.22.30	le tle le be ba jang le ba nwang tafoleng ya ka mmusong wa ka; mme le tle le dule diteroneng, le ahlole meloko e leshome le metso e mmedi ya Iseraele.
LUK.22.31	Morena a re: Simone! Simone! bona, Satane o le qetse hore a le hlokole jwaloka koro; 
LUK.22.32	empa nna ke o rapeletse hore tumelo ya hao e tle e se ke ya fela. Jwale, wena, etlere hobane o bake, o tiise banabeno. 
LUK.22.33	 a re ho yena: Morena, ke itokisitse ho ya le wena teronkong, leha e le lefung. 
LUK.22.34	Empa 
LUK.22.35	Yaba o re ho bona: Mohla ke neng ke le romile le se na mokotlana wa ditjhelete, le mokotla wa tsela, le dieta, na le kile la hloka ho hong na? Ba re: Ha ho letho 
LUK.22.36	A re ho bona: Empa jwale, ya nang le mokotlana wa ditjhelete a o nke 
LUK.22.37	Hobane ke le bolella hore taba e ngodilweng e tshwanetse ho phethehala ho nna, e reng: O badilwe le bakgopo. Hobane ditaba tsa ka di ya ho feleng ha tsona. 
LUK.22.38	Yaba ba re: Morena, bona, disabole tse pedi ke tsena. A re ho bona: Ho lekane.
LUK.22.39	Yaba o a tloha, a ya thabeng ya Mehlwaare, ka temalo ya hae; mme barutuwa ba hae ba mo latela. 
LUK.22.40	Yare ha a fihlile teng, a re ho bona: Rapelang, hore le se kene molekong. 
LUK.22.41	A ntoo ya hojana le bona, 
LUK.22.42	a re: Ntate, hoja o ka rata ho suthisa senwelo sena pela ka! empa ho se 
LUK.22.43	Yaba lengeloi le hlaha ho yena, le etswa lehodimong, la mo matlafatsa. 
LUK.22.44	Eitse ha a le matswalong a maholo, a eketsa ho rapela ka matla; mme dikgororo tsa hae 
LUK.22.45	Yare ha a tsoha thapelong, a tla ho barutuwa ba hae, a ba fumana ba robetse ke ho swaba; 
LUK.22.46	a re ho bona: Na le robetse keng? Tsohang, le rapele, hore le se kene molekong.
LUK.22.47	A re a sa bua, sehlopha sa hlaha, mme ya bitswang Judase, e mong wa ba leshome le metso e mmedi, o ne a se eteletse pele; a atamela ho Jesu ho mo aka. 
LUK.22.48	Empa Jesu a re ho yena: Judase, hleka o eka Mora motho ka kako na? 
LUK.22.49	Yaba ba nang le yena, ha ba bona se tla hlaha, ba re ho yena: Morena, a re tla hlatha ka sabole na? 
LUK.22.50	Yaba e mong wa bona o hlatha mohlanka wa moprista e moholo, a mo kgaola tsebe e tona. 
LUK.22.51	Empa Jesu a bua, a re: Ba leseleng ho fihlela hona! Mme a ama tsebe ya 
LUK.22.52	Yaba Jesu o bolella baprista ba baholo, le balaodi ba tempele, le baholo ba tlileng ho mo tshwara, 
LUK.22.53	Ke ne ke ntse ke na le lona tempeleng ka tsatsi le leng le le leng, mme ha le a ka la bea matsoho ho nna; empa ke yona nako ya lona le matla a lefifi. 
LUK.22.54	Jwale ba phakisa ba mo tshwara, ba ya le yena, ba mo isa tlung ya moprista e moholo. Haele Petrose a latela a le hole.
LUK.22.55	Eitse ha ba besitse mollo kahara lebala, ba dutse hammoho, Petrose a dula hara bona. 
LUK.22.56	Jwale, lekgabunyane le leng, ha le mmona a dutse pela mollo, la mo hlaba ka mahlo, la re: Le enwa o ne a na le yena. 
LUK.22.57	Empa a mo latola, a re: Mosadi, ha ke mo tsebe. 
LUK.22.58	Hamoraonyana, e mong a mmona, a re: Le wena o wa bona. Empa Petrose a re: Monna towe, ha ke 
LUK.22.59	Ha ya motsotso o kang wa hora e le nngwe, e mong a omela, a re: Kannete le enwa o ne a na le yena; hobane ke Mogalelea. 
LUK.22.60	Empa Petrose a re: Monna towe, ha ke tsebe seo o se bolelang. Empa hanghang, a re a sa bua, mokoko wa lla. 
LUK.22.61	Morena a reteleha, a sheba Petrose. Mme Petrose a elellwa polelo ya Morena kamoo a neng a mmolelete kateng, 
LUK.22.62	Yaba Petrose o tswela ntle, a lla habohloko.
LUK.22.63	Banna ba tshwereng Jesu ba ne ba mo soma, mme ba mo otla. 
LUK.22.64	Ba mo kwahela mahlo, ba mo wahlela, ba mmotsa, ba re: Porofeta! ke mang ya o otlileng. 
LUK.22.65	Ba 
LUK.22.66	Eitse hobane bo se, baholo ba setjhaba, le baprista ba baholo, le bangodi, ba bokana, mme ba mo isa lekgotleng la bona. 
LUK.22.67	Ba re 
LUK.22.68	mme leha nka le botsa, le ke ke la nkaraba le hona, mme le ke ke la ntesa ka ya. 
LUK.22.69	Ho qala jwale, Mora motho o tla be a dule letsohong le letona la matla a Modimo. 
LUK.22.70	Yaba bohle ba re: Na ke ho re, o Mora Modimo na? A re ho bona: Le a bolela; ke yena. 
LUK.22.71	Ba re: Dipaki re sa di batlelang, ha e le moo re ikutlwetse molomong wa hae?
LUK.23.1	Jwale ba phuthehileng kaofela ba ema, ba mo isa ho Pilato. 
LUK.23.2	Teng ba qala ho mo qosa, ba re: Re bone 
LUK.23.3	Yaba Pilato o mmotsa, a re: Na ke wena morena wa Bajuda na? 
LUK.23.4	Pilato a bolella baprista ba baholo le bongata, 
LUK.23.5	Empa ba phehella, ba re: O ferekanya setjhaba ka ho ruta Judea kaofela; esale a qala ka Galelea ho fihlela mona.
LUK.23.6	Pilato, ha a utlwa ba bolela Galelea, a botsa hore na ke motho wa Galelea na?
LUK.23.7	Eitse ha a utlwile hoba ke wa mmuso wa Heroda, a mo romela ho Heroda, ya neng a le Jerusalema mehleng eo le yena.
LUK.23.8	Heroda, eitse ha a bona Jesu, a thaba haholo; hobane e ne e le kgale a rata ho mmona, ka baka la taba tse ngata tseo a di utlwileng hodima hae; o ne a tshepa hoba o tla mmona a etsa mohlolo o mong. 
LUK.23.9	A mmotsa ditaba tse ngata; empa 
LUK.23.10	Baprista ba baholo le bangodi ba ema, ba mo qosa ka matla. 
LUK.23.11	Mme Heroda a mo nyedisa a ena le bahlabani ba hae, a mo soma; mme eitse hobane a mo apese kobo e ntlentle, a mo kgutlisetsa ho Pilato. 
LUK.23.12	Ka lona letsatsi leo, Pilato le Heroda ba qala ho ratana; athe pele ba ne ba hloyane.
LUK.23.13	Jwale Pilato a bokella hammoho baprista ba baholo, le mahosana, le setjhaba; 
LUK.23.14	a re ho bona: Le tlisitse motho enwa ho nna, la re, o kgelosa setjhaba; bonang, nna ke mmotsisitse le le teng, mme ha ke a ka ka fihlela molato leha o le mong ho motho enwa, wa ditaba tseo le mo qosang ka tsona. 
LUK.23.15	Ho dutse jwalo le Heroda, hobane o mo kgutliseditse ho rona; mme bonang 
LUK.23.16	Ka baka leo, ke tla mo shapa, ke ntoo mo lokolla.
LUK.23.17	Pilato o ne a tshwanetse ho ba lokollela e mong ka mokete o mong le o mong. 
LUK.23.18	Yaba bongata bo howa kaofela, ba re: Tlosa enwa, o re lokollele Barabase. 
LUK.23.19	Eo 
LUK.23.20	Pilato, ka ho rata ho lokolla Jesu, a boela a bua le bona. 
LUK.23.21	Empa ba eketsa ho howa, ba re: Mo thakgise! Mo thakgise! 
LUK.23.22	A bua le bona la boraro, 
LUK.23.23	Empa ba howa ka mantswe a maholo, ba kopa hore a thakgiswe. Mehoo ya bona le ya baprista ba baholo ya hlola. 
LUK.23.24	Pilato a kgaola, a re, ho etswe kamoo ba kopang kateng. 
LUK.23.25	A ba lokollela ya qetsweng ke bona, ya neng a kenntswe teronkong ka baka la moferefere le la polao; mme a ba neela Jesu hore a etswe kamoo ba ratang kateng.
LUK.23.26	Eitse ha ba mo isa 
LUK.23.28	Empa Jesu a retelehela ho bona, a re ho bona: Baradi ba Jerusalema, se nteleleng, le mpe le llele lona le bara ba lona; 
LUK.23.29	hobane, bonang, mehla e a tla eo ho tla thwe: Ho lehlohonolo dinyopa, le mala a sa kang a tswala, le matswele a sa kang a anyesa. 
LUK.23.30	Mohlang oo, ba tla qala ho re ho dithaba: Le re wele hodimo; le ho maralla: Le re pupetse; 
LUK.23.31	hobane ekare ha ba etsa tseo ho sefate se setala, ho tla etswa jwang ho se omileng?
LUK.23.32	Mme ba ne ba isa le ba bang ba babedi 
LUK.23.33	Eitse hobane ba fihle thoteng e bitswang Lehata, ba mo thakgisa moo le disenyi tseo, se seng ka letsohong le letona, se seng ka ho le letshehadi. 
LUK.23.34	Empa Jesu o ne a re: Ntate, o ba tshwarele, hobane ha ba tsebe seo ba se etsang. Mme ba arolelana diaparo tsa hae ka ho di laola ka lotho.
LUK.23.35	Batho ba ne ba eme ba tadimile; babusi le bona ba ne ba mo soma, ba re: O pholositse ba bang; ha a ipholose le yena, haele yena Kreste, mokgethwa wa Modimo! 
LUK.23.36	Le bona bahlabani ba ne ba mo soma, ba mo atamela, ba mo nea asene; 
LUK.23.37	ba re: Ekare ha o le morena wa Bajuda, o ipholose.
LUK.23.38	Hape, ho no ho 
LUK.23.39	Se seng sa disenyi tse thakgisitsweng se ne se mo soma 
LUK.23.40	Empa se seng sa kgalemela seo, sa re: Na wena ha o tshabe Modimo keng, kanthe o tsuong e le nngwe 
LUK.23.41	Athe haele rona, ho re loketse, hobane re nka se tshwanetseng tseo re di entseng; empa enwa ha a ka a etsa letho le kgopo. 
LUK.23.42	Yaba se re ho Jesu: Morena, o nkgopole ha o kena mmusong wa hao! 
LUK.23.43	Jesu a re ho sona: Kannete ke re ho wena: O tla ba le nna kajeno Paradeiseng.
LUK.23.44	E ne e le hora e batlileng ho tshelela, mme lefifi la eba teng naheng yohle, ho fihlela hora ya boroba mono o le mong. 
LUK.23.45	Letsatsi la fifala, mme lesela la tempele la hahoha ka lehare.
LUK.23.46	Jesu hobane a meketse ka lentswe le leholo, a re: Ntate, ke neela moya wa ka matsohong a hao! Eitse hobane a rialo, a neela moya.
LUK.23.47	Yare molaodi wa lekgolo ha a bona se hlahileng, a rorisa Modimo, a re: Ruri motho eo o ne a lokile!
LUK.23.48	Batho kaofela ba neng ba phuthehile ho tla boha, ba kgutla, ha ba bone tse hlahileng, ba ntse ba iteta difuba. 
LUK.23.49	Haele ba tsebanang le yena kaofela, le basadi ba neng ba mo latetse 
LUK.23.50	Monna ya bitswang Josefa, monna 
LUK.23.51	O ne a sa ka a dumela morero wa ba bang le diketso tsa bona. 
LUK.23.52	 eo a ya ho Pilato, a kopa setopo sa Jesu. 
LUK.23.53	Eitse hobane a se fanyolle, a se phuthela leseleng, a se pata lebitleng le tjhekilweng lefikeng, moo ho neng ho eso ho patwe motho teng. 
LUK.23.54	Tsatsi leo e ne e le la hlekelo, mme e ne e se e tla ba Sabatha.
LUK.23.55	Athe basadi ba neng ba tswile Galelea ba latela Jesu, ba tadima lebitla, le kamoo setopo sa Jesu se bewang kateng. 
LUK.23.56	Ba kgutla, ba lokisa dinoko le ditlolo; mme ka letsatsi la Sabatha, ba phomola ka molao.
LUK.24.1	Ka tsatsi le qalang veke, e sa le kameso, ba ya lebitleng ho isa dinoko tseo ba di lokisetseng, ba ena le ba bang. 
LUK.24.2	Empa ba fihlela lejwe le phikolositswe lebitleng. 
LUK.24.3	Yare hobane ba kene, ha ba ka ba fumana setopo sa Morena Jesu teng. 
LUK.24.4	Ba re ba sa tsielehile ke hoo, bonang, banna ba babedi ba ne ba eme pela bona ka diaparo tse hadimang. 
LUK.24.5	Eitse 
LUK.24.6	Ha a yo mona, empa o tsohile. Hopolang kamoo a le boleletseng kateng, ha a sa le Galelea, 
LUK.24.7	a re: Mora motho o tshwanetse ho neelwa matsohong a baetsadibe, a thakgiswe, mme a tsohe 
LUK.24.8	Yaba ba elellwa ditaba tseo tsa hae.
LUK.24.9	Jwale ba kgutla lebitleng, ba 
LUK.24.10	Ba boleletseng baapostola ditaba tseo, e ne e le Maria Magdalena, le Johanna, le Maria 
LUK.24.11	Empa taba tsa 
LUK.24.12	Leha ho le jwalo, Petrose a tloha, a mathela lebitleng; eitse hobane a nyarele, a bona masela a beilwe a nnotshi fatshe; a ntoo kgutla, a ntse a maketse ka ho yena ke se hlahileng.
LUK.24.13	Ka lona tsatsi leo, ba babedi ba bona ba ne ba ya motsaneng o mong, o bitswang Emmause, bohole ba wona le Jerusalema e le stadia tse mashome a tsheletseng; 
LUK.24.14	ba ne ba buisana ka tseo tsohle tse hlahileng. 
LUK.24.15	Ba re ba sa buisana, le ho botsana, Jesu ka sebele a 
LUK.24.16	Empa mahlo a bona a ne a sirelwa, ba ba ba sitwa ho mo tseba. 
LUK.24.17	A re ho bona: Le ntse le buisana ka taba dife le ntse le tsamaya, le bileng le swabile 
LUK.24.18	E mong, lebitso la hae e le Kleopa, a araba, a re: Ke wena o le mong hara ba ahileng Jerusalema ya sa tsebeng 
LUK.24.19	A re ho bona: Dife? Ba re: Tsa Jesu wa Nasaretha, eo e neng e le monna wa moporofeta ya matla mesebetsing le dipolelong tsa hae pela Modimo le pela setjhaba sohle; 
LUK.24.20	le kamoo baprista ba baholo le babusi ba rona ba mo neetseng kateng, ho ahlolelwa lefu, ba ba ba mo thakgisa. 
LUK.24.21	 re ne re tshepile hobane ke yena ya tla lopolla Iseraele; leha ho le jwalo, e se e le letsatsi la boraro taba tseo di hlahile. 
LUK.24.22	Kwana, basadi ba bang ba 
LUK.24.23	mme ha ba ka ba fumana setopo sa hae, ba ba ba tla, ba bolela hore ba bone mohlolo wa mangeloi a itseng, o a phela. 
LUK.24.24	Ba bang ba rona ba ile lebitleng, mme ba fihletse ho le jwalokaha basadi ba boletse; empa yena, ha ba ka ba mmona. 
LUK.24.25	Yaba o re ho bona: Jo! batho ba se nang kutlwisiso, ba pelo tse diehang ho dumela tsohle tse boletsweng ke baporofeta! 
LUK.24.26	Hleka e ne e se tshwanelo hore Kreste a utlwiswe 
LUK.24.27	Yaba o qala ka Moshe, a isa ho baporofeta bohle, a ntse a ba hlalosetsa Mangolong wohle tseo a boletsweng ka tsona. 
LUK.24.28	Ba atamela motsana oo ba yang ho wona; empa 
LUK.24.29	Ba mo qophella, ba re: Hlola le rona, hobane e se e le mantsiboya, le letsatsi le se le rapame. A ba a kena, a dula le bona. 
LUK.24.30	Eitse ha a dutse dijong le bona, a nka bohobe, a boka, a bo ngwatha, a ba nea bona. 
LUK.24.31	Yaba mahlo a bona a tutuboloha, mme ba mo tseba; empa a ba nyamella. 
LUK.24.32	Ba ba ba bolellana, 
LUK.24.33	Ka yona nako eo ba tloha, ba kgutlela Jerusalema, mme ba fihlela ba leshome le motso o mong ba phuthehile le ba nang le bona, ba re: 
LUK.24.34	Morena o tsohile bafung kannete; o bile o bonwe ke Simone. 
LUK.24.35	Le bona ba pheta tse 
LUK.24.36	Ba re ba sa bolela tseo, Jesu a hla a ema hara bona ka sebele 
LUK.24.37	Ba mpa ba tshoha, ba tshaba haholo, ba hloma eka ba bona seriti. 
LUK.24.38	A re ho bona: Le tshohelang? mme mehopolo e jwalo e hlahelang dipelong tsa lona? 
LUK.24.39	Bonang diatla tsa ka le maoto a ka, hobane ke nna ka sebele. Ntoboketseng, le bone; hobane seriti ha se na nama le masapo, jwalokaha le mpona ke ena le wona. 
LUK.24.40	Eitse ha a sa ba bolella hoo, a ba bontsha diatla tsa hae le maoto. 
LUK.24.41	Mme kahobane ba ne ba sa belaela ka baka la ho thaba le ho makala, a re ho bona: Na mona le na le ntho e jewang na? 
LUK.24.42	Ba mo nea sesuma sa hlapi e besitsweng le kgekge ya dinotshi; 
LUK.24.43	mme a di nka, a ja pela bona.
