MAT.1.1	Cay kelkaskaka Jesucristoj ñaupaj tatasninmantamin. Jesuska Abrahammanta jamun Davidmantawan.
GAL.3.4	¿Causayniyquichejpi Diospa may jatun ruwaskasnintapis khasillachu jap'erkanquichej? Noka Diosmanta mañacuni ama khasilla cananpaj. 
GAL.3.5	Dios sonkoyquichejman Santo Espirituta cachamorka. T'ucuna ruwanastataj kancuna chaupipi ruwan. Caytaka ruwan sumaj willanasta uyarispa Diospi jap'icuskayquichejnejta manamin camachiskasta ruwaskayquichejnejtachu.
GAL.3.6	Quiquillantataj Abrahampis Diospi jap'icorka. Jap'icuskanraycutaj chekan runapaj Dios payta khawarka. 
GAL.3.7	Chayraycu Diospi jap'icojcunaka Abrahamjina Diospa niskanta jap'incu. 
GAL.3.8	Dios ñaupajmanta Abrahamman sumaj willanasta palabranpi nin: “Nokapi jap'icuwaskayquinejta tucuy jallp'amanta runasta sumajta yanapasaj”, nispa. 
GAL.3.9	Dios Abrahamta chekan runapaj khawarka. Ajinaka Jesucristopi jap'icojcunatapis sumajta yanapaspa quiquillantataj chekan runaspaj khawan.
GAL.3.10	Camachiskasta ruwaskancunejta chekanchaska cayta yuyajcunatarí tucuynincuta sinch'ita phiñacuspa Dios juchachan manapuni junt'ayta atiskancuraycu. Palabranpi ninmin: “Tucuy camachiskasninta tucuyninta mana junt'ajka juchachaskamin”. 
GAL.3.11	Chekatapuni Diospa ñaupakenpi ni pipis atinmanchu chekanchaska cayta camachiskanta ruwaskannejtaka. Palabranpi Dios nin: “Chekan runapaj khawaska cajka nokapi jap'icuskannejtamin causanka”. 
GAL.3.12	Camachiskasninta ruwayka manamin Diospi jap'icuymantachu. Palabranpiri nin: “Camachiskasta junt'ajka ruwaskannejta causanka”. Camachiskasta mana ruwaskanchejraycurí juchachaskas canchej.
GAL.3.13	Camachiskasninta mana casojcunaka wiñaypaj wañuncu. Astawanrí chay camachiskaspa juchachayninmanta Cristo wañuyninnejta cacharichiwarkanchej. Payka juchanchejraycu juchachaska carka Diospa c'ajaj phiñacuyninpi. Palabranpipis nin: “Juchachaskamin cashan c'aspipi warqhuska cajka”. 
GAL.3.14	Chayraycu Jesucristo juchachaska carka Dios waj llajtayojcunatapis sumajta yanapananpaj. Paycunatapis Dios chekanchan Abrahamtajina. Chayraycutaj Dios sumaj niskanmanjina Santo Espirituta sonkonchejman cachamuwanchej paypi jap'icuynejta.
GAL.3.15	Hermanosníy, runas uqhupi caj imasmanta uj ricuchinata niskayquichej. Iscay runas uj imamanta sumajta parlaycuspa munaskancuta kelkaycuncu sutisnincuwan. Chaymanta ni pi chay kelkaskancuta atinmanchu yankhayachiyta nitaj yapaycuytapis. 
GAL.3.16	Dioska Abrahamman khepa wawanmanwan sumajta parlarka. Mana nerkachu “wawacunaman” ashqhasmanpis parlanmanjinaka. Manachayrí ujllamanta parlarka “wawanman” nispa. Chay wawanka Jesucristomin. 
GAL.3.17	Ajina cajtenka niyta munani: Dios Abrahamman ñaupajtaña tratonta ruwarka. Chaymanta tawa pachaj quinsa chuncayoj watasmantaña Moisespa camachiskasnin churaska carka. Chay camachiskaska mana atinchu yankhayachipuyta Diospa sumaj niskanta. 
GAL.3.18	Moisespa camachiskasninta ruwaskanraycuchus runa wiñay causayman yaycunman chayka, manapuni Diospa sumaj niskanraycuchu yaycunman. Astawanrí Dios Abrahamta qhuyacuspa palabrannejta wiñay causayta korka.
GAL.3.19	Chanta ¿imapajtaj Moisespa camachiskasninrí? Yapaska carka ricuchinawanchejpaj juchayoj caskanchejta mana casuskanchejraycu. Camachiskaka churaska carka Abrahampa ayllunmanta jamoj Jesucristo jamunancamalla. Cristomanmin Dioska sumajta nerka. Camachiskarí angelespa ñaupakenpi Moisesman koska carka. Chaymanta Moisés jaywarka Diospa camachiskasninta runasman. 
GAL.3.20	Diosrí paypa palabranwan Abrahamman nerka. Ujlla Dios cajtenka mana pipis paypa sutinpi parlananchu carka.
GAL.3.21	Chanta ¿Moisespa camachiskasnenka Diospa sumaj niskanpa contranpichu? ¡Manapuni! Canman carka uj wiñay causayta koj camachiska chayka, Dios chay camachiskanejta runasta chekanpaj khawanman carka. 
GAL.3.22	Wajjinamantarí Diospa palabranka tucuy runasta juchaj camachisnin caskancuta sut'incharka. Ajinapi Jesucristopi jap'icuspa runas juchamanta cachariskas cayta atincu Diospa sumaj niskanmanjina.
GAL.3.23	Astawanpis Jesucristomanta sumaj willanas manaraj chayamushajtin nokanchej juchachaskas casharkanchej Moisespa camachiskasninwan. Camachisjina jap'iskas carkanchej chay sumaj willanas riqhurimunancucama. 
GAL.3.24	Ajinapi Moisespa camachiskasnenka pusaycachawajninchejjinamin carka Jesucristoman pusanawanchejpaj. Paypi jap'icuskanchejnejta nokanchejtapis chekan runaspaj Dios khawanawanchejpaj carka. 
GAL.3.25	Cristopi jap'icojtinchejñaka manaña ni pi pusanawanchejta munanchejchu.
GAL.3.26	Jesucristopi jap'icuskayquichejwanmin tucuyniyquichej Diospa wawasnin canquichej. 
GAL.3.27	Yacupi bautizacuspa ricucherkanquichej Cristowan ujchacuskayquichejta. Paymanjinañataj causashanquichej. 
GAL.3.28	Diospajka tucuy runas uj rejlla cancu. Israelcunapis, waj llajtayojcunapis, camachispis, mana camachispis, kharispis, warmispis cachuncu. Chayraycu tucuy kancuna ujlla canquichej Jesucristowan ujchaska. 
GAL.3.29	Cristojta canquichej chayka, Abrahamjina chekan runaspaj khawaskas canquichej. Diospa sumaj niskannejtataj kancunapis Abrahamjina paymanta wiñay causayta jap'inquichej.
GAL.4.1	Astawan sut'inchariyta munani. Chayake jap'ej wawaka manaraj runayashaspaka uj camachijinallarajmin cashan. Tucuy chayake paypata cashajtinpis suyanan tiyan jap'inanpaj. 
GAL.4.2	Wawallaraj cashajtenka tatan churapun uywajcunata khawajcunatawan tatanpa ajllaskan p'unchay chayamunancama. Chaypachalla jap'enka chayakentaka. 
GAL.4.3	Nokanchejwanpis quiquillantaj carka. Manaraj Cristo jamushajtin Diosmanta pisillata yacharkanchej. Chayraycu cay pacha runaj yachaynin camachiwarkanchej. 
GAL.4.4	Diosrí ajllaskan p'unchaypi Wawan Jesucristota cachamorka. Wawanka warmimanta nacecorka. Payka israel ayllupi nacecuspa camachiskasnincuta casorkapuni. 
GAL.4.5	Ñaupajpi chay camachiskasman wataskas carkanchej. Chayraycu Dios Wawanta cachamorka chay camachiskaspa juchachayninmanta cacharichinawanchejpaj paypa wawasninpaj jap'icapunawanchejpajtaj.
GAL.4.6	Wawasnin caskayquichejta ricuchinanpaj, Dios sonkoyquichejman Santo Espirituta cachamorka tiyacunanpaj. Wawan Jesús mañacuskanmanjina chay Espíritoj atiyninwan cusiskas Diosta khaparinchej: “¡Munaska Tatáy!” nispa. 
GAL.4.7	Chayraycu Diospa wawan canqui manaña camachichu. Wawan caskayquiraycutaj wiñay causayta Dios kosonka Cristonejta.
GAL.4.8	Ñaupajpirí Diosta mana rejsiskayquichejraycu ruwaska dioscunaj camachisnin carkanquichej. Chekamanta chaycunaka mana dioscunachu cancu. 
GAL.4.9	Cunanrí Diosta rejsinquichejña. Astawanka Dios kancunata rejsisunquichej. Chanta ¿imaraycutaj ujtawan cay pacha yachaycunata camachisjina casuyta munanquichejrí? 
GAL.4.10	Chekanpaj khawaskas cayta munaspa wakaychashanquichej ajllaska p'unchaycunata mosoj quillasta, t'akaska tiemposta, watastawanpis. 
GAL.4.11	Llaquichiwanquichej. Mayta manchachicuni kancuna uqhupi sinch'ita llanc'askayka yankhapaj cananmanta.
GAL.4.12	Jesucristopi hermanosníy, mayta niyquichej: Noka Cristopi jap'icuni, kancunapis ajinatapuni paypi jap'icuychej. Amataj israelcunaj ruwanasnincuman camachis caychejchu. Imaynatachus ñaupajta carkanquichej Cristopi jap'icuspa, nokapis ajinallataj carkani. Kancuna ni imapi mana allin cajtaka ruwawarkanquichejchu. 
GAL.4.13	Yachanquichej onkoska caskayraycu kancunaman Cristomanta willararkayquichej ñaupajpi. 
GAL.4.14	Onkoyniy llaquichiwarka. Chaywanpis mana pisipichu khawawarkanquichej nitaj khesachawarkanquichejchu. Astawanrí jap'iwarkanquichej Diospa uj angelninpis chayrí Jesucristopis caymanjinata. 
GAL.4.15	Cunan ¿imaraycutaj manaña cusicunquichejchu yachachinasniywanrí? Noka kancunata mentaspa chekata nini, aticunmanchus carka chayka, ñawisniyquichejtapis orkhocuspa kowanquichejman carka. 
GAL.4.16	¿Cheka cajta kancunaman niskayraycuchu chejnisojniyquichejtajina khawanquichej?
GAL.4.17	Llulla yachachejcuna mayta munancu suwayta sonkosniyquichejta. Munaynincurí mana allinniyquichejpajchu. Imaraycuchus paycunaka munancu t'akasuyta sumaj willanaspi allinniyquichejmanta. Chayjinapitaj munancu paycunaman c'ascacunayquichejta. 
GAL.4.18	Allin yuyaywan munacususkayquichejka allinpuni canman. Astawanrí munacusunallayquichejpuni mana noka kancunawan cashajtillaychu. 
GAL.4.19	May munaska wawasníy, onkocushaj warmijina ujtawan kancunapaj ñac'arishani Cristojina canayquichejcama. 
GAL.4.20	Cunanpacha munayman kancunawan uyapura parlayta manataj kelkaskallaywanchu. Cristopi causayniyquichejmanta mana yachanichu imatachus yuyanayta.
GAL.4.21	Kancuna, camachiskas ruwaynejta chekanchaskas cayta munajcuna, niwaychej: ¿Manachu Diospa palabranta uyarerkanquichej? 
GAL.4.22	Imaraycuchus chay kelkaskanpi nin Abrahamka iscay khari wawasniyoj caskanta. Uj carka camachin Agarmanta, ujnintaj warmin Saramanta. 
GAL.4.23	Chay camachinmanta cajka nacecorka Abrahampa munayninmanjina. Paypa warminmanta cajtaj nacecorka Diospa sumaj niskanmanjina. 
GAL.4.24	Chaycunaka uj ricuchina caspa yuyachiwanchej Diospa iscay tratosninmanta. Ujnin Jesucristopi jap'icuymin cashan, ujnintaj Moisespa camachiskasnin. Chayta Sinaí orkomanta Dios korka. Chay tratonmanjina nacecojcunataj camachi warmi Agarpa wawasninman rijch'acuncu camachiskaspa camachisnintaj cancu. 
GAL.4.25	Imaraycuchus Agar suteka yuyachillawanchej Sinaí orkomanta Arabia jallp'api. Chaymin yuyachiwanchej cunan p'unchay Jerusalén llajtayojcunamanta. Paycunaka camachiskaspa camachisnin cancu. 
GAL.4.26	Janaj pacha Jerusalén llajtayojcunarí camachiskasmanta cachariskas cancu. Astawanka tucuy nokanchej Jesucristopi jap'icuspa janaj pacha llajtayojcuna canchej mosoj Jerusalén llajtamanta. 
GAL.4.27	Ajinatamin Diospa palabranpi nin:
GAL.4.27	Cusicuy, mana wawallicoj nitaj wachayta atej warmi.
GAL.4.27	Khapariytaj cusiywan onkocuy nanayta mana rejsej warmi.
GAL.4.27	Chekamanta sapan khesachaska warmi mana wawasniyoj cajpis
GAL.4.27	khepata Diospa sumaj niskannejta aswan ashqha wawasniyoj canka kosayojmanta niskaka.
GAL.4.27	[Chay wawastaj janaj pacha llajtayojcuna cancu Jesucristopi jap'icuskancunejta.] 
GAL.4.28	Hermanosníy, Diospa sumaj niskannejta Abrahampa wawan Isaac nacecorka. Ajinallataj nokanchejpis Isaacjina Diospa wawasnin canchej paypa sumaj niskanmanjina. 
GAL.4.29	Astawanrí cunanpis ñaupajpijinallataj cashan. Abrahampa munayninmanta nacecojka llaquichisharka Diospa sumaj niskannejta nacecojta. Ajinata cunanpis camachiskasta ruwaskanejta chekanchaska cayta munajcuna llaquichishancu Diospa runasninta. Chay runasnintaj Santo Espíritoj munayninmanjina naceskas cancu. 
GAL.4.30	Chaywanpis Dios palabranpi nin: “Kharkoy camachi warmita wawantinta. Imaraycuchus camachi warmej wawanka chayaketa mana jap'enkachu quiquin warminpa wawanwan cuscaka”, nispa. 
GAL.4.31	Ajinaka, hermanosníy, nokanchej Diospi jap'icojcunaka manamin camachi warmej wawasninjinachu canchej. Manachayrí Diospa wawasnin canchej, janaj pacha llajtayojcuna.
GAL.5.1	Chekatapuni Cristo cacharichiwarkanchej payllapaj causananchejpaj. Chay cachariska causayniyquichejpi sinch'ita sayaychej. Amañataj watejmanta camachiskata ruwayman yuntajina wataycucuychejchu.
GAL.5.2	Noka, Diospa cachan, nishayquichej: Chekanchaskas canayquichejpaj kharispi señalta ruwachicojcunata, chekatapuni kancunapaj Cristoka ni imaynamanta allinniyquichejpajchu canka. 
GAL.5.3	Ujtawan sut'ita nishayquichej: Pillapis chekan runapaj khawaska cananpaj chayta ruwanman chayka, Moisespa camachiskasninta tucuyninta ruwanan tiyan. 
GAL.5.4	Kancuna, camachiska ruwaskannejta chekan runapaj khawaska cayta munajcunaka k'alata Cristomanta t'akacaporkanquichej. Diospa c'acha yanapaynintataj sakeporkanquichej. 
GAL.5.5	Nokanchejrí Diospi jap'icuspa cusiywan suyashanchej wiñaypaj chekanchaskas cayta Espiritunejta. 
GAL.5.6	Jesucristowan ujchaska causaypeka kharej cuerponpi señalta ruwaypis mana ruwaypis niña imananchu. Astawanka Diospi jap'icuylla allin cashan munacuynejta ruwaspa. 
GAL.5.7	Cristowan causayniyquichejpi sumajta risharkanquichej. Chanta ¿pitaj pantachisorkachej cheka cajta mana casunayquichejpajrí? 
GAL.5.8	Chay pantaska yachachejcuna manamin wajyasojniyquichej Diosmantachu cancu. 
GAL.5.9	Yachanchej pisi t'anta pokochinalla tucuy masantinta pokochiskanta. 
GAL.5.10	Cristopi ujchacuyninchejraycu kancunamanta mana iscayrayanichu. Yachani yachachinasniymanta wajtaka mana jap'inayquichejta. Chay pantachej runatarí Dios ñac'arichenka ruwaskanmanjina, may curajpaj khawaska cashajtinpis. 
GAL.5.11	Hermanosníy, noka willarashaymanraj chekanchaska canapaj israelcunaj ruwanancuta chayka, paycuna manaña llaquichiwancumanchu. Ajina cajtenka Cristoj wañuyninta willaraskayka mana runasta phiñachinmanñachu. 
GAL.5.12	Munayman chay pantachisojcunayquichejka paycunapura tucuchicunancuta. Ajinapitaj Cristopi hermanosmantapis t'akaskas cancuman.
GAL.5.13	Imaraycuchus hermanosníy, ñaupa ruwanasmanta cachariskas canayquichejpaj Dios wajyasorkachej. Chay cachariska causayrí ama sajrata ruwanapajka cachunchu. Manachayrí munacuywan yanapanacuychej allinniyquichejpaj. 
GAL.5.14	Ajinata Dios palabranpi nin: “Runa-masiyquita munacuy kan quiquiyquitajina”, nispa. Chekatapuni chayllata ruwaspa Diospa tucuy camachiskasninta junt'anchej. 
GAL.5.15	Wajjinamantarí q'ita animalcunajina qhaninacuwajchej miqhunacuwajchej chayka, pajtataj tucuchinacuwajchej Cristowan ujchaska causayniyquichejta.
GAL.5.16	Chayraycu mayta niyquichej Santo Espíritoj munayninmanjinapuni causacunayquichejta. Ajinapi runaj sajra munaynintaka mana casunquichejchu. 
GAL.5.17	Imaraycuchus runaj sajra munaynenka churanacunpuni Santo Espíritoj munayninwanka. Espíritoj munaynintaj churanacunpuni runaj sajra munayninwan. Chay iscay munaycuna churanacuncu ama ruwanayquichejpaj munayniyquichejta. 
GAL.5.18	Santo Espíritu pusasunquichej chayrí Moisespa camachiskasninman manaña camachischu canquichej.
GAL.5.19	Chaywanpis sajra munayninmanjina causan, chay runaj ruwaskasnenka sut'i rejsiskamin. Caycuna cancu: Khenchachacuycuna, millay ruwaycuna, sajra puriycuna, 
GAL.5.20	waj dioscunata yupaychaycuna, laykanacuycuna, chejninacuycuna, phiñacuycuna, tumpanacuspa chhokonacuycuna, c'ajaj phiñacuywan contrallicuycuna, paycunallapaj ruwaycuna, churanacuy, t'akanacuycuna, 
GAL.5.21	wajpa imanta munaycuna, runa wañuchiycuna, machaycuna, machaywan mana sajsacuycuna, chayjina juchacunawan. Cayta nerkayquichejña quiquillantataj mayta nishayquichej: Chayjina ruwajcunaka manapuni wiñay causayta jap'enkancuchu Dios camachin, chaypi.
GAL.5.22	Espiritunejta Dios wajjina pokoyta pokochin runasninpi: Munacuy, cusicuy, allinta tiyacuy, mana cutichispa muchuy, qhuyacuyniyoj cay, c'acha cay, niskanta junt'aj cay, 
GAL.5.23	llamp'u sonkoyoj cay, munayninta camachicoj cay. Chayjinata [causacuspaka tucuy camachiskastapis junt'anchej.] 
GAL.5.24	Jesucristojta cajcunaka tucuy sajra munaycunata wañucherkancuña, chaycunata sakepuspa. 
GAL.5.25	Santo Espíritoj atiyninmin causachiwanchej. Chayraycu munayninmanjina causacunanchej tiyan.
GAL.5.26	Amapuni khasimanta jatunchacunachu ni phiñachinacunachu nitaj envidiawan churanacunachu.
GAL.6.1	Hermanosníy, Cristopi uj hermano mana yuyayllamanta juchallicunman chayka, Santo Espíritoj munayninmanjina causacojcuna yanapaspa payta cheka cajman cutichiychej. Chaytarí ruwanayquichej qhuyacoj, llamp'u sonkowan. Kan quiquiyquitataj khawacuy pajtataj kanpis juchallicushallawajtaj. 
GAL.6.2	Purajmanta yanapanacuychejpuni llaquiy pantay imaspi juchata atipanayquichejpaj. Ajinamanta Cristoj camachiskanta munanacunanchejta junt'anquichej. 
GAL.6.3	Pichari mana cashaspalla jatunpaj khawacunman chayka, chay runa pantacun. 
GAL.6.4	Sapa ujniyquichejrí ruwaskanta khawacuychej. Ruwaskan allinpuni chayka, quiquin ruwaskallanmanta cusiconka, manañataj wajpa khawaraskanmantaka. 
GAL.6.5	Imaraycuchus sapa ujpa ruwanasninta ruwanan tiyan.
GAL.6.6	Sumaj willanaspi yachachiska cajka tucuy allin capuynin cajmanta yachachejninman munacuywan kochun.
GAL.6.7	Ama pantaychejchu. Dioswanka ni pipis pujllacunchu. Imatachá runa tarpun chayllatataj ruthonka. 
GAL.6.8	Quiquillantaj cashan causayninchejpipis. Runaka sajra munayninmanjina manacajta ruwan. Chanta chay sajra munayninta ruwaskanmanta wañonka. Santo Espíritoj munayninmanjina causacojrí sumajta ruwan. Chanta chay Espiritumantataj uj pokoytajina jap'enka wiñay causayta. 
GAL.6.9	Ajinaka ama sakepunachu allin cajta ruwaytaka. Chekatapuni mana llauchhuyacapusun chayka, ajllaska p'unchaypi sumaj cajta jap'isunchej uj pokoytajina. 
GAL.6.10	Chayraycu atishaspaka tucuy runaman allin cajtapuni ruwanachej astawanka Cristopi jap'icoj hermanosninchejman.
GAL.6.11	Khawaychej quiquin maquiywan may jatun letraswan kelkamushayquichej. 
GAL.6.12	Runacunaj ñaupakencupi allinpi riqhuriyta munajcuna tucuynincu tankashasunquichej kharispi señalta ruwacunayquichejpaj. Cristoj wañuyninmanta willanasraycu mana ñac'arinancupaj chayta ruwashancu. 
GAL.6.13	Paycuna quiquincu cuerponcupi señalaska caspapis Moisespa tucuy camachiskasninta mana casuncuchu. Astawanpis kancunapi chay señalesta ruwachisunayquichejta munasunquichej jatunchacunallancupaj. 
GAL.6.14	Nokaj cusiyniyrí Señorninchej Jesucristo nokanchejpaj chacataska caskallanmin cachun. Paypa wañuskannejta cay pacha sajra munaycunaka nokapaj wañuchiskasña cancu. Nokapis chacataskajina cani t'akaskañataj sajra munaycunamantaka. 
GAL.6.15	Chekamanta kharispi señal ruwaypis mana ruwaypis ni imapischu. Manachayrí Jesucristowan ujchaska mosojyaska causananchejmin sumajka. 
GAL.6.16	Tucuy chaymanjina causacojcuna Diospa cheka runasnin cancu. Paycuna Dioswan allinyacuskas causaconkancu. Paycunatataj Dios qhuyaconka.
GAL.6.17	Cunanmantaka amaña pipis nokata llaquichiwachunchu. Chekamanta Señorninchej Jesuspaj ñac'ariskaymanta nokaj cuerpoypi t'irisniymin ricuchincu paypa camachin caskaytaka.
GAL.6.18	Hermanosníy, Señorninchej Jesucristo sonkosniyquichejpi tiyacuspa c'achata yanapasuchun. Ajina cachun.
EPH.1.1	Noka, Pablo, Cristo Jesuspa cachan cani Diospa munayninnejta. Efeso llajtapi Diospa runasninman kelkamushayquichej, Cristo Jesuswan ujchaska casojcunaman. 
EPH.1.2	Dios Tatanchejpa Señorninchej Jesucristoj c'acha yanapaynin kancunawan cachun allillanpi causacunayquichejpaj.
EPH.1.3	Señorninchej Jesucristoj Tatan Diosnintaj yupaychaska cachun. Pay qhuyacuyninpi mosoj causayninchejpaj c'achatapuni yanapawanchej. Chay causayka janaj pacha causaymin Cristowan ujchaska caskanchejraycu. 
EPH.1.4	Yuyayninmanjina manaraj cay pachata ruwashaspa Dioska ajllacuwarkanchej, Cristonejta allinyachinawanchejpaj. Munarka payman t'akaskas mana juchayoj munacuypi paypa ñaupakenpi cananchejta. 
EPH.1.5	C'acha munayninmanjinataj unayña sumajta yuyarka nokanchejta wawasninpaj rejsicapunawanchejta Jesucristonejta. 
EPH.1.6	Dioska jatun qhuyacuyninwan wajyawarkanchej munaska Wawanwan ujchaska cananchejpaj. Chayraycu payta yupaychanchej jatun c'acha yanapayninraycu sumaj atiyninraycupis.
EPH.1.7	Cristowan ujchacuspa juchasninchejmanta cacharichiskas canchej. Cacharichinawanchejpaj payka yawarninta jich'aspa wañorka. Ajinapi Dioska khapaj c'acha yanapayninmanjina juchasninchejta khechorka. 
EPH.1.8	C'acha yanapayninpi mana mich'acuspa kowarkanchej tucuy yachayta yuyaytapis. 
EPH.1.9	Ajinapi sut'inchawarkanchej paypa pacaska munayninta. Chay sumaj munayninmanjina yuyaskanta Cristopi junt'arka. 
EPH.1.10	Chaymanjinataj yuyarka pay quiquinman tucuy imata ujchayta Cristo uma cananpaj. Ajllaskan tiempo junt'acojtin janaj pachapi cajcunata cay pachapi cajcunatapis Cristonejta ujchayta munarka.
EPH.1.11	Dioska atiyninwan tucuy imata munayninmanjina ruwajmin. Pay unayña nokaycupaj yuyaspa ajllacuwarkaycu Cristowan ujchaska runasnin canaycupaj. 
EPH.1.12	Nokaycu Cristopi ñaupajta confiacojcunapaj ajinata ruwarka atiyninta jatunchanaycupaj. 
EPH.1.13	Kancunapis uyarerkanquichej cheka niskanta imaynachus juchamanta cachariskas canayquichejta. Chay sumaj willanasta uyarispataj Cristopi jap'icorkanquichej. Ajinata jap'icojtiyquichejtaj Diospa sumaj niskanmanjina Santo Espíritu sonkoyquichejta sellarka. Chayka Diospa runasnin caskayquichejta ricuchinanpajmin. 
EPH.1.14	Santo Espíritu sonkonchejpi señajina capuwanchej wiñaypaj cachariskas cananchejcama. Chaywan Dioska ricuchiwanchej tucuy niskanta junt'ananta. Nokanchej wañunanchejmantaka Jesucristo wañuspa, wiñaypaj Diospata ruwawarkanchej. Ajinapi wiñaypaj atiyninraycu yupaychasunchej.
EPH.1.15	Nokaka uyarerkani imaynatachus kancuna Señorninchej Jesuspi jap'icuskayquichejta, tucuy Diospa runasninta munacuskayquichejtapis. 
EPH.1.16	Chayraycu kancunamanta graciasta koshanipuni kancunapaj Diosmanta mañacuspa. 
EPH.1.17	Dioska Señorninchej Jesucristoj Diosnin atiyniyoj Tatanmin. Mañapuyquichej Espiritunnejta yachayninta kosunayquichejta pacaska cajta sut'inchasunayquichejtapis. Ajinapi payta sumajta rejsinquichej. 
EPH.1.18	Ajinapitaj sonkoyquichejpi reparaspa yachanquichej may sumaj may khapaj causaypaj Dios wajyasuskayquichejta. Chay janaj pachapi causayta suyasunchej Diospa t'akaska runasninwan cusca, niskanmanjina. 
EPH.1.19	Mañacunitaj rejsinayquichejta may jatun, mana tucucoj atiyniyoj caskanta paypi jap'icojcunata yanapanawanchejpaj. 
EPH.1.20	Chay mana tucucoj callpanmanjina pay ruwarka wañuymanta Cristota causarichimuspa. Chanta tiyaycucherka paywan cusca janaj pachapi camachinanpaj. 
EPH.1.21	Payta tiyaycucherka aswan curaj Camachej cananpaj. Tucuy camachejmanta, curajmanta, atiyniyojmanta, señormantapis aswan atiyniyoj cananpaj Cristota churarka. Tucuy rejsiska sutimantapis aswan curaj sutiyoj cananpaj payta tiyaycucherka. Tucuy chayka canka cay tiempopipis jamoj tiempopipis. 
EPH.1.22	Tucuy imatataj Cristoj atiyninman Dios churarka. Cristotataj churapuwarkanchej tucuy imapi iglesia runasninpaj umajina cananpaj. 
EPH.1.23	Nokanchej iglesianka Cristoj cuerponjina canchej. Paywan ujchaska caspa cuerpowan umawan ujllaman tucunchej. Cristoka tucuyta tucuynejpi junt'an.
EPH.2.1	Dios mosoj causayta kosorkachej kancuna unay wañuskajina cashajtiyquichej sajra ruwaskasniyquichejraycu juchasniyquichejraycu. 
EPH.2.2	Unayka chayjina ruwajcuna carkanquichej cay pacha runasjina. Wayrapi atiyniyoj mana ricuna sajra camachejtataj casuspa causarkanquichej. Cunanpis chay quiquin yuyay mana Diosta casucojcunata apaycachashan. 
EPH.2.3	Unayka tucuy nokanchejpis ajinata causarkanchej cay pacha munayninchejmanjina. Chay sajra munayninchej yuyayninchejpis atipawaskanchejmanjina ruwarkanchej. Ajinamanta Diospa c'ajaj phiñacuyninta jap'inanchejpajjina carkanchej tucuy mana payta casucojcunajina.
EPH.2.4	Diosrí qhuyacuyninpi ancha khapaj caspa maytapuni munacuwarkanchej. 
EPH.2.5	Juchanejta wañuskajina cashajtinchejpis Cristowan cuscata Dioska causarichiwarkanchej. Yuyaricuychej: Diospa c'acha yanapayninnejta juchamanta cachariskas carkanquichej. 
EPH.2.6	Cristo Jesuswan ujchaskata Dioska causarichimuwarkanchej janaj pachapipis paywan cusca tiyaycuchinawanchejpaj. 
EPH.2.7	Ajinata ruwarka jakay jamoj tiempospi c'acha yanapaynin may khapaj caskanta ricuchinanpaj. Dioska qhuyacuspa c'achata yanapawanchej Cristo Jesusnejta. 
EPH.2.8	Chay c'acha yanapayninnejtamin wañuymanta cacharichiskas carkanquichej Diospi jap'icuspa. Cayrí mana kancunamantachu carka. Diosmin mosoj causaytaka kosorkachej. 
EPH.2.9	Manataj ruwaskasmantachu carka ama ni pi jatunchacunanpaj. 
EPH.2.10	Paypa ruwaskanmin canchej. Cristo Jesusnejta ruwawarkanchej sumaj cajta ruwaspa causacunanchejpaj. Dioska unayña yuyarka ajinata causacunanchejpaj.
EPH.2.11	Yuyaricuychej kancunaka mana israelcunamantachu nacecorkanquichej. Israelcunapaj kancunaka mana circuncidaskacuna sutichaska canquichej. Paycunaka circuncidaskacuna sutichacuncu. Chay señalta cuerpopi ruwancu camachiskasnincumanjina Diospa runasnin caskancuta ricuchinancupaj. 
EPH.2.12	Waj llajtayojcuna caspa ñaupajpi Cristomanta carupi carkanquichej. Israelcunapajpis mana llajta-masispajchu khawaskas carkanquichej. Diospa sumaj niskasnin mana kancunapaj carkachu. Nitaj chay niskasninpi suyayta aterkanquichejchu. Cay pachapitaj mana Diosniyoj causarkanquichej. 
EPH.2.13	Cunanrí kancuna ñaupajpi carupi cajcunata Dioska kayllachicusorkachej Cristo Jesuswan ujchaspa wañuyninnejta. 
EPH.2.14	Cristomin allinyachejninchejka. Paymin israelcunatawan waj llajtayojcunatawan ujllaman ruwarka tucuynincu Diospa runasnin canancupaj. T'akachej chejninacuytapis pay chincacherka. 
EPH.2.15	Pay quiquinpi paycunata allinyacherka t'akaj camachiskasta yankhaman tucuchispa. Ajinata Cristo ruwarka cuerponpi uj mosoj Runallaman ruwananpaj. 
EPH.2.16	Chaywanpis wañuyninnejta iscaynin llajtacunata Diosman allinyacherka uj cuerpollapi. Chacatanapi wañuyninnejta chejninacuyta chincacherka. 
EPH.2.17	Allinyachej willanaswantaj jamorka kancuna carupi cajcunamanpis nokaycu kayllapi cajcunamanpis. 
EPH.2.18	Cristonejtamin kancunawan nokaycuwanka uj Santo Espiritunejllata Tata Diosman kayllaycucuyta atinchej. 
EPH.2.19	Cunanri manaña waj llajtayojcunachu nitaj carumantachu canquichej, manachayrí llajta-masis Diospa runasninwan. Paypa wasinpi cajcunamantataj canquichej. 
EPH.2.20	Cachacunanpa willajcunanpa cimientoncu patapi wasichaskasjina canchej. Cristo Jesús quiquintaj aswan sumaj wasichana rumijina. 
