GEN.1.1	Kì ri cɑ̈gø cøn, Jwøk ɑ́cwɑ̈j-ɑ mɑl kí piny. 
1CH.27.24	 Acɑ̈gi Yöɑb wɑ̈d Dheruyɑ̀ ki gwedi kwɑnni ji, de nuti tyëëg en. Acɑɑy Isrɑil yi Jwøk kipe gwedi kwɑnni ji, de kwɑnn-ɑ ɑ́gwed kì cyɑ̈n bong gøn kì yethi wɑ̈jji Rɑ̈dh Debïd.
1CH.27.25+1CH.27.26+1CH.27.27+1CH.27.28+1CH.27.29+1CH.27.30+1CH.27.31	Møg bɑ jyɑ̈ggi gøldwøng, ɑ cinggi gen ɑ́di jɑmmi pödhø
1CH.27.25+1CH.27.26+1CH.27.27+1CH.27.28+1CH.27.29+1CH.27.30+1CH.27.31	Jɑmmi gøldwøng: Adhmɑbeth wɑ̈d Adiel.
1CH.27.25+1CH.27.26+1CH.27.27+1CH.27.28+1CH.27.29+1CH.27.30+1CH.27.31	Jɑmmi pɑc: Yönɑthɑn wɑ̈d Udhiyɑ̀.
1CH.27.25+1CH.27.26+1CH.27.27+1CH.27.28+1CH.27.29+1CH.27.30+1CH.27.31	Gwøøg pur: Edhrì wɑ̈d Kelub
1CH.27.25+1CH.27.26+1CH.27.27+1CH.27.28+1CH.27.29+1CH.27.30+1CH.27.31	Bɑ̈ggi oløg: Cimeì jɑl Rɑmɑ̀.
1CH.27.25+1CH.27.26+1CH.27.27+1CH.27.28+1CH.27.29+1CH.27.30+1CH.27.31	Møgi oløg: Dhɑbdì jɑl Cepɑm
1CH.27.25+1CH.27.26+1CH.27.27+1CH.27.28+1CH.27.29+1CH.27.30+1CH.27.31	Yenh dhetun kí ólɑm (kì thɑ́ kïtt-ɑ wɑɑng cyɑ̈ɑ̈ng böörø): Bɑɑl Aɑnɑn jɑl Geder
1CH.27.25+1CH.27.26+1CH.27.27+1CH.27.28+1CH.27.29+1CH.27.30+1CH.27.31	Møøw dhetun: Yöɑc
1CH.27.25+1CH.27.26+1CH.27.27+1CH.27.28+1CH.27.29+1CH.27.30+1CH.27.31	Dhög-ɑ thwøri Cɑrön: Cirtɑy jɑl Cirɑtön.
1CH.27.25+1CH.27.26+1CH.27.27+1CH.27.28+1CH.27.29+1CH.27.30+1CH.27.31	Dhög-ɑ yij tör: Cɑpɑt wɑ̈d Adlɑy
1CH.27.25+1CH.27.26+1CH.27.27+1CH.27.28+1CH.27.29+1CH.27.30+1CH.27.31	Amɑl: Obil kwɑɑr Icmɑil
1CH.27.25+1CH.27.26+1CH.27.27+1CH.27.28+1CH.27.29+1CH.27.30+1CH.27.31	Aderr: Yedeiyɑ̀ jɑl Merönöth.
1CH.27.25+1CH.27.26+1CH.27.27+1CH.27.28+1CH.27.29+1CH.27.30+1CH.27.31	Römm geki ɑ́tegg: Yɑdhidh kwɑɑr Ägerì.
1CH.27.32	Yönɑthɑn nɑ̈yi Rɑ̈dh Debïd ɑ́bëëd e ngɑ̈ny kwøb kidøøj, o ɑ́bëëd ɑ́ jɑlgwed. En geki Yekiel wɑ̈d Akimönì ɑ ɑ́bëëd gɑ jøpwönyi wɑ̈ddi rɑ̈dh. 
1CH.27.33	Akithöpel ɑ́bëëd ɑ́ jɑl tøg buri rɑ̈dh, o Kucɑy jɑl Arkì ɑ́bëëd ɑ́ mɑ̈ɑ̈dh rɑ̈dh. 
1CH.27.34	Bɑng Akithöpel, ɑ ɑ́bëën yi Yöyɑdɑ̀ wɑ̈d Benɑiyɑ̀, kí Abiyɑthɑr. Yöɑb ɑ́bëëd ɑ́ pënyi liny rɑ̈dh.
1CH.28.1	Kɑ jyɑ̈ggi gøldwøng, kí jɑggi wɑ̈thi kɑ̈llì, kí pëjji liny, kí jɑgg-ɑ mïdhi jɑmmì, cwööl Yerusɑlem bënn yi Rɑ̈dh Debïd.
1CH.28.3	De yɑ ɑ́kyëdde kinni yɑ ko gëëd, mɑ́ yɑ bɑ jɑl-liny, o yɑ ɑ́nɑ̈ɑ̈g ki ji mø gïïr. 
1CH.28.4	Jwøng-ɑ Ácwɑ̈ɑ̈j, Jwøøg Isrɑil yɑ ɑ́kwɑnye wøki gølɑ, o yɑ jɑɑgɑ Isrɑil gïti ɑtheer. Gøl Yeudɑ̀ ɑ́kwɑnye ɑ́ gøl jyɑ̈gø, kɑ ød wïyɑ kwɑnye kì gøl Yeudɑ̀ bëne. Pyëwe ɑ́med kɑ yɑn kì gøl wïyɑ, ɑkwɑnye yɑn, yɑn ɑ́ rɑ̈dh men jɑɑg Isrɑil bëne. 
1CH.28.5	Kɑ yɑ nënge ki wɑ̈dd mø gïïr, kɑ kwɑny-ɑ Sølømøn kì kelli wɑ̈ddɑ bënn, o jɑɑge Isrɑil, pödhi Jwøng-ɑ Ácwɑ̈ɑ̈j.
1CH.28.6	“Jwøng-ɑ Ácwɑ̈ɑ̈j yɑ ɑ́köbbe kinni, ‘Wɑ̈dí Sølømøn, bɑ en ɑ ógëddi yɑn ki kengø, ɑ́kwɑny yi yɑn ɑ́ wɑ̈dɑ, o yɑ bɑ wïye. 
1CH.28.7	Lɑ̈ge ówiy yi yɑn o bëëde gïti ɑtheer, keløg e óbëëd e mïdh-ɑ ciggɑ ni kɑ̀ bëëde ɑnɑn.’
1CH.28.8	“De ɑnɑn, wun ɑ wɑddɑ, kì bøli Jwøgee kí bøli Isrɑil bëne, wun ɑ jii Jwøng-ɑ Ácwɑ̈ɑ̈j, yɑ köbb-ɑ wun kinni mïdhu møg-ɑ ɑ́cïgi wɑ yi Jwøng-ɑ Ácwɑ̈ɑ̈j, Jwøgee, o piny-ɑ med men ócöge ɑ́ mi wun ceth, kì yethi rïjj bënn.”
1CH.28.9	Aköbbe Sølømøn kinni, “Wɑ̈dɑ, wør Jwøøg wïyí kɑ göggí ki pyëwí bëne, kí rummí bënn. Rummee bënn kí gïg-ɑ tyer yi wɑ ngɑ̈nyi yi en. Keløg yï ywøøg-ɑ kööre, yï ókøny yi en, de keløg ngɑ̈jí ólugii, yï óbɑny yi en gïti ɑtheer. 
1CH.28.10	Bëëd yï ngɑ̈ny wøw kinni, yï ɑ́kwɑny yi Jwøng-ɑ Ácwɑ̈ɑ̈j, o yï ger Kengi kwëre. Gwøøg ceth ki tegi pyëwí.”
1CH.28.11	Anyudhi Sølømøn yi Debïd ki kër-ɑ ógeer Kengø, kí uddi jɑmmì geki udd-ɑ kyeelø, kí Kej Kwërdwøng ɑ bɑ kej dwöögi lɑ́ɑ̀w piny. 
1CH.28.12	Kɑ gø nyudhe ki kër-ɑ ógeer ódɑ̈rri Kengø geki udd-ɑ buti gen, kí uddi mïdhi jɑmmì, kí jɑmmi Kengø, kí jɑmmi kwër møg-ɑ nyi muuj gɑ møg pwøøj Jwøng-ɑ Ácwɑ̈ɑ̈j. 
1CH.28.13	Anyudhii yi Debïd thyew ki yëth-ɑ ópyële gwøøg ókwër geki Kwɑrri Leebì, kí kër-ɑ ógwøg gen gwøøg gen, kí gwøgi gwøøg Kengø, kí nenni jɑmm-ɑ nyi göög bënn kì Kengø. 
1CH.28.14	Akwøbe këër dhɑb kí ɑ́tegø men-ɑ óthɑ̈ɑ̈dh jɑmm-ɑ ógöög kì Kengø, ɑ løg: 
1CH.28.15	men-ɑ óthɑ̈ɑ̈dh lɑ̈mbɑ̈ɑ̈ kí tegi lɑ̈mbɑ̈ɑ̈, 
1CH.28.16	kí men-ɑ gwøøg tɑrɑbeedh dhɑb ɑ́kyel, kì ri møg-ɑ kömi gen nyi cïb ópùn møg-ɑ nyi thyëyi Jwøk. 
1CH.28.17	Kɑ këër dhɑm dhïw men-ɑ óthɑ̈ɑ̈dh gɑ̈bbì, kí óthɑ̈ggì, kí puggì, kí tɑ̈mmì. 
1CH.28.18	Kí dhɑm dhïw men-ɑ óthɑ̈ɑ̈dh këli bɑkur, kí kerobb møg-ɑ peedh obërri gen kömi Sɑnduug Ciggi Jwøng-ɑ Ácwɑ̈ɑ̈j. 
1CH.28.19	Kɑ Rɑ̈dh Debïd okööbø kinni, “Møgɑni bënn ɑ́nyudhi yɑn yi Jwøng-ɑ Ácwɑ̈ɑ̈j kiree, gɑ møg gwøg.”
1CH.28.20	Kɑ Rɑ̈dh Debïd wɑ̈de Sølømøn köbbe kinni, “Pyëwí ko lïngi, kɑ yï ko böggi, kɑ yï cɑ̈gí ki gwøg, kɑ ko di gïn cuung yïn. Jwøng-ɑ Ácwɑ̈ɑ̈j, yï ókøny yi en. Yï koo wiye piny, de yï ókøny yi en ceth gïti keny-ɑ óthumi gwøøg Kengø. 
1CH.28.21	Ókwër kí Kwɑrri Leebì gïg-ɑ gwøg yi gen kì Kengø ɑ́mëggi gen. Jøgwøg mø ngɑ̈ny gwøg ki jɑmmi mø gïïr nenn-ɑ kønyi yïn, ji bënn geki jyɑ̈ggi gen ying-ɑ thɑ́ ciggí.”
1CH.29.2	Yɑ ɑ́rum ki cøngi jɑmmi geri Kengø, jɑmmɑni bɑ dhɑb, kí ɑ́tegø kí dilɑl kí dødø, kí pɑ̈mmì, kí ópɑddi kïttì møg-ɑ mïllø, kí ópɑddi kïttì møg-ɑ ógwelø, kí ópɑddi kïtt-ɑ nyi tweg kì ri dörø yi bödhhi tweg. 
1CH.29.3	Kɑ yɑ omuujø thyew ki ɑ́tegø kí dhɑb kì ri jɑmm-ɑ bɑ møgɑ, kipe kɑ̀ mɑɑrɑ Kengi Jwøk. 
1CH.29.4	Yɑ ɑ́muuj ki dhɑm dhïw me ngenyø kibøli tøn miyø, kí ɑ́teng-ɑ dhïw ɑ́ men dhyɑɑw döri Kengø ɑ́ tøn pyɑ̈r ɑ́ngwen, 
1CH.29.5	kwëe ógöög ki gïg-ɑ ógwøg yi bödhhì, gïn-ɑ dwɑddi ɑ́ dhɑb gwøg ki dhɑb, o gïn dwɑddi ɑ́ ɑ́tegø gwøg ki ɑ́tegø. Anɑn, ɑ́ men ɑ dwɑddi thegi Jwøng-ɑ Ácwɑ̈ɑ̈j ki tɑri pyëwe?”
1CH.29.6	Codhe, kɑ jɑggi wɑ̈thi kɑ̈llì geki jɑgg-ɑ thønhø, kí pëjji liny, kí jɑggi gøldwøng omuujø ki jɑmmì. 
1CH.29.7	Jɑmm-ɑ ɑ́muuj yi gen kipe gwøøg Kengø bɑ Dhɑb ɑ́ tøn miyø kí pyɑ̈r ɑ́bïryew, kí ɑ́tegø ɑ́ tøn miy ɑ́dɑ̈g kí pyɑ̈r ɑ́ngwen, kí dilɑl ɑ́ tøn miy ɑ́bïkyel kí pyɑ̈r ɑ́ryew, kí dødø ɑ́ tøn ɑ́lïp ɑ́dɑ̈g kí miy ɑ́ngwen. 
1CH.29.8	Tyëng-ɑ́ yï gen ɑ́di ópɑddi kïtt-ɑ mïllø ɑ́mëggi gen tyëng-ɑ mïdhi jɑmmi Kengø, ɑ jɑngi gen bɑ Yekiel Kwɑɑr Leebì kì gøl Gercön. 
1CH.29.9	Jwøng-ɑ Ácwɑ̈ɑ̈j ɑ́nëngi yi ji ki medi pëthi gen, ge ɑ́bëëd pëthi gen med ki muujø. Kɑ Rɑ̈dh Debïd pyëwe ómïnø ki mendwøng.
1CH.29.10	Alenhi Jwøng-ɑ Ácwɑ̈ɑ̈j yi Rɑ̈dh Debïd kì bøli teedø. Akööbe kinni, “Yɑ lenh-ɑ yïn, yïn ɑ Jwøng-ɑ Ácwɑ̈ɑ̈j, Jwøøg kweyi wøn Yɑgob, yï ólejji gïti ɑtheer. 
1CH.29.11	 Yï dwøng, o yï teeg cɑrø, yï bɑ mɑ̈r, yï døj. Gïg-ɑ mɑl kí møg-ɑ piny bɑ møgí bënn, o yï bɑ rɑ̈nh-ɑ jɑɑg jɑmmì bënn. 
1CH.29.12	Kɑ̈rì kí jɑmmì bënn kɑ̈ɑ̈l-ɑ yïí, jɑmmì bënn jɑɑg yi yïn kɑ döngí geki tegí, o ngɑn dwɑddi yi yïn ócuggø gwøgø yi yïn e dwøng o teeg. 
1CH.29.13	Anɑn, Jwøøg wøn, wø pwøj-ɑ yïn, o wø lenh-ɑ nyingí, nying-ɑ myëër ki lejjø.
1CH.29.14	“Thyew, bong gïn ceg ki mëggi yïn yi yɑn wøki jiɑ, mɑ́ jɑmmì bënn kɑ̈ɑ̈l-ɑ yïí, o wø dögg-ɑ yïn jɑmmì mø ceg bëëdø gɑ møgí. 
1CH.29.15	Ngɑ̈nyi yi yïn, yïn ɑ Jwøng-ɑ Ácwɑ̈ɑ̈j kinni, wø ɑ́bëëd wø nɑ ji mø ying yïnø, o wø nɑ wëdhh. Cyɑ̈nggi wøn kì kömi piny nyi pödhø nɑ tïbø, o bong keny kyëëj wøn thøø. 
1CH.29.16	Yïn ɑ Jwøøg wøn, Jwøng-ɑ Ácwɑ̈ɑ̈j, jɑmm-ɑ ɑ́kɑ̈ɑ̈l yi wøn keny bënn, ge bɑ møg gëddi yïn ki Kengø, men lejji wøn nyingí kwërø, de jɑmmɑni bënn ɑ́kɑ̈ɑ̈l-ɑ yïí, o ge bɑ møgí bënn. 
1CH.29.17	Ngɑ̈nyi yi yɑn kinni pëthi ji bënn nyii rɑngø yi yïn, o pyëwí med kɑ tyëngtir. Gïg bënn mëggɑ’ yïn ki medi pyëwɑ, o ɑ́lidh yi yɑn kinni jií møg-ɑ keny bënn, ge ɑ́muuj-ɑ medi pëthi gen. 
1CH.29.18	Yïn ɑ Jwøøg kweyyi wøn Abrɑhɑm, kí Isɑɑk, kí Yɑgob mïdhí rummɑni kì pëthi jií, kɑ pëthi gen lugí yïn. 
1CH.29.19	Nëngí wɑ̈dɑ Sølømøn ki tegi pyëw, o ciggí ómïdhe bënn, o gïg-ɑ ɑ́pyëlɑ bënn kipe geri Kengø tyëg yi en ki gwøgø.”
1CH.29.20	Codhe, kɑ ji köbbi yi Debïd kinni, “Lenhu Jwøng-ɑ Ácwɑ̈ɑ̈j, Jwøøg wun!” Kɑ Jwøng-ɑ Ácwɑ̈ɑ̈j lenhi yi ji bënn, kɑ Jwøøg kweyyi gen mɑl yi gen. Kɑ rɑ̈dh mɑl gen thyew.
1CH.29.21	Dhuki cyɑ̈ng-ɑ kyeelø, kɑ ge ongɑ̈dø ki gëdhhì, kɑ Jwøng-ɑ Ácwɑ̈ɑ̈j rɑ̈bbi yi gen ki gënh-ɑ nyi rɑ̈b bëne. Codhe, ɑmëggi rïnggɑni ji o gï cɑm gen. Kɑ ge ongɑ̈dø thyew ki wɑ̈dhh ɑ́lïp, kí ónyögg ɑ́lïp, kí órömm ɑ́lïp møg-ɑ ɑ́rɑ̈b kì wïj këli lɑm. Kɑ ge ókɑ̈nø ki kunyi møgi oløg, 
1CH.29.22	Kɑ ge orïïjø pëthi gen omedø, mɑ́ ge ɑ́cyɑ̈ɑ̈m, kɑ ge omɑ̈dhø kì bøli Jwøng-ɑ Ácwɑ̈ɑ̈j.
1CH.29.22	Kɑ Sølømøn cigi mɑlø yi gen ɑ́ rɑ̈dh. Arøøny Sølømøn ɑ́ rɑ̈dh ki nyingi Jwøng-ɑ Ácwɑ̈ɑ̈j, kɑ Dhɑdök røny ɑ́ ókwërø. 
1CH.29.23	 Codhe, kɑ Sølømøn pëgg-ɑ wïj kwøm-ɑ ɑ́cöb yi Jwøng-ɑ Ácwɑ̈ɑ̈j, kɑ ójɑ̈ggø kì kej wïye Debïd, Sølømøn ɑ́bëëd ɑ́ rɑ̈dh me døøj, kɑ wør yi pödhi Isrɑil bëne. 
1CH.29.24	Ayïëy jøgdøngø geki pëjji liny, kí wɑ̈ddi Debïd møg-ɑ kyeelø kinni, Sølømøn ówør yi gen ɑ́ rɑ̈dh. 
1CH.29.25	Kɑ pödhø bëne göjji wøri Sølømøn yi Jwøng-ɑ Ácwɑ̈ɑ̈j, kɑ gø gwøge ɑ́ rɑ̈dh me pëddi döng, me lod rɑ̈nhh-ɑ ɑ́jyɑ̈ɑ̈g bënn kì Isrɑil.
1CH.29.26	Isrɑil bëne ɑ́jɑɑg yi Debïd wɑ̈d Yesì 
1CH.29.27	 ki runn pyɑ̈r ɑ́ngwen. Ájyɑ̈ɑ̈g kì Kibrön ki runn ɑ́bïryew, kɑ ojyɑ̈gø ki runn pyɑ̈r ɑ́dɑ̈g wïdɑ́dɑ̈g kì Yerusɑlem. 
1CH.29.28	Debïd ɑ́thøw kì yij kɑ̈r e yöø, o ceg kɑ wørø. Wɑ̈de Sølømøn ɑ ɑ́røøny keje ɑ́ rɑ̈dh. 
1CH.29.29	Gïg-ɑ ɑ́gøggi yi Rɑ̈dh Debïd kër-ɑ cɑ̈ge gïti thume, bɑ ɑgwed kì yethi wɑ̈jji jøtöng ɑ løg Sɑmwel, kí Nɑthɑn, kí Gɑd. 
1CH.29.30	Gïg-ɑ ógwedø nyodh-ɑ yëth-ɑ ɑ́jyɑ̈ɑ̈ge, kí tege, kí gïg-ɑ ɑ́cwöb kipere, kí per Isrɑil, kí pödhh-ɑ bute.
2CH.1.1	Sølømøn wɑ̈d Rɑ̈dh Debïd, Isrɑil ɑ́jɑɑge kidøøj, ɑgyëdhii yi Jwøge, Jwøng-ɑ Ácwɑ̈ɑ̈j, ɑgwøge gøn e teeg cɑrø.
2CH.1.2	Kɑ tyëng Isrɑil bënn, ɑ løg pëjji liny møg-ɑ kwølli ɑ́lïp, kí møg-ɑ kwølli miy, kí jyɑ̈ggi gøldwøng, kí jɑggi wɑ̈thi kɑ̈llì cwøl yi Rɑ̈dh Sølømøn, 
2CH.1.3	kinni kedhi gen Gibeon be mɑlli Jwøk kyeel kí en. Ge ɑ́kedh-ɑ kunɑni mɑ́ Kemi Kwër ying-ɑ kunɑni, eni kem-ɑ ɑ́gwøg kì yij pɑ̈l yi Mosɑ̀ bɑ̈ng Jwøng-ɑ Ácwɑ̈ɑ̈j. 
2CH.1.4	 (De Sɑnduug Ciggi Jwøk ɑ́bëëd ɑ Yerusɑlem kì yij kemɑ̀ men-ɑ ɑ́gur piny yi Rɑ̈dh Debïd, keny-ɑ ɑ́kɑ̈ɑ̈l Sɑndungɑni kì Kiriɑt Yeɑrïm.) 
2CH.1.5	 Këli dilɑl men-ɑ ɑ́gwøg yi Bedhɑlel, wɑ̈d Urì, wɑ̈d Ur ɑ́bëëd ɑ Gibeon kì bøli Kemi Jwøng-ɑ Ácwɑ̈ɑ̈j. Kɑ Jwøng-ɑ Ácwɑ̈ɑ̈j mɑlli kì kunɑni yi Rɑ̈dh Sølømøn geki ji bënn. 
2CH.1.6	Kɑ Jwøng-ɑ Ácwɑ̈ɑ̈j ngɑ̈ddi yi Sølømøn ki gëdhhì gɑ ɑ́lïp, kɑ gï rɑ̈be kì wïj këli dilɑl.
2CH.1.7	Wɑ̈rɑni ɑ ɑ́cwöb Jwøk kì bøli Sølømøn, ɑpyëje gøn kinni, “Á ngø ɑ dwɑddi yi yïn, o mëggɑ yïn?”
2CH.1.8	Alöggi Sølømøn kinni, “Wïyɑ Debïd ɑ́mɑɑr yi yïn ki mendwøng, kɑ yɑ cïb yi yïn keje yɑn ɑ́ rɑ̈dh. 
2CH.1.9	 Yïn ɑ Jwøk, Jwøng-ɑ Ácwɑ̈ɑ̈j, gwøg møg-ɑ ɑ́köbbí wïyɑ. Yɑ ɑ́gwøg yi yïn, yɑn ɑ́ rɑ̈ɑ̈dh jií møg-ɑ gïïr cɑrø, o ge pɑ cuggi kwɑnø, 
2CH.1.10	de thödhí yɑn ki peli wïj geki dïdø men-ɑ dwɑddi yi yɑn, o jɑɑgɑ gen; ji-ɑ gïïr cɑrø ni møg ólwɑ̈ng yi yɑn ki jɑɑgø kidï!”
2CH.1.11	Aløøg kwɑ̈jji Sølømøn yi Jwøk kinni, “Yï ɑ́kwɑny gïn-ɑ dyër. Mɑ́ yï nuti cwøl-ɑ kɑ̈r, kí jɑmmì, wɑlɑ̀ mɑ̈r, kí nɑ̈gi tyëngmɑ̈ɑ̈nø, o yï nuti cwøl-ɑ bëëdø ki keny me bɑ̈ɑ̈r, de yï ɑ́cwøl-ɑ peli wïj geki dïdø møg jɑɑg jiɑ møg-ɑ́ kömi gen ɑ́cïbɑ yïn, yïn ɑ́ rɑ̈dh. 
2CH.1.12	Yï ómëggɑ peli wïj geki dïdø. O yï óthödhɑ thyew ki kɑ̈r, kí jɑmmì, kí mɑ̈r me dwøng, me nuti yodø yi rɑ̈nhì møg-ɑ ɑ́ying bølí kì tyeli mɑl, o óbong-ɑ dhɑnhø me yïe ódi jɑmmì mø ni møgɑni kì bɑngí.”
2CH.1.13	Codhe, ɑdhwödh Sølømøn kì Gibeon kun-ɑ di Kemi Jwøng-ɑ Ácwɑ̈ɑ̈j, kɑ døøg-ɑ Yerusɑlem kun-ɑ jɑɑge Isrɑil. 
2CH.1.14	 Acønge yɑ̈th-ɑ nyi pyejji yi kyënyì gɑ ɑ́lïp kí miy ɑ́ngwen, kí jøliny kyënyì ɑ́lïp pyɑ̈rø wïdɑ́ryew. Kɑ kwï jøliny cïb Yerusɑlem, kɑ møg-ɑ ɑ́döng cïb kɑ̈dd-ɑ døngø. 
2CH.1.15	Kì yethi runn-ɑ ɑ́jyɑ̈ɑ̈g Rɑ̈dh Sølømøn, ngyënyø ɑ́tegø kí dhɑb ɑ́bëëd ge ngenyø ni lel kì Yerusɑlem. Kɑ sɑndɑl, yɑnh-ɑ myëër gwøge e gïïr ni ólɑm. 
2CH.1.16	 Kyënyì nyi kɑ̈ɑ̈l ɑ Rïp kí Kilikiyɑ̀ yi jøngyew mø Rɑ̈dh Sølømøn, 
2CH.1.17	o yɑ̈thi kyënyì nyi ngew-ɑ Rïp yi gen. Kɑ yɑ̈ɑ̈th kí kyënyì nyi lony gen ki ngëwwi rɑ̈nhi tyëng Kit, kí tyëng Arɑm e yɑ̈y ngew kɑ ngyëny ɑ́tegg miy ɑ́bïkyel, o kyeny ngew kɑ ngyëny ɑ́tegg miyø kí pyɑ̈r ɑ́bïj.
2CH.2.1	Akööb Rɑ̈dh Sølømøn kinni geer Kengø men yije mɑlli Jwøng-ɑ Ácwɑ̈ɑ̈j. O ree gëdde ki gøldwøng men yije bëëde. 
2CH.2.2	Akɑ̈bbe ki ji ɑ́lïp pyɑ̈r ɑ́bïryew møg yëg jɑmmi gyer, kí ji ɑ́lïp pyɑ̈r ɑ́bïdɑ̈g møg tweg kïttì. Ádɑ ji ɑ́lïp ɑ́dɑ̈g kí miy ɑ́bïkyel møg nenni gwøg.
2CH.2.3	Aödi Sølømøn yï Kirɑm rɑ̈ɑ̈dh Suur ki wöödø kinni, “Køny wɑ riee ceth, ni kɑ ɑ́køny wun ri wun ki wïyɑ, Rɑ̈dh Debïd, kɑ ngëwwi yi yïn ki yenh sɑndɑl møg geer gøldwøng. 
2CH.2.4	Yɑ ger-ɑ Kengø me yije mɑllɑ Jwøng-ɑ Ácwɑ̈ɑ̈j, Jwøgɑ. Óbëëd ɑ́ kej kwër, keny yije mɑllii yi yɑn wøki jiɑ, ɑ rɑ̈bbii ki bɑkur, ɑ ngɑ̈ddii ki gëdhhì kì mwøl kí böörø, kí cyɑ̈nggi Sɑbɑth, kí cɑ̈gi dwɑ̈y, geki cyɑ̈nggi kwëër Jwøng-ɑ Ácwɑ̈ɑ̈j møg-ɑ kyeelø. Isrɑil ɑ́rum ki cegø yi en kinni nyi gwøøg møgɑni ceth, gïti ɑtheer. 
2CH.2.5	Yɑ dwɑdd-ɑ gyer ki Kengø me dwøng cɑrø, mɑ́ Jwøgee dwøng cɑrø kibøli Jwögg-ɑ kyeelø. 
2CH.2.6	 Dɑ́ men ɑ cuggi gëddi Jwøk ki Kengø kidyër, e men-ɑ́ mɑl ki dönge bëne nøg kipere! Yɑ bɑ men, ɑ cuggɑ ki gëddii ki Kengø? Yɑ ger-ɑ keny rɑ̈bbii ki bɑkur yøw! 
2CH.2.7	Anɑn ödí yɑn ki bødhø me ngɑ̈ny gwøg ki dhɑb kí ɑ́tegø, kí dilɑl, kí dødø. O ngɑ̈ny gwøg ki ógudh møg-ɑ bɑ ówɑw kí ɑ́cwïcwïl kí møg kwɑrø. Bønhɑni ógöögø geki bödhhi Yeudiyɑ̀ kí Yerusɑlem, gen ɑ bödhh-ɑ ɑ́yieny yi wïyɑ Debïd. 
2CH.2.8	Ödí yɑn ki yenh sɑndɑl, kí ɑmedh, kí yenh sɑndɑl kì Lubnɑn. Jøgwøg møgɑ óörɑ yï wun, o ge ngud gen kyeel ki yenh geki jøgí, 
2CH.2.9	o ge pyël gen yenh-ɑ geer Kengø men-ɑ ger yi yɑn e dwøng, o myër. 
2CH.2.10	Yï óödɑ ki gemè ɑ́ tøn ɑ́lïp ɑ́ryew kí ceir ɑ́ tøn ɑ́lïp ɑ́ryew, kí møgi oløg ɑ́ tøn ɑ́lïp miy ɑ́bïdɑ̈g, kí møøw dhetun ɑ́ tøn ɑ́lïp miy ɑ́bïdɑ̈g.”
2CH.2.11	Aløøg møgɑni yi Kirɑm ki wɑ̈ny-ɑ ɑ́gwëde Sølømøn kinni, “Mɑ́ Jwøng-ɑ Ácwɑ̈ɑ̈j jie mɑɑr yi en, yï ɑ́rønye yïn ɑ́ rɑ̈dh, 
2CH.2.12	Lenhi wɑ Jwøng-ɑ Ácwɑ̈ɑ̈j, Jwøøg Isrɑil, ɑ ɑ́cwɑ̈j mɑl kí piny! Rɑ̈dh Debïd ɑ́nënge ki wɑ̈d me wïje pel, me tir, me dïdø, me göögø ɑnɑn kì ri geri Kengi Jwøng-ɑ Ácwɑ̈ɑ̈j, kí gëddi ree ki gøldwøng. 
2CH.2.13	Yï örɑ’ bødhø me dwøng, me wïje pel, me dïdø, me cwøl ɑ́ Kurɑm. 
2CH.2.14	Meye bɑ nyɑɑr gøl Dɑn, o wïye bɑ jɑl Suur. Ngɑ̈ny gwøg ki jɑmmì ki dhɑb, kí ɑ́tegø kí dilɑl, kí dødø, kí kïttì, kí pɑ̈mmì, o ócuggø gwøg ki ógudh-ɑ bɑ ówɑw kí ɑ́cwïcwïl, kí møg kwɑrø. O ócuggø cwɑ̈j ki ógudhi kor-ɑ yöm. Ócuggø gwøg ki wɑ̈thi jɑmm-ɑ nyi tweg bënn, o gïn-ɑ köbbii nyii gwøgø yi en ceth. Wiy gööge geki bödhhí, kí bödhh-ɑ ɑ́göggi wïyí, Rɑ̈dh Debïd. 
2CH.2.15	De ɑnɑn örí wøn gemè, kí ceir, kí møgi oløg, kí møøw dhetun møg-ɑ ɑ́kwøb yi yïn. 
2CH.2.16	Wø ónguddi piny kì Lubnɑn, ki yenh sɑndɑl møg-ɑ dwɑddi yi yïn. Ge ógwøg kì Yɑpɑ̀ gɑ óthyɑg, o ge ókïdhi Yerusɑlem.”
2CH.2.17	Kɑ tyëngpɑth bënn møg-ɑ bëëdø kì piny Isrɑil gwed yi Rɑ̈dh Sølømøn ni gwen-ɑ ɑ́kwøng ki gwedø yi wïye Debïd. Kɑ kwɑnni tyëngpɑth ogöögø ki ɑ́lïp miyø kí pyɑ̈r ɑ́bïj wïdɑ́dɑ̈g. 
2CH.2.18	Kɑ ɑ́lïp pyɑ̈rø wïdɑ́bïryew kì kelli gen mëgge gwøøg yëgi jɑmmi gyer, o ɑ́lïp pyɑ̈r ɑ́bïdɑ̈g tweg gen kïttì kì pɑ̈l. Kɑ ɑ́lïp ɑ́dɑ̈g kí miy ɑ́bïkyel kwɑnye gɑ jøg nenni gwøg.
2CH.3.2	Kengø ɑ́cɑg ki gerø yi Rɑ̈dh Sølømøn kì ryeew dwɑ̈tt, kì ri ngween runne ɑ́ rɑ̈dh. 
2CH.3.3	Keng-ɑ ɑ́ger yi Rɑ̈dh Sølømøn bɑ̈re bɑ mïtïr pyɑ̈r ɑ́ryew wïdɑ́bïryew, o lɑ̈je bɑ mïtïr ɑ́bïngwen. 
