GEN.1.4	Dieu vit que la lumière était bonne, et Dieu sépara la lumière et les ténèbres. 
JHN.10.4	Lorsqu’il les a tous fait sortir, il marche devant eux ; et les moutons le suivent, parce qu’ils connaissent sa voix. 
JHN.10.5	Ils ne suivront jamais un étranger ; ils le fuiront, parce qu’ils ne connaissent pas la voix des étrangers.
JHN.10.8	Tous ceux qui sont venus avant moi sont des voleurs et des bandits ; mais les moutons ne les ont pas écoutés. 
JHN.10.9	C’est moi qui suis la porte ; si quelqu’un entre par moi, il sera sauvé ; il entrera et sortira et trouvera des pâturages. 
JHN.10.10	Le voleur ne vient que pour voler, abattre et détruire ; moi, je suis venu pour qu’ils aient la vie et l’aient en abondance.
JHN.10.12	Quand il voit venir le loup, l’employé, celui qui n’est pas berger et pour qui il ne s’agit pas de ses propres moutons, s’enfuit en abandonnant les moutons. Et le loup s’en empare, il les disperse. 
JHN.10.13	C’est un employé : il n’a pas le souci des moutons.
JHN.10.15	comme le Père me connaît et comme, moi, je connais le Père ; et je me défais de ma vie pour mes moutons. 
JHN.10.16	J’ai encore d’autres moutons qui ne sont pas de cet enclos ; ceux-là aussi, il faut que je les amène ; ils entendront ma voix, et ils deviendront un seul troupeau, un seul berger.
JHN.10.18	Personne ne me l’enlève, mais c’est moi qui m’en défais, de moi-même ; j’ai le pouvoir de m’en défaire et j’ai le pouvoir de la reprendre ; tel est le commandement que j’ai reçu de mon Père.
JHN.10.20	Beaucoup d’entre eux disaient : Il a un démon, il est fou ; pourquoi l’écoutez-vous ? 
JHN.10.21	D’autres disaient : Ces paroles ne sont pas celles d’un démoniaque. Un démon peut-il ouvrir les yeux des aveugles ?
JHN.10.23	Jésus marchait dans le temple, sous le portique de Salomon. 
JHN.10.24	Les Juifs l’entourèrent ; ils lui disaient : Jusqu’à quand nous feras-tu languir ? Si c’est toi qui es le Christ, dis-le-nous ouvertement. 
JHN.10.25	Jésus leur répondit : Je vous l’ai dit, et vous ne croyez pas. Ce qui me rend témoignage, ce sont les œuvres que, moi, je fais au nom de mon Père. 
JHN.10.26	Mais si, vous, vous ne croyez pas, c’est parce que vous n’êtes pas de mes moutons. 
JHN.10.27	Mes moutons entendent ma voix. Moi, je les connais, et ils me suivent. 
JHN.10.28	Et moi, je leur donne la vie éternelle ; ils ne se perdront jamais, et personne ne les arrachera de ma main. 
JHN.10.29	Ce que mon Père m’a donné est plus grand que tout – et personne ne peut l’arracher de la main du Père. 
JHN.10.30	Moi et le Père, nous sommes un.
JHN.10.32	Jésus leur dit : Je vous ai montré beaucoup de belles œuvres venant du Père. Pour laquelle de ces œuvres allez-vous me lapider ? 
JHN.10.33	Les Juifs lui répondirent : Ce n’est pas pour une belle œuvre que nous allons te lapider, mais pour blasphème, parce que, toi qui es un homme, tu te fais Dieu ! 
JHN.10.34	Jésus leur répondit : N’est-il pas écrit dans votre loi : 
JHN.10.35	Ainsi elle a appelé dieux ceux à qui la parole de Dieu a été adressée, – et l’Ecriture ne peut être annulée – 
JHN.10.36	et vous, vous dites à celui que le Père a consacré et envoyé dans le monde : « Tu blasphèmes ! » parce que j’ai dit : « Je suis Fils de Dieu » ! 
JHN.10.37	Si je ne fais pas les œuvres de mon Père, ne me croyez pas. 
JHN.10.38	Mais si je les fais, quand même vous ne me croiriez pas, croyez les œuvres ; sachez et comprenez ainsi que le Père est en moi, comme moi dans le Père. 
JHN.10.39	Ils cherchèrent encore à l’arrêter ; mais il leur échappa.
JHN.10.41	Beaucoup de gens vinrent à lui ; ils disaient : Jean n’a produit aucun signe, mais tout ce que Jean a dit de cet homme était vrai. 
JHN.10.42	Et là, beaucoup mirent leur foi en lui.
JHN.11.2	– C’est Marie qui répandit du parfum sur le Seigneur et qui lui essuya les pieds avec ses cheveux, et c’est son frère, Lazare, qui était malade. – 
JHN.11.3	Les sœurs envoyèrent quelqu’un lui dire : Seigneur, ton ami est malade. 
JHN.11.4	Quand il entendit cela, Jésus dit : Cette maladie ne mène pas à la mort ; elle est pour la gloire de Dieu, afin que par elle le Fils de Dieu soit glorifié. 
JHN.11.5	Or Jésus aimait Marthe, sa sœur et Lazare.
JHN.11.7	puis il dit aux disciples : Retournons en Judée. 
JHN.11.8	Les disciples lui disent : 
JHN.11.9	Jésus répondit : N’y a-t-il pas douze heures dans le jour ? Si quelqu’un marche de jour, il ne trébuche pas, parce qu’il voit la lumière de ce monde ; 
JHN.11.10	mais si quelqu’un marche de nuit, il trébuche, parce que la lumière n’est pas en lui.
JHN.11.12	Les disciples lui dirent : Seigneur, s’il s’est endormi, il est sauvé ! 
JHN.11.13	Jésus avait parlé de sa mort, mais eux pensèrent qu’il parlait d’un simple sommeil. 
JHN.11.14	Alors Jésus leur dit ouvertement : Lazare est mort. 
JHN.11.15	Et, pour vous, je me réjouis de n’avoir pas été là, afin que vous croyiez. Mais allons vers lui. 
JHN.11.16	Thomas, celui qu’on appelle le Jumeau, dit alors aux autres disciples : Allons-y, nous aussi, pour que nous mourions avec lui !
JHN.11.18	Or Béthanie était proche de Jérusalem, à quinze stades environ. 
JHN.11.19	Beaucoup de Juifs étaient venus trouver Marthe et Marie pour les réconforter au sujet de leur frère.
JHN.11.21	Marthe dit à Jésus : Seigneur, si tu avais été ici, mon frère ne serait pas mort ! 
JHN.11.22	Mais maintenant même, je sais que tout ce que tu demanderas à Dieu, Dieu te le donnera. 
JHN.11.23	Jésus lui dit : Ton frère se relèvera. 
JHN.11.24	Je sais, lui répondit Marthe, qu’il se relèvera à la résurrection, au dernier jour. 
JHN.11.25	Jésus lui dit : C’est moi qui suis la résurrection et la vie. Celui qui met sa foi en moi, même s’il meurt, vivra ; 
JHN.11.26	et quiconque vit et met sa foi en moi ne mourra jamais. Crois-tu cela ? 
JHN.11.27	Elle lui dit : Oui, Seigneur, moi, je suis convaincue que c’est toi qui es le Christ, le Fils de Dieu, celui qui vient dans le monde.
JHN.11.29	Dès qu’elle entendit cela, celle-ci se leva vite pour venir à lui ; 
JHN.11.30	car Jésus n’était pas encore entré dans le village ; il était encore au lieu où Marthe était venue au-devant de lui. 
JHN.11.31	Les Juifs qui étaient dans la maison avec Marie pour la réconforter la virent se lever vite et sortir ; ils la suivirent, pensant qu’elle allait pleurer au tombeau.
JHN.11.33	Quand Jésus la vit pleurer, et qu’il vit pleurer aussi les Juifs qui étaient venus avec elle, son esprit s’emporta et il se troubla. 
JHN.11.34	Il dit : Où l’avez-vous mis ? – Seigneur, lui répondirent-ils, viens voir ! 
JHN.11.35	Jésus fondit en larmes. 
JHN.11.36	Les Juifs disaient donc : C’était vraiment son ami ! 
JHN.11.37	Mais quelques-uns d’entre eux dirent : Lui qui a ouvert les yeux de l’aveugle, ne pouvait-il pas aussi faire en sorte que cet homme ne meure pas ?
JHN.11.39	Jésus dit : Enlevez la pierre. Marthe, la sœur du mort, lui dit : Seigneur, il sent déjà : c’est le quatrième jour ! 
JHN.11.40	Jésus lui dit : Ne t’ai-je pas dit que si tu crois, tu verras la gloire de Dieu ? 
JHN.11.41	Ils enlevèrent donc la pierre. Jésus leva les yeux et dit : Père, je te rends grâce de ce que tu m’as entendu. 
JHN.11.42	Quant à moi, je savais que tu m’entends toujours, mais j’ai parlé à cause de la foule qui se tient ici, pour qu’ils croient que c’est toi qui m’as envoyé. 
JHN.11.43	Après avoir dit cela, il cria : Lazare, sors ! 
JHN.11.44	Et le mort sortit, les pieds et les mains liés de bandelettes, et le visage enveloppé d’un linge. Jésus leur dit : Déliez-le, et laissez-le aller.
JHN.11.46	Mais quelques-uns d’entre eux s’en allèrent trouver les pharisiens pour leur dire ce que Jésus avait fait.
JHN.11.48	Si nous le laissons faire, tous mettront leur foi en lui, et les Romains viendront détruire et notre lieu et notre nation. 
JHN.11.49	Mais l’un d’eux, Caïphe, qui était grand prêtre cette année-là, leur dit : Vous, vous ne savez rien ; 
JHN.11.50	vous ne vous rendez pas compte qu’il est avantageux pour vous qu’un seul homme meure pour le peuple et que la nation ne soit pas perdue tout entière. 
JHN.11.51	Or il ne dit pas cela de lui-même ; mais, comme il était grand prêtre cette année-là, il annonça, en prophète, que Jésus allait mourir pour la nation 
JHN.11.52	– et non pas seulement pour la nation, mais aussi pour rassembler dans l’unité les enfants de Dieu dispersés. 
JHN.11.53	Dès ce jour-là, ils décidèrent de le tuer.
JHN.11.56	Ils cherchaient Jésus et se disaient les uns aux autres, dans le temple : Qu’en pensez-vous ? Ne viendra-t-il pas du tout à la fête ? 
JHN.11.57	Or les grands prêtres et les pharisiens avaient donné des ordres pour que, si quelqu’un savait où il était, il les en informe, afin qu’on l’arrête.
JHN.12.2	Là, on donna un dîner pour lui ; Marthe servait, et Lazare était l’un de ceux qui étaient à table avec lui.
JHN.12.4	Un de ses disciples, Judas Iscariote, celui qui allait le livrer, dit alors : 
JHN.12.5	Pourquoi n’a-t-on pas vendu ce parfum trois cents deniers pour les donner aux pauvres ? 
JHN.12.6	Il disait cela, non parce qu’il avait le souci des pauvres, mais parce qu’il était voleur et que, tenant la bourse, il prenait ce qu’on y mettait. 
JHN.12.7	Mais Jésus dit : Laisse-la garder cela pour le jour de mon ensevelissement. 
JHN.12.8	Les pauvres, en effet, vous les avez toujours avec vous ; mais moi, vous ne m’avez pas toujours.
JHN.12.10	Les grands prêtres décidèrent alors de tuer aussi Lazare, 
JHN.12.11	parce que beaucoup de Juifs s’en allaient à cause de lui et mettaient leur foi en Jésus.
JHN.12.13	les gens prirent des branches de palmiers et sortirent au-devant de lui, en criant :
JHN.12.13	le 
JHN.12.14	Jésus trouva un ânon et s’assit dessus, selon ce qui est écrit :
JHN.12.18	C’est pourquoi la foule vint au-devant de lui : elle avait entendu dire qu’il avait produit ce signe. 
JHN.12.19	Les pharisiens se dirent donc les uns aux autres : Vous voyez que vous n’y pouvez rien : le monde s’en est allé à sa suite !
JHN.12.21	S’étant approchés de Philippe, qui était de Bethsaïda, en Galilée, ils lui demandaient : Seigneur, nous voudrions voir Jésus. 
JHN.12.22	Philippe vient le dire à André ; André et Philippe viennent le dire à Jésus.
JHN.12.24	 je vous le dis, si le grain de blé ne tombe en terre et ne meurt, il demeure seul ; mais s’il meurt, il porte beaucoup de fruit. 
JHN.12.25	Celui qui tient à sa vie la perd, et celui qui déteste sa vie dans ce monde la gardera pour la vie éternelle. 
JHN.12.26	Si quelqu’un veut me servir, qu’il me suive, et là où moi, je suis, là aussi sera mon serviteur. Si quelqu’un veut me servir, c’est le Père qui l’honorera.
JHN.12.28	Père, glorifie ton nom ! Une voix vint donc du ciel : Je l’ai glorifié et je le glorifierai encore. 
JHN.12.29	La foule qui se tenait là et qui avait entendu disait que c’était le tonnerre. D’autres disaient : Un ange lui a parlé. 
JHN.12.30	Jésus reprit : Ce n’est pas à cause de moi que cette voix s’est fait entendre, mais à cause de vous. 
JHN.12.31	C’est maintenant le jugement de ce monde ; c’est maintenant que le prince de ce monde sera chassé dehors. 
JHN.12.32	Et moi, quand j’aurai été élevé de la terre, j’attirerai tous les hommes à moi. 
JHN.12.33	Il disait cela pour signifier de quelle mort il allait mourir.
JHN.12.35	Jésus leur dit : La lumière est encore parmi vous pour un peu de temps. Marchez pendant que vous avez la lumière, pour que les ténèbres ne vous surprennent pas : celui qui marche dans les ténèbres ne sait pas où il va. 
JHN.12.36	Pendant que vous avez la lumière, mettez votre foi en la lumière, pour devenir fils de la lumière.
JHN.12.36	Jésus dit cela, puis il s’en alla et se cacha d’eux.
JHN.12.38	de sorte que soit accomplie la parole du prophète Esaïe, qui a dit :
JHN.12.40	et leur 
JHN.12.42	Cependant, même parmi les chefs, beaucoup mirent leur foi en lui ; mais à cause des pharisiens, ils ne le reconnaissaient pas publiquement, pour ne pas être exclus de la synagogue. 
JHN.12.43	Car ils aimèrent la gloire des humains plus que la gloire de Dieu.
JHN.12.45	et celui qui me voit voit celui qui m’a envoyé. 
JHN.12.46	Moi, la lumière, je suis venu dans le monde, pour que quiconque met sa foi en moi ne demeure pas dans les ténèbres. 
JHN.12.47	Si quelqu’un entend mes paroles et ne les garde pas, moi, je ne le juge pas, car je ne suis pas venu pour juger le monde, mais pour sauver le monde. 
JHN.12.48	Celui qui me rejette et qui ne reçoit pas mes paroles a bien un juge : c’est la parole que j’ai dite qui le jugera au dernier jour. 
JHN.12.49	Car moi, je n’ai pas parlé de ma propre initiative ; c’est le Père, qui m’a envoyé, qui m’a donné lui-même un commandement sur ce que je dois dire et ce dont je dois parler. 
JHN.12.50	Et je sais que son commandement est vie éternelle. Ainsi, ce dont, moi, je parle, j’en parle comme le Père me l’a dit.
JHN.13.3	Jésus, qui sait que le Père a tout remis entre ses mains, qu’il est sorti de Dieu et qu’il s’en va à Dieu, 
JHN.13.4	se lève de table, se défait de ses vêtements et prend un linge qu’il attache comme un tablier. 
JHN.13.5	Puis il verse de l’eau dans une cuvette et se met à laver les pieds des disciples et à les essuyer avec le linge qui lui servait de tablier. 
JHN.13.6	Il vient donc à Simon Pierre, qui lui dit : Toi, Seigneur, tu me laves les pieds ! 
JHN.13.7	Jésus lui répondit : Ce que, moi, je suis en train de faire, toi, tu ne le sais pas maintenant ; tu le sauras après. 
JHN.13.8	Pierre lui dit : Non, jamais tu ne me laveras les pieds. Jésus lui répondit : Si je ne te lave pas, tu n’as pas de part avec moi. 
JHN.13.9	Simon Pierre lui dit : Alors, Seigneur, pas seulement mes pieds, mais aussi mes mains et ma tête ! 
JHN.13.10	Jésus lui dit : Celui qui s’est baigné n’a besoin de se laver que les pieds : il est entièrement pur ; or vous, vous êtes purs, mais non pas tous. 
JHN.13.11	Il savait en effet qui allait le livrer ; c’est pourquoi il dit : Vous n’êtes pas tous purs.
JHN.13.13	Vous, vous m’appelez Maître et Seigneur, et vous avez raison, car je le suis. 
JHN.13.14	Si donc je vous ai lavé les pieds, moi, le Seigneur et le Maître, vous aussi vous devez vous laver les pieds les uns aux autres ; 
JHN.13.15	car je vous ai donné l’exemple, afin que, vous aussi, vous fassiez comme moi j’ai fait pour vous. 
JHN.13.16	 je vous le dis, l’esclave n’est pas plus grand que son maître, ni l’apôtre plus grand que celui qui l’a envoyé. 
JHN.13.17	Si vous savez cela, heureux êtes-vous, pourvu que vous le fassiez !
JHN.13.19	Dès maintenant, je vous le dis, avant que la chose arrive, pour que, lorsqu’elle arrivera, vous croyiez que, moi, je suis. 
JHN.13.20	 je vous le dis, qui reçoit celui que j’envoie me reçoit, et qui me reçoit reçoit celui qui m’a envoyé.
JHN.13.22	Les disciples se regardaient les uns les autres et se demandaient de qui il parlait. 
JHN.13.23	Un de ses disciples, celui que Jésus aimait, était placé à table contre le sein de Jésus. 
JHN.13.24	Simon Pierre lui fait signe de lui demander de qui il parlait. 
JHN.13.25	Ce disciple se penche alors tout contre la poitrine de Jésus et lui dit : Seigneur, qui est-ce ? 
JHN.13.26	Jésus lui répond : C’est celui pour qui je tremperai moi-même le morceau et à qui je le donnerai. Il trempe le morceau, le prend et le donne à Judas, fils de Simon l’Iscariote. 
JHN.13.27	C’est alors, après le morceau, que le Satan entra en lui. Jésus lui dit : Ce que tu fais, fais-le vite. 
JHN.13.28	Aucun de ceux qui étaient à table ne sut pourquoi il lui disait cela. 
JHN.13.29	En effet, comme Judas tenait la bourse, quelques-uns pensaient que Jésus lui disait : « Achète ce dont nous avons besoin pour la fête », ou : « Va donner quelque chose aux pauvres. » 
JHN.13.30	Judas prit donc le morceau et sortit aussitôt. Il faisait nuit.
JHN.13.32	Si Dieu a été glorifié en lui, Dieu aussi le glorifiera en lui, il le glorifiera aussitôt. 
JHN.13.33	Mes enfants, je suis avec vous encore un peu. Vous me chercherez ; et comme j’ai dit aux Juifs : « Là où, moi, je vais, vous, vous ne pouvez pas venir », à vous aussi je le dis maintenant.
JHN.13.35	Si vous avez de l’amour les uns pour les autres, tous sauront que vous êtes mes disciples.
JHN.13.37	Seigneur, lui dit Pierre, pourquoi ne puis-je pas te suivre maintenant ? Je suis prêt à me défaire de ma vie pour toi. 
JHN.13.38	Jésus répondit : Tu es prêt à te défaire de ta vie pour moi ! 
JHN.14.2	Il y a beaucoup de demeures dans la maison de mon Père. Sinon, vous aurais-je dit que je vais vous préparer une place ? 
JHN.14.3	Si donc je m’en vais vous préparer une place, je reviens vous prendre auprès de moi, pour que là où, moi, je suis, vous soyez, vous aussi. 
JHN.14.4	Et là où, moi, je vais, vous en savez le chemin.
JHN.14.6	Jésus lui dit : C’est moi qui suis le chemin, la vérité et la vie. Personne ne vient au Père sinon par moi. 
JHN.14.7	Si vous me connaissez, vous connaîtrez aussi mon Père. Et, dès maintenant, vous le connaissez et vous l’avez vu.
JHN.14.9	Jésus lui dit : Il y a si longtemps que je suis avec vous et tu ne me connais pas, Philippe ? Celui qui m’a vu a vu le Père. Comment peux-tu dire, toi : « Montre-nous le Père ! » 
JHN.14.10	Ne crois-tu pas que, moi, je suis dans le Père, et que le Père est en moi ? Les paroles que, moi, je vous dis, je ne les dis pas de ma propre initiative ; c’est le Père qui, demeurant en moi, fait ses œuvres. 
JHN.14.11	Croyez-moi : moi, je suis dans le Père, et le Père est en moi. Sinon, croyez à cause des œuvres elles-mêmes.
JHN.14.13	et tout ce que vous demanderez en mon nom, je le ferai, pour que le Père soit glorifié dans le Fils. 
JHN.14.14	Si vous me demandez quelque chose en mon nom, moi, je le ferai.
JHN.14.16	Moi, je demanderai au Père de vous donner un autre défenseur pour qu’il soit avec vous pour toujours, 
JHN.14.17	l’Esprit de la vérité, que le monde ne peut pas recevoir, parce qu’il ne le voit pas et qu’il ne le connaît pas ; vous, vous le connaissez, parce qu’il demeure auprès de vous et qu’il sera en vous.
JHN.14.19	Encore un peu, et le monde ne me verra plus ; mais vous, vous me verrez, parce que, moi, je vis, et que vous aussi, vous vivrez. 
JHN.14.20	En ce jour-là, vous saurez que, moi, je suis en mon Père, comme vous en moi et moi en vous. 
JHN.14.21	Celui qui m’aime, c’est celui qui a mes commandements et qui les garde. Or celui qui m’aime sera aimé de mon Père ; moi aussi je l’aimerai et je me manifesterai à lui.
JHN.14.23	Jésus lui répondit : Si quelqu’un m’aime, il gardera ma parole, et mon Père l’aimera ; nous viendrons à lui et nous ferons notre demeure auprès de lui. 
JHN.14.24	Celui qui ne m’aime pas ne garde pas mes paroles. Et la parole que vous entendez n’est pas la mienne, mais celle du Père qui m’a envoyé.
JHN.14.26	Mais c’est le Défenseur, l’Esprit saint que le Père enverra en mon nom, qui vous enseignera tout et vous rappellera tout ce que, moi, je vous ai dit.
JHN.14.28	Vous avez entendu que, moi, je vous ai dit : Je m’en vais et je viens à vous. Si vous m’aimiez, vous vous réjouiriez de ce que je vais vers le Père, car le Père est plus grand que moi. 
JHN.14.29	Je vous ai dit ces choses maintenant, avant qu’elles n’arrivent, pour que, lorsqu’elles arriveront, vous croyiez.
JHN.14.31	mais c’est pour que le monde sache que j’aime le Père et que je fais ce que le Père m’a commandé. Levez-vous, partons d’ici.
JHN.15.2	Tout sarment qui, en moi, ne porte pas de fruit, il l’enlève ; tout sarment qui porte du fruit, il le purifie en le taillant, pour qu’il porte encore plus de fruit. 
JHN.15.3	Vous, vous êtes déjà purs, à cause de la parole que je vous ai dite. 
JHN.15.4	Demeurez en moi, comme moi en vous. Tout comme le sarment ne peut de lui-même porter du fruit, s’il ne demeure dans la vigne, vous non plus, si vous ne demeurez en moi. 
JHN.15.5	C’est moi qui suis la vigne ; vous, vous êtes les sarments. Celui qui demeure en moi, comme moi en lui, celui-là porte beaucoup de fruit ; hors de moi, en effet, vous ne pouvez rien faire. 
JHN.15.6	Si quelqu’un ne demeure pas en moi, il est jeté dehors comme le sarment et il se dessèche ; on ramasse les sarments, on les jette au feu et ils brûlent. 
JHN.15.7	Si vous demeurez en moi et que mes paroles demeurent en vous, demandez tout ce que vous voudrez, et cela vous arrivera. 
JHN.15.8	Mon Père est glorifié en ceci : que vous portiez beaucoup de fruit et que vous soyez mes disciples.
JHN.15.10	Si vous gardez mes commandements, vous demeurerez dans mon amour, comme moi j’ai gardé les commandements de mon Père et je demeure dans son amour.
JHN.15.13	Personne n’a de plus grand amour que celui qui se défait de sa vie pour ses amis. 
JHN.15.14	Vous, vous êtes mes amis si vous faites ce que, moi, je vous commande. 
JHN.15.15	Je ne vous appelle plus esclaves, parce que l’esclave ne sait pas ce que fait son maître. Je vous ai appelés amis, parce que je vous ai fait connaître tout ce que j’ai entendu de mon Père. 
JHN.15.16	Ce n’est pas vous qui m’avez choisi, c’est moi qui vous ai choisis et institués pour que, vous, vous alliez, que vous portiez du fruit et que votre fruit demeure ; afin que le Père vous donne tout ce que vous lui demanderez en mon nom.
JHN.15.19	Si vous étiez du monde, le monde serait ami de ce qui lui est propre. Si le monde vous déteste, c’est parce que vous n’êtes pas du monde, alors que, moi, je vous ai choisis du milieu du monde. 
JHN.15.20	Souvenez-vous de la parole que, moi, je vous ai dite : L’esclave n’est pas plus grand que son maître. S’ils m’ont persécuté, ils vous persécuteront aussi ; s’ils ont gardé ma parole, ils garderont aussi la vôtre. 
JHN.15.21	Mais tout cela, ils vous le feront à cause de mon nom, parce qu’ils ne connaissent pas celui qui m’a envoyé. 
JHN.15.22	Si je n’étais pas venu et si je ne leur avais pas parlé, ils n’auraient pas de péché. Maintenant, ils n’ont pas d’excuse pour leur péché. 
JHN.15.23	Celui qui me déteste déteste aussi mon Père. 
JHN.15.24	Si je n’avais pas fait parmi eux les œuvres que nul autre n’a faites, ils n’auraient pas de péché. Maintenant ils ont vu, et ils ont détesté, et moi et mon Père. 
JHN.15.25	Mais c’est pour que soit accomplie cette parole, écrite dans leur loi : 
JHN.15.27	et vous aussi, vous rendrez témoignage, parce que vous êtes avec moi depuis le commencement.
JHN.16.2	Ils vous excluront des synagogues ; l’heure vient même où quiconque vous tuera pensera offrir un culte à Dieu. 
JHN.16.3	Et ils feront cela parce qu’ils n’ont jamais connu ni le Père ni moi. 
JHN.16.4	Je vous ai parlé ainsi pour que, l’heure venue, vous vous souveniez que, moi, je vous l’ai dit.
JHN.16.4	Je ne vous l’ai pas dit depuis le commencement, parce que j’étais avec vous. 
JHN.16.5	Maintenant, je m’en vais vers celui qui m’a envoyé, et aucun de vous ne me demande : « Où vas-tu ? » 
JHN.16.6	Mais parce que je vous ai parlé ainsi, la tristesse a rempli votre cœur. 
JHN.16.7	Cependant, moi, je vous dis la vérité : il est avantageux pour vous que, moi, je m’en aille ; car si je ne m’en vais pas, le Défenseur ne viendra pas à vous ; mais si je m’en vais, je vous l’enverrai. 
JHN.16.8	Quand il sera venu, lui, il confondra le monde en matière de péché, de justice et de jugement : 
JHN.16.9	en matière de péché, parce qu’ils ne mettent pas leur foi en moi ; 
JHN.16.10	en matière de justice, parce que je m’en vais vers le Père, et que vous ne me verrez plus ; 
JHN.16.11	en matière de jugement, parce que le prince de ce monde est jugé.
JHN.16.13	Quand il viendra, lui, l’Esprit de la vérité, il vous conduira dans toute la vérité ; car il ne parlera pas de sa propre initiative, mais il dira tout ce qu’il entendra et il vous annoncera ce qui est à venir. 
JHN.16.14	Lui me glorifiera, parce qu’il prendra de ce qui est à moi pour vous l’annoncer. 
JHN.16.15	Tout ce qu’a le Père est à moi ; c’est pourquoi j’ai dit qu’il prendra de ce qui est à moi pour vous l’annoncer.
JHN.16.17	Quelques-uns de ses disciples se dirent donc les uns aux autres : Qu’est-ce qu’il nous dit là ? « Encore un peu, et vous ne me verrez plus ; puis encore un peu, et vous me verrez », et : « Je m’en vais vers le Père. » 
JHN.16.18	Ils disaient donc : Que dit-il là : « un peu » ? Nous ne savons pas de quoi il parle.
JHN.16.20	 je vous le dis, vous, vous pleurerez et vous vous lamenterez, tandis que le monde se réjouira : vous, vous serez tristes, mais votre tristesse se changera en joie. 
JHN.16.21	La femme, lorsqu’elle accouche, a de la tristesse, parce que son heure est venue ; mais quand elle a donné le jour à l’enfant, elle ne se souvient plus de la détresse, tant elle a de joie qu’un homme soit venu au monde. 
JHN.16.22	Ainsi, vous, maintenant, vous éprouvez de la tristesse ; mais je vous reverrai : votre cœur se réjouira, et personne ne vous enlèvera votre joie.
JHN.16.24	Jusqu’à présent, vous n’avez rien demandé en mon nom. Demandez et vous recevrez, pour que votre joie soit complète.
JHN.16.26	En ce jour-là, vous demanderez en mon nom, et je ne vous dis pas que c’est moi qui demanderai au Père pour vous ; 
JHN.16.27	en effet, le Père lui-même est votre ami, parce que, vous, vous avez été mes amis et vous avez acquis la conviction que, moi, je suis sorti de Dieu. 
JHN.16.28	Je suis sorti du Père et je suis venu dans le monde ; maintenant, je quitte le monde et je vais vers le Père.
JHN.16.30	Maintenant, nous savons que tu sais tout et que tu n’as pas besoin que personne t’interroge ; c’est pourquoi nous croyons que tu es sorti de Dieu. 
JHN.16.31	Jésus leur répondit : Vous croyez, maintenant ? 
JHN.16.32	L’heure vient – elle est venue – où vous serez dispersés chacun de son côté, et où vous me laisserez seul ; mais je ne suis pas seul, car le Père est avec moi. 
JHN.16.33	Je vous ai parlé ainsi pour que vous ayez la paix en moi. Dans le monde, vous connaissez la détresse, mais courage ! Moi, j’ai vaincu le monde.
JHN.17.2	et que, comme tu lui as donné pouvoir sur tous, il donne la vie éternelle à tous ceux que tu lui as donnés. 
JHN.17.3	– Or la vie éternelle, c’est qu’ils te connaissent, toi, le seul vrai Dieu, et celui que tu as envoyé, Jésus-Christ. – 
JHN.17.4	Moi, je t’ai glorifié sur la terre ; j’ai accompli l’œuvre que tu m’as donnée à faire. 
JHN.17.5	Et maintenant, toi, Père, glorifie-moi auprès de toi-même de la gloire que j’avais auprès de toi avant que le monde soit.
JHN.17.7	Maintenant, ils savent que tout ce que tu m’as donné est issu de toi. 
JHN.17.8	Car je leur ai donné les paroles que tu m’as données ; ils les ont reçues ; ils ont vraiment su que je suis sorti de toi, et ils ont cru que c’est toi qui m’as envoyé.
JHN.17.10	– comme tout ce qui est à moi est à toi et ce qui est à toi est à moi – et je suis glorifié en eux. 
JHN.17.11	Je ne suis plus dans le monde ; eux sont dans le monde, et moi, je viens à toi. Père saint, garde-les en ton nom, ce nom que tu m’as donné, pour qu’ils soient un comme nous. 
JHN.17.12	Lorsque j’étais avec eux, moi, je les gardais en ton nom, ce nom que tu m’as donné. Je les ai préservés, et aucun d’eux ne s’est perdu, sinon celui qui est voué à la perdition, pour que l’Ecriture soit accomplie. 
JHN.17.13	Maintenant, je viens à toi, et je parle ainsi dans le monde pour qu’ils aient en eux ma joie, complète. 
JHN.17.14	Moi, je leur ai donné ta parole, et le monde les a détestés, parce qu’ils ne sont pas du monde, comme moi, je ne suis pas du monde. 
JHN.17.15	Je ne te demande pas de les enlever du monde, mais de les garder du Mauvais. 
JHN.17.16	Ils ne sont pas du monde, comme moi, je ne suis pas du monde. 
JHN.17.17	Consacre-les par la vérité : c’est ta parole qui est la vérité. 
JHN.17.18	Comme tu m’as envoyé dans le monde, moi aussi je les ai envoyés dans le monde. 
JHN.17.19	Et moi, je me consacre moi-même pour eux, pour qu’eux aussi soient consacrés par la vérité.
JHN.17.21	afin que tous soient un, comme toi, Père, tu es en moi et moi en toi, qu’eux aussi soient en nous, pour que le monde croie que c’est toi qui m’as envoyé. 
JHN.17.22	Et moi, je leur ai donné la gloire que tu m’as donnée, pour qu’ils soient un comme nous, nous sommes un, 
JHN.17.23	– moi en eux et toi en moi – pour qu’ils soient accomplis dans l’unité et que le monde sache que c’est toi qui m’as envoyé et que tu les as aimés comme tu m’as aimé.
JHN.17.25	Père juste, le monde ne t’a jamais connu ; mais moi, je t’ai connu, et eux, ils ont su que tu m’as envoyé. 
JHN.17.26	Je leur ai fait connaître ton nom et je le leur ferai connaître, pour que l’amour dont tu m’as aimé soit en eux, comme moi en eux.
JHN.18.4	Jésus, sachant tout ce qui allait lui arriver, s’avança et leur dit : Qui cherchez-vous ? 
