GEN.1.1	In het begin maakte God de hemelen en de aarde. 
HOS.5.6	Ten slotte zullen zij met hun schapen en runderen komen om de 
HOS.5.7	Want zij zijn de 
HOS.5.8	Sla alarm! Blaas op de bazuin in Gibea en op de trompet in Rama. Waarschuw de mensen uit Betel en Benjamin.
HOS.5.9	Luister, Israël! Ik deel u mijn besluit mee, Ik maak het bekend onder de stammen van Israël: op de dag van uw veroordeling zult u volledig worden verwoest. 
HOS.5.10	De leiders van Juda veroveren gebied, als indringers hebben zij grensstenen verlegd. Daarom zal Ik mijn woede over hen uitstorten als een waterval. 
HOS.5.11	Israël wordt verpletterd en gebroken door zijn vonnis, omdat zij vastbesloten was afgoden te volgen.
HOS.5.12	Ik zal haar schade toebrengen als een mot bij de wol en Judaʼs kracht ondermijnen als door verrotting. 
HOS.5.13	Toen Israël en Juda zagen hoe ziek zij waren, ging Israël naar de grote koning van Assyrië, maar deze kon hen niet helpen of genezen van hun gezwel. 
HOS.5.14	Als een leeuw zal Ik Israël en Juda aan stukken scheuren. Ik zal hen wegslepen als een prooi en iedereen die hen te hulp komt, wegjagen. 
HOS.5.15	Ik zal hen in de steek laten en naar huis gaan tot zij hun schuld bekennen en Mij weer zoeken. Want zodra zij in de problemen raken, zullen zij weer verlangend naar Mij uitzien.’
HOS.6.1	‘Zij zullen zeggen: “Kom, laten we teruggaan naar de 
HOS.6.2	Hij zal ons na twee dagen weer overeind helpen en op de derde dag zullen wij, weer helemaal opgeknapt, met Hem leven. 
HOS.6.3	Ja, wij verlangen naar de 
HOS.6.4	Wat zal Ik met u doen, Israël en Juda? Want uw liefde verdwijnt als wolken in de morgen en verdampt als dauw in de vroege ochtend. 
HOS.6.5	Ik stuurde mijn profeten om u te waarschuwen voor uw ondergang. Ik heb u harde klappen toegebracht met mijn woorden en met de dood bedreigd. Onverwacht werd u getroffen door mijn veroordeling, als door een plotseling doorbrekend licht. 
HOS.6.6	Ik wil uw offers niet, Ik wil uw liefde. Ik hoef uw brandoffers niet, Ik wil dat u Mij kent.
HOS.6.7	Maar u bent net als Adam: u hebt mijn verbond verbroken en bent Mij zo ontrouw geworden. 
HOS.6.8	De bewoners van Gilead zijn misdadigers, de stad is vol bloedsporen. 
HOS.6.9	Zij zijn als een bende bandieten die loert op slachtoffers. Troepen priesters plegen moorden op de weg naar Sichem en bedrijven schandelijke misdaden. 
HOS.6.10	Ik heb in Israël iets afschuwelijks gezien: Israël liep afgoden achterna en werd zo verontreinigd. 
HOS.6.11	Ook u, Juda, zult uw straf nog oogsten. En Ik wilde u zo graag bevrijden!’
HOS.7.1	‘Ik wilde Israël vergeven, maar haar zonden bleken reusachtig groot te zijn. In Samaria lijkt iedereen wel een leugenaar, dief of bandiet te zijn! 
HOS.7.2	Haar inwoners schijnen er nooit aan te denken dat Ik hun zonden in gedachten houd. Zij zijn omringd door hun misdaden, Ik zie ze voortdurend.
HOS.7.3	De koning geniet van hun slechtheid en de vorsten stemmen in met hun leugens. 
HOS.7.4	Het zijn allemaal echtbrekers. Zoals een bakkersoven voortdurend heet is, vanaf het kneden van het deeg totdat het deeg gerezen is, zo branden zij ook voortdurend van verlangen naar wellust. 
HOS.7.5	Op de verjaardag van de koning bedrinken de vorsten zich tot zij er doodziek van zijn. En de koning drinkt mee met hen die hem belachelijk maken.
HOS.7.6	Hun harten gloeien als een oven van hun listen. Hun complot smeult ʼs nachts als een oven, maar laait ʼs ochtends hoog op. 
HOS.7.7	Zij vermoorden hun koningen, de een na de ander, en niemand van hen roept Mij te hulp.
HOS.7.8	Israël vermengt zich met de heidenen en neemt hun zondige levenswijze over. Zo wordt zij zo waardeloos als een halfgare cake! 
HOS.7.9	Het vereren van vreemde goden heeft Israël van haar kracht beroofd, maar zij is zich dat niet bewust. Israëls haar wordt grijs, maar zij ziet niet in hoe oud en zwak zij wordt. 
HOS.7.10	Israël wordt openlijk aangeklaagd door haar eigen hoogmoed en toch keert zij niet terug naar de 
HOS.7.11	Zij gedraagt zich als een onnozele duif, zonder verstand, want zij roept Egypte te hulp of trekt naar Assyrië. 
HOS.7.12	Maar terwijl zij vliegt, werp Ik mijn vangnet over haar en haal haar neer als een vogel uit de lucht. Ik zal haar straffen voor haar slechte gedrag.
HOS.7.13	Mijn volk gaat ten onder, want het is van Mij weggevlogen! Laten de mensen maar omkomen, want zij hebben tegen Mij gezondigd. Ik wilde hen wel verlossen, maar zij vertelden leugens over Mij. 
HOS.7.14	Zij brengen slapeloze nachten door vanwege hun zorgen, maar willen mijn hulp niet inroepen. In plaats daarvan aanbidden zij heidense goden en vragen die om graan en jonge wijn, maar van Mij keren zij zich af. 
HOS.7.15	Ofschoon Ik het was die hen heb geoefend en sterk gemaakt, komen zij tegen Mij in opstand. 
HOS.7.16	Zij kijken overal om zich heen, behalve naar omhoog, naar Mij. Zij zijn als een kromme boog die altijd zijn doel mist. Hun leiders zullen sneuvelen door het zwaard van de vijand vanwege hun onbeschaamde gedrag tegen Mij. En heel Egypte zal hen hierom uitlachen.’
HOS.8.1	‘Blaas op de hoorn, sla alarm! Als een arend stort de vijand zich op het volk van God, omdat het zijn verbond heeft verbroken en tegen zijn wetten in opstand is gekomen. 
HOS.8.2	Nu bidden en smeken de Israëlieten: “Mijn God, help ons. U bent immers onze God!” 
HOS.8.3	Maar het is te laat! Israël heeft haar kans moedwillig voorbij laten gaan en wordt nu door haar vijanden achtervolgd.
HOS.8.4	Zij hebben koningen en vorsten aangesteld zonder Mij erin te kennen. Van zilver en goud hebben zij afgodsbeelden gesmeed en zo hun eigen ondergang bewerkt. 
HOS.8.5	Samaria, dat afgodsbeeld van een kalf dat u hebt vervaardigd, is door en door verwerpelijk! U maakte Mij laaiend van woede. Wanneer zal er eindelijk eens iemand onder u worden gevonden die rein is? 
HOS.8.6	Wanneer zult u inzien dat dit kalf van u door mensenhanden is gemaakt? Het is God niet! Daarom zal het aan stukken worden geslagen.
HOS.8.7	Zij hebben wind gezaaid en zullen storm oogsten. Hun korenhalmen dragen geen aren en het gewas levert dus geen meel op. Als er al iets wordt geoogst, eten vreemdelingen het op.
HOS.8.8	Israël is verwoest. Zij ligt tussen de volken als een gebroken pot. 
HOS.8.9	Zij is als een eenzaam rondzwervende, wilde ezel. Zij heeft geen andere vrienden dan die zij heeft gehuurd. Assyrië is één van hen. 
HOS.8.10	Maar ook al huurt zij vrienden uit vele volken, Ik zal haar in ballingschap sturen. Dan zal zij eindelijk een tijdje verlost zijn van de last van die mooie koning van haar.
HOS.8.11	Israël heeft talrijke altaren gebouwd, maar niet om Mij te aanbidden! Zij gebruikte die altaren om te zondigen. 
HOS.8.12	Zelfs al gaf Ik haar tienduizend wetten, dan zou zij nog zeggen dat zij niet voor haar waren bedoeld. Zij zouden van toepassing zijn op mensen ver weg. 
HOS.8.13	Haar volk is dol op het offerritueel, maar Míj zegt het niets. Ik zal hen ter verantwoording roepen voor hun zonden en hen straffen. Ik ga hen terugsturen naar Egypte.
HOS.8.14	Israël heeft grote paleizen gebouwd en Juda heeft talloze versterkte steden gesticht, maar zij hebben hun maker vergeten. Daarom zal Ik hun paleizen en vestingen in vlammen laten opgaan.’
HOS.9.1	Israël, verheug u niet meer uitbundig zoals de andere volken, want u bent uw God ontrouw geworden en was altijd uit op hoerenloon op elke dorsvloer. 
HOS.9.2	Daarom zullen uw oogsten tegenvallen en uw druiven aan de wijnstok verdorren. 
HOS.9.3	U zult niet langer hier in dit land van de 
HOS.9.4	Daar, ver van huis, zult u geen wijn mogen sprenkelen als offer aan God. Want Hij zal geen genoegen vinden in de offers die daar worden gebracht: zij zijn verontreinigd, net als het voedsel van hen die in de rouw zijn. Wie zulke offers eet, wordt onrein. Zij mogen dit voedsel wel voor zichzelf gebruiken, maar niet aan de 
HOS.9.5	Wat zult u doen op hoogtijdagen en op feestdagen voor de 
HOS.9.6	wanneer u als slaven naar Assyrië wordt weggeleid? Wie zal uw achtergelaten bezittingen erven? Egypte! Zij zal uw doden verzamelen en Memfis zal hen begraven. Doornen zullen uw kostbaarheden bederven en distels uw tenten overwoekeren.
HOS.9.7	Het moment van Israëls bestraffing is aangebroken. Het is bijna tijd voor vergelding en Israël zal het goed merken! De profeet verliest zijn bezinning. De man die door de geest wordt geleid, wordt waanzinnig door de omvang van uw ongerechtigheid en uw vijandschap tegen God. 
HOS.9.8	Ik stelde profeten aan om te waken over Israël, maar de mensen sneden hen aan alle kanten de pas af en toonden openlijk hun haat jegens hen, zelfs in de tempel van God.
HOS.9.9	Het volk is even diep gezonken als vroeger in Gibea. Maar God vergeet hun zonden niet. Hij zal het volk ervoor straffen.
HOS.9.10	‘O Israël, Ik herinner Mij nog goed die eerste dagen toen Ik u door de woestijn leidde! Wat was uw liefde verfrissend! Wat was het verrukkelijk, als de eerste vijgen aan het begin van het seizoen! Maar daarna verliet u Mij voor Baäl-Peor. U gaf zich aan afgoden en werd al gauw even weerzinwekkend als zij. 
HOS.9.11	Israëls luister zal wegvliegen als een vogel, want uw kinderen zullen sterven bij hun geboorte of nog in de moederschoot of zelfs niet worden verwekt. 
HOS.9.12	En mochten uw kinderen opgroeien, dan zal Ik ze van u afnemen tot er geen levende ziel meer over is. Ja, het zal een heel droeve dag zijn wanneer Ik wegga en u alleen achterlaat. 
HOS.9.13	Voor Mij was Israël ooit als een jonge palm in een oase, maar ze moet nu haar kinderen uitleveren aan moordenaars. 
HOS.9.14	“O 
HOS.9.15	In Gilgal bleek al dat ze zondigden. Daar heb Ik hen ook voor het eerst gehaat. Ik zal ze uit mijn land verdrijven vanwege hun afgoderij. Ik zal hen niet langer liefhebben, want al hun leiders zijn rebellen. 
HOS.9.16	Israël is tot ondergang gedoemd. Haar wortel is verdord en zij zal geen vrucht meer dragen. Mocht zij nog nakomelingen krijgen, dan zal Ik zelfs haar lievelingskinderen doden.’
HOS.9.17	Mijn God zal hen verwerpen, omdat ze niet wilden luisteren. Ze zullen rondzwerven onder andere volken, zonder eigen huis of haard.
HOS.10.1	Wat is Israël welvarend, als een wijnstok vol druiventrossen. Maar hoe meer rijkdom God haar schonk, hoe meer altaren zij bouwde voor heidense goden. Hoe rijker de oogst, hoe mooier haar gewijde stenen. 
HOS.10.2	Het hart van deze mensen neemt een huichelachtige houding aan tegenover God. Zij zijn schuldig en zullen moeten boeten. God zal hun heidense altaren verwoesten en hun gewijde stenen vernielen. 
HOS.10.3	Dan zullen zij zeggen: ‘Wij hebben de 
HOS.10.4	Zij beloven dingen die zij toch niet van plan zijn te doen. Hun rechtspraak is als giftig onkruid in de voren van een akker. 
HOS.10.5	De bevolking van Samaria maakt zich bezorgd over het afgodsbeeld van een kalf in Betel. Het volk en de afgodspriesters rouwen en treuren om de vergane glorie van het beeld. 
HOS.10.6	Maar het ding zal met hen in ballingschap meegaan naar Assyrië en als geschenk worden gegeven aan de grote koning daar. Israël zal worden uitgelachen, omdat zij op dit beeld vertrouwde en zal te schande worden gemaakt. 
HOS.10.7	Samaria wordt verwoest en haar koning zal verdwijnen als een stuk hout in de golven. 
HOS.10.8	De afgodenaltaars waar Israël bedrog pleegde en zondigde, zullen verbrokkelen. Dorens en distels zullen de restanten overwoekeren. En de mensen zullen tegen bergen roepen: ‘Val op ons neer,’ en tegen de heuvels: ‘Bedek ons!’
HOS.10.9	‘In Gibea is het begonnen, toen hebt u voor het eerst gezondigd en bent er sindsdien niet mee opgehouden. U hebt daarna nooit meer enige vooruitgang geboekt. Was het niet terecht dat de mannen van Gibea werden weggevaagd? 
HOS.10.10	Ik zal u straffen voor uw zonden. Ik ga de legers van verschillende volken verzamelen om u daarmee de les te lezen over uw zonden. 
HOS.10.11	Israël was als een goed getrainde jonge koe die gewillig graan dorste. Ik heb haar nooit een zwaar juk opgelegd, want Ik spaarde liever haar mooie nek. Maar nu heb Ik haar ingespannen, Juda zal ploegen en Jakob zal eggen. 
HOS.10.12	Zaai gerechtigheid uit en u zult mijn liefde oogsten. Ontgin nieuw land, want het is nu de tijd om de 
HOS.10.13	U hebt goddeloosheid verbouwd en misdaad geoogst. U hebt uw verdiende loon gekregen door te vertrouwen op leugens: u geloofde dat militair overwicht en een grote troepenmacht uw land konden beschermen! 
HOS.10.14	Daarom zal uw volk worden getroffen door de verschrikkingen van de oorlog en al uw vestingen zullen ten val komen, net als Bet-Arbel, dat werd verwoest door Salman. Zelfs moeders en hun kinderen werden toen verpletterd. 
HOS.10.15	Dit zal ook uw lot zijn, Israël, vanwege uw grote zonden. Op een morgen zal de koning van Israël voorgoed worden uitgeschakeld.’
HOS.11.1	‘Toen Israël nog een kind was, hield Ik ervan als van een zoon en haalde Ik het volk uit Egypte. 
HOS.11.2	Maar hoe meer Ik haar riep, des te meer rebelleerde zij, bracht offers aan Baäl en brandde wierook voor gesneden afgodsbeelden. 
HOS.11.3	Ik heb haar leren lopen, Ik hield haar in mijn armen, maar zij wilde niet erkennen dat Ik het was die haar genas. 
HOS.11.4	Zoals een mens zijn lievelingsrund leidt, zo leidde Ik Israël met banden van liefde. Ik tilde haar juk op als het tegen de kaken drukte. Ik boog Mij naar haar over en gaf haar te eten. 
HOS.11.5	Mijn volk zal terugkeren naar Egypte, ze worden naar Assyrië weggevoerd, nu ze niet naar Mij willen terugkeren!
HOS.11.6	Er zal oorlog woeden in hun steden. Hun vijanden zullen door hun poorten breken en hen vertrappen in hun vestingen.
HOS.11.7	Zij zijn vastbesloten van Mij te blijven afdwalen. Zij worden geroepen, maar niemand van hen staat op.
HOS.11.8	Israël, hoe zou Ik u ooit kunnen prijsgeven? Hoe zou Ik u ooit kunnen laten gaan? Zou Ik u aan uw lot kunnen overlaten zoals Adma en Seboïm? Mijn hart keert zich in Mij om bij deze gedachte. Ik verlang er hevig naar u te helpen! 
HOS.11.9	Nee, Ik zal u niet zo zwaar straffen als mijn woede Mij ingeeft. Ik zal Israël niet verder vernietigen. Want Ik ben God en geen mens. Ik ben de Heilige God die bij u woont en Ik ben niet gekomen om te verwoesten. 
HOS.11.10	Het volk zal achter de 
HOS.11.11	Als een zwerm vogels zullen zij uit Egypte komen aanvliegen en als duiven aanwieken uit Assyrië. Ik zal hen veilig naar huis brengen,’ belooft de 
HOS.12.1	‘Israël heeft Mij omringd met leugens en Mij bedrogen. Maar Juda heeft nog een band met Mij en blijft Mij, de Heilige, nog trouw. 
HOS.12.2	Israël hoedt de wind en jaagt de hele dag de droge oostenwind na. Om hulp te krijgen, geeft zij geschenken aan Assyrië en Egypte, maar in ruil daarvoor ontvangt zij alleen maar waardeloze beloften.
HOS.12.3	Maar de 
HOS.12.4	Bij zijn geboorte vocht hij met zijn broer en als volwassen man streed hij tegen God. 
HOS.12.5	Ja, hij worstelde met de Engel en won. Onder tranen smeekte hij Hem om zijn zegen. Daar in Betel heeft hij God ontmoet. En God sprak met hem. 
HOS.12.6	De 
HOS.12.7	Ga toch terug naar God. Laat uw leven leiden door het principe van de liefde en rechtvaardigheid. En verwacht altijd veel van Hem die uw God is.
HOS.12.8	Maar, nee, mijn volk gedraagt zich als een slimme handelaar die valse gewichten gebruikt. Afpersen is hun lust en leven. 
HOS.12.9	Israël verklaart trots: “Kijk eens hoe rijk ik ben! Allemaal eigenhandig verdiend!” Maar rijkdom kan geen tegenwicht vormen voor uw zonden.
HOS.12.10	Ik ben dezelfde 
HOS.12.11	Ik stuurde mijn profeten om u te waarschuwen door visioenen en gelijkenissen.’ 
HOS.12.12	Maar de zonde van Gilgal tiert nog welig. Lange rijen altaren, opgesteld als voren in een veld, worden gebruikt om te offeren aan de afgoden. En ook Gilead is vol dwazen die afgoden aanbidden.
HOS.12.13	Jakob vluchtte naar Aram en kreeg zijn vrouw door te werken als schapenhoeder. 
HOS.12.14	Daarna leidde de 
HOS.12.15	Israël heeft de 
HOS.13.1	Wanneer Israël vroeger sprak, beefden de volken van angst, want Israël was een dappere held. Maar de Israëlieten gingen Baäl aanbidden en hun vonnis was geveld. 
HOS.13.2	En ook nu nog blijven zij voortdurend zondigen. Zij gieten zilveren afgodsbeelden, gemaakt door kundige edelsmeden. ‘Offer hieraan!’ zeggen zij en zij kussen deze kalveren. 
HOS.13.3	Daarom zullen zij verdwijnen als de ochtendmist, als dauw die in alle vroegte verdampt, als kaf dat wordt weggeblazen door de wind, als rook die het raam uit vliegt.
HOS.13.4	‘Ik alleen ben de 
HOS.13.5	Ik heb voor u gezorgd in de dorre, droge woestijn. 
HOS.13.6	Maar toen u uw buik had volgegeten, werd u trots en vergat Mij. 
HOS.13.7	Daarom zal Ik Mij als een leeuw op u storten. Of Ik ga als een panter aan de kant van de weg op de loer liggen. 
HOS.13.8	Ik zal u aanvallen als een berin die van haar jongen is beroofd, en u aan stukken scheuren en verslinden als een leeuw. 
HOS.13.9	O Israël, als Ik u vernietig, wie kan u dan nog redden? 
HOS.13.10	Waar is uw koning? Waarom roept u hem niet te hulp? Waar zijn alle leiders van het land? Vroeger riep u: “Geef ons een koning en regeringsleiders!” Waar zijn zij nu? 
HOS.13.11	In mijn woede gaf Ik u koningen en nam hen uit boosheid weer weg. 
HOS.13.12	Israëls zonden zijn geoogst en opgeslagen tot het moment van het vonnis. 
HOS.13.13	Hij mag opnieuw worden geboren, maar is als een kind dat liever in de moederschoot blijft. Wat dwaas en onverstandig! 
HOS.13.14	Zou Ik hem verlossen uit het dodenrijk of loskopen van de dood? Dood, waar zijn uw verschrikkingen? Dodenrijk, wat voor kwaad kunt u nog doen? Ik ken geen medelijden meer. 
HOS.13.15	Hij werd de vruchtbaarste onder zijn broeders genoemd, maar de oostenwind, de wind van de 
HOS.14.1	Samaria zal worden gestraft, omdat zij tegen haar God is opgestaan. Haar bevolking zal worden gedood door een binnenvallend leger, haar babyʼs zullen doodgesmeten worden en haar zwangere vrouwen opengereten.
HOS.14.2	Israël, ga terug naar de 
HOS.14.3	Belijd uw schuld! Ga terug naar de 
HOS.14.4	Assyrië kan ons niet verlossen en ons militair overwicht baat ons niets. Wij zullen nooit meer tegen onze afgoden zeggen: “U bent onze God.” Want van U alleen ervaren de wezen medelijden.’
HOS.14.5	‘Dan zal Ik u genezen van uw afgoderij en ontrouw. Ik zal u liefhebben, uit eigen vrije wil, want mijn toorn zal voorgoed bedaren. 
HOS.14.6	Als dauw zal Ik Israël verfrissen. Zij zal bloeien als een lelie en haar wortels diep uitslaan als de ceders van de Libanon. 
HOS.14.7	Haar takken zullen uitlopen en zij zal zo mooi zijn als de olijfboom en heerlijk geuren als de wouden van de Libanon. 
HOS.14.8	Haar bevolking zal weer rusten onder zijn schaduw. Zij zal als vanouds koren verbouwen en bloeien als de wijnstok en beroemd zijn als de wijn van de Libanon.
HOS.14.9	Israël, blijf bij de afgoden uit de buurt! Ik ben degene die u verhoort en voor u zorgt. Ik ben als een altijd groene boom, Ik draag altijd vrucht, Ik zal u blijven zegenen.’
HOS.14.10	Ieder die verstandig is, moet acht slaan op deze dingen. Hij zal dan in staat zijn ze op hun juiste waarde te schatten. Want de wegen van de 
JOL.1.1	Joël, de zoon van Petuël, ontving deze boodschap van de 
JOL.1.2	‘Luister, leiders van mijn volk! Ja, laat iedereen luisteren! Hebt u ooit in uw leven of voor zover u zich uit de geschiedenis kunt herinneren, gehoord van wat Ik u nu ga vertellen? 
JOL.1.3	Vertel het in de toekomst aan uw kinderen. Geef dit vreselijke verhaal door van generatie op generatie.
JOL.1.4	Nadat de knaagsprinkhanen uw gewassen hebben opgegeten, zullen de gewone sprinkhanen komen om de rest kaal te vreten. En na hen zullen de roofsprinkhanen komen! En daarna ook nog de veldsprinkhanen!
JOL.1.5	Word wakker, dronkaards, want alle druiven zijn opgevreten en uw wijn is van u weggenomen. 
JOL.1.6	Een reusachtige zwerm sprinkhanen is neergestreken op het land. Het is een machtig, ontelbaar leger, met tanden zo scherp als die van een leeuw. 
JOL.1.7	Het heeft mijn wijnstok vernield en de schors van mijn vijgenboom afgestroopt. Alleen de stam en zijn naakte, witte ranken zijn nog over.
JOL.1.8	Huil bittere tranen en trek rouwkleren aan als een bruid bij de dood van haar bruidegom. 
JOL.1.9	Wég zijn alle graanoffers en sprenkeloffers die voor de tempel van de 
JOL.1.10	De velden zijn verwoest. De aarde treurt, want al het koren is verdwenen, de jonge wijn opgedroogd en de voorraad olijfolie sterk geslonken. 
JOL.1.11	Wie het land bewerken, mogen zich inderdaad verslagen voelen. Want de tarwe en de gerst, ja, de hele oogst is verloren gegaan. De wijnbouwers mogen gerust hun tranen laten vloeien. 
JOL.1.12	De wijnstokken zijn verdord, de vijgenbomen stervend. De granaatappelbomen en palmen verdrogen en de appels verschrompelen aan de boom. Alle vreugde is met hen verdord.
JOL.1.13	Priesters, trek uw rouwkleding aan. Dienaren van mijn God, ga de hele nacht huilend voor het altaar op de grond liggen. Want er zijn geen graanoffers en geen sprenkeloffers meer voor u overgebleven. 
JOL.1.14	Roep een heilige vastentijd uit. Houd een plechtige bijeenkomst. Verzamel de leiders en de hele bevolking in de tempel van de 
JOL.1.15	Pas op, die vreselijke dag van de 
JOL.1.16	Ons voedsel zal voor onze ogen verdwijnen. Alle vertoon van blijdschap en vreugde in de tempel van God zal tot het verleden behoren. 
JOL.1.17	Het zaad ligt in de grond te verschrompelen, de voorraadschuren en graanopslagplaatsen zijn leeg en het koren op het veld is verdroogd. 
JOL.1.18	Hoor het vee eens jammeren van de honger! Kudden runderen dwalen rond, maar vinden nergens een weide. Zelfs de schapen hebben zwaar te lijden. 
JOL.1.19	, help ons! Door de verzengende hitte zijn alle weiden vergeeld en alle bomen verschroeid. 
JOL.1.20	Zelfs de wilde dieren roepen tot U om hulp, want de beken liggen droog en alle weiden zijn verbrand.’
JOL.2.1	Blaas op de trompet in Jeruzalem! Sla alarm op mijn heilige berg! Laat iedereen beven van angst, want de dag van de 
JOL.2.2	Het is een dag van dikke duisternis, donkerheid en zwarte wolken. En wat een reusachtig leger! Het overdekt de bergen alsof het morgenrood zich erover verspreidt. Nog nooit heeft men zoiets gezien en zoiets zál ook nooit meer worden gezien in alle komende generaties op deze aarde! 
JOL.2.3	Vuur gaat voor hen uit en laait ook achter hen op. Vóór hen is het land zo mooi als de hof van Eden, maar wanneer ze er voorbij zijn, ligt er niets dan een woestenij. Het is onmogelijk aan hen te ontsnappen. 
JOL.2.4	Zij zien eruit als paarden en rennen razendsnel. 
JOL.2.5	Zij maken een herrie als ratelende wagens die over de toppen van de bergen jakkeren. Zij bulderen als vuur dat een stoppelveld verteert. Zij lijken op een machtig leger dat in slagorde staat opgesteld, klaar voor de strijd. 
JOL.2.6	Bij hun naderen breekt alle volken het koude zweet uit en alle gezichten verbleken van angst. 
JOL.2.7	Als soldaten van de infanterie voeren ze charges uit. Zij beklimmen de muur als ervaren strijders. Zij gaan recht vooruit, zonder elkaar voor de voeten te lopen of te verdringen.
JOL.2.8	Elk gaat zijn eigen weg. Geen wapen kan hen tegenhouden en in hun gelederen ontstaan geen openingen. 
JOL.2.9	Zij stormen op de stad aan, klimmen tegen de muren op en dringen door de vensters als een dief de huizen binnen. 
JOL.2.10	De aarde beeft voor hun komst en de hemel trilt van angst. De zon en de maan worden verduisterd en de sterren verbleken.
JOL.2.11	De 
JOL.2.12	Daarom zegt de 
JOL.2.13	Scheur van verdriet uw hart, niet uw kleren!’ Ga terug naar de 
JOL.2.14	Wie weet of Hij niet op zijn schreden terugkeert en berouw heeft en u zal zegenen. Misschien zal Hij u zo rijk zegenen dat er voldoende voedsel overblijft om de 
JOL.2.15	Blaas op de trompet in Sion! Roep een heilige vastentijd uit. Laat een plechtige bijeenkomst houden. 
JOL.2.16	Verzamel iedereen, ouderen en jongeren, kinderen en zuigelingen. Laat de bruidegom uit zijn kamer komen en de bruid het bruidsvertrek verlaten. Het moet een heilige bijeenkomst zijn. 
JOL.2.17	Laat de priesters, de dienaren van de 
JOL.2.18	Dan zal de 
JOL.2.19	Hij zal u antwoorden: ‘Luister, Ik zal u koren, jonge wijn en olijfolie geven, u zult meer dan voldoende hebben. Ik zal u niet meer overgeven aan andere volken en laten bespotten. 
JOL.2.20	Ik zal die legers uit het noorden verdrijven en hen wegjagen naar een dorre wildernis waar zij zullen sterven. De ene helft zal in de Dode Zee worden gedreven en de andere helft in de Middellandse Zee. Daar zal hun rottingslucht opstijgen. God heeft voor u een groot wonder gedaan.’
JOL.2.21	Wees niet bang, mijn volk, juich van vreugde. Want de 
JOL.2.22	Laten de wilde dieren hun honger vergeten, want de weiden zullen weer groen worden en de bomen zullen weer uitbotten. De vijgenboom en de wijnstok zullen vrucht dragen, net als vroeger. 
JOL.2.23	Wees blij, inwoners van Jeruzalem, en verheug u in de 
JOL.2.24	Het koren zal hoog liggen opgestapeld op de dorsvloeren en de perskuipen zullen overstromen van jonge wijn en olijfolie.
JOL.2.25	‘Ik zal u de oogsten vergoeden die de sprinkhanen al die jaren hebben opgegeten. U krijgt terug wat verloren ging door die grote legermacht die Ik op u had losgelaten. 
JOL.2.26	U zult weer ruimschoots voldoende voedsel hebben. Dan zult u de 
JOL.2.27	En u zult weten dat Ik hier bij mijn volk Israël ben en dat Ik alleen de 
JOL.2.28	En daarna zal Ik mijn Geest over alle mensen uitstorten. Uw zonen en dochters zullen Gods woorden spreken. Oudere mannen zullen betekenisvolle dromen hebben en uw jonge mannen zullen visioenen zien. 
JOL.2.29	Ik zal mijn Geest óók uitstorten op uw slaven, mannen zowel als vrouwen, 
JOL.2.30	en Ik zal wonderlijke dingen laten gebeuren in de hemel en op de aarde: bloed, vuur en rookwolken. 
JOL.2.31	De zon zal veranderen in duisternis en de maan in bloed, voordat die grote en ontzagwekkende dag van de 
JOL.2.32	Ieder die dan de naam van de 
JOL.3.1	‘In die tijd, wanneer Ik het lot van Juda en Jeruzalem verander,’ zegt de 
JOL.3.2	‘zal Ik alle volken van de wereld verzamelen in het “Dal waar de 
JOL.3.3	Zij hebben een deel van mijn volk tot slaaf gemaakt en verhandelden een jongen voor een prostituee en een meisje voor genoeg wijn om dronken van te worden.
JOL.3.4	Probeer niet tussenbeide te komen, Tyrus en Sidon! Willen jullie wraak op Mij nemen, steden van de Filistijnen? Pas op of Ik zal snel terugslaan en de wraak op jullie eigen hoofden laten neerkomen! 
JOL.3.5	Mijn zilver en goud en andere kostbare schatten hebben jullie weggenomen en naar de afgodentempels gebracht. 
JOL.3.6	Jullie hebben de inwoners van Juda en Jeruzalem verkocht aan de Grieken die hen meenamen, ver weg naar hun eigen land. 
JOL.3.7	Maar Ik zal hen weer terugbrengen uit al die plaatsen waarheen jullie hen hebben verkocht en Ik zal jullie je verdiende loon geven voor wat jullie hebben gedaan. 
JOL.3.8	Ik zal jullie zonen en dochters verkopen aan de mensen in Juda en zij zullen hen doorverkopen aan de Sabeeërs die ver weg wonen,’ zegt de 
JOL.3.9	Kondig dit wijd en zijd aan: maak u klaar voor de oorlog! Laten de beste soldaten aantreden en mobiliseer het leger! 
JOL.3.10	Smelt uw ploegen en maak er zwaarden van. Van uw snoeimessen kunt u speren maken. Laten de zwakken dapper en sterk zijn. 
JOL.3.11	Maak u klaar en verzamel u, alle omringende volken. Ja, 
JOL.3.12	‘Laten alle volken zich verzamelen in het “Dal waar de 
JOL.3.13	Sla de sikkel er nu in, want het is tijd om te oogsten. Vooruit, trap de druiven plat in de perskuip, want hij is boordevol en stroomt zelfs over van de goddeloosheid van die mensen.’ 
JOL.3.14	Massaʼs mensen wachten in het dal op hun vonnis. Want de dag van de 
JOL.3.15	De zon en de maan zullen worden verduisterd en de sterren zullen verbleken.
JOL.3.16	De 
JOL.3.17	‘Dan zult u eindelijk weten dat Ik, de 
JOL.3.18	Dan zal jonge wijn van de bergen druipen en melk van de heuvels vloeien. De droge beekbeddingen van Juda zullen weer boordevol water staan en er zal een bron ontspringen in de tempel van de 
