MAT.1.1	Книга родства Иисуса Христа, сына давидова, сына авраамля. 
2CO.12.7	И за премногая откровения да не превозношуся, дадеся ми пакостник плоти, аггел сатанин, да ми пакости деет, да не превозношуся. 
2CO.12.8	О сем трикраты Господа молих, да отступит от мене, 
2CO.12.9	и рече ми: довлеет ти благодать моя: сила бо моя в немощи совершается. Сладце убо похвалюся паче в немощех моих, да вселится в мя сила Христова. 
2CO.12.10	Темже благоволю в немощех, в досаждениих, в бедах, во изгнаниих, в теснотах по Христе: егда бо немощствую, тогда силен есмь. 
2CO.12.11	Бых несмыслен хваляся: вы мя понудисте. Аз бо должен бех от вас хвалимь бывати: ничимже бо лишихся первейших апостол, аще и ничтоже есмь: 
2CO.12.12	знамения бо апостолова содеяшася в вас во всяцем терпении, в знамениих и чудесех и силах. 
2CO.12.13	Что бо есть, егоже лишистеся паче прочих Церквей, разве точию яко аз сам не стужих вам? Дадите ми неправду сию. 
2CO.12.14	Се третие готов есмь приити к вам, и не стужу вам: не ищу бо ваших, но вас. Не должна бо суть чада родителем снискати имения, но родителе чадом. 
2CO.12.15	Аз же в сладость иждиву и иждивен буду по душах ваших, аще и излишше вас любя, менше любимь есмь. 
2CO.12.16	Буди же, аз не отягчих вас, но коварен сый, лестию вас приях. 
2CO.12.17	Еда коим от посланных к вам лихоимствовах вас? 
2CO.12.18	Умолих тита, и с ним послах брата: еда лихоимствова чим вас тит? не темже ли духом ходихома? не темиже ли стопами? 
2CO.12.19	Паки ли мните, яко ответ вам творим? Пред Богом, о Христе глаголем: вся же, возлюбленнии, о вашем созидании и утверждении. 
2CO.12.20	Боюся же, еда како пришед, не яцех же хощу, обрящу вас, и аз обрящуся вам, якова же не хощете: да не како будут рвения, зависти, ярости, рети, клеветы, шептания, кичения, нестроения: 
2CO.12.21	да не паки пришедша мя смирит Бог мой у вас, и восплачуся многих прежде согрешших и не покаявшихся о нечистоте и блужении и студоложствии, яже содеяша.
2CO.13.1	Третицею се гряду к вам: при устех двою или триех свидетелей станет всяк глагол. 
2CO.13.2	Прежде рех и предглаголю, яко у вас быв второе, и отсутствуя ныне пишу прежде согрешившым и прочым всем, яко аще прииду паки, не пощажду: 
2CO.13.3	понеже искушения ищете глаголющаго во мне Христа, иже в вас не изнемогает, но может в вас: 
2CO.13.4	ибо аще и распят бысть от немощи, но жив есть от силы Божия: ибо и мы немощствуем в нем, но живи будем с ним от силы Божия в вас: 
2CO.13.5	Себе искушайте, аще есте в вере: себе искушайте. Или не знаете себе, яко Иисус Христос в вас есть? Разве точию чим неискусни есте. 
2CO.13.6	Уповаю же, яко разумети имате, яко мы несмы неискусни. 
2CO.13.7	Молимся же к Богу, не сотворити вам ни единаго зла, не яко да мы искусни явимся, но да вы доброе сотворите, мы же яко неискусни будем. 
2CO.13.8	Ничтоже бо можем на истину, но по истине. 
2CO.13.9	Радуемся бо, егда мы немощствуем, вы же сильни бываете: о сем же и молимся, о вашем совершении. 
2CO.13.10	Сего ради не сый у вас сия пишу, да не пришед безщадно сотворю по власти, юже Господь дал ми есть в создание, а не на разорение. 
2CO.13.11	Прочее же, братие, радуйтеся, совершайтеся, утешайтеся, тожде мудрствуйте, мир имейте. И Бог любве и мира будет с вами. 
2CO.13.12	Целуйте друг друга лобзанием святым. 
2CO.13.13	Целуют вы святии вси. 
2CO.13.14	Благодать Господа нашего Иисуса Христа, и любы Бога и оца, и общение святаго духа со всеми вами. Аминь. 
GAL.1.1	павел, апостол ни от человек, ни человеком, но Иисус Христом и Богом Отцем воскресившим его из мертвых, 
GAL.1.2	и иже со мною вся братия, Церквам галатийским: 
GAL.1.3	благодать вам и мир от Бога Отца и Господа нашего Иисуса Христа, 
GAL.1.4	давшаго себе по гресех наших, яко да избавит нас от настоящаго века лукаваго, по воли Бога и Отца нашего, 
GAL.1.5	емуже слава во веки веков. Аминь. 
GAL.1.6	Чуждуся, яко тако скоро прелагаетеся от звавшаго вы благодатию Христовою, во ино благовествование: 
GAL.1.7	еже несть ино, точию нецыи суть смущающии вы и хотящии превратити благовествование Христово. 
GAL.1.8	Но и аще мы, или ангел с небесе благовестит вам паче, еже благовестихом вам, анафема да будет. 
GAL.1.9	Якоже предрекохом, и ныне паки глаголю: аще кто вам благовестит паче, еже приясте, анафема да будет. 
GAL.1.10	Ныне бо человеки препираю, или Бога, или ищу человеком угождати? Аще бо бых еще человеком угождал, Христов раб не бых убо был. 
GAL.1.11	Сказую же вам, братие, благовествование благовещенное от мене, яко несть по человеку: 
GAL.1.12	ни бо аз от человека приях е, ниже научихся, но явлением Иисус Христовым. 
GAL.1.13	Слышасте бо мое житие иногда в жидовстве, яко по премногу гоних Церковь Божию и разрушах ю, 
GAL.1.14	и преспевах в жидовстве паче многих сверстник моих в роде моем, излиха ревнитель сый отеческих моих преданий. 
GAL.1.15	Егда же благоволи Бог, избравый мя от чрева матере моея и призвавый благолатию своею, 
GAL.1.16	явити Сына своего во мне, да благовествую его во языцех, абие не приложихся плоти и крови, 
GAL.1.17	ни взыдох во Иерусалим к первейшым мене апостолом, но идох во аравию, и паки возвратихся в дамаск. 
GAL.1.18	Потом же по триех летех взыдох во Иерусалим соглядати петра, и пребых у него дний пятьнадесять. 
GAL.1.19	Иного же от апостол не видех, токмо иакова брата Господня. 
GAL.1.20	А яже пишу вам, се пред Богом, яко не лгу. 
GAL.1.21	Потом же приидох в страны с¦рския и киликийския. 
GAL.1.22	Бех же не знаемь лицем Церквам иудейским, яже о Христе, 
GAL.1.23	точию же слышаще бяху, яко гоняй нас иногда, ныне благовествует веру, юже иногда разрушаше: 
GAL.1.24	и славляху о мне Бога.
GAL.2.1	Потом же по четыренадесяти летех паки взыдох во Иерусалим с варнавою, поем с собою и тита. 
GAL.2.2	Взыдох же по откровению, и предложих им благовествование, еже проповедую во языцех, наедине же мнимым, да не како вотще теку, или текох. 
GAL.2.3	Но ни тит, иже со мною, еллин сый, нужден бысть обрезатися. 
GAL.2.4	И за пришедшую лжебратию, иже привнидоша соглядати свободы нашея, юже имамы о Христе Иисусе, да нас поработят: 
GAL.2.5	имже ни к часу повинухомся в покорение, да истина благовестия пребудет в вас. 
GAL.2.6	От мнящихся же быти что, якови некогда беша, ничтоже ми разнствует: лица Бог человеча не приемлет. Мне бо мнимии ничтоже привозложиша: 
GAL.2.7	но сопротивное, уразумевше, яко уверено ми бысть благовестие необрезания, якоже петру обрезания: 
GAL.2.8	ибо споспешествовавый петру в послание обрезания, споспешествова и мне во языки: 
GAL.2.9	и познавше благодать данную ми, иаков и кифа и иоанн, мнимии столпи быти, десницы даша мне и варнаве общения, да мы во языки, они же во обрезание, 
GAL.2.10	точию нищих да помнима: еже и потщахся сие истое сотворити. 
GAL.2.11	Егда же прииде петр во антиохию, в лице ему противустах, яко зазорен бе. 
GAL.2.12	Прежде бо даже не приити неким от иакова, с языки ядяше: егда же приидоша, опряташеся и отлучашеся, бояся сущих от обрезания. 
GAL.2.13	И лицемеришася с ним и прочии иудеи, яко и варнаве пристати лицемерству их. 
GAL.2.14	Но егда видех, яко не право ходят ко истине благовествования, рекох петру пред всеми: аще ты, иудей сый, язычески, а не иудейски живеши, почто языки нудиши иудейски жительствовати? 
GAL.2.15	Мы естеством иудее, а не от язык грешницы: 
GAL.2.16	уведевше же, яко не оправдится человек от дел закона, но токмо верою Иисус Христовою, и мы во Христа Иисуса веровахом, да оправдимся от веры Христовы, а не от дел закона: зане не оправдится от дел закона всяка плоть. 
GAL.2.17	Аще ли, ищуще оправдитися о Христе, обретохомся и сами грешницы, Христос убо греху ли служитель? Да не будет. 
GAL.2.18	Аще бо, яже разорих, сия паки созидаю, преступника себе представляю. 
GAL.2.19	Аз бо законом закону умрох, да Богови жив буду. Христови сраспяхся: 
GAL.2.20	живу же не ктому аз, но живет во мне Христос. А еже ныне живу во плоти, верою живу Сына Божия, возлюбившаго мене и предавшаго себе по мне. 
GAL.2.21	Не отметаю благодати Божия. Аще бо законом правда, убо Христос туне умре.
GAL.3.1	о, несмысленнии галате, кто вы прельстил есть не покоритися истине, имже пред очима Иисус Христос преднаписан бысть, в вас распят? 
GAL.3.2	Сие едино хощу уведети от вас: от дел ли закона духа приясте, или от слуха веры? 
GAL.3.3	Тако ли несмысленни есте? наченше духом, ныне плотию скончаваете? 
GAL.3.4	Толика пострадасте туне? Аще точию и туне. 
GAL.3.5	Подаяй убо вам духа и действуяй силы в вас, от дел ли закона, или от слуха веры? 
GAL.3.6	Якоже авраам верова Богу, и вменися ему в правду. 
GAL.3.7	Разумейте убо, яко сущии от веры, сии суть сынове авраамли. 
GAL.3.8	Предувидевшее же писание, яко от веры оправдает языки Бог, прежде благовествова аврааму, яко благословятся о тебе вси языцы. 
GAL.3.9	Темже сущии от веры, благословятся с верным авраамом: 
GAL.3.10	елицы бо от дел закона суть, под клятвою суть. Писано бо есть: проклят всяк, иже не пребудет во всех писанных в книзе законней, яко творити я. 
GAL.3.11	А яко в законе никтоже оправдается от Бога, яве, яко праведный от веры жив будет. 
GAL.3.12	Закон же несть от веры: но сотворивый та человек жив будет в них. 
GAL.3.13	Христос ны искупил есть от клятвы законныя, быв по нас клятва: писано бо есть: проклят всяк висяй на древе: 
GAL.3.14	да в языцех благословение авраамле будет о Христе Иисусе, да обетование духа приимем верою. 
GAL.3.15	Братие, по человеку глаголю: обаче человеческаго предутвержденна завета никтоже отметает или приповелевает. 
GAL.3.16	Аврааму же речени быша обеты, и семени его. Не глаголет же: и семенем, яко о мнозех, но яко о едином: и семени твоему, иже есть Христос. 
GAL.3.17	Сие же глаголю, завета предутвержденнаго от Бога во Христа, бывый по летех четыриста и тридесятих закон не отметает, во еже разорити обетование. 
GAL.3.18	Аще бо от закона наследие, не ктому уже от обетования: аврааму же обетованием дарова Бог. 
GAL.3.19	Что убо закон? Преступлений ради приложися, дондеже приидет семя, емуже обетовася, вчинен ангелы, рукою ходатая. 
GAL.3.20	Ходатай же единаго несть, Бог же един есть. 
GAL.3.21	Закон ли убо противу обетованием Божиим? Да не будет. Аще бо дан бысть закон могий оживити, воистинну от закона бы была правда: 
GAL.3.22	но затвори писание всех под грехом, да обетование от веры Иисус Христовы дастся верующым. 
GAL.3.23	Прежде же пришествия веры, под законом стрегоми бехом, затворени в хотящую веру открытися. 
GAL.3.24	Темже закон пестун нам бысть во Христа, да от веры оправдимся: 
GAL.3.25	пришедшей же вере, уже не под пестуном есмы. 
GAL.3.26	Вси бо вы Сынове Божии есте верою о Христе Иисусе: 
GAL.3.27	елицы бо во Христа крестистеся, во Христа облекостеся. 
GAL.3.28	Несть иудей, ни еллин: несть раб, ни свободь: несть мужеский пол, ни женский: вси бо вы едино есте о Христе Иисусе. 
GAL.3.29	Аще ли вы Христовы, убо авраамле семя есте, и по обетованию наследницы.
GAL.4.1	Глаголю же: в елико время наследник млад есть, ничимже лучший есть раба, господь сый всех: 
GAL.4.2	но под повелители и приставники есть даже до нарока отча. 
GAL.4.3	Такожде и мы, егда бехом млади, под стихиами бехом мира порабощени: 
GAL.4.4	Егда же прииде кончина лета, посла Бог Сына своего единороднаго, раждаемаго от жены, бываема под законом, 
GAL.4.5	да подзаконныя искупит, да всыновление восприимем. 
GAL.4.6	И понеже есте Сынове, посла Бог духа Сына своего в сердца ваша, вопиюща: авва Отче. 
GAL.4.7	Темже уже неси раб, но сын: аще ли же сын, и наследник Божий Иисус Христом. 
GAL.4.8	Но тогда убо, не ведуще Бога, служисте не по естеству сущым богом: 
GAL.4.9	ныне же, познавше Бога, паче же познани бывше от Бога, како возвращаетеся паки на немощныя и худыя стихии, имже паки свыше служити хощете? 
GAL.4.10	дни смотряете, и месяцы, и времена, и лета. 
GAL.4.11	Боюся о вас, еда како всуе трудихся в вас. 
GAL.4.12	Будите якоже аз, зане и аз, якоже вы: братие, молю вы. Ничимже мене обидесте: 
GAL.4.13	весте же, яко за немощь плоти благовестих вам первее. 
GAL.4.14	и искушения моего, еже во плоти моей, не уничижисте, ни оплевасте, но якоже ангела Божия приясте мя, яко Христа Иисуса. 
GAL.4.15	Кое убо бяше блаженство ваше, свидетельствую бо вам, яко, аще бы было мощно, очеса ваша извертевше дали бысте ми. 
GAL.4.16	Темже враг вам бых, истину вам глаголя? 
GAL.4.17	Ревнуют по вас не добре, но отлучити вас хотят, да им ревнуете. 
GAL.4.18	Добро же, еже ревновати всегда в добрем, и не точию внегда приходити ми к вам. 
GAL.4.19	Чадца моя, имиже паки болезную, дондеже вообразится Христос в вас: 
GAL.4.20	хотел же бых приити к вам ныне и изменити глас мой, яко не домышляюся о вас. 
GAL.4.21	Глаголите ми, иже под законом хощете быти: закона ли не слушаете? 
GAL.4.22	Писано бо есть, яко авраам два сына име: единаго от рабы, а другаго от свободныя. 
GAL.4.23	Но иже от рабы, по плоти родися: а иже от свободныя, по обетованию. 
GAL.4.24	Иже суть иносказаема: сия бо еста два завета: един убо от горы синайския, в работу раждаяй, иже есть агарь: 
GAL.4.25	агарь бо, сина гора есть во аравии, прилагается же нынешнему Иерусалиму, работает же с чады своими: 
GAL.4.26	а вышний Иерусалим свободь есть, иже есть мати всем нам. 
GAL.4.27	Писано бо есть: возвеселися, неплоды, не раждающая: расторгни и возопи, неболящая: яко многа чада пустыя паче, нежели имущия мужа. 
GAL.4.28	Мы же, братие, по исааку обетования чада есмы. 
GAL.4.29	Но якоже тогда по плоти родивыйся гоняше духовнаго, тако и ныне. 
GAL.4.30	Но что глаголет писание? Изжени рабу и сына ея, не имать бо наследовати сын рабынин с сыном свободныя. 
GAL.4.31	Темже, братие, несмы рабынина чада, но свободныя.
GAL.5.1	Свободою убо, еюже Христос нас свободи, стойте, и не паки под игом работы держитеся. 
GAL.5.2	Се аз павел глаголю вам, яко аще обрезаетеся, Христос вас ничтоже пользует. 
GAL.5.3	Свидетельствую же паки всякому человеку обрезающемуся, яко должен есть весь закон творити. 
GAL.5.4	Упразднистеся от Христа, иже законом оправдаетеся, от благодати отпадосте: 
GAL.5.5	мы бо духом от веры упования правды ждем. 
GAL.5.6	О Христе бо Иисусе ни обрезание что может, ни необрезание, но вера любовию поспешествуема. 
GAL.5.7	Течасте добре: кто вам возбрани не покарятися истине? 
GAL.5.8	Препрение не от призвавшаго вы. 
GAL.5.9	Мал квас все смешение квасит. 
GAL.5.10	Аз надеюся о вас в Господе, яко ничтоже ино разумети будете: смущаяй же вас понесет грех, кто бы ни был. 
GAL.5.11	Аз же, братие, аще обрезание еще проповедую, почто еще гонимь есмь? убо упразднися соблазн креста. 
GAL.5.12	о, дабы отсечени были развращающии вас. 
GAL.5.13	Вы бо на свободу звани бысте, братие: точию да не свобода ваша в вину плоти, но любовию работайте друг другу. 
GAL.5.14	Ибо весь закон в единем словеси исполняется, во еже: возлюбиши ближняго твоего якоже себе. 
GAL.5.15	Аще же друг друга угрызаете и снедаете, блюдитеся, да не друг от друга истреблени будете. 
GAL.5.16	Глаголю же: духом ходите, и похоти плотския не совершайте: 
GAL.5.17	плоть бо похотствует на духа, дух же на плоть: сия же друг другу противятся, да не яже хощете, сия творите. 
GAL.5.18	Аще ли духом водими есте, несте под законом. 
GAL.5.19	Явлена же суть дела плотская, яже суть прелюбодеяние, блуд, нечистота, студодеяние, 
GAL.5.20	идолослужение, чародеяния, вражды, рвения, завиды, ярости, разжжения, распри, соблазны, ереси, 
GAL.5.21	зависти, убийства, пиянства, безчинни кличи и подобная сим: яже предглаголю вам, якоже и предрекох, яко таковая творящии Царствия Божия не наследят. 
GAL.5.22	Плод же духовный есть любы, радость, мир, долготерпение, благость, милосердие, вера, 
GAL.5.23	кротость, воздержание: на таковых несть закона. 
GAL.5.24	А иже Христовы суть, плоть распяша со страстьми и похотьми. 
GAL.5.25	Аще живем духом, духом и да ходим. 
GAL.5.26	Не бываим тщеславни, друг друга раздражающе, друг другу завидяще.
GAL.6.1	Братие, аще и впадет человек в некое прегрешение, вы духовнии исправляйте таковаго духом кротости: блюдый себе, да не и ты искушен будеши. 
GAL.6.2	Друг друга тяготы носите, и тако исполните закон Христов. 
GAL.6.3	Аще бо кто мнит себе быти что, ничтоже сый, умом льстит себе. 
GAL.6.4	Дело же свое да искушает кийждо, и тогда в себе точию хваление да имать, а не во инем: 
GAL.6.5	кийждо бо свое бремя понесет. 
GAL.6.6	Да общается же учяйся словеси учащему во всех благих. 
GAL.6.7	Не льститеся: Бог поругаемь не бывает. Еже бо аще сеет человек, тожде и пожнет: 
GAL.6.8	яко сеяи в плоть свою, от плоти пожнет истление: а сеяи в дух, от духа пожнет живот вечный. 
GAL.6.9	Доброе же творяще, да не стужаем си: во время бо свое пожнем, не ослабеюще. 
GAL.6.10	Темже убо, дондеже время имамы, да делаим благое ко всем, паче же к присным в вере. 
GAL.6.11	Видите, колицеми книгами писах вам моею рукою. 
GAL.6.12	Елицы хотят хвалитися по плоти, сии нудят вы обрезатися, точию да не креста ради Христова гоними будут: 
GAL.6.13	ни бо обрезающиися сами закон хранят, но хотят вам обрезоватися, да в вашей плоти похвалятся: 
GAL.6.14	мне же да не будет хвалитися, токмо о кресте Господа нашего Иисуса Христа, имже мне мир распятся, и аз миру. 
GAL.6.15	О Христе бо Иисусе ни обрезание что может, ни необрезание, но нова тварь. 
GAL.6.16	И елицы правилом сим жительствуют, мир на них и милость, и на израили Божии. 
GAL.6.17	Прочее, труды да никтоже ми дает: аз бо язвы Господа Иисуса на теле моем ношу. 
GAL.6.18	Благодать Господа нашего Иисуса Христа со духом вашим, братие. Аминь. 
EPH.1.1	павел, посланник Иисус Христов волею Божиею, святым сущым во ефесе и верным о Христе Иисусе: 
EPH.1.2	благодать вам и мир от Бога Отца нашего и Господа Иисуса Христа. 
EPH.1.3	Благословен Бог и Отец Господа нашего Иисуса Христа, благословивый нас всяцем благословением духовным в небесных о Христе. 
EPH.1.4	якоже избра нас в нем прежде сложения мира, быти нам святым и непорочным пред ним в любви, 
EPH.1.5	прежде нарек нас во усыновление Иисус Христом в него, по благоволению хотения своего, 
EPH.1.6	в похвалу славы благодати своея, еюже облагодати нас о возлюбленнем: 
EPH.1.7	о немже имамы избавление кровию его, и оставление прегрешении, по богатству благодати его, 
EPH.1.8	юже преумножил есть в нас во всяцей премудрости и разуме, 
EPH.1.9	сказав нам тайну воли своея по благоволению своему, еже прежде положи в нем, 
EPH.1.10	в смотрение исполнения времен, возглавити всяческая о Христе, яже на небесех и яже на земли в нем: 
EPH.1.11	в немже и наследницы сотворихомся, прежде наречени бывше по прозрению Божию вся действующаго по совету воли своея, 
EPH.1.12	яко быти нам в похваление славы его, прежде уповавшым во Христа: 
EPH.1.13	в немже и вы, слышавше слово истины, благовествование спасения нашего, в немже и веровавше знаменастеся духом обетования святым, 
EPH.1.14	иже есть обручение наследия нашего, во избавление снабдения, в похвалу славы его. 
EPH.1.15	Сего ради и аз слышав вашу веру о Христе Иисусе и любовь, яже ко всем святым, 
EPH.1.16	не престаю благодаря о вас, поминание о вас творя в молитвах моих, 
EPH.1.17	да Бог Господа нашего Иисуса Христа, Отец славы, даст вам духа премудрости и откровения, в познание его, 
EPH.1.18	просвещенна очеса сердца вашего, яко уведети вам, кое есть упование звания его, и кое богатство славы достояния его во святых, 
EPH.1.19	и кое преспеющее величество силы его в нас верующих по действу державы крепости его, 
EPH.1.20	юже содея о Христе, воскресив его от мертвых и посадив одесную себе на небесных, 
EPH.1.21	превыше всякаго началства и власти и силы и господства, и всякаго имене именуемаго не точию в веце сем, но и во грядущем: 
EPH.1.22	и вся покори под нозе его, и того даде главу выше всех Церкви, 
EPH.1.23	яже есть тело его, исполнение исполняющаго всяческая во всех.
EPH.2.1	И вас сущих прегрешеньми мертвых и грехи вашими, 
EPH.2.2	в нихже иногда ходисте по веку мира сего, по князю власти воздушныя, духа, иже ныне действует в сынех противления, 
EPH.2.3	в нихже и мы вси жихом иногда в похотех плоти нашея, творяще волю плоти и помышлений, и бехом естеством чада гнева, якоже и прочии: 
EPH.2.4	Бог же, богат сый в милости, за премногую любовь свою, еюже возлюби нас, 
EPH.2.5	и сущих нас мертвых прегрешеньми, сооживи Христом: благодатию есте спасени: 
EPH.2.6	и с ним воскреси, и спосади на небесных во Христе Иисусе, 
EPH.2.7	да явит в вецех грядущих презелное богатство благодати своея благостынею на нас о Христе Иисусе. 
EPH.2.8	Благодатию бо есте спасени чрез веру: и сие не от вас, Божии дар: 
EPH.2.9	не от дел, да никтоже похвалится. 
EPH.2.10	Того бо есмы творение, создани во Христе Иисусе на дела благая, яже прежде уготова Бог, да в них ходим. 
EPH.2.11	Темже поминайте, яко вы, иже иногда языцы во плоти, глаголемии необрезание от рекомаго обрезания во плоти, рукотвореннаго, 
EPH.2.12	яко бесте во время оно без Христа, отчуждени жития израилева и чужди от завет обетования, упования не имуще и безбожни в мире: 
EPH.2.13	ныне же о Христе Иисусе вы, бывшии иногда далече, близ бысте кровию Христовою. 
EPH.2.14	Той бо есть мир наш, сотворивый обоя едино, и средостение ограды разоривый, 
EPH.2.15	вражду Плотию своею, закон заповедий ученьми упразднив, да оба созиждет собою во единаго новаго человека, творя мир, 
EPH.2.16	и примирит обоих во единем теле Богови крестом, убив вражду на нем: 
EPH.2.17	и пришед благовести мир вам, дальним и ближним, 
EPH.2.18	зане тем имамы приведение обои во единем Дусе ко Отцу. 
EPH.2.19	Темже убо ктому несте странни и пришелцы, но сожителе святым и приснии Богу, 
EPH.2.20	наздани бывше на основании апостол и пророк, сущу краеугольну самому Иисусу Христу, 
EPH.2.21	о немже всяко создание составляемо растет в церковь святую о Господе: 
EPH.2.22	о немже и вы созидаетеся в жилище Божие духом.
EPH.3.1	Сего ради аз павел юзник Иисус Христов о вас языцех. 
EPH.3.2	Аще убо слышасте смотрение благодати Божия данныя мне в вас, 
EPH.3.3	яко по откровению сказася мне тайна, якоже преднаписах вмале: 
EPH.3.4	о немже можете чтуще разумети разум мой в тайне Христове, 
EPH.3.5	яже во инех родех не сказася сыном человеческим, якоже ныне открыся святым его апостолом и пророком духом святым: 
EPH.3.6	яко быти языком снаследником и стелесником и спричастником обетования его о Христе Иисусе, благовествованием, 
EPH.3.7	емуже бых служитель по дару благодати Божия, данныя мне по действу силы его. 
EPH.3.8	Мне меншему всех святых дана бысть благодать сия, во языцех благовестити неизследованное богатство Христово 
EPH.3.9	и просветити всех, что есть смотрение тайны сокровенныя от веков в Бозе, создавшем всяческая Иисус Христом, 
EPH.3.10	да скажется ныне началом и властем на небесных Царковию многоразличная премудрость Божия, 
EPH.3.11	по предложению век, еже сотвори о Христе Иисусе Господе нашем, 
EPH.3.12	о немже имамы дерзновение и приведение в надеянии верою его. 
EPH.3.13	Темже молю (вы) не стужати си в скорбех моих о вас, яже есть слава ваша. 
EPH.3.14	Сего ради преклоняю колена моя ко Отцу Господа нашего Иисуса Христа, 
EPH.3.15	из негоже всяко отечество на небесех и на земли именуется: 
EPH.3.16	да даст вам по богатству славы своея, силою утвердитися духом его во внутреннем человеце, 
EPH.3.17	вселитися Христу верою в сердца ваша: в любви вкоренени и основани, 
EPH.3.18	да возможете разумети со всеми святыми, что широта и долгота и глубина и высота, 
EPH.3.19	разумети же преспеющую разум любовь Христову, да исполнитеся во всяко исполнение Божие. 
EPH.3.20	Могущему же паче вся творити по преизбыточествию, ихже просим или разумеем, по силе действуемей в нас, 
EPH.3.21	тому слава в Церкви о Христе Иисусе во вся роды века веков. Аминь.
EPH.4.1	Молю убо вас аз юзник о Господе, достойно ходити звания, в неже звани бысте, 
EPH.4.2	со всяким смиреномудрием и кротостию, с долготерпением, терпяще друг другу любовию, 
EPH.4.3	тщащеся блюсти единение духа в союзе мира. 
EPH.4.4	Едино тело, един дух, якоже и звани бысте во единем уповании звания вашего: 
EPH.4.5	един Господь, едина вера, едино крещение, 
EPH.4.6	един Бог и Отец всех, иже над всеми и чрез всех и во всех нас. 
EPH.4.7	Единому же комуждо нас дадеся благодать по мере дарования Христова. 
EPH.4.8	Темже глаголет: возшед на высоту, пленил еси плен, и даде даяния человеком. 
EPH.4.9	А еже, взыде, что есть, точию яко и сниде прежде в долнейшыя страны земли? 
EPH.4.10	Сшедый, той есть и возшедый превыше всех небес, да исполнит всяческая. 
EPH.4.11	И той дал есть овы убо апостолы, овы же пророки, овы же благовестники, овы же пастыри и учители, 
EPH.4.12	к совершению святых, в дело служения, в созидание тела Христова, 
EPH.4.13	дондеже достигнем вси в соединение веры и познания Сына Божия, в мужа совершенна, в меру возраста исполнения Христова: 
EPH.4.14	да не бываем ктому младенцы, влающеся и скитающеся всяким ветром учения, во лжи человечестей, в коварстве козней льщения: 
EPH.4.15	истинствующе же в любви, да возрастим в него всяческая, иже есть глава Христос, 
EPH.4.16	из негоже все тело, составляемо и счиневаемо приличне всяцем осязанием подаяния, по действу в мере единыя коеяждо части, возращение тела творит в создание самаго себе любовию. 
EPH.4.17	Сие убо глаголю и послушествую о Господе, ктому не ходити вам, якоже и прочии языцы ходят в суете ума их, 
EPH.4.18	помрачени смыслом, суще отчуждени от жизни Божия, за невежество сущее в них, за окаменение сердец их: 
EPH.4.19	иже в нечаяние вложшеся, предаша себе студодеянию, в делание всякия нечистоты в лихоимании. 
EPH.4.20	Вы же не тако познасте Христа: 
EPH.4.21	аще убо слышасте его и о нем научистеся, якоже есть истина о Иисусе: 
EPH.4.22	отложити вам, по первому житию, ветхаго человека, тлеющаго в похотех прелестных, 
EPH.4.23	обновлятися же духом ума вашего, 
EPH.4.24	и облещися в новаго человека, созданнаго по Богу в правде и в преподобии истины. 
EPH.4.25	Темже отложше лжу, глаголите истину кийждо ко искреннему своему. зане есмы друг другу удове. 
EPH.4.26	Гневайтеся и не согрешайте: солнце да не зайдет в гневе вашем: 
EPH.4.27	ниже дадите места диаволу. 
EPH.4.28	Крадый ктому да не крадет, но паче да труждается, делая своима рукама благое, да имать подаяти требующему. 
EPH.4.29	Всяко слово гнило да не исходит из уст ваших, но точию еже есть благо к созданию веры, да даст благодать слышащым. 
EPH.4.30	И не оскорбляйте духа святаго Божия, имже знаменастеся в день избавления. 
EPH.4.31	Всяка горесть, и гнев, и ярость, и кличь, и хула да возмется от вас, со всякою злобою: 
EPH.4.32	бывайте же друг ко другу блази, милосерди, прощающе друг другу, якоже и Бог во Христе простил есть вам.
EPH.5.1	Бывайте убо подражателе Богу, якоже чада возлюбленная, 
EPH.5.2	и ходите в любви, якоже и Христос возлюбил есть нас, и предаде себе за ны приношение и жертву Богу в воню благоухания. 
